context: Once upon a time, there was a princess raised by loving parents. response:	One day, the princess snuck past the guard at the gate and slipped out of the castle for the very first time.
context: Ahiru did?\I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Rue-chan!\Have we met before zura?\What are you talking about? I've never met a girl like you...\You... response:	Who are you?
context: I told you, there is no Rue.\I just can't believe that.\Because I get this feeling you're Rue-chan.\Rue-chan!\Have we met before zura?\What are you talking about? I've never met a girl like you...\You...\Who are you? response:	I'm Uzura zura.
context: I just can't believe that.\Because I get this feeling you're Rue-chan.\Rue-chan!\Have we met before zura?\What are you talking about? I've never met a girl like you...\You...\Who are you?\I'm Uzura zura. response:	Do you know me? Am I really the crows'...
context: Because I get this feeling you're Rue-chan.\Rue-chan!\Have we met before zura?\What are you talking about? I've never met a girl like you...\You...\Who are you?\I'm Uzura zura.\Do you know me? Am I really the crows'... response:	This is stupid. I don't have time for this.
context: Rue-chan!\Have we met before zura?\What are you talking about? I've never met a girl like you...\You...\Who are you?\I'm Uzura zura.\Do you know me? Am I really the crows'...\This is stupid. I don't have time for this. response:	This is some sort of mistake!
context: Have we met before zura?\What are you talking about? I've never met a girl like you...\You...\Who are you?\I'm Uzura zura.\Do you know me? Am I really the crows'...\This is stupid. I don't have time for this.\This is some sort of mistake! response:	Sure, when I investigated Drosselmeyer's family tree, he was a descendent.
context: What are you talking about? I've never met a girl like you...\You...\Who are you?\I'm Uzura zura.\Do you know me? Am I really the crows'...\This is stupid. I don't have time for this.\This is some sort of mistake!\Sure, when I investigated Drosselmeyer's family tree, he was a descendent. response:	But he only found that out thanks to my taking an interest in him!
context: You...\Who are you?\I'm Uzura zura.\Do you know me? Am I really the crows'...\This is stupid. I don't have time for this.\This is some sort of mistake!\Sure, when I investigated Drosselmeyer's family tree, he was a descendent.\But he only found that out thanks to my taking an interest in him! response:	I even know who you people are.
context: Who are you?\I'm Uzura zura.\Do you know me? Am I really the crows'...\This is stupid. I don't have time for this.\This is some sort of mistake!\Sure, when I investigated Drosselmeyer's family tree, he was a descendent.\But he only found that out thanks to my taking an interest in him!\I even know who you people are. response:	I want you to acknowledge ME as the one with the qualifications.
context: I'm Uzura zura.\Do you know me? Am I really the crows'...\This is stupid. I don't have time for this.\This is some sort of mistake!\Sure, when I investigated Drosselmeyer's family tree, he was a descendent.\But he only found that out thanks to my taking an interest in him!\I even know who you people are.\I want you to acknowledge ME as the one with the qualifications. response:	You, who are the stoppers of stories, the book men.
context: Do you know me? Am I really the crows'...\This is stupid. I don't have time for this.\This is some sort of mistake!\Sure, when I investigated Drosselmeyer's family tree, he was a descendent.\But he only found that out thanks to my taking an interest in him!\I even know who you people are.\I want you to acknowledge ME as the one with the qualifications.\You, who are the stoppers of stories, the book men. response:	There are no qualifications to being human.
context: This is stupid. I don't have time for this.\This is some sort of mistake!\Sure, when I investigated Drosselmeyer's family tree, he was a descendent.\But he only found that out thanks to my taking an interest in him!\I even know who you people are.\I want you to acknowledge ME as the one with the qualifications.\You, who are the stoppers of stories, the book men.\There are no qualifications to being human. response:	That's not what this is about!
context: This is some sort of mistake!\Sure, when I investigated Drosselmeyer's family tree, he was a descendent.\But he only found that out thanks to my taking an interest in him!\I even know who you people are.\I want you to acknowledge ME as the one with the qualifications.\You, who are the stoppers of stories, the book men.\There are no qualifications to being human.\That's not what this is about! response:	Isn't this world being controlled by Drosselmeyer's stories?
context: Sure, when I investigated Drosselmeyer's family tree, he was a descendent.\But he only found that out thanks to my taking an interest in him!\I even know who you people are.\I want you to acknowledge ME as the one with the qualifications.\You, who are the stoppers of stories, the book men.\There are no qualifications to being human.\That's not what this is about!\Isn't this world being controlled by Drosselmeyer's stories? response:	Although we're unable to realize that...
context: But he only found that out thanks to my taking an interest in him!\I even know who you people are.\I want you to acknowledge ME as the one with the qualifications.\You, who are the stoppers of stories, the book men.\There are no qualifications to being human.\That's not what this is about!\Isn't this world being controlled by Drosselmeyer's stories?\Although we're unable to realize that... response:	I want to know the truth behind that mystery.
context: I even know who you people are.\I want you to acknowledge ME as the one with the qualifications.\You, who are the stoppers of stories, the book men.\There are no qualifications to being human.\That's not what this is about!\Isn't this world being controlled by Drosselmeyer's stories?\Although we're unable to realize that...\I want to know the truth behind that mystery. response:	There are things that are okay to know and things that are not. Go home.
context: I want you to acknowledge ME as the one with the qualifications.\You, who are the stoppers of stories, the book men.\There are no qualifications to being human.\That's not what this is about!\Isn't this world being controlled by Drosselmeyer's stories?\Although we're unable to realize that...\I want to know the truth behind that mystery.\There are things that are okay to know and things that are not. Go home. response:	Damn it!
context: You, who are the stoppers of stories, the book men.\There are no qualifications to being human.\That's not what this is about!\Isn't this world being controlled by Drosselmeyer's stories?\Although we're unable to realize that...\I want to know the truth behind that mystery.\There are things that are okay to know and things that are not. Go home.\Damn it! response:	Let's cut that boy's hands off too.
context: There are no qualifications to being human.\That's not what this is about!\Isn't this world being controlled by Drosselmeyer's stories?\Although we're unable to realize that...\I want to know the truth behind that mystery.\There are things that are okay to know and things that are not. Go home.\Damn it!\Let's cut that boy's hands off too. response:	Just like we did to Drosselmeyer.
context: That's not what this is about!\Isn't this world being controlled by Drosselmeyer's stories?\Although we're unable to realize that...\I want to know the truth behind that mystery.\There are things that are okay to know and things that are not. Go home.\Damn it!\Let's cut that boy's hands off too.\Just like we did to Drosselmeyer. response:	Let's cut them off before he starts writing stories.
context: Isn't this world being controlled by Drosselmeyer's stories?\Although we're unable to realize that...\I want to know the truth behind that mystery.\There are things that are okay to know and things that are not. Go home.\Damn it!\Let's cut that boy's hands off too.\Just like we did to Drosselmeyer.\Let's cut them off before he starts writing stories. response:	Wait.
context: Although we're unable to realize that...\I want to know the truth behind that mystery.\There are things that are okay to know and things that are not. Go home.\Damn it!\Let's cut that boy's hands off too.\Just like we did to Drosselmeyer.\Let's cut them off before he starts writing stories.\Wait. response:	False storytellers are not what we book men should be fighting.
context: I want to know the truth behind that mystery.\There are things that are okay to know and things that are not. Go home.\Damn it!\Let's cut that boy's hands off too.\Just like we did to Drosselmeyer.\Let's cut them off before he starts writing stories.\Wait.\False storytellers are not what we book men should be fighting. response:	Then let's get the one who exchanges words with the oak tree...
context: There are things that are okay to know and things that are not. Go home.\Damn it!\Let's cut that boy's hands off too.\Just like we did to Drosselmeyer.\Let's cut them off before he starts writing stories.\Wait.\False storytellers are not what we book men should be fighting.\Then let's get the one who exchanges words with the oak tree... response:	What am I doing? Father is seeking a heart, and yet I...
context: Damn it!\Let's cut that boy's hands off too.\Just like we did to Drosselmeyer.\Let's cut them off before he starts writing stories.\Wait.\False storytellers are not what we book men should be fighting.\Then let's get the one who exchanges words with the oak tree...\What am I doing? Father is seeking a heart, and yet I... response:	Damn it... So he's the one?
context: Let's cut that boy's hands off too.\Just like we did to Drosselmeyer.\Let's cut them off before he starts writing stories.\Wait.\False storytellers are not what we book men should be fighting.\Then let's get the one who exchanges words with the oak tree...\What am I doing? Father is seeking a heart, and yet I...\Damn it... So he's the one? response:	Then what was I born into this world for?!
context: Just like we did to Drosselmeyer.\Let's cut them off before he starts writing stories.\Wait.\False storytellers are not what we book men should be fighting.\Then let's get the one who exchanges words with the oak tree...\What am I doing? Father is seeking a heart, and yet I...\Damn it... So he's the one?\Then what was I born into this world for?! response:	Cold...
context: Let's cut them off before he starts writing stories.\Wait.\False storytellers are not what we book men should be fighting.\Then let's get the one who exchanges words with the oak tree...\What am I doing? Father is seeking a heart, and yet I...\Damn it... So he's the one?\Then what was I born into this world for?!\Cold... response:	What's wrong?
context: Wait.\False storytellers are not what we book men should be fighting.\Then let's get the one who exchanges words with the oak tree...\What am I doing? Father is seeking a heart, and yet I...\Damn it... So he's the one?\Then what was I born into this world for?!\Cold...\What's wrong? response:	You're... Rue from the ballet division...
context: False storytellers are not what we book men should be fighting.\Then let's get the one who exchanges words with the oak tree...\What am I doing? Father is seeking a heart, and yet I...\Damn it... So he's the one?\Then what was I born into this world for?!\Cold...\What's wrong?\You're... Rue from the ballet division... response:	Somewhere... There must be a heart shard somewhere!
context: Then let's get the one who exchanges words with the oak tree...\What am I doing? Father is seeking a heart, and yet I...\Damn it... So he's the one?\Then what was I born into this world for?!\Cold...\What's wrong?\You're... Rue from the ballet division...\Somewhere... There must be a heart shard somewhere! response:	Quack!
context: What am I doing? Father is seeking a heart, and yet I...\Damn it... So he's the one?\Then what was I born into this world for?!\Cold...\What's wrong?\You're... Rue from the ballet division...\Somewhere... There must be a heart shard somewhere!\Quack! response:	Who's there?
context: Damn it... So he's the one?\Then what was I born into this world for?!\Cold...\What's wrong?\You're... Rue from the ballet division...\Somewhere... There must be a heart shard somewhere!\Quack!\Who's there? response:	Just now, Mytho's shadow looked like a crow...
context: Then what was I born into this world for?!\Cold...\What's wrong?\You're... Rue from the ballet division...\Somewhere... There must be a heart shard somewhere!\Quack!\Who's there?\Just now, Mytho's shadow looked like a crow... response:	Be careful, Little Duck...
context: Cold...\What's wrong?\You're... Rue from the ballet division...\Somewhere... There must be a heart shard somewhere!\Quack!\Who's there?\Just now, Mytho's shadow looked like a crow...\Be careful, Little Duck... response:	Because for the stoppers of stories, beheading a little duck is child's play.
context: What's wrong?\You're... Rue from the ballet division...\Somewhere... There must be a heart shard somewhere!\Quack!\Who's there?\Just now, Mytho's shadow looked like a crow...\Be careful, Little Duck...\Because for the stoppers of stories, beheading a little duck is child's play. response:	What should I do?!
context: You're... Rue from the ballet division...\Somewhere... There must be a heart shard somewhere!\Quack!\Who's there?\Just now, Mytho's shadow looked like a crow...\Be careful, Little Duck...\Because for the stoppers of stories, beheading a little duck is child's play.\What should I do?! response:	Okay!
context: Somewhere... There must be a heart shard somewhere!\Quack!\Who's there?\Just now, Mytho's shadow looked like a crow...\Be careful, Little Duck...\Because for the stoppers of stories, beheading a little duck is child's play.\What should I do?!\Okay! response:	Quack, quack, quack, quack, quack, quack, qua...
context: Quack!\Who's there?\Just now, Mytho's shadow looked like a crow...\Be careful, Little Duck...\Because for the stoppers of stories, beheading a little duck is child's play.\What should I do?!\Okay!\Quack, quack, quack, quack, quack, quack, qua... response:	What?
context: Who's there?\Just now, Mytho's shadow looked like a crow...\Be careful, Little Duck...\Because for the stoppers of stories, beheading a little duck is child's play.\What should I do?!\Okay!\Quack, quack, quack, quack, quack, quack, qua...\What? response:	Say, what happened to all the other birds?
context: Just now, Mytho's shadow looked like a crow...\Be careful, Little Duck...\Because for the stoppers of stories, beheading a little duck is child's play.\What should I do?!\Okay!\Quack, quack, quack, quack, quack, quack, qua...\What?\Say, what happened to all the other birds? response:	They won't come near me, even when I call them.
context: Be careful, Little Duck...\Because for the stoppers of stories, beheading a little duck is child's play.\What should I do?!\Okay!\Quack, quack, quack, quack, quack, quack, qua...\What?\Say, what happened to all the other birds?\They won't come near me, even when I call them. response:	Mytho?
context: Because for the stoppers of stories, beheading a little duck is child's play.\What should I do?!\Okay!\Quack, quack, quack, quack, quack, quack, qua...\What?\Say, what happened to all the other birds?\They won't come near me, even when I call them.\Mytho? response:	It's strange, isn't it?
context: What should I do?!\Okay!\Quack, quack, quack, quack, quack, quack, qua...\What?\Say, what happened to all the other birds?\They won't come near me, even when I call them.\Mytho?\It's strange, isn't it? response:	I love everyone in the world and want to protect them...
context: Okay!\Quack, quack, quack, quack, quack, quack, qua...\What?\Say, what happened to all the other birds?\They won't come near me, even when I call them.\Mytho?\It's strange, isn't it?\I love everyone in the world and want to protect them... response:	The prince's heart!
context: Quack, quack, quack, quack, quack, quack, qua...\What?\Say, what happened to all the other birds?\They won't come near me, even when I call them.\Mytho?\It's strange, isn't it?\I love everyone in the world and want to protect them...\The prince's heart! response:	And yet, I also want to make all the world's love my own.
context: What?\Say, what happened to all the other birds?\They won't come near me, even when I call them.\Mytho?\It's strange, isn't it?\I love everyone in the world and want to protect them...\The prince's heart!\And yet, I also want to make all the world's love my own. response:	I wonder which one is the real me?
context: Say, what happened to all the other birds?\They won't come near me, even when I call them.\Mytho?\It's strange, isn't it?\I love everyone in the world and want to protect them...\The prince's heart!\And yet, I also want to make all the world's love my own.\I wonder which one is the real me? response:	I want people to love me. But is it okay to just be loved?
context: They won't come near me, even when I call them.\Mytho?\It's strange, isn't it?\I love everyone in the world and want to protect them...\The prince's heart!\And yet, I also want to make all the world's love my own.\I wonder which one is the real me?\I want people to love me. But is it okay to just be loved? response:	I don't know. My pride is still lost in the dark...
context: Mytho?\It's strange, isn't it?\I love everyone in the world and want to protect them...\The prince's heart!\And yet, I also want to make all the world's love my own.\I wonder which one is the real me?\I want people to love me. But is it okay to just be loved?\I don't know. My pride is still lost in the dark... response:	I have to overcome the raven's blood, if I'm a proud prince...
context: It's strange, isn't it?\I love everyone in the world and want to protect them...\The prince's heart!\And yet, I also want to make all the world's love my own.\I wonder which one is the real me?\I want people to love me. But is it okay to just be loved?\I don't know. My pride is still lost in the dark...\I have to overcome the raven's blood, if I'm a proud prince... response:	And I have to protect all the people...
context: I love everyone in the world and want to protect them...\The prince's heart!\And yet, I also want to make all the world's love my own.\I wonder which one is the real me?\I want people to love me. But is it okay to just be loved?\I don't know. My pride is still lost in the dark...\I have to overcome the raven's blood, if I'm a proud prince...\And I have to protect all the people... response:	I want to get all of my heart back as soon as I can.
context: The prince's heart!\And yet, I also want to make all the world's love my own.\I wonder which one is the real me?\I want people to love me. But is it okay to just be loved?\I don't know. My pride is still lost in the dark...\I have to overcome the raven's blood, if I'm a proud prince...\And I have to protect all the people...\I want to get all of my heart back as soon as I can. response:	Quack...
context: And yet, I also want to make all the world's love my own.\I wonder which one is the real me?\I want people to love me. But is it okay to just be loved?\I don't know. My pride is still lost in the dark...\I have to overcome the raven's blood, if I'm a proud prince...\And I have to protect all the people...\I want to get all of my heart back as soon as I can.\Quack... response:	Mytho...
context: I wonder which one is the real me?\I want people to love me. But is it okay to just be loved?\I don't know. My pride is still lost in the dark...\I have to overcome the raven's blood, if I'm a proud prince...\And I have to protect all the people...\I want to get all of my heart back as soon as I can.\Quack...\Mytho... response:	When I have all of my heart back...
context: I want people to love me. But is it okay to just be loved?\I don't know. My pride is still lost in the dark...\I have to overcome the raven's blood, if I'm a proud prince...\And I have to protect all the people...\I want to get all of my heart back as soon as I can.\Quack...\Mytho...\When I have all of my heart back... response:	I'm sorry, Mytho. I swore to get all of your heart back, but...
context: I don't know. My pride is still lost in the dark...\I have to overcome the raven's blood, if I'm a proud prince...\And I have to protect all the people...\I want to get all of my heart back as soon as I can.\Quack...\Mytho...\When I have all of my heart back...\I'm sorry, Mytho. I swore to get all of your heart back, but... response:	I'm sorry. I'm going to do my best!
context: I have to overcome the raven's blood, if I'm a proud prince...\And I have to protect all the people...\I want to get all of my heart back as soon as I can.\Quack...\Mytho...\When I have all of my heart back...\I'm sorry, Mytho. I swore to get all of your heart back, but...\I'm sorry. I'm going to do my best! response:	They must be somewhere in this town.
context: And I have to protect all the people...\I want to get all of my heart back as soon as I can.\Quack...\Mytho...\When I have all of my heart back...\I'm sorry, Mytho. I swore to get all of your heart back, but...\I'm sorry. I'm going to do my best!\They must be somewhere in this town. response:	I WILL find them, I WILL!
context: I want to get all of my heart back as soon as I can.\Quack...\Mytho...\When I have all of my heart back...\I'm sorry, Mytho. I swore to get all of your heart back, but...\I'm sorry. I'm going to do my best!\They must be somewhere in this town.\I WILL find them, I WILL! response:	I'll find them for sure, for sure, for sure...
context: Quack...\Mytho...\When I have all of my heart back...\I'm sorry, Mytho. I swore to get all of your heart back, but...\I'm sorry. I'm going to do my best!\They must be somewhere in this town.\I WILL find them, I WILL!\I'll find them for sure, for sure, for sure... response:	For sure, for sure, for sure...
context: Mytho...\When I have all of my heart back...\I'm sorry, Mytho. I swore to get all of your heart back, but...\I'm sorry. I'm going to do my best!\They must be somewhere in this town.\I WILL find them, I WILL!\I'll find them for sure, for sure, for sure...\For sure, for sure, for sure... response:	Because that's all I can do!
context: When I have all of my heart back...\I'm sorry, Mytho. I swore to get all of your heart back, but...\I'm sorry. I'm going to do my best!\They must be somewhere in this town.\I WILL find them, I WILL!\I'll find them for sure, for sure, for sure...\For sure, for sure, for sure...\Because that's all I can do! response:	Your heart is beating so fast.
context: I'm sorry, Mytho. I swore to get all of your heart back, but...\I'm sorry. I'm going to do my best!\They must be somewhere in this town.\I WILL find them, I WILL!\I'll find them for sure, for sure, for sure...\For sure, for sure, for sure...\Because that's all I can do!\Your heart is beating so fast. response:	Why?
context: I'm sorry. I'm going to do my best!\They must be somewhere in this town.\I WILL find them, I WILL!\I'll find them for sure, for sure, for sure...\For sure, for sure, for sure...\Because that's all I can do!\Your heart is beating so fast.\Why? response:	That's because you're...
context: They must be somewhere in this town.\I WILL find them, I WILL!\I'll find them for sure, for sure, for sure...\For sure, for sure, for sure...\Because that's all I can do!\Your heart is beating so fast.\Why?\That's because you're... response:	What a sweet fragrance.
context: I WILL find them, I WILL!\I'll find them for sure, for sure, for sure...\For sure, for sure, for sure...\Because that's all I can do!\Your heart is beating so fast.\Why?\That's because you're...\What a sweet fragrance. response:	Come with me.
context: I'll find them for sure, for sure, for sure...\For sure, for sure, for sure...\Because that's all I can do!\Your heart is beating so fast.\Why?\That's because you're...\What a sweet fragrance.\Come with me. response:	Okay.
context: For sure, for sure, for sure...\Because that's all I can do!\Your heart is beating so fast.\Why?\That's because you're...\What a sweet fragrance.\Come with me.\Okay. response:	Who are you?
context: Because that's all I can do!\Your heart is beating so fast.\Why?\That's because you're...\What a sweet fragrance.\Come with me.\Okay.\Who are you? response:	We are the book men.
context: Your heart is beating so fast.\Why?\That's because you're...\What a sweet fragrance.\Come with me.\Okay.\Who are you?\We are the book men. response:	If you intend to use Drosselmeyer's power to spin stories, we must stop you.
context: Why?\That's because you're...\What a sweet fragrance.\Come with me.\Okay.\Who are you?\We are the book men.\If you intend to use Drosselmeyer's power to spin stories, we must stop you. response:	The book men?
context: That's because you're...\What a sweet fragrance.\Come with me.\Okay.\Who are you?\We are the book men.\If you intend to use Drosselmeyer's power to spin stories, we must stop you.\The book men? response:	Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.
context: What a sweet fragrance.\Come with me.\Okay.\Who are you?\We are the book men.\If you intend to use Drosselmeyer's power to spin stories, we must stop you.\The book men?\Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again. response:	If his descendant tries to spin a story, we must give him the same fate.
context: Come with me.\Okay.\Who are you?\We are the book men.\If you intend to use Drosselmeyer's power to spin stories, we must stop you.\The book men?\Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.\If his descendant tries to spin a story, we must give him the same fate. response:	That's the duty that has been passed down to us over generations.
context: Okay.\Who are you?\We are the book men.\If you intend to use Drosselmeyer's power to spin stories, we must stop you.\The book men?\Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.\If his descendant tries to spin a story, we must give him the same fate.\That's the duty that has been passed down to us over generations. response:	So you're saying you're going to cut off my hands?
context: Who are you?\We are the book men.\If you intend to use Drosselmeyer's power to spin stories, we must stop you.\The book men?\Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.\If his descendant tries to spin a story, we must give him the same fate.\That's the duty that has been passed down to us over generations.\So you're saying you're going to cut off my hands? response:	Dangerous stories must not be born.
context: We are the book men.\If you intend to use Drosselmeyer's power to spin stories, we must stop you.\The book men?\Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.\If his descendant tries to spin a story, we must give him the same fate.\That's the duty that has been passed down to us over generations.\So you're saying you're going to cut off my hands?\Dangerous stories must not be born. response:	We must stop the stories that were born by burying their endings.
context: If you intend to use Drosselmeyer's power to spin stories, we must stop you.\The book men?\Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.\If his descendant tries to spin a story, we must give him the same fate.\That's the duty that has been passed down to us over generations.\So you're saying you're going to cut off my hands?\Dangerous stories must not be born.\We must stop the stories that were born by burying their endings. response:	You're the ones who were tearing out the stories' endings?
context: The book men?\Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.\If his descendant tries to spin a story, we must give him the same fate.\That's the duty that has been passed down to us over generations.\So you're saying you're going to cut off my hands?\Dangerous stories must not be born.\We must stop the stories that were born by burying their endings.\You're the ones who were tearing out the stories' endings? response:	Come.
context: Our ancestors cut off Drosselmeyer's hands and made him unable to spin stories ever again.\If his descendant tries to spin a story, we must give him the same fate.\That's the duty that has been passed down to us over generations.\So you're saying you're going to cut off my hands?\Dangerous stories must not be born.\We must stop the stories that were born by burying their endings.\You're the ones who were tearing out the stories' endings?\Come. response:	I'm not gonna give up yet...
context: If his descendant tries to spin a story, we must give him the same fate.\That's the duty that has been passed down to us over generations.\So you're saying you're going to cut off my hands?\Dangerous stories must not be born.\We must stop the stories that were born by burying their endings.\You're the ones who were tearing out the stories' endings?\Come.\I'm not gonna give up yet... response:	What?
context: That's the duty that has been passed down to us over generations.\So you're saying you're going to cut off my hands?\Dangerous stories must not be born.\We must stop the stories that were born by burying their endings.\You're the ones who were tearing out the stories' endings?\Come.\I'm not gonna give up yet...\What? response:	A heart shard!
context: So you're saying you're going to cut off my hands?\Dangerous stories must not be born.\We must stop the stories that were born by burying their endings.\You're the ones who were tearing out the stories' endings?\Come.\I'm not gonna give up yet...\What?\A heart shard! response:	Where? Where?!
context: Dangerous stories must not be born.\We must stop the stories that were born by burying their endings.\You're the ones who were tearing out the stories' endings?\Come.\I'm not gonna give up yet...\What?\A heart shard!\Where? Where?! response:	Maybe it's on the other side of here?
context: We must stop the stories that were born by burying their endings.\You're the ones who were tearing out the stories' endings?\Come.\I'm not gonna give up yet...\What?\A heart shard!\Where? Where?!\Maybe it's on the other side of here? response:	Huh?
context: You're the ones who were tearing out the stories' endings?\Come.\I'm not gonna give up yet...\What?\A heart shard!\Where? Where?!\Maybe it's on the other side of here?\Huh? response:	It... won't... open...
context: Come.\I'm not gonna give up yet...\What?\A heart shard!\Where? Where?!\Maybe it's on the other side of here?\Huh?\It... won't... open... response:	It won't open!
context: I'm not gonna give up yet...\What?\A heart shard!\Where? Where?!\Maybe it's on the other side of here?\Huh?\It... won't... open...\It won't open! response:	I wonder if there are other exits.
context: What?\A heart shard!\Where? Where?!\Maybe it's on the other side of here?\Huh?\It... won't... open...\It won't open!\I wonder if there are other exits. response:	We're finally here, aren't we?
context: A heart shard!\Where? Where?!\Maybe it's on the other side of here?\Huh?\It... won't... open...\It won't open!\I wonder if there are other exits.\We're finally here, aren't we? response:	Yep!
context: Where? Where?!\Maybe it's on the other side of here?\Huh?\It... won't... open...\It won't open!\I wonder if there are other exits.\We're finally here, aren't we?\Yep! response:	This is Gold Crown Town.
context: Maybe it's on the other side of here?\Huh?\It... won't... open...\It won't open!\I wonder if there are other exits.\We're finally here, aren't we?\Yep!\This is Gold Crown Town. response:	Huh? Was Mom always an Indian rhinoceros?
context: Huh?\It... won't... open...\It won't open!\I wonder if there are other exits.\We're finally here, aren't we?\Yep!\This is Gold Crown Town.\Huh? Was Mom always an Indian rhinoceros? response:	Now that you mention it, before we got to this town...
context: It... won't... open...\It won't open!\I wonder if there are other exits.\We're finally here, aren't we?\Yep!\This is Gold Crown Town.\Huh? Was Mom always an Indian rhinoceros?\Now that you mention it, before we got to this town... response:	Naw, there's no way that would happen.
context: It won't open!\I wonder if there are other exits.\We're finally here, aren't we?\Yep!\This is Gold Crown Town.\Huh? Was Mom always an Indian rhinoceros?\Now that you mention it, before we got to this town...\Naw, there's no way that would happen. response:	Yeah, you're right.
context: I wonder if there are other exits.\We're finally here, aren't we?\Yep!\This is Gold Crown Town.\Huh? Was Mom always an Indian rhinoceros?\Now that you mention it, before we got to this town...\Naw, there's no way that would happen.\Yeah, you're right. response:	Come on, or I'll leave you behind!
context: We're finally here, aren't we?\Yep!\This is Gold Crown Town.\Huh? Was Mom always an Indian rhinoceros?\Now that you mention it, before we got to this town...\Naw, there's no way that would happen.\Yeah, you're right.\Come on, or I'll leave you behind! response:	Yes, Mom!
context: Yep!\This is Gold Crown Town.\Huh? Was Mom always an Indian rhinoceros?\Now that you mention it, before we got to this town...\Naw, there's no way that would happen.\Yeah, you're right.\Come on, or I'll leave you behind!\Yes, Mom! response:	The gate didn't open just now, did it?
context: This is Gold Crown Town.\Huh? Was Mom always an Indian rhinoceros?\Now that you mention it, before we got to this town...\Naw, there's no way that would happen.\Yeah, you're right.\Come on, or I'll leave you behind!\Yes, Mom!\The gate didn't open just now, did it? response:	It was like they just suddenly appeared in front of the gate...
context: Huh? Was Mom always an Indian rhinoceros?\Now that you mention it, before we got to this town...\Naw, there's no way that would happen.\Yeah, you're right.\Come on, or I'll leave you behind!\Yes, Mom!\The gate didn't open just now, did it?\It was like they just suddenly appeared in front of the gate... response:	A story's birth is a sudden event. The start, a happy accident.
context: Now that you mention it, before we got to this town...\Naw, there's no way that would happen.\Yeah, you're right.\Come on, or I'll leave you behind!\Yes, Mom!\The gate didn't open just now, did it?\It was like they just suddenly appeared in front of the gate...\A story's birth is a sudden event. The start, a happy accident. response:	Were they suddenly born out of the gate?!
context: Naw, there's no way that would happen.\Yeah, you're right.\Come on, or I'll leave you behind!\Yes, Mom!\The gate didn't open just now, did it?\It was like they just suddenly appeared in front of the gate...\A story's birth is a sudden event. The start, a happy accident.\Were they suddenly born out of the gate?! response:	Yes. This town is most likely being controlled by stories.
context: Yeah, you're right.\Come on, or I'll leave you behind!\Yes, Mom!\The gate didn't open just now, did it?\It was like they just suddenly appeared in front of the gate...\A story's birth is a sudden event. The start, a happy accident.\Were they suddenly born out of the gate?!\Yes. This town is most likely being controlled by stories. response:	But we're unable to realize that.
context: Come on, or I'll leave you behind!\Yes, Mom!\The gate didn't open just now, did it?\It was like they just suddenly appeared in front of the gate...\A story's birth is a sudden event. The start, a happy accident.\Were they suddenly born out of the gate?!\Yes. This town is most likely being controlled by stories.\But we're unable to realize that. response:	Because no matter how strange something is, we're made to believe that's how it was to begin with.
context: Yes, Mom!\The gate didn't open just now, did it?\It was like they just suddenly appeared in front of the gate...\A story's birth is a sudden event. The start, a happy accident.\Were they suddenly born out of the gate?!\Yes. This town is most likely being controlled by stories.\But we're unable to realize that.\Because no matter how strange something is, we're made to believe that's how it was to begin with. response:	There's no one but me who can solve this mystery!
context: The gate didn't open just now, did it?\It was like they just suddenly appeared in front of the gate...\A story's birth is a sudden event. The start, a happy accident.\Were they suddenly born out of the gate?!\Yes. This town is most likely being controlled by stories.\But we're unable to realize that.\Because no matter how strange something is, we're made to believe that's how it was to begin with.\There's no one but me who can solve this mystery! response:	So I'm also the one qualified to change the world.
context: It was like they just suddenly appeared in front of the gate...\A story's birth is a sudden event. The start, a happy accident.\Were they suddenly born out of the gate?!\Yes. This town is most likely being controlled by stories.\But we're unable to realize that.\Because no matter how strange something is, we're made to believe that's how it was to begin with.\There's no one but me who can solve this mystery!\So I'm also the one qualified to change the world. response:	That's right, you can change the world.
context: A story's birth is a sudden event. The start, a happy accident.\Were they suddenly born out of the gate?!\Yes. This town is most likely being controlled by stories.\But we're unable to realize that.\Because no matter how strange something is, we're made to believe that's how it was to begin with.\There's no one but me who can solve this mystery!\So I'm also the one qualified to change the world.\That's right, you can change the world. response:	Yes, you think so too, don't you?
context: Were they suddenly born out of the gate?!\Yes. This town is most likely being controlled by stories.\But we're unable to realize that.\Because no matter how strange something is, we're made to believe that's how it was to begin with.\There's no one but me who can solve this mystery!\So I'm also the one qualified to change the world.\That's right, you can change the world.\Yes, you think so too, don't you? response:	Because you'll become the blood and flesh of the one who will change the world.
context: Yes. This town is most likely being controlled by stories.\But we're unable to realize that.\Because no matter how strange something is, we're made to believe that's how it was to begin with.\There's no one but me who can solve this mystery!\So I'm also the one qualified to change the world.\That's right, you can change the world.\Yes, you think so too, don't you?\Because you'll become the blood and flesh of the one who will change the world. response:	What a magnificent lady you are...
