context: Send? response:	Yes No
context: So you're the one\who's been sending me those silly messages.\That's right.\But as you didn't scare at all, I grew bored.\I guess that level\of play wasn't enough for you!\It's been too long, my human toilets!\Human? response:	As always, you take your jokes too far.
context: who's been sending me those silly messages.\That's right.\But as you didn't scare at all, I grew bored.\I guess that level\of play wasn't enough for you!\It's been too long, my human toilets!\Human?\As always, you take your jokes too far. response:	You know this person?
context: That's right.\But as you didn't scare at all, I grew bored.\I guess that level\of play wasn't enough for you!\It's been too long, my human toilets!\Human?\As always, you take your jokes too far.\You know this person? response:	What?
context: But as you didn't scare at all, I grew bored.\I guess that level\of play wasn't enough for you!\It's been too long, my human toilets!\Human?\As always, you take your jokes too far.\You know this person?\What? response:	Don't tell me you've forgotten me.
context: I guess that level\of play wasn't enough for you!\It's been too long, my human toilets!\Human?\As always, you take your jokes too far.\You know this person?\What?\Don't tell me you've forgotten me. response:	You are too cruel.
context: of play wasn't enough for you!\It's been too long, my human toilets!\Human?\As always, you take your jokes too far.\You know this person?\What?\Don't tell me you've forgotten me.\You are too cruel. response:	My name is Kagerou Shoukiin.
context: It's been too long, my human toilets!\Human?\As always, you take your jokes too far.\You know this person?\What?\Don't tell me you've forgotten me.\You are too cruel.\My name is Kagerou Shoukiin. response:	Am I not Soushi's old master and your fiance?
context: Human?\As always, you take your jokes too far.\You know this person?\What?\Don't tell me you've forgotten me.\You are too cruel.\My name is Kagerou Shoukiin.\Am I not Soushi's old master and your fiance? response:	It's been too long,
context: As always, you take your jokes too far.\You know this person?\What?\Don't tell me you've forgotten me.\You are too cruel.\My name is Kagerou Shoukiin.\Am I not Soushi's old master and your fiance?\It's been too long, response:	you pigs!
context: You know this person?\What?\Don't tell me you've forgotten me.\You are too cruel.\My name is Kagerou Shoukiin.\Am I not Soushi's old master and your fiance?\It's been too long,\you pigs! response:	I have returned in fine health!
context: What?\Don't tell me you've forgotten me.\You are too cruel.\My name is Kagerou Shoukiin.\Am I not Soushi's old master and your fiance?\It's been too long,\you pigs!\I have returned in fine health! response:	Kage!
context: Don't tell me you've forgotten me.\You are too cruel.\My name is Kagerou Shoukiin.\Am I not Soushi's old master and your fiance?\It's been too long,\you pigs!\I have returned in fine health!\Kage! response:	You're back.
context: You are too cruel.\My name is Kagerou Shoukiin.\Am I not Soushi's old master and your fiance?\It's been too long,\you pigs!\I have returned in fine health!\Kage!\You're back. response:	Sata Andagi
context: My name is Kagerou Shoukiin.\Am I not Soushi's old master and your fiance?\It's been too long,\you pigs!\I have returned in fine health!\Kage!\You're back.\Sata Andagi response:	I am.
context: Am I not Soushi's old master and your fiance?\It's been too long,\you pigs!\I have returned in fine health!\Kage!\You're back.\Sata Andagi\I am. response:	Who is that? And wait a minute...
context: It's been too long,\you pigs!\I have returned in fine health!\Kage!\You're back.\Sata Andagi\I am.\Who is that? And wait a minute... response:	What is he making Karuta wear?
context: you pigs!\I have returned in fine health!\Kage!\You're back.\Sata Andagi\I am.\Who is that? And wait a minute...\What is he making Karuta wear? response:	Lick, lick... Lick, lick...
context: I have returned in fine health!\Kage!\You're back.\Sata Andagi\I am.\Who is that? And wait a minute...\What is he making Karuta wear?\Lick, lick... Lick, lick... response:	I love it!
context: Kage!\You're back.\Sata Andagi\I am.\Who is that? And wait a minute...\What is he making Karuta wear?\Lick, lick... Lick, lick...\I love it! response:	My charge lives in room two.
context: You're back.\Sata Andagi\I am.\Who is that? And wait a minute...\What is he making Karuta wear?\Lick, lick... Lick, lick...\I love it!\My charge lives in room two. response:	He gets cabin fever though, so he's rarely in.
context: Sata Andagi\I am.\Who is that? And wait a minute...\What is he making Karuta wear?\Lick, lick... Lick, lick...\I love it!\My charge lives in room two.\He gets cabin fever though, so he's rarely in. response:	He's one of the childhood friends I was telling you about.
context: I am.\Who is that? And wait a minute...\What is he making Karuta wear?\Lick, lick... Lick, lick...\I love it!\My charge lives in room two.\He gets cabin fever though, so he's rarely in.\He's one of the childhood friends I was telling you about. response:	It's been a long time, my masochistic slave.
context: Who is that? And wait a minute...\What is he making Karuta wear?\Lick, lick... Lick, lick...\I love it!\My charge lives in room two.\He gets cabin fever though, so he's rarely in.\He's one of the childhood friends I was telling you about.\It's been a long time, my masochistic slave. response:	Yeah!
context: What is he making Karuta wear?\Lick, lick... Lick, lick...\I love it!\My charge lives in room two.\He gets cabin fever though, so he's rarely in.\He's one of the childhood friends I was telling you about.\It's been a long time, my masochistic slave.\Yeah! response:	So that's the nature of your relationship?
context: Lick, lick... Lick, lick...\I love it!\My charge lives in room two.\He gets cabin fever though, so he's rarely in.\He's one of the childhood friends I was telling you about.\It's been a long time, my masochistic slave.\Yeah!\So that's the nature of your relationship? response:	You...
context: I love it!\My charge lives in room two.\He gets cabin fever though, so he's rarely in.\He's one of the childhood friends I was telling you about.\It's been a long time, my masochistic slave.\Yeah!\So that's the nature of your relationship?\You... response:	You're here, too?
context: My charge lives in room two.\He gets cabin fever though, so he's rarely in.\He's one of the childhood friends I was telling you about.\It's been a long time, my masochistic slave.\Yeah!\So that's the nature of your relationship?\You...\You're here, too? response:	Good to see ya, cow.
context: He gets cabin fever though, so he's rarely in.\He's one of the childhood friends I was telling you about.\It's been a long time, my masochistic slave.\Yeah!\So that's the nature of your relationship?\You...\You're here, too?\Good to see ya, cow. response:	Chacha bun chacha bun chacha bun chacha.
context: He's one of the childhood friends I was telling you about.\It's been a long time, my masochistic slave.\Yeah!\So that's the nature of your relationship?\You...\You're here, too?\Good to see ya, cow.\Chacha bun chacha bun chacha bun chacha. response:	What are those times I'm thinking of?
context: It's been a long time, my masochistic slave.\Yeah!\So that's the nature of your relationship?\You...\You're here, too?\Good to see ya, cow.\Chacha bun chacha bun chacha bun chacha.\What are those times I'm thinking of? response:	Can you remember?
context: Yeah!\So that's the nature of your relationship?\You...\You're here, too?\Good to see ya, cow.\Chacha bun chacha bun chacha bun chacha.\What are those times I'm thinking of?\Can you remember? response:	We did this...
context: So that's the nature of your relationship?\You...\You're here, too?\Good to see ya, cow.\Chacha bun chacha bun chacha bun chacha.\What are those times I'm thinking of?\Can you remember?\We did this... response:	And we did that...
context: You...\You're here, too?\Good to see ya, cow.\Chacha bun chacha bun chacha bun chacha.\What are those times I'm thinking of?\Can you remember?\We did this...\And we did that... response:	Trims
context: You're here, too?\Good to see ya, cow.\Chacha bun chacha bun chacha bun chacha.\What are those times I'm thinking of?\Can you remember?\We did this...\And we did that...\Trims response:	Do you remember?
context: Good to see ya, cow.\Chacha bun chacha bun chacha bun chacha.\What are those times I'm thinking of?\Can you remember?\We did this...\And we did that...\Trims\Do you remember? response:	I still love hearing you cry...
context: Chacha bun chacha bun chacha bun chacha.\What are those times I'm thinking of?\Can you remember?\We did this...\And we did that...\Trims\Do you remember?\I still love hearing you cry... response:	It's so good.
context: What are those times I'm thinking of?\Can you remember?\We did this...\And we did that...\Trims\Do you remember?\I still love hearing you cry...\It's so good. response:	It's nice to get the gang back together.
context: Can you remember?\We did this...\And we did that...\Trims\Do you remember?\I still love hearing you cry...\It's so good.\It's nice to get the gang back together. response:	Right, Sou?
context: We did this...\And we did that...\Trims\Do you remember?\I still love hearing you cry...\It's so good.\It's nice to get the gang back together.\Right, Sou? response:	You're right.
context: And we did that...\Trims\Do you remember?\I still love hearing you cry...\It's so good.\It's nice to get the gang back together.\Right, Sou?\You're right. response:	I'm happy to see you again.
context: Trims\Do you remember?\I still love hearing you cry...\It's so good.\It's nice to get the gang back together.\Right, Sou?\You're right.\I'm happy to see you again. response:	I just remembered!
context: Do you remember?\I still love hearing you cry...\It's so good.\It's nice to get the gang back together.\Right, Sou?\You're right.\I'm happy to see you again.\I just remembered! response:	I have a gift for you all.
context: I still love hearing you cry...\It's so good.\It's nice to get the gang back together.\Right, Sou?\You're right.\I'm happy to see you again.\I just remembered!\I have a gift for you all. response:	Where did you go?
context: It's so good.\It's nice to get the gang back together.\Right, Sou?\You're right.\I'm happy to see you again.\I just remembered!\I have a gift for you all.\Where did you go? response:	To Okinawa!
context: It's nice to get the gang back together.\Right, Sou?\You're right.\I'm happy to see you again.\I just remembered!\I have a gift for you all.\Where did you go?\To Okinawa! response:	Sata andagi.
context: Right, Sou?\You're right.\I'm happy to see you again.\I just remembered!\I have a gift for you all.\Where did you go?\To Okinawa!\Sata andagi. response:	For you, Banri,
context: You're right.\I'm happy to see you again.\I just remembered!\I have a gift for you all.\Where did you go?\To Okinawa!\Sata andagi.\For you, Banri, response:	I got an iron maiden!
context: I'm happy to see you again.\I just remembered!\I have a gift for you all.\Where did you go?\To Okinawa!\Sata andagi.\For you, Banri,\I got an iron maiden! response:	For you, I got a straw rope.
context: I just remembered!\I have a gift for you all.\Where did you go?\To Okinawa!\Sata andagi.\For you, Banri,\I got an iron maiden!\For you, I got a straw rope. response:	Thank you very much.
context: I have a gift for you all.\Where did you go?\To Okinawa!\Sata andagi.\For you, Banri,\I got an iron maiden!\For you, I got a straw rope.\Thank you very much. response:	A whip for you.
context: Where did you go?\To Okinawa!\Sata andagi.\For you, Banri,\I got an iron maiden!\For you, I got a straw rope.\Thank you very much.\A whip for you. response:	That has nothing to do with Okinawa.
context: To Okinawa!\Sata andagi.\For you, Banri,\I got an iron maiden!\For you, I got a straw rope.\Thank you very much.\A whip for you.\That has nothing to do with Okinawa. response:	This is the first time I've seen you two...
context: Sata andagi.\For you, Banri,\I got an iron maiden!\For you, I got a straw rope.\Thank you very much.\A whip for you.\That has nothing to do with Okinawa.\This is the first time I've seen you two... response:	As a token of our new acquaintance,
context: For you, Banri,\I got an iron maiden!\For you, I got a straw rope.\Thank you very much.\A whip for you.\That has nothing to do with Okinawa.\This is the first time I've seen you two...\As a token of our new acquaintance, response:	I give you a Spanish donkey!
context: I got an iron maiden!\For you, I got a straw rope.\Thank you very much.\A whip for you.\That has nothing to do with Okinawa.\This is the first time I've seen you two...\As a token of our new acquaintance,\I give you a Spanish donkey! response:	And for you, a ball-gag.
context: For you, I got a straw rope.\Thank you very much.\A whip for you.\That has nothing to do with Okinawa.\This is the first time I've seen you two...\As a token of our new acquaintance,\I give you a Spanish donkey!\And for you, a ball-gag. response:	Come any closer, and I'll freeze you!
context: Thank you very much.\A whip for you.\That has nothing to do with Okinawa.\This is the first time I've seen you two...\As a token of our new acquaintance,\I give you a Spanish donkey!\And for you, a ball-gag.\Come any closer, and I'll freeze you! response:	You're into ice-play, huh?
context: A whip for you.\That has nothing to do with Okinawa.\This is the first time I've seen you two...\As a token of our new acquaintance,\I give you a Spanish donkey!\And for you, a ball-gag.\Come any closer, and I'll freeze you!\You're into ice-play, huh? response:	That's good, that's good...
context: That has nothing to do with Okinawa.\This is the first time I've seen you two...\As a token of our new acquaintance,\I give you a Spanish donkey!\And for you, a ball-gag.\Come any closer, and I'll freeze you!\You're into ice-play, huh?\That's good, that's good... response:	You're a man, a pervert,
context: This is the first time I've seen you two...\As a token of our new acquaintance,\I give you a Spanish donkey!\And for you, a ball-gag.\Come any closer, and I'll freeze you!\You're into ice-play, huh?\That's good, that's good...\You're a man, a pervert, response:	and you haven't introduced yourself.
context: As a token of our new acquaintance,\I give you a Spanish donkey!\And for you, a ball-gag.\Come any closer, and I'll freeze you!\You're into ice-play, huh?\That's good, that's good...\You're a man, a pervert,\and you haven't introduced yourself. response:	But you want to get to know me?
context: I give you a Spanish donkey!\And for you, a ball-gag.\Come any closer, and I'll freeze you!\You're into ice-play, huh?\That's good, that's good...\You're a man, a pervert,\and you haven't introduced yourself.\But you want to get to know me? response:	I guess you have a point, sow.
context: And for you, a ball-gag.\Come any closer, and I'll freeze you!\You're into ice-play, huh?\That's good, that's good...\You're a man, a pervert,\and you haven't introduced yourself.\But you want to get to know me?\I guess you have a point, sow. response:	Uh, Nobara, it's really cold in here.
context: Come any closer, and I'll freeze you!\You're into ice-play, huh?\That's good, that's good...\You're a man, a pervert,\and you haven't introduced yourself.\But you want to get to know me?\I guess you have a point, sow.\Uh, Nobara, it's really cold in here. response:	My name is Kagerou Shoukiin.
context: You're into ice-play, huh?\That's good, that's good...\You're a man, a pervert,\and you haven't introduced yourself.\But you want to get to know me?\I guess you have a point, sow.\Uh, Nobara, it's really cold in here.\My name is Kagerou Shoukiin. response:	I live in room two,
context: That's good, that's good...\You're a man, a pervert,\and you haven't introduced yourself.\But you want to get to know me?\I guess you have a point, sow.\Uh, Nobara, it's really cold in here.\My name is Kagerou Shoukiin.\I live in room two, response:	and I am Karuta's master!
context: You're a man, a pervert,\and you haven't introduced yourself.\But you want to get to know me?\I guess you have a point, sow.\Uh, Nobara, it's really cold in here.\My name is Kagerou Shoukiin.\I live in room two,\and I am Karuta's master! response:	Additionally, I am Soushi's old master.
context: and you haven't introduced yourself.\But you want to get to know me?\I guess you have a point, sow.\Uh, Nobara, it's really cold in here.\My name is Kagerou Shoukiin.\I live in room two,\and I am Karuta's master!\Additionally, I am Soushi's old master. response:	And I am Ririchiyo Shirakiin's fiance!
context: But you want to get to know me?\I guess you have a point, sow.\Uh, Nobara, it's really cold in here.\My name is Kagerou Shoukiin.\I live in room two,\and I am Karuta's master!\Additionally, I am Soushi's old master.\And I am Ririchiyo Shirakiin's fiance! response:	Huh?
context: I guess you have a point, sow.\Uh, Nobara, it's really cold in here.\My name is Kagerou Shoukiin.\I live in room two,\and I am Karuta's master!\Additionally, I am Soushi's old master.\And I am Ririchiyo Shirakiin's fiance!\Huh? response:	H-Her fiance?!
context: Uh, Nobara, it's really cold in here.\My name is Kagerou Shoukiin.\I live in room two,\and I am Karuta's master!\Additionally, I am Soushi's old master.\And I am Ririchiyo Shirakiin's fiance!\Huh?\H-Her fiance?! response:	Oh, yeah. You had one of those...
context: My name is Kagerou Shoukiin.\I live in room two,\and I am Karuta's master!\Additionally, I am Soushi's old master.\And I am Ririchiyo Shirakiin's fiance!\Huh?\H-Her fiance?!\Oh, yeah. You had one of those... response:	Didn't you write him a letter every day?
context: I live in room two,\and I am Karuta's master!\Additionally, I am Soushi's old master.\And I am Ririchiyo Shirakiin's fiance!\Huh?\H-Her fiance?!\Oh, yeah. You had one of those...\Didn't you write him a letter every day? response:	You liked him, didn't you?
context: and I am Karuta's master!\Additionally, I am Soushi's old master.\And I am Ririchiyo Shirakiin's fiance!\Huh?\H-Her fiance?!\Oh, yeah. You had one of those...\Didn't you write him a letter every day?\You liked him, didn't you? response:	I didn't!
context: Additionally, I am Soushi's old master.\And I am Ririchiyo Shirakiin's fiance!\Huh?\H-Her fiance?!\Oh, yeah. You had one of those...\Didn't you write him a letter every day?\You liked him, didn't you?\I didn't! response:	This is so stupid...
context: And I am Ririchiyo Shirakiin's fiance!\Huh?\H-Her fiance?!\Oh, yeah. You had one of those...\Didn't you write him a letter every day?\You liked him, didn't you?\I didn't!\This is so stupid... response:	This was something decided on by both our families,
context: Huh?\H-Her fiance?!\Oh, yeah. You had one of those...\Didn't you write him a letter every day?\You liked him, didn't you?\I didn't!\This is so stupid...\This was something decided on by both our families, response:	and it has no meaning.
context: H-Her fiance?!\Oh, yeah. You had one of those...\Didn't you write him a letter every day?\You liked him, didn't you?\I didn't!\This is so stupid...\This was something decided on by both our families,\and it has no meaning. response:	Besides, I haven't seen him since I was a kid.
context: Oh, yeah. You had one of those...\Didn't you write him a letter every day?\You liked him, didn't you?\I didn't!\This is so stupid...\This was something decided on by both our families,\and it has no meaning.\Besides, I haven't seen him since I was a kid. response:	The issue is basically dead.
context: Didn't you write him a letter every day?\You liked him, didn't you?\I didn't!\This is so stupid...\This was something decided on by both our families,\and it has no meaning.\Besides, I haven't seen him since I was a kid.\The issue is basically dead. response:	But you were sad when he stopped writing to you.
context: You liked him, didn't you?\I didn't!\This is so stupid...\This was something decided on by both our families,\and it has no meaning.\Besides, I haven't seen him since I was a kid.\The issue is basically dead.\But you were sad when he stopped writing to you. response:	I was sad that I was missing an opportunity to practice my handwriting.
context: I didn't!\This is so stupid...\This was something decided on by both our families,\and it has no meaning.\Besides, I haven't seen him since I was a kid.\The issue is basically dead.\But you were sad when he stopped writing to you.\I was sad that I was missing an opportunity to practice my handwriting. response:	Could I get a new one?
context: This is so stupid...\This was something decided on by both our families,\and it has no meaning.\Besides, I haven't seen him since I was a kid.\The issue is basically dead.\But you were sad when he stopped writing to you.\I was sad that I was missing an opportunity to practice my handwriting.\Could I get a new one? response:	I actually like you quite a bit.
context: This was something decided on by both our families,\and it has no meaning.\Besides, I haven't seen him since I was a kid.\The issue is basically dead.\But you were sad when he stopped writing to you.\I was sad that I was missing an opportunity to practice my handwriting.\Could I get a new one?\I actually like you quite a bit. response:	It's more fun to break in someone with fight.
context: and it has no meaning.\Besides, I haven't seen him since I was a kid.\The issue is basically dead.\But you were sad when he stopped writing to you.\I was sad that I was missing an opportunity to practice my handwriting.\Could I get a new one?\I actually like you quite a bit.\It's more fun to break in someone with fight. response:	I love that expression! Yes, that one!
context: Besides, I haven't seen him since I was a kid.\The issue is basically dead.\But you were sad when he stopped writing to you.\I was sad that I was missing an opportunity to practice my handwriting.\Could I get a new one?\I actually like you quite a bit.\It's more fun to break in someone with fight.\I love that expression! Yes, that one! response:	At first glance, you'd think she's a sadist,
context: The issue is basically dead.\But you were sad when he stopped writing to you.\I was sad that I was missing an opportunity to practice my handwriting.\Could I get a new one?\I actually like you quite a bit.\It's more fun to break in someone with fight.\I love that expression! Yes, that one!\At first glance, you'd think she's a sadist, response:	but I see the makings of a true masochist in that expression.
context: But you were sad when he stopped writing to you.\I was sad that I was missing an opportunity to practice my handwriting.\Could I get a new one?\I actually like you quite a bit.\It's more fun to break in someone with fight.\I love that expression! Yes, that one!\At first glance, you'd think she's a sadist,\but I see the makings of a true masochist in that expression. response:	Who are you calling a masochist?!
context: I was sad that I was missing an opportunity to practice my handwriting.\Could I get a new one?\I actually like you quite a bit.\It's more fun to break in someone with fight.\I love that expression! Yes, that one!\At first glance, you'd think she's a sadist,\but I see the makings of a true masochist in that expression.\Who are you calling a masochist?! response:	And I'm a sadist, so that makes us perfect for each other.
context: Could I get a new one?\I actually like you quite a bit.\It's more fun to break in someone with fight.\I love that expression! Yes, that one!\At first glance, you'd think she's a sadist,\but I see the makings of a true masochist in that expression.\Who are you calling a masochist?!\And I'm a sadist, so that makes us perfect for each other. response:	And further...
context: I actually like you quite a bit.\It's more fun to break in someone with fight.\I love that expression! Yes, that one!\At first glance, you'd think she's a sadist,\but I see the makings of a true masochist in that expression.\Who are you calling a masochist?!\And I'm a sadist, so that makes us perfect for each other.\And further... response:	You're a sadist, too!
context: It's more fun to break in someone with fight.\I love that expression! Yes, that one!\At first glance, you'd think she's a sadist,\but I see the makings of a true masochist in that expression.\Who are you calling a masochist?!\And I'm a sadist, so that makes us perfect for each other.\And further...\You're a sadist, too! response:	And one even worse than me, because you don't show it.
context: I love that expression! Yes, that one!\At first glance, you'd think she's a sadist,\but I see the makings of a true masochist in that expression.\Who are you calling a masochist?!\And I'm a sadist, so that makes us perfect for each other.\And further...\You're a sadist, too!\And one even worse than me, because you don't show it. response:	Stop fitting people into your little world!
context: At first glance, you'd think she's a sadist,\but I see the makings of a true masochist in that expression.\Who are you calling a masochist?!\And I'm a sadist, so that makes us perfect for each other.\And further...\You're a sadist, too!\And one even worse than me, because you don't show it.\Stop fitting people into your little world! response:	It is not only my world.
context: but I see the makings of a true masochist in that expression.\Who are you calling a masochist?!\And I'm a sadist, so that makes us perfect for each other.\And further...\You're a sadist, too!\And one even worse than me, because you don't show it.\Stop fitting people into your little world!\It is not only my world. response:	The world is divided into sadists and masochists.
context: Who are you calling a masochist?!\And I'm a sadist, so that makes us perfect for each other.\And further...\You're a sadist, too!\And one even worse than me, because you don't show it.\Stop fitting people into your little world!\It is not only my world.\The world is divided into sadists and masochists. response:	And I have the ability to see what someone is with one glance.
context: And I'm a sadist, so that makes us perfect for each other.\And further...\You're a sadist, too!\And one even worse than me, because you don't show it.\Stop fitting people into your little world!\It is not only my world.\The world is divided into sadists and masochists.\And I have the ability to see what someone is with one glance. response:	You're a masochist!
context: And further...\You're a sadist, too!\And one even worse than me, because you don't show it.\Stop fitting people into your little world!\It is not only my world.\The world is divided into sadists and masochists.\And I have the ability to see what someone is with one glance.\You're a masochist! response:	Wh-What the hell?!
context: You're a sadist, too!\And one even worse than me, because you don't show it.\Stop fitting people into your little world!\It is not only my world.\The world is divided into sadists and masochists.\And I have the ability to see what someone is with one glance.\You're a masochist!\Wh-What the hell?! response:	I'm not a masochist!
context: And one even worse than me, because you don't show it.\Stop fitting people into your little world!\It is not only my world.\The world is divided into sadists and masochists.\And I have the ability to see what someone is with one glance.\You're a masochist!\Wh-What the hell?!\I'm not a masochist! response:	I'm a
context: Stop fitting people into your little world!\It is not only my world.\The world is divided into sadists and masochists.\And I have the ability to see what someone is with one glance.\You're a masochist!\Wh-What the hell?!\I'm not a masochist!\I'm a response:	You're a sadist.
context: It is not only my world.\The world is divided into sadists and masochists.\And I have the ability to see what someone is with one glance.\You're a masochist!\Wh-What the hell?!\I'm not a masochist!\I'm a\You're a sadist. response:	You really think so?
context: The world is divided into sadists and masochists.\And I have the ability to see what someone is with one glance.\You're a masochist!\Wh-What the hell?!\I'm not a masochist!\I'm a\You're a sadist.\You really think so? response:	That's a secret.
context: And I have the ability to see what someone is with one glance.\You're a masochist!\Wh-What the hell?!\I'm not a masochist!\I'm a\You're a sadist.\You really think so?\That's a secret. response:	Shut up!
context: You're a masochist!\Wh-What the hell?!\I'm not a masochist!\I'm a\You're a sadist.\You really think so?\That's a secret.\Shut up! response:	And why am I a masochist?!
context: Wh-What the hell?!\I'm not a masochist!\I'm a\You're a sadist.\You really think so?\That's a secret.\Shut up!\And why am I a masochist?! response:	Do you want to eat?
context: I'm not a masochist!\I'm a\You're a sadist.\You really think so?\That's a secret.\Shut up!\And why am I a masochist?!\Do you want to eat? response:	Or do you want to be eaten?
context: I'm a\You're a sadist.\You really think so?\That's a secret.\Shut up!\And why am I a masochist?!\Do you want to eat?\Or do you want to be eaten? response:	I want to eat.
context: You're a sadist.\You really think so?\That's a secret.\Shut up!\And why am I a masochist?!\Do you want to eat?\Or do you want to be eaten?\I want to eat. response:	Then you're a sadist!
context: You really think so?\That's a secret.\Shut up!\And why am I a masochist?!\Do you want to eat?\Or do you want to be eaten?\I want to eat.\Then you're a sadist! response:	I-Is that how this works?
context: That's a secret.\Shut up!\And why am I a masochist?!\Do you want to eat?\Or do you want to be eaten?\I want to eat.\Then you're a sadist!\I-Is that how this works? response:	You're a sadist!
context: Shut up!\And why am I a masochist?!\Do you want to eat?\Or do you want to be eaten?\I want to eat.\Then you're a sadist!\I-Is that how this works?\You're a sadist! response:	I told you to stay away from me.
context: And why am I a masochist?!\Do you want to eat?\Or do you want to be eaten?\I want to eat.\Then you're a sadist!\I-Is that how this works?\You're a sadist!\I told you to stay away from me. response:	Now, let us go, my fiancee.
context: Do you want to eat?\Or do you want to be eaten?\I want to eat.\Then you're a sadist!\I-Is that how this works?\You're a sadist!\I told you to stay away from me.\Now, let us go, my fiancee. response:	What are you doing?
context: Or do you want to be eaten?\I want to eat.\Then you're a sadist!\I-Is that how this works?\You're a sadist!\I told you to stay away from me.\Now, let us go, my fiancee.\What are you doing? response:	I shall guide you
context: I want to eat.\Then you're a sadist!\I-Is that how this works?\You're a sadist!\I told you to stay away from me.\Now, let us go, my fiancee.\What are you doing?\I shall guide you response:	to the dazzling world of SM myself.
context: Then you're a sadist!\I-Is that how this works?\You're a sadist!\I told you to stay away from me.\Now, let us go, my fiancee.\What are you doing?\I shall guide you\to the dazzling world of SM myself. response:	B-But I don't...
context: I-Is that how this works?\You're a sadist!\I told you to stay away from me.\Now, let us go, my fiancee.\What are you doing?\I shall guide you\to the dazzling world of SM myself.\B-But I don't... response:	Let's go!
context: You're a sadist!\I told you to stay away from me.\Now, let us go, my fiancee.\What are you doing?\I shall guide you\to the dazzling world of SM myself.\B-But I don't...\Let's go! response:	That boy's a sadist.
context: I told you to stay away from me.\Now, let us go, my fiancee.\What are you doing?\I shall guide you\to the dazzling world of SM myself.\B-But I don't...\Let's go!\That boy's a sadist. response:	That man's a masochist.
context: Now, let us go, my fiancee.\What are you doing?\I shall guide you\to the dazzling world of SM myself.\B-But I don't...\Let's go!\That boy's a sadist.\That man's a masochist. response:	Next!
context: What are you doing?\I shall guide you\to the dazzling world of SM myself.\B-But I don't...\Let's go!\That boy's a sadist.\That man's a masochist.\Next! response:	Sadist.
context: I shall guide you\to the dazzling world of SM myself.\B-But I don't...\Let's go!\That boy's a sadist.\That man's a masochist.\Next!\Sadist. response:	She wants you to think she's a masochist. She's a sadist.
context: to the dazzling world of SM myself.\B-But I don't...\Let's go!\That boy's a sadist.\That man's a masochist.\Next!\Sadist.\She wants you to think she's a masochist. She's a sadist. response:	Masochist.
context: B-But I don't...\Let's go!\That boy's a sadist.\That man's a masochist.\Next!\Sadist.\She wants you to think she's a masochist. She's a sadist.\Masochist. response:	Looks like a sadist, but he's a masochist.
context: Let's go!\That boy's a sadist.\That man's a masochist.\Next!\Sadist.\She wants you to think she's a masochist. She's a sadist.\Masochist.\Looks like a sadist, but he's a masochist. response:	This elevator sure is making us wait...
context: That boy's a sadist.\That man's a masochist.\Next!\Sadist.\She wants you to think she's a masochist. She's a sadist.\Masochist.\Looks like a sadist, but he's a masochist.\This elevator sure is making us wait... response:	It's a sadist!
context: That man's a masochist.\Next!\Sadist.\She wants you to think she's a masochist. She's a sadist.\Masochist.\Looks like a sadist, but he's a masochist.\This elevator sure is making us wait...\It's a sadist! response:	So hot, it's a sadist...
context: Next!\Sadist.\She wants you to think she's a masochist. She's a sadist.\Masochist.\Looks like a sadist, but he's a masochist.\This elevator sure is making us wait...\It's a sadist!\So hot, it's a sadist... response:	But once you're used to it, it feels good.
context: Sadist.\She wants you to think she's a masochist. She's a sadist.\Masochist.\Looks like a sadist, but he's a masochist.\This elevator sure is making us wait...\It's a sadist!\So hot, it's a sadist...\But once you're used to it, it feels good. response:	So it's a masochist.
context: She wants you to think she's a masochist. She's a sadist.\Masochist.\Looks like a sadist, but he's a masochist.\This elevator sure is making us wait...\It's a sadist!\So hot, it's a sadist...\But once you're used to it, it feels good.\So it's a masochist. response:	I love that noise. A sadist!
context: Masochist.\Looks like a sadist, but he's a masochist.\This elevator sure is making us wait...\It's a sadist!\So hot, it's a sadist...\But once you're used to it, it feels good.\So it's a masochist.\I love that noise. A sadist! response:	Gimme some of that.
context: Looks like a sadist, but he's a masochist.\This elevator sure is making us wait...\It's a sadist!\So hot, it's a sadist...\But once you're used to it, it feels good.\So it's a masochist.\I love that noise. A sadist!\Gimme some of that. response:	It's sticky. Sadist.
context: This elevator sure is making us wait...\It's a sadist!\So hot, it's a sadist...\But once you're used to it, it feels good.\So it's a masochist.\I love that noise. A sadist!\Gimme some of that.\It's sticky. Sadist. response:	But it tastes good. Masochist!
context: It's a sadist!\So hot, it's a sadist...\But once you're used to it, it feels good.\So it's a masochist.\I love that noise. A sadist!\Gimme some of that.\It's sticky. Sadist.\But it tastes good. Masochist! response:	This aquarium is hard. Sadist.
context: So hot, it's a sadist...\But once you're used to it, it feels good.\So it's a masochist.\I love that noise. A sadist!\Gimme some of that.\It's sticky. Sadist.\But it tastes good. Masochist!\This aquarium is hard. Sadist. response:	Masochist.
context: But once you're used to it, it feels good.\So it's a masochist.\I love that noise. A sadist!\Gimme some of that.\It's sticky. Sadist.\But it tastes good. Masochist!\This aquarium is hard. Sadist.\Masochist. response:	Sadist.
context: So it's a masochist.\I love that noise. A sadist!\Gimme some of that.\It's sticky. Sadist.\But it tastes good. Masochist!\This aquarium is hard. Sadist.\Masochist.\Sadist. response:	Masochist.
