context: Closed for the day. response:	Hokubi News Online Cloudy weather expected during largest meteor shower of the year.
context: You're going to vanish, aren't you?\We won't be able to see each other anymore, will we?\So\how can you look like that?\Aren't you sad?\You won't see Nonoka and the others anymore.\Don't you feel lonely?\I feel response:	really warm here when you're all happy.
context: We won't be able to see each other anymore, will we?\So\how can you look like that?\Aren't you sad?\You won't see Nonoka and the others anymore.\Don't you feel lonely?\I feel\really warm here when you're all happy. response:	When you're all sad, it tingles.
context: So\how can you look like that?\Aren't you sad?\You won't see Nonoka and the others anymore.\Don't you feel lonely?\I feel\really warm here when you're all happy.\When you're all sad, it tingles. response:	When you're all smiling,
context: how can you look like that?\Aren't you sad?\You won't see Nonoka and the others anymore.\Don't you feel lonely?\I feel\really warm here when you're all happy.\When you're all sad, it tingles.\When you're all smiling, response:	I think I granted your wishes, right?
context: Aren't you sad?\You won't see Nonoka and the others anymore.\Don't you feel lonely?\I feel\really warm here when you're all happy.\When you're all sad, it tingles.\When you're all smiling,\I think I granted your wishes, right? response:	Shione, let me part with my beloved friends with a smile.
context: You won't see Nonoka and the others anymore.\Don't you feel lonely?\I feel\really warm here when you're all happy.\When you're all sad, it tingles.\When you're all smiling,\I think I granted your wishes, right?\Shione, let me part with my beloved friends with a smile. response:	That's not fair.
context: Don't you feel lonely?\I feel\really warm here when you're all happy.\When you're all sad, it tingles.\When you're all smiling,\I think I granted your wishes, right?\Shione, let me part with my beloved friends with a smile.\That's not fair. response:	Saucer-san, Saucer-san, please grant my wish
context: I feel\really warm here when you're all happy.\When you're all sad, it tingles.\When you're all smiling,\I think I granted your wishes, right?\Shione, let me part with my beloved friends with a smile.\That's not fair.\Saucer-san, Saucer-san, please grant my wish response:	that I will always love
context: really warm here when you're all happy.\When you're all sad, it tingles.\When you're all smiling,\I think I granted your wishes, right?\Shione, let me part with my beloved friends with a smile.\That's not fair.\Saucer-san, Saucer-san, please grant my wish\that I will always love response:	Nonoka and the others.
context: When you're all sad, it tingles.\When you're all smiling,\I think I granted your wishes, right?\Shione, let me part with my beloved friends with a smile.\That's not fair.\Saucer-san, Saucer-san, please grant my wish\that I will always love\Nonoka and the others. response:	How could you refuse
context: When you're all smiling,\I think I granted your wishes, right?\Shione, let me part with my beloved friends with a smile.\That's not fair.\Saucer-san, Saucer-san, please grant my wish\that I will always love\Nonoka and the others.\How could you refuse response:	after you granted my wish?!
context: I think I granted your wishes, right?\Shione, let me part with my beloved friends with a smile.\That's not fair.\Saucer-san, Saucer-san, please grant my wish\that I will always love\Nonoka and the others.\How could you refuse\after you granted my wish?! response:	Do Not Enter
context: Shione, let me part with my beloved friends with a smile.\That's not fair.\Saucer-san, Saucer-san, please grant my wish\that I will always love\Nonoka and the others.\How could you refuse\after you granted my wish?!\Do Not Enter response:	Nonoka!
context: That's not fair.\Saucer-san, Saucer-san, please grant my wish\that I will always love\Nonoka and the others.\How could you refuse\after you granted my wish?!\Do Not Enter\Nonoka! response:	Where's Shione?
context: Saucer-san, Saucer-san, please grant my wish\that I will always love\Nonoka and the others.\How could you refuse\after you granted my wish?!\Do Not Enter\Nonoka!\Where's Shione? response:	She'll come.
context: that I will always love\Nonoka and the others.\How could you refuse\after you granted my wish?!\Do Not Enter\Nonoka!\Where's Shione?\She'll come. response:	Yeah.
context: Nonoka and the others.\How could you refuse\after you granted my wish?!\Do Not Enter\Nonoka!\Where's Shione?\She'll come.\Yeah. response:	I know they're coming, too.
context: How could you refuse\after you granted my wish?!\Do Not Enter\Nonoka!\Where's Shione?\She'll come.\Yeah.\I know they're coming, too. response:	You're late!
context: after you granted my wish?!\Do Not Enter\Nonoka!\Where's Shione?\She'll come.\Yeah.\I know they're coming, too.\You're late! response:	We just got here, too, though.
context: Do Not Enter\Nonoka!\Where's Shione?\She'll come.\Yeah.\I know they're coming, too.\You're late!\We just got here, too, though. response:	You didn't need to give it away.
context: Nonoka!\Where's Shione?\She'll come.\Yeah.\I know they're coming, too.\You're late!\We just got here, too, though.\You didn't need to give it away. response:	There, there. We have tea.
context: Where's Shione?\She'll come.\Yeah.\I know they're coming, too.\You're late!\We just got here, too, though.\You didn't need to give it away.\There, there. We have tea. response:	Nonoka, Noel-chan, come here.
context: She'll come.\Yeah.\I know they're coming, too.\You're late!\We just got here, too, though.\You didn't need to give it away.\There, there. We have tea.\Nonoka, Noel-chan, come here. response:	Nonoka!
context: Yeah.\I know they're coming, too.\You're late!\We just got here, too, though.\You didn't need to give it away.\There, there. We have tea.\Nonoka, Noel-chan, come here.\Nonoka! response:	Why are you just standing there?
context: I know they're coming, too.\You're late!\We just got here, too, though.\You didn't need to give it away.\There, there. We have tea.\Nonoka, Noel-chan, come here.\Nonoka!\Why are you just standing there? response:	It's nothing.
context: You're late!\We just got here, too, though.\You didn't need to give it away.\There, there. We have tea.\Nonoka, Noel-chan, come here.\Nonoka!\Why are you just standing there?\It's nothing. response:	What's wrong?
context: We just got here, too, though.\You didn't need to give it away.\There, there. We have tea.\Nonoka, Noel-chan, come here.\Nonoka!\Why are you just standing there?\It's nothing.\What's wrong? response:	Thank goodness, you're all here.
context: You didn't need to give it away.\There, there. We have tea.\Nonoka, Noel-chan, come here.\Nonoka!\Why are you just standing there?\It's nothing.\What's wrong?\Thank goodness, you're all here. response:	What makes you say that?
context: There, there. We have tea.\Nonoka, Noel-chan, come here.\Nonoka!\Why are you just standing there?\It's nothing.\What's wrong?\Thank goodness, you're all here.\What makes you say that? response:	There's someone I want you to meet.
context: Nonoka, Noel-chan, come here.\Nonoka!\Why are you just standing there?\It's nothing.\What's wrong?\Thank goodness, you're all here.\What makes you say that?\There's someone I want you to meet. response:	Nice to meet you, my name is Togawa Shione.
context: Nonoka!\Why are you just standing there?\It's nothing.\What's wrong?\Thank goodness, you're all here.\What makes you say that?\There's someone I want you to meet.\Nice to meet you, my name is Togawa Shione. response:	Hey...
context: Why are you just standing there?\It's nothing.\What's wrong?\Thank goodness, you're all here.\What makes you say that?\There's someone I want you to meet.\Nice to meet you, my name is Togawa Shione.\Hey... response:	We have some time, with the weather being how it is.
context: It's nothing.\What's wrong?\Thank goodness, you're all here.\What makes you say that?\There's someone I want you to meet.\Nice to meet you, my name is Togawa Shione.\Hey...\We have some time, with the weather being how it is. response:	That's true.
context: What's wrong?\Thank goodness, you're all here.\What makes you say that?\There's someone I want you to meet.\Nice to meet you, my name is Togawa Shione.\Hey...\We have some time, with the weather being how it is.\That's true. response:	Let's all take pictures.
context: Thank goodness, you're all here.\What makes you say that?\There's someone I want you to meet.\Nice to meet you, my name is Togawa Shione.\Hey...\We have some time, with the weather being how it is.\That's true.\Let's all take pictures. response:	Gimme.
context: What makes you say that?\There's someone I want you to meet.\Nice to meet you, my name is Togawa Shione.\Hey...\We have some time, with the weather being how it is.\That's true.\Let's all take pictures.\Gimme. response:	I'm going to take a ton!
context: There's someone I want you to meet.\Nice to meet you, my name is Togawa Shione.\Hey...\We have some time, with the weather being how it is.\That's true.\Let's all take pictures.\Gimme.\I'm going to take a ton! response:	Us too.
context: Nice to meet you, my name is Togawa Shione.\Hey...\We have some time, with the weather being how it is.\That's true.\Let's all take pictures.\Gimme.\I'm going to take a ton!\Us too. response:	Don't move.
context: Hey...\We have some time, with the weather being how it is.\That's true.\Let's all take pictures.\Gimme.\I'm going to take a ton!\Us too.\Don't move. response:	I can't get a good picture.
context: We have some time, with the weather being how it is.\That's true.\Let's all take pictures.\Gimme.\I'm going to take a ton!\Us too.\Don't move.\I can't get a good picture. response:	Okay.
context: That's true.\Let's all take pictures.\Gimme.\I'm going to take a ton!\Us too.\Don't move.\I can't get a good picture.\Okay. response:	Damn it.
context: Let's all take pictures.\Gimme.\I'm going to take a ton!\Us too.\Don't move.\I can't get a good picture.\Okay.\Damn it. response:	I'll do it.
context: Gimme.\I'm going to take a ton!\Us too.\Don't move.\I can't get a good picture.\Okay.\Damn it.\I'll do it. response:	Smile, you two.
context: I'm going to take a ton!\Us too.\Don't move.\I can't get a good picture.\Okay.\Damn it.\I'll do it.\Smile, you two. response:	Noel.
context: Us too.\Don't move.\I can't get a good picture.\Okay.\Damn it.\I'll do it.\Smile, you two.\Noel. response:	I have to go home.
context: Don't move.\I can't get a good picture.\Okay.\Damn it.\I'll do it.\Smile, you two.\Noel.\I have to go home. response:	Shione.
context: I can't get a good picture.\Okay.\Damn it.\I'll do it.\Smile, you two.\Noel.\I have to go home.\Shione. response:	We're friends now, right?
context: Okay.\Damn it.\I'll do it.\Smile, you two.\Noel.\I have to go home.\Shione.\We're friends now, right? response:	Yeah.
context: Damn it.\I'll do it.\Smile, you two.\Noel.\I have to go home.\Shione.\We're friends now, right?\Yeah. response:	I'll cherish what you gave me forever.
context: I'll do it.\Smile, you two.\Noel.\I have to go home.\Shione.\We're friends now, right?\Yeah.\I'll cherish what you gave me forever. response:	Yeah.
context: Smile, you two.\Noel.\I have to go home.\Shione.\We're friends now, right?\Yeah.\I'll cherish what you gave me forever.\Yeah. response:	It was fun at the hot springs.
context: Noel.\I have to go home.\Shione.\We're friends now, right?\Yeah.\I'll cherish what you gave me forever.\Yeah.\It was fun at the hot springs. response:	Yeah.
context: I have to go home.\Shione.\We're friends now, right?\Yeah.\I'll cherish what you gave me forever.\Yeah.\It was fun at the hot springs.\Yeah. response:	It was huge and warm.
context: Shione.\We're friends now, right?\Yeah.\I'll cherish what you gave me forever.\Yeah.\It was fun at the hot springs.\Yeah.\It was huge and warm. response:	Yeah.
context: We're friends now, right?\Yeah.\I'll cherish what you gave me forever.\Yeah.\It was fun at the hot springs.\Yeah.\It was huge and warm.\Yeah. response:	Someday, with the others.
context: Yeah.\I'll cherish what you gave me forever.\Yeah.\It was fun at the hot springs.\Yeah.\It was huge and warm.\Yeah.\Someday, with the others. response:	Yeah.
context: I'll cherish what you gave me forever.\Yeah.\It was fun at the hot springs.\Yeah.\It was huge and warm.\Yeah.\Someday, with the others.\Yeah. response:	Thanks to you, I can smile with Nonoka again.
context: Yeah.\It was fun at the hot springs.\Yeah.\It was huge and warm.\Yeah.\Someday, with the others.\Yeah.\Thanks to you, I can smile with Nonoka again. response:	Because you watched over me.
context: It was fun at the hot springs.\Yeah.\It was huge and warm.\Yeah.\Someday, with the others.\Yeah.\Thanks to you, I can smile with Nonoka again.\Because you watched over me. response:	Really?
context: Yeah.\It was huge and warm.\Yeah.\Someday, with the others.\Yeah.\Thanks to you, I can smile with Nonoka again.\Because you watched over me.\Really? response:	Yeah.
context: It was huge and warm.\Yeah.\Someday, with the others.\Yeah.\Thanks to you, I can smile with Nonoka again.\Because you watched over me.\Really?\Yeah. response:	Koharu, I'm glad Monster-san is feeling better.
context: Yeah.\Someday, with the others.\Yeah.\Thanks to you, I can smile with Nonoka again.\Because you watched over me.\Really?\Yeah.\Koharu, I'm glad Monster-san is feeling better. response:	Yeah, because you never gave up on him.
context: Someday, with the others.\Yeah.\Thanks to you, I can smile with Nonoka again.\Because you watched over me.\Really?\Yeah.\Koharu, I'm glad Monster-san is feeling better.\Yeah, because you never gave up on him. response:	Souta!
context: Yeah.\Thanks to you, I can smile with Nonoka again.\Because you watched over me.\Really?\Yeah.\Koharu, I'm glad Monster-san is feeling better.\Yeah, because you never gave up on him.\Souta! response:	It's thanks to your help.
context: Thanks to you, I can smile with Nonoka again.\Because you watched over me.\Really?\Yeah.\Koharu, I'm glad Monster-san is feeling better.\Yeah, because you never gave up on him.\Souta!\It's thanks to your help. response:	Monster-san got better because you helped.
context: Because you watched over me.\Really?\Yeah.\Koharu, I'm glad Monster-san is feeling better.\Yeah, because you never gave up on him.\Souta!\It's thanks to your help.\Monster-san got better because you helped. response:	Right...
context: Really?\Yeah.\Koharu, I'm glad Monster-san is feeling better.\Yeah, because you never gave up on him.\Souta!\It's thanks to your help.\Monster-san got better because you helped.\Right... response:	Say thanks to Souta, too.
context: Yeah.\Koharu, I'm glad Monster-san is feeling better.\Yeah, because you never gave up on him.\Souta!\It's thanks to your help.\Monster-san got better because you helped.\Right...\Say thanks to Souta, too. response:	I know.
context: Koharu, I'm glad Monster-san is feeling better.\Yeah, because you never gave up on him.\Souta!\It's thanks to your help.\Monster-san got better because you helped.\Right...\Say thanks to Souta, too.\I know. response:	I know that.
context: Yeah, because you never gave up on him.\Souta!\It's thanks to your help.\Monster-san got better because you helped.\Right...\Say thanks to Souta, too.\I know.\I know that. response:	Yuzuki.
context: Souta!\It's thanks to your help.\Monster-san got better because you helped.\Right...\Say thanks to Souta, too.\I know.\I know that.\Yuzuki. response:	Go away!
context: It's thanks to your help.\Monster-san got better because you helped.\Right...\Say thanks to Souta, too.\I know.\I know that.\Yuzuki.\Go away! response:	You and Souta made me understand the true meaning of your wishes.
context: Monster-san got better because you helped.\Right...\Say thanks to Souta, too.\I know.\I know that.\Yuzuki.\Go away!\You and Souta made me understand the true meaning of your wishes. response:	I said nothing but awful things,
context: Right...\Say thanks to Souta, too.\I know.\I know that.\Yuzuki.\Go away!\You and Souta made me understand the true meaning of your wishes.\I said nothing but awful things, response:	like getting rid of the saucer.
context: Say thanks to Souta, too.\I know.\I know that.\Yuzuki.\Go away!\You and Souta made me understand the true meaning of your wishes.\I said nothing but awful things,\like getting rid of the saucer. response:	Noel.
context: I know.\I know that.\Yuzuki.\Go away!\You and Souta made me understand the true meaning of your wishes.\I said nothing but awful things,\like getting rid of the saucer.\Noel. response:	I'm sorry.
context: I know that.\Yuzuki.\Go away!\You and Souta made me understand the true meaning of your wishes.\I said nothing but awful things,\like getting rid of the saucer.\Noel.\I'm sorry. response:	I'm sorry.
context: Yuzuki.\Go away!\You and Souta made me understand the true meaning of your wishes.\I said nothing but awful things,\like getting rid of the saucer.\Noel.\I'm sorry.\I'm sorry. response:	Noel, I'll never forget about you.
context: Go away!\You and Souta made me understand the true meaning of your wishes.\I said nothing but awful things,\like getting rid of the saucer.\Noel.\I'm sorry.\I'm sorry.\Noel, I'll never forget about you. response:	I won't forget either.
context: You and Souta made me understand the true meaning of your wishes.\I said nothing but awful things,\like getting rid of the saucer.\Noel.\I'm sorry.\I'm sorry.\Noel, I'll never forget about you.\I won't forget either. response:	You gave me lots and lots of beautiful things.
context: I said nothing but awful things,\like getting rid of the saucer.\Noel.\I'm sorry.\I'm sorry.\Noel, I'll never forget about you.\I won't forget either.\You gave me lots and lots of beautiful things. response:	Nonoka.
context: like getting rid of the saucer.\Noel.\I'm sorry.\I'm sorry.\Noel, I'll never forget about you.\I won't forget either.\You gave me lots and lots of beautiful things.\Nonoka. response:	Nonoka.
context: Noel.\I'm sorry.\I'm sorry.\Noel, I'll never forget about you.\I won't forget either.\You gave me lots and lots of beautiful things.\Nonoka.\Nonoka. response:	I'm sorry.
context: I'm sorry.\I'm sorry.\Noel, I'll never forget about you.\I won't forget either.\You gave me lots and lots of beautiful things.\Nonoka.\Nonoka.\I'm sorry. response:	I have to smile.
context: I'm sorry.\Noel, I'll never forget about you.\I won't forget either.\You gave me lots and lots of beautiful things.\Nonoka.\Nonoka.\I'm sorry.\I have to smile. response:	I really, really have to.
context: Noel, I'll never forget about you.\I won't forget either.\You gave me lots and lots of beautiful things.\Nonoka.\Nonoka.\I'm sorry.\I have to smile.\I really, really have to. response:	Sorry, Noel.
context: I won't forget either.\You gave me lots and lots of beautiful things.\Nonoka.\Nonoka.\I'm sorry.\I have to smile.\I really, really have to.\Sorry, Noel. response:	Don't apologize, Nonoka.
context: You gave me lots and lots of beautiful things.\Nonoka.\Nonoka.\I'm sorry.\I have to smile.\I really, really have to.\Sorry, Noel.\Don't apologize, Nonoka. response:	Nonoka,
context: Nonoka.\Nonoka.\I'm sorry.\I have to smile.\I really, really have to.\Sorry, Noel.\Don't apologize, Nonoka.\Nonoka, response:	do you remember what your mother said?
context: Nonoka.\I'm sorry.\I have to smile.\I really, really have to.\Sorry, Noel.\Don't apologize, Nonoka.\Nonoka,\do you remember what your mother said? response:	Shione.
context: I'm sorry.\I have to smile.\I really, really have to.\Sorry, Noel.\Don't apologize, Nonoka.\Nonoka,\do you remember what your mother said?\Shione. response:	Yeah.
context: I have to smile.\I really, really have to.\Sorry, Noel.\Don't apologize, Nonoka.\Nonoka,\do you remember what your mother said?\Shione.\Yeah. response:	Nonoka.
context: I really, really have to.\Sorry, Noel.\Don't apologize, Nonoka.\Nonoka,\do you remember what your mother said?\Shione.\Yeah.\Nonoka. response:	Shione.
context: Sorry, Noel.\Don't apologize, Nonoka.\Nonoka,\do you remember what your mother said?\Shione.\Yeah.\Nonoka.\Shione. response:	Yuzuki. Souta. Koharu.
context: Don't apologize, Nonoka.\Nonoka,\do you remember what your mother said?\Shione.\Yeah.\Nonoka.\Shione.\Yuzuki. Souta. Koharu. response:	I love you all!
context: Nonoka,\do you remember what your mother said?\Shione.\Yeah.\Nonoka.\Shione.\Yuzuki. Souta. Koharu.\I love you all! response:	This is a meteor shower...
context: do you remember what your mother said?\Shione.\Yeah.\Nonoka.\Shione.\Yuzuki. Souta. Koharu.\I love you all!\This is a meteor shower... response:	Come on, Noel.
context: Shione.\Yeah.\Nonoka.\Shione.\Yuzuki. Souta. Koharu.\I love you all!\This is a meteor shower...\Come on, Noel. response:	Let's watch the meteor shower together.
context: Yeah.\Nonoka.\Shione.\Yuzuki. Souta. Koharu.\I love you all!\This is a meteor shower...\Come on, Noel.\Let's watch the meteor shower together. response:	Huh?
context: Nonoka.\Shione.\Yuzuki. Souta. Koharu.\I love you all!\This is a meteor shower...\Come on, Noel.\Let's watch the meteor shower together.\Huh? response:	I'm happy.
context: Shione.\Yuzuki. Souta. Koharu.\I love you all!\This is a meteor shower...\Come on, Noel.\Let's watch the meteor shower together.\Huh?\I'm happy. response:	I'm supposed to be really happy.
context: Yuzuki. Souta. Koharu.\I love you all!\This is a meteor shower...\Come on, Noel.\Let's watch the meteor shower together.\Huh?\I'm happy.\I'm supposed to be really happy. response:	You're all smiling.
context: I love you all!\This is a meteor shower...\Come on, Noel.\Let's watch the meteor shower together.\Huh?\I'm happy.\I'm supposed to be really happy.\You're all smiling. response:	And I...
context: This is a meteor shower...\Come on, Noel.\Let's watch the meteor shower together.\Huh?\I'm happy.\I'm supposed to be really happy.\You're all smiling.\And I... response:	Why won't it stop?
context: Come on, Noel.\Let's watch the meteor shower together.\Huh?\I'm happy.\I'm supposed to be really happy.\You're all smiling.\And I...\Why won't it stop? response:	Why does it keep overflowing?
context: Let's watch the meteor shower together.\Huh?\I'm happy.\I'm supposed to be really happy.\You're all smiling.\And I...\Why won't it stop?\Why does it keep overflowing? response:	Noel!
context: Huh?\I'm happy.\I'm supposed to be really happy.\You're all smiling.\And I...\Why won't it stop?\Why does it keep overflowing?\Noel! response:	Nonoka!
context: I'm happy.\I'm supposed to be really happy.\You're all smiling.\And I...\Why won't it stop?\Why does it keep overflowing?\Noel!\Nonoka! response:	Thanks.
context: I'm supposed to be really happy.\You're all smiling.\And I...\Why won't it stop?\Why does it keep overflowing?\Noel!\Nonoka!\Thanks. response:	Nonoka.
context: You're all smiling.\And I...\Why won't it stop?\Why does it keep overflowing?\Noel!\Nonoka!\Thanks.\Nonoka. response:	Nonoka!
context: And I...\Why won't it stop?\Why does it keep overflowing?\Noel!\Nonoka!\Thanks.\Nonoka.\Nonoka! response:	Are you all right?
context: Why won't it stop?\Why does it keep overflowing?\Noel!\Nonoka!\Thanks.\Nonoka.\Nonoka!\Are you all right? response:	Noel.
context: Why does it keep overflowing?\Noel!\Nonoka!\Thanks.\Nonoka.\Nonoka!\Are you all right?\Noel. response:	Is she really gone?
context: Noel!\Nonoka!\Thanks.\Nonoka.\Nonoka!\Are you all right?\Noel.\Is she really gone? response:	Why?
context: Nonoka!\Thanks.\Nonoka.\Nonoka!\Are you all right?\Noel.\Is she really gone?\Why? response:	You were prepared, weren't you?
context: Thanks.\Nonoka.\Nonoka!\Are you all right?\Noel.\Is she really gone?\Why?\You were prepared, weren't you? response:	Yeah, but still.
context: Nonoka.\Nonoka!\Are you all right?\Noel.\Is she really gone?\Why?\You were prepared, weren't you?\Yeah, but still. response:	The saucer!
context: Nonoka!\Are you all right?\Noel.\Is she really gone?\Why?\You were prepared, weren't you?\Yeah, but still.\The saucer! response:	Is this what you really wanted?
context: Are you all right?\Noel.\Is she really gone?\Why?\You were prepared, weren't you?\Yeah, but still.\The saucer!\Is this what you really wanted? response:	Noel?
context: Noel.\Is she really gone?\Why?\You were prepared, weren't you?\Yeah, but still.\The saucer!\Is this what you really wanted?\Noel? response:	Saucerless City
context: Is she really gone?\Why?\You were prepared, weren't you?\Yeah, but still.\The saucer!\Is this what you really wanted?\Noel?\Saucerless City response:	Next episode of Celestial Method : Saucerless City.
