context: Yeah, she got angry at me after all. response:	It was like she was possessed by a demon.
context: Is this for real?\Get a bunch of fireworks and mix the powder together to make one big one!\Stick it into a toilet paper roll.\No! It'll burn!\Isn't that the point?\This is scary! Kids are scary!\But back then we thought this could work.\Yeah. We really thought we could get this flying back then. response:	It would be way cooler than anything we had seen at festivals.
context: Get a bunch of fireworks and mix the powder together to make one big one!\Stick it into a toilet paper roll.\No! It'll burn!\Isn't that the point?\This is scary! Kids are scary!\But back then we thought this could work.\Yeah. We really thought we could get this flying back then.\It would be way cooler than anything we had seen at festivals. response:	We thought we could get it to fly.
context: Stick it into a toilet paper roll.\No! It'll burn!\Isn't that the point?\This is scary! Kids are scary!\But back then we thought this could work.\Yeah. We really thought we could get this flying back then.\It would be way cooler than anything we had seen at festivals.\We thought we could get it to fly. response:	It flew!
context: No! It'll burn!\Isn't that the point?\This is scary! Kids are scary!\But back then we thought this could work.\Yeah. We really thought we could get this flying back then.\It would be way cooler than anything we had seen at festivals.\We thought we could get it to fly.\It flew! response:	High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.
context: Isn't that the point?\This is scary! Kids are scary!\But back then we thought this could work.\Yeah. We really thought we could get this flying back then.\It would be way cooler than anything we had seen at festivals.\We thought we could get it to fly.\It flew!\High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there. response:	Yeah. Now it feels like we were more free to do anything back then.
context: This is scary! Kids are scary!\But back then we thought this could work.\Yeah. We really thought we could get this flying back then.\It would be way cooler than anything we had seen at festivals.\We thought we could get it to fly.\It flew!\High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.\Yeah. Now it feels like we were more free to do anything back then. response:	We agreed to think about how to proceed,
context: But back then we thought this could work.\Yeah. We really thought we could get this flying back then.\It would be way cooler than anything we had seen at festivals.\We thought we could get it to fly.\It flew!\High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.\Yeah. Now it feels like we were more free to do anything back then.\We agreed to think about how to proceed, response:	but really, it's hopeless no matter how you look at it.
context: Yeah. We really thought we could get this flying back then.\It would be way cooler than anything we had seen at festivals.\We thought we could get it to fly.\It flew!\High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.\Yeah. Now it feels like we were more free to do anything back then.\We agreed to think about how to proceed,\but really, it's hopeless no matter how you look at it. response:	But...
context: It would be way cooler than anything we had seen at festivals.\We thought we could get it to fly.\It flew!\High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.\Yeah. Now it feels like we were more free to do anything back then.\We agreed to think about how to proceed,\but really, it's hopeless no matter how you look at it.\But... response:	Just keep one thing in mind.
context: We thought we could get it to fly.\It flew!\High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.\Yeah. Now it feels like we were more free to do anything back then.\We agreed to think about how to proceed,\but really, it's hopeless no matter how you look at it.\But...\Just keep one thing in mind. response:	If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.
context: It flew!\High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.\Yeah. Now it feels like we were more free to do anything back then.\We agreed to think about how to proceed,\but really, it's hopeless no matter how you look at it.\But...\Just keep one thing in mind.\If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase. response:	Have you confirmed it with the Menma who's at your house?
context: High-schoolers looked like old people to us back then, but we thought we'd be able to do anything once we got there.\Yeah. Now it feels like we were more free to do anything back then.\We agreed to think about how to proceed,\but really, it's hopeless no matter how you look at it.\But...\Just keep one thing in mind.\If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.\Have you confirmed it with the Menma who's at your house? response:	Yukiatsu.
context: Yeah. Now it feels like we were more free to do anything back then.\We agreed to think about how to proceed,\but really, it's hopeless no matter how you look at it.\But...\Just keep one thing in mind.\If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.\Have you confirmed it with the Menma who's at your house?\Yukiatsu. response:	Asking her...
context: We agreed to think about how to proceed,\but really, it's hopeless no matter how you look at it.\But...\Just keep one thing in mind.\If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.\Have you confirmed it with the Menma who's at your house?\Yukiatsu.\Asking her... response:	Asking her directly is kind of scary.
context: but really, it's hopeless no matter how you look at it.\But...\Just keep one thing in mind.\If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.\Have you confirmed it with the Menma who's at your house?\Yukiatsu.\Asking her...\Asking her directly is kind of scary. response:	See ya.
context: But...\Just keep one thing in mind.\If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.\Have you confirmed it with the Menma who's at your house?\Yukiatsu.\Asking her...\Asking her directly is kind of scary.\See ya. response:	Deja vu.
context: Just keep one thing in mind.\If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.\Have you confirmed it with the Menma who's at your house?\Yukiatsu.\Asking her...\Asking her directly is kind of scary.\See ya.\Deja vu. response:	Huh?
context: If this isn't Menma's wish that you keep talking about, it'll just be a wild goose chase.\Have you confirmed it with the Menma who's at your house?\Yukiatsu.\Asking her...\Asking her directly is kind of scary.\See ya.\Deja vu.\Huh? response:	There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.
context: Have you confirmed it with the Menma who's at your house?\Yukiatsu.\Asking her...\Asking her directly is kind of scary.\See ya.\Deja vu.\Huh?\There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off. response:	So why didn't you tell everyone?
context: Yukiatsu.\Asking her...\Asking her directly is kind of scary.\See ya.\Deja vu.\Huh?\There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.\So why didn't you tell everyone? response:	If he hadn't told us to meet up at the hideout that day...
context: Asking her...\Asking her directly is kind of scary.\See ya.\Deja vu.\Huh?\There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.\So why didn't you tell everyone?\If he hadn't told us to meet up at the hideout that day... response:	Didn't Menma call us out that day?
context: Asking her directly is kind of scary.\See ya.\Deja vu.\Huh?\There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.\So why didn't you tell everyone?\If he hadn't told us to meet up at the hideout that day...\Didn't Menma call us out that day? response:	Huh?
context: See ya.\Deja vu.\Huh?\There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.\So why didn't you tell everyone?\If he hadn't told us to meet up at the hideout that day...\Didn't Menma call us out that day?\Huh? response:	Yeah. She called me by phone.
context: Deja vu.\Huh?\There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.\So why didn't you tell everyone?\If he hadn't told us to meet up at the hideout that day...\Didn't Menma call us out that day?\Huh?\Yeah. She called me by phone. response:	By phone?
context: Huh?\There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.\So why didn't you tell everyone?\If he hadn't told us to meet up at the hideout that day...\Didn't Menma call us out that day?\Huh?\Yeah. She called me by phone.\By phone? response:	That's right. She said she had something to talk about.
context: There's Jintan, always forging ahead. And poor Yukiatsu, seeing him off.\So why didn't you tell everyone?\If he hadn't told us to meet up at the hideout that day...\Didn't Menma call us out that day?\Huh?\Yeah. She called me by phone.\By phone?\That's right. She said she had something to talk about. response:	You've finally remembered that, so why didn't you tell everyone?
context: So why didn't you tell everyone?\If he hadn't told us to meet up at the hideout that day...\Didn't Menma call us out that day?\Huh?\Yeah. She called me by phone.\By phone?\That's right. She said she had something to talk about.\You've finally remembered that, so why didn't you tell everyone? response:	Because Yadomi was there.
context: If he hadn't told us to meet up at the hideout that day...\Didn't Menma call us out that day?\Huh?\Yeah. She called me by phone.\By phone?\That's right. She said she had something to talk about.\You've finally remembered that, so why didn't you tell everyone?\Because Yadomi was there. response:	Huh?
context: Didn't Menma call us out that day?\Huh?\Yeah. She called me by phone.\By phone?\That's right. She said she had something to talk about.\You've finally remembered that, so why didn't you tell everyone?\Because Yadomi was there.\Huh? response:	You're forgetting something important.
context: Huh?\Yeah. She called me by phone.\By phone?\That's right. She said she had something to talk about.\You've finally remembered that, so why didn't you tell everyone?\Because Yadomi was there.\Huh?\You're forgetting something important. response:	Menma told us to keep the meeting a secret from Yadomi.
context: Yeah. She called me by phone.\By phone?\That's right. She said she had something to talk about.\You've finally remembered that, so why didn't you tell everyone?\Because Yadomi was there.\Huh?\You're forgetting something important.\Menma told us to keep the meeting a secret from Yadomi. response:	Menma said that?
context: By phone?\That's right. She said she had something to talk about.\You've finally remembered that, so why didn't you tell everyone?\Because Yadomi was there.\Huh?\You're forgetting something important.\Menma told us to keep the meeting a secret from Yadomi.\Menma said that? response:	Fireworks?
context: That's right. She said she had something to talk about.\You've finally remembered that, so why didn't you tell everyone?\Because Yadomi was there.\Huh?\You're forgetting something important.\Menma told us to keep the meeting a secret from Yadomi.\Menma said that?\Fireworks? response:	I know someone who make them.
context: You've finally remembered that, so why didn't you tell everyone?\Because Yadomi was there.\Huh?\You're forgetting something important.\Menma told us to keep the meeting a secret from Yadomi.\Menma said that?\Fireworks?\I know someone who make them. response:	Really?
context: Because Yadomi was there.\Huh?\You're forgetting something important.\Menma told us to keep the meeting a secret from Yadomi.\Menma said that?\Fireworks?\I know someone who make them.\Really? response:	Yeah. An old guy from my work says he works as a pyrotechnician during festivals.
context: Huh?\You're forgetting something important.\Menma told us to keep the meeting a secret from Yadomi.\Menma said that?\Fireworks?\I know someone who make them.\Really?\Yeah. An old guy from my work says he works as a pyrotechnician during festivals. response:	Do you want to make fireworks?
context: You're forgetting something important.\Menma told us to keep the meeting a secret from Yadomi.\Menma said that?\Fireworks?\I know someone who make them.\Really?\Yeah. An old guy from my work says he works as a pyrotechnician during festivals.\Do you want to make fireworks? response:	What? Yeah.
context: Menma told us to keep the meeting a secret from Yadomi.\Menma said that?\Fireworks?\I know someone who make them.\Really?\Yeah. An old guy from my work says he works as a pyrotechnician during festivals.\Do you want to make fireworks?\What? Yeah. response:	Why?
context: Menma said that?\Fireworks?\I know someone who make them.\Really?\Yeah. An old guy from my work says he works as a pyrotechnician during festivals.\Do you want to make fireworks?\What? Yeah.\Why? response:	Why? No reason really.
context: Fireworks?\I know someone who make them.\Really?\Yeah. An old guy from my work says he works as a pyrotechnician during festivals.\Do you want to make fireworks?\What? Yeah.\Why?\Why? No reason really. response:	By yourself?
context: I know someone who make them.\Really?\Yeah. An old guy from my work says he works as a pyrotechnician during festivals.\Do you want to make fireworks?\What? Yeah.\Why?\Why? No reason really.\By yourself? response:	Oh, no. With Popo and the others.
context: Really?\Yeah. An old guy from my work says he works as a pyrotechnician during festivals.\Do you want to make fireworks?\What? Yeah.\Why?\Why? No reason really.\By yourself?\Oh, no. With Popo and the others. response:	What's with you?
context: Yeah. An old guy from my work says he works as a pyrotechnician during festivals.\Do you want to make fireworks?\What? Yeah.\Why?\Why? No reason really.\By yourself?\Oh, no. With Popo and the others.\What's with you? response:	No, it's nothing.
context: Do you want to make fireworks?\What? Yeah.\Why?\Why? No reason really.\By yourself?\Oh, no. With Popo and the others.\What's with you?\No, it's nothing. response:	So that's how it is. I'll ask him for you then.
context: What? Yeah.\Why?\Why? No reason really.\By yourself?\Oh, no. With Popo and the others.\What's with you?\No, it's nothing.\So that's how it is. I'll ask him for you then. response:	Jintan Jintan JINTAN JINTAN!
context: Why?\Why? No reason really.\By yourself?\Oh, no. With Popo and the others.\What's with you?\No, it's nothing.\So that's how it is. I'll ask him for you then.\Jintan Jintan JINTAN JINTAN! response:	I can't get out of Condal City!
context: Why? No reason really.\By yourself?\Oh, no. With Popo and the others.\What's with you?\No, it's nothing.\So that's how it is. I'll ask him for you then.\Jintan Jintan JINTAN JINTAN!\I can't get out of Condal City! response:	So what do you think? I'll get in touch with him.
context: By yourself?\Oh, no. With Popo and the others.\What's with you?\No, it's nothing.\So that's how it is. I'll ask him for you then.\Jintan Jintan JINTAN JINTAN!\I can't get out of Condal City!\So what do you think? I'll get in touch with him. response:	Let's talk about that later.
context: Oh, no. With Popo and the others.\What's with you?\No, it's nothing.\So that's how it is. I'll ask him for you then.\Jintan Jintan JINTAN JINTAN!\I can't get out of Condal City!\So what do you think? I'll get in touch with him.\Let's talk about that later. response:	Huh?
context: What's with you?\No, it's nothing.\So that's how it is. I'll ask him for you then.\Jintan Jintan JINTAN JINTAN!\I can't get out of Condal City!\So what do you think? I'll get in touch with him.\Let's talk about that later.\Huh? response:	Yeah, even the simple ones will cost you around that much.
context: No, it's nothing.\So that's how it is. I'll ask him for you then.\Jintan Jintan JINTAN JINTAN!\I can't get out of Condal City!\So what do you think? I'll get in touch with him.\Let's talk about that later.\Huh?\Yeah, even the simple ones will cost you around that much. response:	It's not that I'm not willing to let you try to make one though.
context: So that's how it is. I'll ask him for you then.\Jintan Jintan JINTAN JINTAN!\I can't get out of Condal City!\So what do you think? I'll get in touch with him.\Let's talk about that later.\Huh?\Yeah, even the simple ones will cost you around that much.\It's not that I'm not willing to let you try to make one though. response:	How'd it go?
context: Jintan Jintan JINTAN JINTAN!\I can't get out of Condal City!\So what do you think? I'll get in touch with him.\Let's talk about that later.\Huh?\Yeah, even the simple ones will cost you around that much.\It's not that I'm not willing to let you try to make one though.\How'd it go? response:	200,000 yen?
context: I can't get out of Condal City!\So what do you think? I'll get in touch with him.\Let's talk about that later.\Huh?\Yeah, even the simple ones will cost you around that much.\It's not that I'm not willing to let you try to make one though.\How'd it go?\200,000 yen? response:	Whoa, I haven't ever seen that much cash.
context: So what do you think? I'll get in touch with him.\Let's talk about that later.\Huh?\Yeah, even the simple ones will cost you around that much.\It's not that I'm not willing to let you try to make one though.\How'd it go?\200,000 yen?\Whoa, I haven't ever seen that much cash. response:	I know right.
context: Let's talk about that later.\Huh?\Yeah, even the simple ones will cost you around that much.\It's not that I'm not willing to let you try to make one though.\How'd it go?\200,000 yen?\Whoa, I haven't ever seen that much cash.\I know right. response:	Don't worry. It'll work out somehow.
context: Huh?\Yeah, even the simple ones will cost you around that much.\It's not that I'm not willing to let you try to make one though.\How'd it go?\200,000 yen?\Whoa, I haven't ever seen that much cash.\I know right.\Don't worry. It'll work out somehow. response:	Anaru and I can work ourselves to death with part-time jobs, right?
context: Yeah, even the simple ones will cost you around that much.\It's not that I'm not willing to let you try to make one though.\How'd it go?\200,000 yen?\Whoa, I haven't ever seen that much cash.\I know right.\Don't worry. It'll work out somehow.\Anaru and I can work ourselves to death with part-time jobs, right? response:	How about you stop deciding things for me?
context: It's not that I'm not willing to let you try to make one though.\How'd it go?\200,000 yen?\Whoa, I haven't ever seen that much cash.\I know right.\Don't worry. It'll work out somehow.\Anaru and I can work ourselves to death with part-time jobs, right?\How about you stop deciding things for me? response:	Part-time work.
context: How'd it go?\200,000 yen?\Whoa, I haven't ever seen that much cash.\I know right.\Don't worry. It'll work out somehow.\Anaru and I can work ourselves to death with part-time jobs, right?\How about you stop deciding things for me?\Part-time work. response:	Isn't it a good idea? We'd be helping each other out.
context: 200,000 yen?\Whoa, I haven't ever seen that much cash.\I know right.\Don't worry. It'll work out somehow.\Anaru and I can work ourselves to death with part-time jobs, right?\How about you stop deciding things for me?\Part-time work.\Isn't it a good idea? We'd be helping each other out. response:	But...
context: Whoa, I haven't ever seen that much cash.\I know right.\Don't worry. It'll work out somehow.\Anaru and I can work ourselves to death with part-time jobs, right?\How about you stop deciding things for me?\Part-time work.\Isn't it a good idea? We'd be helping each other out.\But... response:	What? It'll be easy if you work seven days a week!
context: I know right.\Don't worry. It'll work out somehow.\Anaru and I can work ourselves to death with part-time jobs, right?\How about you stop deciding things for me?\Part-time work.\Isn't it a good idea? We'd be helping each other out.\But...\What? It'll be easy if you work seven days a week! response:	What are you talking about? I still haven't agreed to do it.
context: Don't worry. It'll work out somehow.\Anaru and I can work ourselves to death with part-time jobs, right?\How about you stop deciding things for me?\Part-time work.\Isn't it a good idea? We'd be helping each other out.\But...\What? It'll be easy if you work seven days a week!\What are you talking about? I still haven't agreed to do it. response:	I'll do it too.
context: Anaru and I can work ourselves to death with part-time jobs, right?\How about you stop deciding things for me?\Part-time work.\Isn't it a good idea? We'd be helping each other out.\But...\What? It'll be easy if you work seven days a week!\What are you talking about? I still haven't agreed to do it.\I'll do it too. response:	I'll work part-time too.
context: How about you stop deciding things for me?\Part-time work.\Isn't it a good idea? We'd be helping each other out.\But...\What? It'll be easy if you work seven days a week!\What are you talking about? I still haven't agreed to do it.\I'll do it too.\I'll work part-time too. response:	You enter the cash you receive here.
context: Part-time work.\Isn't it a good idea? We'd be helping each other out.\But...\What? It'll be easy if you work seven days a week!\What are you talking about? I still haven't agreed to do it.\I'll do it too.\I'll work part-time too.\You enter the cash you receive here. response:	This is the used price, and this one's for new items...
context: Isn't it a good idea? We'd be helping each other out.\But...\What? It'll be easy if you work seven days a week!\What are you talking about? I still haven't agreed to do it.\I'll do it too.\I'll work part-time too.\You enter the cash you receive here.\This is the used price, and this one's for new items... response:	Oh, and so you put the balance in here.
context: But...\What? It'll be easy if you work seven days a week!\What are you talking about? I still haven't agreed to do it.\I'll do it too.\I'll work part-time too.\You enter the cash you receive here.\This is the used price, and this one's for new items...\Oh, and so you put the balance in here. response:	How come you've instantly picked up the technique it took me a month to master...
context: What? It'll be easy if you work seven days a week!\What are you talking about? I still haven't agreed to do it.\I'll do it too.\I'll work part-time too.\You enter the cash you receive here.\This is the used price, and this one's for new items...\Oh, and so you put the balance in here.\How come you've instantly picked up the technique it took me a month to master... response:	It took you way too long.
context: What are you talking about? I still haven't agreed to do it.\I'll do it too.\I'll work part-time too.\You enter the cash you receive here.\This is the used price, and this one's for new items...\Oh, and so you put the balance in here.\How come you've instantly picked up the technique it took me a month to master...\It took you way too long. response:	You suck at this part.
context: I'll do it too.\I'll work part-time too.\You enter the cash you receive here.\This is the used price, and this one's for new items...\Oh, and so you put the balance in here.\How come you've instantly picked up the technique it took me a month to master...\It took you way too long.\You suck at this part. response:	Shut up.
context: I'll work part-time too.\You enter the cash you receive here.\This is the used price, and this one's for new items...\Oh, and so you put the balance in here.\How come you've instantly picked up the technique it took me a month to master...\It took you way too long.\You suck at this part.\Shut up. response:	Here's the next group.
context: You enter the cash you receive here.\This is the used price, and this one's for new items...\Oh, and so you put the balance in here.\How come you've instantly picked up the technique it took me a month to master...\It took you way too long.\You suck at this part.\Shut up.\Here's the next group. response:	She's that girl people are talking about.
context: This is the used price, and this one's for new items...\Oh, and so you put the balance in here.\How come you've instantly picked up the technique it took me a month to master...\It took you way too long.\You suck at this part.\Shut up.\Here's the next group.\She's that girl people are talking about. response:	So she showed up to her job.
context: Oh, and so you put the balance in here.\How come you've instantly picked up the technique it took me a month to master...\It took you way too long.\You suck at this part.\Shut up.\Here's the next group.\She's that girl people are talking about.\So she showed up to her job. response:	She skipped school but...
context: How come you've instantly picked up the technique it took me a month to master...\It took you way too long.\You suck at this part.\Shut up.\Here's the next group.\She's that girl people are talking about.\So she showed up to her job.\She skipped school but... response:	Hey is that the guy who doesn't go to school?
context: It took you way too long.\You suck at this part.\Shut up.\Here's the next group.\She's that girl people are talking about.\So she showed up to her job.\She skipped school but...\Hey is that the guy who doesn't go to school? response:	You're right. You think they're hookin' up?
context: You suck at this part.\Shut up.\Here's the next group.\She's that girl people are talking about.\So she showed up to her job.\She skipped school but...\Hey is that the guy who doesn't go to school?\You're right. You think they're hookin' up? response:	That must be nice. I want to hit that too...
context: Shut up.\Here's the next group.\She's that girl people are talking about.\So she showed up to her job.\She skipped school but...\Hey is that the guy who doesn't go to school?\You're right. You think they're hookin' up?\That must be nice. I want to hit that too... response:	W-el-come!
context: Here's the next group.\She's that girl people are talking about.\So she showed up to her job.\She skipped school but...\Hey is that the guy who doesn't go to school?\You're right. You think they're hookin' up?\That must be nice. I want to hit that too...\W-el-come! response:	What's up with him?
context: She's that girl people are talking about.\So she showed up to her job.\She skipped school but...\Hey is that the guy who doesn't go to school?\You're right. You think they're hookin' up?\That must be nice. I want to hit that too...\W-el-come!\What's up with him? response:	H-how was that?
context: So she showed up to her job.\She skipped school but...\Hey is that the guy who doesn't go to school?\You're right. You think they're hookin' up?\That must be nice. I want to hit that too...\W-el-come!\What's up with him?\H-how was that? response:	Wasn't that awesome?
context: She skipped school but...\Hey is that the guy who doesn't go to school?\You're right. You think they're hookin' up?\That must be nice. I want to hit that too...\W-el-come!\What's up with him?\H-how was that?\Wasn't that awesome? response:	What's with you?
context: Hey is that the guy who doesn't go to school?\You're right. You think they're hookin' up?\That must be nice. I want to hit that too...\W-el-come!\What's up with him?\H-how was that?\Wasn't that awesome?\What's with you? response:	I'm not sure.
context: You're right. You think they're hookin' up?\That must be nice. I want to hit that too...\W-el-come!\What's up with him?\H-how was that?\Wasn't that awesome?\What's with you?\I'm not sure. response:	When we're like this...
context: That must be nice. I want to hit that too...\W-el-come!\What's up with him?\H-how was that?\Wasn't that awesome?\What's with you?\I'm not sure.\When we're like this... response:	It's the same way it was back then.
context: W-el-come!\What's up with him?\H-how was that?\Wasn't that awesome?\What's with you?\I'm not sure.\When we're like this...\It's the same way it was back then. response:	Hand me the tape Jintan.
context: What's up with him?\H-how was that?\Wasn't that awesome?\What's with you?\I'm not sure.\When we're like this...\It's the same way it was back then.\Hand me the tape Jintan. response:	Ya...domi.
context: H-how was that?\Wasn't that awesome?\What's with you?\I'm not sure.\When we're like this...\It's the same way it was back then.\Hand me the tape Jintan.\Ya...domi. response:	Catch, Anaru.
context: Wasn't that awesome?\What's with you?\I'm not sure.\When we're like this...\It's the same way it was back then.\Hand me the tape Jintan.\Ya...domi.\Catch, Anaru. response:	Pretend that didn't happen!
context: What's with you?\I'm not sure.\When we're like this...\It's the same way it was back then.\Hand me the tape Jintan.\Ya...domi.\Catch, Anaru.\Pretend that didn't happen! response:	Nice catch.
context: I'm not sure.\When we're like this...\It's the same way it was back then.\Hand me the tape Jintan.\Ya...domi.\Catch, Anaru.\Pretend that didn't happen!\Nice catch. response:	Yadomi's got a job?
context: When we're like this...\It's the same way it was back then.\Hand me the tape Jintan.\Ya...domi.\Catch, Anaru.\Pretend that didn't happen!\Nice catch.\Yadomi's got a job? response:	It looks like he's serious about the fireworks.
context: It's the same way it was back then.\Hand me the tape Jintan.\Ya...domi.\Catch, Anaru.\Pretend that didn't happen!\Nice catch.\Yadomi's got a job?\It looks like he's serious about the fireworks. response:	What are you going to do? Should we set up some kind of fund-raiser?
context: Hand me the tape Jintan.\Ya...domi.\Catch, Anaru.\Pretend that didn't happen!\Nice catch.\Yadomi's got a job?\It looks like he's serious about the fireworks.\What are you going to do? Should we set up some kind of fund-raiser? response:	Are you going to get caught up in Yadomi's little hobbies?
context: Ya...domi.\Catch, Anaru.\Pretend that didn't happen!\Nice catch.\Yadomi's got a job?\It looks like he's serious about the fireworks.\What are you going to do? Should we set up some kind of fund-raiser?\Are you going to get caught up in Yadomi's little hobbies? response:	I'll pass if you're not going to participate.
context: Catch, Anaru.\Pretend that didn't happen!\Nice catch.\Yadomi's got a job?\It looks like he's serious about the fireworks.\What are you going to do? Should we set up some kind of fund-raiser?\Are you going to get caught up in Yadomi's little hobbies?\I'll pass if you're not going to participate. response:	Hey, wanna hang out a bit?
context: Pretend that didn't happen!\Nice catch.\Yadomi's got a job?\It looks like he's serious about the fireworks.\What are you going to do? Should we set up some kind of fund-raiser?\Are you going to get caught up in Yadomi's little hobbies?\I'll pass if you're not going to participate.\Hey, wanna hang out a bit? response:	We could grab tea or something.
context: Nice catch.\Yadomi's got a job?\It looks like he's serious about the fireworks.\What are you going to do? Should we set up some kind of fund-raiser?\Are you going to get caught up in Yadomi's little hobbies?\I'll pass if you're not going to participate.\Hey, wanna hang out a bit?\We could grab tea or something. response:	I can't. I have exams coming up.
context: Yadomi's got a job?\It looks like he's serious about the fireworks.\What are you going to do? Should we set up some kind of fund-raiser?\Are you going to get caught up in Yadomi's little hobbies?\I'll pass if you're not going to participate.\Hey, wanna hang out a bit?\We could grab tea or something.\I can't. I have exams coming up. response:	You're not ranked fourth in your year for nothing.
context: It looks like he's serious about the fireworks.\What are you going to do? Should we set up some kind of fund-raiser?\Are you going to get caught up in Yadomi's little hobbies?\I'll pass if you're not going to participate.\Hey, wanna hang out a bit?\We could grab tea or something.\I can't. I have exams coming up.\You're not ranked fourth in your year for nothing. response:	The guy ranked second in his year shouldn't be talking.
context: What are you going to do? Should we set up some kind of fund-raiser?\Are you going to get caught up in Yadomi's little hobbies?\I'll pass if you're not going to participate.\Hey, wanna hang out a bit?\We could grab tea or something.\I can't. I have exams coming up.\You're not ranked fourth in your year for nothing.\The guy ranked second in his year shouldn't be talking. response:	Later.
context: Are you going to get caught up in Yadomi's little hobbies?\I'll pass if you're not going to participate.\Hey, wanna hang out a bit?\We could grab tea or something.\I can't. I have exams coming up.\You're not ranked fourth in your year for nothing.\The guy ranked second in his year shouldn't be talking.\Later. response:	Hanging out with you brings its own difficulties you know.
context: I'll pass if you're not going to participate.\Hey, wanna hang out a bit?\We could grab tea or something.\I can't. I have exams coming up.\You're not ranked fourth in your year for nothing.\The guy ranked second in his year shouldn't be talking.\Later.\Hanging out with you brings its own difficulties you know. response:	Back to work.
context: Hey, wanna hang out a bit?\We could grab tea or something.\I can't. I have exams coming up.\You're not ranked fourth in your year for nothing.\The guy ranked second in his year shouldn't be talking.\Later.\Hanging out with you brings its own difficulties you know.\Back to work. response:	I'm home.
context: We could grab tea or something.\I can't. I have exams coming up.\You're not ranked fourth in your year for nothing.\The guy ranked second in his year shouldn't be talking.\Later.\Hanging out with you brings its own difficulties you know.\Back to work.\I'm home. response:	You're so late, Jintan... you delinquent!
context: I can't. I have exams coming up.\You're not ranked fourth in your year for nothing.\The guy ranked second in his year shouldn't be talking.\Later.\Hanging out with you brings its own difficulties you know.\Back to work.\I'm home.\You're so late, Jintan... you delinquent! response:	Jintan!
context: You're not ranked fourth in your year for nothing.\The guy ranked second in his year shouldn't be talking.\Later.\Hanging out with you brings its own difficulties you know.\Back to work.\I'm home.\You're so late, Jintan... you delinquent!\Jintan! response:	I'm going to take a bath.
context: The guy ranked second in his year shouldn't be talking.\Later.\Hanging out with you brings its own difficulties you know.\Back to work.\I'm home.\You're so late, Jintan... you delinquent!\Jintan!\I'm going to take a bath. response:	He's definitely acting weird.
context: Later.\Hanging out with you brings its own difficulties you know.\Back to work.\I'm home.\You're so late, Jintan... you delinquent!\Jintan!\I'm going to take a bath.\He's definitely acting weird. response:	He goes to sleep right away at night.
context: Hanging out with you brings its own difficulties you know.\Back to work.\I'm home.\You're so late, Jintan... you delinquent!\Jintan!\I'm going to take a bath.\He's definitely acting weird.\He goes to sleep right away at night. response:	I'm off!
context: Back to work.\I'm home.\You're so late, Jintan... you delinquent!\Jintan!\I'm going to take a bath.\He's definitely acting weird.\He goes to sleep right away at night.\I'm off! response:	Be careful!
context: I'm home.\You're so late, Jintan... you delinquent!\Jintan!\I'm going to take a bath.\He's definitely acting weird.\He goes to sleep right away at night.\I'm off!\Be careful! response:	He leaves right away in the morning.
context: You're so late, Jintan... you delinquent!\Jintan!\I'm going to take a bath.\He's definitely acting weird.\He goes to sleep right away at night.\I'm off!\Be careful!\He leaves right away in the morning. response:	Time for today's Puppy Corner.
context: Jintan!\I'm going to take a bath.\He's definitely acting weird.\He goes to sleep right away at night.\I'm off!\Be careful!\He leaves right away in the morning.\Time for today's Puppy Corner. response:	If the puppy is a girl, it means Jintan is doing something weird.
context: I'm going to take a bath.\He's definitely acting weird.\He goes to sleep right away at night.\I'm off!\Be careful!\He leaves right away in the morning.\Time for today's Puppy Corner.\If the puppy is a girl, it means Jintan is doing something weird. response:	Wow, this pumpkin is perfect!
context: He's definitely acting weird.\He goes to sleep right away at night.\I'm off!\Be careful!\He leaves right away in the morning.\Time for today's Puppy Corner.\If the puppy is a girl, it means Jintan is doing something weird.\Wow, this pumpkin is perfect! response:	Today's puppy is Oscar, a girl. She's 7 years old.
