context: K- Kuririn, you handed it over pretty easily, considering, huh? response:	You had to work so hard to get that Dragon Ball, too.
context: Tell him I said that I will come to Earth before long,\and this time, I will blow both you and the Earth away.\It's around time for you to be missing your mother's milk, isn't it?\Hurry back to Earth, now.\That hurt!\But still...\Dammit! Isn't he back yet!?\Kuririn, I've taken down the house, and returned it to its Capsule. response:	Isn't Gohan- kun back yet?
context: and this time, I will blow both you and the Earth away.\It's around time for you to be missing your mother's milk, isn't it?\Hurry back to Earth, now.\That hurt!\But still...\Dammit! Isn't he back yet!?\Kuririn, I've taken down the house, and returned it to its Capsule.\Isn't Gohan- kun back yet? response:	I- I don't see him yet.
context: It's around time for you to be missing your mother's milk, isn't it?\Hurry back to Earth, now.\That hurt!\But still...\Dammit! Isn't he back yet!?\Kuririn, I've taken down the house, and returned it to its Capsule.\Isn't Gohan- kun back yet?\I- I don't see him yet. response:	I sure hope he wasn't discovered by Vegeta.
context: Hurry back to Earth, now.\That hurt!\But still...\Dammit! Isn't he back yet!?\Kuririn, I've taken down the house, and returned it to its Capsule.\Isn't Gohan- kun back yet?\I- I don't see him yet.\I sure hope he wasn't discovered by Vegeta. response:	Vegeta has found out about this place.
context: That hurt!\But still...\Dammit! Isn't he back yet!?\Kuririn, I've taken down the house, and returned it to its Capsule.\Isn't Gohan- kun back yet?\I- I don't see him yet.\I sure hope he wasn't discovered by Vegeta.\Vegeta has found out about this place. response:	We have to change locations, fast.
context: But still...\Dammit! Isn't he back yet!?\Kuririn, I've taken down the house, and returned it to its Capsule.\Isn't Gohan- kun back yet?\I- I don't see him yet.\I sure hope he wasn't discovered by Vegeta.\Vegeta has found out about this place.\We have to change locations, fast. response:	What is Gohan doing!? Hurry! Hurry!
context: Dammit! Isn't he back yet!?\Kuririn, I've taken down the house, and returned it to its Capsule.\Isn't Gohan- kun back yet?\I- I don't see him yet.\I sure hope he wasn't discovered by Vegeta.\Vegeta has found out about this place.\We have to change locations, fast.\What is Gohan doing!? Hurry! Hurry! response:	Kuririn- san!
context: Kuririn, I've taken down the house, and returned it to its Capsule.\Isn't Gohan- kun back yet?\I- I don't see him yet.\I sure hope he wasn't discovered by Vegeta.\Vegeta has found out about this place.\We have to change locations, fast.\What is Gohan doing!? Hurry! Hurry!\Kuririn- san! response:	He's here!
context: Isn't Gohan- kun back yet?\I- I don't see him yet.\I sure hope he wasn't discovered by Vegeta.\Vegeta has found out about this place.\We have to change locations, fast.\What is Gohan doing!? Hurry! Hurry!\Kuririn- san!\He's here! response:	Kuririn- san, I found this!
context: I- I don't see him yet.\I sure hope he wasn't discovered by Vegeta.\Vegeta has found out about this place.\We have to change locations, fast.\What is Gohan doing!? Hurry! Hurry!\Kuririn- san!\He's here!\Kuririn- san, I found this! response:	You did it! We've been waiting for this!
context: I sure hope he wasn't discovered by Vegeta.\Vegeta has found out about this place.\We have to change locations, fast.\What is Gohan doing!? Hurry! Hurry!\Kuririn- san!\He's here!\Kuririn- san, I found this!\You did it! We've been waiting for this! response:	Gohan- kun, way to go!
context: Vegeta has found out about this place.\We have to change locations, fast.\What is Gohan doing!? Hurry! Hurry!\Kuririn- san!\He's here!\Kuririn- san, I found this!\You did it! We've been waiting for this!\Gohan- kun, way to go! response:	Gohan, I'll fill you in on the details later,
context: We have to change locations, fast.\What is Gohan doing!? Hurry! Hurry!\Kuririn- san!\He's here!\Kuririn- san, I found this!\You did it! We've been waiting for this!\Gohan- kun, way to go!\Gohan, I'll fill you in on the details later, response:	but we have to hurry and get away from here,
context: What is Gohan doing!? Hurry! Hurry!\Kuririn- san!\He's here!\Kuririn- san, I found this!\You did it! We've been waiting for this!\Gohan- kun, way to go!\Gohan, I'll fill you in on the details later,\but we have to hurry and get away from here, response:	or things are going to get dicey.
context: Kuririn- san!\He's here!\Kuririn- san, I found this!\You did it! We've been waiting for this!\Gohan- kun, way to go!\Gohan, I'll fill you in on the details later,\but we have to hurry and get away from here,\or things are going to get dicey. response:	I know most of it already. Vegeta found me, too.
context: He's here!\Kuririn- san, I found this!\You did it! We've been waiting for this!\Gohan- kun, way to go!\Gohan, I'll fill you in on the details later,\but we have to hurry and get away from here,\or things are going to get dicey.\I know most of it already. Vegeta found me, too. response:	But I managed to hide the Dragon Ball somehow,
context: Kuririn- san, I found this!\You did it! We've been waiting for this!\Gohan- kun, way to go!\Gohan, I'll fill you in on the details later,\but we have to hurry and get away from here,\or things are going to get dicey.\I know most of it already. Vegeta found me, too.\But I managed to hide the Dragon Ball somehow, response:	so I got away without him finding it.
context: You did it! We've been waiting for this!\Gohan- kun, way to go!\Gohan, I'll fill you in on the details later,\but we have to hurry and get away from here,\or things are going to get dicey.\I know most of it already. Vegeta found me, too.\But I managed to hide the Dragon Ball somehow,\so I got away without him finding it. response:	Y- you were lucky, too, huh?
context: Gohan- kun, way to go!\Gohan, I'll fill you in on the details later,\but we have to hurry and get away from here,\or things are going to get dicey.\I know most of it already. Vegeta found me, too.\But I managed to hide the Dragon Ball somehow,\so I got away without him finding it.\Y- you were lucky, too, huh? response:	Kuririn, Gohan- kun, let's just get moving.
context: Gohan, I'll fill you in on the details later,\but we have to hurry and get away from here,\or things are going to get dicey.\I know most of it already. Vegeta found me, too.\But I managed to hide the Dragon Ball somehow,\so I got away without him finding it.\Y- you were lucky, too, huh?\Kuririn, Gohan- kun, let's just get moving. response:	-Right. -Yeah.
context: but we have to hurry and get away from here,\or things are going to get dicey.\I know most of it already. Vegeta found me, too.\But I managed to hide the Dragon Ball somehow,\so I got away without him finding it.\Y- you were lucky, too, huh?\Kuririn, Gohan- kun, let's just get moving.\-Right. -Yeah. response:	This is the lake.
context: or things are going to get dicey.\I know most of it already. Vegeta found me, too.\But I managed to hide the Dragon Ball somehow,\so I got away without him finding it.\Y- you were lucky, too, huh?\Kuririn, Gohan- kun, let's just get moving.\-Right. -Yeah.\This is the lake. response:	The Dragon Ball is submerged in here.
context: I know most of it already. Vegeta found me, too.\But I managed to hide the Dragon Ball somehow,\so I got away without him finding it.\Y- you were lucky, too, huh?\Kuririn, Gohan- kun, let's just get moving.\-Right. -Yeah.\This is the lake.\The Dragon Ball is submerged in here. response:	Once I pull it out...
context: But I managed to hide the Dragon Ball somehow,\so I got away without him finding it.\Y- you were lucky, too, huh?\Kuririn, Gohan- kun, let's just get moving.\-Right. -Yeah.\This is the lake.\The Dragon Ball is submerged in here.\Once I pull it out... response:	Take that, Freeza!
context: so I got away without him finding it.\Y- you were lucky, too, huh?\Kuririn, Gohan- kun, let's just get moving.\-Right. -Yeah.\This is the lake.\The Dragon Ball is submerged in here.\Once I pull it out...\Take that, Freeza! response:	As of right now, the universe belongs to me.
context: Y- you were lucky, too, huh?\Kuririn, Gohan- kun, let's just get moving.\-Right. -Yeah.\This is the lake.\The Dragon Ball is submerged in here.\Once I pull it out...\Take that, Freeza!\As of right now, the universe belongs to me. response:	That's strange. lt was definitely submerged in this area.
context: Kuririn, Gohan- kun, let's just get moving.\-Right. -Yeah.\This is the lake.\The Dragon Ball is submerged in here.\Once I pull it out...\Take that, Freeza!\As of right now, the universe belongs to me.\That's strange. lt was definitely submerged in this area. response:	lt's gone! lmpossible!
context: -Right. -Yeah.\This is the lake.\The Dragon Ball is submerged in here.\Once I pull it out...\Take that, Freeza!\As of right now, the universe belongs to me.\That's strange. lt was definitely submerged in this area.\lt's gone! lmpossible! response:	lt was him!
context: This is the lake.\The Dragon Ball is submerged in here.\Once I pull it out...\Take that, Freeza!\As of right now, the universe belongs to me.\That's strange. lt was definitely submerged in this area.\lt's gone! lmpossible!\lt was him! response:	The place where I ran into that kid...
context: The Dragon Ball is submerged in here.\Once I pull it out...\Take that, Freeza!\As of right now, the universe belongs to me.\That's strange. lt was definitely submerged in this area.\lt's gone! lmpossible!\lt was him!\The place where I ran into that kid... response:	Why, that miserable brat!
context: Once I pull it out...\Take that, Freeza!\As of right now, the universe belongs to me.\That's strange. lt was definitely submerged in this area.\lt's gone! lmpossible!\lt was him!\The place where I ran into that kid...\Why, that miserable brat! response:	But how did he search for the Dragon Ball?
context: Take that, Freeza!\As of right now, the universe belongs to me.\That's strange. lt was definitely submerged in this area.\lt's gone! lmpossible!\lt was him!\The place where I ran into that kid...\Why, that miserable brat!\But how did he search for the Dragon Ball? response:	This is a clock!
context: As of right now, the universe belongs to me.\That's strange. lt was definitely submerged in this area.\lt's gone! lmpossible!\lt was him!\The place where I ran into that kid...\Why, that miserable brat!\But how did he search for the Dragon Ball?\This is a clock! response:	That was no clock! lt was radar!
context: That's strange. lt was definitely submerged in this area.\lt's gone! lmpossible!\lt was him!\The place where I ran into that kid...\Why, that miserable brat!\But how did he search for the Dragon Ball?\This is a clock!\That was no clock! lt was radar! response:	Damn it!
context: lt's gone! lmpossible!\lt was him!\The place where I ran into that kid...\Why, that miserable brat!\But how did he search for the Dragon Ball?\This is a clock!\That was no clock! lt was radar!\Damn it! response:	You Earthling punks!
context: lt was him!\The place where I ran into that kid...\Why, that miserable brat!\But how did he search for the Dragon Ball?\This is a clock!\That was no clock! lt was radar!\Damn it!\You Earthling punks! response:	Play me for a fool, will you!? You'll pay for this!
context: The place where I ran into that kid...\Why, that miserable brat!\But how did he search for the Dragon Ball?\This is a clock!\That was no clock! lt was radar!\Damn it!\You Earthling punks!\Play me for a fool, will you!? You'll pay for this! response:	Damn it all!
context: Why, that miserable brat!\But how did he search for the Dragon Ball?\This is a clock!\That was no clock! lt was radar!\Damn it!\You Earthling punks!\Play me for a fool, will you!? You'll pay for this!\Damn it all! response:	Damn it all! Damn it all!
context: But how did he search for the Dragon Ball?\This is a clock!\That was no clock! lt was radar!\Damn it!\You Earthling punks!\Play me for a fool, will you!? You'll pay for this!\Damn it all!\Damn it all! Damn it all! response:	Where are you, you punk kids!?
context: This is a clock!\That was no clock! lt was radar!\Damn it!\You Earthling punks!\Play me for a fool, will you!? You'll pay for this!\Damn it all!\Damn it all! Damn it all!\Where are you, you punk kids!? response:	Come on out, or you'll be sorry!
context: That was no clock! lt was radar!\Damn it!\You Earthling punks!\Play me for a fool, will you!? You'll pay for this!\Damn it all!\Damn it all! Damn it all!\Where are you, you punk kids!?\Come on out, or you'll be sorry! response:	Dammit, they've disappeared, have they!?
context: Damn it!\You Earthling punks!\Play me for a fool, will you!? You'll pay for this!\Damn it all!\Damn it all! Damn it all!\Where are you, you punk kids!?\Come on out, or you'll be sorry!\Dammit, they've disappeared, have they!? response:	Damn it all, I can't sense their presence, either.
context: You Earthling punks!\Play me for a fool, will you!? You'll pay for this!\Damn it all!\Damn it all! Damn it all!\Where are you, you punk kids!?\Come on out, or you'll be sorry!\Dammit, they've disappeared, have they!?\Damn it all, I can't sense their presence, either. response:	Those brats are able to control their presence all the way down to zero.
context: Play me for a fool, will you!? You'll pay for this!\Damn it all!\Damn it all! Damn it all!\Where are you, you punk kids!?\Come on out, or you'll be sorry!\Dammit, they've disappeared, have they!?\Damn it all, I can't sense their presence, either.\Those brats are able to control their presence all the way down to zero. response:	I can't find them like this.
context: Damn it all!\Damn it all! Damn it all!\Where are you, you punk kids!?\Come on out, or you'll be sorry!\Dammit, they've disappeared, have they!?\Damn it all, I can't sense their presence, either.\Those brats are able to control their presence all the way down to zero.\I can't find them like this. response:	Those rotten Earthlings! That was an insolent stunt to pull!
context: Damn it all! Damn it all!\Where are you, you punk kids!?\Come on out, or you'll be sorry!\Dammit, they've disappeared, have they!?\Damn it all, I can't sense their presence, either.\Those brats are able to control their presence all the way down to zero.\I can't find them like this.\Those rotten Earthlings! That was an insolent stunt to pull! response:	But they are sure to come after the six Dragon Balls that I have at some point.
context: Where are you, you punk kids!?\Come on out, or you'll be sorry!\Dammit, they've disappeared, have they!?\Damn it all, I can't sense their presence, either.\Those brats are able to control their presence all the way down to zero.\I can't find them like this.\Those rotten Earthlings! That was an insolent stunt to pull!\But they are sure to come after the six Dragon Balls that I have at some point. response:	And when they do...
context: Come on out, or you'll be sorry!\Dammit, they've disappeared, have they!?\Damn it all, I can't sense their presence, either.\Those brats are able to control their presence all the way down to zero.\I can't find them like this.\Those rotten Earthlings! That was an insolent stunt to pull!\But they are sure to come after the six Dragon Balls that I have at some point.\And when they do... response:	It's okay.
context: Dammit, they've disappeared, have they!?\Damn it all, I can't sense their presence, either.\Those brats are able to control their presence all the way down to zero.\I can't find them like this.\Those rotten Earthlings! That was an insolent stunt to pull!\But they are sure to come after the six Dragon Balls that I have at some point.\And when they do...\It's okay. response:	He won't find us here.
context: Damn it all, I can't sense their presence, either.\Those brats are able to control their presence all the way down to zero.\I can't find them like this.\Those rotten Earthlings! That was an insolent stunt to pull!\But they are sure to come after the six Dragon Balls that I have at some point.\And when they do...\It's okay.\He won't find us here. response:	Hold on a minute.
context: Those brats are able to control their presence all the way down to zero.\I can't find them like this.\Those rotten Earthlings! That was an insolent stunt to pull!\But they are sure to come after the six Dragon Balls that I have at some point.\And when they do...\It's okay.\He won't find us here.\Hold on a minute. response:	I can't even set up the house in a place as tight as this, can I?
context: I can't find them like this.\Those rotten Earthlings! That was an insolent stunt to pull!\But they are sure to come after the six Dragon Balls that I have at some point.\And when they do...\It's okay.\He won't find us here.\Hold on a minute.\I can't even set up the house in a place as tight as this, can I? response:	Please don't ask the impossible.
context: Those rotten Earthlings! That was an insolent stunt to pull!\But they are sure to come after the six Dragon Balls that I have at some point.\And when they do...\It's okay.\He won't find us here.\Hold on a minute.\I can't even set up the house in a place as tight as this, can I?\Please don't ask the impossible. response:	There aren't too many caves like that last one, after all.
context: But they are sure to come after the six Dragon Balls that I have at some point.\And when they do...\It's okay.\He won't find us here.\Hold on a minute.\I can't even set up the house in a place as tight as this, can I?\Please don't ask the impossible.\There aren't too many caves like that last one, after all. response:	We just have to put up with it until Father arrives, Bulma- san.
context: And when they do...\It's okay.\He won't find us here.\Hold on a minute.\I can't even set up the house in a place as tight as this, can I?\Please don't ask the impossible.\There aren't too many caves like that last one, after all.\We just have to put up with it until Father arrives, Bulma- san. response:	Huh? You mean, until Son- kun gets here, a lady such as myself
context: It's okay.\He won't find us here.\Hold on a minute.\I can't even set up the house in a place as tight as this, can I?\Please don't ask the impossible.\There aren't too many caves like that last one, after all.\We just have to put up with it until Father arrives, Bulma- san.\Huh? You mean, until Son- kun gets here, a lady such as myself response:	is going to have to stay here, in a place that doesn't even have a bathroom,
context: He won't find us here.\Hold on a minute.\I can't even set up the house in a place as tight as this, can I?\Please don't ask the impossible.\There aren't too many caves like that last one, after all.\We just have to put up with it until Father arrives, Bulma- san.\Huh? You mean, until Son- kun gets here, a lady such as myself\is going to have to stay here, in a place that doesn't even have a bathroom, response:	together with you guys?
context: Hold on a minute.\I can't even set up the house in a place as tight as this, can I?\Please don't ask the impossible.\There aren't too many caves like that last one, after all.\We just have to put up with it until Father arrives, Bulma- san.\Huh? You mean, until Son- kun gets here, a lady such as myself\is going to have to stay here, in a place that doesn't even have a bathroom,\together with you guys? response:	Oh, you don't have to worry on that point.
context: I can't even set up the house in a place as tight as this, can I?\Please don't ask the impossible.\There aren't too many caves like that last one, after all.\We just have to put up with it until Father arrives, Bulma- san.\Huh? You mean, until Son- kun gets here, a lady such as myself\is going to have to stay here, in a place that doesn't even have a bathroom,\together with you guys?\Oh, you don't have to worry on that point. response:	I'll be taking Gohan with me,
context: Please don't ask the impossible.\There aren't too many caves like that last one, after all.\We just have to put up with it until Father arrives, Bulma- san.\Huh? You mean, until Son- kun gets here, a lady such as myself\is going to have to stay here, in a place that doesn't even have a bathroom,\together with you guys?\Oh, you don't have to worry on that point.\I'll be taking Gohan with me, response:	and we'll be going to Grand Elder- sama's place again.
context: There aren't too many caves like that last one, after all.\We just have to put up with it until Father arrives, Bulma- san.\Huh? You mean, until Son- kun gets here, a lady such as myself\is going to have to stay here, in a place that doesn't even have a bathroom,\together with you guys?\Oh, you don't have to worry on that point.\I'll be taking Gohan with me,\and we'll be going to Grand Elder- sama's place again. response:	Huh? How come?
context: We just have to put up with it until Father arrives, Bulma- san.\Huh? You mean, until Son- kun gets here, a lady such as myself\is going to have to stay here, in a place that doesn't even have a bathroom,\together with you guys?\Oh, you don't have to worry on that point.\I'll be taking Gohan with me,\and we'll be going to Grand Elder- sama's place again.\Huh? How come? response:	What is this!?
context: Huh? You mean, until Son- kun gets here, a lady such as myself\is going to have to stay here, in a place that doesn't even have a bathroom,\together with you guys?\Oh, you don't have to worry on that point.\I'll be taking Gohan with me,\and we'll be going to Grand Elder- sama's place again.\Huh? How come?\What is this!? response:	You mean you're going to be leaving me here all by myself!?
context: is going to have to stay here, in a place that doesn't even have a bathroom,\together with you guys?\Oh, you don't have to worry on that point.\I'll be taking Gohan with me,\and we'll be going to Grand Elder- sama's place again.\Huh? How come?\What is this!?\You mean you're going to be leaving me here all by myself!? response:	Please bear with us. Once Gohan meets Grand Elder- sama,
context: together with you guys?\Oh, you don't have to worry on that point.\I'll be taking Gohan with me,\and we'll be going to Grand Elder- sama's place again.\Huh? How come?\What is this!?\You mean you're going to be leaving me here all by myself!?\Please bear with us. Once Gohan meets Grand Elder- sama, response:	there's a chance that he will gain enough strength to rival even Vegeta.
context: Oh, you don't have to worry on that point.\I'll be taking Gohan with me,\and we'll be going to Grand Elder- sama's place again.\Huh? How come?\What is this!?\You mean you're going to be leaving me here all by myself!?\Please bear with us. Once Gohan meets Grand Elder- sama,\there's a chance that he will gain enough strength to rival even Vegeta. response:	Freeza's secret weapon, the Ginyu Special Corps,
context: I'll be taking Gohan with me,\and we'll be going to Grand Elder- sama's place again.\Huh? How come?\What is this!?\You mean you're going to be leaving me here all by myself!?\Please bear with us. Once Gohan meets Grand Elder- sama,\there's a chance that he will gain enough strength to rival even Vegeta.\Freeza's secret weapon, the Ginyu Special Corps, response:	had at last gone into action.
context: and we'll be going to Grand Elder- sama's place again.\Huh? How come?\What is this!?\You mean you're going to be leaving me here all by myself!?\Please bear with us. Once Gohan meets Grand Elder- sama,\there's a chance that he will gain enough strength to rival even Vegeta.\Freeza's secret weapon, the Ginyu Special Corps,\had at last gone into action. response:	Goku was also headed for Planet Namek
context: Huh? How come?\What is this!?\You mean you're going to be leaving me here all by myself!?\Please bear with us. Once Gohan meets Grand Elder- sama,\there's a chance that he will gain enough strength to rival even Vegeta.\Freeza's secret weapon, the Ginyu Special Corps,\had at last gone into action.\Goku was also headed for Planet Namek response:	while continuing to train under 100-times gravity.
context: What is this!?\You mean you're going to be leaving me here all by myself!?\Please bear with us. Once Gohan meets Grand Elder- sama,\there's a chance that he will gain enough strength to rival even Vegeta.\Freeza's secret weapon, the Ginyu Special Corps,\had at last gone into action.\Goku was also headed for Planet Namek\while continuing to train under 100-times gravity. response:	Vegeta was seething with anger.
context: You mean you're going to be leaving me here all by myself!?\Please bear with us. Once Gohan meets Grand Elder- sama,\there's a chance that he will gain enough strength to rival even Vegeta.\Freeza's secret weapon, the Ginyu Special Corps,\had at last gone into action.\Goku was also headed for Planet Namek\while continuing to train under 100-times gravity.\Vegeta was seething with anger. response:	And Kuririn and Gohan had taken off to see the Grand Elder.
context: Please bear with us. Once Gohan meets Grand Elder- sama,\there's a chance that he will gain enough strength to rival even Vegeta.\Freeza's secret weapon, the Ginyu Special Corps,\had at last gone into action.\Goku was also headed for Planet Namek\while continuing to train under 100-times gravity.\Vegeta was seething with anger.\And Kuririn and Gohan had taken off to see the Grand Elder. response:	A grand three-way battle intertwining good and evil was about to begin.
