context: I had caught a terrible cold response:	and returned to the present-day world to get better.
context: Please Inuyasha.\W-What?\Can I practice with you?\Huh?!\Let me practice declaring my love with you.\Huh?!\Please!\J-Just once. response:	Thank you, Inuyasha!
context: W-What?\Can I practice with you?\Huh?!\Let me practice declaring my love with you.\Huh?!\Please!\J-Just once.\Thank you, Inuyasha! response:	What's the matter? Hurry it up!
context: Can I practice with you?\Huh?!\Let me practice declaring my love with you.\Huh?!\Please!\J-Just once.\Thank you, Inuyasha!\What's the matter? Hurry it up! response:	I have to prepare myself.
context: Huh?!\Let me practice declaring my love with you.\Huh?!\Please!\J-Just once.\Thank you, Inuyasha!\What's the matter? Hurry it up!\I have to prepare myself. response:	If you're notgonna say it, I'm going inside.
context: Let me practice declaring my love with you.\Huh?!\Please!\J-Just once.\Thank you, Inuyasha!\What's the matter? Hurry it up!\I have to prepare myself.\If you're notgonna say it, I'm going inside. response:	Wait!
context: Huh?!\Please!\J-Just once.\Thank you, Inuyasha!\What's the matter? Hurry it up!\I have to prepare myself.\If you're notgonna say it, I'm going inside.\Wait! response:	W-What're you doing?!
context: Please!\J-Just once.\Thank you, Inuyasha!\What's the matter? Hurry it up!\I have to prepare myself.\If you're notgonna say it, I'm going inside.\Wait!\W-What're you doing?! response:	You don't have to laugh.
context: J-Just once.\Thank you, Inuyasha!\What's the matter? Hurry it up!\I have to prepare myself.\If you're notgonna say it, I'm going inside.\Wait!\W-What're you doing?!\You don't have to laugh. response:	Well, it's so stupid!
context: Thank you, Inuyasha!\What's the matter? Hurry it up!\I have to prepare myself.\If you're notgonna say it, I'm going inside.\Wait!\W-What're you doing?!\You don't have to laugh.\Well, it's so stupid! response:	Why didn't you come to me from the start?
context: What's the matter? Hurry it up!\I have to prepare myself.\If you're notgonna say it, I'm going inside.\Wait!\W-What're you doing?!\You don't have to laugh.\Well, it's so stupid!\Why didn't you come to me from the start? response:	I'm much wiser about a girl's feelings than Inuyasha!
context: I have to prepare myself.\If you're notgonna say it, I'm going inside.\Wait!\W-What're you doing?!\You don't have to laugh.\Well, it's so stupid!\Why didn't you come to me from the start?\I'm much wiser about a girl's feelings than Inuyasha! response:	'Course, you're a girl!
context: If you're notgonna say it, I'm going inside.\Wait!\W-What're you doing?!\You don't have to laugh.\Well, it's so stupid!\Why didn't you come to me from the start?\I'm much wiser about a girl's feelings than Inuyasha!\'Course, you're a girl! response:	Leave it to me!
context: Wait!\W-What're you doing?!\You don't have to laugh.\Well, it's so stupid!\Why didn't you come to me from the start?\I'm much wiser about a girl's feelings than Inuyasha!\'Course, you're a girl!\Leave it to me! response:	I'll show you how!'Cuz you're my dear little brother!
context: W-What're you doing?!\You don't have to laugh.\Well, it's so stupid!\Why didn't you come to me from the start?\I'm much wiser about a girl's feelings than Inuyasha!\'Course, you're a girl!\Leave it to me!\I'll show you how!'Cuz you're my dear little brother! response:	U-Umm...
context: You don't have to laugh.\Well, it's so stupid!\Why didn't you come to me from the start?\I'm much wiser about a girl's feelings than Inuyasha!\'Course, you're a girl!\Leave it to me!\I'll show you how!'Cuz you're my dear little brother!\U-Umm... response:	Perfect. It'll be all good.
context: Well, it's so stupid!\Why didn't you come to me from the start?\I'm much wiser about a girl's feelings than Inuyasha!\'Course, you're a girl!\Leave it to me!\I'll show you how!'Cuz you're my dear little brother!\U-Umm...\Perfect. It'll be all good. response:	Here.
context: Why didn't you come to me from the start?\I'm much wiser about a girl's feelings than Inuyasha!\'Course, you're a girl!\Leave it to me!\I'll show you how!'Cuz you're my dear little brother!\U-Umm...\Perfect. It'll be all good.\Here. response:	Sis...
context: I'm much wiser about a girl's feelings than Inuyasha!\'Course, you're a girl!\Leave it to me!\I'll show you how!'Cuz you're my dear little brother!\U-Umm...\Perfect. It'll be all good.\Here.\Sis... response:	Now listen.
context: 'Course, you're a girl!\Leave it to me!\I'll show you how!'Cuz you're my dear little brother!\U-Umm...\Perfect. It'll be all good.\Here.\Sis...\Now listen. response:	During lunch break, allude to yourfeelings ever so slightly.
context: Leave it to me!\I'll show you how!'Cuz you're my dear little brother!\U-Umm...\Perfect. It'll be all good.\Here.\Sis...\Now listen.\During lunch break, allude to yourfeelings ever so slightly. response:	Then after class, call Hitomi out
context: I'll show you how!'Cuz you're my dear little brother!\U-Umm...\Perfect. It'll be all good.\Here.\Sis...\Now listen.\During lunch break, allude to yourfeelings ever so slightly.\Then after class, call Hitomi out response:	and when you're all alone, make yourdeclaration.
context: U-Umm...\Perfect. It'll be all good.\Here.\Sis...\Now listen.\During lunch break, allude to yourfeelings ever so slightly.\Then after class, call Hitomi out\and when you're all alone, make yourdeclaration. response:	I have to stay in this get-up and go to class until then?
context: Perfect. It'll be all good.\Here.\Sis...\Now listen.\During lunch break, allude to yourfeelings ever so slightly.\Then after class, call Hitomi out\and when you're all alone, make yourdeclaration.\I have to stay in this get-up and go to class until then? response:	And what's so bad about that?
context: Here.\Sis...\Now listen.\During lunch break, allude to yourfeelings ever so slightly.\Then after class, call Hitomi out\and when you're all alone, make yourdeclaration.\I have to stay in this get-up and go to class until then?\And what's so bad about that? response:	This is an important moment in yourlife!
context: Sis...\Now listen.\During lunch break, allude to yourfeelings ever so slightly.\Then after class, call Hitomi out\and when you're all alone, make yourdeclaration.\I have to stay in this get-up and go to class until then?\And what's so bad about that?\This is an important moment in yourlife! response:	But!
context: Now listen.\During lunch break, allude to yourfeelings ever so slightly.\Then after class, call Hitomi out\and when you're all alone, make yourdeclaration.\I have to stay in this get-up and go to class until then?\And what's so bad about that?\This is an important moment in yourlife!\But! response:	Come on.
context: During lunch break, allude to yourfeelings ever so slightly.\Then after class, call Hitomi out\and when you're all alone, make yourdeclaration.\I have to stay in this get-up and go to class until then?\And what's so bad about that?\This is an important moment in yourlife!\But!\Come on. response:	Do yourbest.
context: Then after class, call Hitomi out\and when you're all alone, make yourdeclaration.\I have to stay in this get-up and go to class until then?\And what's so bad about that?\This is an important moment in yourlife!\But!\Come on.\Do yourbest. response:	Sota Higurashi! Banzai!
context: and when you're all alone, make yourdeclaration.\I have to stay in this get-up and go to class until then?\And what's so bad about that?\This is an important moment in yourlife!\But!\Come on.\Do yourbest.\Sota Higurashi! Banzai! response:	Inuyasha, you say it, too!
context: I have to stay in this get-up and go to class until then?\And what's so bad about that?\This is an important moment in yourlife!\But!\Come on.\Do yourbest.\Sota Higurashi! Banzai!\Inuyasha, you say it, too! response:	Banzai!
context: And what's so bad about that?\This is an important moment in yourlife!\But!\Come on.\Do yourbest.\Sota Higurashi! Banzai!\Inuyasha, you say it, too!\Banzai! response:	Banzai!
context: This is an important moment in yourlife!\But!\Come on.\Do yourbest.\Sota Higurashi! Banzai!\Inuyasha, you say it, too!\Banzai!\Banzai! response:	Banzai!
context: But!\Come on.\Do yourbest.\Sota Higurashi! Banzai!\Inuyasha, you say it, too!\Banzai!\Banzai!\Banzai! response:	Banzai!
context: Come on.\Do yourbest.\Sota Higurashi! Banzai!\Inuyasha, you say it, too!\Banzai!\Banzai!\Banzai!\Banzai! response:	Banzai!
context: Do yourbest.\Sota Higurashi! Banzai!\Inuyasha, you say it, too!\Banzai!\Banzai!\Banzai!\Banzai!\Banzai! response:	Declaration?!
context: Sota Higurashi! Banzai!\Inuyasha, you say it, too!\Banzai!\Banzai!\Banzai!\Banzai!\Banzai!\Declaration?! response:	Yes, a declaration!
context: Inuyasha, you say it, too!\Banzai!\Banzai!\Banzai!\Banzai!\Banzai!\Declaration?!\Yes, a declaration! response:	Kagome, did Hojo tell you he loves you?
context: Banzai!\Banzai!\Banzai!\Banzai!\Banzai!\Declaration?!\Yes, a declaration!\Kagome, did Hojo tell you he loves you? response:	And that's why you look so happy?
context: Banzai!\Banzai!\Banzai!\Banzai!\Declaration?!\Yes, a declaration!\Kagome, did Hojo tell you he loves you?\And that's why you look so happy? response:	But you'll be two-timing him.
context: Banzai!\Banzai!\Banzai!\Declaration?!\Yes, a declaration!\Kagome, did Hojo tell you he loves you?\And that's why you look so happy?\But you'll be two-timing him. response:	No! Not Hojo!
context: Banzai!\Banzai!\Declaration?!\Yes, a declaration!\Kagome, did Hojo tell you he loves you?\And that's why you look so happy?\But you'll be two-timing him.\No! Not Hojo! response:	Then who?
context: Banzai!\Declaration?!\Yes, a declaration!\Kagome, did Hojo tell you he loves you?\And that's why you look so happy?\But you'll be two-timing him.\No! Not Hojo!\Then who? response:	You're saying that other guy hasn't declared his love foryou yet?
context: Declaration?!\Yes, a declaration!\Kagome, did Hojo tell you he loves you?\And that's why you look so happy?\But you'll be two-timing him.\No! Not Hojo!\Then who?\You're saying that other guy hasn't declared his love foryou yet? response:	You'd betterget that straight.
context: Yes, a declaration!\Kagome, did Hojo tell you he loves you?\And that's why you look so happy?\But you'll be two-timing him.\No! Not Hojo!\Then who?\You're saying that other guy hasn't declared his love foryou yet?\You'd betterget that straight. response:	It can cause problems later.
context: Kagome, did Hojo tell you he loves you?\And that's why you look so happy?\But you'll be two-timing him.\No! Not Hojo!\Then who?\You're saying that other guy hasn't declared his love foryou yet?\You'd betterget that straight.\It can cause problems later. response:	She's right.
context: And that's why you look so happy?\But you'll be two-timing him.\No! Not Hojo!\Then who?\You're saying that other guy hasn't declared his love foryou yet?\You'd betterget that straight.\It can cause problems later.\She's right. response:	That's not it!
context: But you'll be two-timing him.\No! Not Hojo!\Then who?\You're saying that other guy hasn't declared his love foryou yet?\You'd betterget that straight.\It can cause problems later.\She's right.\That's not it! response:	I'm not talking about me. It's Sota!
context: No! Not Hojo!\Then who?\You're saying that other guy hasn't declared his love foryou yet?\You'd betterget that straight.\It can cause problems later.\She's right.\That's not it!\I'm not talking about me. It's Sota! response:	Sota?
context: Then who?\You're saying that other guy hasn't declared his love foryou yet?\You'd betterget that straight.\It can cause problems later.\She's right.\That's not it!\I'm not talking about me. It's Sota!\Sota? response:	You mean, yourkid brother?
context: You're saying that other guy hasn't declared his love foryou yet?\You'd betterget that straight.\It can cause problems later.\She's right.\That's not it!\I'm not talking about me. It's Sota!\Sota?\You mean, yourkid brother? response:	Yes. He's going to declare his love in school today.
context: You'd betterget that straight.\It can cause problems later.\She's right.\That's not it!\I'm not talking about me. It's Sota!\Sota?\You mean, yourkid brother?\Yes. He's going to declare his love in school today. response:	I wonder how he'll do.
context: It can cause problems later.\She's right.\That's not it!\I'm not talking about me. It's Sota!\Sota?\You mean, yourkid brother?\Yes. He's going to declare his love in school today.\I wonder how he'll do. response:	She seems so excited.
context: She's right.\That's not it!\I'm not talking about me. It's Sota!\Sota?\You mean, yourkid brother?\Yes. He's going to declare his love in school today.\I wonder how he'll do.\She seems so excited. response:	About someone else!
context: That's not it!\I'm not talking about me. It's Sota!\Sota?\You mean, yourkid brother?\Yes. He's going to declare his love in school today.\I wonder how he'll do.\She seems so excited.\About someone else! response:	I'll say! So different from the usual Kagome.
context: I'm not talking about me. It's Sota!\Sota?\You mean, yourkid brother?\Yes. He's going to declare his love in school today.\I wonder how he'll do.\She seems so excited.\About someone else!\I'll say! So different from the usual Kagome. response:	Sota is late.
context: Sota?\You mean, yourkid brother?\Yes. He's going to declare his love in school today.\I wonder how he'll do.\She seems so excited.\About someone else!\I'll say! So different from the usual Kagome.\Sota is late. response:	Jilted?
context: You mean, yourkid brother?\Yes. He's going to declare his love in school today.\I wonder how he'll do.\She seems so excited.\About someone else!\I'll say! So different from the usual Kagome.\Sota is late.\Jilted? response:	No way!
context: Yes. He's going to declare his love in school today.\I wonder how he'll do.\She seems so excited.\About someone else!\I'll say! So different from the usual Kagome.\Sota is late.\Jilted?\No way! response:	But it is possible.
context: I wonder how he'll do.\She seems so excited.\About someone else!\I'll say! So different from the usual Kagome.\Sota is late.\Jilted?\No way!\But it is possible. response:	Yourplan probably didn't work.
context: She seems so excited.\About someone else!\I'll say! So different from the usual Kagome.\Sota is late.\Jilted?\No way!\But it is possible.\Yourplan probably didn't work. response:	I'm home.
context: About someone else!\I'll say! So different from the usual Kagome.\Sota is late.\Jilted?\No way!\But it is possible.\Yourplan probably didn't work.\I'm home. response:	Sota!
context: I'll say! So different from the usual Kagome.\Sota is late.\Jilted?\No way!\But it is possible.\Yourplan probably didn't work.\I'm home.\Sota! response:	S-Sota...
context: Sota is late.\Jilted?\No way!\But it is possible.\Yourplan probably didn't work.\I'm home.\Sota!\S-Sota... response:	T- This hopeless look...
context: Jilted?\No way!\But it is possible.\Yourplan probably didn't work.\I'm home.\Sota!\S-Sota...\T- This hopeless look... response:	No mistake...
context: No way!\But it is possible.\Yourplan probably didn't work.\I'm home.\Sota!\S-Sota...\T- This hopeless look...\No mistake... response:	He's been jilted!
context: But it is possible.\Yourplan probably didn't work.\I'm home.\Sota!\S-Sota...\T- This hopeless look...\No mistake...\He's been jilted! response:	Sota... cheerup!
context: Yourplan probably didn't work.\I'm home.\Sota!\S-Sota...\T- This hopeless look...\No mistake...\He's been jilted!\Sota... cheerup! response:	Quit acting so depressed!
context: I'm home.\Sota!\S-Sota...\T- This hopeless look...\No mistake...\He's been jilted!\Sota... cheerup!\Quit acting so depressed! response:	There're lotsa otherwomen.
context: Sota!\S-Sota...\T- This hopeless look...\No mistake...\He's been jilted!\Sota... cheerup!\Quit acting so depressed!\There're lotsa otherwomen. response:	What?!
context: S-Sota...\T- This hopeless look...\No mistake...\He's been jilted!\Sota... cheerup!\Quit acting so depressed!\There're lotsa otherwomen.\What?! response:	What?
context: T- This hopeless look...\No mistake...\He's been jilted!\Sota... cheerup!\Quit acting so depressed!\There're lotsa otherwomen.\What?!\What? response:	It's not that.
context: No mistake...\He's been jilted!\Sota... cheerup!\Quit acting so depressed!\There're lotsa otherwomen.\What?!\What?\It's not that. response:	Huh?
context: He's been jilted!\Sota... cheerup!\Quit acting so depressed!\There're lotsa otherwomen.\What?!\What?\It's not that.\Huh? response:	I wasn't jilted.
context: Sota... cheerup!\Quit acting so depressed!\There're lotsa otherwomen.\What?!\What?\It's not that.\Huh?\I wasn't jilted. response:	Then what happened?
context: Quit acting so depressed!\There're lotsa otherwomen.\What?!\What?\It's not that.\Huh?\I wasn't jilted.\Then what happened? response:	I couldn't tell her.
context: There're lotsa otherwomen.\What?!\What?\It's not that.\Huh?\I wasn't jilted.\Then what happened?\I couldn't tell her. response:	Couldn't tell her?
context: What?!\What?\It's not that.\Huh?\I wasn't jilted.\Then what happened?\I couldn't tell her.\Couldn't tell her? response:	Just like you said...
context: What?\It's not that.\Huh?\I wasn't jilted.\Then what happened?\I couldn't tell her.\Couldn't tell her?\Just like you said... response:	I called Hitomi out after school.
context: It's not that.\Huh?\I wasn't jilted.\Then what happened?\I couldn't tell her.\Couldn't tell her?\Just like you said...\I called Hitomi out after school. response:	What's the matter, Sota?
context: Huh?\I wasn't jilted.\Then what happened?\I couldn't tell her.\Couldn't tell her?\Just like you said...\I called Hitomi out after school.\What's the matter, Sota? response:	Err... Well...
context: I wasn't jilted.\Then what happened?\I couldn't tell her.\Couldn't tell her?\Just like you said...\I called Hitomi out after school.\What's the matter, Sota?\Err... Well... response:	If you don't have anything to say, I'm going home.
context: Then what happened?\I couldn't tell her.\Couldn't tell her?\Just like you said...\I called Hitomi out after school.\What's the matter, Sota?\Err... Well...\If you don't have anything to say, I'm going home. response:	Uh... Just a minute, Hitomi!
context: I couldn't tell her.\Couldn't tell her?\Just like you said...\I called Hitomi out after school.\What's the matter, Sota?\Err... Well...\If you don't have anything to say, I'm going home.\Uh... Just a minute, Hitomi! response:	I lo...
context: Couldn't tell her?\Just like you said...\I called Hitomi out after school.\What's the matter, Sota?\Err... Well...\If you don't have anything to say, I'm going home.\Uh... Just a minute, Hitomi!\I lo... response:	Sota?
context: Just like you said...\I called Hitomi out after school.\What's the matter, Sota?\Err... Well...\If you don't have anything to say, I'm going home.\Uh... Just a minute, Hitomi!\I lo...\Sota? response:	Huh?
context: I called Hitomi out after school.\What's the matter, Sota?\Err... Well...\If you don't have anything to say, I'm going home.\Uh... Just a minute, Hitomi!\I lo...\Sota?\Huh? response:	I don't like men who can't speak up clearly.
context: What's the matter, Sota?\Err... Well...\If you don't have anything to say, I'm going home.\Uh... Just a minute, Hitomi!\I lo...\Sota?\Huh?\I don't like men who can't speak up clearly. response:	It's the end forme!
context: Err... Well...\If you don't have anything to say, I'm going home.\Uh... Just a minute, Hitomi!\I lo...\Sota?\Huh?\I don't like men who can't speak up clearly.\It's the end forme! response:	So that's what happened?
context: If you don't have anything to say, I'm going home.\Uh... Just a minute, Hitomi!\I lo...\Sota?\Huh?\I don't like men who can't speak up clearly.\It's the end forme!\So that's what happened? response:	Stupid!
context: Uh... Just a minute, Hitomi!\I lo...\Sota?\Huh?\I don't like men who can't speak up clearly.\It's the end forme!\So that's what happened?\Stupid! response:	You haven'teven told heryet. So quit crying like a baby!
context: I lo...\Sota?\Huh?\I don't like men who can't speak up clearly.\It's the end forme!\So that's what happened?\Stupid!\You haven'teven told heryet. So quit crying like a baby! response:	It's the same as being jilted!
context: Sota?\Huh?\I don't like men who can't speak up clearly.\It's the end forme!\So that's what happened?\Stupid!\You haven'teven told heryet. So quit crying like a baby!\It's the same as being jilted! response:	I'm a weakling and I'm not worthy. And I can't speak up!
context: Huh?\I don't like men who can't speak up clearly.\It's the end forme!\So that's what happened?\Stupid!\You haven'teven told heryet. So quit crying like a baby!\It's the same as being jilted!\I'm a weakling and I'm not worthy. And I can't speak up! response:	What're you saying?
context: I don't like men who can't speak up clearly.\It's the end forme!\So that's what happened?\Stupid!\You haven'teven told heryet. So quit crying like a baby!\It's the same as being jilted!\I'm a weakling and I'm not worthy. And I can't speak up!\What're you saying? response:	Then YOU have to change!
context: It's the end forme!\So that's what happened?\Stupid!\You haven'teven told heryet. So quit crying like a baby!\It's the same as being jilted!\I'm a weakling and I'm not worthy. And I can't speak up!\What're you saying?\Then YOU have to change! response:	Don't worry. I'll make you strong.
context: So that's what happened?\Stupid!\You haven'teven told heryet. So quit crying like a baby!\It's the same as being jilted!\I'm a weakling and I'm not worthy. And I can't speak up!\What're you saying?\Then YOU have to change!\Don't worry. I'll make you strong. response:	Inuyasha...
context: Stupid!\You haven'teven told heryet. So quit crying like a baby!\It's the same as being jilted!\I'm a weakling and I'm not worthy. And I can't speak up!\What're you saying?\Then YOU have to change!\Don't worry. I'll make you strong.\Inuyasha... response:	Iron-Reaver, Soul-Stealer!
context: You haven'teven told heryet. So quit crying like a baby!\It's the same as being jilted!\I'm a weakling and I'm not worthy. And I can't speak up!\What're you saying?\Then YOU have to change!\Don't worry. I'll make you strong.\Inuyasha...\Iron-Reaver, Soul-Stealer! response:	Now then, try it.
context: It's the same as being jilted!\I'm a weakling and I'm not worthy. And I can't speak up!\What're you saying?\Then YOU have to change!\Don't worry. I'll make you strong.\Inuyasha...\Iron-Reaver, Soul-Stealer!\Now then, try it. response:	But...
context: I'm a weakling and I'm not worthy. And I can't speak up!\What're you saying?\Then YOU have to change!\Don't worry. I'll make you strong.\Inuyasha...\Iron-Reaver, Soul-Stealer!\Now then, try it.\But... response:	Try it!
context: What're you saying?\Then YOU have to change!\Don't worry. I'll make you strong.\Inuyasha...\Iron-Reaver, Soul-Stealer!\Now then, try it.\But...\Try it! response:	l-Iron-Reaver, Soul-Stealer!
context: Then YOU have to change!\Don't worry. I'll make you strong.\Inuyasha...\Iron-Reaver, Soul-Stealer!\Now then, try it.\But...\Try it!\l-Iron-Reaver, Soul-Stealer! response:	Good! Not bad at all!
context: Don't worry. I'll make you strong.\Inuyasha...\Iron-Reaver, Soul-Stealer!\Now then, try it.\But...\Try it!\l-Iron-Reaver, Soul-Stealer!\Good! Not bad at all! response:	R-Really?
context: Inuyasha...\Iron-Reaver, Soul-Stealer!\Now then, try it.\But...\Try it!\l-Iron-Reaver, Soul-Stealer!\Good! Not bad at all!\R-Really? response:	Okay, once more!
context: Iron-Reaver, Soul-Stealer!\Now then, try it.\But...\Try it!\l-Iron-Reaver, Soul-Stealer!\Good! Not bad at all!\R-Really?\Okay, once more! response:	'Kay.
context: Now then, try it.\But...\Try it!\l-Iron-Reaver, Soul-Stealer!\Good! Not bad at all!\R-Really?\Okay, once more!\'Kay. response:	Iron-Reaver, Soul-Stealer...
context: But...\Try it!\l-Iron-Reaver, Soul-Stealer!\Good! Not bad at all!\R-Really?\Okay, once more!\'Kay.\Iron-Reaver, Soul-Stealer... response:	Hey, Inuyasha!
context: Try it!\l-Iron-Reaver, Soul-Stealer!\Good! Not bad at all!\R-Really?\Okay, once more!\'Kay.\Iron-Reaver, Soul-Stealer...\Hey, Inuyasha! response:	What?
context: l-Iron-Reaver, Soul-Stealer!\Good! Not bad at all!\R-Really?\Okay, once more!\'Kay.\Iron-Reaver, Soul-Stealer...\Hey, Inuyasha!\What? response:	What're you trying to do with him?
context: Good! Not bad at all!\R-Really?\Okay, once more!\'Kay.\Iron-Reaver, Soul-Stealer...\Hey, Inuyasha!\What?\What're you trying to do with him? response:	This is all a matter of spirit.
context: R-Really?\Okay, once more!\'Kay.\Iron-Reaver, Soul-Stealer...\Hey, Inuyasha!\What?\What're you trying to do with him?\This is all a matter of spirit. response:	As long as Sota gets into the spirit of doing it,
context: Okay, once more!\'Kay.\Iron-Reaver, Soul-Stealer...\Hey, Inuyasha!\What?\What're you trying to do with him?\This is all a matter of spirit.\As long as Sota gets into the spirit of doing it, response:	that's all that's necessary.
context: 'Kay.\Iron-Reaver, Soul-Stealer...\Hey, Inuyasha!\What?\What're you trying to do with him?\This is all a matter of spirit.\As long as Sota gets into the spirit of doing it,\that's all that's necessary. response:	Oh, I see.
context: Iron-Reaver, Soul-Stealer...\Hey, Inuyasha!\What?\What're you trying to do with him?\This is all a matter of spirit.\As long as Sota gets into the spirit of doing it,\that's all that's necessary.\Oh, I see. response:	Yes!
context: Hey, Inuyasha!\What?\What're you trying to do with him?\This is all a matter of spirit.\As long as Sota gets into the spirit of doing it,\that's all that's necessary.\Oh, I see.\Yes! response:	What's the matter?
context: What?\What're you trying to do with him?\This is all a matter of spirit.\As long as Sota gets into the spirit of doing it,\that's all that's necessary.\Oh, I see.\Yes!\What's the matter? response:	Err... Just talking.
context: What're you trying to do with him?\This is all a matter of spirit.\As long as Sota gets into the spirit of doing it,\that's all that's necessary.\Oh, I see.\Yes!\What's the matter?\Err... Just talking. response:	Y'know Sota...
context: This is all a matter of spirit.\As long as Sota gets into the spirit of doing it,\that's all that's necessary.\Oh, I see.\Yes!\What's the matter?\Err... Just talking.\Y'know Sota... response:	I maybe imagining it,
context: As long as Sota gets into the spirit of doing it,\that's all that's necessary.\Oh, I see.\Yes!\What's the matter?\Err... Just talking.\Y'know Sota...\I maybe imagining it, response:	but that training you just did seems to be building up your strength.
context: that's all that's necessary.\Oh, I see.\Yes!\What's the matter?\Err... Just talking.\Y'know Sota...\I maybe imagining it,\but that training you just did seems to be building up your strength. response:	Yeah...
context: Oh, I see.\Yes!\What's the matter?\Err... Just talking.\Y'know Sota...\I maybe imagining it,\but that training you just did seems to be building up your strength.\Yeah... response:	I think you've gotten a bit stronger.
context: Yes!\What's the matter?\Err... Just talking.\Y'know Sota...\I maybe imagining it,\but that training you just did seems to be building up your strength.\Yeah...\I think you've gotten a bit stronger. response:	R-Really?
context: What's the matter?\Err... Just talking.\Y'know Sota...\I maybe imagining it,\but that training you just did seems to be building up your strength.\Yeah...\I think you've gotten a bit stronger.\R-Really? response:	Of course!
context: Err... Just talking.\Y'know Sota...\I maybe imagining it,\but that training you just did seems to be building up your strength.\Yeah...\I think you've gotten a bit stronger.\R-Really?\Of course! response:	You're definitely a different Sota from awhile ago.
context: Y'know Sota...\I maybe imagining it,\but that training you just did seems to be building up your strength.\Yeah...\I think you've gotten a bit stronger.\R-Really?\Of course!\You're definitely a different Sota from awhile ago. response:	You see, Sota?
context: I maybe imagining it,\but that training you just did seems to be building up your strength.\Yeah...\I think you've gotten a bit stronger.\R-Really?\Of course!\You're definitely a different Sota from awhile ago.\You see, Sota? response:	So do yourbest!
context: but that training you just did seems to be building up your strength.\Yeah...\I think you've gotten a bit stronger.\R-Really?\Of course!\You're definitely a different Sota from awhile ago.\You see, Sota?\So do yourbest! response:	Banzai! Banzai! Banzai! Banzai!
context: Yeah...\I think you've gotten a bit stronger.\R-Really?\Of course!\You're definitely a different Sota from awhile ago.\You see, Sota?\So do yourbest!\Banzai! Banzai! Banzai! Banzai! response:	- Banzai! Banzai! - Why even Grandpa and Mom?
context: I think you've gotten a bit stronger.\R-Really?\Of course!\You're definitely a different Sota from awhile ago.\You see, Sota?\So do yourbest!\Banzai! Banzai! Banzai! Banzai!\- Banzai! Banzai! - Why even Grandpa and Mom? response:	Nevermind. Just do your best, Sota.
context: R-Really?\Of course!\You're definitely a different Sota from awhile ago.\You see, Sota?\So do yourbest!\Banzai! Banzai! Banzai! Banzai!\- Banzai! Banzai! - Why even Grandpa and Mom?\Nevermind. Just do your best, Sota. response:	l-I feel like I've been tricked.
context: Of course!\You're definitely a different Sota from awhile ago.\You see, Sota?\So do yourbest!\Banzai! Banzai! Banzai! Banzai!\- Banzai! Banzai! - Why even Grandpa and Mom?\Nevermind. Just do your best, Sota.\l-I feel like I've been tricked. response:	Banzai! Banzai!
context: You're definitely a different Sota from awhile ago.\You see, Sota?\So do yourbest!\Banzai! Banzai! Banzai! Banzai!\- Banzai! Banzai! - Why even Grandpa and Mom?\Nevermind. Just do your best, Sota.\l-I feel like I've been tricked.\Banzai! Banzai! response:	Banzai!
context: You see, Sota?\So do yourbest!\Banzai! Banzai! Banzai! Banzai!\- Banzai! Banzai! - Why even Grandpa and Mom?\Nevermind. Just do your best, Sota.\l-I feel like I've been tricked.\Banzai! Banzai!\Banzai! response:	Man! This is harderthan exterminating demons!
context: So do yourbest!\Banzai! Banzai! Banzai! Banzai!\- Banzai! Banzai! - Why even Grandpa and Mom?\Nevermind. Just do your best, Sota.\l-I feel like I've been tricked.\Banzai! Banzai!\Banzai!\Man! This is harderthan exterminating demons! response:	I hope it works.
context: Banzai! Banzai! Banzai! Banzai!\- Banzai! Banzai! - Why even Grandpa and Mom?\Nevermind. Just do your best, Sota.\l-I feel like I've been tricked.\Banzai! Banzai!\Banzai!\Man! This is harderthan exterminating demons!\I hope it works. response:	Still... what an indecisive kid.
context: - Banzai! Banzai! - Why even Grandpa and Mom?\Nevermind. Just do your best, Sota.\l-I feel like I've been tricked.\Banzai! Banzai!\Banzai!\Man! This is harderthan exterminating demons!\I hope it works.\Still... what an indecisive kid. response:	I know.
context: Nevermind. Just do your best, Sota.\l-I feel like I've been tricked.\Banzai! Banzai!\Banzai!\Man! This is harderthan exterminating demons!\I hope it works.\Still... what an indecisive kid.\I know. response:	I'm so disappointed in my youngerbrother.
context: l-I feel like I've been tricked.\Banzai! Banzai!\Banzai!\Man! This is harderthan exterminating demons!\I hope it works.\Still... what an indecisive kid.\I know.\I'm so disappointed in my youngerbrother. response:	Mulling overthe problem like that isn'tgonna solve anything.
context: Banzai! Banzai!\Banzai!\Man! This is harderthan exterminating demons!\I hope it works.\Still... what an indecisive kid.\I know.\I'm so disappointed in my youngerbrother.\Mulling overthe problem like that isn'tgonna solve anything. response:	I'll say. If he loves her, he should just say so!
context: Banzai!\Man! This is harderthan exterminating demons!\I hope it works.\Still... what an indecisive kid.\I know.\I'm so disappointed in my youngerbrother.\Mulling overthe problem like that isn'tgonna solve anything.\I'll say. If he loves her, he should just say so! response:	Yeah! Right!
context: Man! This is harderthan exterminating demons!\I hope it works.\Still... what an indecisive kid.\I know.\I'm so disappointed in my youngerbrother.\Mulling overthe problem like that isn'tgonna solve anything.\I'll say. If he loves her, he should just say so!\Yeah! Right! response:	Sota...
