context: What are you saying? What's wrong, Norman? response:	You already know by now, right?
context: Then, when you said you had an idea about breaking the tracking devices...\I've seen the actual device.\I experimented, and after many years, I figured out how to break it.\The tracking devices can definitely be nullified.\Do you understand?\The person you see before you is the strongest card you have.\The tracking devices and Mom.\I have far more information than what's necessary for this escape. response:	I've been preparing ever since I found out the truth about the House.
context: I've seen the actual device.\I experimented, and after many years, I figured out how to break it.\The tracking devices can definitely be nullified.\Do you understand?\The person you see before you is the strongest card you have.\The tracking devices and Mom.\I have far more information than what's necessary for this escape.\I've been preparing ever since I found out the truth about the House. response:	Ray.
context: I experimented, and after many years, I figured out how to break it.\The tracking devices can definitely be nullified.\Do you understand?\The person you see before you is the strongest card you have.\The tracking devices and Mom.\I have far more information than what's necessary for this escape.\I've been preparing ever since I found out the truth about the House.\Ray. response:	Without having anyone notice, I had you two go to the gate.
context: The tracking devices can definitely be nullified.\Do you understand?\The person you see before you is the strongest card you have.\The tracking devices and Mom.\I have far more information than what's necessary for this escape.\I've been preparing ever since I found out the truth about the House.\Ray.\Without having anyone notice, I had you two go to the gate. response:	I did all this to make sure you two don't get killed.
context: Do you understand?\The person you see before you is the strongest card you have.\The tracking devices and Mom.\I have far more information than what's necessary for this escape.\I've been preparing ever since I found out the truth about the House.\Ray.\Without having anyone notice, I had you two go to the gate.\I did all this to make sure you two don't get killed. response:	Just like you said, I'm not your enemy.
context: The person you see before you is the strongest card you have.\The tracking devices and Mom.\I have far more information than what's necessary for this escape.\I've been preparing ever since I found out the truth about the House.\Ray.\Without having anyone notice, I had you two go to the gate.\I did all this to make sure you two don't get killed.\Just like you said, I'm not your enemy. response:	But I'm also not an ally.
context: The tracking devices and Mom.\I have far more information than what's necessary for this escape.\I've been preparing ever since I found out the truth about the House.\Ray.\Without having anyone notice, I had you two go to the gate.\I did all this to make sure you two don't get killed.\Just like you said, I'm not your enemy.\But I'm also not an ally. response:	Under one condition, I can completely become your ace.
context: I have far more information than what's necessary for this escape.\I've been preparing ever since I found out the truth about the House.\Ray.\Without having anyone notice, I had you two go to the gate.\I did all this to make sure you two don't get killed.\Just like you said, I'm not your enemy.\But I'm also not an ally.\Under one condition, I can completely become your ace. response:	I'll give you all the information I have, and I'll also leak lies to Mom like you want.
context: I've been preparing ever since I found out the truth about the House.\Ray.\Without having anyone notice, I had you two go to the gate.\I did all this to make sure you two don't get killed.\Just like you said, I'm not your enemy.\But I'm also not an ally.\Under one condition, I can completely become your ace.\I'll give you all the information I have, and I'll also leak lies to Mom like you want. response:	What's the condition?
context: Ray.\Without having anyone notice, I had you two go to the gate.\I did all this to make sure you two don't get killed.\Just like you said, I'm not your enemy.\But I'm also not an ally.\Under one condition, I can completely become your ace.\I'll give you all the information I have, and I'll also leak lies to Mom like you want.\What's the condition? response:	Trick Emma.
context: Without having anyone notice, I had you two go to the gate.\I did all this to make sure you two don't get killed.\Just like you said, I'm not your enemy.\But I'm also not an ally.\Under one condition, I can completely become your ace.\I'll give you all the information I have, and I'll also leak lies to Mom like you want.\What's the condition?\Trick Emma. response:	You need to pretend we're taking everyone, but at the last moment, ditch them.
context: I did all this to make sure you two don't get killed.\Just like you said, I'm not your enemy.\But I'm also not an ally.\Under one condition, I can completely become your ace.\I'll give you all the information I have, and I'll also leak lies to Mom like you want.\What's the condition?\Trick Emma.\You need to pretend we're taking everyone, but at the last moment, ditch them. response:	Even if we take others, it'll only be Don and Gilda.
context: Just like you said, I'm not your enemy.\But I'm also not an ally.\Under one condition, I can completely become your ace.\I'll give you all the information I have, and I'll also leak lies to Mom like you want.\What's the condition?\Trick Emma.\You need to pretend we're taking everyone, but at the last moment, ditch them.\Even if we take others, it'll only be Don and Gilda. response:	So you're telling me to give up on escaping with everyone?
context: But I'm also not an ally.\Under one condition, I can completely become your ace.\I'll give you all the information I have, and I'll also leak lies to Mom like you want.\What's the condition?\Trick Emma.\You need to pretend we're taking everyone, but at the last moment, ditch them.\Even if we take others, it'll only be Don and Gilda.\So you're telling me to give up on escaping with everyone? response:	Yeah.
context: Under one condition, I can completely become your ace.\I'll give you all the information I have, and I'll also leak lies to Mom like you want.\What's the condition?\Trick Emma.\You need to pretend we're taking everyone, but at the last moment, ditch them.\Even if we take others, it'll only be Don and Gilda.\So you're telling me to give up on escaping with everyone?\Yeah. response:	The training is helping everyone grow more than we expected.
context: I'll give you all the information I have, and I'll also leak lies to Mom like you want.\What's the condition?\Trick Emma.\You need to pretend we're taking everyone, but at the last moment, ditch them.\Even if we take others, it'll only be Don and Gilda.\So you're telling me to give up on escaping with everyone?\Yeah.\The training is helping everyone grow more than we expected. response:	You even said their movement isn't bad.
context: What's the condition?\Trick Emma.\You need to pretend we're taking everyone, but at the last moment, ditch them.\Even if we take others, it'll only be Don and Gilda.\So you're telling me to give up on escaping with everyone?\Yeah.\The training is helping everyone grow more than we expected.\You even said their movement isn't bad. response:	You meant that, right?
context: Trick Emma.\You need to pretend we're taking everyone, but at the last moment, ditch them.\Even if we take others, it'll only be Don and Gilda.\So you're telling me to give up on escaping with everyone?\Yeah.\The training is helping everyone grow more than we expected.\You even said their movement isn't bad.\You meant that, right? response:	Then we can all
context: You need to pretend we're taking everyone, but at the last moment, ditch them.\Even if we take others, it'll only be Don and Gilda.\So you're telling me to give up on escaping with everyone?\Yeah.\The training is helping everyone grow more than we expected.\You even said their movement isn't bad.\You meant that, right?\Then we can all response:	It still doesn't change the fact that they're a burden.
context: Even if we take others, it'll only be Don and Gilda.\So you're telling me to give up on escaping with everyone?\Yeah.\The training is helping everyone grow more than we expected.\You even said their movement isn't bad.\You meant that, right?\Then we can all\It still doesn't change the fact that they're a burden. response:	You said you were going to help us.
context: So you're telling me to give up on escaping with everyone?\Yeah.\The training is helping everyone grow more than we expected.\You even said their movement isn't bad.\You meant that, right?\Then we can all\It still doesn't change the fact that they're a burden.\You said you were going to help us. response:	And this is how I'm helping.
context: Yeah.\The training is helping everyone grow more than we expected.\You even said their movement isn't bad.\You meant that, right?\Then we can all\It still doesn't change the fact that they're a burden.\You said you were going to help us.\And this is how I'm helping. response:	Otherwise, you and Emma can die here.
context: The training is helping everyone grow more than we expected.\You even said their movement isn't bad.\You meant that, right?\Then we can all\It still doesn't change the fact that they're a burden.\You said you were going to help us.\And this is how I'm helping.\Otherwise, you and Emma can die here. response:	I thought you didn't want us to get killed.
context: You even said their movement isn't bad.\You meant that, right?\Then we can all\It still doesn't change the fact that they're a burden.\You said you were going to help us.\And this is how I'm helping.\Otherwise, you and Emma can die here.\I thought you didn't want us to get killed. response:	If you're just going to get killed as soon as we escape, it'd be better to get shipped out.
context: You meant that, right?\Then we can all\It still doesn't change the fact that they're a burden.\You said you were going to help us.\And this is how I'm helping.\Otherwise, you and Emma can die here.\I thought you didn't want us to get killed.\If you're just going to get killed as soon as we escape, it'd be better to get shipped out. response:	So? Will you accept my condition?
context: Then we can all\It still doesn't change the fact that they're a burden.\You said you were going to help us.\And this is how I'm helping.\Otherwise, you and Emma can die here.\I thought you didn't want us to get killed.\If you're just going to get killed as soon as we escape, it'd be better to get shipped out.\So? Will you accept my condition? response:	Fine.
context: It still doesn't change the fact that they're a burden.\You said you were going to help us.\And this is how I'm helping.\Otherwise, you and Emma can die here.\I thought you didn't want us to get killed.\If you're just going to get killed as soon as we escape, it'd be better to get shipped out.\So? Will you accept my condition?\Fine. response:	If what you just said was a lie...
context: You said you were going to help us.\And this is how I'm helping.\Otherwise, you and Emma can die here.\I thought you didn't want us to get killed.\If you're just going to get killed as soon as we escape, it'd be better to get shipped out.\So? Will you accept my condition?\Fine.\If what you just said was a lie... response:	I know. It wasn't a lie.
context: And this is how I'm helping.\Otherwise, you and Emma can die here.\I thought you didn't want us to get killed.\If you're just going to get killed as soon as we escape, it'd be better to get shipped out.\So? Will you accept my condition?\Fine.\If what you just said was a lie...\I know. It wasn't a lie. response:	You took a while.
context: Otherwise, you and Emma can die here.\I thought you didn't want us to get killed.\If you're just going to get killed as soon as we escape, it'd be better to get shipped out.\So? Will you accept my condition?\Fine.\If what you just said was a lie...\I know. It wasn't a lie.\You took a while. response:	I was talking to Norman.
context: I thought you didn't want us to get killed.\If you're just going to get killed as soon as we escape, it'd be better to get shipped out.\So? Will you accept my condition?\Fine.\If what you just said was a lie...\I know. It wasn't a lie.\You took a while.\I was talking to Norman. response:	And?
context: If you're just going to get killed as soon as we escape, it'd be better to get shipped out.\So? Will you accept my condition?\Fine.\If what you just said was a lie...\I know. It wasn't a lie.\You took a while.\I was talking to Norman.\And? response:	Nothing much has changed.
context: So? Will you accept my condition?\Fine.\If what you just said was a lie...\I know. It wasn't a lie.\You took a while.\I was talking to Norman.\And?\Nothing much has changed. response:	They're focused on training with tag.
context: Fine.\If what you just said was a lie...\I know. It wasn't a lie.\You took a while.\I was talking to Norman.\And?\Nothing much has changed.\They're focused on training with tag. response:	The bigger issue is that Sister.
context: If what you just said was a lie...\I know. It wasn't a lie.\You took a while.\I was talking to Norman.\And?\Nothing much has changed.\They're focused on training with tag.\The bigger issue is that Sister. response:	She's on the move again.
context: I know. It wasn't a lie.\You took a while.\I was talking to Norman.\And?\Nothing much has changed.\They're focused on training with tag.\The bigger issue is that Sister.\She's on the move again. response:	You should be careful.
context: You took a while.\I was talking to Norman.\And?\Nothing much has changed.\They're focused on training with tag.\The bigger issue is that Sister.\She's on the move again.\You should be careful. response:	I see.
context: I was talking to Norman.\And?\Nothing much has changed.\They're focused on training with tag.\The bigger issue is that Sister.\She's on the move again.\You should be careful.\I see. response:	You should have never summoned her.
context: And?\Nothing much has changed.\They're focused on training with tag.\The bigger issue is that Sister.\She's on the move again.\You should be careful.\I see.\You should have never summoned her. response:	That was supposed to be a deterrent for me, right?
context: Nothing much has changed.\They're focused on training with tag.\The bigger issue is that Sister.\She's on the move again.\You should be careful.\I see.\You should have never summoned her.\That was supposed to be a deterrent for me, right? response:	It makes me sad that you still don't trust me even though I've been helping you for six years.
context: They're focused on training with tag.\The bigger issue is that Sister.\She's on the move again.\You should be careful.\I see.\You should have never summoned her.\That was supposed to be a deterrent for me, right?\It makes me sad that you still don't trust me even though I've been helping you for six years. response:	It's just a precaution.
context: The bigger issue is that Sister.\She's on the move again.\You should be careful.\I see.\You should have never summoned her.\That was supposed to be a deterrent for me, right?\It makes me sad that you still don't trust me even though I've been helping you for six years.\It's just a precaution. response:	Besides, if you had made sure those two didn't go to the gate that day,
context: She's on the move again.\You should be careful.\I see.\You should have never summoned her.\That was supposed to be a deterrent for me, right?\It makes me sad that you still don't trust me even though I've been helping you for six years.\It's just a precaution.\Besides, if you had made sure those two didn't go to the gate that day, response:	this wouldn't be happening.
context: You should be careful.\I see.\You should have never summoned her.\That was supposed to be a deterrent for me, right?\It makes me sad that you still don't trust me even though I've been helping you for six years.\It's just a precaution.\Besides, if you had made sure those two didn't go to the gate that day,\this wouldn't be happening. response:	I apologized for that.
context: I see.\You should have never summoned her.\That was supposed to be a deterrent for me, right?\It makes me sad that you still don't trust me even though I've been helping you for six years.\It's just a precaution.\Besides, if you had made sure those two didn't go to the gate that day,\this wouldn't be happening.\I apologized for that. response:	I never thought you'd be a useless dog who couldn't even keep watch.
context: You should have never summoned her.\That was supposed to be a deterrent for me, right?\It makes me sad that you still don't trust me even though I've been helping you for six years.\It's just a precaution.\Besides, if you had made sure those two didn't go to the gate that day,\this wouldn't be happening.\I apologized for that.\I never thought you'd be a useless dog who couldn't even keep watch. response:	I made up for it by spying for you.
context: That was supposed to be a deterrent for me, right?\It makes me sad that you still don't trust me even though I've been helping you for six years.\It's just a precaution.\Besides, if you had made sure those two didn't go to the gate that day,\this wouldn't be happening.\I apologized for that.\I never thought you'd be a useless dog who couldn't even keep watch.\I made up for it by spying for you. response:	I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.
context: It makes me sad that you still don't trust me even though I've been helping you for six years.\It's just a precaution.\Besides, if you had made sure those two didn't go to the gate that day,\this wouldn't be happening.\I apologized for that.\I never thought you'd be a useless dog who couldn't even keep watch.\I made up for it by spying for you.\I sold out my best friends, and I report Sister Krone's disturbing behavior in detail. response:	So I'm going to get my reward.
context: It's just a precaution.\Besides, if you had made sure those two didn't go to the gate that day,\this wouldn't be happening.\I apologized for that.\I never thought you'd be a useless dog who couldn't even keep watch.\I made up for it by spying for you.\I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.\So I'm going to get my reward. response:	Of course. That is the deal.
context: Besides, if you had made sure those two didn't go to the gate that day,\this wouldn't be happening.\I apologized for that.\I never thought you'd be a useless dog who couldn't even keep watch.\I made up for it by spying for you.\I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.\So I'm going to get my reward.\Of course. That is the deal. response:	With everyone... Let's escape with everyone!
context: this wouldn't be happening.\I apologized for that.\I never thought you'd be a useless dog who couldn't even keep watch.\I made up for it by spying for you.\I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.\So I'm going to get my reward.\Of course. That is the deal.\With everyone... Let's escape with everyone! response:	And of course, with Ray, too!
context: I apologized for that.\I never thought you'd be a useless dog who couldn't even keep watch.\I made up for it by spying for you.\I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.\So I'm going to get my reward.\Of course. That is the deal.\With everyone... Let's escape with everyone!\And of course, with Ray, too! response:	That's...
context: I never thought you'd be a useless dog who couldn't even keep watch.\I made up for it by spying for you.\I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.\So I'm going to get my reward.\Of course. That is the deal.\With everyone... Let's escape with everyone!\And of course, with Ray, too!\That's... response:	That's why I told you.
context: I made up for it by spying for you.\I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.\So I'm going to get my reward.\Of course. That is the deal.\With everyone... Let's escape with everyone!\And of course, with Ray, too!\That's...\That's why I told you. response:	Emma!
context: I sold out my best friends, and I report Sister Krone's disturbing behavior in detail.\So I'm going to get my reward.\Of course. That is the deal.\With everyone... Let's escape with everyone!\And of course, with Ray, too!\That's...\That's why I told you.\Emma! response:	Emma!
context: So I'm going to get my reward.\Of course. That is the deal.\With everyone... Let's escape with everyone!\And of course, with Ray, too!\That's...\That's why I told you.\Emma!\Emma! response:	Everyone...
context: Of course. That is the deal.\With everyone... Let's escape with everyone!\And of course, with Ray, too!\That's...\That's why I told you.\Emma!\Emma!\Everyone... response:	Norman, it's morning!
context: With everyone... Let's escape with everyone!\And of course, with Ray, too!\That's...\That's why I told you.\Emma!\Emma!\Everyone...\Norman, it's morning! response:	Good morning.
context: And of course, with Ray, too!\That's...\That's why I told you.\Emma!\Emma!\Everyone...\Norman, it's morning!\Good morning. response:	- So then I did this... - Good morning, Norman.
context: That's...\That's why I told you.\Emma!\Emma!\Everyone...\Norman, it's morning!\Good morning.\- So then I did this... - Good morning, Norman. response:	Good morning, Emma.
context: That's why I told you.\Emma!\Emma!\Everyone...\Norman, it's morning!\Good morning.\- So then I did this... - Good morning, Norman.\Good morning, Emma. response:	Good morning, Norman.
context: Emma!\Emma!\Everyone...\Norman, it's morning!\Good morning.\- So then I did this... - Good morning, Norman.\Good morning, Emma.\Good morning, Norman. response:	I brought the plates.
context: Emma!\Everyone...\Norman, it's morning!\Good morning.\- So then I did this... - Good morning, Norman.\Good morning, Emma.\Good morning, Norman.\I brought the plates. response:	- Good morning, Ray. - Good morning, Emma.
context: Everyone...\Norman, it's morning!\Good morning.\- So then I did this... - Good morning, Norman.\Good morning, Emma.\Good morning, Norman.\I brought the plates.\- Good morning, Ray. - Good morning, Emma. response:	So?
context: Norman, it's morning!\Good morning.\- So then I did this... - Good morning, Norman.\Good morning, Emma.\Good morning, Norman.\I brought the plates.\- Good morning, Ray. - Good morning, Emma.\So? response:	How did the plan with the ropes go?
context: Good morning.\- So then I did this... - Good morning, Norman.\Good morning, Emma.\Good morning, Norman.\I brought the plates.\- Good morning, Ray. - Good morning, Emma.\So?\How did the plan with the ropes go? response:	Was there progress for the source of information?
context: - So then I did this... - Good morning, Norman.\Good morning, Emma.\Good morning, Norman.\I brought the plates.\- Good morning, Ray. - Good morning, Emma.\So?\How did the plan with the ropes go?\Was there progress for the source of information? response:	Actually...
context: Good morning, Emma.\Good morning, Norman.\I brought the plates.\- Good morning, Ray. - Good morning, Emma.\So?\How did the plan with the ropes go?\Was there progress for the source of information?\Actually... response:	Oh, that.
context: Good morning, Norman.\I brought the plates.\- Good morning, Ray. - Good morning, Emma.\So?\How did the plan with the ropes go?\Was there progress for the source of information?\Actually...\Oh, that. response:	It's me.
context: I brought the plates.\- Good morning, Ray. - Good morning, Emma.\So?\How did the plan with the ropes go?\Was there progress for the source of information?\Actually...\Oh, that.\It's me. response:	I'm Mom's informant.
context: - Good morning, Ray. - Good morning, Emma.\So?\How did the plan with the ropes go?\Was there progress for the source of information?\Actually...\Oh, that.\It's me.\I'm Mom's informant. response:	It was you?
context: So?\How did the plan with the ropes go?\Was there progress for the source of information?\Actually...\Oh, that.\It's me.\I'm Mom's informant.\It was you? response:	Sorry for that reaction, but I still don't understand.
context: How did the plan with the ropes go?\Was there progress for the source of information?\Actually...\Oh, that.\It's me.\I'm Mom's informant.\It was you?\Sorry for that reaction, but I still don't understand. response:	Yes! Let me explain!
context: Was there progress for the source of information?\Actually...\Oh, that.\It's me.\I'm Mom's informant.\It was you?\Sorry for that reaction, but I still don't understand.\Yes! Let me explain! response:	So you're the traitor, but not an enemy.
context: Actually...\Oh, that.\It's me.\I'm Mom's informant.\It was you?\Sorry for that reaction, but I still don't understand.\Yes! Let me explain!\So you're the traitor, but not an enemy. response:	You were acting as Mom's subordinate all this time for our sake?
context: Oh, that.\It's me.\I'm Mom's informant.\It was you?\Sorry for that reaction, but I still don't understand.\Yes! Let me explain!\So you're the traitor, but not an enemy.\You were acting as Mom's subordinate all this time for our sake? response:	Yeah.
context: It's me.\I'm Mom's informant.\It was you?\Sorry for that reaction, but I still don't understand.\Yes! Let me explain!\So you're the traitor, but not an enemy.\You were acting as Mom's subordinate all this time for our sake?\Yeah. response:	The truth is, I was going to tell you everything as soon as you got back from the gate.
context: I'm Mom's informant.\It was you?\Sorry for that reaction, but I still don't understand.\Yes! Let me explain!\So you're the traitor, but not an enemy.\You were acting as Mom's subordinate all this time for our sake?\Yeah.\The truth is, I was going to tell you everything as soon as you got back from the gate. response:	But you left Little Bunny behind,
context: It was you?\Sorry for that reaction, but I still don't understand.\Yes! Let me explain!\So you're the traitor, but not an enemy.\You were acting as Mom's subordinate all this time for our sake?\Yeah.\The truth is, I was going to tell you everything as soon as you got back from the gate.\But you left Little Bunny behind, response:	saying you wanted to escape with everyone, and other unexpected things happened.
context: Sorry for that reaction, but I still don't understand.\Yes! Let me explain!\So you're the traitor, but not an enemy.\You were acting as Mom's subordinate all this time for our sake?\Yeah.\The truth is, I was going to tell you everything as soon as you got back from the gate.\But you left Little Bunny behind,\saying you wanted to escape with everyone, and other unexpected things happened. response:	Mom found out, so I had to manage the situation.
context: Yes! Let me explain!\So you're the traitor, but not an enemy.\You were acting as Mom's subordinate all this time for our sake?\Yeah.\The truth is, I was going to tell you everything as soon as you got back from the gate.\But you left Little Bunny behind,\saying you wanted to escape with everyone, and other unexpected things happened.\Mom found out, so I had to manage the situation. response:	Plus you guys were being rash, and about to get reckless.
context: So you're the traitor, but not an enemy.\You were acting as Mom's subordinate all this time for our sake?\Yeah.\The truth is, I was going to tell you everything as soon as you got back from the gate.\But you left Little Bunny behind,\saying you wanted to escape with everyone, and other unexpected things happened.\Mom found out, so I had to manage the situation.\Plus you guys were being rash, and about to get reckless. response:	That's why I figured I should keep quiet and get both under control.
context: You were acting as Mom's subordinate all this time for our sake?\Yeah.\The truth is, I was going to tell you everything as soon as you got back from the gate.\But you left Little Bunny behind,\saying you wanted to escape with everyone, and other unexpected things happened.\Mom found out, so I had to manage the situation.\Plus you guys were being rash, and about to get reckless.\That's why I figured I should keep quiet and get both under control. response:	So you're saying that you were covering up for our mistakes.
context: Yeah.\The truth is, I was going to tell you everything as soon as you got back from the gate.\But you left Little Bunny behind,\saying you wanted to escape with everyone, and other unexpected things happened.\Mom found out, so I had to manage the situation.\Plus you guys were being rash, and about to get reckless.\That's why I figured I should keep quiet and get both under control.\So you're saying that you were covering up for our mistakes. response:	And you're still against escaping with everyone, right?
context: The truth is, I was going to tell you everything as soon as you got back from the gate.\But you left Little Bunny behind,\saying you wanted to escape with everyone, and other unexpected things happened.\Mom found out, so I had to manage the situation.\Plus you guys were being rash, and about to get reckless.\That's why I figured I should keep quiet and get both under control.\So you're saying that you were covering up for our mistakes.\And you're still against escaping with everyone, right? response:	But it's different now.
context: But you left Little Bunny behind,\saying you wanted to escape with everyone, and other unexpected things happened.\Mom found out, so I had to manage the situation.\Plus you guys were being rash, and about to get reckless.\That's why I figured I should keep quiet and get both under control.\So you're saying that you were covering up for our mistakes.\And you're still against escaping with everyone, right?\But it's different now. response:	I'll help you escape with everyone.
context: saying you wanted to escape with everyone, and other unexpected things happened.\Mom found out, so I had to manage the situation.\Plus you guys were being rash, and about to get reckless.\That's why I figured I should keep quiet and get both under control.\So you're saying that you were covering up for our mistakes.\And you're still against escaping with everyone, right?\But it's different now.\I'll help you escape with everyone. response:	That's not like you.
context: Mom found out, so I had to manage the situation.\Plus you guys were being rash, and about to get reckless.\That's why I figured I should keep quiet and get both under control.\So you're saying that you were covering up for our mistakes.\And you're still against escaping with everyone, right?\But it's different now.\I'll help you escape with everyone.\That's not like you. response:	Do you think he's lying?
context: Plus you guys were being rash, and about to get reckless.\That's why I figured I should keep quiet and get both under control.\So you're saying that you were covering up for our mistakes.\And you're still against escaping with everyone, right?\But it's different now.\I'll help you escape with everyone.\That's not like you.\Do you think he's lying? response:	No, I'm happy.
context: That's why I figured I should keep quiet and get both under control.\So you're saying that you were covering up for our mistakes.\And you're still against escaping with everyone, right?\But it's different now.\I'll help you escape with everyone.\That's not like you.\Do you think he's lying?\No, I'm happy. response:	Ray is now going to help everyone escape.
context: So you're saying that you were covering up for our mistakes.\And you're still against escaping with everyone, right?\But it's different now.\I'll help you escape with everyone.\That's not like you.\Do you think he's lying?\No, I'm happy.\Ray is now going to help everyone escape. response:	And we also have information to trick Mom from the inside.
context: And you're still against escaping with everyone, right?\But it's different now.\I'll help you escape with everyone.\That's not like you.\Do you think he's lying?\No, I'm happy.\Ray is now going to help everyone escape.\And we also have information to trick Mom from the inside. response:	It's awesome!
context: But it's different now.\I'll help you escape with everyone.\That's not like you.\Do you think he's lying?\No, I'm happy.\Ray is now going to help everyone escape.\And we also have information to trick Mom from the inside.\It's awesome! response:	But, I see.
context: I'll help you escape with everyone.\That's not like you.\Do you think he's lying?\No, I'm happy.\Ray is now going to help everyone escape.\And we also have information to trick Mom from the inside.\It's awesome!\But, I see. response:	You knew about everything for a long time, huh?
context: That's not like you.\Do you think he's lying?\No, I'm happy.\Ray is now going to help everyone escape.\And we also have information to trick Mom from the inside.\It's awesome!\But, I see.\You knew about everything for a long time, huh? response:	It must have been painful.
context: Do you think he's lying?\No, I'm happy.\Ray is now going to help everyone escape.\And we also have information to trick Mom from the inside.\It's awesome!\But, I see.\You knew about everything for a long time, huh?\It must have been painful. response:	Knowing and sending them off without saying anything.
context: No, I'm happy.\Ray is now going to help everyone escape.\And we also have information to trick Mom from the inside.\It's awesome!\But, I see.\You knew about everything for a long time, huh?\It must have been painful.\Knowing and sending them off without saying anything. response:	So many of them.
context: Ray is now going to help everyone escape.\And we also have information to trick Mom from the inside.\It's awesome!\But, I see.\You knew about everything for a long time, huh?\It must have been painful.\Knowing and sending them off without saying anything.\So many of them. response:	Hey.
context: And we also have information to trick Mom from the inside.\It's awesome!\But, I see.\You knew about everything for a long time, huh?\It must have been painful.\Knowing and sending them off without saying anything.\So many of them.\Hey. response:	Were the experiments for the tracking devices done on someone's ear?
context: It's awesome!\But, I see.\You knew about everything for a long time, huh?\It must have been painful.\Knowing and sending them off without saying anything.\So many of them.\Hey.\Were the experiments for the tracking devices done on someone's ear? response:	What happened to that child... or rather, children?
context: But, I see.\You knew about everything for a long time, huh?\It must have been painful.\Knowing and sending them off without saying anything.\So many of them.\Hey.\Were the experiments for the tracking devices done on someone's ear?\What happened to that child... or rather, children? response:	You didn't cause them to be shipped out early, did you?
context: You knew about everything for a long time, huh?\It must have been painful.\Knowing and sending them off without saying anything.\So many of them.\Hey.\Were the experiments for the tracking devices done on someone's ear?\What happened to that child... or rather, children?\You didn't cause them to be shipped out early, did you? response:	You didn't sacrifice someone for our sake, did you?
context: It must have been painful.\Knowing and sending them off without saying anything.\So many of them.\Hey.\Were the experiments for the tracking devices done on someone's ear?\What happened to that child... or rather, children?\You didn't cause them to be shipped out early, did you?\You didn't sacrifice someone for our sake, did you? response:	Actually, never mind. Thank you.
context: Knowing and sending them off without saying anything.\So many of them.\Hey.\Were the experiments for the tracking devices done on someone's ear?\What happened to that child... or rather, children?\You didn't cause them to be shipped out early, did you?\You didn't sacrifice someone for our sake, did you?\Actually, never mind. Thank you. response:	Thanks to that, we can all escape together now.
context: So many of them.\Hey.\Were the experiments for the tracking devices done on someone's ear?\What happened to that child... or rather, children?\You didn't cause them to be shipped out early, did you?\You didn't sacrifice someone for our sake, did you?\Actually, never mind. Thank you.\Thanks to that, we can all escape together now. response:	But...
context: Hey.\Were the experiments for the tracking devices done on someone's ear?\What happened to that child... or rather, children?\You didn't cause them to be shipped out early, did you?\You didn't sacrifice someone for our sake, did you?\Actually, never mind. Thank you.\Thanks to that, we can all escape together now.\But... response:	don't do something like that ever again.
context: Were the experiments for the tracking devices done on someone's ear?\What happened to that child... or rather, children?\You didn't cause them to be shipped out early, did you?\You didn't sacrifice someone for our sake, did you?\Actually, never mind. Thank you.\Thanks to that, we can all escape together now.\But...\don't do something like that ever again. response:	You're not alone anymore.
context: What happened to that child... or rather, children?\You didn't cause them to be shipped out early, did you?\You didn't sacrifice someone for our sake, did you?\Actually, never mind. Thank you.\Thanks to that, we can all escape together now.\But...\don't do something like that ever again.\You're not alone anymore. response:	You're not alone anymore, so...
context: You didn't cause them to be shipped out early, did you?\You didn't sacrifice someone for our sake, did you?\Actually, never mind. Thank you.\Thanks to that, we can all escape together now.\But...\don't do something like that ever again.\You're not alone anymore.\You're not alone anymore, so... response:	I swear. I'll never do it again.
context: You didn't sacrifice someone for our sake, did you?\Actually, never mind. Thank you.\Thanks to that, we can all escape together now.\But...\don't do something like that ever again.\You're not alone anymore.\You're not alone anymore, so...\I swear. I'll never do it again. response:	Let's all escape from here together.
context: Actually, never mind. Thank you.\Thanks to that, we can all escape together now.\But...\don't do something like that ever again.\You're not alone anymore.\You're not alone anymore, so...\I swear. I'll never do it again.\Let's all escape from here together. response:	They're talking on their own again, huh?
context: Thanks to that, we can all escape together now.\But...\don't do something like that ever again.\You're not alone anymore.\You're not alone anymore, so...\I swear. I'll never do it again.\Let's all escape from here together.\They're talking on their own again, huh? response:	Damn it, how long are they going to be discussing things?
context: But...\don't do something like that ever again.\You're not alone anymore.\You're not alone anymore, so...\I swear. I'll never do it again.\Let's all escape from here together.\They're talking on their own again, huh?\Damn it, how long are they going to be discussing things? response:	We need to go save Conny!
context: don't do something like that ever again.\You're not alone anymore.\You're not alone anymore, so...\I swear. I'll never do it again.\Let's all escape from here together.\They're talking on their own again, huh?\Damn it, how long are they going to be discussing things?\We need to go save Conny! response:	I wonder if there's a reason.
context: You're not alone anymore.\You're not alone anymore, so...\I swear. I'll never do it again.\Let's all escape from here together.\They're talking on their own again, huh?\Damn it, how long are they going to be discussing things?\We need to go save Conny!\I wonder if there's a reason. response:	Like what?
context: You're not alone anymore, so...\I swear. I'll never do it again.\Let's all escape from here together.\They're talking on their own again, huh?\Damn it, how long are they going to be discussing things?\We need to go save Conny!\I wonder if there's a reason.\Like what? response:	I don't know.
