context: All of Kosaku Kawajiri's shoes are a bit big for my own feet. response:	I need to switch them with
context: is almost like a cat, as well...\The fact that it can't resist trying to smell me is also like a cat.\It looks like it might be okay to pet it.\The way it's purring creepily\as it's about to fall asleep is also, indeed, like a cat.\But I'm still not sure if it has any hostility toward me or not.\Let's find out.\Hmm... It's angry, response:	but this confirms that it doesn't have any hostility toward me.
context: The fact that it can't resist trying to smell me is also like a cat.\It looks like it might be okay to pet it.\The way it's purring creepily\as it's about to fall asleep is also, indeed, like a cat.\But I'm still not sure if it has any hostility toward me or not.\Let's find out.\Hmm... It's angry,\but this confirms that it doesn't have any hostility toward me. response:	This is definitely the cat that I buried here yesterday.
context: It looks like it might be okay to pet it.\The way it's purring creepily\as it's about to fall asleep is also, indeed, like a cat.\But I'm still not sure if it has any hostility toward me or not.\Let's find out.\Hmm... It's angry,\but this confirms that it doesn't have any hostility toward me.\This is definitely the cat that I buried here yesterday. response:	So it really did have a hole in its throat from the arrow!
context: The way it's purring creepily\as it's about to fall asleep is also, indeed, like a cat.\But I'm still not sure if it has any hostility toward me or not.\Let's find out.\Hmm... It's angry,\but this confirms that it doesn't have any hostility toward me.\This is definitely the cat that I buried here yesterday.\So it really did have a hole in its throat from the arrow! response:	D-Darling?
context: as it's about to fall asleep is also, indeed, like a cat.\But I'm still not sure if it has any hostility toward me or not.\Let's find out.\Hmm... It's angry,\but this confirms that it doesn't have any hostility toward me.\This is definitely the cat that I buried here yesterday.\So it really did have a hole in its throat from the arrow!\D-Darling? response:	The woman!
context: But I'm still not sure if it has any hostility toward me or not.\Let's find out.\Hmm... It's angry,\but this confirms that it doesn't have any hostility toward me.\This is definitely the cat that I buried here yesterday.\So it really did have a hole in its throat from the arrow!\D-Darling?\The woman! response:	That place scares me.
context: Let's find out.\Hmm... It's angry,\but this confirms that it doesn't have any hostility toward me.\This is definitely the cat that I buried here yesterday.\So it really did have a hole in its throat from the arrow!\D-Darling?\The woman!\That place scares me. response:	That's where my toenail came off...
context: Hmm... It's angry,\but this confirms that it doesn't have any hostility toward me.\This is definitely the cat that I buried here yesterday.\So it really did have a hole in its throat from the arrow!\D-Darling?\The woman!\That place scares me.\That's where my toenail came off... response:	This cat attacked her because it had a grudge against her!
context: but this confirms that it doesn't have any hostility toward me.\This is definitely the cat that I buried here yesterday.\So it really did have a hole in its throat from the arrow!\D-Darling?\The woman!\That place scares me.\That's where my toenail came off...\This cat attacked her because it had a grudge against her! response:	If she found out about this thing...
context: This is definitely the cat that I buried here yesterday.\So it really did have a hole in its throat from the arrow!\D-Darling?\The woman!\That place scares me.\That's where my toenail came off...\This cat attacked her because it had a grudge against her!\If she found out about this thing... response:	That rumor might eventually reach Jotaro Kujo and the others!
context: So it really did have a hole in its throat from the arrow!\D-Darling?\The woman!\That place scares me.\That's where my toenail came off...\This cat attacked her because it had a grudge against her!\If she found out about this thing...\That rumor might eventually reach Jotaro Kujo and the others! response:	That would definitely be bad news!
context: D-Darling?\The woman!\That place scares me.\That's where my toenail came off...\This cat attacked her because it had a grudge against her!\If she found out about this thing...\That rumor might eventually reach Jotaro Kujo and the others!\That would definitely be bad news! response:	That's where you buried the cat, right?
context: The woman!\That place scares me.\That's where my toenail came off...\This cat attacked her because it had a grudge against her!\If she found out about this thing...\That rumor might eventually reach Jotaro Kujo and the others!\That would definitely be bad news!\That's where you buried the cat, right? response:	It seems like it's cursed, so I'm really scared...
context: That place scares me.\That's where my toenail came off...\This cat attacked her because it had a grudge against her!\If she found out about this thing...\That rumor might eventually reach Jotaro Kujo and the others!\That would definitely be bad news!\That's where you buried the cat, right?\It seems like it's cursed, so I'm really scared... response:	I didn't bury it here. Go back into the house.
context: That's where my toenail came off...\This cat attacked her because it had a grudge against her!\If she found out about this thing...\That rumor might eventually reach Jotaro Kujo and the others!\That would definitely be bad news!\That's where you buried the cat, right?\It seems like it's cursed, so I'm really scared...\I didn't bury it here. Go back into the house. response:	You're lying!
context: This cat attacked her because it had a grudge against her!\If she found out about this thing...\That rumor might eventually reach Jotaro Kujo and the others!\That would definitely be bad news!\That's where you buried the cat, right?\It seems like it's cursed, so I'm really scared...\I didn't bury it here. Go back into the house.\You're lying! response:	You're lying out of consideration for me, aren't you?
context: If she found out about this thing...\That rumor might eventually reach Jotaro Kujo and the others!\That would definitely be bad news!\That's where you buried the cat, right?\It seems like it's cursed, so I'm really scared...\I didn't bury it here. Go back into the house.\You're lying!\You're lying out of consideration for me, aren't you? response:	Crap! This cat means me harm, after all!
context: That rumor might eventually reach Jotaro Kujo and the others!\That would definitely be bad news!\That's where you buried the cat, right?\It seems like it's cursed, so I'm really scared...\I didn't bury it here. Go back into the house.\You're lying!\You're lying out of consideration for me, aren't you?\Crap! This cat means me harm, after all! response:	I still don't know what kind of Stand ability it has,
context: That would definitely be bad news!\That's where you buried the cat, right?\It seems like it's cursed, so I'm really scared...\I didn't bury it here. Go back into the house.\You're lying!\You're lying out of consideration for me, aren't you?\Crap! This cat means me harm, after all!\I still don't know what kind of Stand ability it has, response:	but I'm going to get rid of it.
context: That's where you buried the cat, right?\It seems like it's cursed, so I'm really scared...\I didn't bury it here. Go back into the house.\You're lying!\You're lying out of consideration for me, aren't you?\Crap! This cat means me harm, after all!\I still don't know what kind of Stand ability it has,\but I'm going to get rid of it. response:	Deadly Queen!
context: It seems like it's cursed, so I'm really scared...\I didn't bury it here. Go back into the house.\You're lying!\You're lying out of consideration for me, aren't you?\Crap! This cat means me harm, after all!\I still don't know what kind of Stand ability it has,\but I'm going to get rid of it.\Deadly Queen! response:	I feel bad for you, but I'm going to blow you up with this.
context: I didn't bury it here. Go back into the house.\You're lying!\You're lying out of consideration for me, aren't you?\Crap! This cat means me harm, after all!\I still don't know what kind of Stand ability it has,\but I'm going to get rid of it.\Deadly Queen!\I feel bad for you, but I'm going to blow you up with this. response:	First bomb, switch on!
context: You're lying!\You're lying out of consideration for me, aren't you?\Crap! This cat means me harm, after all!\I still don't know what kind of Stand ability it has,\but I'm going to get rid of it.\Deadly Queen!\I feel bad for you, but I'm going to blow you up with this.\First bomb, switch on! response:	What?!
context: You're lying out of consideration for me, aren't you?\Crap! This cat means me harm, after all!\I still don't know what kind of Stand ability it has,\but I'm going to get rid of it.\Deadly Queen!\I feel bad for you, but I'm going to blow you up with this.\First bomb, switch on!\What?! response:	Impossible! There's no way it can be a dud!
context: Crap! This cat means me harm, after all!\I still don't know what kind of Stand ability it has,\but I'm going to get rid of it.\Deadly Queen!\I feel bad for you, but I'm going to blow you up with this.\First bomb, switch on!\What?!\Impossible! There's no way it can be a dud! response:	Is it because of this thing?
context: I still don't know what kind of Stand ability it has,\but I'm going to get rid of it.\Deadly Queen!\I feel bad for you, but I'm going to blow you up with this.\First bomb, switch on!\What?!\Impossible! There's no way it can be a dud!\Is it because of this thing? response:	Is this thing's ability keeping it from exploding?
context: but I'm going to get rid of it.\Deadly Queen!\I feel bad for you, but I'm going to blow you up with this.\First bomb, switch on!\What?!\Impossible! There's no way it can be a dud!\Is it because of this thing?\Is this thing's ability keeping it from exploding? response:	Huh? Is that a plant?
context: Deadly Queen!\I feel bad for you, but I'm going to blow you up with this.\First bomb, switch on!\What?!\Impossible! There's no way it can be a dud!\Is it because of this thing?\Is this thing's ability keeping it from exploding?\Huh? Is that a plant? response:	Th-That plant is moving!
context: I feel bad for you, but I'm going to blow you up with this.\First bomb, switch on!\What?!\Impossible! There's no way it can be a dud!\Is it because of this thing?\Is this thing's ability keeping it from exploding?\Huh? Is that a plant?\Th-That plant is moving! response:	I told you to go back into the house!
context: First bomb, switch on!\What?!\Impossible! There's no way it can be a dud!\Is it because of this thing?\Is this thing's ability keeping it from exploding?\Huh? Is that a plant?\Th-That plant is moving!\I told you to go back into the house! response:	Huh?
context: What?!\Impossible! There's no way it can be a dud!\Is it because of this thing?\Is this thing's ability keeping it from exploding?\Huh? Is that a plant?\Th-That plant is moving!\I told you to go back into the house!\Huh? response:	Shinobu!
context: Impossible! There's no way it can be a dud!\Is it because of this thing?\Is this thing's ability keeping it from exploding?\Huh? Is that a plant?\Th-That plant is moving!\I told you to go back into the house!\Huh?\Shinobu! response:	The moment Deadly Queen's bomb moved away from that thing, it went off!
context: Is it because of this thing?\Is this thing's ability keeping it from exploding?\Huh? Is that a plant?\Th-That plant is moving!\I told you to go back into the house!\Huh?\Shinobu!\The moment Deadly Queen's bomb moved away from that thing, it went off! response:	Could this thing's ability be...
context: Is this thing's ability keeping it from exploding?\Huh? Is that a plant?\Th-That plant is moving!\I told you to go back into the house!\Huh?\Shinobu!\The moment Deadly Queen's bomb moved away from that thing, it went off!\Could this thing's ability be... response:	The plant that was a cat until yesterday thought,
context: Huh? Is that a plant?\Th-That plant is moving!\I told you to go back into the house!\Huh?\Shinobu!\The moment Deadly Queen's bomb moved away from that thing, it went off!\Could this thing's ability be...\The plant that was a cat until yesterday thought, response:	I'm going to kill that woman!
context: Th-That plant is moving!\I told you to go back into the house!\Huh?\Shinobu!\The moment Deadly Queen's bomb moved away from that thing, it went off!\Could this thing's ability be...\The plant that was a cat until yesterday thought,\I'm going to kill that woman! response:	I can't allow you to attack her anymore.
context: I told you to go back into the house!\Huh?\Shinobu!\The moment Deadly Queen's bomb moved away from that thing, it went off!\Could this thing's ability be...\The plant that was a cat until yesterday thought,\I'm going to kill that woman!\I can't allow you to attack her anymore. response:	I'm going to have to make you disappear.
context: Huh?\Shinobu!\The moment Deadly Queen's bomb moved away from that thing, it went off!\Could this thing's ability be...\The plant that was a cat until yesterday thought,\I'm going to kill that woman!\I can't allow you to attack her anymore.\I'm going to have to make you disappear. response:	Then I'll just have to kill this man who's getting in my way, too!
context: Shinobu!\The moment Deadly Queen's bomb moved away from that thing, it went off!\Could this thing's ability be...\The plant that was a cat until yesterday thought,\I'm going to kill that woman!\I can't allow you to attack her anymore.\I'm going to have to make you disappear.\Then I'll just have to kill this man who's getting in my way, too! response:	The only time the bomb doesn't explode is when there's no air around it.
context: The moment Deadly Queen's bomb moved away from that thing, it went off!\Could this thing's ability be...\The plant that was a cat until yesterday thought,\I'm going to kill that woman!\I can't allow you to attack her anymore.\I'm going to have to make you disappear.\Then I'll just have to kill this man who's getting in my way, too!\The only time the bomb doesn't explode is when there's no air around it. response:	This plant instinctively knew just how it should kill him.
context: Could this thing's ability be...\The plant that was a cat until yesterday thought,\I'm going to kill that woman!\I can't allow you to attack her anymore.\I'm going to have to make you disappear.\Then I'll just have to kill this man who's getting in my way, too!\The only time the bomb doesn't explode is when there's no air around it.\This plant instinctively knew just how it should kill him. response:	Could its Stand ability be the ability to control air freely?
context: The plant that was a cat until yesterday thought,\I'm going to kill that woman!\I can't allow you to attack her anymore.\I'm going to have to make you disappear.\Then I'll just have to kill this man who's getting in my way, too!\The only time the bomb doesn't explode is when there's no air around it.\This plant instinctively knew just how it should kill him.\Could its Stand ability be the ability to control air freely? response:	It's coming!
context: I'm going to kill that woman!\I can't allow you to attack her anymore.\I'm going to have to make you disappear.\Then I'll just have to kill this man who's getting in my way, too!\The only time the bomb doesn't explode is when there's no air around it.\This plant instinctively knew just how it should kill him.\Could its Stand ability be the ability to control air freely?\It's coming! response:	I can't see it, but it released something again.
context: I can't allow you to attack her anymore.\I'm going to have to make you disappear.\Then I'll just have to kill this man who's getting in my way, too!\The only time the bomb doesn't explode is when there's no air around it.\This plant instinctively knew just how it should kill him.\Could its Stand ability be the ability to control air freely?\It's coming!\I can't see it, but it released something again. response:	Deadly Queen!
context: I'm going to have to make you disappear.\Then I'll just have to kill this man who's getting in my way, too!\The only time the bomb doesn't explode is when there's no air around it.\This plant instinctively knew just how it should kill him.\Could its Stand ability be the ability to control air freely?\It's coming!\I can't see it, but it released something again.\Deadly Queen! response:	It is releasing something. It's air!
context: Then I'll just have to kill this man who's getting in my way, too!\The only time the bomb doesn't explode is when there's no air around it.\This plant instinctively knew just how it should kill him.\Could its Stand ability be the ability to control air freely?\It's coming!\I can't see it, but it released something again.\Deadly Queen!\It is releasing something. It's air! response:	It's releasing bubbles of air!
context: The only time the bomb doesn't explode is when there's no air around it.\This plant instinctively knew just how it should kill him.\Could its Stand ability be the ability to control air freely?\It's coming!\I can't see it, but it released something again.\Deadly Queen!\It is releasing something. It's air!\It's releasing bubbles of air! response:	You damn cat! I'll crush you!
context: This plant instinctively knew just how it should kill him.\Could its Stand ability be the ability to control air freely?\It's coming!\I can't see it, but it released something again.\Deadly Queen!\It is releasing something. It's air!\It's releasing bubbles of air!\You damn cat! I'll crush you! response:	I can't touch it!
context: Could its Stand ability be the ability to control air freely?\It's coming!\I can't see it, but it released something again.\Deadly Queen!\It is releasing something. It's air!\It's releasing bubbles of air!\You damn cat! I'll crush you!\I can't touch it! response:	It's like I'm stepping on an invisible balloon!
context: It's coming!\I can't see it, but it released something again.\Deadly Queen!\It is releasing something. It's air!\It's releasing bubbles of air!\You damn cat! I'll crush you!\I can't touch it!\It's like I'm stepping on an invisible balloon! response:	It really is controlling the air.
context: I can't see it, but it released something again.\Deadly Queen!\It is releasing something. It's air!\It's releasing bubbles of air!\You damn cat! I'll crush you!\I can't touch it!\It's like I'm stepping on an invisible balloon!\It really is controlling the air. response:	What?
context: Deadly Queen!\It is releasing something. It's air!\It's releasing bubbles of air!\You damn cat! I'll crush you!\I can't touch it!\It's like I'm stepping on an invisible balloon!\It really is controlling the air.\What? response:	Th-That thing...
context: It is releasing something. It's air!\It's releasing bubbles of air!\You damn cat! I'll crush you!\I can't touch it!\It's like I'm stepping on an invisible balloon!\It really is controlling the air.\What?\Th-That thing... response:	I can't see it, but I'm sure it released an air bubble again.
context: It's releasing bubbles of air!\You damn cat! I'll crush you!\I can't touch it!\It's like I'm stepping on an invisible balloon!\It really is controlling the air.\What?\Th-That thing...\I can't see it, but I'm sure it released an air bubble again. response:	This isn't good... Something isn't right!
context: You damn cat! I'll crush you!\I can't touch it!\It's like I'm stepping on an invisible balloon!\It really is controlling the air.\What?\Th-That thing...\I can't see it, but I'm sure it released an air bubble again.\This isn't good... Something isn't right! response:	What?
context: I can't touch it!\It's like I'm stepping on an invisible balloon!\It really is controlling the air.\What?\Th-That thing...\I can't see it, but I'm sure it released an air bubble again.\This isn't good... Something isn't right!\What? response:	The cactus!
context: It's like I'm stepping on an invisible balloon!\It really is controlling the air.\What?\Th-That thing...\I can't see it, but I'm sure it released an air bubble again.\This isn't good... Something isn't right!\What?\The cactus! response:	Sh-Shinobu!
context: It really is controlling the air.\What?\Th-That thing...\I can't see it, but I'm sure it released an air bubble again.\This isn't good... Something isn't right!\What?\The cactus!\Sh-Shinobu! response:	What is this? Was I, Yoshikage Kira, just relieved
context: What?\Th-That thing...\I can't see it, but I'm sure it released an air bubble again.\This isn't good... Something isn't right!\What?\The cactus!\Sh-Shinobu!\What is this? Was I, Yoshikage Kira, just relieved response:	at the fact that the cactus needles didn't pierce her eyes?
context: Th-That thing...\I can't see it, but I'm sure it released an air bubble again.\This isn't good... Something isn't right!\What?\The cactus!\Sh-Shinobu!\What is this? Was I, Yoshikage Kira, just relieved\at the fact that the cactus needles didn't pierce her eyes? response:	What is this feeling?
context: I can't see it, but I'm sure it released an air bubble again.\This isn't good... Something isn't right!\What?\The cactus!\Sh-Shinobu!\What is this? Was I, Yoshikage Kira, just relieved\at the fact that the cactus needles didn't pierce her eyes?\What is this feeling? response:	Am I actually worried about someone else?
context: This isn't good... Something isn't right!\What?\The cactus!\Sh-Shinobu!\What is this? Was I, Yoshikage Kira, just relieved\at the fact that the cactus needles didn't pierce her eyes?\What is this feeling?\Am I actually worried about someone else? response:	No!
context: What?\The cactus!\Sh-Shinobu!\What is this? Was I, Yoshikage Kira, just relieved\at the fact that the cactus needles didn't pierce her eyes?\What is this feeling?\Am I actually worried about someone else?\No! response:	I'm just worried that if this woman dies, Jotaro Kujo
context: The cactus!\Sh-Shinobu!\What is this? Was I, Yoshikage Kira, just relieved\at the fact that the cactus needles didn't pierce her eyes?\What is this feeling?\Am I actually worried about someone else?\No!\I'm just worried that if this woman dies, Jotaro Kujo response:	will find out about this house!
context: Sh-Shinobu!\What is this? Was I, Yoshikage Kira, just relieved\at the fact that the cactus needles didn't pierce her eyes?\What is this feeling?\Am I actually worried about someone else?\No!\I'm just worried that if this woman dies, Jotaro Kujo\will find out about this house! response:	That's the only reason I was relieved that she was okay.
context: What is this? Was I, Yoshikage Kira, just relieved\at the fact that the cactus needles didn't pierce her eyes?\What is this feeling?\Am I actually worried about someone else?\No!\I'm just worried that if this woman dies, Jotaro Kujo\will find out about this house!\That's the only reason I was relieved that she was okay. response:	That's all it is...
context: at the fact that the cactus needles didn't pierce her eyes?\What is this feeling?\Am I actually worried about someone else?\No!\I'm just worried that if this woman dies, Jotaro Kujo\will find out about this house!\That's the only reason I was relieved that she was okay.\That's all it is... response:	That attack won't work anymore.
context: What is this feeling?\Am I actually worried about someone else?\No!\I'm just worried that if this woman dies, Jotaro Kujo\will find out about this house!\That's the only reason I was relieved that she was okay.\That's all it is...\That attack won't work anymore. response:	Even though I may not be able to see it,
context: Am I actually worried about someone else?\No!\I'm just worried that if this woman dies, Jotaro Kujo\will find out about this house!\That's the only reason I was relieved that she was okay.\That's all it is...\That attack won't work anymore.\Even though I may not be able to see it, response:	now that I know the mystery behind it...
context: No!\I'm just worried that if this woman dies, Jotaro Kujo\will find out about this house!\That's the only reason I was relieved that she was okay.\That's all it is...\That attack won't work anymore.\Even though I may not be able to see it,\now that I know the mystery behind it... response:	It's just an ability that allows you to blow and spread air bubbles.
context: I'm just worried that if this woman dies, Jotaro Kujo\will find out about this house!\That's the only reason I was relieved that she was okay.\That's all it is...\That attack won't work anymore.\Even though I may not be able to see it,\now that I know the mystery behind it...\It's just an ability that allows you to blow and spread air bubbles. response:	You are no longer a match for Deadly Queen.
context: will find out about this house!\That's the only reason I was relieved that she was okay.\That's all it is...\That attack won't work anymore.\Even though I may not be able to see it,\now that I know the mystery behind it...\It's just an ability that allows you to blow and spread air bubbles.\You are no longer a match for Deadly Queen. response:	What?!
context: That's the only reason I was relieved that she was okay.\That's all it is...\That attack won't work anymore.\Even though I may not be able to see it,\now that I know the mystery behind it...\It's just an ability that allows you to blow and spread air bubbles.\You are no longer a match for Deadly Queen.\What?! response:	Th-This thing just... put an air bubble into my veins!
context: That's all it is...\That attack won't work anymore.\Even though I may not be able to see it,\now that I know the mystery behind it...\It's just an ability that allows you to blow and spread air bubbles.\You are no longer a match for Deadly Queen.\What?!\Th-This thing just... put an air bubble into my veins! response:	It's rising higher and higher into my body!
context: That attack won't work anymore.\Even though I may not be able to see it,\now that I know the mystery behind it...\It's just an ability that allows you to blow and spread air bubbles.\You are no longer a match for Deadly Queen.\What?!\Th-This thing just... put an air bubble into my veins!\It's rising higher and higher into my body! response:	I'm not that knowledgeable in medicine, but I've heard
context: Even though I may not be able to see it,\now that I know the mystery behind it...\It's just an ability that allows you to blow and spread air bubbles.\You are no longer a match for Deadly Queen.\What?!\Th-This thing just... put an air bubble into my veins!\It's rising higher and higher into my body!\I'm not that knowledgeable in medicine, but I've heard response:	that if you inject more than 10cc of air into a human being's veins,
context: now that I know the mystery behind it...\It's just an ability that allows you to blow and spread air bubbles.\You are no longer a match for Deadly Queen.\What?!\Th-This thing just... put an air bubble into my veins!\It's rising higher and higher into my body!\I'm not that knowledgeable in medicine, but I've heard\that if you inject more than 10cc of air into a human being's veins, response:	it can block the vein and lead to death.
context: It's just an ability that allows you to blow and spread air bubbles.\You are no longer a match for Deadly Queen.\What?!\Th-This thing just... put an air bubble into my veins!\It's rising higher and higher into my body!\I'm not that knowledgeable in medicine, but I've heard\that if you inject more than 10cc of air into a human being's veins,\it can block the vein and lead to death. response:	This is definitely more than 10cc!
context: You are no longer a match for Deadly Queen.\What?!\Th-This thing just... put an air bubble into my veins!\It's rising higher and higher into my body!\I'm not that knowledgeable in medicine, but I've heard\that if you inject more than 10cc of air into a human being's veins,\it can block the vein and lead to death.\This is definitely more than 10cc! response:	Shit!
context: What?!\Th-This thing just... put an air bubble into my veins!\It's rising higher and higher into my body!\I'm not that knowledgeable in medicine, but I've heard\that if you inject more than 10cc of air into a human being's veins,\it can block the vein and lead to death.\This is definitely more than 10cc!\Shit! response:	It's no use! This is bad...
context: Th-This thing just... put an air bubble into my veins!\It's rising higher and higher into my body!\I'm not that knowledgeable in medicine, but I've heard\that if you inject more than 10cc of air into a human being's veins,\it can block the vein and lead to death.\This is definitely more than 10cc!\Shit!\It's no use! This is bad... response:	I have no choice... I have to do it.
context: It's rising higher and higher into my body!\I'm not that knowledgeable in medicine, but I've heard\that if you inject more than 10cc of air into a human being's veins,\it can block the vein and lead to death.\This is definitely more than 10cc!\Shit!\It's no use! This is bad...\I have no choice... I have to do it. response:	Deadly Queen!
context: I'm not that knowledgeable in medicine, but I've heard\that if you inject more than 10cc of air into a human being's veins,\it can block the vein and lead to death.\This is definitely more than 10cc!\Shit!\It's no use! This is bad...\I have no choice... I have to do it.\Deadly Queen! response:	I underestimated that thing.
context: that if you inject more than 10cc of air into a human being's veins,\it can block the vein and lead to death.\This is definitely more than 10cc!\Shit!\It's no use! This is bad...\I have no choice... I have to do it.\Deadly Queen!\I underestimated that thing. response:	Its ability to freely control the air...
context: it can block the vein and lead to death.\This is definitely more than 10cc!\Shit!\It's no use! This is bad...\I have no choice... I have to do it.\Deadly Queen!\I underestimated that thing.\Its ability to freely control the air... response:	It's a terrifying ability. Wh-What should I do?
context: This is definitely more than 10cc!\Shit!\It's no use! This is bad...\I have no choice... I have to do it.\Deadly Queen!\I underestimated that thing.\Its ability to freely control the air...\It's a terrifying ability. Wh-What should I do? response:	It's coming! It's going to attack again!
context: Shit!\It's no use! This is bad...\I have no choice... I have to do it.\Deadly Queen!\I underestimated that thing.\Its ability to freely control the air...\It's a terrifying ability. Wh-What should I do?\It's coming! It's going to attack again! response:	What should I do?
context: It's no use! This is bad...\I have no choice... I have to do it.\Deadly Queen!\I underestimated that thing.\Its ability to freely control the air...\It's a terrifying ability. Wh-What should I do?\It's coming! It's going to attack again!\What should I do? response:	That was close...
context: I have no choice... I have to do it.\Deadly Queen!\I underestimated that thing.\Its ability to freely control the air...\It's a terrifying ability. Wh-What should I do?\It's coming! It's going to attack again!\What should I do?\That was close... response:	For now, I guess I'll let this go.
context: Deadly Queen!\I underestimated that thing.\Its ability to freely control the air...\It's a terrifying ability. Wh-What should I do?\It's coming! It's going to attack again!\What should I do?\That was close...\For now, I guess I'll let this go. response:	I'll let this go.
context: I underestimated that thing.\Its ability to freely control the air...\It's a terrifying ability. Wh-What should I do?\It's coming! It's going to attack again!\What should I do?\That was close...\For now, I guess I'll let this go.\I'll let this go. response:	St
context: Its ability to freely control the air...\It's a terrifying ability. Wh-What should I do?\It's coming! It's going to attack again!\What should I do?\That was close...\For now, I guess I'll let this go.\I'll let this go.\St response:	Str
context: It's a terrifying ability. Wh-What should I do?\It's coming! It's going to attack again!\What should I do?\That was close...\For now, I guess I'll let this go.\I'll let this go.\St\Str response:	Stra
context: It's coming! It's going to attack again!\What should I do?\That was close...\For now, I guess I'll let this go.\I'll let this go.\St\Str\Stra response:	Stray
context: What should I do?\That was close...\For now, I guess I'll let this go.\I'll let this go.\St\Str\Stra\Stray response:	Stray C
context: That was close...\For now, I guess I'll let this go.\I'll let this go.\St\Str\Stra\Stray\Stray C response:	Stray Ca
context: For now, I guess I'll let this go.\I'll let this go.\St\Str\Stra\Stray\Stray C\Stray Ca response:	Stray Cat
context: I'll let this go.\St\Str\Stra\Stray\Stray C\Stray Ca\Stray Cat response:	A Plant
context: St\Str\Stra\Stray\Stray C\Stray Ca\Stray Cat\A Plant response:	A Plant That
context: Str\Stra\Stray\Stray C\Stray Ca\Stray Cat\A Plant\A Plant That response:	A Plant That Was
context: Stra\Stray\Stray C\Stray Ca\Stray Cat\A Plant\A Plant That\A Plant That Was response:	A Plant That Was Once
context: Stray\Stray C\Stray Ca\Stray Cat\A Plant\A Plant That\A Plant That Was\A Plant That Was Once response:	A Plant That Was Once a
context: Stray C\Stray Ca\Stray Cat\A Plant\A Plant That\A Plant That Was\A Plant That Was Once\A Plant That Was Once a response:	A Plant That Was Once a Cat
context: Stray Ca\Stray Cat\A Plant\A Plant That\A Plant That Was\A Plant That Was Once\A Plant That Was Once a\A Plant That Was Once a Cat response:	He told me yesterday that he buried that cat's corpse far away.
context: Stray Cat\A Plant\A Plant That\A Plant That Was\A Plant That Was Once\A Plant That Was Once a\A Plant That Was Once a Cat\He told me yesterday that he buried that cat's corpse far away. response:	The cat's curse, as he said,
context: A Plant\A Plant That\A Plant That Was\A Plant That Was Once\A Plant That Was Once a\A Plant That Was Once a Cat\He told me yesterday that he buried that cat's corpse far away.\The cat's curse, as he said, response:	was just an illusion my mind came up with out of fear.
context: A Plant That\A Plant That Was\A Plant That Was Once\A Plant That Was Once a\A Plant That Was Once a Cat\He told me yesterday that he buried that cat's corpse far away.\The cat's curse, as he said,\was just an illusion my mind came up with out of fear. response:	I suddenly fainted in front of him... It was so embarrassing.
context: A Plant That Was\A Plant That Was Once\A Plant That Was Once a\A Plant That Was Once a Cat\He told me yesterday that he buried that cat's corpse far away.\The cat's curse, as he said,\was just an illusion my mind came up with out of fear.\I suddenly fainted in front of him... It was so embarrassing. response:	But...
context: A Plant That Was Once\A Plant That Was Once a\A Plant That Was Once a Cat\He told me yesterday that he buried that cat's corpse far away.\The cat's curse, as he said,\was just an illusion my mind came up with out of fear.\I suddenly fainted in front of him... It was so embarrassing.\But... response:	He took care of me, even though it made him late to work.
context: A Plant That Was Once a\A Plant That Was Once a Cat\He told me yesterday that he buried that cat's corpse far away.\The cat's curse, as he said,\was just an illusion my mind came up with out of fear.\I suddenly fainted in front of him... It was so embarrassing.\But...\He took care of me, even though it made him late to work. response:	I was so happy.
context: A Plant That Was Once a Cat\He told me yesterday that he buried that cat's corpse far away.\The cat's curse, as he said,\was just an illusion my mind came up with out of fear.\I suddenly fainted in front of him... It was so embarrassing.\But...\He took care of me, even though it made him late to work.\I was so happy. response:	It felt like our hearts were connected.
context: He told me yesterday that he buried that cat's corpse far away.\The cat's curse, as he said,\was just an illusion my mind came up with out of fear.\I suddenly fainted in front of him... It was so embarrassing.\But...\He took care of me, even though it made him late to work.\I was so happy.\It felt like our hearts were connected. response:	That was the happiest morning of my life.
context: The cat's curse, as he said,\was just an illusion my mind came up with out of fear.\I suddenly fainted in front of him... It was so embarrassing.\But...\He took care of me, even though it made him late to work.\I was so happy.\It felt like our hearts were connected.\That was the happiest morning of my life. response:	Well? Is it good?
context: was just an illusion my mind came up with out of fear.\I suddenly fainted in front of him... It was so embarrassing.\But...\He took care of me, even though it made him late to work.\I was so happy.\It felt like our hearts were connected.\That was the happiest morning of my life.\Well? Is it good? response:	That Hayato...
context: I suddenly fainted in front of him... It was so embarrassing.\But...\He took care of me, even though it made him late to work.\I was so happy.\It felt like our hearts were connected.\That was the happiest morning of my life.\Well? Is it good?\That Hayato... response:	He left without saying goodbye again.
context: But...\He took care of me, even though it made him late to work.\I was so happy.\It felt like our hearts were connected.\That was the happiest morning of my life.\Well? Is it good?\That Hayato...\He left without saying goodbye again. response:	Was that brat observing me?
context: He took care of me, even though it made him late to work.\I was so happy.\It felt like our hearts were connected.\That was the happiest morning of my life.\Well? Is it good?\That Hayato...\He left without saying goodbye again.\Was that brat observing me? response:	Oh, darling!
context: I was so happy.\It felt like our hearts were connected.\That was the happiest morning of my life.\Well? Is it good?\That Hayato...\He left without saying goodbye again.\Was that brat observing me?\Oh, darling! response:	That's my plate.
context: It felt like our hearts were connected.\That was the happiest morning of my life.\Well? Is it good?\That Hayato...\He left without saying goodbye again.\Was that brat observing me?\Oh, darling!\That's my plate. response:	You don't like shiitake mushrooms, so I took them out of yours...
