context: I figured if they could not become pro after this, response:	there's something seriously wrong with this world.
context: Hey, I can hear it. They sure play loud!\I wanna go in!\BLAST should play in a bigger place!\Do you know what the population of Tokyo is?!\We should have purchased our tickets ahead of time.\We'll wait around and catch the band on their way out.\Who do you wanna see?\Yasu. response:	He has great technique.
context: I wanna go in!\BLAST should play in a bigger place!\Do you know what the population of Tokyo is?!\We should have purchased our tickets ahead of time.\We'll wait around and catch the band on their way out.\Who do you wanna see?\Yasu.\He has great technique. response:	No way! Yasu's mine!
context: BLAST should play in a bigger place!\Do you know what the population of Tokyo is?!\We should have purchased our tickets ahead of time.\We'll wait around and catch the band on their way out.\Who do you wanna see?\Yasu.\He has great technique.\No way! Yasu's mine! response:	I'm guessing, it's summer vacation,
context: Do you know what the population of Tokyo is?!\We should have purchased our tickets ahead of time.\We'll wait around and catch the band on their way out.\Who do you wanna see?\Yasu.\He has great technique.\No way! Yasu's mine!\I'm guessing, it's summer vacation, response:	so many people have come out here from the suburbs,
context: We should have purchased our tickets ahead of time.\We'll wait around and catch the band on their way out.\Who do you wanna see?\Yasu.\He has great technique.\No way! Yasu's mine!\I'm guessing, it's summer vacation,\so many people have come out here from the suburbs, response:	causing this situation.
context: We'll wait around and catch the band on their way out.\Who do you wanna see?\Yasu.\He has great technique.\No way! Yasu's mine!\I'm guessing, it's summer vacation,\so many people have come out here from the suburbs,\causing this situation. response:	Even so, this level of enthusiasm is crazy.
context: Who do you wanna see?\Yasu.\He has great technique.\No way! Yasu's mine!\I'm guessing, it's summer vacation,\so many people have come out here from the suburbs,\causing this situation.\Even so, this level of enthusiasm is crazy. response:	What is this?
context: Yasu.\He has great technique.\No way! Yasu's mine!\I'm guessing, it's summer vacation,\so many people have come out here from the suburbs,\causing this situation.\Even so, this level of enthusiasm is crazy.\What is this? response:	Whaddaya wanna do?
context: He has great technique.\No way! Yasu's mine!\I'm guessing, it's summer vacation,\so many people have come out here from the suburbs,\causing this situation.\Even so, this level of enthusiasm is crazy.\What is this?\Whaddaya wanna do? response:	Wanna go for a coffee until the concert's over?
context: No way! Yasu's mine!\I'm guessing, it's summer vacation,\so many people have come out here from the suburbs,\causing this situation.\Even so, this level of enthusiasm is crazy.\What is this?\Whaddaya wanna do?\Wanna go for a coffee until the concert's over? response:	Sure.
context: I'm guessing, it's summer vacation,\so many people have come out here from the suburbs,\causing this situation.\Even so, this level of enthusiasm is crazy.\What is this?\Whaddaya wanna do?\Wanna go for a coffee until the concert's over?\Sure. response:	We've come all the way here.
context: so many people have come out here from the suburbs,\causing this situation.\Even so, this level of enthusiasm is crazy.\What is this?\Whaddaya wanna do?\Wanna go for a coffee until the concert's over?\Sure.\We've come all the way here. response:	Let's stick around and meet up with Nana later.
context: causing this situation.\Even so, this level of enthusiasm is crazy.\What is this?\Whaddaya wanna do?\Wanna go for a coffee until the concert's over?\Sure.\We've come all the way here.\Let's stick around and meet up with Nana later. response:	But with so many followers,
context: Even so, this level of enthusiasm is crazy.\What is this?\Whaddaya wanna do?\Wanna go for a coffee until the concert's over?\Sure.\We've come all the way here.\Let's stick around and meet up with Nana later.\But with so many followers, response:	they should be able to go pro without any problem.
context: What is this?\Whaddaya wanna do?\Wanna go for a coffee until the concert's over?\Sure.\We've come all the way here.\Let's stick around and meet up with Nana later.\But with so many followers,\they should be able to go pro without any problem. response:	That's it! They're followers!
context: Whaddaya wanna do?\Wanna go for a coffee until the concert's over?\Sure.\We've come all the way here.\Let's stick around and meet up with Nana later.\But with so many followers,\they should be able to go pro without any problem.\That's it! They're followers! response:	Misato's one, and Nana has a bit of that towards her roommate.
context: Wanna go for a coffee until the concert's over?\Sure.\We've come all the way here.\Let's stick around and meet up with Nana later.\But with so many followers,\they should be able to go pro without any problem.\That's it! They're followers!\Misato's one, and Nana has a bit of that towards her roommate. response:	Yeah, you're right.
context: Sure.\We've come all the way here.\Let's stick around and meet up with Nana later.\But with so many followers,\they should be able to go pro without any problem.\That's it! They're followers!\Misato's one, and Nana has a bit of that towards her roommate.\Yeah, you're right. response:	Maybe the reason she no longer talks about the Demon Lord
context: We've come all the way here.\Let's stick around and meet up with Nana later.\But with so many followers,\they should be able to go pro without any problem.\That's it! They're followers!\Misato's one, and Nana has a bit of that towards her roommate.\Yeah, you're right.\Maybe the reason she no longer talks about the Demon Lord response:	is not because she's matured,
context: Let's stick around and meet up with Nana later.\But with so many followers,\they should be able to go pro without any problem.\That's it! They're followers!\Misato's one, and Nana has a bit of that towards her roommate.\Yeah, you're right.\Maybe the reason she no longer talks about the Demon Lord\is not because she's matured, response:	but because she's switched over to the religion of BLAST.
context: But with so many followers,\they should be able to go pro without any problem.\That's it! They're followers!\Misato's one, and Nana has a bit of that towards her roommate.\Yeah, you're right.\Maybe the reason she no longer talks about the Demon Lord\is not because she's matured,\but because she's switched over to the religion of BLAST. response:	Bottom line, she needs something to depend on.
context: they should be able to go pro without any problem.\That's it! They're followers!\Misato's one, and Nana has a bit of that towards her roommate.\Yeah, you're right.\Maybe the reason she no longer talks about the Demon Lord\is not because she's matured,\but because she's switched over to the religion of BLAST.\Bottom line, she needs something to depend on. response:	Well, at least she's more positive about things now
context: That's it! They're followers!\Misato's one, and Nana has a bit of that towards her roommate.\Yeah, you're right.\Maybe the reason she no longer talks about the Demon Lord\is not because she's matured,\but because she's switched over to the religion of BLAST.\Bottom line, she needs something to depend on.\Well, at least she's more positive about things now response:	than back when she'd blame everything on the Demon Lord.
context: Misato's one, and Nana has a bit of that towards her roommate.\Yeah, you're right.\Maybe the reason she no longer talks about the Demon Lord\is not because she's matured,\but because she's switched over to the religion of BLAST.\Bottom line, she needs something to depend on.\Well, at least she's more positive about things now\than back when she'd blame everything on the Demon Lord. response:	Besides, BLAST is really cool.
context: Yeah, you're right.\Maybe the reason she no longer talks about the Demon Lord\is not because she's matured,\but because she's switched over to the religion of BLAST.\Bottom line, she needs something to depend on.\Well, at least she's more positive about things now\than back when she'd blame everything on the Demon Lord.\Besides, BLAST is really cool. response:	I can see why they have such devoted followers.
context: Maybe the reason she no longer talks about the Demon Lord\is not because she's matured,\but because she's switched over to the religion of BLAST.\Bottom line, she needs something to depend on.\Well, at least she's more positive about things now\than back when she'd blame everything on the Demon Lord.\Besides, BLAST is really cool.\I can see why they have such devoted followers. response:	Their presence on stage is out of the ordinary.
context: is not because she's matured,\but because she's switched over to the religion of BLAST.\Bottom line, she needs something to depend on.\Well, at least she's more positive about things now\than back when she'd blame everything on the Demon Lord.\Besides, BLAST is really cool.\I can see why they have such devoted followers.\Their presence on stage is out of the ordinary. response:	You're right. Especially that vocalist.
context: but because she's switched over to the religion of BLAST.\Bottom line, she needs something to depend on.\Well, at least she's more positive about things now\than back when she'd blame everything on the Demon Lord.\Besides, BLAST is really cool.\I can see why they have such devoted followers.\Their presence on stage is out of the ordinary.\You're right. Especially that vocalist. response:	You know, I was thinking.
context: Bottom line, she needs something to depend on.\Well, at least she's more positive about things now\than back when she'd blame everything on the Demon Lord.\Besides, BLAST is really cool.\I can see why they have such devoted followers.\Their presence on stage is out of the ordinary.\You're right. Especially that vocalist.\You know, I was thinking. response:	You know how with musicians, talent alone doesn't guarantee success?
context: Well, at least she's more positive about things now\than back when she'd blame everything on the Demon Lord.\Besides, BLAST is really cool.\I can see why they have such devoted followers.\Their presence on stage is out of the ordinary.\You're right. Especially that vocalist.\You know, I was thinking.\You know how with musicians, talent alone doesn't guarantee success? response:	Well, of course you've gotta be above a certain level
context: than back when she'd blame everything on the Demon Lord.\Besides, BLAST is really cool.\I can see why they have such devoted followers.\Their presence on stage is out of the ordinary.\You're right. Especially that vocalist.\You know, I was thinking.\You know how with musicians, talent alone doesn't guarantee success?\Well, of course you've gotta be above a certain level response:	if you're gonna go pro.
context: Besides, BLAST is really cool.\I can see why they have such devoted followers.\Their presence on stage is out of the ordinary.\You're right. Especially that vocalist.\You know, I was thinking.\You know how with musicians, talent alone doesn't guarantee success?\Well, of course you've gotta be above a certain level\if you're gonna go pro. response:	But from that point on, it's not really about how good or bad you are.
context: I can see why they have such devoted followers.\Their presence on stage is out of the ordinary.\You're right. Especially that vocalist.\You know, I was thinking.\You know how with musicians, talent alone doesn't guarantee success?\Well, of course you've gotta be above a certain level\if you're gonna go pro.\But from that point on, it's not really about how good or bad you are. response:	Charisma.
context: Their presence on stage is out of the ordinary.\You're right. Especially that vocalist.\You know, I was thinking.\You know how with musicians, talent alone doesn't guarantee success?\Well, of course you've gotta be above a certain level\if you're gonna go pro.\But from that point on, it's not really about how good or bad you are.\Charisma. response:	GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.
context: You're right. Especially that vocalist.\You know, I was thinking.\You know how with musicians, talent alone doesn't guarantee success?\Well, of course you've gotta be above a certain level\if you're gonna go pro.\But from that point on, it's not really about how good or bad you are.\Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma. response:	GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO
context: You know, I was thinking.\You know how with musicians, talent alone doesn't guarantee success?\Well, of course you've gotta be above a certain level\if you're gonna go pro.\But from that point on, it's not really about how good or bad you are.\Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO response:	GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.
context: You know how with musicians, talent alone doesn't guarantee success?\Well, of course you've gotta be above a certain level\if you're gonna go pro.\But from that point on, it's not really about how good or bad you are.\Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that. response:	Your band has that.
context: Well, of course you've gotta be above a certain level\if you're gonna go pro.\But from that point on, it's not really about how good or bad you are.\Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.\Your band has that. response:	Your musical performance and your songs are exceptional.
context: if you're gonna go pro.\But from that point on, it's not really about how good or bad you are.\Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.\Your band has that.\Your musical performance and your songs are exceptional. response:	It was a wonderful show.
context: But from that point on, it's not really about how good or bad you are.\Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.\Your band has that.\Your musical performance and your songs are exceptional.\It was a wonderful show. response:	I've been in this business for a long time,
context: Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.\Your band has that.\Your musical performance and your songs are exceptional.\It was a wonderful show.\I've been in this business for a long time, response:	but I haven't been so moved to this extent for ages.
context: GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Charisma.\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.\Your band has that.\Your musical performance and your songs are exceptional.\It was a wonderful show.\I've been in this business for a long time,\but I haven't been so moved to this extent for ages. response:	There's a lot for us to discuss.
context: GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO\GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.\Your band has that.\Your musical performance and your songs are exceptional.\It was a wonderful show.\I've been in this business for a long time,\but I haven't been so moved to this extent for ages.\There's a lot for us to discuss. response:	Rather than just talk things over here, why don't I...
context: GAIA RECORD CO. LTD. PRODUCER TAKAFUMI KAWANO Your band has that.\Your band has that.\Your musical performance and your songs are exceptional.\It was a wonderful show.\I've been in this business for a long time,\but I haven't been so moved to this extent for ages.\There's a lot for us to discuss.\Rather than just talk things over here, why don't I... response:	take you out for sushi?
context: Your band has that.\Your musical performance and your songs are exceptional.\It was a wonderful show.\I've been in this business for a long time,\but I haven't been so moved to this extent for ages.\There's a lot for us to discuss.\Rather than just talk things over here, why don't I...\take you out for sushi? response:	Yay! Sushi!
context: Your musical performance and your songs are exceptional.\It was a wonderful show.\I've been in this business for a long time,\but I haven't been so moved to this extent for ages.\There's a lot for us to discuss.\Rather than just talk things over here, why don't I...\take you out for sushi?\Yay! Sushi! response:	Shin.
context: It was a wonderful show.\I've been in this business for a long time,\but I haven't been so moved to this extent for ages.\There's a lot for us to discuss.\Rather than just talk things over here, why don't I...\take you out for sushi?\Yay! Sushi!\Shin. response:	What? You didn't go meet them backstage?
context: I've been in this business for a long time,\but I haven't been so moved to this extent for ages.\There's a lot for us to discuss.\Rather than just talk things over here, why don't I...\take you out for sushi?\Yay! Sushi!\Shin.\What? You didn't go meet them backstage? response:	No. They were seeing a guy from a record company.
context: but I haven't been so moved to this extent for ages.\There's a lot for us to discuss.\Rather than just talk things over here, why don't I...\take you out for sushi?\Yay! Sushi!\Shin.\What? You didn't go meet them backstage?\No. They were seeing a guy from a record company. response:	It would be distracting to have outsiders there while they're trying to talk business.
context: There's a lot for us to discuss.\Rather than just talk things over here, why don't I...\take you out for sushi?\Yay! Sushi!\Shin.\What? You didn't go meet them backstage?\No. They were seeing a guy from a record company.\It would be distracting to have outsiders there while they're trying to talk business. response:	We'll be seeing everyone at home later, anyway.
context: Rather than just talk things over here, why don't I...\take you out for sushi?\Yay! Sushi!\Shin.\What? You didn't go meet them backstage?\No. They were seeing a guy from a record company.\It would be distracting to have outsiders there while they're trying to talk business.\We'll be seeing everyone at home later, anyway. response:	Oh, a post-live party?
context: take you out for sushi?\Yay! Sushi!\Shin.\What? You didn't go meet them backstage?\No. They were seeing a guy from a record company.\It would be distracting to have outsiders there while they're trying to talk business.\We'll be seeing everyone at home later, anyway.\Oh, a post-live party? response:	Then we're going straight to your place, Nana?
context: Yay! Sushi!\Shin.\What? You didn't go meet them backstage?\No. They were seeing a guy from a record company.\It would be distracting to have outsiders there while they're trying to talk business.\We'll be seeing everyone at home later, anyway.\Oh, a post-live party?\Then we're going straight to your place, Nana? response:	Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.
context: Shin.\What? You didn't go meet them backstage?\No. They were seeing a guy from a record company.\It would be distracting to have outsiders there while they're trying to talk business.\We'll be seeing everyone at home later, anyway.\Oh, a post-live party?\Then we're going straight to your place, Nana?\Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food. response:	So please come.
context: What? You didn't go meet them backstage?\No. They were seeing a guy from a record company.\It would be distracting to have outsiders there while they're trying to talk business.\We'll be seeing everyone at home later, anyway.\Oh, a post-live party?\Then we're going straight to your place, Nana?\Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.\So please come. response:	Sorry.
context: No. They were seeing a guy from a record company.\It would be distracting to have outsiders there while they're trying to talk business.\We'll be seeing everyone at home later, anyway.\Oh, a post-live party?\Then we're going straight to your place, Nana?\Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.\So please come.\Sorry. response:	We're kinda busy now.
context: It would be distracting to have outsiders there while they're trying to talk business.\We'll be seeing everyone at home later, anyway.\Oh, a post-live party?\Then we're going straight to your place, Nana?\Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.\So please come.\Sorry.\We're kinda busy now. response:	We've gotta get home right away.
context: We'll be seeing everyone at home later, anyway.\Oh, a post-live party?\Then we're going straight to your place, Nana?\Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.\So please come.\Sorry.\We're kinda busy now.\We've gotta get home right away. response:	Huh? Why? It's summer vacation.
context: Oh, a post-live party?\Then we're going straight to your place, Nana?\Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.\So please come.\Sorry.\We're kinda busy now.\We've gotta get home right away.\Huh? Why? It's summer vacation. response:	We have a group exhibition starting next week.
context: Then we're going straight to your place, Nana?\Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.\So please come.\Sorry.\We're kinda busy now.\We've gotta get home right away.\Huh? Why? It's summer vacation.\We have a group exhibition starting next week. response:	Six of us have rented a gallery,
context: Mhm... I figured tonight will be a night to celebrate, so I prepared lots of food.\So please come.\Sorry.\We're kinda busy now.\We've gotta get home right away.\Huh? Why? It's summer vacation.\We have a group exhibition starting next week.\Six of us have rented a gallery, response:	us and some friends from the Art College.
context: So please come.\Sorry.\We're kinda busy now.\We've gotta get home right away.\Huh? Why? It's summer vacation.\We have a group exhibition starting next week.\Six of us have rented a gallery,\us and some friends from the Art College. response:	We're super busy for the exhibition.
context: Sorry.\We're kinda busy now.\We've gotta get home right away.\Huh? Why? It's summer vacation.\We have a group exhibition starting next week.\Six of us have rented a gallery,\us and some friends from the Art College.\We're super busy for the exhibition. response:	Is that so? A group exhibition?
context: We're kinda busy now.\We've gotta get home right away.\Huh? Why? It's summer vacation.\We have a group exhibition starting next week.\Six of us have rented a gallery,\us and some friends from the Art College.\We're super busy for the exhibition.\Is that so? A group exhibition? response:	Like a true art student.
context: We've gotta get home right away.\Huh? Why? It's summer vacation.\We have a group exhibition starting next week.\Six of us have rented a gallery,\us and some friends from the Art College.\We're super busy for the exhibition.\Is that so? A group exhibition?\Like a true art student. response:	I feel sorry that you couldn't see the concert
context: Huh? Why? It's summer vacation.\We have a group exhibition starting next week.\Six of us have rented a gallery,\us and some friends from the Art College.\We're super busy for the exhibition.\Is that so? A group exhibition?\Like a true art student.\I feel sorry that you couldn't see the concert response:	after coming out here during a very busy time.
context: We have a group exhibition starting next week.\Six of us have rented a gallery,\us and some friends from the Art College.\We're super busy for the exhibition.\Is that so? A group exhibition?\Like a true art student.\I feel sorry that you couldn't see the concert\after coming out here during a very busy time. response:	It's not as bad as those who came all the way to Tokyo from a different city
context: Six of us have rented a gallery,\us and some friends from the Art College.\We're super busy for the exhibition.\Is that so? A group exhibition?\Like a true art student.\I feel sorry that you couldn't see the concert\after coming out here during a very busy time.\It's not as bad as those who came all the way to Tokyo from a different city response:	and weren't able to get in.
context: us and some friends from the Art College.\We're super busy for the exhibition.\Is that so? A group exhibition?\Like a true art student.\I feel sorry that you couldn't see the concert\after coming out here during a very busy time.\It's not as bad as those who came all the way to Tokyo from a different city\and weren't able to get in. response:	Indeed.
context: We're super busy for the exhibition.\Is that so? A group exhibition?\Like a true art student.\I feel sorry that you couldn't see the concert\after coming out here during a very busy time.\It's not as bad as those who came all the way to Tokyo from a different city\and weren't able to get in.\Indeed. response:	Here. It's a pamphlet with information on our group exhibition.
context: Is that so? A group exhibition?\Like a true art student.\I feel sorry that you couldn't see the concert\after coming out here during a very busy time.\It's not as bad as those who came all the way to Tokyo from a different city\and weren't able to get in.\Indeed.\Here. It's a pamphlet with information on our group exhibition. response:	Come by if you have time.
context: Like a true art student.\I feel sorry that you couldn't see the concert\after coming out here during a very busy time.\It's not as bad as those who came all the way to Tokyo from a different city\and weren't able to get in.\Indeed.\Here. It's a pamphlet with information on our group exhibition.\Come by if you have time. response:	ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE
context: I feel sorry that you couldn't see the concert\after coming out here during a very busy time.\It's not as bad as those who came all the way to Tokyo from a different city\and weren't able to get in.\Indeed.\Here. It's a pamphlet with information on our group exhibition.\Come by if you have time.\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE response:	ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.
context: after coming out here during a very busy time.\It's not as bad as those who came all the way to Tokyo from a different city\and weren't able to get in.\Indeed.\Here. It's a pamphlet with information on our group exhibition.\Come by if you have time.\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing. response:	Jun-chan and Kyosuke are working diligently in their own world.
context: It's not as bad as those who came all the way to Tokyo from a different city\and weren't able to get in.\Indeed.\Here. It's a pamphlet with information on our group exhibition.\Come by if you have time.\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.\Jun-chan and Kyosuke are working diligently in their own world. response:	I feel an even stronger sense that they're leaving me behind.
context: and weren't able to get in.\Indeed.\Here. It's a pamphlet with information on our group exhibition.\Come by if you have time.\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.\Jun-chan and Kyosuke are working diligently in their own world.\I feel an even stronger sense that they're leaving me behind. response:	Miss Hachiko, your cell phone's ringing.
context: Indeed.\Here. It's a pamphlet with information on our group exhibition.\Come by if you have time.\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.\Jun-chan and Kyosuke are working diligently in their own world.\I feel an even stronger sense that they're leaving me behind.\Miss Hachiko, your cell phone's ringing. response:	Hello, Nana here.
context: Here. It's a pamphlet with information on our group exhibition.\Come by if you have time.\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.\Jun-chan and Kyosuke are working diligently in their own world.\I feel an even stronger sense that they're leaving me behind.\Miss Hachiko, your cell phone's ringing.\Hello, Nana here. response:	Oh, Nana?
context: Come by if you have time.\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.\Jun-chan and Kyosuke are working diligently in their own world.\I feel an even stronger sense that they're leaving me behind.\Miss Hachiko, your cell phone's ringing.\Hello, Nana here.\Oh, Nana? response:	Good job with the live concert. We're back home.
context: ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE\ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.\Jun-chan and Kyosuke are working diligently in their own world.\I feel an even stronger sense that they're leaving me behind.\Miss Hachiko, your cell phone's ringing.\Hello, Nana here.\Oh, Nana?\Good job with the live concert. We're back home. response:	We got a ride home.
context: ART COLLEGE OIL PAINTING 2 MIYUKI AIKAWA JUNKO SAOTOME KATSUHIRO ISHIBASHI KYOSUKE TAKAKURA YOSHIHIRO KUME YUTAKA NAKASONE Friends studying the same thing.\Jun-chan and Kyosuke are working diligently in their own world.\I feel an even stronger sense that they're leaving me behind.\Miss Hachiko, your cell phone's ringing.\Hello, Nana here.\Oh, Nana?\Good job with the live concert. We're back home.\We got a ride home. response:	What about you guys, Nana? What time can you get here?
context: Jun-chan and Kyosuke are working diligently in their own world.\I feel an even stronger sense that they're leaving me behind.\Miss Hachiko, your cell phone's ringing.\Hello, Nana here.\Oh, Nana?\Good job with the live concert. We're back home.\We got a ride home.\What about you guys, Nana? What time can you get here? response:	Sorry. It doesn't look like we're gonna be able to make it.
context: I feel an even stronger sense that they're leaving me behind.\Miss Hachiko, your cell phone's ringing.\Hello, Nana here.\Oh, Nana?\Good job with the live concert. We're back home.\We got a ride home.\What about you guys, Nana? What time can you get here?\Sorry. It doesn't look like we're gonna be able to make it. response:	We've been invited to have dinner with the guy from Gaia.
context: Miss Hachiko, your cell phone's ringing.\Hello, Nana here.\Oh, Nana?\Good job with the live concert. We're back home.\We got a ride home.\What about you guys, Nana? What time can you get here?\Sorry. It doesn't look like we're gonna be able to make it.\We've been invited to have dinner with the guy from Gaia. response:	I imagine we'll be pretty late.
context: Hello, Nana here.\Oh, Nana?\Good job with the live concert. We're back home.\We got a ride home.\What about you guys, Nana? What time can you get here?\Sorry. It doesn't look like we're gonna be able to make it.\We've been invited to have dinner with the guy from Gaia.\I imagine we'll be pretty late. response:	Did you by chance already make preparations for our post-live party?
context: Oh, Nana?\Good job with the live concert. We're back home.\We got a ride home.\What about you guys, Nana? What time can you get here?\Sorry. It doesn't look like we're gonna be able to make it.\We've been invited to have dinner with the guy from Gaia.\I imagine we'll be pretty late.\Did you by chance already make preparations for our post-live party? response:	No, not yet! We just got home!
context: Good job with the live concert. We're back home.\We got a ride home.\What about you guys, Nana? What time can you get here?\Sorry. It doesn't look like we're gonna be able to make it.\We've been invited to have dinner with the guy from Gaia.\I imagine we'll be pretty late.\Did you by chance already make preparations for our post-live party?\No, not yet! We just got home! response:	I'm really sorry.
context: We got a ride home.\What about you guys, Nana? What time can you get here?\Sorry. It doesn't look like we're gonna be able to make it.\We've been invited to have dinner with the guy from Gaia.\I imagine we'll be pretty late.\Did you by chance already make preparations for our post-live party?\No, not yet! We just got home!\I'm really sorry. response:	Not to worry.
context: What about you guys, Nana? What time can you get here?\Sorry. It doesn't look like we're gonna be able to make it.\We've been invited to have dinner with the guy from Gaia.\I imagine we'll be pretty late.\Did you by chance already make preparations for our post-live party?\No, not yet! We just got home!\I'm really sorry.\Not to worry. response:	It's okay, don't worry about us. Go.
context: Sorry. It doesn't look like we're gonna be able to make it.\We've been invited to have dinner with the guy from Gaia.\I imagine we'll be pretty late.\Did you by chance already make preparations for our post-live party?\No, not yet! We just got home!\I'm really sorry.\Not to worry.\It's okay, don't worry about us. Go. response:	This waste of time happens often.
