context: I don't know what you're up to, response:	but why don't you do that for the living instead?
context: Keep close watch over the Hall of Hell.\About Hyakkimaru's whereabouts...\There has been a sighting of the kid he was with.\Have Tahomaru go.\Actually, my lord...\Nobody seems to be home.\A merchant family and some servants live here.\But nobody's seen them for a while. response:	Not since the ghoul was first sighted.
context: About Hyakkimaru's whereabouts...\There has been a sighting of the kid he was with.\Have Tahomaru go.\Actually, my lord...\Nobody seems to be home.\A merchant family and some servants live here.\But nobody's seen them for a while.\Not since the ghoul was first sighted. response:	Young Master.
context: There has been a sighting of the kid he was with.\Have Tahomaru go.\Actually, my lord...\Nobody seems to be home.\A merchant family and some servants live here.\But nobody's seen them for a while.\Not since the ghoul was first sighted.\Young Master. response:	There it is.
context: Have Tahomaru go.\Actually, my lord...\Nobody seems to be home.\A merchant family and some servants live here.\But nobody's seen them for a while.\Not since the ghoul was first sighted.\Young Master.\There it is. response:	There's no rush.
context: Actually, my lord...\Nobody seems to be home.\A merchant family and some servants live here.\But nobody's seen them for a while.\Not since the ghoul was first sighted.\Young Master.\There it is.\There's no rush. response:	There are openings for air and enough supplies for a while.
context: Nobody seems to be home.\A merchant family and some servants live here.\But nobody's seen them for a while.\Not since the ghoul was first sighted.\Young Master.\There it is.\There's no rush.\There are openings for air and enough supplies for a while. response:	Hyakkimaru, you asked me why.
context: A merchant family and some servants live here.\But nobody's seen them for a while.\Not since the ghoul was first sighted.\Young Master.\There it is.\There's no rush.\There are openings for air and enough supplies for a while.\Hyakkimaru, you asked me why. response:	Let me ask you the same thing.
context: But nobody's seen them for a while.\Not since the ghoul was first sighted.\Young Master.\There it is.\There's no rush.\There are openings for air and enough supplies for a while.\Hyakkimaru, you asked me why.\Let me ask you the same thing. response:	Why is it that you fight?
context: Not since the ghoul was first sighted.\Young Master.\There it is.\There's no rush.\There are openings for air and enough supplies for a while.\Hyakkimaru, you asked me why.\Let me ask you the same thing.\Why is it that you fight? response:	If you leave this cave, you'll go back to a world of evil.
context: Young Master.\There it is.\There's no rush.\There are openings for air and enough supplies for a while.\Hyakkimaru, you asked me why.\Let me ask you the same thing.\Why is it that you fight?\If you leave this cave, you'll go back to a world of evil. response:	Do you still wish to go?
context: There it is.\There's no rush.\There are openings for air and enough supplies for a while.\Hyakkimaru, you asked me why.\Let me ask you the same thing.\Why is it that you fight?\If you leave this cave, you'll go back to a world of evil.\Do you still wish to go? response:	I do.
context: There's no rush.\There are openings for air and enough supplies for a while.\Hyakkimaru, you asked me why.\Let me ask you the same thing.\Why is it that you fight?\If you leave this cave, you'll go back to a world of evil.\Do you still wish to go?\I do. response:	-Do you want a body? -I do.
context: There are openings for air and enough supplies for a while.\Hyakkimaru, you asked me why.\Let me ask you the same thing.\Why is it that you fight?\If you leave this cave, you'll go back to a world of evil.\Do you still wish to go?\I do.\-Do you want a body? -I do. response:	You have something other people don't.
context: Hyakkimaru, you asked me why.\Let me ask you the same thing.\Why is it that you fight?\If you leave this cave, you'll go back to a world of evil.\Do you still wish to go?\I do.\-Do you want a body? -I do.\You have something other people don't. response:	A human body may only become a burden to you.
context: Let me ask you the same thing.\Why is it that you fight?\If you leave this cave, you'll go back to a world of evil.\Do you still wish to go?\I do.\-Do you want a body? -I do.\You have something other people don't.\A human body may only become a burden to you. response:	-And you still want one? -I do.
context: Why is it that you fight?\If you leave this cave, you'll go back to a world of evil.\Do you still wish to go?\I do.\-Do you want a body? -I do.\You have something other people don't.\A human body may only become a burden to you.\-And you still want one? -I do. response:	Why?
context: If you leave this cave, you'll go back to a world of evil.\Do you still wish to go?\I do.\-Do you want a body? -I do.\You have something other people don't.\A human body may only become a burden to you.\-And you still want one? -I do.\Why? response:	-Why? -You've never thought about why?
context: Do you still wish to go?\I do.\-Do you want a body? -I do.\You have something other people don't.\A human body may only become a burden to you.\-And you still want one? -I do.\Why?\-Why? -You've never thought about why? response:	Because it's mine.
context: I do.\-Do you want a body? -I do.\You have something other people don't.\A human body may only become a burden to you.\-And you still want one? -I do.\Why?\-Why? -You've never thought about why?\Because it's mine. response:	So every last demon...
context: -Do you want a body? -I do.\You have something other people don't.\A human body may only become a burden to you.\-And you still want one? -I do.\Why?\-Why? -You've never thought about why?\Because it's mine.\So every last demon... response:	I will kill!
context: You have something other people don't.\A human body may only become a burden to you.\-And you still want one? -I do.\Why?\-Why? -You've never thought about why?\Because it's mine.\So every last demon...\I will kill! response:	-Young Master! -A ghoul rat. Be careful!
context: A human body may only become a burden to you.\-And you still want one? -I do.\Why?\-Why? -You've never thought about why?\Because it's mine.\So every last demon...\I will kill!\-Young Master! -A ghoul rat. Be careful! response:	Hyogo! You little...
context: -And you still want one? -I do.\Why?\-Why? -You've never thought about why?\Because it's mine.\So every last demon...\I will kill!\-Young Master! -A ghoul rat. Be careful!\Hyogo! You little... response:	-It's quick. -I've maimed it. Stay alert.
context: Why?\-Why? -You've never thought about why?\Because it's mine.\So every last demon...\I will kill!\-Young Master! -A ghoul rat. Be careful!\Hyogo! You little...\-It's quick. -I've maimed it. Stay alert. response:	Hyakkimaru.
context: -Why? -You've never thought about why?\Because it's mine.\So every last demon...\I will kill!\-Young Master! -A ghoul rat. Be careful!\Hyogo! You little...\-It's quick. -I've maimed it. Stay alert.\Hyakkimaru. response:	You're right. Your body is yours.
context: Because it's mine.\So every last demon...\I will kill!\-Young Master! -A ghoul rat. Be careful!\Hyogo! You little...\-It's quick. -I've maimed it. Stay alert.\Hyakkimaru.\You're right. Your body is yours. response:	You don't need a reason to want to get it back.
context: So every last demon...\I will kill!\-Young Master! -A ghoul rat. Be careful!\Hyogo! You little...\-It's quick. -I've maimed it. Stay alert.\Hyakkimaru.\You're right. Your body is yours.\You don't need a reason to want to get it back. response:	But demons won't be the only things you'll have to kill.
context: I will kill!\-Young Master! -A ghoul rat. Be careful!\Hyogo! You little...\-It's quick. -I've maimed it. Stay alert.\Hyakkimaru.\You're right. Your body is yours.\You don't need a reason to want to get it back.\But demons won't be the only things you'll have to kill. response:	Your father, mother, and your younger brother.
context: -Young Master! -A ghoul rat. Be careful!\Hyogo! You little...\-It's quick. -I've maimed it. Stay alert.\Hyakkimaru.\You're right. Your body is yours.\You don't need a reason to want to get it back.\But demons won't be the only things you'll have to kill.\Your father, mother, and your younger brother. response:	The people of Daigo, too. They'll all try to stop you.
context: Hyogo! You little...\-It's quick. -I've maimed it. Stay alert.\Hyakkimaru.\You're right. Your body is yours.\You don't need a reason to want to get it back.\But demons won't be the only things you'll have to kill.\Your father, mother, and your younger brother.\The people of Daigo, too. They'll all try to stop you. response:	When that happens, the body you regain will be stained with human blood.
context: -It's quick. -I've maimed it. Stay alert.\Hyakkimaru.\You're right. Your body is yours.\You don't need a reason to want to get it back.\But demons won't be the only things you'll have to kill.\Your father, mother, and your younger brother.\The people of Daigo, too. They'll all try to stop you.\When that happens, the body you regain will be stained with human blood. response:	It will weigh heavy on you, heavier than any prosthetic limb.
context: Hyakkimaru.\You're right. Your body is yours.\You don't need a reason to want to get it back.\But demons won't be the only things you'll have to kill.\Your father, mother, and your younger brother.\The people of Daigo, too. They'll all try to stop you.\When that happens, the body you regain will be stained with human blood.\It will weigh heavy on you, heavier than any prosthetic limb. response:	Will you still be human then?
context: You're right. Your body is yours.\You don't need a reason to want to get it back.\But demons won't be the only things you'll have to kill.\Your father, mother, and your younger brother.\The people of Daigo, too. They'll all try to stop you.\When that happens, the body you regain will be stained with human blood.\It will weigh heavy on you, heavier than any prosthetic limb.\Will you still be human then? response:	All that's left beside you will be lifeless corpses.
context: You don't need a reason to want to get it back.\But demons won't be the only things you'll have to kill.\Your father, mother, and your younger brother.\The people of Daigo, too. They'll all try to stop you.\When that happens, the body you regain will be stained with human blood.\It will weigh heavy on you, heavier than any prosthetic limb.\Will you still be human then?\All that's left beside you will be lifeless corpses. response:	You will be all alone in this world.
context: But demons won't be the only things you'll have to kill.\Your father, mother, and your younger brother.\The people of Daigo, too. They'll all try to stop you.\When that happens, the body you regain will be stained with human blood.\It will weigh heavy on you, heavier than any prosthetic limb.\Will you still be human then?\All that's left beside you will be lifeless corpses.\You will be all alone in this world. response:	-Alone? -Yes, alone.
context: Your father, mother, and your younger brother.\The people of Daigo, too. They'll all try to stop you.\When that happens, the body you regain will be stained with human blood.\It will weigh heavy on you, heavier than any prosthetic limb.\Will you still be human then?\All that's left beside you will be lifeless corpses.\You will be all alone in this world.\-Alone? -Yes, alone. response:	-I fear that... -No. There is somebody.
context: The people of Daigo, too. They'll all try to stop you.\When that happens, the body you regain will be stained with human blood.\It will weigh heavy on you, heavier than any prosthetic limb.\Will you still be human then?\All that's left beside you will be lifeless corpses.\You will be all alone in this world.\-Alone? -Yes, alone.\-I fear that... -No. There is somebody. response:	What? Who?
context: When that happens, the body you regain will be stained with human blood.\It will weigh heavy on you, heavier than any prosthetic limb.\Will you still be human then?\All that's left beside you will be lifeless corpses.\You will be all alone in this world.\-Alone? -Yes, alone.\-I fear that... -No. There is somebody.\What? Who? response:	Right now...
context: It will weigh heavy on you, heavier than any prosthetic limb.\Will you still be human then?\All that's left beside you will be lifeless corpses.\You will be all alone in this world.\-Alone? -Yes, alone.\-I fear that... -No. There is somebody.\What? Who?\Right now... response:	Not here.
context: Will you still be human then?\All that's left beside you will be lifeless corpses.\You will be all alone in this world.\-Alone? -Yes, alone.\-I fear that... -No. There is somebody.\What? Who?\Right now...\Not here. response:	There it is.
context: All that's left beside you will be lifeless corpses.\You will be all alone in this world.\-Alone? -Yes, alone.\-I fear that... -No. There is somebody.\What? Who?\Right now...\Not here.\There it is. response:	-It killed humans to raise its children. -What?
context: You will be all alone in this world.\-Alone? -Yes, alone.\-I fear that... -No. There is somebody.\What? Who?\Right now...\Not here.\There it is.\-It killed humans to raise its children. -What? response:	Foul creature, prepare to die!
context: -Alone? -Yes, alone.\-I fear that... -No. There is somebody.\What? Who?\Right now...\Not here.\There it is.\-It killed humans to raise its children. -What?\Foul creature, prepare to die! response:	Is that...
context: -I fear that... -No. There is somebody.\What? Who?\Right now...\Not here.\There it is.\-It killed humans to raise its children. -What?\Foul creature, prepare to die!\Is that... response:	I thought I'd saved that poor little baby, but all I did
context: What? Who?\Right now...\Not here.\There it is.\-It killed humans to raise its children. -What?\Foul creature, prepare to die!\Is that...\I thought I'd saved that poor little baby, but all I did response:	was make it float down the river of hell again.
context: Right now...\Not here.\There it is.\-It killed humans to raise its children. -What?\Foul creature, prepare to die!\Is that...\I thought I'd saved that poor little baby, but all I did\was make it float down the river of hell again. response:	Hyakkimaru.
context: Not here.\There it is.\-It killed humans to raise its children. -What?\Foul creature, prepare to die!\Is that...\I thought I'd saved that poor little baby, but all I did\was make it float down the river of hell again.\Hyakkimaru. response:	I may be just another demon to you.
context: There it is.\-It killed humans to raise its children. -What?\Foul creature, prepare to die!\Is that...\I thought I'd saved that poor little baby, but all I did\was make it float down the river of hell again.\Hyakkimaru.\I may be just another demon to you. response:	-Young Master. -We'll kill it. Hyogo!
context: -It killed humans to raise its children. -What?\Foul creature, prepare to die!\Is that...\I thought I'd saved that poor little baby, but all I did\was make it float down the river of hell again.\Hyakkimaru.\I may be just another demon to you.\-Young Master. -We'll kill it. Hyogo! response:	I won't let you flee.
context: Foul creature, prepare to die!\Is that...\I thought I'd saved that poor little baby, but all I did\was make it float down the river of hell again.\Hyakkimaru.\I may be just another demon to you.\-Young Master. -We'll kill it. Hyogo!\I won't let you flee. response:	What shall we do now?
context: Is that...\I thought I'd saved that poor little baby, but all I did\was make it float down the river of hell again.\Hyakkimaru.\I may be just another demon to you.\-Young Master. -We'll kill it. Hyogo!\I won't let you flee.\What shall we do now? response:	-I shall slay it. -Wait.
context: I thought I'd saved that poor little baby, but all I did\was make it float down the river of hell again.\Hyakkimaru.\I may be just another demon to you.\-Young Master. -We'll kill it. Hyogo!\I won't let you flee.\What shall we do now?\-I shall slay it. -Wait. response:	Burn the place.
context: was make it float down the river of hell again.\Hyakkimaru.\I may be just another demon to you.\-Young Master. -We'll kill it. Hyogo!\I won't let you flee.\What shall we do now?\-I shall slay it. -Wait.\Burn the place. response:	If we keep the parent alive, the babies will stay.
context: Hyakkimaru.\I may be just another demon to you.\-Young Master. -We'll kill it. Hyogo!\I won't let you flee.\What shall we do now?\-I shall slay it. -Wait.\Burn the place.\If we keep the parent alive, the babies will stay. response:	Ghoul or not, I can't agree with the way you're handling this, sir.
context: I may be just another demon to you.\-Young Master. -We'll kill it. Hyogo!\I won't let you flee.\What shall we do now?\-I shall slay it. -Wait.\Burn the place.\If we keep the parent alive, the babies will stay.\Ghoul or not, I can't agree with the way you're handling this, sir. response:	-Hyogo. -Let's go.
context: -Young Master. -We'll kill it. Hyogo!\I won't let you flee.\What shall we do now?\-I shall slay it. -Wait.\Burn the place.\If we keep the parent alive, the babies will stay.\Ghoul or not, I can't agree with the way you're handling this, sir.\-Hyogo. -Let's go. response:	Mutsu. Hyogo. Never again will I let my feelings blunt my sword.
context: I won't let you flee.\What shall we do now?\-I shall slay it. -Wait.\Burn the place.\If we keep the parent alive, the babies will stay.\Ghoul or not, I can't agree with the way you're handling this, sir.\-Hyogo. -Let's go.\Mutsu. Hyogo. Never again will I let my feelings blunt my sword. response:	I will do anything to protect this land and its people.
context: What shall we do now?\-I shall slay it. -Wait.\Burn the place.\If we keep the parent alive, the babies will stay.\Ghoul or not, I can't agree with the way you're handling this, sir.\-Hyogo. -Let's go.\Mutsu. Hyogo. Never again will I let my feelings blunt my sword.\I will do anything to protect this land and its people. response:	Young Master.
context: -I shall slay it. -Wait.\Burn the place.\If we keep the parent alive, the babies will stay.\Ghoul or not, I can't agree with the way you're handling this, sir.\-Hyogo. -Let's go.\Mutsu. Hyogo. Never again will I let my feelings blunt my sword.\I will do anything to protect this land and its people.\Young Master. response:	Sir.
context: Burn the place.\If we keep the parent alive, the babies will stay.\Ghoul or not, I can't agree with the way you're handling this, sir.\-Hyogo. -Let's go.\Mutsu. Hyogo. Never again will I let my feelings blunt my sword.\I will do anything to protect this land and its people.\Young Master.\Sir. response:	There.
context: If we keep the parent alive, the babies will stay.\Ghoul or not, I can't agree with the way you're handling this, sir.\-Hyogo. -Let's go.\Mutsu. Hyogo. Never again will I let my feelings blunt my sword.\I will do anything to protect this land and its people.\Young Master.\Sir.\There. response:	You said there was somebody who will stay by your side.
context: Ghoul or not, I can't agree with the way you're handling this, sir.\-Hyogo. -Let's go.\Mutsu. Hyogo. Never again will I let my feelings blunt my sword.\I will do anything to protect this land and its people.\Young Master.\Sir.\There.\You said there was somebody who will stay by your side. response:	No, you don't have to tell me. It is enough that you understand.
context: -Hyogo. -Let's go.\Mutsu. Hyogo. Never again will I let my feelings blunt my sword.\I will do anything to protect this land and its people.\Young Master.\Sir.\There.\You said there was somebody who will stay by your side.\No, you don't have to tell me. It is enough that you understand. response:	If there is somebody in your life that is not your enemy...
context: Mutsu. Hyogo. Never again will I let my feelings blunt my sword.\I will do anything to protect this land and its people.\Young Master.\Sir.\There.\You said there was somebody who will stay by your side.\No, you don't have to tell me. It is enough that you understand.\If there is somebody in your life that is not your enemy... response:	that person may be able to keep you human.
context: I will do anything to protect this land and its people.\Young Master.\Sir.\There.\You said there was somebody who will stay by your side.\No, you don't have to tell me. It is enough that you understand.\If there is somebody in your life that is not your enemy...\that person may be able to keep you human. response:	Hyakkimaru.
context: Young Master.\Sir.\There.\You said there was somebody who will stay by your side.\No, you don't have to tell me. It is enough that you understand.\If there is somebody in your life that is not your enemy...\that person may be able to keep you human.\Hyakkimaru. response:	You want to know my name?
context: Sir.\There.\You said there was somebody who will stay by your side.\No, you don't have to tell me. It is enough that you understand.\If there is somebody in your life that is not your enemy...\that person may be able to keep you human.\Hyakkimaru.\You want to know my name? response:	You're right, you never used it when you lived with me.
context: There.\You said there was somebody who will stay by your side.\No, you don't have to tell me. It is enough that you understand.\If there is somebody in your life that is not your enemy...\that person may be able to keep you human.\Hyakkimaru.\You want to know my name?\You're right, you never used it when you lived with me. response:	My name is... No, you needn't know.
context: You said there was somebody who will stay by your side.\No, you don't have to tell me. It is enough that you understand.\If there is somebody in your life that is not your enemy...\that person may be able to keep you human.\Hyakkimaru.\You want to know my name?\You're right, you never used it when you lived with me.\My name is... No, you needn't know. response:	I am nobody.
context: No, you don't have to tell me. It is enough that you understand.\If there is somebody in your life that is not your enemy...\that person may be able to keep you human.\Hyakkimaru.\You want to know my name?\You're right, you never used it when you lived with me.\My name is... No, you needn't know.\I am nobody. response:	I know what you are.
context: If there is somebody in your life that is not your enemy...\that person may be able to keep you human.\Hyakkimaru.\You want to know my name?\You're right, you never used it when you lived with me.\My name is... No, you needn't know.\I am nobody.\I know what you are. response:	You're Mama.
context: that person may be able to keep you human.\Hyakkimaru.\You want to know my name?\You're right, you never used it when you lived with me.\My name is... No, you needn't know.\I am nobody.\I know what you are.\You're Mama. response:	Silly you. That's not what I am.
context: Hyakkimaru.\You want to know my name?\You're right, you never used it when you lived with me.\My name is... No, you needn't know.\I am nobody.\I know what you are.\You're Mama.\Silly you. That's not what I am. response:	I see. I wasn't alive in your eyes until now.
context: You want to know my name?\You're right, you never used it when you lived with me.\My name is... No, you needn't know.\I am nobody.\I know what you are.\You're Mama.\Silly you. That's not what I am.\I see. I wasn't alive in your eyes until now. response:	I guess I still have the right to die.
context: You're right, you never used it when you lived with me.\My name is... No, you needn't know.\I am nobody.\I know what you are.\You're Mama.\Silly you. That's not what I am.\I see. I wasn't alive in your eyes until now.\I guess I still have the right to die. response:	I can't believe our lord is making Young Master go kill Hyakkimaru.
context: My name is... No, you needn't know.\I am nobody.\I know what you are.\You're Mama.\Silly you. That's not what I am.\I see. I wasn't alive in your eyes until now.\I guess I still have the right to die.\I can't believe our lord is making Young Master go kill Hyakkimaru. response:	It is for the good of the land.
context: I am nobody.\I know what you are.\You're Mama.\Silly you. That's not what I am.\I see. I wasn't alive in your eyes until now.\I guess I still have the right to die.\I can't believe our lord is making Young Master go kill Hyakkimaru.\It is for the good of the land. response:	I know, I've made up my mind.
context: I know what you are.\You're Mama.\Silly you. That's not what I am.\I see. I wasn't alive in your eyes until now.\I guess I still have the right to die.\I can't believe our lord is making Young Master go kill Hyakkimaru.\It is for the good of the land.\I know, I've made up my mind. response:	I will not let my feelings guide me any longer.
context: You're Mama.\Silly you. That's not what I am.\I see. I wasn't alive in your eyes until now.\I guess I still have the right to die.\I can't believe our lord is making Young Master go kill Hyakkimaru.\It is for the good of the land.\I know, I've made up my mind.\I will not let my feelings guide me any longer. response:	Hyakkimaru has been sighted around Sodegahama.
context: Silly you. That's not what I am.\I see. I wasn't alive in your eyes until now.\I guess I still have the right to die.\I can't believe our lord is making Young Master go kill Hyakkimaru.\It is for the good of the land.\I know, I've made up my mind.\I will not let my feelings guide me any longer.\Hyakkimaru has been sighted around Sodegahama. response:	We will go there and kill him.
context: I see. I wasn't alive in your eyes until now.\I guess I still have the right to die.\I can't believe our lord is making Young Master go kill Hyakkimaru.\It is for the good of the land.\I know, I've made up my mind.\I will not let my feelings guide me any longer.\Hyakkimaru has been sighted around Sodegahama.\We will go there and kill him. response:	March!
context: I guess I still have the right to die.\I can't believe our lord is making Young Master go kill Hyakkimaru.\It is for the good of the land.\I know, I've made up my mind.\I will not let my feelings guide me any longer.\Hyakkimaru has been sighted around Sodegahama.\We will go there and kill him.\March! response:	Dororo.
context: I can't believe our lord is making Young Master go kill Hyakkimaru.\It is for the good of the land.\I know, I've made up my mind.\I will not let my feelings guide me any longer.\Hyakkimaru has been sighted around Sodegahama.\We will go there and kill him.\March!\Dororo. response:	Born into this world
context: It is for the good of the land.\I know, I've made up my mind.\I will not let my feelings guide me any longer.\Hyakkimaru has been sighted around Sodegahama.\We will go there and kill him.\March!\Dororo.\Born into this world response:	There is no salvation
context: I know, I've made up my mind.\I will not let my feelings guide me any longer.\Hyakkimaru has been sighted around Sodegahama.\We will go there and kill him.\March!\Dororo.\Born into this world\There is no salvation response:	The distorted shape of the heart
context: I will not let my feelings guide me any longer.\Hyakkimaru has been sighted around Sodegahama.\We will go there and kill him.\March!\Dororo.\Born into this world\There is no salvation\The distorted shape of the heart response:	Yet it beats courageously
context: Hyakkimaru has been sighted around Sodegahama.\We will go there and kill him.\March!\Dororo.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously response:	There is no turning back
context: We will go there and kill him.\March!\Dororo.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back response:	Even from the path of evil
context: March!\Dororo.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil response:	Witnessing the withering seasons
context: Dororo.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons response:	We search for the truth
context: Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth response:	In our ugliness
context: There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness response:	We don't even recognize the pain
context: The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain response:	As we peel back the skin
context: Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin response:	We are forever tormented by our stupidity
context: There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity response:	But if the dawn never comes
context: Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes response:	Through the painful night
context: Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night response:	You who distrusts nothing
context: We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing response:	You will be able to love this accursed world
context: In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world response:	Now that we carry the world on our shoulders
context: We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders response:	It's time to take it back
context: As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders\It's time to take it back response:	Ayakashigi
