context: Sesshomaru had denounced the half-demon Inuyasha response:	as a disgrace to his clan and despised the human race...
context: Sesshomaru's full-fledged demon power...\I was within grasp of it all!\But I miscalculated Inuyasha!\I didn't expect him to become this strong.\That Naraku... He's a tough one to deal with.\It's gone.\Every scent, every clue of Naraku is gone.\Even though he's badly injured. Where could he have gone? response:	Hey Sesshomaru!
context: I was within grasp of it all!\But I miscalculated Inuyasha!\I didn't expect him to become this strong.\That Naraku... He's a tough one to deal with.\It's gone.\Every scent, every clue of Naraku is gone.\Even though he's badly injured. Where could he have gone?\Hey Sesshomaru! response:	Did Naraku take a hostage?
context: But I miscalculated Inuyasha!\I didn't expect him to become this strong.\That Naraku... He's a tough one to deal with.\It's gone.\Every scent, every clue of Naraku is gone.\Even though he's badly injured. Where could he have gone?\Hey Sesshomaru!\Did Naraku take a hostage? response:	Is this Rin a friend of yours?
context: I didn't expect him to become this strong.\That Naraku... He's a tough one to deal with.\It's gone.\Every scent, every clue of Naraku is gone.\Even though he's badly injured. Where could he have gone?\Hey Sesshomaru!\Did Naraku take a hostage?\Is this Rin a friend of yours? response:	So Rin was abducted in order to buy time to escape.
context: That Naraku... He's a tough one to deal with.\It's gone.\Every scent, every clue of Naraku is gone.\Even though he's badly injured. Where could he have gone?\Hey Sesshomaru!\Did Naraku take a hostage?\Is this Rin a friend of yours?\So Rin was abducted in order to buy time to escape. response:	Naraku...
context: It's gone.\Every scent, every clue of Naraku is gone.\Even though he's badly injured. Where could he have gone?\Hey Sesshomaru!\Did Naraku take a hostage?\Is this Rin a friend of yours?\So Rin was abducted in order to buy time to escape.\Naraku... response:	He's becoming more and more cunning.
context: Every scent, every clue of Naraku is gone.\Even though he's badly injured. Where could he have gone?\Hey Sesshomaru!\Did Naraku take a hostage?\Is this Rin a friend of yours?\So Rin was abducted in order to buy time to escape.\Naraku...\He's becoming more and more cunning. response:	H-Hey!
context: Even though he's badly injured. Where could he have gone?\Hey Sesshomaru!\Did Naraku take a hostage?\Is this Rin a friend of yours?\So Rin was abducted in order to buy time to escape.\Naraku...\He's becoming more and more cunning.\H-Hey! response:	L-Lord Sesshomaru!
context: Hey Sesshomaru!\Did Naraku take a hostage?\Is this Rin a friend of yours?\So Rin was abducted in order to buy time to escape.\Naraku...\He's becoming more and more cunning.\H-Hey!\L-Lord Sesshomaru! response:	Don't leave me...!
context: Did Naraku take a hostage?\Is this Rin a friend of yours?\So Rin was abducted in order to buy time to escape.\Naraku...\He's becoming more and more cunning.\H-Hey!\L-Lord Sesshomaru!\Don't leave me...! response:	Hey!
context: Is this Rin a friend of yours?\So Rin was abducted in order to buy time to escape.\Naraku...\He's becoming more and more cunning.\H-Hey!\L-Lord Sesshomaru!\Don't leave me...!\Hey! response:	l-Inuyasha!
context: So Rin was abducted in order to buy time to escape.\Naraku...\He's becoming more and more cunning.\H-Hey!\L-Lord Sesshomaru!\Don't leave me...!\Hey!\l-Inuyasha! response:	Damn right! Jaken, explain.
context: Naraku...\He's becoming more and more cunning.\H-Hey!\L-Lord Sesshomaru!\Don't leave me...!\Hey!\l-Inuyasha!\Damn right! Jaken, explain. response:	What happened between Naraku and Sesshomaru?
context: He's becoming more and more cunning.\H-Hey!\L-Lord Sesshomaru!\Don't leave me...!\Hey!\l-Inuyasha!\Damn right! Jaken, explain.\What happened between Naraku and Sesshomaru? response:	If I tell you, it's a long story.
context: H-Hey!\L-Lord Sesshomaru!\Don't leave me...!\Hey!\l-Inuyasha!\Damn right! Jaken, explain.\What happened between Naraku and Sesshomaru?\If I tell you, it's a long story. response:	So make it short.
context: L-Lord Sesshomaru!\Don't leave me...!\Hey!\l-Inuyasha!\Damn right! Jaken, explain.\What happened between Naraku and Sesshomaru?\If I tell you, it's a long story.\So make it short. response:	They're coming!
context: Don't leave me...!\Hey!\l-Inuyasha!\Damn right! Jaken, explain.\What happened between Naraku and Sesshomaru?\If I tell you, it's a long story.\So make it short.\They're coming! response:	Hiraikotsu!
context: Hey!\l-Inuyasha!\Damn right! Jaken, explain.\What happened between Naraku and Sesshomaru?\If I tell you, it's a long story.\So make it short.\They're coming!\Hiraikotsu! response:	I see... They don't want us to get nearthat mansion.
context: l-Inuyasha!\Damn right! Jaken, explain.\What happened between Naraku and Sesshomaru?\If I tell you, it's a long story.\So make it short.\They're coming!\Hiraikotsu!\I see... They don't want us to get nearthat mansion. response:	That's...
context: Damn right! Jaken, explain.\What happened between Naraku and Sesshomaru?\If I tell you, it's a long story.\So make it short.\They're coming!\Hiraikotsu!\I see... They don't want us to get nearthat mansion.\That's... response:	It IS Kohaku!
context: What happened between Naraku and Sesshomaru?\If I tell you, it's a long story.\So make it short.\They're coming!\Hiraikotsu!\I see... They don't want us to get nearthat mansion.\That's...\It IS Kohaku! response:	With a little girl!
context: If I tell you, it's a long story.\So make it short.\They're coming!\Hiraikotsu!\I see... They don't want us to get nearthat mansion.\That's...\It IS Kohaku!\With a little girl! response:	That girl...
context: So make it short.\They're coming!\Hiraikotsu!\I see... They don't want us to get nearthat mansion.\That's...\It IS Kohaku!\With a little girl!\That girl... response:	I've seen her before.
context: They're coming!\Hiraikotsu!\I see... They don't want us to get nearthat mansion.\That's...\It IS Kohaku!\With a little girl!\That girl...\I've seen her before. response:	Kohaku!
context: Hiraikotsu!\I see... They don't want us to get nearthat mansion.\That's...\It IS Kohaku!\With a little girl!\That girl...\I've seen her before.\Kohaku! response:	Damn! Get out of my way!
context: I see... They don't want us to get nearthat mansion.\That's...\It IS Kohaku!\With a little girl!\That girl...\I've seen her before.\Kohaku!\Damn! Get out of my way! response:	We have to go after them!
context: That's...\It IS Kohaku!\With a little girl!\That girl...\I've seen her before.\Kohaku!\Damn! Get out of my way!\We have to go after them! response:	Kagome!
context: It IS Kohaku!\With a little girl!\That girl...\I've seen her before.\Kohaku!\Damn! Get out of my way!\We have to go after them!\Kagome! response:	Iron-reaver, Soul-stealer!
context: With a little girl!\That girl...\I've seen her before.\Kohaku!\Damn! Get out of my way!\We have to go after them!\Kagome!\Iron-reaver, Soul-stealer! response:	Inuyasha!
context: That girl...\I've seen her before.\Kohaku!\Damn! Get out of my way!\We have to go after them!\Kagome!\Iron-reaver, Soul-stealer!\Inuyasha! response:	Kagome!
context: I've seen her before.\Kohaku!\Damn! Get out of my way!\We have to go after them!\Kagome!\Iron-reaver, Soul-stealer!\Inuyasha!\Kagome! response:	Kohaku was here, wasn't he?
context: Kohaku!\Damn! Get out of my way!\We have to go after them!\Kagome!\Iron-reaver, Soul-stealer!\Inuyasha!\Kagome!\Kohaku was here, wasn't he? response:	We can still catch him.
context: Damn! Get out of my way!\We have to go after them!\Kagome!\Iron-reaver, Soul-stealer!\Inuyasha!\Kagome!\Kohaku was here, wasn't he?\We can still catch him. response:	I can sense the Sacred Jewel shard close by.
context: We have to go after them!\Kagome!\Iron-reaver, Soul-stealer!\Inuyasha!\Kagome!\Kohaku was here, wasn't he?\We can still catch him.\I can sense the Sacred Jewel shard close by. response:	Inuyasha!
context: Kagome!\Iron-reaver, Soul-stealer!\Inuyasha!\Kagome!\Kohaku was here, wasn't he?\We can still catch him.\I can sense the Sacred Jewel shard close by.\Inuyasha! response:	I'm going ahead! The fasterthe better!
context: Iron-reaver, Soul-stealer!\Inuyasha!\Kagome!\Kohaku was here, wasn't he?\We can still catch him.\I can sense the Sacred Jewel shard close by.\Inuyasha!\I'm going ahead! The fasterthe better! response:	Kohaku's mind is controlled by Naraku.
context: Inuyasha!\Kagome!\Kohaku was here, wasn't he?\We can still catch him.\I can sense the Sacred Jewel shard close by.\Inuyasha!\I'm going ahead! The fasterthe better!\Kohaku's mind is controlled by Naraku. response:	Yeah! Naraku probably made a hypnotic suggestion to him...
context: Kagome!\Kohaku was here, wasn't he?\We can still catch him.\I can sense the Sacred Jewel shard close by.\Inuyasha!\I'm going ahead! The fasterthe better!\Kohaku's mind is controlled by Naraku.\Yeah! Naraku probably made a hypnotic suggestion to him... response:	to kill the hostage.
context: Kohaku was here, wasn't he?\We can still catch him.\I can sense the Sacred Jewel shard close by.\Inuyasha!\I'm going ahead! The fasterthe better!\Kohaku's mind is controlled by Naraku.\Yeah! Naraku probably made a hypnotic suggestion to him...\to kill the hostage. response:	In orderto buy time to escape from Sesshomaru,
context: We can still catch him.\I can sense the Sacred Jewel shard close by.\Inuyasha!\I'm going ahead! The fasterthe better!\Kohaku's mind is controlled by Naraku.\Yeah! Naraku probably made a hypnotic suggestion to him...\to kill the hostage.\In orderto buy time to escape from Sesshomaru, response:	Naraku had the girl kidnapped.
context: I can sense the Sacred Jewel shard close by.\Inuyasha!\I'm going ahead! The fasterthe better!\Kohaku's mind is controlled by Naraku.\Yeah! Naraku probably made a hypnotic suggestion to him...\to kill the hostage.\In orderto buy time to escape from Sesshomaru,\Naraku had the girl kidnapped. response:	Then...
context: Inuyasha!\I'm going ahead! The fasterthe better!\Kohaku's mind is controlled by Naraku.\Yeah! Naraku probably made a hypnotic suggestion to him...\to kill the hostage.\In orderto buy time to escape from Sesshomaru,\Naraku had the girl kidnapped.\Then... response:	the child with Kohaku is Sesshomaru's?
context: I'm going ahead! The fasterthe better!\Kohaku's mind is controlled by Naraku.\Yeah! Naraku probably made a hypnotic suggestion to him...\to kill the hostage.\In orderto buy time to escape from Sesshomaru,\Naraku had the girl kidnapped.\Then...\the child with Kohaku is Sesshomaru's? response:	He considers humans no better than worms.
context: Kohaku's mind is controlled by Naraku.\Yeah! Naraku probably made a hypnotic suggestion to him...\to kill the hostage.\In orderto buy time to escape from Sesshomaru,\Naraku had the girl kidnapped.\Then...\the child with Kohaku is Sesshomaru's?\He considers humans no better than worms. response:	So I can't believe that he'd have a mortal at his side.
context: Yeah! Naraku probably made a hypnotic suggestion to him...\to kill the hostage.\In orderto buy time to escape from Sesshomaru,\Naraku had the girl kidnapped.\Then...\the child with Kohaku is Sesshomaru's?\He considers humans no better than worms.\So I can't believe that he'd have a mortal at his side. response:	But there's no way he'd let Kohaku live...
context: to kill the hostage.\In orderto buy time to escape from Sesshomaru,\Naraku had the girl kidnapped.\Then...\the child with Kohaku is Sesshomaru's?\He considers humans no better than worms.\So I can't believe that he'd have a mortal at his side.\But there's no way he'd let Kohaku live... response:	not afterwhat Naraku did.
context: In orderto buy time to escape from Sesshomaru,\Naraku had the girl kidnapped.\Then...\the child with Kohaku is Sesshomaru's?\He considers humans no better than worms.\So I can't believe that he'd have a mortal at his side.\But there's no way he'd let Kohaku live...\not afterwhat Naraku did. response:	Sesshomaru will kill Kohaku!
context: Naraku had the girl kidnapped.\Then...\the child with Kohaku is Sesshomaru's?\He considers humans no better than worms.\So I can't believe that he'd have a mortal at his side.\But there's no way he'd let Kohaku live...\not afterwhat Naraku did.\Sesshomaru will kill Kohaku! response:	Sango's younger brother...
context: Then...\the child with Kohaku is Sesshomaru's?\He considers humans no better than worms.\So I can't believe that he'd have a mortal at his side.\But there's no way he'd let Kohaku live...\not afterwhat Naraku did.\Sesshomaru will kill Kohaku!\Sango's younger brother... response:	Killed by your olderbrother?
context: the child with Kohaku is Sesshomaru's?\He considers humans no better than worms.\So I can't believe that he'd have a mortal at his side.\But there's no way he'd let Kohaku live...\not afterwhat Naraku did.\Sesshomaru will kill Kohaku!\Sango's younger brother...\Killed by your olderbrother? response:	Whatever the case, it'll only end up in tragedy.
context: He considers humans no better than worms.\So I can't believe that he'd have a mortal at his side.\But there's no way he'd let Kohaku live...\not afterwhat Naraku did.\Sesshomaru will kill Kohaku!\Sango's younger brother...\Killed by your olderbrother?\Whatever the case, it'll only end up in tragedy. response:	We have to reach Kohaku before Sesshomaru.
context: So I can't believe that he'd have a mortal at his side.\But there's no way he'd let Kohaku live...\not afterwhat Naraku did.\Sesshomaru will kill Kohaku!\Sango's younger brother...\Killed by your olderbrother?\Whatever the case, it'll only end up in tragedy.\We have to reach Kohaku before Sesshomaru. response:	Right!
context: But there's no way he'd let Kohaku live...\not afterwhat Naraku did.\Sesshomaru will kill Kohaku!\Sango's younger brother...\Killed by your olderbrother?\Whatever the case, it'll only end up in tragedy.\We have to reach Kohaku before Sesshomaru.\Right! response:	I'm the only one who can stop Sesshomaru.
context: not afterwhat Naraku did.\Sesshomaru will kill Kohaku!\Sango's younger brother...\Killed by your olderbrother?\Whatever the case, it'll only end up in tragedy.\We have to reach Kohaku before Sesshomaru.\Right!\I'm the only one who can stop Sesshomaru. response:	Tell me, why did we run away?
context: Sesshomaru will kill Kohaku!\Sango's younger brother...\Killed by your olderbrother?\Whatever the case, it'll only end up in tragedy.\We have to reach Kohaku before Sesshomaru.\Right!\I'm the only one who can stop Sesshomaru.\Tell me, why did we run away? response:	Someone was outside the mansion.
context: Sango's younger brother...\Killed by your olderbrother?\Whatever the case, it'll only end up in tragedy.\We have to reach Kohaku before Sesshomaru.\Right!\I'm the only one who can stop Sesshomaru.\Tell me, why did we run away?\Someone was outside the mansion. response:	Where are we going?
context: Killed by your olderbrother?\Whatever the case, it'll only end up in tragedy.\We have to reach Kohaku before Sesshomaru.\Right!\I'm the only one who can stop Sesshomaru.\Tell me, why did we run away?\Someone was outside the mansion.\Where are we going? response:	Tell me, Kohaku!
context: Whatever the case, it'll only end up in tragedy.\We have to reach Kohaku before Sesshomaru.\Right!\I'm the only one who can stop Sesshomaru.\Tell me, why did we run away?\Someone was outside the mansion.\Where are we going?\Tell me, Kohaku! response:	Huh?
context: We have to reach Kohaku before Sesshomaru.\Right!\I'm the only one who can stop Sesshomaru.\Tell me, why did we run away?\Someone was outside the mansion.\Where are we going?\Tell me, Kohaku!\Huh? response:	Kill her!
context: Right!\I'm the only one who can stop Sesshomaru.\Tell me, why did we run away?\Someone was outside the mansion.\Where are we going?\Tell me, Kohaku!\Huh?\Kill her! response:	K-Kohaku...
context: I'm the only one who can stop Sesshomaru.\Tell me, why did we run away?\Someone was outside the mansion.\Where are we going?\Tell me, Kohaku!\Huh?\Kill her!\K-Kohaku... response:	W-What's wrong with you, Kohaku?!
context: Tell me, why did we run away?\Someone was outside the mansion.\Where are we going?\Tell me, Kohaku!\Huh?\Kill her!\K-Kohaku...\W-What's wrong with you, Kohaku?! response:	Kill her!
context: Someone was outside the mansion.\Where are we going?\Tell me, Kohaku!\Huh?\Kill her!\K-Kohaku...\W-What's wrong with you, Kohaku?!\Kill her! response:	So... You turn yourblade towards me now?
context: Where are we going?\Tell me, Kohaku!\Huh?\Kill her!\K-Kohaku...\W-What's wrong with you, Kohaku?!\Kill her!\So... You turn yourblade towards me now? response:	Kohaku!
context: Tell me, Kohaku!\Huh?\Kill her!\K-Kohaku...\W-What's wrong with you, Kohaku?!\Kill her!\So... You turn yourblade towards me now?\Kohaku! response:	Why you...!
context: Huh?\Kill her!\K-Kohaku...\W-What's wrong with you, Kohaku?!\Kill her!\So... You turn yourblade towards me now?\Kohaku!\Why you...! response:	What're you doing, fool?!
context: Kill her!\K-Kohaku...\W-What's wrong with you, Kohaku?!\Kill her!\So... You turn yourblade towards me now?\Kohaku!\Why you...!\What're you doing, fool?! response:	She's all right. She just fainted.
context: K-Kohaku...\W-What's wrong with you, Kohaku?!\Kill her!\So... You turn yourblade towards me now?\Kohaku!\Why you...!\What're you doing, fool?!\She's all right. She just fainted. response:	We made it in time!
context: W-What's wrong with you, Kohaku?!\Kill her!\So... You turn yourblade towards me now?\Kohaku!\Why you...!\What're you doing, fool?!\She's all right. She just fainted.\We made it in time! response:	You heard her, Sesshomaru.
context: Kill her!\So... You turn yourblade towards me now?\Kohaku!\Why you...!\What're you doing, fool?!\She's all right. She just fainted.\We made it in time!\You heard her, Sesshomaru. response:	So don't lay a hand on Kohaku.
context: So... You turn yourblade towards me now?\Kohaku!\Why you...!\What're you doing, fool?!\She's all right. She just fainted.\We made it in time!\You heard her, Sesshomaru.\So don't lay a hand on Kohaku. response:	It's useless, Inuyasha.
context: Kohaku!\Why you...!\What're you doing, fool?!\She's all right. She just fainted.\We made it in time!\You heard her, Sesshomaru.\So don't lay a hand on Kohaku.\It's useless, Inuyasha. response:	Even if you intervene,
context: Why you...!\What're you doing, fool?!\She's all right. She just fainted.\We made it in time!\You heard her, Sesshomaru.\So don't lay a hand on Kohaku.\It's useless, Inuyasha.\Even if you intervene, response:	that boy seems compelled to die by my hands.
context: What're you doing, fool?!\She's all right. She just fainted.\We made it in time!\You heard her, Sesshomaru.\So don't lay a hand on Kohaku.\It's useless, Inuyasha.\Even if you intervene,\that boy seems compelled to die by my hands. response:	This must be anotherhypnotic suggestion by Naraku...
context: She's all right. She just fainted.\We made it in time!\You heard her, Sesshomaru.\So don't lay a hand on Kohaku.\It's useless, Inuyasha.\Even if you intervene,\that boy seems compelled to die by my hands.\This must be anotherhypnotic suggestion by Naraku... response:	to attack Sesshomaru and be killed.
context: We made it in time!\You heard her, Sesshomaru.\So don't lay a hand on Kohaku.\It's useless, Inuyasha.\Even if you intervene,\that boy seems compelled to die by my hands.\This must be anotherhypnotic suggestion by Naraku...\to attack Sesshomaru and be killed. response:	You disarmed the boy.
context: You heard her, Sesshomaru.\So don't lay a hand on Kohaku.\It's useless, Inuyasha.\Even if you intervene,\that boy seems compelled to die by my hands.\This must be anotherhypnotic suggestion by Naraku...\to attack Sesshomaru and be killed.\You disarmed the boy. response:	Inuyasha, I didn't think you had such strong feelings forme, your brother.
context: So don't lay a hand on Kohaku.\It's useless, Inuyasha.\Even if you intervene,\that boy seems compelled to die by my hands.\This must be anotherhypnotic suggestion by Naraku...\to attack Sesshomaru and be killed.\You disarmed the boy.\Inuyasha, I didn't think you had such strong feelings forme, your brother. response:	In yourdreams!
context: It's useless, Inuyasha.\Even if you intervene,\that boy seems compelled to die by my hands.\This must be anotherhypnotic suggestion by Naraku...\to attack Sesshomaru and be killed.\You disarmed the boy.\Inuyasha, I didn't think you had such strong feelings forme, your brother.\In yourdreams! response:	If you don't let him go, I'll kill you!
context: Even if you intervene,\that boy seems compelled to die by my hands.\This must be anotherhypnotic suggestion by Naraku...\to attack Sesshomaru and be killed.\You disarmed the boy.\Inuyasha, I didn't think you had such strong feelings forme, your brother.\In yourdreams!\If you don't let him go, I'll kill you! response:	Stop, Sesshomaru!
context: that boy seems compelled to die by my hands.\This must be anotherhypnotic suggestion by Naraku...\to attack Sesshomaru and be killed.\You disarmed the boy.\Inuyasha, I didn't think you had such strong feelings forme, your brother.\In yourdreams!\If you don't let him go, I'll kill you!\Stop, Sesshomaru! response:	Enough, Sesshomaru!
context: This must be anotherhypnotic suggestion by Naraku...\to attack Sesshomaru and be killed.\You disarmed the boy.\Inuyasha, I didn't think you had such strong feelings forme, your brother.\In yourdreams!\If you don't let him go, I'll kill you!\Stop, Sesshomaru!\Enough, Sesshomaru! response:	This boy...
context: to attack Sesshomaru and be killed.\You disarmed the boy.\Inuyasha, I didn't think you had such strong feelings forme, your brother.\In yourdreams!\If you don't let him go, I'll kill you!\Stop, Sesshomaru!\Enough, Sesshomaru!\This boy... response:	He has no suffering... has no fear.
context: You disarmed the boy.\Inuyasha, I didn't think you had such strong feelings forme, your brother.\In yourdreams!\If you don't let him go, I'll kill you!\Stop, Sesshomaru!\Enough, Sesshomaru!\This boy...\He has no suffering... has no fear. response:	I don't like... his eyes.
context: Inuyasha, I didn't think you had such strong feelings forme, your brother.\In yourdreams!\If you don't let him go, I'll kill you!\Stop, Sesshomaru!\Enough, Sesshomaru!\This boy...\He has no suffering... has no fear.\I don't like... his eyes. response:	Oh, you're conscious.
context: In yourdreams!\If you don't let him go, I'll kill you!\Stop, Sesshomaru!\Enough, Sesshomaru!\This boy...\He has no suffering... has no fear.\I don't like... his eyes.\Oh, you're conscious. response:	Lord Sesshomaru!
context: If you don't let him go, I'll kill you!\Stop, Sesshomaru!\Enough, Sesshomaru!\This boy...\He has no suffering... has no fear.\I don't like... his eyes.\Oh, you're conscious.\Lord Sesshomaru! response:	Huh?
context: Stop, Sesshomaru!\Enough, Sesshomaru!\This boy...\He has no suffering... has no fear.\I don't like... his eyes.\Oh, you're conscious.\Lord Sesshomaru!\Huh? response:	Kohaku...
context: Enough, Sesshomaru!\This boy...\He has no suffering... has no fear.\I don't like... his eyes.\Oh, you're conscious.\Lord Sesshomaru!\Huh?\Kohaku... response:	Aren't you going afterhim?
context: This boy...\He has no suffering... has no fear.\I don't like... his eyes.\Oh, you're conscious.\Lord Sesshomaru!\Huh?\Kohaku...\Aren't you going afterhim? response:	Kagura?!
context: He has no suffering... has no fear.\I don't like... his eyes.\Oh, you're conscious.\Lord Sesshomaru!\Huh?\Kohaku...\Aren't you going afterhim?\Kagura?! response:	Um... thank you... forforgiving Kohaku.
context: I don't like... his eyes.\Oh, you're conscious.\Lord Sesshomaru!\Huh?\Kohaku...\Aren't you going afterhim?\Kagura?!\Um... thank you... forforgiving Kohaku. response:	That boy tried to die at my hands.
context: Oh, you're conscious.\Lord Sesshomaru!\Huh?\Kohaku...\Aren't you going afterhim?\Kagura?!\Um... thank you... forforgiving Kohaku.\That boy tried to die at my hands. response:	Sesshomaru, you... knew?
context: Lord Sesshomaru!\Huh?\Kohaku...\Aren't you going afterhim?\Kagura?!\Um... thank you... forforgiving Kohaku.\That boy tried to die at my hands.\Sesshomaru, you... knew? response:	I don't want to play into Naraku's treacherous hands. That's all.
context: Huh?\Kohaku...\Aren't you going afterhim?\Kagura?!\Um... thank you... forforgiving Kohaku.\That boy tried to die at my hands.\Sesshomaru, you... knew?\I don't want to play into Naraku's treacherous hands. That's all. response:	Good bye!
context: Kohaku...\Aren't you going afterhim?\Kagura?!\Um... thank you... forforgiving Kohaku.\That boy tried to die at my hands.\Sesshomaru, you... knew?\I don't want to play into Naraku's treacherous hands. That's all.\Good bye! response:	She went with him.
context: Aren't you going afterhim?\Kagura?!\Um... thank you... forforgiving Kohaku.\That boy tried to die at my hands.\Sesshomaru, you... knew?\I don't want to play into Naraku's treacherous hands. That's all.\Good bye!\She went with him. response:	I see...
context: Kagura?!\Um... thank you... forforgiving Kohaku.\That boy tried to die at my hands.\Sesshomaru, you... knew?\I don't want to play into Naraku's treacherous hands. That's all.\Good bye!\She went with him.\I see... response:	So Kohaku went away again.
context: Um... thank you... forforgiving Kohaku.\That boy tried to die at my hands.\Sesshomaru, you... knew?\I don't want to play into Naraku's treacherous hands. That's all.\Good bye!\She went with him.\I see...\So Kohaku went away again. response:	Forgive me!
context: That boy tried to die at my hands.\Sesshomaru, you... knew?\I don't want to play into Naraku's treacherous hands. That's all.\Good bye!\She went with him.\I see...\So Kohaku went away again.\Forgive me! response:	If I had killed Naraku, Kohaku would also...
context: Sesshomaru, you... knew?\I don't want to play into Naraku's treacherous hands. That's all.\Good bye!\She went with him.\I see...\So Kohaku went away again.\Forgive me!\If I had killed Naraku, Kohaku would also... response:	No, if we had stopped him...
context: I don't want to play into Naraku's treacherous hands. That's all.\Good bye!\She went with him.\I see...\So Kohaku went away again.\Forgive me!\If I had killed Naraku, Kohaku would also...\No, if we had stopped him... response:	It can't be helped.
context: Good bye!\She went with him.\I see...\So Kohaku went away again.\Forgive me!\If I had killed Naraku, Kohaku would also...\No, if we had stopped him...\It can't be helped. response:	As long as he's alive.
context: She went with him.\I see...\So Kohaku went away again.\Forgive me!\If I had killed Naraku, Kohaku would also...\No, if we had stopped him...\It can't be helped.\As long as he's alive. response:	That Naraku... Where'd he disappearto?
context: I see...\So Kohaku went away again.\Forgive me!\If I had killed Naraku, Kohaku would also...\No, if we had stopped him...\It can't be helped.\As long as he's alive.\That Naraku... Where'd he disappearto? response:	With a wound that serious,
context: So Kohaku went away again.\Forgive me!\If I had killed Naraku, Kohaku would also...\No, if we had stopped him...\It can't be helped.\As long as he's alive.\That Naraku... Where'd he disappearto?\With a wound that serious, response:	he can't be able to put up a strong barrier.
context: Forgive me!\If I had killed Naraku, Kohaku would also...\No, if we had stopped him...\It can't be helped.\As long as he's alive.\That Naraku... Where'd he disappearto?\With a wound that serious,\he can't be able to put up a strong barrier. response:	Just where?
context: If I had killed Naraku, Kohaku would also...\No, if we had stopped him...\It can't be helped.\As long as he's alive.\That Naraku... Where'd he disappearto?\With a wound that serious,\he can't be able to put up a strong barrier.\Just where? response:	Did Naraku lift the barrier, leaving the castle visible?
context: No, if we had stopped him...\It can't be helped.\As long as he's alive.\That Naraku... Where'd he disappearto?\With a wound that serious,\he can't be able to put up a strong barrier.\Just where?\Did Naraku lift the barrier, leaving the castle visible? response:	That means... that this castle has been abandoned.
context: It can't be helped.\As long as he's alive.\That Naraku... Where'd he disappearto?\With a wound that serious,\he can't be able to put up a strong barrier.\Just where?\Did Naraku lift the barrier, leaving the castle visible?\That means... that this castle has been abandoned. response:	That he is hiding himself somewhere else.
context: As long as he's alive.\That Naraku... Where'd he disappearto?\With a wound that serious,\he can't be able to put up a strong barrier.\Just where?\Did Naraku lift the barrier, leaving the castle visible?\That means... that this castle has been abandoned.\That he is hiding himself somewhere else. response:	Strange...
context: That Naraku... Where'd he disappearto?\With a wound that serious,\he can't be able to put up a strong barrier.\Just where?\Did Naraku lift the barrier, leaving the castle visible?\That means... that this castle has been abandoned.\That he is hiding himself somewhere else.\Strange... response:	No matterwhere he moved to,
context: With a wound that serious,\he can't be able to put up a strong barrier.\Just where?\Did Naraku lift the barrier, leaving the castle visible?\That means... that this castle has been abandoned.\That he is hiding himself somewhere else.\Strange...\No matterwhere he moved to, response:	I was always able to sense his barrier.
context: he can't be able to put up a strong barrier.\Just where?\Did Naraku lift the barrier, leaving the castle visible?\That means... that this castle has been abandoned.\That he is hiding himself somewhere else.\Strange...\No matterwhere he moved to,\I was always able to sense his barrier. response:	Yet...
context: Just where?\Did Naraku lift the barrier, leaving the castle visible?\That means... that this castle has been abandoned.\That he is hiding himself somewhere else.\Strange...\No matterwhere he moved to,\I was always able to sense his barrier.\Yet... response:	As though he disappeared into thin air,
context: Did Naraku lift the barrier, leaving the castle visible?\That means... that this castle has been abandoned.\That he is hiding himself somewhere else.\Strange...\No matterwhere he moved to,\I was always able to sense his barrier.\Yet...\As though he disappeared into thin air, response:	there's no trace of Naraku.
context: That means... that this castle has been abandoned.\That he is hiding himself somewhere else.\Strange...\No matterwhere he moved to,\I was always able to sense his barrier.\Yet...\As though he disappeared into thin air,\there's no trace of Naraku. response:	There's something to this.
context: That he is hiding himself somewhere else.\Strange...\No matterwhere he moved to,\I was always able to sense his barrier.\Yet...\As though he disappeared into thin air,\there's no trace of Naraku.\There's something to this. response:	Damn that Naraku!
context: Strange...\No matterwhere he moved to,\I was always able to sense his barrier.\Yet...\As though he disappeared into thin air,\there's no trace of Naraku.\There's something to this.\Damn that Naraku! response:	Afterwe almost had him cornered!
context: No matterwhere he moved to,\I was always able to sense his barrier.\Yet...\As though he disappeared into thin air,\there's no trace of Naraku.\There's something to this.\Damn that Naraku!\Afterwe almost had him cornered! response:	Is it really okay to return to the present age?
context: I was always able to sense his barrier.\Yet...\As though he disappeared into thin air,\there's no trace of Naraku.\There's something to this.\Damn that Naraku!\Afterwe almost had him cornered!\Is it really okay to return to the present age? response:	Hey! Kagome! Haven't we changed places?
context: Yet...\As though he disappeared into thin air,\there's no trace of Naraku.\There's something to this.\Damn that Naraku!\Afterwe almost had him cornered!\Is it really okay to return to the present age?\Hey! Kagome! Haven't we changed places? response:	You're right! How'll we do the preview?
context: As though he disappeared into thin air,\there's no trace of Naraku.\There's something to this.\Damn that Naraku!\Afterwe almost had him cornered!\Is it really okay to return to the present age?\Hey! Kagome! Haven't we changed places?\You're right! How'll we do the preview? response:	We've got no choice, just do it.
context: there's no trace of Naraku.\There's something to this.\Damn that Naraku!\Afterwe almost had him cornered!\Is it really okay to return to the present age?\Hey! Kagome! Haven't we changed places?\You're right! How'll we do the preview?\We've got no choice, just do it. response:	Next on Inuyasha: Gap Between the Ages
