context: Aw, damn it. response:	If we had won yesterday, we'd be in a match right now.
context: No way!\Judging by how he is whenever he's over at our place,\Chikara's definitely the don of the second-years.\He's the best wing spiker for managing\the out-of-control second-years who are the core of our offense.\And lately, his influence has spread to our first-year troublemakers, too.\True...\Ennoshita, nice serve! response:	Nice receive!
context: Judging by how he is whenever he's over at our place,\Chikara's definitely the don of the second-years.\He's the best wing spiker for managing\the out-of-control second-years who are the core of our offense.\And lately, his influence has spread to our first-year troublemakers, too.\True...\Ennoshita, nice serve!\Nice receive! response:	Center!
context: Chikara's definitely the don of the second-years.\He's the best wing spiker for managing\the out-of-control second-years who are the core of our offense.\And lately, his influence has spread to our first-year troublemakers, too.\True...\Ennoshita, nice serve!\Nice receive!\Center! response:	All right!
context: He's the best wing spiker for managing\the out-of-control second-years who are the core of our offense.\And lately, his influence has spread to our first-year troublemakers, too.\True...\Ennoshita, nice serve!\Nice receive!\Center!\All right! response:	All right...
context: the out-of-control second-years who are the core of our offense.\And lately, his influence has spread to our first-year troublemakers, too.\True...\Ennoshita, nice serve!\Nice receive!\Center!\All right!\All right... response:	We're gonna take this back quickly.
context: And lately, his influence has spread to our first-year troublemakers, too.\True...\Ennoshita, nice serve!\Nice receive!\Center!\All right!\All right...\We're gonna take this back quickly. response:	Damn it... I'm sorry.
context: True...\Ennoshita, nice serve!\Nice receive!\Center!\All right!\All right...\We're gonna take this back quickly.\Damn it... I'm sorry. response:	All right!
context: Ennoshita, nice serve!\Nice receive!\Center!\All right!\All right...\We're gonna take this back quickly.\Damn it... I'm sorry.\All right! response:	I'll guard a little wider.
context: Nice receive!\Center!\All right!\All right...\We're gonna take this back quickly.\Damn it... I'm sorry.\All right!\I'll guard a little wider. response:	Thanks, Nishinoya.
context: Center!\All right!\All right...\We're gonna take this back quickly.\Damn it... I'm sorry.\All right!\I'll guard a little wider.\Thanks, Nishinoya. response:	Don't worry!
context: All right!\All right...\We're gonna take this back quickly.\Damn it... I'm sorry.\All right!\I'll guard a little wider.\Thanks, Nishinoya.\Don't worry! response:	There's no way I can beat Daichi-san in technique right now...
context: All right...\We're gonna take this back quickly.\Damn it... I'm sorry.\All right!\I'll guard a little wider.\Thanks, Nishinoya.\Don't worry!\There's no way I can beat Daichi-san in technique right now... response:	We'll get the next one!
context: We're gonna take this back quickly.\Damn it... I'm sorry.\All right!\I'll guard a little wider.\Thanks, Nishinoya.\Don't worry!\There's no way I can beat Daichi-san in technique right now...\We'll get the next one! response:	But... now that I'm standing here,
context: Damn it... I'm sorry.\All right!\I'll guard a little wider.\Thanks, Nishinoya.\Don't worry!\There's no way I can beat Daichi-san in technique right now...\We'll get the next one!\But... now that I'm standing here, response:	Takeru, one more! Nice serve!
context: All right!\I'll guard a little wider.\Thanks, Nishinoya.\Don't worry!\There's no way I can beat Daichi-san in technique right now...\We'll get the next one!\But... now that I'm standing here,\Takeru, one more! Nice serve! response:	there's no point in running away by making excuses like that.
context: I'll guard a little wider.\Thanks, Nishinoya.\Don't worry!\There's no way I can beat Daichi-san in technique right now...\We'll get the next one!\But... now that I'm standing here,\Takeru, one more! Nice serve!\there's no point in running away by making excuses like that. response:	Not to mention...
context: Thanks, Nishinoya.\Don't worry!\There's no way I can beat Daichi-san in technique right now...\We'll get the next one!\But... now that I'm standing here,\Takeru, one more! Nice serve!\there's no point in running away by making excuses like that.\Not to mention... response:	I already know that I'd just make things troublesome later if I run away.
context: Don't worry!\There's no way I can beat Daichi-san in technique right now...\We'll get the next one!\But... now that I'm standing here,\Takeru, one more! Nice serve!\there's no point in running away by making excuses like that.\Not to mention...\I already know that I'd just make things troublesome later if I run away. response:	Bring it!
context: There's no way I can beat Daichi-san in technique right now...\We'll get the next one!\But... now that I'm standing here,\Takeru, one more! Nice serve!\there's no point in running away by making excuses like that.\Not to mention...\I already know that I'd just make things troublesome later if I run away.\Bring it! response:	Not bad, Karasuno's substitute captain!
context: We'll get the next one!\But... now that I'm standing here,\Takeru, one more! Nice serve!\there's no point in running away by making excuses like that.\Not to mention...\I already know that I'd just make things troublesome later if I run away.\Bring it!\Not bad, Karasuno's substitute captain! response:	Haikyu!!
context: But... now that I'm standing here,\Takeru, one more! Nice serve!\there's no point in running away by making excuses like that.\Not to mention...\I already know that I'd just make things troublesome later if I run away.\Bring it!\Not bad, Karasuno's substitute captain!\Haikyu!! response:	Haikyu!!
context: Takeru, one more! Nice serve!\there's no point in running away by making excuses like that.\Not to mention...\I already know that I'd just make things troublesome later if I run away.\Bring it!\Not bad, Karasuno's substitute captain!\Haikyu!!\Haikyu!! response:	Nothing's gonna change with the third-years taking charge until the spring tournament,
context: there's no point in running away by making excuses like that.\Not to mention...\I already know that I'd just make things troublesome later if I run away.\Bring it!\Not bad, Karasuno's substitute captain!\Haikyu!!\Haikyu!!\Nothing's gonna change with the third-years taking charge until the spring tournament, response:	but you second-years need to at least start thinking about
context: Not to mention...\I already know that I'd just make things troublesome later if I run away.\Bring it!\Not bad, Karasuno's substitute captain!\Haikyu!!\Haikyu!!\Nothing's gonna change with the third-years taking charge until the spring tournament,\but you second-years need to at least start thinking about response:	who's going to be the next captain.
context: I already know that I'd just make things troublesome later if I run away.\Bring it!\Not bad, Karasuno's substitute captain!\Haikyu!!\Haikyu!!\Nothing's gonna change with the third-years taking charge until the spring tournament,\but you second-years need to at least start thinking about\who's going to be the next captain. response:	That's what Ukai-san was saying.
context: Bring it!\Not bad, Karasuno's substitute captain!\Haikyu!!\Haikyu!!\Nothing's gonna change with the third-years taking charge until the spring tournament,\but you second-years need to at least start thinking about\who's going to be the next captain.\That's what Ukai-san was saying. response:	The next, huh...
context: Not bad, Karasuno's substitute captain!\Haikyu!!\Haikyu!!\Nothing's gonna change with the third-years taking charge until the spring tournament,\but you second-years need to at least start thinking about\who's going to be the next captain.\That's what Ukai-san was saying.\The next, huh... response:	I think Chikara should do it.
context: Haikyu!!\Haikyu!!\Nothing's gonna change with the third-years taking charge until the spring tournament,\but you second-years need to at least start thinking about\who's going to be the next captain.\That's what Ukai-san was saying.\The next, huh...\I think Chikara should do it. response:	Why?!
context: Haikyu!!\Nothing's gonna change with the third-years taking charge until the spring tournament,\but you second-years need to at least start thinking about\who's going to be the next captain.\That's what Ukai-san was saying.\The next, huh...\I think Chikara should do it.\Why?! response:	Just'cause.
context: Nothing's gonna change with the third-years taking charge until the spring tournament,\but you second-years need to at least start thinking about\who's going to be the next captain.\That's what Ukai-san was saying.\The next, huh...\I think Chikara should do it.\Why?!\Just'cause. response:	Wait, you just ate that popsicle in two bites.
context: but you second-years need to at least start thinking about\who's going to be the next captain.\That's what Ukai-san was saying.\The next, huh...\I think Chikara should do it.\Why?!\Just'cause.\Wait, you just ate that popsicle in two bites. response:	According to the rules, liberos can't be captains, right?
context: who's going to be the next captain.\That's what Ukai-san was saying.\The next, huh...\I think Chikara should do it.\Why?!\Just'cause.\Wait, you just ate that popsicle in two bites.\According to the rules, liberos can't be captains, right? response:	Yup!
context: That's what Ukai-san was saying.\The next, huh...\I think Chikara should do it.\Why?!\Just'cause.\Wait, you just ate that popsicle in two bites.\According to the rules, liberos can't be captains, right?\Yup! response:	I think Tanaka's qualified, too,
context: The next, huh...\I think Chikara should do it.\Why?!\Just'cause.\Wait, you just ate that popsicle in two bites.\According to the rules, liberos can't be captains, right?\Yup!\I think Tanaka's qualified, too, response:	but looking at the first-year lineup...
context: I think Chikara should do it.\Why?!\Just'cause.\Wait, you just ate that popsicle in two bites.\According to the rules, liberos can't be captains, right?\Yup!\I think Tanaka's qualified, too,\but looking at the first-year lineup... response:	The simpleton idiots.
context: Why?!\Just'cause.\Wait, you just ate that popsicle in two bites.\According to the rules, liberos can't be captains, right?\Yup!\I think Tanaka's qualified, too,\but looking at the first-year lineup...\The simpleton idiots. response:	The smartass.
context: Just'cause.\Wait, you just ate that popsicle in two bites.\According to the rules, liberos can't be captains, right?\Yup!\I think Tanaka's qualified, too,\but looking at the first-year lineup...\The simpleton idiots.\The smartass. response:	Yeah... you can't help but think that we need someone with a sound mind in charge.
context: Wait, you just ate that popsicle in two bites.\According to the rules, liberos can't be captains, right?\Yup!\I think Tanaka's qualified, too,\but looking at the first-year lineup...\The simpleton idiots.\The smartass.\Yeah... you can't help but think that we need someone with a sound mind in charge. response:	I agree with having Ennoshita as captain,
context: According to the rules, liberos can't be captains, right?\Yup!\I think Tanaka's qualified, too,\but looking at the first-year lineup...\The simpleton idiots.\The smartass.\Yeah... you can't help but think that we need someone with a sound mind in charge.\I agree with having Ennoshita as captain, response:	but I'm not fully satisfied.
context: Yup!\I think Tanaka's qualified, too,\but looking at the first-year lineup...\The simpleton idiots.\The smartass.\Yeah... you can't help but think that we need someone with a sound mind in charge.\I agree with having Ennoshita as captain,\but I'm not fully satisfied. response:	You two need to put yourselves in, too!
context: I think Tanaka's qualified, too,\but looking at the first-year lineup...\The simpleton idiots.\The smartass.\Yeah... you can't help but think that we need someone with a sound mind in charge.\I agree with having Ennoshita as captain,\but I'm not fully satisfied.\You two need to put yourselves in, too! response:	Nope, nope, nope, nope...
context: but looking at the first-year lineup...\The simpleton idiots.\The smartass.\Yeah... you can't help but think that we need someone with a sound mind in charge.\I agree with having Ennoshita as captain,\but I'm not fully satisfied.\You two need to put yourselves in, too!\Nope, nope, nope, nope... response:	Yeah, not happening.
context: The simpleton idiots.\The smartass.\Yeah... you can't help but think that we need someone with a sound mind in charge.\I agree with having Ennoshita as captain,\but I'm not fully satisfied.\You two need to put yourselves in, too!\Nope, nope, nope, nope...\Yeah, not happening. response:	Damn it!
context: The smartass.\Yeah... you can't help but think that we need someone with a sound mind in charge.\I agree with having Ennoshita as captain,\but I'm not fully satisfied.\You two need to put yourselves in, too!\Nope, nope, nope, nope...\Yeah, not happening.\Damn it! response:	But I ran away...
context: Yeah... you can't help but think that we need someone with a sound mind in charge.\I agree with having Ennoshita as captain,\but I'm not fully satisfied.\You two need to put yourselves in, too!\Nope, nope, nope, nope...\Yeah, not happening.\Damn it!\But I ran away... response:	There's no way I could lead the team.
context: I agree with having Ennoshita as captain,\but I'm not fully satisfied.\You two need to put yourselves in, too!\Nope, nope, nope, nope...\Yeah, not happening.\Damn it!\But I ran away...\There's no way I could lead the team. response:	Summer vacation one year ago...
context: but I'm not fully satisfied.\You two need to put yourselves in, too!\Nope, nope, nope, nope...\Yeah, not happening.\Damn it!\But I ran away...\There's no way I could lead the team.\Summer vacation one year ago... response:	Not yet! Not until you can do this!
context: You two need to put yourselves in, too!\Nope, nope, nope, nope...\Yeah, not happening.\Damn it!\But I ran away...\There's no way I could lead the team.\Summer vacation one year ago...\Not yet! Not until you can do this! response:	Come on! Don't get exhausted after that!
context: Nope, nope, nope, nope...\Yeah, not happening.\Damn it!\But I ran away...\There's no way I could lead the team.\Summer vacation one year ago...\Not yet! Not until you can do this!\Come on! Don't get exhausted after that! response:	The day after, we lost two first-years...
context: Yeah, not happening.\Damn it!\But I ran away...\There's no way I could lead the team.\Summer vacation one year ago...\Not yet! Not until you can do this!\Come on! Don't get exhausted after that!\The day after, we lost two first-years... response:	At this rate, we're never gonna finish!
context: Damn it!\But I ran away...\There's no way I could lead the team.\Summer vacation one year ago...\Not yet! Not until you can do this!\Come on! Don't get exhausted after that!\The day after, we lost two first-years...\At this rate, we're never gonna finish! response:	And a few days later...
context: But I ran away...\There's no way I could lead the team.\Summer vacation one year ago...\Not yet! Not until you can do this!\Come on! Don't get exhausted after that!\The day after, we lost two first-years...\At this rate, we're never gonna finish!\And a few days later... response:	I had gone to practice ever since junior high, but...
context: There's no way I could lead the team.\Summer vacation one year ago...\Not yet! Not until you can do this!\Come on! Don't get exhausted after that!\The day after, we lost two first-years...\At this rate, we're never gonna finish!\And a few days later...\I had gone to practice ever since junior high, but... response:	I skipped one for the first time.
context: Summer vacation one year ago...\Not yet! Not until you can do this!\Come on! Don't get exhausted after that!\The day after, we lost two first-years...\At this rate, we're never gonna finish!\And a few days later...\I had gone to practice ever since junior high, but...\I skipped one for the first time. response:	I pretended to be sick.
context: Not yet! Not until you can do this!\Come on! Don't get exhausted after that!\The day after, we lost two first-years...\At this rate, we're never gonna finish!\And a few days later...\I had gone to practice ever since junior high, but...\I skipped one for the first time.\I pretended to be sick. response:	I felt guilty,
context: Come on! Don't get exhausted after that!\The day after, we lost two first-years...\At this rate, we're never gonna finish!\And a few days later...\I had gone to practice ever since junior high, but...\I skipped one for the first time.\I pretended to be sick.\I felt guilty, response:	but I didn't have to deal with that painful practice,
context: The day after, we lost two first-years...\At this rate, we're never gonna finish!\And a few days later...\I had gone to practice ever since junior high, but...\I skipped one for the first time.\I pretended to be sick.\I felt guilty,\but I didn't have to deal with that painful practice, response:	or being yelled at.
context: At this rate, we're never gonna finish!\And a few days later...\I had gone to practice ever since junior high, but...\I skipped one for the first time.\I pretended to be sick.\I felt guilty,\but I didn't have to deal with that painful practice,\or being yelled at. response:	The air conditioner is amazing.
context: And a few days later...\I had gone to practice ever since junior high, but...\I skipped one for the first time.\I pretended to be sick.\I felt guilty,\but I didn't have to deal with that painful practice,\or being yelled at.\The air conditioner is amazing. response:	The next day,
context: I had gone to practice ever since junior high, but...\I skipped one for the first time.\I pretended to be sick.\I felt guilty,\but I didn't have to deal with that painful practice,\or being yelled at.\The air conditioner is amazing.\The next day, response:	and the day after that...
context: I skipped one for the first time.\I pretended to be sick.\I felt guilty,\but I didn't have to deal with that painful practice,\or being yelled at.\The air conditioner is amazing.\The next day,\and the day after that... response:	I don't have to run in the heat.
context: I pretended to be sick.\I felt guilty,\but I didn't have to deal with that painful practice,\or being yelled at.\The air conditioner is amazing.\The next day,\and the day after that...\I don't have to run in the heat. response:	I don't have to get yelled at.
context: I felt guilty,\but I didn't have to deal with that painful practice,\or being yelled at.\The air conditioner is amazing.\The next day,\and the day after that...\I don't have to run in the heat.\I don't have to get yelled at. response:	I wonder if I'm actually some huge masochist.
context: but I didn't have to deal with that painful practice,\or being yelled at.\The air conditioner is amazing.\The next day,\and the day after that...\I don't have to run in the heat.\I don't have to get yelled at.\I wonder if I'm actually some huge masochist. response:	I-I'm sorry I skipped!
context: or being yelled at.\The air conditioner is amazing.\The next day,\and the day after that...\I don't have to run in the heat.\I don't have to get yelled at.\I wonder if I'm actually some huge masochist.\I-I'm sorry I skipped! response:	Please let me practice!
context: The air conditioner is amazing.\The next day,\and the day after that...\I don't have to run in the heat.\I don't have to get yelled at.\I wonder if I'm actually some huge masochist.\I-I'm sorry I skipped!\Please let me practice! response:	Ennoshita, thank goodness you're back.
context: The next day,\and the day after that...\I don't have to run in the heat.\I don't have to get yelled at.\I wonder if I'm actually some huge masochist.\I-I'm sorry I skipped!\Please let me practice!\Ennoshita, thank goodness you're back. response:	Well don't come in your uniform, then!
context: and the day after that...\I don't have to run in the heat.\I don't have to get yelled at.\I wonder if I'm actually some huge masochist.\I-I'm sorry I skipped!\Please let me practice!\Ennoshita, thank goodness you're back.\Well don't come in your uniform, then! response:	Captain...
context: I don't have to run in the heat.\I don't have to get yelled at.\I wonder if I'm actually some huge masochist.\I-I'm sorry I skipped!\Please let me practice!\Ennoshita, thank goodness you're back.\Well don't come in your uniform, then!\Captain... response:	I-I'm sorry! I'll go change right now!
context: I don't have to get yelled at.\I wonder if I'm actually some huge masochist.\I-I'm sorry I skipped!\Please let me practice!\Ennoshita, thank goodness you're back.\Well don't come in your uniform, then!\Captain...\I-I'm sorry! I'll go change right now! response:	Dealing with other people is hard,
context: I wonder if I'm actually some huge masochist.\I-I'm sorry I skipped!\Please let me practice!\Ennoshita, thank goodness you're back.\Well don't come in your uniform, then!\Captain...\I-I'm sorry! I'll go change right now!\Dealing with other people is hard, response:	but you can't just be nice, either.
context: I-I'm sorry I skipped!\Please let me practice!\Ennoshita, thank goodness you're back.\Well don't come in your uniform, then!\Captain...\I-I'm sorry! I'll go change right now!\Dealing with other people is hard,\but you can't just be nice, either. response:	Right.
context: Please let me practice!\Ennoshita, thank goodness you're back.\Well don't come in your uniform, then!\Captain...\I-I'm sorry! I'll go change right now!\Dealing with other people is hard,\but you can't just be nice, either.\Right. response:	Hey! If you're going, get changed first.
context: Ennoshita, thank goodness you're back.\Well don't come in your uniform, then!\Captain...\I-I'm sorry! I'll go change right now!\Dealing with other people is hard,\but you can't just be nice, either.\Right.\Hey! If you're going, get changed first. response:	All right, let's get started.
context: Well don't come in your uniform, then!\Captain...\I-I'm sorry! I'll go change right now!\Dealing with other people is hard,\but you can't just be nice, either.\Right.\Hey! If you're going, get changed first.\All right, let's get started. response:	Right!
context: Captain...\I-I'm sorry! I'll go change right now!\Dealing with other people is hard,\but you can't just be nice, either.\Right.\Hey! If you're going, get changed first.\All right, let's get started.\Right! response:	Get running!
context: I-I'm sorry! I'll go change right now!\Dealing with other people is hard,\but you can't just be nice, either.\Right.\Hey! If you're going, get changed first.\All right, let's get started.\Right!\Get running! response:	Right!
context: Dealing with other people is hard,\but you can't just be nice, either.\Right.\Hey! If you're going, get changed first.\All right, let's get started.\Right!\Get running!\Right! response:	R-Right...
context: but you can't just be nice, either.\Right.\Hey! If you're going, get changed first.\All right, let's get started.\Right!\Get running!\Right!\R-Right... response:	Karasuno... Fight!
context: Right.\Hey! If you're going, get changed first.\All right, let's get started.\Right!\Get running!\Right!\R-Right...\Karasuno... Fight! response:	Yeah!
context: Hey! If you're going, get changed first.\All right, let's get started.\Right!\Get running!\Right!\R-Right...\Karasuno... Fight!\Yeah! response:	Fight!
context: All right, let's get started.\Right!\Get running!\Right!\R-Right...\Karasuno... Fight!\Yeah!\Fight! response:	Yeah!
context: Right!\Get running!\Right!\R-Right...\Karasuno... Fight!\Yeah!\Fight!\Yeah! response:	There were five first-years that boycotted practice at the time.
context: Get running!\Right!\R-Right...\Karasuno... Fight!\Yeah!\Fight!\Yeah!\There were five first-years that boycotted practice at the time. response:	Two of them quit the volleyball team,
context: Right!\R-Right...\Karasuno... Fight!\Yeah!\Fight!\Yeah!\There were five first-years that boycotted practice at the time.\Two of them quit the volleyball team, response:	and seem much livelier now.
context: R-Right...\Karasuno... Fight!\Yeah!\Fight!\Yeah!\There were five first-years that boycotted practice at the time.\Two of them quit the volleyball team,\and seem much livelier now. response:	Which is better?
context: Karasuno... Fight!\Yeah!\Fight!\Yeah!\There were five first-years that boycotted practice at the time.\Two of them quit the volleyball team,\and seem much livelier now.\Which is better? response:	That probably depends on the person...
context: Yeah!\Fight!\Yeah!\There were five first-years that boycotted practice at the time.\Two of them quit the volleyball team,\and seem much livelier now.\Which is better?\That probably depends on the person... response:	It was harder for me when I wasn't playing volleyball, so I came back.
context: Fight!\Yeah!\There were five first-years that boycotted practice at the time.\Two of them quit the volleyball team,\and seem much livelier now.\Which is better?\That probably depends on the person...\It was harder for me when I wasn't playing volleyball, so I came back. response:	But the thought of running away...
context: Yeah!\There were five first-years that boycotted practice at the time.\Two of them quit the volleyball team,\and seem much livelier now.\Which is better?\That probably depends on the person...\It was harder for me when I wasn't playing volleyball, so I came back.\But the thought of running away... response:	That might be why.
context: There were five first-years that boycotted practice at the time.\Two of them quit the volleyball team,\and seem much livelier now.\Which is better?\That probably depends on the person...\It was harder for me when I wasn't playing volleyball, so I came back.\But the thought of running away...\That might be why. response:	You're back right now and that's all that matters.
context: Two of them quit the volleyball team,\and seem much livelier now.\Which is better?\That probably depends on the person...\It was harder for me when I wasn't playing volleyball, so I came back.\But the thought of running away...\That might be why.\You're back right now and that's all that matters. response:	Hey, I won!
context: and seem much livelier now.\Which is better?\That probably depends on the person...\It was harder for me when I wasn't playing volleyball, so I came back.\But the thought of running away...\That might be why.\You're back right now and that's all that matters.\Hey, I won! response:	I'm gonna get another one.
context: Which is better?\That probably depends on the person...\It was harder for me when I wasn't playing volleyball, so I came back.\But the thought of running away...\That might be why.\You're back right now and that's all that matters.\Hey, I won!\I'm gonna get another one. response:	Not everybody who joins a sports club is going to be the reckless type.
context: That probably depends on the person...\It was harder for me when I wasn't playing volleyball, so I came back.\But the thought of running away...\That might be why.\You're back right now and that's all that matters.\Hey, I won!\I'm gonna get another one.\Not everybody who joins a sports club is going to be the reckless type. response:	I don't know much about those who are a different type than me,
context: It was harder for me when I wasn't playing volleyball, so I came back.\But the thought of running away...\That might be why.\You're back right now and that's all that matters.\Hey, I won!\I'm gonna get another one.\Not everybody who joins a sports club is going to be the reckless type.\I don't know much about those who are a different type than me, response:	but I think you do.
context: But the thought of running away...\That might be why.\You're back right now and that's all that matters.\Hey, I won!\I'm gonna get another one.\Not everybody who joins a sports club is going to be the reckless type.\I don't know much about those who are a different type than me,\but I think you do. response:	Well, this is all in the future, so...
context: That might be why.\You're back right now and that's all that matters.\Hey, I won!\I'm gonna get another one.\Not everybody who joins a sports club is going to be the reckless type.\I don't know much about those who are a different type than me,\but I think you do.\Well, this is all in the future, so... response:	Yeah.
context: You're back right now and that's all that matters.\Hey, I won!\I'm gonna get another one.\Not everybody who joins a sports club is going to be the reckless type.\I don't know much about those who are a different type than me,\but I think you do.\Well, this is all in the future, so...\Yeah. response:	All right!
context: Hey, I won!\I'm gonna get another one.\Not everybody who joins a sports club is going to be the reckless type.\I don't know much about those who are a different type than me,\but I think you do.\Well, this is all in the future, so...\Yeah.\All right! response:	In any case, there's no way that a coward can do it.
context: I'm gonna get another one.\Not everybody who joins a sports club is going to be the reckless type.\I don't know much about those who are a different type than me,\but I think you do.\Well, this is all in the future, so...\Yeah.\All right!\In any case, there's no way that a coward can do it. response:	Bring it!
context: Not everybody who joins a sports club is going to be the reckless type.\I don't know much about those who are a different type than me,\but I think you do.\Well, this is all in the future, so...\Yeah.\All right!\In any case, there's no way that a coward can do it.\Bring it! response:	It's up!
context: I don't know much about those who are a different type than me,\but I think you do.\Well, this is all in the future, so...\Yeah.\All right!\In any case, there's no way that a coward can do it.\Bring it!\It's up! response:	Ennoshita, nice!
context: but I think you do.\Well, this is all in the future, so...\Yeah.\All right!\In any case, there's no way that a coward can do it.\Bring it!\It's up!\Ennoshita, nice! response:	Connect it! Connect!
context: Well, this is all in the future, so...\Yeah.\All right!\In any case, there's no way that a coward can do it.\Bring it!\It's up!\Ennoshita, nice!\Connect it! Connect! response:	Give it to me!
context: Yeah.\All right!\In any case, there's no way that a coward can do it.\Bring it!\It's up!\Ennoshita, nice!\Connect it! Connect!\Give it to me! response:	Azumane-san!
context: All right!\In any case, there's no way that a coward can do it.\Bring it!\It's up!\Ennoshita, nice!\Connect it! Connect!\Give it to me!\Azumane-san! response:	All right!
context: In any case, there's no way that a coward can do it.\Bring it!\It's up!\Ennoshita, nice!\Connect it! Connect!\Give it to me!\Azumane-san!\All right! response:	All right!
context: Bring it!\It's up!\Ennoshita, nice!\Connect it! Connect!\Give it to me!\Azumane-san!\All right!\All right! response:	Nice kill!
context: It's up!\Ennoshita, nice!\Connect it! Connect!\Give it to me!\Azumane-san!\All right!\All right!\Nice kill! response:	Chikara! Great job getting it up!
context: Ennoshita, nice!\Connect it! Connect!\Give it to me!\Azumane-san!\All right!\All right!\Nice kill!\Chikara! Great job getting it up! response:	R-Right...
context: Connect it! Connect!\Give it to me!\Azumane-san!\All right!\All right!\Nice kill!\Chikara! Great job getting it up!\R-Right... response:	Even if I'm a coward,
context: Give it to me!\Azumane-san!\All right!\All right!\Nice kill!\Chikara! Great job getting it up!\R-Right...\Even if I'm a coward, response:	even if I'm no match for Daichi-san,
context: Azumane-san!\All right!\All right!\Nice kill!\Chikara! Great job getting it up!\R-Right...\Even if I'm a coward,\even if I'm no match for Daichi-san, response:	I'm gonna fight!
context: All right!\All right!\Nice kill!\Chikara! Great job getting it up!\R-Right...\Even if I'm a coward,\even if I'm no match for Daichi-san,\I'm gonna fight! response:	That's why I came back!
context: All right!\Nice kill!\Chikara! Great job getting it up!\R-Right...\Even if I'm a coward,\even if I'm no match for Daichi-san,\I'm gonna fight!\That's why I came back! response:	Karasuno Wakunan
context: Nice kill!\Chikara! Great job getting it up!\R-Right...\Even if I'm a coward,\even if I'm no match for Daichi-san,\I'm gonna fight!\That's why I came back!\Karasuno Wakunan response:	Asahi-san, nice serve!
context: Chikara! Great job getting it up!\R-Right...\Even if I'm a coward,\even if I'm no match for Daichi-san,\I'm gonna fight!\That's why I came back!\Karasuno Wakunan\Asahi-san, nice serve! response:	Sorry!
context: R-Right...\Even if I'm a coward,\even if I'm no match for Daichi-san,\I'm gonna fight!\That's why I came back!\Karasuno Wakunan\Asahi-san, nice serve!\Sorry! response:	All right!
context: Even if I'm a coward,\even if I'm no match for Daichi-san,\I'm gonna fight!\That's why I came back!\Karasuno Wakunan\Asahi-san, nice serve!\Sorry!\All right! response:	It's okay. Let's get the next one!
context: even if I'm no match for Daichi-san,\I'm gonna fight!\That's why I came back!\Karasuno Wakunan\Asahi-san, nice serve!\Sorry!\All right!\It's okay. Let's get the next one! response:	Nice serve!
context: I'm gonna fight!\That's why I came back!\Karasuno Wakunan\Asahi-san, nice serve!\Sorry!\All right!\It's okay. Let's get the next one!\Nice serve! response:	Nice serve!
context: That's why I came back!\Karasuno Wakunan\Asahi-san, nice serve!\Sorry!\All right!\It's okay. Let's get the next one!\Nice serve!\Nice serve! response:	Nice, Asahi!
context: Karasuno Wakunan\Asahi-san, nice serve!\Sorry!\All right!\It's okay. Let's get the next one!\Nice serve!\Nice serve!\Nice, Asahi! response:	One more!
context: Asahi-san, nice serve!\Sorry!\All right!\It's okay. Let's get the next one!\Nice serve!\Nice serve!\Nice, Asahi!\One more! response:	Like hell we're giving it to you again!
context: Sorry!\All right!\It's okay. Let's get the next one!\Nice serve!\Nice serve!\Nice, Asahi!\One more!\Like hell we're giving it to you again! response:	I'm gonna get this!
context: All right!\It's okay. Let's get the next one!\Nice serve!\Nice serve!\Nice, Asahi!\One more!\Like hell we're giving it to you again!\I'm gonna get this! response:	Nice, Hanayan!
context: It's okay. Let's get the next one!\Nice serve!\Nice serve!\Nice, Asahi!\One more!\Like hell we're giving it to you again!\I'm gonna get this!\Nice, Hanayan! response:	Wakunan's pretty calm.
context: Nice serve!\Nice serve!\Nice, Asahi!\One more!\Like hell we're giving it to you again!\I'm gonna get this!\Nice, Hanayan!\Wakunan's pretty calm. response:	Nice!
context: Nice serve!\Nice, Asahi!\One more!\Like hell we're giving it to you again!\I'm gonna get this!\Nice, Hanayan!\Wakunan's pretty calm.\Nice! response:	Don't mind, don't mind! Let's do this!
context: Nice, Asahi!\One more!\Like hell we're giving it to you again!\I'm gonna get this!\Nice, Hanayan!\Wakunan's pretty calm.\Nice!\Don't mind, don't mind! Let's do this! response:	Yamaguchi...
context: One more!\Like hell we're giving it to you again!\I'm gonna get this!\Nice, Hanayan!\Wakunan's pretty calm.\Nice!\Don't mind, don't mind! Let's do this!\Yamaguchi... response:	Yes!
context: Like hell we're giving it to you again!\I'm gonna get this!\Nice, Hanayan!\Wakunan's pretty calm.\Nice!\Don't mind, don't mind! Let's do this!\Yamaguchi...\Yes! response:	Nice receive!
context: I'm gonna get this!\Nice, Hanayan!\Wakunan's pretty calm.\Nice!\Don't mind, don't mind! Let's do this!\Yamaguchi...\Yes!\Nice receive! response:	Shimizu-senpai's calling you.
context: Nice, Hanayan!\Wakunan's pretty calm.\Nice!\Don't mind, don't mind! Let's do this!\Yamaguchi...\Yes!\Nice receive!\Shimizu-senpai's calling you. response:	All right!
context: Wakunan's pretty calm.\Nice!\Don't mind, don't mind! Let's do this!\Yamaguchi...\Yes!\Nice receive!\Shimizu-senpai's calling you.\All right! response:	Karasuno Wakunan
context: Nice!\Don't mind, don't mind! Let's do this!\Yamaguchi...\Yes!\Nice receive!\Shimizu-senpai's calling you.\All right!\Karasuno Wakunan response:	Tanaka, nice kill!
