context: Good evening! response:	We come to you from the Order of the Crest! I'm Priestess Priscilla Farnese!
context: Who's there?\It's Siluca.\Is it something urgent?\No, I wouldn't say that, but...\Um...\Sorry to interrupt you two.\What is it?\I've been informed that a Chaos Disaster has occurred in the castle town. response:	- Let's go! - R-Right!
context: It's Siluca.\Is it something urgent?\No, I wouldn't say that, but...\Um...\Sorry to interrupt you two.\What is it?\I've been informed that a Chaos Disaster has occurred in the castle town.\- Let's go! - R-Right! response:	What happened?
context: Is it something urgent?\No, I wouldn't say that, but...\Um...\Sorry to interrupt you two.\What is it?\I've been informed that a Chaos Disaster has occurred in the castle town.\- Let's go! - R-Right!\What happened? response:	The coal suddenly exploded.
context: No, I wouldn't say that, but...\Um...\Sorry to interrupt you two.\What is it?\I've been informed that a Chaos Disaster has occurred in the castle town.\- Let's go! - R-Right!\What happened?\The coal suddenly exploded. response:	Damn Chaos!
context: Um...\Sorry to interrupt you two.\What is it?\I've been informed that a Chaos Disaster has occurred in the castle town.\- Let's go! - R-Right!\What happened?\The coal suddenly exploded.\Damn Chaos! response:	- Out of the way! - Wounded coming through!
context: Sorry to interrupt you two.\What is it?\I've been informed that a Chaos Disaster has occurred in the castle town.\- Let's go! - R-Right!\What happened?\The coal suddenly exploded.\Damn Chaos!\- Out of the way! - Wounded coming through! response:	Boss!
context: What is it?\I've been informed that a Chaos Disaster has occurred in the castle town.\- Let's go! - R-Right!\What happened?\The coal suddenly exploded.\Damn Chaos!\- Out of the way! - Wounded coming through!\Boss! response:	I'll tend to him!
context: I've been informed that a Chaos Disaster has occurred in the castle town.\- Let's go! - R-Right!\What happened?\The coal suddenly exploded.\Damn Chaos!\- Out of the way! - Wounded coming through!\Boss!\I'll tend to him! response:	This is going to hurt, but please bear with me.
context: - Let's go! - R-Right!\What happened?\The coal suddenly exploded.\Damn Chaos!\- Out of the way! - Wounded coming through!\Boss!\I'll tend to him!\This is going to hurt, but please bear with me. response:	Follow me! We'll put out that fire!
context: What happened?\The coal suddenly exploded.\Damn Chaos!\- Out of the way! - Wounded coming through!\Boss!\I'll tend to him!\This is going to hurt, but please bear with me.\Follow me! We'll put out that fire! response:	This should help a little...
context: The coal suddenly exploded.\Damn Chaos!\- Out of the way! - Wounded coming through!\Boss!\I'll tend to him!\This is going to hurt, but please bear with me.\Follow me! We'll put out that fire!\This should help a little... response:	This feeling...
context: Damn Chaos!\- Out of the way! - Wounded coming through!\Boss!\I'll tend to him!\This is going to hurt, but please bear with me.\Follow me! We'll put out that fire!\This should help a little...\This feeling... response:	Siluca!
context: - Out of the way! - Wounded coming through!\Boss!\I'll tend to him!\This is going to hurt, but please bear with me.\Follow me! We'll put out that fire!\This should help a little...\This feeling...\Siluca! response:	What is that thing?
context: Boss!\I'll tend to him!\This is going to hurt, but please bear with me.\Follow me! We'll put out that fire!\This should help a little...\This feeling...\Siluca!\What is that thing? response:	A Salamander from Aether?
context: I'll tend to him!\This is going to hurt, but please bear with me.\Follow me! We'll put out that fire!\This should help a little...\This feeling...\Siluca!\What is that thing?\A Salamander from Aether? response:	Is that a Chaos demon?
context: This is going to hurt, but please bear with me.\Follow me! We'll put out that fire!\This should help a little...\This feeling...\Siluca!\What is that thing?\A Salamander from Aether?\Is that a Chaos demon? response:	Yes. And it's extremely dangerous.
context: Follow me! We'll put out that fire!\This should help a little...\This feeling...\Siluca!\What is that thing?\A Salamander from Aether?\Is that a Chaos demon?\Yes. And it's extremely dangerous. response:	Then I'm taking it out!
context: This should help a little...\This feeling...\Siluca!\What is that thing?\A Salamander from Aether?\Is that a Chaos demon?\Yes. And it's extremely dangerous.\Then I'm taking it out! response:	You mustn't, Lord Theo!
context: This feeling...\Siluca!\What is that thing?\A Salamander from Aether?\Is that a Chaos demon?\Yes. And it's extremely dangerous.\Then I'm taking it out!\You mustn't, Lord Theo! response:	Slashing at a projection from Aether with a sword...
context: Siluca!\What is that thing?\A Salamander from Aether?\Is that a Chaos demon?\Yes. And it's extremely dangerous.\Then I'm taking it out!\You mustn't, Lord Theo!\Slashing at a projection from Aether with a sword... response:	Is he an idiot or what?
context: What is that thing?\A Salamander from Aether?\Is that a Chaos demon?\Yes. And it's extremely dangerous.\Then I'm taking it out!\You mustn't, Lord Theo!\Slashing at a projection from Aether with a sword...\Is he an idiot or what? response:	Lord Theo! Please get away!
context: A Salamander from Aether?\Is that a Chaos demon?\Yes. And it's extremely dangerous.\Then I'm taking it out!\You mustn't, Lord Theo!\Slashing at a projection from Aether with a sword...\Is he an idiot or what?\Lord Theo! Please get away! response:	Aishela, draw him towards you for now!
context: Is that a Chaos demon?\Yes. And it's extremely dangerous.\Then I'm taking it out!\You mustn't, Lord Theo!\Slashing at a projection from Aether with a sword...\Is he an idiot or what?\Lord Theo! Please get away!\Aishela, draw him towards you for now! response:	Leave it to me!
context: Yes. And it's extremely dangerous.\Then I'm taking it out!\You mustn't, Lord Theo!\Slashing at a projection from Aether with a sword...\Is he an idiot or what?\Lord Theo! Please get away!\Aishela, draw him towards you for now!\Leave it to me! response:	Lord Theo, Irvin, help the townspeople evacuate.
context: Then I'm taking it out!\You mustn't, Lord Theo!\Slashing at a projection from Aether with a sword...\Is he an idiot or what?\Lord Theo! Please get away!\Aishela, draw him towards you for now!\Leave it to me!\Lord Theo, Irvin, help the townspeople evacuate. response:	Got it!
context: You mustn't, Lord Theo!\Slashing at a projection from Aether with a sword...\Is he an idiot or what?\Lord Theo! Please get away!\Aishela, draw him towards you for now!\Leave it to me!\Lord Theo, Irvin, help the townspeople evacuate.\Got it! response:	As for the boss...
context: Slashing at a projection from Aether with a sword...\Is he an idiot or what?\Lord Theo! Please get away!\Aishela, draw him towards you for now!\Leave it to me!\Lord Theo, Irvin, help the townspeople evacuate.\Got it!\As for the boss... response:	Allow me to heal him.
context: Is he an idiot or what?\Lord Theo! Please get away!\Aishela, draw him towards you for now!\Leave it to me!\Lord Theo, Irvin, help the townspeople evacuate.\Got it!\As for the boss...\Allow me to heal him. response:	Do you have the ability to?
context: Lord Theo! Please get away!\Aishela, draw him towards you for now!\Leave it to me!\Lord Theo, Irvin, help the townspeople evacuate.\Got it!\As for the boss...\Allow me to heal him.\Do you have the ability to? response:	Please leave it to me.
context: Aishela, draw him towards you for now!\Leave it to me!\Lord Theo, Irvin, help the townspeople evacuate.\Got it!\As for the boss...\Allow me to heal him.\Do you have the ability to?\Please leave it to me. response:	A Crest?
context: Leave it to me!\Lord Theo, Irvin, help the townspeople evacuate.\Got it!\As for the boss...\Allow me to heal him.\Do you have the ability to?\Please leave it to me.\A Crest? response:	It's all right. Please stay with me.
context: Lord Theo, Irvin, help the townspeople evacuate.\Got it!\As for the boss...\Allow me to heal him.\Do you have the ability to?\Please leave it to me.\A Crest?\It's all right. Please stay with me. response:	I'm counting on you.
context: Got it!\As for the boss...\Allow me to heal him.\Do you have the ability to?\Please leave it to me.\A Crest?\It's all right. Please stay with me.\I'm counting on you. response:	I'll take out the demon.
context: As for the boss...\Allow me to heal him.\Do you have the ability to?\Please leave it to me.\A Crest?\It's all right. Please stay with me.\I'm counting on you.\I'll take out the demon. response:	Water flows from up high to low depths.
context: Allow me to heal him.\Do you have the ability to?\Please leave it to me.\A Crest?\It's all right. Please stay with me.\I'm counting on you.\I'll take out the demon.\Water flows from up high to low depths. response:	Yet at times, its course is reversed,
context: Do you have the ability to?\Please leave it to me.\A Crest?\It's all right. Please stay with me.\I'm counting on you.\I'll take out the demon.\Water flows from up high to low depths.\Yet at times, its course is reversed, response:	and it becomes a towering wall of water...
context: Please leave it to me.\A Crest?\It's all right. Please stay with me.\I'm counting on you.\I'll take out the demon.\Water flows from up high to low depths.\Yet at times, its course is reversed,\and it becomes a towering wall of water... response:	Climb!
context: A Crest?\It's all right. Please stay with me.\I'm counting on you.\I'll take out the demon.\Water flows from up high to low depths.\Yet at times, its course is reversed,\and it becomes a towering wall of water...\Climb! response:	Siluca!
context: It's all right. Please stay with me.\I'm counting on you.\I'll take out the demon.\Water flows from up high to low depths.\Yet at times, its course is reversed,\and it becomes a towering wall of water...\Climb!\Siluca! response:	Siluca!
context: I'm counting on you.\I'll take out the demon.\Water flows from up high to low depths.\Yet at times, its course is reversed,\and it becomes a towering wall of water...\Climb!\Siluca!\Siluca! response:	Engulf!
context: I'll take out the demon.\Water flows from up high to low depths.\Yet at times, its course is reversed,\and it becomes a towering wall of water...\Climb!\Siluca!\Siluca!\Engulf! response:	Oh no!
context: Water flows from up high to low depths.\Yet at times, its course is reversed,\and it becomes a towering wall of water...\Climb!\Siluca!\Siluca!\Engulf!\Oh no! response:	Siluca!
context: Yet at times, its course is reversed,\and it becomes a towering wall of water...\Climb!\Siluca!\Siluca!\Engulf!\Oh no!\Siluca! response:	Thank goodness! You're finally awake!
context: and it becomes a towering wall of water...\Climb!\Siluca!\Siluca!\Engulf!\Oh no!\Siluca!\Thank goodness! You're finally awake! response:	How long have I been asleep?
context: Climb!\Siluca!\Siluca!\Engulf!\Oh no!\Siluca!\Thank goodness! You're finally awake!\How long have I been asleep? response:	It's already noon!
context: Siluca!\Siluca!\Engulf!\Oh no!\Siluca!\Thank goodness! You're finally awake!\How long have I been asleep?\It's already noon! response:	Where's Lord Theo?
context: Siluca!\Engulf!\Oh no!\Siluca!\Thank goodness! You're finally awake!\How long have I been asleep?\It's already noon!\Where's Lord Theo? response:	He's been dealing with the aftermath of the fire since last night.
context: Engulf!\Oh no!\Siluca!\Thank goodness! You're finally awake!\How long have I been asleep?\It's already noon!\Where's Lord Theo?\He's been dealing with the aftermath of the fire since last night. response:	Oh, no! I need to be there, too!
context: Oh no!\Siluca!\Thank goodness! You're finally awake!\How long have I been asleep?\It's already noon!\Where's Lord Theo?\He's been dealing with the aftermath of the fire since last night.\Oh, no! I need to be there, too! response:	Lord Theo!
context: Siluca!\Thank goodness! You're finally awake!\How long have I been asleep?\It's already noon!\Where's Lord Theo?\He's been dealing with the aftermath of the fire since last night.\Oh, no! I need to be there, too!\Lord Theo! response:	See you, then.
context: Thank goodness! You're finally awake!\How long have I been asleep?\It's already noon!\Where's Lord Theo?\He's been dealing with the aftermath of the fire since last night.\Oh, no! I need to be there, too!\Lord Theo!\See you, then. response:	Are you feeling well now?
context: How long have I been asleep?\It's already noon!\Where's Lord Theo?\He's been dealing with the aftermath of the fire since last night.\Oh, no! I need to be there, too!\Lord Theo!\See you, then.\Are you feeling well now? response:	Yes. Thanks to you.
context: It's already noon!\Where's Lord Theo?\He's been dealing with the aftermath of the fire since last night.\Oh, no! I need to be there, too!\Lord Theo!\See you, then.\Are you feeling well now?\Yes. Thanks to you. response:	Those wounds...
context: Where's Lord Theo?\He's been dealing with the aftermath of the fire since last night.\Oh, no! I need to be there, too!\Lord Theo!\See you, then.\Are you feeling well now?\Yes. Thanks to you.\Those wounds... response:	You need to have them looked at right away!
context: He's been dealing with the aftermath of the fire since last night.\Oh, no! I need to be there, too!\Lord Theo!\See you, then.\Are you feeling well now?\Yes. Thanks to you.\Those wounds...\You need to have them looked at right away! response:	Forgive me for leaving the cleanup to you.
context: Oh, no! I need to be there, too!\Lord Theo!\See you, then.\Are you feeling well now?\Yes. Thanks to you.\Those wounds...\You need to have them looked at right away!\Forgive me for leaving the cleanup to you. response:	Also... um...
context: Lord Theo!\See you, then.\Are you feeling well now?\Yes. Thanks to you.\Those wounds...\You need to have them looked at right away!\Forgive me for leaving the cleanup to you.\Also... um... response:	Thank you so much for protecting me.
context: See you, then.\Are you feeling well now?\Yes. Thanks to you.\Those wounds...\You need to have them looked at right away!\Forgive me for leaving the cleanup to you.\Also... um...\Thank you so much for protecting me. response:	I'm glad you didn't get hurt.
context: Are you feeling well now?\Yes. Thanks to you.\Those wounds...\You need to have them looked at right away!\Forgive me for leaving the cleanup to you.\Also... um...\Thank you so much for protecting me.\I'm glad you didn't get hurt. response:	Yes.
context: Yes. Thanks to you.\Those wounds...\You need to have them looked at right away!\Forgive me for leaving the cleanup to you.\Also... um...\Thank you so much for protecting me.\I'm glad you didn't get hurt.\Yes. response:	Concerning Clovis, I hear everything went according to your plan.
context: Those wounds...\You need to have them looked at right away!\Forgive me for leaving the cleanup to you.\Also... um...\Thank you so much for protecting me.\I'm glad you didn't get hurt.\Yes.\Concerning Clovis, I hear everything went according to your plan. response:	Well, Sir Sartorus gave me a talking-to for ignoring your wishes.
context: You need to have them looked at right away!\Forgive me for leaving the cleanup to you.\Also... um...\Thank you so much for protecting me.\I'm glad you didn't get hurt.\Yes.\Concerning Clovis, I hear everything went according to your plan.\Well, Sir Sartorus gave me a talking-to for ignoring your wishes. response:	But I'm grateful for what you're doing.
context: Forgive me for leaving the cleanup to you.\Also... um...\Thank you so much for protecting me.\I'm glad you didn't get hurt.\Yes.\Concerning Clovis, I hear everything went according to your plan.\Well, Sir Sartorus gave me a talking-to for ignoring your wishes.\But I'm grateful for what you're doing. response:	If I hadn't met you, it never would've occurred to me to defeat Rossini.
context: Also... um...\Thank you so much for protecting me.\I'm glad you didn't get hurt.\Yes.\Concerning Clovis, I hear everything went according to your plan.\Well, Sir Sartorus gave me a talking-to for ignoring your wishes.\But I'm grateful for what you're doing.\If I hadn't met you, it never would've occurred to me to defeat Rossini. response:	But you showed me the way.
context: Thank you so much for protecting me.\I'm glad you didn't get hurt.\Yes.\Concerning Clovis, I hear everything went according to your plan.\Well, Sir Sartorus gave me a talking-to for ignoring your wishes.\But I'm grateful for what you're doing.\If I hadn't met you, it never would've occurred to me to defeat Rossini.\But you showed me the way. response:	And now, I'm sure it's exactly what I want to do.
context: I'm glad you didn't get hurt.\Yes.\Concerning Clovis, I hear everything went according to your plan.\Well, Sir Sartorus gave me a talking-to for ignoring your wishes.\But I'm grateful for what you're doing.\If I hadn't met you, it never would've occurred to me to defeat Rossini.\But you showed me the way.\And now, I'm sure it's exactly what I want to do. response:	One day, I'm going to lead my forces and arrive on Systina.
context: Yes.\Concerning Clovis, I hear everything went according to your plan.\Well, Sir Sartorus gave me a talking-to for ignoring your wishes.\But I'm grateful for what you're doing.\If I hadn't met you, it never would've occurred to me to defeat Rossini.\But you showed me the way.\And now, I'm sure it's exactly what I want to do.\One day, I'm going to lead my forces and arrive on Systina. response:	Assuming the family name Cornaro.
context: Concerning Clovis, I hear everything went according to your plan.\Well, Sir Sartorus gave me a talking-to for ignoring your wishes.\But I'm grateful for what you're doing.\If I hadn't met you, it never would've occurred to me to defeat Rossini.\But you showed me the way.\And now, I'm sure it's exactly what I want to do.\One day, I'm going to lead my forces and arrive on Systina.\Assuming the family name Cornaro. response:	Right!
context: Well, Sir Sartorus gave me a talking-to for ignoring your wishes.\But I'm grateful for what you're doing.\If I hadn't met you, it never would've occurred to me to defeat Rossini.\But you showed me the way.\And now, I'm sure it's exactly what I want to do.\One day, I'm going to lead my forces and arrive on Systina.\Assuming the family name Cornaro.\Right! response:	That said, there are still many trials and tribulations ahead.
context: But I'm grateful for what you're doing.\If I hadn't met you, it never would've occurred to me to defeat Rossini.\But you showed me the way.\And now, I'm sure it's exactly what I want to do.\One day, I'm going to lead my forces and arrive on Systina.\Assuming the family name Cornaro.\Right!\That said, there are still many trials and tribulations ahead. response:	We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.
context: If I hadn't met you, it never would've occurred to me to defeat Rossini.\But you showed me the way.\And now, I'm sure it's exactly what I want to do.\One day, I'm going to lead my forces and arrive on Systina.\Assuming the family name Cornaro.\Right!\That said, there are still many trials and tribulations ahead.\We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance. response:	Who is he?
context: But you showed me the way.\And now, I'm sure it's exactly what I want to do.\One day, I'm going to lead my forces and arrive on Systina.\Assuming the family name Cornaro.\Right!\That said, there are still many trials and tribulations ahead.\We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.\Who is he? response:	Mage Leader Aubeste.
context: And now, I'm sure it's exactly what I want to do.\One day, I'm going to lead my forces and arrive on Systina.\Assuming the family name Cornaro.\Right!\That said, there are still many trials and tribulations ahead.\We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.\Who is he?\Mage Leader Aubeste. response:	My mentor, as well as adoptive father.
context: One day, I'm going to lead my forces and arrive on Systina.\Assuming the family name Cornaro.\Right!\That said, there are still many trials and tribulations ahead.\We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.\Who is he?\Mage Leader Aubeste.\My mentor, as well as adoptive father. response:	Adoptive father?
context: Assuming the family name Cornaro.\Right!\That said, there are still many trials and tribulations ahead.\We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.\Who is he?\Mage Leader Aubeste.\My mentor, as well as adoptive father.\Adoptive father? response:	Children with magical potential are taken from their biological parents at a young age,
context: Right!\That said, there are still many trials and tribulations ahead.\We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.\Who is he?\Mage Leader Aubeste.\My mentor, as well as adoptive father.\Adoptive father?\Children with magical potential are taken from their biological parents at a young age, response:	and raised by a mage serving as their adoptive father.
context: That said, there are still many trials and tribulations ahead.\We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.\Who is he?\Mage Leader Aubeste.\My mentor, as well as adoptive father.\Adoptive father?\Children with magical potential are taken from their biological parents at a young age,\and raised by a mage serving as their adoptive father. response:	I see.
context: We'll also be negotiating with the Mage Leader of the Kreische family, who head the Alliance.\Who is he?\Mage Leader Aubeste.\My mentor, as well as adoptive father.\Adoptive father?\Children with magical potential are taken from their biological parents at a young age,\and raised by a mage serving as their adoptive father.\I see. response:	Then sending his daughter to negotiate shouldn't pose a problem, right?
context: Who is he?\Mage Leader Aubeste.\My mentor, as well as adoptive father.\Adoptive father?\Children with magical potential are taken from their biological parents at a young age,\and raised by a mage serving as their adoptive father.\I see.\Then sending his daughter to negotiate shouldn't pose a problem, right? response:	I certainly hope not...
context: Mage Leader Aubeste.\My mentor, as well as adoptive father.\Adoptive father?\Children with magical potential are taken from their biological parents at a young age,\and raised by a mage serving as their adoptive father.\I see.\Then sending his daughter to negotiate shouldn't pose a problem, right?\I certainly hope not... response:	I'll leave it to you.
context: My mentor, as well as adoptive father.\Adoptive father?\Children with magical potential are taken from their biological parents at a young age,\and raised by a mage serving as their adoptive father.\I see.\Then sending his daughter to negotiate shouldn't pose a problem, right?\I certainly hope not...\I'll leave it to you. response:	You can't just leave it to me, that won't do!
context: Adoptive father?\Children with magical potential are taken from their biological parents at a young age,\and raised by a mage serving as their adoptive father.\I see.\Then sending his daughter to negotiate shouldn't pose a problem, right?\I certainly hope not...\I'll leave it to you.\You can't just leave it to me, that won't do! response:	Because from here on in, I'm going to consult you on everything first.
context: Children with magical potential are taken from their biological parents at a young age,\and raised by a mage serving as their adoptive father.\I see.\Then sending his daughter to negotiate shouldn't pose a problem, right?\I certainly hope not...\I'll leave it to you.\You can't just leave it to me, that won't do!\Because from here on in, I'm going to consult you on everything first. response:	I'm not sure that I'll be worthy of your consultation, though.
context: and raised by a mage serving as their adoptive father.\I see.\Then sending his daughter to negotiate shouldn't pose a problem, right?\I certainly hope not...\I'll leave it to you.\You can't just leave it to me, that won't do!\Because from here on in, I'm going to consult you on everything first.\I'm not sure that I'll be worthy of your consultation, though. response:	I'll see to it that you are!
context: I see.\Then sending his daughter to negotiate shouldn't pose a problem, right?\I certainly hope not...\I'll leave it to you.\You can't just leave it to me, that won't do!\Because from here on in, I'm going to consult you on everything first.\I'm not sure that I'll be worthy of your consultation, though.\I'll see to it that you are! response:	Well, the negotiations were a bust.
context: Then sending his daughter to negotiate shouldn't pose a problem, right?\I certainly hope not...\I'll leave it to you.\You can't just leave it to me, that won't do!\Because from here on in, I'm going to consult you on everything first.\I'm not sure that I'll be worthy of your consultation, though.\I'll see to it that you are!\Well, the negotiations were a bust. response:	The King of Savis ended up declaring that he'd settle it on the battlefield.
context: I certainly hope not...\I'll leave it to you.\You can't just leave it to me, that won't do!\Because from here on in, I'm going to consult you on everything first.\I'm not sure that I'll be worthy of your consultation, though.\I'll see to it that you are!\Well, the negotiations were a bust.\The King of Savis ended up declaring that he'd settle it on the battlefield. response:	You wouldn't believe how furious he was!
context: I'll leave it to you.\You can't just leave it to me, that won't do!\Because from here on in, I'm going to consult you on everything first.\I'm not sure that I'll be worthy of your consultation, though.\I'll see to it that you are!\Well, the negotiations were a bust.\The King of Savis ended up declaring that he'd settle it on the battlefield.\You wouldn't believe how furious he was! response:	All territories in this nation belong to me,
context: You can't just leave it to me, that won't do!\Because from here on in, I'm going to consult you on everything first.\I'm not sure that I'll be worthy of your consultation, though.\I'll see to it that you are!\Well, the negotiations were a bust.\The King of Savis ended up declaring that he'd settle it on the battlefield.\You wouldn't believe how furious he was!\All territories in this nation belong to me, response:	and I can't recognize anyone's independence, he said.
context: Because from here on in, I'm going to consult you on everything first.\I'm not sure that I'll be worthy of your consultation, though.\I'll see to it that you are!\Well, the negotiations were a bust.\The King of Savis ended up declaring that he'd settle it on the battlefield.\You wouldn't believe how furious he was!\All territories in this nation belong to me,\and I can't recognize anyone's independence, he said. response:	He said that, did he?
context: I'm not sure that I'll be worthy of your consultation, though.\I'll see to it that you are!\Well, the negotiations were a bust.\The King of Savis ended up declaring that he'd settle it on the battlefield.\You wouldn't believe how furious he was!\All territories in this nation belong to me,\and I can't recognize anyone's independence, he said.\He said that, did he? response:	In so many words.
context: I'll see to it that you are!\Well, the negotiations were a bust.\The King of Savis ended up declaring that he'd settle it on the battlefield.\You wouldn't believe how furious he was!\All territories in this nation belong to me,\and I can't recognize anyone's independence, he said.\He said that, did he?\In so many words. response:	We don't have much time.
context: Well, the negotiations were a bust.\The King of Savis ended up declaring that he'd settle it on the battlefield.\You wouldn't believe how furious he was!\All territories in this nation belong to me,\and I can't recognize anyone's independence, he said.\He said that, did he?\In so many words.\We don't have much time. response:	Let's write to the free Lords and ask them to ally with us, right away!
context: The King of Savis ended up declaring that he'd settle it on the battlefield.\You wouldn't believe how furious he was!\All territories in this nation belong to me,\and I can't recognize anyone's independence, he said.\He said that, did he?\In so many words.\We don't have much time.\Let's write to the free Lords and ask them to ally with us, right away! response:	We won't stand a chance if no one shows, huh?
context: You wouldn't believe how furious he was!\All territories in this nation belong to me,\and I can't recognize anyone's independence, he said.\He said that, did he?\In so many words.\We don't have much time.\Let's write to the free Lords and ask them to ally with us, right away!\We won't stand a chance if no one shows, huh? response:	If it comes to that, I'll charge the enemy lines alone.
context: All territories in this nation belong to me,\and I can't recognize anyone's independence, he said.\He said that, did he?\In so many words.\We don't have much time.\Let's write to the free Lords and ask them to ally with us, right away!\We won't stand a chance if no one shows, huh?\If it comes to that, I'll charge the enemy lines alone. response:	That way, your lives will be saved.
context: and I can't recognize anyone's independence, he said.\He said that, did he?\In so many words.\We don't have much time.\Let's write to the free Lords and ask them to ally with us, right away!\We won't stand a chance if no one shows, huh?\If it comes to that, I'll charge the enemy lines alone.\That way, your lives will be saved. response:	Charging solo into enemy lines?
context: He said that, did he?\In so many words.\We don't have much time.\Let's write to the free Lords and ask them to ally with us, right away!\We won't stand a chance if no one shows, huh?\If it comes to that, I'll charge the enemy lines alone.\That way, your lives will be saved.\Charging solo into enemy lines? response:	I can't let my Lord be the only one having such fun!
context: In so many words.\We don't have much time.\Let's write to the free Lords and ask them to ally with us, right away!\We won't stand a chance if no one shows, huh?\If it comes to that, I'll charge the enemy lines alone.\That way, your lives will be saved.\Charging solo into enemy lines?\I can't let my Lord be the only one having such fun! response:	I, too, am fully prepared.
context: We don't have much time.\Let's write to the free Lords and ask them to ally with us, right away!\We won't stand a chance if no one shows, huh?\If it comes to that, I'll charge the enemy lines alone.\That way, your lives will be saved.\Charging solo into enemy lines?\I can't let my Lord be the only one having such fun!\I, too, am fully prepared. response:	After all, Lord Theo, you spared my life in our recent battle.
context: Let's write to the free Lords and ask them to ally with us, right away!\We won't stand a chance if no one shows, huh?\If it comes to that, I'll charge the enemy lines alone.\That way, your lives will be saved.\Charging solo into enemy lines?\I can't let my Lord be the only one having such fun!\I, too, am fully prepared.\After all, Lord Theo, you spared my life in our recent battle. response:	Sir Neyman...
context: We won't stand a chance if no one shows, huh?\If it comes to that, I'll charge the enemy lines alone.\That way, your lives will be saved.\Charging solo into enemy lines?\I can't let my Lord be the only one having such fun!\I, too, am fully prepared.\After all, Lord Theo, you spared my life in our recent battle.\Sir Neyman... response:	Sir Lassic...
context: If it comes to that, I'll charge the enemy lines alone.\That way, your lives will be saved.\Charging solo into enemy lines?\I can't let my Lord be the only one having such fun!\I, too, am fully prepared.\After all, Lord Theo, you spared my life in our recent battle.\Sir Neyman...\Sir Lassic... response:	Thank you.
context: That way, your lives will be saved.\Charging solo into enemy lines?\I can't let my Lord be the only one having such fun!\I, too, am fully prepared.\After all, Lord Theo, you spared my life in our recent battle.\Sir Neyman...\Sir Lassic...\Thank you. response:	If they read our letters, and realize the king's desires...
context: Charging solo into enemy lines?\I can't let my Lord be the only one having such fun!\I, too, am fully prepared.\After all, Lord Theo, you spared my life in our recent battle.\Sir Neyman...\Sir Lassic...\Thank you.\If they read our letters, and realize the king's desires... response:	I'm sure the free Lords of Savis will take our side.
context: I can't let my Lord be the only one having such fun!\I, too, am fully prepared.\After all, Lord Theo, you spared my life in our recent battle.\Sir Neyman...\Sir Lassic...\Thank you.\If they read our letters, and realize the king's desires...\I'm sure the free Lords of Savis will take our side. response:	Yeah, but recall on the way over here, the Lords did let us pass,
context: I, too, am fully prepared.\After all, Lord Theo, you spared my life in our recent battle.\Sir Neyman...\Sir Lassic...\Thank you.\If they read our letters, and realize the king's desires...\I'm sure the free Lords of Savis will take our side.\Yeah, but recall on the way over here, the Lords did let us pass, response:	but they didn't offer any troops.
context: After all, Lord Theo, you spared my life in our recent battle.\Sir Neyman...\Sir Lassic...\Thank you.\If they read our letters, and realize the king's desires...\I'm sure the free Lords of Savis will take our side.\Yeah, but recall on the way over here, the Lords did let us pass,\but they didn't offer any troops. response:	The fact we were allowed to pass shows they have affinity for us.
context: Sir Neyman...\Sir Lassic...\Thank you.\If they read our letters, and realize the king's desires...\I'm sure the free Lords of Savis will take our side.\Yeah, but recall on the way over here, the Lords did let us pass,\but they didn't offer any troops.\The fact we were allowed to pass shows they have affinity for us. response:	So now, as long as even one makes a move...
context: Sir Lassic...\Thank you.\If they read our letters, and realize the king's desires...\I'm sure the free Lords of Savis will take our side.\Yeah, but recall on the way over here, the Lords did let us pass,\but they didn't offer any troops.\The fact we were allowed to pass shows they have affinity for us.\So now, as long as even one makes a move... response:	Please, somebody come.
context: Thank you.\If they read our letters, and realize the king's desires...\I'm sure the free Lords of Savis will take our side.\Yeah, but recall on the way over here, the Lords did let us pass,\but they didn't offer any troops.\The fact we were allowed to pass shows they have affinity for us.\So now, as long as even one makes a move...\Please, somebody come. response:	That's...
context: If they read our letters, and realize the king's desires...\I'm sure the free Lords of Savis will take our side.\Yeah, but recall on the way over here, the Lords did let us pass,\but they didn't offer any troops.\The fact we were allowed to pass shows they have affinity for us.\So now, as long as even one makes a move...\Please, somebody come.\That's... response:	Is that you, Boss? What are you doing here?
context: I'm sure the free Lords of Savis will take our side.\Yeah, but recall on the way over here, the Lords did let us pass,\but they didn't offer any troops.\The fact we were allowed to pass shows they have affinity for us.\So now, as long as even one makes a move...\Please, somebody come.\That's...\Is that you, Boss? What are you doing here? response:	It was Lord Theo and you, Lady Siluca, who saved our town.
context: Yeah, but recall on the way over here, the Lords did let us pass,\but they didn't offer any troops.\The fact we were allowed to pass shows they have affinity for us.\So now, as long as even one makes a move...\Please, somebody come.\That's...\Is that you, Boss? What are you doing here?\It was Lord Theo and you, Lady Siluca, who saved our town. response:	I can't just look away during your own crisis.
