context: To us of the demon clan, twins are taboo. response:	Please wait, Chief!
context: Yeah, I know I'm dumb, too!\But your sister is even dumber!\Listen, where I'm from there's a saying, Three heads are better than one.\Wait, is it two heads?\Whatever... The point is,\three heads, thinking together, are harder to break than only one arrow!\It means you should rely on\those around you instead of thinking about stuff alone! response:	Subaru-kun...
context: But your sister is even dumber!\Listen, where I'm from there's a saying, Three heads are better than one.\Wait, is it two heads?\Whatever... The point is,\three heads, thinking together, are harder to break than only one arrow!\It means you should rely on\those around you instead of thinking about stuff alone!\Subaru-kun... response:	Damn...
context: Listen, where I'm from there's a saying, Three heads are better than one.\Wait, is it two heads?\Whatever... The point is,\three heads, thinking together, are harder to break than only one arrow!\It means you should rely on\those around you instead of thinking about stuff alone!\Subaru-kun...\Damn... response:	Ram, which way should we run to get outside the barrier?
context: Wait, is it two heads?\Whatever... The point is,\three heads, thinking together, are harder to break than only one arrow!\It means you should rely on\those around you instead of thinking about stuff alone!\Subaru-kun...\Damn...\Ram, which way should we run to get outside the barrier? response:	We'd have to run left, at full speed. What's your plan?
context: Whatever... The point is,\three heads, thinking together, are harder to break than only one arrow!\It means you should rely on\those around you instead of thinking about stuff alone!\Subaru-kun...\Damn...\Ram, which way should we run to get outside the barrier?\We'd have to run left, at full speed. What's your plan? response:	I could shove Rem toward you and run tragically to the right
context: three heads, thinking together, are harder to break than only one arrow!\It means you should rely on\those around you instead of thinking about stuff alone!\Subaru-kun...\Damn...\Ram, which way should we run to get outside the barrier?\We'd have to run left, at full speed. What's your plan?\I could shove Rem toward you and run tragically to the right response:	I'll draw the ulgarm's attention,
context: It means you should rely on\those around you instead of thinking about stuff alone!\Subaru-kun...\Damn...\Ram, which way should we run to get outside the barrier?\We'd have to run left, at full speed. What's your plan?\I could shove Rem toward you and run tragically to the right\I'll draw the ulgarm's attention, response:	while you take Rem and run.
context: those around you instead of thinking about stuff alone!\Subaru-kun...\Damn...\Ram, which way should we run to get outside the barrier?\We'd have to run left, at full speed. What's your plan?\I could shove Rem toward you and run tragically to the right\I'll draw the ulgarm's attention,\while you take Rem and run. response:	Could you not expose my attempt at hiding my embarrassment so easily?!
context: Subaru-kun...\Damn...\Ram, which way should we run to get outside the barrier?\We'd have to run left, at full speed. What's your plan?\I could shove Rem toward you and run tragically to the right\I'll draw the ulgarm's attention,\while you take Rem and run.\Could you not expose my attempt at hiding my embarrassment so easily?! response:	There's no way you will survive.
context: Damn...\Ram, which way should we run to get outside the barrier?\We'd have to run left, at full speed. What's your plan?\I could shove Rem toward you and run tragically to the right\I'll draw the ulgarm's attention,\while you take Rem and run.\Could you not expose my attempt at hiding my embarrassment so easily?!\There's no way you will survive. response:	Please don't. If you do that, I will...
context: Ram, which way should we run to get outside the barrier?\We'd have to run left, at full speed. What's your plan?\I could shove Rem toward you and run tragically to the right\I'll draw the ulgarm's attention,\while you take Rem and run.\Could you not expose my attempt at hiding my embarrassment so easily?!\There's no way you will survive.\Please don't. If you do that, I will... response:	Don't worry.
context: We'd have to run left, at full speed. What's your plan?\I could shove Rem toward you and run tragically to the right\I'll draw the ulgarm's attention,\while you take Rem and run.\Could you not expose my attempt at hiding my embarrassment so easily?!\There's no way you will survive.\Please don't. If you do that, I will...\Don't worry. response:	You don't know my brilliant plan to round up all the mabeasts.
context: I could shove Rem toward you and run tragically to the right\I'll draw the ulgarm's attention,\while you take Rem and run.\Could you not expose my attempt at hiding my embarrassment so easily?!\There's no way you will survive.\Please don't. If you do that, I will...\Don't worry.\You don't know my brilliant plan to round up all the mabeasts. response:	Subaru-kun, why would you do all this?
context: I'll draw the ulgarm's attention,\while you take Rem and run.\Could you not expose my attempt at hiding my embarrassment so easily?!\There's no way you will survive.\Please don't. If you do that, I will...\Don't worry.\You don't know my brilliant plan to round up all the mabeasts.\Subaru-kun, why would you do all this? response:	Well...
context: while you take Rem and run.\Could you not expose my attempt at hiding my embarrassment so easily?!\There's no way you will survive.\Please don't. If you do that, I will...\Don't worry.\You don't know my brilliant plan to round up all the mabeasts.\Subaru-kun, why would you do all this?\Well... response:	You were my partner for my very first date.
context: Could you not expose my attempt at hiding my embarrassment so easily?!\There's no way you will survive.\Please don't. If you do that, I will...\Don't worry.\You don't know my brilliant plan to round up all the mabeasts.\Subaru-kun, why would you do all this?\Well...\You were my partner for my very first date. response:	I wouldn't be so heartless as to desert you.
context: There's no way you will survive.\Please don't. If you do that, I will...\Don't worry.\You don't know my brilliant plan to round up all the mabeasts.\Subaru-kun, why would you do all this?\Well...\You were my partner for my very first date.\I wouldn't be so heartless as to desert you. response:	All right, guess I'd better go and do this.
context: Please don't. If you do that, I will...\Don't worry.\You don't know my brilliant plan to round up all the mabeasts.\Subaru-kun, why would you do all this?\Well...\You were my partner for my very first date.\I wouldn't be so heartless as to desert you.\All right, guess I'd better go and do this. response:	Take care of Rem, Onee-sama!
context: Don't worry.\You don't know my brilliant plan to round up all the mabeasts.\Subaru-kun, why would you do all this?\Well...\You were my partner for my very first date.\I wouldn't be so heartless as to desert you.\All right, guess I'd better go and do this.\Take care of Rem, Onee-sama! response:	I'll be praying for our safe reunion, Barusu.
context: You don't know my brilliant plan to round up all the mabeasts.\Subaru-kun, why would you do all this?\Well...\You were my partner for my very first date.\I wouldn't be so heartless as to desert you.\All right, guess I'd better go and do this.\Take care of Rem, Onee-sama!\I'll be praying for our safe reunion, Barusu. response:	Barusu's risking his life to buy us time.
context: Subaru-kun, why would you do all this?\Well...\You were my partner for my very first date.\I wouldn't be so heartless as to desert you.\All right, guess I'd better go and do this.\Take care of Rem, Onee-sama!\I'll be praying for our safe reunion, Barusu.\Barusu's risking his life to buy us time. response:	Let's make the most of it.
context: Well...\You were my partner for my very first date.\I wouldn't be so heartless as to desert you.\All right, guess I'd better go and do this.\Take care of Rem, Onee-sama!\I'll be praying for our safe reunion, Barusu.\Barusu's risking his life to buy us time.\Let's make the most of it. response:	I'd love to finish you off right about now...
context: You were my partner for my very first date.\I wouldn't be so heartless as to desert you.\All right, guess I'd better go and do this.\Take care of Rem, Onee-sama!\I'll be praying for our safe reunion, Barusu.\Barusu's risking his life to buy us time.\Let's make the most of it.\I'd love to finish you off right about now... response:	I have an ace up my sleeve, too!
context: I wouldn't be so heartless as to desert you.\All right, guess I'd better go and do this.\Take care of Rem, Onee-sama!\I'll be praying for our safe reunion, Barusu.\Barusu's risking his life to buy us time.\Let's make the most of it.\I'd love to finish you off right about now...\I have an ace up my sleeve, too! response:	It's you and me, pal... Get ready!
context: All right, guess I'd better go and do this.\Take care of Rem, Onee-sama!\I'll be praying for our safe reunion, Barusu.\Barusu's risking his life to buy us time.\Let's make the most of it.\I'd love to finish you off right about now...\I have an ace up my sleeve, too!\It's you and me, pal... Get ready! response:	Sister! Subaru-kun is... Subaru-kun is...
context: Take care of Rem, Onee-sama!\I'll be praying for our safe reunion, Barusu.\Barusu's risking his life to buy us time.\Let's make the most of it.\I'd love to finish you off right about now...\I have an ace up my sleeve, too!\It's you and me, pal... Get ready!\Sister! Subaru-kun is... Subaru-kun is... response:	Don't look back, Rem.
context: I'll be praying for our safe reunion, Barusu.\Barusu's risking his life to buy us time.\Let's make the most of it.\I'd love to finish you off right about now...\I have an ace up my sleeve, too!\It's you and me, pal... Get ready!\Sister! Subaru-kun is... Subaru-kun is...\Don't look back, Rem. response:	Barusu's determination will be for nothing.
context: Barusu's risking his life to buy us time.\Let's make the most of it.\I'd love to finish you off right about now...\I have an ace up my sleeve, too!\It's you and me, pal... Get ready!\Sister! Subaru-kun is... Subaru-kun is...\Don't look back, Rem.\Barusu's determination will be for nothing. response:	Sissy!
context: Let's make the most of it.\I'd love to finish you off right about now...\I have an ace up my sleeve, too!\It's you and me, pal... Get ready!\Sister! Subaru-kun is... Subaru-kun is...\Don't look back, Rem.\Barusu's determination will be for nothing.\Sissy! response:	Subaru-kun!
context: I'd love to finish you off right about now...\I have an ace up my sleeve, too!\It's you and me, pal... Get ready!\Sister! Subaru-kun is... Subaru-kun is...\Don't look back, Rem.\Barusu's determination will be for nothing.\Sissy!\Subaru-kun! response:	Shamac!
context: I have an ace up my sleeve, too!\It's you and me, pal... Get ready!\Sister! Subaru-kun is... Subaru-kun is...\Don't look back, Rem.\Barusu's determination will be for nothing.\Sissy!\Subaru-kun!\Shamac! response:	I could do without the bugs, but I appreciate the bocco fruit!
context: It's you and me, pal... Get ready!\Sister! Subaru-kun is... Subaru-kun is...\Don't look back, Rem.\Barusu's determination will be for nothing.\Sissy!\Subaru-kun!\Shamac!\I could do without the bugs, but I appreciate the bocco fruit! response:	Thanks for that, brats.
context: Sister! Subaru-kun is... Subaru-kun is...\Don't look back, Rem.\Barusu's determination will be for nothing.\Sissy!\Subaru-kun!\Shamac!\I could do without the bugs, but I appreciate the bocco fruit!\Thanks for that, brats. response:	Crap
context: Don't look back, Rem.\Barusu's determination will be for nothing.\Sissy!\Subaru-kun!\Shamac!\I could do without the bugs, but I appreciate the bocco fruit!\Thanks for that, brats.\Crap response:	You need to die!
context: Barusu's determination will be for nothing.\Sissy!\Subaru-kun!\Shamac!\I could do without the bugs, but I appreciate the bocco fruit!\Thanks for that, brats.\Crap\You need to die! response:	What's the matter? Bring it on, boss garm!
context: Sissy!\Subaru-kun!\Shamac!\I could do without the bugs, but I appreciate the bocco fruit!\Thanks for that, brats.\Crap\You need to die!\What's the matter? Bring it on, boss garm! response:	Ulgoa!
context: Subaru-kun!\Shamac!\I could do without the bugs, but I appreciate the bocco fruit!\Thanks for that, brats.\Crap\You need to die!\What's the matter? Bring it on, boss garm!\Ulgoa! response:	Oh, my! You look an absolute fright!
context: Shamac!\I could do without the bugs, but I appreciate the bocco fruit!\Thanks for that, brats.\Crap\You need to die!\What's the matter? Bring it on, boss garm!\Ulgoa!\Oh, my! You look an absolute fright! response:	You're way late, Ros-chi...
context: I could do without the bugs, but I appreciate the bocco fruit!\Thanks for that, brats.\Crap\You need to die!\What's the matter? Bring it on, boss garm!\Ulgoa!\Oh, my! You look an absolute fright!\You're way late, Ros-chi... response:	But I'm surprised you knew where to find me.
context: Thanks for that, brats.\Crap\You need to die!\What's the matter? Bring it on, boss garm!\Ulgoa!\Oh, my! You look an absolute fright!\You're way late, Ros-chi...\But I'm surprised you knew where to find me. response:	In the village, Emilia-sama drove it into me quite thoroughly...
context: Crap\You need to die!\What's the matter? Bring it on, boss garm!\Ulgoa!\Oh, my! You look an absolute fright!\You're way late, Ros-chi...\But I'm surprised you knew where to find me.\In the village, Emilia-sama drove it into me quite thoroughly... response:	Even if it's rash or reckless, he'll use magic if he's cornered,
context: You need to die!\What's the matter? Bring it on, boss garm!\Ulgoa!\Oh, my! You look an absolute fright!\You're way late, Ros-chi...\But I'm surprised you knew where to find me.\In the village, Emilia-sama drove it into me quite thoroughly...\Even if it's rash or reckless, he'll use magic if he's cornered, response:	so don't lose sight of him from above, she said.
context: What's the matter? Bring it on, boss garm!\Ulgoa!\Oh, my! You look an absolute fright!\You're way late, Ros-chi...\But I'm surprised you knew where to find me.\In the village, Emilia-sama drove it into me quite thoroughly...\Even if it's rash or reckless, he'll use magic if he's cornered,\so don't lose sight of him from above, she said. response:	Roswaal-sama!
context: Ulgoa!\Oh, my! You look an absolute fright!\You're way late, Ros-chi...\But I'm surprised you knew where to find me.\In the village, Emilia-sama drove it into me quite thoroughly...\Even if it's rash or reckless, he'll use magic if he's cornered,\so don't lose sight of him from above, she said.\Roswaal-sama! response:	I am sorry to cause so much trouble for you!
context: Oh, my! You look an absolute fright!\You're way late, Ros-chi...\But I'm surprised you knew where to find me.\In the village, Emilia-sama drove it into me quite thoroughly...\Even if it's rash or reckless, he'll use magic if he's cornered,\so don't lose sight of him from above, she said.\Roswaal-sama!\I am sorry to cause so much trouble for you! response:	Oh, not at all.
context: You're way late, Ros-chi...\But I'm surprised you knew where to find me.\In the village, Emilia-sama drove it into me quite thoroughly...\Even if it's rash or reckless, he'll use magic if he's cornered,\so don't lose sight of him from above, she said.\Roswaal-sama!\I am sorry to cause so much trouble for you!\Oh, not at all. response:	In fact, you both did fine work in my absence.
context: But I'm surprised you knew where to find me.\In the village, Emilia-sama drove it into me quite thoroughly...\Even if it's rash or reckless, he'll use magic if he's cornered,\so don't lose sight of him from above, she said.\Roswaal-sama!\I am sorry to cause so much trouble for you!\Oh, not at all.\In fact, you both did fine work in my absence. response:	I shall most certainly show my gratitude for your actions.
context: In the village, Emilia-sama drove it into me quite thoroughly...\Even if it's rash or reckless, he'll use magic if he's cornered,\so don't lose sight of him from above, she said.\Roswaal-sama!\I am sorry to cause so much trouble for you!\Oh, not at all.\In fact, you both did fine work in my absence.\I shall most certainly show my gratitude for your actions. response:	You have my word.
context: Even if it's rash or reckless, he'll use magic if he's cornered,\so don't lose sight of him from above, she said.\Roswaal-sama!\I am sorry to cause so much trouble for you!\Oh, not at all.\In fact, you both did fine work in my absence.\I shall most certainly show my gratitude for your actions.\You have my word. response:	Subaru-kun!
context: so don't lose sight of him from above, she said.\Roswaal-sama!\I am sorry to cause so much trouble for you!\Oh, not at all.\In fact, you both did fine work in my absence.\I shall most certainly show my gratitude for your actions.\You have my word.\Subaru-kun! response:	Rem, that hurts! Stop!
context: Roswaal-sama!\I am sorry to cause so much trouble for you!\Oh, not at all.\In fact, you both did fine work in my absence.\I shall most certainly show my gratitude for your actions.\You have my word.\Subaru-kun!\Rem, that hurts! Stop! response:	I'm kinda hurt all over right now...
context: I am sorry to cause so much trouble for you!\Oh, not at all.\In fact, you both did fine work in my absence.\I shall most certainly show my gratitude for your actions.\You have my word.\Subaru-kun!\Rem, that hurts! Stop!\I'm kinda hurt all over right now... response:	You're alive... You stayed alive...
context: Oh, not at all.\In fact, you both did fine work in my absence.\I shall most certainly show my gratitude for your actions.\You have my word.\Subaru-kun!\Rem, that hurts! Stop!\I'm kinda hurt all over right now...\You're alive... You stayed alive... response:	Subaru-kun! Subaru-kun! Subaru-kun!
context: In fact, you both did fine work in my absence.\I shall most certainly show my gratitude for your actions.\You have my word.\Subaru-kun!\Rem, that hurts! Stop!\I'm kinda hurt all over right now...\You're alive... You stayed alive...\Subaru-kun! Subaru-kun! Subaru-kun! response:	This... again...
context: I shall most certainly show my gratitude for your actions.\You have my word.\Subaru-kun!\Rem, that hurts! Stop!\I'm kinda hurt all over right now...\You're alive... You stayed alive...\Subaru-kun! Subaru-kun! Subaru-kun!\This... again... response:	Are you awake?
context: You have my word.\Subaru-kun!\Rem, that hurts! Stop!\I'm kinda hurt all over right now...\You're alive... You stayed alive...\Subaru-kun! Subaru-kun! Subaru-kun!\This... again...\Are you awake? response:	Did I do this? Like, grabbed you and never let go?
context: Subaru-kun!\Rem, that hurts! Stop!\I'm kinda hurt all over right now...\You're alive... You stayed alive...\Subaru-kun! Subaru-kun! Subaru-kun!\This... again...\Are you awake?\Did I do this? Like, grabbed you and never let go? response:	No, um... This is, well...
context: Rem, that hurts! Stop!\I'm kinda hurt all over right now...\You're alive... You stayed alive...\Subaru-kun! Subaru-kun! Subaru-kun!\This... again...\Are you awake?\Did I do this? Like, grabbed you and never let go?\No, um... This is, well... response:	I did it.
context: I'm kinda hurt all over right now...\You're alive... You stayed alive...\Subaru-kun! Subaru-kun! Subaru-kun!\This... again...\Are you awake?\Did I do this? Like, grabbed you and never let go?\No, um... This is, well...\I did it. response:	While you slept, you looked as if you were in pain, so I...
context: You're alive... You stayed alive...\Subaru-kun! Subaru-kun! Subaru-kun!\This... again...\Are you awake?\Did I do this? Like, grabbed you and never let go?\No, um... This is, well...\I did it.\While you slept, you looked as if you were in pain, so I... response:	You held my hand?
context: Subaru-kun! Subaru-kun! Subaru-kun!\This... again...\Are you awake?\Did I do this? Like, grabbed you and never let go?\No, um... This is, well...\I did it.\While you slept, you looked as if you were in pain, so I...\You held my hand? response:	At times like these, I do not know what to do,
context: This... again...\Are you awake?\Did I do this? Like, grabbed you and never let go?\No, um... This is, well...\I did it.\While you slept, you looked as if you were in pain, so I...\You held my hand?\At times like these, I do not know what to do, response:	so I did what would have made me happiest, were I in your place.
context: Are you awake?\Did I do this? Like, grabbed you and never let go?\No, um... This is, well...\I did it.\While you slept, you looked as if you were in pain, so I...\You held my hand?\At times like these, I do not know what to do,\so I did what would have made me happiest, were I in your place. response:	Anyway, I'd like to hear the rest... I mean,
context: Did I do this? Like, grabbed you and never let go?\No, um... This is, well...\I did it.\While you slept, you looked as if you were in pain, so I...\You held my hand?\At times like these, I do not know what to do,\so I did what would have made me happiest, were I in your place.\Anyway, I'd like to hear the rest... I mean, response:	I'd like to know how it ended.
context: No, um... This is, well...\I did it.\While you slept, you looked as if you were in pain, so I...\You held my hand?\At times like these, I do not know what to do,\so I did what would have made me happiest, were I in your place.\Anyway, I'd like to hear the rest... I mean,\I'd like to know how it ended. response:	Were my curses removed?
context: I did it.\While you slept, you looked as if you were in pain, so I...\You held my hand?\At times like these, I do not know what to do,\so I did what would have made me happiest, were I in your place.\Anyway, I'd like to hear the rest... I mean,\I'd like to know how it ended.\Were my curses removed? response:	Yes. Roswaal-sama took care of all the mabeasts.
context: While you slept, you looked as if you were in pain, so I...\You held my hand?\At times like these, I do not know what to do,\so I did what would have made me happiest, were I in your place.\Anyway, I'd like to hear the rest... I mean,\I'd like to know how it ended.\Were my curses removed?\Yes. Roswaal-sama took care of all the mabeasts. response:	So there is no chance the curses will activate.
context: You held my hand?\At times like these, I do not know what to do,\so I did what would have made me happiest, were I in your place.\Anyway, I'd like to hear the rest... I mean,\I'd like to know how it ended.\Were my curses removed?\Yes. Roswaal-sama took care of all the mabeasts.\So there is no chance the curses will activate. response:	I am sorry, Subaru-kun.
context: At times like these, I do not know what to do,\so I did what would have made me happiest, were I in your place.\Anyway, I'd like to hear the rest... I mean,\I'd like to know how it ended.\Were my curses removed?\Yes. Roswaal-sama took care of all the mabeasts.\So there is no chance the curses will activate.\I am sorry, Subaru-kun. response:	Hey... Come on, lift your head, Rem.
context: so I did what would have made me happiest, were I in your place.\Anyway, I'd like to hear the rest... I mean,\I'd like to know how it ended.\Were my curses removed?\Yes. Roswaal-sama took care of all the mabeasts.\So there is no chance the curses will activate.\I am sorry, Subaru-kun.\Hey... Come on, lift your head, Rem. response:	There's nothing wrong with me.
context: Anyway, I'd like to hear the rest... I mean,\I'd like to know how it ended.\Were my curses removed?\Yes. Roswaal-sama took care of all the mabeasts.\So there is no chance the curses will activate.\I am sorry, Subaru-kun.\Hey... Come on, lift your head, Rem.\There's nothing wrong with me. response:	You always look calm,
context: I'd like to know how it ended.\Were my curses removed?\Yes. Roswaal-sama took care of all the mabeasts.\So there is no chance the curses will activate.\I am sorry, Subaru-kun.\Hey... Come on, lift your head, Rem.\There's nothing wrong with me.\You always look calm, response:	but you're not remotely calm or collected, are you?
context: Were my curses removed?\Yes. Roswaal-sama took care of all the mabeasts.\So there is no chance the curses will activate.\I am sorry, Subaru-kun.\Hey... Come on, lift your head, Rem.\There's nothing wrong with me.\You always look calm,\but you're not remotely calm or collected, are you? response:	I do realize
context: Yes. Roswaal-sama took care of all the mabeasts.\So there is no chance the curses will activate.\I am sorry, Subaru-kun.\Hey... Come on, lift your head, Rem.\There's nothing wrong with me.\You always look calm,\but you're not remotely calm or collected, are you?\I do realize response:	that I am a powerless and incompetent demon clan dropout.
context: So there is no chance the curses will activate.\I am sorry, Subaru-kun.\Hey... Come on, lift your head, Rem.\There's nothing wrong with me.\You always look calm,\but you're not remotely calm or collected, are you?\I do realize\that I am a powerless and incompetent demon clan dropout. response:	So no matter what I do, I can never match my sister.
context: I am sorry, Subaru-kun.\Hey... Come on, lift your head, Rem.\There's nothing wrong with me.\You always look calm,\but you're not remotely calm or collected, are you?\I do realize\that I am a powerless and incompetent demon clan dropout.\So no matter what I do, I can never match my sister. response:	I am merely her replacement,
context: Hey... Come on, lift your head, Rem.\There's nothing wrong with me.\You always look calm,\but you're not remotely calm or collected, are you?\I do realize\that I am a powerless and incompetent demon clan dropout.\So no matter what I do, I can never match my sister.\I am merely her replacement, response:	and I have always been inferior.
context: There's nothing wrong with me.\You always look calm,\but you're not remotely calm or collected, are you?\I do realize\that I am a powerless and incompetent demon clan dropout.\So no matter what I do, I can never match my sister.\I am merely her replacement,\and I have always been inferior. response:	Good for nothing.
context: You always look calm,\but you're not remotely calm or collected, are you?\I do realize\that I am a powerless and incompetent demon clan dropout.\So no matter what I do, I can never match my sister.\I am merely her replacement,\and I have always been inferior.\Good for nothing. response:	Why was I the one to keep my horn?
context: but you're not remotely calm or collected, are you?\I do realize\that I am a powerless and incompetent demon clan dropout.\So no matter what I do, I can never match my sister.\I am merely her replacement,\and I have always been inferior.\Good for nothing.\Why was I the one to keep my horn? response:	Why could Sister not be the one to keep hers?
context: I do realize\that I am a powerless and incompetent demon clan dropout.\So no matter what I do, I can never match my sister.\I am merely her replacement,\and I have always been inferior.\Good for nothing.\Why was I the one to keep my horn?\Why could Sister not be the one to keep hers? response:	Why was she born with only one horn?
context: that I am a powerless and incompetent demon clan dropout.\So no matter what I do, I can never match my sister.\I am merely her replacement,\and I have always been inferior.\Good for nothing.\Why was I the one to keep my horn?\Why could Sister not be the one to keep hers?\Why was she born with only one horn? response:	Why did... we have to be twins?
context: So no matter what I do, I can never match my sister.\I am merely her replacement,\and I have always been inferior.\Good for nothing.\Why was I the one to keep my horn?\Why could Sister not be the one to keep hers?\Why was she born with only one horn?\Why did... we have to be twins? response:	I apologize. That was a strange thing for me to say.
context: I am merely her replacement,\and I have always been inferior.\Good for nothing.\Why was I the one to keep my horn?\Why could Sister not be the one to keep hers?\Why was she born with only one horn?\Why did... we have to be twins?\I apologize. That was a strange thing for me to say. response:	Please forget it.
context: and I have always been inferior.\Good for nothing.\Why was I the one to keep my horn?\Why could Sister not be the one to keep hers?\Why was she born with only one horn?\Why did... we have to be twins?\I apologize. That was a strange thing for me to say.\Please forget it. response:	You know, Rem, you keep putting Ram on a pedestal
context: Good for nothing.\Why was I the one to keep my horn?\Why could Sister not be the one to keep hers?\Why was she born with only one horn?\Why did... we have to be twins?\I apologize. That was a strange thing for me to say.\Please forget it.\You know, Rem, you keep putting Ram on a pedestal response:	and undermining yourself,
context: Why was I the one to keep my horn?\Why could Sister not be the one to keep hers?\Why was she born with only one horn?\Why did... we have to be twins?\I apologize. That was a strange thing for me to say.\Please forget it.\You know, Rem, you keep putting Ram on a pedestal\and undermining yourself, response:	but if she were in your position,
context: Why could Sister not be the one to keep hers?\Why was she born with only one horn?\Why did... we have to be twins?\I apologize. That was a strange thing for me to say.\Please forget it.\You know, Rem, you keep putting Ram on a pedestal\and undermining yourself,\but if she were in your position, response:	I don't think she'd be any better off.
context: Why was she born with only one horn?\Why did... we have to be twins?\I apologize. That was a strange thing for me to say.\Please forget it.\You know, Rem, you keep putting Ram on a pedestal\and undermining yourself,\but if she were in your position,\I don't think she'd be any better off. response:	Ram is weaker than you, she can't cook,
context: Why did... we have to be twins?\I apologize. That was a strange thing for me to say.\Please forget it.\You know, Rem, you keep putting Ram on a pedestal\and undermining yourself,\but if she were in your position,\I don't think she'd be any better off.\Ram is weaker than you, she can't cook, response:	slacks off on the job, says mean things.
context: I apologize. That was a strange thing for me to say.\Please forget it.\You know, Rem, you keep putting Ram on a pedestal\and undermining yourself,\but if she were in your position,\I don't think she'd be any better off.\Ram is weaker than you, she can't cook,\slacks off on the job, says mean things. response:	Y-You're wrong!
context: Please forget it.\You know, Rem, you keep putting Ram on a pedestal\and undermining yourself,\but if she were in your position,\I don't think she'd be any better off.\Ram is weaker than you, she can't cook,\slacks off on the job, says mean things.\Y-You're wrong! response:	Sister's true self is more...
context: You know, Rem, you keep putting Ram on a pedestal\and undermining yourself,\but if she were in your position,\I don't think she'd be any better off.\Ram is weaker than you, she can't cook,\slacks off on the job, says mean things.\Y-You're wrong!\Sister's true self is more... response:	If she had her horn, you would not say...
context: and undermining yourself,\but if she were in your position,\I don't think she'd be any better off.\Ram is weaker than you, she can't cook,\slacks off on the job, says mean things.\Y-You're wrong!\Sister's true self is more...\If she had her horn, you would not say... response:	But Ram doesn't have her horn,
context: but if she were in your position,\I don't think she'd be any better off.\Ram is weaker than you, she can't cook,\slacks off on the job, says mean things.\Y-You're wrong!\Sister's true self is more...\If she had her horn, you would not say...\But Ram doesn't have her horn, response:	so I don't know that Ram.
context: I don't think she'd be any better off.\Ram is weaker than you, she can't cook,\slacks off on the job, says mean things.\Y-You're wrong!\Sister's true self is more...\If she had her horn, you would not say...\But Ram doesn't have her horn,\so I don't know that Ram. response:	I'm pretty sure you're the only one
context: Ram is weaker than you, she can't cook,\slacks off on the job, says mean things.\Y-You're wrong!\Sister's true self is more...\If she had her horn, you would not say...\But Ram doesn't have her horn,\so I don't know that Ram.\I'm pretty sure you're the only one response:	who cares whether she has a horn or not.
context: slacks off on the job, says mean things.\Y-You're wrong!\Sister's true self is more...\If she had her horn, you would not say...\But Ram doesn't have her horn,\so I don't know that Ram.\I'm pretty sure you're the only one\who cares whether she has a horn or not. response:	What Ram doesn't have, you do.
context: Y-You're wrong!\Sister's true self is more...\If she had her horn, you would not say...\But Ram doesn't have her horn,\so I don't know that Ram.\I'm pretty sure you're the only one\who cares whether she has a horn or not.\What Ram doesn't have, you do. response:	Just accept that.
context: Sister's true self is more...\If she had her horn, you would not say...\But Ram doesn't have her horn,\so I don't know that Ram.\I'm pretty sure you're the only one\who cares whether she has a horn or not.\What Ram doesn't have, you do.\Just accept that. response:	You're kind, hardworking, always do your best,
context: If she had her horn, you would not say...\But Ram doesn't have her horn,\so I don't know that Ram.\I'm pretty sure you're the only one\who cares whether she has a horn or not.\What Ram doesn't have, you do.\Just accept that.\You're kind, hardworking, always do your best, response:	and your chest is bigger than hers!
context: But Ram doesn't have her horn,\so I don't know that Ram.\I'm pretty sure you're the only one\who cares whether she has a horn or not.\What Ram doesn't have, you do.\Just accept that.\You're kind, hardworking, always do your best,\and your chest is bigger than hers! response:	If you hadn't been around, those dogs would've chewed me to death.
context: so I don't know that Ram.\I'm pretty sure you're the only one\who cares whether she has a horn or not.\What Ram doesn't have, you do.\Just accept that.\You're kind, hardworking, always do your best,\and your chest is bigger than hers!\If you hadn't been around, those dogs would've chewed me to death. response:	I was saved because you were there.
context: I'm pretty sure you're the only one\who cares whether she has a horn or not.\What Ram doesn't have, you do.\Just accept that.\You're kind, hardworking, always do your best,\and your chest is bigger than hers!\If you hadn't been around, those dogs would've chewed me to death.\I was saved because you were there. response:	And as you can see, I'm alive!
context: who cares whether she has a horn or not.\What Ram doesn't have, you do.\Just accept that.\You're kind, hardworking, always do your best,\and your chest is bigger than hers!\If you hadn't been around, those dogs would've chewed me to death.\I was saved because you were there.\And as you can see, I'm alive! response:	Not only because of your sister, but because of you.
context: What Ram doesn't have, you do.\Just accept that.\You're kind, hardworking, always do your best,\and your chest is bigger than hers!\If you hadn't been around, those dogs would've chewed me to death.\I was saved because you were there.\And as you can see, I'm alive!\Not only because of your sister, but because of you. response:	My true Sister could have done much more.
context: Just accept that.\You're kind, hardworking, always do your best,\and your chest is bigger than hers!\If you hadn't been around, those dogs would've chewed me to death.\I was saved because you were there.\And as you can see, I'm alive!\Not only because of your sister, but because of you.\My true Sister could have done much more. response:	Maybe so.
context: You're kind, hardworking, always do your best,\and your chest is bigger than hers!\If you hadn't been around, those dogs would've chewed me to death.\I was saved because you were there.\And as you can see, I'm alive!\Not only because of your sister, but because of you.\My true Sister could have done much more.\Maybe so. response:	But you were the one who was there for me.
context: and your chest is bigger than hers!\If you hadn't been around, those dogs would've chewed me to death.\I was saved because you were there.\And as you can see, I'm alive!\Not only because of your sister, but because of you.\My true Sister could have done much more.\Maybe so.\But you were the one who was there for me. response:	I'm glad you were there...
