context: If you're listening to this, then you're somehow related to Hei. response:	If the past hasn't changed, that is.
context: You need to tell them, so they won't make any mistakes.\T-Thank you.\Oh, please. No need to thank us.\You were nice enough to give me clothes to change into.\And on top of that, such nice clothes.\She's really happy about this.\You don't see that everyday.\Could she be a natural-born cosplayer? response:	I think this is our good deed for today.
context: T-Thank you.\Oh, please. No need to thank us.\You were nice enough to give me clothes to change into.\And on top of that, such nice clothes.\She's really happy about this.\You don't see that everyday.\Could she be a natural-born cosplayer?\I think this is our good deed for today. response:	What do you say we go out?
context: Oh, please. No need to thank us.\You were nice enough to give me clothes to change into.\And on top of that, such nice clothes.\She's really happy about this.\You don't see that everyday.\Could she be a natural-born cosplayer?\I think this is our good deed for today.\What do you say we go out? response:	Yeah, sounds great! Where should we go?
context: You were nice enough to give me clothes to change into.\And on top of that, such nice clothes.\She's really happy about this.\You don't see that everyday.\Could she be a natural-born cosplayer?\I think this is our good deed for today.\What do you say we go out?\Yeah, sounds great! Where should we go? response:	Ikebukuro.
context: And on top of that, such nice clothes.\She's really happy about this.\You don't see that everyday.\Could she be a natural-born cosplayer?\I think this is our good deed for today.\What do you say we go out?\Yeah, sounds great! Where should we go?\Ikebukuro. response:	She has great taste, I'm telling you!
context: She's really happy about this.\You don't see that everyday.\Could she be a natural-born cosplayer?\I think this is our good deed for today.\What do you say we go out?\Yeah, sounds great! Where should we go?\Ikebukuro.\She has great taste, I'm telling you! response:	She just asked to go visit Ikebukuro!
context: You don't see that everyday.\Could she be a natural-born cosplayer?\I think this is our good deed for today.\What do you say we go out?\Yeah, sounds great! Where should we go?\Ikebukuro.\She has great taste, I'm telling you!\She just asked to go visit Ikebukuro! response:	Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.
context: Could she be a natural-born cosplayer?\I think this is our good deed for today.\What do you say we go out?\Yeah, sounds great! Where should we go?\Ikebukuro.\She has great taste, I'm telling you!\She just asked to go visit Ikebukuro!\Perhaps she has been always wanting to walk the Maiden Road when she was in Russia. response:	Whoa, those pictures are awesome!
context: I think this is our good deed for today.\What do you say we go out?\Yeah, sounds great! Where should we go?\Ikebukuro.\She has great taste, I'm telling you!\She just asked to go visit Ikebukuro!\Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.\Whoa, those pictures are awesome! response:	So your mother is a photographer?
context: What do you say we go out?\Yeah, sounds great! Where should we go?\Ikebukuro.\She has great taste, I'm telling you!\She just asked to go visit Ikebukuro!\Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.\Whoa, those pictures are awesome!\So your mother is a photographer? response:	It would be great if she can come with us to the next event to take more pictures!
context: Yeah, sounds great! Where should we go?\Ikebukuro.\She has great taste, I'm telling you!\She just asked to go visit Ikebukuro!\Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.\Whoa, those pictures are awesome!\So your mother is a photographer?\It would be great if she can come with us to the next event to take more pictures! response:	But...
context: Ikebukuro.\She has great taste, I'm telling you!\She just asked to go visit Ikebukuro!\Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.\Whoa, those pictures are awesome!\So your mother is a photographer?\It would be great if she can come with us to the next event to take more pictures!\But... response:	She's just kidding.
context: She has great taste, I'm telling you!\She just asked to go visit Ikebukuro!\Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.\Whoa, those pictures are awesome!\So your mother is a photographer?\It would be great if she can come with us to the next event to take more pictures!\But...\She's just kidding. response:	It's not like we can ask for a professional to show up...
context: She just asked to go visit Ikebukuro!\Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.\Whoa, those pictures are awesome!\So your mother is a photographer?\It would be great if she can come with us to the next event to take more pictures!\But...\She's just kidding.\It's not like we can ask for a professional to show up... response:	I don't know where she is.
context: Perhaps she has been always wanting to walk the Maiden Road when she was in Russia.\Whoa, those pictures are awesome!\So your mother is a photographer?\It would be great if she can come with us to the next event to take more pictures!\But...\She's just kidding.\It's not like we can ask for a professional to show up...\I don't know where she is. response:	I was separated from her when I was still a young child.
context: Whoa, those pictures are awesome!\So your mother is a photographer?\It would be great if she can come with us to the next event to take more pictures!\But...\She's just kidding.\It's not like we can ask for a professional to show up...\I don't know where she is.\I was separated from her when I was still a young child. response:	Damn! You made me cry!
context: So your mother is a photographer?\It would be great if she can come with us to the next event to take more pictures!\But...\She's just kidding.\It's not like we can ask for a professional to show up...\I don't know where she is.\I was separated from her when I was still a young child.\Damn! You made me cry! response:	I see!
context: It would be great if she can come with us to the next event to take more pictures!\But...\She's just kidding.\It's not like we can ask for a professional to show up...\I don't know where she is.\I was separated from her when I was still a young child.\Damn! You made me cry!\I see! response:	You traversed through borders to find your mother!
context: But...\She's just kidding.\It's not like we can ask for a professional to show up...\I don't know where she is.\I was separated from her when I was still a young child.\Damn! You made me cry!\I see!\You traversed through borders to find your mother! response:	The further away someone is, the dearer they become.
context: She's just kidding.\It's not like we can ask for a professional to show up...\I don't know where she is.\I was separated from her when I was still a young child.\Damn! You made me cry!\I see!\You traversed through borders to find your mother!\The further away someone is, the dearer they become. response:	What the hell is this?
context: It's not like we can ask for a professional to show up...\I don't know where she is.\I was separated from her when I was still a young child.\Damn! You made me cry!\I see!\You traversed through borders to find your mother!\The further away someone is, the dearer they become.\What the hell is this? response:	What does it look like? A flying squirrel, of course.
context: I don't know where she is.\I was separated from her when I was still a young child.\Damn! You made me cry!\I see!\You traversed through borders to find your mother!\The further away someone is, the dearer they become.\What the hell is this?\What does it look like? A flying squirrel, of course. response:	Momonga.
context: I was separated from her when I was still a young child.\Damn! You made me cry!\I see!\You traversed through borders to find your mother!\The further away someone is, the dearer they become.\What the hell is this?\What does it look like? A flying squirrel, of course.\Momonga. response:	No, it's just that it's staring at me with a wicked look.
context: Damn! You made me cry!\I see!\You traversed through borders to find your mother!\The further away someone is, the dearer they become.\What the hell is this?\What does it look like? A flying squirrel, of course.\Momonga.\No, it's just that it's staring at me with a wicked look. response:	Maybe you pissed him off in your previous life.
context: I see!\You traversed through borders to find your mother!\The further away someone is, the dearer they become.\What the hell is this?\What does it look like? A flying squirrel, of course.\Momonga.\No, it's just that it's staring at me with a wicked look.\Maybe you pissed him off in your previous life. response:	Anyway, let's go and find her mother!
context: You traversed through borders to find your mother!\The further away someone is, the dearer they become.\What the hell is this?\What does it look like? A flying squirrel, of course.\Momonga.\No, it's just that it's staring at me with a wicked look.\Maybe you pissed him off in your previous life.\Anyway, let's go and find her mother! response:	Uh... it's not like that...
context: The further away someone is, the dearer they become.\What the hell is this?\What does it look like? A flying squirrel, of course.\Momonga.\No, it's just that it's staring at me with a wicked look.\Maybe you pissed him off in your previous life.\Anyway, let's go and find her mother!\Uh... it's not like that... response:	It's not going to happen.
context: What the hell is this?\What does it look like? A flying squirrel, of course.\Momonga.\No, it's just that it's staring at me with a wicked look.\Maybe you pissed him off in your previous life.\Anyway, let's go and find her mother!\Uh... it's not like that...\It's not going to happen. response:	Why not?
context: What does it look like? A flying squirrel, of course.\Momonga.\No, it's just that it's staring at me with a wicked look.\Maybe you pissed him off in your previous life.\Anyway, let's go and find her mother!\Uh... it's not like that...\It's not going to happen.\Why not? response:	What were those tears for?
context: Momonga.\No, it's just that it's staring at me with a wicked look.\Maybe you pissed him off in your previous life.\Anyway, let's go and find her mother!\Uh... it's not like that...\It's not going to happen.\Why not?\What were those tears for? response:	Those are two different things altogether.
context: No, it's just that it's staring at me with a wicked look.\Maybe you pissed him off in your previous life.\Anyway, let's go and find her mother!\Uh... it's not like that...\It's not going to happen.\Why not?\What were those tears for?\Those are two different things altogether. response:	We're professionals.
context: Maybe you pissed him off in your previous life.\Anyway, let's go and find her mother!\Uh... it's not like that...\It's not going to happen.\Why not?\What were those tears for?\Those are two different things altogether.\We're professionals. response:	We won't work for free.
context: Anyway, let's go and find her mother!\Uh... it's not like that...\It's not going to happen.\Why not?\What were those tears for?\Those are two different things altogether.\We're professionals.\We won't work for free. response:	She wouldn't be here if she had money!
context: Uh... it's not like that...\It's not going to happen.\Why not?\What were those tears for?\Those are two different things altogether.\We're professionals.\We won't work for free.\She wouldn't be here if she had money! response:	Hey, aren't we partners?
context: It's not going to happen.\Why not?\What were those tears for?\Those are two different things altogether.\We're professionals.\We won't work for free.\She wouldn't be here if she had money!\Hey, aren't we partners? response:	Don't try ripping them off with your usual tricks!
context: Why not?\What were those tears for?\Those are two different things altogether.\We're professionals.\We won't work for free.\She wouldn't be here if she had money!\Hey, aren't we partners?\Don't try ripping them off with your usual tricks! response:	H-Hey! Don't badmouth me!
context: What were those tears for?\Those are two different things altogether.\We're professionals.\We won't work for free.\She wouldn't be here if she had money!\Hey, aren't we partners?\Don't try ripping them off with your usual tricks!\H-Hey! Don't badmouth me! response:	I have...
context: Those are two different things altogether.\We're professionals.\We won't work for free.\She wouldn't be here if she had money!\Hey, aren't we partners?\Don't try ripping them off with your usual tricks!\H-Hey! Don't badmouth me!\I have... response:	I have some money, so get me to Ikebukuro...
context: We're professionals.\We won't work for free.\She wouldn't be here if she had money!\Hey, aren't we partners?\Don't try ripping them off with your usual tricks!\H-Hey! Don't badmouth me!\I have...\I have some money, so get me to Ikebukuro... response:	Roger! We'll do anything in our power to find her!
context: We won't work for free.\She wouldn't be here if she had money!\Hey, aren't we partners?\Don't try ripping them off with your usual tricks!\H-Hey! Don't badmouth me!\I have...\I have some money, so get me to Ikebukuro...\Roger! We'll do anything in our power to find her! response:	This is a tear-jerking, special reunion!
context: She wouldn't be here if she had money!\Hey, aren't we partners?\Don't try ripping them off with your usual tricks!\H-Hey! Don't badmouth me!\I have...\I have some money, so get me to Ikebukuro...\Roger! We'll do anything in our power to find her!\This is a tear-jerking, special reunion! response:	Aye, boss!
context: Hey, aren't we partners?\Don't try ripping them off with your usual tricks!\H-Hey! Don't badmouth me!\I have...\I have some money, so get me to Ikebukuro...\Roger! We'll do anything in our power to find her!\This is a tear-jerking, special reunion!\Aye, boss! response:	Uh... Excuse me...
context: Don't try ripping them off with your usual tricks!\H-Hey! Don't badmouth me!\I have...\I have some money, so get me to Ikebukuro...\Roger! We'll do anything in our power to find her!\This is a tear-jerking, special reunion!\Aye, boss!\Uh... Excuse me... response:	Wow, Tokyo is nothing like Russia.
context: H-Hey! Don't badmouth me!\I have...\I have some money, so get me to Ikebukuro...\Roger! We'll do anything in our power to find her!\This is a tear-jerking, special reunion!\Aye, boss!\Uh... Excuse me...\Wow, Tokyo is nothing like Russia. response:	Man, this place sure has changed.
context: I have...\I have some money, so get me to Ikebukuro...\Roger! We'll do anything in our power to find her!\This is a tear-jerking, special reunion!\Aye, boss!\Uh... Excuse me...\Wow, Tokyo is nothing like Russia.\Man, this place sure has changed. response:	Nope. Looks like she isn't there either.
context: I have some money, so get me to Ikebukuro...\Roger! We'll do anything in our power to find her!\This is a tear-jerking, special reunion!\Aye, boss!\Uh... Excuse me...\Wow, Tokyo is nothing like Russia.\Man, this place sure has changed.\Nope. Looks like she isn't there either. response:	She hadn't been back for a while, in fact.
context: Roger! We'll do anything in our power to find her!\This is a tear-jerking, special reunion!\Aye, boss!\Uh... Excuse me...\Wow, Tokyo is nothing like Russia.\Man, this place sure has changed.\Nope. Looks like she isn't there either.\She hadn't been back for a while, in fact. response:	That's going to be a real problem.
context: This is a tear-jerking, special reunion!\Aye, boss!\Uh... Excuse me...\Wow, Tokyo is nothing like Russia.\Man, this place sure has changed.\Nope. Looks like she isn't there either.\She hadn't been back for a while, in fact.\That's going to be a real problem. response:	What are we going to do?
context: Aye, boss!\Uh... Excuse me...\Wow, Tokyo is nothing like Russia.\Man, this place sure has changed.\Nope. Looks like she isn't there either.\She hadn't been back for a while, in fact.\That's going to be a real problem.\What are we going to do? response:	Not to worry. We've still got something up our sleeves.
context: Uh... Excuse me...\Wow, Tokyo is nothing like Russia.\Man, this place sure has changed.\Nope. Looks like she isn't there either.\She hadn't been back for a while, in fact.\That's going to be a real problem.\What are we going to do?\Not to worry. We've still got something up our sleeves. response:	Let's go to the next place.
context: Wow, Tokyo is nothing like Russia.\Man, this place sure has changed.\Nope. Looks like she isn't there either.\She hadn't been back for a while, in fact.\That's going to be a real problem.\What are we going to do?\Not to worry. We've still got something up our sleeves.\Let's go to the next place. response:	Yeah!
context: Man, this place sure has changed.\Nope. Looks like she isn't there either.\She hadn't been back for a while, in fact.\That's going to be a real problem.\What are we going to do?\Not to worry. We've still got something up our sleeves.\Let's go to the next place.\Yeah! response:	Are they harassing me?
context: Nope. Looks like she isn't there either.\She hadn't been back for a while, in fact.\That's going to be a real problem.\What are we going to do?\Not to worry. We've still got something up our sleeves.\Let's go to the next place.\Yeah!\Are they harassing me? response:	Why does the editor of that photobook have such a cat-filled place?!
context: She hadn't been back for a while, in fact.\That's going to be a real problem.\What are we going to do?\Not to worry. We've still got something up our sleeves.\Let's go to the next place.\Yeah!\Are they harassing me?\Why does the editor of that photobook have such a cat-filled place?! response:	He just changed his job.
context: That's going to be a real problem.\What are we going to do?\Not to worry. We've still got something up our sleeves.\Let's go to the next place.\Yeah!\Are they harassing me?\Why does the editor of that photobook have such a cat-filled place?!\He just changed his job. response:	The publication industry was hit by the bad economy too.
context: What are we going to do?\Not to worry. We've still got something up our sleeves.\Let's go to the next place.\Yeah!\Are they harassing me?\Why does the editor of that photobook have such a cat-filled place?!\He just changed his job.\The publication industry was hit by the bad economy too. response:	If she hasn't stopped there, she's probably at a photo shoot.
context: Not to worry. We've still got something up our sleeves.\Let's go to the next place.\Yeah!\Are they harassing me?\Why does the editor of that photobook have such a cat-filled place?!\He just changed his job.\The publication industry was hit by the bad economy too.\If she hasn't stopped there, she's probably at a photo shoot. response:	A photo shoot?
context: Let's go to the next place.\Yeah!\Are they harassing me?\Why does the editor of that photobook have such a cat-filled place?!\He just changed his job.\The publication industry was hit by the bad economy too.\If she hasn't stopped there, she's probably at a photo shoot.\A photo shoot? response:	It's a real pain when she's at a photo shoot.
context: Yeah!\Are they harassing me?\Why does the editor of that photobook have such a cat-filled place?!\He just changed his job.\The publication industry was hit by the bad economy too.\If she hasn't stopped there, she's probably at a photo shoot.\A photo shoot?\It's a real pain when she's at a photo shoot. response:	She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.
context: Are they harassing me?\Why does the editor of that photobook have such a cat-filled place?!\He just changed his job.\The publication industry was hit by the bad economy too.\If she hasn't stopped there, she's probably at a photo shoot.\A photo shoot?\It's a real pain when she's at a photo shoot.\She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her. response:	What kind of pictures has she been taking lately?
context: Why does the editor of that photobook have such a cat-filled place?!\He just changed his job.\The publication industry was hit by the bad economy too.\If she hasn't stopped there, she's probably at a photo shoot.\A photo shoot?\It's a real pain when she's at a photo shoot.\She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.\What kind of pictures has she been taking lately? response:	Let's see.
context: He just changed his job.\The publication industry was hit by the bad economy too.\If she hasn't stopped there, she's probably at a photo shoot.\A photo shoot?\It's a real pain when she's at a photo shoot.\She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.\What kind of pictures has she been taking lately?\Let's see. response:	Lately, she seems to be obsessed about the Gate.
context: The publication industry was hit by the bad economy too.\If she hasn't stopped there, she's probably at a photo shoot.\A photo shoot?\It's a real pain when she's at a photo shoot.\She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.\What kind of pictures has she been taking lately?\Let's see.\Lately, she seems to be obsessed about the Gate. response:	That's right?
context: If she hasn't stopped there, she's probably at a photo shoot.\A photo shoot?\It's a real pain when she's at a photo shoot.\She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.\What kind of pictures has she been taking lately?\Let's see.\Lately, she seems to be obsessed about the Gate.\That's right? response:	What's right?
context: A photo shoot?\It's a real pain when she's at a photo shoot.\She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.\What kind of pictures has she been taking lately?\Let's see.\Lately, she seems to be obsessed about the Gate.\That's right?\What's right? response:	I've got it!
context: It's a real pain when she's at a photo shoot.\She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.\What kind of pictures has she been taking lately?\Let's see.\Lately, she seems to be obsessed about the Gate.\That's right?\What's right?\I've got it! response:	Got what?
context: She has a fondness for freedom, like a cat. She would wander off somewhere and you could never find her.\What kind of pictures has she been taking lately?\Let's see.\Lately, she seems to be obsessed about the Gate.\That's right?\What's right?\I've got it!\Got what? response:	I see it, I see it, I see it now...!
context: What kind of pictures has she been taking lately?\Let's see.\Lately, she seems to be obsessed about the Gate.\That's right?\What's right?\I've got it!\Got what?\I see it, I see it, I see it now...! response:	Boss, are you okay?
context: Let's see.\Lately, she seems to be obsessed about the Gate.\That's right?\What's right?\I've got it!\Got what?\I see it, I see it, I see it now...!\Boss, are you okay? response:	Oh my, that's so lovely.
context: Lately, she seems to be obsessed about the Gate.\That's right?\What's right?\I've got it!\Got what?\I see it, I see it, I see it now...!\Boss, are you okay?\Oh my, that's so lovely. response:	It's like the Buddha's last moments.
context: That's right?\What's right?\I've got it!\Got what?\I see it, I see it, I see it now...!\Boss, are you okay?\Oh my, that's so lovely.\It's like the Buddha's last moments. response:	Why are you hiding Izanami's whereabouts even from us?!
context: What's right?\I've got it!\Got what?\I see it, I see it, I see it now...!\Boss, are you okay?\Oh my, that's so lovely.\It's like the Buddha's last moments.\Why are you hiding Izanami's whereabouts even from us?! response:	If BK201 finds out where Izanami is located, he will definitely go after her!
context: I've got it!\Got what?\I see it, I see it, I see it now...!\Boss, are you okay?\Oh my, that's so lovely.\It's like the Buddha's last moments.\Why are you hiding Izanami's whereabouts even from us?!\If BK201 finds out where Izanami is located, he will definitely go after her! response:	Now that BK201 has lost his powers, he's merely a gloomy gigolo!
context: Got what?\I see it, I see it, I see it now...!\Boss, are you okay?\Oh my, that's so lovely.\It's like the Buddha's last moments.\Why are you hiding Izanami's whereabouts even from us?!\If BK201 finds out where Izanami is located, he will definitely go after her!\Now that BK201 has lost his powers, he's merely a gloomy gigolo! response:	We cannot throw this chance away if we want to catch him!
context: I see it, I see it, I see it now...!\Boss, are you okay?\Oh my, that's so lovely.\It's like the Buddha's last moments.\Why are you hiding Izanami's whereabouts even from us?!\If BK201 finds out where Izanami is located, he will definitely go after her!\Now that BK201 has lost his powers, he's merely a gloomy gigolo!\We cannot throw this chance away if we want to catch him! response:	I never expected you two would be in agreement about this.
context: Boss, are you okay?\Oh my, that's so lovely.\It's like the Buddha's last moments.\Why are you hiding Izanami's whereabouts even from us?!\If BK201 finds out where Izanami is located, he will definitely go after her!\Now that BK201 has lost his powers, he's merely a gloomy gigolo!\We cannot throw this chance away if we want to catch him!\I never expected you two would be in agreement about this. response:	I'm not really hiding it just from you two.
context: Oh my, that's so lovely.\It's like the Buddha's last moments.\Why are you hiding Izanami's whereabouts even from us?!\If BK201 finds out where Izanami is located, he will definitely go after her!\Now that BK201 has lost his powers, he's merely a gloomy gigolo!\We cannot throw this chance away if we want to catch him!\I never expected you two would be in agreement about this.\I'm not really hiding it just from you two. response:	Everyone who's been in contact with her has had their memories erased.
context: It's like the Buddha's last moments.\Why are you hiding Izanami's whereabouts even from us?!\If BK201 finds out where Izanami is located, he will definitely go after her!\Now that BK201 has lost his powers, he's merely a gloomy gigolo!\We cannot throw this chance away if we want to catch him!\I never expected you two would be in agreement about this.\I'm not really hiding it just from you two.\Everyone who's been in contact with her has had their memories erased. response:	There are only a few people, including me, who know her whereabouts.
context: Why are you hiding Izanami's whereabouts even from us?!\If BK201 finds out where Izanami is located, he will definitely go after her!\Now that BK201 has lost his powers, he's merely a gloomy gigolo!\We cannot throw this chance away if we want to catch him!\I never expected you two would be in agreement about this.\I'm not really hiding it just from you two.\Everyone who's been in contact with her has had their memories erased.\There are only a few people, including me, who know her whereabouts. response:	I would imagine that no one will be able to see her again.
context: If BK201 finds out where Izanami is located, he will definitely go after her!\Now that BK201 has lost his powers, he's merely a gloomy gigolo!\We cannot throw this chance away if we want to catch him!\I never expected you two would be in agreement about this.\I'm not really hiding it just from you two.\Everyone who's been in contact with her has had their memories erased.\There are only a few people, including me, who know her whereabouts.\I would imagine that no one will be able to see her again. response:	Sheesh, he's really a party-pooper.
context: Now that BK201 has lost his powers, he's merely a gloomy gigolo!\We cannot throw this chance away if we want to catch him!\I never expected you two would be in agreement about this.\I'm not really hiding it just from you two.\Everyone who's been in contact with her has had their memories erased.\There are only a few people, including me, who know her whereabouts.\I would imagine that no one will be able to see her again.\Sheesh, he's really a party-pooper. response:	What's up?
context: We cannot throw this chance away if we want to catch him!\I never expected you two would be in agreement about this.\I'm not really hiding it just from you two.\Everyone who's been in contact with her has had their memories erased.\There are only a few people, including me, who know her whereabouts.\I would imagine that no one will be able to see her again.\Sheesh, he's really a party-pooper.\What's up? response:	You feeling warm down there because you can't see him, despite the fact he's so close?
context: I never expected you two would be in agreement about this.\I'm not really hiding it just from you two.\Everyone who's been in contact with her has had their memories erased.\There are only a few people, including me, who know her whereabouts.\I would imagine that no one will be able to see her again.\Sheesh, he's really a party-pooper.\What's up?\You feeling warm down there because you can't see him, despite the fact he's so close? response:	Let's go and search a bit more in the meantime.
context: I'm not really hiding it just from you two.\Everyone who's been in contact with her has had their memories erased.\There are only a few people, including me, who know her whereabouts.\I would imagine that no one will be able to see her again.\Sheesh, he's really a party-pooper.\What's up?\You feeling warm down there because you can't see him, despite the fact he's so close?\Let's go and search a bit more in the meantime. response:	Maybe someone else other than the Director might know where Izanami is.
context: Everyone who's been in contact with her has had their memories erased.\There are only a few people, including me, who know her whereabouts.\I would imagine that no one will be able to see her again.\Sheesh, he's really a party-pooper.\What's up?\You feeling warm down there because you can't see him, despite the fact he's so close?\Let's go and search a bit more in the meantime.\Maybe someone else other than the Director might know where Izanami is. response:	We can't rule out that BK201 won't do the same.
context: There are only a few people, including me, who know her whereabouts.\I would imagine that no one will be able to see her again.\Sheesh, he's really a party-pooper.\What's up?\You feeling warm down there because you can't see him, despite the fact he's so close?\Let's go and search a bit more in the meantime.\Maybe someone else other than the Director might know where Izanami is.\We can't rule out that BK201 won't do the same. response:	I want to see BK201.
context: I would imagine that no one will be able to see her again.\Sheesh, he's really a party-pooper.\What's up?\You feeling warm down there because you can't see him, despite the fact he's so close?\Let's go and search a bit more in the meantime.\Maybe someone else other than the Director might know where Izanami is.\We can't rule out that BK201 won't do the same.\I want to see BK201. response:	But if I were to trust the Mikata Documents...
context: Sheesh, he's really a party-pooper.\What's up?\You feeling warm down there because you can't see him, despite the fact he's so close?\Let's go and search a bit more in the meantime.\Maybe someone else other than the Director might know where Izanami is.\We can't rule out that BK201 won't do the same.\I want to see BK201.\But if I were to trust the Mikata Documents... response:	Izanagi looks at the false bottom of the sea, waiting for Izanami.
context: What's up?\You feeling warm down there because you can't see him, despite the fact he's so close?\Let's go and search a bit more in the meantime.\Maybe someone else other than the Director might know where Izanami is.\We can't rule out that BK201 won't do the same.\I want to see BK201.\But if I were to trust the Mikata Documents...\Izanagi looks at the false bottom of the sea, waiting for Izanami. response:	Izanami will eventually cross it, and those two will meet again.
context: You feeling warm down there because you can't see him, despite the fact he's so close?\Let's go and search a bit more in the meantime.\Maybe someone else other than the Director might know where Izanami is.\We can't rule out that BK201 won't do the same.\I want to see BK201.\But if I were to trust the Mikata Documents...\Izanagi looks at the false bottom of the sea, waiting for Izanami.\Izanami will eventually cross it, and those two will meet again. response:	When they meet, Heaven and Earth will be split asunder,
context: Let's go and search a bit more in the meantime.\Maybe someone else other than the Director might know where Izanami is.\We can't rule out that BK201 won't do the same.\I want to see BK201.\But if I were to trust the Mikata Documents...\Izanagi looks at the false bottom of the sea, waiting for Izanami.\Izanami will eventually cross it, and those two will meet again.\When they meet, Heaven and Earth will be split asunder, response:	and the Hell's Gate will appear.
context: Maybe someone else other than the Director might know where Izanami is.\We can't rule out that BK201 won't do the same.\I want to see BK201.\But if I were to trust the Mikata Documents...\Izanagi looks at the false bottom of the sea, waiting for Izanami.\Izanami will eventually cross it, and those two will meet again.\When they meet, Heaven and Earth will be split asunder,\and the Hell's Gate will appear. response:	From there will come something alien.
context: We can't rule out that BK201 won't do the same.\I want to see BK201.\But if I were to trust the Mikata Documents...\Izanagi looks at the false bottom of the sea, waiting for Izanami.\Izanami will eventually cross it, and those two will meet again.\When they meet, Heaven and Earth will be split asunder,\and the Hell's Gate will appear.\From there will come something alien. response:	And conflicts will continue forever.
context: I want to see BK201.\But if I were to trust the Mikata Documents...\Izanagi looks at the false bottom of the sea, waiting for Izanami.\Izanami will eventually cross it, and those two will meet again.\When they meet, Heaven and Earth will be split asunder,\and the Hell's Gate will appear.\From there will come something alien.\And conflicts will continue forever. response:	Such an abstract story.
context: But if I were to trust the Mikata Documents...\Izanagi looks at the false bottom of the sea, waiting for Izanami.\Izanami will eventually cross it, and those two will meet again.\When they meet, Heaven and Earth will be split asunder,\and the Hell's Gate will appear.\From there will come something alien.\And conflicts will continue forever.\Such an abstract story. response:	But I have a bad feeling about the meeting of Izanagi and Izanami.
context: Izanagi looks at the false bottom of the sea, waiting for Izanami.\Izanami will eventually cross it, and those two will meet again.\When they meet, Heaven and Earth will be split asunder,\and the Hell's Gate will appear.\From there will come something alien.\And conflicts will continue forever.\Such an abstract story.\But I have a bad feeling about the meeting of Izanagi and Izanami. response:	Episode 9 The Meeting Comes Suddenly One Day...
context: Izanami will eventually cross it, and those two will meet again.\When they meet, Heaven and Earth will be split asunder,\and the Hell's Gate will appear.\From there will come something alien.\And conflicts will continue forever.\Such an abstract story.\But I have a bad feeling about the meeting of Izanagi and Izanami.\Episode 9 The Meeting Comes Suddenly One Day... response:	I wonder why...
context: When they meet, Heaven and Earth will be split asunder,\and the Hell's Gate will appear.\From there will come something alien.\And conflicts will continue forever.\Such an abstract story.\But I have a bad feeling about the meeting of Izanagi and Izanami.\Episode 9 The Meeting Comes Suddenly One Day...\I wonder why... response:	I wanted to meet my mother that badly when I was young...
context: and the Hell's Gate will appear.\From there will come something alien.\And conflicts will continue forever.\Such an abstract story.\But I have a bad feeling about the meeting of Izanagi and Izanami.\Episode 9 The Meeting Comes Suddenly One Day...\I wonder why...\I wanted to meet my mother that badly when I was young... response:	But now...
context: From there will come something alien.\And conflicts will continue forever.\Such an abstract story.\But I have a bad feeling about the meeting of Izanagi and Izanami.\Episode 9 The Meeting Comes Suddenly One Day...\I wonder why...\I wanted to meet my mother that badly when I was young...\But now... response:	How many kilometers do you think we need to walk to find it?
context: And conflicts will continue forever.\Such an abstract story.\But I have a bad feeling about the meeting of Izanagi and Izanami.\Episode 9 The Meeting Comes Suddenly One Day...\I wonder why...\I wanted to meet my mother that badly when I was young...\But now...\How many kilometers do you think we need to walk to find it? response:	You got a plan?
context: Such an abstract story.\But I have a bad feeling about the meeting of Izanagi and Izanami.\Episode 9 The Meeting Comes Suddenly One Day...\I wonder why...\I wanted to meet my mother that badly when I was young...\But now...\How many kilometers do you think we need to walk to find it?\You got a plan? response:	Hold your horses, now.
context: But I have a bad feeling about the meeting of Izanagi and Izanami.\Episode 9 The Meeting Comes Suddenly One Day...\I wonder why...\I wanted to meet my mother that badly when I was young...\But now...\How many kilometers do you think we need to walk to find it?\You got a plan?\Hold your horses, now. response:	That's it!
context: Episode 9 The Meeting Comes Suddenly One Day...\I wonder why...\I wanted to meet my mother that badly when I was young...\But now...\How many kilometers do you think we need to walk to find it?\You got a plan?\Hold your horses, now.\That's it! response:	There's no mistake.
context: I wonder why...\I wanted to meet my mother that badly when I was young...\But now...\How many kilometers do you think we need to walk to find it?\You got a plan?\Hold your horses, now.\That's it!\There's no mistake. response:	She took the picture from here.
context: I wanted to meet my mother that badly when I was young...\But now...\How many kilometers do you think we need to walk to find it?\You got a plan?\Hold your horses, now.\That's it!\There's no mistake.\She took the picture from here. response:	Her mother will come back here for sure.
