context: Boobies, White Panties and Me response:	Don't move...
context: Weird...\Those fists have broken countless things and she's never been upset about it.\Whoopsie-doodle!\I wonder why...\Futaba-chan still won't come out.\Who cares?\I do...\You've been using that since we started school, huh? response:	Oh? You actually take good care of your things, don't you?
context: Those fists have broken countless things and she's never been upset about it.\Whoopsie-doodle!\I wonder why...\Futaba-chan still won't come out.\Who cares?\I do...\You've been using that since we started school, huh?\Oh? You actually take good care of your things, don't you? response:	What do you mean, actually?!
context: Whoopsie-doodle!\I wonder why...\Futaba-chan still won't come out.\Who cares?\I do...\You've been using that since we started school, huh?\Oh? You actually take good care of your things, don't you?\What do you mean, actually?! response:	She's been in there for two hours...
context: I wonder why...\Futaba-chan still won't come out.\Who cares?\I do...\You've been using that since we started school, huh?\Oh? You actually take good care of your things, don't you?\What do you mean, actually?!\She's been in there for two hours... response:	What're you doing?!
context: Futaba-chan still won't come out.\Who cares?\I do...\You've been using that since we started school, huh?\Oh? You actually take good care of your things, don't you?\What do you mean, actually?!\She's been in there for two hours...\What're you doing?! response:	Don't trouble yourself with me!
context: Who cares?\I do...\You've been using that since we started school, huh?\Oh? You actually take good care of your things, don't you?\What do you mean, actually?!\She's been in there for two hours...\What're you doing?!\Don't trouble yourself with me! response:	But that's your dogi, you're never without it!
context: I do...\You've been using that since we started school, huh?\Oh? You actually take good care of your things, don't you?\What do you mean, actually?!\She's been in there for two hours...\What're you doing?!\Don't trouble yourself with me!\But that's your dogi, you're never without it! response:	It's for Micchan!
context: You've been using that since we started school, huh?\Oh? You actually take good care of your things, don't you?\What do you mean, actually?!\She's been in there for two hours...\What're you doing?!\Don't trouble yourself with me!\But that's your dogi, you're never without it!\It's for Micchan! response:	This is about her pencil case, right?
context: Oh? You actually take good care of your things, don't you?\What do you mean, actually?!\She's been in there for two hours...\What're you doing?!\Don't trouble yourself with me!\But that's your dogi, you're never without it!\It's for Micchan!\This is about her pencil case, right? response:	She said she was going to get a new one.
context: What do you mean, actually?!\She's been in there for two hours...\What're you doing?!\Don't trouble yourself with me!\But that's your dogi, you're never without it!\It's for Micchan!\This is about her pencil case, right?\She said she was going to get a new one. response:	She loves that pencil case.
context: She's been in there for two hours...\What're you doing?!\Don't trouble yourself with me!\But that's your dogi, you're never without it!\It's for Micchan!\This is about her pencil case, right?\She said she was going to get a new one.\She loves that pencil case. response:	I didn't get that feeling, but...
context: What're you doing?!\Don't trouble yourself with me!\But that's your dogi, you're never without it!\It's for Micchan!\This is about her pencil case, right?\She said she was going to get a new one.\She loves that pencil case.\I didn't get that feeling, but... response:	School's out for the day.
context: Don't trouble yourself with me!\But that's your dogi, you're never without it!\It's for Micchan!\This is about her pencil case, right?\She said she was going to get a new one.\She loves that pencil case.\I didn't get that feeling, but...\School's out for the day. response:	You missed gym and didn't eat a thing,
context: But that's your dogi, you're never without it!\It's for Micchan!\This is about her pencil case, right?\She said she was going to get a new one.\She loves that pencil case.\I didn't get that feeling, but...\School's out for the day.\You missed gym and didn't eat a thing, response:	how long do you plan on staying there?
context: It's for Micchan!\This is about her pencil case, right?\She said she was going to get a new one.\She loves that pencil case.\I didn't get that feeling, but...\School's out for the day.\You missed gym and didn't eat a thing,\how long do you plan on staying there? response:	Here's some pudding from the cafe.
context: This is about her pencil case, right?\She said she was going to get a new one.\She loves that pencil case.\I didn't get that feeling, but...\School's out for the day.\You missed gym and didn't eat a thing,\how long do you plan on staying there?\Here's some pudding from the cafe. response:	For me?
context: She said she was going to get a new one.\She loves that pencil case.\I didn't get that feeling, but...\School's out for the day.\You missed gym and didn't eat a thing,\how long do you plan on staying there?\Here's some pudding from the cafe.\For me? response:	Yes, from Micchan.
context: She loves that pencil case.\I didn't get that feeling, but...\School's out for the day.\You missed gym and didn't eat a thing,\how long do you plan on staying there?\Here's some pudding from the cafe.\For me?\Yes, from Micchan. response:	Sh-Shut up!
context: I didn't get that feeling, but...\School's out for the day.\You missed gym and didn't eat a thing,\how long do you plan on staying there?\Here's some pudding from the cafe.\For me?\Yes, from Micchan.\Sh-Shut up! response:	Micchan!
context: School's out for the day.\You missed gym and didn't eat a thing,\how long do you plan on staying there?\Here's some pudding from the cafe.\For me?\Yes, from Micchan.\Sh-Shut up!\Micchan! response:	I-It's not because I was worried about you!
context: You missed gym and didn't eat a thing,\how long do you plan on staying there?\Here's some pudding from the cafe.\For me?\Yes, from Micchan.\Sh-Shut up!\Micchan!\I-It's not because I was worried about you! response:	Th-These...
context: how long do you plan on staying there?\Here's some pudding from the cafe.\For me?\Yes, from Micchan.\Sh-Shut up!\Micchan!\I-It's not because I was worried about you!\Th-These... response:	What's that?
context: Here's some pudding from the cafe.\For me?\Yes, from Micchan.\Sh-Shut up!\Micchan!\I-It's not because I was worried about you!\Th-These...\What's that? response:	Pencil cases...made from my dogi
context: For me?\Yes, from Micchan.\Sh-Shut up!\Micchan!\I-It's not because I was worried about you!\Th-These...\What's that?\Pencil cases...made from my dogi response:	Are you brain-dead?
context: Yes, from Micchan.\Sh-Shut up!\Micchan!\I-It's not because I was worried about you!\Th-These...\What's that?\Pencil cases...made from my dogi\Are you brain-dead? response:	Three?
context: Sh-Shut up!\Micchan!\I-It's not because I was worried about you!\Th-These...\What's that?\Pencil cases...made from my dogi\Are you brain-dead?\Three? response:	Daddy bought one of those pencil cases for each of us when we started school.
context: Micchan!\I-It's not because I was worried about you!\Th-These...\What's that?\Pencil cases...made from my dogi\Are you brain-dead?\Three?\Daddy bought one of those pencil cases for each of us when we started school. response:	Look!
context: I-It's not because I was worried about you!\Th-These...\What's that?\Pencil cases...made from my dogi\Are you brain-dead?\Three?\Daddy bought one of those pencil cases for each of us when we started school.\Look! response:	Look, we all have one!
context: Th-These...\What's that?\Pencil cases...made from my dogi\Are you brain-dead?\Three?\Daddy bought one of those pencil cases for each of us when we started school.\Look!\Look, we all have one! response:	How adorable!
context: What's that?\Pencil cases...made from my dogi\Are you brain-dead?\Three?\Daddy bought one of those pencil cases for each of us when we started school.\Look!\Look, we all have one!\How adorable! response:	Who's this little angel?!
context: Pencil cases...made from my dogi\Are you brain-dead?\Three?\Daddy bought one of those pencil cases for each of us when we started school.\Look!\Look, we all have one!\How adorable!\Who's this little angel?! response:	Wh-Why do you remember that, it was ages ago!
context: Are you brain-dead?\Three?\Daddy bought one of those pencil cases for each of us when we started school.\Look!\Look, we all have one!\How adorable!\Who's this little angel?!\Wh-Why do you remember that, it was ages ago! response:	These might not be able to replace them, but...
context: Three?\Daddy bought one of those pencil cases for each of us when we started school.\Look!\Look, we all have one!\How adorable!\Who's this little angel?!\Wh-Why do you remember that, it was ages ago!\These might not be able to replace them, but... response:	I thought Micchan would be happy if we all had the same kind again...
context: Daddy bought one of those pencil cases for each of us when we started school.\Look!\Look, we all have one!\How adorable!\Who's this little angel?!\Wh-Why do you remember that, it was ages ago!\These might not be able to replace them, but...\I thought Micchan would be happy if we all had the same kind again... response:	What is this crap?
context: Look!\Look, we all have one!\How adorable!\Who's this little angel?!\Wh-Why do you remember that, it was ages ago!\These might not be able to replace them, but...\I thought Micchan would be happy if we all had the same kind again...\What is this crap? response:	You thought this garbage would PLEASE me?
context: Look, we all have one!\How adorable!\Who's this little angel?!\Wh-Why do you remember that, it was ages ago!\These might not be able to replace them, but...\I thought Micchan would be happy if we all had the same kind again...\What is this crap?\You thought this garbage would PLEASE me? response:	Well, if you INSIST, I guess I'll use it.
context: How adorable!\Who's this little angel?!\Wh-Why do you remember that, it was ages ago!\These might not be able to replace them, but...\I thought Micchan would be happy if we all had the same kind again...\What is this crap?\You thought this garbage would PLEASE me?\Well, if you INSIST, I guess I'll use it. response:	Micchan!
context: Who's this little angel?!\Wh-Why do you remember that, it was ages ago!\These might not be able to replace them, but...\I thought Micchan would be happy if we all had the same kind again...\What is this crap?\You thought this garbage would PLEASE me?\Well, if you INSIST, I guess I'll use it.\Micchan! response:	All's well that ends well, I guess...
context: Wh-Why do you remember that, it was ages ago!\These might not be able to replace them, but...\I thought Micchan would be happy if we all had the same kind again...\What is this crap?\You thought this garbage would PLEASE me?\Well, if you INSIST, I guess I'll use it.\Micchan!\All's well that ends well, I guess... response:	I don't want one.
context: These might not be able to replace them, but...\I thought Micchan would be happy if we all had the same kind again...\What is this crap?\You thought this garbage would PLEASE me?\Well, if you INSIST, I guess I'll use it.\Micchan!\All's well that ends well, I guess...\I don't want one. response:	I'm home!
context: I thought Micchan would be happy if we all had the same kind again...\What is this crap?\You thought this garbage would PLEASE me?\Well, if you INSIST, I guess I'll use it.\Micchan!\All's well that ends well, I guess...\I don't want one.\I'm home! response:	Why are those filthy boys in MY room?
context: What is this crap?\You thought this garbage would PLEASE me?\Well, if you INSIST, I guess I'll use it.\Micchan!\All's well that ends well, I guess...\I don't want one.\I'm home!\Why are those filthy boys in MY room? response:	You all SHARE this room.
context: You thought this garbage would PLEASE me?\Well, if you INSIST, I guess I'll use it.\Micchan!\All's well that ends well, I guess...\I don't want one.\I'm home!\Why are those filthy boys in MY room?\You all SHARE this room. response:	We're still preparing our presentation for science class.
context: Well, if you INSIST, I guess I'll use it.\Micchan!\All's well that ends well, I guess...\I don't want one.\I'm home!\Why are those filthy boys in MY room?\You all SHARE this room.\We're still preparing our presentation for science class. response:	Hitoha didn't care?
context: Micchan!\All's well that ends well, I guess...\I don't want one.\I'm home!\Why are those filthy boys in MY room?\You all SHARE this room.\We're still preparing our presentation for science class.\Hitoha didn't care? response:	Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!
context: All's well that ends well, I guess...\I don't want one.\I'm home!\Why are those filthy boys in MY room?\You all SHARE this room.\We're still preparing our presentation for science class.\Hitoha didn't care?\Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples! response:	Fine, just finish up and get out!
context: I don't want one.\I'm home!\Why are those filthy boys in MY room?\You all SHARE this room.\We're still preparing our presentation for science class.\Hitoha didn't care?\Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!\Fine, just finish up and get out! response:	Man, girls' rooms just give off bad vibes.
context: I'm home!\Why are those filthy boys in MY room?\You all SHARE this room.\We're still preparing our presentation for science class.\Hitoha didn't care?\Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!\Fine, just finish up and get out!\Man, girls' rooms just give off bad vibes. response:	Then go away NOW!
context: Why are those filthy boys in MY room?\You all SHARE this room.\We're still preparing our presentation for science class.\Hitoha didn't care?\Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!\Fine, just finish up and get out!\Man, girls' rooms just give off bad vibes.\Then go away NOW! response:	I don't mean to be rude, but we can't get anything done if you keep bugging us.
context: You all SHARE this room.\We're still preparing our presentation for science class.\Hitoha didn't care?\Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!\Fine, just finish up and get out!\Man, girls' rooms just give off bad vibes.\Then go away NOW!\I don't mean to be rude, but we can't get anything done if you keep bugging us. response:	Wha-
context: We're still preparing our presentation for science class.\Hitoha didn't care?\Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!\Fine, just finish up and get out!\Man, girls' rooms just give off bad vibes.\Then go away NOW!\I don't mean to be rude, but we can't get anything done if you keep bugging us.\Wha- response:	Well excuse me if I can't understand an honor student's thought processes!
context: Hitoha didn't care?\Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!\Fine, just finish up and get out!\Man, girls' rooms just give off bad vibes.\Then go away NOW!\I don't mean to be rude, but we can't get anything done if you keep bugging us.\Wha-\Well excuse me if I can't understand an honor student's thought processes! response:	So, Futaba can do the diagrams of the flow of current-
context: Hitoha's at the pet shop getting a bunch of on-sale hamster food for Nipples!\Fine, just finish up and get out!\Man, girls' rooms just give off bad vibes.\Then go away NOW!\I don't mean to be rude, but we can't get anything done if you keep bugging us.\Wha-\Well excuse me if I can't understand an honor student's thought processes!\So, Futaba can do the diagrams of the flow of current- response:	Wh-What're you drawing?!
context: Fine, just finish up and get out!\Man, girls' rooms just give off bad vibes.\Then go away NOW!\I don't mean to be rude, but we can't get anything done if you keep bugging us.\Wha-\Well excuse me if I can't understand an honor student's thought processes!\So, Futaba can do the diagrams of the flow of current-\Wh-What're you drawing?! response:	Are they too big?
context: Man, girls' rooms just give off bad vibes.\Then go away NOW!\I don't mean to be rude, but we can't get anything done if you keep bugging us.\Wha-\Well excuse me if I can't understand an honor student's thought processes!\So, Futaba can do the diagrams of the flow of current-\Wh-What're you drawing?!\Are they too big? response:	That's not the issue! You're supposed to draw a circuit diagram!
context: Then go away NOW!\I don't mean to be rude, but we can't get anything done if you keep bugging us.\Wha-\Well excuse me if I can't understand an honor student's thought processes!\So, Futaba can do the diagrams of the flow of current-\Wh-What're you drawing?!\Are they too big?\That's not the issue! You're supposed to draw a circuit diagram! response:	You moron, Futaba! Look what you've done!
context: I don't mean to be rude, but we can't get anything done if you keep bugging us.\Wha-\Well excuse me if I can't understand an honor student's thought processes!\So, Futaba can do the diagrams of the flow of current-\Wh-What're you drawing?!\Are they too big?\That's not the issue! You're supposed to draw a circuit diagram!\You moron, Futaba! Look what you've done! response:	Go buy a new piece of posterboard right now!
context: Wha-\Well excuse me if I can't understand an honor student's thought processes!\So, Futaba can do the diagrams of the flow of current-\Wh-What're you drawing?!\Are they too big?\That's not the issue! You're supposed to draw a circuit diagram!\You moron, Futaba! Look what you've done!\Go buy a new piece of posterboard right now! response:	O-Okay!
context: Well excuse me if I can't understand an honor student's thought processes!\So, Futaba can do the diagrams of the flow of current-\Wh-What're you drawing?!\Are they too big?\That's not the issue! You're supposed to draw a circuit diagram!\You moron, Futaba! Look what you've done!\Go buy a new piece of posterboard right now!\O-Okay! response:	Wow Chiba, you're not usually so serious about homework.
context: So, Futaba can do the diagrams of the flow of current-\Wh-What're you drawing?!\Are they too big?\That's not the issue! You're supposed to draw a circuit diagram!\You moron, Futaba! Look what you've done!\Go buy a new piece of posterboard right now!\O-Okay!\Wow Chiba, you're not usually so serious about homework. response:	Fools!
context: Wh-What're you drawing?!\Are they too big?\That's not the issue! You're supposed to draw a circuit diagram!\You moron, Futaba! Look what you've done!\Go buy a new piece of posterboard right now!\O-Okay!\Wow Chiba, you're not usually so serious about homework.\Fools! response:	Hey!
context: Are they too big?\That's not the issue! You're supposed to draw a circuit diagram!\You moron, Futaba! Look what you've done!\Go buy a new piece of posterboard right now!\O-Okay!\Wow Chiba, you're not usually so serious about homework.\Fools!\Hey! response:	This's our chance, Satou!
context: That's not the issue! You're supposed to draw a circuit diagram!\You moron, Futaba! Look what you've done!\Go buy a new piece of posterboard right now!\O-Okay!\Wow Chiba, you're not usually so serious about homework.\Fools!\Hey!\This's our chance, Satou! response:	We must find the precious!
context: You moron, Futaba! Look what you've done!\Go buy a new piece of posterboard right now!\O-Okay!\Wow Chiba, you're not usually so serious about homework.\Fools!\Hey!\This's our chance, Satou!\We must find the precious! response:	What's a precious?
context: Go buy a new piece of posterboard right now!\O-Okay!\Wow Chiba, you're not usually so serious about homework.\Fools!\Hey!\This's our chance, Satou!\We must find the precious!\What's a precious? response:	The hidden treasure that waits in a girl's bedroom,
context: O-Okay!\Wow Chiba, you're not usually so serious about homework.\Fools!\Hey!\This's our chance, Satou!\We must find the precious!\What's a precious?\The hidden treasure that waits in a girl's bedroom, response:	treasure beyond a man's wildest dreams.
context: Wow Chiba, you're not usually so serious about homework.\Fools!\Hey!\This's our chance, Satou!\We must find the precious!\What's a precious?\The hidden treasure that waits in a girl's bedroom,\treasure beyond a man's wildest dreams. response:	I don't get it.
context: Fools!\Hey!\This's our chance, Satou!\We must find the precious!\What's a precious?\The hidden treasure that waits in a girl's bedroom,\treasure beyond a man's wildest dreams.\I don't get it. response:	S-Stop!
context: Hey!\This's our chance, Satou!\We must find the precious!\What's a precious?\The hidden treasure that waits in a girl's bedroom,\treasure beyond a man's wildest dreams.\I don't get it.\S-Stop! response:	Cut it out, you can't just raid someone's room!
context: This's our chance, Satou!\We must find the precious!\What's a precious?\The hidden treasure that waits in a girl's bedroom,\treasure beyond a man's wildest dreams.\I don't get it.\S-Stop!\Cut it out, you can't just raid someone's room! response:	Let's see if you still say that after seeing THIS.
context: We must find the precious!\What's a precious?\The hidden treasure that waits in a girl's bedroom,\treasure beyond a man's wildest dreams.\I don't get it.\S-Stop!\Cut it out, you can't just raid someone's room!\Let's see if you still say that after seeing THIS. response:	P-Panties...
context: What's a precious?\The hidden treasure that waits in a girl's bedroom,\treasure beyond a man's wildest dreams.\I don't get it.\S-Stop!\Cut it out, you can't just raid someone's room!\Let's see if you still say that after seeing THIS.\P-Panties... response:	Yeah...they're beautiful.
context: The hidden treasure that waits in a girl's bedroom,\treasure beyond a man's wildest dreams.\I don't get it.\S-Stop!\Cut it out, you can't just raid someone's room!\Let's see if you still say that after seeing THIS.\P-Panties...\Yeah...they're beautiful. response:	Okay, who wears which panties?
context: treasure beyond a man's wildest dreams.\I don't get it.\S-Stop!\Cut it out, you can't just raid someone's room!\Let's see if you still say that after seeing THIS.\P-Panties...\Yeah...they're beautiful.\Okay, who wears which panties? response:	What is this, a game show?
context: I don't get it.\S-Stop!\Cut it out, you can't just raid someone's room!\Let's see if you still say that after seeing THIS.\P-Panties...\Yeah...they're beautiful.\Okay, who wears which panties?\What is this, a game show? response:	Plus I can't tell.
context: S-Stop!\Cut it out, you can't just raid someone's room!\Let's see if you still say that after seeing THIS.\P-Panties...\Yeah...they're beautiful.\Okay, who wears which panties?\What is this, a game show?\Plus I can't tell. response:	Look, that's enough, we came here to work, not gawk at panties.
context: Cut it out, you can't just raid someone's room!\Let's see if you still say that after seeing THIS.\P-Panties...\Yeah...they're beautiful.\Okay, who wears which panties?\What is this, a game show?\Plus I can't tell.\Look, that's enough, we came here to work, not gawk at panties. response:	You're such a stick in the mud, dude.
context: Let's see if you still say that after seeing THIS.\P-Panties...\Yeah...they're beautiful.\Okay, who wears which panties?\What is this, a game show?\Plus I can't tell.\Look, that's enough, we came here to work, not gawk at panties.\You're such a stick in the mud, dude. response:	What are you, a cop?
context: P-Panties...\Yeah...they're beautiful.\Okay, who wears which panties?\What is this, a game show?\Plus I can't tell.\Look, that's enough, we came here to work, not gawk at panties.\You're such a stick in the mud, dude.\What are you, a cop? response:	Someone's coming!
context: Yeah...they're beautiful.\Okay, who wears which panties?\What is this, a game show?\Plus I can't tell.\Look, that's enough, we came here to work, not gawk at panties.\You're such a stick in the mud, dude.\What are you, a cop?\Someone's coming! response:	Futaba's back already?
context: Okay, who wears which panties?\What is this, a game show?\Plus I can't tell.\Look, that's enough, we came here to work, not gawk at panties.\You're such a stick in the mud, dude.\What are you, a cop?\Someone's coming!\Futaba's back already? response:	Crap...close, close!
context: What is this, a game show?\Plus I can't tell.\Look, that's enough, we came here to work, not gawk at panties.\You're such a stick in the mud, dude.\What are you, a cop?\Someone's coming!\Futaba's back already?\Crap...close, close! response:	What?
context: Plus I can't tell.\Look, that's enough, we came here to work, not gawk at panties.\You're such a stick in the mud, dude.\What are you, a cop?\Someone's coming!\Futaba's back already?\Crap...close, close!\What? response:	Bear!
context: Look, that's enough, we came here to work, not gawk at panties.\You're such a stick in the mud, dude.\What are you, a cop?\Someone's coming!\Futaba's back already?\Crap...close, close!\What?\Bear! response:	What're you doing, you idiot?!
context: You're such a stick in the mud, dude.\What are you, a cop?\Someone's coming!\Futaba's back already?\Crap...close, close!\What?\Bear!\What're you doing, you idiot?! response:	Excuse me!
context: What are you, a cop?\Someone's coming!\Futaba's back already?\Crap...close, close!\What?\Bear!\What're you doing, you idiot?!\Excuse me! response:	Where's Futaba?
context: Someone's coming!\Futaba's back already?\Crap...close, close!\What?\Bear!\What're you doing, you idiot?!\Excuse me!\Where's Futaba? response:	To get more posterboard...
context: Futaba's back already?\Crap...close, close!\What?\Bear!\What're you doing, you idiot?!\Excuse me!\Where's Futaba?\To get more posterboard... response:	You two aren't messing with our room, are you?
context: Crap...close, close!\What?\Bear!\What're you doing, you idiot?!\Excuse me!\Where's Futaba?\To get more posterboard...\You two aren't messing with our room, are you? response:	O-O-O-Of course not!
context: What?\Bear!\What're you doing, you idiot?!\Excuse me!\Where's Futaba?\To get more posterboard...\You two aren't messing with our room, are you?\O-O-O-Of course not! response:	We're not doing anything, please leave us alone so we can work!
context: Bear!\What're you doing, you idiot?!\Excuse me!\Where's Futaba?\To get more posterboard...\You two aren't messing with our room, are you?\O-O-O-Of course not!\We're not doing anything, please leave us alone so we can work! response:	Yeah...and do it without turning around.
context: What're you doing, you idiot?!\Excuse me!\Where's Futaba?\To get more posterboard...\You two aren't messing with our room, are you?\O-O-O-Of course not!\We're not doing anything, please leave us alone so we can work!\Yeah...and do it without turning around. response:	If I catch you doing anything you're dead meat!
context: Excuse me!\Where's Futaba?\To get more posterboard...\You two aren't messing with our room, are you?\O-O-O-Of course not!\We're not doing anything, please leave us alone so we can work!\Yeah...and do it without turning around.\If I catch you doing anything you're dead meat! response:	Bear!
context: Where's Futaba?\To get more posterboard...\You two aren't messing with our room, are you?\O-O-O-Of course not!\We're not doing anything, please leave us alone so we can work!\Yeah...and do it without turning around.\If I catch you doing anything you're dead meat!\Bear! response:	Catch!
context: To get more posterboard...\You two aren't messing with our room, are you?\O-O-O-Of course not!\We're not doing anything, please leave us alone so we can work!\Yeah...and do it without turning around.\If I catch you doing anything you're dead meat!\Bear!\Catch! response:	Put them...
context: You two aren't messing with our room, are you?\O-O-O-Of course not!\We're not doing anything, please leave us alone so we can work!\Yeah...and do it without turning around.\If I catch you doing anything you're dead meat!\Bear!\Catch!\Put them... response:	back!
context: O-O-O-Of course not!\We're not doing anything, please leave us alone so we can work!\Yeah...and do it without turning around.\If I catch you doing anything you're dead meat!\Bear!\Catch!\Put them...\back! response:	You dirty rat!
context: We're not doing anything, please leave us alone so we can work!\Yeah...and do it without turning around.\If I catch you doing anything you're dead meat!\Bear!\Catch!\Put them...\back!\You dirty rat! response:	You took them out,
context: Yeah...and do it without turning around.\If I catch you doing anything you're dead meat!\Bear!\Catch!\Put them...\back!\You dirty rat!\You took them out, response:	you do it!
context: If I catch you doing anything you're dead meat!\Bear!\Catch!\Put them...\back!\You dirty rat!\You took them out,\you do it! response:	He's good!
context: Bear!\Catch!\Put them...\back!\You dirty rat!\You took them out,\you do it!\He's good! response:	Pretty good, Mr. Ace Striker!
context: Catch!\Put them...\back!\You dirty rat!\You took them out,\you do it!\He's good!\Pretty good, Mr. Ace Striker! response:	You're not bad yourself!
context: Put them...\back!\You dirty rat!\You took them out,\you do it!\He's good!\Pretty good, Mr. Ace Striker!\You're not bad yourself! response:	Futaba, you butthead!
context: back!\You dirty rat!\You took them out,\you do it!\He's good!\Pretty good, Mr. Ace Striker!\You're not bad yourself!\Futaba, you butthead! response:	Why did you leave them alone in our room?!
context: You dirty rat!\You took them out,\you do it!\He's good!\Pretty good, Mr. Ace Striker!\You're not bad yourself!\Futaba, you butthead!\Why did you leave them alone in our room?! response:	Why not?
context: You took them out,\you do it!\He's good!\Pretty good, Mr. Ace Striker!\You're not bad yourself!\Futaba, you butthead!\Why did you leave them alone in our room?!\Why not? response:	Who knows what they're doing!
context: you do it!\He's good!\Pretty good, Mr. Ace Striker!\You're not bad yourself!\Futaba, you butthead!\Why did you leave them alone in our room?!\Why not?\Who knows what they're doing! response:	Listen, it sounds like they're having fun in there!
context: He's good!\Pretty good, Mr. Ace Striker!\You're not bad yourself!\Futaba, you butthead!\Why did you leave them alone in our room?!\Why not?\Who knows what they're doing!\Listen, it sounds like they're having fun in there! response:	My expert panty-profiling skills say these are Futaba's!
context: Pretty good, Mr. Ace Striker!\You're not bad yourself!\Futaba, you butthead!\Why did you leave them alone in our room?!\Why not?\Who knows what they're doing!\Listen, it sounds like they're having fun in there!\My expert panty-profiling skills say these are Futaba's! response:	What a baby, huh?
context: You're not bad yourself!\Futaba, you butthead!\Why did you leave them alone in our room?!\Why not?\Who knows what they're doing!\Listen, it sounds like they're having fun in there!\My expert panty-profiling skills say these are Futaba's!\What a baby, huh? response:	Too high, you idiot!
context: Futaba, you butthead!\Why did you leave them alone in our room?!\Why not?\Who knows what they're doing!\Listen, it sounds like they're having fun in there!\My expert panty-profiling skills say these are Futaba's!\What a baby, huh?\Too high, you idiot! response:	Header, Satou!
context: Why did you leave them alone in our room?!\Why not?\Who knows what they're doing!\Listen, it sounds like they're having fun in there!\My expert panty-profiling skills say these are Futaba's!\What a baby, huh?\Too high, you idiot!\Header, Satou! response:	Here goes!
context: Why not?\Who knows what they're doing!\Listen, it sounds like they're having fun in there!\My expert panty-profiling skills say these are Futaba's!\What a baby, huh?\Too high, you idiot!\Header, Satou!\Here goes! response:	BEAR!
context: Who knows what they're doing!\Listen, it sounds like they're having fun in there!\My expert panty-profiling skills say these are Futaba's!\What a baby, huh?\Too high, you idiot!\Header, Satou!\Here goes!\BEAR! response:	I-It's not what you think, Futaba!
context: Listen, it sounds like they're having fun in there!\My expert panty-profiling skills say these are Futaba's!\What a baby, huh?\Too high, you idiot!\Header, Satou!\Here goes!\BEAR!\I-It's not what you think, Futaba! response:	I didn't put your little girl panties on my head on purpose!
context: My expert panty-profiling skills say these are Futaba's!\What a baby, huh?\Too high, you idiot!\Header, Satou!\Here goes!\BEAR!\I-It's not what you think, Futaba!\I didn't put your little girl panties on my head on purpose! response:	SHUT UP!
context: What a baby, huh?\Too high, you idiot!\Header, Satou!\Here goes!\BEAR!\I-It's not what you think, Futaba!\I didn't put your little girl panties on my head on purpose!\SHUT UP! response:	Oh God!
context: Too high, you idiot!\Header, Satou!\Here goes!\BEAR!\I-It's not what you think, Futaba!\I didn't put your little girl panties on my head on purpose!\SHUT UP!\Oh God! response:	Mitsudomoe!
context: Header, Satou!\Here goes!\BEAR!\I-It's not what you think, Futaba!\I didn't put your little girl panties on my head on purpose!\SHUT UP!\Oh God!\Mitsudomoe! response:	Morning, Satou-kun!
context: Here goes!\BEAR!\I-It's not what you think, Futaba!\I didn't put your little girl panties on my head on purpose!\SHUT UP!\Oh God!\Mitsudomoe!\Morning, Satou-kun! response:	Good morning!
context: BEAR!\I-It's not what you think, Futaba!\I didn't put your little girl panties on my head on purpose!\SHUT UP!\Oh God!\Mitsudomoe!\Morning, Satou-kun!\Good morning! response:	I caught you, you perv!
context: I-It's not what you think, Futaba!\I didn't put your little girl panties on my head on purpose!\SHUT UP!\Oh God!\Mitsudomoe!\Morning, Satou-kun!\Good morning!\I caught you, you perv! response:	Am not!
context: I didn't put your little girl panties on my head on purpose!\SHUT UP!\Oh God!\Mitsudomoe!\Morning, Satou-kun!\Good morning!\I caught you, you perv!\Am not! response:	That was just an accident!
context: SHUT UP!\Oh God!\Mitsudomoe!\Morning, Satou-kun!\Good morning!\I caught you, you perv!\Am not!\That was just an accident! response:	Please hear me out, I'm not a-
context: Oh God!\Mitsudomoe!\Morning, Satou-kun!\Good morning!\I caught you, you perv!\Am not!\That was just an accident!\Please hear me out, I'm not a- response:	Don't touch me, PERVERT!
context: Mitsudomoe!\Morning, Satou-kun!\Good morning!\I caught you, you perv!\Am not!\That was just an accident!\Please hear me out, I'm not a-\Don't touch me, PERVERT! response:	H-Hey!
context: Morning, Satou-kun!\Good morning!\I caught you, you perv!\Am not!\That was just an accident!\Please hear me out, I'm not a-\Don't touch me, PERVERT!\H-Hey! response:	Wait, Eldest!
context: Good morning!\I caught you, you perv!\Am not!\That was just an accident!\Please hear me out, I'm not a-\Don't touch me, PERVERT!\H-Hey!\Wait, Eldest! response:	Wait...
context: I caught you, you perv!\Am not!\That was just an accident!\Please hear me out, I'm not a-\Don't touch me, PERVERT!\H-Hey!\Wait, Eldest!\Wait... response:	You believe me, don't you, Futaba?
context: Am not!\That was just an accident!\Please hear me out, I'm not a-\Don't touch me, PERVERT!\H-Hey!\Wait, Eldest!\Wait...\You believe me, don't you, Futaba? response:	I've always been an upstanding moral person.
