context: I finally found... response:	the peace I lost so long ago.
context: You've been watching this world silently,\and I've been watching you the same way.\You've been Immovable through the worst of times.\But what about this?\Everything that lives will be sacrificed to the new world.\Even the students of our school.\All because it was foretold in the Book of Twin Stars.\Are you going to silently allow all those deaths? response:	Is this truly what you want?
context: and I've been watching you the same way.\You've been Immovable through the worst of times.\But what about this?\Everything that lives will be sacrificed to the new world.\Even the students of our school.\All because it was foretold in the Book of Twin Stars.\Are you going to silently allow all those deaths?\Is this truly what you want? response:	Fudo Zen!
context: You've been Immovable through the worst of times.\But what about this?\Everything that lives will be sacrificed to the new world.\Even the students of our school.\All because it was foretold in the Book of Twin Stars.\Are you going to silently allow all those deaths?\Is this truly what you want?\Fudo Zen! response:	Fudo!
context: But what about this?\Everything that lives will be sacrificed to the new world.\Even the students of our school.\All because it was foretold in the Book of Twin Stars.\Are you going to silently allow all those deaths?\Is this truly what you want?\Fudo Zen!\Fudo! response:	When I met Mikono, I felt it was destiny too!
context: Everything that lives will be sacrificed to the new world.\Even the students of our school.\All because it was foretold in the Book of Twin Stars.\Are you going to silently allow all those deaths?\Is this truly what you want?\Fudo Zen!\Fudo!\When I met Mikono, I felt it was destiny too! response:	Someone who shared my pain, who understood me!
context: Even the students of our school.\All because it was foretold in the Book of Twin Stars.\Are you going to silently allow all those deaths?\Is this truly what you want?\Fudo Zen!\Fudo!\When I met Mikono, I felt it was destiny too!\Someone who shared my pain, who understood me! response:	But that's not all about her!
context: All because it was foretold in the Book of Twin Stars.\Are you going to silently allow all those deaths?\Is this truly what you want?\Fudo Zen!\Fudo!\When I met Mikono, I felt it was destiny too!\Someone who shared my pain, who understood me!\But that's not all about her! response:	She's shy, she has a short temper, and she gets jealous for no reason!
context: Are you going to silently allow all those deaths?\Is this truly what you want?\Fudo Zen!\Fudo!\When I met Mikono, I felt it was destiny too!\Someone who shared my pain, who understood me!\But that's not all about her!\She's shy, she has a short temper, and she gets jealous for no reason! response:	Don't you praise her like that!
context: Is this truly what you want?\Fudo Zen!\Fudo!\When I met Mikono, I felt it was destiny too!\Someone who shared my pain, who understood me!\But that's not all about her!\She's shy, she has a short temper, and she gets jealous for no reason!\Don't you praise her like that! response:	But always she does her best, and she can take in peoples' pain!
context: Fudo Zen!\Fudo!\When I met Mikono, I felt it was destiny too!\Someone who shared my pain, who understood me!\But that's not all about her!\She's shy, she has a short temper, and she gets jealous for no reason!\Don't you praise her like that!\But always she does her best, and she can take in peoples' pain! response:	She can connect peoples' feelings together!
context: Fudo!\When I met Mikono, I felt it was destiny too!\Someone who shared my pain, who understood me!\But that's not all about her!\She's shy, she has a short temper, and she gets jealous for no reason!\Don't you praise her like that!\But always she does her best, and she can take in peoples' pain!\She can connect peoples' feelings together! response:	That's the Mikono I love!
context: When I met Mikono, I felt it was destiny too!\Someone who shared my pain, who understood me!\But that's not all about her!\She's shy, she has a short temper, and she gets jealous for no reason!\Don't you praise her like that!\But always she does her best, and she can take in peoples' pain!\She can connect peoples' feelings together!\That's the Mikono I love! response:	Not Silvie! Mikono, right now!
context: Someone who shared my pain, who understood me!\But that's not all about her!\She's shy, she has a short temper, and she gets jealous for no reason!\Don't you praise her like that!\But always she does her best, and she can take in peoples' pain!\She can connect peoples' feelings together!\That's the Mikono I love!\Not Silvie! Mikono, right now! response:	Don't fuck with me!
context: But that's not all about her!\She's shy, she has a short temper, and she gets jealous for no reason!\Don't you praise her like that!\But always she does her best, and she can take in peoples' pain!\She can connect peoples' feelings together!\That's the Mikono I love!\Not Silvie! Mikono, right now!\Don't fuck with me! response:	I love her!
context: She's shy, she has a short temper, and she gets jealous for no reason!\Don't you praise her like that!\But always she does her best, and she can take in peoples' pain!\She can connect peoples' feelings together!\That's the Mikono I love!\Not Silvie! Mikono, right now!\Don't fuck with me!\I love her! response:	Fate is on my side!
context: Don't you praise her like that!\But always she does her best, and she can take in peoples' pain!\She can connect peoples' feelings together!\That's the Mikono I love!\Not Silvie! Mikono, right now!\Don't fuck with me!\I love her!\Fate is on my side! response:	I'll fly over my fate and live for the present!
context: But always she does her best, and she can take in peoples' pain!\She can connect peoples' feelings together!\That's the Mikono I love!\Not Silvie! Mikono, right now!\Don't fuck with me!\I love her!\Fate is on my side!\I'll fly over my fate and live for the present! response:	Mikono!
context: She can connect peoples' feelings together!\That's the Mikono I love!\Not Silvie! Mikono, right now!\Don't fuck with me!\I love her!\Fate is on my side!\I'll fly over my fate and live for the present!\Mikono! response:	Silvie!
context: That's the Mikono I love!\Not Silvie! Mikono, right now!\Don't fuck with me!\I love her!\Fate is on my side!\I'll fly over my fate and live for the present!\Mikono!\Silvie! response:	It's Amata, and...
context: Not Silvie! Mikono, right now!\Don't fuck with me!\I love her!\Fate is on my side!\I'll fly over my fate and live for the present!\Mikono!\Silvie!\It's Amata, and... response:	Stop fighting! Amata, Kagura!
context: Don't fuck with me!\I love her!\Fate is on my side!\I'll fly over my fate and live for the present!\Mikono!\Silvie!\It's Amata, and...\Stop fighting! Amata, Kagura! response:	Why should they stop fighting?
context: I love her!\Fate is on my side!\I'll fly over my fate and live for the present!\Mikono!\Silvie!\It's Amata, and...\Stop fighting! Amata, Kagura!\Why should they stop fighting? response:	Zessica?
context: Fate is on my side!\I'll fly over my fate and live for the present!\Mikono!\Silvie!\It's Amata, and...\Stop fighting! Amata, Kagura!\Why should they stop fighting?\Zessica? response:	Refusing to fight is refusing to live.
context: I'll fly over my fate and live for the present!\Mikono!\Silvie!\It's Amata, and...\Stop fighting! Amata, Kagura!\Why should they stop fighting?\Zessica?\Refusing to fight is refusing to live. response:	You're not going to Union with them. You're doing it with me, Mikono Suzushiro.
context: Mikono!\Silvie!\It's Amata, and...\Stop fighting! Amata, Kagura!\Why should they stop fighting?\Zessica?\Refusing to fight is refusing to live.\You're not going to Union with them. You're doing it with me, Mikono Suzushiro. response:	You're not Zessica! Who are you?
context: Silvie!\It's Amata, and...\Stop fighting! Amata, Kagura!\Why should they stop fighting?\Zessica?\Refusing to fight is refusing to live.\You're not going to Union with them. You're doing it with me, Mikono Suzushiro.\You're not Zessica! Who are you? response:	I am... the Defeated in Love.
context: It's Amata, and...\Stop fighting! Amata, Kagura!\Why should they stop fighting?\Zessica?\Refusing to fight is refusing to live.\You're not going to Union with them. You're doing it with me, Mikono Suzushiro.\You're not Zessica! Who are you?\I am... the Defeated in Love. response:	24,000 years ago, I was betrayed by my betrothed.
context: Stop fighting! Amata, Kagura!\Why should they stop fighting?\Zessica?\Refusing to fight is refusing to live.\You're not going to Union with them. You're doing it with me, Mikono Suzushiro.\You're not Zessica! Who are you?\I am... the Defeated in Love.\24,000 years ago, I was betrayed by my betrothed. response:	You...
context: Why should they stop fighting?\Zessica?\Refusing to fight is refusing to live.\You're not going to Union with them. You're doing it with me, Mikono Suzushiro.\You're not Zessica! Who are you?\I am... the Defeated in Love.\24,000 years ago, I was betrayed by my betrothed.\You... response:	It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.
context: Zessica?\Refusing to fight is refusing to live.\You're not going to Union with them. You're doing it with me, Mikono Suzushiro.\You're not Zessica! Who are you?\I am... the Defeated in Love.\24,000 years ago, I was betrayed by my betrothed.\You...\It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius. response:	But though my love was faint, it was not fully extinguished.
context: Refusing to fight is refusing to live.\You're not going to Union with them. You're doing it with me, Mikono Suzushiro.\You're not Zessica! Who are you?\I am... the Defeated in Love.\24,000 years ago, I was betrayed by my betrothed.\You...\It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.\But though my love was faint, it was not fully extinguished. response:	Apollo wished to unite with me to save this world, and I accepted.
context: You're not going to Union with them. You're doing it with me, Mikono Suzushiro.\You're not Zessica! Who are you?\I am... the Defeated in Love.\24,000 years ago, I was betrayed by my betrothed.\You...\It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.\But though my love was faint, it was not fully extinguished.\Apollo wished to unite with me to save this world, and I accepted. response:	I was at the height of ecstasy. To become one with my love!
context: You're not Zessica! Who are you?\I am... the Defeated in Love.\24,000 years ago, I was betrayed by my betrothed.\You...\It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.\But though my love was faint, it was not fully extinguished.\Apollo wished to unite with me to save this world, and I accepted.\I was at the height of ecstasy. To become one with my love! response:	And that instant, I knew.
context: I am... the Defeated in Love.\24,000 years ago, I was betrayed by my betrothed.\You...\It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.\But though my love was faint, it was not fully extinguished.\Apollo wished to unite with me to save this world, and I accepted.\I was at the height of ecstasy. To become one with my love!\And that instant, I knew. response:	The very instant our souls touched.
context: 24,000 years ago, I was betrayed by my betrothed.\You...\It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.\But though my love was faint, it was not fully extinguished.\Apollo wished to unite with me to save this world, and I accepted.\I was at the height of ecstasy. To become one with my love!\And that instant, I knew.\The very instant our souls touched. response:	That Apollo was not the reincarnation of Apollonius.
context: You...\It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.\But though my love was faint, it was not fully extinguished.\Apollo wished to unite with me to save this world, and I accepted.\I was at the height of ecstasy. To become one with my love!\And that instant, I knew.\The very instant our souls touched.\That Apollo was not the reincarnation of Apollonius. response:	The real Apollonius was...
context: It was with such hatred in my heart that I fought Apollo, the rebirth of Apollonius.\But though my love was faint, it was not fully extinguished.\Apollo wished to unite with me to save this world, and I accepted.\I was at the height of ecstasy. To become one with my love!\And that instant, I knew.\The very instant our souls touched.\That Apollo was not the reincarnation of Apollonius.\The real Apollonius was... response:	Not just once, but twice, Apollonius trampled my love.
context: But though my love was faint, it was not fully extinguished.\Apollo wished to unite with me to save this world, and I accepted.\I was at the height of ecstasy. To become one with my love!\And that instant, I knew.\The very instant our souls touched.\That Apollo was not the reincarnation of Apollonius.\The real Apollonius was...\Not just once, but twice, Apollonius trampled my love. response:	I will unite the worlds as one, and become the god of the new world.
context: Apollo wished to unite with me to save this world, and I accepted.\I was at the height of ecstasy. To become one with my love!\And that instant, I knew.\The very instant our souls touched.\That Apollo was not the reincarnation of Apollonius.\The real Apollonius was...\Not just once, but twice, Apollonius trampled my love.\I will unite the worlds as one, and become the god of the new world. response:	And as the Defeated, I will trample out love.
context: I was at the height of ecstasy. To become one with my love!\And that instant, I knew.\The very instant our souls touched.\That Apollo was not the reincarnation of Apollonius.\The real Apollonius was...\Not just once, but twice, Apollonius trampled my love.\I will unite the worlds as one, and become the god of the new world.\And as the Defeated, I will trample out love. response:	That is the Legend I will write.
context: And that instant, I knew.\The very instant our souls touched.\That Apollo was not the reincarnation of Apollonius.\The real Apollonius was...\Not just once, but twice, Apollonius trampled my love.\I will unite the worlds as one, and become the god of the new world.\And as the Defeated, I will trample out love.\That is the Legend I will write. response:	Now, let us unite.
context: The very instant our souls touched.\That Apollo was not the reincarnation of Apollonius.\The real Apollonius was...\Not just once, but twice, Apollonius trampled my love.\I will unite the worlds as one, and become the god of the new world.\And as the Defeated, I will trample out love.\That is the Legend I will write.\Now, let us unite. response:	I won't be satisfied no matter how many times I kill you.
context: That Apollo was not the reincarnation of Apollonius.\The real Apollonius was...\Not just once, but twice, Apollonius trampled my love.\I will unite the worlds as one, and become the god of the new world.\And as the Defeated, I will trample out love.\That is the Legend I will write.\Now, let us unite.\I won't be satisfied no matter how many times I kill you. response:	You harlot!
context: The real Apollonius was...\Not just once, but twice, Apollonius trampled my love.\I will unite the worlds as one, and become the god of the new world.\And as the Defeated, I will trample out love.\That is the Legend I will write.\Now, let us unite.\I won't be satisfied no matter how many times I kill you.\You harlot! response:	What's happening?
context: Not just once, but twice, Apollonius trampled my love.\I will unite the worlds as one, and become the god of the new world.\And as the Defeated, I will trample out love.\That is the Legend I will write.\Now, let us unite.\I won't be satisfied no matter how many times I kill you.\You harlot!\What's happening? response:	This is the wedding of revenge!
context: I will unite the worlds as one, and become the god of the new world.\And as the Defeated, I will trample out love.\That is the Legend I will write.\Now, let us unite.\I won't be satisfied no matter how many times I kill you.\You harlot!\What's happening?\This is the wedding of revenge! response:	No! Noo!
context: And as the Defeated, I will trample out love.\That is the Legend I will write.\Now, let us unite.\I won't be satisfied no matter how many times I kill you.\You harlot!\What's happening?\This is the wedding of revenge!\No! Noo! response:	Mikono!
context: That is the Legend I will write.\Now, let us unite.\I won't be satisfied no matter how many times I kill you.\You harlot!\What's happening?\This is the wedding of revenge!\No! Noo!\Mikono! response:	That was Silvie!
context: Now, let us unite.\I won't be satisfied no matter how many times I kill you.\You harlot!\What's happening?\This is the wedding of revenge!\No! Noo!\Mikono!\That was Silvie! response:	That robot!
context: I won't be satisfied no matter how many times I kill you.\You harlot!\What's happening?\This is the wedding of revenge!\No! Noo!\Mikono!\That was Silvie!\That robot! response:	Mikono! Mikono's in there!
context: You harlot!\What's happening?\This is the wedding of revenge!\No! Noo!\Mikono!\That was Silvie!\That robot!\Mikono! Mikono's in there! response:	More power...
context: What's happening?\This is the wedding of revenge!\No! Noo!\Mikono!\That was Silvie!\That robot!\Mikono! Mikono's in there!\More power... response:	Ianthe, give me the power of the motherworld!
context: This is the wedding of revenge!\No! Noo!\Mikono!\That was Silvie!\That robot!\Mikono! Mikono's in there!\More power...\Ianthe, give me the power of the motherworld! response:	Mikage! Are you going to drain the whole planet?
context: No! Noo!\Mikono!\That was Silvie!\That robot!\Mikono! Mikono's in there!\More power...\Ianthe, give me the power of the motherworld!\Mikage! Are you going to drain the whole planet? response:	Amata! Are you okay?
context: Mikono!\That was Silvie!\That robot!\Mikono! Mikono's in there!\More power...\Ianthe, give me the power of the motherworld!\Mikage! Are you going to drain the whole planet?\Amata! Are you okay? response:	Cayenne!
context: That was Silvie!\That robot!\Mikono! Mikono's in there!\More power...\Ianthe, give me the power of the motherworld!\Mikage! Are you going to drain the whole planet?\Amata! Are you okay?\Cayenne! response:	Yunoha and Malloy!
context: That robot!\Mikono! Mikono's in there!\More power...\Ianthe, give me the power of the motherworld!\Mikage! Are you going to drain the whole planet?\Amata! Are you okay?\Cayenne!\Yunoha and Malloy! response:	Take my spot!
context: Mikono! Mikono's in there!\More power...\Ianthe, give me the power of the motherworld!\Mikage! Are you going to drain the whole planet?\Amata! Are you okay?\Cayenne!\Yunoha and Malloy!\Take my spot! response:	They need your Element power to stand a chance!
context: More power...\Ianthe, give me the power of the motherworld!\Mikage! Are you going to drain the whole planet?\Amata! Are you okay?\Cayenne!\Yunoha and Malloy!\Take my spot!\They need your Element power to stand a chance! response:	Amata, let's Union!
context: Ianthe, give me the power of the motherworld!\Mikage! Are you going to drain the whole planet?\Amata! Are you okay?\Cayenne!\Yunoha and Malloy!\Take my spot!\They need your Element power to stand a chance!\Amata, let's Union! response:	Thanks!
context: Mikage! Are you going to drain the whole planet?\Amata! Are you okay?\Cayenne!\Yunoha and Malloy!\Take my spot!\They need your Element power to stand a chance!\Amata, let's Union!\Thanks! response:	Final Battle Union!
context: Amata! Are you okay?\Cayenne!\Yunoha and Malloy!\Take my spot!\They need your Element power to stand a chance!\Amata, let's Union!\Thanks!\Final Battle Union! response:	Go, Aquarion!
context: Cayenne!\Yunoha and Malloy!\Take my spot!\They need your Element power to stand a chance!\Amata, let's Union!\Thanks!\Final Battle Union!\Go, Aquarion! response:	Aquarion Evol!
context: Yunoha and Malloy!\Take my spot!\They need your Element power to stand a chance!\Amata, let's Union!\Thanks!\Final Battle Union!\Go, Aquarion!\Aquarion Evol! response:	Give Mikono back!
context: Take my spot!\They need your Element power to stand a chance!\Amata, let's Union!\Thanks!\Final Battle Union!\Go, Aquarion!\Aquarion Evol!\Give Mikono back! response:	Give her back!
context: They need your Element power to stand a chance!\Amata, let's Union!\Thanks!\Final Battle Union!\Go, Aquarion!\Aquarion Evol!\Give Mikono back!\Give her back! response:	Punish them, Ianthe.
context: Amata, let's Union!\Thanks!\Final Battle Union!\Go, Aquarion!\Aquarion Evol!\Give Mikono back!\Give her back!\Punish them, Ianthe. response:	A dog with wings dare oppose a weapon of a god?
context: Thanks!\Final Battle Union!\Go, Aquarion!\Aquarion Evol!\Give Mikono back!\Give her back!\Punish them, Ianthe.\A dog with wings dare oppose a weapon of a god? response:	Oh, and Kagura.
context: Final Battle Union!\Go, Aquarion!\Aquarion Evol!\Give Mikono back!\Give her back!\Punish them, Ianthe.\A dog with wings dare oppose a weapon of a god?\Oh, and Kagura. response:	Kagura.
context: Go, Aquarion!\Aquarion Evol!\Give Mikono back!\Give her back!\Punish them, Ianthe.\A dog with wings dare oppose a weapon of a god?\Oh, and Kagura.\Kagura. response:	You can't oppose me either, Kagura.
context: Aquarion Evol!\Give Mikono back!\Give her back!\Punish them, Ianthe.\A dog with wings dare oppose a weapon of a god?\Oh, and Kagura.\Kagura.\You can't oppose me either, Kagura. response:	Violation Union.
context: Give Mikono back!\Give her back!\Punish them, Ianthe.\A dog with wings dare oppose a weapon of a god?\Oh, and Kagura.\Kagura.\You can't oppose me either, Kagura.\Violation Union. response:	Go, Aquarion.
context: Give her back!\Punish them, Ianthe.\A dog with wings dare oppose a weapon of a god?\Oh, and Kagura.\Kagura.\You can't oppose me either, Kagura.\Violation Union.\Go, Aquarion. response:	Ahh, beautiful.
context: Punish them, Ianthe.\A dog with wings dare oppose a weapon of a god?\Oh, and Kagura.\Kagura.\You can't oppose me either, Kagura.\Violation Union.\Go, Aquarion.\Ahh, beautiful. response:	But empty...
context: A dog with wings dare oppose a weapon of a god?\Oh, and Kagura.\Kagura.\You can't oppose me either, Kagura.\Violation Union.\Go, Aquarion.\Ahh, beautiful.\But empty... response:	Mikono!
context: Oh, and Kagura.\Kagura.\You can't oppose me either, Kagura.\Violation Union.\Go, Aquarion.\Ahh, beautiful.\But empty...\Mikono! response:	A Dark Aquarion...
context: Kagura.\You can't oppose me either, Kagura.\Violation Union.\Go, Aquarion.\Ahh, beautiful.\But empty...\Mikono!\A Dark Aquarion... response:	It was a miracle that we met.
context: You can't oppose me either, Kagura.\Violation Union.\Go, Aquarion.\Ahh, beautiful.\But empty...\Mikono!\A Dark Aquarion...\It was a miracle that we met. response:	And a miracle that we could be together.
context: Violation Union.\Go, Aquarion.\Ahh, beautiful.\But empty...\Mikono!\A Dark Aquarion...\It was a miracle that we met.\And a miracle that we could be together. response:	Let's remember it forever.
context: Go, Aquarion.\Ahh, beautiful.\But empty...\Mikono!\A Dark Aquarion...\It was a miracle that we met.\And a miracle that we could be together.\Let's remember it forever. response:	Let's pray over its joy.
context: Ahh, beautiful.\But empty...\Mikono!\A Dark Aquarion...\It was a miracle that we met.\And a miracle that we could be together.\Let's remember it forever.\Let's pray over its joy. response:	Let's become one.
context: But empty...\Mikono!\A Dark Aquarion...\It was a miracle that we met.\And a miracle that we could be together.\Let's remember it forever.\Let's pray over its joy.\Let's become one. response:	Shards of Adam
context: Mikono!\A Dark Aquarion...\It was a miracle that we met.\And a miracle that we could be together.\Let's remember it forever.\Let's pray over its joy.\Let's become one.\Shards of Adam response:	zetsubouteki ni kimi wa kirei sa
context: A Dark Aquarion...\It was a miracle that we met.\And a miracle that we could be together.\Let's remember it forever.\Let's pray over its joy.\Let's become one.\Shards of Adam\zetsubouteki ni kimi wa kirei sa response:	hanten suru sekai no kattou ni aishiaou
context: It was a miracle that we met.\And a miracle that we could be together.\Let's remember it forever.\Let's pray over its joy.\Let's become one.\Shards of Adam\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou response:	bokura ga miteru sekai wa itsudemo sakasama de
context: And a miracle that we could be together.\Let's remember it forever.\Let's pray over its joy.\Let's become one.\Shards of Adam\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de response:	doushiyou mo nai koto de taigai kimatteku
context: Let's remember it forever.\Let's pray over its joy.\Let's become one.\Shards of Adam\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku response:	namida suru hodo kizu tsuku hitomi
context: Let's pray over its joy.\Let's become one.\Shards of Adam\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi response:	kokoro de sakebi nagara
context: Let's become one.\Shards of Adam\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara response:	tada atteitai saigo no futari masarenai mama
context: Shards of Adam\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama response:	byouyomi ga kikoetekuru
context: zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru response:	zetsubouteki ni kimi wa kirei sa
context: hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa response:	sutareyuku doubutsu mitai ni aishiaou
context: bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou response:	nakitai kurai kimi wa kirei sa
context: doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa response:	hanten suru sekai no kattou ni kanjitai yo
context: namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo response:	You're so beautiful it's depressing
context: kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing response:	Let's love one another amidst the chaos in this backwards world
context: tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world response:	This world of ours moves in reverse
context: byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse response:	controlled by forces we can't even touch
context: zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch response:	There is pain in your eyes so deep I want to cry
context: sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry response:	Screaming from my heart
context: nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart response:	The last couple who desire each other cannot be together
context: hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together response:	And time is running out
context: You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out response:	You're so beautiful it's depressing
context: Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing response:	Let's love one another like abandoned animals
context: This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals response:	You're so beautiful I want to cry
context: controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry response:	Let's love one another amidst the chaos in this backwards world
context: There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world response:	kimi he tsuzuku sakamichi ni
context: Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni response:	shiroi hana ga saiteta
context: The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta response:	yume kara sameta ato mo kanashii sora miteta
context: And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta response:	kono kimochi happa no ue ni susunderu
context: You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu response:	asatsuyu wo ochiru oto ni mimi wo sumaseteru no
context: Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta\yume kara sameta ato mo kanashii sora miteta\kono kimochi happa no ue ni susunderu\asatsuyu wo ochiru oto ni mimi wo sumaseteru no response:	kamisama anata ga tsukutta sekai wa kanpeki ja nai
