context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY response:	Excuse me.
context: -My passionate feelings for you -How wonderful.\overflow from my heart.\I hope and desire to have you with me as soon as possible.\Please excuse me.\It has a beautiful ring to it.\Is she...\embarrassed?\No. response:	Those weren't tears of embarrassment.
context: overflow from my heart.\I hope and desire to have you with me as soon as possible.\Please excuse me.\It has a beautiful ring to it.\Is she...\embarrassed?\No.\Those weren't tears of embarrassment. response:	They're tears of frustration.
context: I hope and desire to have you with me as soon as possible.\Please excuse me.\It has a beautiful ring to it.\Is she...\embarrassed?\No.\Those weren't tears of embarrassment.\They're tears of frustration. response:	I've known the princess since our queen was pregnant with her.
context: Please excuse me.\It has a beautiful ring to it.\Is she...\embarrassed?\No.\Those weren't tears of embarrassment.\They're tears of frustration.\I've known the princess since our queen was pregnant with her. response:	Princess. You know I can find you no matter where you hide.
context: It has a beautiful ring to it.\Is she...\embarrassed?\No.\Those weren't tears of embarrassment.\They're tears of frustration.\I've known the princess since our queen was pregnant with her.\Princess. You know I can find you no matter where you hide. response:	Princess.
context: Is she...\embarrassed?\No.\Those weren't tears of embarrassment.\They're tears of frustration.\I've known the princess since our queen was pregnant with her.\Princess. You know I can find you no matter where you hide.\Princess. response:	I would hold this against you if I was your mother-in-law.
context: embarrassed?\No.\Those weren't tears of embarrassment.\They're tears of frustration.\I've known the princess since our queen was pregnant with her.\Princess. You know I can find you no matter where you hide.\Princess.\I would hold this against you if I was your mother-in-law. response:	You tend to lose control when you get emotional.
context: No.\Those weren't tears of embarrassment.\They're tears of frustration.\I've known the princess since our queen was pregnant with her.\Princess. You know I can find you no matter where you hide.\Princess.\I would hold this against you if I was your mother-in-law.\You tend to lose control when you get emotional. response:	When you marry into the Fluegel family, I, your Alberta, won't be there.
context: Those weren't tears of embarrassment.\They're tears of frustration.\I've known the princess since our queen was pregnant with her.\Princess. You know I can find you no matter where you hide.\Princess.\I would hold this against you if I was your mother-in-law.\You tend to lose control when you get emotional.\When you marry into the Fluegel family, I, your Alberta, won't be there. response:	Why would you say that?
context: They're tears of frustration.\I've known the princess since our queen was pregnant with her.\Princess. You know I can find you no matter where you hide.\Princess.\I would hold this against you if I was your mother-in-law.\You tend to lose control when you get emotional.\When you marry into the Fluegel family, I, your Alberta, won't be there.\Why would you say that? response:	I am the court lady of the royal palace. I belong to the royal palace.
context: I've known the princess since our queen was pregnant with her.\Princess. You know I can find you no matter where you hide.\Princess.\I would hold this against you if I was your mother-in-law.\You tend to lose control when you get emotional.\When you marry into the Fluegel family, I, your Alberta, won't be there.\Why would you say that?\I am the court lady of the royal palace. I belong to the royal palace. response:	Not to you, Charlotte.
context: Princess. You know I can find you no matter where you hide.\Princess.\I would hold this against you if I was your mother-in-law.\You tend to lose control when you get emotional.\When you marry into the Fluegel family, I, your Alberta, won't be there.\Why would you say that?\I am the court lady of the royal palace. I belong to the royal palace.\Not to you, Charlotte. response:	You belong to me!
context: Princess.\I would hold this against you if I was your mother-in-law.\You tend to lose control when you get emotional.\When you marry into the Fluegel family, I, your Alberta, won't be there.\Why would you say that?\I am the court lady of the royal palace. I belong to the royal palace.\Not to you, Charlotte.\You belong to me! response:	You snatched me away from my mother's womb.
context: I would hold this against you if I was your mother-in-law.\You tend to lose control when you get emotional.\When you marry into the Fluegel family, I, your Alberta, won't be there.\Why would you say that?\I am the court lady of the royal palace. I belong to the royal palace.\Not to you, Charlotte.\You belong to me!\You snatched me away from my mother's womb. response:	You're the one who raised me!
context: You tend to lose control when you get emotional.\When you marry into the Fluegel family, I, your Alberta, won't be there.\Why would you say that?\I am the court lady of the royal palace. I belong to the royal palace.\Not to you, Charlotte.\You belong to me!\You snatched me away from my mother's womb.\You're the one who raised me! response:	I'm the one...
context: When you marry into the Fluegel family, I, your Alberta, won't be there.\Why would you say that?\I am the court lady of the royal palace. I belong to the royal palace.\Not to you, Charlotte.\You belong to me!\You snatched me away from my mother's womb.\You're the one who raised me!\I'm the one... response:	who belongs to you!
context: Why would you say that?\I am the court lady of the royal palace. I belong to the royal palace.\Not to you, Charlotte.\You belong to me!\You snatched me away from my mother's womb.\You're the one who raised me!\I'm the one...\who belongs to you! response:	I've had enough. The letters...
context: I am the court lady of the royal palace. I belong to the royal palace.\Not to you, Charlotte.\You belong to me!\You snatched me away from my mother's womb.\You're the one who raised me!\I'm the one...\who belongs to you!\I've had enough. The letters... response:	and you. Everything.
context: Not to you, Charlotte.\You belong to me!\You snatched me away from my mother's womb.\You're the one who raised me!\I'm the one...\who belongs to you!\I've had enough. The letters...\and you. Everything. response:	Get out!
context: You belong to me!\You snatched me away from my mother's womb.\You're the one who raised me!\I'm the one...\who belongs to you!\I've had enough. The letters...\and you. Everything.\Get out! response:	Get out of my sight!
context: You snatched me away from my mother's womb.\You're the one who raised me!\I'm the one...\who belongs to you!\I've had enough. The letters...\and you. Everything.\Get out!\Get out of my sight! response:	No. I will stay by your side.
context: You're the one who raised me!\I'm the one...\who belongs to you!\I've had enough. The letters...\and you. Everything.\Get out!\Get out of my sight!\No. I will stay by your side. response:	Princess Charlotte. How should we prepare the next letter?
context: I'm the one...\who belongs to you!\I've had enough. The letters...\and you. Everything.\Get out!\Get out of my sight!\No. I will stay by your side.\Princess Charlotte. How should we prepare the next letter? response:	I don't really care anymore.
context: who belongs to you!\I've had enough. The letters...\and you. Everything.\Get out!\Get out of my sight!\No. I will stay by your side.\Princess Charlotte. How should we prepare the next letter?\I don't really care anymore. response:	Just write whatever you want.
context: I've had enough. The letters...\and you. Everything.\Get out!\Get out of my sight!\No. I will stay by your side.\Princess Charlotte. How should we prepare the next letter?\I don't really care anymore.\Just write whatever you want. response:	His replies are written by a Doll as well, anyways.
context: and you. Everything.\Get out!\Get out of my sight!\No. I will stay by your side.\Princess Charlotte. How should we prepare the next letter?\I don't really care anymore.\Just write whatever you want.\His replies are written by a Doll as well, anyways. response:	Prince Damian is a very busy person.
context: Get out!\Get out of my sight!\No. I will stay by your side.\Princess Charlotte. How should we prepare the next letter?\I don't really care anymore.\Just write whatever you want.\His replies are written by a Doll as well, anyways.\Prince Damian is a very busy person. response:	I bet he's not reading my letters.
context: Get out of my sight!\No. I will stay by your side.\Princess Charlotte. How should we prepare the next letter?\I don't really care anymore.\Just write whatever you want.\His replies are written by a Doll as well, anyways.\Prince Damian is a very busy person.\I bet he's not reading my letters. response:	It doesn't matter what it says.
context: No. I will stay by your side.\Princess Charlotte. How should we prepare the next letter?\I don't really care anymore.\Just write whatever you want.\His replies are written by a Doll as well, anyways.\Prince Damian is a very busy person.\I bet he's not reading my letters.\It doesn't matter what it says. response:	Princess Charlotte,
context: Princess Charlotte. How should we prepare the next letter?\I don't really care anymore.\Just write whatever you want.\His replies are written by a Doll as well, anyways.\Prince Damian is a very busy person.\I bet he's not reading my letters.\It doesn't matter what it says.\Princess Charlotte, response:	it looks like you're not satisfied with his replies.
context: I don't really care anymore.\Just write whatever you want.\His replies are written by a Doll as well, anyways.\Prince Damian is a very busy person.\I bet he's not reading my letters.\It doesn't matter what it says.\Princess Charlotte,\it looks like you're not satisfied with his replies. response:	It's not that.
context: Just write whatever you want.\His replies are written by a Doll as well, anyways.\Prince Damian is a very busy person.\I bet he's not reading my letters.\It doesn't matter what it says.\Princess Charlotte,\it looks like you're not satisfied with his replies.\It's not that. response:	It's just... I've met Damian once before.
context: His replies are written by a Doll as well, anyways.\Prince Damian is a very busy person.\I bet he's not reading my letters.\It doesn't matter what it says.\Princess Charlotte,\it looks like you're not satisfied with his replies.\It's not that.\It's just... I've met Damian once before. response:	And the Damian I know wouldn't use those kinds of words.
context: Prince Damian is a very busy person.\I bet he's not reading my letters.\It doesn't matter what it says.\Princess Charlotte,\it looks like you're not satisfied with his replies.\It's not that.\It's just... I've met Damian once before.\And the Damian I know wouldn't use those kinds of words. response:	Hey.
context: I bet he's not reading my letters.\It doesn't matter what it says.\Princess Charlotte,\it looks like you're not satisfied with his replies.\It's not that.\It's just... I've met Damian once before.\And the Damian I know wouldn't use those kinds of words.\Hey. response:	Can I stop being the Princess of Drossel right now, just for a moment?
context: It doesn't matter what it says.\Princess Charlotte,\it looks like you're not satisfied with his replies.\It's not that.\It's just... I've met Damian once before.\And the Damian I know wouldn't use those kinds of words.\Hey.\Can I stop being the Princess of Drossel right now, just for a moment? response:	Violet.
context: Princess Charlotte,\it looks like you're not satisfied with his replies.\It's not that.\It's just... I've met Damian once before.\And the Damian I know wouldn't use those kinds of words.\Hey.\Can I stop being the Princess of Drossel right now, just for a moment?\Violet. response:	Quit being a Doll right now and listen to my story as your true self.
context: it looks like you're not satisfied with his replies.\It's not that.\It's just... I've met Damian once before.\And the Damian I know wouldn't use those kinds of words.\Hey.\Can I stop being the Princess of Drossel right now, just for a moment?\Violet.\Quit being a Doll right now and listen to my story as your true self. response:	Just listen, okay?
context: It's not that.\It's just... I've met Damian once before.\And the Damian I know wouldn't use those kinds of words.\Hey.\Can I stop being the Princess of Drossel right now, just for a moment?\Violet.\Quit being a Doll right now and listen to my story as your true self.\Just listen, okay? response:	Yes.
context: It's just... I've met Damian once before.\And the Damian I know wouldn't use those kinds of words.\Hey.\Can I stop being the Princess of Drossel right now, just for a moment?\Violet.\Quit being a Doll right now and listen to my story as your true self.\Just listen, okay?\Yes. response:	The day I turned 10 years old,
context: And the Damian I know wouldn't use those kinds of words.\Hey.\Can I stop being the Princess of Drossel right now, just for a moment?\Violet.\Quit being a Doll right now and listen to my story as your true self.\Just listen, okay?\Yes.\The day I turned 10 years old, response:	a grand banquet was held in Drossel.
context: Hey.\Can I stop being the Princess of Drossel right now, just for a moment?\Violet.\Quit being a Doll right now and listen to my story as your true self.\Just listen, okay?\Yes.\The day I turned 10 years old,\a grand banquet was held in Drossel. response:	For royal family members, 10 is already old enough for marriage.
context: Can I stop being the Princess of Drossel right now, just for a moment?\Violet.\Quit being a Doll right now and listen to my story as your true self.\Just listen, okay?\Yes.\The day I turned 10 years old,\a grand banquet was held in Drossel.\For royal family members, 10 is already old enough for marriage. response:	Literally every man I met was a suitor.
context: Violet.\Quit being a Doll right now and listen to my story as your true self.\Just listen, okay?\Yes.\The day I turned 10 years old,\a grand banquet was held in Drossel.\For royal family members, 10 is already old enough for marriage.\Literally every man I met was a suitor. response:	I didn't feel like anyone was celebrating my birthday.
context: Quit being a Doll right now and listen to my story as your true self.\Just listen, okay?\Yes.\The day I turned 10 years old,\a grand banquet was held in Drossel.\For royal family members, 10 is already old enough for marriage.\Literally every man I met was a suitor.\I didn't feel like anyone was celebrating my birthday. response:	It didn't matter how I felt.
context: Just listen, okay?\Yes.\The day I turned 10 years old,\a grand banquet was held in Drossel.\For royal family members, 10 is already old enough for marriage.\Literally every man I met was a suitor.\I didn't feel like anyone was celebrating my birthday.\It didn't matter how I felt. response:	That's how I was treated.
context: Yes.\The day I turned 10 years old,\a grand banquet was held in Drossel.\For royal family members, 10 is already old enough for marriage.\Literally every man I met was a suitor.\I didn't feel like anyone was celebrating my birthday.\It didn't matter how I felt.\That's how I was treated. response:	Hey. No one's looking for you?
context: The day I turned 10 years old,\a grand banquet was held in Drossel.\For royal family members, 10 is already old enough for marriage.\Literally every man I met was a suitor.\I didn't feel like anyone was celebrating my birthday.\It didn't matter how I felt.\That's how I was treated.\Hey. No one's looking for you? response:	Go ahead. It's okay to cry.
context: a grand banquet was held in Drossel.\For royal family members, 10 is already old enough for marriage.\Literally every man I met was a suitor.\I didn't feel like anyone was celebrating my birthday.\It didn't matter how I felt.\That's how I was treated.\Hey. No one's looking for you?\Go ahead. It's okay to cry. response:	But I want to stop crying.
context: For royal family members, 10 is already old enough for marriage.\Literally every man I met was a suitor.\I didn't feel like anyone was celebrating my birthday.\It didn't matter how I felt.\That's how I was treated.\Hey. No one's looking for you?\Go ahead. It's okay to cry.\But I want to stop crying. response:	Don't say that!
context: Literally every man I met was a suitor.\I didn't feel like anyone was celebrating my birthday.\It didn't matter how I felt.\That's how I was treated.\Hey. No one's looking for you?\Go ahead. It's okay to cry.\But I want to stop crying.\Don't say that! response:	When I saw you at the banquet, I thought you were such a bratty kid.
context: I didn't feel like anyone was celebrating my birthday.\It didn't matter how I felt.\That's how I was treated.\Hey. No one's looking for you?\Go ahead. It's okay to cry.\But I want to stop crying.\Don't say that!\When I saw you at the banquet, I thought you were such a bratty kid. response:	I'm glad to see you cry like this.
context: It didn't matter how I felt.\That's how I was treated.\Hey. No one's looking for you?\Go ahead. It's okay to cry.\But I want to stop crying.\Don't say that!\When I saw you at the banquet, I thought you were such a bratty kid.\I'm glad to see you cry like this. response:	That was the worst birthday party ever.
context: That's how I was treated.\Hey. No one's looking for you?\Go ahead. It's okay to cry.\But I want to stop crying.\Don't say that!\When I saw you at the banquet, I thought you were such a bratty kid.\I'm glad to see you cry like this.\That was the worst birthday party ever. response:	Even I escaped from it.
context: Hey. No one's looking for you?\Go ahead. It's okay to cry.\But I want to stop crying.\Don't say that!\When I saw you at the banquet, I thought you were such a bratty kid.\I'm glad to see you cry like this.\That was the worst birthday party ever.\Even I escaped from it. response:	I understand why you would want to cry.
context: Go ahead. It's okay to cry.\But I want to stop crying.\Don't say that!\When I saw you at the banquet, I thought you were such a bratty kid.\I'm glad to see you cry like this.\That was the worst birthday party ever.\Even I escaped from it.\I understand why you would want to cry. response:	See you.
context: But I want to stop crying.\Don't say that!\When I saw you at the banquet, I thought you were such a bratty kid.\I'm glad to see you cry like this.\That was the worst birthday party ever.\Even I escaped from it.\I understand why you would want to cry.\See you. response:	That man spoke truthfully to me.
context: Don't say that!\When I saw you at the banquet, I thought you were such a bratty kid.\I'm glad to see you cry like this.\That was the worst birthday party ever.\Even I escaped from it.\I understand why you would want to cry.\See you.\That man spoke truthfully to me. response:	It wasn't much.
context: When I saw you at the banquet, I thought you were such a bratty kid.\I'm glad to see you cry like this.\That was the worst birthday party ever.\Even I escaped from it.\I understand why you would want to cry.\See you.\That man spoke truthfully to me.\It wasn't much. response:	But I...
context: I'm glad to see you cry like this.\That was the worst birthday party ever.\Even I escaped from it.\I understand why you would want to cry.\See you.\That man spoke truthfully to me.\It wasn't much.\But I... response:	For me...
context: That was the worst birthday party ever.\Even I escaped from it.\I understand why you would want to cry.\See you.\That man spoke truthfully to me.\It wasn't much.\But I...\For me... response:	That made me so happy.
context: Even I escaped from it.\I understand why you would want to cry.\See you.\That man spoke truthfully to me.\It wasn't much.\But I...\For me...\That made me so happy. response:	Then the war intensified and my marriage got put off.
context: I understand why you would want to cry.\See you.\That man spoke truthfully to me.\It wasn't much.\But I...\For me...\That made me so happy.\Then the war intensified and my marriage got put off. response:	But as soon as the war ended,
context: See you.\That man spoke truthfully to me.\It wasn't much.\But I...\For me...\That made me so happy.\Then the war intensified and my marriage got put off.\But as soon as the war ended, response:	I received a marriage offer. I was surprised.
context: That man spoke truthfully to me.\It wasn't much.\But I...\For me...\That made me so happy.\Then the war intensified and my marriage got put off.\But as soon as the war ended,\I received a marriage offer. I was surprised. response:	I knew this was my only chance.
context: It wasn't much.\But I...\For me...\That made me so happy.\Then the war intensified and my marriage got put off.\But as soon as the war ended,\I received a marriage offer. I was surprised.\I knew this was my only chance. response:	I researched and gathered information on how our union would benefit both sides.
context: But I...\For me...\That made me so happy.\Then the war intensified and my marriage got put off.\But as soon as the war ended,\I received a marriage offer. I was surprised.\I knew this was my only chance.\I researched and gathered information on how our union would benefit both sides. response:	I made an effort to get my father and the Diet to agree.
context: For me...\That made me so happy.\Then the war intensified and my marriage got put off.\But as soon as the war ended,\I received a marriage offer. I was surprised.\I knew this was my only chance.\I researched and gathered information on how our union would benefit both sides.\I made an effort to get my father and the Diet to agree. response:	I'm not sure if that was a factor in their decision,
context: That made me so happy.\Then the war intensified and my marriage got put off.\But as soon as the war ended,\I received a marriage offer. I was surprised.\I knew this was my only chance.\I researched and gathered information on how our union would benefit both sides.\I made an effort to get my father and the Diet to agree.\I'm not sure if that was a factor in their decision, response:	but Drossel ended up choosing Fluegel.
context: Then the war intensified and my marriage got put off.\But as soon as the war ended,\I received a marriage offer. I was surprised.\I knew this was my only chance.\I researched and gathered information on how our union would benefit both sides.\I made an effort to get my father and the Diet to agree.\I'm not sure if that was a factor in their decision,\but Drossel ended up choosing Fluegel. response:	You have no idea how happy I am about this marriage.
context: But as soon as the war ended,\I received a marriage offer. I was surprised.\I knew this was my only chance.\I researched and gathered information on how our union would benefit both sides.\I made an effort to get my father and the Diet to agree.\I'm not sure if that was a factor in their decision,\but Drossel ended up choosing Fluegel.\You have no idea how happy I am about this marriage. response:	But I'm not sure how he feels about it.
context: I received a marriage offer. I was surprised.\I knew this was my only chance.\I researched and gathered information on how our union would benefit both sides.\I made an effort to get my father and the Diet to agree.\I'm not sure if that was a factor in their decision,\but Drossel ended up choosing Fluegel.\You have no idea how happy I am about this marriage.\But I'm not sure how he feels about it. response:	What if he's actually in love with someone else?
context: I knew this was my only chance.\I researched and gathered information on how our union would benefit both sides.\I made an effort to get my father and the Diet to agree.\I'm not sure if that was a factor in their decision,\but Drossel ended up choosing Fluegel.\You have no idea how happy I am about this marriage.\But I'm not sure how he feels about it.\What if he's actually in love with someone else? response:	We're also ten years apart.
context: I researched and gathered information on how our union would benefit both sides.\I made an effort to get my father and the Diet to agree.\I'm not sure if that was a factor in their decision,\but Drossel ended up choosing Fluegel.\You have no idea how happy I am about this marriage.\But I'm not sure how he feels about it.\What if he's actually in love with someone else?\We're also ten years apart. response:	We may not see eye to eye.
context: I made an effort to get my father and the Diet to agree.\I'm not sure if that was a factor in their decision,\but Drossel ended up choosing Fluegel.\You have no idea how happy I am about this marriage.\But I'm not sure how he feels about it.\What if he's actually in love with someone else?\We're also ten years apart.\We may not see eye to eye. response:	Besides...
context: I'm not sure if that was a factor in their decision,\but Drossel ended up choosing Fluegel.\You have no idea how happy I am about this marriage.\But I'm not sure how he feels about it.\What if he's actually in love with someone else?\We're also ten years apart.\We may not see eye to eye.\Besides... response:	I'm just...
context: but Drossel ended up choosing Fluegel.\You have no idea how happy I am about this marriage.\But I'm not sure how he feels about it.\What if he's actually in love with someone else?\We're also ten years apart.\We may not see eye to eye.\Besides...\I'm just... response:	a crybaby.
context: You have no idea how happy I am about this marriage.\But I'm not sure how he feels about it.\What if he's actually in love with someone else?\We're also ten years apart.\We may not see eye to eye.\Besides...\I'm just...\a crybaby. response:	And Alberta won't be there for me.
context: But I'm not sure how he feels about it.\What if he's actually in love with someone else?\We're also ten years apart.\We may not see eye to eye.\Besides...\I'm just...\a crybaby.\And Alberta won't be there for me. response:	What if they hate me over there?
context: What if he's actually in love with someone else?\We're also ten years apart.\We may not see eye to eye.\Besides...\I'm just...\a crybaby.\And Alberta won't be there for me.\What if they hate me over there? response:	Everything in the letter is a lie.
context: We're also ten years apart.\We may not see eye to eye.\Besides...\I'm just...\a crybaby.\And Alberta won't be there for me.\What if they hate me over there?\Everything in the letter is a lie. response:	I can't sense his true feelings.
context: We may not see eye to eye.\Besides...\I'm just...\a crybaby.\And Alberta won't be there for me.\What if they hate me over there?\Everything in the letter is a lie.\I can't sense his true feelings. response:	I want to know how he really feels.
context: Besides...\I'm just...\a crybaby.\And Alberta won't be there for me.\What if they hate me over there?\Everything in the letter is a lie.\I can't sense his true feelings.\I want to know how he really feels. response:	You want to know... how he really feels.
context: I'm just...\a crybaby.\And Alberta won't be there for me.\What if they hate me over there?\Everything in the letter is a lie.\I can't sense his true feelings.\I want to know how he really feels.\You want to know... how he really feels. response:	Princess Charlotte.
context: a crybaby.\And Alberta won't be there for me.\What if they hate me over there?\Everything in the letter is a lie.\I can't sense his true feelings.\I want to know how he really feels.\You want to know... how he really feels.\Princess Charlotte. response:	Violet?
context: And Alberta won't be there for me.\What if they hate me over there?\Everything in the letter is a lie.\I can't sense his true feelings.\I want to know how he really feels.\You want to know... how he really feels.\Princess Charlotte.\Violet? response:	We, Auto Memory Dolls, write letters for our clients.
context: What if they hate me over there?\Everything in the letter is a lie.\I can't sense his true feelings.\I want to know how he really feels.\You want to know... how he really feels.\Princess Charlotte.\Violet?\We, Auto Memory Dolls, write letters for our clients. response:	We cannot accept requests outside our duty.
context: Everything in the letter is a lie.\I can't sense his true feelings.\I want to know how he really feels.\You want to know... how he really feels.\Princess Charlotte.\Violet?\We, Auto Memory Dolls, write letters for our clients.\We cannot accept requests outside our duty. response:	I may be overstepping my bounds with what I'm about to do.
context: I can't sense his true feelings.\I want to know how he really feels.\You want to know... how he really feels.\Princess Charlotte.\Violet?\We, Auto Memory Dolls, write letters for our clients.\We cannot accept requests outside our duty.\I may be overstepping my bounds with what I'm about to do. response:	Please understand that my actions are unrelated to CH Postal Company.
context: I want to know how he really feels.\You want to know... how he really feels.\Princess Charlotte.\Violet?\We, Auto Memory Dolls, write letters for our clients.\We cannot accept requests outside our duty.\I may be overstepping my bounds with what I'm about to do.\Please understand that my actions are unrelated to CH Postal Company. response:	What are you going to do?
context: You want to know... how he really feels.\Princess Charlotte.\Violet?\We, Auto Memory Dolls, write letters for our clients.\We cannot accept requests outside our duty.\I may be overstepping my bounds with what I'm about to do.\Please understand that my actions are unrelated to CH Postal Company.\What are you going to do? response:	I want to stop your tears.
context: Princess Charlotte.\Violet?\We, Auto Memory Dolls, write letters for our clients.\We cannot accept requests outside our duty.\I may be overstepping my bounds with what I'm about to do.\Please understand that my actions are unrelated to CH Postal Company.\What are you going to do?\I want to stop your tears. response:	The words...
context: Violet?\We, Auto Memory Dolls, write letters for our clients.\We cannot accept requests outside our duty.\I may be overstepping my bounds with what I'm about to do.\Please understand that my actions are unrelated to CH Postal Company.\What are you going to do?\I want to stop your tears.\The words... response:	his Doll wrote sound familiar.
context: We, Auto Memory Dolls, write letters for our clients.\We cannot accept requests outside our duty.\I may be overstepping my bounds with what I'm about to do.\Please understand that my actions are unrelated to CH Postal Company.\What are you going to do?\I want to stop your tears.\The words...\his Doll wrote sound familiar. response:	Violet.
context: We cannot accept requests outside our duty.\I may be overstepping my bounds with what I'm about to do.\Please understand that my actions are unrelated to CH Postal Company.\What are you going to do?\I want to stop your tears.\The words...\his Doll wrote sound familiar.\Violet. response:	What is she planning to do?
context: I may be overstepping my bounds with what I'm about to do.\Please understand that my actions are unrelated to CH Postal Company.\What are you going to do?\I want to stop your tears.\The words...\his Doll wrote sound familiar.\Violet.\What is she planning to do? response:	Princess.
context: Please understand that my actions are unrelated to CH Postal Company.\What are you going to do?\I want to stop your tears.\The words...\his Doll wrote sound familiar.\Violet.\What is she planning to do?\Princess. response:	Princess Charlotte Eberfreya Drossel.
context: What are you going to do?\I want to stop your tears.\The words...\his Doll wrote sound familiar.\Violet.\What is she planning to do?\Princess.\Princess Charlotte Eberfreya Drossel. response:	Do you remember me
context: I want to stop your tears.\The words...\his Doll wrote sound familiar.\Violet.\What is she planning to do?\Princess.\Princess Charlotte Eberfreya Drossel.\Do you remember me response:	from the garden with the white camellias on that moonlit night?
context: The words...\his Doll wrote sound familiar.\Violet.\What is she planning to do?\Princess.\Princess Charlotte Eberfreya Drossel.\Do you remember me\from the garden with the white camellias on that moonlit night? response:	That's a handwritten letter!
context: his Doll wrote sound familiar.\Violet.\What is she planning to do?\Princess.\Princess Charlotte Eberfreya Drossel.\Do you remember me\from the garden with the white camellias on that moonlit night?\That's a handwritten letter! response:	It's rather brief. What is he thinking?
context: Violet.\What is she planning to do?\Princess.\Princess Charlotte Eberfreya Drossel.\Do you remember me\from the garden with the white camellias on that moonlit night?\That's a handwritten letter!\It's rather brief. What is he thinking? response:	This is a first in history. What's happening?
context: What is she planning to do?\Princess.\Princess Charlotte Eberfreya Drossel.\Do you remember me\from the garden with the white camellias on that moonlit night?\That's a handwritten letter!\It's rather brief. What is he thinking?\This is a first in history. What's happening? response:	Violet!
context: Princess.\Princess Charlotte Eberfreya Drossel.\Do you remember me\from the garden with the white camellias on that moonlit night?\That's a handwritten letter!\It's rather brief. What is he thinking?\This is a first in history. What's happening?\Violet! response:	I had a discussion with his Doll regarding our future exchanges.
context: Princess Charlotte Eberfreya Drossel.\Do you remember me\from the garden with the white camellias on that moonlit night?\That's a handwritten letter!\It's rather brief. What is he thinking?\This is a first in history. What's happening?\Violet!\I had a discussion with his Doll regarding our future exchanges. response:	It's your turn to write a letter.
context: Do you remember me\from the garden with the white camellias on that moonlit night?\That's a handwritten letter!\It's rather brief. What is he thinking?\This is a first in history. What's happening?\Violet!\I had a discussion with his Doll regarding our future exchanges.\It's your turn to write a letter. response:	Using your own words.
context: from the garden with the white camellias on that moonlit night?\That's a handwritten letter!\It's rather brief. What is he thinking?\This is a first in history. What's happening?\Violet!\I had a discussion with his Doll regarding our future exchanges.\It's your turn to write a letter.\Using your own words. response:	Prince Damian Baldur Fluegel.
context: That's a handwritten letter!\It's rather brief. What is he thinking?\This is a first in history. What's happening?\Violet!\I had a discussion with his Doll regarding our future exchanges.\It's your turn to write a letter.\Using your own words.\Prince Damian Baldur Fluegel. response:	I do remember.
context: It's rather brief. What is he thinking?\This is a first in history. What's happening?\Violet!\I had a discussion with his Doll regarding our future exchanges.\It's your turn to write a letter.\Using your own words.\Prince Damian Baldur Fluegel.\I do remember. response:	You laughed at my tear-stained face.
context: This is a first in history. What's happening?\Violet!\I had a discussion with his Doll regarding our future exchanges.\It's your turn to write a letter.\Using your own words.\Prince Damian Baldur Fluegel.\I do remember.\You laughed at my tear-stained face. response:	I was really offended by that!
context: Violet!\I had a discussion with his Doll regarding our future exchanges.\It's your turn to write a letter.\Using your own words.\Prince Damian Baldur Fluegel.\I do remember.\You laughed at my tear-stained face.\I was really offended by that! response:	But I never forgot the sound of your voice when you told me it was okay to cry.
context: I had a discussion with his Doll regarding our future exchanges.\It's your turn to write a letter.\Using your own words.\Prince Damian Baldur Fluegel.\I do remember.\You laughed at my tear-stained face.\I was really offended by that!\But I never forgot the sound of your voice when you told me it was okay to cry. response:	I never forgot about your kindness.
context: It's your turn to write a letter.\Using your own words.\Prince Damian Baldur Fluegel.\I do remember.\You laughed at my tear-stained face.\I was really offended by that!\But I never forgot the sound of your voice when you told me it was okay to cry.\I never forgot about your kindness. response:	I laughed because you were cute when you acted your age.
context: Using your own words.\Prince Damian Baldur Fluegel.\I do remember.\You laughed at my tear-stained face.\I was really offended by that!\But I never forgot the sound of your voice when you told me it was okay to cry.\I never forgot about your kindness.\I laughed because you were cute when you acted your age. response:	I didn't mean to offend you. I'm sorry.
context: Prince Damian Baldur Fluegel.\I do remember.\You laughed at my tear-stained face.\I was really offended by that!\But I never forgot the sound of your voice when you told me it was okay to cry.\I never forgot about your kindness.\I laughed because you were cute when you acted your age.\I didn't mean to offend you. I'm sorry. response:	Although my title is'Prince,' my personality isn't exactly that.
context: I do remember.\You laughed at my tear-stained face.\I was really offended by that!\But I never forgot the sound of your voice when you told me it was okay to cry.\I never forgot about your kindness.\I laughed because you were cute when you acted your age.\I didn't mean to offend you. I'm sorry.\Although my title is'Prince,' my personality isn't exactly that. response:	Don't expect me to be a mature man.
context: You laughed at my tear-stained face.\I was really offended by that!\But I never forgot the sound of your voice when you told me it was okay to cry.\I never forgot about your kindness.\I laughed because you were cute when you acted your age.\I didn't mean to offend you. I'm sorry.\Although my title is'Prince,' my personality isn't exactly that.\Don't expect me to be a mature man. response:	We only met that one night.
context: I was really offended by that!\But I never forgot the sound of your voice when you told me it was okay to cry.\I never forgot about your kindness.\I laughed because you were cute when you acted your age.\I didn't mean to offend you. I'm sorry.\Although my title is'Prince,' my personality isn't exactly that.\Don't expect me to be a mature man.\We only met that one night. response:	What kind of girl are you?
