context: What? response:	What's wrong, Maka?
context: You can't stop me!\Shinigami-sama!\How dare you, you low-life pig...\I'll scrape your skin right off!\He repelled them.\How?\You piece of crap!\Cunning bastard... response:	You knew that my range of action was restricted?
context: Shinigami-sama!\How dare you, you low-life pig...\I'll scrape your skin right off!\He repelled them.\How?\You piece of crap!\Cunning bastard...\You knew that my range of action was restricted? response:	We're done with the greetings, right?
context: How dare you, you low-life pig...\I'll scrape your skin right off!\He repelled them.\How?\You piece of crap!\Cunning bastard...\You knew that my range of action was restricted?\We're done with the greetings, right? response:	Well then, Master, I will excuse myself.
context: I'll scrape your skin right off!\He repelled them.\How?\You piece of crap!\Cunning bastard...\You knew that my range of action was restricted?\We're done with the greetings, right?\Well then, Master, I will excuse myself. response:	Well then, Master, I will excuse myself.
context: He repelled them.\How?\You piece of crap!\Cunning bastard...\You knew that my range of action was restricted?\We're done with the greetings, right?\Well then, Master, I will excuse myself.\Well then, Master, I will excuse myself. response:	Shinigami-sama!
context: How?\You piece of crap!\Cunning bastard...\You knew that my range of action was restricted?\We're done with the greetings, right?\Well then, Master, I will excuse myself.\Well then, Master, I will excuse myself.\Shinigami-sama! response:	Sid-kun...
context: You piece of crap!\Cunning bastard...\You knew that my range of action was restricted?\We're done with the greetings, right?\Well then, Master, I will excuse myself.\Well then, Master, I will excuse myself.\Shinigami-sama!\Sid-kun... response:	Taking care of the children that went underground is our top priority.
context: Cunning bastard...\You knew that my range of action was restricted?\We're done with the greetings, right?\Well then, Master, I will excuse myself.\Well then, Master, I will excuse myself.\Shinigami-sama!\Sid-kun...\Taking care of the children that went underground is our top priority. response:	Yes!
context: You knew that my range of action was restricted?\We're done with the greetings, right?\Well then, Master, I will excuse myself.\Well then, Master, I will excuse myself.\Shinigami-sama!\Sid-kun...\Taking care of the children that went underground is our top priority.\Yes! response:	After that, to all the Death Scythes scattered across the continents...
context: We're done with the greetings, right?\Well then, Master, I will excuse myself.\Well then, Master, I will excuse myself.\Shinigami-sama!\Sid-kun...\Taking care of the children that went underground is our top priority.\Yes!\After that, to all the Death Scythes scattered across the continents... response:	Understood.
context: Well then, Master, I will excuse myself.\Well then, Master, I will excuse myself.\Shinigami-sama!\Sid-kun...\Taking care of the children that went underground is our top priority.\Yes!\After that, to all the Death Scythes scattered across the continents...\Understood. response:	To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,
context: Well then, Master, I will excuse myself.\Shinigami-sama!\Sid-kun...\Taking care of the children that went underground is our top priority.\Yes!\After that, to all the Death Scythes scattered across the continents...\Understood.\To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school, response:	From now on, we're going to be busy...
context: Shinigami-sama!\Sid-kun...\Taking care of the children that went underground is our top priority.\Yes!\After that, to all the Death Scythes scattered across the continents...\Understood.\To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,\From now on, we're going to be busy... response:	If we're this far, we can relax, right?
context: Sid-kun...\Taking care of the children that went underground is our top priority.\Yes!\After that, to all the Death Scythes scattered across the continents...\Understood.\To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,\From now on, we're going to be busy...\If we're this far, we can relax, right? response:	By the way, who are you?
context: Taking care of the children that went underground is our top priority.\Yes!\After that, to all the Death Scythes scattered across the continents...\Understood.\To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,\From now on, we're going to be busy...\If we're this far, we can relax, right?\By the way, who are you? response:	I'm the result of the merging of the five Mizune.
context: Yes!\After that, to all the Death Scythes scattered across the continents...\Understood.\To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,\From now on, we're going to be busy...\If we're this far, we can relax, right?\By the way, who are you?\I'm the result of the merging of the five Mizune. response:	I see...
context: After that, to all the Death Scythes scattered across the continents...\Understood.\To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,\From now on, we're going to be busy...\If we're this far, we can relax, right?\By the way, who are you?\I'm the result of the merging of the five Mizune.\I see... response:	I can't feel Medusa's magical power.
context: Understood.\To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,\From now on, we're going to be busy...\If we're this far, we can relax, right?\By the way, who are you?\I'm the result of the merging of the five Mizune.\I see...\I can't feel Medusa's magical power. response:	I feel relieved now.
context: To think that the Kishin would be resurrected on the day when we celebrate the anniversary of this school,\From now on, we're going to be busy...\If we're this far, we can relax, right?\By the way, who are you?\I'm the result of the merging of the five Mizune.\I see...\I can't feel Medusa's magical power.\I feel relieved now. response:	It's a pity I didn't get to see that woman's dead body though.
context: From now on, we're going to be busy...\If we're this far, we can relax, right?\By the way, who are you?\I'm the result of the merging of the five Mizune.\I see...\I can't feel Medusa's magical power.\I feel relieved now.\It's a pity I didn't get to see that woman's dead body though. response:	But I kind of respected her once.
context: If we're this far, we can relax, right?\By the way, who are you?\I'm the result of the merging of the five Mizune.\I see...\I can't feel Medusa's magical power.\I feel relieved now.\It's a pity I didn't get to see that woman's dead body though.\But I kind of respected her once. response:	There isn't another witch of that caliber.
context: By the way, who are you?\I'm the result of the merging of the five Mizune.\I see...\I can't feel Medusa's magical power.\I feel relieved now.\It's a pity I didn't get to see that woman's dead body though.\But I kind of respected her once.\There isn't another witch of that caliber. response:	Just kidding.
context: I'm the result of the merging of the five Mizune.\I see...\I can't feel Medusa's magical power.\I feel relieved now.\It's a pity I didn't get to see that woman's dead body though.\But I kind of respected her once.\There isn't another witch of that caliber.\Just kidding. response:	Shinigami-sama and the Kishin were fighting, but...
context: I see...\I can't feel Medusa's magical power.\I feel relieved now.\It's a pity I didn't get to see that woman's dead body though.\But I kind of respected her once.\There isn't another witch of that caliber.\Just kidding.\Shinigami-sama and the Kishin were fighting, but... response:	So he got away?
context: I can't feel Medusa's magical power.\I feel relieved now.\It's a pity I didn't get to see that woman's dead body though.\But I kind of respected her once.\There isn't another witch of that caliber.\Just kidding.\Shinigami-sama and the Kishin were fighting, but...\So he got away? response:	Aw, I wanted to see it once, too...
context: I feel relieved now.\It's a pity I didn't get to see that woman's dead body though.\But I kind of respected her once.\There isn't another witch of that caliber.\Just kidding.\Shinigami-sama and the Kishin were fighting, but...\So he got away?\Aw, I wanted to see it once, too... response:	In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...
context: It's a pity I didn't get to see that woman's dead body though.\But I kind of respected her once.\There isn't another witch of that caliber.\Just kidding.\Shinigami-sama and the Kishin were fighting, but...\So he got away?\Aw, I wanted to see it once, too...\In the end, if I didn't leave Shinigami-sama's side, we might have stopped him... response:	This is bad.
context: But I kind of respected her once.\There isn't another witch of that caliber.\Just kidding.\Shinigami-sama and the Kishin were fighting, but...\So he got away?\Aw, I wanted to see it once, too...\In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...\This is bad. response:	Everyone's probably going to blame me...
context: There isn't another witch of that caliber.\Just kidding.\Shinigami-sama and the Kishin were fighting, but...\So he got away?\Aw, I wanted to see it once, too...\In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...\This is bad.\Everyone's probably going to blame me... response:	There's no use saying what if.
context: Just kidding.\Shinigami-sama and the Kishin were fighting, but...\So he got away?\Aw, I wanted to see it once, too...\In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...\This is bad.\Everyone's probably going to blame me...\There's no use saying what if. response:	It's not like it's all over.
context: Shinigami-sama and the Kishin were fighting, but...\So he got away?\Aw, I wanted to see it once, too...\In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...\This is bad.\Everyone's probably going to blame me...\There's no use saying what if.\It's not like it's all over. response:	If we don't find a solution for this, the world will be in big trouble.
context: So he got away?\Aw, I wanted to see it once, too...\In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...\This is bad.\Everyone's probably going to blame me...\There's no use saying what if.\It's not like it's all over.\If we don't find a solution for this, the world will be in big trouble. response:	Stein!
context: Aw, I wanted to see it once, too...\In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...\This is bad.\Everyone's probably going to blame me...\There's no use saying what if.\It's not like it's all over.\If we don't find a solution for this, the world will be in big trouble.\Stein! response:	Damn it!
context: In the end, if I didn't leave Shinigami-sama's side, we might have stopped him...\This is bad.\Everyone's probably going to blame me...\There's no use saying what if.\It's not like it's all over.\If we don't find a solution for this, the world will be in big trouble.\Stein!\Damn it! response:	I love you.
context: This is bad.\Everyone's probably going to blame me...\There's no use saying what if.\It's not like it's all over.\If we don't find a solution for this, the world will be in big trouble.\Stein!\Damn it!\I love you. response:	Stop joking around.
context: Everyone's probably going to blame me...\There's no use saying what if.\It's not like it's all over.\If we don't find a solution for this, the world will be in big trouble.\Stein!\Damn it!\I love you.\Stop joking around. response:	You're the same as me...
context: There's no use saying what if.\It's not like it's all over.\If we don't find a solution for this, the world will be in big trouble.\Stein!\Damn it!\I love you.\Stop joking around.\You're the same as me... response:	There's no way we'd understand such a thing as love.
context: It's not like it's all over.\If we don't find a solution for this, the world will be in big trouble.\Stein!\Damn it!\I love you.\Stop joking around.\You're the same as me...\There's no way we'd understand such a thing as love. response:	What a woman... she destroyed her own soul?
context: If we don't find a solution for this, the world will be in big trouble.\Stein!\Damn it!\I love you.\Stop joking around.\You're the same as me...\There's no way we'd understand such a thing as love.\What a woman... she destroyed her own soul? response:	The resurrection of the Kishin has greater consequences than we can imagine.
context: Stein!\Damn it!\I love you.\Stop joking around.\You're the same as me...\There's no way we'd understand such a thing as love.\What a woman... she destroyed her own soul?\The resurrection of the Kishin has greater consequences than we can imagine. response:	Madness is contagious.
context: Damn it!\I love you.\Stop joking around.\You're the same as me...\There's no way we'd understand such a thing as love.\What a woman... she destroyed her own soul?\The resurrection of the Kishin has greater consequences than we can imagine.\Madness is contagious. response:	If you think it will take long, then it will.
context: I love you.\Stop joking around.\You're the same as me...\There's no way we'd understand such a thing as love.\What a woman... she destroyed her own soul?\The resurrection of the Kishin has greater consequences than we can imagine.\Madness is contagious.\If you think it will take long, then it will. response:	There are also people that will think back and say it took long.
context: Stop joking around.\You're the same as me...\There's no way we'd understand such a thing as love.\What a woman... she destroyed her own soul?\The resurrection of the Kishin has greater consequences than we can imagine.\Madness is contagious.\If you think it will take long, then it will.\There are also people that will think back and say it took long. response:	Even in those nights, without exception,
