context: The truth is... response:	Honestly, I wasn't going to play volleyball in high school.
context: Tamarai-san.\I dunno if I should say this,\but Kariu was crying the other day.\The day after she got hurt, I think.\Back then, I had no idea why she was crying.\But I think I get it now.\If she really didn't care about you or the club,\I don't think she'd cry. response:	She's so stubborn!
context: I dunno if I should say this,\but Kariu was crying the other day.\The day after she got hurt, I think.\Back then, I had no idea why she was crying.\But I think I get it now.\If she really didn't care about you or the club,\I don't think she'd cry.\She's so stubborn! response:	So, um, I dunno how to say it...
context: but Kariu was crying the other day.\The day after she got hurt, I think.\Back then, I had no idea why she was crying.\But I think I get it now.\If she really didn't care about you or the club,\I don't think she'd cry.\She's so stubborn!\So, um, I dunno how to say it... response:	My point is, what she said just now isn't how she really feels.
context: The day after she got hurt, I think.\Back then, I had no idea why she was crying.\But I think I get it now.\If she really didn't care about you or the club,\I don't think she'd cry.\She's so stubborn!\So, um, I dunno how to say it...\My point is, what she said just now isn't how she really feels. response:	Thanks, Oga-kun.
context: Back then, I had no idea why she was crying.\But I think I get it now.\If she really didn't care about you or the club,\I don't think she'd cry.\She's so stubborn!\So, um, I dunno how to say it...\My point is, what she said just now isn't how she really feels.\Thanks, Oga-kun. response:	I think so, too.
context: But I think I get it now.\If she really didn't care about you or the club,\I don't think she'd cry.\She's so stubborn!\So, um, I dunno how to say it...\My point is, what she said just now isn't how she really feels.\Thanks, Oga-kun.\I think so, too. response:	Rena really is stubborn.
context: If she really didn't care about you or the club,\I don't think she'd cry.\She's so stubborn!\So, um, I dunno how to say it...\My point is, what she said just now isn't how she really feels.\Thanks, Oga-kun.\I think so, too.\Rena really is stubborn. response:	I'm gonna trust her and wait.
context: I don't think she'd cry.\She's so stubborn!\So, um, I dunno how to say it...\My point is, what she said just now isn't how she really feels.\Thanks, Oga-kun.\I think so, too.\Rena really is stubborn.\I'm gonna trust her and wait. response:	Sorry I couldn't be of more help.
context: She's so stubborn!\So, um, I dunno how to say it...\My point is, what she said just now isn't how she really feels.\Thanks, Oga-kun.\I think so, too.\Rena really is stubborn.\I'm gonna trust her and wait.\Sorry I couldn't be of more help. response:	I was only able to talk to Tamarai-san because you were there. Thank you.
context: So, um, I dunno how to say it...\My point is, what she said just now isn't how she really feels.\Thanks, Oga-kun.\I think so, too.\Rena really is stubborn.\I'm gonna trust her and wait.\Sorry I couldn't be of more help.\I was only able to talk to Tamarai-san because you were there. Thank you. response:	Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.
context: My point is, what she said just now isn't how she really feels.\Thanks, Oga-kun.\I think so, too.\Rena really is stubborn.\I'm gonna trust her and wait.\Sorry I couldn't be of more help.\I was only able to talk to Tamarai-san because you were there. Thank you.\Tamarai-san said she'd trust Kariu-san and wait. I'll do the same. response:	Again, why use that sticker there?!
context: Thanks, Oga-kun.\I think so, too.\Rena really is stubborn.\I'm gonna trust her and wait.\Sorry I couldn't be of more help.\I was only able to talk to Tamarai-san because you were there. Thank you.\Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.\Again, why use that sticker there?! response:	Yeah?
context: I think so, too.\Rena really is stubborn.\I'm gonna trust her and wait.\Sorry I couldn't be of more help.\I was only able to talk to Tamarai-san because you were there. Thank you.\Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.\Again, why use that sticker there?!\Yeah? response:	Ah, hello, Kaizaki-san?
context: Rena really is stubborn.\I'm gonna trust her and wait.\Sorry I couldn't be of more help.\I was only able to talk to Tamarai-san because you were there. Thank you.\Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.\Again, why use that sticker there?!\Yeah?\Ah, hello, Kaizaki-san? response:	I was wondering about your schedule this weekend.
context: I'm gonna trust her and wait.\Sorry I couldn't be of more help.\I was only able to talk to Tamarai-san because you were there. Thank you.\Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.\Again, why use that sticker there?!\Yeah?\Ah, hello, Kaizaki-san?\I was wondering about your schedule this weekend. response:	Do you have any plans?
context: Sorry I couldn't be of more help.\I was only able to talk to Tamarai-san because you were there. Thank you.\Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.\Again, why use that sticker there?!\Yeah?\Ah, hello, Kaizaki-san?\I was wondering about your schedule this weekend.\Do you have any plans? response:	Going to watch volleyball with Hishiro-san.
context: I was only able to talk to Tamarai-san because you were there. Thank you.\Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.\Again, why use that sticker there?!\Yeah?\Ah, hello, Kaizaki-san?\I was wondering about your schedule this weekend.\Do you have any plans?\Going to watch volleyball with Hishiro-san. response:	A date?!
context: Tamarai-san said she'd trust Kariu-san and wait. I'll do the same.\Again, why use that sticker there?!\Yeah?\Ah, hello, Kaizaki-san?\I was wondering about your schedule this weekend.\Do you have any plans?\Going to watch volleyball with Hishiro-san.\A date?! response:	Oh, come on!
context: Again, why use that sticker there?!\Yeah?\Ah, hello, Kaizaki-san?\I was wondering about your schedule this weekend.\Do you have any plans?\Going to watch volleyball with Hishiro-san.\A date?!\Oh, come on! response:	You know everything already!
context: Yeah?\Ah, hello, Kaizaki-san?\I was wondering about your schedule this weekend.\Do you have any plans?\Going to watch volleyball with Hishiro-san.\A date?!\Oh, come on!\You know everything already! response:	This isn't for fun.
context: Ah, hello, Kaizaki-san?\I was wondering about your schedule this weekend.\Do you have any plans?\Going to watch volleyball with Hishiro-san.\A date?!\Oh, come on!\You know everything already!\This isn't for fun. response:	I beg your pardon.
context: I was wondering about your schedule this weekend.\Do you have any plans?\Going to watch volleyball with Hishiro-san.\A date?!\Oh, come on!\You know everything already!\This isn't for fun.\I beg your pardon. response:	Of course I know.
context: Do you have any plans?\Going to watch volleyball with Hishiro-san.\A date?!\Oh, come on!\You know everything already!\This isn't for fun.\I beg your pardon.\Of course I know. response:	Let's hope Kariu-san shows.
context: Going to watch volleyball with Hishiro-san.\A date?!\Oh, come on!\You know everything already!\This isn't for fun.\I beg your pardon.\Of course I know.\Let's hope Kariu-san shows. response:	Thank you, Kaizaki-san.
context: A date?!\Oh, come on!\You know everything already!\This isn't for fun.\I beg your pardon.\Of course I know.\Let's hope Kariu-san shows.\Thank you, Kaizaki-san. response:	Huh? Where'd that come from?
context: Oh, come on!\You know everything already!\This isn't for fun.\I beg your pardon.\Of course I know.\Let's hope Kariu-san shows.\Thank you, Kaizaki-san.\Huh? Where'd that come from? response:	I just felt like saying thanks.
context: You know everything already!\This isn't for fun.\I beg your pardon.\Of course I know.\Let's hope Kariu-san shows.\Thank you, Kaizaki-san.\Huh? Where'd that come from?\I just felt like saying thanks. response:	You're not making any sense. Creepy.
context: This isn't for fun.\I beg your pardon.\Of course I know.\Let's hope Kariu-san shows.\Thank you, Kaizaki-san.\Huh? Where'd that come from?\I just felt like saying thanks.\You're not making any sense. Creepy. response:	Well, I'll see you tomorrow. Bye!
context: I beg your pardon.\Of course I know.\Let's hope Kariu-san shows.\Thank you, Kaizaki-san.\Huh? Where'd that come from?\I just felt like saying thanks.\You're not making any sense. Creepy.\Well, I'll see you tomorrow. Bye! response:	Thanks?
context: Of course I know.\Let's hope Kariu-san shows.\Thank you, Kaizaki-san.\Huh? Where'd that come from?\I just felt like saying thanks.\You're not making any sense. Creepy.\Well, I'll see you tomorrow. Bye!\Thanks? response:	I didn't do anything. Weirdo.
context: Let's hope Kariu-san shows.\Thank you, Kaizaki-san.\Huh? Where'd that come from?\I just felt like saying thanks.\You're not making any sense. Creepy.\Well, I'll see you tomorrow. Bye!\Thanks?\I didn't do anything. Weirdo. response:	Wait, tomorrow?
context: Thank you, Kaizaki-san.\Huh? Where'd that come from?\I just felt like saying thanks.\You're not making any sense. Creepy.\Well, I'll see you tomorrow. Bye!\Thanks?\I didn't do anything. Weirdo.\Wait, tomorrow? response:	He's coming?!
context: Huh? Where'd that come from?\I just felt like saying thanks.\You're not making any sense. Creepy.\Well, I'll see you tomorrow. Bye!\Thanks?\I didn't do anything. Weirdo.\Wait, tomorrow?\He's coming?! response:	Honoka!
context: I just felt like saying thanks.\You're not making any sense. Creepy.\Well, I'll see you tomorrow. Bye!\Thanks?\I didn't do anything. Weirdo.\Wait, tomorrow?\He's coming?!\Honoka! response:	Is Rena...?
context: You're not making any sense. Creepy.\Well, I'll see you tomorrow. Bye!\Thanks?\I didn't do anything. Weirdo.\Wait, tomorrow?\He's coming?!\Honoka!\Is Rena...? response:	Oh. I called her place, but...
context: Well, I'll see you tomorrow. Bye!\Thanks?\I didn't do anything. Weirdo.\Wait, tomorrow?\He's coming?!\Honoka!\Is Rena...?\Oh. I called her place, but... response:	Let's have a good match!
context: Thanks?\I didn't do anything. Weirdo.\Wait, tomorrow?\He's coming?!\Honoka!\Is Rena...?\Oh. I called her place, but...\Let's have a good match! response:	I knew she wouldn't show.
context: I didn't do anything. Weirdo.\Wait, tomorrow?\He's coming?!\Honoka!\Is Rena...?\Oh. I called her place, but...\Let's have a good match!\I knew she wouldn't show. response:	But the tournament goes on tomorrow, too!
context: Wait, tomorrow?\He's coming?!\Honoka!\Is Rena...?\Oh. I called her place, but...\Let's have a good match!\I knew she wouldn't show.\But the tournament goes on tomorrow, too! response:	The tournament does, but...
context: He's coming?!\Honoka!\Is Rena...?\Oh. I called her place, but...\Let's have a good match!\I knew she wouldn't show.\But the tournament goes on tomorrow, too!\The tournament does, but... response:	This is an elimination tournament.
context: Honoka!\Is Rena...?\Oh. I called her place, but...\Let's have a good match!\I knew she wouldn't show.\But the tournament goes on tomorrow, too!\The tournament does, but...\This is an elimination tournament. response:	If they lose, they don't play ever again, let alone tomorrow.
context: Is Rena...?\Oh. I called her place, but...\Let's have a good match!\I knew she wouldn't show.\But the tournament goes on tomorrow, too!\The tournament does, but...\This is an elimination tournament.\If they lose, they don't play ever again, let alone tomorrow. response:	Does anybody know where Kariu lives?
context: Oh. I called her place, but...\Let's have a good match!\I knew she wouldn't show.\But the tournament goes on tomorrow, too!\The tournament does, but...\This is an elimination tournament.\If they lose, they don't play ever again, let alone tomorrow.\Does anybody know where Kariu lives? response:	You don't know?
context: Let's have a good match!\I knew she wouldn't show.\But the tournament goes on tomorrow, too!\The tournament does, but...\This is an elimination tournament.\If they lose, they don't play ever again, let alone tomorrow.\Does anybody know where Kariu lives?\You don't know? response:	Um... sorry.
context: I knew she wouldn't show.\But the tournament goes on tomorrow, too!\The tournament does, but...\This is an elimination tournament.\If they lose, they don't play ever again, let alone tomorrow.\Does anybody know where Kariu lives?\You don't know?\Um... sorry. response:	I'm done waiting.
context: But the tournament goes on tomorrow, too!\The tournament does, but...\This is an elimination tournament.\If they lose, they don't play ever again, let alone tomorrow.\Does anybody know where Kariu lives?\You don't know?\Um... sorry.\I'm done waiting. response:	I'll drag her here if I have to.
context: The tournament does, but...\This is an elimination tournament.\If they lose, they don't play ever again, let alone tomorrow.\Does anybody know where Kariu lives?\You don't know?\Um... sorry.\I'm done waiting.\I'll drag her here if I have to. response:	Kaizaki-san.
context: This is an elimination tournament.\If they lose, they don't play ever again, let alone tomorrow.\Does anybody know where Kariu lives?\You don't know?\Um... sorry.\I'm done waiting.\I'll drag her here if I have to.\Kaizaki-san. response:	Do you know where she lives?
context: If they lose, they don't play ever again, let alone tomorrow.\Does anybody know where Kariu lives?\You don't know?\Um... sorry.\I'm done waiting.\I'll drag her here if I have to.\Kaizaki-san.\Do you know where she lives? response:	Sorry. I don't.
context: Does anybody know where Kariu lives?\You don't know?\Um... sorry.\I'm done waiting.\I'll drag her here if I have to.\Kaizaki-san.\Do you know where she lives?\Sorry. I don't. response:	Kariu-san's address.
context: You don't know?\Um... sorry.\I'm done waiting.\I'll drag her here if I have to.\Kaizaki-san.\Do you know where she lives?\Sorry. I don't.\Kariu-san's address. response:	Yikes! It's bad enough that he knows her address,
context: Um... sorry.\I'm done waiting.\I'll drag her here if I have to.\Kaizaki-san.\Do you know where she lives?\Sorry. I don't.\Kariu-san's address.\Yikes! It's bad enough that he knows her address, response:	but to send it with this timing is really creepy!
context: I'm done waiting.\I'll drag her here if I have to.\Kaizaki-san.\Do you know where she lives?\Sorry. I don't.\Kariu-san's address.\Yikes! It's bad enough that he knows her address,\but to send it with this timing is really creepy! response:	Uh, I'll ask Sensei.
context: I'll drag her here if I have to.\Kaizaki-san.\Do you know where she lives?\Sorry. I don't.\Kariu-san's address.\Yikes! It's bad enough that he knows her address,\but to send it with this timing is really creepy!\Uh, I'll ask Sensei. response:	Let's go.
context: Kaizaki-san.\Do you know where she lives?\Sorry. I don't.\Kariu-san's address.\Yikes! It's bad enough that he knows her address,\but to send it with this timing is really creepy!\Uh, I'll ask Sensei.\Let's go. response:	Right.
context: Do you know where she lives?\Sorry. I don't.\Kariu-san's address.\Yikes! It's bad enough that he knows her address,\but to send it with this timing is really creepy!\Uh, I'll ask Sensei.\Let's go.\Right. response:	Oga, keep us updated on the match.
context: Sorry. I don't.\Kariu-san's address.\Yikes! It's bad enough that he knows her address,\but to send it with this timing is really creepy!\Uh, I'll ask Sensei.\Let's go.\Right.\Oga, keep us updated on the match. response:	G-Got it.
context: Kariu-san's address.\Yikes! It's bad enough that he knows her address,\but to send it with this timing is really creepy!\Uh, I'll ask Sensei.\Let's go.\Right.\Oga, keep us updated on the match.\G-Got it. response:	That's unusual.
context: Yikes! It's bad enough that he knows her address,\but to send it with this timing is really creepy!\Uh, I'll ask Sensei.\Let's go.\Right.\Oga, keep us updated on the match.\G-Got it.\That's unusual. response:	Not like you to step in and help.
context: but to send it with this timing is really creepy!\Uh, I'll ask Sensei.\Let's go.\Right.\Oga, keep us updated on the match.\G-Got it.\That's unusual.\Not like you to step in and help. response:	You're always yelling at me for getting too involved.
context: Uh, I'll ask Sensei.\Let's go.\Right.\Oga, keep us updated on the match.\G-Got it.\That's unusual.\Not like you to step in and help.\You're always yelling at me for getting too involved. response:	Are you that happy things are changing?
context: Let's go.\Right.\Oga, keep us updated on the match.\G-Got it.\That's unusual.\Not like you to step in and help.\You're always yelling at me for getting too involved.\Are you that happy things are changing? response:	Yeah.
context: Right.\Oga, keep us updated on the match.\G-Got it.\That's unusual.\Not like you to step in and help.\You're always yelling at me for getting too involved.\Are you that happy things are changing?\Yeah. response:	Kariu
context: Oga, keep us updated on the match.\G-Got it.\That's unusual.\Not like you to step in and help.\You're always yelling at me for getting too involved.\Are you that happy things are changing?\Yeah.\Kariu response:	Yeah?
context: G-Got it.\That's unusual.\Not like you to step in and help.\You're always yelling at me for getting too involved.\Are you that happy things are changing?\Yeah.\Kariu\Yeah? response:	It's...
context: That's unusual.\Not like you to step in and help.\You're always yelling at me for getting too involved.\Are you that happy things are changing?\Yeah.\Kariu\Yeah?\It's... response:	Um, delivery.
context: Not like you to step in and help.\You're always yelling at me for getting too involved.\Are you that happy things are changing?\Yeah.\Kariu\Yeah?\It's...\Um, delivery. response:	Coming!
context: You're always yelling at me for getting too involved.\Are you that happy things are changing?\Yeah.\Kariu\Yeah?\It's...\Um, delivery.\Coming! response:	She might not open if she knows it's us.
context: Are you that happy things are changing?\Yeah.\Kariu\Yeah?\It's...\Um, delivery.\Coming!\She might not open if she knows it's us. response:	I see.
context: Yeah.\Kariu\Yeah?\It's...\Um, delivery.\Coming!\She might not open if she knows it's us.\I see. response:	Lying comes as naturally to you as breathing.
context: Kariu\Yeah?\It's...\Um, delivery.\Coming!\She might not open if she knows it's us.\I see.\Lying comes as naturally to you as breathing. response:	Your character is suspect.
context: Yeah?\It's...\Um, delivery.\Coming!\She might not open if she knows it's us.\I see.\Lying comes as naturally to you as breathing.\Your character is suspect. response:	Did you really have to go that far?
context: It's...\Um, delivery.\Coming!\She might not open if she knows it's us.\I see.\Lying comes as naturally to you as breathing.\Your character is suspect.\Did you really have to go that far? response:	Yo!
context: Um, delivery.\Coming!\She might not open if she knows it's us.\I see.\Lying comes as naturally to you as breathing.\Your character is suspect.\Did you really have to go that far?\Yo! response:	Hello.
context: Coming!\She might not open if she knows it's us.\I see.\Lying comes as naturally to you as breathing.\Your character is suspect.\Did you really have to go that far?\Yo!\Hello. response:	We've come too far to let you get away, Kariu.
context: She might not open if she knows it's us.\I see.\Lying comes as naturally to you as breathing.\Your character is suspect.\Did you really have to go that far?\Yo!\Hello.\We've come too far to let you get away, Kariu. response:	Why are you here?
context: I see.\Lying comes as naturally to you as breathing.\Your character is suspect.\Did you really have to go that far?\Yo!\Hello.\We've come too far to let you get away, Kariu.\Why are you here? response:	We all believed you would come and waited, but you didn't.
context: Lying comes as naturally to you as breathing.\Your character is suspect.\Did you really have to go that far?\Yo!\Hello.\We've come too far to let you get away, Kariu.\Why are you here?\We all believed you would come and waited, but you didn't. response:	So we came to drag you there.
context: Your character is suspect.\Did you really have to go that far?\Yo!\Hello.\We've come too far to let you get away, Kariu.\Why are you here?\We all believed you would come and waited, but you didn't.\So we came to drag you there. response:	I never asked you to believe in me.
context: Did you really have to go that far?\Yo!\Hello.\We've come too far to let you get away, Kariu.\Why are you here?\We all believed you would come and waited, but you didn't.\So we came to drag you there.\I never asked you to believe in me. response:	I didn't want to go, so I didn't.
context: Yo!\Hello.\We've come too far to let you get away, Kariu.\Why are you here?\We all believed you would come and waited, but you didn't.\So we came to drag you there.\I never asked you to believe in me.\I didn't want to go, so I didn't. response:	That's all.
context: Hello.\We've come too far to let you get away, Kariu.\Why are you here?\We all believed you would come and waited, but you didn't.\So we came to drag you there.\I never asked you to believe in me.\I didn't want to go, so I didn't.\That's all. response:	Don't show up like this.
context: We've come too far to let you get away, Kariu.\Why are you here?\We all believed you would come and waited, but you didn't.\So we came to drag you there.\I never asked you to believe in me.\I didn't want to go, so I didn't.\That's all.\Don't show up like this. response:	You're dressed like you're going.
context: Why are you here?\We all believed you would come and waited, but you didn't.\So we came to drag you there.\I never asked you to believe in me.\I didn't want to go, so I didn't.\That's all.\Don't show up like this.\You're dressed like you're going. response:	I wear this at home!
context: We all believed you would come and waited, but you didn't.\So we came to drag you there.\I never asked you to believe in me.\I didn't want to go, so I didn't.\That's all.\Don't show up like this.\You're dressed like you're going.\I wear this at home! response:	Your team tracksuit?
context: So we came to drag you there.\I never asked you to believe in me.\I didn't want to go, so I didn't.\That's all.\Don't show up like this.\You're dressed like you're going.\I wear this at home!\Your team tracksuit? response:	Yes!
context: I never asked you to believe in me.\I didn't want to go, so I didn't.\That's all.\Don't show up like this.\You're dressed like you're going.\I wear this at home!\Your team tracksuit?\Yes! response:	With your uniform underneath?
context: I didn't want to go, so I didn't.\That's all.\Don't show up like this.\You're dressed like you're going.\I wear this at home!\Your team tracksuit?\Yes!\With your uniform underneath? response:	You wanted to go, didn't you?
context: That's all.\Don't show up like this.\You're dressed like you're going.\I wear this at home!\Your team tracksuit?\Yes!\With your uniform underneath?\You wanted to go, didn't you? response:	To play one last match with Tamarai-san.
context: Don't show up like this.\You're dressed like you're going.\I wear this at home!\Your team tracksuit?\Yes!\With your uniform underneath?\You wanted to go, didn't you?\To play one last match with Tamarai-san. response:	It's none of your business.
context: You're dressed like you're going.\I wear this at home!\Your team tracksuit?\Yes!\With your uniform underneath?\You wanted to go, didn't you?\To play one last match with Tamarai-san.\It's none of your business. response:	You've got a lot of nerve.
context: I wear this at home!\Your team tracksuit?\Yes!\With your uniform underneath?\You wanted to go, didn't you?\To play one last match with Tamarai-san.\It's none of your business.\You've got a lot of nerve. response:	Hishiro, you're too dense to understand how I feel, so stop trying!
context: Your team tracksuit?\Yes!\With your uniform underneath?\You wanted to go, didn't you?\To play one last match with Tamarai-san.\It's none of your business.\You've got a lot of nerve.\Hishiro, you're too dense to understand how I feel, so stop trying! response:	Kariu!
context: Yes!\With your uniform underneath?\You wanted to go, didn't you?\To play one last match with Tamarai-san.\It's none of your business.\You've got a lot of nerve.\Hishiro, you're too dense to understand how I feel, so stop trying!\Kariu! response:	If I don't understand how a friend feels,
context: With your uniform underneath?\You wanted to go, didn't you?\To play one last match with Tamarai-san.\It's none of your business.\You've got a lot of nerve.\Hishiro, you're too dense to understand how I feel, so stop trying!\Kariu!\If I don't understand how a friend feels, response:	am I not allowed to worry about them?
context: You wanted to go, didn't you?\To play one last match with Tamarai-san.\It's none of your business.\You've got a lot of nerve.\Hishiro, you're too dense to understand how I feel, so stop trying!\Kariu!\If I don't understand how a friend feels,\am I not allowed to worry about them? response:	If I don't experience what you do,
context: To play one last match with Tamarai-san.\It's none of your business.\You've got a lot of nerve.\Hishiro, you're too dense to understand how I feel, so stop trying!\Kariu!\If I don't understand how a friend feels,\am I not allowed to worry about them?\If I don't experience what you do, response:	am I not allowed to worry about you, my friend?
context: It's none of your business.\You've got a lot of nerve.\Hishiro, you're too dense to understand how I feel, so stop trying!\Kariu!\If I don't understand how a friend feels,\am I not allowed to worry about them?\If I don't experience what you do,\am I not allowed to worry about you, my friend? response:	Please, let that iron guard down for a minute.
context: You've got a lot of nerve.\Hishiro, you're too dense to understand how I feel, so stop trying!\Kariu!\If I don't understand how a friend feels,\am I not allowed to worry about them?\If I don't experience what you do,\am I not allowed to worry about you, my friend?\Please, let that iron guard down for a minute. response:	It's only hurting you.
context: Hishiro, you're too dense to understand how I feel, so stop trying!\Kariu!\If I don't understand how a friend feels,\am I not allowed to worry about them?\If I don't experience what you do,\am I not allowed to worry about you, my friend?\Please, let that iron guard down for a minute.\It's only hurting you. response:	I know, when you've hit rock bottom,
context: Kariu!\If I don't understand how a friend feels,\am I not allowed to worry about them?\If I don't experience what you do,\am I not allowed to worry about you, my friend?\Please, let that iron guard down for a minute.\It's only hurting you.\I know, when you've hit rock bottom, response:	people trying to cheer you up can be really annoying.
context: If I don't understand how a friend feels,\am I not allowed to worry about them?\If I don't experience what you do,\am I not allowed to worry about you, my friend?\Please, let that iron guard down for a minute.\It's only hurting you.\I know, when you've hit rock bottom,\people trying to cheer you up can be really annoying. response:	What would you know?
context: am I not allowed to worry about them?\If I don't experience what you do,\am I not allowed to worry about you, my friend?\Please, let that iron guard down for a minute.\It's only hurting you.\I know, when you've hit rock bottom,\people trying to cheer you up can be really annoying.\What would you know? response:	Just leave me alone.
context: If I don't experience what you do,\am I not allowed to worry about you, my friend?\Please, let that iron guard down for a minute.\It's only hurting you.\I know, when you've hit rock bottom,\people trying to cheer you up can be really annoying.\What would you know?\Just leave me alone. response:	But what if someone you're pushing away
context: am I not allowed to worry about you, my friend?\Please, let that iron guard down for a minute.\It's only hurting you.\I know, when you've hit rock bottom,\people trying to cheer you up can be really annoying.\What would you know?\Just leave me alone.\But what if someone you're pushing away response:	is really worried about you?
context: Please, let that iron guard down for a minute.\It's only hurting you.\I know, when you've hit rock bottom,\people trying to cheer you up can be really annoying.\What would you know?\Just leave me alone.\But what if someone you're pushing away\is really worried about you? response:	That'd be a shame.
context: It's only hurting you.\I know, when you've hit rock bottom,\people trying to cheer you up can be really annoying.\What would you know?\Just leave me alone.\But what if someone you're pushing away\is really worried about you?\That'd be a shame. response:	Hishiro may be awkward, but she was genuinely worried.
context: I know, when you've hit rock bottom,\people trying to cheer you up can be really annoying.\What would you know?\Just leave me alone.\But what if someone you're pushing away\is really worried about you?\That'd be a shame.\Hishiro may be awkward, but she was genuinely worried. response:	I didn't ask her to be.
context: people trying to cheer you up can be really annoying.\What would you know?\Just leave me alone.\But what if someone you're pushing away\is really worried about you?\That'd be a shame.\Hishiro may be awkward, but she was genuinely worried.\I didn't ask her to be. response:	Quit patronizing me.
context: What would you know?\Just leave me alone.\But what if someone you're pushing away\is really worried about you?\That'd be a shame.\Hishiro may be awkward, but she was genuinely worried.\I didn't ask her to be.\Quit patronizing me. response:	Kariu!
context: Just leave me alone.\But what if someone you're pushing away\is really worried about you?\That'd be a shame.\Hishiro may be awkward, but she was genuinely worried.\I didn't ask her to be.\Quit patronizing me.\Kariu! response:	Ow!
context: But what if someone you're pushing away\is really worried about you?\That'd be a shame.\Hishiro may be awkward, but she was genuinely worried.\I didn't ask her to be.\Quit patronizing me.\Kariu!\Ow! response:	Hishiro-san?
context: is really worried about you?\That'd be a shame.\Hishiro may be awkward, but she was genuinely worried.\I didn't ask her to be.\Quit patronizing me.\Kariu!\Ow!\Hishiro-san? response:	Wh-What's gotten into you?
context: That'd be a shame.\Hishiro may be awkward, but she was genuinely worried.\I didn't ask her to be.\Quit patronizing me.\Kariu!\Ow!\Hishiro-san?\Wh-What's gotten into you? response:	Knock it off already, you stubborn fool.
context: Hishiro may be awkward, but she was genuinely worried.\I didn't ask her to be.\Quit patronizing me.\Kariu!\Ow!\Hishiro-san?\Wh-What's gotten into you?\Knock it off already, you stubborn fool. response:	What do you want, Kariu-san?
context: I didn't ask her to be.\Quit patronizing me.\Kariu!\Ow!\Hishiro-san?\Wh-What's gotten into you?\Knock it off already, you stubborn fool.\What do you want, Kariu-san? response:	To stay at home forever?
context: Quit patronizing me.\Kariu!\Ow!\Hishiro-san?\Wh-What's gotten into you?\Knock it off already, you stubborn fool.\What do you want, Kariu-san?\To stay at home forever? response:	To throw away three years of practice like this?
context: Kariu!\Ow!\Hishiro-san?\Wh-What's gotten into you?\Knock it off already, you stubborn fool.\What do you want, Kariu-san?\To stay at home forever?\To throw away three years of practice like this? response:	To cut ties with your best friend?
context: Ow!\Hishiro-san?\Wh-What's gotten into you?\Knock it off already, you stubborn fool.\What do you want, Kariu-san?\To stay at home forever?\To throw away three years of practice like this?\To cut ties with your best friend? response:	To spend the rest of the school year all alone?
context: Hishiro-san?\Wh-What's gotten into you?\Knock it off already, you stubborn fool.\What do you want, Kariu-san?\To stay at home forever?\To throw away three years of practice like this?\To cut ties with your best friend?\To spend the rest of the school year all alone? response:	I did that. I don't recommend it.
context: Wh-What's gotten into you?\Knock it off already, you stubborn fool.\What do you want, Kariu-san?\To stay at home forever?\To throw away three years of practice like this?\To cut ties with your best friend?\To spend the rest of the school year all alone?\I did that. I don't recommend it. response:	This moment, right here?
context: Knock it off already, you stubborn fool.\What do you want, Kariu-san?\To stay at home forever?\To throw away three years of practice like this?\To cut ties with your best friend?\To spend the rest of the school year all alone?\I did that. I don't recommend it.\This moment, right here? response:	You can't come back to it.
context: What do you want, Kariu-san?\To stay at home forever?\To throw away three years of practice like this?\To cut ties with your best friend?\To spend the rest of the school year all alone?\I did that. I don't recommend it.\This moment, right here?\You can't come back to it. response:	I want you to go to that match and laugh with Tamarai-san again.
context: To stay at home forever?\To throw away three years of practice like this?\To cut ties with your best friend?\To spend the rest of the school year all alone?\I did that. I don't recommend it.\This moment, right here?\You can't come back to it.\I want you to go to that match and laugh with Tamarai-san again. response:	I want the three of us to eat lunch together again.
context: To throw away three years of practice like this?\To cut ties with your best friend?\To spend the rest of the school year all alone?\I did that. I don't recommend it.\This moment, right here?\You can't come back to it.\I want you to go to that match and laugh with Tamarai-san again.\I want the three of us to eat lunch together again. response:	I'm not trying to patronize you.
context: To cut ties with your best friend?\To spend the rest of the school year all alone?\I did that. I don't recommend it.\This moment, right here?\You can't come back to it.\I want you to go to that match and laugh with Tamarai-san again.\I want the three of us to eat lunch together again.\I'm not trying to patronize you. response:	Just trying to fulfill my selfish desire.
context: To spend the rest of the school year all alone?\I did that. I don't recommend it.\This moment, right here?\You can't come back to it.\I want you to go to that match and laugh with Tamarai-san again.\I want the three of us to eat lunch together again.\I'm not trying to patronize you.\Just trying to fulfill my selfish desire. response:	So...
context: I did that. I don't recommend it.\This moment, right here?\You can't come back to it.\I want you to go to that match and laugh with Tamarai-san again.\I want the three of us to eat lunch together again.\I'm not trying to patronize you.\Just trying to fulfill my selfish desire.\So... response:	Do you really want things to stay this way?
context: This moment, right here?\You can't come back to it.\I want you to go to that match and laugh with Tamarai-san again.\I want the three of us to eat lunch together again.\I'm not trying to patronize you.\Just trying to fulfill my selfish desire.\So...\Do you really want things to stay this way? response:	What do you actually want?
