context: Why am I in this crowd? response:	No no, if I make it through there's a mountain of dojinshi waiting for me.
context: You can stop now...\Man, that's brave...\Brave and risky...\Are y-you seriously okay, Madarame?\It gradually hurts less and less...\I-Isn't that bad?\Come on, here's where it really begins!\We're finally at the east hall! response:	But...
context: Man, that's brave...\Brave and risky...\Are y-you seriously okay, Madarame?\It gradually hurts less and less...\I-Isn't that bad?\Come on, here's where it really begins!\We're finally at the east hall!\But... response:	Y-You can't shop with that hand, can you?
context: Brave and risky...\Are y-you seriously okay, Madarame?\It gradually hurts less and less...\I-Isn't that bad?\Come on, here's where it really begins!\We're finally at the east hall!\But...\Y-You can't shop with that hand, can you? response:	Right, so...
context: Are y-you seriously okay, Madarame?\It gradually hurts less and less...\I-Isn't that bad?\Come on, here's where it really begins!\We're finally at the east hall!\But...\Y-You can't shop with that hand, can you?\Right, so... response:	I'll stick close behind Sasahara, he's just the right height...
context: It gradually hurts less and less...\I-Isn't that bad?\Come on, here's where it really begins!\We're finally at the east hall!\But...\Y-You can't shop with that hand, can you?\Right, so...\I'll stick close behind Sasahara, he's just the right height... response:	If I like something he looks at, he can buy two copies and I'll pay him later.
context: I-Isn't that bad?\Come on, here's where it really begins!\We're finally at the east hall!\But...\Y-You can't shop with that hand, can you?\Right, so...\I'll stick close behind Sasahara, he's just the right height...\If I like something he looks at, he can buy two copies and I'll pay him later. response:	Just choose stuff you're into!
context: Come on, here's where it really begins!\We're finally at the east hall!\But...\Y-You can't shop with that hand, can you?\Right, so...\I'll stick close behind Sasahara, he's just the right height...\If I like something he looks at, he can buy two copies and I'll pay him later.\Just choose stuff you're into! response:	I still don't like this.
context: We're finally at the east hall!\But...\Y-You can't shop with that hand, can you?\Right, so...\I'll stick close behind Sasahara, he's just the right height...\If I like something he looks at, he can buy two copies and I'll pay him later.\Just choose stuff you're into!\I still don't like this. response:	Sasahara, think about this.
context: But...\Y-You can't shop with that hand, can you?\Right, so...\I'll stick close behind Sasahara, he's just the right height...\If I like something he looks at, he can buy two copies and I'll pay him later.\Just choose stuff you're into!\I still don't like this.\Sasahara, think about this. response:	If you took the first subway train...
context: Y-You can't shop with that hand, can you?\Right, so...\I'll stick close behind Sasahara, he's just the right height...\If I like something he looks at, he can buy two copies and I'll pay him later.\Just choose stuff you're into!\I still don't like this.\Sasahara, think about this.\If you took the first subway train... response:	I don't think you've gotten through the injury yet.
context: Right, so...\I'll stick close behind Sasahara, he's just the right height...\If I like something he looks at, he can buy two copies and I'll pay him later.\Just choose stuff you're into!\I still don't like this.\Sasahara, think about this.\If you took the first subway train...\I don't think you've gotten through the injury yet. response:	This thing's gone numb now anyway.
context: I'll stick close behind Sasahara, he's just the right height...\If I like something he looks at, he can buy two copies and I'll pay him later.\Just choose stuff you're into!\I still don't like this.\Sasahara, think about this.\If you took the first subway train...\I don't think you've gotten through the injury yet.\This thing's gone numb now anyway. response:	We'll pretend we didn't see that.
context: If I like something he looks at, he can buy two copies and I'll pay him later.\Just choose stuff you're into!\I still don't like this.\Sasahara, think about this.\If you took the first subway train...\I don't think you've gotten through the injury yet.\This thing's gone numb now anyway.\We'll pretend we didn't see that. response:	Like hell!
context: Just choose stuff you're into!\I still don't like this.\Sasahara, think about this.\If you took the first subway train...\I don't think you've gotten through the injury yet.\This thing's gone numb now anyway.\We'll pretend we didn't see that.\Like hell! response:	Let's go.
context: I still don't like this.\Sasahara, think about this.\If you took the first subway train...\I don't think you've gotten through the injury yet.\This thing's gone numb now anyway.\We'll pretend we didn't see that.\Like hell!\Let's go. response:	Oh, excuse me.
context: Sasahara, think about this.\If you took the first subway train...\I don't think you've gotten through the injury yet.\This thing's gone numb now anyway.\We'll pretend we didn't see that.\Like hell!\Let's go.\Oh, excuse me. response:	W-What a clown.
context: If you took the first subway train...\I don't think you've gotten through the injury yet.\This thing's gone numb now anyway.\We'll pretend we didn't see that.\Like hell!\Let's go.\Oh, excuse me.\W-What a clown. response:	Madarame...
context: I don't think you've gotten through the injury yet.\This thing's gone numb now anyway.\We'll pretend we didn't see that.\Like hell!\Let's go.\Oh, excuse me.\W-What a clown.\Madarame... response:	Hold on, this really looks serious!
context: This thing's gone numb now anyway.\We'll pretend we didn't see that.\Like hell!\Let's go.\Oh, excuse me.\W-What a clown.\Madarame...\Hold on, this really looks serious! response:	S-S-S-Sasahara, g-get a staffer!
context: We'll pretend we didn't see that.\Like hell!\Let's go.\Oh, excuse me.\W-What a clown.\Madarame...\Hold on, this really looks serious!\S-S-S-Sasahara, g-get a staffer! response:	Hmm, he's out.
context: Like hell!\Let's go.\Oh, excuse me.\W-What a clown.\Madarame...\Hold on, this really looks serious!\S-S-S-Sasahara, g-get a staffer!\Hmm, he's out. response:	I guess his brain finally cut out on him, like a breaker...
context: Let's go.\Oh, excuse me.\W-What a clown.\Madarame...\Hold on, this really looks serious!\S-S-S-Sasahara, g-get a staffer!\Hmm, he's out.\I guess his brain finally cut out on him, like a breaker... response:	He was pushing too hard after all.
context: Oh, excuse me.\W-What a clown.\Madarame...\Hold on, this really looks serious!\S-S-S-Sasahara, g-get a staffer!\Hmm, he's out.\I guess his brain finally cut out on him, like a breaker...\He was pushing too hard after all. response:	I'll g-go with him.
context: W-What a clown.\Madarame...\Hold on, this really looks serious!\S-S-S-Sasahara, g-get a staffer!\Hmm, he's out.\I guess his brain finally cut out on him, like a breaker...\He was pushing too hard after all.\I'll g-go with him. response:	Oh, that's all right, I'll go.
context: Madarame...\Hold on, this really looks serious!\S-S-S-Sasahara, g-get a staffer!\Hmm, he's out.\I guess his brain finally cut out on him, like a breaker...\He was pushing too hard after all.\I'll g-go with him.\Oh, that's all right, I'll go. response:	No, you won't!
context: Hold on, this really looks serious!\S-S-S-Sasahara, g-get a staffer!\Hmm, he's out.\I guess his brain finally cut out on him, like a breaker...\He was pushing too hard after all.\I'll g-go with him.\Oh, that's all right, I'll go.\No, you won't! response:	You're awake?
context: S-S-S-Sasahara, g-get a staffer!\Hmm, he's out.\I guess his brain finally cut out on him, like a breaker...\He was pushing too hard after all.\I'll g-go with him.\Oh, that's all right, I'll go.\No, you won't!\You're awake? response:	Don't bother.
context: Hmm, he's out.\I guess his brain finally cut out on him, like a breaker...\He was pushing too hard after all.\I'll g-go with him.\Oh, that's all right, I'll go.\No, you won't!\You're awake?\Don't bother. response:	You guys buy dojinshi.
context: I guess his brain finally cut out on him, like a breaker...\He was pushing too hard after all.\I'll g-go with him.\Oh, that's all right, I'll go.\No, you won't!\You're awake?\Don't bother.\You guys buy dojinshi. response:	Two copies of the good ones.
context: He was pushing too hard after all.\I'll g-go with him.\Oh, that's all right, I'll go.\No, you won't!\You're awake?\Don't bother.\You guys buy dojinshi.\Two copies of the good ones. response:	I'll pay you later...
context: I'll g-go with him.\Oh, that's all right, I'll go.\No, you won't!\You're awake?\Don't bother.\You guys buy dojinshi.\Two copies of the good ones.\I'll pay you later... response:	I'm counting on you!
context: Oh, that's all right, I'll go.\No, you won't!\You're awake?\Don't bother.\You guys buy dojinshi.\Two copies of the good ones.\I'll pay you later...\I'm counting on you! response:	Please don't speak.
context: No, you won't!\You're awake?\Don't bother.\You guys buy dojinshi.\Two copies of the good ones.\I'll pay you later...\I'm counting on you!\Please don't speak. response:	You'll bite your tongue.
context: You're awake?\Don't bother.\You guys buy dojinshi.\Two copies of the good ones.\I'll pay you later...\I'm counting on you!\Please don't speak.\You'll bite your tongue. response:	You actually see people on stretchers quite a bit...
context: Don't bother.\You guys buy dojinshi.\Two copies of the good ones.\I'll pay you later...\I'm counting on you!\Please don't speak.\You'll bite your tongue.\You actually see people on stretchers quite a bit... response:	But you never expect it to be someone you know.
context: You guys buy dojinshi.\Two copies of the good ones.\I'll pay you later...\I'm counting on you!\Please don't speak.\You'll bite your tongue.\You actually see people on stretchers quite a bit...\But you never expect it to be someone you know. response:	W-Well, from here we split up and do our own shopping.
context: Two copies of the good ones.\I'll pay you later...\I'm counting on you!\Please don't speak.\You'll bite your tongue.\You actually see people on stretchers quite a bit...\But you never expect it to be someone you know.\W-Well, from here we split up and do our own shopping. response:	All right...
context: I'll pay you later...\I'm counting on you!\Please don't speak.\You'll bite your tongue.\You actually see people on stretchers quite a bit...\But you never expect it to be someone you know.\W-Well, from here we split up and do our own shopping.\All right... response:	This is our meeting place.
context: I'm counting on you!\Please don't speak.\You'll bite your tongue.\You actually see people on stretchers quite a bit...\But you never expect it to be someone you know.\W-Well, from here we split up and do our own shopping.\All right...\This is our meeting place. response:	All right, then I'll be going.
context: Please don't speak.\You'll bite your tongue.\You actually see people on stretchers quite a bit...\But you never expect it to be someone you know.\W-Well, from here we split up and do our own shopping.\All right...\This is our meeting place.\All right, then I'll be going. response:	Good luck.
context: You'll bite your tongue.\You actually see people on stretchers quite a bit...\But you never expect it to be someone you know.\W-Well, from here we split up and do our own shopping.\All right...\This is our meeting place.\All right, then I'll be going.\Good luck. response:	Come back alive.
context: You actually see people on stretchers quite a bit...\But you never expect it to be someone you know.\W-Well, from here we split up and do our own shopping.\All right...\This is our meeting place.\All right, then I'll be going.\Good luck.\Come back alive. response:	Please don't talk like Madarame.
context: But you never expect it to be someone you know.\W-Well, from here we split up and do our own shopping.\All right...\This is our meeting place.\All right, then I'll be going.\Good luck.\Come back alive.\Please don't talk like Madarame. response:	Madarame mentioned it before...
context: W-Well, from here we split up and do our own shopping.\All right...\This is our meeting place.\All right, then I'll be going.\Good luck.\Come back alive.\Please don't talk like Madarame.\Madarame mentioned it before... response:	So that does happen...
context: All right...\This is our meeting place.\All right, then I'll be going.\Good luck.\Come back alive.\Please don't talk like Madarame.\Madarame mentioned it before...\So that does happen... response:	Lots of dojin shops won't let you flip through...
context: This is our meeting place.\All right, then I'll be going.\Good luck.\Come back alive.\Please don't talk like Madarame.\Madarame mentioned it before...\So that does happen...\Lots of dojin shops won't let you flip through... response:	But then it's not like there's anyone to blame if you don't like it...
context: All right, then I'll be going.\Good luck.\Come back alive.\Please don't talk like Madarame.\Madarame mentioned it before...\So that does happen...\Lots of dojin shops won't let you flip through...\But then it's not like there's anyone to blame if you don't like it... response:	Ahh, there I go thinking too much.
context: Good luck.\Come back alive.\Please don't talk like Madarame.\Madarame mentioned it before...\So that does happen...\Lots of dojin shops won't let you flip through...\But then it's not like there's anyone to blame if you don't like it...\Ahh, there I go thinking too much. response:	One copy, please.
context: Come back alive.\Please don't talk like Madarame.\Madarame mentioned it before...\So that does happen...\Lots of dojin shops won't let you flip through...\But then it's not like there's anyone to blame if you don't like it...\Ahh, there I go thinking too much.\One copy, please. response:	700 Yen.
context: Please don't talk like Madarame.\Madarame mentioned it before...\So that does happen...\Lots of dojin shops won't let you flip through...\But then it's not like there's anyone to blame if you don't like it...\Ahh, there I go thinking too much.\One copy, please.\700 Yen. response:	Oh, a book about Kujiun's Miss President?
context: Madarame mentioned it before...\So that does happen...\Lots of dojin shops won't let you flip through...\But then it's not like there's anyone to blame if you don't like it...\Ahh, there I go thinking too much.\One copy, please.\700 Yen.\Oh, a book about Kujiun's Miss President? response:	Please, Miss President.
context: So that does happen...\Lots of dojin shops won't let you flip through...\But then it's not like there's anyone to blame if you don't like it...\Ahh, there I go thinking too much.\One copy, please.\700 Yen.\Oh, a book about Kujiun's Miss President?\Please, Miss President. response:	And it's my kind of art style... Please, Miss President.
context: Lots of dojin shops won't let you flip through...\But then it's not like there's anyone to blame if you don't like it...\Ahh, there I go thinking too much.\One copy, please.\700 Yen.\Oh, a book about Kujiun's Miss President?\Please, Miss President.\And it's my kind of art style... Please, Miss President. response:	But, no one else is looking at them...
context: But then it's not like there's anyone to blame if you don't like it...\Ahh, there I go thinking too much.\One copy, please.\700 Yen.\Oh, a book about Kujiun's Miss President?\Please, Miss President.\And it's my kind of art style... Please, Miss President.\But, no one else is looking at them... response:	Darn it! What is there to be embarrassed about?
context: Ahh, there I go thinking too much.\One copy, please.\700 Yen.\Oh, a book about Kujiun's Miss President?\Please, Miss President.\And it's my kind of art style... Please, Miss President.\But, no one else is looking at them...\Darn it! What is there to be embarrassed about? response:	Didn't I train for this at the dojin shops?
context: One copy, please.\700 Yen.\Oh, a book about Kujiun's Miss President?\Please, Miss President.\And it's my kind of art style... Please, Miss President.\But, no one else is looking at them...\Darn it! What is there to be embarrassed about?\Didn't I train for this at the dojin shops? response:	Besides, we're all the same here...
context: 700 Yen.\Oh, a book about Kujiun's Miss President?\Please, Miss President.\And it's my kind of art style... Please, Miss President.\But, no one else is looking at them...\Darn it! What is there to be embarrassed about?\Didn't I train for this at the dojin shops?\Besides, we're all the same here... response:	Um, is it all right if I browse?
context: Oh, a book about Kujiun's Miss President?\Please, Miss President.\And it's my kind of art style... Please, Miss President.\But, no one else is looking at them...\Darn it! What is there to be embarrassed about?\Didn't I train for this at the dojin shops?\Besides, we're all the same here...\Um, is it all right if I browse? response:	F-Feel free.
context: Please, Miss President.\And it's my kind of art style... Please, Miss President.\But, no one else is looking at them...\Darn it! What is there to be embarrassed about?\Didn't I train for this at the dojin shops?\Besides, we're all the same here...\Um, is it all right if I browse?\F-Feel free. response:	All righty...
context: And it's my kind of art style... Please, Miss President.\But, no one else is looking at them...\Darn it! What is there to be embarrassed about?\Didn't I train for this at the dojin shops?\Besides, we're all the same here...\Um, is it all right if I browse?\F-Feel free.\All righty... response:	One copy, no, two copies please.
context: But, no one else is looking at them...\Darn it! What is there to be embarrassed about?\Didn't I train for this at the dojin shops?\Besides, we're all the same here...\Um, is it all right if I browse?\F-Feel free.\All righty...\One copy, no, two copies please. response:	That comes to 1000 Yen.
context: Darn it! What is there to be embarrassed about?\Didn't I train for this at the dojin shops?\Besides, we're all the same here...\Um, is it all right if I browse?\F-Feel free.\All righty...\One copy, no, two copies please.\That comes to 1000 Yen. response:	Ah, forgive me, ancestors...
context: Didn't I train for this at the dojin shops?\Besides, we're all the same here...\Um, is it all right if I browse?\F-Feel free.\All righty...\One copy, no, two copies please.\That comes to 1000 Yen.\Ah, forgive me, ancestors... response:	Here I am in this place when I haven't even visited your graves yet this year.
context: Besides, we're all the same here...\Um, is it all right if I browse?\F-Feel free.\All righty...\One copy, no, two copies please.\That comes to 1000 Yen.\Ah, forgive me, ancestors...\Here I am in this place when I haven't even visited your graves yet this year. response:	International Exhibition Hall Station
context: Um, is it all right if I browse?\F-Feel free.\All righty...\One copy, no, two copies please.\That comes to 1000 Yen.\Ah, forgive me, ancestors...\Here I am in this place when I haven't even visited your graves yet this year.\International Exhibition Hall Station response:	Hello...
context: F-Feel free.\All righty...\One copy, no, two copies please.\That comes to 1000 Yen.\Ah, forgive me, ancestors...\Here I am in this place when I haven't even visited your graves yet this year.\International Exhibition Hall Station\Hello... response:	Sure, see you later.
context: All righty...\One copy, no, two copies please.\That comes to 1000 Yen.\Ah, forgive me, ancestors...\Here I am in this place when I haven't even visited your graves yet this year.\International Exhibition Hall Station\Hello...\Sure, see you later. response:	She doesn't think she can make it past the station, so she's going home.
context: One copy, no, two copies please.\That comes to 1000 Yen.\Ah, forgive me, ancestors...\Here I am in this place when I haven't even visited your graves yet this year.\International Exhibition Hall Station\Hello...\Sure, see you later.\She doesn't think she can make it past the station, so she's going home. response:	N-Not bad for Kasukabe.
context: That comes to 1000 Yen.\Ah, forgive me, ancestors...\Here I am in this place when I haven't even visited your graves yet this year.\International Exhibition Hall Station\Hello...\Sure, see you later.\She doesn't think she can make it past the station, so she's going home.\N-Not bad for Kasukabe. response:	Right.
context: Ah, forgive me, ancestors...\Here I am in this place when I haven't even visited your graves yet this year.\International Exhibition Hall Station\Hello...\Sure, see you later.\She doesn't think she can make it past the station, so she's going home.\N-Not bad for Kasukabe.\Right. response:	Thank you for posing.
context: Here I am in this place when I haven't even visited your graves yet this year.\International Exhibition Hall Station\Hello...\Sure, see you later.\She doesn't think she can make it past the station, so she's going home.\N-Not bad for Kasukabe.\Right.\Thank you for posing. response:	Thanks a lot.
context: International Exhibition Hall Station\Hello...\Sure, see you later.\She doesn't think she can make it past the station, so she's going home.\N-Not bad for Kasukabe.\Right.\Thank you for posing.\Thanks a lot. response:	Excuse me, please look this way.
context: Hello...\Sure, see you later.\She doesn't think she can make it past the station, so she's going home.\N-Not bad for Kasukabe.\Right.\Thank you for posing.\Thanks a lot.\Excuse me, please look this way. response:	Look this way too, please.
context: Sure, see you later.\She doesn't think she can make it past the station, so she's going home.\N-Not bad for Kasukabe.\Right.\Thank you for posing.\Thanks a lot.\Excuse me, please look this way.\Look this way too, please. response:	Would you mind posing with your fingers interlaced?
context: She doesn't think she can make it past the station, so she's going home.\N-Not bad for Kasukabe.\Right.\Thank you for posing.\Thanks a lot.\Excuse me, please look this way.\Look this way too, please.\Would you mind posing with your fingers interlaced? response:	Like this?
context: N-Not bad for Kasukabe.\Right.\Thank you for posing.\Thanks a lot.\Excuse me, please look this way.\Look this way too, please.\Would you mind posing with your fingers interlaced?\Like this? response:	Thank you!
context: Right.\Thank you for posing.\Thanks a lot.\Excuse me, please look this way.\Look this way too, please.\Would you mind posing with your fingers interlaced?\Like this?\Thank you! response:	Thank you very much.
context: Thank you for posing.\Thanks a lot.\Excuse me, please look this way.\Look this way too, please.\Would you mind posing with your fingers interlaced?\Like this?\Thank you!\Thank you very much. response:	Okay, here we go.
context: Thanks a lot.\Excuse me, please look this way.\Look this way too, please.\Would you mind posing with your fingers interlaced?\Like this?\Thank you!\Thank you very much.\Okay, here we go. response:	Cool, thank you much.
context: Excuse me, please look this way.\Look this way too, please.\Would you mind posing with your fingers interlaced?\Like this?\Thank you!\Thank you very much.\Okay, here we go.\Cool, thank you much. response:	These are the pictures from last time.
context: Look this way too, please.\Would you mind posing with your fingers interlaced?\Like this?\Thank you!\Thank you very much.\Okay, here we go.\Cool, thank you much.\These are the pictures from last time. response:	Thanks as always.
context: Would you mind posing with your fingers interlaced?\Like this?\Thank you!\Thank you very much.\Okay, here we go.\Cool, thank you much.\These are the pictures from last time.\Thanks as always. response:	Are you sure it's all right, Fukuro?
context: Like this?\Thank you!\Thank you very much.\Okay, here we go.\Cool, thank you much.\These are the pictures from last time.\Thanks as always.\Are you sure it's all right, Fukuro? response:	It's all right, it's all right.
context: Thank you!\Thank you very much.\Okay, here we go.\Cool, thank you much.\These are the pictures from last time.\Thanks as always.\Are you sure it's all right, Fukuro?\It's all right, it's all right. response:	Did I buy too much, though?
context: Thank you very much.\Okay, here we go.\Cool, thank you much.\These are the pictures from last time.\Thanks as always.\Are you sure it's all right, Fukuro?\It's all right, it's all right.\Did I buy too much, though? response:	This is heavy...
context: Okay, here we go.\Cool, thank you much.\These are the pictures from last time.\Thanks as always.\Are you sure it's all right, Fukuro?\It's all right, it's all right.\Did I buy too much, though?\This is heavy... response:	Student Council of Darkness - 500 Yen
context: Cool, thank you much.\These are the pictures from last time.\Thanks as always.\Are you sure it's all right, Fukuro?\It's all right, it's all right.\Did I buy too much, though?\This is heavy...\Student Council of Darkness - 500 Yen response:	Now I've completely blended in.
context: These are the pictures from last time.\Thanks as always.\Are you sure it's all right, Fukuro?\It's all right, it's all right.\Did I buy too much, though?\This is heavy...\Student Council of Darkness - 500 Yen\Now I've completely blended in. response:	I'll take one.
context: Thanks as always.\Are you sure it's all right, Fukuro?\It's all right, it's all right.\Did I buy too much, though?\This is heavy...\Student Council of Darkness - 500 Yen\Now I've completely blended in.\I'll take one. response:	Anywhere you look here, we're all the same.
context: Are you sure it's all right, Fukuro?\It's all right, it's all right.\Did I buy too much, though?\This is heavy...\Student Council of Darkness - 500 Yen\Now I've completely blended in.\I'll take one.\Anywhere you look here, we're all the same. response:	Hey, he came here with a girl?
context: It's all right, it's all right.\Did I buy too much, though?\This is heavy...\Student Council of Darkness - 500 Yen\Now I've completely blended in.\I'll take one.\Anywhere you look here, we're all the same.\Hey, he came here with a girl? response:	You can't be yourself that way!
context: Did I buy too much, though?\This is heavy...\Student Council of Darkness - 500 Yen\Now I've completely blended in.\I'll take one.\Anywhere you look here, we're all the same.\Hey, he came here with a girl?\You can't be yourself that way! response:	What's with him, lookin' all cool?
context: This is heavy...\Student Council of Darkness - 500 Yen\Now I've completely blended in.\I'll take one.\Anywhere you look here, we're all the same.\Hey, he came here with a girl?\You can't be yourself that way!\What's with him, lookin' all cool? response:	Why don't you dress for the occasion?
context: Student Council of Darkness - 500 Yen\Now I've completely blended in.\I'll take one.\Anywhere you look here, we're all the same.\Hey, he came here with a girl?\You can't be yourself that way!\What's with him, lookin' all cool?\Why don't you dress for the occasion? response:	Kujiun Parody - 700 Yen
context: Now I've completely blended in.\I'll take one.\Anywhere you look here, we're all the same.\Hey, he came here with a girl?\You can't be yourself that way!\What's with him, lookin' all cool?\Why don't you dress for the occasion?\Kujiun Parody - 700 Yen response:	I'll buy it!
context: I'll take one.\Anywhere you look here, we're all the same.\Hey, he came here with a girl?\You can't be yourself that way!\What's with him, lookin' all cool?\Why don't you dress for the occasion?\Kujiun Parody - 700 Yen\I'll buy it! response:	I'll buy it! Met Warrior- 700 Yen
context: Anywhere you look here, we're all the same.\Hey, he came here with a girl?\You can't be yourself that way!\What's with him, lookin' all cool?\Why don't you dress for the occasion?\Kujiun Parody - 700 Yen\I'll buy it!\I'll buy it! Met Warrior- 700 Yen response:	I'll buy this too! Project K - 1000 Yen
context: Hey, he came here with a girl?\You can't be yourself that way!\What's with him, lookin' all cool?\Why don't you dress for the occasion?\Kujiun Parody - 700 Yen\I'll buy it!\I'll buy it! Met Warrior- 700 Yen\I'll buy this too! Project K - 1000 Yen response:	I'll buy any book about her!
context: You can't be yourself that way!\What's with him, lookin' all cool?\Why don't you dress for the occasion?\Kujiun Parody - 700 Yen\I'll buy it!\I'll buy it! Met Warrior- 700 Yen\I'll buy this too! Project K - 1000 Yen\I'll buy any book about her! response:	Uh-oh, I feel like something on top of my head is starting to crack open...
context: What's with him, lookin' all cool?\Why don't you dress for the occasion?\Kujiun Parody - 700 Yen\I'll buy it!\I'll buy it! Met Warrior- 700 Yen\I'll buy this too! Project K - 1000 Yen\I'll buy any book about her!\Uh-oh, I feel like something on top of my head is starting to crack open... response:	Something on top of my head...
context: Why don't you dress for the occasion?\Kujiun Parody - 700 Yen\I'll buy it!\I'll buy it! Met Warrior- 700 Yen\I'll buy this too! Project K - 1000 Yen\I'll buy any book about her!\Uh-oh, I feel like something on top of my head is starting to crack open...\Something on top of my head... response:	Sasahara!
context: Kujiun Parody - 700 Yen\I'll buy it!\I'll buy it! Met Warrior- 700 Yen\I'll buy this too! Project K - 1000 Yen\I'll buy any book about her!\Uh-oh, I feel like something on top of my head is starting to crack open...\Something on top of my head...\Sasahara! response:	Oh, aren't you...
context: I'll buy it!\I'll buy it! Met Warrior- 700 Yen\I'll buy this too! Project K - 1000 Yen\I'll buy any book about her!\Uh-oh, I feel like something on top of my head is starting to crack open...\Something on top of my head...\Sasahara!\Oh, aren't you... response:	Why are you...
context: I'll buy it! Met Warrior- 700 Yen\I'll buy this too! Project K - 1000 Yen\I'll buy any book about her!\Uh-oh, I feel like something on top of my head is starting to crack open...\Something on top of my head...\Sasahara!\Oh, aren't you...\Why are you... response:	I'm also with the Manga Club, you see.
context: I'll buy this too! Project K - 1000 Yen\I'll buy any book about her!\Uh-oh, I feel like something on top of my head is starting to crack open...\Something on top of my head...\Sasahara!\Oh, aren't you...\Why are you...\I'm also with the Manga Club, you see. response:	Then this is the Manga Club's booth?
context: I'll buy any book about her!\Uh-oh, I feel like something on top of my head is starting to crack open...\Something on top of my head...\Sasahara!\Oh, aren't you...\Why are you...\I'm also with the Manga Club, you see.\Then this is the Manga Club's booth? response:	Komaki 3 - Komaki 4
context: Uh-oh, I feel like something on top of my head is starting to crack open...\Something on top of my head...\Sasahara!\Oh, aren't you...\Why are you...\I'm also with the Manga Club, you see.\Then this is the Manga Club's booth?\Komaki 3 - Komaki 4 response:	Oh neat! You make dojinshi?
context: Something on top of my head...\Sasahara!\Oh, aren't you...\Why are you...\I'm also with the Manga Club, you see.\Then this is the Manga Club's booth?\Komaki 3 - Komaki 4\Oh neat! You make dojinshi? response:	I'll buy some.
context: Sasahara!\Oh, aren't you...\Why are you...\I'm also with the Manga Club, you see.\Then this is the Manga Club's booth?\Komaki 3 - Komaki 4\Oh neat! You make dojinshi?\I'll buy some. response:	No, just take one.
context: Oh, aren't you...\Why are you...\I'm also with the Manga Club, you see.\Then this is the Manga Club's booth?\Komaki 3 - Komaki 4\Oh neat! You make dojinshi?\I'll buy some.\No, just take one. response:	What?
context: Why are you...\I'm also with the Manga Club, you see.\Then this is the Manga Club's booth?\Komaki 3 - Komaki 4\Oh neat! You make dojinshi?\I'll buy some.\No, just take one.\What? response:	Here's the latest one.
context: I'm also with the Manga Club, you see.\Then this is the Manga Club's booth?\Komaki 3 - Komaki 4\Oh neat! You make dojinshi?\I'll buy some.\No, just take one.\What?\Here's the latest one. response:	Uh, no...
context: Then this is the Manga Club's booth?\Komaki 3 - Komaki 4\Oh neat! You make dojinshi?\I'll buy some.\No, just take one.\What?\Here's the latest one.\Uh, no... response:	I'll pay for it.
context: Komaki 3 - Komaki 4\Oh neat! You make dojinshi?\I'll buy some.\No, just take one.\What?\Here's the latest one.\Uh, no...\I'll pay for it. response:	I'm giving it to you.
context: Oh neat! You make dojinshi?\I'll buy some.\No, just take one.\What?\Here's the latest one.\Uh, no...\I'll pay for it.\I'm giving it to you. response:	Here, give it a read.
context: I'll buy some.\No, just take one.\What?\Here's the latest one.\Uh, no...\I'll pay for it.\I'm giving it to you.\Here, give it a read. response:	Okay, thank you very much.
context: No, just take one.\What?\Here's the latest one.\Uh, no...\I'll pay for it.\I'm giving it to you.\Here, give it a read.\Okay, thank you very much. response:	Is this really legit?
context: What?\Here's the latest one.\Uh, no...\I'll pay for it.\I'm giving it to you.\Here, give it a read.\Okay, thank you very much.\Is this really legit? response:	The other members aren't saying anything...
context: Here's the latest one.\Uh, no...\I'll pay for it.\I'm giving it to you.\Here, give it a read.\Okay, thank you very much.\Is this really legit?\The other members aren't saying anything... response:	Come on around behind the table.
context: Uh, no...\I'll pay for it.\I'm giving it to you.\Here, give it a read.\Okay, thank you very much.\Is this really legit?\The other members aren't saying anything...\Come on around behind the table. response:	Let's talk a bit.
context: I'll pay for it.\I'm giving it to you.\Here, give it a read.\Okay, thank you very much.\Is this really legit?\The other members aren't saying anything...\Come on around behind the table.\Let's talk a bit. response:	Are you sure?
context: I'm giving it to you.\Here, give it a read.\Okay, thank you very much.\Is this really legit?\The other members aren't saying anything...\Come on around behind the table.\Let's talk a bit.\Are you sure? response:	You can fit through that gap over there.
context: Here, give it a read.\Okay, thank you very much.\Is this really legit?\The other members aren't saying anything...\Come on around behind the table.\Let's talk a bit.\Are you sure?\You can fit through that gap over there. response:	Right...
context: Okay, thank you very much.\Is this really legit?\The other members aren't saying anything...\Come on around behind the table.\Let's talk a bit.\Are you sure?\You can fit through that gap over there.\Right... response:	Have a seat.
context: Is this really legit?\The other members aren't saying anything...\Come on around behind the table.\Let's talk a bit.\Are you sure?\You can fit through that gap over there.\Right...\Have a seat. response:	Right...
context: The other members aren't saying anything...\Come on around behind the table.\Let's talk a bit.\Are you sure?\You can fit through that gap over there.\Right...\Have a seat.\Right... response:	It sure is hot.
context: Come on around behind the table.\Let's talk a bit.\Are you sure?\You can fit through that gap over there.\Right...\Have a seat.\Right...\It sure is hot. response:	Yeah...
context: Let's talk a bit.\Are you sure?\You can fit through that gap over there.\Right...\Have a seat.\Right...\It sure is hot.\Yeah... response:	Is this really kosher?
context: Are you sure?\You can fit through that gap over there.\Right...\Have a seat.\Right...\It sure is hot.\Yeah...\Is this really kosher? response:	If I sit down it means someone else has to stand.
context: You can fit through that gap over there.\Right...\Have a seat.\Right...\It sure is hot.\Yeah...\Is this really kosher?\If I sit down it means someone else has to stand. response:	For that matter, they're all facing away and ignoring us.
