context: ED response:	Man, this week's storyboard is good too.
context: If you truly intend to follow my teachings,\then I'll rise to the challenge of transforming you into a Super Manga Author.\Super Manga Author?!\Yes! Like a manga Super Saiyan!\We'll turn you into a first rate manga author in mind, manners, agility, and looks.\You'll be able to turn the head of any womanAoki included!\You already have the skills. I know you can do it!\Mr. Yoshida! What are you saying?! response:	I'll give it a shot!
context: then I'll rise to the challenge of transforming you into a Super Manga Author.\Super Manga Author?!\Yes! Like a manga Super Saiyan!\We'll turn you into a first rate manga author in mind, manners, agility, and looks.\You'll be able to turn the head of any womanAoki included!\You already have the skills. I know you can do it!\Mr. Yoshida! What are you saying?!\I'll give it a shot! response:	N-Not you too, Nakai!
context: Super Manga Author?!\Yes! Like a manga Super Saiyan!\We'll turn you into a first rate manga author in mind, manners, agility, and looks.\You'll be able to turn the head of any womanAoki included!\You already have the skills. I know you can do it!\Mr. Yoshida! What are you saying?!\I'll give it a shot!\N-Not you too, Nakai! response:	All right!
context: Yes! Like a manga Super Saiyan!\We'll turn you into a first rate manga author in mind, manners, agility, and looks.\You'll be able to turn the head of any womanAoki included!\You already have the skills. I know you can do it!\Mr. Yoshida! What are you saying?!\I'll give it a shot!\N-Not you too, Nakai!\All right! response:	Start by running 10 km, mornings and evenings!
context: We'll turn you into a first rate manga author in mind, manners, agility, and looks.\You'll be able to turn the head of any womanAoki included!\You already have the skills. I know you can do it!\Mr. Yoshida! What are you saying?!\I'll give it a shot!\N-Not you too, Nakai!\All right!\Start by running 10 km, mornings and evenings! response:	Yes, sir!
context: You'll be able to turn the head of any womanAoki included!\You already have the skills. I know you can do it!\Mr. Yoshida! What are you saying?!\I'll give it a shot!\N-Not you too, Nakai!\All right!\Start by running 10 km, mornings and evenings!\Yes, sir! response:	No way!
context: You already have the skills. I know you can do it!\Mr. Yoshida! What are you saying?!\I'll give it a shot!\N-Not you too, Nakai!\All right!\Start by running 10 km, mornings and evenings!\Yes, sir!\No way! response:	Forgive me, Hiramaru.
context: Mr. Yoshida! What are you saying?!\I'll give it a shot!\N-Not you too, Nakai!\All right!\Start by running 10 km, mornings and evenings!\Yes, sir!\No way!\Forgive me, Hiramaru. response:	This tough love is necessary to keep your negativity flowing.
context: I'll give it a shot!\N-Not you too, Nakai!\All right!\Start by running 10 km, mornings and evenings!\Yes, sir!\No way!\Forgive me, Hiramaru.\This tough love is necessary to keep your negativity flowing. response:	And if I can corrupt Nakai at the same time, that'll be two birds with one stone.
context: N-Not you too, Nakai!\All right!\Start by running 10 km, mornings and evenings!\Yes, sir!\No way!\Forgive me, Hiramaru.\This tough love is necessary to keep your negativity flowing.\And if I can corrupt Nakai at the same time, that'll be two birds with one stone. response:	Oh! This makes CROW's fourth consecutive week at 1st!
context: All right!\Start by running 10 km, mornings and evenings!\Yes, sir!\No way!\Forgive me, Hiramaru.\This tough love is necessary to keep your negativity flowing.\And if I can corrupt Nakai at the same time, that'll be two birds with one stone.\Oh! This makes CROW's fourth consecutive week at 1st! response:	CROW is doing unbelievably well.
context: Start by running 10 km, mornings and evenings!\Yes, sir!\No way!\Forgive me, Hiramaru.\This tough love is necessary to keep your negativity flowing.\And if I can corrupt Nakai at the same time, that'll be two birds with one stone.\Oh! This makes CROW's fourth consecutive week at 1st!\CROW is doing unbelievably well. response:	It's popularity is the real thing.
context: Yes, sir!\No way!\Forgive me, Hiramaru.\This tough love is necessary to keep your negativity flowing.\And if I can corrupt Nakai at the same time, that'll be two birds with one stone.\Oh! This makes CROW's fourth consecutive week at 1st!\CROW is doing unbelievably well.\It's popularity is the real thing. response:	It's because he's making things exciting by having all the characters participate in a final battle.
context: No way!\Forgive me, Hiramaru.\This tough love is necessary to keep your negativity flowing.\And if I can corrupt Nakai at the same time, that'll be two birds with one stone.\Oh! This makes CROW's fourth consecutive week at 1st!\CROW is doing unbelievably well.\It's popularity is the real thing.\It's because he's making things exciting by having all the characters participate in a final battle. response:	PCP's in 3rd.
context: Forgive me, Hiramaru.\This tough love is necessary to keep your negativity flowing.\And if I can corrupt Nakai at the same time, that'll be two birds with one stone.\Oh! This makes CROW's fourth consecutive week at 1st!\CROW is doing unbelievably well.\It's popularity is the real thing.\It's because he's making things exciting by having all the characters participate in a final battle.\PCP's in 3rd. response:	Road Racer GIRI's anime just started, and now the manga is ranked right below us.
context: This tough love is necessary to keep your negativity flowing.\And if I can corrupt Nakai at the same time, that'll be two birds with one stone.\Oh! This makes CROW's fourth consecutive week at 1st!\CROW is doing unbelievably well.\It's popularity is the real thing.\It's because he's making things exciting by having all the characters participate in a final battle.\PCP's in 3rd.\Road Racer GIRI's anime just started, and now the manga is ranked right below us. response:	Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!
context: And if I can corrupt Nakai at the same time, that'll be two birds with one stone.\Oh! This makes CROW's fourth consecutive week at 1st!\CROW is doing unbelievably well.\It's popularity is the real thing.\It's because he's making things exciting by having all the characters participate in a final battle.\PCP's in 3rd.\Road Racer GIRI's anime just started, and now the manga is ranked right below us.\Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings! response:	Hey, Yuujirou.
context: Oh! This makes CROW's fourth consecutive week at 1st!\CROW is doing unbelievably well.\It's popularity is the real thing.\It's because he's making things exciting by having all the characters participate in a final battle.\PCP's in 3rd.\Road Racer GIRI's anime just started, and now the manga is ranked right below us.\Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!\Hey, Yuujirou. response:	What's up?
context: CROW is doing unbelievably well.\It's popularity is the real thing.\It's because he's making things exciting by having all the characters participate in a final battle.\PCP's in 3rd.\Road Racer GIRI's anime just started, and now the manga is ranked right below us.\Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!\Hey, Yuujirou.\What's up? response:	Ashirogi sends their thanks.
context: It's popularity is the real thing.\It's because he's making things exciting by having all the characters participate in a final battle.\PCP's in 3rd.\Road Racer GIRI's anime just started, and now the manga is ranked right below us.\Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!\Hey, Yuujirou.\What's up?\Ashirogi sends their thanks. response:	Huh?
context: It's because he's making things exciting by having all the characters participate in a final battle.\PCP's in 3rd.\Road Racer GIRI's anime just started, and now the manga is ranked right below us.\Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!\Hey, Yuujirou.\What's up?\Ashirogi sends their thanks.\Huh? response:	CROW's top ranking gave them some motivation.
context: PCP's in 3rd.\Road Racer GIRI's anime just started, and now the manga is ranked right below us.\Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!\Hey, Yuujirou.\What's up?\Ashirogi sends their thanks.\Huh?\CROW's top ranking gave them some motivation. response:	So that's it!
context: Road Racer GIRI's anime just started, and now the manga is ranked right below us.\Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!\Hey, Yuujirou.\What's up?\Ashirogi sends their thanks.\Huh?\CROW's top ranking gave them some motivation.\So that's it! response:	I-Is something wrong?
context: Once Seigi no Mikata's drama adaptation starts, it should skyrocket to the top of the rankings!\Hey, Yuujirou.\What's up?\Ashirogi sends their thanks.\Huh?\CROW's top ranking gave them some motivation.\So that's it!\I-Is something wrong? response:	Remember what I told you?
context: Hey, Yuujirou.\What's up?\Ashirogi sends their thanks.\Huh?\CROW's top ranking gave them some motivation.\So that's it!\I-Is something wrong?\Remember what I told you? response:	About earning the right to end a manga?
context: What's up?\Ashirogi sends their thanks.\Huh?\CROW's top ranking gave them some motivation.\So that's it!\I-Is something wrong?\Remember what I told you?\About earning the right to end a manga? response:	Yes...
context: Ashirogi sends their thanks.\Huh?\CROW's top ranking gave them some motivation.\So that's it!\I-Is something wrong?\Remember what I told you?\About earning the right to end a manga?\Yes... response:	I was worried that Niizuma might be going for that,
context: Huh?\CROW's top ranking gave them some motivation.\So that's it!\I-Is something wrong?\Remember what I told you?\About earning the right to end a manga?\Yes...\I was worried that Niizuma might be going for that, response:	but it looks like he only has Ashirogi's best interests in mind.
context: CROW's top ranking gave them some motivation.\So that's it!\I-Is something wrong?\Remember what I told you?\About earning the right to end a manga?\Yes...\I was worried that Niizuma might be going for that,\but it looks like he only has Ashirogi's best interests in mind. response:	If that's why he's so set on being in first, he'll never come out and say it.
context: So that's it!\I-Is something wrong?\Remember what I told you?\About earning the right to end a manga?\Yes...\I was worried that Niizuma might be going for that,\but it looks like he only has Ashirogi's best interests in mind.\If that's why he's so set on being in first, he'll never come out and say it. response:	You came in 1st again.
context: I-Is something wrong?\Remember what I told you?\About earning the right to end a manga?\Yes...\I was worried that Niizuma might be going for that,\but it looks like he only has Ashirogi's best interests in mind.\If that's why he's so set on being in first, he'll never come out and say it.\You came in 1st again. response:	I see. That's good.
context: Remember what I told you?\About earning the right to end a manga?\Yes...\I was worried that Niizuma might be going for that,\but it looks like he only has Ashirogi's best interests in mind.\If that's why he's so set on being in first, he'll never come out and say it.\You came in 1st again.\I see. That's good. response:	It's business as usual, then.
context: About earning the right to end a manga?\Yes...\I was worried that Niizuma might be going for that,\but it looks like he only has Ashirogi's best interests in mind.\If that's why he's so set on being in first, he'll never come out and say it.\You came in 1st again.\I see. That's good.\It's business as usual, then. response:	Also, Ashirogi wants you to know that CROW's top ranking has motivated them.
context: Yes...\I was worried that Niizuma might be going for that,\but it looks like he only has Ashirogi's best interests in mind.\If that's why he's so set on being in first, he'll never come out and say it.\You came in 1st again.\I see. That's good.\It's business as usual, then.\Also, Ashirogi wants you to know that CROW's top ranking has motivated them. response:	Ashirogi?
context: I was worried that Niizuma might be going for that,\but it looks like he only has Ashirogi's best interests in mind.\If that's why he's so set on being in first, he'll never come out and say it.\You came in 1st again.\I see. That's good.\It's business as usual, then.\Also, Ashirogi wants you to know that CROW's top ranking has motivated them.\Ashirogi? response:	Yeah.
context: but it looks like he only has Ashirogi's best interests in mind.\If that's why he's so set on being in first, he'll never come out and say it.\You came in 1st again.\I see. That's good.\It's business as usual, then.\Also, Ashirogi wants you to know that CROW's top ranking has motivated them.\Ashirogi?\Yeah. response:	What are they thinking?
context: If that's why he's so set on being in first, he'll never come out and say it.\You came in 1st again.\I see. That's good.\It's business as usual, then.\Also, Ashirogi wants you to know that CROW's top ranking has motivated them.\Ashirogi?\Yeah.\What are they thinking? response:	What do you mean? They just wanted to thank you.
context: You came in 1st again.\I see. That's good.\It's business as usual, then.\Also, Ashirogi wants you to know that CROW's top ranking has motivated them.\Ashirogi?\Yeah.\What are they thinking?\What do you mean? They just wanted to thank you. response:	I'll become a Super Manga Author!
context: I see. That's good.\It's business as usual, then.\Also, Ashirogi wants you to know that CROW's top ranking has motivated them.\Ashirogi?\Yeah.\What are they thinking?\What do you mean? They just wanted to thank you.\I'll become a Super Manga Author! response:	Yuujirou, CROW is 1st again!
context: It's business as usual, then.\Also, Ashirogi wants you to know that CROW's top ranking has motivated them.\Ashirogi?\Yeah.\What are they thinking?\What do you mean? They just wanted to thank you.\I'll become a Super Manga Author!\Yuujirou, CROW is 1st again! response:	Huh? But today's Thursday...
context: Also, Ashirogi wants you to know that CROW's top ranking has motivated them.\Ashirogi?\Yeah.\What are they thinking?\What do you mean? They just wanted to thank you.\I'll become a Super Manga Author!\Yuujirou, CROW is 1st again!\Huh? But today's Thursday... response:	Wait, rankings are out today since the holiday break starts tomorrow, right?
context: Ashirogi?\Yeah.\What are they thinking?\What do you mean? They just wanted to thank you.\I'll become a Super Manga Author!\Yuujirou, CROW is 1st again!\Huh? But today's Thursday...\Wait, rankings are out today since the holiday break starts tomorrow, right? response:	That's right. I left them on top of your desk.
context: Yeah.\What are they thinking?\What do you mean? They just wanted to thank you.\I'll become a Super Manga Author!\Yuujirou, CROW is 1st again!\Huh? But today's Thursday...\Wait, rankings are out today since the holiday break starts tomorrow, right?\That's right. I left them on top of your desk. response:	Thanks!
context: What are they thinking?\What do you mean? They just wanted to thank you.\I'll become a Super Manga Author!\Yuujirou, CROW is 1st again!\Huh? But today's Thursday...\Wait, rankings are out today since the holiday break starts tomorrow, right?\That's right. I left them on top of your desk.\Thanks! response:	What God Gave Me is... 7th.
context: What do you mean? They just wanted to thank you.\I'll become a Super Manga Author!\Yuujirou, CROW is 1st again!\Huh? But today's Thursday...\Wait, rankings are out today since the holiday break starts tomorrow, right?\That's right. I left them on top of your desk.\Thanks!\What God Gave Me is... 7th. response:	Never Reaching You is 5th.
context: I'll become a Super Manga Author!\Yuujirou, CROW is 1st again!\Huh? But today's Thursday...\Wait, rankings are out today since the holiday break starts tomorrow, right?\That's right. I left them on top of your desk.\Thanks!\What God Gave Me is... 7th.\Never Reaching You is 5th. response:	All right! This is good for now.
context: Yuujirou, CROW is 1st again!\Huh? But today's Thursday...\Wait, rankings are out today since the holiday break starts tomorrow, right?\That's right. I left them on top of your desk.\Thanks!\What God Gave Me is... 7th.\Never Reaching You is 5th.\All right! This is good for now. response:	First place for five weeks in a row!
context: Huh? But today's Thursday...\Wait, rankings are out today since the holiday break starts tomorrow, right?\That's right. I left them on top of your desk.\Thanks!\What God Gave Me is... 7th.\Never Reaching You is 5th.\All right! This is good for now.\First place for five weeks in a row! response:	GIRI's at 3rd. The anime must have bumped it up.
context: Wait, rankings are out today since the holiday break starts tomorrow, right?\That's right. I left them on top of your desk.\Thanks!\What God Gave Me is... 7th.\Never Reaching You is 5th.\All right! This is good for now.\First place for five weeks in a row!\GIRI's at 3rd. The anime must have bumped it up. response:	My time has finally come!
context: That's right. I left them on top of your desk.\Thanks!\What God Gave Me is... 7th.\Never Reaching You is 5th.\All right! This is good for now.\First place for five weeks in a row!\GIRI's at 3rd. The anime must have bumped it up.\My time has finally come! response:	I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!
context: Thanks!\What God Gave Me is... 7th.\Never Reaching You is 5th.\All right! This is good for now.\First place for five weeks in a row!\GIRI's at 3rd. The anime must have bumped it up.\My time has finally come!\I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga! response:	Just make me a team leader already!
context: What God Gave Me is... 7th.\Never Reaching You is 5th.\All right! This is good for now.\First place for five weeks in a row!\GIRI's at 3rd. The anime must have bumped it up.\My time has finally come!\I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!\Just make me a team leader already! response:	Refusing on the basis of my youth is old-fashioned!
context: Never Reaching You is 5th.\All right! This is good for now.\First place for five weeks in a row!\GIRI's at 3rd. The anime must have bumped it up.\My time has finally come!\I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!\Just make me a team leader already!\Refusing on the basis of my youth is old-fashioned! response:	He's so full of himself!
context: All right! This is good for now.\First place for five weeks in a row!\GIRI's at 3rd. The anime must have bumped it up.\My time has finally come!\I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!\Just make me a team leader already!\Refusing on the basis of my youth is old-fashioned!\He's so full of himself! response:	Hard to argue with the 1st and 3rd rankings, though.
context: First place for five weeks in a row!\GIRI's at 3rd. The anime must have bumped it up.\My time has finally come!\I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!\Just make me a team leader already!\Refusing on the basis of my youth is old-fashioned!\He's so full of himself!\Hard to argue with the 1st and 3rd rankings, though. response:	I'm off to Fukuda's house!
context: GIRI's at 3rd. The anime must have bumped it up.\My time has finally come!\I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!\Just make me a team leader already!\Refusing on the basis of my youth is old-fashioned!\He's so full of himself!\Hard to argue with the 1st and 3rd rankings, though.\I'm off to Fukuda's house! response:	All right! Seigi no Mikata is in 6th!
context: My time has finally come!\I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!\Just make me a team leader already!\Refusing on the basis of my youth is old-fashioned!\He's so full of himself!\Hard to argue with the 1st and 3rd rankings, though.\I'm off to Fukuda's house!\All right! Seigi no Mikata is in 6th! response:	Miura, you don't have time to be rejoicing.
context: I'm Hattori Yuujirou, editor of the 1st and 3rd ranked manga!\Just make me a team leader already!\Refusing on the basis of my youth is old-fashioned!\He's so full of himself!\Hard to argue with the 1st and 3rd rankings, though.\I'm off to Fukuda's house!\All right! Seigi no Mikata is in 6th!\Miura, you don't have time to be rejoicing. response:	Do something about NATURAL.
context: Just make me a team leader already!\Refusing on the basis of my youth is old-fashioned!\He's so full of himself!\Hard to argue with the 1st and 3rd rankings, though.\I'm off to Fukuda's house!\All right! Seigi no Mikata is in 6th!\Miura, you don't have time to be rejoicing.\Do something about NATURAL. response:	Oh, right.
context: Refusing on the basis of my youth is old-fashioned!\He's so full of himself!\Hard to argue with the 1st and 3rd rankings, though.\I'm off to Fukuda's house!\All right! Seigi no Mikata is in 6th!\Miura, you don't have time to be rejoicing.\Do something about NATURAL.\Oh, right. response:	GIRI beat us in the rankings?
context: He's so full of himself!\Hard to argue with the 1st and 3rd rankings, though.\I'm off to Fukuda's house!\All right! Seigi no Mikata is in 6th!\Miura, you don't have time to be rejoicing.\Do something about NATURAL.\Oh, right.\GIRI beat us in the rankings? response:	PCP placing 4th isn't so bad,
context: Hard to argue with the 1st and 3rd rankings, though.\I'm off to Fukuda's house!\All right! Seigi no Mikata is in 6th!\Miura, you don't have time to be rejoicing.\Do something about NATURAL.\Oh, right.\GIRI beat us in the rankings?\PCP placing 4th isn't so bad, response:	but it can't outrank a manga that has an anime, let alone catch up to Niizuma.
context: I'm off to Fukuda's house!\All right! Seigi no Mikata is in 6th!\Miura, you don't have time to be rejoicing.\Do something about NATURAL.\Oh, right.\GIRI beat us in the rankings?\PCP placing 4th isn't so bad,\but it can't outrank a manga that has an anime, let alone catch up to Niizuma. response:	I'll never stop living on the edge!
context: All right! Seigi no Mikata is in 6th!\Miura, you don't have time to be rejoicing.\Do something about NATURAL.\Oh, right.\GIRI beat us in the rankings?\PCP placing 4th isn't so bad,\but it can't outrank a manga that has an anime, let alone catch up to Niizuma.\I'll never stop living on the edge! response:	It feels like he's going so fast!
context: Miura, you don't have time to be rejoicing.\Do something about NATURAL.\Oh, right.\GIRI beat us in the rankings?\PCP placing 4th isn't so bad,\but it can't outrank a manga that has an anime, let alone catch up to Niizuma.\I'll never stop living on the edge!\It feels like he's going so fast! response:	It's only episode 3 and it's already this exciting!
context: Do something about NATURAL.\Oh, right.\GIRI beat us in the rankings?\PCP placing 4th isn't so bad,\but it can't outrank a manga that has an anime, let alone catch up to Niizuma.\I'll never stop living on the edge!\It feels like he's going so fast!\It's only episode 3 and it's already this exciting! response:	With this, the manga's rankings and volume sales are sure to go up!
context: Oh, right.\GIRI beat us in the rankings?\PCP placing 4th isn't so bad,\but it can't outrank a manga that has an anime, let alone catch up to Niizuma.\I'll never stop living on the edge!\It feels like he's going so fast!\It's only episode 3 and it's already this exciting!\With this, the manga's rankings and volume sales are sure to go up! response:	Great timing.
context: GIRI beat us in the rankings?\PCP placing 4th isn't so bad,\but it can't outrank a manga that has an anime, let alone catch up to Niizuma.\I'll never stop living on the edge!\It feels like he's going so fast!\It's only episode 3 and it's already this exciting!\With this, the manga's rankings and volume sales are sure to go up!\Great timing. response:	You came in 3rd place this week!
context: PCP placing 4th isn't so bad,\but it can't outrank a manga that has an anime, let alone catch up to Niizuma.\I'll never stop living on the edge!\It feels like he's going so fast!\It's only episode 3 and it's already this exciting!\With this, the manga's rankings and volume sales are sure to go up!\Great timing.\You came in 3rd place this week! response:	We're finally in the top three!
context: but it can't outrank a manga that has an anime, let alone catch up to Niizuma.\I'll never stop living on the edge!\It feels like he's going so fast!\It's only episode 3 and it's already this exciting!\With this, the manga's rankings and volume sales are sure to go up!\Great timing.\You came in 3rd place this week!\We're finally in the top three! response:	Getting first place might not be just a dream, after all!
context: I'll never stop living on the edge!\It feels like he's going so fast!\It's only episode 3 and it's already this exciting!\With this, the manga's rankings and volume sales are sure to go up!\Great timing.\You came in 3rd place this week!\We're finally in the top three!\Getting first place might not be just a dream, after all! response:	Well, there's quite a gap between you and CROW. You've got your work cut out for you.
context: It feels like he's going so fast!\It's only episode 3 and it's already this exciting!\With this, the manga's rankings and volume sales are sure to go up!\Great timing.\You came in 3rd place this week!\We're finally in the top three!\Getting first place might not be just a dream, after all!\Well, there's quite a gap between you and CROW. You've got your work cut out for you. response:	You sure look happy.
context: It's only episode 3 and it's already this exciting!\With this, the manga's rankings and volume sales are sure to go up!\Great timing.\You came in 3rd place this week!\We're finally in the top three!\Getting first place might not be just a dream, after all!\Well, there's quite a gap between you and CROW. You've got your work cut out for you.\You sure look happy. response:	Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?
context: With this, the manga's rankings and volume sales are sure to go up!\Great timing.\You came in 3rd place this week!\We're finally in the top three!\Getting first place might not be just a dream, after all!\Well, there's quite a gap between you and CROW. You've got your work cut out for you.\You sure look happy.\Since you're already editing both, you won't give a damn if GIRI passes CROW, will you? response:	That's not true!
context: Great timing.\You came in 3rd place this week!\We're finally in the top three!\Getting first place might not be just a dream, after all!\Well, there's quite a gap between you and CROW. You've got your work cut out for you.\You sure look happy.\Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?\That's not true! response:	I'd be thrilled if GIRI got the top spot!
context: You came in 3rd place this week!\We're finally in the top three!\Getting first place might not be just a dream, after all!\Well, there's quite a gap between you and CROW. You've got your work cut out for you.\You sure look happy.\Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?\That's not true!\I'd be thrilled if GIRI got the top spot! response:	Ideally, newer manga should surpass long-running ones.
context: We're finally in the top three!\Getting first place might not be just a dream, after all!\Well, there's quite a gap between you and CROW. You've got your work cut out for you.\You sure look happy.\Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?\That's not true!\I'd be thrilled if GIRI got the top spot!\Ideally, newer manga should surpass long-running ones. response:	But it'd be really hard to surpass CROW.
context: Getting first place might not be just a dream, after all!\Well, there's quite a gap between you and CROW. You've got your work cut out for you.\You sure look happy.\Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?\That's not true!\I'd be thrilled if GIRI got the top spot!\Ideally, newer manga should surpass long-running ones.\But it'd be really hard to surpass CROW. response:	It's come in first place for the last five weeks.
context: Well, there's quite a gap between you and CROW. You've got your work cut out for you.\You sure look happy.\Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?\That's not true!\I'd be thrilled if GIRI got the top spot!\Ideally, newer manga should surpass long-running ones.\But it'd be really hard to surpass CROW.\It's come in first place for the last five weeks. response:	Niizuma being so set on coming in 1st had me feeling anxious for a while.
context: You sure look happy.\Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?\That's not true!\I'd be thrilled if GIRI got the top spot!\Ideally, newer manga should surpass long-running ones.\But it'd be really hard to surpass CROW.\It's come in first place for the last five weeks.\Niizuma being so set on coming in 1st had me feeling anxious for a while. response:	Why's that?
context: Since you're already editing both, you won't give a damn if GIRI passes CROW, will you?\That's not true!\I'd be thrilled if GIRI got the top spot!\Ideally, newer manga should surpass long-running ones.\But it'd be really hard to surpass CROW.\It's come in first place for the last five weeks.\Niizuma being so set on coming in 1st had me feeling anxious for a while.\Why's that? response:	Didn't Nonaka tell you?
context: That's not true!\I'd be thrilled if GIRI got the top spot!\Ideally, newer manga should surpass long-running ones.\But it'd be really hard to surpass CROW.\It's come in first place for the last five weeks.\Niizuma being so set on coming in 1st had me feeling anxious for a while.\Why's that?\Didn't Nonaka tell you? response:	Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.
context: I'd be thrilled if GIRI got the top spot!\Ideally, newer manga should surpass long-running ones.\But it'd be really hard to surpass CROW.\It's come in first place for the last five weeks.\Niizuma being so set on coming in 1st had me feeling anxious for a while.\Why's that?\Didn't Nonaka tell you?\Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack. response:	Huh?
context: Ideally, newer manga should surpass long-running ones.\But it'd be really hard to surpass CROW.\It's come in first place for the last five weeks.\Niizuma being so set on coming in 1st had me feeling anxious for a while.\Why's that?\Didn't Nonaka tell you?\Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.\Huh? response:	Needless to say, I told him he couldn't do that.
context: But it'd be really hard to surpass CROW.\It's come in first place for the last five weeks.\Niizuma being so set on coming in 1st had me feeling anxious for a while.\Why's that?\Didn't Nonaka tell you?\Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.\Huh?\Needless to say, I told him he couldn't do that. response:	But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.
context: It's come in first place for the last five weeks.\Niizuma being so set on coming in 1st had me feeling anxious for a while.\Why's that?\Didn't Nonaka tell you?\Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.\Huh?\Needless to say, I told him he couldn't do that.\But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction. response:	So what was the manga Niizuma wanted to end?
context: Niizuma being so set on coming in 1st had me feeling anxious for a while.\Why's that?\Didn't Nonaka tell you?\Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.\Huh?\Needless to say, I told him he couldn't do that.\But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.\So what was the manga Niizuma wanted to end? response:	I really wanna know!
context: Why's that?\Didn't Nonaka tell you?\Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.\Huh?\Needless to say, I told him he couldn't do that.\But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.\So what was the manga Niizuma wanted to end?\I really wanna know! response:	I haven't asked him, you know.
context: Didn't Nonaka tell you?\Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.\Huh?\Needless to say, I told him he couldn't do that.\But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.\So what was the manga Niizuma wanted to end?\I really wanna know!\I haven't asked him, you know. response:	But this was decided when he was serialized seven years ago.
context: Niizuma asked for the right to end a manga he hates if he ever became the no. 1 author in Jack.\Huh?\Needless to say, I told him he couldn't do that.\But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.\So what was the manga Niizuma wanted to end?\I really wanna know!\I haven't asked him, you know.\But this was decided when he was serialized seven years ago. response:	Maybe the manga he wanted to end is already over.
context: Huh?\Needless to say, I told him he couldn't do that.\But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.\So what was the manga Niizuma wanted to end?\I really wanna know!\I haven't asked him, you know.\But this was decided when he was serialized seven years ago.\Maybe the manga he wanted to end is already over. response:	Yeah... And at this point in time, it'd probably be NATURAL.
context: Needless to say, I told him he couldn't do that.\But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.\So what was the manga Niizuma wanted to end?\I really wanna know!\I haven't asked him, you know.\But this was decided when he was serialized seven years ago.\Maybe the manga he wanted to end is already over.\Yeah... And at this point in time, it'd probably be NATURAL. response:	Why?
context: But the Chief told him, We'll talk about it if you still feel that way once you've become our magazine's main attraction.\So what was the manga Niizuma wanted to end?\I really wanna know!\I haven't asked him, you know.\But this was decided when he was serialized seven years ago.\Maybe the manga he wanted to end is already over.\Yeah... And at this point in time, it'd probably be NATURAL.\Why? response:	He said the story's boring and follows the same pattern over and over.
context: So what was the manga Niizuma wanted to end?\I really wanna know!\I haven't asked him, you know.\But this was decided when he was serialized seven years ago.\Maybe the manga he wanted to end is already over.\Yeah... And at this point in time, it'd probably be NATURAL.\Why?\He said the story's boring and follows the same pattern over and over. response:	Are you sure you should be telling us this?
context: I really wanna know!\I haven't asked him, you know.\But this was decided when he was serialized seven years ago.\Maybe the manga he wanted to end is already over.\Yeah... And at this point in time, it'd probably be NATURAL.\Why?\He said the story's boring and follows the same pattern over and over.\Are you sure you should be telling us this? response:	It's okay. I know Niizuma won't bring that deal up again.
