context: Man, I'm hungry. response:	After we visit Big Bro's grave, let's get something to eat, Josuke.
context: along with any dirt, and helps relieve insomnia.\The reason you didn't start crying when you drank it\is because you got plenty of sleep last night.\Josuke!\I'm not sleepy at all now!\I feel refreshed! Like I slept a full ten hours!\Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?\Josuke, when you drink water this good for the first time, response:	trust me, you're bound to cry.
context: The reason you didn't start crying when you drank it\is because you got plenty of sleep last night.\Josuke!\I'm not sleepy at all now!\I feel refreshed! Like I slept a full ten hours!\Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?\Josuke, when you drink water this good for the first time,\trust me, you're bound to cry. response:	I cried even more when I watched the movie Champ on video.
context: is because you got plenty of sleep last night.\Josuke!\I'm not sleepy at all now!\I feel refreshed! Like I slept a full ten hours!\Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?\Josuke, when you drink water this good for the first time,\trust me, you're bound to cry.\I cried even more when I watched the movie Champ on video. response:	Really?
context: Josuke!\I'm not sleepy at all now!\I feel refreshed! Like I slept a full ten hours!\Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?\Josuke, when you drink water this good for the first time,\trust me, you're bound to cry.\I cried even more when I watched the movie Champ on video.\Really? response:	Yeah!
context: I'm not sleepy at all now!\I feel refreshed! Like I slept a full ten hours!\Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?\Josuke, when you drink water this good for the first time,\trust me, you're bound to cry.\I cried even more when I watched the movie Champ on video.\Really?\Yeah! response:	Here's your cappuccino.
context: I feel refreshed! Like I slept a full ten hours!\Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?\Josuke, when you drink water this good for the first time,\trust me, you're bound to cry.\I cried even more when I watched the movie Champ on video.\Really?\Yeah!\Here's your cappuccino. response:	R-Right...
context: Seriously? O-Okuyasu, are you sure there's nothing wrong with your eyes?\Josuke, when you drink water this good for the first time,\trust me, you're bound to cry.\I cried even more when I watched the movie Champ on video.\Really?\Yeah!\Here's your cappuccino.\R-Right... response:	Now, shall we continue with the meal?
context: Josuke, when you drink water this good for the first time,\trust me, you're bound to cry.\I cried even more when I watched the movie Champ on video.\Really?\Yeah!\Here's your cappuccino.\R-Right...\Now, shall we continue with the meal? response:	Hey, that looks really good.
context: trust me, you're bound to cry.\I cried even more when I watched the movie Champ on video.\Really?\Yeah!\Here's your cappuccino.\R-Right...\Now, shall we continue with the meal?\Hey, that looks really good. response:	Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)
context: I cried even more when I watched the movie Champ on video.\Really?\Yeah!\Here's your cappuccino.\R-Right...\Now, shall we continue with the meal?\Hey, that looks really good.\Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation) response:	For the antipasto, we have a salad with mozzarella cheese and tomatoes.
context: Really?\Yeah!\Here's your cappuccino.\R-Right...\Now, shall we continue with the meal?\Hey, that looks really good.\Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)\For the antipasto, we have a salad with mozzarella cheese and tomatoes. response:	M-M-Mozzaza?
context: Yeah!\Here's your cappuccino.\R-Right...\Now, shall we continue with the meal?\Hey, that looks really good.\Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)\For the antipasto, we have a salad with mozzarella cheese and tomatoes.\M-M-Mozzaza? response:	Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.
context: Here's your cappuccino.\R-Right...\Now, shall we continue with the meal?\Hey, that looks really good.\Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)\For the antipasto, we have a salad with mozzarella cheese and tomatoes.\M-M-Mozzaza?\Mozzarella cheese is a soft, fresh cheese whose fat has been taken out. response:	Everyone in Italy loves to eat it.
context: R-Right...\Now, shall we continue with the meal?\Hey, that looks really good.\Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)\For the antipasto, we have a salad with mozzarella cheese and tomatoes.\M-M-Mozzaza?\Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.\Everyone in Italy loves to eat it. response:	The first people to use tomatoes in cooking were the Italians.
context: Now, shall we continue with the meal?\Hey, that looks really good.\Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)\For the antipasto, we have a salad with mozzarella cheese and tomatoes.\M-M-Mozzaza?\Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.\Everyone in Italy loves to eat it.\The first people to use tomatoes in cooking were the Italians. response:	Nothing can compare to the way an Italian prepares tomatoes.
context: Hey, that looks really good.\Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)\For the antipasto, we have a salad with mozzarella cheese and tomatoes.\M-M-Mozzaza?\Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.\Everyone in Italy loves to eat it.\The first people to use tomatoes in cooking were the Italians.\Nothing can compare to the way an Italian prepares tomatoes. response:	This is not bragging. It's merely pride.
context: Ingredients Mozzarella cheese (4 thin slices) Tomatoes (5 thin slices) Tonio's Special Dressing 1 Anchovy Seaweed Olive oil White wine vinegar Lemon juice Salt Pepper Etc. Balsamic vinegar (just a splash) Toast Lettuce (for garnish) (Best eaten within 15 minutes of preparation)\For the antipasto, we have a salad with mozzarella cheese and tomatoes.\M-M-Mozzaza?\Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.\Everyone in Italy loves to eat it.\The first people to use tomatoes in cooking were the Italians.\Nothing can compare to the way an Italian prepares tomatoes.\This is not bragging. It's merely pride. response:	Please, help yourselves.
context: For the antipasto, we have a salad with mozzarella cheese and tomatoes.\M-M-Mozzaza?\Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.\Everyone in Italy loves to eat it.\The first people to use tomatoes in cooking were the Italians.\Nothing can compare to the way an Italian prepares tomatoes.\This is not bragging. It's merely pride.\Please, help yourselves. response:	Heck, yeah!
context: M-M-Mozzaza?\Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.\Everyone in Italy loves to eat it.\The first people to use tomatoes in cooking were the Italians.\Nothing can compare to the way an Italian prepares tomatoes.\This is not bragging. It's merely pride.\Please, help yourselves.\Heck, yeah! response:	Yeah, that's pretty good.
context: Mozzarella cheese is a soft, fresh cheese whose fat has been taken out.\Everyone in Italy loves to eat it.\The first people to use tomatoes in cooking were the Italians.\Nothing can compare to the way an Italian prepares tomatoes.\This is not bragging. It's merely pride.\Please, help yourselves.\Heck, yeah!\Yeah, that's pretty good. response:	It's good. Pretty good.
context: Everyone in Italy loves to eat it.\The first people to use tomatoes in cooking were the Italians.\Nothing can compare to the way an Italian prepares tomatoes.\This is not bragging. It's merely pride.\Please, help yourselves.\Heck, yeah!\Yeah, that's pretty good.\It's good. Pretty good. response:	But... I'm not sure what it is, but this cheese doesn't have much flavor.
context: The first people to use tomatoes in cooking were the Italians.\Nothing can compare to the way an Italian prepares tomatoes.\This is not bragging. It's merely pride.\Please, help yourselves.\Heck, yeah!\Yeah, that's pretty good.\It's good. Pretty good.\But... I'm not sure what it is, but this cheese doesn't have much flavor. response:	No! No!
context: Nothing can compare to the way an Italian prepares tomatoes.\This is not bragging. It's merely pride.\Please, help yourselves.\Heck, yeah!\Yeah, that's pretty good.\It's good. Pretty good.\But... I'm not sure what it is, but this cheese doesn't have much flavor.\No! No! response:	You need to put it in your mouth with the tomato.
context: This is not bragging. It's merely pride.\Please, help yourselves.\Heck, yeah!\Yeah, that's pretty good.\It's good. Pretty good.\But... I'm not sure what it is, but this cheese doesn't have much flavor.\No! No!\You need to put it in your mouth with the tomato. response:	What? With the tomato?
context: Please, help yourselves.\Heck, yeah!\Yeah, that's pretty good.\It's good. Pretty good.\But... I'm not sure what it is, but this cheese doesn't have much flavor.\No! No!\You need to put it in your mouth with the tomato.\What? With the tomato? response:	Well, most foreign dishes don't suit Japanese tastes.
context: Heck, yeah!\Yeah, that's pretty good.\It's good. Pretty good.\But... I'm not sure what it is, but this cheese doesn't have much flavor.\No! No!\You need to put it in your mouth with the tomato.\What? With the tomato?\Well, most foreign dishes don't suit Japanese tastes. response:	So good!
context: Yeah, that's pretty good.\It's good. Pretty good.\But... I'm not sure what it is, but this cheese doesn't have much flavor.\No! No!\You need to put it in your mouth with the tomato.\What? With the tomato?\Well, most foreign dishes don't suit Japanese tastes.\So good! response:	Huh?!
context: It's good. Pretty good.\But... I'm not sure what it is, but this cheese doesn't have much flavor.\No! No!\You need to put it in your mouth with the tomato.\What? With the tomato?\Well, most foreign dishes don't suit Japanese tastes.\So good!\Huh?! response:	The juicy part of the tomatoes wraps around the mild cheese!
context: But... I'm not sure what it is, but this cheese doesn't have much flavor.\No! No!\You need to put it in your mouth with the tomato.\What? With the tomato?\Well, most foreign dishes don't suit Japanese tastes.\So good!\Huh?!\The juicy part of the tomatoes wraps around the mild cheese! response:	The cheese brings out the tomato, and the tomato brings out the cheese!
context: No! No!\You need to put it in your mouth with the tomato.\What? With the tomato?\Well, most foreign dishes don't suit Japanese tastes.\So good!\Huh?!\The juicy part of the tomatoes wraps around the mild cheese!\The cheese brings out the tomato, and the tomato brings out the cheese! response:	It's like harmony, or like a harmony of tastes!
context: You need to put it in your mouth with the tomato.\What? With the tomato?\Well, most foreign dishes don't suit Japanese tastes.\So good!\Huh?!\The juicy part of the tomatoes wraps around the mild cheese!\The cheese brings out the tomato, and the tomato brings out the cheese!\It's like harmony, or like a harmony of tastes! response:	It's kind of like a Simon and Garfunkel duet!
context: What? With the tomato?\Well, most foreign dishes don't suit Japanese tastes.\So good!\Huh?!\The juicy part of the tomatoes wraps around the mild cheese!\The cheese brings out the tomato, and the tomato brings out the cheese!\It's like harmony, or like a harmony of tastes!\It's kind of like a Simon and Garfunkel duet! response:	Ucchan with Nanchan!
context: Well, most foreign dishes don't suit Japanese tastes.\So good!\Huh?!\The juicy part of the tomatoes wraps around the mild cheese!\The cheese brings out the tomato, and the tomato brings out the cheese!\It's like harmony, or like a harmony of tastes!\It's kind of like a Simon and Garfunkel duet!\Ucchan with Nanchan! response:	Asao Takamori's original Ashita no Joe
context: So good!\Huh?!\The juicy part of the tomatoes wraps around the mild cheese!\The cheese brings out the tomato, and the tomato brings out the cheese!\It's like harmony, or like a harmony of tastes!\It's kind of like a Simon and Garfunkel duet!\Ucchan with Nanchan!\Asao Takamori's original Ashita no Joe response:	with the Ashita no Joe that Tetsuya Chiba directed!
context: Huh?!\The juicy part of the tomatoes wraps around the mild cheese!\The cheese brings out the tomato, and the tomato brings out the cheese!\It's like harmony, or like a harmony of tastes!\It's kind of like a Simon and Garfunkel duet!\Ucchan with Nanchan!\Asao Takamori's original Ashita no Joe\with the Ashita no Joe that Tetsuya Chiba directed! response:	Grazie! I couldn't be happier that you enjoyed it.
context: The juicy part of the tomatoes wraps around the mild cheese!\The cheese brings out the tomato, and the tomato brings out the cheese!\It's like harmony, or like a harmony of tastes!\It's kind of like a Simon and Garfunkel duet!\Ucchan with Nanchan!\Asao Takamori's original Ashita no Joe\with the Ashita no Joe that Tetsuya Chiba directed!\Grazie! I couldn't be happier that you enjoyed it. response:	H-Hey, Okuyasu. Let me try a little.
context: The cheese brings out the tomato, and the tomato brings out the cheese!\It's like harmony, or like a harmony of tastes!\It's kind of like a Simon and Garfunkel duet!\Ucchan with Nanchan!\Asao Takamori's original Ashita no Joe\with the Ashita no Joe that Tetsuya Chiba directed!\Grazie! I couldn't be happier that you enjoyed it.\H-Hey, Okuyasu. Let me try a little. response:	No way.
context: It's like harmony, or like a harmony of tastes!\It's kind of like a Simon and Garfunkel duet!\Ucchan with Nanchan!\Asao Takamori's original Ashita no Joe\with the Ashita no Joe that Tetsuya Chiba directed!\Grazie! I couldn't be happier that you enjoyed it.\H-Hey, Okuyasu. Let me try a little.\No way. response:	You should just order some yourself!
context: It's kind of like a Simon and Garfunkel duet!\Ucchan with Nanchan!\Asao Takamori's original Ashita no Joe\with the Ashita no Joe that Tetsuya Chiba directed!\Grazie! I couldn't be happier that you enjoyed it.\H-Hey, Okuyasu. Let me try a little.\No way.\You should just order some yourself! response:	There's no way you're getting mine.
context: Ucchan with Nanchan!\Asao Takamori's original Ashita no Joe\with the Ashita no Joe that Tetsuya Chiba directed!\Grazie! I couldn't be happier that you enjoyed it.\H-Hey, Okuyasu. Let me try a little.\No way.\You should just order some yourself!\There's no way you're getting mine. response:	I wouldn't give you any even if you were about to die of hunger.
context: Asao Takamori's original Ashita no Joe\with the Ashita no Joe that Tetsuya Chiba directed!\Grazie! I couldn't be happier that you enjoyed it.\H-Hey, Okuyasu. Let me try a little.\No way.\You should just order some yourself!\There's no way you're getting mine.\I wouldn't give you any even if you were about to die of hunger. response:	It's so good! I'm so glad I was born, Mom!
context: with the Ashita no Joe that Tetsuya Chiba directed!\Grazie! I couldn't be happier that you enjoyed it.\H-Hey, Okuyasu. Let me try a little.\No way.\You should just order some yourself!\There's no way you're getting mine.\I wouldn't give you any even if you were about to die of hunger.\It's so good! I'm so glad I was born, Mom! response:	Damn it! I knew you were cheap, but I didn't know it was this bad!
context: Grazie! I couldn't be happier that you enjoyed it.\H-Hey, Okuyasu. Let me try a little.\No way.\You should just order some yourself!\There's no way you're getting mine.\I wouldn't give you any even if you were about to die of hunger.\It's so good! I'm so glad I was born, Mom!\Damn it! I knew you were cheap, but I didn't know it was this bad! response:	Fine. I'll order a plate myself.
context: H-Hey, Okuyasu. Let me try a little.\No way.\You should just order some yourself!\There's no way you're getting mine.\I wouldn't give you any even if you were about to die of hunger.\It's so good! I'm so glad I was born, Mom!\Damn it! I knew you were cheap, but I didn't know it was this bad!\Fine. I'll order a plate myself. response:	Ho capito.
context: No way.\You should just order some yourself!\There's no way you're getting mine.\I wouldn't give you any even if you were about to die of hunger.\It's so good! I'm so glad I was born, Mom!\Damn it! I knew you were cheap, but I didn't know it was this bad!\Fine. I'll order a plate myself.\Ho capito. response:	However, the only one who will have his stiff shoulder cured is the
context: You should just order some yourself!\There's no way you're getting mine.\I wouldn't give you any even if you were about to die of hunger.\It's so good! I'm so glad I was born, Mom!\Damn it! I knew you were cheap, but I didn't know it was this bad!\Fine. I'll order a plate myself.\Ho capito.\However, the only one who will have his stiff shoulder cured is the response:	customer right there, who has the stiff shoulder.
context: There's no way you're getting mine.\I wouldn't give you any even if you were about to die of hunger.\It's so good! I'm so glad I was born, Mom!\Damn it! I knew you were cheap, but I didn't know it was this bad!\Fine. I'll order a plate myself.\Ho capito.\However, the only one who will have his stiff shoulder cured is the\customer right there, who has the stiff shoulder. response:	Huh? Stiff shoulder?
context: I wouldn't give you any even if you were about to die of hunger.\It's so good! I'm so glad I was born, Mom!\Damn it! I knew you were cheap, but I didn't know it was this bad!\Fine. I'll order a plate myself.\Ho capito.\However, the only one who will have his stiff shoulder cured is the\customer right there, who has the stiff shoulder.\Huh? Stiff shoulder? response:	C-Come to think of it, my neck feels a bit hot.
context: It's so good! I'm so glad I was born, Mom!\Damn it! I knew you were cheap, but I didn't know it was this bad!\Fine. I'll order a plate myself.\Ho capito.\However, the only one who will have his stiff shoulder cured is the\customer right there, who has the stiff shoulder.\Huh? Stiff shoulder?\C-Come to think of it, my neck feels a bit hot. response:	It's oddly sweaty.
context: Damn it! I knew you were cheap, but I didn't know it was this bad!\Fine. I'll order a plate myself.\Ho capito.\However, the only one who will have his stiff shoulder cured is the\customer right there, who has the stiff shoulder.\Huh? Stiff shoulder?\C-Come to think of it, my neck feels a bit hot.\It's oddly sweaty. response:	Sir, I recommend that you take off your jacket.
context: Fine. I'll order a plate myself.\Ho capito.\However, the only one who will have his stiff shoulder cured is the\customer right there, who has the stiff shoulder.\Huh? Stiff shoulder?\C-Come to think of it, my neck feels a bit hot.\It's oddly sweaty.\Sir, I recommend that you take off your jacket. response:	S-Suddenly...
context: Ho capito.\However, the only one who will have his stiff shoulder cured is the\customer right there, who has the stiff shoulder.\Huh? Stiff shoulder?\C-Come to think of it, my neck feels a bit hot.\It's oddly sweaty.\Sir, I recommend that you take off your jacket.\S-Suddenly... response:	I-I-I'm getting really itchy!
context: However, the only one who will have his stiff shoulder cured is the\customer right there, who has the stiff shoulder.\Huh? Stiff shoulder?\C-Come to think of it, my neck feels a bit hot.\It's oddly sweaty.\Sir, I recommend that you take off your jacket.\S-Suddenly...\I-I-I'm getting really itchy! response:	S-Something slimy is stuck to my fingers!
context: customer right there, who has the stiff shoulder.\Huh? Stiff shoulder?\C-Come to think of it, my neck feels a bit hot.\It's oddly sweaty.\Sir, I recommend that you take off your jacket.\S-Suddenly...\I-I-I'm getting really itchy!\S-Something slimy is stuck to my fingers! response:	That would be dead skin.
context: Huh? Stiff shoulder?\C-Come to think of it, my neck feels a bit hot.\It's oddly sweaty.\Sir, I recommend that you take off your jacket.\S-Suddenly...\I-I-I'm getting really itchy!\S-Something slimy is stuck to my fingers!\That would be dead skin. response:	Dead skin?!
context: C-Come to think of it, my neck feels a bit hot.\It's oddly sweaty.\Sir, I recommend that you take off your jacket.\S-Suddenly...\I-I-I'm getting really itchy!\S-Something slimy is stuck to my fingers!\That would be dead skin.\Dead skin?! response:	It's proof that your metabolism has improved and blood is circulating well.
context: It's oddly sweaty.\Sir, I recommend that you take off your jacket.\S-Suddenly...\I-I-I'm getting really itchy!\S-Something slimy is stuck to my fingers!\That would be dead skin.\Dead skin?!\It's proof that your metabolism has improved and blood is circulating well. response:	The calcium, vitamins, and minerals in the antipasto that you just ate
context: Sir, I recommend that you take off your jacket.\S-Suddenly...\I-I-I'm getting really itchy!\S-Something slimy is stuck to my fingers!\That would be dead skin.\Dead skin?!\It's proof that your metabolism has improved and blood is circulating well.\The calcium, vitamins, and minerals in the antipasto that you just ate response:	have stimulated the thyroid gland in your throat that controls your metabolism.
context: S-Suddenly...\I-I-I'm getting really itchy!\S-Something slimy is stuck to my fingers!\That would be dead skin.\Dead skin?!\It's proof that your metabolism has improved and blood is circulating well.\The calcium, vitamins, and minerals in the antipasto that you just ate\have stimulated the thyroid gland in your throat that controls your metabolism. response:	All of your bad cells are coming out as dead skin.
context: I-I-I'm getting really itchy!\S-Something slimy is stuck to my fingers!\That would be dead skin.\Dead skin?!\It's proof that your metabolism has improved and blood is circulating well.\The calcium, vitamins, and minerals in the antipasto that you just ate\have stimulated the thyroid gland in your throat that controls your metabolism.\All of your bad cells are coming out as dead skin. response:	Keep scratching, and get all of the dead skin off!
context: S-Something slimy is stuck to my fingers!\That would be dead skin.\Dead skin?!\It's proof that your metabolism has improved and blood is circulating well.\The calcium, vitamins, and minerals in the antipasto that you just ate\have stimulated the thyroid gland in your throat that controls your metabolism.\All of your bad cells are coming out as dead skin.\Keep scratching, and get all of the dead skin off! response:	Okuyasu, stop scratching! It's as big as a softball now!
context: That would be dead skin.\Dead skin?!\It's proof that your metabolism has improved and blood is circulating well.\The calcium, vitamins, and minerals in the antipasto that you just ate\have stimulated the thyroid gland in your throat that controls your metabolism.\All of your bad cells are coming out as dead skin.\Keep scratching, and get all of the dead skin off!\Okuyasu, stop scratching! It's as big as a softball now! response:	You're starting to dig at the muscle in your shoulder!
context: Dead skin?!\It's proof that your metabolism has improved and blood is circulating well.\The calcium, vitamins, and minerals in the antipasto that you just ate\have stimulated the thyroid gland in your throat that controls your metabolism.\All of your bad cells are coming out as dead skin.\Keep scratching, and get all of the dead skin off!\Okuyasu, stop scratching! It's as big as a softball now!\You're starting to dig at the muscle in your shoulder! response:	N-No! You're wrong, Josuke!
context: It's proof that your metabolism has improved and blood is circulating well.\The calcium, vitamins, and minerals in the antipasto that you just ate\have stimulated the thyroid gland in your throat that controls your metabolism.\All of your bad cells are coming out as dead skin.\Keep scratching, and get all of the dead skin off!\Okuyasu, stop scratching! It's as big as a softball now!\You're starting to dig at the muscle in your shoulder!\N-No! You're wrong, Josuke! response:	It's light!
context: The calcium, vitamins, and minerals in the antipasto that you just ate\have stimulated the thyroid gland in your throat that controls your metabolism.\All of your bad cells are coming out as dead skin.\Keep scratching, and get all of the dead skin off!\Okuyasu, stop scratching! It's as big as a softball now!\You're starting to dig at the muscle in your shoulder!\N-No! You're wrong, Josuke!\It's light! response:	My shoulder feels so stupidly light!
context: have stimulated the thyroid gland in your throat that controls your metabolism.\All of your bad cells are coming out as dead skin.\Keep scratching, and get all of the dead skin off!\Okuyasu, stop scratching! It's as big as a softball now!\You're starting to dig at the muscle in your shoulder!\N-No! You're wrong, Josuke!\It's light!\My shoulder feels so stupidly light! response:	I feel like there's a balloon on my shoulder now, it's so light!
context: All of your bad cells are coming out as dead skin.\Keep scratching, and get all of the dead skin off!\Okuyasu, stop scratching! It's as big as a softball now!\You're starting to dig at the muscle in your shoulder!\N-No! You're wrong, Josuke!\It's light!\My shoulder feels so stupidly light!\I feel like there's a balloon on my shoulder now, it's so light! response:	Look! My shoulder's so much more flexible!
context: Keep scratching, and get all of the dead skin off!\Okuyasu, stop scratching! It's as big as a softball now!\You're starting to dig at the muscle in your shoulder!\N-No! You're wrong, Josuke!\It's light!\My shoulder feels so stupidly light!\I feel like there's a balloon on my shoulder now, it's so light!\Look! My shoulder's so much more flexible! response:	I've never been able to do this before!
context: Okuyasu, stop scratching! It's as big as a softball now!\You're starting to dig at the muscle in your shoulder!\N-No! You're wrong, Josuke!\It's light!\My shoulder feels so stupidly light!\I feel like there's a balloon on my shoulder now, it's so light!\Look! My shoulder's so much more flexible!\I've never been able to do this before! response:	My shoulder isn't stiff anymore!
context: You're starting to dig at the muscle in your shoulder!\N-No! You're wrong, Josuke!\It's light!\My shoulder feels so stupidly light!\I feel like there's a balloon on my shoulder now, it's so light!\Look! My shoulder's so much more flexible!\I've never been able to do this before!\My shoulder isn't stiff anymore! response:	Now, if you'll excuse me for a bit.
context: N-No! You're wrong, Josuke!\It's light!\My shoulder feels so stupidly light!\I feel like there's a balloon on my shoulder now, it's so light!\Look! My shoulder's so much more flexible!\I've never been able to do this before!\My shoulder isn't stiff anymore!\Now, if you'll excuse me for a bit. response:	I have to make sure the pasta boils properly.
context: It's light!\My shoulder feels so stupidly light!\I feel like there's a balloon on my shoulder now, it's so light!\Look! My shoulder's so much more flexible!\I've never been able to do this before!\My shoulder isn't stiff anymore!\Now, if you'll excuse me for a bit.\I have to make sure the pasta boils properly. response:	Holy crap! That Chef Tonio guy is a genius!
context: My shoulder feels so stupidly light!\I feel like there's a balloon on my shoulder now, it's so light!\Look! My shoulder's so much more flexible!\I've never been able to do this before!\My shoulder isn't stiff anymore!\Now, if you'll excuse me for a bit.\I have to make sure the pasta boils properly.\Holy crap! That Chef Tonio guy is a genius! response:	N-No...
context: I feel like there's a balloon on my shoulder now, it's so light!\Look! My shoulder's so much more flexible!\I've never been able to do this before!\My shoulder isn't stiff anymore!\Now, if you'll excuse me for a bit.\I have to make sure the pasta boils properly.\Holy crap! That Chef Tonio guy is a genius!\N-No... response:	Something's definitely wrong here!
context: Look! My shoulder's so much more flexible!\I've never been able to do this before!\My shoulder isn't stiff anymore!\Now, if you'll excuse me for a bit.\I have to make sure the pasta boils properly.\Holy crap! That Chef Tonio guy is a genius!\N-No...\Something's definitely wrong here! response:	There's definitely something strange about his cooking!
context: I've never been able to do this before!\My shoulder isn't stiff anymore!\Now, if you'll excuse me for a bit.\I have to make sure the pasta boils properly.\Holy crap! That Chef Tonio guy is a genius!\N-No...\Something's definitely wrong here!\There's definitely something strange about his cooking! response:	Morioh Landmark 3 Italian Restaurant Trendy How to get there: 1 minute on foot after getting off the bus headed towardMorioh's Kunimi Mountain Pass Cemetery An unusual restaurant with no set menu. The chef will decide the menu based on how the customer is feeling that day. Because seating is limited, it is recommended that you make a reservation.
context: My shoulder isn't stiff anymore!\Now, if you'll excuse me for a bit.\I have to make sure the pasta boils properly.\Holy crap! That Chef Tonio guy is a genius!\N-No...\Something's definitely wrong here!\There's definitely something strange about his cooking!\Morioh Landmark 3 Italian Restaurant Trendy How to get there: 1 minute on foot after getting off the bus headed towardMorioh's Kunimi Mountain Pass Cemetery An unusual restaurant with no set menu. The chef will decide the menu based on how the customer is feeling that day. Because seating is limited, it is recommended that you make a reservation. response:	Now, let's continue with the meal, shall we?
context: Now, if you'll excuse me for a bit.\I have to make sure the pasta boils properly.\Holy crap! That Chef Tonio guy is a genius!\N-No...\Something's definitely wrong here!\There's definitely something strange about his cooking!\Morioh Landmark 3 Italian Restaurant Trendy How to get there: 1 minute on foot after getting off the bus headed towardMorioh's Kunimi Mountain Pass Cemetery An unusual restaurant with no set menu. The chef will decide the menu based on how the customer is feeling that day. Because seating is limited, it is recommended that you make a reservation.\Now, let's continue with the meal, shall we? response:	Next is the primo piatto.
context: I have to make sure the pasta boils properly.\Holy crap! That Chef Tonio guy is a genius!\N-No...\Something's definitely wrong here!\There's definitely something strange about his cooking!\Morioh Landmark 3 Italian Restaurant Trendy How to get there: 1 minute on foot after getting off the bus headed towardMorioh's Kunimi Mountain Pass Cemetery An unusual restaurant with no set menu. The chef will decide the menu based on how the customer is feeling that day. Because seating is limited, it is recommended that you make a reservation.\Now, let's continue with the meal, shall we?\Next is the primo piatto. response:	This will be your pasta course.
context: Holy crap! That Chef Tonio guy is a genius!\N-No...\Something's definitely wrong here!\There's definitely something strange about his cooking!\Morioh Landmark 3 Italian Restaurant Trendy How to get there: 1 minute on foot after getting off the bus headed towardMorioh's Kunimi Mountain Pass Cemetery An unusual restaurant with no set menu. The chef will decide the menu based on how the customer is feeling that day. Because seating is limited, it is recommended that you make a reservation.\Now, let's continue with the meal, shall we?\Next is the primo piatto.\This will be your pasta course. response:	I call it... harlot spaghetti!
context: N-No...\Something's definitely wrong here!\There's definitely something strange about his cooking!\Morioh Landmark 3 Italian Restaurant Trendy How to get there: 1 minute on foot after getting off the bus headed towardMorioh's Kunimi Mountain Pass Cemetery An unusual restaurant with no set menu. The chef will decide the menu based on how the customer is feeling that day. Because seating is limited, it is recommended that you make a reservation.\Now, let's continue with the meal, shall we?\Next is the primo piatto.\This will be your pasta course.\I call it... harlot spaghetti! response:	Ingredients Spaghetti Pitted black olives Olive oil Anchovies Garlic Red peppers Cherry tomatoes Misc: Parsley, salt, pepper, etc Parmesan cheese (Best eaten while still hot)
