context: The Tide Suddenly Turned!! Piccolo, the Warrior Who Came Late response:	What's wrong?
context: I didn't think you Namekians were capable of telling jokes.\It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,\Freeza's on a completely different dimension from the rest of us!\There's still a surviving Namekian, is there?\But there's something different about you from the other Namekians.\There seems to be something special about you. And even so, you are still utterly no match for me.\Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.\Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's. response:	Gohan's Ki has recovered as well. I don't get anything that's going on!
context: It's no use! No matter how much Piccolo may have gained from training at Kaio-sama's place,\Freeza's on a completely different dimension from the rest of us!\There's still a surviving Namekian, is there?\But there's something different about you from the other Namekians.\There seems to be something special about you. And even so, you are still utterly no match for me.\Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.\Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.\Gohan's Ki has recovered as well. I don't get anything that's going on! response:	Now, to clean up the dregs of the universe.
context: Freeza's on a completely different dimension from the rest of us!\There's still a surviving Namekian, is there?\But there's something different about you from the other Namekians.\There seems to be something special about you. And even so, you are still utterly no match for me.\Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.\Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.\Gohan's Ki has recovered as well. I don't get anything that's going on!\Now, to clean up the dregs of the universe. response:	I'll do this by myself. You guys stay out of it.
context: There's still a surviving Namekian, is there?\But there's something different about you from the other Namekians.\There seems to be something special about you. And even so, you are still utterly no match for me.\Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.\Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.\Gohan's Ki has recovered as well. I don't get anything that's going on!\Now, to clean up the dregs of the universe.\I'll do this by myself. You guys stay out of it. response:	That person they call Piccolo, he looks just like Nail-san!
context: But there's something different about you from the other Namekians.\There seems to be something special about you. And even so, you are still utterly no match for me.\Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.\Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.\Gohan's Ki has recovered as well. I don't get anything that's going on!\Now, to clean up the dregs of the universe.\I'll do this by myself. You guys stay out of it.\That person they call Piccolo, he looks just like Nail-san! response:	Take shelter somewhere, Dende! You'll get caught in our crossfire.
context: There seems to be something special about you. And even so, you are still utterly no match for me.\Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.\Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.\Gohan's Ki has recovered as well. I don't get anything that's going on!\Now, to clean up the dregs of the universe.\I'll do this by myself. You guys stay out of it.\That person they call Piccolo, he looks just like Nail-san!\Take shelter somewhere, Dende! You'll get caught in our crossfire. response:	Do it quickly!
context: Who is it? Who has arrived? I don't know. I can't tell whose Ki that is.\Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.\Gohan's Ki has recovered as well. I don't get anything that's going on!\Now, to clean up the dregs of the universe.\I'll do this by myself. You guys stay out of it.\That person they call Piccolo, he looks just like Nail-san!\Take shelter somewhere, Dende! You'll get caught in our crossfire.\Do it quickly! response:	How does he know my name?
context: Piccolo? No, can't be. It couldn't be. The Ki's too great to be Piccolo's.\Gohan's Ki has recovered as well. I don't get anything that's going on!\Now, to clean up the dregs of the universe.\I'll do this by myself. You guys stay out of it.\That person they call Piccolo, he looks just like Nail-san!\Take shelter somewhere, Dende! You'll get caught in our crossfire.\Do it quickly!\How does he know my name? response:	Piccolo-san!
context: Gohan's Ki has recovered as well. I don't get anything that's going on!\Now, to clean up the dregs of the universe.\I'll do this by myself. You guys stay out of it.\That person they call Piccolo, he looks just like Nail-san!\Take shelter somewhere, Dende! You'll get caught in our crossfire.\Do it quickly!\How does he know my name?\Piccolo-san! response:	It's senseless! Not even Piccolo has a chance of winning against that guy!
context: Now, to clean up the dregs of the universe.\I'll do this by myself. You guys stay out of it.\That person they call Piccolo, he looks just like Nail-san!\Take shelter somewhere, Dende! You'll get caught in our crossfire.\Do it quickly!\How does he know my name?\Piccolo-san!\It's senseless! Not even Piccolo has a chance of winning against that guy! response:	He may have a glib tongue, but so long as he doesn't realize his opponent's battle power,
context: I'll do this by myself. You guys stay out of it.\That person they call Piccolo, he looks just like Nail-san!\Take shelter somewhere, Dende! You'll get caught in our crossfire.\Do it quickly!\How does he know my name?\Piccolo-san!\It's senseless! Not even Piccolo has a chance of winning against that guy!\He may have a glib tongue, but so long as he doesn't realize his opponent's battle power, response:	I wouldn't count on him.
context: That person they call Piccolo, he looks just like Nail-san!\Take shelter somewhere, Dende! You'll get caught in our crossfire.\Do it quickly!\How does he know my name?\Piccolo-san!\It's senseless! Not even Piccolo has a chance of winning against that guy!\He may have a glib tongue, but so long as he doesn't realize his opponent's battle power,\I wouldn't count on him. response:	Everyone has stopped moving. Now what's going on!?
context: Take shelter somewhere, Dende! You'll get caught in our crossfire.\Do it quickly!\How does he know my name?\Piccolo-san!\It's senseless! Not even Piccolo has a chance of winning against that guy!\He may have a glib tongue, but so long as he doesn't realize his opponent's battle power,\I wouldn't count on him.\Everyone has stopped moving. Now what's going on!? response:	Who is it that just showed up with the enormous Ki?
context: Do it quickly!\How does he know my name?\Piccolo-san!\It's senseless! Not even Piccolo has a chance of winning against that guy!\He may have a glib tongue, but so long as he doesn't realize his opponent's battle power,\I wouldn't count on him.\Everyone has stopped moving. Now what's going on!?\Who is it that just showed up with the enormous Ki? response:	Piccolo finally arrives at the scene of battle. His challenge to Freeza may be thought of as reckless.
context: How does he know my name?\Piccolo-san!\It's senseless! Not even Piccolo has a chance of winning against that guy!\He may have a glib tongue, but so long as he doesn't realize his opponent's battle power,\I wouldn't count on him.\Everyone has stopped moving. Now what's going on!?\Who is it that just showed up with the enormous Ki?\Piccolo finally arrives at the scene of battle. His challenge to Freeza may be thought of as reckless. response:	Does Piccolo indeed have a chance of winning? And what about Goku?
