context: What's wrong? response:	Oh? So you're off to Mistral?
context: Excuse me...\I have some business to attend to.\Don't get lost again.\That bell...\It must be important to her.\What should I do?\Oh no!\Over there? response:	Forward march!
context: I have some business to attend to.\Don't get lost again.\That bell...\It must be important to her.\What should I do?\Oh no!\Over there?\Forward march! response:	The Maidens of Fire?
context: Don't get lost again.\That bell...\It must be important to her.\What should I do?\Oh no!\Over there?\Forward march!\The Maidens of Fire? response:	A long time ago,
context: That bell...\It must be important to her.\What should I do?\Oh no!\Over there?\Forward march!\The Maidens of Fire?\A long time ago, response:	long before the world turned out this way...
context: It must be important to her.\What should I do?\Oh no!\Over there?\Forward march!\The Maidens of Fire?\A long time ago,\long before the world turned out this way... response:	a winged demon lived at the bottom of this town's valley.
context: What should I do?\Oh no!\Over there?\Forward march!\The Maidens of Fire?\A long time ago,\long before the world turned out this way...\a winged demon lived at the bottom of this town's valley. response:	The demon
context: Oh no!\Over there?\Forward march!\The Maidens of Fire?\A long time ago,\long before the world turned out this way...\a winged demon lived at the bottom of this town's valley.\The demon response:	spat fire,
context: Over there?\Forward march!\The Maidens of Fire?\A long time ago,\long before the world turned out this way...\a winged demon lived at the bottom of this town's valley.\The demon\spat fire, response:	shook the earth,
context: Forward march!\The Maidens of Fire?\A long time ago,\long before the world turned out this way...\a winged demon lived at the bottom of this town's valley.\The demon\spat fire,\shook the earth, response:	and caused the people suffering.
context: The Maidens of Fire?\A long time ago,\long before the world turned out this way...\a winged demon lived at the bottom of this town's valley.\The demon\spat fire,\shook the earth,\and caused the people suffering. response:	Finally, it carried off the maidens that lived in the fortress,
context: A long time ago,\long before the world turned out this way...\a winged demon lived at the bottom of this town's valley.\The demon\spat fire,\shook the earth,\and caused the people suffering.\Finally, it carried off the maidens that lived in the fortress, response:	and held them in an underground labyrinth.
context: long before the world turned out this way...\a winged demon lived at the bottom of this town's valley.\The demon\spat fire,\shook the earth,\and caused the people suffering.\Finally, it carried off the maidens that lived in the fortress,\and held them in an underground labyrinth. response:	But
context: a winged demon lived at the bottom of this town's valley.\The demon\spat fire,\shook the earth,\and caused the people suffering.\Finally, it carried off the maidens that lived in the fortress,\and held them in an underground labyrinth.\But response:	The Maidens lost no heart.
context: The demon\spat fire,\shook the earth,\and caused the people suffering.\Finally, it carried off the maidens that lived in the fortress,\and held them in an underground labyrinth.\But\The Maidens lost no heart. response:	Calling to each other with golden horns,
context: spat fire,\shook the earth,\and caused the people suffering.\Finally, it carried off the maidens that lived in the fortress,\and held them in an underground labyrinth.\But\The Maidens lost no heart.\Calling to each other with golden horns, response:	granted to them by an angel,
context: shook the earth,\and caused the people suffering.\Finally, it carried off the maidens that lived in the fortress,\and held them in an underground labyrinth.\But\The Maidens lost no heart.\Calling to each other with golden horns,\granted to them by an angel, response:	they escaped the labyrinth.
context: and caused the people suffering.\Finally, it carried off the maidens that lived in the fortress,\and held them in an underground labyrinth.\But\The Maidens lost no heart.\Calling to each other with golden horns,\granted to them by an angel,\they escaped the labyrinth. response:	With the aid of a giant spider,
context: Finally, it carried off the maidens that lived in the fortress,\and held them in an underground labyrinth.\But\The Maidens lost no heart.\Calling to each other with golden horns,\granted to them by an angel,\they escaped the labyrinth.\With the aid of a giant spider, response:	they defeated the demon and took its head.
context: and held them in an underground labyrinth.\But\The Maidens lost no heart.\Calling to each other with golden horns,\granted to them by an angel,\they escaped the labyrinth.\With the aid of a giant spider,\they defeated the demon and took its head. response:	When they did, an intense fire sprung from the head.
context: But\The Maidens lost no heart.\Calling to each other with golden horns,\granted to them by an angel,\they escaped the labyrinth.\With the aid of a giant spider,\they defeated the demon and took its head.\When they did, an intense fire sprung from the head. response:	If left alone, the town above would burn to the ground.
context: The Maidens lost no heart.\Calling to each other with golden horns,\granted to them by an angel,\they escaped the labyrinth.\With the aid of a giant spider,\they defeated the demon and took its head.\When they did, an intense fire sprung from the head.\If left alone, the town above would burn to the ground. response:	To keep the springing fire from the town, the Maidens,
context: Calling to each other with golden horns,\granted to them by an angel,\they escaped the labyrinth.\With the aid of a giant spider,\they defeated the demon and took its head.\When they did, an intense fire sprung from the head.\If left alone, the town above would burn to the ground.\To keep the springing fire from the town, the Maidens, response:	each in turn,
context: granted to them by an angel,\they escaped the labyrinth.\With the aid of a giant spider,\they defeated the demon and took its head.\When they did, an intense fire sprung from the head.\If left alone, the town above would burn to the ground.\To keep the springing fire from the town, the Maidens,\each in turn, response:	held the head of the demon.
context: they escaped the labyrinth.\With the aid of a giant spider,\they defeated the demon and took its head.\When they did, an intense fire sprung from the head.\If left alone, the town above would burn to the ground.\To keep the springing fire from the town, the Maidens,\each in turn,\held the head of the demon. response:	Every day, the townspeople cast water upon the flaming head
context: With the aid of a giant spider,\they defeated the demon and took its head.\When they did, an intense fire sprung from the head.\If left alone, the town above would burn to the ground.\To keep the springing fire from the town, the Maidens,\each in turn,\held the head of the demon.\Every day, the townspeople cast water upon the flaming head response:	and upon the Maidens.
context: they defeated the demon and took its head.\When they did, an intense fire sprung from the head.\If left alone, the town above would burn to the ground.\To keep the springing fire from the town, the Maidens,\each in turn,\held the head of the demon.\Every day, the townspeople cast water upon the flaming head\and upon the Maidens. response:	After one year, the fire had gone.
context: When they did, an intense fire sprung from the head.\If left alone, the town above would burn to the ground.\To keep the springing fire from the town, the Maidens,\each in turn,\held the head of the demon.\Every day, the townspeople cast water upon the flaming head\and upon the Maidens.\After one year, the fire had gone. response:	Since then, to console the spirits of the Maidens who saved the town,
context: If left alone, the town above would burn to the ground.\To keep the springing fire from the town, the Maidens,\each in turn,\held the head of the demon.\Every day, the townspeople cast water upon the flaming head\and upon the Maidens.\After one year, the fire had gone.\Since then, to console the spirits of the Maidens who saved the town, response:	they have celebrated the Water-Casting Festival.
context: To keep the springing fire from the town, the Maidens,\each in turn,\held the head of the demon.\Every day, the townspeople cast water upon the flaming head\and upon the Maidens.\After one year, the fire had gone.\Since then, to console the spirits of the Maidens who saved the town,\they have celebrated the Water-Casting Festival. response:	She didn't come.
context: each in turn,\held the head of the demon.\Every day, the townspeople cast water upon the flaming head\and upon the Maidens.\After one year, the fire had gone.\Since then, to console the spirits of the Maidens who saved the town,\they have celebrated the Water-Casting Festival.\She didn't come. response:	The new recruit.
context: held the head of the demon.\Every day, the townspeople cast water upon the flaming head\and upon the Maidens.\After one year, the fire had gone.\Since then, to console the spirits of the Maidens who saved the town,\they have celebrated the Water-Casting Festival.\She didn't come.\The new recruit. response:	Who cares about her?
context: Every day, the townspeople cast water upon the flaming head\and upon the Maidens.\After one year, the fire had gone.\Since then, to console the spirits of the Maidens who saved the town,\they have celebrated the Water-Casting Festival.\She didn't come.\The new recruit.\Who cares about her? response:	Look, Commander! It's Rio!
context: and upon the Maidens.\After one year, the fire had gone.\Since then, to console the spirits of the Maidens who saved the town,\they have celebrated the Water-Casting Festival.\She didn't come.\The new recruit.\Who cares about her?\Look, Commander! It's Rio! response:	It does look good on her.
context: After one year, the fire had gone.\Since then, to console the spirits of the Maidens who saved the town,\they have celebrated the Water-Casting Festival.\She didn't come.\The new recruit.\Who cares about her?\Look, Commander! It's Rio!\It does look good on her. response:	Looks like I was right leaving it to her.
context: Since then, to console the spirits of the Maidens who saved the town,\they have celebrated the Water-Casting Festival.\She didn't come.\The new recruit.\Who cares about her?\Look, Commander! It's Rio!\It does look good on her.\Looks like I was right leaving it to her. response:	But we drew straws to de-
context: they have celebrated the Water-Casting Festival.\She didn't come.\The new recruit.\Who cares about her?\Look, Commander! It's Rio!\It does look good on her.\Looks like I was right leaving it to her.\But we drew straws to de- response:	Looks like I got lost again...
context: She didn't come.\The new recruit.\Who cares about her?\Look, Commander! It's Rio!\It does look good on her.\Looks like I was right leaving it to her.\But we drew straws to de-\Looks like I got lost again... response:	I'm just hopeless...
context: The new recruit.\Who cares about her?\Look, Commander! It's Rio!\It does look good on her.\Looks like I was right leaving it to her.\But we drew straws to de-\Looks like I got lost again...\I'm just hopeless... response:	There are times when it's fun to get lost,
context: Who cares about her?\Look, Commander! It's Rio!\It does look good on her.\Looks like I was right leaving it to her.\But we drew straws to de-\Looks like I got lost again...\I'm just hopeless...\There are times when it's fun to get lost, response:	but that's because you might meet someone new.
context: Look, Commander! It's Rio!\It does look good on her.\Looks like I was right leaving it to her.\But we drew straws to de-\Looks like I got lost again...\I'm just hopeless...\There are times when it's fun to get lost,\but that's because you might meet someone new. response:	Being all alone...
context: It does look good on her.\Looks like I was right leaving it to her.\But we drew straws to de-\Looks like I got lost again...\I'm just hopeless...\There are times when it's fun to get lost,\but that's because you might meet someone new.\Being all alone... response:	isn't fun.
context: Looks like I was right leaving it to her.\But we drew straws to de-\Looks like I got lost again...\I'm just hopeless...\There are times when it's fun to get lost,\but that's because you might meet someone new.\Being all alone...\isn't fun. response:	Lost?
context: But we drew straws to de-\Looks like I got lost again...\I'm just hopeless...\There are times when it's fun to get lost,\but that's because you might meet someone new.\Being all alone...\isn't fun.\Lost? response:	I want to see my mom.
context: Looks like I got lost again...\I'm just hopeless...\There are times when it's fun to get lost,\but that's because you might meet someone new.\Being all alone...\isn't fun.\Lost?\I want to see my mom. response:	It's okay.
context: I'm just hopeless...\There are times when it's fun to get lost,\but that's because you might meet someone new.\Being all alone...\isn't fun.\Lost?\I want to see my mom.\It's okay. response:	If you wish for it,
context: There are times when it's fun to get lost,\but that's because you might meet someone new.\Being all alone...\isn't fun.\Lost?\I want to see my mom.\It's okay.\If you wish for it, response:	your wish will reach her.
context: but that's because you might meet someone new.\Being all alone...\isn't fun.\Lost?\I want to see my mom.\It's okay.\If you wish for it,\your wish will reach her. response:	Really?
context: Being all alone...\isn't fun.\Lost?\I want to see my mom.\It's okay.\If you wish for it,\your wish will reach her.\Really? response:	Yes.
context: isn't fun.\Lost?\I want to see my mom.\It's okay.\If you wish for it,\your wish will reach her.\Really?\Yes. response:	The sound will surely echo.
context: Lost?\I want to see my mom.\It's okay.\If you wish for it,\your wish will reach her.\Really?\Yes.\The sound will surely echo. response:	Surely echo...
context: I want to see my mom.\It's okay.\If you wish for it,\your wish will reach her.\Really?\Yes.\The sound will surely echo.\Surely echo... response:	Surely echo...
context: It's okay.\If you wish for it,\your wish will reach her.\Really?\Yes.\The sound will surely echo.\Surely echo...\Surely echo... response:	and reach.
context: If you wish for it,\your wish will reach her.\Really?\Yes.\The sound will surely echo.\Surely echo...\Surely echo...\and reach. response:	Maidens of Fire,
context: your wish will reach her.\Really?\Yes.\The sound will surely echo.\Surely echo...\Surely echo...\and reach.\Maidens of Fire, response:	rest in peace.
context: Really?\Yes.\The sound will surely echo.\Surely echo...\Surely echo...\and reach.\Maidens of Fire,\rest in peace. response:	Hold the demon, and silence its curse.
context: Yes.\The sound will surely echo.\Surely echo...\Surely echo...\and reach.\Maidens of Fire,\rest in peace.\Hold the demon, and silence its curse. response:	May you never need to wake again.
context: The sound will surely echo.\Surely echo...\Surely echo...\and reach.\Maidens of Fire,\rest in peace.\Hold the demon, and silence its curse.\May you never need to wake again. response:	This is...
context: Surely echo...\Surely echo...\and reach.\Maidens of Fire,\rest in peace.\Hold the demon, and silence its curse.\May you never need to wake again.\This is... response:	A golden horn?
context: Surely echo...\and reach.\Maidens of Fire,\rest in peace.\Hold the demon, and silence its curse.\May you never need to wake again.\This is...\A golden horn? response:	The demon can't have...
context: and reach.\Maidens of Fire,\rest in peace.\Hold the demon, and silence its curse.\May you never need to wake again.\This is...\A golden horn?\The demon can't have... response:	Have they awakened?
context: Maidens of Fire,\rest in peace.\Hold the demon, and silence its curse.\May you never need to wake again.\This is...\A golden horn?\The demon can't have...\Have they awakened? response:	Kureha!
context: rest in peace.\Hold the demon, and silence its curse.\May you never need to wake again.\This is...\A golden horn?\The demon can't have...\Have they awakened?\Kureha! response:	Reach!
context: Hold the demon, and silence its curse.\May you never need to wake again.\This is...\A golden horn?\The demon can't have...\Have they awakened?\Kureha!\Reach! response:	Someone! Hear my sound!
context: May you never need to wake again.\This is...\A golden horn?\The demon can't have...\Have they awakened?\Kureha!\Reach!\Someone! Hear my sound! response:	It reached.
context: This is...\A golden horn?\The demon can't have...\Have they awakened?\Kureha!\Reach!\Someone! Hear my sound!\It reached. response:	The sound will echo,
context: A golden horn?\The demon can't have...\Have they awakened?\Kureha!\Reach!\Someone! Hear my sound!\It reached.\The sound will echo, response:	and...
context: The demon can't have...\Have they awakened?\Kureha!\Reach!\Someone! Hear my sound!\It reached.\The sound will echo,\and... response:	Hurry and wake up,
context: Have they awakened?\Kureha!\Reach!\Someone! Hear my sound!\It reached.\The sound will echo,\and...\Hurry and wake up, response:	Private Kanata Sorami!
context: Kureha!\Reach!\Someone! Hear my sound!\It reached.\The sound will echo,\and...\Hurry and wake up,\Private Kanata Sorami! response:	Huh?
context: Reach!\Someone! Hear my sound!\It reached.\The sound will echo,\and...\Hurry and wake up,\Private Kanata Sorami!\Huh? response:	Where am I?
context: Someone! Hear my sound!\It reached.\The sound will echo,\and...\Hurry and wake up,\Private Kanata Sorami!\Huh?\Where am I? response:	How long does your brain plan on sleeping?
context: It reached.\The sound will echo,\and...\Hurry and wake up,\Private Kanata Sorami!\Huh?\Where am I?\How long does your brain plan on sleeping? response:	This is the Time-Telling Fortress.
context: The sound will echo,\and...\Hurry and wake up,\Private Kanata Sorami!\Huh?\Where am I?\How long does your brain plan on sleeping?\This is the Time-Telling Fortress. response:	The garrison for Platoon 1121.
context: and...\Hurry and wake up,\Private Kanata Sorami!\Huh?\Where am I?\How long does your brain plan on sleeping?\This is the Time-Telling Fortress.\The garrison for Platoon 1121. response:	Yesterday...
context: Hurry and wake up,\Private Kanata Sorami!\Huh?\Where am I?\How long does your brain plan on sleeping?\This is the Time-Telling Fortress.\The garrison for Platoon 1121.\Yesterday... response:	Um...
context: Private Kanata Sorami!\Huh?\Where am I?\How long does your brain plan on sleeping?\This is the Time-Telling Fortress.\The garrison for Platoon 1121.\Yesterday...\Um... response:	I'm sorry for causing you so much trouble!
context: Huh?\Where am I?\How long does your brain plan on sleeping?\This is the Time-Telling Fortress.\The garrison for Platoon 1121.\Yesterday...\Um...\I'm sorry for causing you so much trouble! response:	Honestly.
context: Where am I?\How long does your brain plan on sleeping?\This is the Time-Telling Fortress.\The garrison for Platoon 1121.\Yesterday...\Um...\I'm sorry for causing you so much trouble!\Honestly. response:	I'm sorry!
context: How long does your brain plan on sleeping?\This is the Time-Telling Fortress.\The garrison for Platoon 1121.\Yesterday...\Um...\I'm sorry for causing you so much trouble!\Honestly.\I'm sorry! response:	But...
context: This is the Time-Telling Fortress.\The garrison for Platoon 1121.\Yesterday...\Um...\I'm sorry for causing you so much trouble!\Honestly.\I'm sorry!\But... response:	I'm kidding.
context: The garrison for Platoon 1121.\Yesterday...\Um...\I'm sorry for causing you so much trouble!\Honestly.\I'm sorry!\But...\I'm kidding. response:	But no more of this nonsense.
context: Yesterday...\Um...\I'm sorry for causing you so much trouble!\Honestly.\I'm sorry!\But...\I'm kidding.\But no more of this nonsense. response:	For a bell like this?
context: Um...\I'm sorry for causing you so much trouble!\Honestly.\I'm sorry!\But...\I'm kidding.\But no more of this nonsense.\For a bell like this? response:	Let me show you.
context: I'm sorry for causing you so much trouble!\Honestly.\I'm sorry!\But...\I'm kidding.\But no more of this nonsense.\For a bell like this?\Let me show you. response:	A trumpet!
context: Honestly.\I'm sorry!\But...\I'm kidding.\But no more of this nonsense.\For a bell like this?\Let me show you.\A trumpet! response:	Why this fortress is called the Time-Telling Fortress.
context: I'm sorry!\But...\I'm kidding.\But no more of this nonsense.\For a bell like this?\Let me show you.\A trumpet!\Why this fortress is called the Time-Telling Fortress. response:	It's the sound of the sky!
context: But...\I'm kidding.\But no more of this nonsense.\For a bell like this?\Let me show you.\A trumpet!\Why this fortress is called the Time-Telling Fortress.\It's the sound of the sky! response:	Rio Kazumiya.
context: I'm kidding.\But no more of this nonsense.\For a bell like this?\Let me show you.\A trumpet!\Why this fortress is called the Time-Telling Fortress.\It's the sound of the sky!\Rio Kazumiya. response:	That's my name.
context: But no more of this nonsense.\For a bell like this?\Let me show you.\A trumpet!\Why this fortress is called the Time-Telling Fortress.\It's the sound of the sky!\Rio Kazumiya.\That's my name. response:	I will be your bugling mentor.
context: For a bell like this?\Let me show you.\A trumpet!\Why this fortress is called the Time-Telling Fortress.\It's the sound of the sky!\Rio Kazumiya.\That's my name.\I will be your bugling mentor. response:	I place myself in your hands, Master Sergeant Rio!
context: Let me show you.\A trumpet!\Why this fortress is called the Time-Telling Fortress.\It's the sound of the sky!\Rio Kazumiya.\That's my name.\I will be your bugling mentor.\I place myself in your hands, Master Sergeant Rio! response:	Just Rio.
context: A trumpet!\Why this fortress is called the Time-Telling Fortress.\It's the sound of the sky!\Rio Kazumiya.\That's my name.\I will be your bugling mentor.\I place myself in your hands, Master Sergeant Rio!\Just Rio. response:	Felicia-
context: Why this fortress is called the Time-Telling Fortress.\It's the sound of the sky!\Rio Kazumiya.\That's my name.\I will be your bugling mentor.\I place myself in your hands, Master Sergeant Rio!\Just Rio.\Felicia- response:	Our Commander's policy.
context: It's the sound of the sky!\Rio Kazumiya.\That's my name.\I will be your bugling mentor.\I place myself in your hands, Master Sergeant Rio!\Just Rio.\Felicia-\Our Commander's policy. response:	There are no ranks here.
context: Rio Kazumiya.\That's my name.\I will be your bugling mentor.\I place myself in your hands, Master Sergeant Rio!\Just Rio.\Felicia-\Our Commander's policy.\There are no ranks here. response:	Then, Rio!
context: That's my name.\I will be your bugling mentor.\I place myself in your hands, Master Sergeant Rio!\Just Rio.\Felicia-\Our Commander's policy.\There are no ranks here.\Then, Rio! response:	Then let's start now.
context: I will be your bugling mentor.\I place myself in your hands, Master Sergeant Rio!\Just Rio.\Felicia-\Our Commander's policy.\There are no ranks here.\Then, Rio!\Then let's start now. response:	The Reveille! Try playing it.
context: I place myself in your hands, Master Sergeant Rio!\Just Rio.\Felicia-\Our Commander's policy.\There are no ranks here.\Then, Rio!\Then let's start now.\The Reveille! Try playing it. response:	Today's girl isn't very good.
context: Just Rio.\Felicia-\Our Commander's policy.\There are no ranks here.\Then, Rio!\Then let's start now.\The Reveille! Try playing it.\Today's girl isn't very good. response:	Love and friendship - put these feelings together
context: Felicia-\Our Commander's policy.\There are no ranks here.\Then, Rio!\Then let's start now.\The Reveille! Try playing it.\Today's girl isn't very good.\Love and friendship - put these feelings together response:	And sing of how important they are
context: Our Commander's policy.\There are no ranks here.\Then, Rio!\Then let's start now.\The Reveille! Try playing it.\Today's girl isn't very good.\Love and friendship - put these feelings together\And sing of how important they are response:	I was so happy that I cried
context: There are no ranks here.\Then, Rio!\Then let's start now.\The Reveille! Try playing it.\Today's girl isn't very good.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried response:	It hurt so bad that I laughed
context: Then, Rio!\Then let's start now.\The Reveille! Try playing it.\Today's girl isn't very good.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed response:	But that all just goes to show that I'm alive
context: Then let's start now.\The Reveille! Try playing it.\Today's girl isn't very good.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive response:	Let's just take it easy
context: The Reveille! Try playing it.\Today's girl isn't very good.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy response:	Everybody singing!
context: Today's girl isn't very good.\Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing! response:	Can you tell me who you're asking to the dance?
context: Love and friendship - put these feelings together\And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance? response:	You're just my friend!
context: And sing of how important they are\I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend! response:	Love and friendship - even though they might waver
context: I was so happy that I cried\It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver response:	I know, you know, we'll be happy
context: It hurt so bad that I laughed\But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy response:	I want us to echo on forever
context: But that all just goes to show that I'm alive\Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever response:	Can you count my precious hours?
context: Let's just take it easy\Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours? response:	All the usual words can't even describe it.
context: Everybody singing!\Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it. response:	Our harmony
context: Can you tell me who you're asking to the dance?\You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it.\Our harmony response:	Can you hear it? Our harmony
context: You're just my friend!\Love and friendship - even though they might waver\I know, you know, we'll be happy\I want us to echo on forever\Can you count my precious hours?\All the usual words can't even describe it.\Our harmony\Can you hear it? Our harmony response:	Next time: First Battle - Talk of a Chair
