context: Kagome, this way?! response:	It's near! Beyond this forest!
context: - As if I'd let you get away! - Don't move, Kagura!\If I turn, I'll suck you in, too!\Damn!\No thanks!\She escaped!\Miroku! Are you all right?\We... must... hurry after Inuyasha...\Yes. response:	Damn kid! Looking like he wouldn't even hurt a fly!
context: If I turn, I'll suck you in, too!\Damn!\No thanks!\She escaped!\Miroku! Are you all right?\We... must... hurry after Inuyasha...\Yes.\Damn kid! Looking like he wouldn't even hurt a fly! response:	Kagome!
context: Damn!\No thanks!\She escaped!\Miroku! Are you all right?\We... must... hurry after Inuyasha...\Yes.\Damn kid! Looking like he wouldn't even hurt a fly!\Kagome! response:	Kohaku!
context: No thanks!\She escaped!\Miroku! Are you all right?\We... must... hurry after Inuyasha...\Yes.\Damn kid! Looking like he wouldn't even hurt a fly!\Kagome!\Kohaku! response:	So, after all...
context: She escaped!\Miroku! Are you all right?\We... must... hurry after Inuyasha...\Yes.\Damn kid! Looking like he wouldn't even hurt a fly!\Kagome!\Kohaku!\So, after all... response:	you haven't escaped from Naraku's grasp.
context: Miroku! Are you all right?\We... must... hurry after Inuyasha...\Yes.\Damn kid! Looking like he wouldn't even hurt a fly!\Kagome!\Kohaku!\So, after all...\you haven't escaped from Naraku's grasp. response:	You came to hurt Kagome... to steal the Sacred Jewel fragments.
context: We... must... hurry after Inuyasha...\Yes.\Damn kid! Looking like he wouldn't even hurt a fly!\Kagome!\Kohaku!\So, after all...\you haven't escaped from Naraku's grasp.\You came to hurt Kagome... to steal the Sacred Jewel fragments. response:	Rather than let Naraku continue his control over you...
context: Yes.\Damn kid! Looking like he wouldn't even hurt a fly!\Kagome!\Kohaku!\So, after all...\you haven't escaped from Naraku's grasp.\You came to hurt Kagome... to steal the Sacred Jewel fragments.\Rather than let Naraku continue his control over you... response:	I'd rather...!
context: Damn kid! Looking like he wouldn't even hurt a fly!\Kagome!\Kohaku!\So, after all...\you haven't escaped from Naraku's grasp.\You came to hurt Kagome... to steal the Sacred Jewel fragments.\Rather than let Naraku continue his control over you...\I'd rather...! response:	Kohaku, I will free you!
context: Kagome!\Kohaku!\So, after all...\you haven't escaped from Naraku's grasp.\You came to hurt Kagome... to steal the Sacred Jewel fragments.\Rather than let Naraku continue his control over you...\I'd rather...!\Kohaku, I will free you! response:	Kohaku! I won't let you go alone.
context: Kohaku!\So, after all...\you haven't escaped from Naraku's grasp.\You came to hurt Kagome... to steal the Sacred Jewel fragments.\Rather than let Naraku continue his control over you...\I'd rather...!\Kohaku, I will free you!\Kohaku! I won't let you go alone. response:	I will follow immediately. So...
context: So, after all...\you haven't escaped from Naraku's grasp.\You came to hurt Kagome... to steal the Sacred Jewel fragments.\Rather than let Naraku continue his control over you...\I'd rather...!\Kohaku, I will free you!\Kohaku! I won't let you go alone.\I will follow immediately. So... response:	Kagome!
context: you haven't escaped from Naraku's grasp.\You came to hurt Kagome... to steal the Sacred Jewel fragments.\Rather than let Naraku continue his control over you...\I'd rather...!\Kohaku, I will free you!\Kohaku! I won't let you go alone.\I will follow immediately. So...\Kagome! response:	Inuyasha! Go after Sango!
context: You came to hurt Kagome... to steal the Sacred Jewel fragments.\Rather than let Naraku continue his control over you...\I'd rather...!\Kohaku, I will free you!\Kohaku! I won't let you go alone.\I will follow immediately. So...\Kagome!\Inuyasha! Go after Sango! response:	She seemed strange...
context: Rather than let Naraku continue his control over you...\I'd rather...!\Kohaku, I will free you!\Kohaku! I won't let you go alone.\I will follow immediately. So...\Kagome!\Inuyasha! Go after Sango!\She seemed strange... response:	Kagome! You've been hurt by Kohaku.
context: I'd rather...!\Kohaku, I will free you!\Kohaku! I won't let you go alone.\I will follow immediately. So...\Kagome!\Inuyasha! Go after Sango!\She seemed strange...\Kagome! You've been hurt by Kohaku. response:	It's just a scratch.
context: Kohaku, I will free you!\Kohaku! I won't let you go alone.\I will follow immediately. So...\Kagome!\Inuyasha! Go after Sango!\She seemed strange...\Kagome! You've been hurt by Kohaku.\It's just a scratch. response:	And that boy, if he really wanted to, had a chance to kill me.
context: Kohaku! I won't let you go alone.\I will follow immediately. So...\Kagome!\Inuyasha! Go after Sango!\She seemed strange...\Kagome! You've been hurt by Kohaku.\It's just a scratch.\And that boy, if he really wanted to, had a chance to kill me. response:	But he didn't.
context: I will follow immediately. So...\Kagome!\Inuyasha! Go after Sango!\She seemed strange...\Kagome! You've been hurt by Kohaku.\It's just a scratch.\And that boy, if he really wanted to, had a chance to kill me.\But he didn't. response:	Sango doesn't know that.
context: Kagome!\Inuyasha! Go after Sango!\She seemed strange...\Kagome! You've been hurt by Kohaku.\It's just a scratch.\And that boy, if he really wanted to, had a chance to kill me.\But he didn't.\Sango doesn't know that. response:	She may intend to kill Kohaku.
context: Inuyasha! Go after Sango!\She seemed strange...\Kagome! You've been hurt by Kohaku.\It's just a scratch.\And that boy, if he really wanted to, had a chance to kill me.\But he didn't.\Sango doesn't know that.\She may intend to kill Kohaku. response:	All right, I understand.
context: She seemed strange...\Kagome! You've been hurt by Kohaku.\It's just a scratch.\And that boy, if he really wanted to, had a chance to kill me.\But he didn't.\Sango doesn't know that.\She may intend to kill Kohaku.\All right, I understand. response:	Kohaku didn't finish off Kagome.
context: Kagome! You've been hurt by Kohaku.\It's just a scratch.\And that boy, if he really wanted to, had a chance to kill me.\But he didn't.\Sango doesn't know that.\She may intend to kill Kohaku.\All right, I understand.\Kohaku didn't finish off Kagome. response:	Does that mean he disobeyed Naraku's orders?
context: It's just a scratch.\And that boy, if he really wanted to, had a chance to kill me.\But he didn't.\Sango doesn't know that.\She may intend to kill Kohaku.\All right, I understand.\Kohaku didn't finish off Kagome.\Does that mean he disobeyed Naraku's orders? response:	If so...
context: And that boy, if he really wanted to, had a chance to kill me.\But he didn't.\Sango doesn't know that.\She may intend to kill Kohaku.\All right, I understand.\Kohaku didn't finish off Kagome.\Does that mean he disobeyed Naraku's orders?\If so... response:	even if he is being mind-controlled, Kohaku still has a human heart!
context: But he didn't.\Sango doesn't know that.\She may intend to kill Kohaku.\All right, I understand.\Kohaku didn't finish off Kagome.\Does that mean he disobeyed Naraku's orders?\If so...\even if he is being mind-controlled, Kohaku still has a human heart! response:	Kohaku!
context: Sango doesn't know that.\She may intend to kill Kohaku.\All right, I understand.\Kohaku didn't finish off Kagome.\Does that mean he disobeyed Naraku's orders?\If so...\even if he is being mind-controlled, Kohaku still has a human heart!\Kohaku! response:	Uh...
context: She may intend to kill Kohaku.\All right, I understand.\Kohaku didn't finish off Kagome.\Does that mean he disobeyed Naraku's orders?\If so...\even if he is being mind-controlled, Kohaku still has a human heart!\Kohaku!\Uh... response:	It's...
context: All right, I understand.\Kohaku didn't finish off Kagome.\Does that mean he disobeyed Naraku's orders?\If so...\even if he is being mind-controlled, Kohaku still has a human heart!\Kohaku!\Uh...\It's... response:	This is embarrassing...
context: Kohaku didn't finish off Kagome.\Does that mean he disobeyed Naraku's orders?\If so...\even if he is being mind-controlled, Kohaku still has a human heart!\Kohaku!\Uh...\It's...\This is embarrassing... response:	What're you so shy for? We're siblings.
context: Does that mean he disobeyed Naraku's orders?\If so...\even if he is being mind-controlled, Kohaku still has a human heart!\Kohaku!\Uh...\It's...\This is embarrassing...\What're you so shy for? We're siblings. response:	Kohaku, you won't go anywhere anymore.
context: If so...\even if he is being mind-controlled, Kohaku still has a human heart!\Kohaku!\Uh...\It's...\This is embarrassing...\What're you so shy for? We're siblings.\Kohaku, you won't go anywhere anymore. response:	Because you're my brother...
context: even if he is being mind-controlled, Kohaku still has a human heart!\Kohaku!\Uh...\It's...\This is embarrassing...\What're you so shy for? We're siblings.\Kohaku, you won't go anywhere anymore.\Because you're my brother... response:	because you're my one and only brother...
context: Kohaku!\Uh...\It's...\This is embarrassing...\What're you so shy for? We're siblings.\Kohaku, you won't go anywhere anymore.\Because you're my brother...\because you're my one and only brother... response:	I'll kill you, then kill myself.
context: Uh...\It's...\This is embarrassing...\What're you so shy for? We're siblings.\Kohaku, you won't go anywhere anymore.\Because you're my brother...\because you're my one and only brother...\I'll kill you, then kill myself. response:	This is the only way to get you back from Naraku!
context: It's...\This is embarrassing...\What're you so shy for? We're siblings.\Kohaku, you won't go anywhere anymore.\Because you're my brother...\because you're my one and only brother...\I'll kill you, then kill myself.\This is the only way to get you back from Naraku! response:	Forgive me, Kohaku!
context: This is embarrassing...\What're you so shy for? We're siblings.\Kohaku, you won't go anywhere anymore.\Because you're my brother...\because you're my one and only brother...\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku! response:	I'll kill you, then kill myself.
context: What're you so shy for? We're siblings.\Kohaku, you won't go anywhere anymore.\Because you're my brother...\because you're my one and only brother...\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\I'll kill you, then kill myself. response:	This is the only way to get you back from Naraku!
context: Kohaku, you won't go anywhere anymore.\Because you're my brother...\because you're my one and only brother...\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku! response:	Forgive me, Kohaku!
context: Because you're my brother...\because you're my one and only brother...\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku! response:	Stop, Sango!
context: because you're my one and only brother...\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango! response:	l-Inuyasha...
context: I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\l-Inuyasha... response:	Don't stop me, Inuyasha!
context: This is the only way to get you back from Naraku!\Forgive me, Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\l-Inuyasha...\Don't stop me, Inuyasha! response:	Stupid fool! Killing Kohaku will only please Naraku!
context: Forgive me, Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\l-Inuyasha...\Don't stop me, Inuyasha!\Stupid fool! Killing Kohaku will only please Naraku! response:	Kohaku! Why don't you...
context: I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\l-Inuyasha...\Don't stop me, Inuyasha!\Stupid fool! Killing Kohaku will only please Naraku!\Kohaku! Why don't you... response:	snap out of it, too!
context: This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\l-Inuyasha...\Don't stop me, Inuyasha!\Stupid fool! Killing Kohaku will only please Naraku!\Kohaku! Why don't you...\snap out of it, too! response:	Kagura!
context: Forgive me, Kohaku!\Stop, Sango!\l-Inuyasha...\Don't stop me, Inuyasha!\Stupid fool! Killing Kohaku will only please Naraku!\Kohaku! Why don't you...\snap out of it, too!\Kagura! response:	As ordered, Kohaku will kill Kagome.
context: Stop, Sango!\l-Inuyasha...\Don't stop me, Inuyasha!\Stupid fool! Killing Kohaku will only please Naraku!\Kohaku! Why don't you...\snap out of it, too!\Kagura!\As ordered, Kohaku will kill Kagome. response:	Kohaku is unable to defy Naraku.
context: l-Inuyasha...\Don't stop me, Inuyasha!\Stupid fool! Killing Kohaku will only please Naraku!\Kohaku! Why don't you...\snap out of it, too!\Kagura!\As ordered, Kohaku will kill Kagome.\Kohaku is unable to defy Naraku. response:	What?!
context: Don't stop me, Inuyasha!\Stupid fool! Killing Kohaku will only please Naraku!\Kohaku! Why don't you...\snap out of it, too!\Kagura!\As ordered, Kohaku will kill Kagome.\Kohaku is unable to defy Naraku.\What?! response:	Inuyasha...
context: Stupid fool! Killing Kohaku will only please Naraku!\Kohaku! Why don't you...\snap out of it, too!\Kagura!\As ordered, Kohaku will kill Kagome.\Kohaku is unable to defy Naraku.\What?!\Inuyasha... response:	why do you think Kohaku has lost his memory?
context: Kohaku! Why don't you...\snap out of it, too!\Kagura!\As ordered, Kohaku will kill Kagome.\Kohaku is unable to defy Naraku.\What?!\Inuyasha...\why do you think Kohaku has lost his memory? response:	Because Naraku is controlling his mind!
context: snap out of it, too!\Kagura!\As ordered, Kohaku will kill Kagome.\Kohaku is unable to defy Naraku.\What?!\Inuyasha...\why do you think Kohaku has lost his memory?\Because Naraku is controlling his mind! response:	That's part of it.
context: Kagura!\As ordered, Kohaku will kill Kagome.\Kohaku is unable to defy Naraku.\What?!\Inuyasha...\why do you think Kohaku has lost his memory?\Because Naraku is controlling his mind!\That's part of it. response:	But Kohaku himself is resisting remembering...
context: As ordered, Kohaku will kill Kagome.\Kohaku is unable to defy Naraku.\What?!\Inuyasha...\why do you think Kohaku has lost his memory?\Because Naraku is controlling his mind!\That's part of it.\But Kohaku himself is resisting remembering... response:	such terrible memories.
context: Kohaku is unable to defy Naraku.\What?!\Inuyasha...\why do you think Kohaku has lost his memory?\Because Naraku is controlling his mind!\That's part of it.\But Kohaku himself is resisting remembering...\such terrible memories. response:	Stop! Don't say anything more in front of Kohaku!
context: What?!\Inuyasha...\why do you think Kohaku has lost his memory?\Because Naraku is controlling his mind!\That's part of it.\But Kohaku himself is resisting remembering...\such terrible memories.\Stop! Don't say anything more in front of Kohaku! response:	Why you... Kagura!
context: Inuyasha...\why do you think Kohaku has lost his memory?\Because Naraku is controlling his mind!\That's part of it.\But Kohaku himself is resisting remembering...\such terrible memories.\Stop! Don't say anything more in front of Kohaku!\Why you... Kagura! response:	Kohaku didn't want to remember...
context: why do you think Kohaku has lost his memory?\Because Naraku is controlling his mind!\That's part of it.\But Kohaku himself is resisting remembering...\such terrible memories.\Stop! Don't say anything more in front of Kohaku!\Why you... Kagura!\Kohaku didn't want to remember... response:	so Naraku granted his wish and erased his mind.
context: Because Naraku is controlling his mind!\That's part of it.\But Kohaku himself is resisting remembering...\such terrible memories.\Stop! Don't say anything more in front of Kohaku!\Why you... Kagura!\Kohaku didn't want to remember...\so Naraku granted his wish and erased his mind. response:	Now, it's so easy to manipulate someone with no memory.
context: That's part of it.\But Kohaku himself is resisting remembering...\such terrible memories.\Stop! Don't say anything more in front of Kohaku!\Why you... Kagura!\Kohaku didn't want to remember...\so Naraku granted his wish and erased his mind.\Now, it's so easy to manipulate someone with no memory. response:	Kohaku! Remember! Remember it all!
context: But Kohaku himself is resisting remembering...\such terrible memories.\Stop! Don't say anything more in front of Kohaku!\Why you... Kagura!\Kohaku didn't want to remember...\so Naraku granted his wish and erased his mind.\Now, it's so easy to manipulate someone with no memory.\Kohaku! Remember! Remember it all! response:	About Sango and the slayers!
context: such terrible memories.\Stop! Don't say anything more in front of Kohaku!\Why you... Kagura!\Kohaku didn't want to remember...\so Naraku granted his wish and erased his mind.\Now, it's so easy to manipulate someone with no memory.\Kohaku! Remember! Remember it all!\About Sango and the slayers! response:	Inuyasha!
context: Stop! Don't say anything more in front of Kohaku!\Why you... Kagura!\Kohaku didn't want to remember...\so Naraku granted his wish and erased his mind.\Now, it's so easy to manipulate someone with no memory.\Kohaku! Remember! Remember it all!\About Sango and the slayers!\Inuyasha! response:	Remembering each and every detail! If you want to live!
context: Why you... Kagura!\Kohaku didn't want to remember...\so Naraku granted his wish and erased his mind.\Now, it's so easy to manipulate someone with no memory.\Kohaku! Remember! Remember it all!\About Sango and the slayers!\Inuyasha!\Remembering each and every detail! If you want to live! response:	Stop!
context: Kohaku didn't want to remember...\so Naraku granted his wish and erased his mind.\Now, it's so easy to manipulate someone with no memory.\Kohaku! Remember! Remember it all!\About Sango and the slayers!\Inuyasha!\Remembering each and every detail! If you want to live!\Stop! response:	If he doesn't remember it all...
context: so Naraku granted his wish and erased his mind.\Now, it's so easy to manipulate someone with no memory.\Kohaku! Remember! Remember it all!\About Sango and the slayers!\Inuyasha!\Remembering each and every detail! If you want to live!\Stop!\If he doesn't remember it all... response:	he'll continue to be under Naraku's control...
context: Now, it's so easy to manipulate someone with no memory.\Kohaku! Remember! Remember it all!\About Sango and the slayers!\Inuyasha!\Remembering each and every detail! If you want to live!\Stop!\If he doesn't remember it all...\he'll continue to be under Naraku's control... response:	and Naraku will take the Sacred Jewel in his back and kill him!
context: Kohaku! Remember! Remember it all!\About Sango and the slayers!\Inuyasha!\Remembering each and every detail! If you want to live!\Stop!\If he doesn't remember it all...\he'll continue to be under Naraku's control...\and Naraku will take the Sacred Jewel in his back and kill him! response:	You say awful things, Inuyasha.
context: About Sango and the slayers!\Inuyasha!\Remembering each and every detail! If you want to live!\Stop!\If he doesn't remember it all...\he'll continue to be under Naraku's control...\and Naraku will take the Sacred Jewel in his back and kill him!\You say awful things, Inuyasha. response:	Wait, Kagura!
context: Inuyasha!\Remembering each and every detail! If you want to live!\Stop!\If he doesn't remember it all...\he'll continue to be under Naraku's control...\and Naraku will take the Sacred Jewel in his back and kill him!\You say awful things, Inuyasha.\Wait, Kagura! response:	If he really remembers everything he did...
context: Remembering each and every detail! If you want to live!\Stop!\If he doesn't remember it all...\he'll continue to be under Naraku's control...\and Naraku will take the Sacred Jewel in his back and kill him!\You say awful things, Inuyasha.\Wait, Kagura!\If he really remembers everything he did... response:	this kid will truly be destroyed.
context: Stop!\If he doesn't remember it all...\he'll continue to be under Naraku's control...\and Naraku will take the Sacred Jewel in his back and kill him!\You say awful things, Inuyasha.\Wait, Kagura!\If he really remembers everything he did...\this kid will truly be destroyed. response:	It's kindness to let him die without remembering a thing.
context: If he doesn't remember it all...\he'll continue to be under Naraku's control...\and Naraku will take the Sacred Jewel in his back and kill him!\You say awful things, Inuyasha.\Wait, Kagura!\If he really remembers everything he did...\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing. response:	Kohaku...
context: he'll continue to be under Naraku's control...\and Naraku will take the Sacred Jewel in his back and kill him!\You say awful things, Inuyasha.\Wait, Kagura!\If he really remembers everything he did...\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku... response:	Damn...
context: and Naraku will take the Sacred Jewel in his back and kill him!\You say awful things, Inuyasha.\Wait, Kagura!\If he really remembers everything he did...\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku...\Damn... response:	Not again?!
context: You say awful things, Inuyasha.\Wait, Kagura!\If he really remembers everything he did...\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku...\Damn...\Not again?! response:	Sango...
context: Wait, Kagura!\If he really remembers everything he did...\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku...\Damn...\Not again?!\Sango... response:	It's the same thing all over again.
context: If he really remembers everything he did...\this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku...\Damn...\Not again?!\Sango...\It's the same thing all over again. response:	Damn, what troublesome siblings!
context: this kid will truly be destroyed.\It's kindness to let him die without remembering a thing.\Kohaku...\Damn...\Not again?!\Sango...\It's the same thing all over again.\Damn, what troublesome siblings! response:	Inuyasha!
context: It's kindness to let him die without remembering a thing.\Kohaku...\Damn...\Not again?!\Sango...\It's the same thing all over again.\Damn, what troublesome siblings!\Inuyasha! response:	Hey, Sango!
context: Kohaku...\Damn...\Not again?!\Sango...\It's the same thing all over again.\Damn, what troublesome siblings!\Inuyasha!\Hey, Sango! response:	Let me tell you this, so you don't jump the gun next time!
context: Damn...\Not again?!\Sango...\It's the same thing all over again.\Damn, what troublesome siblings!\Inuyasha!\Hey, Sango!\Let me tell you this, so you don't jump the gun next time! response:	Naraku ordered Kohaku to kill Kagome!
context: Not again?!\Sango...\It's the same thing all over again.\Damn, what troublesome siblings!\Inuyasha!\Hey, Sango!\Let me tell you this, so you don't jump the gun next time!\Naraku ordered Kohaku to kill Kagome! response:	But Kohaku didn't kill her!
context: Sango...\It's the same thing all over again.\Damn, what troublesome siblings!\Inuyasha!\Hey, Sango!\Let me tell you this, so you don't jump the gun next time!\Naraku ordered Kohaku to kill Kagome!\But Kohaku didn't kill her! response:	That's because he still has a human heart.
context: It's the same thing all over again.\Damn, what troublesome siblings!\Inuyasha!\Hey, Sango!\Let me tell you this, so you don't jump the gun next time!\Naraku ordered Kohaku to kill Kagome!\But Kohaku didn't kill her!\That's because he still has a human heart. response:	That's why we cannot kill Kohaku. Get him alive!
context: Damn, what troublesome siblings!\Inuyasha!\Hey, Sango!\Let me tell you this, so you don't jump the gun next time!\Naraku ordered Kohaku to kill Kagome!\But Kohaku didn't kill her!\That's because he still has a human heart.\That's why we cannot kill Kohaku. Get him alive! response:	Got that?!
context: Inuyasha!\Hey, Sango!\Let me tell you this, so you don't jump the gun next time!\Naraku ordered Kohaku to kill Kagome!\But Kohaku didn't kill her!\That's because he still has a human heart.\That's why we cannot kill Kohaku. Get him alive!\Got that?! response:	Yeah.
context: Hey, Sango!\Let me tell you this, so you don't jump the gun next time!\Naraku ordered Kohaku to kill Kagome!\But Kohaku didn't kill her!\That's because he still has a human heart.\That's why we cannot kill Kohaku. Get him alive!\Got that?!\Yeah. response:	Kohaku...
context: Let me tell you this, so you don't jump the gun next time!\Naraku ordered Kohaku to kill Kagome!\But Kohaku didn't kill her!\That's because he still has a human heart.\That's why we cannot kill Kohaku. Get him alive!\Got that?!\Yeah.\Kohaku... response:	I spared your life and made you forget everything.
context: Naraku ordered Kohaku to kill Kagome!\But Kohaku didn't kill her!\That's because he still has a human heart.\That's why we cannot kill Kohaku. Get him alive!\Got that?!\Yeah.\Kohaku...\I spared your life and made you forget everything. response:	Yet you failed to kill Kagome.
context: But Kohaku didn't kill her!\That's because he still has a human heart.\That's why we cannot kill Kohaku. Get him alive!\Got that?!\Yeah.\Kohaku...\I spared your life and made you forget everything.\Yet you failed to kill Kagome. response:	Why is that, Kohaku?
context: That's because he still has a human heart.\That's why we cannot kill Kohaku. Get him alive!\Got that?!\Yeah.\Kohaku...\I spared your life and made you forget everything.\Yet you failed to kill Kagome.\Why is that, Kohaku? response:	Do you want to regain your humanity?
context: That's why we cannot kill Kohaku. Get him alive!\Got that?!\Yeah.\Kohaku...\I spared your life and made you forget everything.\Yet you failed to kill Kagome.\Why is that, Kohaku?\Do you want to regain your humanity? response:	Then do you want to remember?
context: Got that?!\Yeah.\Kohaku...\I spared your life and made you forget everything.\Yet you failed to kill Kagome.\Why is that, Kohaku?\Do you want to regain your humanity?\Then do you want to remember? response:	Remember it all?
context: Yeah.\Kohaku...\I spared your life and made you forget everything.\Yet you failed to kill Kagome.\Why is that, Kohaku?\Do you want to regain your humanity?\Then do you want to remember?\Remember it all? response:	No! No!!
context: Kohaku...\I spared your life and made you forget everything.\Yet you failed to kill Kagome.\Why is that, Kohaku?\Do you want to regain your humanity?\Then do you want to remember?\Remember it all?\No! No!! response:	Good.
context: I spared your life and made you forget everything.\Yet you failed to kill Kagome.\Why is that, Kohaku?\Do you want to regain your humanity?\Then do you want to remember?\Remember it all?\No! No!!\Good. response:	I'll let you live for now.
context: Yet you failed to kill Kagome.\Why is that, Kohaku?\Do you want to regain your humanity?\Then do you want to remember?\Remember it all?\No! No!!\Good.\I'll let you live for now. response:	Forget it all.
context: Why is that, Kohaku?\Do you want to regain your humanity?\Then do you want to remember?\Remember it all?\No! No!!\Good.\I'll let you live for now.\Forget it all. response:	Yes.
context: Do you want to regain your humanity?\Then do you want to remember?\Remember it all?\No! No!!\Good.\I'll let you live for now.\Forget it all.\Yes. response:	But...I can't forget that woman's face.
context: Then do you want to remember?\Remember it all?\No! No!!\Good.\I'll let you live for now.\Forget it all.\Yes.\But...I can't forget that woman's face. response:	A village is attacked by bandits.
context: Remember it all?\No! No!!\Good.\I'll let you live for now.\Forget it all.\Yes.\But...I can't forget that woman's face.\A village is attacked by bandits. response:	Gatenmaru, the vicious leader, is actually a moth demon in disguise.
context: No! No!!\Good.\I'll let you live for now.\Forget it all.\Yes.\But...I can't forget that woman's face.\A village is attacked by bandits.\Gatenmaru, the vicious leader, is actually a moth demon in disguise. response:	Inuyasha and Miroku are trapped in a poison cell!
context: Good.\I'll let you live for now.\Forget it all.\Yes.\But...I can't forget that woman's face.\A village is attacked by bandits.\Gatenmaru, the vicious leader, is actually a moth demon in disguise.\Inuyasha and Miroku are trapped in a poison cell! response:	Meanwhile, Sesshomaru searches for clues to how Inuyasha transforms...
context: I'll let you live for now.\Forget it all.\Yes.\But...I can't forget that woman's face.\A village is attacked by bandits.\Gatenmaru, the vicious leader, is actually a moth demon in disguise.\Inuyasha and Miroku are trapped in a poison cell!\Meanwhile, Sesshomaru searches for clues to how Inuyasha transforms... response:	and learns frightening secrets from a tree demon.
context: Forget it all.\Yes.\But...I can't forget that woman's face.\A village is attacked by bandits.\Gatenmaru, the vicious leader, is actually a moth demon in disguise.\Inuyasha and Miroku are trapped in a poison cell!\Meanwhile, Sesshomaru searches for clues to how Inuyasha transforms...\and learns frightening secrets from a tree demon. response:	Next on Inuyasha: Inuyasha's Soul, Devoured
context: Yes.\But...I can't forget that woman's face.\A village is attacked by bandits.\Gatenmaru, the vicious leader, is actually a moth demon in disguise.\Inuyasha and Miroku are trapped in a poison cell!\Meanwhile, Sesshomaru searches for clues to how Inuyasha transforms...\and learns frightening secrets from a tree demon.\Next on Inuyasha: Inuyasha's Soul, Devoured response:	Don't miss it!
