context: I got it. response:	The reprogramming of the surveillance satellite,
context: I'm really sorry about that.\Don't worry.\By the way, that guy is your Ashikabi?\Yes, he's Minato-san.\A Sekirei symbol!\Right. I've emerged, too.\Congratulations!\I heard you crushed number 43. response:	Number 43?
context: Don't worry.\By the way, that guy is your Ashikabi?\Yes, he's Minato-san.\A Sekirei symbol!\Right. I've emerged, too.\Congratulations!\I heard you crushed number 43.\Number 43? response:	Ah! The sickle person!
context: By the way, that guy is your Ashikabi?\Yes, he's Minato-san.\A Sekirei symbol!\Right. I've emerged, too.\Congratulations!\I heard you crushed number 43.\Number 43?\Ah! The sickle person! response:	She was such a bully. So I...
context: Yes, he's Minato-san.\A Sekirei symbol!\Right. I've emerged, too.\Congratulations!\I heard you crushed number 43.\Number 43?\Ah! The sickle person!\She was such a bully. So I... response:	You haven't changed, Mu-chan.
context: A Sekirei symbol!\Right. I've emerged, too.\Congratulations!\I heard you crushed number 43.\Number 43?\Ah! The sickle person!\She was such a bully. So I...\You haven't changed, Mu-chan. response:	Tell you the truth, I came here to confirm.
context: Right. I've emerged, too.\Congratulations!\I heard you crushed number 43.\Number 43?\Ah! The sickle person!\She was such a bully. So I...\You haven't changed, Mu-chan.\Tell you the truth, I came here to confirm. response:	Confirm?
context: Congratulations!\I heard you crushed number 43.\Number 43?\Ah! The sickle person!\She was such a bully. So I...\You haven't changed, Mu-chan.\Tell you the truth, I came here to confirm.\Confirm? response:	Do you remember that promise, Musubi?
context: I heard you crushed number 43.\Number 43?\Ah! The sickle person!\She was such a bully. So I...\You haven't changed, Mu-chan.\Tell you the truth, I came here to confirm.\Confirm?\Do you remember that promise, Musubi? response:	Of course!
context: Number 43?\Ah! The sickle person!\She was such a bully. So I...\You haven't changed, Mu-chan.\Tell you the truth, I came here to confirm.\Confirm?\Do you remember that promise, Musubi?\Of course! response:	Mina-tan, Mina-tan! I have to talk to you.
context: Ah! The sickle person!\She was such a bully. So I...\You haven't changed, Mu-chan.\Tell you the truth, I came here to confirm.\Confirm?\Do you remember that promise, Musubi?\Of course!\Mina-tan, Mina-tan! I have to talk to you. response:	Is somebody here?
context: She was such a bully. So I...\You haven't changed, Mu-chan.\Tell you the truth, I came here to confirm.\Confirm?\Do you remember that promise, Musubi?\Of course!\Mina-tan, Mina-tan! I have to talk to you.\Is somebody here? response:	Yeah, an acquaintance of Musubi-chan...
context: You haven't changed, Mu-chan.\Tell you the truth, I came here to confirm.\Confirm?\Do you remember that promise, Musubi?\Of course!\Mina-tan, Mina-tan! I have to talk to you.\Is somebody here?\Yeah, an acquaintance of Musubi-chan... response:	An acquaintance?
context: Tell you the truth, I came here to confirm.\Confirm?\Do you remember that promise, Musubi?\Of course!\Mina-tan, Mina-tan! I have to talk to you.\Is somebody here?\Yeah, an acquaintance of Musubi-chan...\An acquaintance? response:	I wonder if my clothes are dry now.
context: Confirm?\Do you remember that promise, Musubi?\Of course!\Mina-tan, Mina-tan! I have to talk to you.\Is somebody here?\Yeah, an acquaintance of Musubi-chan...\An acquaintance?\I wonder if my clothes are dry now. response:	Probably.
context: Do you remember that promise, Musubi?\Of course!\Mina-tan, Mina-tan! I have to talk to you.\Is somebody here?\Yeah, an acquaintance of Musubi-chan...\An acquaintance?\I wonder if my clothes are dry now.\Probably. response:	W-Why is that here?
context: Of course!\Mina-tan, Mina-tan! I have to talk to you.\Is somebody here?\Yeah, an acquaintance of Musubi-chan...\An acquaintance?\I wonder if my clothes are dry now.\Probably.\W-Why is that here? response:	- Um... Matsu-san? - I'm not here!
context: Mina-tan, Mina-tan! I have to talk to you.\Is somebody here?\Yeah, an acquaintance of Musubi-chan...\An acquaintance?\I wonder if my clothes are dry now.\Probably.\W-Why is that here?\- Um... Matsu-san? - I'm not here! response:	There's no such person as Matsu here!
context: Is somebody here?\Yeah, an acquaintance of Musubi-chan...\An acquaintance?\I wonder if my clothes are dry now.\Probably.\W-Why is that here?\- Um... Matsu-san? - I'm not here!\There's no such person as Matsu here! response:	Excuse me, but I'm leaving now.
context: Yeah, an acquaintance of Musubi-chan...\An acquaintance?\I wonder if my clothes are dry now.\Probably.\W-Why is that here?\- Um... Matsu-san? - I'm not here!\There's no such person as Matsu here!\Excuse me, but I'm leaving now. response:	Ah, I see...
context: An acquaintance?\I wonder if my clothes are dry now.\Probably.\W-Why is that here?\- Um... Matsu-san? - I'm not here!\There's no such person as Matsu here!\Excuse me, but I'm leaving now.\Ah, I see... response:	I wanted to talk with you more!
context: I wonder if my clothes are dry now.\Probably.\W-Why is that here?\- Um... Matsu-san? - I'm not here!\There's no such person as Matsu here!\Excuse me, but I'm leaving now.\Ah, I see...\I wanted to talk with you more! response:	Somebody's waiting for me. Later.
context: Probably.\W-Why is that here?\- Um... Matsu-san? - I'm not here!\There's no such person as Matsu here!\Excuse me, but I'm leaving now.\Ah, I see...\I wanted to talk with you more!\Somebody's waiting for me. Later. response:	Later!
context: W-Why is that here?\- Um... Matsu-san? - I'm not here!\There's no such person as Matsu here!\Excuse me, but I'm leaving now.\Ah, I see...\I wanted to talk with you more!\Somebody's waiting for me. Later.\Later! response:	Sekirei number 04, Karasuba.
context: - Um... Matsu-san? - I'm not here!\There's no such person as Matsu here!\Excuse me, but I'm leaving now.\Ah, I see...\I wanted to talk with you more!\Somebody's waiting for me. Later.\Later!\Sekirei number 04, Karasuba. response:	MBI's hound.
context: There's no such person as Matsu here!\Excuse me, but I'm leaving now.\Ah, I see...\I wanted to talk with you more!\Somebody's waiting for me. Later.\Later!\Sekirei number 04, Karasuba.\MBI's hound. response:	Called the Black Sekirei.
context: Excuse me, but I'm leaving now.\Ah, I see...\I wanted to talk with you more!\Somebody's waiting for me. Later.\Later!\Sekirei number 04, Karasuba.\MBI's hound.\Called the Black Sekirei. response:	Matsu-san, she's left.
context: Ah, I see...\I wanted to talk with you more!\Somebody's waiting for me. Later.\Later!\Sekirei number 04, Karasuba.\MBI's hound.\Called the Black Sekirei.\Matsu-san, she's left. response:	What do you mean you'll be killed?
context: I wanted to talk with you more!\Somebody's waiting for me. Later.\Later!\Sekirei number 04, Karasuba.\MBI's hound.\Called the Black Sekirei.\Matsu-san, she's left.\What do you mean you'll be killed? response:	Mina-tan! Watch the TV!
context: Somebody's waiting for me. Later.\Later!\Sekirei number 04, Karasuba.\MBI's hound.\Called the Black Sekirei.\Matsu-san, she's left.\What do you mean you'll be killed?\Mina-tan! Watch the TV! response:	That hurt... TV?
context: Later!\Sekirei number 04, Karasuba.\MBI's hound.\Called the Black Sekirei.\Matsu-san, she's left.\What do you mean you'll be killed?\Mina-tan! Watch the TV!\That hurt... TV? response:	Ladies and gentlemen in Shintou Teito,
context: Sekirei number 04, Karasuba.\MBI's hound.\Called the Black Sekirei.\Matsu-san, she's left.\What do you mean you'll be killed?\Mina-tan! Watch the TV!\That hurt... TV?\Ladies and gentlemen in Shintou Teito, response:	I'm MBI's Hiroto Minaka.
context: MBI's hound.\Called the Black Sekirei.\Matsu-san, she's left.\What do you mean you'll be killed?\Mina-tan! Watch the TV!\That hurt... TV?\Ladies and gentlemen in Shintou Teito,\I'm MBI's Hiroto Minaka. response:	I now declare to you,
context: Called the Black Sekirei.\Matsu-san, she's left.\What do you mean you'll be killed?\Mina-tan! Watch the TV!\That hurt... TV?\Ladies and gentlemen in Shintou Teito,\I'm MBI's Hiroto Minaka.\I now declare to you, response:	the capital has been seized by us, MBI.
context: Matsu-san, she's left.\What do you mean you'll be killed?\Mina-tan! Watch the TV!\That hurt... TV?\Ladies and gentlemen in Shintou Teito,\I'm MBI's Hiroto Minaka.\I now declare to you,\the capital has been seized by us, MBI. response:	Seized?
context: What do you mean you'll be killed?\Mina-tan! Watch the TV!\That hurt... TV?\Ladies and gentlemen in Shintou Teito,\I'm MBI's Hiroto Minaka.\I now declare to you,\the capital has been seized by us, MBI.\Seized? response:	Now the new age of the god has begun here!
context: Mina-tan! Watch the TV!\That hurt... TV?\Ladies and gentlemen in Shintou Teito,\I'm MBI's Hiroto Minaka.\I now declare to you,\the capital has been seized by us, MBI.\Seized?\Now the new age of the god has begun here! response:	There's no need to worry at all even though the capital is seized.
context: That hurt... TV?\Ladies and gentlemen in Shintou Teito,\I'm MBI's Hiroto Minaka.\I now declare to you,\the capital has been seized by us, MBI.\Seized?\Now the new age of the god has begun here!\There's no need to worry at all even though the capital is seized. response:	- What's going on? Ah, Professor! - Please continue living as usual.
context: Ladies and gentlemen in Shintou Teito,\I'm MBI's Hiroto Minaka.\I now declare to you,\the capital has been seized by us, MBI.\Seized?\Now the new age of the god has begun here!\There's no need to worry at all even though the capital is seized.\- What's going on? Ah, Professor! - Please continue living as usual. response:	However, please allow us to inspect your persons when leaving the capital city.
context: I'm MBI's Hiroto Minaka.\I now declare to you,\the capital has been seized by us, MBI.\Seized?\Now the new age of the god has begun here!\There's no need to worry at all even though the capital is seized.\- What's going on? Ah, Professor! - Please continue living as usual.\However, please allow us to inspect your persons when leaving the capital city. response:	Thou hast done it, Minaka.
context: I now declare to you,\the capital has been seized by us, MBI.\Seized?\Now the new age of the god has begun here!\There's no need to worry at all even though the capital is seized.\- What's going on? Ah, Professor! - Please continue living as usual.\However, please allow us to inspect your persons when leaving the capital city.\Thou hast done it, Minaka. response:	Inspection? By MBI?
context: the capital has been seized by us, MBI.\Seized?\Now the new age of the god has begun here!\There's no need to worry at all even though the capital is seized.\- What's going on? Ah, Professor! - Please continue living as usual.\However, please allow us to inspect your persons when leaving the capital city.\Thou hast done it, Minaka.\Inspection? By MBI? response:	It's finally started. The Sekirei Plan, Phase 2.
context: Seized?\Now the new age of the god has begun here!\There's no need to worry at all even though the capital is seized.\- What's going on? Ah, Professor! - Please continue living as usual.\However, please allow us to inspect your persons when leaving the capital city.\Thou hast done it, Minaka.\Inspection? By MBI?\It's finally started. The Sekirei Plan, Phase 2. response:	Phase 2...
context: Now the new age of the god has begun here!\There's no need to worry at all even though the capital is seized.\- What's going on? Ah, Professor! - Please continue living as usual.\However, please allow us to inspect your persons when leaving the capital city.\Thou hast done it, Minaka.\Inspection? By MBI?\It's finally started. The Sekirei Plan, Phase 2.\Phase 2... response:	I have just noticed a little while ago.
context: There's no need to worry at all even though the capital is seized.\- What's going on? Ah, Professor! - Please continue living as usual.\However, please allow us to inspect your persons when leaving the capital city.\Thou hast done it, Minaka.\Inspection? By MBI?\It's finally started. The Sekirei Plan, Phase 2.\Phase 2...\I have just noticed a little while ago. response:	As you see, this capital city, Shintou Teito, is surrounded by rivers,
context: - What's going on? Ah, Professor! - Please continue living as usual.\However, please allow us to inspect your persons when leaving the capital city.\Thou hast done it, Minaka.\Inspection? By MBI?\It's finally started. The Sekirei Plan, Phase 2.\Phase 2...\I have just noticed a little while ago.\As you see, this capital city, Shintou Teito, is surrounded by rivers, response:	and MBI's private army has been deployed to all the city's exit bridges.
context: However, please allow us to inspect your persons when leaving the capital city.\Thou hast done it, Minaka.\Inspection? By MBI?\It's finally started. The Sekirei Plan, Phase 2.\Phase 2...\I have just noticed a little while ago.\As you see, this capital city, Shintou Teito, is surrounded by rivers,\and MBI's private army has been deployed to all the city's exit bridges. response:	But why would they inspect?
context: Thou hast done it, Minaka.\Inspection? By MBI?\It's finally started. The Sekirei Plan, Phase 2.\Phase 2...\I have just noticed a little while ago.\As you see, this capital city, Shintou Teito, is surrounded by rivers,\and MBI's private army has been deployed to all the city's exit bridges.\But why would they inspect? response:	Mina-tan, me, and everyone else... At last, we must prepare ourselves.
context: Inspection? By MBI?\It's finally started. The Sekirei Plan, Phase 2.\Phase 2...\I have just noticed a little while ago.\As you see, this capital city, Shintou Teito, is surrounded by rivers,\and MBI's private army has been deployed to all the city's exit bridges.\But why would they inspect?\Mina-tan, me, and everyone else... At last, we must prepare ourselves. response:	Prepare...
context: It's finally started. The Sekirei Plan, Phase 2.\Phase 2...\I have just noticed a little while ago.\As you see, this capital city, Shintou Teito, is surrounded by rivers,\and MBI's private army has been deployed to all the city's exit bridges.\But why would they inspect?\Mina-tan, me, and everyone else... At last, we must prepare ourselves.\Prepare... response:	MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.
context: Phase 2...\I have just noticed a little while ago.\As you see, this capital city, Shintou Teito, is surrounded by rivers,\and MBI's private army has been deployed to all the city's exit bridges.\But why would they inspect?\Mina-tan, me, and everyone else... At last, we must prepare ourselves.\Prepare...\MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield. response:	Oh?
context: I have just noticed a little while ago.\As you see, this capital city, Shintou Teito, is surrounded by rivers,\and MBI's private army has been deployed to all the city's exit bridges.\But why would they inspect?\Mina-tan, me, and everyone else... At last, we must prepare ourselves.\Prepare...\MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.\Oh? response:	That's a nice place... Maison Izumo, right?
context: As you see, this capital city, Shintou Teito, is surrounded by rivers,\and MBI's private army has been deployed to all the city's exit bridges.\But why would they inspect?\Mina-tan, me, and everyone else... At last, we must prepare ourselves.\Prepare...\MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.\Oh?\That's a nice place... Maison Izumo, right? response:	I didn't touch anything... at least not today.
context: and MBI's private army has been deployed to all the city's exit bridges.\But why would they inspect?\Mina-tan, me, and everyone else... At last, we must prepare ourselves.\Prepare...\MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.\Oh?\That's a nice place... Maison Izumo, right?\I didn't touch anything... at least not today. response:	This is the only time I'll overlook this.
context: But why would they inspect?\Mina-tan, me, and everyone else... At last, we must prepare ourselves.\Prepare...\MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.\Oh?\That's a nice place... Maison Izumo, right?\I didn't touch anything... at least not today.\This is the only time I'll overlook this. response:	I will not forgive you if you step into Maison Izumo next time.
context: Mina-tan, me, and everyone else... At last, we must prepare ourselves.\Prepare...\MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.\Oh?\That's a nice place... Maison Izumo, right?\I didn't touch anything... at least not today.\This is the only time I'll overlook this.\I will not forgive you if you step into Maison Izumo next time. response:	Ah... you are as good as ever.
context: Prepare...\MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.\Oh?\That's a nice place... Maison Izumo, right?\I didn't touch anything... at least not today.\This is the only time I'll overlook this.\I will not forgive you if you step into Maison Izumo next time.\Ah... you are as good as ever. response:	You haven't changed. Scary, so scary...
context: MBI... that is, Hiroto Minaka is going to make this Shintou Teito into a battlefield.\Oh?\That's a nice place... Maison Izumo, right?\I didn't touch anything... at least not today.\This is the only time I'll overlook this.\I will not forgive you if you step into Maison Izumo next time.\Ah... you are as good as ever.\You haven't changed. Scary, so scary... response:	You give me a chill.
context: Oh?\That's a nice place... Maison Izumo, right?\I didn't touch anything... at least not today.\This is the only time I'll overlook this.\I will not forgive you if you step into Maison Izumo next time.\Ah... you are as good as ever.\You haven't changed. Scary, so scary...\You give me a chill. response:	Too bad. I didn't bring my sword today.
context: That's a nice place... Maison Izumo, right?\I didn't touch anything... at least not today.\This is the only time I'll overlook this.\I will not forgive you if you step into Maison Izumo next time.\Ah... you are as good as ever.\You haven't changed. Scary, so scary...\You give me a chill.\Too bad. I didn't bring my sword today. response:	Are you going to fight with that?
context: I didn't touch anything... at least not today.\This is the only time I'll overlook this.\I will not forgive you if you step into Maison Izumo next time.\Ah... you are as good as ever.\You haven't changed. Scary, so scary...\You give me a chill.\Too bad. I didn't bring my sword today.\Are you going to fight with that? response:	Go away! Your sinister form is too repulsive to look upon!
context: This is the only time I'll overlook this.\I will not forgive you if you step into Maison Izumo next time.\Ah... you are as good as ever.\You haven't changed. Scary, so scary...\You give me a chill.\Too bad. I didn't bring my sword today.\Are you going to fight with that?\Go away! Your sinister form is too repulsive to look upon! response:	You're the same as always...
context: I will not forgive you if you step into Maison Izumo next time.\Ah... you are as good as ever.\You haven't changed. Scary, so scary...\You give me a chill.\Too bad. I didn't bring my sword today.\Are you going to fight with that?\Go away! Your sinister form is too repulsive to look upon!\You're the same as always... response:	Number 01, Miya.
context: Ah... you are as good as ever.\You haven't changed. Scary, so scary...\You give me a chill.\Too bad. I didn't bring my sword today.\Are you going to fight with that?\Go away! Your sinister form is too repulsive to look upon!\You're the same as always...\Number 01, Miya. response:	Let's meet again. Next time, let's both bring prey.
context: You haven't changed. Scary, so scary...\You give me a chill.\Too bad. I didn't bring my sword today.\Are you going to fight with that?\Go away! Your sinister form is too repulsive to look upon!\You're the same as always...\Number 01, Miya.\Let's meet again. Next time, let's both bring prey. response:	Wait.
context: You give me a chill.\Too bad. I didn't bring my sword today.\Are you going to fight with that?\Go away! Your sinister form is too repulsive to look upon!\You're the same as always...\Number 01, Miya.\Let's meet again. Next time, let's both bring prey.\Wait. response:	That apple costs 143 yen!
context: Too bad. I didn't bring my sword today.\Are you going to fight with that?\Go away! Your sinister form is too repulsive to look upon!\You're the same as always...\Number 01, Miya.\Let's meet again. Next time, let's both bring prey.\Wait.\That apple costs 143 yen! response:	Looks like... it has begun, Takehito-san...
context: Are you going to fight with that?\Go away! Your sinister form is too repulsive to look upon!\You're the same as always...\Number 01, Miya.\Let's meet again. Next time, let's both bring prey.\Wait.\That apple costs 143 yen!\Looks like... it has begun, Takehito-san... response:	What happened? You look like you're having fun.
context: Go away! Your sinister form is too repulsive to look upon!\You're the same as always...\Number 01, Miya.\Let's meet again. Next time, let's both bring prey.\Wait.\That apple costs 143 yen!\Looks like... it has begun, Takehito-san...\What happened? You look like you're having fun. response:	Can you tell?
context: You're the same as always...\Number 01, Miya.\Let's meet again. Next time, let's both bring prey.\Wait.\That apple costs 143 yen!\Looks like... it has begun, Takehito-san...\What happened? You look like you're having fun.\Can you tell? response:	Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?
context: Number 01, Miya.\Let's meet again. Next time, let's both bring prey.\Wait.\That apple costs 143 yen!\Looks like... it has begun, Takehito-san...\What happened? You look like you're having fun.\Can you tell?\Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right? response:	You're flippant, Natsuo.
context: Let's meet again. Next time, let's both bring prey.\Wait.\That apple costs 143 yen!\Looks like... it has begun, Takehito-san...\What happened? You look like you're having fun.\Can you tell?\Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?\You're flippant, Natsuo. response:	Flippant? You're not nice.
context: Wait.\That apple costs 143 yen!\Looks like... it has begun, Takehito-san...\What happened? You look like you're having fun.\Can you tell?\Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?\You're flippant, Natsuo.\Flippant? You're not nice. response:	Stop the car, Natsuo.
context: That apple costs 143 yen!\Looks like... it has begun, Takehito-san...\What happened? You look like you're having fun.\Can you tell?\Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?\You're flippant, Natsuo.\Flippant? You're not nice.\Stop the car, Natsuo. response:	What?
context: Looks like... it has begun, Takehito-san...\What happened? You look like you're having fun.\Can you tell?\Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?\You're flippant, Natsuo.\Flippant? You're not nice.\Stop the car, Natsuo.\What? response:	I got too excited because of Number 01.
context: What happened? You look like you're having fun.\Can you tell?\Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?\You're flippant, Natsuo.\Flippant? You're not nice.\Stop the car, Natsuo.\What?\I got too excited because of Number 01. response:	I'll go out to play a bit.
context: Can you tell?\Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?\You're flippant, Natsuo.\Flippant? You're not nice.\Stop the car, Natsuo.\What?\I got too excited because of Number 01.\I'll go out to play a bit. response:	The plan's gone into Phase 2,
context: Yes, I can tell. I'm your Ashikabi or whatever, and we're connected, right?\You're flippant, Natsuo.\Flippant? You're not nice.\Stop the car, Natsuo.\What?\I got too excited because of Number 01.\I'll go out to play a bit.\The plan's gone into Phase 2, response:	and there are only a few un-emerged Sekireis left to present to Master.
context: You're flippant, Natsuo.\Flippant? You're not nice.\Stop the car, Natsuo.\What?\I got too excited because of Number 01.\I'll go out to play a bit.\The plan's gone into Phase 2,\and there are only a few un-emerged Sekireis left to present to Master. response:	It's getting tough to perform our duty!
context: Flippant? You're not nice.\Stop the car, Natsuo.\What?\I got too excited because of Number 01.\I'll go out to play a bit.\The plan's gone into Phase 2,\and there are only a few un-emerged Sekireis left to present to Master.\It's getting tough to perform our duty! response:	Ever since we let number 107 get away, we've been out of luck.
context: Stop the car, Natsuo.\What?\I got too excited because of Number 01.\I'll go out to play a bit.\The plan's gone into Phase 2,\and there are only a few un-emerged Sekireis left to present to Master.\It's getting tough to perform our duty!\Ever since we let number 107 get away, we've been out of luck. response:	I wonder if it's time to quit this task.
context: What?\I got too excited because of Number 01.\I'll go out to play a bit.\The plan's gone into Phase 2,\and there are only a few un-emerged Sekireis left to present to Master.\It's getting tough to perform our duty!\Ever since we let number 107 get away, we've been out of luck.\I wonder if it's time to quit this task. response:	Hey, you guys.
context: I got too excited because of Number 01.\I'll go out to play a bit.\The plan's gone into Phase 2,\and there are only a few un-emerged Sekireis left to present to Master.\It's getting tough to perform our duty!\Ever since we let number 107 get away, we've been out of luck.\I wonder if it's time to quit this task.\Hey, you guys. response:	If you have time to spare, could you be my opponents?
context: I'll go out to play a bit.\The plan's gone into Phase 2,\and there are only a few un-emerged Sekireis left to present to Master.\It's getting tough to perform our duty!\Ever since we let number 107 get away, we've been out of luck.\I wonder if it's time to quit this task.\Hey, you guys.\If you have time to spare, could you be my opponents? response:	What are you? A Sekirei?
context: The plan's gone into Phase 2,\and there are only a few un-emerged Sekireis left to present to Master.\It's getting tough to perform our duty!\Ever since we let number 107 get away, we've been out of luck.\I wonder if it's time to quit this task.\Hey, you guys.\If you have time to spare, could you be my opponents?\What are you? A Sekirei? response:	Get out.
context: and there are only a few un-emerged Sekireis left to present to Master.\It's getting tough to perform our duty!\Ever since we let number 107 get away, we've been out of luck.\I wonder if it's time to quit this task.\Hey, you guys.\If you have time to spare, could you be my opponents?\What are you? A Sekirei?\Get out. response:	She's the Black Sekirei.
context: It's getting tough to perform our duty!\Ever since we let number 107 get away, we've been out of luck.\I wonder if it's time to quit this task.\Hey, you guys.\If you have time to spare, could you be my opponents?\What are you? A Sekirei?\Get out.\She's the Black Sekirei. response:	Are you saying to run away from one who challenges me?
context: Ever since we let number 107 get away, we've been out of luck.\I wonder if it's time to quit this task.\Hey, you guys.\If you have time to spare, could you be my opponents?\What are you? A Sekirei?\Get out.\She's the Black Sekirei.\Are you saying to run away from one who challenges me? response:	Impossible!
context: I wonder if it's time to quit this task.\Hey, you guys.\If you have time to spare, could you be my opponents?\What are you? A Sekirei?\Get out.\She's the Black Sekirei.\Are you saying to run away from one who challenges me?\Impossible! response:	Anyway, who is this Black Sekirei?
context: Hey, you guys.\If you have time to spare, could you be my opponents?\What are you? A Sekirei?\Get out.\She's the Black Sekirei.\Are you saying to run away from one who challenges me?\Impossible!\Anyway, who is this Black Sekirei? response:	Ignorant and arrogant...
context: If you have time to spare, could you be my opponents?\What are you? A Sekirei?\Get out.\She's the Black Sekirei.\Are you saying to run away from one who challenges me?\Impossible!\Anyway, who is this Black Sekirei?\Ignorant and arrogant... response:	I kinda like that.
context: What are you? A Sekirei?\Get out.\She's the Black Sekirei.\Are you saying to run away from one who challenges me?\Impossible!\Anyway, who is this Black Sekirei?\Ignorant and arrogant...\I kinda like that. response:	Shut up!
context: Get out.\She's the Black Sekirei.\Are you saying to run away from one who challenges me?\Impossible!\Anyway, who is this Black Sekirei?\Ignorant and arrogant...\I kinda like that.\Shut up! response:	Who do you think you are?!
context: She's the Black Sekirei.\Are you saying to run away from one who challenges me?\Impossible!\Anyway, who is this Black Sekirei?\Ignorant and arrogant...\I kinda like that.\Shut up!\Who do you think you are?! response:	Can you do it?
context: Are you saying to run away from one who challenges me?\Impossible!\Anyway, who is this Black Sekirei?\Ignorant and arrogant...\I kinda like that.\Shut up!\Who do you think you are?!\Can you do it? response:	Ah, she ran away...
context: Impossible!\Anyway, who is this Black Sekirei?\Ignorant and arrogant...\I kinda like that.\Shut up!\Who do you think you are?!\Can you do it?\Ah, she ran away... response:	I have to ask them to pick this up.
context: Anyway, who is this Black Sekirei?\Ignorant and arrogant...\I kinda like that.\Shut up!\Who do you think you are?!\Can you do it?\Ah, she ran away...\I have to ask them to pick this up. response:	I don't know how to respond, being told to prepare all of a sudden...
context: Ignorant and arrogant...\I kinda like that.\Shut up!\Who do you think you are?!\Can you do it?\Ah, she ran away...\I have to ask them to pick this up.\I don't know how to respond, being told to prepare all of a sudden... response:	And who was that person who came here?
context: I kinda like that.\Shut up!\Who do you think you are?!\Can you do it?\Ah, she ran away...\I have to ask them to pick this up.\I don't know how to respond, being told to prepare all of a sudden...\And who was that person who came here? response:	Ku-chan's taking a nap.
context: Shut up!\Who do you think you are?!\Can you do it?\Ah, she ran away...\I have to ask them to pick this up.\I don't know how to respond, being told to prepare all of a sudden...\And who was that person who came here?\Ku-chan's taking a nap. response:	I see.
context: Who do you think you are?!\Can you do it?\Ah, she ran away...\I have to ask them to pick this up.\I don't know how to respond, being told to prepare all of a sudden...\And who was that person who came here?\Ku-chan's taking a nap.\I see. response:	Do you know where Tsukiumi is?
context: Can you do it?\Ah, she ran away...\I have to ask them to pick this up.\I don't know how to respond, being told to prepare all of a sudden...\And who was that person who came here?\Ku-chan's taking a nap.\I see.\Do you know where Tsukiumi is? response:	I haven't seen her for a while.
context: Ah, she ran away...\I have to ask them to pick this up.\I don't know how to respond, being told to prepare all of a sudden...\And who was that person who came here?\Ku-chan's taking a nap.\I see.\Do you know where Tsukiumi is?\I haven't seen her for a while. response:	Beats me...
context: I have to ask them to pick this up.\I don't know how to respond, being told to prepare all of a sudden...\And who was that person who came here?\Ku-chan's taking a nap.\I see.\Do you know where Tsukiumi is?\I haven't seen her for a while.\Beats me... response:	It's kind of quiet here.
context: I don't know how to respond, being told to prepare all of a sudden...\And who was that person who came here?\Ku-chan's taking a nap.\I see.\Do you know where Tsukiumi is?\I haven't seen her for a while.\Beats me...\It's kind of quiet here. response:	Uzume-san's been out since this morning too.
context: And who was that person who came here?\Ku-chan's taking a nap.\I see.\Do you know where Tsukiumi is?\I haven't seen her for a while.\Beats me...\It's kind of quiet here.\Uzume-san's been out since this morning too. response:	She said she had something to do.
context: Ku-chan's taking a nap.\I see.\Do you know where Tsukiumi is?\I haven't seen her for a while.\Beats me...\It's kind of quiet here.\Uzume-san's been out since this morning too.\She said she had something to do. response:	What?
context: I see.\Do you know where Tsukiumi is?\I haven't seen her for a while.\Beats me...\It's kind of quiet here.\Uzume-san's been out since this morning too.\She said she had something to do.\What? response:	We're all alone right now, aren't we?
context: Do you know where Tsukiumi is?\I haven't seen her for a while.\Beats me...\It's kind of quiet here.\Uzume-san's been out since this morning too.\She said she had something to do.\What?\We're all alone right now, aren't we? response:	Yes, we are...
context: I haven't seen her for a while.\Beats me...\It's kind of quiet here.\Uzume-san's been out since this morning too.\She said she had something to do.\What?\We're all alone right now, aren't we?\Yes, we are... response:	So this is the best time.
context: Beats me...\It's kind of quiet here.\Uzume-san's been out since this morning too.\She said she had something to do.\What?\We're all alone right now, aren't we?\Yes, we are...\So this is the best time. response:	There's something I must tell you. Only you.
context: It's kind of quiet here.\Uzume-san's been out since this morning too.\She said she had something to do.\What?\We're all alone right now, aren't we?\Yes, we are...\So this is the best time.\There's something I must tell you. Only you. response:	The promise I made with Karasuba-sama...
context: Uzume-san's been out since this morning too.\She said she had something to do.\What?\We're all alone right now, aren't we?\Yes, we are...\So this is the best time.\There's something I must tell you. Only you.\The promise I made with Karasuba-sama... response:	The promise between a Sekirei and a Sekirei.
context: She said she had something to do.\What?\We're all alone right now, aren't we?\Yes, we are...\So this is the best time.\There's something I must tell you. Only you.\The promise I made with Karasuba-sama...\The promise between a Sekirei and a Sekirei. response:	A promise?
