context: Lucy! You can hear me, can't you?! response:	Hold on! I swear I'll get you outta here!
context: She trusted you, and even after she realized you betrayed her,\she wants to believe in you again.\Can't you hear that voice?!\There's nothing to hesitate over.\You're just trying to take back what you lost... Imitatia.\Michelle!\I'm sure Nee-san will be happier this way!\After all, we were always together! response:	Liar!
context: she wants to believe in you again.\Can't you hear that voice?!\There's nothing to hesitate over.\You're just trying to take back what you lost... Imitatia.\Michelle!\I'm sure Nee-san will be happier this way!\After all, we were always together!\Liar! response:	Romeo!
context: Can't you hear that voice?!\There's nothing to hesitate over.\You're just trying to take back what you lost... Imitatia.\Michelle!\I'm sure Nee-san will be happier this way!\After all, we were always together!\Liar!\Romeo! response:	Why are you still lying?!
context: There's nothing to hesitate over.\You're just trying to take back what you lost... Imitatia.\Michelle!\I'm sure Nee-san will be happier this way!\After all, we were always together!\Liar!\Romeo!\Why are you still lying?! response:	You're not the real Michelle!
context: You're just trying to take back what you lost... Imitatia.\Michelle!\I'm sure Nee-san will be happier this way!\After all, we were always together!\Liar!\Romeo!\Why are you still lying?!\You're not the real Michelle! response:	Even if you were always together, it was a big lie!
context: Michelle!\I'm sure Nee-san will be happier this way!\After all, we were always together!\Liar!\Romeo!\Why are you still lying?!\You're not the real Michelle!\Even if you were always together, it was a big lie! response:	That's not true! I was...
context: I'm sure Nee-san will be happier this way!\After all, we were always together!\Liar!\Romeo!\Why are you still lying?!\You're not the real Michelle!\Even if you were always together, it was a big lie!\That's not true! I was... response:	After Lucy-nee lost her family, imagine how happy she was when she met you!
context: After all, we were always together!\Liar!\Romeo!\Why are you still lying?!\You're not the real Michelle!\Even if you were always together, it was a big lie!\That's not true! I was...\After Lucy-nee lost her family, imagine how happy she was when she met you! response:	Why did you betray her?! Why did you tell such an awful lie?!
context: Liar!\Romeo!\Why are you still lying?!\You're not the real Michelle!\Even if you were always together, it was a big lie!\That's not true! I was...\After Lucy-nee lost her family, imagine how happy she was when she met you!\Why did you betray her?! Why did you tell such an awful lie?! response:	She believed that you were her friend...
context: Romeo!\Why are you still lying?!\You're not the real Michelle!\Even if you were always together, it was a big lie!\That's not true! I was...\After Lucy-nee lost her family, imagine how happy she was when she met you!\Why did you betray her?! Why did you tell such an awful lie?!\She believed that you were her friend... response:	Me too... I thought you...
context: Why are you still lying?!\You're not the real Michelle!\Even if you were always together, it was a big lie!\That's not true! I was...\After Lucy-nee lost her family, imagine how happy she was when she met you!\Why did you betray her?! Why did you tell such an awful lie?!\She believed that you were her friend...\Me too... I thought you... response:	Goddamn it!
context: You're not the real Michelle!\Even if you were always together, it was a big lie!\That's not true! I was...\After Lucy-nee lost her family, imagine how happy she was when she met you!\Why did you betray her?! Why did you tell such an awful lie?!\She believed that you were her friend...\Me too... I thought you...\Goddamn it! response:	Romeo-kun...
context: Even if you were always together, it was a big lie!\That's not true! I was...\After Lucy-nee lost her family, imagine how happy she was when she met you!\Why did you betray her?! Why did you tell such an awful lie?!\She believed that you were her friend...\Me too... I thought you...\Goddamn it!\Romeo-kun... response:	You can't let them shake you, Imitatia-sama.
context: That's not true! I was...\After Lucy-nee lost her family, imagine how happy she was when she met you!\Why did you betray her?! Why did you tell such an awful lie?!\She believed that you were her friend...\Me too... I thought you...\Goddamn it!\Romeo-kun...\You can't let them shake you, Imitatia-sama. response:	Anyone who stands in your way is an enemy.
context: After Lucy-nee lost her family, imagine how happy she was when she met you!\Why did you betray her?! Why did you tell such an awful lie?!\She believed that you were her friend...\Me too... I thought you...\Goddamn it!\Romeo-kun...\You can't let them shake you, Imitatia-sama.\Anyone who stands in your way is an enemy. response:	Say something... Michelle!
context: Why did you betray her?! Why did you tell such an awful lie?!\She believed that you were her friend...\Me too... I thought you...\Goddamn it!\Romeo-kun...\You can't let them shake you, Imitatia-sama.\Anyone who stands in your way is an enemy.\Say something... Michelle! response:	Do it.
context: She believed that you were her friend...\Me too... I thought you...\Goddamn it!\Romeo-kun...\You can't let them shake you, Imitatia-sama.\Anyone who stands in your way is an enemy.\Say something... Michelle!\Do it. response:	Romeo!
context: Me too... I thought you...\Goddamn it!\Romeo-kun...\You can't let them shake you, Imitatia-sama.\Anyone who stands in your way is an enemy.\Say something... Michelle!\Do it.\Romeo! response:	Dammit...
context: Goddamn it!\Romeo-kun...\You can't let them shake you, Imitatia-sama.\Anyone who stands in your way is an enemy.\Say something... Michelle!\Do it.\Romeo!\Dammit... response:	I got it, Michelle.
context: Romeo-kun...\You can't let them shake you, Imitatia-sama.\Anyone who stands in your way is an enemy.\Say something... Michelle!\Do it.\Romeo!\Dammit...\I got it, Michelle. response:	Figuring out who the hell you are can wait'til later.
context: You can't let them shake you, Imitatia-sama.\Anyone who stands in your way is an enemy.\Say something... Michelle!\Do it.\Romeo!\Dammit...\I got it, Michelle.\Figuring out who the hell you are can wait'til later. response:	Right now, I'm gonna kick your ass an' save Lucy.
context: Anyone who stands in your way is an enemy.\Say something... Michelle!\Do it.\Romeo!\Dammit...\I got it, Michelle.\Figuring out who the hell you are can wait'til later.\Right now, I'm gonna kick your ass an' save Lucy. response:	Natsu...
context: Say something... Michelle!\Do it.\Romeo!\Dammit...\I got it, Michelle.\Figuring out who the hell you are can wait'til later.\Right now, I'm gonna kick your ass an' save Lucy.\Natsu... response:	Oh, my! This should be an amusing spectacle!
context: Do it.\Romeo!\Dammit...\I got it, Michelle.\Figuring out who the hell you are can wait'til later.\Right now, I'm gonna kick your ass an' save Lucy.\Natsu...\Oh, my! This should be an amusing spectacle! response:	Don't shy away, Imitatia.
context: Romeo!\Dammit...\I got it, Michelle.\Figuring out who the hell you are can wait'til later.\Right now, I'm gonna kick your ass an' save Lucy.\Natsu...\Oh, my! This should be an amusing spectacle!\Don't shy away, Imitatia. response:	You're the new Oracion Seis's number two.
context: Dammit...\I got it, Michelle.\Figuring out who the hell you are can wait'til later.\Right now, I'm gonna kick your ass an' save Lucy.\Natsu...\Oh, my! This should be an amusing spectacle!\Don't shy away, Imitatia.\You're the new Oracion Seis's number two. response:	I'll make your prayers come true.
context: I got it, Michelle.\Figuring out who the hell you are can wait'til later.\Right now, I'm gonna kick your ass an' save Lucy.\Natsu...\Oh, my! This should be an amusing spectacle!\Don't shy away, Imitatia.\You're the new Oracion Seis's number two.\I'll make your prayers come true. response:	But first, show me your allegiance.
context: Figuring out who the hell you are can wait'til later.\Right now, I'm gonna kick your ass an' save Lucy.\Natsu...\Oh, my! This should be an amusing spectacle!\Don't shy away, Imitatia.\You're the new Oracion Seis's number two.\I'll make your prayers come true.\But first, show me your allegiance. response:	Michelle...
context: Right now, I'm gonna kick your ass an' save Lucy.\Natsu...\Oh, my! This should be an amusing spectacle!\Don't shy away, Imitatia.\You're the new Oracion Seis's number two.\I'll make your prayers come true.\But first, show me your allegiance.\Michelle... response:	Stop this!
context: Natsu...\Oh, my! This should be an amusing spectacle!\Don't shy away, Imitatia.\You're the new Oracion Seis's number two.\I'll make your prayers come true.\But first, show me your allegiance.\Michelle...\Stop this! response:	Wench...
context: Oh, my! This should be an amusing spectacle!\Don't shy away, Imitatia.\You're the new Oracion Seis's number two.\I'll make your prayers come true.\But first, show me your allegiance.\Michelle...\Stop this!\Wench... response:	I knew you could do it.
context: Don't shy away, Imitatia.\You're the new Oracion Seis's number two.\I'll make your prayers come true.\But first, show me your allegiance.\Michelle...\Stop this!\Wench...\I knew you could do it. response:	All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...
context: You're the new Oracion Seis's number two.\I'll make your prayers come true.\But first, show me your allegiance.\Michelle...\Stop this!\Wench...\I knew you could do it.\All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity... response:	Now, finish him off.
context: I'll make your prayers come true.\But first, show me your allegiance.\Michelle...\Stop this!\Wench...\I knew you could do it.\All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...\Now, finish him off. response:	I'll do whatever is needed to make your prayer come true.
context: But first, show me your allegiance.\Michelle...\Stop this!\Wench...\I knew you could do it.\All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...\Now, finish him off.\I'll do whatever is needed to make your prayer come true. response:	Bind that man, my vines!
context: Michelle...\Stop this!\Wench...\I knew you could do it.\All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...\Now, finish him off.\I'll do whatever is needed to make your prayer come true.\Bind that man, my vines! response:	Please, stop...
context: Stop this!\Wench...\I knew you could do it.\All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...\Now, finish him off.\I'll do whatever is needed to make your prayer come true.\Bind that man, my vines!\Please, stop... response:	Warning. Murderous intent detected nearby, approaching rapidly...
context: Wench...\I knew you could do it.\All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...\Now, finish him off.\I'll do whatever is needed to make your prayer come true.\Bind that man, my vines!\Please, stop...\Warning. Murderous intent detected nearby, approaching rapidly... response:	Murderous intent?
context: I knew you could do it.\All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...\Now, finish him off.\I'll do whatever is needed to make your prayer come true.\Bind that man, my vines!\Please, stop...\Warning. Murderous intent detected nearby, approaching rapidly...\Murderous intent? response:	Samuel!
context: All you need think about is your most fervent wish, living together with Lucy Heartfilia for eternity...\Now, finish him off.\I'll do whatever is needed to make your prayer come true.\Bind that man, my vines!\Please, stop...\Warning. Murderous intent detected nearby, approaching rapidly...\Murderous intent?\Samuel! response:	What are you doing?!
context: Now, finish him off.\I'll do whatever is needed to make your prayer come true.\Bind that man, my vines!\Please, stop...\Warning. Murderous intent detected nearby, approaching rapidly...\Murderous intent?\Samuel!\What are you doing?! response:	Lucy Heartfilia!
context: I'll do whatever is needed to make your prayer come true.\Bind that man, my vines!\Please, stop...\Warning. Murderous intent detected nearby, approaching rapidly...\Murderous intent?\Samuel!\What are you doing?!\Lucy Heartfilia! response:	I'll stop the Infinity Clock by spilling your blood!
context: Bind that man, my vines!\Please, stop...\Warning. Murderous intent detected nearby, approaching rapidly...\Murderous intent?\Samuel!\What are you doing?!\Lucy Heartfilia!\I'll stop the Infinity Clock by spilling your blood! response:	Coco, move!
context: Please, stop...\Warning. Murderous intent detected nearby, approaching rapidly...\Murderous intent?\Samuel!\What are you doing?!\Lucy Heartfilia!\I'll stop the Infinity Clock by spilling your blood!\Coco, move! response:	No!
context: Warning. Murderous intent detected nearby, approaching rapidly...\Murderous intent?\Samuel!\What are you doing?!\Lucy Heartfilia!\I'll stop the Infinity Clock by spilling your blood!\Coco, move!\No! response:	I don't have time to argue with you!
context: Murderous intent?\Samuel!\What are you doing?!\Lucy Heartfilia!\I'll stop the Infinity Clock by spilling your blood!\Coco, move!\No!\I don't have time to argue with you! response:	Then tear through me with those claws first!
context: Samuel!\What are you doing?!\Lucy Heartfilia!\I'll stop the Infinity Clock by spilling your blood!\Coco, move!\No!\I don't have time to argue with you!\Then tear through me with those claws first! response:	You... I'm not doing this for the sake of church doctrine!
context: What are you doing?!\Lucy Heartfilia!\I'll stop the Infinity Clock by spilling your blood!\Coco, move!\No!\I don't have time to argue with you!\Then tear through me with those claws first!\You... I'm not doing this for the sake of church doctrine! response:	I'm following my own heart...
context: Lucy Heartfilia!\I'll stop the Infinity Clock by spilling your blood!\Coco, move!\No!\I don't have time to argue with you!\Then tear through me with those claws first!\You... I'm not doing this for the sake of church doctrine!\I'm following my own heart... response:	Even though you know it's wrong?!
context: I'll stop the Infinity Clock by spilling your blood!\Coco, move!\No!\I don't have time to argue with you!\Then tear through me with those claws first!\You... I'm not doing this for the sake of church doctrine!\I'm following my own heart...\Even though you know it's wrong?! response:	That's right.
context: Coco, move!\No!\I don't have time to argue with you!\Then tear through me with those claws first!\You... I'm not doing this for the sake of church doctrine!\I'm following my own heart...\Even though you know it's wrong?!\That's right. response:	But to put an end to this chaos, I have no other choice!
context: No!\I don't have time to argue with you!\Then tear through me with those claws first!\You... I'm not doing this for the sake of church doctrine!\I'm following my own heart...\Even though you know it's wrong?!\That's right.\But to put an end to this chaos, I have no other choice! response:	Why, you...!
context: I don't have time to argue with you!\Then tear through me with those claws first!\You... I'm not doing this for the sake of church doctrine!\I'm following my own heart...\Even though you know it's wrong?!\That's right.\But to put an end to this chaos, I have no other choice!\Why, you...! response:	You...
context: Then tear through me with those claws first!\You... I'm not doing this for the sake of church doctrine!\I'm following my own heart...\Even though you know it's wrong?!\That's right.\But to put an end to this chaos, I have no other choice!\Why, you...!\You... response:	Leave this to me.
context: You... I'm not doing this for the sake of church doctrine!\I'm following my own heart...\Even though you know it's wrong?!\That's right.\But to put an end to this chaos, I have no other choice!\Why, you...!\You...\Leave this to me. response:	You guys!
context: I'm following my own heart...\Even though you know it's wrong?!\That's right.\But to put an end to this chaos, I have no other choice!\Why, you...!\You...\Leave this to me.\You guys! response:	Is that the answer you arrived at?
context: Even though you know it's wrong?!\That's right.\But to put an end to this chaos, I have no other choice!\Why, you...!\You...\Leave this to me.\You guys!\Is that the answer you arrived at? response:	I'm gonna wipe that decision to take a life right out of your head!
context: That's right.\But to put an end to this chaos, I have no other choice!\Why, you...!\You...\Leave this to me.\You guys!\Is that the answer you arrived at?\I'm gonna wipe that decision to take a life right out of your head! response:	Nii-san!
context: But to put an end to this chaos, I have no other choice!\Why, you...!\You...\Leave this to me.\You guys!\Is that the answer you arrived at?\I'm gonna wipe that decision to take a life right out of your head!\Nii-san! response:	Happy!
context: Why, you...!\You...\Leave this to me.\You guys!\Is that the answer you arrived at?\I'm gonna wipe that decision to take a life right out of your head!\Nii-san!\Happy! response:	Sammy!
context: You...\Leave this to me.\You guys!\Is that the answer you arrived at?\I'm gonna wipe that decision to take a life right out of your head!\Nii-san!\Happy!\Sammy! response:	Lucy, wake up!
context: Leave this to me.\You guys!\Is that the answer you arrived at?\I'm gonna wipe that decision to take a life right out of your head!\Nii-san!\Happy!\Sammy!\Lucy, wake up! response:	Hey! Can you hear me?! Lucy!
context: You guys!\Is that the answer you arrived at?\I'm gonna wipe that decision to take a life right out of your head!\Nii-san!\Happy!\Sammy!\Lucy, wake up!\Hey! Can you hear me?! Lucy! response:	But I can't do anything...
context: Is that the answer you arrived at?\I'm gonna wipe that decision to take a life right out of your head!\Nii-san!\Happy!\Sammy!\Lucy, wake up!\Hey! Can you hear me?! Lucy!\But I can't do anything... response:	Everyone is lying on the ground in front of me...
context: I'm gonna wipe that decision to take a life right out of your head!\Nii-san!\Happy!\Sammy!\Lucy, wake up!\Hey! Can you hear me?! Lucy!\But I can't do anything...\Everyone is lying on the ground in front of me... response:	I can't move my body...
context: Nii-san!\Happy!\Sammy!\Lucy, wake up!\Hey! Can you hear me?! Lucy!\But I can't do anything...\Everyone is lying on the ground in front of me...\I can't move my body... response:	I don't want this...
context: Happy!\Sammy!\Lucy, wake up!\Hey! Can you hear me?! Lucy!\But I can't do anything...\Everyone is lying on the ground in front of me...\I can't move my body...\I don't want this... response:	I want to help everyone!
context: Sammy!\Lucy, wake up!\Hey! Can you hear me?! Lucy!\But I can't do anything...\Everyone is lying on the ground in front of me...\I can't move my body...\I don't want this...\I want to help everyone! response:	Tears...
context: Lucy, wake up!\Hey! Can you hear me?! Lucy!\But I can't do anything...\Everyone is lying on the ground in front of me...\I can't move my body...\I don't want this...\I want to help everyone!\Tears... response:	She can hear our voices!
context: Hey! Can you hear me?! Lucy!\But I can't do anything...\Everyone is lying on the ground in front of me...\I can't move my body...\I don't want this...\I want to help everyone!\Tears...\She can hear our voices! response:	Lucy's fightin', too!
context: But I can't do anything...\Everyone is lying on the ground in front of me...\I can't move my body...\I don't want this...\I want to help everyone!\Tears...\She can hear our voices!\Lucy's fightin', too! response:	This showdown ain't over yet!
context: Everyone is lying on the ground in front of me...\I can't move my body...\I don't want this...\I want to help everyone!\Tears...\She can hear our voices!\Lucy's fightin', too!\This showdown ain't over yet! response:	Damn, he's stubborn! This is why I said he should be taken out for good!
context: I can't move my body...\I don't want this...\I want to help everyone!\Tears...\She can hear our voices!\Lucy's fightin', too!\This showdown ain't over yet!\Damn, he's stubborn! This is why I said he should be taken out for good! response:	Hmph. Whatever he tries to do, it's too late.
context: I don't want this...\I want to help everyone!\Tears...\She can hear our voices!\Lucy's fightin', too!\This showdown ain't over yet!\Damn, he's stubborn! This is why I said he should be taken out for good!\Hmph. Whatever he tries to do, it's too late. response:	You people have no chance.
context: I want to help everyone!\Tears...\She can hear our voices!\Lucy's fightin', too!\This showdown ain't over yet!\Damn, he's stubborn! This is why I said he should be taken out for good!\Hmph. Whatever he tries to do, it's too late.\You people have no chance. response:	Why?
context: Tears...\She can hear our voices!\Lucy's fightin', too!\This showdown ain't over yet!\Damn, he's stubborn! This is why I said he should be taken out for good!\Hmph. Whatever he tries to do, it's too late.\You people have no chance.\Why? response:	Why do you want power that badly?
context: She can hear our voices!\Lucy's fightin', too!\This showdown ain't over yet!\Damn, he's stubborn! This is why I said he should be taken out for good!\Hmph. Whatever he tries to do, it's too late.\You people have no chance.\Why?\Why do you want power that badly? response:	Is spreading chaos and destruction and getting revenge that important to you?!
context: Lucy's fightin', too!\This showdown ain't over yet!\Damn, he's stubborn! This is why I said he should be taken out for good!\Hmph. Whatever he tries to do, it's too late.\You people have no chance.\Why?\Why do you want power that badly?\Is spreading chaos and destruction and getting revenge that important to you?! response:	It is.
context: This showdown ain't over yet!\Damn, he's stubborn! This is why I said he should be taken out for good!\Hmph. Whatever he tries to do, it's too late.\You people have no chance.\Why?\Why do you want power that badly?\Is spreading chaos and destruction and getting revenge that important to you?!\It is. response:	If I don't accomplish this, I won't be able to look Cubelious in the face!
context: Damn, he's stubborn! This is why I said he should be taken out for good!\Hmph. Whatever he tries to do, it's too late.\You people have no chance.\Why?\Why do you want power that badly?\Is spreading chaos and destruction and getting revenge that important to you?!\It is.\If I don't accomplish this, I won't be able to look Cubelious in the face! response:	I have nothing else left to lose.
context: Hmph. Whatever he tries to do, it's too late.\You people have no chance.\Why?\Why do you want power that badly?\Is spreading chaos and destruction and getting revenge that important to you?!\It is.\If I don't accomplish this, I won't be able to look Cubelious in the face!\I have nothing else left to lose. response:	I threw away everything, so I'm afraid of nothing.
context: You people have no chance.\Why?\Why do you want power that badly?\Is spreading chaos and destruction and getting revenge that important to you?!\It is.\If I don't accomplish this, I won't be able to look Cubelious in the face!\I have nothing else left to lose.\I threw away everything, so I'm afraid of nothing. response:	There's nothing you can do, Titania!
context: Why?\Why do you want power that badly?\Is spreading chaos and destruction and getting revenge that important to you?!\It is.\If I don't accomplish this, I won't be able to look Cubelious in the face!\I have nothing else left to lose.\I threw away everything, so I'm afraid of nothing.\There's nothing you can do, Titania! response:	Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!
context: Why do you want power that badly?\Is spreading chaos and destruction and getting revenge that important to you?!\It is.\If I don't accomplish this, I won't be able to look Cubelious in the face!\I have nothing else left to lose.\I threw away everything, so I'm afraid of nothing.\There's nothing you can do, Titania!\Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock! response:	The archbishop will explain, so listen carefully!
context: Is spreading chaos and destruction and getting revenge that important to you?!\It is.\If I don't accomplish this, I won't be able to look Cubelious in the face!\I have nothing else left to lose.\I threw away everything, so I'm afraid of nothing.\There's nothing you can do, Titania!\Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!\The archbishop will explain, so listen carefully! response:	His Grace?!
context: It is.\If I don't accomplish this, I won't be able to look Cubelious in the face!\I have nothing else left to lose.\I threw away everything, so I'm afraid of nothing.\There's nothing you can do, Titania!\Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!\The archbishop will explain, so listen carefully!\His Grace?! response:	To merge with a sacrificial Celestial Spirit Wizard,
context: If I don't accomplish this, I won't be able to look Cubelious in the face!\I have nothing else left to lose.\I threw away everything, so I'm afraid of nothing.\There's nothing you can do, Titania!\Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!\The archbishop will explain, so listen carefully!\His Grace?!\To merge with a sacrificial Celestial Spirit Wizard, response:	it takes a telepathic bond to be formed with the person and her sense of time.
context: I have nothing else left to lose.\I threw away everything, so I'm afraid of nothing.\There's nothing you can do, Titania!\Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!\The archbishop will explain, so listen carefully!\His Grace?!\To merge with a sacrificial Celestial Spirit Wizard,\it takes a telepathic bond to be formed with the person and her sense of time. response:	In other words, it must integrate with her memories.
context: I threw away everything, so I'm afraid of nothing.\There's nothing you can do, Titania!\Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!\The archbishop will explain, so listen carefully!\His Grace?!\To merge with a sacrificial Celestial Spirit Wizard,\it takes a telepathic bond to be formed with the person and her sense of time.\In other words, it must integrate with her memories. response:	For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,
context: There's nothing you can do, Titania!\Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!\The archbishop will explain, so listen carefully!\His Grace?!\To merge with a sacrificial Celestial Spirit Wizard,\it takes a telepathic bond to be formed with the person and her sense of time.\In other words, it must integrate with her memories.\For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare, response:	while at the same time taking in the land's magic power and all memories.
context: Everyone, listen! There's a way to slow down the merging of Lucy and the Infinity Clock!\The archbishop will explain, so listen carefully!\His Grace?!\To merge with a sacrificial Celestial Spirit Wizard,\it takes a telepathic bond to be formed with the person and her sense of time.\In other words, it must integrate with her memories.\For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,\while at the same time taking in the land's magic power and all memories. response:	Put another way, you can buy some time by cutting the chains!
context: The archbishop will explain, so listen carefully!\His Grace?!\To merge with a sacrificial Celestial Spirit Wizard,\it takes a telepathic bond to be formed with the person and her sense of time.\In other words, it must integrate with her memories.\For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,\while at the same time taking in the land's magic power and all memories.\Put another way, you can buy some time by cutting the chains! response:	Byro and Zentopia's monk soldiers already left!
context: His Grace?!\To merge with a sacrificial Celestial Spirit Wizard,\it takes a telepathic bond to be formed with the person and her sense of time.\In other words, it must integrate with her memories.\For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,\while at the same time taking in the land's magic power and all memories.\Put another way, you can buy some time by cutting the chains!\Byro and Zentopia's monk soldiers already left! response:	Everyone, destroy the chains!
context: To merge with a sacrificial Celestial Spirit Wizard,\it takes a telepathic bond to be formed with the person and her sense of time.\In other words, it must integrate with her memories.\For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,\while at the same time taking in the land's magic power and all memories.\Put another way, you can buy some time by cutting the chains!\Byro and Zentopia's monk soldiers already left!\Everyone, destroy the chains! response:	They look like they'll be filling!
context: it takes a telepathic bond to be formed with the person and her sense of time.\In other words, it must integrate with her memories.\For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,\while at the same time taking in the land's magic power and all memories.\Put another way, you can buy some time by cutting the chains!\Byro and Zentopia's monk soldiers already left!\Everyone, destroy the chains!\They look like they'll be filling! response:	Could you hear that?
context: In other words, it must integrate with her memories.\For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,\while at the same time taking in the land's magic power and all memories.\Put another way, you can buy some time by cutting the chains!\Byro and Zentopia's monk soldiers already left!\Everyone, destroy the chains!\They look like they'll be filling!\Could you hear that? response:	Yes. I heard it, too.
context: For that, the chains descending from the Infinity Castle to the ground spread Real Nightmare,\while at the same time taking in the land's magic power and all memories.\Put another way, you can buy some time by cutting the chains!\Byro and Zentopia's monk soldiers already left!\Everyone, destroy the chains!\They look like they'll be filling!\Could you hear that?\Yes. I heard it, too. response:	Nii-san. I...
context: while at the same time taking in the land's magic power and all memories.\Put another way, you can buy some time by cutting the chains!\Byro and Zentopia's monk soldiers already left!\Everyone, destroy the chains!\They look like they'll be filling!\Could you hear that?\Yes. I heard it, too.\Nii-san. I... response:	Forget it. Everybody makes mistakes.
context: Put another way, you can buy some time by cutting the chains!\Byro and Zentopia's monk soldiers already left!\Everyone, destroy the chains!\They look like they'll be filling!\Could you hear that?\Yes. I heard it, too.\Nii-san. I...\Forget it. Everybody makes mistakes. response:	So did I.
context: Byro and Zentopia's monk soldiers already left!\Everyone, destroy the chains!\They look like they'll be filling!\Could you hear that?\Yes. I heard it, too.\Nii-san. I...\Forget it. Everybody makes mistakes.\So did I. response:	What's important...
context: Everyone, destroy the chains!\They look like they'll be filling!\Could you hear that?\Yes. I heard it, too.\Nii-san. I...\Forget it. Everybody makes mistakes.\So did I.\What's important... response:	Let's snap those chains, Sammy!
context: They look like they'll be filling!\Could you hear that?\Yes. I heard it, too.\Nii-san. I...\Forget it. Everybody makes mistakes.\So did I.\What's important...\Let's snap those chains, Sammy! response:	Yeah! Let's have a contest to see who can chop through the most, Nii-san!
context: Could you hear that?\Yes. I heard it, too.\Nii-san. I...\Forget it. Everybody makes mistakes.\So did I.\What's important...\Let's snap those chains, Sammy!\Yeah! Let's have a contest to see who can chop through the most, Nii-san! response:	Talons of the Fire Dragon!
context: Yes. I heard it, too.\Nii-san. I...\Forget it. Everybody makes mistakes.\So did I.\What's important...\Let's snap those chains, Sammy!\Yeah! Let's have a contest to see who can chop through the most, Nii-san!\Talons of the Fire Dragon! response:	What tenacity! This is the power of your feelings?!
context: Nii-san. I...\Forget it. Everybody makes mistakes.\So did I.\What's important...\Let's snap those chains, Sammy!\Yeah! Let's have a contest to see who can chop through the most, Nii-san!\Talons of the Fire Dragon!\What tenacity! This is the power of your feelings?! response:	Looks like I still had a chance, huh?!
context: Forget it. Everybody makes mistakes.\So did I.\What's important...\Let's snap those chains, Sammy!\Yeah! Let's have a contest to see who can chop through the most, Nii-san!\Talons of the Fire Dragon!\What tenacity! This is the power of your feelings?!\Looks like I still had a chance, huh?! response:	A faint hope at best.
context: So did I.\What's important...\Let's snap those chains, Sammy!\Yeah! Let's have a contest to see who can chop through the most, Nii-san!\Talons of the Fire Dragon!\What tenacity! This is the power of your feelings?!\Looks like I still had a chance, huh?!\A faint hope at best. response:	Go ahead, do your worst.
context: What's important...\Let's snap those chains, Sammy!\Yeah! Let's have a contest to see who can chop through the most, Nii-san!\Talons of the Fire Dragon!\What tenacity! This is the power of your feelings?!\Looks like I still had a chance, huh?!\A faint hope at best.\Go ahead, do your worst. response:	I'm going to dispose of you in one stroke.
context: Let's snap those chains, Sammy!\Yeah! Let's have a contest to see who can chop through the most, Nii-san!\Talons of the Fire Dragon!\What tenacity! This is the power of your feelings?!\Looks like I still had a chance, huh?!\A faint hope at best.\Go ahead, do your worst.\I'm going to dispose of you in one stroke. response:	Cubelious... I'm going to use...
context: Yeah! Let's have a contest to see who can chop through the most, Nii-san!\Talons of the Fire Dragon!\What tenacity! This is the power of your feelings?!\Looks like I still had a chance, huh?!\A faint hope at best.\Go ahead, do your worst.\I'm going to dispose of you in one stroke.\Cubelious... I'm going to use... response:	Is this the second generation?
context: Talons of the Fire Dragon!\What tenacity! This is the power of your feelings?!\Looks like I still had a chance, huh?!\A faint hope at best.\Go ahead, do your worst.\I'm going to dispose of you in one stroke.\Cubelious... I'm going to use...\Is this the second generation? response:	Decay and die, Titania!
context: What tenacity! This is the power of your feelings?!\Looks like I still had a chance, huh?!\A faint hope at best.\Go ahead, do your worst.\I'm going to dispose of you in one stroke.\Cubelious... I'm going to use...\Is this the second generation?\Decay and die, Titania! response:	Roar of the Poison Dragon!
context: Looks like I still had a chance, huh?!\A faint hope at best.\Go ahead, do your worst.\I'm going to dispose of you in one stroke.\Cubelious... I'm going to use...\Is this the second generation?\Decay and die, Titania!\Roar of the Poison Dragon! response:	What?!
context: A faint hope at best.\Go ahead, do your worst.\I'm going to dispose of you in one stroke.\Cubelious... I'm going to use...\Is this the second generation?\Decay and die, Titania!\Roar of the Poison Dragon!\What?! response:	This ancient weapon is said to keep evil at bay!
