context: This is LAN Xi. response:	The big city where I grew up.
context: It awakened like that.\Qui Jin Xuan.\Jin Xuan.\Wait wait.\Jin Xuan.\How are you?\Now more than ever, I want to will give you private lessons.\Don't bother yourself. response:	It's nothing.
context: Qui Jin Xuan.\Jin Xuan.\Wait wait.\Jin Xuan.\How are you?\Now more than ever, I want to will give you private lessons.\Don't bother yourself.\It's nothing. response:	Now, remember when you go back to tell your father
context: Jin Xuan.\Wait wait.\Jin Xuan.\How are you?\Now more than ever, I want to will give you private lessons.\Don't bother yourself.\It's nothing.\Now, remember when you go back to tell your father response:	that I will not charge anything for giving you private class.
context: Wait wait.\Jin Xuan.\How are you?\Now more than ever, I want to will give you private lessons.\Don't bother yourself.\It's nothing.\Now, remember when you go back to tell your father\that I will not charge anything for giving you private class. response:	It definitely doesn't violate the rules.
context: Jin Xuan.\How are you?\Now more than ever, I want to will give you private lessons.\Don't bother yourself.\It's nothing.\Now, remember when you go back to tell your father\that I will not charge anything for giving you private class.\It definitely doesn't violate the rules. response:	The ministry of education prohibits any paid private individual class.
context: How are you?\Now more than ever, I want to will give you private lessons.\Don't bother yourself.\It's nothing.\Now, remember when you go back to tell your father\that I will not charge anything for giving you private class.\It definitely doesn't violate the rules.\The ministry of education prohibits any paid private individual class. response:	Tsk
context: Now more than ever, I want to will give you private lessons.\Don't bother yourself.\It's nothing.\Now, remember when you go back to tell your father\that I will not charge anything for giving you private class.\It definitely doesn't violate the rules.\The ministry of education prohibits any paid private individual class.\Tsk response:	I mean, you better keep
context: Don't bother yourself.\It's nothing.\Now, remember when you go back to tell your father\that I will not charge anything for giving you private class.\It definitely doesn't violate the rules.\The ministry of education prohibits any paid private individual class.\Tsk\I mean, you better keep response:	being the teacher who is in the last line.
context: It's nothing.\Now, remember when you go back to tell your father\that I will not charge anything for giving you private class.\It definitely doesn't violate the rules.\The ministry of education prohibits any paid private individual class.\Tsk\I mean, you better keep\being the teacher who is in the last line. response:	I'll tell my father when I get back home
context: Now, remember when you go back to tell your father\that I will not charge anything for giving you private class.\It definitely doesn't violate the rules.\The ministry of education prohibits any paid private individual class.\Tsk\I mean, you better keep\being the teacher who is in the last line.\I'll tell my father when I get back home response:	that you are a teacher who thinks about the students.
context: that I will not charge anything for giving you private class.\It definitely doesn't violate the rules.\The ministry of education prohibits any paid private individual class.\Tsk\I mean, you better keep\being the teacher who is in the last line.\I'll tell my father when I get back home\that you are a teacher who thinks about the students. response:	It would be a shame if you are not a director of the education ministry.
context: It definitely doesn't violate the rules.\The ministry of education prohibits any paid private individual class.\Tsk\I mean, you better keep\being the teacher who is in the last line.\I'll tell my father when I get back home\that you are a teacher who thinks about the students.\It would be a shame if you are not a director of the education ministry. response:	Oh, no, no.
context: The ministry of education prohibits any paid private individual class.\Tsk\I mean, you better keep\being the teacher who is in the last line.\I'll tell my father when I get back home\that you are a teacher who thinks about the students.\It would be a shame if you are not a director of the education ministry.\Oh, no, no. response:	Jin Xuan.
context: Tsk\I mean, you better keep\being the teacher who is in the last line.\I'll tell my father when I get back home\that you are a teacher who thinks about the students.\It would be a shame if you are not a director of the education ministry.\Oh, no, no.\Jin Xuan. response:	Jin Xuan!
context: I mean, you better keep\being the teacher who is in the last line.\I'll tell my father when I get back home\that you are a teacher who thinks about the students.\It would be a shame if you are not a director of the education ministry.\Oh, no, no.\Jin Xuan.\Jin Xuan! response:	Jin Xuan.
context: being the teacher who is in the last line.\I'll tell my father when I get back home\that you are a teacher who thinks about the students.\It would be a shame if you are not a director of the education ministry.\Oh, no, no.\Jin Xuan.\Jin Xuan!\Jin Xuan. response:	Hey, Jin Xuan.
context: I'll tell my father when I get back home\that you are a teacher who thinks about the students.\It would be a shame if you are not a director of the education ministry.\Oh, no, no.\Jin Xuan.\Jin Xuan!\Jin Xuan.\Hey, Jin Xuan. response:	Also, bring this to your father.
context: that you are a teacher who thinks about the students.\It would be a shame if you are not a director of the education ministry.\Oh, no, no.\Jin Xuan.\Jin Xuan!\Jin Xuan.\Hey, Jin Xuan.\Also, bring this to your father. response:	Why are you two still here?
context: It would be a shame if you are not a director of the education ministry.\Oh, no, no.\Jin Xuan.\Jin Xuan!\Jin Xuan.\Hey, Jin Xuan.\Also, bring this to your father.\Why are you two still here? response:	Teacher, we are doing the blackboard report.
context: Oh, no, no.\Jin Xuan.\Jin Xuan!\Jin Xuan.\Hey, Jin Xuan.\Also, bring this to your father.\Why are you two still here?\Teacher, we are doing the blackboard report. response:	The blackboard report?
context: Jin Xuan.\Jin Xuan!\Jin Xuan.\Hey, Jin Xuan.\Also, bring this to your father.\Why are you two still here?\Teacher, we are doing the blackboard report.\The blackboard report? response:	Next time try doing it
context: Jin Xuan!\Jin Xuan.\Hey, Jin Xuan.\Also, bring this to your father.\Why are you two still here?\Teacher, we are doing the blackboard report.\The blackboard report?\Next time try doing it response:	while not hiding.
context: Jin Xuan.\Hey, Jin Xuan.\Also, bring this to your father.\Why are you two still here?\Teacher, we are doing the blackboard report.\The blackboard report?\Next time try doing it\while not hiding. response:	Qi Jin Xuan.
context: Hey, Jin Xuan.\Also, bring this to your father.\Why are you two still here?\Teacher, we are doing the blackboard report.\The blackboard report?\Next time try doing it\while not hiding.\Qi Jin Xuan. response:	Back off!
context: Also, bring this to your father.\Why are you two still here?\Teacher, we are doing the blackboard report.\The blackboard report?\Next time try doing it\while not hiding.\Qi Jin Xuan.\Back off! response:	Qi Jin Xuan!
context: Why are you two still here?\Teacher, we are doing the blackboard report.\The blackboard report?\Next time try doing it\while not hiding.\Qi Jin Xuan.\Back off!\Qi Jin Xuan! response:	Qi Jin Xuan!
context: Teacher, we are doing the blackboard report.\The blackboard report?\Next time try doing it\while not hiding.\Qi Jin Xuan.\Back off!\Qi Jin Xuan!\Qi Jin Xuan! response:	They will see it tomorrow, what should we do?
context: The blackboard report?\Next time try doing it\while not hiding.\Qi Jin Xuan.\Back off!\Qi Jin Xuan!\Qi Jin Xuan!\They will see it tomorrow, what should we do? response:	It doesn't matter.
context: Next time try doing it\while not hiding.\Qi Jin Xuan.\Back off!\Qi Jin Xuan!\Qi Jin Xuan!\They will see it tomorrow, what should we do?\It doesn't matter. response:	First let's think about cleaning it.
context: while not hiding.\Qi Jin Xuan.\Back off!\Qi Jin Xuan!\Qi Jin Xuan!\They will see it tomorrow, what should we do?\It doesn't matter.\First let's think about cleaning it. response:	Let me.
context: Qi Jin Xuan.\Back off!\Qi Jin Xuan!\Qi Jin Xuan!\They will see it tomorrow, what should we do?\It doesn't matter.\First let's think about cleaning it.\Let me. response:	Better leave it to me.
context: Back off!\Qi Jin Xuan!\Qi Jin Xuan!\They will see it tomorrow, what should we do?\It doesn't matter.\First let's think about cleaning it.\Let me.\Better leave it to me. response:	Now let's finish the rest.
context: Qi Jin Xuan!\Qi Jin Xuan!\They will see it tomorrow, what should we do?\It doesn't matter.\First let's think about cleaning it.\Let me.\Better leave it to me.\Now let's finish the rest. response:	Ok
context: Qi Jin Xuan!\They will see it tomorrow, what should we do?\It doesn't matter.\First let's think about cleaning it.\Let me.\Better leave it to me.\Now let's finish the rest.\Ok response:	Soda?
context: They will see it tomorrow, what should we do?\It doesn't matter.\First let's think about cleaning it.\Let me.\Better leave it to me.\Now let's finish the rest.\Ok\Soda? response:	Yes
context: It doesn't matter.\First let's think about cleaning it.\Let me.\Better leave it to me.\Now let's finish the rest.\Ok\Soda?\Yes response:	What do you want? I'll get them.
context: First let's think about cleaning it.\Let me.\Better leave it to me.\Now let's finish the rest.\Ok\Soda?\Yes\What do you want? I'll get them. response:	-Bei Bing Yang -Jian Li Bao
context: Let me.\Better leave it to me.\Now let's finish the rest.\Ok\Soda?\Yes\What do you want? I'll get them.\-Bei Bing Yang -Jian Li Bao response:	2 different brands of soda.
context: Better leave it to me.\Now let's finish the rest.\Ok\Soda?\Yes\What do you want? I'll get them.\-Bei Bing Yang -Jian Li Bao\2 different brands of soda. response:	-Then Bie Bing Yang -Jian Li Bao is fine.
context: Now let's finish the rest.\Ok\Soda?\Yes\What do you want? I'll get them.\-Bei Bing Yang -Jian Li Bao\2 different brands of soda.\-Then Bie Bing Yang -Jian Li Bao is fine. response:	Can't you have a little more coordination?
context: Ok\Soda?\Yes\What do you want? I'll get them.\-Bei Bing Yang -Jian Li Bao\2 different brands of soda.\-Then Bie Bing Yang -Jian Li Bao is fine.\Can't you have a little more coordination? response:	-Yes - No
context: Soda?\Yes\What do you want? I'll get them.\-Bei Bing Yang -Jian Li Bao\2 different brands of soda.\-Then Bie Bing Yang -Jian Li Bao is fine.\Can't you have a little more coordination?\-Yes - No response:	What do you want?
context: Yes\What do you want? I'll get them.\-Bei Bing Yang -Jian Li Bao\2 different brands of soda.\-Then Bie Bing Yang -Jian Li Bao is fine.\Can't you have a little more coordination?\-Yes - No\What do you want? response:	Cola.
context: What do you want? I'll get them.\-Bei Bing Yang -Jian Li Bao\2 different brands of soda.\-Then Bie Bing Yang -Jian Li Bao is fine.\Can't you have a little more coordination?\-Yes - No\What do you want?\Cola. response:	Say...
context: -Bei Bing Yang -Jian Li Bao\2 different brands of soda.\-Then Bie Bing Yang -Jian Li Bao is fine.\Can't you have a little more coordination?\-Yes - No\What do you want?\Cola.\Say... response:	Yes?
context: 2 different brands of soda.\-Then Bie Bing Yang -Jian Li Bao is fine.\Can't you have a little more coordination?\-Yes - No\What do you want?\Cola.\Say...\Yes? response:	How about you draw that?
context: -Then Bie Bing Yang -Jian Li Bao is fine.\Can't you have a little more coordination?\-Yes - No\What do you want?\Cola.\Say...\Yes?\How about you draw that? response:	What do you mean?
context: Can't you have a little more coordination?\-Yes - No\What do you want?\Cola.\Say...\Yes?\How about you draw that?\What do you mean? response:	Draw that on the blackboard.
context: -Yes - No\What do you want?\Cola.\Say...\Yes?\How about you draw that?\What do you mean?\Draw that on the blackboard. response:	Ah, are you sure that old Chen won't get mad?
context: What do you want?\Cola.\Say...\Yes?\How about you draw that?\What do you mean?\Draw that on the blackboard.\Ah, are you sure that old Chen won't get mad? response:	Doesn't he get angry every day?
context: Cola.\Say...\Yes?\How about you draw that?\What do you mean?\Draw that on the blackboard.\Ah, are you sure that old Chen won't get mad?\Doesn't he get angry every day? response:	He doesn't care about anything other than the final exam.
context: Say...\Yes?\How about you draw that?\What do you mean?\Draw that on the blackboard.\Ah, are you sure that old Chen won't get mad?\Doesn't he get angry every day?\He doesn't care about anything other than the final exam. response:	Speaking of that,
context: Yes?\How about you draw that?\What do you mean?\Draw that on the blackboard.\Ah, are you sure that old Chen won't get mad?\Doesn't he get angry every day?\He doesn't care about anything other than the final exam.\Speaking of that, response:	I can give you particular help.
context: How about you draw that?\What do you mean?\Draw that on the blackboard.\Ah, are you sure that old Chen won't get mad?\Doesn't he get angry every day?\He doesn't care about anything other than the final exam.\Speaking of that,\I can give you particular help. response:	Particular?
context: What do you mean?\Draw that on the blackboard.\Ah, are you sure that old Chen won't get mad?\Doesn't he get angry every day?\He doesn't care about anything other than the final exam.\Speaking of that,\I can give you particular help.\Particular? response:	No... don't waste your time.
context: Draw that on the blackboard.\Ah, are you sure that old Chen won't get mad?\Doesn't he get angry every day?\He doesn't care about anything other than the final exam.\Speaking of that,\I can give you particular help.\Particular?\No... don't waste your time. response:	Ha, another old Chen.
context: Ah, are you sure that old Chen won't get mad?\Doesn't he get angry every day?\He doesn't care about anything other than the final exam.\Speaking of that,\I can give you particular help.\Particular?\No... don't waste your time.\Ha, another old Chen. response:	Only thinking about the final exam.
context: Doesn't he get angry every day?\He doesn't care about anything other than the final exam.\Speaking of that,\I can give you particular help.\Particular?\No... don't waste your time.\Ha, another old Chen.\Only thinking about the final exam. response:	All right.
context: He doesn't care about anything other than the final exam.\Speaking of that,\I can give you particular help.\Particular?\No... don't waste your time.\Ha, another old Chen.\Only thinking about the final exam.\All right. response:	Well, I'll take you to a special place.
context: Speaking of that,\I can give you particular help.\Particular?\No... don't waste your time.\Ha, another old Chen.\Only thinking about the final exam.\All right.\Well, I'll take you to a special place. response:	The iron tower of the mountain.
context: I can give you particular help.\Particular?\No... don't waste your time.\Ha, another old Chen.\Only thinking about the final exam.\All right.\Well, I'll take you to a special place.\The iron tower of the mountain. response:	Ok
context: Particular?\No... don't waste your time.\Ha, another old Chen.\Only thinking about the final exam.\All right.\Well, I'll take you to a special place.\The iron tower of the mountain.\Ok response:	Hold on firmly.
context: No... don't waste your time.\Ha, another old Chen.\Only thinking about the final exam.\All right.\Well, I'll take you to a special place.\The iron tower of the mountain.\Ok\Hold on firmly. response:	Wow.
context: Ha, another old Chen.\Only thinking about the final exam.\All right.\Well, I'll take you to a special place.\The iron tower of the mountain.\Ok\Hold on firmly.\Wow. response:	How high we are.
context: Only thinking about the final exam.\All right.\Well, I'll take you to a special place.\The iron tower of the mountain.\Ok\Hold on firmly.\Wow.\How high we are. response:	Get up.
context: All right.\Well, I'll take you to a special place.\The iron tower of the mountain.\Ok\Hold on firmly.\Wow.\How high we are.\Get up. response:	It's my first time seeing LAN Xi from so high.
context: Well, I'll take you to a special place.\The iron tower of the mountain.\Ok\Hold on firmly.\Wow.\How high we are.\Get up.\It's my first time seeing LAN Xi from so high. response:	LAN Xi is so beautiful.
context: The iron tower of the mountain.\Ok\Hold on firmly.\Wow.\How high we are.\Get up.\It's my first time seeing LAN Xi from so high.\LAN Xi is so beautiful. response:	Look, a cloud of fire.
context: Ok\Hold on firmly.\Wow.\How high we are.\Get up.\It's my first time seeing LAN Xi from so high.\LAN Xi is so beautiful.\Look, a cloud of fire. response:	It's nice.
context: Hold on firmly.\Wow.\How high we are.\Get up.\It's my first time seeing LAN Xi from so high.\LAN Xi is so beautiful.\Look, a cloud of fire.\It's nice. response:	This is the first time I'm so close to heaven.
context: Wow.\How high we are.\Get up.\It's my first time seeing LAN Xi from so high.\LAN Xi is so beautiful.\Look, a cloud of fire.\It's nice.\This is the first time I'm so close to heaven. response:	Oh, its over.
context: How high we are.\Get up.\It's my first time seeing LAN Xi from so high.\LAN Xi is so beautiful.\Look, a cloud of fire.\It's nice.\This is the first time I'm so close to heaven.\Oh, its over. response:	Isn't it late?
context: Get up.\It's my first time seeing LAN Xi from so high.\LAN Xi is so beautiful.\Look, a cloud of fire.\It's nice.\This is the first time I'm so close to heaven.\Oh, its over.\Isn't it late? response:	When my mother comes back and doesn't find me, she's going to question me.
context: It's my first time seeing LAN Xi from so high.\LAN Xi is so beautiful.\Look, a cloud of fire.\It's nice.\This is the first time I'm so close to heaven.\Oh, its over.\Isn't it late?\When my mother comes back and doesn't find me, she's going to question me. response:	Hey, Qi Jin Xuan.
context: LAN Xi is so beautiful.\Look, a cloud of fire.\It's nice.\This is the first time I'm so close to heaven.\Oh, its over.\Isn't it late?\When my mother comes back and doesn't find me, she's going to question me.\Hey, Qi Jin Xuan. response:	I'm not sure if Yao Zhe Tian should returns alone.
context: Look, a cloud of fire.\It's nice.\This is the first time I'm so close to heaven.\Oh, its over.\Isn't it late?\When my mother comes back and doesn't find me, she's going to question me.\Hey, Qi Jin Xuan.\I'm not sure if Yao Zhe Tian should returns alone. response:	How about we accompany her home?
context: It's nice.\This is the first time I'm so close to heaven.\Oh, its over.\Isn't it late?\When my mother comes back and doesn't find me, she's going to question me.\Hey, Qi Jin Xuan.\I'm not sure if Yao Zhe Tian should returns alone.\How about we accompany her home? response:	I don't know who's not sure.
context: This is the first time I'm so close to heaven.\Oh, its over.\Isn't it late?\When my mother comes back and doesn't find me, she's going to question me.\Hey, Qi Jin Xuan.\I'm not sure if Yao Zhe Tian should returns alone.\How about we accompany her home?\I don't know who's not sure. response:	What are you talking about?
context: Oh, its over.\Isn't it late?\When my mother comes back and doesn't find me, she's going to question me.\Hey, Qi Jin Xuan.\I'm not sure if Yao Zhe Tian should returns alone.\How about we accompany her home?\I don't know who's not sure.\What are you talking about? response:	Nothing.
context: Isn't it late?\When my mother comes back and doesn't find me, she's going to question me.\Hey, Qi Jin Xuan.\I'm not sure if Yao Zhe Tian should returns alone.\How about we accompany her home?\I don't know who's not sure.\What are you talking about?\Nothing. response:	Oh, you have secrets.
context: When my mother comes back and doesn't find me, she's going to question me.\Hey, Qi Jin Xuan.\I'm not sure if Yao Zhe Tian should returns alone.\How about we accompany her home?\I don't know who's not sure.\What are you talking about?\Nothing.\Oh, you have secrets. response:	Then I'll wait for you.
context: Hey, Qi Jin Xuan.\I'm not sure if Yao Zhe Tian should returns alone.\How about we accompany her home?\I don't know who's not sure.\What are you talking about?\Nothing.\Oh, you have secrets.\Then I'll wait for you. response:	It's not like this.
context: I'm not sure if Yao Zhe Tian should returns alone.\How about we accompany her home?\I don't know who's not sure.\What are you talking about?\Nothing.\Oh, you have secrets.\Then I'll wait for you.\It's not like this. response:	I was just telling Qi Jin Xuan
context: How about we accompany her home?\I don't know who's not sure.\What are you talking about?\Nothing.\Oh, you have secrets.\Then I'll wait for you.\It's not like this.\I was just telling Qi Jin Xuan response:	that we will accompany you home.
context: I don't know who's not sure.\What are you talking about?\Nothing.\Oh, you have secrets.\Then I'll wait for you.\It's not like this.\I was just telling Qi Jin Xuan\that we will accompany you home. response:	Let's go you two.
context: What are you talking about?\Nothing.\Oh, you have secrets.\Then I'll wait for you.\It's not like this.\I was just telling Qi Jin Xuan\that we will accompany you home.\Let's go you two. response:	Right, Qi Jin Xuan?
context: Nothing.\Oh, you have secrets.\Then I'll wait for you.\It's not like this.\I was just telling Qi Jin Xuan\that we will accompany you home.\Let's go you two.\Right, Qi Jin Xuan? response:	Qi Jin Xuan.
context: Oh, you have secrets.\Then I'll wait for you.\It's not like this.\I was just telling Qi Jin Xuan\that we will accompany you home.\Let's go you two.\Right, Qi Jin Xuan?\Qi Jin Xuan. response:	All right.
context: Then I'll wait for you.\It's not like this.\I was just telling Qi Jin Xuan\that we will accompany you home.\Let's go you two.\Right, Qi Jin Xuan?\Qi Jin Xuan.\All right. response:	Hey Yao Zhe Tian? What university are you going to go to?
context: It's not like this.\I was just telling Qi Jin Xuan\that we will accompany you home.\Let's go you two.\Right, Qi Jin Xuan?\Qi Jin Xuan.\All right.\Hey Yao Zhe Tian? What university are you going to go to? response:	I don't know.
context: I was just telling Qi Jin Xuan\that we will accompany you home.\Let's go you two.\Right, Qi Jin Xuan?\Qi Jin Xuan.\All right.\Hey Yao Zhe Tian? What university are you going to go to?\I don't know. response:	Maybe I'll go to a trade school.
context: that we will accompany you home.\Let's go you two.\Right, Qi Jin Xuan?\Qi Jin Xuan.\All right.\Hey Yao Zhe Tian? What university are you going to go to?\I don't know.\Maybe I'll go to a trade school. response:	Or maybe one for math or doctor.
context: Let's go you two.\Right, Qi Jin Xuan?\Qi Jin Xuan.\All right.\Hey Yao Zhe Tian? What university are you going to go to?\I don't know.\Maybe I'll go to a trade school.\Or maybe one for math or doctor. response:	Since I don't know much.
context: Right, Qi Jin Xuan?\Qi Jin Xuan.\All right.\Hey Yao Zhe Tian? What university are you going to go to?\I don't know.\Maybe I'll go to a trade school.\Or maybe one for math or doctor.\Since I don't know much. response:	Any place is strange to me.
context: Qi Jin Xuan.\All right.\Hey Yao Zhe Tian? What university are you going to go to?\I don't know.\Maybe I'll go to a trade school.\Or maybe one for math or doctor.\Since I don't know much.\Any place is strange to me. response:	So many universities that you can choose.
context: All right.\Hey Yao Zhe Tian? What university are you going to go to?\I don't know.\Maybe I'll go to a trade school.\Or maybe one for math or doctor.\Since I don't know much.\Any place is strange to me.\So many universities that you can choose. response:	Is there none that you like?
context: Hey Yao Zhe Tian? What university are you going to go to?\I don't know.\Maybe I'll go to a trade school.\Or maybe one for math or doctor.\Since I don't know much.\Any place is strange to me.\So many universities that you can choose.\Is there none that you like? response:	I don't know these universities.
context: I don't know.\Maybe I'll go to a trade school.\Or maybe one for math or doctor.\Since I don't know much.\Any place is strange to me.\So many universities that you can choose.\Is there none that you like?\I don't know these universities. response:	How will I know if I like them or not?
context: Maybe I'll go to a trade school.\Or maybe one for math or doctor.\Since I don't know much.\Any place is strange to me.\So many universities that you can choose.\Is there none that you like?\I don't know these universities.\How will I know if I like them or not? response:	My parents said that
context: Or maybe one for math or doctor.\Since I don't know much.\Any place is strange to me.\So many universities that you can choose.\Is there none that you like?\I don't know these universities.\How will I know if I like them or not?\My parents said that response:	If your grades are high
context: Since I don't know much.\Any place is strange to me.\So many universities that you can choose.\Is there none that you like?\I don't know these universities.\How will I know if I like them or not?\My parents said that\If your grades are high response:	then you can go to the best universities.
context: Any place is strange to me.\So many universities that you can choose.\Is there none that you like?\I don't know these universities.\How will I know if I like them or not?\My parents said that\If your grades are high\then you can go to the best universities. response:	And as to which one,
context: So many universities that you can choose.\Is there none that you like?\I don't know these universities.\How will I know if I like them or not?\My parents said that\If your grades are high\then you can go to the best universities.\And as to which one, response:	We
context: Is there none that you like?\I don't know these universities.\How will I know if I like them or not?\My parents said that\If your grades are high\then you can go to the best universities.\And as to which one,\We response:	we will get well organized.
context: I don't know these universities.\How will I know if I like them or not?\My parents said that\If your grades are high\then you can go to the best universities.\And as to which one,\We\we will get well organized. response:	Why are you worrying?
context: How will I know if I like them or not?\My parents said that\If your grades are high\then you can go to the best universities.\And as to which one,\We\we will get well organized.\Why are you worrying? response:	Tian Tian.
context: My parents said that\If your grades are high\then you can go to the best universities.\And as to which one,\We\we will get well organized.\Why are you worrying?\Tian Tian. response:	Mother.
context: If your grades are high\then you can go to the best universities.\And as to which one,\We\we will get well organized.\Why are you worrying?\Tian Tian.\Mother. response:	Mother.
context: then you can go to the best universities.\And as to which one,\We\we will get well organized.\Why are you worrying?\Tian Tian.\Mother.\Mother. response:	Why are you here?
context: And as to which one,\We\we will get well organized.\Why are you worrying?\Tian Tian.\Mother.\Mother.\Why are you here? response:	They are my training partners.
context: We\we will get well organized.\Why are you worrying?\Tian Tian.\Mother.\Mother.\Why are you here?\They are my training partners. response:	Hello, miss.
context: we will get well organized.\Why are you worrying?\Tian Tian.\Mother.\Mother.\Why are you here?\They are my training partners.\Hello, miss. response:	Mother.
context: Why are you worrying?\Tian Tian.\Mother.\Mother.\Why are you here?\They are my training partners.\Hello, miss.\Mother. response:	Where's dad?
context: Tian Tian.\Mother.\Mother.\Why are you here?\They are my training partners.\Hello, miss.\Mother.\Where's dad? response:	In his class a couple of students did something bad
context: Mother.\Mother.\Why are you here?\They are my training partners.\Hello, miss.\Mother.\Where's dad?\In his class a couple of students did something bad response:	so he went to fix the problem.
context: Mother.\Why are you here?\They are my training partners.\Hello, miss.\Mother.\Where's dad?\In his class a couple of students did something bad\so he went to fix the problem. response:	Look at what children do now...
context: Why are you here?\They are my training partners.\Hello, miss.\Mother.\Where's dad?\In his class a couple of students did something bad\so he went to fix the problem.\Look at what children do now... response:	They don't study anymore.
context: They are my training partners.\Hello, miss.\Mother.\Where's dad?\In his class a couple of students did something bad\so he went to fix the problem.\Look at what children do now...\They don't study anymore. response:	We don't known what they are thinking.
context: Hello, miss.\Mother.\Where's dad?\In his class a couple of students did something bad\so he went to fix the problem.\Look at what children do now...\They don't study anymore.\We don't known what they are thinking. response:	It's already getting late.
context: Mother.\Where's dad?\In his class a couple of students did something bad\so he went to fix the problem.\Look at what children do now...\They don't study anymore.\We don't known what they are thinking.\It's already getting late. response:	They...
context: Where's dad?\In his class a couple of students did something bad\so he went to fix the problem.\Look at what children do now...\They don't study anymore.\We don't known what they are thinking.\It's already getting late.\They... response:	They just accompanied me home on the way.
context: In his class a couple of students did something bad\so he went to fix the problem.\Look at what children do now...\They don't study anymore.\We don't known what they are thinking.\It's already getting late.\They...\They just accompanied me home on the way. response:	Ah, yes yes.
context: so he went to fix the problem.\Look at what children do now...\They don't study anymore.\We don't known what they are thinking.\It's already getting late.\They...\They just accompanied me home on the way.\Ah, yes yes. response:	Miss, you don't need to thank us,
context: Look at what children do now...\They don't study anymore.\We don't known what they are thinking.\It's already getting late.\They...\They just accompanied me home on the way.\Ah, yes yes.\Miss, you don't need to thank us, response:	We were just passing by.
context: They don't study anymore.\We don't known what they are thinking.\It's already getting late.\They...\They just accompanied me home on the way.\Ah, yes yes.\Miss, you don't need to thank us,\We were just passing by. response:	I was forgetting to thank you.
context: We don't known what they are thinking.\It's already getting late.\They...\They just accompanied me home on the way.\Ah, yes yes.\Miss, you don't need to thank us,\We were just passing by.\I was forgetting to thank you. response:	Hey? Are you also in her dance class?
context: It's already getting late.\They...\They just accompanied me home on the way.\Ah, yes yes.\Miss, you don't need to thank us,\We were just passing by.\I was forgetting to thank you.\Hey? Are you also in her dance class? response:	We dance Yang Ge.
context: They...\They just accompanied me home on the way.\Ah, yes yes.\Miss, you don't need to thank us,\We were just passing by.\I was forgetting to thank you.\Hey? Are you also in her dance class?\We dance Yang Ge. response:	Hehehe
context: They just accompanied me home on the way.\Ah, yes yes.\Miss, you don't need to thank us,\We were just passing by.\I was forgetting to thank you.\Hey? Are you also in her dance class?\We dance Yang Ge.\Hehehe response:	Miss, it's getting late.
context: Ah, yes yes.\Miss, you don't need to thank us,\We were just passing by.\I was forgetting to thank you.\Hey? Are you also in her dance class?\We dance Yang Ge.\Hehehe\Miss, it's getting late. response:	We are leaving.
context: Miss, you don't need to thank us,\We were just passing by.\I was forgetting to thank you.\Hey? Are you also in her dance class?\We dance Yang Ge.\Hehehe\Miss, it's getting late.\We are leaving. response:	Goodbye Miss.
context: We were just passing by.\I was forgetting to thank you.\Hey? Are you also in her dance class?\We dance Yang Ge.\Hehehe\Miss, it's getting late.\We are leaving.\Goodbye Miss. response:	Go Go.
context: I was forgetting to thank you.\Hey? Are you also in her dance class?\We dance Yang Ge.\Hehehe\Miss, it's getting late.\We are leaving.\Goodbye Miss.\Go Go. response:	Didn't you say it was just in your way?
context: Hey? Are you also in her dance class?\We dance Yang Ge.\Hehehe\Miss, it's getting late.\We are leaving.\Goodbye Miss.\Go Go.\Didn't you say it was just in your way? response:	This...
context: We dance Yang Ge.\Hehehe\Miss, it's getting late.\We are leaving.\Goodbye Miss.\Go Go.\Didn't you say it was just in your way?\This... response:	Miss, it was this way...
context: Hehehe\Miss, it's getting late.\We are leaving.\Goodbye Miss.\Go Go.\Didn't you say it was just in your way?\This...\Miss, it was this way... response:	Here...
context: Miss, it's getting late.\We are leaving.\Goodbye Miss.\Go Go.\Didn't you say it was just in your way?\This...\Miss, it was this way...\Here... response:	Goodbye Miss.
context: We are leaving.\Goodbye Miss.\Go Go.\Didn't you say it was just in your way?\This...\Miss, it was this way...\Here...\Goodbye Miss. response:	They dance that...
context: Goodbye Miss.\Go Go.\Didn't you say it was just in your way?\This...\Miss, it was this way...\Here...\Goodbye Miss.\They dance that... response:	They're also adding points.
context: Go Go.\Didn't you say it was just in your way?\This...\Miss, it was this way...\Here...\Goodbye Miss.\They dance that...\They're also adding points. response:	It would be nice if we could look up some information about universities for Yao Zhe Tian.
context: Didn't you say it was just in your way?\This...\Miss, it was this way...\Here...\Goodbye Miss.\They dance that...\They're also adding points.\It would be nice if we could look up some information about universities for Yao Zhe Tian. response:	Tian Tian, the magazine that you like to read, I already ordered it for the whole year.
context: This...\Miss, it was this way...\Here...\Goodbye Miss.\They dance that...\They're also adding points.\It would be nice if we could look up some information about universities for Yao Zhe Tian.\Tian Tian, the magazine that you like to read, I already ordered it for the whole year. response:	Tian Tian.
context: Miss, it was this way...\Here...\Goodbye Miss.\They dance that...\They're also adding points.\It would be nice if we could look up some information about universities for Yao Zhe Tian.\Tian Tian, the magazine that you like to read, I already ordered it for the whole year.\Tian Tian. response:	Oh, I'm coming.
context: Here...\Goodbye Miss.\They dance that...\They're also adding points.\It would be nice if we could look up some information about universities for Yao Zhe Tian.\Tian Tian, the magazine that you like to read, I already ordered it for the whole year.\Tian Tian.\Oh, I'm coming. response:	Get over yourself and don't give up!!
