context: Gray! response:	If you've really betrayed Fairy Tail, then you must have some reason!
context: Gray... What could it be?\I will do all that I can.\You deal with Gray, okay?\Aye, sir!\And you take care of Natsu,'kay?\Your word as a Man!\Leave him to me.\Stop! response:	That thing again?
context: I will do all that I can.\You deal with Gray, okay?\Aye, sir!\And you take care of Natsu,'kay?\Your word as a Man!\Leave him to me.\Stop!\That thing again? response:	His name is Lizardman.
context: You deal with Gray, okay?\Aye, sir!\And you take care of Natsu,'kay?\Your word as a Man!\Leave him to me.\Stop!\That thing again?\His name is Lizardman. response:	Requip!
context: Aye, sir!\And you take care of Natsu,'kay?\Your word as a Man!\Leave him to me.\Stop!\That thing again?\His name is Lizardman.\Requip! response:	An artificial creature that mimics people's attributes?
context: And you take care of Natsu,'kay?\Your word as a Man!\Leave him to me.\Stop!\That thing again?\His name is Lizardman.\Requip!\An artificial creature that mimics people's attributes? response:	Even if you have the same attributes as I, you don't carry the same burdens!
context: Your word as a Man!\Leave him to me.\Stop!\That thing again?\His name is Lizardman.\Requip!\An artificial creature that mimics people's attributes?\Even if you have the same attributes as I, you don't carry the same burdens! response:	Yes-yes... Good for you.
context: Leave him to me.\Stop!\That thing again?\His name is Lizardman.\Requip!\An artificial creature that mimics people's attributes?\Even if you have the same attributes as I, you don't carry the same burdens!\Yes-yes... Good for you. response:	But how about this?
context: Stop!\That thing again?\His name is Lizardman.\Requip!\An artificial creature that mimics people's attributes?\Even if you have the same attributes as I, you don't carry the same burdens!\Yes-yes... Good for you.\But how about this? response:	I've made sure to take careful records of the previous battle's data.
context: That thing again?\His name is Lizardman.\Requip!\An artificial creature that mimics people's attributes?\Even if you have the same attributes as I, you don't carry the same burdens!\Yes-yes... Good for you.\But how about this?\I've made sure to take careful records of the previous battle's data. response:	You'll soon find out the power of my Lizardmen v. 2.5!
context: His name is Lizardman.\Requip!\An artificial creature that mimics people's attributes?\Even if you have the same attributes as I, you don't carry the same burdens!\Yes-yes... Good for you.\But how about this?\I've made sure to take careful records of the previous battle's data.\You'll soon find out the power of my Lizardmen v. 2.5! response:	Titania... Erza Scarlet!
context: Requip!\An artificial creature that mimics people's attributes?\Even if you have the same attributes as I, you don't carry the same burdens!\Yes-yes... Good for you.\But how about this?\I've made sure to take careful records of the previous battle's data.\You'll soon find out the power of my Lizardmen v. 2.5!\Titania... Erza Scarlet! response:	What the hell?
context: An artificial creature that mimics people's attributes?\Even if you have the same attributes as I, you don't carry the same burdens!\Yes-yes... Good for you.\But how about this?\I've made sure to take careful records of the previous battle's data.\You'll soon find out the power of my Lizardmen v. 2.5!\Titania... Erza Scarlet!\What the hell? response:	Everyone okay?
context: Even if you have the same attributes as I, you don't carry the same burdens!\Yes-yes... Good for you.\But how about this?\I've made sure to take careful records of the previous battle's data.\You'll soon find out the power of my Lizardmen v. 2.5!\Titania... Erza Scarlet!\What the hell?\Everyone okay? response:	Yeah, somehow.
context: Yes-yes... Good for you.\But how about this?\I've made sure to take careful records of the previous battle's data.\You'll soon find out the power of my Lizardmen v. 2.5!\Titania... Erza Scarlet!\What the hell?\Everyone okay?\Yeah, somehow. response:	I see. These are the spiky fellows Erza talked about.
context: But how about this?\I've made sure to take careful records of the previous battle's data.\You'll soon find out the power of my Lizardmen v. 2.5!\Titania... Erza Scarlet!\What the hell?\Everyone okay?\Yeah, somehow.\I see. These are the spiky fellows Erza talked about. response:	Came to take Gray back, have we?
context: I've made sure to take careful records of the previous battle's data.\You'll soon find out the power of my Lizardmen v. 2.5!\Titania... Erza Scarlet!\What the hell?\Everyone okay?\Yeah, somehow.\I see. These are the spiky fellows Erza talked about.\Came to take Gray back, have we? response:	Looks more like they're here to wipe us all out!
context: You'll soon find out the power of my Lizardmen v. 2.5!\Titania... Erza Scarlet!\What the hell?\Everyone okay?\Yeah, somehow.\I see. These are the spiky fellows Erza talked about.\Came to take Gray back, have we?\Looks more like they're here to wipe us all out! response:	A Man will repel the enemy!
context: Titania... Erza Scarlet!\What the hell?\Everyone okay?\Yeah, somehow.\I see. These are the spiky fellows Erza talked about.\Came to take Gray back, have we?\Looks more like they're here to wipe us all out!\A Man will repel the enemy! response:	This'll be fun!
context: What the hell?\Everyone okay?\Yeah, somehow.\I see. These are the spiky fellows Erza talked about.\Came to take Gray back, have we?\Looks more like they're here to wipe us all out!\A Man will repel the enemy!\This'll be fun! response:	Let's rumble!
context: Everyone okay?\Yeah, somehow.\I see. These are the spiky fellows Erza talked about.\Came to take Gray back, have we?\Looks more like they're here to wipe us all out!\A Man will repel the enemy!\This'll be fun!\Let's rumble! response:	Here I come!
context: Yeah, somehow.\I see. These are the spiky fellows Erza talked about.\Came to take Gray back, have we?\Looks more like they're here to wipe us all out!\A Man will repel the enemy!\This'll be fun!\Let's rumble!\Here I come! response:	Man!
context: I see. These are the spiky fellows Erza talked about.\Came to take Gray back, have we?\Looks more like they're here to wipe us all out!\A Man will repel the enemy!\This'll be fun!\Let's rumble!\Here I come!\Man! response:	Don't panic! Take shelter in Fairy Tail!
context: Came to take Gray back, have we?\Looks more like they're here to wipe us all out!\A Man will repel the enemy!\This'll be fun!\Let's rumble!\Here I come!\Man!\Don't panic! Take shelter in Fairy Tail! response:	Everyone! This way!
context: Looks more like they're here to wipe us all out!\A Man will repel the enemy!\This'll be fun!\Let's rumble!\Here I come!\Man!\Don't panic! Take shelter in Fairy Tail!\Everyone! This way! response:	So that's the Dragon-thing that Lucy mentioned?
context: A Man will repel the enemy!\This'll be fun!\Let's rumble!\Here I come!\Man!\Don't panic! Take shelter in Fairy Tail!\Everyone! This way!\So that's the Dragon-thing that Lucy mentioned? response:	The city's gonna be destroyed at this rate!
context: This'll be fun!\Let's rumble!\Here I come!\Man!\Don't panic! Take shelter in Fairy Tail!\Everyone! This way!\So that's the Dragon-thing that Lucy mentioned?\The city's gonna be destroyed at this rate! response:	We can't guarantee that the guild will be safe, either...
context: Let's rumble!\Here I come!\Man!\Don't panic! Take shelter in Fairy Tail!\Everyone! This way!\So that's the Dragon-thing that Lucy mentioned?\The city's gonna be destroyed at this rate!\We can't guarantee that the guild will be safe, either... response:	Does the master know about this?
context: Here I come!\Man!\Don't panic! Take shelter in Fairy Tail!\Everyone! This way!\So that's the Dragon-thing that Lucy mentioned?\The city's gonna be destroyed at this rate!\We can't guarantee that the guild will be safe, either...\Does the master know about this? response:	He went to gather everyone from the guild.
context: Man!\Don't panic! Take shelter in Fairy Tail!\Everyone! This way!\So that's the Dragon-thing that Lucy mentioned?\The city's gonna be destroyed at this rate!\We can't guarantee that the guild will be safe, either...\Does the master know about this?\He went to gather everyone from the guild. response:	The bunch that went to capture Gray ain't come back either!
context: Don't panic! Take shelter in Fairy Tail!\Everyone! This way!\So that's the Dragon-thing that Lucy mentioned?\The city's gonna be destroyed at this rate!\We can't guarantee that the guild will be safe, either...\Does the master know about this?\He went to gather everyone from the guild.\The bunch that went to capture Gray ain't come back either! response:	What the heck is going on?
context: Everyone! This way!\So that's the Dragon-thing that Lucy mentioned?\The city's gonna be destroyed at this rate!\We can't guarantee that the guild will be safe, either...\Does the master know about this?\He went to gather everyone from the guild.\The bunch that went to capture Gray ain't come back either!\What the heck is going on? response:	Elfman...
context: So that's the Dragon-thing that Lucy mentioned?\The city's gonna be destroyed at this rate!\We can't guarantee that the guild will be safe, either...\Does the master know about this?\He went to gather everyone from the guild.\The bunch that went to capture Gray ain't come back either!\What the heck is going on?\Elfman... response:	Man, what a hard head!
context: The city's gonna be destroyed at this rate!\We can't guarantee that the guild will be safe, either...\Does the master know about this?\He went to gather everyone from the guild.\The bunch that went to capture Gray ain't come back either!\What the heck is going on?\Elfman...\Man, what a hard head! response:	Beast Arm... Iron Bull!
context: We can't guarantee that the guild will be safe, either...\Does the master know about this?\He went to gather everyone from the guild.\The bunch that went to capture Gray ain't come back either!\What the heck is going on?\Elfman...\Man, what a hard head!\Beast Arm... Iron Bull! response:	Smoke Rush!
context: Does the master know about this?\He went to gather everyone from the guild.\The bunch that went to capture Gray ain't come back either!\What the heck is going on?\Elfman...\Man, what a hard head!\Beast Arm... Iron Bull!\Smoke Rush! response:	That's a Smoke Fake?
context: He went to gather everyone from the guild.\The bunch that went to capture Gray ain't come back either!\What the heck is going on?\Elfman...\Man, what a hard head!\Beast Arm... Iron Bull!\Smoke Rush!\That's a Smoke Fake? response:	That's my magic!
context: The bunch that went to capture Gray ain't come back either!\What the heck is going on?\Elfman...\Man, what a hard head!\Beast Arm... Iron Bull!\Smoke Rush!\That's a Smoke Fake?\That's my magic! response:	Damn it... I've lost my touch... I'm sorry.
context: What the heck is going on?\Elfman...\Man, what a hard head!\Beast Arm... Iron Bull!\Smoke Rush!\That's a Smoke Fake?\That's my magic!\Damn it... I've lost my touch... I'm sorry. response:	Wakaba!
context: Elfman...\Man, what a hard head!\Beast Arm... Iron Bull!\Smoke Rush!\That's a Smoke Fake?\That's my magic!\Damn it... I've lost my touch... I'm sorry.\Wakaba! response:	You're not gettin' him back!
context: Man, what a hard head!\Beast Arm... Iron Bull!\Smoke Rush!\That's a Smoke Fake?\That's my magic!\Damn it... I've lost my touch... I'm sorry.\Wakaba!\You're not gettin' him back! response:	He's heavy...
context: Beast Arm... Iron Bull!\Smoke Rush!\That's a Smoke Fake?\That's my magic!\Damn it... I've lost my touch... I'm sorry.\Wakaba!\You're not gettin' him back!\He's heavy... response:	Damn it all... Were you really working with them behind the scenes, Gray?
context: Smoke Rush!\That's a Smoke Fake?\That's my magic!\Damn it... I've lost my touch... I'm sorry.\Wakaba!\You're not gettin' him back!\He's heavy...\Damn it all... Were you really working with them behind the scenes, Gray? response:	I've been saved by Natsu countless times...
context: That's a Smoke Fake?\That's my magic!\Damn it... I've lost my touch... I'm sorry.\Wakaba!\You're not gettin' him back!\He's heavy...\Damn it all... Were you really working with them behind the scenes, Gray?\I've been saved by Natsu countless times... response:	When I screwed up on a job...
context: That's my magic!\Damn it... I've lost my touch... I'm sorry.\Wakaba!\You're not gettin' him back!\He's heavy...\Damn it all... Were you really working with them behind the scenes, Gray?\I've been saved by Natsu countless times...\When I screwed up on a job... response:	Ever since he was a kid, he had a smart mouth,
context: Damn it... I've lost my touch... I'm sorry.\Wakaba!\You're not gettin' him back!\He's heavy...\Damn it all... Were you really working with them behind the scenes, Gray?\I've been saved by Natsu countless times...\When I screwed up on a job...\Ever since he was a kid, he had a smart mouth, response:	and never thought about consequences to his actions.
context: Wakaba!\You're not gettin' him back!\He's heavy...\Damn it all... Were you really working with them behind the scenes, Gray?\I've been saved by Natsu countless times...\When I screwed up on a job...\Ever since he was a kid, he had a smart mouth,\and never thought about consequences to his actions. response:	But...
context: You're not gettin' him back!\He's heavy...\Damn it all... Were you really working with them behind the scenes, Gray?\I've been saved by Natsu countless times...\When I screwed up on a job...\Ever since he was a kid, he had a smart mouth,\and never thought about consequences to his actions.\But... response:	But... Even so...
context: He's heavy...\Damn it all... Were you really working with them behind the scenes, Gray?\I've been saved by Natsu countless times...\When I screwed up on a job...\Ever since he was a kid, he had a smart mouth,\and never thought about consequences to his actions.\But...\But... Even so... response:	For shame, Gray...
context: Damn it all... Were you really working with them behind the scenes, Gray?\I've been saved by Natsu countless times...\When I screwed up on a job...\Ever since he was a kid, he had a smart mouth,\and never thought about consequences to his actions.\But...\But... Even so...\For shame, Gray... response:	For a Man, what matters is how he takes responsibility!
context: I've been saved by Natsu countless times...\When I screwed up on a job...\Ever since he was a kid, he had a smart mouth,\and never thought about consequences to his actions.\But...\But... Even so...\For shame, Gray...\For a Man, what matters is how he takes responsibility! response:	And I'll see to it that Gray takes responsibility for this!
context: When I screwed up on a job...\Ever since he was a kid, he had a smart mouth,\and never thought about consequences to his actions.\But...\But... Even so...\For shame, Gray...\For a Man, what matters is how he takes responsibility!\And I'll see to it that Gray takes responsibility for this! response:	Take Over: Beast Soul!
context: Ever since he was a kid, he had a smart mouth,\and never thought about consequences to his actions.\But...\But... Even so...\For shame, Gray...\For a Man, what matters is how he takes responsibility!\And I'll see to it that Gray takes responsibility for this!\Take Over: Beast Soul! response:	Yes-yes-yes...
context: and never thought about consequences to his actions.\But...\But... Even so...\For shame, Gray...\For a Man, what matters is how he takes responsibility!\And I'll see to it that Gray takes responsibility for this!\Take Over: Beast Soul!\Yes-yes-yes... response:	What a beautiful city.
context: But...\But... Even so...\For shame, Gray...\For a Man, what matters is how he takes responsibility!\And I'll see to it that Gray takes responsibility for this!\Take Over: Beast Soul!\Yes-yes-yes...\What a beautiful city. response:	I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!
context: But... Even so...\For shame, Gray...\For a Man, what matters is how he takes responsibility!\And I'll see to it that Gray takes responsibility for this!\Take Over: Beast Soul!\Yes-yes-yes...\What a beautiful city.\I'm getting chills up my spine just thinking about how fun it'll be to pulverize it! response:	So sit there in your box seat and watch the fireworks!
context: For shame, Gray...\For a Man, what matters is how he takes responsibility!\And I'll see to it that Gray takes responsibility for this!\Take Over: Beast Soul!\Yes-yes-yes...\What a beautiful city.\I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!\So sit there in your box seat and watch the fireworks! response:	Assuming you even have the strength to do that...
context: For a Man, what matters is how he takes responsibility!\And I'll see to it that Gray takes responsibility for this!\Take Over: Beast Soul!\Yes-yes-yes...\What a beautiful city.\I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!\So sit there in your box seat and watch the fireworks!\Assuming you even have the strength to do that... response:	Damn it... I can't move...
context: And I'll see to it that Gray takes responsibility for this!\Take Over: Beast Soul!\Yes-yes-yes...\What a beautiful city.\I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!\So sit there in your box seat and watch the fireworks!\Assuming you even have the strength to do that...\Damn it... I can't move... response:	Natsu... Natsu, the Dragon Slayer...
context: Take Over: Beast Soul!\Yes-yes-yes...\What a beautiful city.\I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!\So sit there in your box seat and watch the fireworks!\Assuming you even have the strength to do that...\Damn it... I can't move...\Natsu... Natsu, the Dragon Slayer... response:	That voice...
context: Yes-yes-yes...\What a beautiful city.\I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!\So sit there in your box seat and watch the fireworks!\Assuming you even have the strength to do that...\Damn it... I can't move...\Natsu... Natsu, the Dragon Slayer...\That voice... response:	I know I've heard it somewhere...
context: What a beautiful city.\I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!\So sit there in your box seat and watch the fireworks!\Assuming you even have the strength to do that...\Damn it... I can't move...\Natsu... Natsu, the Dragon Slayer...\That voice...\I know I've heard it somewhere... response:	Young man.
context: I'm getting chills up my spine just thinking about how fun it'll be to pulverize it!\So sit there in your box seat and watch the fireworks!\Assuming you even have the strength to do that...\Damn it... I can't move...\Natsu... Natsu, the Dragon Slayer...\That voice...\I know I've heard it somewhere...\Young man. response:	Huh? The pot's talking?
context: So sit there in your box seat and watch the fireworks!\Assuming you even have the strength to do that...\Damn it... I can't move...\Natsu... Natsu, the Dragon Slayer...\That voice...\I know I've heard it somewhere...\Young man.\Huh? The pot's talking? response:	We are the people who live in this city.
context: Assuming you even have the strength to do that...\Damn it... I can't move...\Natsu... Natsu, the Dragon Slayer...\That voice...\I know I've heard it somewhere...\Young man.\Huh? The pot's talking?\We are the people who live in this city. response:	How do you do?
context: Damn it... I can't move...\Natsu... Natsu, the Dragon Slayer...\That voice...\I know I've heard it somewhere...\Young man.\Huh? The pot's talking?\We are the people who live in this city.\How do you do? response:	You're just a shadow!
context: Natsu... Natsu, the Dragon Slayer...\That voice...\I know I've heard it somewhere...\Young man.\Huh? The pot's talking?\We are the people who live in this city.\How do you do?\You're just a shadow! response:	No, no...
context: That voice...\I know I've heard it somewhere...\Young man.\Huh? The pot's talking?\We are the people who live in this city.\How do you do?\You're just a shadow!\No, no... response:	Because of a magic called Hidden, you can't see our bodies anymore!
context: I know I've heard it somewhere...\Young man.\Huh? The pot's talking?\We are the people who live in this city.\How do you do?\You're just a shadow!\No, no...\Because of a magic called Hidden, you can't see our bodies anymore! response:	Huh? I don't get it.
context: Young man.\Huh? The pot's talking?\We are the people who live in this city.\How do you do?\You're just a shadow!\No, no...\Because of a magic called Hidden, you can't see our bodies anymore!\Huh? I don't get it. response:	Then just undo the magic, right?
context: Huh? The pot's talking?\We are the people who live in this city.\How do you do?\You're just a shadow!\No, no...\Because of a magic called Hidden, you can't see our bodies anymore!\Huh? I don't get it.\Then just undo the magic, right? response:	We called out to you because we can't do that.
context: We are the people who live in this city.\How do you do?\You're just a shadow!\No, no...\Because of a magic called Hidden, you can't see our bodies anymore!\Huh? I don't get it.\Then just undo the magic, right?\We called out to you because we can't do that. response:	Who are you?
context: How do you do?\You're just a shadow!\No, no...\Because of a magic called Hidden, you can't see our bodies anymore!\Huh? I don't get it.\Then just undo the magic, right?\We called out to you because we can't do that.\Who are you? response:	Me?
context: You're just a shadow!\No, no...\Because of a magic called Hidden, you can't see our bodies anymore!\Huh? I don't get it.\Then just undo the magic, right?\We called out to you because we can't do that.\Who are you?\Me? response:	I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!
context: No, no...\Because of a magic called Hidden, you can't see our bodies anymore!\Huh? I don't get it.\Then just undo the magic, right?\We called out to you because we can't do that.\Who are you?\Me?\I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu! response:	What?! A Dragon Slayer? Seriously?
context: Because of a magic called Hidden, you can't see our bodies anymore!\Huh? I don't get it.\Then just undo the magic, right?\We called out to you because we can't do that.\Who are you?\Me?\I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!\What?! A Dragon Slayer? Seriously? response:	I ain't gonna lie.
context: Huh? I don't get it.\Then just undo the magic, right?\We called out to you because we can't do that.\Who are you?\Me?\I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!\What?! A Dragon Slayer? Seriously?\I ain't gonna lie. response:	And you don't have to be that surprised.
context: Then just undo the magic, right?\We called out to you because we can't do that.\Who are you?\Me?\I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!\What?! A Dragon Slayer? Seriously?\I ain't gonna lie.\And you don't have to be that surprised. response:	Natsu... Natsu, the Dragon Slayer.
context: We called out to you because we can't do that.\Who are you?\Me?\I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!\What?! A Dragon Slayer? Seriously?\I ain't gonna lie.\And you don't have to be that surprised.\Natsu... Natsu, the Dragon Slayer. response:	Please, rid us of this magic curse!
context: Who are you?\Me?\I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!\What?! A Dragon Slayer? Seriously?\I ain't gonna lie.\And you don't have to be that surprised.\Natsu... Natsu, the Dragon Slayer.\Please, rid us of this magic curse! response:	Sure, I guess...
context: Me?\I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!\What?! A Dragon Slayer? Seriously?\I ain't gonna lie.\And you don't have to be that surprised.\Natsu... Natsu, the Dragon Slayer.\Please, rid us of this magic curse!\Sure, I guess... response:	What should I do?
context: I'm a Fairy Tail Wizard! I'm the Dragon Slayer, Natsu!\What?! A Dragon Slayer? Seriously?\I ain't gonna lie.\And you don't have to be that surprised.\Natsu... Natsu, the Dragon Slayer.\Please, rid us of this magic curse!\Sure, I guess...\What should I do? response:	Like destroy the wall?
context: What?! A Dragon Slayer? Seriously?\I ain't gonna lie.\And you don't have to be that surprised.\Natsu... Natsu, the Dragon Slayer.\Please, rid us of this magic curse!\Sure, I guess...\What should I do?\Like destroy the wall? response:	No. You must defeat the one who controls dragons.
context: I ain't gonna lie.\And you don't have to be that surprised.\Natsu... Natsu, the Dragon Slayer.\Please, rid us of this magic curse!\Sure, I guess...\What should I do?\Like destroy the wall?\No. You must defeat the one who controls dragons. response:	Huh? What are you blabbing about?
context: And you don't have to be that surprised.\Natsu... Natsu, the Dragon Slayer.\Please, rid us of this magic curse!\Sure, I guess...\What should I do?\Like destroy the wall?\No. You must defeat the one who controls dragons.\Huh? What are you blabbing about? response:	No one can control a dragon! Are you nuts?
context: Natsu... Natsu, the Dragon Slayer.\Please, rid us of this magic curse!\Sure, I guess...\What should I do?\Like destroy the wall?\No. You must defeat the one who controls dragons.\Huh? What are you blabbing about?\No one can control a dragon! Are you nuts? response:	But if there is someone like that, I'll beat'em.
context: Please, rid us of this magic curse!\Sure, I guess...\What should I do?\Like destroy the wall?\No. You must defeat the one who controls dragons.\Huh? What are you blabbing about?\No one can control a dragon! Are you nuts?\But if there is someone like that, I'll beat'em. response:	Will you promise?
context: Sure, I guess...\What should I do?\Like destroy the wall?\No. You must defeat the one who controls dragons.\Huh? What are you blabbing about?\No one can control a dragon! Are you nuts?\But if there is someone like that, I'll beat'em.\Will you promise? response:	Yeah. It's a promise.
context: What should I do?\Like destroy the wall?\No. You must defeat the one who controls dragons.\Huh? What are you blabbing about?\No one can control a dragon! Are you nuts?\But if there is someone like that, I'll beat'em.\Will you promise?\Yeah. It's a promise. response:	Then, we'll wait.
context: Like destroy the wall?\No. You must defeat the one who controls dragons.\Huh? What are you blabbing about?\No one can control a dragon! Are you nuts?\But if there is someone like that, I'll beat'em.\Will you promise?\Yeah. It's a promise.\Then, we'll wait. response:	We will place our hopes with you.
context: No. You must defeat the one who controls dragons.\Huh? What are you blabbing about?\No one can control a dragon! Are you nuts?\But if there is someone like that, I'll beat'em.\Will you promise?\Yeah. It's a promise.\Then, we'll wait.\We will place our hopes with you. response:	We will always be waiting...
context: Huh? What are you blabbing about?\No one can control a dragon! Are you nuts?\But if there is someone like that, I'll beat'em.\Will you promise?\Yeah. It's a promise.\Then, we'll wait.\We will place our hopes with you.\We will always be waiting... response:	Huh?
context: No one can control a dragon! Are you nuts?\But if there is someone like that, I'll beat'em.\Will you promise?\Yeah. It's a promise.\Then, we'll wait.\We will place our hopes with you.\We will always be waiting...\Huh? response:	Hey!
context: But if there is someone like that, I'll beat'em.\Will you promise?\Yeah. It's a promise.\Then, we'll wait.\We will place our hopes with you.\We will always be waiting...\Huh?\Hey! response:	Where'd you go?
context: Will you promise?\Yeah. It's a promise.\Then, we'll wait.\We will place our hopes with you.\We will always be waiting...\Huh?\Hey!\Where'd you go? response:	I thought it was a dream or something, so I'd completely forgotten.
context: Yeah. It's a promise.\Then, we'll wait.\We will place our hopes with you.\We will always be waiting...\Huh?\Hey!\Where'd you go?\I thought it was a dream or something, so I'd completely forgotten. response:	Defeat the one who controls dragons...
context: Then, we'll wait.\We will place our hopes with you.\We will always be waiting...\Huh?\Hey!\Where'd you go?\I thought it was a dream or something, so I'd completely forgotten.\Defeat the one who controls dragons... response:	Crap... So this is what they meant?
context: We will place our hopes with you.\We will always be waiting...\Huh?\Hey!\Where'd you go?\I thought it was a dream or something, so I'd completely forgotten.\Defeat the one who controls dragons...\Crap... So this is what they meant? response:	Well, I promised, didn't I?!
context: We will always be waiting...\Huh?\Hey!\Where'd you go?\I thought it was a dream or something, so I'd completely forgotten.\Defeat the one who controls dragons...\Crap... So this is what they meant?\Well, I promised, didn't I?! response:	Natsu Dragneel's power's grown higher than my data!
context: Huh?\Hey!\Where'd you go?\I thought it was a dream or something, so I'd completely forgotten.\Defeat the one who controls dragons...\Crap... So this is what they meant?\Well, I promised, didn't I?!\Natsu Dragneel's power's grown higher than my data! response:	At this rate, my Dragonoid will go into overdrive!
context: Hey!\Where'd you go?\I thought it was a dream or something, so I'd completely forgotten.\Defeat the one who controls dragons...\Crap... So this is what they meant?\Well, I promised, didn't I?!\Natsu Dragneel's power's grown higher than my data!\At this rate, my Dragonoid will go into overdrive! response:	What was that?
context: Where'd you go?\I thought it was a dream or something, so I'd completely forgotten.\Defeat the one who controls dragons...\Crap... So this is what they meant?\Well, I promised, didn't I?!\Natsu Dragneel's power's grown higher than my data!\At this rate, my Dragonoid will go into overdrive!\What was that? response:	Natsu...
context: I thought it was a dream or something, so I'd completely forgotten.\Defeat the one who controls dragons...\Crap... So this is what they meant?\Well, I promised, didn't I?!\Natsu Dragneel's power's grown higher than my data!\At this rate, my Dragonoid will go into overdrive!\What was that?\Natsu... response:	I ain't gonna lose!
context: Defeat the one who controls dragons...\Crap... So this is what they meant?\Well, I promised, didn't I?!\Natsu Dragneel's power's grown higher than my data!\At this rate, my Dragonoid will go into overdrive!\What was that?\Natsu...\I ain't gonna lose! response:	Yes-yes-yes...
context: Crap... So this is what they meant?\Well, I promised, didn't I?!\Natsu Dragneel's power's grown higher than my data!\At this rate, my Dragonoid will go into overdrive!\What was that?\Natsu...\I ain't gonna lose!\Yes-yes-yes... response:	At times like this, if I calmly and meticulously
context: Well, I promised, didn't I?!\Natsu Dragneel's power's grown higher than my data!\At this rate, my Dragonoid will go into overdrive!\What was that?\Natsu...\I ain't gonna lose!\Yes-yes-yes...\At times like this, if I calmly and meticulously response:	keep sucking up your magic at a reasonable pace, then AOK.
context: Natsu Dragneel's power's grown higher than my data!\At this rate, my Dragonoid will go into overdrive!\What was that?\Natsu...\I ain't gonna lose!\Yes-yes-yes...\At times like this, if I calmly and meticulously\keep sucking up your magic at a reasonable pace, then AOK. response:	Yes-yes, excellent work. Thank you for the lovely magic power!
context: At this rate, my Dragonoid will go into overdrive!\What was that?\Natsu...\I ain't gonna lose!\Yes-yes-yes...\At times like this, if I calmly and meticulously\keep sucking up your magic at a reasonable pace, then AOK.\Yes-yes, excellent work. Thank you for the lovely magic power! response:	Damn it...
context: What was that?\Natsu...\I ain't gonna lose!\Yes-yes-yes...\At times like this, if I calmly and meticulously\keep sucking up your magic at a reasonable pace, then AOK.\Yes-yes, excellent work. Thank you for the lovely magic power!\Damn it... response:	Give me a break here!
context: Natsu...\I ain't gonna lose!\Yes-yes-yes...\At times like this, if I calmly and meticulously\keep sucking up your magic at a reasonable pace, then AOK.\Yes-yes, excellent work. Thank you for the lovely magic power!\Damn it...\Give me a break here! response:	We've got trouble! Elfman and the others came back, but...
context: I ain't gonna lose!\Yes-yes-yes...\At times like this, if I calmly and meticulously\keep sucking up your magic at a reasonable pace, then AOK.\Yes-yes, excellent work. Thank you for the lovely magic power!\Damn it...\Give me a break here!\We've got trouble! Elfman and the others came back, but... response:	Elfman!
context: Yes-yes-yes...\At times like this, if I calmly and meticulously\keep sucking up your magic at a reasonable pace, then AOK.\Yes-yes, excellent work. Thank you for the lovely magic power!\Damn it...\Give me a break here!\We've got trouble! Elfman and the others came back, but...\Elfman! response:	Take Wakaba and Macao to the back!
context: At times like this, if I calmly and meticulously\keep sucking up your magic at a reasonable pace, then AOK.\Yes-yes, excellent work. Thank you for the lovely magic power!\Damn it...\Give me a break here!\We've got trouble! Elfman and the others came back, but...\Elfman!\Take Wakaba and Macao to the back! response:	See to them!
context: keep sucking up your magic at a reasonable pace, then AOK.\Yes-yes, excellent work. Thank you for the lovely magic power!\Damn it...\Give me a break here!\We've got trouble! Elfman and the others came back, but...\Elfman!\Take Wakaba and Macao to the back!\See to them! response:	Are you okay? What happened?
context: Yes-yes, excellent work. Thank you for the lovely magic power!\Damn it...\Give me a break here!\We've got trouble! Elfman and the others came back, but...\Elfman!\Take Wakaba and Macao to the back!\See to them!\Are you okay? What happened? response:	Nee-chan... Take it from here... Save Natsu!
context: Damn it...\Give me a break here!\We've got trouble! Elfman and the others came back, but...\Elfman!\Take Wakaba and Macao to the back!\See to them!\Are you okay? What happened?\Nee-chan... Take it from here... Save Natsu! response:	He's...
context: Give me a break here!\We've got trouble! Elfman and the others came back, but...\Elfman!\Take Wakaba and Macao to the back!\See to them!\Are you okay? What happened?\Nee-chan... Take it from here... Save Natsu!\He's... response:	I'm sorry... I...
context: We've got trouble! Elfman and the others came back, but...\Elfman!\Take Wakaba and Macao to the back!\See to them!\Are you okay? What happened?\Nee-chan... Take it from here... Save Natsu!\He's...\I'm sorry... I... response:	I killed Lisanna...
