context: Is it that easy to adjust the Uka-no-Mitama virus? response:	The process itself should be pretty much automated,
context: If you're able to grant an exception here,\we may be able to improve that chance a little.\Think about which course of action offers the most benefit.\You're good at calculating risk and reward, right?\From now until Makishima Shougo is captured,\we will grant an exception on the applicable terminal device.\The safety will remain off.\Mode is Non-Lethal Paralyzer. response:	However, please pay close attention to how you use it to ensure the other detectives do not find out.
context: we may be able to improve that chance a little.\Think about which course of action offers the most benefit.\You're good at calculating risk and reward, right?\From now until Makishima Shougo is captured,\we will grant an exception on the applicable terminal device.\The safety will remain off.\Mode is Non-Lethal Paralyzer.\However, please pay close attention to how you use it to ensure the other detectives do not find out. response:	I know.
context: Think about which course of action offers the most benefit.\You're good at calculating risk and reward, right?\From now until Makishima Shougo is captured,\we will grant an exception on the applicable terminal device.\The safety will remain off.\Mode is Non-Lethal Paralyzer.\However, please pay close attention to how you use it to ensure the other detectives do not find out.\I know. response:	Say, young lady.
context: You're good at calculating risk and reward, right?\From now until Makishima Shougo is captured,\we will grant an exception on the applicable terminal device.\The safety will remain off.\Mode is Non-Lethal Paralyzer.\However, please pay close attention to how you use it to ensure the other detectives do not find out.\I know.\Say, young lady. response:	You've been acting strange ever since the Chief called you out.
context: From now until Makishima Shougo is captured,\we will grant an exception on the applicable terminal device.\The safety will remain off.\Mode is Non-Lethal Paralyzer.\However, please pay close attention to how you use it to ensure the other detectives do not find out.\I know.\Say, young lady.\You've been acting strange ever since the Chief called you out. response:	I don't know what happened, but are you sure you can shoulder that burden alone?
context: we will grant an exception on the applicable terminal device.\The safety will remain off.\Mode is Non-Lethal Paralyzer.\However, please pay close attention to how you use it to ensure the other detectives do not find out.\I know.\Say, young lady.\You've been acting strange ever since the Chief called you out.\I don't know what happened, but are you sure you can shoulder that burden alone? response:	Are you worried about me?
context: The safety will remain off.\Mode is Non-Lethal Paralyzer.\However, please pay close attention to how you use it to ensure the other detectives do not find out.\I know.\Say, young lady.\You've been acting strange ever since the Chief called you out.\I don't know what happened, but are you sure you can shoulder that burden alone?\Are you worried about me? response:	Yeah, you're acting the same as Kougami did.
context: Mode is Non-Lethal Paralyzer.\However, please pay close attention to how you use it to ensure the other detectives do not find out.\I know.\Say, young lady.\You've been acting strange ever since the Chief called you out.\I don't know what happened, but are you sure you can shoulder that burden alone?\Are you worried about me?\Yeah, you're acting the same as Kougami did. response:	I don't wanna see you push yourself too hard as an Inspector and burn out.
context: However, please pay close attention to how you use it to ensure the other detectives do not find out.\I know.\Say, young lady.\You've been acting strange ever since the Chief called you out.\I don't know what happened, but are you sure you can shoulder that burden alone?\Are you worried about me?\Yeah, you're acting the same as Kougami did.\I don't wanna see you push yourself too hard as an Inspector and burn out. response:	Then would you like to check my Crime Coefficient?
context: I know.\Say, young lady.\You've been acting strange ever since the Chief called you out.\I don't know what happened, but are you sure you can shoulder that burden alone?\Are you worried about me?\Yeah, you're acting the same as Kougami did.\I don't wanna see you push yourself too hard as an Inspector and burn out.\Then would you like to check my Crime Coefficient? response:	Hey, hey...
context: Say, young lady.\You've been acting strange ever since the Chief called you out.\I don't know what happened, but are you sure you can shoulder that burden alone?\Are you worried about me?\Yeah, you're acting the same as Kougami did.\I don't wanna see you push yourself too hard as an Inspector and burn out.\Then would you like to check my Crime Coefficient?\Hey, hey... response:	It's okay. Please point the Dominator at me.
context: You've been acting strange ever since the Chief called you out.\I don't know what happened, but are you sure you can shoulder that burden alone?\Are you worried about me?\Yeah, you're acting the same as Kougami did.\I don't wanna see you push yourself too hard as an Inspector and burn out.\Then would you like to check my Crime Coefficient?\Hey, hey...\It's okay. Please point the Dominator at me. response:	I'll delete the record using my authority as an Inspector.
context: I don't know what happened, but are you sure you can shoulder that burden alone?\Are you worried about me?\Yeah, you're acting the same as Kougami did.\I don't wanna see you push yourself too hard as an Inspector and burn out.\Then would you like to check my Crime Coefficient?\Hey, hey...\It's okay. Please point the Dominator at me.\I'll delete the record using my authority as an Inspector. response:	Crime Coefficient is 24.
context: Are you worried about me?\Yeah, you're acting the same as Kougami did.\I don't wanna see you push yourself too hard as an Inspector and burn out.\Then would you like to check my Crime Coefficient?\Hey, hey...\It's okay. Please point the Dominator at me.\I'll delete the record using my authority as an Inspector.\Crime Coefficient is 24. response:	An Inspector registered at the Criminal Investigation Department.
context: Yeah, you're acting the same as Kougami did.\I don't wanna see you push yourself too hard as an Inspector and burn out.\Then would you like to check my Crime Coefficient?\Hey, hey...\It's okay. Please point the Dominator at me.\I'll delete the record using my authority as an Inspector.\Crime Coefficient is 24.\An Inspector registered at the Criminal Investigation Department. response:	See?
context: I don't wanna see you push yourself too hard as an Inspector and burn out.\Then would you like to check my Crime Coefficient?\Hey, hey...\It's okay. Please point the Dominator at me.\I'll delete the record using my authority as an Inspector.\Crime Coefficient is 24.\An Inspector registered at the Criminal Investigation Department.\See? response:	Right now, I'm someone the System wants.
context: Then would you like to check my Crime Coefficient?\Hey, hey...\It's okay. Please point the Dominator at me.\I'll delete the record using my authority as an Inspector.\Crime Coefficient is 24.\An Inspector registered at the Criminal Investigation Department.\See?\Right now, I'm someone the System wants. response:	Yeah...
context: Hey, hey...\It's okay. Please point the Dominator at me.\I'll delete the record using my authority as an Inspector.\Crime Coefficient is 24.\An Inspector registered at the Criminal Investigation Department.\See?\Right now, I'm someone the System wants.\Yeah... response:	Kunizuka, please go ahead.
context: It's okay. Please point the Dominator at me.\I'll delete the record using my authority as an Inspector.\Crime Coefficient is 24.\An Inspector registered at the Criminal Investigation Department.\See?\Right now, I'm someone the System wants.\Yeah...\Kunizuka, please go ahead. response:	Okay. I'll cut off the power to the entire facility.
context: I'll delete the record using my authority as an Inspector.\Crime Coefficient is 24.\An Inspector registered at the Criminal Investigation Department.\See?\Right now, I'm someone the System wants.\Yeah...\Kunizuka, please go ahead.\Okay. I'll cut off the power to the entire facility. response:	Not bad, Bureau.
context: Crime Coefficient is 24.\An Inspector registered at the Criminal Investigation Department.\See?\Right now, I'm someone the System wants.\Yeah...\Kunizuka, please go ahead.\Okay. I'll cut off the power to the entire facility.\Not bad, Bureau. response:	Here goes!
context: An Inspector registered at the Criminal Investigation Department.\See?\Right now, I'm someone the System wants.\Yeah...\Kunizuka, please go ahead.\Okay. I'll cut off the power to the entire facility.\Not bad, Bureau.\Here goes! response:	Either way, Makishima's attempt at bio-terrorism ends here.
context: See?\Right now, I'm someone the System wants.\Yeah...\Kunizuka, please go ahead.\Okay. I'll cut off the power to the entire facility.\Not bad, Bureau.\Here goes!\Either way, Makishima's attempt at bio-terrorism ends here. response:	Wouldn't the rational thing be to escape immediately?
context: Right now, I'm someone the System wants.\Yeah...\Kunizuka, please go ahead.\Okay. I'll cut off the power to the entire facility.\Not bad, Bureau.\Here goes!\Either way, Makishima's attempt at bio-terrorism ends here.\Wouldn't the rational thing be to escape immediately? response:	I'm not so sure about that.
context: Yeah...\Kunizuka, please go ahead.\Okay. I'll cut off the power to the entire facility.\Not bad, Bureau.\Here goes!\Either way, Makishima's attempt at bio-terrorism ends here.\Wouldn't the rational thing be to escape immediately?\I'm not so sure about that. response:	True, Makishima has carefully considered his actions up to this point,
context: Kunizuka, please go ahead.\Okay. I'll cut off the power to the entire facility.\Not bad, Bureau.\Here goes!\Either way, Makishima's attempt at bio-terrorism ends here.\Wouldn't the rational thing be to escape immediately?\I'm not so sure about that.\True, Makishima has carefully considered his actions up to this point, response:	but that doesn't necessarily mean he acts purely on logic.
context: Okay. I'll cut off the power to the entire facility.\Not bad, Bureau.\Here goes!\Either way, Makishima's attempt at bio-terrorism ends here.\Wouldn't the rational thing be to escape immediately?\I'm not so sure about that.\True, Makishima has carefully considered his actions up to this point,\but that doesn't necessarily mean he acts purely on logic. response:	Are you saying that he'll stick to his plan even now?
context: Not bad, Bureau.\Here goes!\Either way, Makishima's attempt at bio-terrorism ends here.\Wouldn't the rational thing be to escape immediately?\I'm not so sure about that.\True, Makishima has carefully considered his actions up to this point,\but that doesn't necessarily mean he acts purely on logic.\Are you saying that he'll stick to his plan even now? response:	If there's any way he can succeed, yes.
context: Here goes!\Either way, Makishima's attempt at bio-terrorism ends here.\Wouldn't the rational thing be to escape immediately?\I'm not so sure about that.\True, Makishima has carefully considered his actions up to this point,\but that doesn't necessarily mean he acts purely on logic.\Are you saying that he'll stick to his plan even now?\If there's any way he can succeed, yes. response:	What about the emergency power supply?
context: Either way, Makishima's attempt at bio-terrorism ends here.\Wouldn't the rational thing be to escape immediately?\I'm not so sure about that.\True, Makishima has carefully considered his actions up to this point,\but that doesn't necessarily mean he acts purely on logic.\Are you saying that he'll stick to his plan even now?\If there's any way he can succeed, yes.\What about the emergency power supply? response:	Right now, we're just blocking his use of it from outside, aren't we?
context: Wouldn't the rational thing be to escape immediately?\I'm not so sure about that.\True, Makishima has carefully considered his actions up to this point,\but that doesn't necessarily mean he acts purely on logic.\Are you saying that he'll stick to his plan even now?\If there's any way he can succeed, yes.\What about the emergency power supply?\Right now, we're just blocking his use of it from outside, aren't we? response:	Yeah.
context: I'm not so sure about that.\True, Makishima has carefully considered his actions up to this point,\but that doesn't necessarily mean he acts purely on logic.\Are you saying that he'll stick to his plan even now?\If there's any way he can succeed, yes.\What about the emergency power supply?\Right now, we're just blocking his use of it from outside, aren't we?\Yeah. response:	That means it can still be manually rebooted via the control board inside the facility.
context: True, Makishima has carefully considered his actions up to this point,\but that doesn't necessarily mean he acts purely on logic.\Are you saying that he'll stick to his plan even now?\If there's any way he can succeed, yes.\What about the emergency power supply?\Right now, we're just blocking his use of it from outside, aren't we?\Yeah.\That means it can still be manually rebooted via the control board inside the facility. response:	That's his only chance for getting the power back.
context: but that doesn't necessarily mean he acts purely on logic.\Are you saying that he'll stick to his plan even now?\If there's any way he can succeed, yes.\What about the emergency power supply?\Right now, we're just blocking his use of it from outside, aren't we?\Yeah.\That means it can still be manually rebooted via the control board inside the facility.\That's his only chance for getting the power back. response:	Should we wait for him at the central control room, then?
context: Are you saying that he'll stick to his plan even now?\If there's any way he can succeed, yes.\What about the emergency power supply?\Right now, we're just blocking his use of it from outside, aren't we?\Yeah.\That means it can still be manually rebooted via the control board inside the facility.\That's his only chance for getting the power back.\Should we wait for him at the central control room, then? response:	Wait.
context: If there's any way he can succeed, yes.\What about the emergency power supply?\Right now, we're just blocking his use of it from outside, aren't we?\Yeah.\That means it can still be manually rebooted via the control board inside the facility.\That's his only chance for getting the power back.\Should we wait for him at the central control room, then?\Wait. response:	We can't rule out the possibility that he'll simply try to escape.
context: What about the emergency power supply?\Right now, we're just blocking his use of it from outside, aren't we?\Yeah.\That means it can still be manually rebooted via the control board inside the facility.\That's his only chance for getting the power back.\Should we wait for him at the central control room, then?\Wait.\We can't rule out the possibility that he'll simply try to escape. response:	There's no time for us to make a detour.
context: Right now, we're just blocking his use of it from outside, aren't we?\Yeah.\That means it can still be manually rebooted via the control board inside the facility.\That's his only chance for getting the power back.\Should we wait for him at the central control room, then?\Wait.\We can't rule out the possibility that he'll simply try to escape.\There's no time for us to make a detour. response:	Let's split in two.
context: Yeah.\That means it can still be manually rebooted via the control board inside the facility.\That's his only chance for getting the power back.\Should we wait for him at the central control room, then?\Wait.\We can't rule out the possibility that he'll simply try to escape.\There's no time for us to make a detour.\Let's split in two. response:	I'll go to the control room.
context: That means it can still be manually rebooted via the control board inside the facility.\That's his only chance for getting the power back.\Should we wait for him at the central control room, then?\Wait.\We can't rule out the possibility that he'll simply try to escape.\There's no time for us to make a detour.\Let's split in two.\I'll go to the control room. response:	Inspector Ginoza, please check the university's lab.
context: That's his only chance for getting the power back.\Should we wait for him at the central control room, then?\Wait.\We can't rule out the possibility that he'll simply try to escape.\There's no time for us to make a detour.\Let's split in two.\I'll go to the control room.\Inspector Ginoza, please check the university's lab. response:	I'll go with Inspector Tsunemori.
context: Should we wait for him at the central control room, then?\Wait.\We can't rule out the possibility that he'll simply try to escape.\There's no time for us to make a detour.\Let's split in two.\I'll go to the control room.\Inspector Ginoza, please check the university's lab.\I'll go with Inspector Tsunemori. response:	If we work with Shion at Headquarters via the main security console,
context: Wait.\We can't rule out the possibility that he'll simply try to escape.\There's no time for us to make a detour.\Let's split in two.\I'll go to the control room.\Inspector Ginoza, please check the university's lab.\I'll go with Inspector Tsunemori.\If we work with Shion at Headquarters via the main security console, response:	we might be able to get access to the security cameras here.
context: We can't rule out the possibility that he'll simply try to escape.\There's no time for us to make a detour.\Let's split in two.\I'll go to the control room.\Inspector Ginoza, please check the university's lab.\I'll go with Inspector Tsunemori.\If we work with Shion at Headquarters via the main security console,\we might be able to get access to the security cameras here. response:	Then we'll be in charge of chasing him down, huh?
context: There's no time for us to make a detour.\Let's split in two.\I'll go to the control room.\Inspector Ginoza, please check the university's lab.\I'll go with Inspector Tsunemori.\If we work with Shion at Headquarters via the main security console,\we might be able to get access to the security cameras here.\Then we'll be in charge of chasing him down, huh? response:	Come on, don't make that face.
context: Let's split in two.\I'll go to the control room.\Inspector Ginoza, please check the university's lab.\I'll go with Inspector Tsunemori.\If we work with Shion at Headquarters via the main security console,\we might be able to get access to the security cameras here.\Then we'll be in charge of chasing him down, huh?\Come on, don't make that face. response:	It's our job as men to take on the dirty work.
context: I'll go to the control room.\Inspector Ginoza, please check the university's lab.\I'll go with Inspector Tsunemori.\If we work with Shion at Headquarters via the main security console,\we might be able to get access to the security cameras here.\Then we'll be in charge of chasing him down, huh?\Come on, don't make that face.\It's our job as men to take on the dirty work. response:	Dammit!
context: Inspector Ginoza, please check the university's lab.\I'll go with Inspector Tsunemori.\If we work with Shion at Headquarters via the main security console,\we might be able to get access to the security cameras here.\Then we'll be in charge of chasing him down, huh?\Come on, don't make that face.\It's our job as men to take on the dirty work.\Dammit! response:	Did something happen at the Ministry of Welfare?
context: I'll go with Inspector Tsunemori.\If we work with Shion at Headquarters via the main security console,\we might be able to get access to the security cameras here.\Then we'll be in charge of chasing him down, huh?\Come on, don't make that face.\It's our job as men to take on the dirty work.\Dammit!\Did something happen at the Ministry of Welfare? response:	Does it seem that way?
context: If we work with Shion at Headquarters via the main security console,\we might be able to get access to the security cameras here.\Then we'll be in charge of chasing him down, huh?\Come on, don't make that face.\It's our job as men to take on the dirty work.\Dammit!\Did something happen at the Ministry of Welfare?\Does it seem that way? response:	You look like you could take on the world right now, but at the same time,
context: we might be able to get access to the security cameras here.\Then we'll be in charge of chasing him down, huh?\Come on, don't make that face.\It's our job as men to take on the dirty work.\Dammit!\Did something happen at the Ministry of Welfare?\Does it seem that way?\You look like you could take on the world right now, but at the same time, response:	you look like that whole world's weighing on your shoulders.
context: Then we'll be in charge of chasing him down, huh?\Come on, don't make that face.\It's our job as men to take on the dirty work.\Dammit!\Did something happen at the Ministry of Welfare?\Does it seem that way?\You look like you could take on the world right now, but at the same time,\you look like that whole world's weighing on your shoulders. response:	Giving up here wouldn't resolve anything.
context: Come on, don't make that face.\It's our job as men to take on the dirty work.\Dammit!\Did something happen at the Ministry of Welfare?\Does it seem that way?\You look like you could take on the world right now, but at the same time,\you look like that whole world's weighing on your shoulders.\Giving up here wouldn't resolve anything. response:	I just have to press forward.
context: It's our job as men to take on the dirty work.\Dammit!\Did something happen at the Ministry of Welfare?\Does it seem that way?\You look like you could take on the world right now, but at the same time,\you look like that whole world's weighing on your shoulders.\Giving up here wouldn't resolve anything.\I just have to press forward. response:	No matter how small it may be, there's still hope.
context: Dammit!\Did something happen at the Ministry of Welfare?\Does it seem that way?\You look like you could take on the world right now, but at the same time,\you look like that whole world's weighing on your shoulders.\Giving up here wouldn't resolve anything.\I just have to press forward.\No matter how small it may be, there's still hope. response:	As long as I don't give up on it,
context: Did something happen at the Ministry of Welfare?\Does it seem that way?\You look like you could take on the world right now, but at the same time,\you look like that whole world's weighing on your shoulders.\Giving up here wouldn't resolve anything.\I just have to press forward.\No matter how small it may be, there's still hope.\As long as I don't give up on it, response:	I can continue to be a detective until the end.
context: Does it seem that way?\You look like you could take on the world right now, but at the same time,\you look like that whole world's weighing on your shoulders.\Giving up here wouldn't resolve anything.\I just have to press forward.\No matter how small it may be, there's still hope.\As long as I don't give up on it,\I can continue to be a detective until the end. response:	When you joined us as a new Inspector,
context: You look like you could take on the world right now, but at the same time,\you look like that whole world's weighing on your shoulders.\Giving up here wouldn't resolve anything.\I just have to press forward.\No matter how small it may be, there's still hope.\As long as I don't give up on it,\I can continue to be a detective until the end.\When you joined us as a new Inspector, response:	my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.
context: you look like that whole world's weighing on your shoulders.\Giving up here wouldn't resolve anything.\I just have to press forward.\No matter how small it may be, there's still hope.\As long as I don't give up on it,\I can continue to be a detective until the end.\When you joined us as a new Inspector,\my first impression was that you were a naIve little girl who couldn't possibly be fit for the job. response:	Yeah, I guess I was.
context: Giving up here wouldn't resolve anything.\I just have to press forward.\No matter how small it may be, there's still hope.\As long as I don't give up on it,\I can continue to be a detective until the end.\When you joined us as a new Inspector,\my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.\Yeah, I guess I was. response:	But in fact, I've never been further from the truth.
context: I just have to press forward.\No matter how small it may be, there's still hope.\As long as I don't give up on it,\I can continue to be a detective until the end.\When you joined us as a new Inspector,\my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.\Yeah, I guess I was.\But in fact, I've never been further from the truth. response:	I'm sure of that now.
context: No matter how small it may be, there's still hope.\As long as I don't give up on it,\I can continue to be a detective until the end.\When you joined us as a new Inspector,\my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.\Yeah, I guess I was.\But in fact, I've never been further from the truth.\I'm sure of that now. response:	I'd trust you with my life, Inspector Tsunemori.
context: As long as I don't give up on it,\I can continue to be a detective until the end.\When you joined us as a new Inspector,\my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.\Yeah, I guess I was.\But in fact, I've never been further from the truth.\I'm sure of that now.\I'd trust you with my life, Inspector Tsunemori. response:	You think too highly of me.
context: I can continue to be a detective until the end.\When you joined us as a new Inspector,\my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.\Yeah, I guess I was.\But in fact, I've never been further from the truth.\I'm sure of that now.\I'd trust you with my life, Inspector Tsunemori.\You think too highly of me. response:	Clear.
context: When you joined us as a new Inspector,\my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.\Yeah, I guess I was.\But in fact, I've never been further from the truth.\I'm sure of that now.\I'd trust you with my life, Inspector Tsunemori.\You think too highly of me.\Clear. response:	I guess we made it in time...
context: my first impression was that you were a naIve little girl who couldn't possibly be fit for the job.\Yeah, I guess I was.\But in fact, I've never been further from the truth.\I'm sure of that now.\I'd trust you with my life, Inspector Tsunemori.\You think too highly of me.\Clear.\I guess we made it in time... response:	But do you think Makishima will really come this way?
context: Yeah, I guess I was.\But in fact, I've never been further from the truth.\I'm sure of that now.\I'd trust you with my life, Inspector Tsunemori.\You think too highly of me.\Clear.\I guess we made it in time...\But do you think Makishima will really come this way? response:	That's right... Why isn't there anyone here?
context: But in fact, I've never been further from the truth.\I'm sure of that now.\I'd trust you with my life, Inspector Tsunemori.\You think too highly of me.\Clear.\I guess we made it in time...\But do you think Makishima will really come this way?\That's right... Why isn't there anyone here? response:	What?
context: I'm sure of that now.\I'd trust you with my life, Inspector Tsunemori.\You think too highly of me.\Clear.\I guess we made it in time...\But do you think Makishima will really come this way?\That's right... Why isn't there anyone here?\What? response:	There's someone who can foresee Makishima's
context: I'd trust you with my life, Inspector Tsunemori.\You think too highly of me.\Clear.\I guess we made it in time...\But do you think Makishima will really come this way?\That's right... Why isn't there anyone here?\What?\There's someone who can foresee Makishima's response:	actions more accurately than me.
context: You think too highly of me.\Clear.\I guess we made it in time...\But do you think Makishima will really come this way?\That's right... Why isn't there anyone here?\What?\There's someone who can foresee Makishima's\actions more accurately than me. response:	If we were right, I'd expect to see Kougami here already.
context: Clear.\I guess we made it in time...\But do you think Makishima will really come this way?\That's right... Why isn't there anyone here?\What?\There's someone who can foresee Makishima's\actions more accurately than me.\If we were right, I'd expect to see Kougami here already. response:	Why...?
context: I guess we made it in time...\But do you think Makishima will really come this way?\That's right... Why isn't there anyone here?\What?\There's someone who can foresee Makishima's\actions more accurately than me.\If we were right, I'd expect to see Kougami here already.\Why...? response:	There must be something we're overlooking.
context: But do you think Makishima will really come this way?\That's right... Why isn't there anyone here?\What?\There's someone who can foresee Makishima's\actions more accurately than me.\If we were right, I'd expect to see Kougami here already.\Why...?\There must be something we're overlooking. response:	There's something I need to ask you.
context: That's right... Why isn't there anyone here?\What?\There's someone who can foresee Makishima's\actions more accurately than me.\If we were right, I'd expect to see Kougami here already.\Why...?\There must be something we're overlooking.\There's something I need to ask you. response:	Here and now? What's on your mind?
context: What?\There's someone who can foresee Makishima's\actions more accurately than me.\If we were right, I'd expect to see Kougami here already.\Why...?\There must be something we're overlooking.\There's something I need to ask you.\Here and now? What's on your mind? response:	You helped Kougami escape, didn't you?
context: There's someone who can foresee Makishima's\actions more accurately than me.\If we were right, I'd expect to see Kougami here already.\Why...?\There must be something we're overlooking.\There's something I need to ask you.\Here and now? What's on your mind?\You helped Kougami escape, didn't you? response:	I'm an old man, you know? Cut me some slack.
context: actions more accurately than me.\If we were right, I'd expect to see Kougami here already.\Why...?\There must be something we're overlooking.\There's something I need to ask you.\Here and now? What's on your mind?\You helped Kougami escape, didn't you?\I'm an old man, you know? Cut me some slack. response:	You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.
context: If we were right, I'd expect to see Kougami here already.\Why...?\There must be something we're overlooking.\There's something I need to ask you.\Here and now? What's on your mind?\You helped Kougami escape, didn't you?\I'm an old man, you know? Cut me some slack.\You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result. response:	That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.
context: Why...?\There must be something we're overlooking.\There's something I need to ask you.\Here and now? What's on your mind?\You helped Kougami escape, didn't you?\I'm an old man, you know? Cut me some slack.\You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.\That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself. response:	Am I wrong?
context: There must be something we're overlooking.\There's something I need to ask you.\Here and now? What's on your mind?\You helped Kougami escape, didn't you?\I'm an old man, you know? Cut me some slack.\You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.\That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.\Am I wrong? response:	Kougami is the one you're relying on to get the job done.
context: There's something I need to ask you.\Here and now? What's on your mind?\You helped Kougami escape, didn't you?\I'm an old man, you know? Cut me some slack.\You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.\That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.\Am I wrong?\Kougami is the one you're relying on to get the job done. response:	You don't expect anything from me.
context: Here and now? What's on your mind?\You helped Kougami escape, didn't you?\I'm an old man, you know? Cut me some slack.\You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.\That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.\Am I wrong?\Kougami is the one you're relying on to get the job done.\You don't expect anything from me. response:	You think there's no chance in hell I can capture Makishima, don't you?
context: You helped Kougami escape, didn't you?\I'm an old man, you know? Cut me some slack.\You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.\That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.\Am I wrong?\Kougami is the one you're relying on to get the job done.\You don't expect anything from me.\You think there's no chance in hell I can capture Makishima, don't you? response:	Kogami is a latent criminal as well as an Enforcer.
context: I'm an old man, you know? Cut me some slack.\You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.\That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.\Am I wrong?\Kougami is the one you're relying on to get the job done.\You don't expect anything from me.\You think there's no chance in hell I can capture Makishima, don't you?\Kogami is a latent criminal as well as an Enforcer. response:	He and I are cut from the same cloth.
context: You think that it's okay for Kougami to take the law into his own hands, as long as evil is defeated as a result.\That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.\Am I wrong?\Kougami is the one you're relying on to get the job done.\You don't expect anything from me.\You think there's no chance in hell I can capture Makishima, don't you?\Kogami is a latent criminal as well as an Enforcer.\He and I are cut from the same cloth. response:	But you're still on a different path than we are.
context: That's the savage, selfish idea of justice shared by old-fashioned hunting dogs like yourself.\Am I wrong?\Kougami is the one you're relying on to get the job done.\You don't expect anything from me.\You think there's no chance in hell I can capture Makishima, don't you?\Kogami is a latent criminal as well as an Enforcer.\He and I are cut from the same cloth.\But you're still on a different path than we are. response:	I truly do think that's for the best. From the bottom of my heart.
context: Am I wrong?\Kougami is the one you're relying on to get the job done.\You don't expect anything from me.\You think there's no chance in hell I can capture Makishima, don't you?\Kogami is a latent criminal as well as an Enforcer.\He and I are cut from the same cloth.\But you're still on a different path than we are.\I truly do think that's for the best. From the bottom of my heart. response:	What kind of justification is that?
context: Kougami is the one you're relying on to get the job done.\You don't expect anything from me.\You think there's no chance in hell I can capture Makishima, don't you?\Kogami is a latent criminal as well as an Enforcer.\He and I are cut from the same cloth.\But you're still on a different path than we are.\I truly do think that's for the best. From the bottom of my heart.\What kind of justification is that? response:	A culprit runs, and detectives go after him...
context: You don't expect anything from me.\You think there's no chance in hell I can capture Makishima, don't you?\Kogami is a latent criminal as well as an Enforcer.\He and I are cut from the same cloth.\But you're still on a different path than we are.\I truly do think that's for the best. From the bottom of my heart.\What kind of justification is that?\A culprit runs, and detectives go after him... response:	That's what we assumed would happen.
context: You think there's no chance in hell I can capture Makishima, don't you?\Kogami is a latent criminal as well as an Enforcer.\He and I are cut from the same cloth.\But you're still on a different path than we are.\I truly do think that's for the best. From the bottom of my heart.\What kind of justification is that?\A culprit runs, and detectives go after him...\That's what we assumed would happen. response:	Inspector?
context: Kogami is a latent criminal as well as an Enforcer.\He and I are cut from the same cloth.\But you're still on a different path than we are.\I truly do think that's for the best. From the bottom of my heart.\What kind of justification is that?\A culprit runs, and detectives go after him...\That's what we assumed would happen.\Inspector? response:	But Makishima looks at things differently than we do.
context: He and I are cut from the same cloth.\But you're still on a different path than we are.\I truly do think that's for the best. From the bottom of my heart.\What kind of justification is that?\A culprit runs, and detectives go after him...\That's what we assumed would happen.\Inspector?\But Makishima looks at things differently than we do. response:	He understands just how much of a bind we're in,
context: But you're still on a different path than we are.\I truly do think that's for the best. From the bottom of my heart.\What kind of justification is that?\A culprit runs, and detectives go after him...\That's what we assumed would happen.\Inspector?\But Makishima looks at things differently than we do.\He understands just how much of a bind we're in, response:	better than we do ourselves.
context: I truly do think that's for the best. From the bottom of my heart.\What kind of justification is that?\A culprit runs, and detectives go after him...\That's what we assumed would happen.\Inspector?\But Makishima looks at things differently than we do.\He understands just how much of a bind we're in,\better than we do ourselves. response:	Ginoza and Masaoka are in danger!
context: What kind of justification is that?\A culprit runs, and detectives go after him...\That's what we assumed would happen.\Inspector?\But Makishima looks at things differently than we do.\He understands just how much of a bind we're in,\better than we do ourselves.\Ginoza and Masaoka are in danger! response:	Please wait! It's dangerous to go by yourself!
context: A culprit runs, and detectives go after him...\That's what we assumed would happen.\Inspector?\But Makishima looks at things differently than we do.\He understands just how much of a bind we're in,\better than we do ourselves.\Ginoza and Masaoka are in danger!\Please wait! It's dangerous to go by yourself! response:	You stay here.
context: That's what we assumed would happen.\Inspector?\But Makishima looks at things differently than we do.\He understands just how much of a bind we're in,\better than we do ourselves.\Ginoza and Masaoka are in danger!\Please wait! It's dangerous to go by yourself!\You stay here. response:	If Makishima comes, whatever you do, don't let him touch the emergency power supply!
