context: Why? Why did you... response:	This isn't like three years ago. I've created a path.
context: Yes! You have surpassed humanity!\We have survived all this time by passing from one\human body to another.\Then you're a super-old lady?\Otamaya, this thing is ready to go at any time, right?\Assuming we can get out the front door in one piece, yeah!\We're going to be destroyed if we try to leave like this!\It's no use! Let's just surrender! response:	Forget it! Don't give up until L-elf comes back!
context: We have survived all this time by passing from one\human body to another.\Then you're a super-old lady?\Otamaya, this thing is ready to go at any time, right?\Assuming we can get out the front door in one piece, yeah!\We're going to be destroyed if we try to leave like this!\It's no use! Let's just surrender!\Forget it! Don't give up until L-elf comes back! response:	Way to go, Tokishima!
context: human body to another.\Then you're a super-old lady?\Otamaya, this thing is ready to go at any time, right?\Assuming we can get out the front door in one piece, yeah!\We're going to be destroyed if we try to leave like this!\It's no use! Let's just surrender!\Forget it! Don't give up until L-elf comes back!\Way to go, Tokishima! response:	Just in time!
context: Then you're a super-old lady?\Otamaya, this thing is ready to go at any time, right?\Assuming we can get out the front door in one piece, yeah!\We're going to be destroyed if we try to leave like this!\It's no use! Let's just surrender!\Forget it! Don't give up until L-elf comes back!\Way to go, Tokishima!\Just in time! response:	After a long, secret war against humanity, we created an organization.
context: Otamaya, this thing is ready to go at any time, right?\Assuming we can get out the front door in one piece, yeah!\We're going to be destroyed if we try to leave like this!\It's no use! Let's just surrender!\Forget it! Don't give up until L-elf comes back!\Way to go, Tokishima!\Just in time!\After a long, secret war against humanity, we created an organization. response:	The Council of 101.
context: Assuming we can get out the front door in one piece, yeah!\We're going to be destroyed if we try to leave like this!\It's no use! Let's just surrender!\Forget it! Don't give up until L-elf comes back!\Way to go, Tokishima!\Just in time!\After a long, secret war against humanity, we created an organization.\The Council of 101. response:	A group founded by selecting the most influential humans and Magiuses.
context: We're going to be destroyed if we try to leave like this!\It's no use! Let's just surrender!\Forget it! Don't give up until L-elf comes back!\Way to go, Tokishima!\Just in time!\After a long, secret war against humanity, we created an organization.\The Council of 101.\A group founded by selecting the most influential humans and Magiuses. response:	Its objective was to
context: It's no use! Let's just surrender!\Forget it! Don't give up until L-elf comes back!\Way to go, Tokishima!\Just in time!\After a long, secret war against humanity, we created an organization.\The Council of 101.\A group founded by selecting the most influential humans and Magiuses.\Its objective was to response:	hide the existence of Magiuses from the world,
context: Forget it! Don't give up until L-elf comes back!\Way to go, Tokishima!\Just in time!\After a long, secret war against humanity, we created an organization.\The Council of 101.\A group founded by selecting the most influential humans and Magiuses.\Its objective was to\hide the existence of Magiuses from the world, response:	and to allow for our food needs.
context: Way to go, Tokishima!\Just in time!\After a long, secret war against humanity, we created an organization.\The Council of 101.\A group founded by selecting the most influential humans and Magiuses.\Its objective was to\hide the existence of Magiuses from the world,\and to allow for our food needs. response:	Food?
context: Just in time!\After a long, secret war against humanity, we created an organization.\The Council of 101.\A group founded by selecting the most influential humans and Magiuses.\Its objective was to\hide the existence of Magiuses from the world,\and to allow for our food needs.\Food? response:	Runes!
context: After a long, secret war against humanity, we created an organization.\The Council of 101.\A group founded by selecting the most influential humans and Magiuses.\Its objective was to\hide the existence of Magiuses from the world,\and to allow for our food needs.\Food?\Runes! response:	Yes.
context: The Council of 101.\A group founded by selecting the most influential humans and Magiuses.\Its objective was to\hide the existence of Magiuses from the world,\and to allow for our food needs.\Food?\Runes!\Yes. response:	The only lifeform that possesses Runes
context: A group founded by selecting the most influential humans and Magiuses.\Its objective was to\hide the existence of Magiuses from the world,\and to allow for our food needs.\Food?\Runes!\Yes.\The only lifeform that possesses Runes response:	in large quantities here on Earth is humanity.
context: Its objective was to\hide the existence of Magiuses from the world,\and to allow for our food needs.\Food?\Runes!\Yes.\The only lifeform that possesses Runes\in large quantities here on Earth is humanity. response:	I survive by devouring humans.
context: hide the existence of Magiuses from the world,\and to allow for our food needs.\Food?\Runes!\Yes.\The only lifeform that possesses Runes\in large quantities here on Earth is humanity.\I survive by devouring humans. response:	I am their enemy.
context: and to allow for our food needs.\Food?\Runes!\Yes.\The only lifeform that possesses Runes\in large quantities here on Earth is humanity.\I survive by devouring humans.\I am their enemy. response:	Haruto! You okay?!
context: Food?\Runes!\Yes.\The only lifeform that possesses Runes\in large quantities here on Earth is humanity.\I survive by devouring humans.\I am their enemy.\Haruto! You okay?! response:	Leave the rest to us!
context: Runes!\Yes.\The only lifeform that possesses Runes\in large quantities here on Earth is humanity.\I survive by devouring humans.\I am their enemy.\Haruto! You okay?!\Leave the rest to us! response:	Yamada, I can't
context: Yes.\The only lifeform that possesses Runes\in large quantities here on Earth is humanity.\I survive by devouring humans.\I am their enemy.\Haruto! You okay?!\Leave the rest to us!\Yamada, I can't response:	Come inside for the time being, Tokishima!
context: The only lifeform that possesses Runes\in large quantities here on Earth is humanity.\I survive by devouring humans.\I am their enemy.\Haruto! You okay?!\Leave the rest to us!\Yamada, I can't\Come inside for the time being, Tokishima! response:	Take turns to keep your heat levels from rising!
context: in large quantities here on Earth is humanity.\I survive by devouring humans.\I am their enemy.\Haruto! You okay?!\Leave the rest to us!\Yamada, I can't\Come inside for the time being, Tokishima!\Take turns to keep your heat levels from rising! response:	Inuzuka is here, too!
context: I survive by devouring humans.\I am their enemy.\Haruto! You okay?!\Leave the rest to us!\Yamada, I can't\Come inside for the time being, Tokishima!\Take turns to keep your heat levels from rising!\Inuzuka is here, too! response:	He says he has the prisoners that they rescued!
context: I am their enemy.\Haruto! You okay?!\Leave the rest to us!\Yamada, I can't\Come inside for the time being, Tokishima!\Take turns to keep your heat levels from rising!\Inuzuka is here, too!\He says he has the prisoners that they rescued! response:	Good! Let's open the hatch!
context: Haruto! You okay?!\Leave the rest to us!\Yamada, I can't\Come inside for the time being, Tokishima!\Take turns to keep your heat levels from rising!\Inuzuka is here, too!\He says he has the prisoners that they rescued!\Good! Let's open the hatch! response:	Otamaya!
context: Leave the rest to us!\Yamada, I can't\Come inside for the time being, Tokishima!\Take turns to keep your heat levels from rising!\Inuzuka is here, too!\He says he has the prisoners that they rescued!\Good! Let's open the hatch!\Otamaya! response:	It's no use!
context: Yamada, I can't\Come inside for the time being, Tokishima!\Take turns to keep your heat levels from rising!\Inuzuka is here, too!\He says he has the prisoners that they rescued!\Good! Let's open the hatch!\Otamaya!\It's no use! response:	The Impact Boosters' cooling fins don't have enough cooling capacity!
context: Come inside for the time being, Tokishima!\Take turns to keep your heat levels from rising!\Inuzuka is here, too!\He says he has the prisoners that they rescued!\Good! Let's open the hatch!\Otamaya!\It's no use!\The Impact Boosters' cooling fins don't have enough cooling capacity! response:	We're out of spares!
context: Take turns to keep your heat levels from rising!\Inuzuka is here, too!\He says he has the prisoners that they rescued!\Good! Let's open the hatch!\Otamaya!\It's no use!\The Impact Boosters' cooling fins don't have enough cooling capacity!\We're out of spares! response:	Crap!
context: Inuzuka is here, too!\He says he has the prisoners that they rescued!\Good! Let's open the hatch!\Otamaya!\It's no use!\The Impact Boosters' cooling fins don't have enough cooling capacity!\We're out of spares!\Crap! response:	Ah, they are vulnerable to heat.
context: He says he has the prisoners that they rescued!\Good! Let's open the hatch!\Otamaya!\It's no use!\The Impact Boosters' cooling fins don't have enough cooling capacity!\We're out of spares!\Crap!\Ah, they are vulnerable to heat. response:	If we fly here on the surface,
context: Good! Let's open the hatch!\Otamaya!\It's no use!\The Impact Boosters' cooling fins don't have enough cooling capacity!\We're out of spares!\Crap!\Ah, they are vulnerable to heat.\If we fly here on the surface, response:	we overheat in the blink of an eye!
context: Otamaya!\It's no use!\The Impact Boosters' cooling fins don't have enough cooling capacity!\We're out of spares!\Crap!\Ah, they are vulnerable to heat.\If we fly here on the surface,\we overheat in the blink of an eye! response:	Oh, these?
context: It's no use!\The Impact Boosters' cooling fins don't have enough cooling capacity!\We're out of spares!\Crap!\Ah, they are vulnerable to heat.\If we fly here on the surface,\we overheat in the blink of an eye!\Oh, these? response:	What are they?
context: The Impact Boosters' cooling fins don't have enough cooling capacity!\We're out of spares!\Crap!\Ah, they are vulnerable to heat.\If we fly here on the surface,\we overheat in the blink of an eye!\Oh, these?\What are they? response:	They are the result of my refusing the Council of 101.
context: We're out of spares!\Crap!\Ah, they are vulnerable to heat.\If we fly here on the surface,\we overheat in the blink of an eye!\Oh, these?\What are they?\They are the result of my refusing the Council of 101. response:	It is my punishment for trying
context: Crap!\Ah, they are vulnerable to heat.\If we fly here on the surface,\we overheat in the blink of an eye!\Oh, these?\What are they?\They are the result of my refusing the Council of 101.\It is my punishment for trying response:	to reveal everything and find a way to coexist with humanity.
context: Ah, they are vulnerable to heat.\If we fly here on the surface,\we overheat in the blink of an eye!\Oh, these?\What are they?\They are the result of my refusing the Council of 101.\It is my punishment for trying\to reveal everything and find a way to coexist with humanity. response:	Punishment?
context: If we fly here on the surface,\we overheat in the blink of an eye!\Oh, these?\What are they?\They are the result of my refusing the Council of 101.\It is my punishment for trying\to reveal everything and find a way to coexist with humanity.\Punishment? response:	My Runes are siphoned off at regular intervals.
context: we overheat in the blink of an eye!\Oh, these?\What are they?\They are the result of my refusing the Council of 101.\It is my punishment for trying\to reveal everything and find a way to coexist with humanity.\Punishment?\My Runes are siphoned off at regular intervals. response:	It leaves me in a constant state of barely clinging to life.
context: Oh, these?\What are they?\They are the result of my refusing the Council of 101.\It is my punishment for trying\to reveal everything and find a way to coexist with humanity.\Punishment?\My Runes are siphoned off at regular intervals.\It leaves me in a constant state of barely clinging to life. response:	I am grateful I had this chance to talk with you.
context: What are they?\They are the result of my refusing the Council of 101.\It is my punishment for trying\to reveal everything and find a way to coexist with humanity.\Punishment?\My Runes are siphoned off at regular intervals.\It leaves me in a constant state of barely clinging to life.\I am grateful I had this chance to talk with you. response:	This is goodbye.
context: They are the result of my refusing the Council of 101.\It is my punishment for trying\to reveal everything and find a way to coexist with humanity.\Punishment?\My Runes are siphoned off at regular intervals.\It leaves me in a constant state of barely clinging to life.\I am grateful I had this chance to talk with you.\This is goodbye. response:	But you
context: It is my punishment for trying\to reveal everything and find a way to coexist with humanity.\Punishment?\My Runes are siphoned off at regular intervals.\It leaves me in a constant state of barely clinging to life.\I am grateful I had this chance to talk with you.\This is goodbye.\But you response:	If I hadn't fled with you, Michael wouldn't have left either, right?
context: to reveal everything and find a way to coexist with humanity.\Punishment?\My Runes are siphoned off at regular intervals.\It leaves me in a constant state of barely clinging to life.\I am grateful I had this chance to talk with you.\This is goodbye.\But you\If I hadn't fled with you, Michael wouldn't have left either, right? response:	Then you did this for L-elf...
context: Punishment?\My Runes are siphoned off at regular intervals.\It leaves me in a constant state of barely clinging to life.\I am grateful I had this chance to talk with you.\This is goodbye.\But you\If I hadn't fled with you, Michael wouldn't have left either, right?\Then you did this for L-elf... response:	Michael said that he was in love with me.
context: My Runes are siphoned off at regular intervals.\It leaves me in a constant state of barely clinging to life.\I am grateful I had this chance to talk with you.\This is goodbye.\But you\If I hadn't fled with you, Michael wouldn't have left either, right?\Then you did this for L-elf...\Michael said that he was in love with me. response:	But I am a Magius.
context: It leaves me in a constant state of barely clinging to life.\I am grateful I had this chance to talk with you.\This is goodbye.\But you\If I hadn't fled with you, Michael wouldn't have left either, right?\Then you did this for L-elf...\Michael said that he was in love with me.\But I am a Magius. response:	We cannot be with a human.
context: I am grateful I had this chance to talk with you.\This is goodbye.\But you\If I hadn't fled with you, Michael wouldn't have left either, right?\Then you did this for L-elf...\Michael said that he was in love with me.\But I am a Magius.\We cannot be with a human. response:	That's not right!
context: This is goodbye.\But you\If I hadn't fled with you, Michael wouldn't have left either, right?\Then you did this for L-elf...\Michael said that he was in love with me.\But I am a Magius.\We cannot be with a human.\That's not right! response:	I'm begging you.
context: But you\If I hadn't fled with you, Michael wouldn't have left either, right?\Then you did this for L-elf...\Michael said that he was in love with me.\But I am a Magius.\We cannot be with a human.\That's not right!\I'm begging you. response:	Don't arbitrarily write it off like that.
context: If I hadn't fled with you, Michael wouldn't have left either, right?\Then you did this for L-elf...\Michael said that he was in love with me.\But I am a Magius.\We cannot be with a human.\That's not right!\I'm begging you.\Don't arbitrarily write it off like that. response:	L-elf wouldn't want that,
context: Then you did this for L-elf...\Michael said that he was in love with me.\But I am a Magius.\We cannot be with a human.\That's not right!\I'm begging you.\Don't arbitrarily write it off like that.\L-elf wouldn't want that, response:	and knowing him,
context: Michael said that he was in love with me.\But I am a Magius.\We cannot be with a human.\That's not right!\I'm begging you.\Don't arbitrarily write it off like that.\L-elf wouldn't want that,\and knowing him, response:	I'm sure that he can make both you and himself happy.
context: But I am a Magius.\We cannot be with a human.\That's not right!\I'm begging you.\Don't arbitrarily write it off like that.\L-elf wouldn't want that,\and knowing him,\I'm sure that he can make both you and himself happy. response:	He's an amazing person.
context: We cannot be with a human.\That's not right!\I'm begging you.\Don't arbitrarily write it off like that.\L-elf wouldn't want that,\and knowing him,\I'm sure that he can make both you and himself happy.\He's an amazing person. response:	He's so smart and level-headed that it makes me mad. So please, don't.
context: That's not right!\I'm begging you.\Don't arbitrarily write it off like that.\L-elf wouldn't want that,\and knowing him,\I'm sure that he can make both you and himself happy.\He's an amazing person.\He's so smart and level-headed that it makes me mad. So please, don't. response:	Michael is most fortunate.
context: I'm begging you.\Don't arbitrarily write it off like that.\L-elf wouldn't want that,\and knowing him,\I'm sure that he can make both you and himself happy.\He's an amazing person.\He's so smart and level-headed that it makes me mad. So please, don't.\Michael is most fortunate. response:	He has a good friend in you.
context: Don't arbitrarily write it off like that.\L-elf wouldn't want that,\and knowing him,\I'm sure that he can make both you and himself happy.\He's an amazing person.\He's so smart and level-headed that it makes me mad. So please, don't.\Michael is most fortunate.\He has a good friend in you. response:	Damn it, they won't stand still!
context: L-elf wouldn't want that,\and knowing him,\I'm sure that he can make both you and himself happy.\He's an amazing person.\He's so smart and level-headed that it makes me mad. So please, don't.\Michael is most fortunate.\He has a good friend in you.\Damn it, they won't stand still! response:	Yamada, don't try to fly! If you overheat, it's all over!
context: and knowing him,\I'm sure that he can make both you and himself happy.\He's an amazing person.\He's so smart and level-headed that it makes me mad. So please, don't.\Michael is most fortunate.\He has a good friend in you.\Damn it, they won't stand still!\Yamada, don't try to fly! If you overheat, it's all over! response:	I already got bigger problems!
context: I'm sure that he can make both you and himself happy.\He's an amazing person.\He's so smart and level-headed that it makes me mad. So please, don't.\Michael is most fortunate.\He has a good friend in you.\Damn it, they won't stand still!\Yamada, don't try to fly! If you overheat, it's all over!\I already got bigger problems! response:	But if all they do is provide cover, we'll never...
context: He's an amazing person.\He's so smart and level-headed that it makes me mad. So please, don't.\Michael is most fortunate.\He has a good friend in you.\Damn it, they won't stand still!\Yamada, don't try to fly! If you overheat, it's all over!\I already got bigger problems!\But if all they do is provide cover, we'll never... response:	We wait for instructions from L-elf!
context: He's so smart and level-headed that it makes me mad. So please, don't.\Michael is most fortunate.\He has a good friend in you.\Damn it, they won't stand still!\Yamada, don't try to fly! If you overheat, it's all over!\I already got bigger problems!\But if all they do is provide cover, we'll never...\We wait for instructions from L-elf! response:	Where's Professor Kibukawa?
context: Michael is most fortunate.\He has a good friend in you.\Damn it, they won't stand still!\Yamada, don't try to fly! If you overheat, it's all over!\I already got bigger problems!\But if all they do is provide cover, we'll never...\We wait for instructions from L-elf!\Where's Professor Kibukawa? response:	In the hangar!
context: He has a good friend in you.\Damn it, they won't stand still!\Yamada, don't try to fly! If you overheat, it's all over!\I already got bigger problems!\But if all they do is provide cover, we'll never...\We wait for instructions from L-elf!\Where's Professor Kibukawa?\In the hangar! response:	He's running a check on the shuttle!
context: Damn it, they won't stand still!\Yamada, don't try to fly! If you overheat, it's all over!\I already got bigger problems!\But if all they do is provide cover, we'll never...\We wait for instructions from L-elf!\Where's Professor Kibukawa?\In the hangar!\He's running a check on the shuttle! response:	L-elf!
context: Yamada, don't try to fly! If you overheat, it's all over!\I already got bigger problems!\But if all they do is provide cover, we'll never...\We wait for instructions from L-elf!\Where's Professor Kibukawa?\In the hangar!\He's running a check on the shuttle!\L-elf! response:	Has Unit 1 returned?
context: I already got bigger problems!\But if all they do is provide cover, we'll never...\We wait for instructions from L-elf!\Where's Professor Kibukawa?\In the hangar!\He's running a check on the shuttle!\L-elf!\Has Unit 1 returned? response:	Yes! But we're pinned down!
context: But if all they do is provide cover, we'll never...\We wait for instructions from L-elf!\Where's Professor Kibukawa?\In the hangar!\He's running a check on the shuttle!\L-elf!\Has Unit 1 returned?\Yes! But we're pinned down! response:	Renbokoji. We're changing course.
context: We wait for instructions from L-elf!\Where's Professor Kibukawa?\In the hangar!\He's running a check on the shuttle!\L-elf!\Has Unit 1 returned?\Yes! But we're pinned down!\Renbokoji. We're changing course. response:	Leave from the east side and use the road as a runway.
context: Where's Professor Kibukawa?\In the hangar!\He's running a check on the shuttle!\L-elf!\Has Unit 1 returned?\Yes! But we're pinned down!\Renbokoji. We're changing course.\Leave from the east side and use the road as a runway. response:	We can't, there's a river to the east.
context: In the hangar!\He's running a check on the shuttle!\L-elf!\Has Unit 1 returned?\Yes! But we're pinned down!\Renbokoji. We're changing course.\Leave from the east side and use the road as a runway.\We can't, there's a river to the east. response:	There's not enough room to take off.
context: He's running a check on the shuttle!\L-elf!\Has Unit 1 returned?\Yes! But we're pinned down!\Renbokoji. We're changing course.\Leave from the east side and use the road as a runway.\We can't, there's a river to the east.\There's not enough room to take off. response:	If I lower the drawbridge, it will link to the road on the far side of the river.
context: L-elf!\Has Unit 1 returned?\Yes! But we're pinned down!\Renbokoji. We're changing course.\Leave from the east side and use the road as a runway.\We can't, there's a river to the east.\There's not enough room to take off.\If I lower the drawbridge, it will link to the road on the far side of the river. response:	How will you lower it?
context: Has Unit 1 returned?\Yes! But we're pinned down!\Renbokoji. We're changing course.\Leave from the east side and use the road as a runway.\We can't, there's a river to the east.\There's not enough room to take off.\If I lower the drawbridge, it will link to the road on the far side of the river.\How will you lower it? response:	I'll think of something. Just carry out your instructions!
context: Yes! But we're pinned down!\Renbokoji. We're changing course.\Leave from the east side and use the road as a runway.\We can't, there's a river to the east.\There's not enough room to take off.\If I lower the drawbridge, it will link to the road on the far side of the river.\How will you lower it?\I'll think of something. Just carry out your instructions! response:	Is the area past the river safe?
context: Renbokoji. We're changing course.\Leave from the east side and use the road as a runway.\We can't, there's a river to the east.\There's not enough room to take off.\If I lower the drawbridge, it will link to the road on the far side of the river.\How will you lower it?\I'll think of something. Just carry out your instructions!\Is the area past the river safe? response:	It's a country road, but it will work. Let's have faith in L-elf.
context: Leave from the east side and use the road as a runway.\We can't, there's a river to the east.\There's not enough room to take off.\If I lower the drawbridge, it will link to the road on the far side of the river.\How will you lower it?\I'll think of something. Just carry out your instructions!\Is the area past the river safe?\It's a country road, but it will work. Let's have faith in L-elf. response:	There's been a change in route.
context: We can't, there's a river to the east.\There's not enough room to take off.\If I lower the drawbridge, it will link to the road on the far side of the river.\How will you lower it?\I'll think of something. Just carry out your instructions!\Is the area past the river safe?\It's a country road, but it will work. Let's have faith in L-elf.\There's been a change in route. response:	We're using the road to the east as a runway.
context: There's not enough room to take off.\If I lower the drawbridge, it will link to the road on the far side of the river.\How will you lower it?\I'll think of something. Just carry out your instructions!\Is the area past the river safe?\It's a country road, but it will work. Let's have faith in L-elf.\There's been a change in route.\We're using the road to the east as a runway. response:	But there's
context: If I lower the drawbridge, it will link to the road on the far side of the river.\How will you lower it?\I'll think of something. Just carry out your instructions!\Is the area past the river safe?\It's a country road, but it will work. Let's have faith in L-elf.\There's been a change in route.\We're using the road to the east as a runway.\But there's response:	L-elf will lower the drawbridge for us.
context: How will you lower it?\I'll think of something. Just carry out your instructions!\Is the area past the river safe?\It's a country road, but it will work. Let's have faith in L-elf.\There's been a change in route.\We're using the road to the east as a runway.\But there's\L-elf will lower the drawbridge for us. response:	We'll use the road as our runway.
context: I'll think of something. Just carry out your instructions!\Is the area past the river safe?\It's a country road, but it will work. Let's have faith in L-elf.\There's been a change in route.\We're using the road to the east as a runway.\But there's\L-elf will lower the drawbridge for us.\We'll use the road as our runway. response:	Turn it around! Unit 5, smash through the wall!
context: Is the area past the river safe?\It's a country road, but it will work. Let's have faith in L-elf.\There's been a change in route.\We're using the road to the east as a runway.\But there's\L-elf will lower the drawbridge for us.\We'll use the road as our runway.\Turn it around! Unit 5, smash through the wall! response:	L-elf... You always think of something!
context: It's a country road, but it will work. Let's have faith in L-elf.\There's been a change in route.\We're using the road to the east as a runway.\But there's\L-elf will lower the drawbridge for us.\We'll use the road as our runway.\Turn it around! Unit 5, smash through the wall!\L-elf... You always think of something! response:	But... what about Michael?
context: There's been a change in route.\We're using the road to the east as a runway.\But there's\L-elf will lower the drawbridge for us.\We'll use the road as our runway.\Turn it around! Unit 5, smash through the wall!\L-elf... You always think of something!\But... what about Michael? response:	I've beaten you, Cain.
context: We're using the road to the east as a runway.\But there's\L-elf will lower the drawbridge for us.\We'll use the road as our runway.\Turn it around! Unit 5, smash through the wall!\L-elf... You always think of something!\But... what about Michael?\I've beaten you, Cain. response:	The drawbridge is moving!
context: But there's\L-elf will lower the drawbridge for us.\We'll use the road as our runway.\Turn it around! Unit 5, smash through the wall!\L-elf... You always think of something!\But... what about Michael?\I've beaten you, Cain.\The drawbridge is moving! response:	I see, that's what he's planning...
context: L-elf will lower the drawbridge for us.\We'll use the road as our runway.\Turn it around! Unit 5, smash through the wall!\L-elf... You always think of something!\But... what about Michael?\I've beaten you, Cain.\The drawbridge is moving!\I see, that's what he's planning... response:	L-elf, you know this city like the back of your hand, don't you?
context: We'll use the road as our runway.\Turn it around! Unit 5, smash through the wall!\L-elf... You always think of something!\But... what about Michael?\I've beaten you, Cain.\The drawbridge is moving!\I see, that's what he's planning...\L-elf, you know this city like the back of your hand, don't you? response:	Let's move! Can you fly?
context: Turn it around! Unit 5, smash through the wall!\L-elf... You always think of something!\But... what about Michael?\I've beaten you, Cain.\The drawbridge is moving!\I see, that's what he's planning...\L-elf, you know this city like the back of your hand, don't you?\Let's move! Can you fly? response:	I can fly! I'm good to go!
context: L-elf... You always think of something!\But... what about Michael?\I've beaten you, Cain.\The drawbridge is moving!\I see, that's what he's planning...\L-elf, you know this city like the back of your hand, don't you?\Let's move! Can you fly?\I can fly! I'm good to go! response:	You're not getting away from us!
context: But... what about Michael?\I've beaten you, Cain.\The drawbridge is moving!\I see, that's what he's planning...\L-elf, you know this city like the back of your hand, don't you?\Let's move! Can you fly?\I can fly! I'm good to go!\You're not getting away from us! response:	It's fast!
context: I've beaten you, Cain.\The drawbridge is moving!\I see, that's what he's planning...\L-elf, you know this city like the back of your hand, don't you?\Let's move! Can you fly?\I can fly! I'm good to go!\You're not getting away from us!\It's fast! response:	Escape, Lieselotte...
context: The drawbridge is moving!\I see, that's what he's planning...\L-elf, you know this city like the back of your hand, don't you?\Let's move! Can you fly?\I can fly! I'm good to go!\You're not getting away from us!\It's fast!\Escape, Lieselotte... response:	Haruto Tokishima?
context: I see, that's what he's planning...\L-elf, you know this city like the back of your hand, don't you?\Let's move! Can you fly?\I can fly! I'm good to go!\You're not getting away from us!\It's fast!\Escape, Lieselotte...\Haruto Tokishima? response:	What kind of fool are you?
context: L-elf, you know this city like the back of your hand, don't you?\Let's move! Can you fly?\I can fly! I'm good to go!\You're not getting away from us!\It's fast!\Escape, Lieselotte...\Haruto Tokishima?\What kind of fool are you? response:	I know exactly how it feels to want to save someone.
context: Let's move! Can you fly?\I can fly! I'm good to go!\You're not getting away from us!\It's fast!\Escape, Lieselotte...\Haruto Tokishima?\What kind of fool are you?\I know exactly how it feels to want to save someone. response:	Lowenglitzen!
context: I can fly! I'm good to go!\You're not getting away from us!\It's fast!\Escape, Lieselotte...\Haruto Tokishima?\What kind of fool are you?\I know exactly how it feels to want to save someone.\Lowenglitzen! response:	What the hell?! This thing's aim is off!
context: You're not getting away from us!\It's fast!\Escape, Lieselotte...\Haruto Tokishima?\What kind of fool are you?\I know exactly how it feels to want to save someone.\Lowenglitzen!\What the hell?! This thing's aim is off! response:	No, it did enough.
context: It's fast!\Escape, Lieselotte...\Haruto Tokishima?\What kind of fool are you?\I know exactly how it feels to want to save someone.\Lowenglitzen!\What the hell?! This thing's aim is off!\No, it did enough. response:	Output falling!
context: Escape, Lieselotte...\Haruto Tokishima?\What kind of fool are you?\I know exactly how it feels to want to save someone.\Lowenglitzen!\What the hell?! This thing's aim is off!\No, it did enough.\Output falling! response:	We won't have enough thrust to leave the atmosphere!
context: Haruto Tokishima?\What kind of fool are you?\I know exactly how it feels to want to save someone.\Lowenglitzen!\What the hell?! This thing's aim is off!\No, it did enough.\Output falling!\We won't have enough thrust to leave the atmosphere! response:	It's going to explode! Detach us!
context: What kind of fool are you?\I know exactly how it feels to want to save someone.\Lowenglitzen!\What the hell?! This thing's aim is off!\No, it did enough.\Output falling!\We won't have enough thrust to leave the atmosphere!\It's going to explode! Detach us! response:	I can't! If we lose altitude now, we'll be shot down!
context: I know exactly how it feels to want to save someone.\Lowenglitzen!\What the hell?! This thing's aim is off!\No, it did enough.\Output falling!\We won't have enough thrust to leave the atmosphere!\It's going to explode! Detach us!\I can't! If we lose altitude now, we'll be shot down! response:	What do we do?!
context: Lowenglitzen!\What the hell?! This thing's aim is off!\No, it did enough.\Output falling!\We won't have enough thrust to leave the atmosphere!\It's going to explode! Detach us!\I can't! If we lose altitude now, we'll be shot down!\What do we do?! response:	I don't want to die!
context: What the hell?! This thing's aim is off!\No, it did enough.\Output falling!\We won't have enough thrust to leave the atmosphere!\It's going to explode! Detach us!\I can't! If we lose altitude now, we'll be shot down!\What do we do?!\I don't want to die! response:	Can't you push it with Unit 1?
context: No, it did enough.\Output falling!\We won't have enough thrust to leave the atmosphere!\It's going to explode! Detach us!\I can't! If we lose altitude now, we'll be shot down!\What do we do?!\I don't want to die!\Can't you push it with Unit 1? response:	I can't, I'm already on the verge of overheating!
context: Output falling!\We won't have enough thrust to leave the atmosphere!\It's going to explode! Detach us!\I can't! If we lose altitude now, we'll be shot down!\What do we do?!\I don't want to die!\Can't you push it with Unit 1?\I can't, I'm already on the verge of overheating! response:	Michael... I feel the same way.
context: We won't have enough thrust to leave the atmosphere!\It's going to explode! Detach us!\I can't! If we lose altitude now, we'll be shot down!\What do we do?!\I don't want to die!\Can't you push it with Unit 1?\I can't, I'm already on the verge of overheating!\Michael... I feel the same way. response:	The curse of diffusion breakdown...
context: It's going to explode! Detach us!\I can't! If we lose altitude now, we'll be shot down!\What do we do?!\I don't want to die!\Can't you push it with Unit 1?\I can't, I'm already on the verge of overheating!\Michael... I feel the same way.\The curse of diffusion breakdown... response:	But that won't stop me!
context: I can't! If we lose altitude now, we'll be shot down!\What do we do?!\I don't want to die!\Can't you push it with Unit 1?\I can't, I'm already on the verge of overheating!\Michael... I feel the same way.\The curse of diffusion breakdown...\But that won't stop me! response:	That's the light of a Valvrave! Is there another unit?
context: What do we do?!\I don't want to die!\Can't you push it with Unit 1?\I can't, I'm already on the verge of overheating!\Michael... I feel the same way.\The curse of diffusion breakdown...\But that won't stop me!\That's the light of a Valvrave! Is there another unit? response:	Michael.
context: I don't want to die!\Can't you push it with Unit 1?\I can't, I'm already on the verge of overheating!\Michael... I feel the same way.\The curse of diffusion breakdown...\But that won't stop me!\That's the light of a Valvrave! Is there another unit?\Michael. response:	It truly made me happy.
context: Can't you push it with Unit 1?\I can't, I'm already on the verge of overheating!\Michael... I feel the same way.\The curse of diffusion breakdown...\But that won't stop me!\That's the light of a Valvrave! Is there another unit?\Michael.\It truly made me happy. response:	When you said you loved me.
context: I can't, I'm already on the verge of overheating!\Michael... I feel the same way.\The curse of diffusion breakdown...\But that won't stop me!\That's the light of a Valvrave! Is there another unit?\Michael.\It truly made me happy.\When you said you loved me. response:	Hang in there!
