context: The Third Plate response:	Four
context: Huh?\Wow...\Yeah!\Hey, thanks for this, Tomita-san!\I can't say no to you, Soma-chan.\Besides, they were just gathering dust in the shopping district's warehouse.\Still...\That other place is so out of this world. response:	Are you sure these benches will work?
context: Wow...\Yeah!\Hey, thanks for this, Tomita-san!\I can't say no to you, Soma-chan.\Besides, they were just gathering dust in the shopping district's warehouse.\Still...\That other place is so out of this world.\Are you sure these benches will work? response:	Yeah, I'm super grateful for them.
context: Yeah!\Hey, thanks for this, Tomita-san!\I can't say no to you, Soma-chan.\Besides, they were just gathering dust in the shopping district's warehouse.\Still...\That other place is so out of this world.\Are you sure these benches will work?\Yeah, I'm super grateful for them. response:	Oh, Tomita-san, please have a bite before you go as a sign of our thanks.
context: Hey, thanks for this, Tomita-san!\I can't say no to you, Soma-chan.\Besides, they were just gathering dust in the shopping district's warehouse.\Still...\That other place is so out of this world.\Are you sure these benches will work?\Yeah, I'm super grateful for them.\Oh, Tomita-san, please have a bite before you go as a sign of our thanks. response:	Oh, really?
context: I can't say no to you, Soma-chan.\Besides, they were just gathering dust in the shopping district's warehouse.\Still...\That other place is so out of this world.\Are you sure these benches will work?\Yeah, I'm super grateful for them.\Oh, Tomita-san, please have a bite before you go as a sign of our thanks.\Oh, really? response:	I haven't had your food in a while.
context: Besides, they were just gathering dust in the shopping district's warehouse.\Still...\That other place is so out of this world.\Are you sure these benches will work?\Yeah, I'm super grateful for them.\Oh, Tomita-san, please have a bite before you go as a sign of our thanks.\Oh, really?\I haven't had your food in a while. response:	I can enjoy Yukihira Diner's taste again.
context: Still...\That other place is so out of this world.\Are you sure these benches will work?\Yeah, I'm super grateful for them.\Oh, Tomita-san, please have a bite before you go as a sign of our thanks.\Oh, really?\I haven't had your food in a while.\I can enjoy Yukihira Diner's taste again. response:	You're not very smart, are you, Yukihira-chin?
context: That other place is so out of this world.\Are you sure these benches will work?\Yeah, I'm super grateful for them.\Oh, Tomita-san, please have a bite before you go as a sign of our thanks.\Oh, really?\I haven't had your food in a while.\I can enjoy Yukihira Diner's taste again.\You're not very smart, are you, Yukihira-chin? response:	This is what you finally came up with after wracking your brains?
context: Are you sure these benches will work?\Yeah, I'm super grateful for them.\Oh, Tomita-san, please have a bite before you go as a sign of our thanks.\Oh, really?\I haven't had your food in a while.\I can enjoy Yukihira Diner's taste again.\You're not very smart, are you, Yukihira-chin?\This is what you finally came up with after wracking your brains? response:	You think you can just up your customer numbers by increasing seat numbers?
context: Yeah, I'm super grateful for them.\Oh, Tomita-san, please have a bite before you go as a sign of our thanks.\Oh, really?\I haven't had your food in a while.\I can enjoy Yukihira Diner's taste again.\You're not very smart, are you, Yukihira-chin?\This is what you finally came up with after wracking your brains?\You think you can just up your customer numbers by increasing seat numbers? response:	That's pretty simplistic, isn't it,
context: Oh, Tomita-san, please have a bite before you go as a sign of our thanks.\Oh, really?\I haven't had your food in a while.\I can enjoy Yukihira Diner's taste again.\You're not very smart, are you, Yukihira-chin?\This is what you finally came up with after wracking your brains?\You think you can just up your customer numbers by increasing seat numbers?\That's pretty simplistic, isn't it, response:	even if you know you can never beat my flavors?
context: Oh, really?\I haven't had your food in a while.\I can enjoy Yukihira Diner's taste again.\You're not very smart, are you, Yukihira-chin?\This is what you finally came up with after wracking your brains?\You think you can just up your customer numbers by increasing seat numbers?\That's pretty simplistic, isn't it,\even if you know you can never beat my flavors? response:	It's true that this is my first Moon Festival,
context: I haven't had your food in a while.\I can enjoy Yukihira Diner's taste again.\You're not very smart, are you, Yukihira-chin?\This is what you finally came up with after wracking your brains?\You think you can just up your customer numbers by increasing seat numbers?\That's pretty simplistic, isn't it,\even if you know you can never beat my flavors?\It's true that this is my first Moon Festival, response:	and I'm a newcomer to the scene who only transferred here six months ago.
context: I can enjoy Yukihira Diner's taste again.\You're not very smart, are you, Yukihira-chin?\This is what you finally came up with after wracking your brains?\You think you can just up your customer numbers by increasing seat numbers?\That's pretty simplistic, isn't it,\even if you know you can never beat my flavors?\It's true that this is my first Moon Festival,\and I'm a newcomer to the scene who only transferred here six months ago. response:	But as far as my experience in the service industry with actual restaurants goes...
context: You're not very smart, are you, Yukihira-chin?\This is what you finally came up with after wracking your brains?\You think you can just up your customer numbers by increasing seat numbers?\That's pretty simplistic, isn't it,\even if you know you can never beat my flavors?\It's true that this is my first Moon Festival,\and I'm a newcomer to the scene who only transferred here six months ago.\But as far as my experience in the service industry with actual restaurants goes... response:	I've got about ten years on you, Senpai.
context: This is what you finally came up with after wracking your brains?\You think you can just up your customer numbers by increasing seat numbers?\That's pretty simplistic, isn't it,\even if you know you can never beat my flavors?\It's true that this is my first Moon Festival,\and I'm a newcomer to the scene who only transferred here six months ago.\But as far as my experience in the service industry with actual restaurants goes...\I've got about ten years on you, Senpai. response:	Besides...
context: You think you can just up your customer numbers by increasing seat numbers?\That's pretty simplistic, isn't it,\even if you know you can never beat my flavors?\It's true that this is my first Moon Festival,\and I'm a newcomer to the scene who only transferred here six months ago.\But as far as my experience in the service industry with actual restaurants goes...\I've got about ten years on you, Senpai.\Besides... response:	What?!
context: That's pretty simplistic, isn't it,\even if you know you can never beat my flavors?\It's true that this is my first Moon Festival,\and I'm a newcomer to the scene who only transferred here six months ago.\But as far as my experience in the service industry with actual restaurants goes...\I've got about ten years on you, Senpai.\Besides...\What?! response:	What's he making?!
context: even if you know you can never beat my flavors?\It's true that this is my first Moon Festival,\and I'm a newcomer to the scene who only transferred here six months ago.\But as far as my experience in the service industry with actual restaurants goes...\I've got about ten years on you, Senpai.\Besides...\What?!\What's he making?! response:	It's mapo tofu!
context: It's true that this is my first Moon Festival,\and I'm a newcomer to the scene who only transferred here six months ago.\But as far as my experience in the service industry with actual restaurants goes...\I've got about ten years on you, Senpai.\Besides...\What?!\What's he making?!\It's mapo tofu! response:	He's going to face Kuga Terunori head-on with mapo tofu?!
context: and I'm a newcomer to the scene who only transferred here six months ago.\But as far as my experience in the service industry with actual restaurants goes...\I've got about ten years on you, Senpai.\Besides...\What?!\What's he making?!\It's mapo tofu!\He's going to face Kuga Terunori head-on with mapo tofu?! response:	Here, Soma-kun!
context: But as far as my experience in the service industry with actual restaurants goes...\I've got about ten years on you, Senpai.\Besides...\What?!\What's he making?!\It's mapo tofu!\He's going to face Kuga Terunori head-on with mapo tofu?!\Here, Soma-kun! response:	Thanks!
context: I've got about ten years on you, Senpai.\Besides...\What?!\What's he making?!\It's mapo tofu!\He's going to face Kuga Terunori head-on with mapo tofu?!\Here, Soma-kun!\Thanks! response:	He's adding noodles to the mapo tofu.
context: Besides...\What?!\What's he making?!\It's mapo tofu!\He's going to face Kuga Terunori head-on with mapo tofu?!\Here, Soma-kun!\Thanks!\He's adding noodles to the mapo tofu. response:	I see. It's mapo noodles.
context: What?!\What's he making?!\It's mapo tofu!\He's going to face Kuga Terunori head-on with mapo tofu?!\Here, Soma-kun!\Thanks!\He's adding noodles to the mapo tofu.\I see. It's mapo noodles. response:	He's put a bit of a twist on it,
context: What's he making?!\It's mapo tofu!\He's going to face Kuga Terunori head-on with mapo tofu?!\Here, Soma-kun!\Thanks!\He's adding noodles to the mapo tofu.\I see. It's mapo noodles.\He's put a bit of a twist on it, response:	but that doesn't mean it's anything novel!
context: It's mapo tofu!\He's going to face Kuga Terunori head-on with mapo tofu?!\Here, Soma-kun!\Thanks!\He's adding noodles to the mapo tofu.\I see. It's mapo noodles.\He's put a bit of a twist on it,\but that doesn't mean it's anything novel! response:	It's laughable that he's trying to go
context: He's going to face Kuga Terunori head-on with mapo tofu?!\Here, Soma-kun!\Thanks!\He's adding noodles to the mapo tofu.\I see. It's mapo noodles.\He's put a bit of a twist on it,\but that doesn't mean it's anything novel!\It's laughable that he's trying to go response:	up against Chinese Cuisine RS with so little impact!
context: Here, Soma-kun!\Thanks!\He's adding noodles to the mapo tofu.\I see. It's mapo noodles.\He's put a bit of a twist on it,\but that doesn't mean it's anything novel!\It's laughable that he's trying to go\up against Chinese Cuisine RS with so little impact! response:	What?!
context: Thanks!\He's adding noodles to the mapo tofu.\I see. It's mapo noodles.\He's put a bit of a twist on it,\but that doesn't mean it's anything novel!\It's laughable that he's trying to go\up against Chinese Cuisine RS with so little impact!\What?! response:	What's that?!
context: He's adding noodles to the mapo tofu.\I see. It's mapo noodles.\He's put a bit of a twist on it,\but that doesn't mean it's anything novel!\It's laughable that he's trying to go\up against Chinese Cuisine RS with so little impact!\What?!\What's that?! response:	What's with that giant meatball?!
context: I see. It's mapo noodles.\He's put a bit of a twist on it,\but that doesn't mean it's anything novel!\It's laughable that he's trying to go\up against Chinese Cuisine RS with so little impact!\What?!\What's that?!\What's with that giant meatball?! response:	Besides, I told you, didn't I?
context: He's put a bit of a twist on it,\but that doesn't mean it's anything novel!\It's laughable that he's trying to go\up against Chinese Cuisine RS with so little impact!\What?!\What's that?!\What's with that giant meatball?!\Besides, I told you, didn't I? response:	I told you I'm going to win with my cooking.
context: but that doesn't mean it's anything novel!\It's laughable that he's trying to go\up against Chinese Cuisine RS with so little impact!\What?!\What's that?!\What's with that giant meatball?!\Besides, I told you, didn't I?\I told you I'm going to win with my cooking. response:	Let's get back.
context: It's laughable that he's trying to go\up against Chinese Cuisine RS with so little impact!\What?!\What's that?!\What's with that giant meatball?!\Besides, I told you, didn't I?\I told you I'm going to win with my cooking.\Let's get back. response:	Meatballs are nothing unusual.
context: up against Chinese Cuisine RS with so little impact!\What?!\What's that?!\What's with that giant meatball?!\Besides, I told you, didn't I?\I told you I'm going to win with my cooking.\Let's get back.\Meatballs are nothing unusual. response:	They're just for show!
context: What?!\What's that?!\What's with that giant meatball?!\Besides, I told you, didn't I?\I told you I'm going to win with my cooking.\Let's get back.\Meatballs are nothing unusual.\They're just for show! response:	Indeed!
context: What's that?!\What's with that giant meatball?!\Besides, I told you, didn't I?\I told you I'm going to win with my cooking.\Let's get back.\Meatballs are nothing unusual.\They're just for show!\Indeed! response:	That meatball...
context: What's with that giant meatball?!\Besides, I told you, didn't I?\I told you I'm going to win with my cooking.\Let's get back.\Meatballs are nothing unusual.\They're just for show!\Indeed!\That meatball... response:	Dig in, Tomita-san.
context: Besides, I told you, didn't I?\I told you I'm going to win with my cooking.\Let's get back.\Meatballs are nothing unusual.\They're just for show!\Indeed!\That meatball...\Dig in, Tomita-san. response:	Thanks!
context: I told you I'm going to win with my cooking.\Let's get back.\Meatballs are nothing unusual.\They're just for show!\Indeed!\That meatball...\Dig in, Tomita-san.\Thanks! response:	Huh?
context: Let's get back.\Meatballs are nothing unusual.\They're just for show!\Indeed!\That meatball...\Dig in, Tomita-san.\Thanks!\Huh? response:	Soma-chan, what's this?
context: Meatballs are nothing unusual.\They're just for show!\Indeed!\That meatball...\Dig in, Tomita-san.\Thanks!\Huh?\Soma-chan, what's this? response:	Never mind that.
context: They're just for show!\Indeed!\That meatball...\Dig in, Tomita-san.\Thanks!\Huh?\Soma-chan, what's this?\Never mind that. response:	Please start by trying it without touching the meatball, if you can.
context: Indeed!\That meatball...\Dig in, Tomita-san.\Thanks!\Huh?\Soma-chan, what's this?\Never mind that.\Please start by trying it without touching the meatball, if you can. response:	Hmm...
context: That meatball...\Dig in, Tomita-san.\Thanks!\Huh?\Soma-chan, what's this?\Never mind that.\Please start by trying it without touching the meatball, if you can.\Hmm... response:	This is the Yukihira taste!
context: Dig in, Tomita-san.\Thanks!\Huh?\Soma-chan, what's this?\Never mind that.\Please start by trying it without touching the meatball, if you can.\Hmm...\This is the Yukihira taste! response:	This is the mapo tofu I've eaten before!
context: Thanks!\Huh?\Soma-chan, what's this?\Never mind that.\Please start by trying it without touching the meatball, if you can.\Hmm...\This is the Yukihira taste!\This is the mapo tofu I've eaten before! response:	The stable umami that almost makes you keep wanting to eat it every day!
context: Huh?\Soma-chan, what's this?\Never mind that.\Please start by trying it without touching the meatball, if you can.\Hmm...\This is the Yukihira taste!\This is the mapo tofu I've eaten before!\The stable umami that almost makes you keep wanting to eat it every day! response:	The pairing with the noodles is spot-on, too!
context: Soma-chan, what's this?\Never mind that.\Please start by trying it without touching the meatball, if you can.\Hmm...\This is the Yukihira taste!\This is the mapo tofu I've eaten before!\The stable umami that almost makes you keep wanting to eat it every day!\The pairing with the noodles is spot-on, too! response:	Well done, Soma-chan!
context: Never mind that.\Please start by trying it without touching the meatball, if you can.\Hmm...\This is the Yukihira taste!\This is the mapo tofu I've eaten before!\The stable umami that almost makes you keep wanting to eat it every day!\The pairing with the noodles is spot-on, too!\Well done, Soma-chan! response:	But...
context: Please start by trying it without touching the meatball, if you can.\Hmm...\This is the Yukihira taste!\This is the mapo tofu I've eaten before!\The stable umami that almost makes you keep wanting to eat it every day!\The pairing with the noodles is spot-on, too!\Well done, Soma-chan!\But... response:	Thank you for waiting!
context: Hmm...\This is the Yukihira taste!\This is the mapo tofu I've eaten before!\The stable umami that almost makes you keep wanting to eat it every day!\The pairing with the noodles is spot-on, too!\Well done, Soma-chan!\But...\Thank you for waiting! response:	Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!
context: This is the Yukihira taste!\This is the mapo tofu I've eaten before!\The stable umami that almost makes you keep wanting to eat it every day!\The pairing with the noodles is spot-on, too!\Well done, Soma-chan!\But...\Thank you for waiting!\Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu! response:	So spicy!
context: This is the mapo tofu I've eaten before!\The stable umami that almost makes you keep wanting to eat it every day!\The pairing with the noodles is spot-on, too!\Well done, Soma-chan!\But...\Thank you for waiting!\Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!\So spicy! response:	Spicy!
context: The stable umami that almost makes you keep wanting to eat it every day!\The pairing with the noodles is spot-on, too!\Well done, Soma-chan!\But...\Thank you for waiting!\Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!\So spicy!\Spicy! response:	I can't stop!
context: The pairing with the noodles is spot-on, too!\Well done, Soma-chan!\But...\Thank you for waiting!\Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!\So spicy!\Spicy!\I can't stop! response:	This is hardly enough to beat their far more dominating food.
context: Well done, Soma-chan!\But...\Thank you for waiting!\Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!\So spicy!\Spicy!\I can't stop!\This is hardly enough to beat their far more dominating food. response:	That opponent has no weaknesses.
context: But...\Thank you for waiting!\Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!\So spicy!\Spicy!\I can't stop!\This is hardly enough to beat their far more dominating food.\That opponent has no weaknesses. response:	Is that really true, though?
context: Thank you for waiting!\Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!\So spicy!\Spicy!\I can't stop!\This is hardly enough to beat their far more dominating food.\That opponent has no weaknesses.\Is that really true, though? response:	Huh?
context: Here's Kuga Restaurant's Specially-Made Authentic Mapo Tofu!\So spicy!\Spicy!\I can't stop!\This is hardly enough to beat their far more dominating food.\That opponent has no weaknesses.\Is that really true, though?\Huh? response:	It's difficult for even a veteran professional with decades of experience
context: So spicy!\Spicy!\I can't stop!\This is hardly enough to beat their far more dominating food.\That opponent has no weaknesses.\Is that really true, though?\Huh?\It's difficult for even a veteran professional with decades of experience response:	to completely please every single one of their customers.
context: Spicy!\I can't stop!\This is hardly enough to beat their far more dominating food.\That opponent has no weaknesses.\Is that really true, though?\Huh?\It's difficult for even a veteran professional with decades of experience\to completely please every single one of their customers. response:	How much longer?
context: I can't stop!\This is hardly enough to beat their far more dominating food.\That opponent has no weaknesses.\Is that really true, though?\Huh?\It's difficult for even a veteran professional with decades of experience\to completely please every single one of their customers.\How much longer? response:	I'm tired of waiting.
context: This is hardly enough to beat their far more dominating food.\That opponent has no weaknesses.\Is that really true, though?\Huh?\It's difficult for even a veteran professional with decades of experience\to completely please every single one of their customers.\How much longer?\I'm tired of waiting. response:	I'm hungry.
context: That opponent has no weaknesses.\Is that really true, though?\Huh?\It's difficult for even a veteran professional with decades of experience\to completely please every single one of their customers.\How much longer?\I'm tired of waiting.\I'm hungry. response:	I wonder when I can get in.
context: Is that really true, though?\Huh?\It's difficult for even a veteran professional with decades of experience\to completely please every single one of their customers.\How much longer?\I'm tired of waiting.\I'm hungry.\I wonder when I can get in. response:	Excuse me, sir.
context: Huh?\It's difficult for even a veteran professional with decades of experience\to completely please every single one of their customers.\How much longer?\I'm tired of waiting.\I'm hungry.\I wonder when I can get in.\Excuse me, sir. response:	During peak times,
context: It's difficult for even a veteran professional with decades of experience\to completely please every single one of their customers.\How much longer?\I'm tired of waiting.\I'm hungry.\I wonder when I can get in.\Excuse me, sir.\During peak times, response:	we're asking everyone to leave their tables within 20 minutes of being served.
context: to completely please every single one of their customers.\How much longer?\I'm tired of waiting.\I'm hungry.\I wonder when I can get in.\Excuse me, sir.\During peak times,\we're asking everyone to leave their tables within 20 minutes of being served. response:	What?
context: How much longer?\I'm tired of waiting.\I'm hungry.\I wonder when I can get in.\Excuse me, sir.\During peak times,\we're asking everyone to leave their tables within 20 minutes of being served.\What? response:	But we just finished eating!
context: I'm tired of waiting.\I'm hungry.\I wonder when I can get in.\Excuse me, sir.\During peak times,\we're asking everyone to leave their tables within 20 minutes of being served.\What?\But we just finished eating! response:	I really wanted to try authentic Sichuan cuisine, but the line is huge.
context: I'm hungry.\I wonder when I can get in.\Excuse me, sir.\During peak times,\we're asking everyone to leave their tables within 20 minutes of being served.\What?\But we just finished eating!\I really wanted to try authentic Sichuan cuisine, but the line is huge. response:	I'm hungry!
context: I wonder when I can get in.\Excuse me, sir.\During peak times,\we're asking everyone to leave their tables within 20 minutes of being served.\What?\But we just finished eating!\I really wanted to try authentic Sichuan cuisine, but the line is huge.\I'm hungry! response:	How much longer?
context: Excuse me, sir.\During peak times,\we're asking everyone to leave their tables within 20 minutes of being served.\What?\But we just finished eating!\I really wanted to try authentic Sichuan cuisine, but the line is huge.\I'm hungry!\How much longer? response:	I'm tired of waiting.
context: During peak times,\we're asking everyone to leave their tables within 20 minutes of being served.\What?\But we just finished eating!\I really wanted to try authentic Sichuan cuisine, but the line is huge.\I'm hungry!\How much longer?\I'm tired of waiting. response:	I'm starving.
context: we're asking everyone to leave their tables within 20 minutes of being served.\What?\But we just finished eating!\I really wanted to try authentic Sichuan cuisine, but the line is huge.\I'm hungry!\How much longer?\I'm tired of waiting.\I'm starving. response:	I can't wait anymore!
context: What?\But we just finished eating!\I really wanted to try authentic Sichuan cuisine, but the line is huge.\I'm hungry!\How much longer?\I'm tired of waiting.\I'm starving.\I can't wait anymore! response:	I want to eat!
context: But we just finished eating!\I really wanted to try authentic Sichuan cuisine, but the line is huge.\I'm hungry!\How much longer?\I'm tired of waiting.\I'm starving.\I can't wait anymore!\I want to eat! response:	I'm at my limit.
context: I really wanted to try authentic Sichuan cuisine, but the line is huge.\I'm hungry!\How much longer?\I'm tired of waiting.\I'm starving.\I can't wait anymore!\I want to eat!\I'm at my limit. response:	Hm...
context: I'm hungry!\How much longer?\I'm tired of waiting.\I'm starving.\I can't wait anymore!\I want to eat!\I'm at my limit.\Hm... response:	I've been watching them all this time.
context: How much longer?\I'm tired of waiting.\I'm starving.\I can't wait anymore!\I want to eat!\I'm at my limit.\Hm...\I've been watching them all this time. response:	It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.
context: I'm tired of waiting.\I'm starving.\I can't wait anymore!\I want to eat!\I'm at my limit.\Hm...\I've been watching them all this time.\It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were. response:	Okay, Tomita-san.
context: I'm starving.\I can't wait anymore!\I want to eat!\I'm at my limit.\Hm...\I've been watching them all this time.\It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.\Okay, Tomita-san. response:	Plunge that meatball right into the mapo tofu and split it open!
context: I can't wait anymore!\I want to eat!\I'm at my limit.\Hm...\I've been watching them all this time.\It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.\Okay, Tomita-san.\Plunge that meatball right into the mapo tofu and split it open! response:	Huh?
context: I want to eat!\I'm at my limit.\Hm...\I've been watching them all this time.\It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.\Okay, Tomita-san.\Plunge that meatball right into the mapo tofu and split it open!\Huh? response:	O-Okay.
context: I'm at my limit.\Hm...\I've been watching them all this time.\It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.\Okay, Tomita-san.\Plunge that meatball right into the mapo tofu and split it open!\Huh?\O-Okay. response:	Plunge the meatball in...
context: Hm...\I've been watching them all this time.\It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.\Okay, Tomita-san.\Plunge that meatball right into the mapo tofu and split it open!\Huh?\O-Okay.\Plunge the meatball in... response:	Th... The moon...
context: I've been watching them all this time.\It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.\Okay, Tomita-san.\Plunge that meatball right into the mapo tofu and split it open!\Huh?\O-Okay.\Plunge the meatball in...\Th... The moon... response:	The moon came out?!
context: It just took me a while to realize what the drawbacks of Kuga Restaurant's set-up were.\Okay, Tomita-san.\Plunge that meatball right into the mapo tofu and split it open!\Huh?\O-Okay.\Plunge the meatball in...\Th... The moon...\The moon came out?! response:	And this fragrance... There's no mistaking it!
context: Okay, Tomita-san.\Plunge that meatball right into the mapo tofu and split it open!\Huh?\O-Okay.\Plunge the meatball in...\Th... The moon...\The moon came out?!\And this fragrance... There's no mistaking it! response:	It's curry!
context: Plunge that meatball right into the mapo tofu and split it open!\Huh?\O-Okay.\Plunge the meatball in...\Th... The moon...\The moon came out?!\And this fragrance... There's no mistaking it!\It's curry! response:	Curry, the dish that brings a smile to everyone's face!
context: Huh?\O-Okay.\Plunge the meatball in...\Th... The moon...\The moon came out?!\And this fragrance... There's no mistaking it!\It's curry!\Curry, the dish that brings a smile to everyone's face! response:	What's that dish?!
context: O-Okay.\Plunge the meatball in...\Th... The moon...\The moon came out?!\And this fragrance... There's no mistaking it!\It's curry!\Curry, the dish that brings a smile to everyone's face!\What's that dish?! response:	Curry in mapo tofu?!
context: Plunge the meatball in...\Th... The moon...\The moon came out?!\And this fragrance... There's no mistaking it!\It's curry!\Curry, the dish that brings a smile to everyone's face!\What's that dish?!\Curry in mapo tofu?! response:	I've never eaten anything like that!
context: Th... The moon...\The moon came out?!\And this fragrance... There's no mistaking it!\It's curry!\Curry, the dish that brings a smile to everyone's face!\What's that dish?!\Curry in mapo tofu?!\I've never eaten anything like that! response:	The moon's slowly melting and mingling with the mapo tofu!
context: The moon came out?!\And this fragrance... There's no mistaking it!\It's curry!\Curry, the dish that brings a smile to everyone's face!\What's that dish?!\Curry in mapo tofu?!\I've never eaten anything like that!\The moon's slowly melting and mingling with the mapo tofu! response:	Oh, nice.
context: And this fragrance... There's no mistaking it!\It's curry!\Curry, the dish that brings a smile to everyone's face!\What's that dish?!\Curry in mapo tofu?!\I've never eaten anything like that!\The moon's slowly melting and mingling with the mapo tofu!\Oh, nice. response:	Now's the best time to dig in.
context: It's curry!\Curry, the dish that brings a smile to everyone's face!\What's that dish?!\Curry in mapo tofu?!\I've never eaten anything like that!\The moon's slowly melting and mingling with the mapo tofu!\Oh, nice.\Now's the best time to dig in. response:	Have at it!
context: Curry, the dish that brings a smile to everyone's face!\What's that dish?!\Curry in mapo tofu?!\I've never eaten anything like that!\The moon's slowly melting and mingling with the mapo tofu!\Oh, nice.\Now's the best time to dig in.\Have at it! response:	What are these marvelous flavors?!
context: What's that dish?!\Curry in mapo tofu?!\I've never eaten anything like that!\The moon's slowly melting and mingling with the mapo tofu!\Oh, nice.\Now's the best time to dig in.\Have at it!\What are these marvelous flavors?! response:	Herbs! Spices!
context: Curry in mapo tofu?!\I've never eaten anything like that!\The moon's slowly melting and mingling with the mapo tofu!\Oh, nice.\Now's the best time to dig in.\Have at it!\What are these marvelous flavors?!\Herbs! Spices! response:	Sharp, yet gentle and mild!
context: I've never eaten anything like that!\The moon's slowly melting and mingling with the mapo tofu!\Oh, nice.\Now's the best time to dig in.\Have at it!\What are these marvelous flavors?!\Herbs! Spices!\Sharp, yet gentle and mild! response:	The flavors gently wrap around you and sink into your very bones!
context: The moon's slowly melting and mingling with the mapo tofu!\Oh, nice.\Now's the best time to dig in.\Have at it!\What are these marvelous flavors?!\Herbs! Spices!\Sharp, yet gentle and mild!\The flavors gently wrap around you and sink into your very bones! response:	So this is the new Chinese cuisine Soma-chan has created!
context: Oh, nice.\Now's the best time to dig in.\Have at it!\What are these marvelous flavors?!\Herbs! Spices!\Sharp, yet gentle and mild!\The flavors gently wrap around you and sink into your very bones!\So this is the new Chinese cuisine Soma-chan has created! response:	With beef bone stock as the base,
context: Now's the best time to dig in.\Have at it!\What are these marvelous flavors?!\Herbs! Spices!\Sharp, yet gentle and mild!\The flavors gently wrap around you and sink into your very bones!\So this is the new Chinese cuisine Soma-chan has created!\With beef bone stock as the base, response:	I added select spices used in curries
context: Have at it!\What are these marvelous flavors?!\Herbs! Spices!\Sharp, yet gentle and mild!\The flavors gently wrap around you and sink into your very bones!\So this is the new Chinese cuisine Soma-chan has created!\With beef bone stock as the base,\I added select spices used in curries response:	along with garlic and ginger to create this special curry broth.
context: What are these marvelous flavors?!\Herbs! Spices!\Sharp, yet gentle and mild!\The flavors gently wrap around you and sink into your very bones!\So this is the new Chinese cuisine Soma-chan has created!\With beef bone stock as the base,\I added select spices used in curries\along with garlic and ginger to create this special curry broth. response:	That's what the moon is.
context: Herbs! Spices!\Sharp, yet gentle and mild!\The flavors gently wrap around you and sink into your very bones!\So this is the new Chinese cuisine Soma-chan has created!\With beef bone stock as the base,\I added select spices used in curries\along with garlic and ginger to create this special curry broth.\That's what the moon is. response:	I added gelatin to the curry broth to solidify it,
context: Sharp, yet gentle and mild!\The flavors gently wrap around you and sink into your very bones!\So this is the new Chinese cuisine Soma-chan has created!\With beef bone stock as the base,\I added select spices used in curries\along with garlic and ginger to create this special curry broth.\That's what the moon is.\I added gelatin to the curry broth to solidify it, response:	then wrapped it in pork filling from the black pepper buns before cooking it.
context: The flavors gently wrap around you and sink into your very bones!\So this is the new Chinese cuisine Soma-chan has created!\With beef bone stock as the base,\I added select spices used in curries\along with garlic and ginger to create this special curry broth.\That's what the moon is.\I added gelatin to the curry broth to solidify it,\then wrapped it in pork filling from the black pepper buns before cooking it. response:	When the meatball eventually breaks,
context: So this is the new Chinese cuisine Soma-chan has created!\With beef bone stock as the base,\I added select spices used in curries\along with garlic and ginger to create this special curry broth.\That's what the moon is.\I added gelatin to the curry broth to solidify it,\then wrapped it in pork filling from the black pepper buns before cooking it.\When the meatball eventually breaks, response:	the umami of curry spreads throughout the mapo dish!
context: With beef bone stock as the base,\I added select spices used in curries\along with garlic and ginger to create this special curry broth.\That's what the moon is.\I added gelatin to the curry broth to solidify it,\then wrapped it in pork filling from the black pepper buns before cooking it.\When the meatball eventually breaks,\the umami of curry spreads throughout the mapo dish! response:	This my second revised Yukihira dish!
context: I added select spices used in curries\along with garlic and ginger to create this special curry broth.\That's what the moon is.\I added gelatin to the curry broth to solidify it,\then wrapped it in pork filling from the black pepper buns before cooking it.\When the meatball eventually breaks,\the umami of curry spreads throughout the mapo dish!\This my second revised Yukihira dish! response:	Countdown Mapo Curry Noodles!
context: along with garlic and ginger to create this special curry broth.\That's what the moon is.\I added gelatin to the curry broth to solidify it,\then wrapped it in pork filling from the black pepper buns before cooking it.\When the meatball eventually breaks,\the umami of curry spreads throughout the mapo dish!\This my second revised Yukihira dish!\Countdown Mapo Curry Noodles! response:	Hey, that kind of looks awesome!
context: That's what the moon is.\I added gelatin to the curry broth to solidify it,\then wrapped it in pork filling from the black pepper buns before cooking it.\When the meatball eventually breaks,\the umami of curry spreads throughout the mapo dish!\This my second revised Yukihira dish!\Countdown Mapo Curry Noodles!\Hey, that kind of looks awesome! response:	Just smell that! I can't take it!
