context: Louise... response:	Louise, come here.
context: I'm very pleased to meet you.\Both the Void Mage and her familiar.\Your Eminence!\How did you...?\The tales of your bravery have reached even Romalia, Miss Valliere.\I've always known that you are the bearer of the legendary power.\This is such an honor, Your Eminence.\And then you, Miss Westwood. response:	You're probably not aware of this yourself,
context: Both the Void Mage and her familiar.\Your Eminence!\How did you...?\The tales of your bravery have reached even Romalia, Miss Valliere.\I've always known that you are the bearer of the legendary power.\This is such an honor, Your Eminence.\And then you, Miss Westwood.\You're probably not aware of this yourself, response:	but you are also a Void Mage.
context: Your Eminence!\How did you...?\The tales of your bravery have reached even Romalia, Miss Valliere.\I've always known that you are the bearer of the legendary power.\This is such an honor, Your Eminence.\And then you, Miss Westwood.\You're probably not aware of this yourself,\but you are also a Void Mage. response:	It seems that you have not found a familiar yet,
context: How did you...?\The tales of your bravery have reached even Romalia, Miss Valliere.\I've always known that you are the bearer of the legendary power.\This is such an honor, Your Eminence.\And then you, Miss Westwood.\You're probably not aware of this yourself,\but you are also a Void Mage.\It seems that you have not found a familiar yet, response:	but your Mind Wipe magic is more than enough proof.
context: The tales of your bravery have reached even Romalia, Miss Valliere.\I've always known that you are the bearer of the legendary power.\This is such an honor, Your Eminence.\And then you, Miss Westwood.\You're probably not aware of this yourself,\but you are also a Void Mage.\It seems that you have not found a familiar yet,\but your Mind Wipe magic is more than enough proof. response:	So that means I'm like Louise?
context: I've always known that you are the bearer of the legendary power.\This is such an honor, Your Eminence.\And then you, Miss Westwood.\You're probably not aware of this yourself,\but you are also a Void Mage.\It seems that you have not found a familiar yet,\but your Mind Wipe magic is more than enough proof.\So that means I'm like Louise? response:	And there's another one of you as well.
context: This is such an honor, Your Eminence.\And then you, Miss Westwood.\You're probably not aware of this yourself,\but you are also a Void Mage.\It seems that you have not found a familiar yet,\but your Mind Wipe magic is more than enough proof.\So that means I'm like Louise?\And there's another one of you as well. response:	I am also a Void Mage.
context: And then you, Miss Westwood.\You're probably not aware of this yourself,\but you are also a Void Mage.\It seems that you have not found a familiar yet,\but your Mind Wipe magic is more than enough proof.\So that means I'm like Louise?\And there's another one of you as well.\I am also a Void Mage. response:	That's right, all three of us possess the legendary magic
context: You're probably not aware of this yourself,\but you are also a Void Mage.\It seems that you have not found a familiar yet,\but your Mind Wipe magic is more than enough proof.\So that means I'm like Louise?\And there's another one of you as well.\I am also a Void Mage.\That's right, all three of us possess the legendary magic response:	given to us so that we may lead others.
context: but you are also a Void Mage.\It seems that you have not found a familiar yet,\but your Mind Wipe magic is more than enough proof.\So that means I'm like Louise?\And there's another one of you as well.\I am also a Void Mage.\That's right, all three of us possess the legendary magic\given to us so that we may lead others. response:	We are kindred spirits.
context: It seems that you have not found a familiar yet,\but your Mind Wipe magic is more than enough proof.\So that means I'm like Louise?\And there's another one of you as well.\I am also a Void Mage.\That's right, all three of us possess the legendary magic\given to us so that we may lead others.\We are kindred spirits. response:	We are kindred spirits with Your Eminence?
context: but your Mind Wipe magic is more than enough proof.\So that means I'm like Louise?\And there's another one of you as well.\I am also a Void Mage.\That's right, all three of us possess the legendary magic\given to us so that we may lead others.\We are kindred spirits.\We are kindred spirits with Your Eminence? response:	And he is my familiar.
context: So that means I'm like Louise?\And there's another one of you as well.\I am also a Void Mage.\That's right, all three of us possess the legendary magic\given to us so that we may lead others.\We are kindred spirits.\We are kindred spirits with Your Eminence?\And he is my familiar. response:	I am God's right hand, Windalfr.
context: And there's another one of you as well.\I am also a Void Mage.\That's right, all three of us possess the legendary magic\given to us so that we may lead others.\We are kindred spirits.\We are kindred spirits with Your Eminence?\And he is my familiar.\I am God's right hand, Windalfr. response:	I can freely control the beasts.
context: I am also a Void Mage.\That's right, all three of us possess the legendary magic\given to us so that we may lead others.\We are kindred spirits.\We are kindred spirits with Your Eminence?\And he is my familiar.\I am God's right hand, Windalfr.\I can freely control the beasts. response:	That puts you and me together.
context: That's right, all three of us possess the legendary magic\given to us so that we may lead others.\We are kindred spirits.\We are kindred spirits with Your Eminence?\And he is my familiar.\I am God's right hand, Windalfr.\I can freely control the beasts.\That puts you and me together. response:	You and me?
context: given to us so that we may lead others.\We are kindred spirits.\We are kindred spirits with Your Eminence?\And he is my familiar.\I am God's right hand, Windalfr.\I can freely control the beasts.\That puts you and me together.\You and me? response:	The three Void magicians
context: We are kindred spirits.\We are kindred spirits with Your Eminence?\And he is my familiar.\I am God's right hand, Windalfr.\I can freely control the beasts.\That puts you and me together.\You and me?\The three Void magicians response:	and their two familiars are in one place at last.
context: We are kindred spirits with Your Eminence?\And he is my familiar.\I am God's right hand, Windalfr.\I can freely control the beasts.\That puts you and me together.\You and me?\The three Void magicians\and their two familiars are in one place at last. response:	Now I will ask Her Royal Highness to take over.
context: And he is my familiar.\I am God's right hand, Windalfr.\I can freely control the beasts.\That puts you and me together.\You and me?\The three Void magicians\and their two familiars are in one place at last.\Now I will ask Her Royal Highness to take over. response:	Louise.
context: I am God's right hand, Windalfr.\I can freely control the beasts.\That puts you and me together.\You and me?\The three Void magicians\and their two familiars are in one place at last.\Now I will ask Her Royal Highness to take over.\Louise. response:	Tiffania.
context: I can freely control the beasts.\That puts you and me together.\You and me?\The three Void magicians\and their two familiars are in one place at last.\Now I will ask Her Royal Highness to take over.\Louise.\Tiffania. response:	We will soon be celebrating
context: That puts you and me together.\You and me?\The three Void magicians\and their two familiars are in one place at last.\Now I will ask Her Royal Highness to take over.\Louise.\Tiffania.\We will soon be celebrating response:	the third anniversary of His Holiness's ascent.
context: You and me?\The three Void magicians\and their two familiars are in one place at last.\Now I will ask Her Royal Highness to take over.\Louise.\Tiffania.\We will soon be celebrating\the third anniversary of His Holiness's ascent. response:	His Holiness requests your presence as his shrine maidens
context: The three Void magicians\and their two familiars are in one place at last.\Now I will ask Her Royal Highness to take over.\Louise.\Tiffania.\We will soon be celebrating\the third anniversary of His Holiness's ascent.\His Holiness requests your presence as his shrine maidens response:	and he will also ask you to pray with him.
context: and their two familiars are in one place at last.\Now I will ask Her Royal Highness to take over.\Louise.\Tiffania.\We will soon be celebrating\the third anniversary of His Holiness's ascent.\His Holiness requests your presence as his shrine maidens\and he will also ask you to pray with him. response:	He's asking us?
context: Now I will ask Her Royal Highness to take over.\Louise.\Tiffania.\We will soon be celebrating\the third anniversary of His Holiness's ascent.\His Holiness requests your presence as his shrine maidens\and he will also ask you to pray with him.\He's asking us? response:	But what does that have to do with the Void?
context: Louise.\Tiffania.\We will soon be celebrating\the third anniversary of His Holiness's ascent.\His Holiness requests your presence as his shrine maidens\and he will also ask you to pray with him.\He's asking us?\But what does that have to do with the Void? response:	We hope to garner the attention of the fourth user this way.
context: Tiffania.\We will soon be celebrating\the third anniversary of His Holiness's ascent.\His Holiness requests your presence as his shrine maidens\and he will also ask you to pray with him.\He's asking us?\But what does that have to do with the Void?\We hope to garner the attention of the fourth user this way. response:	The fourth?
context: We will soon be celebrating\the third anniversary of His Holiness's ascent.\His Holiness requests your presence as his shrine maidens\and he will also ask you to pray with him.\He's asking us?\But what does that have to do with the Void?\We hope to garner the attention of the fourth user this way.\The fourth? response:	You know him, as well.
context: the third anniversary of His Holiness's ascent.\His Holiness requests your presence as his shrine maidens\and he will also ask you to pray with him.\He's asking us?\But what does that have to do with the Void?\We hope to garner the attention of the fourth user this way.\The fourth?\You know him, as well. response:	Joseph, the king of Gallia.
context: His Holiness requests your presence as his shrine maidens\and he will also ask you to pray with him.\He's asking us?\But what does that have to do with the Void?\We hope to garner the attention of the fourth user this way.\The fourth?\You know him, as well.\Joseph, the king of Gallia. response:	The Joseph who...?
context: and he will also ask you to pray with him.\He's asking us?\But what does that have to do with the Void?\We hope to garner the attention of the fourth user this way.\The fourth?\You know him, as well.\Joseph, the king of Gallia.\The Joseph who...? response:	That's right.
context: He's asking us?\But what does that have to do with the Void?\We hope to garner the attention of the fourth user this way.\The fourth?\You know him, as well.\Joseph, the king of Gallia.\The Joseph who...?\That's right. response:	He is an inhumane man who killed
context: But what does that have to do with the Void?\We hope to garner the attention of the fourth user this way.\The fourth?\You know him, as well.\Joseph, the king of Gallia.\The Joseph who...?\That's right.\He is an inhumane man who killed response:	Tabitha's father and destroyed her mother's heart.
context: We hope to garner the attention of the fourth user this way.\The fourth?\You know him, as well.\Joseph, the king of Gallia.\The Joseph who...?\That's right.\He is an inhumane man who killed\Tabitha's father and destroyed her mother's heart. response:	It's still not dinner time?!
context: The fourth?\You know him, as well.\Joseph, the king of Gallia.\The Joseph who...?\That's right.\He is an inhumane man who killed\Tabitha's father and destroyed her mother's heart.\It's still not dinner time?! response:	Not yet.
context: You know him, as well.\Joseph, the king of Gallia.\The Joseph who...?\That's right.\He is an inhumane man who killed\Tabitha's father and destroyed her mother's heart.\It's still not dinner time?!\Not yet. response:	I'd like to show that same King Joseph something.
context: Joseph, the king of Gallia.\The Joseph who...?\That's right.\He is an inhumane man who killed\Tabitha's father and destroyed her mother's heart.\It's still not dinner time?!\Not yet.\I'd like to show that same King Joseph something. response:	Perhaps he will change his ways if he sees that the other
context: The Joseph who...?\That's right.\He is an inhumane man who killed\Tabitha's father and destroyed her mother's heart.\It's still not dinner time?!\Not yet.\I'd like to show that same King Joseph something.\Perhaps he will change his ways if he sees that the other response:	three Void Mages have joined forces.
context: That's right.\He is an inhumane man who killed\Tabitha's father and destroyed her mother's heart.\It's still not dinner time?!\Not yet.\I'd like to show that same King Joseph something.\Perhaps he will change his ways if he sees that the other\three Void Mages have joined forces. response:	He's the one who did something that horrible to Tabitha!
context: He is an inhumane man who killed\Tabitha's father and destroyed her mother's heart.\It's still not dinner time?!\Not yet.\I'd like to show that same King Joseph something.\Perhaps he will change his ways if he sees that the other\three Void Mages have joined forces.\He's the one who did something that horrible to Tabitha! response:	How could we ever hope to
context: Tabitha's father and destroyed her mother's heart.\It's still not dinner time?!\Not yet.\I'd like to show that same King Joseph something.\Perhaps he will change his ways if he sees that the other\three Void Mages have joined forces.\He's the one who did something that horrible to Tabitha!\How could we ever hope to response:	If it does not happen,
context: It's still not dinner time?!\Not yet.\I'd like to show that same King Joseph something.\Perhaps he will change his ways if he sees that the other\three Void Mages have joined forces.\He's the one who did something that horrible to Tabitha!\How could we ever hope to\If it does not happen, response:	Halkeginia will face a crisis as it has never before.
context: Not yet.\I'd like to show that same King Joseph something.\Perhaps he will change his ways if he sees that the other\three Void Mages have joined forces.\He's the one who did something that horrible to Tabitha!\How could we ever hope to\If it does not happen,\Halkeginia will face a crisis as it has never before. response:	Crisis?
context: I'd like to show that same King Joseph something.\Perhaps he will change his ways if he sees that the other\three Void Mages have joined forces.\He's the one who did something that horrible to Tabitha!\How could we ever hope to\If it does not happen,\Halkeginia will face a crisis as it has never before.\Crisis? response:	It is the duty of Void Mages
context: Perhaps he will change his ways if he sees that the other\three Void Mages have joined forces.\He's the one who did something that horrible to Tabitha!\How could we ever hope to\If it does not happen,\Halkeginia will face a crisis as it has never before.\Crisis?\It is the duty of Void Mages response:	to join forces in order to save Halkeginia.
context: three Void Mages have joined forces.\He's the one who did something that horrible to Tabitha!\How could we ever hope to\If it does not happen,\Halkeginia will face a crisis as it has never before.\Crisis?\It is the duty of Void Mages\to join forces in order to save Halkeginia. response:	The reason that the Void Mages are here points to the fact
context: He's the one who did something that horrible to Tabitha!\How could we ever hope to\If it does not happen,\Halkeginia will face a crisis as it has never before.\Crisis?\It is the duty of Void Mages\to join forces in order to save Halkeginia.\The reason that the Void Mages are here points to the fact response:	that an event is approaching that needs them.
context: How could we ever hope to\If it does not happen,\Halkeginia will face a crisis as it has never before.\Crisis?\It is the duty of Void Mages\to join forces in order to save Halkeginia.\The reason that the Void Mages are here points to the fact\that an event is approaching that needs them. response:	The fate of the world is, quite literally, in our hands.
context: If it does not happen,\Halkeginia will face a crisis as it has never before.\Crisis?\It is the duty of Void Mages\to join forces in order to save Halkeginia.\The reason that the Void Mages are here points to the fact\that an event is approaching that needs them.\The fate of the world is, quite literally, in our hands. response:	The fate of the world?
context: Halkeginia will face a crisis as it has never before.\Crisis?\It is the duty of Void Mages\to join forces in order to save Halkeginia.\The reason that the Void Mages are here points to the fact\that an event is approaching that needs them.\The fate of the world is, quite literally, in our hands.\The fate of the world? response:	Please consider whether or not you will be shrine maidens.
context: Crisis?\It is the duty of Void Mages\to join forces in order to save Halkeginia.\The reason that the Void Mages are here points to the fact\that an event is approaching that needs them.\The fate of the world is, quite literally, in our hands.\The fate of the world?\Please consider whether or not you will be shrine maidens. response:	No, Your Highness.
context: It is the duty of Void Mages\to join forces in order to save Halkeginia.\The reason that the Void Mages are here points to the fact\that an event is approaching that needs them.\The fate of the world is, quite literally, in our hands.\The fate of the world?\Please consider whether or not you will be shrine maidens.\No, Your Highness. response:	There is no reason to wait.
context: to join forces in order to save Halkeginia.\The reason that the Void Mages are here points to the fact\that an event is approaching that needs them.\The fate of the world is, quite literally, in our hands.\The fate of the world?\Please consider whether or not you will be shrine maidens.\No, Your Highness.\There is no reason to wait. response:	I will do it.
context: The reason that the Void Mages are here points to the fact\that an event is approaching that needs them.\The fate of the world is, quite literally, in our hands.\The fate of the world?\Please consider whether or not you will be shrine maidens.\No, Your Highness.\There is no reason to wait.\I will do it. response:	I will become His Eminence's shrine maiden!
context: that an event is approaching that needs them.\The fate of the world is, quite literally, in our hands.\The fate of the world?\Please consider whether or not you will be shrine maidens.\No, Your Highness.\There is no reason to wait.\I will do it.\I will become His Eminence's shrine maiden! response:	Louise...
context: The fate of the world is, quite literally, in our hands.\The fate of the world?\Please consider whether or not you will be shrine maidens.\No, Your Highness.\There is no reason to wait.\I will do it.\I will become His Eminence's shrine maiden!\Louise... response:	Ladies and gentlemen of the Order of the Undine Knights!
context: The fate of the world?\Please consider whether or not you will be shrine maidens.\No, Your Highness.\There is no reason to wait.\I will do it.\I will become His Eminence's shrine maiden!\Louise...\Ladies and gentlemen of the Order of the Undine Knights! response:	Let us restore our energy for tomorrow!
context: Please consider whether or not you will be shrine maidens.\No, Your Highness.\There is no reason to wait.\I will do it.\I will become His Eminence's shrine maiden!\Louise...\Ladies and gentlemen of the Order of the Undine Knights!\Let us restore our energy for tomorrow! response:	To Her Majesty, Queen Henrietta!
context: No, Your Highness.\There is no reason to wait.\I will do it.\I will become His Eminence's shrine maiden!\Louise...\Ladies and gentlemen of the Order of the Undine Knights!\Let us restore our energy for tomorrow!\To Her Majesty, Queen Henrietta! response:	To His Holy Eminence!
context: There is no reason to wait.\I will do it.\I will become His Eminence's shrine maiden!\Louise...\Ladies and gentlemen of the Order of the Undine Knights!\Let us restore our energy for tomorrow!\To Her Majesty, Queen Henrietta!\To His Holy Eminence! response:	And to us, Undines!
context: I will do it.\I will become His Eminence's shrine maiden!\Louise...\Ladies and gentlemen of the Order of the Undine Knights!\Let us restore our energy for tomorrow!\To Her Majesty, Queen Henrietta!\To His Holy Eminence!\And to us, Undines! response:	Quite the noisy crowd.
context: I will become His Eminence's shrine maiden!\Louise...\Ladies and gentlemen of the Order of the Undine Knights!\Let us restore our energy for tomorrow!\To Her Majesty, Queen Henrietta!\To His Holy Eminence!\And to us, Undines!\Quite the noisy crowd. response:	They're just lively, Jacques.
context: Louise...\Ladies and gentlemen of the Order of the Undine Knights!\Let us restore our energy for tomorrow!\To Her Majesty, Queen Henrietta!\To His Holy Eminence!\And to us, Undines!\Quite the noisy crowd.\They're just lively, Jacques. response:	Why don't we make a toast, too?
context: Ladies and gentlemen of the Order of the Undine Knights!\Let us restore our energy for tomorrow!\To Her Majesty, Queen Henrietta!\To His Holy Eminence!\And to us, Undines!\Quite the noisy crowd.\They're just lively, Jacques.\Why don't we make a toast, too? response:	An excellent idea!
context: Let us restore our energy for tomorrow!\To Her Majesty, Queen Henrietta!\To His Holy Eminence!\And to us, Undines!\Quite the noisy crowd.\They're just lively, Jacques.\Why don't we make a toast, too?\An excellent idea! response:	Let's drink to future riches!
context: To Her Majesty, Queen Henrietta!\To His Holy Eminence!\And to us, Undines!\Quite the noisy crowd.\They're just lively, Jacques.\Why don't we make a toast, too?\An excellent idea!\Let's drink to future riches! response:	Jeanette, order something.
context: To His Holy Eminence!\And to us, Undines!\Quite the noisy crowd.\They're just lively, Jacques.\Why don't we make a toast, too?\An excellent idea!\Let's drink to future riches!\Jeanette, order something. response:	First we've got work to do.
context: And to us, Undines!\Quite the noisy crowd.\They're just lively, Jacques.\Why don't we make a toast, too?\An excellent idea!\Let's drink to future riches!\Jeanette, order something.\First we've got work to do. response:	Get everything ready.
context: Quite the noisy crowd.\They're just lively, Jacques.\Why don't we make a toast, too?\An excellent idea!\Let's drink to future riches!\Jeanette, order something.\First we've got work to do.\Get everything ready. response:	Sure, sure.
context: They're just lively, Jacques.\Why don't we make a toast, too?\An excellent idea!\Let's drink to future riches!\Jeanette, order something.\First we've got work to do.\Get everything ready.\Sure, sure. response:	You're no fun.
context: Why don't we make a toast, too?\An excellent idea!\Let's drink to future riches!\Jeanette, order something.\First we've got work to do.\Get everything ready.\Sure, sure.\You're no fun. response:	I'm off, Big Brother Damian.
context: An excellent idea!\Let's drink to future riches!\Jeanette, order something.\First we've got work to do.\Get everything ready.\Sure, sure.\You're no fun.\I'm off, Big Brother Damian. response:	Okay, take care.
context: Let's drink to future riches!\Jeanette, order something.\First we've got work to do.\Get everything ready.\Sure, sure.\You're no fun.\I'm off, Big Brother Damian.\Okay, take care. response:	Louise, are you really going to do
context: Jeanette, order something.\First we've got work to do.\Get everything ready.\Sure, sure.\You're no fun.\I'm off, Big Brother Damian.\Okay, take care.\Louise, are you really going to do response:	what the Pope's asking?
context: First we've got work to do.\Get everything ready.\Sure, sure.\You're no fun.\I'm off, Big Brother Damian.\Okay, take care.\Louise, are you really going to do\what the Pope's asking? response:	Of course!
context: Get everything ready.\Sure, sure.\You're no fun.\I'm off, Big Brother Damian.\Okay, take care.\Louise, are you really going to do\what the Pope's asking?\Of course! response:	A noblewoman never goes back on her word.
context: Sure, sure.\You're no fun.\I'm off, Big Brother Damian.\Okay, take care.\Louise, are you really going to do\what the Pope's asking?\Of course!\A noblewoman never goes back on her word. response:	But you know what that guy did to Tabitha.
context: You're no fun.\I'm off, Big Brother Damian.\Okay, take care.\Louise, are you really going to do\what the Pope's asking?\Of course!\A noblewoman never goes back on her word.\But you know what that guy did to Tabitha. response:	We have no idea what he's going to do!
context: I'm off, Big Brother Damian.\Okay, take care.\Louise, are you really going to do\what the Pope's asking?\Of course!\A noblewoman never goes back on her word.\But you know what that guy did to Tabitha.\We have no idea what he's going to do! response:	Yeah.
context: Okay, take care.\Louise, are you really going to do\what the Pope's asking?\Of course!\A noblewoman never goes back on her word.\But you know what that guy did to Tabitha.\We have no idea what he's going to do!\Yeah. response:	You may be right.
context: Louise, are you really going to do\what the Pope's asking?\Of course!\A noblewoman never goes back on her word.\But you know what that guy did to Tabitha.\We have no idea what he's going to do!\Yeah.\You may be right. response:	But listen, Saito.
context: what the Pope's asking?\Of course!\A noblewoman never goes back on her word.\But you know what that guy did to Tabitha.\We have no idea what he's going to do!\Yeah.\You may be right.\But listen, Saito. response:	I really want to do it!
context: Of course!\A noblewoman never goes back on her word.\But you know what that guy did to Tabitha.\We have no idea what he's going to do!\Yeah.\You may be right.\But listen, Saito.\I really want to do it! response:	I mean...
context: A noblewoman never goes back on her word.\But you know what that guy did to Tabitha.\We have no idea what he's going to do!\Yeah.\You may be right.\But listen, Saito.\I really want to do it!\I mean... response:	You mean you're totally gaga over him.
context: But you know what that guy did to Tabitha.\We have no idea what he's going to do!\Yeah.\You may be right.\But listen, Saito.\I really want to do it!\I mean...\You mean you're totally gaga over him. response:	No, I'm not!
context: We have no idea what he's going to do!\Yeah.\You may be right.\But listen, Saito.\I really want to do it!\I mean...\You mean you're totally gaga over him.\No, I'm not! response:	Yes, you are!
context: Yeah.\You may be right.\But listen, Saito.\I really want to do it!\I mean...\You mean you're totally gaga over him.\No, I'm not!\Yes, you are! response:	Oh, Your Holiness!
context: You may be right.\But listen, Saito.\I really want to do it!\I mean...\You mean you're totally gaga over him.\No, I'm not!\Yes, you are!\Oh, Your Holiness! response:	Any follower of Brimir would be starstruck to meet him!
context: But listen, Saito.\I really want to do it!\I mean...\You mean you're totally gaga over him.\No, I'm not!\Yes, you are!\Oh, Your Holiness!\Any follower of Brimir would be starstruck to meet him! response:	I can't help it!
context: I really want to do it!\I mean...\You mean you're totally gaga over him.\No, I'm not!\Yes, you are!\Oh, Your Holiness!\Any follower of Brimir would be starstruck to meet him!\I can't help it! response:	All I'm saying is that you may have answered
context: I mean...\You mean you're totally gaga over him.\No, I'm not!\Yes, you are!\Oh, Your Holiness!\Any follower of Brimir would be starstruck to meet him!\I can't help it!\All I'm saying is that you may have answered response:	before properly thinking it through.
context: You mean you're totally gaga over him.\No, I'm not!\Yes, you are!\Oh, Your Holiness!\Any follower of Brimir would be starstruck to meet him!\I can't help it!\All I'm saying is that you may have answered\before properly thinking it through. response:	That's not true! I did
context: No, I'm not!\Yes, you are!\Oh, Your Holiness!\Any follower of Brimir would be starstruck to meet him!\I can't help it!\All I'm saying is that you may have answered\before properly thinking it through.\That's not true! I did response:	Well, maybe it's fine for you,
context: Yes, you are!\Oh, Your Holiness!\Any follower of Brimir would be starstruck to meet him!\I can't help it!\All I'm saying is that you may have answered\before properly thinking it through.\That's not true! I did\Well, maybe it's fine for you, response:	but you might have put Tiffa on the spot.
context: Oh, Your Holiness!\Any follower of Brimir would be starstruck to meet him!\I can't help it!\All I'm saying is that you may have answered\before properly thinking it through.\That's not true! I did\Well, maybe it's fine for you,\but you might have put Tiffa on the spot. response:	She's not a follower of Brimir.
context: Any follower of Brimir would be starstruck to meet him!\I can't help it!\All I'm saying is that you may have answered\before properly thinking it through.\That's not true! I did\Well, maybe it's fine for you,\but you might have put Tiffa on the spot.\She's not a follower of Brimir. response:	She was probably all confused, having just been told
context: I can't help it!\All I'm saying is that you may have answered\before properly thinking it through.\That's not true! I did\Well, maybe it's fine for you,\but you might have put Tiffa on the spot.\She's not a follower of Brimir.\She was probably all confused, having just been told response:	that she's a Void Mage.
context: All I'm saying is that you may have answered\before properly thinking it through.\That's not true! I did\Well, maybe it's fine for you,\but you might have put Tiffa on the spot.\She's not a follower of Brimir.\She was probably all confused, having just been told\that she's a Void Mage. response:	She doesn't have a familiar yet, either.
context: before properly thinking it through.\That's not true! I did\Well, maybe it's fine for you,\but you might have put Tiffa on the spot.\She's not a follower of Brimir.\She was probably all confused, having just been told\that she's a Void Mage.\She doesn't have a familiar yet, either. response:	So that's what this is about.
context: That's not true! I did\Well, maybe it's fine for you,\but you might have put Tiffa on the spot.\She's not a follower of Brimir.\She was probably all confused, having just been told\that she's a Void Mage.\She doesn't have a familiar yet, either.\So that's what this is about. response:	You don't care at all about how I feel.
context: Well, maybe it's fine for you,\but you might have put Tiffa on the spot.\She's not a follower of Brimir.\She was probably all confused, having just been told\that she's a Void Mage.\She doesn't have a familiar yet, either.\So that's what this is about.\You don't care at all about how I feel. response:	All you care about are Tiffa's feelings.
context: but you might have put Tiffa on the spot.\She's not a follower of Brimir.\She was probably all confused, having just been told\that she's a Void Mage.\She doesn't have a familiar yet, either.\So that's what this is about.\You don't care at all about how I feel.\All you care about are Tiffa's feelings. response:	Yeah, but Tiffa...
context: She's not a follower of Brimir.\She was probably all confused, having just been told\that she's a Void Mage.\She doesn't have a familiar yet, either.\So that's what this is about.\You don't care at all about how I feel.\All you care about are Tiffa's feelings.\Yeah, but Tiffa... response:	It's just Tiffa, Tiffa, Tiffa!
context: She was probably all confused, having just been told\that she's a Void Mage.\She doesn't have a familiar yet, either.\So that's what this is about.\You don't care at all about how I feel.\All you care about are Tiffa's feelings.\Yeah, but Tiffa...\It's just Tiffa, Tiffa, Tiffa! response:	If you like Tiffa so much, why don't you just become her familiar?!
context: that she's a Void Mage.\She doesn't have a familiar yet, either.\So that's what this is about.\You don't care at all about how I feel.\All you care about are Tiffa's feelings.\Yeah, but Tiffa...\It's just Tiffa, Tiffa, Tiffa!\If you like Tiffa so much, why don't you just become her familiar?! response:	You know, if I could, I would!
context: She doesn't have a familiar yet, either.\So that's what this is about.\You don't care at all about how I feel.\All you care about are Tiffa's feelings.\Yeah, but Tiffa...\It's just Tiffa, Tiffa, Tiffa!\If you like Tiffa so much, why don't you just become her familiar?!\You know, if I could, I would! response:	Fine! Then there's no reason for you to be here.
context: So that's what this is about.\You don't care at all about how I feel.\All you care about are Tiffa's feelings.\Yeah, but Tiffa...\It's just Tiffa, Tiffa, Tiffa!\If you like Tiffa so much, why don't you just become her familiar?!\You know, if I could, I would!\Fine! Then there's no reason for you to be here. response:	Get out, now!
context: You don't care at all about how I feel.\All you care about are Tiffa's feelings.\Yeah, but Tiffa...\It's just Tiffa, Tiffa, Tiffa!\If you like Tiffa so much, why don't you just become her familiar?!\You know, if I could, I would!\Fine! Then there's no reason for you to be here.\Get out, now! response:	You don't have to tell me twice!
context: All you care about are Tiffa's feelings.\Yeah, but Tiffa...\It's just Tiffa, Tiffa, Tiffa!\If you like Tiffa so much, why don't you just become her familiar?!\You know, if I could, I would!\Fine! Then there's no reason for you to be here.\Get out, now!\You don't have to tell me twice! response:	It must have been quite a shock to suddenly
context: Yeah, but Tiffa...\It's just Tiffa, Tiffa, Tiffa!\If you like Tiffa so much, why don't you just become her familiar?!\You know, if I could, I would!\Fine! Then there's no reason for you to be here.\Get out, now!\You don't have to tell me twice!\It must have been quite a shock to suddenly response:	find out you're a Void Mage.
context: It's just Tiffa, Tiffa, Tiffa!\If you like Tiffa so much, why don't you just become her familiar?!\You know, if I could, I would!\Fine! Then there's no reason for you to be here.\Get out, now!\You don't have to tell me twice!\It must have been quite a shock to suddenly\find out you're a Void Mage. response:	I still can't believe it.
context: If you like Tiffa so much, why don't you just become her familiar?!\You know, if I could, I would!\Fine! Then there's no reason for you to be here.\Get out, now!\You don't have to tell me twice!\It must have been quite a shock to suddenly\find out you're a Void Mage.\I still can't believe it. response:	There's something I want to give you.
context: You know, if I could, I would!\Fine! Then there's no reason for you to be here.\Get out, now!\You don't have to tell me twice!\It must have been quite a shock to suddenly\find out you're a Void Mage.\I still can't believe it.\There's something I want to give you. response:	Come here.
context: Fine! Then there's no reason for you to be here.\Get out, now!\You don't have to tell me twice!\It must have been quite a shock to suddenly\find out you're a Void Mage.\I still can't believe it.\There's something I want to give you.\Come here. response:	This...
context: Get out, now!\You don't have to tell me twice!\It must have been quite a shock to suddenly\find out you're a Void Mage.\I still can't believe it.\There's something I want to give you.\Come here.\This... response:	But why?
context: You don't have to tell me twice!\It must have been quite a shock to suddenly\find out you're a Void Mage.\I still can't believe it.\There's something I want to give you.\Come here.\This...\But why? response:	This ring was originally passed down in the House of Albion.
context: It must have been quite a shock to suddenly\find out you're a Void Mage.\I still can't believe it.\There's something I want to give you.\Come here.\This...\But why?\This ring was originally passed down in the House of Albion. response:	You're the last one of that blood, and you possess the magic.
context: find out you're a Void Mage.\I still can't believe it.\There's something I want to give you.\Come here.\This...\But why?\This ring was originally passed down in the House of Albion.\You're the last one of that blood, and you possess the magic. response:	This belongs with you.
context: I still can't believe it.\There's something I want to give you.\Come here.\This...\But why?\This ring was originally passed down in the House of Albion.\You're the last one of that blood, and you possess the magic.\This belongs with you. response:	Why is Saito such an idiot?
context: There's something I want to give you.\Come here.\This...\But why?\This ring was originally passed down in the House of Albion.\You're the last one of that blood, and you possess the magic.\This belongs with you.\Why is Saito such an idiot? response:	Who is that?
context: Come here.\This...\But why?\This ring was originally passed down in the House of Albion.\You're the last one of that blood, and you possess the magic.\This belongs with you.\Why is Saito such an idiot?\Who is that? response:	I do want to be of help to everybody...
