context: Two months passed since we started our second year of high school. response:	Now that we had become
context: Uh, it's nothing! Nothing at all!\Togashi!\Takanashi is here with us!\Uh, right.\Come on over, don't be shy. Sorry about before!\I won't pester you anymore.\Right, Takanashi?\Huh? Takanashi? response:	This seems tricky.
context: Togashi!\Takanashi is here with us!\Uh, right.\Come on over, don't be shy. Sorry about before!\I won't pester you anymore.\Right, Takanashi?\Huh? Takanashi?\This seems tricky. response:	You two are going out,
context: Takanashi is here with us!\Uh, right.\Come on over, don't be shy. Sorry about before!\I won't pester you anymore.\Right, Takanashi?\Huh? Takanashi?\This seems tricky.\You two are going out, response:	so there's no need to be so embarrassed, is there?
context: Uh, right.\Come on over, don't be shy. Sorry about before!\I won't pester you anymore.\Right, Takanashi?\Huh? Takanashi?\This seems tricky.\You two are going out,\so there's no need to be so embarrassed, is there? response:	I am bound to Yuta by a contract.
context: Come on over, don't be shy. Sorry about before!\I won't pester you anymore.\Right, Takanashi?\Huh? Takanashi?\This seems tricky.\You two are going out,\so there's no need to be so embarrassed, is there?\I am bound to Yuta by a contract. response:	But it's a Lover's Contract, isn't it?
context: I won't pester you anymore.\Right, Takanashi?\Huh? Takanashi?\This seems tricky.\You two are going out,\so there's no need to be so embarrassed, is there?\I am bound to Yuta by a contract.\But it's a Lover's Contract, isn't it? response:	Well...
context: Right, Takanashi?\Huh? Takanashi?\This seems tricky.\You two are going out,\so there's no need to be so embarrassed, is there?\I am bound to Yuta by a contract.\But it's a Lover's Contract, isn't it?\Well... response:	Evil Eye Dark Curve!
context: Huh? Takanashi?\This seems tricky.\You two are going out,\so there's no need to be so embarrassed, is there?\I am bound to Yuta by a contract.\But it's a Lover's Contract, isn't it?\Well...\Evil Eye Dark Curve! response:	Don't misbehave in a place like this!
context: This seems tricky.\You two are going out,\so there's no need to be so embarrassed, is there?\I am bound to Yuta by a contract.\But it's a Lover's Contract, isn't it?\Well...\Evil Eye Dark Curve!\Don't misbehave in a place like this! response:	Rikka!
context: You two are going out,\so there's no need to be so embarrassed, is there?\I am bound to Yuta by a contract.\But it's a Lover's Contract, isn't it?\Well...\Evil Eye Dark Curve!\Don't misbehave in a place like this!\Rikka! response:	Nibutani, what happened?
context: so there's no need to be so embarrassed, is there?\I am bound to Yuta by a contract.\But it's a Lover's Contract, isn't it?\Well...\Evil Eye Dark Curve!\Don't misbehave in a place like this!\Rikka!\Nibutani, what happened? response:	Each room's group must bathe according to the schedule.
context: I am bound to Yuta by a contract.\But it's a Lover's Contract, isn't it?\Well...\Evil Eye Dark Curve!\Don't misbehave in a place like this!\Rikka!\Nibutani, what happened?\Each room's group must bathe according to the schedule. response:	So, you don't want her to get worked up about romance?
context: But it's a Lover's Contract, isn't it?\Well...\Evil Eye Dark Curve!\Don't misbehave in a place like this!\Rikka!\Nibutani, what happened?\Each room's group must bathe according to the schedule.\So, you don't want her to get worked up about romance? response:	Kind of.
context: Well...\Evil Eye Dark Curve!\Don't misbehave in a place like this!\Rikka!\Nibutani, what happened?\Each room's group must bathe according to the schedule.\So, you don't want her to get worked up about romance?\Kind of. response:	Here are the kimonos.
context: Evil Eye Dark Curve!\Don't misbehave in a place like this!\Rikka!\Nibutani, what happened?\Each room's group must bathe according to the schedule.\So, you don't want her to get worked up about romance?\Kind of.\Here are the kimonos. response:	But you're going out.
context: Don't misbehave in a place like this!\Rikka!\Nibutani, what happened?\Each room's group must bathe according to the schedule.\So, you don't want her to get worked up about romance?\Kind of.\Here are the kimonos.\But you're going out. response:	I'll wear my sweats.
context: Rikka!\Nibutani, what happened?\Each room's group must bathe according to the schedule.\So, you don't want her to get worked up about romance?\Kind of.\Here are the kimonos.\But you're going out.\I'll wear my sweats. response:	I forgot my shampoo!
context: Nibutani, what happened?\Each room's group must bathe according to the schedule.\So, you don't want her to get worked up about romance?\Kind of.\Here are the kimonos.\But you're going out.\I'll wear my sweats.\I forgot my shampoo! response:	Whenever she starts to think hard about it, she gets confused.
context: Each room's group must bathe according to the schedule.\So, you don't want her to get worked up about romance?\Kind of.\Here are the kimonos.\But you're going out.\I'll wear my sweats.\I forgot my shampoo!\Whenever she starts to think hard about it, she gets confused. response:	This place has shampoo.
context: So, you don't want her to get worked up about romance?\Kind of.\Here are the kimonos.\But you're going out.\I'll wear my sweats.\I forgot my shampoo!\Whenever she starts to think hard about it, she gets confused.\This place has shampoo. response:	It won't work.
context: Kind of.\Here are the kimonos.\But you're going out.\I'll wear my sweats.\I forgot my shampoo!\Whenever she starts to think hard about it, she gets confused.\This place has shampoo.\It won't work. response:	The idea of romance doesn't fit into her chunibyo delusion.
context: Here are the kimonos.\But you're going out.\I'll wear my sweats.\I forgot my shampoo!\Whenever she starts to think hard about it, she gets confused.\This place has shampoo.\It won't work.\The idea of romance doesn't fit into her chunibyo delusion. response:	Then what are you gonna do?
context: But you're going out.\I'll wear my sweats.\I forgot my shampoo!\Whenever she starts to think hard about it, she gets confused.\This place has shampoo.\It won't work.\The idea of romance doesn't fit into her chunibyo delusion.\Then what are you gonna do? response:	Can you take care of her for now?
context: I'll wear my sweats.\I forgot my shampoo!\Whenever she starts to think hard about it, she gets confused.\This place has shampoo.\It won't work.\The idea of romance doesn't fit into her chunibyo delusion.\Then what are you gonna do?\Can you take care of her for now? response:	What?
context: I forgot my shampoo!\Whenever she starts to think hard about it, she gets confused.\This place has shampoo.\It won't work.\The idea of romance doesn't fit into her chunibyo delusion.\Then what are you gonna do?\Can you take care of her for now?\What? response:	Are you sure? Don't you want to be with her?
context: Whenever she starts to think hard about it, she gets confused.\This place has shampoo.\It won't work.\The idea of romance doesn't fit into her chunibyo delusion.\Then what are you gonna do?\Can you take care of her for now?\What?\Are you sure? Don't you want to be with her? response:	I do, but so many people are watching us.
context: This place has shampoo.\It won't work.\The idea of romance doesn't fit into her chunibyo delusion.\Then what are you gonna do?\Can you take care of her for now?\What?\Are you sure? Don't you want to be with her?\I do, but so many people are watching us. response:	Rikka can't handle that kind of thing.
context: It won't work.\The idea of romance doesn't fit into her chunibyo delusion.\Then what are you gonna do?\Can you take care of her for now?\What?\Are you sure? Don't you want to be with her?\I do, but so many people are watching us.\Rikka can't handle that kind of thing. response:	You're actually kind of nice, you know?
context: The idea of romance doesn't fit into her chunibyo delusion.\Then what are you gonna do?\Can you take care of her for now?\What?\Are you sure? Don't you want to be with her?\I do, but so many people are watching us.\Rikka can't handle that kind of thing.\You're actually kind of nice, you know? response:	What?
context: Then what are you gonna do?\Can you take care of her for now?\What?\Are you sure? Don't you want to be with her?\I do, but so many people are watching us.\Rikka can't handle that kind of thing.\You're actually kind of nice, you know?\What? response:	I'm nice?
context: Can you take care of her for now?\What?\Are you sure? Don't you want to be with her?\I do, but so many people are watching us.\Rikka can't handle that kind of thing.\You're actually kind of nice, you know?\What?\I'm nice? response:	Exactly! What in the world do those two want from me?!
context: What?\Are you sure? Don't you want to be with her?\I do, but so many people are watching us.\Rikka can't handle that kind of thing.\You're actually kind of nice, you know?\What?\I'm nice?\Exactly! What in the world do those two want from me?! response:	Wait, I'll do that.
context: Are you sure? Don't you want to be with her?\I do, but so many people are watching us.\Rikka can't handle that kind of thing.\You're actually kind of nice, you know?\What?\I'm nice?\Exactly! What in the world do those two want from me?!\Wait, I'll do that. response:	It's okay'cause I just put these on.
context: I do, but so many people are watching us.\Rikka can't handle that kind of thing.\You're actually kind of nice, you know?\What?\I'm nice?\Exactly! What in the world do those two want from me?!\Wait, I'll do that.\It's okay'cause I just put these on. response:	All-Porpoise
context: Rikka can't handle that kind of thing.\You're actually kind of nice, you know?\What?\I'm nice?\Exactly! What in the world do those two want from me?!\Wait, I'll do that.\It's okay'cause I just put these on.\All-Porpoise response:	My all-porpoise socks.
context: You're actually kind of nice, you know?\What?\I'm nice?\Exactly! What in the world do those two want from me?!\Wait, I'll do that.\It's okay'cause I just put these on.\All-Porpoise\My all-porpoise socks. response:	Huh?
context: What?\I'm nice?\Exactly! What in the world do those two want from me?!\Wait, I'll do that.\It's okay'cause I just put these on.\All-Porpoise\My all-porpoise socks.\Huh? response:	Never mind that!
context: I'm nice?\Exactly! What in the world do those two want from me?!\Wait, I'll do that.\It's okay'cause I just put these on.\All-Porpoise\My all-porpoise socks.\Huh?\Never mind that! response:	We need to discuss the Dark Flame Master and my master!
context: Exactly! What in the world do those two want from me?!\Wait, I'll do that.\It's okay'cause I just put these on.\All-Porpoise\My all-porpoise socks.\Huh?\Never mind that!\We need to discuss the Dark Flame Master and my master! response:	You're in a bad mood, Deko.
context: Wait, I'll do that.\It's okay'cause I just put these on.\All-Porpoise\My all-porpoise socks.\Huh?\Never mind that!\We need to discuss the Dark Flame Master and my master!\You're in a bad mood, Deko. response:	Of course I am! I have always showed restraint
context: It's okay'cause I just put these on.\All-Porpoise\My all-porpoise socks.\Huh?\Never mind that!\We need to discuss the Dark Flame Master and my master!\You're in a bad mood, Deko.\Of course I am! I have always showed restraint response:	whether they want to be together or not.
context: All-Porpoise\My all-porpoise socks.\Huh?\Never mind that!\We need to discuss the Dark Flame Master and my master!\You're in a bad mood, Deko.\Of course I am! I have always showed restraint\whether they want to be together or not. response:	Do they want to be together or don't they?
context: My all-porpoise socks.\Huh?\Never mind that!\We need to discuss the Dark Flame Master and my master!\You're in a bad mood, Deko.\Of course I am! I have always showed restraint\whether they want to be together or not.\Do they want to be together or don't they? response:	I know what you mean. They're like that at home.
context: Huh?\Never mind that!\We need to discuss the Dark Flame Master and my master!\You're in a bad mood, Deko.\Of course I am! I have always showed restraint\whether they want to be together or not.\Do they want to be together or don't they?\I know what you mean. They're like that at home. response:	Huh?
context: Never mind that!\We need to discuss the Dark Flame Master and my master!\You're in a bad mood, Deko.\Of course I am! I have always showed restraint\whether they want to be together or not.\Do they want to be together or don't they?\I know what you mean. They're like that at home.\Huh? response:	They're always so secretive. It makes me feel like the villain.
context: We need to discuss the Dark Flame Master and my master!\You're in a bad mood, Deko.\Of course I am! I have always showed restraint\whether they want to be together or not.\Do they want to be together or don't they?\I know what you mean. They're like that at home.\Huh?\They're always so secretive. It makes me feel like the villain. response:	I know! I know what you mean!
context: You're in a bad mood, Deko.\Of course I am! I have always showed restraint\whether they want to be together or not.\Do they want to be together or don't they?\I know what you mean. They're like that at home.\Huh?\They're always so secretive. It makes me feel like the villain.\I know! I know what you mean! response:	Little sister to Dark Flame Master and Ghelzonianses!
context: Of course I am! I have always showed restraint\whether they want to be together or not.\Do they want to be together or don't they?\I know what you mean. They're like that at home.\Huh?\They're always so secretive. It makes me feel like the villain.\I know! I know what you mean!\Little sister to Dark Flame Master and Ghelzonianses! response:	Call me Kuzuha.
context: whether they want to be together or not.\Do they want to be together or don't they?\I know what you mean. They're like that at home.\Huh?\They're always so secretive. It makes me feel like the villain.\I know! I know what you mean!\Little sister to Dark Flame Master and Ghelzonianses!\Call me Kuzuha. response:	You really love your big brother, don't you?
context: Do they want to be together or don't they?\I know what you mean. They're like that at home.\Huh?\They're always so secretive. It makes me feel like the villain.\I know! I know what you mean!\Little sister to Dark Flame Master and Ghelzonianses!\Call me Kuzuha.\You really love your big brother, don't you? response:	Not really.
context: I know what you mean. They're like that at home.\Huh?\They're always so secretive. It makes me feel like the villain.\I know! I know what you mean!\Little sister to Dark Flame Master and Ghelzonianses!\Call me Kuzuha.\You really love your big brother, don't you?\Not really. response:	I wonder how they're all doing?
context: Huh?\They're always so secretive. It makes me feel like the villain.\I know! I know what you mean!\Little sister to Dark Flame Master and Ghelzonianses!\Call me Kuzuha.\You really love your big brother, don't you?\Not really.\I wonder how they're all doing? response:	What's this?
context: They're always so secretive. It makes me feel like the villain.\I know! I know what you mean!\Little sister to Dark Flame Master and Ghelzonianses!\Call me Kuzuha.\You really love your big brother, don't you?\Not really.\I wonder how they're all doing?\What's this? response:	I forget.
context: I know! I know what you mean!\Little sister to Dark Flame Master and Ghelzonianses!\Call me Kuzuha.\You really love your big brother, don't you?\Not really.\I wonder how they're all doing?\What's this?\I forget. response:	All Porpoise
context: Little sister to Dark Flame Master and Ghelzonianses!\Call me Kuzuha.\You really love your big brother, don't you?\Not really.\I wonder how they're all doing?\What's this?\I forget.\All Porpoise response:	Hey, are you really going in there?
context: Call me Kuzuha.\You really love your big brother, don't you?\Not really.\I wonder how they're all doing?\What's this?\I forget.\All Porpoise\Hey, are you really going in there? response:	He's right. You should call it off.
context: You really love your big brother, don't you?\Not really.\I wonder how they're all doing?\What's this?\I forget.\All Porpoise\Hey, are you really going in there?\He's right. You should call it off. response:	Your opinion doesn't count because you have Takanashi.
context: Not really.\I wonder how they're all doing?\What's this?\I forget.\All Porpoise\Hey, are you really going in there?\He's right. You should call it off.\Your opinion doesn't count because you have Takanashi. response:	It's Isshiki! Isshiki's been captured!
context: I wonder how they're all doing?\What's this?\I forget.\All Porpoise\Hey, are you really going in there?\He's right. You should call it off.\Your opinion doesn't count because you have Takanashi.\It's Isshiki! Isshiki's been captured! response:	Isshiki!
context: What's this?\I forget.\All Porpoise\Hey, are you really going in there?\He's right. You should call it off.\Your opinion doesn't count because you have Takanashi.\It's Isshiki! Isshiki's been captured!\Isshiki! response:	You're wrong! You've got it all wrong!
context: I forget.\All Porpoise\Hey, are you really going in there?\He's right. You should call it off.\Your opinion doesn't count because you have Takanashi.\It's Isshiki! Isshiki's been captured!\Isshiki!\You're wrong! You've got it all wrong! response:	WOMEN'S BATH
context: All Porpoise\Hey, are you really going in there?\He's right. You should call it off.\Your opinion doesn't count because you have Takanashi.\It's Isshiki! Isshiki's been captured!\Isshiki!\You're wrong! You've got it all wrong!\WOMEN'S BATH response:	I honestly mixed up the men's and the women's baths!
context: Hey, are you really going in there?\He's right. You should call it off.\Your opinion doesn't count because you have Takanashi.\It's Isshiki! Isshiki's been captured!\Isshiki!\You're wrong! You've got it all wrong!\WOMEN'S BATH\I honestly mixed up the men's and the women's baths! response:	Isshiki...
context: He's right. You should call it off.\Your opinion doesn't count because you have Takanashi.\It's Isshiki! Isshiki's been captured!\Isshiki!\You're wrong! You've got it all wrong!\WOMEN'S BATH\I honestly mixed up the men's and the women's baths!\Isshiki... response:	Which means we use Route B?
context: Your opinion doesn't count because you have Takanashi.\It's Isshiki! Isshiki's been captured!\Isshiki!\You're wrong! You've got it all wrong!\WOMEN'S BATH\I honestly mixed up the men's and the women's baths!\Isshiki...\Which means we use Route B? response:	We'd better hurry.
context: It's Isshiki! Isshiki's been captured!\Isshiki!\You're wrong! You've got it all wrong!\WOMEN'S BATH\I honestly mixed up the men's and the women's baths!\Isshiki...\Which means we use Route B?\We'd better hurry. response:	The girls in our class will be done bathing soon.
context: Isshiki!\You're wrong! You've got it all wrong!\WOMEN'S BATH\I honestly mixed up the men's and the women's baths!\Isshiki...\Which means we use Route B?\We'd better hurry.\The girls in our class will be done bathing soon. response:	Nibutani!
context: You're wrong! You've got it all wrong!\WOMEN'S BATH\I honestly mixed up the men's and the women's baths!\Isshiki...\Which means we use Route B?\We'd better hurry.\The girls in our class will be done bathing soon.\Nibutani! response:	Crush?
context: WOMEN'S BATH\I honestly mixed up the men's and the women's baths!\Isshiki...\Which means we use Route B?\We'd better hurry.\The girls in our class will be done bathing soon.\Nibutani!\Crush? response:	Don't you have a crush? All the boys like you.
context: I honestly mixed up the men's and the women's baths!\Isshiki...\Which means we use Route B?\We'd better hurry.\The girls in our class will be done bathing soon.\Nibutani!\Crush?\Don't you have a crush? All the boys like you. response:	She's right. Aren't you going out with anyone?
context: Isshiki...\Which means we use Route B?\We'd better hurry.\The girls in our class will be done bathing soon.\Nibutani!\Crush?\Don't you have a crush? All the boys like you.\She's right. Aren't you going out with anyone? response:	What? Uh, not anyone in particular.
context: Which means we use Route B?\We'd better hurry.\The girls in our class will be done bathing soon.\Nibutani!\Crush?\Don't you have a crush? All the boys like you.\She's right. Aren't you going out with anyone?\What? Uh, not anyone in particular. response:	Really? Is that true?
context: We'd better hurry.\The girls in our class will be done bathing soon.\Nibutani!\Crush?\Don't you have a crush? All the boys like you.\She's right. Aren't you going out with anyone?\What? Uh, not anyone in particular.\Really? Is that true? response:	Then what about last year?
context: The girls in our class will be done bathing soon.\Nibutani!\Crush?\Don't you have a crush? All the boys like you.\She's right. Aren't you going out with anyone?\What? Uh, not anyone in particular.\Really? Is that true?\Then what about last year? response:	You had a boyfriend last year, didn't you?
context: Nibutani!\Crush?\Don't you have a crush? All the boys like you.\She's right. Aren't you going out with anyone?\What? Uh, not anyone in particular.\Really? Is that true?\Then what about last year?\You had a boyfriend last year, didn't you? response:	Why the interrogation?
context: Crush?\Don't you have a crush? All the boys like you.\She's right. Aren't you going out with anyone?\What? Uh, not anyone in particular.\Really? Is that true?\Then what about last year?\You had a boyfriend last year, didn't you?\Why the interrogation? response:	After all, just look.
context: Don't you have a crush? All the boys like you.\She's right. Aren't you going out with anyone?\What? Uh, not anyone in particular.\Really? Is that true?\Then what about last year?\You had a boyfriend last year, didn't you?\Why the interrogation?\After all, just look. response:	You've been good friends with Togashi since you started high school.
context: She's right. Aren't you going out with anyone?\What? Uh, not anyone in particular.\Really? Is that true?\Then what about last year?\You had a boyfriend last year, didn't you?\Why the interrogation?\After all, just look.\You've been good friends with Togashi since you started high school. response:	Huh?
context: What? Uh, not anyone in particular.\Really? Is that true?\Then what about last year?\You had a boyfriend last year, didn't you?\Why the interrogation?\After all, just look.\You've been good friends with Togashi since you started high school.\Huh? response:	Yeah. We thought maybe you guys went out at some point.
context: Really? Is that true?\Then what about last year?\You had a boyfriend last year, didn't you?\Why the interrogation?\After all, just look.\You've been good friends with Togashi since you started high school.\Huh?\Yeah. We thought maybe you guys went out at some point. response:	And then maybe you were in a love triangle with Takanashi.
context: Then what about last year?\You had a boyfriend last year, didn't you?\Why the interrogation?\After all, just look.\You've been good friends with Togashi since you started high school.\Huh?\Yeah. We thought maybe you guys went out at some point.\And then maybe you were in a love triangle with Takanashi. response:	What?!
context: You had a boyfriend last year, didn't you?\Why the interrogation?\After all, just look.\You've been good friends with Togashi since you started high school.\Huh?\Yeah. We thought maybe you guys went out at some point.\And then maybe you were in a love triangle with Takanashi.\What?! response:	I wouldn't be so sure.
context: Why the interrogation?\After all, just look.\You've been good friends with Togashi since you started high school.\Huh?\Yeah. We thought maybe you guys went out at some point.\And then maybe you were in a love triangle with Takanashi.\What?!\I wouldn't be so sure. response:	From my personal viewpoint as the Love Meister...
context: After all, just look.\You've been good friends with Togashi since you started high school.\Huh?\Yeah. We thought maybe you guys went out at some point.\And then maybe you were in a love triangle with Takanashi.\What?!\I wouldn't be so sure.\From my personal viewpoint as the Love Meister... response:	Huh?
context: You've been good friends with Togashi since you started high school.\Huh?\Yeah. We thought maybe you guys went out at some point.\And then maybe you were in a love triangle with Takanashi.\What?!\I wouldn't be so sure.\From my personal viewpoint as the Love Meister...\Huh? response:	More girls are like that than you'd think.
context: Huh?\Yeah. We thought maybe you guys went out at some point.\And then maybe you were in a love triangle with Takanashi.\What?!\I wouldn't be so sure.\From my personal viewpoint as the Love Meister...\Huh?\More girls are like that than you'd think. response:	They look like seasoned veterans when they're only amateurs.
context: Yeah. We thought maybe you guys went out at some point.\And then maybe you were in a love triangle with Takanashi.\What?!\I wouldn't be so sure.\From my personal viewpoint as the Love Meister...\Huh?\More girls are like that than you'd think.\They look like seasoned veterans when they're only amateurs. response:	No way!
context: And then maybe you were in a love triangle with Takanashi.\What?!\I wouldn't be so sure.\From my personal viewpoint as the Love Meister...\Huh?\More girls are like that than you'd think.\They look like seasoned veterans when they're only amateurs.\No way! response:	You have some experience, don't you?
context: What?!\I wouldn't be so sure.\From my personal viewpoint as the Love Meister...\Huh?\More girls are like that than you'd think.\They look like seasoned veterans when they're only amateurs.\No way!\You have some experience, don't you? response:	Y-yes. In a way...
context: I wouldn't be so sure.\From my personal viewpoint as the Love Meister...\Huh?\More girls are like that than you'd think.\They look like seasoned veterans when they're only amateurs.\No way!\You have some experience, don't you?\Y-yes. In a way... response:	Really? When was this?
context: From my personal viewpoint as the Love Meister...\Huh?\More girls are like that than you'd think.\They look like seasoned veterans when they're only amateurs.\No way!\You have some experience, don't you?\Y-yes. In a way...\Really? When was this? response:	In middle school, I think.
context: Huh?\More girls are like that than you'd think.\They look like seasoned veterans when they're only amateurs.\No way!\You have some experience, don't you?\Y-yes. In a way...\Really? When was this?\In middle school, I think. response:	Huh? But when you were in middle school...
context: More girls are like that than you'd think.\They look like seasoned veterans when they're only amateurs.\No way!\You have some experience, don't you?\Y-yes. In a way...\Really? When was this?\In middle school, I think.\Huh? But when you were in middle school... response:	didn't you go around saying you were 1,200 years old?
context: They look like seasoned veterans when they're only amateurs.\No way!\You have some experience, don't you?\Y-yes. In a way...\Really? When was this?\In middle school, I think.\Huh? But when you were in middle school...\didn't you go around saying you were 1,200 years old? response:	Everyone was talking about it. They say you still do it on the net.
context: No way!\You have some experience, don't you?\Y-yes. In a way...\Really? When was this?\In middle school, I think.\Huh? But when you were in middle school...\didn't you go around saying you were 1,200 years old?\Everyone was talking about it. They say you still do it on the net. response:	What do you mean?
context: You have some experience, don't you?\Y-yes. In a way...\Really? When was this?\In middle school, I think.\Huh? But when you were in middle school...\didn't you go around saying you were 1,200 years old?\Everyone was talking about it. They say you still do it on the net.\What do you mean? response:	We're too late.
context: Y-yes. In a way...\Really? When was this?\In middle school, I think.\Huh? But when you were in middle school...\didn't you go around saying you were 1,200 years old?\Everyone was talking about it. They say you still do it on the net.\What do you mean?\We're too late. response:	Nibutani! We're too late.
context: Really? When was this?\In middle school, I think.\Huh? But when you were in middle school...\didn't you go around saying you were 1,200 years old?\Everyone was talking about it. They say you still do it on the net.\What do you mean?\We're too late.\Nibutani! We're too late. response:	THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE
context: In middle school, I think.\Huh? But when you were in middle school...\didn't you go around saying you were 1,200 years old?\Everyone was talking about it. They say you still do it on the net.\What do you mean?\We're too late.\Nibutani! We're too late.\THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE response:	See?
context: Huh? But when you were in middle school...\didn't you go around saying you were 1,200 years old?\Everyone was talking about it. They say you still do it on the net.\What do you mean?\We're too late.\Nibutani! We're too late.\THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE\See? response:	Horoscopes for the 12 Constellations
context: didn't you go around saying you were 1,200 years old?\Everyone was talking about it. They say you still do it on the net.\What do you mean?\We're too late.\Nibutani! We're too late.\THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE\See?\Horoscopes for the 12 Constellations response:	COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!
context: Everyone was talking about it. They say you still do it on the net.\What do you mean?\We're too late.\Nibutani! We're too late.\THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE\See?\Horoscopes for the 12 Constellations\COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick! response:	That junior!
context: What do you mean?\We're too late.\Nibutani! We're too late.\THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE\See?\Horoscopes for the 12 Constellations\COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!\That junior! response:	I see that look. So, it is you.
context: We're too late.\Nibutani! We're too late.\THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE\See?\Horoscopes for the 12 Constellations\COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!\That junior!\I see that look. So, it is you. response:	N-n-no, it isn't me!
context: Nibutani! We're too late.\THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE\See?\Horoscopes for the 12 Constellations\COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!\That junior!\I see that look. So, it is you.\N-n-no, it isn't me! response:	I have nothing to do with it!
context: THE WHISPERS OF MORI SUMMER LOVE - LIFE - FORTUNE\See?\Horoscopes for the 12 Constellations\COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!\That junior!\I see that look. So, it is you.\N-n-no, it isn't me!\I have nothing to do with it! response:	Why would I carry on like a Middle Two kid
context: See?\Horoscopes for the 12 Constellations\COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!\That junior!\I see that look. So, it is you.\N-n-no, it isn't me!\I have nothing to do with it!\Why would I carry on like a Middle Two kid response:	now that I'm in high school?
context: Horoscopes for the 12 Constellations\COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!\That junior!\I see that look. So, it is you.\N-n-no, it isn't me!\I have nothing to do with it!\Why would I carry on like a Middle Two kid\now that I'm in high school? response:	C'mon, we have to be up early. Time to sleep!
context: COMMENTS: Mori Summer helped me with my love life. I am happily dating my crush. Mori Summer's advice did the trick!\That junior!\I see that look. So, it is you.\N-n-no, it isn't me!\I have nothing to do with it!\Why would I carry on like a Middle Two kid\now that I'm in high school?\C'mon, we have to be up early. Time to sleep! response:	And then a will'o' the wisp crept up beside the girl...
context: That junior!\I see that look. So, it is you.\N-n-no, it isn't me!\I have nothing to do with it!\Why would I carry on like a Middle Two kid\now that I'm in high school?\C'mon, we have to be up early. Time to sleep!\And then a will'o' the wisp crept up beside the girl... response:	Stop it!
context: I see that look. So, it is you.\N-n-no, it isn't me!\I have nothing to do with it!\Why would I carry on like a Middle Two kid\now that I'm in high school?\C'mon, we have to be up early. Time to sleep!\And then a will'o' the wisp crept up beside the girl...\Stop it! response:	It's not that scary.
context: N-n-no, it isn't me!\I have nothing to do with it!\Why would I carry on like a Middle Two kid\now that I'm in high school?\C'mon, we have to be up early. Time to sleep!\And then a will'o' the wisp crept up beside the girl...\Stop it!\It's not that scary. response:	Yeah, forget the ghost stories.
context: I have nothing to do with it!\Why would I carry on like a Middle Two kid\now that I'm in high school?\C'mon, we have to be up early. Time to sleep!\And then a will'o' the wisp crept up beside the girl...\Stop it!\It's not that scary.\Yeah, forget the ghost stories. response:	I'd rather hear how far you've gotten, Togashi.
context: Why would I carry on like a Middle Two kid\now that I'm in high school?\C'mon, we have to be up early. Time to sleep!\And then a will'o' the wisp crept up beside the girl...\Stop it!\It's not that scary.\Yeah, forget the ghost stories.\I'd rather hear how far you've gotten, Togashi. response:	How far I've gotten with what?
context: now that I'm in high school?\C'mon, we have to be up early. Time to sleep!\And then a will'o' the wisp crept up beside the girl...\Stop it!\It's not that scary.\Yeah, forget the ghost stories.\I'd rather hear how far you've gotten, Togashi.\How far I've gotten with what? response:	You know. With Takanashi.
context: C'mon, we have to be up early. Time to sleep!\And then a will'o' the wisp crept up beside the girl...\Stop it!\It's not that scary.\Yeah, forget the ghost stories.\I'd rather hear how far you've gotten, Togashi.\How far I've gotten with what?\You know. With Takanashi. response:	Like we really need to ask.
context: And then a will'o' the wisp crept up beside the girl...\Stop it!\It's not that scary.\Yeah, forget the ghost stories.\I'd rather hear how far you've gotten, Togashi.\How far I've gotten with what?\You know. With Takanashi.\Like we really need to ask. response:	You started going out during last year's Culture Festival.
context: Stop it!\It's not that scary.\Yeah, forget the ghost stories.\I'd rather hear how far you've gotten, Togashi.\How far I've gotten with what?\You know. With Takanashi.\Like we really need to ask.\You started going out during last year's Culture Festival. response:	How do you know that?
context: It's not that scary.\Yeah, forget the ghost stories.\I'd rather hear how far you've gotten, Togashi.\How far I've gotten with what?\You know. With Takanashi.\Like we really need to ask.\You started going out during last year's Culture Festival.\How do you know that? response:	Yuta!
context: Yeah, forget the ghost stories.\I'd rather hear how far you've gotten, Togashi.\How far I've gotten with what?\You know. With Takanashi.\Like we really need to ask.\You started going out during last year's Culture Festival.\How do you know that?\Yuta! response:	Rikka!
