context: I asked you to go get the corruption for me, didn't I? response:	You have that much trouble with a simple errand?
context: It's not safe here right now for someone as sensitive as you.\Go home.\U-Uh...\Thank you\What's wrong?!\These cuts...\Elias.\I need to get Elias. response:	Or should I treat him with what medicine I have?
context: Go home.\U-Uh...\Thank you\What's wrong?!\These cuts...\Elias.\I need to get Elias.\Or should I treat him with what medicine I have? response:	You remind me of Isabelle.
context: U-Uh...\Thank you\What's wrong?!\These cuts...\Elias.\I need to get Elias.\Or should I treat him with what medicine I have?\You remind me of Isabelle. response:	Yeah.
context: Thank you\What's wrong?!\These cuts...\Elias.\I need to get Elias.\Or should I treat him with what medicine I have?\You remind me of Isabelle.\Yeah. response:	Isabelle.
context: What's wrong?!\These cuts...\Elias.\I need to get Elias.\Or should I treat him with what medicine I have?\You remind me of Isabelle.\Yeah.\Isabelle. response:	Your wounds...
context: These cuts...\Elias.\I need to get Elias.\Or should I treat him with what medicine I have?\You remind me of Isabelle.\Yeah.\Isabelle.\Your wounds... response:	Isabelle...
context: Elias.\I need to get Elias.\Or should I treat him with what medicine I have?\You remind me of Isabelle.\Yeah.\Isabelle.\Your wounds...\Isabelle... response:	Isabelle...
context: I need to get Elias.\Or should I treat him with what medicine I have?\You remind me of Isabelle.\Yeah.\Isabelle.\Your wounds...\Isabelle...\Isabelle... response:	Isabelle...
context: Or should I treat him with what medicine I have?\You remind me of Isabelle.\Yeah.\Isabelle.\Your wounds...\Isabelle...\Isabelle...\Isabelle... response:	The black dog...
context: You remind me of Isabelle.\Yeah.\Isabelle.\Your wounds...\Isabelle...\Isabelle...\Isabelle...\The black dog... response:	Isabelle...
context: Yeah.\Isabelle.\Your wounds...\Isabelle...\Isabelle...\Isabelle...\The black dog...\Isabelle... response:	Isabelle...
context: Isabelle.\Your wounds...\Isabelle...\Isabelle...\Isabelle...\The black dog...\Isabelle...\Isabelle... response:	Isabelle...
context: Your wounds...\Isabelle...\Isabelle...\Isabelle...\The black dog...\Isabelle...\Isabelle...\Isabelle... response:	Isabelle...
context: Isabelle...\Isabelle...\Isabelle...\The black dog...\Isabelle...\Isabelle...\Isabelle...\Isabelle... response:	No.
context: Isabelle...\Isabelle...\The black dog...\Isabelle...\Isabelle...\Isabelle...\Isabelle...\No. response:	Wait.
context: Isabelle...\The black dog...\Isabelle...\Isabelle...\Isabelle...\Isabelle...\No.\Wait. response:	You're way too hurt to move, even for a fairy!
context: The black dog...\Isabelle...\Isabelle...\Isabelle...\Isabelle...\No.\Wait.\You're way too hurt to move, even for a fairy! response:	Bite wounds and shred marks.
context: Isabelle...\Isabelle...\Isabelle...\Isabelle...\No.\Wait.\You're way too hurt to move, even for a fairy!\Bite wounds and shred marks. response:	It's a lot like that corpse.
context: Isabelle...\Isabelle...\Isabelle...\No.\Wait.\You're way too hurt to move, even for a fairy!\Bite wounds and shred marks.\It's a lot like that corpse. response:	It wasn't him who did it.
context: Isabelle...\Isabelle...\No.\Wait.\You're way too hurt to move, even for a fairy!\Bite wounds and shred marks.\It's a lot like that corpse.\It wasn't him who did it. response:	You.
context: Isabelle...\No.\Wait.\You're way too hurt to move, even for a fairy!\Bite wounds and shred marks.\It's a lot like that corpse.\It wasn't him who did it.\You. response:	Hand over that dog.
context: No.\Wait.\You're way too hurt to move, even for a fairy!\Bite wounds and shred marks.\It's a lot like that corpse.\It wasn't him who did it.\You.\Hand over that dog. response:	You're from before.
context: Wait.\You're way too hurt to move, even for a fairy!\Bite wounds and shred marks.\It's a lot like that corpse.\It wasn't him who did it.\You.\Hand over that dog.\You're from before. response:	I don't have any business with you.
context: You're way too hurt to move, even for a fairy!\Bite wounds and shred marks.\It's a lot like that corpse.\It wasn't him who did it.\You.\Hand over that dog.\You're from before.\I don't have any business with you. response:	Hand over the dog. That's all I ask.
context: Bite wounds and shred marks.\It's a lot like that corpse.\It wasn't him who did it.\You.\Hand over that dog.\You're from before.\I don't have any business with you.\Hand over the dog. That's all I ask. response:	That's not a problem for you, is it?
context: It's a lot like that corpse.\It wasn't him who did it.\You.\Hand over that dog.\You're from before.\I don't have any business with you.\Hand over the dog. That's all I ask.\That's not a problem for you, is it? response:	He helped me.
context: It wasn't him who did it.\You.\Hand over that dog.\You're from before.\I don't have any business with you.\Hand over the dog. That's all I ask.\That's not a problem for you, is it?\He helped me. response:	Unless you have a proper reason, I refuse.
context: You.\Hand over that dog.\You're from before.\I don't have any business with you.\Hand over the dog. That's all I ask.\That's not a problem for you, is it?\He helped me.\Unless you have a proper reason, I refuse. response:	Just hand it over!
context: Hand over that dog.\You're from before.\I don't have any business with you.\Hand over the dog. That's all I ask.\That's not a problem for you, is it?\He helped me.\Unless you have a proper reason, I refuse.\Just hand it over! response:	I need to take him!
context: You're from before.\I don't have any business with you.\Hand over the dog. That's all I ask.\That's not a problem for you, is it?\He helped me.\Unless you have a proper reason, I refuse.\Just hand it over!\I need to take him! response:	What the hell did you
context: I don't have any business with you.\Hand over the dog. That's all I ask.\That's not a problem for you, is it?\He helped me.\Unless you have a proper reason, I refuse.\Just hand it over!\I need to take him!\What the hell did you response:	I messed this one up, but it might actually be useful against humans.
context: Hand over the dog. That's all I ask.\That's not a problem for you, is it?\He helped me.\Unless you have a proper reason, I refuse.\Just hand it over!\I need to take him!\What the hell did you\I messed this one up, but it might actually be useful against humans. response:	Ulysse.
context: That's not a problem for you, is it?\He helped me.\Unless you have a proper reason, I refuse.\Just hand it over!\I need to take him!\What the hell did you\I messed this one up, but it might actually be useful against humans.\Ulysse. response:	Ulysse.
context: He helped me.\Unless you have a proper reason, I refuse.\Just hand it over!\I need to take him!\What the hell did you\I messed this one up, but it might actually be useful against humans.\Ulysse.\Ulysse. response:	Come.
context: Unless you have a proper reason, I refuse.\Just hand it over!\I need to take him!\What the hell did you\I messed this one up, but it might actually be useful against humans.\Ulysse.\Ulysse.\Come. response:	What's the matter, Isabelle? Did they make fun of you for being a redhead again?
context: Just hand it over!\I need to take him!\What the hell did you\I messed this one up, but it might actually be useful against humans.\Ulysse.\Ulysse.\Come.\What's the matter, Isabelle? Did they make fun of you for being a redhead again? response:	It's such beautiful, sunset-colored hair.
context: I need to take him!\What the hell did you\I messed this one up, but it might actually be useful against humans.\Ulysse.\Ulysse.\Come.\What's the matter, Isabelle? Did they make fun of you for being a redhead again?\It's such beautiful, sunset-colored hair. response:	I'd love you no matter what color your hair was.
context: What the hell did you\I messed this one up, but it might actually be useful against humans.\Ulysse.\Ulysse.\Come.\What's the matter, Isabelle? Did they make fun of you for being a redhead again?\It's such beautiful, sunset-colored hair.\I'd love you no matter what color your hair was. response:	Isabelle...
context: I messed this one up, but it might actually be useful against humans.\Ulysse.\Ulysse.\Come.\What's the matter, Isabelle? Did they make fun of you for being a redhead again?\It's such beautiful, sunset-colored hair.\I'd love you no matter what color your hair was.\Isabelle... response:	Are you up?
context: Ulysse.\Ulysse.\Come.\What's the matter, Isabelle? Did they make fun of you for being a redhead again?\It's such beautiful, sunset-colored hair.\I'd love you no matter what color your hair was.\Isabelle...\Are you up? response:	I'm burning fairy repellent.
context: Ulysse.\Come.\What's the matter, Isabelle? Did they make fun of you for being a redhead again?\It's such beautiful, sunset-colored hair.\I'd love you no matter what color your hair was.\Isabelle...\Are you up?\I'm burning fairy repellent. response:	The weird ones will leave us alone.
context: Come.\What's the matter, Isabelle? Did they make fun of you for being a redhead again?\It's such beautiful, sunset-colored hair.\I'd love you no matter what color your hair was.\Isabelle...\Are you up?\I'm burning fairy repellent.\The weird ones will leave us alone. response:	Where are we?
context: What's the matter, Isabelle? Did they make fun of you for being a redhead again?\It's such beautiful, sunset-colored hair.\I'd love you no matter what color your hair was.\Isabelle...\Are you up?\I'm burning fairy repellent.\The weird ones will leave us alone.\Where are we? response:	In a forest nearby.
context: It's such beautiful, sunset-colored hair.\I'd love you no matter what color your hair was.\Isabelle...\Are you up?\I'm burning fairy repellent.\The weird ones will leave us alone.\Where are we?\In a forest nearby. response:	Are your wounds okay?
context: I'd love you no matter what color your hair was.\Isabelle...\Are you up?\I'm burning fairy repellent.\The weird ones will leave us alone.\Where are we?\In a forest nearby.\Are your wounds okay? response:	I put medicine on them, but...
context: Isabelle...\Are you up?\I'm burning fairy repellent.\The weird ones will leave us alone.\Where are we?\In a forest nearby.\Are your wounds okay?\I put medicine on them, but... response:	You resemble my younger sister.
context: Are you up?\I'm burning fairy repellent.\The weird ones will leave us alone.\Where are we?\In a forest nearby.\Are your wounds okay?\I put medicine on them, but...\You resemble my younger sister. response:	Your sister?
context: I'm burning fairy repellent.\The weird ones will leave us alone.\Where are we?\In a forest nearby.\Are your wounds okay?\I put medicine on them, but...\You resemble my younger sister.\Your sister? response:	Isabelle.
context: The weird ones will leave us alone.\Where are we?\In a forest nearby.\Are your wounds okay?\I put medicine on them, but...\You resemble my younger sister.\Your sister?\Isabelle. response:	She had sunset-colored hair and eyes like spring seedlings.
context: Where are we?\In a forest nearby.\Are your wounds okay?\I put medicine on them, but...\You resemble my younger sister.\Your sister?\Isabelle.\She had sunset-colored hair and eyes like spring seedlings. response:	She was about your height.
context: In a forest nearby.\Are your wounds okay?\I put medicine on them, but...\You resemble my younger sister.\Your sister?\Isabelle.\She had sunset-colored hair and eyes like spring seedlings.\She was about your height. response:	If you've lost each other, it's dangerous here, so I'll help find...
context: Are your wounds okay?\I put medicine on them, but...\You resemble my younger sister.\Your sister?\Isabelle.\She had sunset-colored hair and eyes like spring seedlings.\She was about your height.\If you've lost each other, it's dangerous here, so I'll help find... response:	There's no need.
context: I put medicine on them, but...\You resemble my younger sister.\Your sister?\Isabelle.\She had sunset-colored hair and eyes like spring seedlings.\She was about your height.\If you've lost each other, it's dangerous here, so I'll help find...\There's no need. response:	She's sleeping under the dirt.
context: You resemble my younger sister.\Your sister?\Isabelle.\She had sunset-colored hair and eyes like spring seedlings.\She was about your height.\If you've lost each other, it's dangerous here, so I'll help find...\There's no need.\She's sleeping under the dirt. response:	So she's dead?
context: Your sister?\Isabelle.\She had sunset-colored hair and eyes like spring seedlings.\She was about your height.\If you've lost each other, it's dangerous here, so I'll help find...\There's no need.\She's sleeping under the dirt.\So she's dead? response:	You're quite a strange dog.
context: Isabelle.\She had sunset-colored hair and eyes like spring seedlings.\She was about your height.\If you've lost each other, it's dangerous here, so I'll help find...\There's no need.\She's sleeping under the dirt.\So she's dead?\You're quite a strange dog. response:	Dog?
context: She had sunset-colored hair and eyes like spring seedlings.\She was about your height.\If you've lost each other, it's dangerous here, so I'll help find...\There's no need.\She's sleeping under the dirt.\So she's dead?\You're quite a strange dog.\Dog? response:	Isabelle and I are both human.
context: She was about your height.\If you've lost each other, it's dangerous here, so I'll help find...\There's no need.\She's sleeping under the dirt.\So she's dead?\You're quite a strange dog.\Dog?\Isabelle and I are both human. response:	I'd watched over her ever since she was little.
context: If you've lost each other, it's dangerous here, so I'll help find...\There's no need.\She's sleeping under the dirt.\So she's dead?\You're quite a strange dog.\Dog?\Isabelle and I are both human.\I'd watched over her ever since she was little. response:	Ulysse.
context: There's no need.\She's sleeping under the dirt.\So she's dead?\You're quite a strange dog.\Dog?\Isabelle and I are both human.\I'd watched over her ever since she was little.\Ulysse. response:	Always.
context: She's sleeping under the dirt.\So she's dead?\You're quite a strange dog.\Dog?\Isabelle and I are both human.\I'd watched over her ever since she was little.\Ulysse.\Always. response:	I always thought she would call me with that voice.
context: So she's dead?\You're quite a strange dog.\Dog?\Isabelle and I are both human.\I'd watched over her ever since she was little.\Ulysse.\Always.\I always thought she would call me with that voice. response:	I've met someone like you before.
context: You're quite a strange dog.\Dog?\Isabelle and I are both human.\I'd watched over her ever since she was little.\Ulysse.\Always.\I always thought she would call me with that voice.\I've met someone like you before. response:	Were they able to be with the one they love?
context: Dog?\Isabelle and I are both human.\I'd watched over her ever since she was little.\Ulysse.\Always.\I always thought she would call me with that voice.\I've met someone like you before.\Were they able to be with the one they love? response:	You could say so.
context: Isabelle and I are both human.\I'd watched over her ever since she was little.\Ulysse.\Always.\I always thought she would call me with that voice.\I've met someone like you before.\Were they able to be with the one they love?\You could say so. response:	But you could say otherwise, too.
context: I'd watched over her ever since she was little.\Ulysse.\Always.\I always thought she would call me with that voice.\I've met someone like you before.\Were they able to be with the one they love?\You could say so.\But you could say otherwise, too. response:	Say what?
context: Ulysse.\Always.\I always thought she would call me with that voice.\I've met someone like you before.\Were they able to be with the one they love?\You could say so.\But you could say otherwise, too.\Say what? response:	Where did you get those wounds?
context: Always.\I always thought she would call me with that voice.\I've met someone like you before.\Were they able to be with the one they love?\You could say so.\But you could say otherwise, too.\Say what?\Where did you get those wounds? response:	I don't know.
context: I always thought she would call me with that voice.\I've met someone like you before.\Were they able to be with the one they love?\You could say so.\But you could say otherwise, too.\Say what?\Where did you get those wounds?\I don't know. response:	Are you all right?
context: I've met someone like you before.\Were they able to be with the one they love?\You could say so.\But you could say otherwise, too.\Say what?\Where did you get those wounds?\I don't know.\Are you all right? response:	I'm glad the medicine doesn't last very long.
context: Were they able to be with the one they love?\You could say so.\But you could say otherwise, too.\Say what?\Where did you get those wounds?\I don't know.\Are you all right?\I'm glad the medicine doesn't last very long. response:	What the hell do you think
context: You could say so.\But you could say otherwise, too.\Say what?\Where did you get those wounds?\I don't know.\Are you all right?\I'm glad the medicine doesn't last very long.\What the hell do you think response:	Alice-san, was it?
context: But you could say otherwise, too.\Say what?\Where did you get those wounds?\I don't know.\Are you all right?\I'm glad the medicine doesn't last very long.\What the hell do you think\Alice-san, was it? response:	You scared me a bit, so I took the liberty of tying your wrists.
context: Say what?\Where did you get those wounds?\I don't know.\Are you all right?\I'm glad the medicine doesn't last very long.\What the hell do you think\Alice-san, was it?\You scared me a bit, so I took the liberty of tying your wrists. response:	Damn.
context: Where did you get those wounds?\I don't know.\Are you all right?\I'm glad the medicine doesn't last very long.\What the hell do you think\Alice-san, was it?\You scared me a bit, so I took the liberty of tying your wrists.\Damn. response:	You aren't going to do anything?
context: I don't know.\Are you all right?\I'm glad the medicine doesn't last very long.\What the hell do you think\Alice-san, was it?\You scared me a bit, so I took the liberty of tying your wrists.\Damn.\You aren't going to do anything? response:	I have no reason to do anything to you.
context: Are you all right?\I'm glad the medicine doesn't last very long.\What the hell do you think\Alice-san, was it?\You scared me a bit, so I took the liberty of tying your wrists.\Damn.\You aren't going to do anything?\I have no reason to do anything to you. response:	Um...
context: I'm glad the medicine doesn't last very long.\What the hell do you think\Alice-san, was it?\You scared me a bit, so I took the liberty of tying your wrists.\Damn.\You aren't going to do anything?\I have no reason to do anything to you.\Um... response:	Can I ask you a question, then?
context: What the hell do you think\Alice-san, was it?\You scared me a bit, so I took the liberty of tying your wrists.\Damn.\You aren't going to do anything?\I have no reason to do anything to you.\Um...\Can I ask you a question, then? response:	Why do you want him?
context: Alice-san, was it?\You scared me a bit, so I took the liberty of tying your wrists.\Damn.\You aren't going to do anything?\I have no reason to do anything to you.\Um...\Can I ask you a question, then?\Why do you want him? response:	Depending on your reason, I may be able to let you go.
context: You scared me a bit, so I took the liberty of tying your wrists.\Damn.\You aren't going to do anything?\I have no reason to do anything to you.\Um...\Can I ask you a question, then?\Why do you want him?\Depending on your reason, I may be able to let you go. response:	I need him as raw material to make a chimera.
context: Damn.\You aren't going to do anything?\I have no reason to do anything to you.\Um...\Can I ask you a question, then?\Why do you want him?\Depending on your reason, I may be able to let you go.\I need him as raw material to make a chimera. response:	Material?
context: You aren't going to do anything?\I have no reason to do anything to you.\Um...\Can I ask you a question, then?\Why do you want him?\Depending on your reason, I may be able to let you go.\I need him as raw material to make a chimera.\Material? response:	Do you know what a chimera is?
context: I have no reason to do anything to you.\Um...\Can I ask you a question, then?\Why do you want him?\Depending on your reason, I may be able to let you go.\I need him as raw material to make a chimera.\Material?\Do you know what a chimera is? response:	They're creatures made by combining two creatures using magic.
context: Um...\Can I ask you a question, then?\Why do you want him?\Depending on your reason, I may be able to let you go.\I need him as raw material to make a chimera.\Material?\Do you know what a chimera is?\They're creatures made by combining two creatures using magic. response:	Some weird brat came to us asking to help find the materials for it.
context: Can I ask you a question, then?\Why do you want him?\Depending on your reason, I may be able to let you go.\I need him as raw material to make a chimera.\Material?\Do you know what a chimera is?\They're creatures made by combining two creatures using magic.\Some weird brat came to us asking to help find the materials for it. response:	Master refused.
context: Why do you want him?\Depending on your reason, I may be able to let you go.\I need him as raw material to make a chimera.\Material?\Do you know what a chimera is?\They're creatures made by combining two creatures using magic.\Some weird brat came to us asking to help find the materials for it.\Master refused. response:	But there was nothing he could do.
context: Depending on your reason, I may be able to let you go.\I need him as raw material to make a chimera.\Material?\Do you know what a chimera is?\They're creatures made by combining two creatures using magic.\Some weird brat came to us asking to help find the materials for it.\Master refused.\But there was nothing he could do. response:	I don't care what happens to me.
context: I need him as raw material to make a chimera.\Material?\Do you know what a chimera is?\They're creatures made by combining two creatures using magic.\Some weird brat came to us asking to help find the materials for it.\Master refused.\But there was nothing he could do.\I don't care what happens to me. response:	You love him, huh?
context: Material?\Do you know what a chimera is?\They're creatures made by combining two creatures using magic.\Some weird brat came to us asking to help find the materials for it.\Master refused.\But there was nothing he could do.\I don't care what happens to me.\You love him, huh? response:	Absolutely!
context: Do you know what a chimera is?\They're creatures made by combining two creatures using magic.\Some weird brat came to us asking to help find the materials for it.\Master refused.\But there was nothing he could do.\I don't care what happens to me.\You love him, huh?\Absolutely! response:	Nothing good's ever happened to me since I was born.
context: They're creatures made by combining two creatures using magic.\Some weird brat came to us asking to help find the materials for it.\Master refused.\But there was nothing he could do.\I don't care what happens to me.\You love him, huh?\Absolutely!\Nothing good's ever happened to me since I was born. response:	But I had a bit of talent, so Master took me in.
context: Some weird brat came to us asking to help find the materials for it.\Master refused.\But there was nothing he could do.\I don't care what happens to me.\You love him, huh?\Absolutely!\Nothing good's ever happened to me since I was born.\But I had a bit of talent, so Master took me in. response:	You're the same way, aren't you?
context: Master refused.\But there was nothing he could do.\I don't care what happens to me.\You love him, huh?\Absolutely!\Nothing good's ever happened to me since I was born.\But I had a bit of talent, so Master took me in.\You're the same way, aren't you? response:	I'm not very smart, but I would do anything for Master.
context: But there was nothing he could do.\I don't care what happens to me.\You love him, huh?\Absolutely!\Nothing good's ever happened to me since I was born.\But I had a bit of talent, so Master took me in.\You're the same way, aren't you?\I'm not very smart, but I would do anything for Master. response:	I wonder what I think of him.
context: I don't care what happens to me.\You love him, huh?\Absolutely!\Nothing good's ever happened to me since I was born.\But I had a bit of talent, so Master took me in.\You're the same way, aren't you?\I'm not very smart, but I would do anything for Master.\I wonder what I think of him. response:	He has ulterior motives, but he's kind.
context: You love him, huh?\Absolutely!\Nothing good's ever happened to me since I was born.\But I had a bit of talent, so Master took me in.\You're the same way, aren't you?\I'm not very smart, but I would do anything for Master.\I wonder what I think of him.\He has ulterior motives, but he's kind. response:	He's important to me.
context: Absolutely!\Nothing good's ever happened to me since I was born.\But I had a bit of talent, so Master took me in.\You're the same way, aren't you?\I'm not very smart, but I would do anything for Master.\I wonder what I think of him.\He has ulterior motives, but he's kind.\He's important to me. response:	And ultimately, I couldn't go on if he kicked me out.
context: Nothing good's ever happened to me since I was born.\But I had a bit of talent, so Master took me in.\You're the same way, aren't you?\I'm not very smart, but I would do anything for Master.\I wonder what I think of him.\He has ulterior motives, but he's kind.\He's important to me.\And ultimately, I couldn't go on if he kicked me out. response:	Never mind that.
context: But I had a bit of talent, so Master took me in.\You're the same way, aren't you?\I'm not very smart, but I would do anything for Master.\I wonder what I think of him.\He has ulterior motives, but he's kind.\He's important to me.\And ultimately, I couldn't go on if he kicked me out.\Never mind that. response:	I gave you my reason.
context: You're the same way, aren't you?\I'm not very smart, but I would do anything for Master.\I wonder what I think of him.\He has ulterior motives, but he's kind.\He's important to me.\And ultimately, I couldn't go on if he kicked me out.\Never mind that.\I gave you my reason. response:	Now let me go, already!
context: I'm not very smart, but I would do anything for Master.\I wonder what I think of him.\He has ulterior motives, but he's kind.\He's important to me.\And ultimately, I couldn't go on if he kicked me out.\Never mind that.\I gave you my reason.\Now let me go, already! response:	I see what's going on now.
context: I wonder what I think of him.\He has ulterior motives, but he's kind.\He's important to me.\And ultimately, I couldn't go on if he kicked me out.\Never mind that.\I gave you my reason.\Now let me go, already!\I see what's going on now. response:	You were hiding him from me!
context: He has ulterior motives, but he's kind.\He's important to me.\And ultimately, I couldn't go on if he kicked me out.\Never mind that.\I gave you my reason.\Now let me go, already!\I see what's going on now.\You were hiding him from me! response:	Sorry.
context: He's important to me.\And ultimately, I couldn't go on if he kicked me out.\Never mind that.\I gave you my reason.\Now let me go, already!\I see what's going on now.\You were hiding him from me!\Sorry. response:	Is Renfred nearby?
context: And ultimately, I couldn't go on if he kicked me out.\Never mind that.\I gave you my reason.\Now let me go, already!\I see what's going on now.\You were hiding him from me!\Sorry.\Is Renfred nearby? response:	I came out here by myself!
context: Never mind that.\I gave you my reason.\Now let me go, already!\I see what's going on now.\You were hiding him from me!\Sorry.\Is Renfred nearby?\I came out here by myself! response:	Master is...
context: I gave you my reason.\Now let me go, already!\I see what's going on now.\You were hiding him from me!\Sorry.\Is Renfred nearby?\I came out here by myself!\Master is... response:	Yo, mage.
context: Now let me go, already!\I see what's going on now.\You were hiding him from me!\Sorry.\Is Renfred nearby?\I came out here by myself!\Master is...\Yo, mage. response:	Why are you guys here?
context: I see what's going on now.\You were hiding him from me!\Sorry.\Is Renfred nearby?\I came out here by myself!\Master is...\Yo, mage.\Why are you guys here? response:	To inspect that there.
context: You were hiding him from me!\Sorry.\Is Renfred nearby?\I came out here by myself!\Master is...\Yo, mage.\Why are you guys here?\To inspect that there. response:	A mage? Inspect me?
context: Sorry.\Is Renfred nearby?\I came out here by myself!\Master is...\Yo, mage.\Why are you guys here?\To inspect that there.\A mage? Inspect me? response:	Why?
context: Is Renfred nearby?\I came out here by myself!\Master is...\Yo, mage.\Why are you guys here?\To inspect that there.\A mage? Inspect me?\Why? response:	It's only recently that he awoke as a black dog.
context: I came out here by myself!\Master is...\Yo, mage.\Why are you guys here?\To inspect that there.\A mage? Inspect me?\Why?\It's only recently that he awoke as a black dog. response:	That thing won't be a problem.
context: Master is...\Yo, mage.\Why are you guys here?\To inspect that there.\A mage? Inspect me?\Why?\It's only recently that he awoke as a black dog.\That thing won't be a problem. response:	That thing?
context: Yo, mage.\Why are you guys here?\To inspect that there.\A mage? Inspect me?\Why?\It's only recently that he awoke as a black dog.\That thing won't be a problem.\That thing? response:	Sorry.
context: Why are you guys here?\To inspect that there.\A mage? Inspect me?\Why?\It's only recently that he awoke as a black dog.\That thing won't be a problem.\That thing?\Sorry. response:	Well?
context: To inspect that there.\A mage? Inspect me?\Why?\It's only recently that he awoke as a black dog.\That thing won't be a problem.\That thing?\Sorry.\Well? response:	Like I said, there's some creepy kid threatening us.
context: A mage? Inspect me?\Why?\It's only recently that he awoke as a black dog.\That thing won't be a problem.\That thing?\Sorry.\Well?\Like I said, there's some creepy kid threatening us. response:	He took Master's arm as well.
context: Why?\It's only recently that he awoke as a black dog.\That thing won't be a problem.\That thing?\Sorry.\Well?\Like I said, there's some creepy kid threatening us.\He took Master's arm as well. response:	No wonder.
context: It's only recently that he awoke as a black dog.\That thing won't be a problem.\That thing?\Sorry.\Well?\Like I said, there's some creepy kid threatening us.\He took Master's arm as well.\No wonder. response:	Please.
context: That thing won't be a problem.\That thing?\Sorry.\Well?\Like I said, there's some creepy kid threatening us.\He took Master's arm as well.\No wonder.\Please. response:	Do something about him.
context: That thing?\Sorry.\Well?\Like I said, there's some creepy kid threatening us.\He took Master's arm as well.\No wonder.\Please.\Do something about him. response:	How does that benefit us?
context: Sorry.\Well?\Like I said, there's some creepy kid threatening us.\He took Master's arm as well.\No wonder.\Please.\Do something about him.\How does that benefit us? response:	He's already got chimeras wandering around.
context: Well?\Like I said, there's some creepy kid threatening us.\He took Master's arm as well.\No wonder.\Please.\Do something about him.\How does that benefit us?\He's already got chimeras wandering around. response:	The corpse up front and the dog's wounds are both his chimera's doing.
context: Like I said, there's some creepy kid threatening us.\He took Master's arm as well.\No wonder.\Please.\Do something about him.\How does that benefit us?\He's already got chimeras wandering around.\The corpse up front and the dog's wounds are both his chimera's doing. response:	Concern yourself with the dog, and your kitten will be in danger, too.
context: He took Master's arm as well.\No wonder.\Please.\Do something about him.\How does that benefit us?\He's already got chimeras wandering around.\The corpse up front and the dog's wounds are both his chimera's doing.\Concern yourself with the dog, and your kitten will be in danger, too. response:	Was that not a good enough reason?
context: No wonder.\Please.\Do something about him.\How does that benefit us?\He's already got chimeras wandering around.\The corpse up front and the dog's wounds are both his chimera's doing.\Concern yourself with the dog, and your kitten will be in danger, too.\Was that not a good enough reason? response:	Sure, I don't mind.
context: Please.\Do something about him.\How does that benefit us?\He's already got chimeras wandering around.\The corpse up front and the dog's wounds are both his chimera's doing.\Concern yourself with the dog, and your kitten will be in danger, too.\Was that not a good enough reason?\Sure, I don't mind. response:	Why the flimsy voice?
context: Do something about him.\How does that benefit us?\He's already got chimeras wandering around.\The corpse up front and the dog's wounds are both his chimera's doing.\Concern yourself with the dog, and your kitten will be in danger, too.\Was that not a good enough reason?\Sure, I don't mind.\Why the flimsy voice? response:	No, I didn't think you'd be so quick to agree.
context: How does that benefit us?\He's already got chimeras wandering around.\The corpse up front and the dog's wounds are both his chimera's doing.\Concern yourself with the dog, and your kitten will be in danger, too.\Was that not a good enough reason?\Sure, I don't mind.\Why the flimsy voice?\No, I didn't think you'd be so quick to agree. response:	If he's left running around, the church will come complaining to me later, anyway.
context: He's already got chimeras wandering around.\The corpse up front and the dog's wounds are both his chimera's doing.\Concern yourself with the dog, and your kitten will be in danger, too.\Was that not a good enough reason?\Sure, I don't mind.\Why the flimsy voice?\No, I didn't think you'd be so quick to agree.\If he's left running around, the church will come complaining to me later, anyway. response:	So what does this kid look like?
context: The corpse up front and the dog's wounds are both his chimera's doing.\Concern yourself with the dog, and your kitten will be in danger, too.\Was that not a good enough reason?\Sure, I don't mind.\Why the flimsy voice?\No, I didn't think you'd be so quick to agree.\If he's left running around, the church will come complaining to me later, anyway.\So what does this kid look like? response:	I don't really know.
context: Concern yourself with the dog, and your kitten will be in danger, too.\Was that not a good enough reason?\Sure, I don't mind.\Why the flimsy voice?\No, I didn't think you'd be so quick to agree.\If he's left running around, the church will come complaining to me later, anyway.\So what does this kid look like?\I don't really know. response:	He looks like a kid, but I see all kinds of things overlapping.
context: Was that not a good enough reason?\Sure, I don't mind.\Why the flimsy voice?\No, I didn't think you'd be so quick to agree.\If he's left running around, the church will come complaining to me later, anyway.\So what does this kid look like?\I don't really know.\He looks like a kid, but I see all kinds of things overlapping. response:	He's, like, blurry.
context: Sure, I don't mind.\Why the flimsy voice?\No, I didn't think you'd be so quick to agree.\If he's left running around, the church will come complaining to me later, anyway.\So what does this kid look like?\I don't really know.\He looks like a kid, but I see all kinds of things overlapping.\He's, like, blurry. response:	He has this...
context: Why the flimsy voice?\No, I didn't think you'd be so quick to agree.\If he's left running around, the church will come complaining to me later, anyway.\So what does this kid look like?\I don't really know.\He looks like a kid, but I see all kinds of things overlapping.\He's, like, blurry.\He has this... response:	What's wrong?
context: No, I didn't think you'd be so quick to agree.\If he's left running around, the church will come complaining to me later, anyway.\So what does this kid look like?\I don't really know.\He looks like a kid, but I see all kinds of things overlapping.\He's, like, blurry.\He has this...\What's wrong? response:	What are you
context: If he's left running around, the church will come complaining to me later, anyway.\So what does this kid look like?\I don't really know.\He looks like a kid, but I see all kinds of things overlapping.\He's, like, blurry.\He has this...\What's wrong?\What are you response:	Renfred's puppy is so poorly trained.
context: So what does this kid look like?\I don't really know.\He looks like a kid, but I see all kinds of things overlapping.\He's, like, blurry.\He has this...\What's wrong?\What are you\Renfred's puppy is so poorly trained. response:	She spilled everything.
