context: Our adolescence is the season of love. response:	Our hearts flutter. We feel restless. And we're curious about boys.
context: You don't seem like you'll change even when you're an old man, Kominato-kun.\You're really loudmouthed in that way.\Hey, wait... can you not say loudmouthed?\Being called loudmouthed is painful. But right now-\Would these be pretend friendships, too?\After that, the leadership group fell under Kominato Rule.\Whether there's something to do or not, we get together once per week.\We did say that, right? response:	You did all on your own.
context: You're really loudmouthed in that way.\Hey, wait... can you not say loudmouthed?\Being called loudmouthed is painful. But right now-\Would these be pretend friendships, too?\After that, the leadership group fell under Kominato Rule.\Whether there's something to do or not, we get together once per week.\We did say that, right?\You did all on your own. response:	Anyway, come without missing any. Your attendance is too low.
context: Hey, wait... can you not say loudmouthed?\Being called loudmouthed is painful. But right now-\Would these be pretend friendships, too?\After that, the leadership group fell under Kominato Rule.\Whether there's something to do or not, we get together once per week.\We did say that, right?\You did all on your own.\Anyway, come without missing any. Your attendance is too low. response:	Coming or not as you please... are you a kindergartener?
context: Being called loudmouthed is painful. But right now-\Would these be pretend friendships, too?\After that, the leadership group fell under Kominato Rule.\Whether there's something to do or not, we get together once per week.\We did say that, right?\You did all on your own.\Anyway, come without missing any. Your attendance is too low.\Coming or not as you please... are you a kindergartener? response:	Okay, on that note, just like it says
context: Would these be pretend friendships, too?\After that, the leadership group fell under Kominato Rule.\Whether there's something to do or not, we get together once per week.\We did say that, right?\You did all on your own.\Anyway, come without missing any. Your attendance is too low.\Coming or not as you please... are you a kindergartener?\Okay, on that note, just like it says response:	- there are meetings everywhere.
context: After that, the leadership group fell under Kominato Rule.\Whether there's something to do or not, we get together once per week.\We did say that, right?\You did all on your own.\Anyway, come without missing any. Your attendance is too low.\Coming or not as you please... are you a kindergartener?\Okay, on that note, just like it says\- there are meetings everywhere. response:	- You're all really at it.
context: Whether there's something to do or not, we get together once per week.\We did say that, right?\You did all on your own.\Anyway, come without missing any. Your attendance is too low.\Coming or not as you please... are you a kindergartener?\Okay, on that note, just like it says\- there are meetings everywhere.\- You're all really at it. response:	Hey.
context: We did say that, right?\You did all on your own.\Anyway, come without missing any. Your attendance is too low.\Coming or not as you please... are you a kindergartener?\Okay, on that note, just like it says\- there are meetings everywhere.\- You're all really at it.\Hey. response:	The orientation report for the school's newsletter...
context: You did all on your own.\Anyway, come without missing any. Your attendance is too low.\Coming or not as you please... are you a kindergartener?\Okay, on that note, just like it says\- there are meetings everywhere.\- You're all really at it.\Hey.\The orientation report for the school's newsletter... response:	I want to have one of you do it. Anyone?
context: Anyway, come without missing any. Your attendance is too low.\Coming or not as you please... are you a kindergartener?\Okay, on that note, just like it says\- there are meetings everywhere.\- You're all really at it.\Hey.\The orientation report for the school's newsletter...\I want to have one of you do it. Anyone? response:	I have cram school...
context: Coming or not as you please... are you a kindergartener?\Okay, on that note, just like it says\- there are meetings everywhere.\- You're all really at it.\Hey.\The orientation report for the school's newsletter...\I want to have one of you do it. Anyone?\I have cram school... response:	Then I'll-
context: Okay, on that note, just like it says\- there are meetings everywhere.\- You're all really at it.\Hey.\The orientation report for the school's newsletter...\I want to have one of you do it. Anyone?\I have cram school...\Then I'll- response:	Kou! You're good at writing, right?
context: - there are meetings everywhere.\- You're all really at it.\Hey.\The orientation report for the school's newsletter...\I want to have one of you do it. Anyone?\I have cram school...\Then I'll-\Kou! You're good at writing, right? response:	Huh?
context: - You're all really at it.\Hey.\The orientation report for the school's newsletter...\I want to have one of you do it. Anyone?\I have cram school...\Then I'll-\Kou! You're good at writing, right?\Huh? response:	This is my chance to walk home with Shuuko. Let it happen.
context: Hey.\The orientation report for the school's newsletter...\I want to have one of you do it. Anyone?\I have cram school...\Then I'll-\Kou! You're good at writing, right?\Huh?\This is my chance to walk home with Shuuko. Let it happen. response:	I'll handle it.
context: The orientation report for the school's newsletter...\I want to have one of you do it. Anyone?\I have cram school...\Then I'll-\Kou! You're good at writing, right?\Huh?\This is my chance to walk home with Shuuko. Let it happen.\I'll handle it. response:	- I've got it. - Thanks.
context: I want to have one of you do it. Anyone?\I have cram school...\Then I'll-\Kou! You're good at writing, right?\Huh?\This is my chance to walk home with Shuuko. Let it happen.\I'll handle it.\- I've got it. - Thanks. response:	No, if you do it, it will be like an elementary student did it.
context: I have cram school...\Then I'll-\Kou! You're good at writing, right?\Huh?\This is my chance to walk home with Shuuko. Let it happen.\I'll handle it.\- I've got it. - Thanks.\No, if you do it, it will be like an elementary student did it. response:	I said I'll do it, so I'll do it.
context: Then I'll-\Kou! You're good at writing, right?\Huh?\This is my chance to walk home with Shuuko. Let it happen.\I'll handle it.\- I've got it. - Thanks.\No, if you do it, it will be like an elementary student did it.\I said I'll do it, so I'll do it. response:	No, your writing is messy too.
context: Kou! You're good at writing, right?\Huh?\This is my chance to walk home with Shuuko. Let it happen.\I'll handle it.\- I've got it. - Thanks.\No, if you do it, it will be like an elementary student did it.\I said I'll do it, so I'll do it.\No, your writing is messy too. response:	I can write clearly.
context: Huh?\This is my chance to walk home with Shuuko. Let it happen.\I'll handle it.\- I've got it. - Thanks.\No, if you do it, it will be like an elementary student did it.\I said I'll do it, so I'll do it.\No, your writing is messy too.\I can write clearly. response:	- You won't finish it before the end of the day.
context: This is my chance to walk home with Shuuko. Let it happen.\I'll handle it.\- I've got it. - Thanks.\No, if you do it, it will be like an elementary student did it.\I said I'll do it, so I'll do it.\No, your writing is messy too.\I can write clearly.\- You won't finish it before the end of the day. response:	- I will! Give it back!
context: I'll handle it.\- I've got it. - Thanks.\No, if you do it, it will be like an elementary student did it.\I said I'll do it, so I'll do it.\No, your writing is messy too.\I can write clearly.\- You won't finish it before the end of the day.\- I will! Give it back! response:	- Forget it! Lend me your lead pencil.
context: - I've got it. - Thanks.\No, if you do it, it will be like an elementary student did it.\I said I'll do it, so I'll do it.\No, your writing is messy too.\I can write clearly.\- You won't finish it before the end of the day.\- I will! Give it back!\- Forget it! Lend me your lead pencil. response:	- Futaba-chan. - Hm?
context: No, if you do it, it will be like an elementary student did it.\I said I'll do it, so I'll do it.\No, your writing is messy too.\I can write clearly.\- You won't finish it before the end of the day.\- I will! Give it back!\- Forget it! Lend me your lead pencil.\- Futaba-chan. - Hm? response:	What do you think of Mabuchi-kun?
context: I said I'll do it, so I'll do it.\No, your writing is messy too.\I can write clearly.\- You won't finish it before the end of the day.\- I will! Give it back!\- Forget it! Lend me your lead pencil.\- Futaba-chan. - Hm?\What do you think of Mabuchi-kun? response:	think I've fallen for him.
context: No, your writing is messy too.\I can write clearly.\- You won't finish it before the end of the day.\- I will! Give it back!\- Forget it! Lend me your lead pencil.\- Futaba-chan. - Hm?\What do you think of Mabuchi-kun?\think I've fallen for him. response:	Oh, I see!
context: I can write clearly.\- You won't finish it before the end of the day.\- I will! Give it back!\- Forget it! Lend me your lead pencil.\- Futaba-chan. - Hm?\What do you think of Mabuchi-kun?\think I've fallen for him.\Oh, I see! response:	I have a feeling that you like him, too.
context: - You won't finish it before the end of the day.\- I will! Give it back!\- Forget it! Lend me your lead pencil.\- Futaba-chan. - Hm?\What do you think of Mabuchi-kun?\think I've fallen for him.\Oh, I see!\I have a feeling that you like him, too. response:	No, no, no, no!
context: - I will! Give it back!\- Forget it! Lend me your lead pencil.\- Futaba-chan. - Hm?\What do you think of Mabuchi-kun?\think I've fallen for him.\Oh, I see!\I have a feeling that you like him, too.\No, no, no, no! response:	We just went to the same middle school. His attitude is so poor...
context: - Forget it! Lend me your lead pencil.\- Futaba-chan. - Hm?\What do you think of Mabuchi-kun?\think I've fallen for him.\Oh, I see!\I have a feeling that you like him, too.\No, no, no, no!\We just went to the same middle school. His attitude is so poor... response:	He has that air of, Aren't I so cool for not putting in my all?
context: - Futaba-chan. - Hm?\What do you think of Mabuchi-kun?\think I've fallen for him.\Oh, I see!\I have a feeling that you like him, too.\No, no, no, no!\We just went to the same middle school. His attitude is so poor...\He has that air of, Aren't I so cool for not putting in my all? response:	So now I don't...
context: What do you think of Mabuchi-kun?\think I've fallen for him.\Oh, I see!\I have a feeling that you like him, too.\No, no, no, no!\We just went to the same middle school. His attitude is so poor...\He has that air of, Aren't I so cool for not putting in my all?\So now I don't... response:	Just now?
context: think I've fallen for him.\Oh, I see!\I have a feeling that you like him, too.\No, no, no, no!\We just went to the same middle school. His attitude is so poor...\He has that air of, Aren't I so cool for not putting in my all?\So now I don't...\Just now? response:	Not then and not now.
context: Oh, I see!\I have a feeling that you like him, too.\No, no, no, no!\We just went to the same middle school. His attitude is so poor...\He has that air of, Aren't I so cool for not putting in my all?\So now I don't...\Just now?\Not then and not now. response:	Never. At all.
context: I have a feeling that you like him, too.\No, no, no, no!\We just went to the same middle school. His attitude is so poor...\He has that air of, Aren't I so cool for not putting in my all?\So now I don't...\Just now?\Not then and not now.\Never. At all. response:	Really? That's good!
context: No, no, no, no!\We just went to the same middle school. His attitude is so poor...\He has that air of, Aren't I so cool for not putting in my all?\So now I don't...\Just now?\Not then and not now.\Never. At all.\Really? That's good! response:	I was scared.
context: We just went to the same middle school. His attitude is so poor...\He has that air of, Aren't I so cool for not putting in my all?\So now I don't...\Just now?\Not then and not now.\Never. At all.\Really? That's good!\I was scared. response:	I had no idea what I'd do if you were a rival.
context: He has that air of, Aren't I so cool for not putting in my all?\So now I don't...\Just now?\Not then and not now.\Never. At all.\Really? That's good!\I was scared.\I had no idea what I'd do if you were a rival. response:	- I won't be! Oh, hey, you're going to be late for cram school.
context: So now I don't...\Just now?\Not then and not now.\Never. At all.\Really? That's good!\I was scared.\I had no idea what I'd do if you were a rival.\- I won't be! Oh, hey, you're going to be late for cram school. response:	Yeah.
context: Just now?\Not then and not now.\Never. At all.\Really? That's good!\I was scared.\I had no idea what I'd do if you were a rival.\- I won't be! Oh, hey, you're going to be late for cram school.\Yeah. response:	Right,
context: Not then and not now.\Never. At all.\Really? That's good!\I was scared.\I had no idea what I'd do if you were a rival.\- I won't be! Oh, hey, you're going to be late for cram school.\Yeah.\Right, response:	it's not that I like him.
context: Never. At all.\Really? That's good!\I was scared.\I had no idea what I'd do if you were a rival.\- I won't be! Oh, hey, you're going to be late for cram school.\Yeah.\Right,\it's not that I like him. response:	Just...
context: Really? That's good!\I was scared.\I had no idea what I'd do if you were a rival.\- I won't be! Oh, hey, you're going to be late for cram school.\Yeah.\Right,\it's not that I like him.\Just... response:	His bony hands...
context: I was scared.\I had no idea what I'd do if you were a rival.\- I won't be! Oh, hey, you're going to be late for cram school.\Yeah.\Right,\it's not that I like him.\Just...\His bony hands... response:	and his fairly clear handwriting...
context: I had no idea what I'd do if you were a rival.\- I won't be! Oh, hey, you're going to be late for cram school.\Yeah.\Right,\it's not that I like him.\Just...\His bony hands...\and his fairly clear handwriting... response:	and being able to barely see his eyes behind his bangs...
context: - I won't be! Oh, hey, you're going to be late for cram school.\Yeah.\Right,\it's not that I like him.\Just...\His bony hands...\and his fairly clear handwriting...\and being able to barely see his eyes behind his bangs... response:	these are all more interesting to me than they were before.
context: Yeah.\Right,\it's not that I like him.\Just...\His bony hands...\and his fairly clear handwriting...\and being able to barely see his eyes behind his bangs...\these are all more interesting to me than they were before. response:	That's the same habit you had before!
context: Right,\it's not that I like him.\Just...\His bony hands...\and his fairly clear handwriting...\and being able to barely see his eyes behind his bangs...\these are all more interesting to me than they were before.\That's the same habit you had before! response:	Do you...
context: it's not that I like him.\Just...\His bony hands...\and his fairly clear handwriting...\and being able to barely see his eyes behind his bangs...\these are all more interesting to me than they were before.\That's the same habit you had before!\Do you... response:	like me?
context: Just...\His bony hands...\and his fairly clear handwriting...\and being able to barely see his eyes behind his bangs...\these are all more interesting to me than they were before.\That's the same habit you had before!\Do you...\like me? response:	What are you-
context: His bony hands...\and his fairly clear handwriting...\and being able to barely see his eyes behind his bangs...\these are all more interesting to me than they were before.\That's the same habit you had before!\Do you...\like me?\What are you- response:	That's not what I mean! You're so different from before
context: and his fairly clear handwriting...\and being able to barely see his eyes behind his bangs...\these are all more interesting to me than they were before.\That's the same habit you had before!\Do you...\like me?\What are you-\That's not what I mean! You're so different from before response:	so I wonder why you've changed so much.
context: and being able to barely see his eyes behind his bangs...\these are all more interesting to me than they were before.\That's the same habit you had before!\Do you...\like me?\What are you-\That's not what I mean! You're so different from before\so I wonder why you've changed so much. response:	Sorry.
context: these are all more interesting to me than they were before.\That's the same habit you had before!\Do you...\like me?\What are you-\That's not what I mean! You're so different from before\so I wonder why you've changed so much.\Sorry. response:	Don't try and find the old me.
context: That's the same habit you had before!\Do you...\like me?\What are you-\That's not what I mean! You're so different from before\so I wonder why you've changed so much.\Sorry.\Don't try and find the old me. response:	That would be seriously annoying.
context: Do you...\like me?\What are you-\That's not what I mean! You're so different from before\so I wonder why you've changed so much.\Sorry.\Don't try and find the old me.\That would be seriously annoying. response:	You'll be a loser forever if you clutch your memories like that.
context: like me?\What are you-\That's not what I mean! You're so different from before\so I wonder why you've changed so much.\Sorry.\Don't try and find the old me.\That would be seriously annoying.\You'll be a loser forever if you clutch your memories like that. response:	I definitely do not like him!
context: What are you-\That's not what I mean! You're so different from before\so I wonder why you've changed so much.\Sorry.\Don't try and find the old me.\That would be seriously annoying.\You'll be a loser forever if you clutch your memories like that.\I definitely do not like him! response:	- Where's Mabuchi? - I made him go home.
context: That's not what I mean! You're so different from before\so I wonder why you've changed so much.\Sorry.\Don't try and find the old me.\That would be seriously annoying.\You'll be a loser forever if you clutch your memories like that.\I definitely do not like him!\- Where's Mabuchi? - I made him go home. response:	Why are you here?
context: so I wonder why you've changed so much.\Sorry.\Don't try and find the old me.\That would be seriously annoying.\You'll be a loser forever if you clutch your memories like that.\I definitely do not like him!\- Where's Mabuchi? - I made him go home.\Why are you here? response:	You said...
context: Sorry.\Don't try and find the old me.\That would be seriously annoying.\You'll be a loser forever if you clutch your memories like that.\I definitely do not like him!\- Where's Mabuchi? - I made him go home.\Why are you here?\You said... response:	you're going to hand that in, and to go on ahead.
context: Don't try and find the old me.\That would be seriously annoying.\You'll be a loser forever if you clutch your memories like that.\I definitely do not like him!\- Where's Mabuchi? - I made him go home.\Why are you here?\You said...\you're going to hand that in, and to go on ahead. response:	I meant for you to go on home, though.
context: That would be seriously annoying.\You'll be a loser forever if you clutch your memories like that.\I definitely do not like him!\- Where's Mabuchi? - I made him go home.\Why are you here?\You said...\you're going to hand that in, and to go on ahead.\I meant for you to go on home, though. response:	Are you thinking that I thought I said too much and would wait for you-
context: You'll be a loser forever if you clutch your memories like that.\I definitely do not like him!\- Where's Mabuchi? - I made him go home.\Why are you here?\You said...\you're going to hand that in, and to go on ahead.\I meant for you to go on home, though.\Are you thinking that I thought I said too much and would wait for you- response:	I'm not.
context: I definitely do not like him!\- Where's Mabuchi? - I made him go home.\Why are you here?\You said...\you're going to hand that in, and to go on ahead.\I meant for you to go on home, though.\Are you thinking that I thought I said too much and would wait for you-\I'm not. response:	Well... whatever.
context: - Where's Mabuchi? - I made him go home.\Why are you here?\You said...\you're going to hand that in, and to go on ahead.\I meant for you to go on home, though.\Are you thinking that I thought I said too much and would wait for you-\I'm not.\Well... whatever. response:	We're going.
context: Why are you here?\You said...\you're going to hand that in, and to go on ahead.\I meant for you to go on home, though.\Are you thinking that I thought I said too much and would wait for you-\I'm not.\Well... whatever.\We're going. response:	I'm sorry, Yuuri.
context: You said...\you're going to hand that in, and to go on ahead.\I meant for you to go on home, though.\Are you thinking that I thought I said too much and would wait for you-\I'm not.\Well... whatever.\We're going.\I'm sorry, Yuuri. response:	I, too...
context: you're going to hand that in, and to go on ahead.\I meant for you to go on home, though.\Are you thinking that I thought I said too much and would wait for you-\I'm not.\Well... whatever.\We're going.\I'm sorry, Yuuri.\I, too... response:	like Kou.
context: I meant for you to go on home, though.\Are you thinking that I thought I said too much and would wait for you-\I'm not.\Well... whatever.\We're going.\I'm sorry, Yuuri.\I, too...\like Kou. response:	At first, seeing him again...
context: Are you thinking that I thought I said too much and would wait for you-\I'm not.\Well... whatever.\We're going.\I'm sorry, Yuuri.\I, too...\like Kou.\At first, seeing him again... response:	I thought that I didn't like the new Kou.
context: I'm not.\Well... whatever.\We're going.\I'm sorry, Yuuri.\I, too...\like Kou.\At first, seeing him again...\I thought that I didn't like the new Kou. response:	But I realized that I was lying to myself.
context: Well... whatever.\We're going.\I'm sorry, Yuuri.\I, too...\like Kou.\At first, seeing him again...\I thought that I didn't like the new Kou.\But I realized that I was lying to myself. response:	Thanks to you, Yuuri.
context: We're going.\I'm sorry, Yuuri.\I, too...\like Kou.\At first, seeing him again...\I thought that I didn't like the new Kou.\But I realized that I was lying to myself.\Thanks to you, Yuuri. response:	I knew it! You too, Futaba-chan.
context: I'm sorry, Yuuri.\I, too...\like Kou.\At first, seeing him again...\I thought that I didn't like the new Kou.\But I realized that I was lying to myself.\Thanks to you, Yuuri.\I knew it! You too, Futaba-chan. response:	I thought so.
context: I, too...\like Kou.\At first, seeing him again...\I thought that I didn't like the new Kou.\But I realized that I was lying to myself.\Thanks to you, Yuuri.\I knew it! You too, Futaba-chan.\I thought so. response:	Then... no matter who things go well for,
context: like Kou.\At first, seeing him again...\I thought that I didn't like the new Kou.\But I realized that I was lying to myself.\Thanks to you, Yuuri.\I knew it! You too, Futaba-chan.\I thought so.\Then... no matter who things go well for, response:	let's not hold it against each other, okay?
context: At first, seeing him again...\I thought that I didn't like the new Kou.\But I realized that I was lying to myself.\Thanks to you, Yuuri.\I knew it! You too, Futaba-chan.\I thought so.\Then... no matter who things go well for,\let's not hold it against each other, okay? response:	But I don't think it'll work out for me if it's you.
context: I thought that I didn't like the new Kou.\But I realized that I was lying to myself.\Thanks to you, Yuuri.\I knew it! You too, Futaba-chan.\I thought so.\Then... no matter who things go well for,\let's not hold it against each other, okay?\But I don't think it'll work out for me if it's you. response:	Yuuri...
context: But I realized that I was lying to myself.\Thanks to you, Yuuri.\I knew it! You too, Futaba-chan.\I thought so.\Then... no matter who things go well for,\let's not hold it against each other, okay?\But I don't think it'll work out for me if it's you.\Yuuri... response:	Oh, I'm going to the bathroom.
context: Thanks to you, Yuuri.\I knew it! You too, Futaba-chan.\I thought so.\Then... no matter who things go well for,\let's not hold it against each other, okay?\But I don't think it'll work out for me if it's you.\Yuuri...\Oh, I'm going to the bathroom. response:	I was... actually scared to say it.
context: I knew it! You too, Futaba-chan.\I thought so.\Then... no matter who things go well for,\let's not hold it against each other, okay?\But I don't think it'll work out for me if it's you.\Yuuri...\Oh, I'm going to the bathroom.\I was... actually scared to say it. response:	I thought that if I said it...
context: I thought so.\Then... no matter who things go well for,\let's not hold it against each other, okay?\But I don't think it'll work out for me if it's you.\Yuuri...\Oh, I'm going to the bathroom.\I was... actually scared to say it.\I thought that if I said it... response:	I'd lose a precious friend I'd finally made.
context: Then... no matter who things go well for,\let's not hold it against each other, okay?\But I don't think it'll work out for me if it's you.\Yuuri...\Oh, I'm going to the bathroom.\I was... actually scared to say it.\I thought that if I said it...\I'd lose a precious friend I'd finally made. response:	But I also thought that I have to say it
context: let's not hold it against each other, okay?\But I don't think it'll work out for me if it's you.\Yuuri...\Oh, I'm going to the bathroom.\I was... actually scared to say it.\I thought that if I said it...\I'd lose a precious friend I'd finally made.\But I also thought that I have to say it response:	precisely because she's a precious friend.
context: But I don't think it'll work out for me if it's you.\Yuuri...\Oh, I'm going to the bathroom.\I was... actually scared to say it.\I thought that if I said it...\I'd lose a precious friend I'd finally made.\But I also thought that I have to say it\precisely because she's a precious friend. response:	I'm back.
context: Yuuri...\Oh, I'm going to the bathroom.\I was... actually scared to say it.\I thought that if I said it...\I'd lose a precious friend I'd finally made.\But I also thought that I have to say it\precisely because she's a precious friend.\I'm back. response:	I'm feeling hungry... maybe we should eat something.
context: Oh, I'm going to the bathroom.\I was... actually scared to say it.\I thought that if I said it...\I'd lose a precious friend I'd finally made.\But I also thought that I have to say it\precisely because she's a precious friend.\I'm back.\I'm feeling hungry... maybe we should eat something. response:	I like Tanaka-sensei.
context: I was... actually scared to say it.\I thought that if I said it...\I'd lose a precious friend I'd finally made.\But I also thought that I have to say it\precisely because she's a precious friend.\I'm back.\I'm feeling hungry... maybe we should eat something.\I like Tanaka-sensei. response:	Why are you... so suddenly...?
context: I thought that if I said it...\I'd lose a precious friend I'd finally made.\But I also thought that I have to say it\precisely because she's a precious friend.\I'm back.\I'm feeling hungry... maybe we should eat something.\I like Tanaka-sensei.\Why are you... so suddenly...? response:	It's just...
context: I'd lose a precious friend I'd finally made.\But I also thought that I have to say it\precisely because she's a precious friend.\I'm back.\I'm feeling hungry... maybe we should eat something.\I like Tanaka-sensei.\Why are you... so suddenly...?\It's just... response:	I thought that I could say it if it were to you two.
context: But I also thought that I have to say it\precisely because she's a precious friend.\I'm back.\I'm feeling hungry... maybe we should eat something.\I like Tanaka-sensei.\Why are you... so suddenly...?\It's just...\I thought that I could say it if it were to you two. response:	Well, Mabuchi is the one who has to decide, though.
context: precisely because she's a precious friend.\I'm back.\I'm feeling hungry... maybe we should eat something.\I like Tanaka-sensei.\Why are you... so suddenly...?\It's just...\I thought that I could say it if it were to you two.\Well, Mabuchi is the one who has to decide, though. response:	He might even turn you both down.
context: I'm back.\I'm feeling hungry... maybe we should eat something.\I like Tanaka-sensei.\Why are you... so suddenly...?\It's just...\I thought that I could say it if it were to you two.\Well, Mabuchi is the one who has to decide, though.\He might even turn you both down. response:	And if it goes well for one of you...
context: I'm feeling hungry... maybe we should eat something.\I like Tanaka-sensei.\Why are you... so suddenly...?\It's just...\I thought that I could say it if it were to you two.\Well, Mabuchi is the one who has to decide, though.\He might even turn you both down.\And if it goes well for one of you... response:	I'll always be neutral to both of you.
context: I like Tanaka-sensei.\Why are you... so suddenly...?\It's just...\I thought that I could say it if it were to you two.\Well, Mabuchi is the one who has to decide, though.\He might even turn you both down.\And if it goes well for one of you...\I'll always be neutral to both of you. response:	Both of you, do your best.
context: Why are you... so suddenly...?\It's just...\I thought that I could say it if it were to you two.\Well, Mabuchi is the one who has to decide, though.\He might even turn you both down.\And if it goes well for one of you...\I'll always be neutral to both of you.\Both of you, do your best. response:	So you see... the problem is Tanaka-sensei, after all.
context: It's just...\I thought that I could say it if it were to you two.\Well, Mabuchi is the one who has to decide, though.\He might even turn you both down.\And if it goes well for one of you...\I'll always be neutral to both of you.\Both of you, do your best.\So you see... the problem is Tanaka-sensei, after all. response:	I don't understand the feelings of women who fall for older guys!
context: I thought that I could say it if it were to you two.\Well, Mabuchi is the one who has to decide, though.\He might even turn you both down.\And if it goes well for one of you...\I'll always be neutral to both of you.\Both of you, do your best.\So you see... the problem is Tanaka-sensei, after all.\I don't understand the feelings of women who fall for older guys! response:	I'm the one who has tighter skin! Right?
context: Well, Mabuchi is the one who has to decide, though.\He might even turn you both down.\And if it goes well for one of you...\I'll always be neutral to both of you.\Both of you, do your best.\So you see... the problem is Tanaka-sensei, after all.\I don't understand the feelings of women who fall for older guys!\I'm the one who has tighter skin! Right? response:	Hey, are you listening?! Hey!
context: He might even turn you both down.\And if it goes well for one of you...\I'll always be neutral to both of you.\Both of you, do your best.\So you see... the problem is Tanaka-sensei, after all.\I don't understand the feelings of women who fall for older guys!\I'm the one who has tighter skin! Right?\Hey, are you listening?! Hey! response:	Hey, Kominato.
context: And if it goes well for one of you...\I'll always be neutral to both of you.\Both of you, do your best.\So you see... the problem is Tanaka-sensei, after all.\I don't understand the feelings of women who fall for older guys!\I'm the one who has tighter skin! Right?\Hey, are you listening?! Hey!\Hey, Kominato. response:	You're as loud as ever.
context: I'll always be neutral to both of you.\Both of you, do your best.\So you see... the problem is Tanaka-sensei, after all.\I don't understand the feelings of women who fall for older guys!\I'm the one who has tighter skin! Right?\Hey, are you listening?! Hey!\Hey, Kominato.\You're as loud as ever. response:	Stop messing around and study a little.
context: Both of you, do your best.\So you see... the problem is Tanaka-sensei, after all.\I don't understand the feelings of women who fall for older guys!\I'm the one who has tighter skin! Right?\Hey, are you listening?! Hey!\Hey, Kominato.\You're as loud as ever.\Stop messing around and study a little. response:	You'll bring down the number of graduates.
context: So you see... the problem is Tanaka-sensei, after all.\I don't understand the feelings of women who fall for older guys!\I'm the one who has tighter skin! Right?\Hey, are you listening?! Hey!\Hey, Kominato.\You're as loud as ever.\Stop messing around and study a little.\You'll bring down the number of graduates. response:	The guy next to him... he was at Nagasaki Seiran High.
context: I don't understand the feelings of women who fall for older guys!\I'm the one who has tighter skin! Right?\Hey, are you listening?! Hey!\Hey, Kominato.\You're as loud as ever.\Stop messing around and study a little.\You'll bring down the number of graduates.\The guy next to him... he was at Nagasaki Seiran High. response:	Really? Coming here from that Seiran isn't special at all.
context: I'm the one who has tighter skin! Right?\Hey, are you listening?! Hey!\Hey, Kominato.\You're as loud as ever.\Stop messing around and study a little.\You'll bring down the number of graduates.\The guy next to him... he was at Nagasaki Seiran High.\Really? Coming here from that Seiran isn't special at all. response:	Did something happen?
context: Hey, are you listening?! Hey!\Hey, Kominato.\You're as loud as ever.\Stop messing around and study a little.\You'll bring down the number of graduates.\The guy next to him... he was at Nagasaki Seiran High.\Really? Coming here from that Seiran isn't special at all.\Did something happen? response:	- Like he couldn't keep up? - Seiran isn't a big deal, either.
context: Hey, Kominato.\You're as loud as ever.\Stop messing around and study a little.\You'll bring down the number of graduates.\The guy next to him... he was at Nagasaki Seiran High.\Really? Coming here from that Seiran isn't special at all.\Did something happen?\- Like he couldn't keep up? - Seiran isn't a big deal, either. response:	Hey.
context: You're as loud as ever.\Stop messing around and study a little.\You'll bring down the number of graduates.\The guy next to him... he was at Nagasaki Seiran High.\Really? Coming here from that Seiran isn't special at all.\Did something happen?\- Like he couldn't keep up? - Seiran isn't a big deal, either.\Hey. response:	You guys need to get a grip.
context: Stop messing around and study a little.\You'll bring down the number of graduates.\The guy next to him... he was at Nagasaki Seiran High.\Really? Coming here from that Seiran isn't special at all.\Did something happen?\- Like he couldn't keep up? - Seiran isn't a big deal, either.\Hey.\You guys need to get a grip. response:	He had nothing to do with it.
context: You'll bring down the number of graduates.\The guy next to him... he was at Nagasaki Seiran High.\Really? Coming here from that Seiran isn't special at all.\Did something happen?\- Like he couldn't keep up? - Seiran isn't a big deal, either.\Hey.\You guys need to get a grip.\He had nothing to do with it. response:	And why are you the one getting mad?
context: The guy next to him... he was at Nagasaki Seiran High.\Really? Coming here from that Seiran isn't special at all.\Did something happen?\- Like he couldn't keep up? - Seiran isn't a big deal, either.\Hey.\You guys need to get a grip.\He had nothing to do with it.\And why are you the one getting mad? response:	What are you talking about?
context: Really? Coming here from that Seiran isn't special at all.\Did something happen?\- Like he couldn't keep up? - Seiran isn't a big deal, either.\Hey.\You guys need to get a grip.\He had nothing to do with it.\And why are you the one getting mad?\What are you talking about? response:	If your friend were getting spoken to like this, you'd be pissed too.
context: Did something happen?\- Like he couldn't keep up? - Seiran isn't a big deal, either.\Hey.\You guys need to get a grip.\He had nothing to do with it.\And why are you the one getting mad?\What are you talking about?\If your friend were getting spoken to like this, you'd be pissed too. response:	Get out of here.
context: - Like he couldn't keep up? - Seiran isn't a big deal, either.\Hey.\You guys need to get a grip.\He had nothing to do with it.\And why are you the one getting mad?\What are you talking about?\If your friend were getting spoken to like this, you'd be pissed too.\Get out of here. response:	Hey, let's go.
context: Hey.\You guys need to get a grip.\He had nothing to do with it.\And why are you the one getting mad?\What are you talking about?\If your friend were getting spoken to like this, you'd be pissed too.\Get out of here.\Hey, let's go. response:	What's with him?
context: You guys need to get a grip.\He had nothing to do with it.\And why are you the one getting mad?\What are you talking about?\If your friend were getting spoken to like this, you'd be pissed too.\Get out of here.\Hey, let's go.\What's with him? response:	Kou!
context: He had nothing to do with it.\And why are you the one getting mad?\What are you talking about?\If your friend were getting spoken to like this, you'd be pissed too.\Get out of here.\Hey, let's go.\What's with him?\Kou! response:	What is it?
