context: What? response:	Mesto Meadrich lost his Crest and his territories, you say?
context: Nothing. I'll leave everything to you.\I'll do whatever you say.\Thank you very much.\At last, the first step toward my ambition!\The enemy seized Meadrich's castle with scant numbers.\I'm sure they've got some skilled ones on their side.\If we're talking sword skills, I'm no slouch either!\Behold the might of these fifty expert troops I've trained. response:	Plus five mercenaries in the fold!
context: I'll do whatever you say.\Thank you very much.\At last, the first step toward my ambition!\The enemy seized Meadrich's castle with scant numbers.\I'm sure they've got some skilled ones on their side.\If we're talking sword skills, I'm no slouch either!\Behold the might of these fifty expert troops I've trained.\Plus five mercenaries in the fold! response:	These forces are more than you can afford.
context: Thank you very much.\At last, the first step toward my ambition!\The enemy seized Meadrich's castle with scant numbers.\I'm sure they've got some skilled ones on their side.\If we're talking sword skills, I'm no slouch either!\Behold the might of these fifty expert troops I've trained.\Plus five mercenaries in the fold!\These forces are more than you can afford. response:	Then again, you did give up most of the fortune your predecessor built up.
context: At last, the first step toward my ambition!\The enemy seized Meadrich's castle with scant numbers.\I'm sure they've got some skilled ones on their side.\If we're talking sword skills, I'm no slouch either!\Behold the might of these fifty expert troops I've trained.\Plus five mercenaries in the fold!\These forces are more than you can afford.\Then again, you did give up most of the fortune your predecessor built up. response:	I just have to take Meadrich's land to make the money back.
context: The enemy seized Meadrich's castle with scant numbers.\I'm sure they've got some skilled ones on their side.\If we're talking sword skills, I'm no slouch either!\Behold the might of these fifty expert troops I've trained.\Plus five mercenaries in the fold!\These forces are more than you can afford.\Then again, you did give up most of the fortune your predecessor built up.\I just have to take Meadrich's land to make the money back. response:	So I'm going all-in!
context: I'm sure they've got some skilled ones on their side.\If we're talking sword skills, I'm no slouch either!\Behold the might of these fifty expert troops I've trained.\Plus five mercenaries in the fold!\These forces are more than you can afford.\Then again, you did give up most of the fortune your predecessor built up.\I just have to take Meadrich's land to make the money back.\So I'm going all-in! response:	But if you lose, it all goes down the drain.
context: If we're talking sword skills, I'm no slouch either!\Behold the might of these fifty expert troops I've trained.\Plus five mercenaries in the fold!\These forces are more than you can afford.\Then again, you did give up most of the fortune your predecessor built up.\I just have to take Meadrich's land to make the money back.\So I'm going all-in!\But if you lose, it all goes down the drain. response:	I just have to win. Am I wrong?
context: Behold the might of these fifty expert troops I've trained.\Plus five mercenaries in the fold!\These forces are more than you can afford.\Then again, you did give up most of the fortune your predecessor built up.\I just have to take Meadrich's land to make the money back.\So I'm going all-in!\But if you lose, it all goes down the drain.\I just have to win. Am I wrong? response:	You're not wrong.
context: Plus five mercenaries in the fold!\These forces are more than you can afford.\Then again, you did give up most of the fortune your predecessor built up.\I just have to take Meadrich's land to make the money back.\So I'm going all-in!\But if you lose, it all goes down the drain.\I just have to win. Am I wrong?\You're not wrong. response:	The issue is our opponents also have a mage. So you're gonna have to pitch in, too.
context: These forces are more than you can afford.\Then again, you did give up most of the fortune your predecessor built up.\I just have to take Meadrich's land to make the money back.\So I'm going all-in!\But if you lose, it all goes down the drain.\I just have to win. Am I wrong?\You're not wrong.\The issue is our opponents also have a mage. So you're gonna have to pitch in, too. response:	Siluca Meletes, right? I happen to know that one.
context: Then again, you did give up most of the fortune your predecessor built up.\I just have to take Meadrich's land to make the money back.\So I'm going all-in!\But if you lose, it all goes down the drain.\I just have to win. Am I wrong?\You're not wrong.\The issue is our opponents also have a mage. So you're gonna have to pitch in, too.\Siluca Meletes, right? I happen to know that one. response:	I mean, sure, she's gifted, but nowhere near my level!
context: I just have to take Meadrich's land to make the money back.\So I'm going all-in!\But if you lose, it all goes down the drain.\I just have to win. Am I wrong?\You're not wrong.\The issue is our opponents also have a mage. So you're gonna have to pitch in, too.\Siluca Meletes, right? I happen to know that one.\I mean, sure, she's gifted, but nowhere near my level! response:	I knew I saw something special in a mage like you!
context: So I'm going all-in!\But if you lose, it all goes down the drain.\I just have to win. Am I wrong?\You're not wrong.\The issue is our opponents also have a mage. So you're gonna have to pitch in, too.\Siluca Meletes, right? I happen to know that one.\I mean, sure, she's gifted, but nowhere near my level!\I knew I saw something special in a mage like you! response:	Moreno, I'm asking you to lend me your power.
context: But if you lose, it all goes down the drain.\I just have to win. Am I wrong?\You're not wrong.\The issue is our opponents also have a mage. So you're gonna have to pitch in, too.\Siluca Meletes, right? I happen to know that one.\I mean, sure, she's gifted, but nowhere near my level!\I knew I saw something special in a mage like you!\Moreno, I'm asking you to lend me your power. response:	I understand. Leave it to me.
context: I just have to win. Am I wrong?\You're not wrong.\The issue is our opponents also have a mage. So you're gonna have to pitch in, too.\Siluca Meletes, right? I happen to know that one.\I mean, sure, she's gifted, but nowhere near my level!\I knew I saw something special in a mage like you!\Moreno, I'm asking you to lend me your power.\I understand. Leave it to me. response:	Mobilize!
context: You're not wrong.\The issue is our opponents also have a mage. So you're gonna have to pitch in, too.\Siluca Meletes, right? I happen to know that one.\I mean, sure, she's gifted, but nowhere near my level!\I knew I saw something special in a mage like you!\Moreno, I'm asking you to lend me your power.\I understand. Leave it to me.\Mobilize! response:	Ah, here they come now.
context: The issue is our opponents also have a mage. So you're gonna have to pitch in, too.\Siluca Meletes, right? I happen to know that one.\I mean, sure, she's gifted, but nowhere near my level!\I knew I saw something special in a mage like you!\Moreno, I'm asking you to lend me your power.\I understand. Leave it to me.\Mobilize!\Ah, here they come now. response:	What should I do?
context: Siluca Meletes, right? I happen to know that one.\I mean, sure, she's gifted, but nowhere near my level!\I knew I saw something special in a mage like you!\Moreno, I'm asking you to lend me your power.\I understand. Leave it to me.\Mobilize!\Ah, here they come now.\What should I do? response:	Please stand here.
context: I mean, sure, she's gifted, but nowhere near my level!\I knew I saw something special in a mage like you!\Moreno, I'm asking you to lend me your power.\I understand. Leave it to me.\Mobilize!\Ah, here they come now.\What should I do?\Please stand here. response:	Huh?
context: I knew I saw something special in a mage like you!\Moreno, I'm asking you to lend me your power.\I understand. Leave it to me.\Mobilize!\Ah, here they come now.\What should I do?\Please stand here.\Huh? response:	Are you saying I don't have to fight?
context: Moreno, I'm asking you to lend me your power.\I understand. Leave it to me.\Mobilize!\Ah, here they come now.\What should I do?\Please stand here.\Huh?\Are you saying I don't have to fight? response:	Yes. Now I know the battle's a surefire win!
context: I understand. Leave it to me.\Mobilize!\Ah, here they come now.\What should I do?\Please stand here.\Huh?\Are you saying I don't have to fight?\Yes. Now I know the battle's a surefire win! response:	So you actually have a friend?
context: Mobilize!\Ah, here they come now.\What should I do?\Please stand here.\Huh?\Are you saying I don't have to fight?\Yes. Now I know the battle's a surefire win!\So you actually have a friend? response:	She was my senior when we were apprentices.
context: Ah, here they come now.\What should I do?\Please stand here.\Huh?\Are you saying I don't have to fight?\Yes. Now I know the battle's a surefire win!\So you actually have a friend?\She was my senior when we were apprentices. response:	Though, in the end, she never did become a mage.
context: What should I do?\Please stand here.\Huh?\Are you saying I don't have to fight?\Yes. Now I know the battle's a surefire win!\So you actually have a friend?\She was my senior when we were apprentices.\Though, in the end, she never did become a mage. response:	Siluca!
context: Please stand here.\Huh?\Are you saying I don't have to fight?\Yes. Now I know the battle's a surefire win!\So you actually have a friend?\She was my senior when we were apprentices.\Though, in the end, she never did become a mage.\Siluca! response:	Sir Balgary!
context: Huh?\Are you saying I don't have to fight?\Yes. Now I know the battle's a surefire win!\So you actually have a friend?\She was my senior when we were apprentices.\Though, in the end, she never did become a mage.\Siluca!\Sir Balgary! response:	Siluca!
context: Are you saying I don't have to fight?\Yes. Now I know the battle's a surefire win!\So you actually have a friend?\She was my senior when we were apprentices.\Though, in the end, she never did become a mage.\Siluca!\Sir Balgary!\Siluca! response:	Siluca!
context: Yes. Now I know the battle's a surefire win!\So you actually have a friend?\She was my senior when we were apprentices.\Though, in the end, she never did become a mage.\Siluca!\Sir Balgary!\Siluca!\Siluca! response:	L-Lord Theo, this is Aishela, an Artist.
context: So you actually have a friend?\She was my senior when we were apprentices.\Though, in the end, she never did become a mage.\Siluca!\Sir Balgary!\Siluca!\Siluca!\L-Lord Theo, this is Aishela, an Artist. response:	Lord Theo?
context: She was my senior when we were apprentices.\Though, in the end, she never did become a mage.\Siluca!\Sir Balgary!\Siluca!\Siluca!\L-Lord Theo, this is Aishela, an Artist.\Lord Theo? response:	Hey, who are you? What are you to Siluca?
context: Though, in the end, she never did become a mage.\Siluca!\Sir Balgary!\Siluca!\Siluca!\L-Lord Theo, this is Aishela, an Artist.\Lord Theo?\Hey, who are you? What are you to Siluca? response:	My name is Theo.
context: Siluca!\Sir Balgary!\Siluca!\Siluca!\L-Lord Theo, this is Aishela, an Artist.\Lord Theo?\Hey, who are you? What are you to Siluca?\My name is Theo. response:	I'm the unfortunate Lord she's under contract to.
context: Sir Balgary!\Siluca!\Siluca!\L-Lord Theo, this is Aishela, an Artist.\Lord Theo?\Hey, who are you? What are you to Siluca?\My name is Theo.\I'm the unfortunate Lord she's under contract to. response:	You signed on with a loser like this?
context: Siluca!\Siluca!\L-Lord Theo, this is Aishela, an Artist.\Lord Theo?\Hey, who are you? What are you to Siluca?\My name is Theo.\I'm the unfortunate Lord she's under contract to.\You signed on with a loser like this? response:	Lord Theo happens to have magnificent ideals.
context: Siluca!\L-Lord Theo, this is Aishela, an Artist.\Lord Theo?\Hey, who are you? What are you to Siluca?\My name is Theo.\I'm the unfortunate Lord she's under contract to.\You signed on with a loser like this?\Lord Theo happens to have magnificent ideals. response:	And what else?
context: L-Lord Theo, this is Aishela, an Artist.\Lord Theo?\Hey, who are you? What are you to Siluca?\My name is Theo.\I'm the unfortunate Lord she's under contract to.\You signed on with a loser like this?\Lord Theo happens to have magnificent ideals.\And what else? response:	S-Such magnificent ideals, and uh...
context: Lord Theo?\Hey, who are you? What are you to Siluca?\My name is Theo.\I'm the unfortunate Lord she's under contract to.\You signed on with a loser like this?\Lord Theo happens to have magnificent ideals.\And what else?\S-Such magnificent ideals, and uh... response:	Oh! My poor Siluca!
context: Hey, who are you? What are you to Siluca?\My name is Theo.\I'm the unfortunate Lord she's under contract to.\You signed on with a loser like this?\Lord Theo happens to have magnificent ideals.\And what else?\S-Such magnificent ideals, and uh...\Oh! My poor Siluca! response:	Stop! Please!
context: My name is Theo.\I'm the unfortunate Lord she's under contract to.\You signed on with a loser like this?\Lord Theo happens to have magnificent ideals.\And what else?\S-Such magnificent ideals, and uh...\Oh! My poor Siluca!\Stop! Please! response:	I'm won't ask why Siluca would serve someone like you.
context: I'm the unfortunate Lord she's under contract to.\You signed on with a loser like this?\Lord Theo happens to have magnificent ideals.\And what else?\S-Such magnificent ideals, and uh...\Oh! My poor Siluca!\Stop! Please!\I'm won't ask why Siluca would serve someone like you. response:	However...
context: You signed on with a loser like this?\Lord Theo happens to have magnificent ideals.\And what else?\S-Such magnificent ideals, and uh...\Oh! My poor Siluca!\Stop! Please!\I'm won't ask why Siluca would serve someone like you.\However... response:	If you do anything unsavory to her just because you're her master,
context: Lord Theo happens to have magnificent ideals.\And what else?\S-Such magnificent ideals, and uh...\Oh! My poor Siluca!\Stop! Please!\I'm won't ask why Siluca would serve someone like you.\However...\If you do anything unsavory to her just because you're her master, response:	you're a dead man!
context: And what else?\S-Such magnificent ideals, and uh...\Oh! My poor Siluca!\Stop! Please!\I'm won't ask why Siluca would serve someone like you.\However...\If you do anything unsavory to her just because you're her master,\you're a dead man! response:	How are you feeling now, sir?
context: S-Such magnificent ideals, and uh...\Oh! My poor Siluca!\Stop! Please!\I'm won't ask why Siluca would serve someone like you.\However...\If you do anything unsavory to her just because you're her master,\you're a dead man!\How are you feeling now, sir? response:	I'll live. I saw stars for a moment, that's all.
context: Oh! My poor Siluca!\Stop! Please!\I'm won't ask why Siluca would serve someone like you.\However...\If you do anything unsavory to her just because you're her master,\you're a dead man!\How are you feeling now, sir?\I'll live. I saw stars for a moment, that's all. response:	Who's that?
context: Stop! Please!\I'm won't ask why Siluca would serve someone like you.\However...\If you do anything unsavory to her just because you're her master,\you're a dead man!\How are you feeling now, sir?\I'll live. I saw stars for a moment, that's all.\Who's that? response:	This is Sir Balgary.
context: I'm won't ask why Siluca would serve someone like you.\However...\If you do anything unsavory to her just because you're her master,\you're a dead man!\How are you feeling now, sir?\I'll live. I saw stars for a moment, that's all.\Who's that?\This is Sir Balgary. response:	He'll become king of the Cait Siths one day.
context: However...\If you do anything unsavory to her just because you're her master,\you're a dead man!\How are you feeling now, sir?\I'll live. I saw stars for a moment, that's all.\Who's that?\This is Sir Balgary.\He'll become king of the Cait Siths one day. response:	See to it that you make no blunders.
context: If you do anything unsavory to her just because you're her master,\you're a dead man!\How are you feeling now, sir?\I'll live. I saw stars for a moment, that's all.\Who's that?\This is Sir Balgary.\He'll become king of the Cait Siths one day.\See to it that you make no blunders. response:	N-Nice to meet you.
context: you're a dead man!\How are you feeling now, sir?\I'll live. I saw stars for a moment, that's all.\Who's that?\This is Sir Balgary.\He'll become king of the Cait Siths one day.\See to it that you make no blunders.\N-Nice to meet you. response:	Lucerne Hammer.
context: How are you feeling now, sir?\I'll live. I saw stars for a moment, that's all.\Who's that?\This is Sir Balgary.\He'll become king of the Cait Siths one day.\See to it that you make no blunders.\N-Nice to meet you.\Lucerne Hammer. response:	You're my choice today.
context: I'll live. I saw stars for a moment, that's all.\Who's that?\This is Sir Balgary.\He'll become king of the Cait Siths one day.\See to it that you make no blunders.\N-Nice to meet you.\Lucerne Hammer.\You're my choice today. response:	Now, then...
context: Who's that?\This is Sir Balgary.\He'll become king of the Cait Siths one day.\See to it that you make no blunders.\N-Nice to meet you.\Lucerne Hammer.\You're my choice today.\Now, then... response:	Shall we dance?
context: This is Sir Balgary.\He'll become king of the Cait Siths one day.\See to it that you make no blunders.\N-Nice to meet you.\Lucerne Hammer.\You're my choice today.\Now, then...\Shall we dance? response:	By the way...
context: He'll become king of the Cait Siths one day.\See to it that you make no blunders.\N-Nice to meet you.\Lucerne Hammer.\You're my choice today.\Now, then...\Shall we dance?\By the way... response:	What's up with the outfit?
context: See to it that you make no blunders.\N-Nice to meet you.\Lucerne Hammer.\You're my choice today.\Now, then...\Shall we dance?\By the way...\What's up with the outfit? response:	I don't have anything else that's easy to move in!
context: N-Nice to meet you.\Lucerne Hammer.\You're my choice today.\Now, then...\Shall we dance?\By the way...\What's up with the outfit?\I don't have anything else that's easy to move in! response:	It's all right, it's all right!
context: Lucerne Hammer.\You're my choice today.\Now, then...\Shall we dance?\By the way...\What's up with the outfit?\I don't have anything else that's easy to move in!\It's all right, it's all right! response:	You're adorable no matter what you wear!
context: You're my choice today.\Now, then...\Shall we dance?\By the way...\What's up with the outfit?\I don't have anything else that's easy to move in!\It's all right, it's all right!\You're adorable no matter what you wear! response:	I do not see the enemy mage.
context: Now, then...\Shall we dance?\By the way...\What's up with the outfit?\I don't have anything else that's easy to move in!\It's all right, it's all right!\You're adorable no matter what you wear!\I do not see the enemy mage. response:	He's using an Invisibility Spell.
context: Shall we dance?\By the way...\What's up with the outfit?\I don't have anything else that's easy to move in!\It's all right, it's all right!\You're adorable no matter what you wear!\I do not see the enemy mage.\He's using an Invisibility Spell. response:	I'm sure he's planning to swoop in and attack after evaluating the situation.
context: By the way...\What's up with the outfit?\I don't have anything else that's easy to move in!\It's all right, it's all right!\You're adorable no matter what you wear!\I do not see the enemy mage.\He's using an Invisibility Spell.\I'm sure he's planning to swoop in and attack after evaluating the situation. response:	Attack!
context: What's up with the outfit?\I don't have anything else that's easy to move in!\It's all right, it's all right!\You're adorable no matter what you wear!\I do not see the enemy mage.\He's using an Invisibility Spell.\I'm sure he's planning to swoop in and attack after evaluating the situation.\Attack! response:	Aishela, to the right. Irvin, take center.
context: I don't have anything else that's easy to move in!\It's all right, it's all right!\You're adorable no matter what you wear!\I do not see the enemy mage.\He's using an Invisibility Spell.\I'm sure he's planning to swoop in and attack after evaluating the situation.\Attack!\Aishela, to the right. Irvin, take center. response:	And I'll thwart them from the left.
context: It's all right, it's all right!\You're adorable no matter what you wear!\I do not see the enemy mage.\He's using an Invisibility Spell.\I'm sure he's planning to swoop in and attack after evaluating the situation.\Attack!\Aishela, to the right. Irvin, take center.\And I'll thwart them from the left. response:	I'm off!
context: You're adorable no matter what you wear!\I do not see the enemy mage.\He's using an Invisibility Spell.\I'm sure he's planning to swoop in and attack after evaluating the situation.\Attack!\Aishela, to the right. Irvin, take center.\And I'll thwart them from the left.\I'm off! response:	All right, see you later.
context: I do not see the enemy mage.\He's using an Invisibility Spell.\I'm sure he's planning to swoop in and attack after evaluating the situation.\Attack!\Aishela, to the right. Irvin, take center.\And I'll thwart them from the left.\I'm off!\All right, see you later. response:	You sure about this?
context: He's using an Invisibility Spell.\I'm sure he's planning to swoop in and attack after evaluating the situation.\Attack!\Aishela, to the right. Irvin, take center.\And I'll thwart them from the left.\I'm off!\All right, see you later.\You sure about this? response:	The earth is unmoving. Yet is not invariably so.
context: I'm sure he's planning to swoop in and attack after evaluating the situation.\Attack!\Aishela, to the right. Irvin, take center.\And I'll thwart them from the left.\I'm off!\All right, see you later.\You sure about this?\The earth is unmoving. Yet is not invariably so. response:	The sea becomes land, the land becomes mountain.
context: Attack!\Aishela, to the right. Irvin, take center.\And I'll thwart them from the left.\I'm off!\All right, see you later.\You sure about this?\The earth is unmoving. Yet is not invariably so.\The sea becomes land, the land becomes mountain. response:	Rise up!
context: Aishela, to the right. Irvin, take center.\And I'll thwart them from the left.\I'm off!\All right, see you later.\You sure about this?\The earth is unmoving. Yet is not invariably so.\The sea becomes land, the land becomes mountain.\Rise up! response:	Let's go around!
context: And I'll thwart them from the left.\I'm off!\All right, see you later.\You sure about this?\The earth is unmoving. Yet is not invariably so.\The sea becomes land, the land becomes mountain.\Rise up!\Let's go around! response:	Surge forth!
context: I'm off!\All right, see you later.\You sure about this?\The earth is unmoving. Yet is not invariably so.\The sea becomes land, the land becomes mountain.\Rise up!\Let's go around!\Surge forth! response:	Sorry about that.
context: All right, see you later.\You sure about this?\The earth is unmoving. Yet is not invariably so.\The sea becomes land, the land becomes mountain.\Rise up!\Let's go around!\Surge forth!\Sorry about that. response:	Oh? You evaded that?
context: You sure about this?\The earth is unmoving. Yet is not invariably so.\The sea becomes land, the land becomes mountain.\Rise up!\Let's go around!\Surge forth!\Sorry about that.\Oh? You evaded that? response:	I was trying to go a bit deeper.
context: The earth is unmoving. Yet is not invariably so.\The sea becomes land, the land becomes mountain.\Rise up!\Let's go around!\Surge forth!\Sorry about that.\Oh? You evaded that?\I was trying to go a bit deeper. response:	It's been a while, Moreno.
context: The sea becomes land, the land becomes mountain.\Rise up!\Let's go around!\Surge forth!\Sorry about that.\Oh? You evaded that?\I was trying to go a bit deeper.\It's been a while, Moreno. response:	You seem to be doing well, little Siluca.
context: Rise up!\Let's go around!\Surge forth!\Sorry about that.\Oh? You evaded that?\I was trying to go a bit deeper.\It's been a while, Moreno.\You seem to be doing well, little Siluca. response:	Was he targeting me from the start?
context: Let's go around!\Surge forth!\Sorry about that.\Oh? You evaded that?\I was trying to go a bit deeper.\It's been a while, Moreno.\You seem to be doing well, little Siluca.\Was he targeting me from the start? response:	Do you have time for this?
context: Surge forth!\Sorry about that.\Oh? You evaded that?\I was trying to go a bit deeper.\It's been a while, Moreno.\You seem to be doing well, little Siluca.\Was he targeting me from the start?\Do you have time for this? response:	While you dawdle here, your Lord could get himself defeated.
context: Sorry about that.\Oh? You evaded that?\I was trying to go a bit deeper.\It's been a while, Moreno.\You seem to be doing well, little Siluca.\Was he targeting me from the start?\Do you have time for this?\While you dawdle here, your Lord could get himself defeated. response:	I'm aware of the situation. You've got some formidable allies.
context: Oh? You evaded that?\I was trying to go a bit deeper.\It's been a while, Moreno.\You seem to be doing well, little Siluca.\Was he targeting me from the start?\Do you have time for this?\While you dawdle here, your Lord could get himself defeated.\I'm aware of the situation. You've got some formidable allies. response:	Fortunately, yes.
context: I was trying to go a bit deeper.\It's been a while, Moreno.\You seem to be doing well, little Siluca.\Was he targeting me from the start?\Do you have time for this?\While you dawdle here, your Lord could get himself defeated.\I'm aware of the situation. You've got some formidable allies.\Fortunately, yes. response:	But if I take you hostage, victory will be ours.
context: It's been a while, Moreno.\You seem to be doing well, little Siluca.\Was he targeting me from the start?\Do you have time for this?\While you dawdle here, your Lord could get himself defeated.\I'm aware of the situation. You've got some formidable allies.\Fortunately, yes.\But if I take you hostage, victory will be ours. response:	You see, I'm hard to beat in situations like these.
context: You seem to be doing well, little Siluca.\Was he targeting me from the start?\Do you have time for this?\While you dawdle here, your Lord could get himself defeated.\I'm aware of the situation. You've got some formidable allies.\Fortunately, yes.\But if I take you hostage, victory will be ours.\You see, I'm hard to beat in situations like these. response:	You might as well surrender, little Siluca.
context: Was he targeting me from the start?\Do you have time for this?\While you dawdle here, your Lord could get himself defeated.\I'm aware of the situation. You've got some formidable allies.\Fortunately, yes.\But if I take you hostage, victory will be ours.\You see, I'm hard to beat in situations like these.\You might as well surrender, little Siluca. response:	You really think I'd surrender?
context: Do you have time for this?\While you dawdle here, your Lord could get himself defeated.\I'm aware of the situation. You've got some formidable allies.\Fortunately, yes.\But if I take you hostage, victory will be ours.\You see, I'm hard to beat in situations like these.\You might as well surrender, little Siluca.\You really think I'd surrender? response:	You haven't changed at all, huh?
context: While you dawdle here, your Lord could get himself defeated.\I'm aware of the situation. You've got some formidable allies.\Fortunately, yes.\But if I take you hostage, victory will be ours.\You see, I'm hard to beat in situations like these.\You might as well surrender, little Siluca.\You really think I'd surrender?\You haven't changed at all, huh? response:	Parry!
context: I'm aware of the situation. You've got some formidable allies.\Fortunately, yes.\But if I take you hostage, victory will be ours.\You see, I'm hard to beat in situations like these.\You might as well surrender, little Siluca.\You really think I'd surrender?\You haven't changed at all, huh?\Parry! response:	Abjuration Magic, huh? But how long you can keep it up?
context: Fortunately, yes.\But if I take you hostage, victory will be ours.\You see, I'm hard to beat in situations like these.\You might as well surrender, little Siluca.\You really think I'd surrender?\You haven't changed at all, huh?\Parry!\Abjuration Magic, huh? But how long you can keep it up? response:	If you're already spent after just this, it proves you have no talent as a mage!
context: But if I take you hostage, victory will be ours.\You see, I'm hard to beat in situations like these.\You might as well surrender, little Siluca.\You really think I'd surrender?\You haven't changed at all, huh?\Parry!\Abjuration Magic, huh? But how long you can keep it up?\If you're already spent after just this, it proves you have no talent as a mage! response:	Allow me to guide you to the afterlife!
context: You see, I'm hard to beat in situations like these.\You might as well surrender, little Siluca.\You really think I'd surrender?\You haven't changed at all, huh?\Parry!\Abjuration Magic, huh? But how long you can keep it up?\If you're already spent after just this, it proves you have no talent as a mage!\Allow me to guide you to the afterlife! response:	Don't provoke her without thinking!
context: You might as well surrender, little Siluca.\You really think I'd surrender?\You haven't changed at all, huh?\Parry!\Abjuration Magic, huh? But how long you can keep it up?\If you're already spent after just this, it proves you have no talent as a mage!\Allow me to guide you to the afterlife!\Don't provoke her without thinking! response:	What? Not attacking?
context: You really think I'd surrender?\You haven't changed at all, huh?\Parry!\Abjuration Magic, huh? But how long you can keep it up?\If you're already spent after just this, it proves you have no talent as a mage!\Allow me to guide you to the afterlife!\Don't provoke her without thinking!\What? Not attacking? response:	Fall back!
context: You haven't changed at all, huh?\Parry!\Abjuration Magic, huh? But how long you can keep it up?\If you're already spent after just this, it proves you have no talent as a mage!\Allow me to guide you to the afterlife!\Don't provoke her without thinking!\What? Not attacking?\Fall back! response:	All I want is to make short work of them so I can go to Siluca's aid.
context: Parry!\Abjuration Magic, huh? But how long you can keep it up?\If you're already spent after just this, it proves you have no talent as a mage!\Allow me to guide you to the afterlife!\Don't provoke her without thinking!\What? Not attacking?\Fall back!\All I want is to make short work of them so I can go to Siluca's aid. response:	So annoying!
context: Abjuration Magic, huh? But how long you can keep it up?\If you're already spent after just this, it proves you have no talent as a mage!\Allow me to guide you to the afterlife!\Don't provoke her without thinking!\What? Not attacking?\Fall back!\All I want is to make short work of them so I can go to Siluca's aid.\So annoying! response:	So this is your doing, eh?
context: If you're already spent after just this, it proves you have no talent as a mage!\Allow me to guide you to the afterlife!\Don't provoke her without thinking!\What? Not attacking?\Fall back!\All I want is to make short work of them so I can go to Siluca's aid.\So annoying!\So this is your doing, eh? response:	You put up a good fight!
context: Allow me to guide you to the afterlife!\Don't provoke her without thinking!\What? Not attacking?\Fall back!\All I want is to make short work of them so I can go to Siluca's aid.\So annoying!\So this is your doing, eh?\You put up a good fight! response:	Pierce her by going through me!
context: Don't provoke her without thinking!\What? Not attacking?\Fall back!\All I want is to make short work of them so I can go to Siluca's aid.\So annoying!\So this is your doing, eh?\You put up a good fight!\Pierce her by going through me! response:	Whoa, whoa.
context: What? Not attacking?\Fall back!\All I want is to make short work of them so I can go to Siluca's aid.\So annoying!\So this is your doing, eh?\You put up a good fight!\Pierce her by going through me!\Whoa, whoa. response:	F-Fall back!
context: Fall back!\All I want is to make short work of them so I can go to Siluca's aid.\So annoying!\So this is your doing, eh?\You put up a good fight!\Pierce her by going through me!\Whoa, whoa.\F-Fall back! response:	Beyond annoying... But I think I like him!
context: All I want is to make short work of them so I can go to Siluca's aid.\So annoying!\So this is your doing, eh?\You put up a good fight!\Pierce her by going through me!\Whoa, whoa.\F-Fall back!\Beyond annoying... But I think I like him! response:	When this battle's over, let's be friends, okay?
context: So annoying!\So this is your doing, eh?\You put up a good fight!\Pierce her by going through me!\Whoa, whoa.\F-Fall back!\Beyond annoying... But I think I like him!\When this battle's over, let's be friends, okay? response:	You bastard! Are you a Shadow?
context: So this is your doing, eh?\You put up a good fight!\Pierce her by going through me!\Whoa, whoa.\F-Fall back!\Beyond annoying... But I think I like him!\When this battle's over, let's be friends, okay?\You bastard! Are you a Shadow? response:	I am a footman.
context: You put up a good fight!\Pierce her by going through me!\Whoa, whoa.\F-Fall back!\Beyond annoying... But I think I like him!\When this battle's over, let's be friends, okay?\You bastard! Are you a Shadow?\I am a footman. response:	So that's the toughest one to beat.
context: Pierce her by going through me!\Whoa, whoa.\F-Fall back!\Beyond annoying... But I think I like him!\When this battle's over, let's be friends, okay?\You bastard! Are you a Shadow?\I am a footman.\So that's the toughest one to beat. response:	Captain Gluck!
context: Whoa, whoa.\F-Fall back!\Beyond annoying... But I think I like him!\When this battle's over, let's be friends, okay?\You bastard! Are you a Shadow?\I am a footman.\So that's the toughest one to beat.\Captain Gluck! response:	Hoo-haw!
context: F-Fall back!\Beyond annoying... But I think I like him!\When this battle's over, let's be friends, okay?\You bastard! Are you a Shadow?\I am a footman.\So that's the toughest one to beat.\Captain Gluck!\Hoo-haw! response:	Just as I thought, it didn't work on him.
context: Beyond annoying... But I think I like him!\When this battle's over, let's be friends, okay?\You bastard! Are you a Shadow?\I am a footman.\So that's the toughest one to beat.\Captain Gluck!\Hoo-haw!\Just as I thought, it didn't work on him. response:	Damn you!
context: When this battle's over, let's be friends, okay?\You bastard! Are you a Shadow?\I am a footman.\So that's the toughest one to beat.\Captain Gluck!\Hoo-haw!\Just as I thought, it didn't work on him.\Damn you! response:	You seem pretty winded, little Siluca.
context: You bastard! Are you a Shadow?\I am a footman.\So that's the toughest one to beat.\Captain Gluck!\Hoo-haw!\Just as I thought, it didn't work on him.\Damn you!\You seem pretty winded, little Siluca. response:	Right back at you. Your strikes are becoming more labored.
context: I am a footman.\So that's the toughest one to beat.\Captain Gluck!\Hoo-haw!\Just as I thought, it didn't work on him.\Damn you!\You seem pretty winded, little Siluca.\Right back at you. Your strikes are becoming more labored. response:	Right, then I'll end this now.
context: So that's the toughest one to beat.\Captain Gluck!\Hoo-haw!\Just as I thought, it didn't work on him.\Damn you!\You seem pretty winded, little Siluca.\Right back at you. Your strikes are becoming more labored.\Right, then I'll end this now. response:	Siluca!
context: Captain Gluck!\Hoo-haw!\Just as I thought, it didn't work on him.\Damn you!\You seem pretty winded, little Siluca.\Right back at you. Your strikes are becoming more labored.\Right, then I'll end this now.\Siluca! response:	Lord Theo!
