context: Black Mist response:	After our class came back from the trip,
context: Plus, I heard some of you complaining.\But there was bullying so bad in here that a student transferred to another school,\and yet, out of 38 kids, no one raised their voice except certain people.\So this is the price you're paying for ignoring it.\That being said, before summer vacation, I'd like to resolve this to some extent,\so I'll be talking to you individually.\First Takagi, and then Kawamoto.\The new homeroom teacher's clear, reasonable manner of speaking response:	made the class fall silent.
context: But there was bullying so bad in here that a student transferred to another school,\and yet, out of 38 kids, no one raised their voice except certain people.\So this is the price you're paying for ignoring it.\That being said, before summer vacation, I'd like to resolve this to some extent,\so I'll be talking to you individually.\First Takagi, and then Kawamoto.\The new homeroom teacher's clear, reasonable manner of speaking\made the class fall silent. response:	When you're called to stay after school, report to the faculty room.
context: and yet, out of 38 kids, no one raised their voice except certain people.\So this is the price you're paying for ignoring it.\That being said, before summer vacation, I'd like to resolve this to some extent,\so I'll be talking to you individually.\First Takagi, and then Kawamoto.\The new homeroom teacher's clear, reasonable manner of speaking\made the class fall silent.\When you're called to stay after school, report to the faculty room. response:	ATTENDANCE RECORD
context: So this is the price you're paying for ignoring it.\That being said, before summer vacation, I'd like to resolve this to some extent,\so I'll be talking to you individually.\First Takagi, and then Kawamoto.\The new homeroom teacher's clear, reasonable manner of speaking\made the class fall silent.\When you're called to stay after school, report to the faculty room.\ATTENDANCE RECORD response:	That's all.
context: That being said, before summer vacation, I'd like to resolve this to some extent,\so I'll be talking to you individually.\First Takagi, and then Kawamoto.\The new homeroom teacher's clear, reasonable manner of speaking\made the class fall silent.\When you're called to stay after school, report to the faculty room.\ATTENDANCE RECORD\That's all. response:	Then, to sort out the situation, each of our parents were called in.
context: so I'll be talking to you individually.\First Takagi, and then Kawamoto.\The new homeroom teacher's clear, reasonable manner of speaking\made the class fall silent.\When you're called to stay after school, report to the faculty room.\ATTENDANCE RECORD\That's all.\Then, to sort out the situation, each of our parents were called in. response:	Parent-teacher-student conferences.
context: First Takagi, and then Kawamoto.\The new homeroom teacher's clear, reasonable manner of speaking\made the class fall silent.\When you're called to stay after school, report to the faculty room.\ATTENDANCE RECORD\That's all.\Then, to sort out the situation, each of our parents were called in.\Parent-teacher-student conferences. response:	Yeah. He asked me a lot of questions.
context: The new homeroom teacher's clear, reasonable manner of speaking\made the class fall silent.\When you're called to stay after school, report to the faculty room.\ATTENDANCE RECORD\That's all.\Then, to sort out the situation, each of our parents were called in.\Parent-teacher-student conferences.\Yeah. He asked me a lot of questions. response:	It seems Teacher knew what was going on the whole time.
context: made the class fall silent.\When you're called to stay after school, report to the faculty room.\ATTENDANCE RECORD\That's all.\Then, to sort out the situation, each of our parents were called in.\Parent-teacher-student conferences.\Yeah. He asked me a lot of questions.\It seems Teacher knew what was going on the whole time. response:	But she'd been a teacher for a long time,
context: When you're called to stay after school, report to the faculty room.\ATTENDANCE RECORD\That's all.\Then, to sort out the situation, each of our parents were called in.\Parent-teacher-student conferences.\Yeah. He asked me a lot of questions.\It seems Teacher knew what was going on the whole time.\But she'd been a teacher for a long time, response:	and the same thing kept happening again and again.
context: ATTENDANCE RECORD\That's all.\Then, to sort out the situation, each of our parents were called in.\Parent-teacher-student conferences.\Yeah. He asked me a lot of questions.\It seems Teacher knew what was going on the whole time.\But she'd been a teacher for a long time,\and the same thing kept happening again and again. response:	And her class would be thrown into chaos every time.
context: That's all.\Then, to sort out the situation, each of our parents were called in.\Parent-teacher-student conferences.\Yeah. He asked me a lot of questions.\It seems Teacher knew what was going on the whole time.\But she'd been a teacher for a long time,\and the same thing kept happening again and again.\And her class would be thrown into chaos every time. response:	She kept seeing situations she couldn't do anything about,
context: Then, to sort out the situation, each of our parents were called in.\Parent-teacher-student conferences.\Yeah. He asked me a lot of questions.\It seems Teacher knew what was going on the whole time.\But she'd been a teacher for a long time,\and the same thing kept happening again and again.\And her class would be thrown into chaos every time.\She kept seeing situations she couldn't do anything about, response:	until it reached the point where she couldn't even get involved.
context: Parent-teacher-student conferences.\Yeah. He asked me a lot of questions.\It seems Teacher knew what was going on the whole time.\But she'd been a teacher for a long time,\and the same thing kept happening again and again.\And her class would be thrown into chaos every time.\She kept seeing situations she couldn't do anything about,\until it reached the point where she couldn't even get involved. response:	Sis, what should I have done?
context: Yeah. He asked me a lot of questions.\It seems Teacher knew what was going on the whole time.\But she'd been a teacher for a long time,\and the same thing kept happening again and again.\And her class would be thrown into chaos every time.\She kept seeing situations she couldn't do anything about,\until it reached the point where she couldn't even get involved.\Sis, what should I have done? response:	It went so far that you have to come in to the school.
context: It seems Teacher knew what was going on the whole time.\But she'd been a teacher for a long time,\and the same thing kept happening again and again.\And her class would be thrown into chaos every time.\She kept seeing situations she couldn't do anything about,\until it reached the point where she couldn't even get involved.\Sis, what should I have done?\It went so far that you have to come in to the school. response:	I...
context: But she'd been a teacher for a long time,\and the same thing kept happening again and again.\And her class would be thrown into chaos every time.\She kept seeing situations she couldn't do anything about,\until it reached the point where she couldn't even get involved.\Sis, what should I have done?\It went so far that you have to come in to the school.\I... response:	Hina, come on.
context: and the same thing kept happening again and again.\And her class would be thrown into chaos every time.\She kept seeing situations she couldn't do anything about,\until it reached the point where she couldn't even get involved.\Sis, what should I have done?\It went so far that you have to come in to the school.\I...\Hina, come on. response:	One cup of French toast!
context: And her class would be thrown into chaos every time.\She kept seeing situations she couldn't do anything about,\until it reached the point where she couldn't even get involved.\Sis, what should I have done?\It went so far that you have to come in to the school.\I...\Hina, come on.\One cup of French toast! response:	With plenty of fresh cream!
context: She kept seeing situations she couldn't do anything about,\until it reached the point where she couldn't even get involved.\Sis, what should I have done?\It went so far that you have to come in to the school.\I...\Hina, come on.\One cup of French toast!\With plenty of fresh cream! response:	BOOM
context: until it reached the point where she couldn't even get involved.\Sis, what should I have done?\It went so far that you have to come in to the school.\I...\Hina, come on.\One cup of French toast!\With plenty of fresh cream!\BOOM response:	Here, hold this.
context: Sis, what should I have done?\It went so far that you have to come in to the school.\I...\Hina, come on.\One cup of French toast!\With plenty of fresh cream!\BOOM\Here, hold this. response:	All right, next!
context: It went so far that you have to come in to the school.\I...\Hina, come on.\One cup of French toast!\With plenty of fresh cream!\BOOM\Here, hold this.\All right, next! response:	Sir, I'll take two beef croquettes!
context: I...\Hina, come on.\One cup of French toast!\With plenty of fresh cream!\BOOM\Here, hold this.\All right, next!\Sir, I'll take two beef croquettes! response:	One just as-is, one slathered in sauce!
context: Hina, come on.\One cup of French toast!\With plenty of fresh cream!\BOOM\Here, hold this.\All right, next!\Sir, I'll take two beef croquettes!\One just as-is, one slathered in sauce! response:	Sure thing! Coming right up!
context: One cup of French toast!\With plenty of fresh cream!\BOOM\Here, hold this.\All right, next!\Sir, I'll take two beef croquettes!\One just as-is, one slathered in sauce!\Sure thing! Coming right up! response:	The depth of the water fluctuates. Please do not step in.
context: With plenty of fresh cream!\BOOM\Here, hold this.\All right, next!\Sir, I'll take two beef croquettes!\One just as-is, one slathered in sauce!\Sure thing! Coming right up!\The depth of the water fluctuates. Please do not step in. response:	You sure?
context: BOOM\Here, hold this.\All right, next!\Sir, I'll take two beef croquettes!\One just as-is, one slathered in sauce!\Sure thing! Coming right up!\The depth of the water fluctuates. Please do not step in.\You sure? response:	You're always warning me about spoiling my dinner.
context: Here, hold this.\All right, next!\Sir, I'll take two beef croquettes!\One just as-is, one slathered in sauce!\Sure thing! Coming right up!\The depth of the water fluctuates. Please do not step in.\You sure?\You're always warning me about spoiling my dinner. response:	It's fine.
context: All right, next!\Sir, I'll take two beef croquettes!\One just as-is, one slathered in sauce!\Sure thing! Coming right up!\The depth of the water fluctuates. Please do not step in.\You sure?\You're always warning me about spoiling my dinner.\It's fine. response:	If you don't get to eat what you like at a time like this, when will you eat it?
context: Sir, I'll take two beef croquettes!\One just as-is, one slathered in sauce!\Sure thing! Coming right up!\The depth of the water fluctuates. Please do not step in.\You sure?\You're always warning me about spoiling my dinner.\It's fine.\If you don't get to eat what you like at a time like this, when will you eat it? response:	Hina, I'm going. Be it a parent-teacher conference, or whatever,
context: One just as-is, one slathered in sauce!\Sure thing! Coming right up!\The depth of the water fluctuates. Please do not step in.\You sure?\You're always warning me about spoiling my dinner.\It's fine.\If you don't get to eat what you like at a time like this, when will you eat it?\Hina, I'm going. Be it a parent-teacher conference, or whatever, response:	I'll always be on your side.
context: Sure thing! Coming right up!\The depth of the water fluctuates. Please do not step in.\You sure?\You're always warning me about spoiling my dinner.\It's fine.\If you don't get to eat what you like at a time like this, when will you eat it?\Hina, I'm going. Be it a parent-teacher conference, or whatever,\I'll always be on your side. response:	Okay.
context: The depth of the water fluctuates. Please do not step in.\You sure?\You're always warning me about spoiling my dinner.\It's fine.\If you don't get to eat what you like at a time like this, when will you eat it?\Hina, I'm going. Be it a parent-teacher conference, or whatever,\I'll always be on your side.\Okay. response:	Come on, let's go grocery shopping and then go home.
context: You sure?\You're always warning me about spoiling my dinner.\It's fine.\If you don't get to eat what you like at a time like this, when will you eat it?\Hina, I'm going. Be it a parent-teacher conference, or whatever,\I'll always be on your side.\Okay.\Come on, let's go grocery shopping and then go home. response:	What do you want for dinner?
context: You're always warning me about spoiling my dinner.\It's fine.\If you don't get to eat what you like at a time like this, when will you eat it?\Hina, I'm going. Be it a parent-teacher conference, or whatever,\I'll always be on your side.\Okay.\Come on, let's go grocery shopping and then go home.\What do you want for dinner? response:	Stew. Can I have it over my rice?
context: It's fine.\If you don't get to eat what you like at a time like this, when will you eat it?\Hina, I'm going. Be it a parent-teacher conference, or whatever,\I'll always be on your side.\Okay.\Come on, let's go grocery shopping and then go home.\What do you want for dinner?\Stew. Can I have it over my rice? response:	Sure. I'll put it on my rice this time too.
context: If you don't get to eat what you like at a time like this, when will you eat it?\Hina, I'm going. Be it a parent-teacher conference, or whatever,\I'll always be on your side.\Okay.\Come on, let's go grocery shopping and then go home.\What do you want for dinner?\Stew. Can I have it over my rice?\Sure. I'll put it on my rice this time too. response:	Black Mist
context: Hina, I'm going. Be it a parent-teacher conference, or whatever,\I'll always be on your side.\Okay.\Come on, let's go grocery shopping and then go home.\What do you want for dinner?\Stew. Can I have it over my rice?\Sure. I'll put it on my rice this time too.\Black Mist response:	Light
context: I'll always be on your side.\Okay.\Come on, let's go grocery shopping and then go home.\What do you want for dinner?\Stew. Can I have it over my rice?\Sure. I'll put it on my rice this time too.\Black Mist\Light response:	CRESCENT MOON
context: Okay.\Come on, let's go grocery shopping and then go home.\What do you want for dinner?\Stew. Can I have it over my rice?\Sure. I'll put it on my rice this time too.\Black Mist\Light\CRESCENT MOON response:	I'll go.
context: Come on, let's go grocery shopping and then go home.\What do you want for dinner?\Stew. Can I have it over my rice?\Sure. I'll put it on my rice this time too.\Black Mist\Light\CRESCENT MOON\I'll go. response:	No, I'm going.
context: What do you want for dinner?\Stew. Can I have it over my rice?\Sure. I'll put it on my rice this time too.\Black Mist\Light\CRESCENT MOON\I'll go.\No, I'm going. response:	How could I not go?
context: Stew. Can I have it over my rice?\Sure. I'll put it on my rice this time too.\Black Mist\Light\CRESCENT MOON\I'll go.\No, I'm going.\How could I not go? response:	I'm going to go and give those selfish, rotten parents a piece of my mind!
context: Sure. I'll put it on my rice this time too.\Black Mist\Light\CRESCENT MOON\I'll go.\No, I'm going.\How could I not go?\I'm going to go and give those selfish, rotten parents a piece of my mind! response:	You can't!
context: Black Mist\Light\CRESCENT MOON\I'll go.\No, I'm going.\How could I not go?\I'm going to go and give those selfish, rotten parents a piece of my mind!\You can't! response:	Tuesday is when you have that important catering job, remember?
context: Light\CRESCENT MOON\I'll go.\No, I'm going.\How could I not go?\I'm going to go and give those selfish, rotten parents a piece of my mind!\You can't!\Tuesday is when you have that important catering job, remember? response:	HISS
context: CRESCENT MOON\I'll go.\No, I'm going.\How could I not go?\I'm going to go and give those selfish, rotten parents a piece of my mind!\You can't!\Tuesday is when you have that important catering job, remember?\HISS response:	It's for an important tea party
context: I'll go.\No, I'm going.\How could I not go?\I'm going to go and give those selfish, rotten parents a piece of my mind!\You can't!\Tuesday is when you have that important catering job, remember?\HISS\It's for an important tea party response:	to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!
context: No, I'm going.\How could I not go?\I'm going to go and give those selfish, rotten parents a piece of my mind!\You can't!\Tuesday is when you have that important catering job, remember?\HISS\It's for an important tea party\to celebrate the 60th anniversary of Shoueidou's founding, our valued customer! response:	SHOUEIDOU
context: How could I not go?\I'm going to go and give those selfish, rotten parents a piece of my mind!\You can't!\Tuesday is when you have that important catering job, remember?\HISS\It's for an important tea party\to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!\SHOUEIDOU response:	Everyone is looking forward to your sweets, Grandpa!
context: I'm going to go and give those selfish, rotten parents a piece of my mind!\You can't!\Tuesday is when you have that important catering job, remember?\HISS\It's for an important tea party\to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!\SHOUEIDOU\Everyone is looking forward to your sweets, Grandpa! response:	You know that better than anyone!
context: You can't!\Tuesday is when you have that important catering job, remember?\HISS\It's for an important tea party\to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!\SHOUEIDOU\Everyone is looking forward to your sweets, Grandpa!\You know that better than anyone! response:	Damn it!
context: Tuesday is when you have that important catering job, remember?\HISS\It's for an important tea party\to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!\SHOUEIDOU\Everyone is looking forward to your sweets, Grandpa!\You know that better than anyone!\Damn it! response:	This... This is a big deal for my granddaughter, and I...
context: HISS\It's for an important tea party\to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!\SHOUEIDOU\Everyone is looking forward to your sweets, Grandpa!\You know that better than anyone!\Damn it!\This... This is a big deal for my granddaughter, and I... response:	Grandpa, it'll be okay.
context: It's for an important tea party\to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!\SHOUEIDOU\Everyone is looking forward to your sweets, Grandpa!\You know that better than anyone!\Damn it!\This... This is a big deal for my granddaughter, and I...\Grandpa, it'll be okay. response:	I'm going to have a good talk with her teacher, so it'll be all right.
context: to celebrate the 60th anniversary of Shoueidou's founding, our valued customer!\SHOUEIDOU\Everyone is looking forward to your sweets, Grandpa!\You know that better than anyone!\Damn it!\This... This is a big deal for my granddaughter, and I...\Grandpa, it'll be okay.\I'm going to have a good talk with her teacher, so it'll be all right. response:	Leave this to me!
context: SHOUEIDOU\Everyone is looking forward to your sweets, Grandpa!\You know that better than anyone!\Damn it!\This... This is a big deal for my granddaughter, and I...\Grandpa, it'll be okay.\I'm going to have a good talk with her teacher, so it'll be all right.\Leave this to me! response:	I promise it'll be okay!
context: Everyone is looking forward to your sweets, Grandpa!\You know that better than anyone!\Damn it!\This... This is a big deal for my granddaughter, and I...\Grandpa, it'll be okay.\I'm going to have a good talk with her teacher, so it'll be all right.\Leave this to me!\I promise it'll be okay! response:	Akari...
context: You know that better than anyone!\Damn it!\This... This is a big deal for my granddaughter, and I...\Grandpa, it'll be okay.\I'm going to have a good talk with her teacher, so it'll be all right.\Leave this to me!\I promise it'll be okay!\Akari... response:	Akari, I'm sorry...
context: Damn it!\This... This is a big deal for my granddaughter, and I...\Grandpa, it'll be okay.\I'm going to have a good talk with her teacher, so it'll be all right.\Leave this to me!\I promise it'll be okay!\Akari...\Akari, I'm sorry... response:	I've put you through so much...
context: This... This is a big deal for my granddaughter, and I...\Grandpa, it'll be okay.\I'm going to have a good talk with her teacher, so it'll be all right.\Leave this to me!\I promise it'll be okay!\Akari...\Akari, I'm sorry...\I've put you through so much... response:	Don't talk like that.
context: Grandpa, it'll be okay.\I'm going to have a good talk with her teacher, so it'll be all right.\Leave this to me!\I promise it'll be okay!\Akari...\Akari, I'm sorry...\I've put you through so much...\Don't talk like that. response:	Don't worry about Hina and Momo. They'll be okay.
context: I'm going to have a good talk with her teacher, so it'll be all right.\Leave this to me!\I promise it'll be okay!\Akari...\Akari, I'm sorry...\I've put you through so much...\Don't talk like that.\Don't worry about Hina and Momo. They'll be okay. response:	It's all right. I'll protect them from the both of us, Mom.
context: Leave this to me!\I promise it'll be okay!\Akari...\Akari, I'm sorry...\I've put you through so much...\Don't talk like that.\Don't worry about Hina and Momo. They'll be okay.\It's all right. I'll protect them from the both of us, Mom. response:	That dream again...
context: I promise it'll be okay!\Akari...\Akari, I'm sorry...\I've put you through so much...\Don't talk like that.\Don't worry about Hina and Momo. They'll be okay.\It's all right. I'll protect them from the both of us, Mom.\That dream again... response:	What should I do? I keep waking up.
context: Akari...\Akari, I'm sorry...\I've put you through so much...\Don't talk like that.\Don't worry about Hina and Momo. They'll be okay.\It's all right. I'll protect them from the both of us, Mom.\That dream again...\What should I do? I keep waking up. response:	I need to get my sleep. The conference is tomorrow.
context: Akari, I'm sorry...\I've put you through so much...\Don't talk like that.\Don't worry about Hina and Momo. They'll be okay.\It's all right. I'll protect them from the both of us, Mom.\That dream again...\What should I do? I keep waking up.\I need to get my sleep. The conference is tomorrow. response:	And I made a promise...
context: I've put you through so much...\Don't talk like that.\Don't worry about Hina and Momo. They'll be okay.\It's all right. I'll protect them from the both of us, Mom.\That dream again...\What should I do? I keep waking up.\I need to get my sleep. The conference is tomorrow.\And I made a promise... response:	to Mom and Grandpa.
context: Don't talk like that.\Don't worry about Hina and Momo. They'll be okay.\It's all right. I'll protect them from the both of us, Mom.\That dream again...\What should I do? I keep waking up.\I need to get my sleep. The conference is tomorrow.\And I made a promise...\to Mom and Grandpa. response:	Well, goodbye.
context: Don't worry about Hina and Momo. They'll be okay.\It's all right. I'll protect them from the both of us, Mom.\That dream again...\What should I do? I keep waking up.\I need to get my sleep. The conference is tomorrow.\And I made a promise...\to Mom and Grandpa.\Well, goodbye. response:	Okay, Ms. Kawamoto, please come in.
context: It's all right. I'll protect them from the both of us, Mom.\That dream again...\What should I do? I keep waking up.\I need to get my sleep. The conference is tomorrow.\And I made a promise...\to Mom and Grandpa.\Well, goodbye.\Okay, Ms. Kawamoto, please come in. response:	- Teacher! - Mr. Kokubu!
context: That dream again...\What should I do? I keep waking up.\I need to get my sleep. The conference is tomorrow.\And I made a promise...\to Mom and Grandpa.\Well, goodbye.\Okay, Ms. Kawamoto, please come in.\- Teacher! - Mr. Kokubu! response:	What is it? What's wrong?
context: What should I do? I keep waking up.\I need to get my sleep. The conference is tomorrow.\And I made a promise...\to Mom and Grandpa.\Well, goodbye.\Okay, Ms. Kawamoto, please come in.\- Teacher! - Mr. Kokubu!\What is it? What's wrong? response:	- Ueda was screwing around... - and broke the window with a mop!
context: I need to get my sleep. The conference is tomorrow.\And I made a promise...\to Mom and Grandpa.\Well, goodbye.\Okay, Ms. Kawamoto, please come in.\- Teacher! - Mr. Kokubu!\What is it? What's wrong?\- Ueda was screwing around... - and broke the window with a mop! response:	Huh? Was anyone hurt?
context: And I made a promise...\to Mom and Grandpa.\Well, goodbye.\Okay, Ms. Kawamoto, please come in.\- Teacher! - Mr. Kokubu!\What is it? What's wrong?\- Ueda was screwing around... - and broke the window with a mop!\Huh? Was anyone hurt? response:	- Suzuki! - His hand is bleeding!
context: to Mom and Grandpa.\Well, goodbye.\Okay, Ms. Kawamoto, please come in.\- Teacher! - Mr. Kokubu!\What is it? What's wrong?\- Ueda was screwing around... - and broke the window with a mop!\Huh? Was anyone hurt?\- Suzuki! - His hand is bleeding! response:	What? What was that kid thinking?
context: Well, goodbye.\Okay, Ms. Kawamoto, please come in.\- Teacher! - Mr. Kokubu!\What is it? What's wrong?\- Ueda was screwing around... - and broke the window with a mop!\Huh? Was anyone hurt?\- Suzuki! - His hand is bleeding!\What? What was that kid thinking? response:	Sorry, Kawamoto, can you wait in there with your sister?
context: Okay, Ms. Kawamoto, please come in.\- Teacher! - Mr. Kokubu!\What is it? What's wrong?\- Ueda was screwing around... - and broke the window with a mop!\Huh? Was anyone hurt?\- Suzuki! - His hand is bleeding!\What? What was that kid thinking?\Sorry, Kawamoto, can you wait in there with your sister? response:	I'll be right back!
context: - Teacher! - Mr. Kokubu!\What is it? What's wrong?\- Ueda was screwing around... - and broke the window with a mop!\Huh? Was anyone hurt?\- Suzuki! - His hand is bleeding!\What? What was that kid thinking?\Sorry, Kawamoto, can you wait in there with your sister?\I'll be right back! response:	For crying out loud!
context: What is it? What's wrong?\- Ueda was screwing around... - and broke the window with a mop!\Huh? Was anyone hurt?\- Suzuki! - His hand is bleeding!\What? What was that kid thinking?\Sorry, Kawamoto, can you wait in there with your sister?\I'll be right back!\For crying out loud! response:	These kids are always causing trouble!
context: - Ueda was screwing around... - and broke the window with a mop!\Huh? Was anyone hurt?\- Suzuki! - His hand is bleeding!\What? What was that kid thinking?\Sorry, Kawamoto, can you wait in there with your sister?\I'll be right back!\For crying out loud!\These kids are always causing trouble! response:	I'm suddenly in charge of two classes and they don't even let me catch my breath!
context: Huh? Was anyone hurt?\- Suzuki! - His hand is bleeding!\What? What was that kid thinking?\Sorry, Kawamoto, can you wait in there with your sister?\I'll be right back!\For crying out loud!\These kids are always causing trouble!\I'm suddenly in charge of two classes and they don't even let me catch my breath! response:	Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!
context: - Suzuki! - His hand is bleeding!\What? What was that kid thinking?\Sorry, Kawamoto, can you wait in there with your sister?\I'll be right back!\For crying out loud!\These kids are always causing trouble!\I'm suddenly in charge of two classes and they don't even let me catch my breath!\Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass! response:	Well, we'll be on our way.
context: What? What was that kid thinking?\Sorry, Kawamoto, can you wait in there with your sister?\I'll be right back!\For crying out loud!\These kids are always causing trouble!\I'm suddenly in charge of two classes and they don't even let me catch my breath!\Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!\Well, we'll be on our way. response:	Okay. We'll go inside, then.
context: Sorry, Kawamoto, can you wait in there with your sister?\I'll be right back!\For crying out loud!\These kids are always causing trouble!\I'm suddenly in charge of two classes and they don't even let me catch my breath!\Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!\Well, we'll be on our way.\Okay. We'll go inside, then. response:	Oh, that's right.
context: I'll be right back!\For crying out loud!\These kids are always causing trouble!\I'm suddenly in charge of two classes and they don't even let me catch my breath!\Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!\Well, we'll be on our way.\Okay. We'll go inside, then.\Oh, that's right. response:	You know, for us, the most important thing this year are the high school entrance exams.
context: For crying out loud!\These kids are always causing trouble!\I'm suddenly in charge of two classes and they don't even let me catch my breath!\Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!\Well, we'll be on our way.\Okay. We'll go inside, then.\Oh, that's right.\You know, for us, the most important thing this year are the high school entrance exams. response:	So I think it's better not to make any waves.
context: These kids are always causing trouble!\I'm suddenly in charge of two classes and they don't even let me catch my breath!\Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!\Well, we'll be on our way.\Okay. We'll go inside, then.\Oh, that's right.\You know, for us, the most important thing this year are the high school entrance exams.\So I think it's better not to make any waves. response:	Well, going forward, if you would advise your little sister to watch it...
context: I'm suddenly in charge of two classes and they don't even let me catch my breath!\Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!\Well, we'll be on our way.\Okay. We'll go inside, then.\Oh, that's right.\You know, for us, the most important thing this year are the high school entrance exams.\So I think it's better not to make any waves.\Well, going forward, if you would advise your little sister to watch it... response:	Then for us, I wouldn't have to...
context: Hey, Kobayashi! Go ahead of me and tell everyone to stay away from the glass!\Well, we'll be on our way.\Okay. We'll go inside, then.\Oh, that's right.\You know, for us, the most important thing this year are the high school entrance exams.\So I think it's better not to make any waves.\Well, going forward, if you would advise your little sister to watch it...\Then for us, I wouldn't have to... response:	Well, you know...
context: Well, we'll be on our way.\Okay. We'll go inside, then.\Oh, that's right.\You know, for us, the most important thing this year are the high school entrance exams.\So I think it's better not to make any waves.\Well, going forward, if you would advise your little sister to watch it...\Then for us, I wouldn't have to...\Well, you know... response:	What do you mean by that?
context: Okay. We'll go inside, then.\Oh, that's right.\You know, for us, the most important thing this year are the high school entrance exams.\So I think it's better not to make any waves.\Well, going forward, if you would advise your little sister to watch it...\Then for us, I wouldn't have to...\Well, you know...\What do you mean by that? response:	My daughter told me everything I need to know.
context: Oh, that's right.\You know, for us, the most important thing this year are the high school entrance exams.\So I think it's better not to make any waves.\Well, going forward, if you would advise your little sister to watch it...\Then for us, I wouldn't have to...\Well, you know...\What do you mean by that?\My daughter told me everything I need to know. response:	It seems your little sister has various issues.
context: You know, for us, the most important thing this year are the high school entrance exams.\So I think it's better not to make any waves.\Well, going forward, if you would advise your little sister to watch it...\Then for us, I wouldn't have to...\Well, you know...\What do you mean by that?\My daughter told me everything I need to know.\It seems your little sister has various issues. response:	As far as I'm concerned...
context: So I think it's better not to make any waves.\Well, going forward, if you would advise your little sister to watch it...\Then for us, I wouldn't have to...\Well, you know...\What do you mean by that?\My daughter told me everything I need to know.\It seems your little sister has various issues.\As far as I'm concerned... response:	I don't think my sister has any issues.
context: Well, going forward, if you would advise your little sister to watch it...\Then for us, I wouldn't have to...\Well, you know...\What do you mean by that?\My daughter told me everything I need to know.\It seems your little sister has various issues.\As far as I'm concerned...\I don't think my sister has any issues. response:	In fact, I have no idea what you're talking about.
context: Then for us, I wouldn't have to...\Well, you know...\What do you mean by that?\My daughter told me everything I need to know.\It seems your little sister has various issues.\As far as I'm concerned...\I don't think my sister has any issues.\In fact, I have no idea what you're talking about. response:	No issues, you say?!
context: Well, you know...\What do you mean by that?\My daughter told me everything I need to know.\It seems your little sister has various issues.\As far as I'm concerned...\I don't think my sister has any issues.\In fact, I have no idea what you're talking about.\No issues, you say?! response:	She spread rumors about my Megumi being a thief!
context: What do you mean by that?\My daughter told me everything I need to know.\It seems your little sister has various issues.\As far as I'm concerned...\I don't think my sister has any issues.\In fact, I have no idea what you're talking about.\No issues, you say?!\She spread rumors about my Megumi being a thief! response:	What does she have against my daughter?! This is so upsetting!
context: My daughter told me everything I need to know.\It seems your little sister has various issues.\As far as I'm concerned...\I don't think my sister has any issues.\In fact, I have no idea what you're talking about.\No issues, you say?!\She spread rumors about my Megumi being a thief!\What does she have against my daughter?! This is so upsetting! response:	Mrs. Takagi!
context: It seems your little sister has various issues.\As far as I'm concerned...\I don't think my sister has any issues.\In fact, I have no idea what you're talking about.\No issues, you say?!\She spread rumors about my Megumi being a thief!\What does she have against my daughter?! This is so upsetting!\Mrs. Takagi! response:	Do you have honest conversations with your daughter?
context: As far as I'm concerned...\I don't think my sister has any issues.\In fact, I have no idea what you're talking about.\No issues, you say?!\She spread rumors about my Megumi being a thief!\What does she have against my daughter?! This is so upsetting!\Mrs. Takagi!\Do you have honest conversations with your daughter? response:	Do you properly understand what she's thinking right now?
context: I don't think my sister has any issues.\In fact, I have no idea what you're talking about.\No issues, you say?!\She spread rumors about my Megumi being a thief!\What does she have against my daughter?! This is so upsetting!\Mrs. Takagi!\Do you have honest conversations with your daughter?\Do you properly understand what she's thinking right now? response:	Your daughter is the one who's been a bully.
context: In fact, I have no idea what you're talking about.\No issues, you say?!\She spread rumors about my Megumi being a thief!\What does she have against my daughter?! This is so upsetting!\Mrs. Takagi!\Do you have honest conversations with your daughter?\Do you properly understand what she's thinking right now?\Your daughter is the one who's been a bully. response:	Shut your mouth!
context: No issues, you say?!\She spread rumors about my Megumi being a thief!\What does she have against my daughter?! This is so upsetting!\Mrs. Takagi!\Do you have honest conversations with your daughter?\Do you properly understand what she's thinking right now?\Your daughter is the one who's been a bully.\Shut your mouth! response:	I've heard enough false accusations! How low can you be?
context: She spread rumors about my Megumi being a thief!\What does she have against my daughter?! This is so upsetting!\Mrs. Takagi!\Do you have honest conversations with your daughter?\Do you properly understand what she's thinking right now?\Your daughter is the one who's been a bully.\Shut your mouth!\I've heard enough false accusations! How low can you be? response:	WAAA
