context: Who? Who is calling me? response:	Ah
context: Ah'\Is somebody there?\Dad and my brother aren't home now'\It's coming from dad's office.\What should I do? What if it is a thief?\I'll peek in from the door.\If somebody is there I will call the police.\Oh' response:	Nobody here.
context: Is somebody there?\Dad and my brother aren't home now'\It's coming from dad's office.\What should I do? What if it is a thief?\I'll peek in from the door.\If somebody is there I will call the police.\Oh'\Nobody here. response:	What?
context: Dad and my brother aren't home now'\It's coming from dad's office.\What should I do? What if it is a thief?\I'll peek in from the door.\If somebody is there I will call the police.\Oh'\Nobody here.\What? response:	Oh!
context: It's coming from dad's office.\What should I do? What if it is a thief?\I'll peek in from the door.\If somebody is there I will call the police.\Oh'\Nobody here.\What?\Oh! response:	It's that book.
context: What should I do? What if it is a thief?\I'll peek in from the door.\If somebody is there I will call the police.\Oh'\Nobody here.\What?\Oh!\It's that book. response:	Strange?
context: I'll peek in from the door.\If somebody is there I will call the police.\Oh'\Nobody here.\What?\Oh!\It's that book.\Strange? response:	A card?
context: If somebody is there I will call the police.\Oh'\Nobody here.\What?\Oh!\It's that book.\Strange?\A card? response:	Win'
context: Oh'\Nobody here.\What?\Oh!\It's that book.\Strange?\A card?\Win' response:	Umm'
context: Nobody here.\What?\Oh!\It's that book.\Strange?\A card?\Win'\Umm' response:	Win' Windy.
context: What?\Oh!\It's that book.\Strange?\A card?\Win'\Umm'\Win' Windy. response:	What is this?
context: Oh!\It's that book.\Strange?\A card?\Win'\Umm'\Win' Windy.\What is this? response:	How ya doing?
context: It's that book.\Strange?\A card?\Win'\Umm'\Win' Windy.\What is this?\How ya doing? response:	Oh?
context: Strange?\A card?\Win'\Umm'\Win' Windy.\What is this?\How ya doing?\Oh? response:	Thanks a lot for waking me up.
context: A card?\Win'\Umm'\Win' Windy.\What is this?\How ya doing?\Oh?\Thanks a lot for waking me up. response:	An Osaka accent?
context: Win'\Umm'\Win' Windy.\What is this?\How ya doing?\Oh?\Thanks a lot for waking me up.\An Osaka accent? response:	This book was in Osaka for a long time
context: Umm'\Win' Windy.\What is this?\How ya doing?\Oh?\Thanks a lot for waking me up.\An Osaka accent?\This book was in Osaka for a long time response:	so the accent stuck.
context: Win' Windy.\What is this?\How ya doing?\Oh?\Thanks a lot for waking me up.\An Osaka accent?\This book was in Osaka for a long time\so the accent stuck. response:	Where are the batteries? The switch?
context: What is this?\How ya doing?\Oh?\Thanks a lot for waking me up.\An Osaka accent?\This book was in Osaka for a long time\so the accent stuck.\Where are the batteries? The switch? response:	What are you doing?
context: How ya doing?\Oh?\Thanks a lot for waking me up.\An Osaka accent?\This book was in Osaka for a long time\so the accent stuck.\Where are the batteries? The switch?\What are you doing? response:	Where is the voice coming from?
context: Oh?\Thanks a lot for waking me up.\An Osaka accent?\This book was in Osaka for a long time\so the accent stuck.\Where are the batteries? The switch?\What are you doing?\Where is the voice coming from? response:	I'm not a toy!
context: Thanks a lot for waking me up.\An Osaka accent?\This book was in Osaka for a long time\so the accent stuck.\Where are the batteries? The switch?\What are you doing?\Where is the voice coming from?\I'm not a toy! response:	I am the beast of the seal Cerberus, who protects this book.
context: An Osaka accent?\This book was in Osaka for a long time\so the accent stuck.\Where are the batteries? The switch?\What are you doing?\Where is the voice coming from?\I'm not a toy!\I am the beast of the seal Cerberus, who protects this book. response:	Cerberus?
context: This book was in Osaka for a long time\so the accent stuck.\Where are the batteries? The switch?\What are you doing?\Where is the voice coming from?\I'm not a toy!\I am the beast of the seal Cerberus, who protects this book.\Cerberus? response:	Seal?
context: so the accent stuck.\Where are the batteries? The switch?\What are you doing?\Where is the voice coming from?\I'm not a toy!\I am the beast of the seal Cerberus, who protects this book.\Cerberus?\Seal? response:	Cerberus?
context: Where are the batteries? The switch?\What are you doing?\Where is the voice coming from?\I'm not a toy!\I am the beast of the seal Cerberus, who protects this book.\Cerberus?\Seal?\Cerberus? response:	Yes!
context: What are you doing?\Where is the voice coming from?\I'm not a toy!\I am the beast of the seal Cerberus, who protects this book.\Cerberus?\Seal?\Cerberus?\Yes! response:	To make sure that the cards in this book
context: Where is the voice coming from?\I'm not a toy!\I am the beast of the seal Cerberus, who protects this book.\Cerberus?\Seal?\Cerberus?\Yes!\To make sure that the cards in this book response:	don't do bad things
context: I'm not a toy!\I am the beast of the seal Cerberus, who protects this book.\Cerberus?\Seal?\Cerberus?\Yes!\To make sure that the cards in this book\don't do bad things response:	is my mission'
context: I am the beast of the seal Cerberus, who protects this book.\Cerberus?\Seal?\Cerberus?\Yes!\To make sure that the cards in this book\don't do bad things\is my mission' response:	There are no cards!
context: Cerberus?\Seal?\Cerberus?\Yes!\To make sure that the cards in this book\don't do bad things\is my mission'\There are no cards! response:	Why? Why? Where did they go?
context: Seal?\Cerberus?\Yes!\To make sure that the cards in this book\don't do bad things\is my mission'\There are no cards!\Why? Why? Where did they go? response:	This?
context: Cerberus?\Yes!\To make sure that the cards in this book\don't do bad things\is my mission'\There are no cards!\Why? Why? Where did they go?\This? response:	Ah, this. This. This is it.
context: Yes!\To make sure that the cards in this book\don't do bad things\is my mission'\There are no cards!\Why? Why? Where did they go?\This?\Ah, this. This. This is it. response:	So, where are the other cards?
context: To make sure that the cards in this book\don't do bad things\is my mission'\There are no cards!\Why? Why? Where did they go?\This?\Ah, this. This. This is it.\So, where are the other cards? response:	I read the windy.
context: don't do bad things\is my mission'\There are no cards!\Why? Why? Where did they go?\This?\Ah, this. This. This is it.\So, where are the other cards?\I read the windy. response:	Ya.
context: is my mission'\There are no cards!\Why? Why? Where did they go?\This?\Ah, this. This. This is it.\So, where are the other cards?\I read the windy.\Ya. response:	All of a sudden a wind came.
context: There are no cards!\Why? Why? Where did they go?\This?\Ah, this. This. This is it.\So, where are the other cards?\I read the windy.\Ya.\All of a sudden a wind came. response:	Yeah, yeah.
context: Why? Why? Where did they go?\This?\Ah, this. This. This is it.\So, where are the other cards?\I read the windy.\Ya.\All of a sudden a wind came.\Yeah, yeah. response:	They all flew away.
context: This?\Ah, this. This. This is it.\So, where are the other cards?\I read the windy.\Ya.\All of a sudden a wind came.\Yeah, yeah.\They all flew away. response:	I see.
context: Ah, this. This. This is it.\So, where are the other cards?\I read the windy.\Ya.\All of a sudden a wind came.\Yeah, yeah.\They all flew away.\I see. response:	What?!
context: So, where are the other cards?\I read the windy.\Ya.\All of a sudden a wind came.\Yeah, yeah.\They all flew away.\I see.\What?! response:	Thanks for dinner.
context: I read the windy.\Ya.\All of a sudden a wind came.\Yeah, yeah.\They all flew away.\I see.\What?!\Thanks for dinner. response:	Where are you taking that?
context: Ya.\All of a sudden a wind came.\Yeah, yeah.\They all flew away.\I see.\What?!\Thanks for dinner.\Where are you taking that? response:	I'm going it eat it in my room while studying.
context: All of a sudden a wind came.\Yeah, yeah.\They all flew away.\I see.\What?!\Thanks for dinner.\Where are you taking that?\I'm going it eat it in my room while studying. response:	Well?
context: Yeah, yeah.\They all flew away.\I see.\What?!\Thanks for dinner.\Where are you taking that?\I'm going it eat it in my room while studying.\Well? response:	No good.
context: They all flew away.\I see.\What?!\Thanks for dinner.\Where are you taking that?\I'm going it eat it in my room while studying.\Well?\No good. response:	I can't tell at all where the cards are.
context: I see.\What?!\Thanks for dinner.\Where are you taking that?\I'm going it eat it in my room while studying.\Well?\No good.\I can't tell at all where the cards are. response:	Here.
context: What?!\Thanks for dinner.\Where are you taking that?\I'm going it eat it in my room while studying.\Well?\No good.\I can't tell at all where the cards are.\Here. response:	That looks good.
context: Thanks for dinner.\Where are you taking that?\I'm going it eat it in my room while studying.\Well?\No good.\I can't tell at all where the cards are.\Here.\That looks good. response:	The Clow Cards were in this book.
context: Where are you taking that?\I'm going it eat it in my room while studying.\Well?\No good.\I can't tell at all where the cards are.\Here.\That looks good.\The Clow Cards were in this book. response:	Clow Cards?
context: I'm going it eat it in my room while studying.\Well?\No good.\I can't tell at all where the cards are.\Here.\That looks good.\The Clow Cards were in this book.\Clow Cards? response:	The Clow Cards.
context: Well?\No good.\I can't tell at all where the cards are.\Here.\That looks good.\The Clow Cards were in this book.\Clow Cards?\The Clow Cards. response:	When their seal is broken
context: No good.\I can't tell at all where the cards are.\Here.\That looks good.\The Clow Cards were in this book.\Clow Cards?\The Clow Cards.\When their seal is broken response:	chaos will spread in the world.
context: I can't tell at all where the cards are.\Here.\That looks good.\The Clow Cards were in this book.\Clow Cards?\The Clow Cards.\When their seal is broken\chaos will spread in the world. response:	Those cards are special cards
context: Here.\That looks good.\The Clow Cards were in this book.\Clow Cards?\The Clow Cards.\When their seal is broken\chaos will spread in the world.\Those cards are special cards response:	made by a great magician
context: That looks good.\The Clow Cards were in this book.\Clow Cards?\The Clow Cards.\When their seal is broken\chaos will spread in the world.\Those cards are special cards\made by a great magician response:	Clow Leed.
context: The Clow Cards were in this book.\Clow Cards?\The Clow Cards.\When their seal is broken\chaos will spread in the world.\Those cards are special cards\made by a great magician\Clow Leed. response:	Each one is alive
context: Clow Cards?\The Clow Cards.\When their seal is broken\chaos will spread in the world.\Those cards are special cards\made by a great magician\Clow Leed.\Each one is alive response:	and holds incredible power.
context: The Clow Cards.\When their seal is broken\chaos will spread in the world.\Those cards are special cards\made by a great magician\Clow Leed.\Each one is alive\and holds incredible power. response:	They all act as they like,
context: When their seal is broken\chaos will spread in the world.\Those cards are special cards\made by a great magician\Clow Leed.\Each one is alive\and holds incredible power.\They all act as they like, response:	And normal people can do nothing against them.
context: chaos will spread in the world.\Those cards are special cards\made by a great magician\Clow Leed.\Each one is alive\and holds incredible power.\They all act as they like,\And normal people can do nothing against them. response:	It is because of that Clow himself made the book
context: Those cards are special cards\made by a great magician\Clow Leed.\Each one is alive\and holds incredible power.\They all act as they like,\And normal people can do nothing against them.\It is because of that Clow himself made the book response:	and put me as the beast of the seal
context: made by a great magician\Clow Leed.\Each one is alive\and holds incredible power.\They all act as they like,\And normal people can do nothing against them.\It is because of that Clow himself made the book\and put me as the beast of the seal response:	on the cover.
context: Clow Leed.\Each one is alive\and holds incredible power.\They all act as they like,\And normal people can do nothing against them.\It is because of that Clow himself made the book\and put me as the beast of the seal\on the cover. response:	Anyways, we need to get back the cards.
context: Each one is alive\and holds incredible power.\They all act as they like,\And normal people can do nothing against them.\It is because of that Clow himself made the book\and put me as the beast of the seal\on the cover.\Anyways, we need to get back the cards. response:	So, I'll have you help me.
context: and holds incredible power.\They all act as they like,\And normal people can do nothing against them.\It is because of that Clow himself made the book\and put me as the beast of the seal\on the cover.\Anyways, we need to get back the cards.\So, I'll have you help me. response:	Eh? Why do I have to?
context: They all act as they like,\And normal people can do nothing against them.\It is because of that Clow himself made the book\and put me as the beast of the seal\on the cover.\Anyways, we need to get back the cards.\So, I'll have you help me.\Eh? Why do I have to? response:	You're the one who scattered the cards
context: And normal people can do nothing against them.\It is because of that Clow himself made the book\and put me as the beast of the seal\on the cover.\Anyways, we need to get back the cards.\So, I'll have you help me.\Eh? Why do I have to?\You're the one who scattered the cards response:	with the wind magic.
context: It is because of that Clow himself made the book\and put me as the beast of the seal\on the cover.\Anyways, we need to get back the cards.\So, I'll have you help me.\Eh? Why do I have to?\You're the one who scattered the cards\with the wind magic. response:	But it's your job
context: and put me as the beast of the seal\on the cover.\Anyways, we need to get back the cards.\So, I'll have you help me.\Eh? Why do I have to?\You're the one who scattered the cards\with the wind magic.\But it's your job response:	to make sure these cards are sealed in right?
context: on the cover.\Anyways, we need to get back the cards.\So, I'll have you help me.\Eh? Why do I have to?\You're the one who scattered the cards\with the wind magic.\But it's your job\to make sure these cards are sealed in right? response:	Well I just fell asleep for a bit.
context: Anyways, we need to get back the cards.\So, I'll have you help me.\Eh? Why do I have to?\You're the one who scattered the cards\with the wind magic.\But it's your job\to make sure these cards are sealed in right?\Well I just fell asleep for a bit. response:	For how long?
context: So, I'll have you help me.\Eh? Why do I have to?\You're the one who scattered the cards\with the wind magic.\But it's your job\to make sure these cards are sealed in right?\Well I just fell asleep for a bit.\For how long? response:	About thirty years.
context: Eh? Why do I have to?\You're the one who scattered the cards\with the wind magic.\But it's your job\to make sure these cards are sealed in right?\Well I just fell asleep for a bit.\For how long?\About thirty years. response:	Even so you call yourself the beast of the seal?
context: You're the one who scattered the cards\with the wind magic.\But it's your job\to make sure these cards are sealed in right?\Well I just fell asleep for a bit.\For how long?\About thirty years.\Even so you call yourself the beast of the seal? response:	A lot of stuff happens in life.
context: with the wind magic.\But it's your job\to make sure these cards are sealed in right?\Well I just fell asleep for a bit.\For how long?\About thirty years.\Even so you call yourself the beast of the seal?\A lot of stuff happens in life. response:	All right!
context: But it's your job\to make sure these cards are sealed in right?\Well I just fell asleep for a bit.\For how long?\About thirty years.\Even so you call yourself the beast of the seal?\A lot of stuff happens in life.\All right! response:	So that sound was snoring?
context: to make sure these cards are sealed in right?\Well I just fell asleep for a bit.\For how long?\About thirty years.\Even so you call yourself the beast of the seal?\A lot of stuff happens in life.\All right!\So that sound was snoring? response:	Anyways, since you opened this book
context: Well I just fell asleep for a bit.\For how long?\About thirty years.\Even so you call yourself the beast of the seal?\A lot of stuff happens in life.\All right!\So that sound was snoring?\Anyways, since you opened this book response:	it means you have some degree of magical power.
context: For how long?\About thirty years.\Even so you call yourself the beast of the seal?\A lot of stuff happens in life.\All right!\So that sound was snoring?\Anyways, since you opened this book\it means you have some degree of magical power. response:	What is your name?
context: About thirty years.\Even so you call yourself the beast of the seal?\A lot of stuff happens in life.\All right!\So that sound was snoring?\Anyways, since you opened this book\it means you have some degree of magical power.\What is your name? response:	Sakura.
context: Even so you call yourself the beast of the seal?\A lot of stuff happens in life.\All right!\So that sound was snoring?\Anyways, since you opened this book\it means you have some degree of magical power.\What is your name?\Sakura. response:	OK Sakura, stand over there.
context: A lot of stuff happens in life.\All right!\So that sound was snoring?\Anyways, since you opened this book\it means you have some degree of magical power.\What is your name?\Sakura.\OK Sakura, stand over there. response:	Eh?
context: All right!\So that sound was snoring?\Anyways, since you opened this book\it means you have some degree of magical power.\What is your name?\Sakura.\OK Sakura, stand over there.\Eh? response:	Yeah!
context: So that sound was snoring?\Anyways, since you opened this book\it means you have some degree of magical power.\What is your name?\Sakura.\OK Sakura, stand over there.\Eh?\Yeah! response:	Key of the seal'
context: Anyways, since you opened this book\it means you have some degree of magical power.\What is your name?\Sakura.\OK Sakura, stand over there.\Eh?\Yeah!\Key of the seal' response:	There is one who wishes the contract with you here.
context: it means you have some degree of magical power.\What is your name?\Sakura.\OK Sakura, stand over there.\Eh?\Yeah!\Key of the seal'\There is one who wishes the contract with you here. response:	The girl by the name Sakura.
context: What is your name?\Sakura.\OK Sakura, stand over there.\Eh?\Yeah!\Key of the seal'\There is one who wishes the contract with you here.\The girl by the name Sakura. response:	Key, give power to the girl.
context: Sakura.\OK Sakura, stand over there.\Eh?\Yeah!\Key of the seal'\There is one who wishes the contract with you here.\The girl by the name Sakura.\Key, give power to the girl. response:	Release!
context: OK Sakura, stand over there.\Eh?\Yeah!\Key of the seal'\There is one who wishes the contract with you here.\The girl by the name Sakura.\Key, give power to the girl.\Release! response:	Sakura, take the rod.
context: Eh?\Yeah!\Key of the seal'\There is one who wishes the contract with you here.\The girl by the name Sakura.\Key, give power to the girl.\Release!\Sakura, take the rod. response:	All right!
context: Yeah!\Key of the seal'\There is one who wishes the contract with you here.\The girl by the name Sakura.\Key, give power to the girl.\Release!\Sakura, take the rod.\All right! response:	It's the birth of a Card Captor.
context: Key of the seal'\There is one who wishes the contract with you here.\The girl by the name Sakura.\Key, give power to the girl.\Release!\Sakura, take the rod.\All right!\It's the birth of a Card Captor. response:	What?!
context: There is one who wishes the contract with you here.\The girl by the name Sakura.\Key, give power to the girl.\Release!\Sakura, take the rod.\All right!\It's the birth of a Card Captor.\What?! response:	Impossible! Impossible!
context: The girl by the name Sakura.\Key, give power to the girl.\Release!\Sakura, take the rod.\All right!\It's the birth of a Card Captor.\What?!\Impossible! Impossible! response:	It's absolutely, absolutely impossible.
context: Key, give power to the girl.\Release!\Sakura, take the rod.\All right!\It's the birth of a Card Captor.\What?!\Impossible! Impossible!\It's absolutely, absolutely impossible. response:	Ahh, how fluffy.
context: Release!\Sakura, take the rod.\All right!\It's the birth of a Card Captor.\What?!\Impossible! Impossible!\It's absolutely, absolutely impossible.\Ahh, how fluffy. response:	It's impossible for me to be a Card Captor.
context: Sakura, take the rod.\All right!\It's the birth of a Card Captor.\What?!\Impossible! Impossible!\It's absolutely, absolutely impossible.\Ahh, how fluffy.\It's impossible for me to be a Card Captor. response:	Card Captor.
context: All right!\It's the birth of a Card Captor.\What?!\Impossible! Impossible!\It's absolutely, absolutely impossible.\Ahh, how fluffy.\It's impossible for me to be a Card Captor.\Card Captor. response:	Hunter of the Clow Cards.
context: It's the birth of a Card Captor.\What?!\Impossible! Impossible!\It's absolutely, absolutely impossible.\Ahh, how fluffy.\It's impossible for me to be a Card Captor.\Card Captor.\Hunter of the Clow Cards. response:	Doesn't it sound cool?
context: What?!\Impossible! Impossible!\It's absolutely, absolutely impossible.\Ahh, how fluffy.\It's impossible for me to be a Card Captor.\Card Captor.\Hunter of the Clow Cards.\Doesn't it sound cool? response:	I'm an ordinary elementary school kid.
context: Impossible! Impossible!\It's absolutely, absolutely impossible.\Ahh, how fluffy.\It's impossible for me to be a Card Captor.\Card Captor.\Hunter of the Clow Cards.\Doesn't it sound cool?\I'm an ordinary elementary school kid. response:	Even if you tell me about chaos in the world'
context: It's absolutely, absolutely impossible.\Ahh, how fluffy.\It's impossible for me to be a Card Captor.\Card Captor.\Hunter of the Clow Cards.\Doesn't it sound cool?\I'm an ordinary elementary school kid.\Even if you tell me about chaos in the world' response:	I wonder who it was who scattered the cards everywhere with this?
context: Ahh, how fluffy.\It's impossible for me to be a Card Captor.\Card Captor.\Hunter of the Clow Cards.\Doesn't it sound cool?\I'm an ordinary elementary school kid.\Even if you tell me about chaos in the world'\I wonder who it was who scattered the cards everywhere with this? response:	Who was it that was sleeping without guarding the cards?
context: It's impossible for me to be a Card Captor.\Card Captor.\Hunter of the Clow Cards.\Doesn't it sound cool?\I'm an ordinary elementary school kid.\Even if you tell me about chaos in the world'\I wonder who it was who scattered the cards everywhere with this?\Who was it that was sleeping without guarding the cards? response:	What an incredible wind.
context: Card Captor.\Hunter of the Clow Cards.\Doesn't it sound cool?\I'm an ordinary elementary school kid.\Even if you tell me about chaos in the world'\I wonder who it was who scattered the cards everywhere with this?\Who was it that was sleeping without guarding the cards?\What an incredible wind. response:	Sakura!
context: Hunter of the Clow Cards.\Doesn't it sound cool?\I'm an ordinary elementary school kid.\Even if you tell me about chaos in the world'\I wonder who it was who scattered the cards everywhere with this?\Who was it that was sleeping without guarding the cards?\What an incredible wind.\Sakura! response:	What's that?
context: Doesn't it sound cool?\I'm an ordinary elementary school kid.\Even if you tell me about chaos in the world'\I wonder who it was who scattered the cards everywhere with this?\Who was it that was sleeping without guarding the cards?\What an incredible wind.\Sakura!\What's that? response:	It's a Clow Card.
context: I'm an ordinary elementary school kid.\Even if you tell me about chaos in the world'\I wonder who it was who scattered the cards everywhere with this?\Who was it that was sleeping without guarding the cards?\What an incredible wind.\Sakura!\What's that?\It's a Clow Card. response:	Ah?
context: Even if you tell me about chaos in the world'\I wonder who it was who scattered the cards everywhere with this?\Who was it that was sleeping without guarding the cards?\What an incredible wind.\Sakura!\What's that?\It's a Clow Card.\Ah? response:	That looks like the Fly card.
context: I wonder who it was who scattered the cards everywhere with this?\Who was it that was sleeping without guarding the cards?\What an incredible wind.\Sakura!\What's that?\It's a Clow Card.\Ah?\That looks like the Fly card. response:	This is no time to be impressed, can't you hurry?
context: Who was it that was sleeping without guarding the cards?\What an incredible wind.\Sakura!\What's that?\It's a Clow Card.\Ah?\That looks like the Fly card.\This is no time to be impressed, can't you hurry? response:	And do what?
context: What an incredible wind.\Sakura!\What's that?\It's a Clow Card.\Ah?\That looks like the Fly card.\This is no time to be impressed, can't you hurry?\And do what? response:	Card Captor Sakura's first job.
context: Sakura!\What's that?\It's a Clow Card.\Ah?\That looks like the Fly card.\This is no time to be impressed, can't you hurry?\And do what?\Card Captor Sakura's first job. response:	What?
context: What's that?\It's a Clow Card.\Ah?\That looks like the Fly card.\This is no time to be impressed, can't you hurry?\And do what?\Card Captor Sakura's first job.\What? response:	Why in my pajamas?
context: It's a Clow Card.\Ah?\That looks like the Fly card.\This is no time to be impressed, can't you hurry?\And do what?\Card Captor Sakura's first job.\What?\Why in my pajamas? response:	Is that what the only Card Captor
context: Ah?\That looks like the Fly card.\This is no time to be impressed, can't you hurry?\And do what?\Card Captor Sakura's first job.\What?\Why in my pajamas?\Is that what the only Card Captor response:	in the world would say?
context: That looks like the Fly card.\This is no time to be impressed, can't you hurry?\And do what?\Card Captor Sakura's first job.\What?\Why in my pajamas?\Is that what the only Card Captor\in the world would say? response:	Something that big is impossible.
context: This is no time to be impressed, can't you hurry?\And do what?\Card Captor Sakura's first job.\What?\Why in my pajamas?\Is that what the only Card Captor\in the world would say?\Something that big is impossible. response:	You trying to be cute?
context: And do what?\Card Captor Sakura's first job.\What?\Why in my pajamas?\Is that what the only Card Captor\in the world would say?\Something that big is impossible.\You trying to be cute? response:	Sakura, magic!
context: Card Captor Sakura's first job.\What?\Why in my pajamas?\Is that what the only Card Captor\in the world would say?\Something that big is impossible.\You trying to be cute?\Sakura, magic! response:	Eh?
context: What?\Why in my pajamas?\Is that what the only Card Captor\in the world would say?\Something that big is impossible.\You trying to be cute?\Sakura, magic!\Eh? response:	The key, use it like I showed you earlier.
context: Why in my pajamas?\Is that what the only Card Captor\in the world would say?\Something that big is impossible.\You trying to be cute?\Sakura, magic!\Eh?\The key, use it like I showed you earlier. response:	Key which hides the powers of dark'
context: Is that what the only Card Captor\in the world would say?\Something that big is impossible.\You trying to be cute?\Sakura, magic!\Eh?\The key, use it like I showed you earlier.\Key which hides the powers of dark' response:	Show your true power before me.
context: in the world would say?\Something that big is impossible.\You trying to be cute?\Sakura, magic!\Eh?\The key, use it like I showed you earlier.\Key which hides the powers of dark'\Show your true power before me. response:	Under the contract Sakura commands you.
context: Something that big is impossible.\You trying to be cute?\Sakura, magic!\Eh?\The key, use it like I showed you earlier.\Key which hides the powers of dark'\Show your true power before me.\Under the contract Sakura commands you. response:	Release!
context: You trying to be cute?\Sakura, magic!\Eh?\The key, use it like I showed you earlier.\Key which hides the powers of dark'\Show your true power before me.\Under the contract Sakura commands you.\Release! response:	Listen Sakura,
context: Sakura, magic!\Eh?\The key, use it like I showed you earlier.\Key which hides the powers of dark'\Show your true power before me.\Under the contract Sakura commands you.\Release!\Listen Sakura, response:	the Fly card originates from the wind,
context: Eh?\The key, use it like I showed you earlier.\Key which hides the powers of dark'\Show your true power before me.\Under the contract Sakura commands you.\Release!\Listen Sakura,\the Fly card originates from the wind, response:	you should be able to catch it with the Windy you have now.
context: The key, use it like I showed you earlier.\Key which hides the powers of dark'\Show your true power before me.\Under the contract Sakura commands you.\Release!\Listen Sakura,\the Fly card originates from the wind,\you should be able to catch it with the Windy you have now. response:	I wonder.
context: Key which hides the powers of dark'\Show your true power before me.\Under the contract Sakura commands you.\Release!\Listen Sakura,\the Fly card originates from the wind,\you should be able to catch it with the Windy you have now.\I wonder. response:	Anyways, if we don't get a little closer'
context: Show your true power before me.\Under the contract Sakura commands you.\Release!\Listen Sakura,\the Fly card originates from the wind,\you should be able to catch it with the Windy you have now.\I wonder.\Anyways, if we don't get a little closer' response:	What should I do? It came at us.
context: Under the contract Sakura commands you.\Release!\Listen Sakura,\the Fly card originates from the wind,\you should be able to catch it with the Windy you have now.\I wonder.\Anyways, if we don't get a little closer'\What should I do? It came at us. response:	Sakura, the Windy card.
context: Release!\Listen Sakura,\the Fly card originates from the wind,\you should be able to catch it with the Windy you have now.\I wonder.\Anyways, if we don't get a little closer'\What should I do? It came at us.\Sakura, the Windy card. response:	Oh, no. Here it comes again.
context: Listen Sakura,\the Fly card originates from the wind,\you should be able to catch it with the Windy you have now.\I wonder.\Anyways, if we don't get a little closer'\What should I do? It came at us.\Sakura, the Windy card.\Oh, no. Here it comes again. response:	Hurry and use the Windy card.
context: the Fly card originates from the wind,\you should be able to catch it with the Windy you have now.\I wonder.\Anyways, if we don't get a little closer'\What should I do? It came at us.\Sakura, the Windy card.\Oh, no. Here it comes again.\Hurry and use the Windy card. response:	But like this'
context: you should be able to catch it with the Windy you have now.\I wonder.\Anyways, if we don't get a little closer'\What should I do? It came at us.\Sakura, the Windy card.\Oh, no. Here it comes again.\Hurry and use the Windy card.\But like this' response:	It's impossible.
context: I wonder.\Anyways, if we don't get a little closer'\What should I do? It came at us.\Sakura, the Windy card.\Oh, no. Here it comes again.\Hurry and use the Windy card.\But like this'\It's impossible. response:	Isn't it a Card Captor's job to do something about that?
context: Anyways, if we don't get a little closer'\What should I do? It came at us.\Sakura, the Windy card.\Oh, no. Here it comes again.\Hurry and use the Windy card.\But like this'\It's impossible.\Isn't it a Card Captor's job to do something about that? response:	Something?
context: What should I do? It came at us.\Sakura, the Windy card.\Oh, no. Here it comes again.\Hurry and use the Windy card.\But like this'\It's impossible.\Isn't it a Card Captor's job to do something about that?\Something? response:	There may be something I can do.
context: Sakura, the Windy card.\Oh, no. Here it comes again.\Hurry and use the Windy card.\But like this'\It's impossible.\Isn't it a Card Captor's job to do something about that?\Something?\There may be something I can do. response:	What are you planning?
context: Oh, no. Here it comes again.\Hurry and use the Windy card.\But like this'\It's impossible.\Isn't it a Card Captor's job to do something about that?\Something?\There may be something I can do.\What are you planning? response:	Sakura.
context: Hurry and use the Windy card.\But like this'\It's impossible.\Isn't it a Card Captor's job to do something about that?\Something?\There may be something I can do.\What are you planning?\Sakura. response:	Sakura!
context: But like this'\It's impossible.\Isn't it a Card Captor's job to do something about that?\Something?\There may be something I can do.\What are you planning?\Sakura.\Sakura! response:	Wind
context: It's impossible.\Isn't it a Card Captor's job to do something about that?\Something?\There may be something I can do.\What are you planning?\Sakura.\Sakura!\Wind response:	Please become the chains that bind.
context: Isn't it a Card Captor's job to do something about that?\Something?\There may be something I can do.\What are you planning?\Sakura.\Sakura!\Wind\Please become the chains that bind. response:	Windy.
context: Something?\There may be something I can do.\What are you planning?\Sakura.\Sakura!\Wind\Please become the chains that bind.\Windy. response:	Return to your rightful form,
context: There may be something I can do.\What are you planning?\Sakura.\Sakura!\Wind\Please become the chains that bind.\Windy.\Return to your rightful form, response:	Clow Card.
context: What are you planning?\Sakura.\Sakura!\Wind\Please become the chains that bind.\Windy.\Return to your rightful form,\Clow Card. response:	You did great, Sakura.
context: Sakura.\Sakura!\Wind\Please become the chains that bind.\Windy.\Return to your rightful form,\Clow Card.\You did great, Sakura. response:	I thought I would die.
context: Sakura!\Wind\Please become the chains that bind.\Windy.\Return to your rightful form,\Clow Card.\You did great, Sakura.\I thought I would die. response:	Just what I would expect from my chosen Card Captor.
context: Wind\Please become the chains that bind.\Windy.\Return to your rightful form,\Clow Card.\You did great, Sakura.\I thought I would die.\Just what I would expect from my chosen Card Captor. response:	I never said I would do it.
context: Please become the chains that bind.\Windy.\Return to your rightful form,\Clow Card.\You did great, Sakura.\I thought I would die.\Just what I would expect from my chosen Card Captor.\I never said I would do it. response:	The more you experience in life
context: Windy.\Return to your rightful form,\Clow Card.\You did great, Sakura.\I thought I would die.\Just what I would expect from my chosen Card Captor.\I never said I would do it.\The more you experience in life response:	the better person you will become.
context: Return to your rightful form,\Clow Card.\You did great, Sakura.\I thought I would die.\Just what I would expect from my chosen Card Captor.\I never said I would do it.\The more you experience in life\the better person you will become. response:	Well, you went through all the trouble to capture it,
context: Clow Card.\You did great, Sakura.\I thought I would die.\Just what I would expect from my chosen Card Captor.\I never said I would do it.\The more you experience in life\the better person you will become.\Well, you went through all the trouble to capture it, response:	go ahead and hit it.
