context: It seems Romalia has already response:	dispatched a fleet to counter ours.
context: Please help us lead everyone into the cathedral.\Look!\It's Tabitha and Louise!\Air Cutter!\It's fast!\It looks like they're chasing the gargoyle.\The gargoyles caused that explosion a while ago.\I'm afraid that one will do the same. response:	Those two are trying to stop it!
context: Look!\It's Tabitha and Louise!\Air Cutter!\It's fast!\It looks like they're chasing the gargoyle.\The gargoyles caused that explosion a while ago.\I'm afraid that one will do the same.\Those two are trying to stop it! response:	Why you...
context: It's Tabitha and Louise!\Air Cutter!\It's fast!\It looks like they're chasing the gargoyle.\The gargoyles caused that explosion a while ago.\I'm afraid that one will do the same.\Those two are trying to stop it!\Why you... response:	Hey, pal, this is never going to end.
context: Air Cutter!\It's fast!\It looks like they're chasing the gargoyle.\The gargoyles caused that explosion a while ago.\I'm afraid that one will do the same.\Those two are trying to stop it!\Why you...\Hey, pal, this is never going to end. response:	I know that, but...
context: It's fast!\It looks like they're chasing the gargoyle.\The gargoyles caused that explosion a while ago.\I'm afraid that one will do the same.\Those two are trying to stop it!\Why you...\Hey, pal, this is never going to end.\I know that, but... response:	The gargoyles get their power from Myozunitonirun.
context: It looks like they're chasing the gargoyle.\The gargoyles caused that explosion a while ago.\I'm afraid that one will do the same.\Those two are trying to stop it!\Why you...\Hey, pal, this is never going to end.\I know that, but...\The gargoyles get their power from Myozunitonirun. response:	I won't get anywhere, until I can get some hits on her.
context: The gargoyles caused that explosion a while ago.\I'm afraid that one will do the same.\Those two are trying to stop it!\Why you...\Hey, pal, this is never going to end.\I know that, but...\The gargoyles get their power from Myozunitonirun.\I won't get anywhere, until I can get some hits on her. response:	This is one of those out of place relics
context: I'm afraid that one will do the same.\Those two are trying to stop it!\Why you...\Hey, pal, this is never going to end.\I know that, but...\The gargoyles get their power from Myozunitonirun.\I won't get anywhere, until I can get some hits on her.\This is one of those out of place relics response:	that are kept in Romalia.
context: Those two are trying to stop it!\Why you...\Hey, pal, this is never going to end.\I know that, but...\The gargoyles get their power from Myozunitonirun.\I won't get anywhere, until I can get some hits on her.\This is one of those out of place relics\that are kept in Romalia. response:	Make good use of it, Gandalfr.
context: Why you...\Hey, pal, this is never going to end.\I know that, but...\The gargoyles get their power from Myozunitonirun.\I won't get anywhere, until I can get some hits on her.\This is one of those out of place relics\that are kept in Romalia.\Make good use of it, Gandalfr. response:	Okay...
context: Hey, pal, this is never going to end.\I know that, but...\The gargoyles get their power from Myozunitonirun.\I won't get anywhere, until I can get some hits on her.\This is one of those out of place relics\that are kept in Romalia.\Make good use of it, Gandalfr.\Okay... response:	Th-That's a...
context: I know that, but...\The gargoyles get their power from Myozunitonirun.\I won't get anywhere, until I can get some hits on her.\This is one of those out of place relics\that are kept in Romalia.\Make good use of it, Gandalfr.\Okay...\Th-That's a... response:	I don't have time to fight you right now.
context: The gargoyles get their power from Myozunitonirun.\I won't get anywhere, until I can get some hits on her.\This is one of those out of place relics\that are kept in Romalia.\Make good use of it, Gandalfr.\Okay...\Th-That's a...\I don't have time to fight you right now. response:	They're having a hard time of it.
context: I won't get anywhere, until I can get some hits on her.\This is one of those out of place relics\that are kept in Romalia.\Make good use of it, Gandalfr.\Okay...\Th-That's a...\I don't have time to fight you right now.\They're having a hard time of it. response:	I can't bear to watch
context: This is one of those out of place relics\that are kept in Romalia.\Make good use of it, Gandalfr.\Okay...\Th-That's a...\I don't have time to fight you right now.\They're having a hard time of it.\I can't bear to watch response:	knowing that I can't do anything.
context: that are kept in Romalia.\Make good use of it, Gandalfr.\Okay...\Th-That's a...\I don't have time to fight you right now.\They're having a hard time of it.\I can't bear to watch\knowing that I can't do anything. response:	Miss Westwood!
context: Make good use of it, Gandalfr.\Okay...\Th-That's a...\I don't have time to fight you right now.\They're having a hard time of it.\I can't bear to watch\knowing that I can't do anything.\Miss Westwood! response:	There is something you can do!
context: Okay...\Th-That's a...\I don't have time to fight you right now.\They're having a hard time of it.\I can't bear to watch\knowing that I can't do anything.\Miss Westwood!\There is something you can do! response:	Wasn't there that time when you
context: Th-That's a...\I don't have time to fight you right now.\They're having a hard time of it.\I can't bear to watch\knowing that I can't do anything.\Miss Westwood!\There is something you can do!\Wasn't there that time when you response:	made everyone forget all those things with magic?
context: I don't have time to fight you right now.\They're having a hard time of it.\I can't bear to watch\knowing that I can't do anything.\Miss Westwood!\There is something you can do!\Wasn't there that time when you\made everyone forget all those things with magic? response:	I understand.
context: They're having a hard time of it.\I can't bear to watch\knowing that I can't do anything.\Miss Westwood!\There is something you can do!\Wasn't there that time when you\made everyone forget all those things with magic?\I understand. response:	I'll try!
context: I can't bear to watch\knowing that I can't do anything.\Miss Westwood!\There is something you can do!\Wasn't there that time when you\made everyone forget all those things with magic?\I understand.\I'll try! response:	Naucid is eywath,
context: knowing that I can't do anything.\Miss Westwood!\There is something you can do!\Wasn't there that time when you\made everyone forget all those things with magic?\I understand.\I'll try!\Naucid is eywath, response:	hagraz yul beog,
context: Miss Westwood!\There is something you can do!\Wasn't there that time when you\made everyone forget all those things with magic?\I understand.\I'll try!\Naucid is eywath,\hagraz yul beog, response:	nied ees algihz,
context: There is something you can do!\Wasn't there that time when you\made everyone forget all those things with magic?\I understand.\I'll try!\Naucid is eywath,\hagraz yul beog,\nied ees algihz, response:	berkana man ragu!
context: Wasn't there that time when you\made everyone forget all those things with magic?\I understand.\I'll try!\Naucid is eywath,\hagraz yul beog,\nied ees algihz,\berkana man ragu! response:	You did it!
context: made everyone forget all those things with magic?\I understand.\I'll try!\Naucid is eywath,\hagraz yul beog,\nied ees algihz,\berkana man ragu!\You did it! response:	I'm going back to Joseph's ship. You should get off here.
context: I understand.\I'll try!\Naucid is eywath,\hagraz yul beog,\nied ees algihz,\berkana man ragu!\You did it!\I'm going back to Joseph's ship. You should get off here. response:	No, I'm going, too.
context: I'll try!\Naucid is eywath,\hagraz yul beog,\nied ees algihz,\berkana man ragu!\You did it!\I'm going back to Joseph's ship. You should get off here.\No, I'm going, too. response:	I want to be at Saito's side!
context: Naucid is eywath,\hagraz yul beog,\nied ees algihz,\berkana man ragu!\You did it!\I'm going back to Joseph's ship. You should get off here.\No, I'm going, too.\I want to be at Saito's side! response:	Fine.
context: hagraz yul beog,\nied ees algihz,\berkana man ragu!\You did it!\I'm going back to Joseph's ship. You should get off here.\No, I'm going, too.\I want to be at Saito's side!\Fine. response:	Beozus yul sviel kan oshel...
context: nied ees algihz,\berkana man ragu!\You did it!\I'm going back to Joseph's ship. You should get off here.\No, I'm going, too.\I want to be at Saito's side!\Fine.\Beozus yul sviel kan oshel... response:	Joseph!
context: berkana man ragu!\You did it!\I'm going back to Joseph's ship. You should get off here.\No, I'm going, too.\I want to be at Saito's side!\Fine.\Beozus yul sviel kan oshel...\Joseph! response:	Stop casting!
context: You did it!\I'm going back to Joseph's ship. You should get off here.\No, I'm going, too.\I want to be at Saito's side!\Fine.\Beozus yul sviel kan oshel...\Joseph!\Stop casting! response:	Gandalfr.
context: I'm going back to Joseph's ship. You should get off here.\No, I'm going, too.\I want to be at Saito's side!\Fine.\Beozus yul sviel kan oshel...\Joseph!\Stop casting!\Gandalfr. response:	Are you going to kill me?
context: No, I'm going, too.\I want to be at Saito's side!\Fine.\Beozus yul sviel kan oshel...\Joseph!\Stop casting!\Gandalfr.\Are you going to kill me? response:	You won't be blowing up anything else.
context: I want to be at Saito's side!\Fine.\Beozus yul sviel kan oshel...\Joseph!\Stop casting!\Gandalfr.\Are you going to kill me?\You won't be blowing up anything else. response:	I'm going to protect the city and everyone in it!
context: Fine.\Beozus yul sviel kan oshel...\Joseph!\Stop casting!\Gandalfr.\Are you going to kill me?\You won't be blowing up anything else.\I'm going to protect the city and everyone in it! response:	That's all there is to it!
context: Beozus yul sviel kan oshel...\Joseph!\Stop casting!\Gandalfr.\Are you going to kill me?\You won't be blowing up anything else.\I'm going to protect the city and everyone in it!\That's all there is to it! response:	There's so much honesty in your eyes, it's almost blinding.
context: Joseph!\Stop casting!\Gandalfr.\Are you going to kill me?\You won't be blowing up anything else.\I'm going to protect the city and everyone in it!\That's all there is to it!\There's so much honesty in your eyes, it's almost blinding. response:	I was like you once.
context: Stop casting!\Gandalfr.\Are you going to kill me?\You won't be blowing up anything else.\I'm going to protect the city and everyone in it!\That's all there is to it!\There's so much honesty in your eyes, it's almost blinding.\I was like you once. response:	I suppose there's no going back now.
context: Gandalfr.\Are you going to kill me?\You won't be blowing up anything else.\I'm going to protect the city and everyone in it!\That's all there is to it!\There's so much honesty in your eyes, it's almost blinding.\I was like you once.\I suppose there's no going back now. response:	What?
context: Are you going to kill me?\You won't be blowing up anything else.\I'm going to protect the city and everyone in it!\That's all there is to it!\There's so much honesty in your eyes, it's almost blinding.\I was like you once.\I suppose there's no going back now.\What? response:	That thing is useless against me.
context: You won't be blowing up anything else.\I'm going to protect the city and everyone in it!\That's all there is to it!\There's so much honesty in your eyes, it's almost blinding.\I was like you once.\I suppose there's no going back now.\What?\That thing is useless against me. response:	This is the Void Magic that was bestowed upon me.
context: I'm going to protect the city and everyone in it!\That's all there is to it!\There's so much honesty in your eyes, it's almost blinding.\I was like you once.\I suppose there's no going back now.\What?\That thing is useless against me.\This is the Void Magic that was bestowed upon me. response:	It's called Acceleration.
context: That's all there is to it!\There's so much honesty in your eyes, it's almost blinding.\I was like you once.\I suppose there's no going back now.\What?\That thing is useless against me.\This is the Void Magic that was bestowed upon me.\It's called Acceleration. response:	For what purpose did God grant me this spell?
context: There's so much honesty in your eyes, it's almost blinding.\I was like you once.\I suppose there's no going back now.\What?\That thing is useless against me.\This is the Void Magic that was bestowed upon me.\It's called Acceleration.\For what purpose did God grant me this spell? response:	It's as if he's urging me to hurry.
context: I was like you once.\I suppose there's no going back now.\What?\That thing is useless against me.\This is the Void Magic that was bestowed upon me.\It's called Acceleration.\For what purpose did God grant me this spell?\It's as if he's urging me to hurry. response:	Now...
context: I suppose there's no going back now.\What?\That thing is useless against me.\This is the Void Magic that was bestowed upon me.\It's called Acceleration.\For what purpose did God grant me this spell?\It's as if he's urging me to hurry.\Now... response:	I must be getting back to the task at hand.
context: What?\That thing is useless against me.\This is the Void Magic that was bestowed upon me.\It's called Acceleration.\For what purpose did God grant me this spell?\It's as if he's urging me to hurry.\Now...\I must be getting back to the task at hand. response:	Pal, if he gets you with that, you're done for.
context: That thing is useless against me.\This is the Void Magic that was bestowed upon me.\It's called Acceleration.\For what purpose did God grant me this spell?\It's as if he's urging me to hurry.\Now...\I must be getting back to the task at hand.\Pal, if he gets you with that, you're done for. response:	Pal...?
context: This is the Void Magic that was bestowed upon me.\It's called Acceleration.\For what purpose did God grant me this spell?\It's as if he's urging me to hurry.\Now...\I must be getting back to the task at hand.\Pal, if he gets you with that, you're done for.\Pal...? response:	In my world, we have an expression, the mind's eye.
context: It's called Acceleration.\For what purpose did God grant me this spell?\It's as if he's urging me to hurry.\Now...\I must be getting back to the task at hand.\Pal, if he gets you with that, you're done for.\Pal...?\In my world, we have an expression, the mind's eye. response:	I'll use that to track your movements, Joseph!
context: For what purpose did God grant me this spell?\It's as if he's urging me to hurry.\Now...\I must be getting back to the task at hand.\Pal, if he gets you with that, you're done for.\Pal...?\In my world, we have an expression, the mind's eye.\I'll use that to track your movements, Joseph! response:	Why don't you try it?
context: It's as if he's urging me to hurry.\Now...\I must be getting back to the task at hand.\Pal, if he gets you with that, you're done for.\Pal...?\In my world, we have an expression, the mind's eye.\I'll use that to track your movements, Joseph!\Why don't you try it? response:	So, is this the great mind's eye?
context: Now...\I must be getting back to the task at hand.\Pal, if he gets you with that, you're done for.\Pal...?\In my world, we have an expression, the mind's eye.\I'll use that to track your movements, Joseph!\Why don't you try it?\So, is this the great mind's eye? response:	Gotcha.
context: I must be getting back to the task at hand.\Pal, if he gets you with that, you're done for.\Pal...?\In my world, we have an expression, the mind's eye.\I'll use that to track your movements, Joseph!\Why don't you try it?\So, is this the great mind's eye?\Gotcha. response:	I don't have to be Gandalfr to learn how to use this.
context: Pal, if he gets you with that, you're done for.\Pal...?\In my world, we have an expression, the mind's eye.\I'll use that to track your movements, Joseph!\Why don't you try it?\So, is this the great mind's eye?\Gotcha.\I don't have to be Gandalfr to learn how to use this. response:	Which do you think is faster, your sword, or mine?
context: Pal...?\In my world, we have an expression, the mind's eye.\I'll use that to track your movements, Joseph!\Why don't you try it?\So, is this the great mind's eye?\Gotcha.\I don't have to be Gandalfr to learn how to use this.\Which do you think is faster, your sword, or mine? response:	Explosion!
context: In my world, we have an expression, the mind's eye.\I'll use that to track your movements, Joseph!\Why don't you try it?\So, is this the great mind's eye?\Gotcha.\I don't have to be Gandalfr to learn how to use this.\Which do you think is faster, your sword, or mine?\Explosion! response:	Windy Icicles!
context: I'll use that to track your movements, Joseph!\Why don't you try it?\So, is this the great mind's eye?\Gotcha.\I don't have to be Gandalfr to learn how to use this.\Which do you think is faster, your sword, or mine?\Explosion!\Windy Icicles! response:	Saito!
context: Why don't you try it?\So, is this the great mind's eye?\Gotcha.\I don't have to be Gandalfr to learn how to use this.\Which do you think is faster, your sword, or mine?\Explosion!\Windy Icicles!\Saito! response:	Are you hurt?
context: So, is this the great mind's eye?\Gotcha.\I don't have to be Gandalfr to learn how to use this.\Which do you think is faster, your sword, or mine?\Explosion!\Windy Icicles!\Saito!\Are you hurt? response:	I'm fine.
context: Gotcha.\I don't have to be Gandalfr to learn how to use this.\Which do you think is faster, your sword, or mine?\Explosion!\Windy Icicles!\Saito!\Are you hurt?\I'm fine. response:	I've gotten worse from you.
context: I don't have to be Gandalfr to learn how to use this.\Which do you think is faster, your sword, or mine?\Explosion!\Windy Icicles!\Saito!\Are you hurt?\I'm fine.\I've gotten worse from you. response:	You're such an idiot.
context: Which do you think is faster, your sword, or mine?\Explosion!\Windy Icicles!\Saito!\Are you hurt?\I'm fine.\I've gotten worse from you.\You're such an idiot. response:	Charlotte.
context: Explosion!\Windy Icicles!\Saito!\Are you hurt?\I'm fine.\I've gotten worse from you.\You're such an idiot.\Charlotte. response:	I see you inherited your father's magic powers.
context: Windy Icicles!\Saito!\Are you hurt?\I'm fine.\I've gotten worse from you.\You're such an idiot.\Charlotte.\I see you inherited your father's magic powers. response:	You killed my father and you broke my mother's heart.
context: Saito!\Are you hurt?\I'm fine.\I've gotten worse from you.\You're such an idiot.\Charlotte.\I see you inherited your father's magic powers.\You killed my father and you broke my mother's heart. response:	I will never forgive you for that.
context: Are you hurt?\I'm fine.\I've gotten worse from you.\You're such an idiot.\Charlotte.\I see you inherited your father's magic powers.\You killed my father and you broke my mother's heart.\I will never forgive you for that. response:	As you shouldn't.
context: I'm fine.\I've gotten worse from you.\You're such an idiot.\Charlotte.\I see you inherited your father's magic powers.\You killed my father and you broke my mother's heart.\I will never forgive you for that.\As you shouldn't. response:	Then do with me as you like.
context: I've gotten worse from you.\You're such an idiot.\Charlotte.\I see you inherited your father's magic powers.\You killed my father and you broke my mother's heart.\I will never forgive you for that.\As you shouldn't.\Then do with me as you like. response:	That is your right.
context: You're such an idiot.\Charlotte.\I see you inherited your father's magic powers.\You killed my father and you broke my mother's heart.\I will never forgive you for that.\As you shouldn't.\Then do with me as you like.\That is your right. response:	Tabitha, you shouldn't!
context: Charlotte.\I see you inherited your father's magic powers.\You killed my father and you broke my mother's heart.\I will never forgive you for that.\As you shouldn't.\Then do with me as you like.\That is your right.\Tabitha, you shouldn't! response:	There's no need for you to have his blood on your hands!
context: I see you inherited your father's magic powers.\You killed my father and you broke my mother's heart.\I will never forgive you for that.\As you shouldn't.\Then do with me as you like.\That is your right.\Tabitha, you shouldn't!\There's no need for you to have his blood on your hands! response:	But...
context: You killed my father and you broke my mother's heart.\I will never forgive you for that.\As you shouldn't.\Then do with me as you like.\That is your right.\Tabitha, you shouldn't!\There's no need for you to have his blood on your hands!\But... response:	I can't forgive him.
context: I will never forgive you for that.\As you shouldn't.\Then do with me as you like.\That is your right.\Tabitha, you shouldn't!\There's no need for you to have his blood on your hands!\But...\I can't forgive him. response:	Saito, you've got to stop her!
context: As you shouldn't.\Then do with me as you like.\That is your right.\Tabitha, you shouldn't!\There's no need for you to have his blood on your hands!\But...\I can't forgive him.\Saito, you've got to stop her! response:	This is her decision.
context: Then do with me as you like.\That is your right.\Tabitha, you shouldn't!\There's no need for you to have his blood on your hands!\But...\I can't forgive him.\Saito, you've got to stop her!\This is her decision. response:	But, Saito!
context: That is your right.\Tabitha, you shouldn't!\There's no need for you to have his blood on your hands!\But...\I can't forgive him.\Saito, you've got to stop her!\This is her decision.\But, Saito! response:	Even if she sullies her hands,
context: Tabitha, you shouldn't!\There's no need for you to have his blood on your hands!\But...\I can't forgive him.\Saito, you've got to stop her!\This is her decision.\But, Saito!\Even if she sullies her hands, response:	she has to decide this for herself.
context: There's no need for you to have his blood on your hands!\But...\I can't forgive him.\Saito, you've got to stop her!\This is her decision.\But, Saito!\Even if she sullies her hands,\she has to decide this for herself. response:	Isn't that right?
context: But...\I can't forgive him.\Saito, you've got to stop her!\This is her decision.\But, Saito!\Even if she sullies her hands,\she has to decide this for herself.\Isn't that right? response:	You're the one who has to decide.
context: I can't forgive him.\Saito, you've got to stop her!\This is her decision.\But, Saito!\Even if she sullies her hands,\she has to decide this for herself.\Isn't that right?\You're the one who has to decide. response:	Either way, I'll respect your decision.
context: Saito, you've got to stop her!\This is her decision.\But, Saito!\Even if she sullies her hands,\she has to decide this for herself.\Isn't that right?\You're the one who has to decide.\Either way, I'll respect your decision. response:	I'll hand him over to Romalia.
context: This is her decision.\But, Saito!\Even if she sullies her hands,\she has to decide this for herself.\Isn't that right?\You're the one who has to decide.\Either way, I'll respect your decision.\I'll hand him over to Romalia. response:	If you're treated right away, you'll live.
context: But, Saito!\Even if she sullies her hands,\she has to decide this for herself.\Isn't that right?\You're the one who has to decide.\Either way, I'll respect your decision.\I'll hand him over to Romalia.\If you're treated right away, you'll live. response:	Live, and atone for your sins!
context: Even if she sullies her hands,\she has to decide this for herself.\Isn't that right?\You're the one who has to decide.\Either way, I'll respect your decision.\I'll hand him over to Romalia.\If you're treated right away, you'll live.\Live, and atone for your sins! response:	Tabitha!
context: she has to decide this for herself.\Isn't that right?\You're the one who has to decide.\Either way, I'll respect your decision.\I'll hand him over to Romalia.\If you're treated right away, you'll live.\Live, and atone for your sins!\Tabitha! response:	I won't allow King Joseph to be
context: Isn't that right?\You're the one who has to decide.\Either way, I'll respect your decision.\I'll hand him over to Romalia.\If you're treated right away, you'll live.\Live, and atone for your sins!\Tabitha!\I won't allow King Joseph to be response:	subjected to something so degrading!
context: You're the one who has to decide.\Either way, I'll respect your decision.\I'll hand him over to Romalia.\If you're treated right away, you'll live.\Live, and atone for your sins!\Tabitha!\I won't allow King Joseph to be\subjected to something so degrading! response:	You!
context: Either way, I'll respect your decision.\I'll hand him over to Romalia.\If you're treated right away, you'll live.\Live, and atone for your sins!\Tabitha!\I won't allow King Joseph to be\subjected to something so degrading!\You! response:	Stand back!
context: I'll hand him over to Romalia.\If you're treated right away, you'll live.\Live, and atone for your sins!\Tabitha!\I won't allow King Joseph to be\subjected to something so degrading!\You!\Stand back! response:	The incantation was almost complete.
context: If you're treated right away, you'll live.\Live, and atone for your sins!\Tabitha!\I won't allow King Joseph to be\subjected to something so degrading!\You!\Stand back!\The incantation was almost complete. response:	From here, even my own power is enough to make it explode.
context: Live, and atone for your sins!\Tabitha!\I won't allow King Joseph to be\subjected to something so degrading!\You!\Stand back!\The incantation was almost complete.\From here, even my own power is enough to make it explode. response:	My lord's life is rapidly fading away.
context: Tabitha!\I won't allow King Joseph to be\subjected to something so degrading!\You!\Stand back!\The incantation was almost complete.\From here, even my own power is enough to make it explode.\My lord's life is rapidly fading away. response:	Please, leave me alone with him...
context: I won't allow King Joseph to be\subjected to something so degrading!\You!\Stand back!\The incantation was almost complete.\From here, even my own power is enough to make it explode.\My lord's life is rapidly fading away.\Please, leave me alone with him... response:	Damn it.
context: subjected to something so degrading!\You!\Stand back!\The incantation was almost complete.\From here, even my own power is enough to make it explode.\My lord's life is rapidly fading away.\Please, leave me alone with him...\Damn it. response:	We had them cornered, and then we let them get away!
context: You!\Stand back!\The incantation was almost complete.\From here, even my own power is enough to make it explode.\My lord's life is rapidly fading away.\Please, leave me alone with him...\Damn it.\We had them cornered, and then we let them get away! response:	It's better this way.
context: Stand back!\The incantation was almost complete.\From here, even my own power is enough to make it explode.\My lord's life is rapidly fading away.\Please, leave me alone with him...\Damn it.\We had them cornered, and then we let them get away!\It's better this way. response:	Let's go home, Saito.
context: The incantation was almost complete.\From here, even my own power is enough to make it explode.\My lord's life is rapidly fading away.\Please, leave me alone with him...\Damn it.\We had them cornered, and then we let them get away!\It's better this way.\Let's go home, Saito. response:	Louise.
context: From here, even my own power is enough to make it explode.\My lord's life is rapidly fading away.\Please, leave me alone with him...\Damn it.\We had them cornered, and then we let them get away!\It's better this way.\Let's go home, Saito.\Louise. response:	We haven't kissed since the contract, my lord.
context: My lord's life is rapidly fading away.\Please, leave me alone with him...\Damn it.\We had them cornered, and then we let them get away!\It's better this way.\Let's go home, Saito.\Louise.\We haven't kissed since the contract, my lord. response:	I'm returning this to you.
context: Please, leave me alone with him...\Damn it.\We had them cornered, and then we let them get away!\It's better this way.\Let's go home, Saito.\Louise.\We haven't kissed since the contract, my lord.\I'm returning this to you. response:	For your actions, I'd like to
context: Damn it.\We had them cornered, and then we let them get away!\It's better this way.\Let's go home, Saito.\Louise.\We haven't kissed since the contract, my lord.\I'm returning this to you.\For your actions, I'd like to response:	thank you from the bottom of my heart,
context: We had them cornered, and then we let them get away!\It's better this way.\Let's go home, Saito.\Louise.\We haven't kissed since the contract, my lord.\I'm returning this to you.\For your actions, I'd like to\thank you from the bottom of my heart, response:	Miss Valliere,
context: It's better this way.\Let's go home, Saito.\Louise.\We haven't kissed since the contract, my lord.\I'm returning this to you.\For your actions, I'd like to\thank you from the bottom of my heart,\Miss Valliere, response:	Miss Tabitha,
context: Let's go home, Saito.\Louise.\We haven't kissed since the contract, my lord.\I'm returning this to you.\For your actions, I'd like to\thank you from the bottom of my heart,\Miss Valliere,\Miss Tabitha, response:	and you, Saito Chevalier de Hiraga.
context: Louise.\We haven't kissed since the contract, my lord.\I'm returning this to you.\For your actions, I'd like to\thank you from the bottom of my heart,\Miss Valliere,\Miss Tabitha,\and you, Saito Chevalier de Hiraga. response:	How are your wounds, Saito?
context: We haven't kissed since the contract, my lord.\I'm returning this to you.\For your actions, I'd like to\thank you from the bottom of my heart,\Miss Valliere,\Miss Tabitha,\and you, Saito Chevalier de Hiraga.\How are your wounds, Saito? response:	Great, thanks to your healing magic, Princess!
context: I'm returning this to you.\For your actions, I'd like to\thank you from the bottom of my heart,\Miss Valliere,\Miss Tabitha,\and you, Saito Chevalier de Hiraga.\How are your wounds, Saito?\Great, thanks to your healing magic, Princess! response:	That's good to hear.
context: For your actions, I'd like to\thank you from the bottom of my heart,\Miss Valliere,\Miss Tabitha,\and you, Saito Chevalier de Hiraga.\How are your wounds, Saito?\Great, thanks to your healing magic, Princess!\That's good to hear. response:	Julio, that pistol you gave me came in handy.
context: thank you from the bottom of my heart,\Miss Valliere,\Miss Tabitha,\and you, Saito Chevalier de Hiraga.\How are your wounds, Saito?\Great, thanks to your healing magic, Princess!\That's good to hear.\Julio, that pistol you gave me came in handy. response:	Did it?
context: Miss Valliere,\Miss Tabitha,\and you, Saito Chevalier de Hiraga.\How are your wounds, Saito?\Great, thanks to your healing magic, Princess!\That's good to hear.\Julio, that pistol you gave me came in handy.\Did it? response:	I'm glad to hear that.
context: Miss Tabitha,\and you, Saito Chevalier de Hiraga.\How are your wounds, Saito?\Great, thanks to your healing magic, Princess!\That's good to hear.\Julio, that pistol you gave me came in handy.\Did it?\I'm glad to hear that. response:	But you gave me that because you
context: and you, Saito Chevalier de Hiraga.\How are your wounds, Saito?\Great, thanks to your healing magic, Princess!\That's good to hear.\Julio, that pistol you gave me came in handy.\Did it?\I'm glad to hear that.\But you gave me that because you response:	wanted me to defeat Joseph, didn't you?
context: How are your wounds, Saito?\Great, thanks to your healing magic, Princess!\That's good to hear.\Julio, that pistol you gave me came in handy.\Did it?\I'm glad to hear that.\But you gave me that because you\wanted me to defeat Joseph, didn't you? response:	I couldn't help but think,
context: Great, thanks to your healing magic, Princess!\That's good to hear.\Julio, that pistol you gave me came in handy.\Did it?\I'm glad to hear that.\But you gave me that because you\wanted me to defeat Joseph, didn't you?\I couldn't help but think, response:	you make Louise into a shrine maiden,
context: That's good to hear.\Julio, that pistol you gave me came in handy.\Did it?\I'm glad to hear that.\But you gave me that because you\wanted me to defeat Joseph, didn't you?\I couldn't help but think,\you make Louise into a shrine maiden, response:	she gets kidnapped by Joseph.
context: Julio, that pistol you gave me came in handy.\Did it?\I'm glad to hear that.\But you gave me that because you\wanted me to defeat Joseph, didn't you?\I couldn't help but think,\you make Louise into a shrine maiden,\she gets kidnapped by Joseph. response:	I go to save her, and then
context: Did it?\I'm glad to hear that.\But you gave me that because you\wanted me to defeat Joseph, didn't you?\I couldn't help but think,\you make Louise into a shrine maiden,\she gets kidnapped by Joseph.\I go to save her, and then response:	I take Joseph down in the process.
context: I'm glad to hear that.\But you gave me that because you\wanted me to defeat Joseph, didn't you?\I couldn't help but think,\you make Louise into a shrine maiden,\she gets kidnapped by Joseph.\I go to save her, and then\I take Joseph down in the process. response:	Seemed like everything
context: But you gave me that because you\wanted me to defeat Joseph, didn't you?\I couldn't help but think,\you make Louise into a shrine maiden,\she gets kidnapped by Joseph.\I go to save her, and then\I take Joseph down in the process.\Seemed like everything response:	was going right according to your plans.
context: wanted me to defeat Joseph, didn't you?\I couldn't help but think,\you make Louise into a shrine maiden,\she gets kidnapped by Joseph.\I go to save her, and then\I take Joseph down in the process.\Seemed like everything\was going right according to your plans. response:	Saito! How can you say such a thing?!
context: I couldn't help but think,\you make Louise into a shrine maiden,\she gets kidnapped by Joseph.\I go to save her, and then\I take Joseph down in the process.\Seemed like everything\was going right according to your plans.\Saito! How can you say such a thing?! response:	Am I wrong, Your Holiness?
context: you make Louise into a shrine maiden,\she gets kidnapped by Joseph.\I go to save her, and then\I take Joseph down in the process.\Seemed like everything\was going right according to your plans.\Saito! How can you say such a thing?!\Am I wrong, Your Holiness? response:	Saito!
context: she gets kidnapped by Joseph.\I go to save her, and then\I take Joseph down in the process.\Seemed like everything\was going right according to your plans.\Saito! How can you say such a thing?!\Am I wrong, Your Holiness?\Saito! response:	Indeed, I can't deny it outright.
context: I go to save her, and then\I take Joseph down in the process.\Seemed like everything\was going right according to your plans.\Saito! How can you say such a thing?!\Am I wrong, Your Holiness?\Saito!\Indeed, I can't deny it outright. response:	We made a Void Mage into a shrine maiden,
context: I take Joseph down in the process.\Seemed like everything\was going right according to your plans.\Saito! How can you say such a thing?!\Am I wrong, Your Holiness?\Saito!\Indeed, I can't deny it outright.\We made a Void Mage into a shrine maiden, response:	not to convince him, but to provoke him.
context: Seemed like everything\was going right according to your plans.\Saito! How can you say such a thing?!\Am I wrong, Your Holiness?\Saito!\Indeed, I can't deny it outright.\We made a Void Mage into a shrine maiden,\not to convince him, but to provoke him. response:	We expected Joseph to do something.
context: was going right according to your plans.\Saito! How can you say such a thing?!\Am I wrong, Your Holiness?\Saito!\Indeed, I can't deny it outright.\We made a Void Mage into a shrine maiden,\not to convince him, but to provoke him.\We expected Joseph to do something. response:	No, we hoped he would.
context: Saito! How can you say such a thing?!\Am I wrong, Your Holiness?\Saito!\Indeed, I can't deny it outright.\We made a Void Mage into a shrine maiden,\not to convince him, but to provoke him.\We expected Joseph to do something.\No, we hoped he would. response:	If that happened,
