context: You've put on quite the amusing farce, but enough. response:	For the false Spear Hero
context: Meteor Shot!\Pope!\Those skills...\Looks like we made it in the nick of time.\Itsuki-sama!\Ren-sama!\You came back to life?\Don't just assume we're dead. response:	Hundred Swords!
context: Pope!\Those skills...\Looks like we made it in the nick of time.\Itsuki-sama!\Ren-sama!\You came back to life?\Don't just assume we're dead.\Hundred Swords! response:	Have half our magicians focus on generating the barrier.
context: Those skills...\Looks like we made it in the nick of time.\Itsuki-sama!\Ren-sama!\You came back to life?\Don't just assume we're dead.\Hundred Swords!\Have half our magicians focus on generating the barrier. response:	Are you sure?
context: Looks like we made it in the nick of time.\Itsuki-sama!\Ren-sama!\You came back to life?\Don't just assume we're dead.\Hundred Swords!\Have half our magicians focus on generating the barrier.\Are you sure? response:	It'll cause a long delay in the mana supply to the weapon.
context: Itsuki-sama!\Ren-sama!\You came back to life?\Don't just assume we're dead.\Hundred Swords!\Have half our magicians focus on generating the barrier.\Are you sure?\It'll cause a long delay in the mana supply to the weapon. response:	They'll need time, too.
context: Ren-sama!\You came back to life?\Don't just assume we're dead.\Hundred Swords!\Have half our magicians focus on generating the barrier.\Are you sure?\It'll cause a long delay in the mana supply to the weapon.\They'll need time, too. response:	Time to understand their sins
context: You came back to life?\Don't just assume we're dead.\Hundred Swords!\Have half our magicians focus on generating the barrier.\Are you sure?\It'll cause a long delay in the mana supply to the weapon.\They'll need time, too.\Time to understand their sins response:	and realize they must pray for the mercy of God.
context: Don't just assume we're dead.\Hundred Swords!\Have half our magicians focus on generating the barrier.\Are you sure?\It'll cause a long delay in the mana supply to the weapon.\They'll need time, too.\Time to understand their sins\and realize they must pray for the mercy of God. response:	As you say, Your Excellency.
context: Hundred Swords!\Have half our magicians focus on generating the barrier.\Are you sure?\It'll cause a long delay in the mana supply to the weapon.\They'll need time, too.\Time to understand their sins\and realize they must pray for the mercy of God.\As you say, Your Excellency. response:	That's annoying.
context: Have half our magicians focus on generating the barrier.\Are you sure?\It'll cause a long delay in the mana supply to the weapon.\They'll need time, too.\Time to understand their sins\and realize they must pray for the mercy of God.\As you say, Your Excellency.\That's annoying. response:	H-Hey, how are you guys here?
context: Are you sure?\It'll cause a long delay in the mana supply to the weapon.\They'll need time, too.\Time to understand their sins\and realize they must pray for the mercy of God.\As you say, Your Excellency.\That's annoying.\H-Hey, how are you guys here? response:	We did nearly get killed.
context: It'll cause a long delay in the mana supply to the weapon.\They'll need time, too.\Time to understand their sins\and realize they must pray for the mercy of God.\As you say, Your Excellency.\That's annoying.\H-Hey, how are you guys here?\We did nearly get killed. response:	But their attempt failed.
context: They'll need time, too.\Time to understand their sins\and realize they must pray for the mercy of God.\As you say, Your Excellency.\That's annoying.\H-Hey, how are you guys here?\We did nearly get killed.\But their attempt failed. response:	That's all.
context: Time to understand their sins\and realize they must pray for the mercy of God.\As you say, Your Excellency.\That's annoying.\H-Hey, how are you guys here?\We did nearly get killed.\But their attempt failed.\That's all. response:	That's all?
context: and realize they must pray for the mercy of God.\As you say, Your Excellency.\That's annoying.\H-Hey, how are you guys here?\We did nearly get killed.\But their attempt failed.\That's all.\That's all? response:	Itsuki and I didn't trust the Three Heroes Church.
context: As you say, Your Excellency.\That's annoying.\H-Hey, how are you guys here?\We did nearly get killed.\But their attempt failed.\That's all.\That's all?\Itsuki and I didn't trust the Three Heroes Church. response:	so we began investigating them in secret.
context: That's annoying.\H-Hey, how are you guys here?\We did nearly get killed.\But their attempt failed.\That's all.\That's all?\Itsuki and I didn't trust the Three Heroes Church.\so we began investigating them in secret. response:	One of our party members found a secret file in the Cathedral's archive.
context: H-Hey, how are you guys here?\We did nearly get killed.\But their attempt failed.\That's all.\That's all?\Itsuki and I didn't trust the Three Heroes Church.\so we began investigating them in secret.\One of our party members found a secret file in the Cathedral's archive. response:	It mentioned the existence of a replica of the Cardinal Weapons,
context: We did nearly get killed.\But their attempt failed.\That's all.\That's all?\Itsuki and I didn't trust the Three Heroes Church.\so we began investigating them in secret.\One of our party members found a secret file in the Cathedral's archive.\It mentioned the existence of a replica of the Cardinal Weapons, response:	so we decided to check out the place where it was hidden.
context: But their attempt failed.\That's all.\That's all?\Itsuki and I didn't trust the Three Heroes Church.\so we began investigating them in secret.\One of our party members found a secret file in the Cathedral's archive.\It mentioned the existence of a replica of the Cardinal Weapons,\so we decided to check out the place where it was hidden. response:	They must have not taken kindly to that.
context: That's all.\That's all?\Itsuki and I didn't trust the Three Heroes Church.\so we began investigating them in secret.\One of our party members found a secret file in the Cathedral's archive.\It mentioned the existence of a replica of the Cardinal Weapons,\so we decided to check out the place where it was hidden.\They must have not taken kindly to that. response:	The Three Heroes Church lured us to a fake shrine
context: That's all?\Itsuki and I didn't trust the Three Heroes Church.\so we began investigating them in secret.\One of our party members found a secret file in the Cathedral's archive.\It mentioned the existence of a replica of the Cardinal Weapons,\so we decided to check out the place where it was hidden.\They must have not taken kindly to that.\The Three Heroes Church lured us to a fake shrine response:	and tried to assassinate us.
context: Itsuki and I didn't trust the Three Heroes Church.\so we began investigating them in secret.\One of our party members found a secret file in the Cathedral's archive.\It mentioned the existence of a replica of the Cardinal Weapons,\so we decided to check out the place where it was hidden.\They must have not taken kindly to that.\The Three Heroes Church lured us to a fake shrine\and tried to assassinate us. response:	We barely escaped with our lives
context: so we began investigating them in secret.\One of our party members found a secret file in the Cathedral's archive.\It mentioned the existence of a replica of the Cardinal Weapons,\so we decided to check out the place where it was hidden.\They must have not taken kindly to that.\The Three Heroes Church lured us to a fake shrine\and tried to assassinate us.\We barely escaped with our lives response:	thanks to a squad that called themselves Shadows and said they served the Queen.
context: One of our party members found a secret file in the Cathedral's archive.\It mentioned the existence of a replica of the Cardinal Weapons,\so we decided to check out the place where it was hidden.\They must have not taken kindly to that.\The Three Heroes Church lured us to a fake shrine\and tried to assassinate us.\We barely escaped with our lives\thanks to a squad that called themselves Shadows and said they served the Queen. response:	Those women were also keeping tabs on Itsuki and Ren?
context: It mentioned the existence of a replica of the Cardinal Weapons,\so we decided to check out the place where it was hidden.\They must have not taken kindly to that.\The Three Heroes Church lured us to a fake shrine\and tried to assassinate us.\We barely escaped with our lives\thanks to a squad that called themselves Shadows and said they served the Queen.\Those women were also keeping tabs on Itsuki and Ren? response:	I think the Three Heroes Church were the ones who stole my reward.
context: so we decided to check out the place where it was hidden.\They must have not taken kindly to that.\The Three Heroes Church lured us to a fake shrine\and tried to assassinate us.\We barely escaped with our lives\thanks to a squad that called themselves Shadows and said they served the Queen.\Those women were also keeping tabs on Itsuki and Ren?\I think the Three Heroes Church were the ones who stole my reward. response:	You were framed, Naofumi-san.
context: They must have not taken kindly to that.\The Three Heroes Church lured us to a fake shrine\and tried to assassinate us.\We barely escaped with our lives\thanks to a squad that called themselves Shadows and said they served the Queen.\Those women were also keeping tabs on Itsuki and Ren?\I think the Three Heroes Church were the ones who stole my reward.\You were framed, Naofumi-san. response:	Framed?
context: The Three Heroes Church lured us to a fake shrine\and tried to assassinate us.\We barely escaped with our lives\thanks to a squad that called themselves Shadows and said they served the Queen.\Those women were also keeping tabs on Itsuki and Ren?\I think the Three Heroes Church were the ones who stole my reward.\You were framed, Naofumi-san.\Framed? response:	You're the one who misunderstood and came at me!
context: and tried to assassinate us.\We barely escaped with our lives\thanks to a squad that called themselves Shadows and said they served the Queen.\Those women were also keeping tabs on Itsuki and Ren?\I think the Three Heroes Church were the ones who stole my reward.\You were framed, Naofumi-san.\Framed?\You're the one who misunderstood and came at me! response:	You were framed, huh?
context: We barely escaped with our lives\thanks to a squad that called themselves Shadows and said they served the Queen.\Those women were also keeping tabs on Itsuki and Ren?\I think the Three Heroes Church were the ones who stole my reward.\You were framed, Naofumi-san.\Framed?\You're the one who misunderstood and came at me!\You were framed, huh? response:	You really have zero luck.
context: thanks to a squad that called themselves Shadows and said they served the Queen.\Those women were also keeping tabs on Itsuki and Ren?\I think the Three Heroes Church were the ones who stole my reward.\You were framed, Naofumi-san.\Framed?\You're the one who misunderstood and came at me!\You were framed, huh?\You really have zero luck. response:	You were trying to kill me on a false charge a moment ago, too!
context: Those women were also keeping tabs on Itsuki and Ren?\I think the Three Heroes Church were the ones who stole my reward.\You were framed, Naofumi-san.\Framed?\You're the one who misunderstood and came at me!\You were framed, huh?\You really have zero luck.\You were trying to kill me on a false charge a moment ago, too! response:	Let's do this, Ren-san.
context: I think the Three Heroes Church were the ones who stole my reward.\You were framed, Naofumi-san.\Framed?\You're the one who misunderstood and came at me!\You were framed, huh?\You really have zero luck.\You were trying to kill me on a false charge a moment ago, too!\Let's do this, Ren-san. response:	Yeah.
context: You were framed, Naofumi-san.\Framed?\You're the one who misunderstood and came at me!\You were framed, huh?\You really have zero luck.\You were trying to kill me on a false charge a moment ago, too!\Let's do this, Ren-san.\Yeah. response:	Meteor Shot!
context: Framed?\You're the one who misunderstood and came at me!\You were framed, huh?\You really have zero luck.\You were trying to kill me on a false charge a moment ago, too!\Let's do this, Ren-san.\Yeah.\Meteor Shot! response:	Meteor Slash!
context: You're the one who misunderstood and came at me!\You were framed, huh?\You really have zero luck.\You were trying to kill me on a false charge a moment ago, too!\Let's do this, Ren-san.\Yeah.\Meteor Shot!\Meteor Slash! response:	That consumed too much mana!
context: You were framed, huh?\You really have zero luck.\You were trying to kill me on a false charge a moment ago, too!\Let's do this, Ren-san.\Yeah.\Meteor Shot!\Meteor Slash!\That consumed too much mana! response:	The pope's weapon!
context: You really have zero luck.\You were trying to kill me on a false charge a moment ago, too!\Let's do this, Ren-san.\Yeah.\Meteor Shot!\Meteor Slash!\That consumed too much mana!\The pope's weapon! response:	Will he be all right?
context: You were trying to kill me on a false charge a moment ago, too!\Let's do this, Ren-san.\Yeah.\Meteor Shot!\Meteor Slash!\That consumed too much mana!\The pope's weapon!\Will he be all right? response:	The queen's punitive force will be here soon.
context: Let's do this, Ren-san.\Yeah.\Meteor Shot!\Meteor Slash!\That consumed too much mana!\The pope's weapon!\Will he be all right?\The queen's punitive force will be here soon. response:	The queen?
context: Yeah.\Meteor Shot!\Meteor Slash!\That consumed too much mana!\The pope's weapon!\Will he be all right?\The queen's punitive force will be here soon.\The queen? response:	Mother's coming here?!
context: Meteor Shot!\Meteor Slash!\That consumed too much mana!\The pope's weapon!\Will he be all right?\The queen's punitive force will be here soon.\The queen?\Mother's coming here?! response:	Yes. A Shadow tipped us off.
context: Meteor Slash!\That consumed too much mana!\The pope's weapon!\Will he be all right?\The queen's punitive force will be here soon.\The queen?\Mother's coming here?!\Yes. A Shadow tipped us off. response:	Surrender at once, and I'm sure the queen will have mercy on you!
context: That consumed too much mana!\The pope's weapon!\Will he be all right?\The queen's punitive force will be here soon.\The queen?\Mother's coming here?!\Yes. A Shadow tipped us off.\Surrender at once, and I'm sure the queen will have mercy on you! response:	Drop your weapons and surrender!
context: The pope's weapon!\Will he be all right?\The queen's punitive force will be here soon.\The queen?\Mother's coming here?!\Yes. A Shadow tipped us off.\Surrender at once, and I'm sure the queen will have mercy on you!\Drop your weapons and surrender! response:	Did he just say punitive force?
context: Will he be all right?\The queen's punitive force will be here soon.\The queen?\Mother's coming here?!\Yes. A Shadow tipped us off.\Surrender at once, and I'm sure the queen will have mercy on you!\Drop your weapons and surrender!\Did he just say punitive force? response:	What's happening?
context: The queen's punitive force will be here soon.\The queen?\Mother's coming here?!\Yes. A Shadow tipped us off.\Surrender at once, and I'm sure the queen will have mercy on you!\Drop your weapons and surrender!\Did he just say punitive force?\What's happening? response:	Fret not!
context: The queen?\Mother's coming here?!\Yes. A Shadow tipped us off.\Surrender at once, and I'm sure the queen will have mercy on you!\Drop your weapons and surrender!\Did he just say punitive force?\What's happening?\Fret not! response:	As I said earlier, this is a battle between God and the Devil.
context: Mother's coming here?!\Yes. A Shadow tipped us off.\Surrender at once, and I'm sure the queen will have mercy on you!\Drop your weapons and surrender!\Did he just say punitive force?\What's happening?\Fret not!\As I said earlier, this is a battle between God and the Devil. response:	Of course it will be difficult.
context: Yes. A Shadow tipped us off.\Surrender at once, and I'm sure the queen will have mercy on you!\Drop your weapons and surrender!\Did he just say punitive force?\What's happening?\Fret not!\As I said earlier, this is a battle between God and the Devil.\Of course it will be difficult. response:	However, our victory is guaranteed.
context: Surrender at once, and I'm sure the queen will have mercy on you!\Drop your weapons and surrender!\Did he just say punitive force?\What's happening?\Fret not!\As I said earlier, this is a battle between God and the Devil.\Of course it will be difficult.\However, our victory is guaranteed. response:	After all, we are the ones blessed by God.
context: Drop your weapons and surrender!\Did he just say punitive force?\What's happening?\Fret not!\As I said earlier, this is a battle between God and the Devil.\Of course it will be difficult.\However, our victory is guaranteed.\After all, we are the ones blessed by God. response:	The queen's punitive force is nothing to fear.
context: Did he just say punitive force?\What's happening?\Fret not!\As I said earlier, this is a battle between God and the Devil.\Of course it will be difficult.\However, our victory is guaranteed.\After all, we are the ones blessed by God.\The queen's punitive force is nothing to fear. response:	And it matters not how many false heroes gather.
context: What's happening?\Fret not!\As I said earlier, this is a battle between God and the Devil.\Of course it will be difficult.\However, our victory is guaranteed.\After all, we are the ones blessed by God.\The queen's punitive force is nothing to fear.\And it matters not how many false heroes gather. response:	They are no match for us,
context: Fret not!\As I said earlier, this is a battle between God and the Devil.\Of course it will be difficult.\However, our victory is guaranteed.\After all, we are the ones blessed by God.\The queen's punitive force is nothing to fear.\And it matters not how many false heroes gather.\They are no match for us, response:	with our legendary weapon and our faith in God!
context: As I said earlier, this is a battle between God and the Devil.\Of course it will be difficult.\However, our victory is guaranteed.\After all, we are the ones blessed by God.\The queen's punitive force is nothing to fear.\And it matters not how many false heroes gather.\They are no match for us,\with our legendary weapon and our faith in God! response:	Pope!
context: Of course it will be difficult.\However, our victory is guaranteed.\After all, we are the ones blessed by God.\The queen's punitive force is nothing to fear.\And it matters not how many false heroes gather.\They are no match for us,\with our legendary weapon and our faith in God!\Pope! response:	We'll follow God and you to the end!
context: However, our victory is guaranteed.\After all, we are the ones blessed by God.\The queen's punitive force is nothing to fear.\And it matters not how many false heroes gather.\They are no match for us,\with our legendary weapon and our faith in God!\Pope!\We'll follow God and you to the end! response:	What's wrong with them?
context: After all, we are the ones blessed by God.\The queen's punitive force is nothing to fear.\And it matters not how many false heroes gather.\They are no match for us,\with our legendary weapon and our faith in God!\Pope!\We'll follow God and you to the end!\What's wrong with them? response:	We're the legendary heroes.
context: The queen's punitive force is nothing to fear.\And it matters not how many false heroes gather.\They are no match for us,\with our legendary weapon and our faith in God!\Pope!\We'll follow God and you to the end!\What's wrong with them?\We're the legendary heroes. response:	Looks like they need to be taught a lesson.
context: And it matters not how many false heroes gather.\They are no match for us,\with our legendary weapon and our faith in God!\Pope!\We'll follow God and you to the end!\What's wrong with them?\We're the legendary heroes.\Looks like they need to be taught a lesson. response:	If words won't get through to them, we'll have to fight.
context: They are no match for us,\with our legendary weapon and our faith in God!\Pope!\We'll follow God and you to the end!\What's wrong with them?\We're the legendary heroes.\Looks like they need to be taught a lesson.\If words won't get through to them, we'll have to fight. response:	Yeah. As much as I hate it, this is an emergency.
context: with our legendary weapon and our faith in God!\Pope!\We'll follow God and you to the end!\What's wrong with them?\We're the legendary heroes.\Looks like they need to be taught a lesson.\If words won't get through to them, we'll have to fight.\Yeah. As much as I hate it, this is an emergency. response:	I'll even take your help.
context: Pope!\We'll follow God and you to the end!\What's wrong with them?\We're the legendary heroes.\Looks like they need to be taught a lesson.\If words won't get through to them, we'll have to fight.\Yeah. As much as I hate it, this is an emergency.\I'll even take your help. response:	Shall we, the four heroes...
context: We'll follow God and you to the end!\What's wrong with them?\We're the legendary heroes.\Looks like they need to be taught a lesson.\If words won't get through to them, we'll have to fight.\Yeah. As much as I hate it, this is an emergency.\I'll even take your help.\Shall we, the four heroes... response:	Melty, you provide magic support.
context: What's wrong with them?\We're the legendary heroes.\Looks like they need to be taught a lesson.\If words won't get through to them, we'll have to fight.\Yeah. As much as I hate it, this is an emergency.\I'll even take your help.\Shall we, the four heroes...\Melty, you provide magic support. response:	Got it.
context: We're the legendary heroes.\Looks like they need to be taught a lesson.\If words won't get through to them, we'll have to fight.\Yeah. As much as I hate it, this is an emergency.\I'll even take your help.\Shall we, the four heroes...\Melty, you provide magic support.\Got it. response:	Naofumi, what are you doing?
context: Looks like they need to be taught a lesson.\If words won't get through to them, we'll have to fight.\Yeah. As much as I hate it, this is an emergency.\I'll even take your help.\Shall we, the four heroes...\Melty, you provide magic support.\Got it.\Naofumi, what are you doing? response:	I'm not gonna play along with you idiots.
context: If words won't get through to them, we'll have to fight.\Yeah. As much as I hate it, this is an emergency.\I'll even take your help.\Shall we, the four heroes...\Melty, you provide magic support.\Got it.\Naofumi, what are you doing?\I'm not gonna play along with you idiots. response:	Hey, don't be selfish!
context: Yeah. As much as I hate it, this is an emergency.\I'll even take your help.\Shall we, the four heroes...\Melty, you provide magic support.\Got it.\Naofumi, what are you doing?\I'm not gonna play along with you idiots.\Hey, don't be selfish! response:	I don't wanna hear that from the guy who tried to kill me when I refused to fight.
context: I'll even take your help.\Shall we, the four heroes...\Melty, you provide magic support.\Got it.\Naofumi, what are you doing?\I'm not gonna play along with you idiots.\Hey, don't be selfish!\I don't wanna hear that from the guy who tried to kill me when I refused to fight. response:	But don't you think
context: Shall we, the four heroes...\Melty, you provide magic support.\Got it.\Naofumi, what are you doing?\I'm not gonna play along with you idiots.\Hey, don't be selfish!\I don't wanna hear that from the guy who tried to kill me when I refused to fight.\But don't you think response:	it's far too selfish to fight alone in this situation?
context: Melty, you provide magic support.\Got it.\Naofumi, what are you doing?\I'm not gonna play along with you idiots.\Hey, don't be selfish!\I don't wanna hear that from the guy who tried to kill me when I refused to fight.\But don't you think\it's far too selfish to fight alone in this situation? response:	Yeah, we can't win if we don't fight together.
context: Got it.\Naofumi, what are you doing?\I'm not gonna play along with you idiots.\Hey, don't be selfish!\I don't wanna hear that from the guy who tried to kill me when I refused to fight.\But don't you think\it's far too selfish to fight alone in this situation?\Yeah, we can't win if we don't fight together. response:	We can survive without your help.
context: Naofumi, what are you doing?\I'm not gonna play along with you idiots.\Hey, don't be selfish!\I don't wanna hear that from the guy who tried to kill me when I refused to fight.\But don't you think\it's far too selfish to fight alone in this situation?\Yeah, we can't win if we don't fight together.\We can survive without your help. response:	No, you'll die for sure!
context: I'm not gonna play along with you idiots.\Hey, don't be selfish!\I don't wanna hear that from the guy who tried to kill me when I refused to fight.\But don't you think\it's far too selfish to fight alone in this situation?\Yeah, we can't win if we don't fight together.\We can survive without your help.\No, you'll die for sure! response:	And you'll die framed for a crime you didn't commit!
context: Hey, don't be selfish!\I don't wanna hear that from the guy who tried to kill me when I refused to fight.\But don't you think\it's far too selfish to fight alone in this situation?\Yeah, we can't win if we don't fight together.\We can survive without your help.\No, you'll die for sure!\And you'll die framed for a crime you didn't commit! response:	Are you okay with that?
context: I don't wanna hear that from the guy who tried to kill me when I refused to fight.\But don't you think\it's far too selfish to fight alone in this situation?\Yeah, we can't win if we don't fight together.\We can survive without your help.\No, you'll die for sure!\And you'll die framed for a crime you didn't commit!\Are you okay with that? response:	You, of all people, have no right to say that.
context: But don't you think\it's far too selfish to fight alone in this situation?\Yeah, we can't win if we don't fight together.\We can survive without your help.\No, you'll die for sure!\And you'll die framed for a crime you didn't commit!\Are you okay with that?\You, of all people, have no right to say that. response:	Spear guy's so annoying.
context: it's far too selfish to fight alone in this situation?\Yeah, we can't win if we don't fight together.\We can survive without your help.\No, you'll die for sure!\And you'll die framed for a crime you didn't commit!\Are you okay with that?\You, of all people, have no right to say that.\Spear guy's so annoying. response:	You're the ones who let the Three Heroes Church throw their weight around!
context: Yeah, we can't win if we don't fight together.\We can survive without your help.\No, you'll die for sure!\And you'll die framed for a crime you didn't commit!\Are you okay with that?\You, of all people, have no right to say that.\Spear guy's so annoying.\You're the ones who let the Three Heroes Church throw their weight around! response:	Myne, who fell for the Church's schemes
context: We can survive without your help.\No, you'll die for sure!\And you'll die framed for a crime you didn't commit!\Are you okay with that?\You, of all people, have no right to say that.\Spear guy's so annoying.\You're the ones who let the Three Heroes Church throw their weight around!\Myne, who fell for the Church's schemes response:	and did whatever the hell she wanted, is most at fault.
context: No, you'll die for sure!\And you'll die framed for a crime you didn't commit!\Are you okay with that?\You, of all people, have no right to say that.\Spear guy's so annoying.\You're the ones who let the Three Heroes Church throw their weight around!\Myne, who fell for the Church's schemes\and did whatever the hell she wanted, is most at fault. response:	But Motoyasu, you're just as guilty for letting her take you for a ride.
context: And you'll die framed for a crime you didn't commit!\Are you okay with that?\You, of all people, have no right to say that.\Spear guy's so annoying.\You're the ones who let the Three Heroes Church throw their weight around!\Myne, who fell for the Church's schemes\and did whatever the hell she wanted, is most at fault.\But Motoyasu, you're just as guilty for letting her take you for a ride. response:	Wait a second! Me, deceive Motoyasu-sama?
context: Are you okay with that?\You, of all people, have no right to say that.\Spear guy's so annoying.\You're the ones who let the Three Heroes Church throw their weight around!\Myne, who fell for the Church's schemes\and did whatever the hell she wanted, is most at fault.\But Motoyasu, you're just as guilty for letting her take you for a ride.\Wait a second! Me, deceive Motoyasu-sama? response:	Quit making baseless accusations!
context: You, of all people, have no right to say that.\Spear guy's so annoying.\You're the ones who let the Three Heroes Church throw their weight around!\Myne, who fell for the Church's schemes\and did whatever the hell she wanted, is most at fault.\But Motoyasu, you're just as guilty for letting her take you for a ride.\Wait a second! Me, deceive Motoyasu-sama?\Quit making baseless accusations! response:	But it seems the Spear Hero had no idea
context: Spear guy's so annoying.\You're the ones who let the Three Heroes Church throw their weight around!\Myne, who fell for the Church's schemes\and did whatever the hell she wanted, is most at fault.\But Motoyasu, you're just as guilty for letting her take you for a ride.\Wait a second! Me, deceive Motoyasu-sama?\Quit making baseless accusations!\But it seems the Spear Hero had no idea response:	what you were trying to do, Sister.
context: You're the ones who let the Three Heroes Church throw their weight around!\Myne, who fell for the Church's schemes\and did whatever the hell she wanted, is most at fault.\But Motoyasu, you're just as guilty for letting her take you for a ride.\Wait a second! Me, deceive Motoyasu-sama?\Quit making baseless accusations!\But it seems the Spear Hero had no idea\what you were trying to do, Sister. response:	Y-Yeah! All I did was trust in a member of my party!
context: Myne, who fell for the Church's schemes\and did whatever the hell she wanted, is most at fault.\But Motoyasu, you're just as guilty for letting her take you for a ride.\Wait a second! Me, deceive Motoyasu-sama?\Quit making baseless accusations!\But it seems the Spear Hero had no idea\what you were trying to do, Sister.\Y-Yeah! All I did was trust in a member of my party! response:	I didn't do anything wro...
context: and did whatever the hell she wanted, is most at fault.\But Motoyasu, you're just as guilty for letting her take you for a ride.\Wait a second! Me, deceive Motoyasu-sama?\Quit making baseless accusations!\But it seems the Spear Hero had no idea\what you were trying to do, Sister.\Y-Yeah! All I did was trust in a member of my party!\I didn't do anything wro... response:	Accepting everything someone says blindly without thinking for yourself
context: But Motoyasu, you're just as guilty for letting her take you for a ride.\Wait a second! Me, deceive Motoyasu-sama?\Quit making baseless accusations!\But it seems the Spear Hero had no idea\what you were trying to do, Sister.\Y-Yeah! All I did was trust in a member of my party!\I didn't do anything wro...\Accepting everything someone says blindly without thinking for yourself response:	is completely different from trusting them.
context: Wait a second! Me, deceive Motoyasu-sama?\Quit making baseless accusations!\But it seems the Spear Hero had no idea\what you were trying to do, Sister.\Y-Yeah! All I did was trust in a member of my party!\I didn't do anything wro...\Accepting everything someone says blindly without thinking for yourself\is completely different from trusting them. response:	If you'd used your brain even a little,
context: Quit making baseless accusations!\But it seems the Spear Hero had no idea\what you were trying to do, Sister.\Y-Yeah! All I did was trust in a member of my party!\I didn't do anything wro...\Accepting everything someone says blindly without thinking for yourself\is completely different from trusting them.\If you'd used your brain even a little, response:	things wouldn't have come to this.
context: But it seems the Spear Hero had no idea\what you were trying to do, Sister.\Y-Yeah! All I did was trust in a member of my party!\I didn't do anything wro...\Accepting everything someone says blindly without thinking for yourself\is completely different from trusting them.\If you'd used your brain even a little,\things wouldn't have come to this. response:	Naofumi's right.
context: what you were trying to do, Sister.\Y-Yeah! All I did was trust in a member of my party!\I didn't do anything wro...\Accepting everything someone says blindly without thinking for yourself\is completely different from trusting them.\If you'd used your brain even a little,\things wouldn't have come to this.\Naofumi's right. response:	There, there. Motoyasu-san feels bad about it, too.
context: Y-Yeah! All I did was trust in a member of my party!\I didn't do anything wro...\Accepting everything someone says blindly without thinking for yourself\is completely different from trusting them.\If you'd used your brain even a little,\things wouldn't have come to this.\Naofumi's right.\There, there. Motoyasu-san feels bad about it, too. response:	Give him a break for me.
context: I didn't do anything wro...\Accepting everything someone says blindly without thinking for yourself\is completely different from trusting them.\If you'd used your brain even a little,\things wouldn't have come to this.\Naofumi's right.\There, there. Motoyasu-san feels bad about it, too.\Give him a break for me. response:	You two are no different.
context: Accepting everything someone says blindly without thinking for yourself\is completely different from trusting them.\If you'd used your brain even a little,\things wouldn't have come to this.\Naofumi's right.\There, there. Motoyasu-san feels bad about it, too.\Give him a break for me.\You two are no different. response:	As I mentioned before, after you killed that dragon,
context: is completely different from trusting them.\If you'd used your brain even a little,\things wouldn't have come to this.\Naofumi's right.\There, there. Motoyasu-san feels bad about it, too.\Give him a break for me.\You two are no different.\As I mentioned before, after you killed that dragon, response:	its rotten flesh poisoned the air and nearly wiped out an entire village.
context: If you'd used your brain even a little,\things wouldn't have come to this.\Naofumi's right.\There, there. Motoyasu-san feels bad about it, too.\Give him a break for me.\You two are no different.\As I mentioned before, after you killed that dragon,\its rotten flesh poisoned the air and nearly wiped out an entire village. response:	That's...
context: things wouldn't have come to this.\Naofumi's right.\There, there. Motoyasu-san feels bad about it, too.\Give him a break for me.\You two are no different.\As I mentioned before, after you killed that dragon,\its rotten flesh poisoned the air and nearly wiped out an entire village.\That's... response:	Sure, in video games, monsters you kill just disappear.
context: Naofumi's right.\There, there. Motoyasu-san feels bad about it, too.\Give him a break for me.\You two are no different.\As I mentioned before, after you killed that dragon,\its rotten flesh poisoned the air and nearly wiped out an entire village.\That's...\Sure, in video games, monsters you kill just disappear. response:	Their corpses don't remain and rot away.
context: There, there. Motoyasu-san feels bad about it, too.\Give him a break for me.\You two are no different.\As I mentioned before, after you killed that dragon,\its rotten flesh poisoned the air and nearly wiped out an entire village.\That's...\Sure, in video games, monsters you kill just disappear.\Their corpses don't remain and rot away. response:	But this is reality.
context: Give him a break for me.\You two are no different.\As I mentioned before, after you killed that dragon,\its rotten flesh poisoned the air and nearly wiped out an entire village.\That's...\Sure, in video games, monsters you kill just disappear.\Their corpses don't remain and rot away.\But this is reality. response:	You should've faced up to that fact.
context: You two are no different.\As I mentioned before, after you killed that dragon,\its rotten flesh poisoned the air and nearly wiped out an entire village.\That's...\Sure, in video games, monsters you kill just disappear.\Their corpses don't remain and rot away.\But this is reality.\You should've faced up to that fact. response:	And Itsuki, your little secret vigilante adventure
context: As I mentioned before, after you killed that dragon,\its rotten flesh poisoned the air and nearly wiped out an entire village.\That's...\Sure, in video games, monsters you kill just disappear.\Their corpses don't remain and rot away.\But this is reality.\You should've faced up to that fact.\And Itsuki, your little secret vigilante adventure response:	forced people to become refugees and live in abject poverty.
context: its rotten flesh poisoned the air and nearly wiped out an entire village.\That's...\Sure, in video games, monsters you kill just disappear.\Their corpses don't remain and rot away.\But this is reality.\You should've faced up to that fact.\And Itsuki, your little secret vigilante adventure\forced people to become refugees and live in abject poverty. response:	But if I hadn't taught that lord a lesson, the people would've suffered forever!
context: That's...\Sure, in video games, monsters you kill just disappear.\Their corpses don't remain and rot away.\But this is reality.\You should've faced up to that fact.\And Itsuki, your little secret vigilante adventure\forced people to become refugees and live in abject poverty.\But if I hadn't taught that lord a lesson, the people would've suffered forever! response:	Hero powers won't solve everything.
