context: Today, we'll be cooking with oil' response:	'so everyone, put on your gear, and let's work hard, alright?
context: Sure!\Something wrong.\So serious?\A card that looks like a Clow Card, huh?\Shao Lan!\What?\Lunch! Shall we eat together?\I was going to eat in the cafeteria today' response:	I have done! So, let's go eat!
context: Something wrong.\So serious?\A card that looks like a Clow Card, huh?\Shao Lan!\What?\Lunch! Shall we eat together?\I was going to eat in the cafeteria today'\I have done! So, let's go eat! response:	Wow, looks great.
context: So serious?\A card that looks like a Clow Card, huh?\Shao Lan!\What?\Lunch! Shall we eat together?\I was going to eat in the cafeteria today'\I have done! So, let's go eat!\Wow, looks great. response:	Thank you.
context: A card that looks like a Clow Card, huh?\Shao Lan!\What?\Lunch! Shall we eat together?\I was going to eat in the cafeteria today'\I have done! So, let's go eat!\Wow, looks great.\Thank you. response:	Tomoyo, you're good at cooking, too.
context: Shao Lan!\What?\Lunch! Shall we eat together?\I was going to eat in the cafeteria today'\I have done! So, let's go eat!\Wow, looks great.\Thank you.\Tomoyo, you're good at cooking, too. response:	When you say that, it makes me want to make more.
context: What?\Lunch! Shall we eat together?\I was going to eat in the cafeteria today'\I have done! So, let's go eat!\Wow, looks great.\Thank you.\Tomoyo, you're good at cooking, too.\When you say that, it makes me want to make more. response:	Next time, I'll make lunch for us.
context: Lunch! Shall we eat together?\I was going to eat in the cafeteria today'\I have done! So, let's go eat!\Wow, looks great.\Thank you.\Tomoyo, you're good at cooking, too.\When you say that, it makes me want to make more.\Next time, I'll make lunch for us. response:	So, shall we eat?
context: I was going to eat in the cafeteria today'\I have done! So, let's go eat!\Wow, looks great.\Thank you.\Tomoyo, you're good at cooking, too.\When you say that, it makes me want to make more.\Next time, I'll make lunch for us.\So, shall we eat? response:	Sakura!
context: I have done! So, let's go eat!\Wow, looks great.\Thank you.\Tomoyo, you're good at cooking, too.\When you say that, it makes me want to make more.\Next time, I'll make lunch for us.\So, shall we eat?\Sakura! response:	Yukito!
context: Wow, looks great.\Thank you.\Tomoyo, you're good at cooking, too.\When you say that, it makes me want to make more.\Next time, I'll make lunch for us.\So, shall we eat?\Sakura!\Yukito! response:	You eat croquettes?
context: Thank you.\Tomoyo, you're good at cooking, too.\When you say that, it makes me want to make more.\Next time, I'll make lunch for us.\So, shall we eat?\Sakura!\Yukito!\You eat croquettes? response:	Yeah. Your croquettes are really good.
context: Tomoyo, you're good at cooking, too.\When you say that, it makes me want to make more.\Next time, I'll make lunch for us.\So, shall we eat?\Sakura!\Yukito!\You eat croquettes?\Yeah. Your croquettes are really good. response:	Yukito, you like croquettes?
context: When you say that, it makes me want to make more.\Next time, I'll make lunch for us.\So, shall we eat?\Sakura!\Yukito!\You eat croquettes?\Yeah. Your croquettes are really good.\Yukito, you like croquettes? response:	Yeah, I love them.
context: Next time, I'll make lunch for us.\So, shall we eat?\Sakura!\Yukito!\You eat croquettes?\Yeah. Your croquettes are really good.\Yukito, you like croquettes?\Yeah, I love them. response:	I see.
context: So, shall we eat?\Sakura!\Yukito!\You eat croquettes?\Yeah. Your croquettes are really good.\Yukito, you like croquettes?\Yeah, I love them.\I see. response:	Now I have to try even harder to make croquettes!
context: Sakura!\Yukito!\You eat croquettes?\Yeah. Your croquettes are really good.\Yukito, you like croquettes?\Yeah, I love them.\I see.\Now I have to try even harder to make croquettes! response:	I guess I'll have to buy that Cooking Card'
context: Yukito!\You eat croquettes?\Yeah. Your croquettes are really good.\Yukito, you like croquettes?\Yeah, I love them.\I see.\Now I have to try even harder to make croquettes!\I guess I'll have to buy that Cooking Card' response:	Hey, why do we have to go so far away'
context: You eat croquettes?\Yeah. Your croquettes are really good.\Yukito, you like croquettes?\Yeah, I love them.\I see.\Now I have to try even harder to make croquettes!\I guess I'll have to buy that Cooking Card'\Hey, why do we have to go so far away' response:	Come here.
context: Yeah. Your croquettes are really good.\Yukito, you like croquettes?\Yeah, I love them.\I see.\Now I have to try even harder to make croquettes!\I guess I'll have to buy that Cooking Card'\Hey, why do we have to go so far away'\Come here. response:	You'
context: Yukito, you like croquettes?\Yeah, I love them.\I see.\Now I have to try even harder to make croquettes!\I guess I'll have to buy that Cooking Card'\Hey, why do we have to go so far away'\Come here.\You' response:	Li-kun and Mei Lin, you're eating lunch, too?
context: Yeah, I love them.\I see.\Now I have to try even harder to make croquettes!\I guess I'll have to buy that Cooking Card'\Hey, why do we have to go so far away'\Come here.\You'\Li-kun and Mei Lin, you're eating lunch, too? response:	Eh!
context: I see.\Now I have to try even harder to make croquettes!\I guess I'll have to buy that Cooking Card'\Hey, why do we have to go so far away'\Come here.\You'\Li-kun and Mei Lin, you're eating lunch, too?\Eh! response:	What's wrong, Shao Lan?
context: Now I have to try even harder to make croquettes!\I guess I'll have to buy that Cooking Card'\Hey, why do we have to go so far away'\Come here.\You'\Li-kun and Mei Lin, you're eating lunch, too?\Eh!\What's wrong, Shao Lan? response:	I'll introduce you, OK?
context: I guess I'll have to buy that Cooking Card'\Hey, why do we have to go so far away'\Come here.\You'\Li-kun and Mei Lin, you're eating lunch, too?\Eh!\What's wrong, Shao Lan?\I'll introduce you, OK? response:	My classmate, Li Mei Lin.
context: Hey, why do we have to go so far away'\Come here.\You'\Li-kun and Mei Lin, you're eating lunch, too?\Eh!\What's wrong, Shao Lan?\I'll introduce you, OK?\My classmate, Li Mei Lin. response:	Li's cousin'
context: Come here.\You'\Li-kun and Mei Lin, you're eating lunch, too?\Eh!\What's wrong, Shao Lan?\I'll introduce you, OK?\My classmate, Li Mei Lin.\Li's cousin' response:	Fiancee!
context: You'\Li-kun and Mei Lin, you're eating lunch, too?\Eh!\What's wrong, Shao Lan?\I'll introduce you, OK?\My classmate, Li Mei Lin.\Li's cousin'\Fiancee! response:	Fiancee?
context: Li-kun and Mei Lin, you're eating lunch, too?\Eh!\What's wrong, Shao Lan?\I'll introduce you, OK?\My classmate, Li Mei Lin.\Li's cousin'\Fiancee!\Fiancee? response:	No, no'
context: Eh!\What's wrong, Shao Lan?\I'll introduce you, OK?\My classmate, Li Mei Lin.\Li's cousin'\Fiancee!\Fiancee?\No, no' response:	Why're you so nervous all of a sudden, Shao Lan'
context: What's wrong, Shao Lan?\I'll introduce you, OK?\My classmate, Li Mei Lin.\Li's cousin'\Fiancee!\Fiancee?\No, no'\Why're you so nervous all of a sudden, Shao Lan' response:	Oh, Sakura, Tomoyo!
context: I'll introduce you, OK?\My classmate, Li Mei Lin.\Li's cousin'\Fiancee!\Fiancee?\No, no'\Why're you so nervous all of a sudden, Shao Lan'\Oh, Sakura, Tomoyo! response:	Are you going to buy a card?
context: My classmate, Li Mei Lin.\Li's cousin'\Fiancee!\Fiancee?\No, no'\Why're you so nervous all of a sudden, Shao Lan'\Oh, Sakura, Tomoyo!\Are you going to buy a card? response:	Yep.
context: Li's cousin'\Fiancee!\Fiancee?\No, no'\Why're you so nervous all of a sudden, Shao Lan'\Oh, Sakura, Tomoyo!\Are you going to buy a card?\Yep. response:	We ended up buying more!
context: Fiancee!\Fiancee?\No, no'\Why're you so nervous all of a sudden, Shao Lan'\Oh, Sakura, Tomoyo!\Are you going to buy a card?\Yep.\We ended up buying more! response:	They still have them?
context: Fiancee?\No, no'\Why're you so nervous all of a sudden, Shao Lan'\Oh, Sakura, Tomoyo!\Are you going to buy a card?\Yep.\We ended up buying more!\They still have them? response:	They have a lot today.
context: No, no'\Why're you so nervous all of a sudden, Shao Lan'\Oh, Sakura, Tomoyo!\Are you going to buy a card?\Yep.\We ended up buying more!\They still have them?\They have a lot today. response:	Really?
context: Why're you so nervous all of a sudden, Shao Lan'\Oh, Sakura, Tomoyo!\Are you going to buy a card?\Yep.\We ended up buying more!\They still have them?\They have a lot today.\Really? response:	Yeah.
context: Oh, Sakura, Tomoyo!\Are you going to buy a card?\Yep.\We ended up buying more!\They still have them?\They have a lot today.\Really?\Yeah. response:	They have all kinds, don't they?
context: Are you going to buy a card?\Yep.\We ended up buying more!\They still have them?\They have a lot today.\Really?\Yeah.\They have all kinds, don't they? response:	This is the one. The card to become better at cooking.
context: Yep.\We ended up buying more!\They still have them?\They have a lot today.\Really?\Yeah.\They have all kinds, don't they?\This is the one. The card to become better at cooking. response:	Sakura?
context: We ended up buying more!\They still have them?\They have a lot today.\Really?\Yeah.\They have all kinds, don't they?\This is the one. The card to become better at cooking.\Sakura? response:	I feel the aura of a Clow Card.
context: They still have them?\They have a lot today.\Really?\Yeah.\They have all kinds, don't they?\This is the one. The card to become better at cooking.\Sakura?\I feel the aura of a Clow Card. response:	Nope. None of these are Clow Cards.
context: They have a lot today.\Really?\Yeah.\They have all kinds, don't they?\This is the one. The card to become better at cooking.\Sakura?\I feel the aura of a Clow Card.\Nope. None of these are Clow Cards. response:	But the aura was just here'
context: Really?\Yeah.\They have all kinds, don't they?\This is the one. The card to become better at cooking.\Sakura?\I feel the aura of a Clow Card.\Nope. None of these are Clow Cards.\But the aura was just here' response:	Maki!
context: Yeah.\They have all kinds, don't they?\This is the one. The card to become better at cooking.\Sakura?\I feel the aura of a Clow Card.\Nope. None of these are Clow Cards.\But the aura was just here'\Maki! response:	Yes?
context: They have all kinds, don't they?\This is the one. The card to become better at cooking.\Sakura?\I feel the aura of a Clow Card.\Nope. None of these are Clow Cards.\But the aura was just here'\Maki!\Yes? response:	The card that was here, what happened to it?
context: This is the one. The card to become better at cooking.\Sakura?\I feel the aura of a Clow Card.\Nope. None of these are Clow Cards.\But the aura was just here'\Maki!\Yes?\The card that was here, what happened to it? response:	I just sold it.
context: Sakura?\I feel the aura of a Clow Card.\Nope. None of these are Clow Cards.\But the aura was just here'\Maki!\Yes?\The card that was here, what happened to it?\I just sold it. response:	What kind of card was it?
context: I feel the aura of a Clow Card.\Nope. None of these are Clow Cards.\But the aura was just here'\Maki!\Yes?\The card that was here, what happened to it?\I just sold it.\What kind of card was it? response:	If I remember right, it was'Shot'
context: Nope. None of these are Clow Cards.\But the aura was just here'\Maki!\Yes?\The card that was here, what happened to it?\I just sold it.\What kind of card was it?\If I remember right, it was'Shot' response:	'Shot'?
context: But the aura was just here'\Maki!\Yes?\The card that was here, what happened to it?\I just sold it.\What kind of card was it?\If I remember right, it was'Shot'\'Shot'? response:	As in shooting?
context: Maki!\Yes?\The card that was here, what happened to it?\I just sold it.\What kind of card was it?\If I remember right, it was'Shot'\'Shot'?\As in shooting? response:	Do you remember who bought the card?
context: Yes?\The card that was here, what happened to it?\I just sold it.\What kind of card was it?\If I remember right, it was'Shot'\'Shot'?\As in shooting?\Do you remember who bought the card? response:	I think it was one of the girls in your class, but'
context: The card that was here, what happened to it?\I just sold it.\What kind of card was it?\If I remember right, it was'Shot'\'Shot'?\As in shooting?\Do you remember who bought the card?\I think it was one of the girls in your class, but' response:	Was it Chiharu or Naoko?
context: I just sold it.\What kind of card was it?\If I remember right, it was'Shot'\'Shot'?\As in shooting?\Do you remember who bought the card?\I think it was one of the girls in your class, but'\Was it Chiharu or Naoko? response:	Sorry, I don't remember that much.
context: What kind of card was it?\If I remember right, it was'Shot'\'Shot'?\As in shooting?\Do you remember who bought the card?\I think it was one of the girls in your class, but'\Was it Chiharu or Naoko?\Sorry, I don't remember that much. response:	I'll come back!
context: If I remember right, it was'Shot'\'Shot'?\As in shooting?\Do you remember who bought the card?\I think it was one of the girls in your class, but'\Was it Chiharu or Naoko?\Sorry, I don't remember that much.\I'll come back! response:	Sakura!
context: 'Shot'?\As in shooting?\Do you remember who bought the card?\I think it was one of the girls in your class, but'\Was it Chiharu or Naoko?\Sorry, I don't remember that much.\I'll come back!\Sakura! response:	I lost again?!
context: As in shooting?\Do you remember who bought the card?\I think it was one of the girls in your class, but'\Was it Chiharu or Naoko?\Sorry, I don't remember that much.\I'll come back!\Sakura!\I lost again?! response:	We've got trouble!
context: Do you remember who bought the card?\I think it was one of the girls in your class, but'\Was it Chiharu or Naoko?\Sorry, I don't remember that much.\I'll come back!\Sakura!\I lost again?!\We've got trouble! response:	It looks like there was a real Clow Card
context: I think it was one of the girls in your class, but'\Was it Chiharu or Naoko?\Sorry, I don't remember that much.\I'll come back!\Sakura!\I lost again?!\We've got trouble!\It looks like there was a real Clow Card response:	at Maki's shop!
context: Was it Chiharu or Naoko?\Sorry, I don't remember that much.\I'll come back!\Sakura!\I lost again?!\We've got trouble!\It looks like there was a real Clow Card\at Maki's shop! response:	And someone from my class bought it!
context: Sorry, I don't remember that much.\I'll come back!\Sakura!\I lost again?!\We've got trouble!\It looks like there was a real Clow Card\at Maki's shop!\And someone from my class bought it! response:	Do you know which card it was?
context: I'll come back!\Sakura!\I lost again?!\We've got trouble!\It looks like there was a real Clow Card\at Maki's shop!\And someone from my class bought it!\Do you know which card it was? response:	Shot!
context: Sakura!\I lost again?!\We've got trouble!\It looks like there was a real Clow Card\at Maki's shop!\And someone from my class bought it!\Do you know which card it was?\Shot! response:	What?! Shot?
context: I lost again?!\We've got trouble!\It looks like there was a real Clow Card\at Maki's shop!\And someone from my class bought it!\Do you know which card it was?\Shot!\What?! Shot? response:	This is bad! Shot is an attack card!
context: We've got trouble!\It looks like there was a real Clow Card\at Maki's shop!\And someone from my class bought it!\Do you know which card it was?\Shot!\What?! Shot?\This is bad! Shot is an attack card! response:	If it shoots and hits you,
context: It looks like there was a real Clow Card\at Maki's shop!\And someone from my class bought it!\Do you know which card it was?\Shot!\What?! Shot?\This is bad! Shot is an attack card!\If it shoots and hits you, response:	it'll really hurt you!
context: at Maki's shop!\And someone from my class bought it!\Do you know which card it was?\Shot!\What?! Shot?\This is bad! Shot is an attack card!\If it shoots and hits you,\it'll really hurt you! response:	Find it quickly!
context: And someone from my class bought it!\Do you know which card it was?\Shot!\What?! Shot?\This is bad! Shot is an attack card!\If it shoots and hits you,\it'll really hurt you!\Find it quickly! response:	Right.
context: Do you know which card it was?\Shot!\What?! Shot?\This is bad! Shot is an attack card!\If it shoots and hits you,\it'll really hurt you!\Find it quickly!\Right. response:	Chiharu and Naoko'?
context: Shot!\What?! Shot?\This is bad! Shot is an attack card!\If it shoots and hits you,\it'll really hurt you!\Find it quickly!\Right.\Chiharu and Naoko'? response:	I didn't see either of them!
context: What?! Shot?\This is bad! Shot is an attack card!\If it shoots and hits you,\it'll really hurt you!\Find it quickly!\Right.\Chiharu and Naoko'?\I didn't see either of them! response:	We'll use Fly to go look for them!
context: This is bad! Shot is an attack card!\If it shoots and hits you,\it'll really hurt you!\Find it quickly!\Right.\Chiharu and Naoko'?\I didn't see either of them!\We'll use Fly to go look for them! response:	Key which hides the power of darkness'
context: If it shoots and hits you,\it'll really hurt you!\Find it quickly!\Right.\Chiharu and Naoko'?\I didn't see either of them!\We'll use Fly to go look for them!\Key which hides the power of darkness' response:	'reveal thy true form to me.
context: it'll really hurt you!\Find it quickly!\Right.\Chiharu and Naoko'?\I didn't see either of them!\We'll use Fly to go look for them!\Key which hides the power of darkness'\'reveal thy true form to me. response:	By the covenant, I, Sakura, command thee.
context: Find it quickly!\Right.\Chiharu and Naoko'?\I didn't see either of them!\We'll use Fly to go look for them!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee. response:	Release!
context: Right.\Chiharu and Naoko'?\I didn't see either of them!\We'll use Fly to go look for them!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release! response:	Fly!
context: Chiharu and Naoko'?\I didn't see either of them!\We'll use Fly to go look for them!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Fly! response:	I don't see them.
context: I didn't see either of them!\We'll use Fly to go look for them!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Fly!\I don't see them. response:	Where could they have gone?
context: We'll use Fly to go look for them!\Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Fly!\I don't see them.\Where could they have gone? response:	Sakura!
context: Key which hides the power of darkness'\'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Fly!\I don't see them.\Where could they have gone?\Sakura! response:	Kero.
context: 'reveal thy true form to me.\By the covenant, I, Sakura, command thee.\Release!\Fly!\I don't see them.\Where could they have gone?\Sakura!\Kero. response:	Did you figure out who has it?
context: By the covenant, I, Sakura, command thee.\Release!\Fly!\I don't see them.\Where could they have gone?\Sakura!\Kero.\Did you figure out who has it? response:	Not yet'
context: Release!\Fly!\I don't see them.\Where could they have gone?\Sakura!\Kero.\Did you figure out who has it?\Not yet' response:	Hurry up and find it!
context: Fly!\I don't see them.\Where could they have gone?\Sakura!\Kero.\Did you figure out who has it?\Not yet'\Hurry up and find it! response:	Even if you say that'
context: I don't see them.\Where could they have gone?\Sakura!\Kero.\Did you figure out who has it?\Not yet'\Hurry up and find it!\Even if you say that' response:	Over there!
context: Where could they have gone?\Sakura!\Kero.\Did you figure out who has it?\Not yet'\Hurry up and find it!\Even if you say that'\Over there! response:	That Mei Lin'
context: Sakura!\Kero.\Did you figure out who has it?\Not yet'\Hurry up and find it!\Even if you say that'\Over there!\That Mei Lin' response:	Calling herself my fiancee in front of him'
context: Kero.\Did you figure out who has it?\Not yet'\Hurry up and find it!\Even if you say that'\Over there!\That Mei Lin'\Calling herself my fiancee in front of him' response:	The aura of a Clow Card!
context: Did you figure out who has it?\Not yet'\Hurry up and find it!\Even if you say that'\Over there!\That Mei Lin'\Calling herself my fiancee in front of him'\The aura of a Clow Card! response:	Naoko!
context: Not yet'\Hurry up and find it!\Even if you say that'\Over there!\That Mei Lin'\Calling herself my fiancee in front of him'\The aura of a Clow Card!\Naoko! response:	Sakura!
context: Hurry up and find it!\Even if you say that'\Over there!\That Mei Lin'\Calling herself my fiancee in front of him'\The aura of a Clow Card!\Naoko!\Sakura! response:	Could you show me the Enchanting Cards you're carrying?
context: Even if you say that'\Over there!\That Mei Lin'\Calling herself my fiancee in front of him'\The aura of a Clow Card!\Naoko!\Sakura!\Could you show me the Enchanting Cards you're carrying? response:	Sure'
context: Over there!\That Mei Lin'\Calling herself my fiancee in front of him'\The aura of a Clow Card!\Naoko!\Sakura!\Could you show me the Enchanting Cards you're carrying?\Sure' response:	Is that all?
context: That Mei Lin'\Calling herself my fiancee in front of him'\The aura of a Clow Card!\Naoko!\Sakura!\Could you show me the Enchanting Cards you're carrying?\Sure'\Is that all? response:	Yeah'
context: Calling herself my fiancee in front of him'\The aura of a Clow Card!\Naoko!\Sakura!\Could you show me the Enchanting Cards you're carrying?\Sure'\Is that all?\Yeah' response:	Oh yeah, do you know where Chiharu went?
context: The aura of a Clow Card!\Naoko!\Sakura!\Could you show me the Enchanting Cards you're carrying?\Sure'\Is that all?\Yeah'\Oh yeah, do you know where Chiharu went? response:	She said she was going straight home.
context: Naoko!\Sakura!\Could you show me the Enchanting Cards you're carrying?\Sure'\Is that all?\Yeah'\Oh yeah, do you know where Chiharu went?\She said she was going straight home. response:	Thanks. See you later!
context: Sakura!\Could you show me the Enchanting Cards you're carrying?\Sure'\Is that all?\Yeah'\Oh yeah, do you know where Chiharu went?\She said she was going straight home.\Thanks. See you later! response:	Sakura!
context: Could you show me the Enchanting Cards you're carrying?\Sure'\Is that all?\Yeah'\Oh yeah, do you know where Chiharu went?\She said she was going straight home.\Thanks. See you later!\Sakura! response:	Hmm?
context: Sure'\Is that all?\Yeah'\Oh yeah, do you know where Chiharu went?\She said she was going straight home.\Thanks. See you later!\Sakura!\Hmm? response:	Not her?
context: Is that all?\Yeah'\Oh yeah, do you know where Chiharu went?\She said she was going straight home.\Thanks. See you later!\Sakura!\Hmm?\Not her? response:	Maybe it's Chiharu'
context: Yeah'\Oh yeah, do you know where Chiharu went?\She said she was going straight home.\Thanks. See you later!\Sakura!\Hmm?\Not her?\Maybe it's Chiharu' response:	Let's hurry!
context: Oh yeah, do you know where Chiharu went?\She said she was going straight home.\Thanks. See you later!\Sakura!\Hmm?\Not her?\Maybe it's Chiharu'\Let's hurry! response:	Right!
context: She said she was going straight home.\Thanks. See you later!\Sakura!\Hmm?\Not her?\Maybe it's Chiharu'\Let's hurry!\Right! response:	There!
context: Thanks. See you later!\Sakura!\Hmm?\Not her?\Maybe it's Chiharu'\Let's hurry!\Right!\There! response:	Chiharu!
context: Sakura!\Hmm?\Not her?\Maybe it's Chiharu'\Let's hurry!\Right!\There!\Chiharu! response:	Oh, what's wrong?
context: Hmm?\Not her?\Maybe it's Chiharu'\Let's hurry!\Right!\There!\Chiharu!\Oh, what's wrong? response:	I'd like to see
context: Not her?\Maybe it's Chiharu'\Let's hurry!\Right!\There!\Chiharu!\Oh, what's wrong?\I'd like to see response:	the Enchanting Cards you're carrying.
context: Maybe it's Chiharu'\Let's hurry!\Right!\There!\Chiharu!\Oh, what's wrong?\I'd like to see\the Enchanting Cards you're carrying. response:	Okay.
context: Let's hurry!\Right!\There!\Chiharu!\Oh, what's wrong?\I'd like to see\the Enchanting Cards you're carrying.\Okay. response:	Nope. N' Not' No'
context: Right!\There!\Chiharu!\Oh, what's wrong?\I'd like to see\the Enchanting Cards you're carrying.\Okay.\Nope. N' Not' No' response:	Neither Naoko nor Chiharu'
context: There!\Chiharu!\Oh, what's wrong?\I'd like to see\the Enchanting Cards you're carrying.\Okay.\Nope. N' Not' No'\Neither Naoko nor Chiharu' response:	Then who?
context: Chiharu!\Oh, what's wrong?\I'd like to see\the Enchanting Cards you're carrying.\Okay.\Nope. N' Not' No'\Neither Naoko nor Chiharu'\Then who? response:	What's wrong?
context: Oh, what's wrong?\I'd like to see\the Enchanting Cards you're carrying.\Okay.\Nope. N' Not' No'\Neither Naoko nor Chiharu'\Then who?\What's wrong? response:	When you were at Twin Bells earlier,
context: I'd like to see\the Enchanting Cards you're carrying.\Okay.\Nope. N' Not' No'\Neither Naoko nor Chiharu'\Then who?\What's wrong?\When you were at Twin Bells earlier, response:	was it just you and Naoko?
context: the Enchanting Cards you're carrying.\Okay.\Nope. N' Not' No'\Neither Naoko nor Chiharu'\Then who?\What's wrong?\When you were at Twin Bells earlier,\was it just you and Naoko? response:	Maybe Mei Lin came out a little earlier.
context: Okay.\Nope. N' Not' No'\Neither Naoko nor Chiharu'\Then who?\What's wrong?\When you were at Twin Bells earlier,\was it just you and Naoko?\Maybe Mei Lin came out a little earlier. response:	Mei Lin?
context: Nope. N' Not' No'\Neither Naoko nor Chiharu'\Then who?\What's wrong?\When you were at Twin Bells earlier,\was it just you and Naoko?\Maybe Mei Lin came out a little earlier.\Mei Lin? response:	It looked like she didn't even notice us, though.
context: Neither Naoko nor Chiharu'\Then who?\What's wrong?\When you were at Twin Bells earlier,\was it just you and Naoko?\Maybe Mei Lin came out a little earlier.\Mei Lin?\It looked like she didn't even notice us, though. response:	Sakura.
context: Then who?\What's wrong?\When you were at Twin Bells earlier,\was it just you and Naoko?\Maybe Mei Lin came out a little earlier.\Mei Lin?\It looked like she didn't even notice us, though.\Sakura. response:	Eh!
context: What's wrong?\When you were at Twin Bells earlier,\was it just you and Naoko?\Maybe Mei Lin came out a little earlier.\Mei Lin?\It looked like she didn't even notice us, though.\Sakura.\Eh! response:	The little wench, huh?
context: When you were at Twin Bells earlier,\was it just you and Naoko?\Maybe Mei Lin came out a little earlier.\Mei Lin?\It looked like she didn't even notice us, though.\Sakura.\Eh!\The little wench, huh? response:	We'd better find her.
context: was it just you and Naoko?\Maybe Mei Lin came out a little earlier.\Mei Lin?\It looked like she didn't even notice us, though.\Sakura.\Eh!\The little wench, huh?\We'd better find her. response:	Maybe it's alright if it hurts her a little.
context: Maybe Mei Lin came out a little earlier.\Mei Lin?\It looked like she didn't even notice us, though.\Sakura.\Eh!\The little wench, huh?\We'd better find her.\Maybe it's alright if it hurts her a little. response:	I'll go check Mei Lin's house.
context: Mei Lin?\It looked like she didn't even notice us, though.\Sakura.\Eh!\The little wench, huh?\We'd better find her.\Maybe it's alright if it hurts her a little.\I'll go check Mei Lin's house. response:	You two should go look for her.
context: It looked like she didn't even notice us, though.\Sakura.\Eh!\The little wench, huh?\We'd better find her.\Maybe it's alright if it hurts her a little.\I'll go check Mei Lin's house.\You two should go look for her. response:	Got it. Let's meet back at school.
context: Sakura.\Eh!\The little wench, huh?\We'd better find her.\Maybe it's alright if it hurts her a little.\I'll go check Mei Lin's house.\You two should go look for her.\Got it. Let's meet back at school. response:	Sakura, let's get moving!
context: Eh!\The little wench, huh?\We'd better find her.\Maybe it's alright if it hurts her a little.\I'll go check Mei Lin's house.\You two should go look for her.\Got it. Let's meet back at school.\Sakura, let's get moving! response:	It's weird.
context: The little wench, huh?\We'd better find her.\Maybe it's alright if it hurts her a little.\I'll go check Mei Lin's house.\You two should go look for her.\Got it. Let's meet back at school.\Sakura, let's get moving!\It's weird. response:	What's up?
context: We'd better find her.\Maybe it's alright if it hurts her a little.\I'll go check Mei Lin's house.\You two should go look for her.\Got it. Let's meet back at school.\Sakura, let's get moving!\It's weird.\What's up? response:	It's Li.
context: Maybe it's alright if it hurts her a little.\I'll go check Mei Lin's house.\You two should go look for her.\Got it. Let's meet back at school.\Sakura, let's get moving!\It's weird.\What's up?\It's Li. response:	Li!
context: I'll go check Mei Lin's house.\You two should go look for her.\Got it. Let's meet back at school.\Sakura, let's get moving!\It's weird.\What's up?\It's Li.\Li! response:	The aura of a Clow Card'
context: You two should go look for her.\Got it. Let's meet back at school.\Sakura, let's get moving!\It's weird.\What's up?\It's Li.\Li!\The aura of a Clow Card' response:	I know, Mei Lin has it.
context: Got it. Let's meet back at school.\Sakura, let's get moving!\It's weird.\What's up?\It's Li.\Li!\The aura of a Clow Card'\I know, Mei Lin has it. response:	Mei Lin is holding a Clow Card?
context: Sakura, let's get moving!\It's weird.\What's up?\It's Li.\Li!\The aura of a Clow Card'\I know, Mei Lin has it.\Mei Lin is holding a Clow Card? response:	I don't know for sure yet, but'
context: It's weird.\What's up?\It's Li.\Li!\The aura of a Clow Card'\I know, Mei Lin has it.\Mei Lin is holding a Clow Card?\I don't know for sure yet, but' response:	It's an attack card, so it's dangerous!
context: What's up?\It's Li.\Li!\The aura of a Clow Card'\I know, Mei Lin has it.\Mei Lin is holding a Clow Card?\I don't know for sure yet, but'\It's an attack card, so it's dangerous! response:	Which card is it?
context: It's Li.\Li!\The aura of a Clow Card'\I know, Mei Lin has it.\Mei Lin is holding a Clow Card?\I don't know for sure yet, but'\It's an attack card, so it's dangerous!\Which card is it? response:	Shot!
context: Li!\The aura of a Clow Card'\I know, Mei Lin has it.\Mei Lin is holding a Clow Card?\I don't know for sure yet, but'\It's an attack card, so it's dangerous!\Which card is it?\Shot! response:	Shot?
context: The aura of a Clow Card'\I know, Mei Lin has it.\Mei Lin is holding a Clow Card?\I don't know for sure yet, but'\It's an attack card, so it's dangerous!\Which card is it?\Shot!\Shot? response:	Fly!
context: I know, Mei Lin has it.\Mei Lin is holding a Clow Card?\I don't know for sure yet, but'\It's an attack card, so it's dangerous!\Which card is it?\Shot!\Shot?\Fly! response:	Get on!
context: Mei Lin is holding a Clow Card?\I don't know for sure yet, but'\It's an attack card, so it's dangerous!\Which card is it?\Shot!\Shot?\Fly!\Get on! response:	Hurry up and get on, brat!
context: I don't know for sure yet, but'\It's an attack card, so it's dangerous!\Which card is it?\Shot!\Shot?\Fly!\Get on!\Hurry up and get on, brat! response:	Show me the direction'
context: It's an attack card, so it's dangerous!\Which card is it?\Shot!\Shot?\Fly!\Get on!\Hurry up and get on, brat!\Show me the direction' response:	That way!
context: Which card is it?\Shot!\Shot?\Fly!\Get on!\Hurry up and get on, brat!\Show me the direction'\That way! response:	At school?
context: Shot!\Shot?\Fly!\Get on!\Hurry up and get on, brat!\Show me the direction'\That way!\At school? response:	With this card, Shao Lan's heart'
context: Shot?\Fly!\Get on!\Hurry up and get on, brat!\Show me the direction'\That way!\At school?\With this card, Shao Lan's heart' response:	Yes.
