context: What's wrong? Everything okay, Akari? response:	Yeah. It's nothing.
context: I mean, buddies can't be all formal.\All right!\Goodnight, Emma.\Same to you, jeez.\This feels so good.\Until I got here, I thought that Christmas in New York would be rough.\Emma sounds gruff, but she seems like a good person.\What have we here? response:	Are you alone?
context: All right!\Goodnight, Emma.\Same to you, jeez.\This feels so good.\Until I got here, I thought that Christmas in New York would be rough.\Emma sounds gruff, but she seems like a good person.\What have we here?\Are you alone? response:	Alarm Tap for snooze mode
context: Goodnight, Emma.\Same to you, jeez.\This feels so good.\Until I got here, I thought that Christmas in New York would be rough.\Emma sounds gruff, but she seems like a good person.\What have we here?\Are you alone?\Alarm Tap for snooze mode response:	Uh... Huh?
context: Same to you, jeez.\This feels so good.\Until I got here, I thought that Christmas in New York would be rough.\Emma sounds gruff, but she seems like a good person.\What have we here?\Are you alone?\Alarm Tap for snooze mode\Uh... Huh? response:	What? Huh?
context: This feels so good.\Until I got here, I thought that Christmas in New York would be rough.\Emma sounds gruff, but she seems like a good person.\What have we here?\Are you alone?\Alarm Tap for snooze mode\Uh... Huh?\What? Huh? response:	Huh? Huh? Eh? Wha...
context: Until I got here, I thought that Christmas in New York would be rough.\Emma sounds gruff, but she seems like a good person.\What have we here?\Are you alone?\Alarm Tap for snooze mode\Uh... Huh?\What? Huh?\Huh? Huh? Eh? Wha... response:	Huh?
context: Emma sounds gruff, but she seems like a good person.\What have we here?\Are you alone?\Alarm Tap for snooze mode\Uh... Huh?\What? Huh?\Huh? Huh? Eh? Wha...\Huh? response:	What?!
context: What have we here?\Are you alone?\Alarm Tap for snooze mode\Uh... Huh?\What? Huh?\Huh? Huh? Eh? Wha...\Huh?\What?! response:	This is the first intern in the cooperative program
context: Are you alone?\Alarm Tap for snooze mode\Uh... Huh?\What? Huh?\Huh? Huh? Eh? Wha...\Huh?\What?!\This is the first intern in the cooperative program response:	between the NYPD and the Tokyo Metropolitan Police,
context: Alarm Tap for snooze mode\Uh... Huh?\What? Huh?\Huh? Huh? Eh? Wha...\Huh?\What?!\This is the first intern in the cooperative program\between the NYPD and the Tokyo Metropolitan Police, response:	First Response Investigation Officer Akari Kido.
context: Uh... Huh?\What? Huh?\Huh? Huh? Eh? Wha...\Huh?\What?!\This is the first intern in the cooperative program\between the NYPD and the Tokyo Metropolitan Police,\First Response Investigation Officer Akari Kido. response:	N-Nice to meet you!
context: What? Huh?\Huh? Huh? Eh? Wha...\Huh?\What?!\This is the first intern in the cooperative program\between the NYPD and the Tokyo Metropolitan Police,\First Response Investigation Officer Akari Kido.\N-Nice to meet you! response:	What? Your bear was stolen?!
context: Huh? Huh? Eh? Wha...\Huh?\What?!\This is the first intern in the cooperative program\between the NYPD and the Tokyo Metropolitan Police,\First Response Investigation Officer Akari Kido.\N-Nice to meet you!\What? Your bear was stolen?! response:	When I woke up this morning, it was gone.
context: Huh?\What?!\This is the first intern in the cooperative program\between the NYPD and the Tokyo Metropolitan Police,\First Response Investigation Officer Akari Kido.\N-Nice to meet you!\What? Your bear was stolen?!\When I woke up this morning, it was gone. response:	Maybe it ran away.
context: What?!\This is the first intern in the cooperative program\between the NYPD and the Tokyo Metropolitan Police,\First Response Investigation Officer Akari Kido.\N-Nice to meet you!\What? Your bear was stolen?!\When I woke up this morning, it was gone.\Maybe it ran away. response:	I won't comment on that, but you're going to freeze to death dressed like that.
context: This is the first intern in the cooperative program\between the NYPD and the Tokyo Metropolitan Police,\First Response Investigation Officer Akari Kido.\N-Nice to meet you!\What? Your bear was stolen?!\When I woke up this morning, it was gone.\Maybe it ran away.\I won't comment on that, but you're going to freeze to death dressed like that. response:	When you think of Christmas and the NYPD, you think of this: traffic control!
context: between the NYPD and the Tokyo Metropolitan Police,\First Response Investigation Officer Akari Kido.\N-Nice to meet you!\What? Your bear was stolen?!\When I woke up this morning, it was gone.\Maybe it ran away.\I won't comment on that, but you're going to freeze to death dressed like that.\When you think of Christmas and the NYPD, you think of this: traffic control! response:	NYPD's Winter Spectacle: Traffic Control
context: First Response Investigation Officer Akari Kido.\N-Nice to meet you!\What? Your bear was stolen?!\When I woke up this morning, it was gone.\Maybe it ran away.\I won't comment on that, but you're going to freeze to death dressed like that.\When you think of Christmas and the NYPD, you think of this: traffic control!\NYPD's Winter Spectacle: Traffic Control response:	And when you come to New York any time of the year, you gotta have this.
context: N-Nice to meet you!\What? Your bear was stolen?!\When I woke up this morning, it was gone.\Maybe it ran away.\I won't comment on that, but you're going to freeze to death dressed like that.\When you think of Christmas and the NYPD, you think of this: traffic control!\NYPD's Winter Spectacle: Traffic Control\And when you come to New York any time of the year, you gotta have this. response:	New York Specialty: Hot Dog
context: What? Your bear was stolen?!\When I woke up this morning, it was gone.\Maybe it ran away.\I won't comment on that, but you're going to freeze to death dressed like that.\When you think of Christmas and the NYPD, you think of this: traffic control!\NYPD's Winter Spectacle: Traffic Control\And when you come to New York any time of the year, you gotta have this.\New York Specialty: Hot Dog response:	There's nothing better for my frozen body than this.
context: When I woke up this morning, it was gone.\Maybe it ran away.\I won't comment on that, but you're going to freeze to death dressed like that.\When you think of Christmas and the NYPD, you think of this: traffic control!\NYPD's Winter Spectacle: Traffic Control\And when you come to New York any time of the year, you gotta have this.\New York Specialty: Hot Dog\There's nothing better for my frozen body than this. response:	Just so you know, New York's Christmas is the best in the world.
context: Maybe it ran away.\I won't comment on that, but you're going to freeze to death dressed like that.\When you think of Christmas and the NYPD, you think of this: traffic control!\NYPD's Winter Spectacle: Traffic Control\And when you come to New York any time of the year, you gotta have this.\New York Specialty: Hot Dog\There's nothing better for my frozen body than this.\Just so you know, New York's Christmas is the best in the world. response:	That's why so many people flock here from all over the world.
context: I won't comment on that, but you're going to freeze to death dressed like that.\When you think of Christmas and the NYPD, you think of this: traffic control!\NYPD's Winter Spectacle: Traffic Control\And when you come to New York any time of the year, you gotta have this.\New York Specialty: Hot Dog\There's nothing better for my frozen body than this.\Just so you know, New York's Christmas is the best in the world.\That's why so many people flock here from all over the world. response:	Why won't a nice guy or two fall from the sky for me? Sheesh!
context: When you think of Christmas and the NYPD, you think of this: traffic control!\NYPD's Winter Spectacle: Traffic Control\And when you come to New York any time of the year, you gotta have this.\New York Specialty: Hot Dog\There's nothing better for my frozen body than this.\Just so you know, New York's Christmas is the best in the world.\That's why so many people flock here from all over the world.\Why won't a nice guy or two fall from the sky for me? Sheesh! response:	Wh-What is that?!
context: NYPD's Winter Spectacle: Traffic Control\And when you come to New York any time of the year, you gotta have this.\New York Specialty: Hot Dog\There's nothing better for my frozen body than this.\Just so you know, New York's Christmas is the best in the world.\That's why so many people flock here from all over the world.\Why won't a nice guy or two fall from the sky for me? Sheesh!\Wh-What is that?! response:	Wow!
context: And when you come to New York any time of the year, you gotta have this.\New York Specialty: Hot Dog\There's nothing better for my frozen body than this.\Just so you know, New York's Christmas is the best in the world.\That's why so many people flock here from all over the world.\Why won't a nice guy or two fall from the sky for me? Sheesh!\Wh-What is that?!\Wow! response:	I did hear that they were shooting a movie, but I didn't know it was here.
context: New York Specialty: Hot Dog\There's nothing better for my frozen body than this.\Just so you know, New York's Christmas is the best in the world.\That's why so many people flock here from all over the world.\Why won't a nice guy or two fall from the sky for me? Sheesh!\Wh-What is that?!\Wow!\I did hear that they were shooting a movie, but I didn't know it was here. response:	A movie? That looks so real!
context: There's nothing better for my frozen body than this.\Just so you know, New York's Christmas is the best in the world.\That's why so many people flock here from all over the world.\Why won't a nice guy or two fall from the sky for me? Sheesh!\Wh-What is that?!\Wow!\I did hear that they were shooting a movie, but I didn't know it was here.\A movie? That looks so real! response:	Hey, everyone! It's time for our sparkling Christmas to begin!
context: Just so you know, New York's Christmas is the best in the world.\That's why so many people flock here from all over the world.\Why won't a nice guy or two fall from the sky for me? Sheesh!\Wh-What is that?!\Wow!\I did hear that they were shooting a movie, but I didn't know it was here.\A movie? That looks so real!\Hey, everyone! It's time for our sparkling Christmas to begin! response:	Let's go!
context: That's why so many people flock here from all over the world.\Why won't a nice guy or two fall from the sky for me? Sheesh!\Wh-What is that?!\Wow!\I did hear that they were shooting a movie, but I didn't know it was here.\A movie? That looks so real!\Hey, everyone! It's time for our sparkling Christmas to begin!\Let's go! response:	Yeah!
context: Why won't a nice guy or two fall from the sky for me? Sheesh!\Wh-What is that?!\Wow!\I did hear that they were shooting a movie, but I didn't know it was here.\A movie? That looks so real!\Hey, everyone! It's time for our sparkling Christmas to begin!\Let's go!\Yeah! response:	Guns don't work!
context: Wh-What is that?!\Wow!\I did hear that they were shooting a movie, but I didn't know it was here.\A movie? That looks so real!\Hey, everyone! It's time for our sparkling Christmas to begin!\Let's go!\Yeah!\Guns don't work! response:	My God!
context: Wow!\I did hear that they were shooting a movie, but I didn't know it was here.\A movie? That looks so real!\Hey, everyone! It's time for our sparkling Christmas to begin!\Let's go!\Yeah!\Guns don't work!\My God! response:	This isn't a movie shoot! It's an actual emergency!
context: I did hear that they were shooting a movie, but I didn't know it was here.\A movie? That looks so real!\Hey, everyone! It's time for our sparkling Christmas to begin!\Let's go!\Yeah!\Guns don't work!\My God!\This isn't a movie shoot! It's an actual emergency! response:	Akari?!
context: A movie? That looks so real!\Hey, everyone! It's time for our sparkling Christmas to begin!\Let's go!\Yeah!\Guns don't work!\My God!\This isn't a movie shoot! It's an actual emergency!\Akari?! response:	Now, all of you, time to start moving!
context: Hey, everyone! It's time for our sparkling Christmas to begin!\Let's go!\Yeah!\Guns don't work!\My God!\This isn't a movie shoot! It's an actual emergency!\Akari?!\Now, all of you, time to start moving! response:	You
context: Let's go!\Yeah!\Guns don't work!\My God!\This isn't a movie shoot! It's an actual emergency!\Akari?!\Now, all of you, time to start moving!\You response:	Merry, merry Christmas!
context: Yeah!\Guns don't work!\My God!\This isn't a movie shoot! It's an actual emergency!\Akari?!\Now, all of you, time to start moving!\You\Merry, merry Christmas! response:	Have lots of fun, everyone!
context: Guns don't work!\My God!\This isn't a movie shoot! It's an actual emergency!\Akari?!\Now, all of you, time to start moving!\You\Merry, merry Christmas!\Have lots of fun, everyone! response:	That's right, my greatest pleasure is to see people having fun!
context: My God!\This isn't a movie shoot! It's an actual emergency!\Akari?!\Now, all of you, time to start moving!\You\Merry, merry Christmas!\Have lots of fun, everyone!\That's right, my greatest pleasure is to see people having fun! response:	Hey, you! Don't interrupt my Christmas party!
context: This isn't a movie shoot! It's an actual emergency!\Akari?!\Now, all of you, time to start moving!\You\Merry, merry Christmas!\Have lots of fun, everyone!\That's right, my greatest pleasure is to see people having fun!\Hey, you! Don't interrupt my Christmas party! response:	You're safe now, Akari.
context: Akari?!\Now, all of you, time to start moving!\You\Merry, merry Christmas!\Have lots of fun, everyone!\That's right, my greatest pleasure is to see people having fun!\Hey, you! Don't interrupt my Christmas party!\You're safe now, Akari. response:	I will protect New York and you!
context: Now, all of you, time to start moving!\You\Merry, merry Christmas!\Have lots of fun, everyone!\That's right, my greatest pleasure is to see people having fun!\Hey, you! Don't interrupt my Christmas party!\You're safe now, Akari.\I will protect New York and you! response:	Akari!
context: You\Merry, merry Christmas!\Have lots of fun, everyone!\That's right, my greatest pleasure is to see people having fun!\Hey, you! Don't interrupt my Christmas party!\You're safe now, Akari.\I will protect New York and you!\Akari! response:	Who's that girl?
context: Merry, merry Christmas!\Have lots of fun, everyone!\That's right, my greatest pleasure is to see people having fun!\Hey, you! Don't interrupt my Christmas party!\You're safe now, Akari.\I will protect New York and you!\Akari!\Who's that girl? response:	Big Attack!
context: Have lots of fun, everyone!\That's right, my greatest pleasure is to see people having fun!\Hey, you! Don't interrupt my Christmas party!\You're safe now, Akari.\I will protect New York and you!\Akari!\Who's that girl?\Big Attack! response:	Are you all right, Akari?
context: That's right, my greatest pleasure is to see people having fun!\Hey, you! Don't interrupt my Christmas party!\You're safe now, Akari.\I will protect New York and you!\Akari!\Who's that girl?\Big Attack!\Are you all right, Akari? response:	You're...
context: Hey, you! Don't interrupt my Christmas party!\You're safe now, Akari.\I will protect New York and you!\Akari!\Who's that girl?\Big Attack!\Are you all right, Akari?\You're... response:	We've always been together, ever since Dad gave me to you as a present.
context: You're safe now, Akari.\I will protect New York and you!\Akari!\Who's that girl?\Big Attack!\Are you all right, Akari?\You're...\We've always been together, ever since Dad gave me to you as a present. response:	Apple?!
context: I will protect New York and you!\Akari!\Who's that girl?\Big Attack!\Are you all right, Akari?\You're...\We've always been together, ever since Dad gave me to you as a present.\Apple?! response:	That's right!
context: Akari!\Who's that girl?\Big Attack!\Are you all right, Akari?\You're...\We've always been together, ever since Dad gave me to you as a present.\Apple?!\That's right! response:	That's so weird! You're Apple, but you have no fur!
context: Who's that girl?\Big Attack!\Are you all right, Akari?\You're...\We've always been together, ever since Dad gave me to you as a present.\Apple?!\That's right!\That's so weird! You're Apple, but you have no fur! response:	That's right!
context: Big Attack!\Are you all right, Akari?\You're...\We've always been together, ever since Dad gave me to you as a present.\Apple?!\That's right!\That's so weird! You're Apple, but you have no fur!\That's right! response:	That's so weird! You're Apple, but you're not a stuffed animal!
context: Are you all right, Akari?\You're...\We've always been together, ever since Dad gave me to you as a present.\Apple?!\That's right!\That's so weird! You're Apple, but you have no fur!\That's right!\That's so weird! You're Apple, but you're not a stuffed animal! response:	That's right!
context: You're...\We've always been together, ever since Dad gave me to you as a present.\Apple?!\That's right!\That's so weird! You're Apple, but you have no fur!\That's right!\That's so weird! You're Apple, but you're not a stuffed animal!\That's right! response:	You're Apple, but you're super strong!
context: We've always been together, ever since Dad gave me to you as a present.\Apple?!\That's right!\That's so weird! You're Apple, but you have no fur!\That's right!\That's so weird! You're Apple, but you're not a stuffed animal!\That's right!\You're Apple, but you're super strong! response:	That's right!
context: Apple?!\That's right!\That's so weird! You're Apple, but you have no fur!\That's right!\That's so weird! You're Apple, but you're not a stuffed animal!\That's right!\You're Apple, but you're super strong!\That's right! response:	Liberty!
context: That's right!\That's so weird! You're Apple, but you have no fur!\That's right!\That's so weird! You're Apple, but you're not a stuffed animal!\That's right!\You're Apple, but you're super strong!\That's right!\Liberty! response:	Hi! I'm everyone's idol, Liberty!
context: That's so weird! You're Apple, but you have no fur!\That's right!\That's so weird! You're Apple, but you're not a stuffed animal!\That's right!\You're Apple, but you're super strong!\That's right!\Liberty!\Hi! I'm everyone's idol, Liberty! response:	Tell me, bear, why are you the only one who turned into some kind of hero?
context: That's right!\That's so weird! You're Apple, but you're not a stuffed animal!\That's right!\You're Apple, but you're super strong!\That's right!\Liberty!\Hi! I'm everyone's idol, Liberty!\Tell me, bear, why are you the only one who turned into some kind of hero? response:	Oh, well. Whatever.
context: That's so weird! You're Apple, but you're not a stuffed animal!\That's right!\You're Apple, but you're super strong!\That's right!\Liberty!\Hi! I'm everyone's idol, Liberty!\Tell me, bear, why are you the only one who turned into some kind of hero?\Oh, well. Whatever. response:	I'm just going to keep on pumping up this party. Enjoy!
context: That's right!\You're Apple, but you're super strong!\That's right!\Liberty!\Hi! I'm everyone's idol, Liberty!\Tell me, bear, why are you the only one who turned into some kind of hero?\Oh, well. Whatever.\I'm just going to keep on pumping up this party. Enjoy! response:	Bye!
context: You're Apple, but you're super strong!\That's right!\Liberty!\Hi! I'm everyone's idol, Liberty!\Tell me, bear, why are you the only one who turned into some kind of hero?\Oh, well. Whatever.\I'm just going to keep on pumping up this party. Enjoy!\Bye! response:	She disappeared?
context: That's right!\Liberty!\Hi! I'm everyone's idol, Liberty!\Tell me, bear, why are you the only one who turned into some kind of hero?\Oh, well. Whatever.\I'm just going to keep on pumping up this party. Enjoy!\Bye!\She disappeared? response:	A toy?
context: Liberty!\Hi! I'm everyone's idol, Liberty!\Tell me, bear, why are you the only one who turned into some kind of hero?\Oh, well. Whatever.\I'm just going to keep on pumping up this party. Enjoy!\Bye!\She disappeared?\A toy? response:	Fortunately, there were no casualties when the giant snowmen
context: Hi! I'm everyone's idol, Liberty!\Tell me, bear, why are you the only one who turned into some kind of hero?\Oh, well. Whatever.\I'm just going to keep on pumping up this party. Enjoy!\Bye!\She disappeared?\A toy?\Fortunately, there were no casualties when the giant snowmen response:	and toys appeared out of nowhere here in snowy New York.
context: Tell me, bear, why are you the only one who turned into some kind of hero?\Oh, well. Whatever.\I'm just going to keep on pumping up this party. Enjoy!\Bye!\She disappeared?\A toy?\Fortunately, there were no casualties when the giant snowmen\and toys appeared out of nowhere here in snowy New York. response:	It is thought that this was some sort of publicity stunt,
context: Oh, well. Whatever.\I'm just going to keep on pumping up this party. Enjoy!\Bye!\She disappeared?\A toy?\Fortunately, there were no casualties when the giant snowmen\and toys appeared out of nowhere here in snowy New York.\It is thought that this was some sort of publicity stunt, response:	but as of yet, nobody has claimed responsibility.
context: I'm just going to keep on pumping up this party. Enjoy!\Bye!\She disappeared?\A toy?\Fortunately, there were no casualties when the giant snowmen\and toys appeared out of nowhere here in snowy New York.\It is thought that this was some sort of publicity stunt,\but as of yet, nobody has claimed responsibility. response:	This is a video submitted by one of our viewers.
context: Bye!\She disappeared?\A toy?\Fortunately, there were no casualties when the giant snowmen\and toys appeared out of nowhere here in snowy New York.\It is thought that this was some sort of publicity stunt,\but as of yet, nobody has claimed responsibility.\This is a video submitted by one of our viewers. response:	This was an attack by monsters! This was a monster str
context: She disappeared?\A toy?\Fortunately, there were no casualties when the giant snowmen\and toys appeared out of nowhere here in snowy New York.\It is thought that this was some sort of publicity stunt,\but as of yet, nobody has claimed responsibility.\This is a video submitted by one of our viewers.\This was an attack by monsters! This was a monster str response:	This is all we have from the scene.
context: A toy?\Fortunately, there were no casualties when the giant snowmen\and toys appeared out of nowhere here in snowy New York.\It is thought that this was some sort of publicity stunt,\but as of yet, nobody has claimed responsibility.\This is a video submitted by one of our viewers.\This was an attack by monsters! This was a monster str\This is all we have from the scene. response:	You said your name was Apple.
context: Fortunately, there were no casualties when the giant snowmen\and toys appeared out of nowhere here in snowy New York.\It is thought that this was some sort of publicity stunt,\but as of yet, nobody has claimed responsibility.\This is a video submitted by one of our viewers.\This was an attack by monsters! This was a monster str\This is all we have from the scene.\You said your name was Apple. response:	So are you a bear?
context: and toys appeared out of nowhere here in snowy New York.\It is thought that this was some sort of publicity stunt,\but as of yet, nobody has claimed responsibility.\This is a video submitted by one of our viewers.\This was an attack by monsters! This was a monster str\This is all we have from the scene.\You said your name was Apple.\So are you a bear? response:	I wonder.
context: It is thought that this was some sort of publicity stunt,\but as of yet, nobody has claimed responsibility.\This is a video submitted by one of our viewers.\This was an attack by monsters! This was a monster str\This is all we have from the scene.\You said your name was Apple.\So are you a bear?\I wonder. response:	Are you human?
context: but as of yet, nobody has claimed responsibility.\This is a video submitted by one of our viewers.\This was an attack by monsters! This was a monster str\This is all we have from the scene.\You said your name was Apple.\So are you a bear?\I wonder.\Are you human? response:	I wonder.
context: This is a video submitted by one of our viewers.\This was an attack by monsters! This was a monster str\This is all we have from the scene.\You said your name was Apple.\So are you a bear?\I wonder.\Are you human?\I wonder. response:	I've always been with Akari, ever since that Christmas.
context: This was an attack by monsters! This was a monster str\This is all we have from the scene.\You said your name was Apple.\So are you a bear?\I wonder.\Are you human?\I wonder.\I've always been with Akari, ever since that Christmas. response:	That Christmas?
context: This is all we have from the scene.\You said your name was Apple.\So are you a bear?\I wonder.\Are you human?\I wonder.\I've always been with Akari, ever since that Christmas.\That Christmas? response:	It was when my family was still living in this city.
context: You said your name was Apple.\So are you a bear?\I wonder.\Are you human?\I wonder.\I've always been with Akari, ever since that Christmas.\That Christmas?\It was when my family was still living in this city. response:	Dad, when are you coming home today?
context: So are you a bear?\I wonder.\Are you human?\I wonder.\I've always been with Akari, ever since that Christmas.\That Christmas?\It was when my family was still living in this city.\Dad, when are you coming home today? response:	Mom said we're having a big feast with turkey and cake!
context: I wonder.\Are you human?\I wonder.\I've always been with Akari, ever since that Christmas.\That Christmas?\It was when my family was still living in this city.\Dad, when are you coming home today?\Mom said we're having a big feast with turkey and cake! response:	I'm sorry, Akari.
context: Are you human?\I wonder.\I've always been with Akari, ever since that Christmas.\That Christmas?\It was when my family was still living in this city.\Dad, when are you coming home today?\Mom said we're having a big feast with turkey and cake!\I'm sorry, Akari. response:	I won't be able to come home tonight.
context: I wonder.\I've always been with Akari, ever since that Christmas.\That Christmas?\It was when my family was still living in this city.\Dad, when are you coming home today?\Mom said we're having a big feast with turkey and cake!\I'm sorry, Akari.\I won't be able to come home tonight. response:	What? That's not fair!
context: I've always been with Akari, ever since that Christmas.\That Christmas?\It was when my family was still living in this city.\Dad, when are you coming home today?\Mom said we're having a big feast with turkey and cake!\I'm sorry, Akari.\I won't be able to come home tonight.\What? That's not fair! response:	But here's something you'll like!
context: That Christmas?\It was when my family was still living in this city.\Dad, when are you coming home today?\Mom said we're having a big feast with turkey and cake!\I'm sorry, Akari.\I won't be able to come home tonight.\What? That's not fair!\But here's something you'll like! response:	This year you'll get a present not just from Santa, but from me, too!
context: It was when my family was still living in this city.\Dad, when are you coming home today?\Mom said we're having a big feast with turkey and cake!\I'm sorry, Akari.\I won't be able to come home tonight.\What? That's not fair!\But here's something you'll like!\This year you'll get a present not just from Santa, but from me, too! response:	Really? What? What is it?!
context: Dad, when are you coming home today?\Mom said we're having a big feast with turkey and cake!\I'm sorry, Akari.\I won't be able to come home tonight.\What? That's not fair!\But here's something you'll like!\This year you'll get a present not just from Santa, but from me, too!\Really? What? What is it?! response:	You'll see when you wake up in the morning.
context: Mom said we're having a big feast with turkey and cake!\I'm sorry, Akari.\I won't be able to come home tonight.\What? That's not fair!\But here's something you'll like!\This year you'll get a present not just from Santa, but from me, too!\Really? What? What is it?!\You'll see when you wake up in the morning. response:	I'm off now.
context: I'm sorry, Akari.\I won't be able to come home tonight.\What? That's not fair!\But here's something you'll like!\This year you'll get a present not just from Santa, but from me, too!\Really? What? What is it?!\You'll see when you wake up in the morning.\I'm off now. response:	Okay. Work hard, Daddy!
context: I won't be able to come home tonight.\What? That's not fair!\But here's something you'll like!\This year you'll get a present not just from Santa, but from me, too!\Really? What? What is it?!\You'll see when you wake up in the morning.\I'm off now.\Okay. Work hard, Daddy! response:	Sure will. I'm going to protect New York.
context: What? That's not fair!\But here's something you'll like!\This year you'll get a present not just from Santa, but from me, too!\Really? What? What is it?!\You'll see when you wake up in the morning.\I'm off now.\Okay. Work hard, Daddy!\Sure will. I'm going to protect New York. response:	Especially because tonight is Christmas Eve.
context: But here's something you'll like!\This year you'll get a present not just from Santa, but from me, too!\Really? What? What is it?!\You'll see when you wake up in the morning.\I'm off now.\Okay. Work hard, Daddy!\Sure will. I'm going to protect New York.\Especially because tonight is Christmas Eve. response:	Bye-bye!
context: This year you'll get a present not just from Santa, but from me, too!\Really? What? What is it?!\You'll see when you wake up in the morning.\I'm off now.\Okay. Work hard, Daddy!\Sure will. I'm going to protect New York.\Especially because tonight is Christmas Eve.\Bye-bye! response:	But after he left for work that Christmas Eve night,
context: Really? What? What is it?!\You'll see when you wake up in the morning.\I'm off now.\Okay. Work hard, Daddy!\Sure will. I'm going to protect New York.\Especially because tonight is Christmas Eve.\Bye-bye!\But after he left for work that Christmas Eve night, response:	my dad never came back home.
context: You'll see when you wake up in the morning.\I'm off now.\Okay. Work hard, Daddy!\Sure will. I'm going to protect New York.\Especially because tonight is Christmas Eve.\Bye-bye!\But after he left for work that Christmas Eve night,\my dad never came back home. response:	I named it Apple.
context: I'm off now.\Okay. Work hard, Daddy!\Sure will. I'm going to protect New York.\Especially because tonight is Christmas Eve.\Bye-bye!\But after he left for work that Christmas Eve night,\my dad never came back home.\I named it Apple. response:	Because the city that my father protected, New York, was called the Big Apple.
context: Okay. Work hard, Daddy!\Sure will. I'm going to protect New York.\Especially because tonight is Christmas Eve.\Bye-bye!\But after he left for work that Christmas Eve night,\my dad never came back home.\I named it Apple.\Because the city that my father protected, New York, was called the Big Apple. response:	Ever since then, we've always, always been together.
context: Sure will. I'm going to protect New York.\Especially because tonight is Christmas Eve.\Bye-bye!\But after he left for work that Christmas Eve night,\my dad never came back home.\I named it Apple.\Because the city that my father protected, New York, was called the Big Apple.\Ever since then, we've always, always been together. response:	Stop, stop, stop.
context: Especially because tonight is Christmas Eve.\Bye-bye!\But after he left for work that Christmas Eve night,\my dad never came back home.\I named it Apple.\Because the city that my father protected, New York, was called the Big Apple.\Ever since then, we've always, always been together.\Stop, stop, stop. response:	I'm gonna lose all the salt in my body!
context: Bye-bye!\But after he left for work that Christmas Eve night,\my dad never came back home.\I named it Apple.\Because the city that my father protected, New York, was called the Big Apple.\Ever since then, we've always, always been together.\Stop, stop, stop.\I'm gonna lose all the salt in my body! response:	So how come you're a human instead of a stuffed animal now?
context: But after he left for work that Christmas Eve night,\my dad never came back home.\I named it Apple.\Because the city that my father protected, New York, was called the Big Apple.\Ever since then, we've always, always been together.\Stop, stop, stop.\I'm gonna lose all the salt in my body!\So how come you're a human instead of a stuffed animal now? response:	The reason I have this form is because of that sorceress.
context: my dad never came back home.\I named it Apple.\Because the city that my father protected, New York, was called the Big Apple.\Ever since then, we've always, always been together.\Stop, stop, stop.\I'm gonna lose all the salt in my body!\So how come you're a human instead of a stuffed animal now?\The reason I have this form is because of that sorceress. response:	Sorceress? You mean that flashy girl from before?
context: I named it Apple.\Because the city that my father protected, New York, was called the Big Apple.\Ever since then, we've always, always been together.\Stop, stop, stop.\I'm gonna lose all the salt in my body!\So how come you're a human instead of a stuffed animal now?\The reason I have this form is because of that sorceress.\Sorceress? You mean that flashy girl from before? response:	Yeah.
context: Because the city that my father protected, New York, was called the Big Apple.\Ever since then, we've always, always been together.\Stop, stop, stop.\I'm gonna lose all the salt in my body!\So how come you're a human instead of a stuffed animal now?\The reason I have this form is because of that sorceress.\Sorceress? You mean that flashy girl from before?\Yeah. response:	Her name is Liberty.
context: Ever since then, we've always, always been together.\Stop, stop, stop.\I'm gonna lose all the salt in my body!\So how come you're a human instead of a stuffed animal now?\The reason I have this form is because of that sorceress.\Sorceress? You mean that flashy girl from before?\Yeah.\Her name is Liberty. response:	She can give life to all sorts of things with her magic.
context: Stop, stop, stop.\I'm gonna lose all the salt in my body!\So how come you're a human instead of a stuffed animal now?\The reason I have this form is because of that sorceress.\Sorceress? You mean that flashy girl from before?\Yeah.\Her name is Liberty.\She can give life to all sorts of things with her magic. response:	Magic?!
context: I'm gonna lose all the salt in my body!\So how come you're a human instead of a stuffed animal now?\The reason I have this form is because of that sorceress.\Sorceress? You mean that flashy girl from before?\Yeah.\Her name is Liberty.\She can give life to all sorts of things with her magic.\Magic?! response:	So that's why all the toys started their rampage in the city earlier.
context: So how come you're a human instead of a stuffed animal now?\The reason I have this form is because of that sorceress.\Sorceress? You mean that flashy girl from before?\Yeah.\Her name is Liberty.\She can give life to all sorts of things with her magic.\Magic?!\So that's why all the toys started their rampage in the city earlier. response:	Yeah.
context: The reason I have this form is because of that sorceress.\Sorceress? You mean that flashy girl from before?\Yeah.\Her name is Liberty.\She can give life to all sorts of things with her magic.\Magic?!\So that's why all the toys started their rampage in the city earlier.\Yeah. response:	That Liberty girl was saying that she was going to keep pumping up the party.
context: Sorceress? You mean that flashy girl from before?\Yeah.\Her name is Liberty.\She can give life to all sorts of things with her magic.\Magic?!\So that's why all the toys started their rampage in the city earlier.\Yeah.\That Liberty girl was saying that she was going to keep pumping up the party. response:	What is she really trying to do?
context: Yeah.\Her name is Liberty.\She can give life to all sorts of things with her magic.\Magic?!\So that's why all the toys started their rampage in the city earlier.\Yeah.\That Liberty girl was saying that she was going to keep pumping up the party.\What is she really trying to do? response:	As you've heard, the actions, motives, and abilities of Liberty,
context: Her name is Liberty.\She can give life to all sorts of things with her magic.\Magic?!\So that's why all the toys started their rampage in the city earlier.\Yeah.\That Liberty girl was saying that she was going to keep pumping up the party.\What is she really trying to do?\As you've heard, the actions, motives, and abilities of Liberty, response:	the suspected mastermind behind this case, are unknown.
