context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: In a place like this...\Like this...!\What... is... this?!\Mov...\You probably don't understand,\but even with a Quirk like this, I have my own dream.\Now, lose for me.\Th-This is...! response:	Midoriya's stopped!
context: Like this...!\What... is... this?!\Mov...\You probably don't understand,\but even with a Quirk like this, I have my own dream.\Now, lose for me.\Th-This is...!\Midoriya's stopped! response:	Midoriya!
context: What... is... this?!\Mov...\You probably don't understand,\but even with a Quirk like this, I have my own dream.\Now, lose for me.\Th-This is...!\Midoriya's stopped!\Midoriya! response:	I'm... I'm so glad!
context: Mov...\You probably don't understand,\but even with a Quirk like this, I have my own dream.\Now, lose for me.\Th-This is...!\Midoriya's stopped!\Midoriya!\I'm... I'm so glad! response:	His fingers are...
context: You probably don't understand,\but even with a Quirk like this, I have my own dream.\Now, lose for me.\Th-This is...!\Midoriya's stopped!\Midoriya!\I'm... I'm so glad!\His fingers are... response:	Did he remove the brainwashing by making them explode?
context: but even with a Quirk like this, I have my own dream.\Now, lose for me.\Th-This is...!\Midoriya's stopped!\Midoriya!\I'm... I'm so glad!\His fingers are...\Did he remove the brainwashing by making them explode? response:	That's crazy...
context: Now, lose for me.\Th-This is...!\Midoriya's stopped!\Midoriya!\I'm... I'm so glad!\His fingers are...\Did he remove the brainwashing by making them explode?\That's crazy... response:	Why?
context: Th-This is...!\Midoriya's stopped!\Midoriya!\I'm... I'm so glad!\His fingers are...\Did he remove the brainwashing by making them explode?\That's crazy...\Why? response:	You shouldn't be able to move freely!
context: Midoriya's stopped!\Midoriya!\I'm... I'm so glad!\His fingers are...\Did he remove the brainwashing by making them explode?\That's crazy...\Why?\You shouldn't be able to move freely! response:	What did you do?
context: Midoriya!\I'm... I'm so glad!\His fingers are...\Did he remove the brainwashing by making them explode?\That's crazy...\Why?\You shouldn't be able to move freely!\What did you do? response:	I'm the one who discharged my fingers.
context: I'm... I'm so glad!\His fingers are...\Did he remove the brainwashing by making them explode?\That's crazy...\Why?\You shouldn't be able to move freely!\What did you do?\I'm the one who discharged my fingers. response:	But I wasn't the one who moved them.
context: His fingers are...\Did he remove the brainwashing by making them explode?\That's crazy...\Why?\You shouldn't be able to move freely!\What did you do?\I'm the one who discharged my fingers.\But I wasn't the one who moved them. response:	What happened?
context: Did he remove the brainwashing by making them explode?\That's crazy...\Why?\You shouldn't be able to move freely!\What did you do?\I'm the one who discharged my fingers.\But I wasn't the one who moved them.\What happened? response:	People I didn't know came to mind,
context: That's crazy...\Why?\You shouldn't be able to move freely!\What did you do?\I'm the one who discharged my fingers.\But I wasn't the one who moved them.\What happened?\People I didn't know came to mind, response:	and for a second, my mind was clear!
context: Why?\You shouldn't be able to move freely!\What did you do?\I'm the one who discharged my fingers.\But I wasn't the one who moved them.\What happened?\People I didn't know came to mind,\and for a second, my mind was clear! response:	That was...
context: You shouldn't be able to move freely!\What did you do?\I'm the one who discharged my fingers.\But I wasn't the one who moved them.\What happened?\People I didn't know came to mind,\and for a second, my mind was clear!\That was... response:	One For All.
context: What did you do?\I'm the one who discharged my fingers.\But I wasn't the one who moved them.\What happened?\People I didn't know came to mind,\and for a second, my mind was clear!\That was...\One For All. response:	Passed on to me like a sacred torch.
context: I'm the one who discharged my fingers.\But I wasn't the one who moved them.\What happened?\People I didn't know came to mind,\and for a second, my mind was clear!\That was...\One For All.\Passed on to me like a sacred torch. response:	The people...
context: But I wasn't the one who moved them.\What happened?\People I didn't know came to mind,\and for a second, my mind was clear!\That was...\One For All.\Passed on to me like a sacred torch.\The people... response:	The presence of the people who spun together this power...
context: What happened?\People I didn't know came to mind,\and for a second, my mind was clear!\That was...\One For All.\Passed on to me like a sacred torch.\The people...\The presence of the people who spun together this power... response:	Did they save me? Is that even possible?
context: People I didn't know came to mind,\and for a second, my mind was clear!\That was...\One For All.\Passed on to me like a sacred torch.\The people...\The presence of the people who spun together this power...\Did they save me? Is that even possible? response:	What did you do?!
context: and for a second, my mind was clear!\That was...\One For All.\Passed on to me like a sacred torch.\The people...\The presence of the people who spun together this power...\Did they save me? Is that even possible?\What did you do?! response:	Even if I think about it now, I won't find the answer.
context: That was...\One For All.\Passed on to me like a sacred torch.\The people...\The presence of the people who spun together this power...\Did they save me? Is that even possible?\What did you do?!\Even if I think about it now, I won't find the answer. response:	Later... Thinking can come later!
context: One For All.\Passed on to me like a sacred torch.\The people...\The presence of the people who spun together this power...\Did they save me? Is that even possible?\What did you do?!\Even if I think about it now, I won't find the answer.\Later... Thinking can come later! response:	He won't answer... Did he figure out my secret?
context: Passed on to me like a sacred torch.\The people...\The presence of the people who spun together this power...\Did they save me? Is that even possible?\What did you do?!\Even if I think about it now, I won't find the answer.\Later... Thinking can come later!\He won't answer... Did he figure out my secret? response:	No, he should've heard from that monkey from the beginning.
context: The people...\The presence of the people who spun together this power...\Did they save me? Is that even possible?\What did you do?!\Even if I think about it now, I won't find the answer.\Later... Thinking can come later!\He won't answer... Did he figure out my secret?\No, he should've heard from that monkey from the beginning. response:	All I can do is make him talk again...
context: The presence of the people who spun together this power...\Did they save me? Is that even possible?\What did you do?!\Even if I think about it now, I won't find the answer.\Later... Thinking can come later!\He won't answer... Did he figure out my secret?\No, he should've heard from that monkey from the beginning.\All I can do is make him talk again... response:	Say something.
context: Did they save me? Is that even possible?\What did you do?!\Even if I think about it now, I won't find the answer.\Later... Thinking can come later!\He won't answer... Did he figure out my secret?\No, he should've heard from that monkey from the beginning.\All I can do is make him talk again...\Say something. response:	You can produce that much power just by moving your fingers?
context: What did you do?!\Even if I think about it now, I won't find the answer.\Later... Thinking can come later!\He won't answer... Did he figure out my secret?\No, he should've heard from that monkey from the beginning.\All I can do is make him talk again...\Say something.\You can produce that much power just by moving your fingers? response:	I'm jealous.
context: Even if I think about it now, I won't find the answer.\Later... Thinking can come later!\He won't answer... Did he figure out my secret?\No, he should've heard from that monkey from the beginning.\All I can do is make him talk again...\Say something.\You can produce that much power just by moving your fingers?\I'm jealous. response:	I felt the same way in the past.
context: Later... Thinking can come later!\He won't answer... Did he figure out my secret?\No, he should've heard from that monkey from the beginning.\All I can do is make him talk again...\Say something.\You can produce that much power just by moving your fingers?\I'm jealous.\I felt the same way in the past. response:	Thanks to my Quirk, I've been behind from the start.
context: He won't answer... Did he figure out my secret?\No, he should've heard from that monkey from the beginning.\All I can do is make him talk again...\Say something.\You can produce that much power just by moving your fingers?\I'm jealous.\I felt the same way in the past.\Thanks to my Quirk, I've been behind from the start. response:	Someone who's been blessed like you can't understand, can you?
context: No, he should've heard from that monkey from the beginning.\All I can do is make him talk again...\Say something.\You can produce that much power just by moving your fingers?\I'm jealous.\I felt the same way in the past.\Thanks to my Quirk, I've been behind from the start.\Someone who's been blessed like you can't understand, can you? response:	I do understand.
context: All I can do is make him talk again...\Say something.\You can produce that much power just by moving your fingers?\I'm jealous.\I felt the same way in the past.\Thanks to my Quirk, I've been behind from the start.\Someone who's been blessed like you can't understand, can you?\I do understand. response:	But, it's true... I've been blessed.
context: Say something.\You can produce that much power just by moving your fingers?\I'm jealous.\I felt the same way in the past.\Thanks to my Quirk, I've been behind from the start.\Someone who's been blessed like you can't understand, can you?\I do understand.\But, it's true... I've been blessed. response:	Someone like you who was born with the ideal Quirk!
context: You can produce that much power just by moving your fingers?\I'm jealous.\I felt the same way in the past.\Thanks to my Quirk, I've been behind from the start.\Someone who's been blessed like you can't understand, can you?\I do understand.\But, it's true... I've been blessed.\Someone like you who was born with the ideal Quirk! response:	Someone who can reach your goal!
context: I'm jealous.\I felt the same way in the past.\Thanks to my Quirk, I've been behind from the start.\Someone who's been blessed like you can't understand, can you?\I do understand.\But, it's true... I've been blessed.\Someone like you who was born with the ideal Quirk!\Someone who can reach your goal! response:	I've been blessed by others!
context: I felt the same way in the past.\Thanks to my Quirk, I've been behind from the start.\Someone who's been blessed like you can't understand, can you?\I do understand.\But, it's true... I've been blessed.\Someone like you who was born with the ideal Quirk!\Someone who can reach your goal!\I've been blessed by others! response:	That's why!
context: Thanks to my Quirk, I've been behind from the start.\Someone who's been blessed like you can't understand, can you?\I do understand.\But, it's true... I've been blessed.\Someone like you who was born with the ideal Quirk!\Someone who can reach your goal!\I've been blessed by others!\That's why! response:	Say something!
context: Someone who's been blessed like you can't understand, can you?\I do understand.\But, it's true... I've been blessed.\Someone like you who was born with the ideal Quirk!\Someone who can reach your goal!\I've been blessed by others!\That's why!\Say something! response:	I can't...
context: I do understand.\But, it's true... I've been blessed.\Someone like you who was born with the ideal Quirk!\Someone who can reach your goal!\I've been blessed by others!\That's why!\Say something!\I can't... response:	Is he trying to push me out?
context: But, it's true... I've been blessed.\Someone like you who was born with the ideal Quirk!\Someone who can reach your goal!\I've been blessed by others!\That's why!\Say something!\I can't...\Is he trying to push me out? response:	You've got to be kidding!
context: Someone like you who was born with the ideal Quirk!\Someone who can reach your goal!\I've been blessed by others!\That's why!\Say something!\I can't...\Is he trying to push me out?\You've got to be kidding! response:	You get out!
context: Someone who can reach your goal!\I've been blessed by others!\That's why!\Say something!\I can't...\Is he trying to push me out?\You've got to be kidding!\You get out! response:	I can't lose...!
context: I've been blessed by others!\That's why!\Say something!\I can't...\Is he trying to push me out?\You've got to be kidding!\You get out!\I can't lose...! response:	Shinso is out of bounds!
context: That's why!\Say something!\I can't...\Is he trying to push me out?\You've got to be kidding!\You get out!\I can't lose...!\Shinso is out of bounds! response:	Midoriya advances to round two!
context: Say something!\I can't...\Is he trying to push me out?\You've got to be kidding!\You get out!\I can't lose...!\Shinso is out of bounds!\Midoriya advances to round two! response:	Three Years Ago
context: I can't...\Is he trying to push me out?\You've got to be kidding!\You get out!\I can't lose...!\Shinso is out of bounds!\Midoriya advances to round two!\Three Years Ago response:	Nabooh City Middle School
context: Is he trying to push me out?\You've got to be kidding!\You get out!\I can't lose...!\Shinso is out of bounds!\Midoriya advances to round two!\Three Years Ago\Nabooh City Middle School response:	Wow, Shinso, your Quirk is Brainwashing?
context: You've got to be kidding!\You get out!\I can't lose...!\Shinso is out of bounds!\Midoriya advances to round two!\Three Years Ago\Nabooh City Middle School\Wow, Shinso, your Quirk is Brainwashing? response:	Seriously?
context: You get out!\I can't lose...!\Shinso is out of bounds!\Midoriya advances to round two!\Three Years Ago\Nabooh City Middle School\Wow, Shinso, your Quirk is Brainwashing?\Seriously? response:	That's amazing! I've never heard of that before!
context: I can't lose...!\Shinso is out of bounds!\Midoriya advances to round two!\Three Years Ago\Nabooh City Middle School\Wow, Shinso, your Quirk is Brainwashing?\Seriously?\That's amazing! I've never heard of that before! response:	I'm so jealous...
context: Shinso is out of bounds!\Midoriya advances to round two!\Three Years Ago\Nabooh City Middle School\Wow, Shinso, your Quirk is Brainwashing?\Seriously?\That's amazing! I've never heard of that before!\I'm so jealous... response:	I can't believe you can control anyone!
context: Midoriya advances to round two!\Three Years Ago\Nabooh City Middle School\Wow, Shinso, your Quirk is Brainwashing?\Seriously?\That's amazing! I've never heard of that before!\I'm so jealous...\I can't believe you can control anyone! response:	You can do as much bad stuff as you want!
context: Three Years Ago\Nabooh City Middle School\Wow, Shinso, your Quirk is Brainwashing?\Seriously?\That's amazing! I've never heard of that before!\I'm so jealous...\I can't believe you can control anyone!\You can do as much bad stuff as you want! response:	No one'd know it was you.
context: Nabooh City Middle School\Wow, Shinso, your Quirk is Brainwashing?\Seriously?\That's amazing! I've never heard of that before!\I'm so jealous...\I can't believe you can control anyone!\You can do as much bad stuff as you want!\No one'd know it was you. response:	Don't control us, okay?
context: Wow, Shinso, your Quirk is Brainwashing?\Seriously?\That's amazing! I've never heard of that before!\I'm so jealous...\I can't believe you can control anyone!\You can do as much bad stuff as you want!\No one'd know it was you.\Don't control us, okay? response:	Everyone says that.
context: Seriously?\That's amazing! I've never heard of that before!\I'm so jealous...\I can't believe you can control anyone!\You can do as much bad stuff as you want!\No one'd know it was you.\Don't control us, okay?\Everyone says that. response:	Of course, if someone else had it, the first thing
context: That's amazing! I've never heard of that before!\I'm so jealous...\I can't believe you can control anyone!\You can do as much bad stuff as you want!\No one'd know it was you.\Don't control us, okay?\Everyone says that.\Of course, if someone else had it, the first thing response:	I'd think is that they'd use it for evil, too.
context: I'm so jealous...\I can't believe you can control anyone!\You can do as much bad stuff as you want!\No one'd know it was you.\Don't control us, okay?\Everyone says that.\Of course, if someone else had it, the first thing\I'd think is that they'd use it for evil, too. response:	Criminal...
context: I can't believe you can control anyone!\You can do as much bad stuff as you want!\No one'd know it was you.\Don't control us, okay?\Everyone says that.\Of course, if someone else had it, the first thing\I'd think is that they'd use it for evil, too.\Criminal... response:	It's good for being a villain, huh? I'm used to people insinuating that about me.
context: You can do as much bad stuff as you want!\No one'd know it was you.\Don't control us, okay?\Everyone says that.\Of course, if someone else had it, the first thing\I'd think is that they'd use it for evil, too.\Criminal...\It's good for being a villain, huh? I'm used to people insinuating that about me. response:	That's just what the world is like.
context: No one'd know it was you.\Don't control us, okay?\Everyone says that.\Of course, if someone else had it, the first thing\I'd think is that they'd use it for evil, too.\Criminal...\It's good for being a villain, huh? I'm used to people insinuating that about me.\That's just what the world is like. response:	But you know...
context: Don't control us, okay?\Everyone says that.\Of course, if someone else had it, the first thing\I'd think is that they'd use it for evil, too.\Criminal...\It's good for being a villain, huh? I'm used to people insinuating that about me.\That's just what the world is like.\But you know... response:	But...
context: Everyone says that.\Of course, if someone else had it, the first thing\I'd think is that they'd use it for evil, too.\Criminal...\It's good for being a villain, huh? I'm used to people insinuating that about me.\That's just what the world is like.\But you know...\But... response:	In the finals, the first person to advance to the second round
context: Of course, if someone else had it, the first thing\I'd think is that they'd use it for evil, too.\Criminal...\It's good for being a villain, huh? I'm used to people insinuating that about me.\That's just what the world is like.\But you know...\But...\In the finals, the first person to advance to the second round response:	is Izuku Midoriya from Class A!
context: I'd think is that they'd use it for evil, too.\Criminal...\It's good for being a villain, huh? I'm used to people insinuating that about me.\That's just what the world is like.\But you know...\But...\In the finals, the first person to advance to the second round\is Izuku Midoriya from Class A! response:	I was so nervous!
context: Criminal...\It's good for being a villain, huh? I'm used to people insinuating that about me.\That's just what the world is like.\But you know...\But...\In the finals, the first person to advance to the second round\is Izuku Midoriya from Class A!\I was so nervous! response:	Turning the tables at the last moment!
context: It's good for being a villain, huh? I'm used to people insinuating that about me.\That's just what the world is like.\But you know...\But...\In the finals, the first person to advance to the second round\is Izuku Midoriya from Class A!\I was so nervous!\Turning the tables at the last moment! response:	As expected of Midoriya!
context: That's just what the world is like.\But you know...\But...\In the finals, the first person to advance to the second round\is Izuku Midoriya from Class A!\I was so nervous!\Turning the tables at the last moment!\As expected of Midoriya! response:	He did that shoulder toss on you before, too, didn't he?
context: But you know...\But...\In the finals, the first person to advance to the second round\is Izuku Midoriya from Class A!\I was so nervous!\Turning the tables at the last moment!\As expected of Midoriya!\He did that shoulder toss on you before, too, didn't he? response:	Shut up, Dunce Face.
context: But...\In the finals, the first person to advance to the second round\is Izuku Midoriya from Class A!\I was so nervous!\Turning the tables at the last moment!\As expected of Midoriya!\He did that shoulder toss on you before, too, didn't he?\Shut up, Dunce Face. response:	That damn...
context: In the finals, the first person to advance to the second round\is Izuku Midoriya from Class A!\I was so nervous!\Turning the tables at the last moment!\As expected of Midoriya!\He did that shoulder toss on you before, too, didn't he?\Shut up, Dunce Face.\That damn... response:	He was definitely aiming for it!
context: is Izuku Midoriya from Class A!\I was so nervous!\Turning the tables at the last moment!\As expected of Midoriya!\He did that shoulder toss on you before, too, didn't he?\Shut up, Dunce Face.\That damn...\He was definitely aiming for it! response:	He led him right into it!
context: I was so nervous!\Turning the tables at the last moment!\As expected of Midoriya!\He did that shoulder toss on you before, too, didn't he?\Shut up, Dunce Face.\That damn...\He was definitely aiming for it!\He led him right into it! response:	Using his power on part of his body like at the fitness test
context: Turning the tables at the last moment!\As expected of Midoriya!\He did that shoulder toss on you before, too, didn't he?\Shut up, Dunce Face.\That damn...\He was definitely aiming for it!\He led him right into it!\Using his power on part of his body like at the fitness test response:	and the throw from the combat training...
context: As expected of Midoriya!\He did that shoulder toss on you before, too, didn't he?\Shut up, Dunce Face.\That damn...\He was definitely aiming for it!\He led him right into it!\Using his power on part of his body like at the fitness test\and the throw from the combat training... response:	Rather than calling it the best use of his experience,
context: He did that shoulder toss on you before, too, didn't he?\Shut up, Dunce Face.\That damn...\He was definitely aiming for it!\He led him right into it!\Using his power on part of his body like at the fitness test\and the throw from the combat training...\Rather than calling it the best use of his experience, response:	it's like he's using any experience he can to force the flow to change in his favor.
context: Shut up, Dunce Face.\That damn...\He was definitely aiming for it!\He led him right into it!\Using his power on part of his body like at the fitness test\and the throw from the combat training...\Rather than calling it the best use of his experience,\it's like he's using any experience he can to force the flow to change in his favor. response:	Izuku Midoriya
context: That damn...\He was definitely aiming for it!\He led him right into it!\Using his power on part of his body like at the fitness test\and the throw from the combat training...\Rather than calling it the best use of his experience,\it's like he's using any experience he can to force the flow to change in his favor.\Izuku Midoriya response:	Yahoo!
context: He was definitely aiming for it!\He led him right into it!\Using his power on part of his body like at the fitness test\and the throw from the combat training...\Rather than calling it the best use of his experience,\it's like he's using any experience he can to force the flow to change in his favor.\Izuku Midoriya\Yahoo! response:	That was kind of a boring first match,
context: He led him right into it!\Using his power on part of his body like at the fitness test\and the throw from the combat training...\Rather than calling it the best use of his experience,\it's like he's using any experience he can to force the flow to change in his favor.\Izuku Midoriya\Yahoo!\That was kind of a boring first match, response:	but we should praise them both for a bravely fought match.
context: Using his power on part of his body like at the fitness test\and the throw from the combat training...\Rather than calling it the best use of his experience,\it's like he's using any experience he can to force the flow to change in his favor.\Izuku Midoriya\Yahoo!\That was kind of a boring first match,\but we should praise them both for a bravely fought match. response:	Clap your hands!
context: and the throw from the combat training...\Rather than calling it the best use of his experience,\it's like he's using any experience he can to force the flow to change in his favor.\Izuku Midoriya\Yahoo!\That was kind of a boring first match,\but we should praise them both for a bravely fought match.\Clap your hands! response:	Someone who's been blessed like you can't understand, can you?
context: Rather than calling it the best use of his experience,\it's like he's using any experience he can to force the flow to change in his favor.\Izuku Midoriya\Yahoo!\That was kind of a boring first match,\but we should praise them both for a bravely fought match.\Clap your hands!\Someone who's been blessed like you can't understand, can you? response:	Someone who can reach your goal!
context: it's like he's using any experience he can to force the flow to change in his favor.\Izuku Midoriya\Yahoo!\That was kind of a boring first match,\but we should praise them both for a bravely fought match.\Clap your hands!\Someone who's been blessed like you can't understand, can you?\Someone who can reach your goal! response:	Shinso, why do you want to be a hero?
context: Izuku Midoriya\Yahoo!\That was kind of a boring first match,\but we should praise them both for a bravely fought match.\Clap your hands!\Someone who's been blessed like you can't understand, can you?\Someone who can reach your goal!\Shinso, why do you want to be a hero? response:	But you know...
context: Yahoo!\That was kind of a boring first match,\but we should praise them both for a bravely fought match.\Clap your hands!\Someone who's been blessed like you can't understand, can you?\Someone who can reach your goal!\Shinso, why do you want to be a hero?\But you know... response:	You can't help the things you long for.
context: That was kind of a boring first match,\but we should praise them both for a bravely fought match.\Clap your hands!\Someone who's been blessed like you can't understand, can you?\Someone who can reach your goal!\Shinso, why do you want to be a hero?\But you know...\You can't help the things you long for. response:	I felt the same way before I inherited One For All.
context: but we should praise them both for a bravely fought match.\Clap your hands!\Someone who's been blessed like you can't understand, can you?\Someone who can reach your goal!\Shinso, why do you want to be a hero?\But you know...\You can't help the things you long for.\I felt the same way before I inherited One For All. response:	But...
context: Clap your hands!\Someone who's been blessed like you can't understand, can you?\Someone who can reach your goal!\Shinso, why do you want to be a hero?\But you know...\You can't help the things you long for.\I felt the same way before I inherited One For All.\But... response:	No matter what I say right now...
context: Someone who's been blessed like you can't understand, can you?\Someone who can reach your goal!\Shinso, why do you want to be a hero?\But you know...\You can't help the things you long for.\I felt the same way before I inherited One For All.\But...\No matter what I say right now... response:	You were really cool, Shinso!
context: Someone who can reach your goal!\Shinso, why do you want to be a hero?\But you know...\You can't help the things you long for.\I felt the same way before I inherited One For All.\But...\No matter what I say right now...\You were really cool, Shinso! response:	Good job!
context: Shinso, why do you want to be a hero?\But you know...\You can't help the things you long for.\I felt the same way before I inherited One For All.\But...\No matter what I say right now...\You were really cool, Shinso!\Good job! response:	I was really surprised!
context: But you know...\You can't help the things you long for.\I felt the same way before I inherited One For All.\But...\No matter what I say right now...\You were really cool, Shinso!\Good job!\I was really surprised! response:	You're the star of general studies!
context: You can't help the things you long for.\I felt the same way before I inherited One For All.\But...\No matter what I say right now...\You were really cool, Shinso!\Good job!\I was really surprised!\You're the star of general studies! response:	You put up a great fight against the guy who placed first in the obstacle course!
context: I felt the same way before I inherited One For All.\But...\No matter what I say right now...\You were really cool, Shinso!\Good job!\I was really surprised!\You're the star of general studies!\You put up a great fight against the guy who placed first in the obstacle course! response:	Besides-
context: But...\No matter what I say right now...\You were really cool, Shinso!\Good job!\I was really surprised!\You're the star of general studies!\You put up a great fight against the guy who placed first in the obstacle course!\Besides- response:	That Quirk would work quite well against villains. I wish I had it.
context: No matter what I say right now...\You were really cool, Shinso!\Good job!\I was really surprised!\You're the star of general studies!\You put up a great fight against the guy who placed first in the obstacle course!\Besides-\That Quirk would work quite well against villains. I wish I had it. response:	Well, they've got a ton of people applying, so some things just can't be helped.
context: You were really cool, Shinso!\Good job!\I was really surprised!\You're the star of general studies!\You put up a great fight against the guy who placed first in the obstacle course!\Besides-\That Quirk would work quite well against villains. I wish I had it.\Well, they've got a ton of people applying, so some things just can't be helped. response:	It was the difference in combat experience, huh?
context: Good job!\I was really surprised!\You're the star of general studies!\You put up a great fight against the guy who placed first in the obstacle course!\Besides-\That Quirk would work quite well against villains. I wish I had it.\Well, they've got a ton of people applying, so some things just can't be helped.\It was the difference in combat experience, huh? response:	Yeah, it ends up making a big difference.
context: I was really surprised!\You're the star of general studies!\You put up a great fight against the guy who placed first in the obstacle course!\Besides-\That Quirk would work quite well against villains. I wish I had it.\Well, they've got a ton of people applying, so some things just can't be helped.\It was the difference in combat experience, huh?\Yeah, it ends up making a big difference. response:	What a waste.
context: You're the star of general studies!\You put up a great fight against the guy who placed first in the obstacle course!\Besides-\That Quirk would work quite well against villains. I wish I had it.\Well, they've got a ton of people applying, so some things just can't be helped.\It was the difference in combat experience, huh?\Yeah, it ends up making a big difference.\What a waste. response:	You hear that, Shinso?
context: You put up a great fight against the guy who placed first in the obstacle course!\Besides-\That Quirk would work quite well against villains. I wish I had it.\Well, they've got a ton of people applying, so some things just can't be helped.\It was the difference in combat experience, huh?\Yeah, it ends up making a big difference.\What a waste.\You hear that, Shinso? response:	You're amazing!
context: Besides-\That Quirk would work quite well against villains. I wish I had it.\Well, they've got a ton of people applying, so some things just can't be helped.\It was the difference in combat experience, huh?\Yeah, it ends up making a big difference.\What a waste.\You hear that, Shinso?\You're amazing! response:	Depending on the results, they'll consider our transfer into the hero course.
context: That Quirk would work quite well against villains. I wish I had it.\Well, they've got a ton of people applying, so some things just can't be helped.\It was the difference in combat experience, huh?\Yeah, it ends up making a big difference.\What a waste.\You hear that, Shinso?\You're amazing!\Depending on the results, they'll consider our transfer into the hero course. response:	Remember that.
context: Well, they've got a ton of people applying, so some things just can't be helped.\It was the difference in combat experience, huh?\Yeah, it ends up making a big difference.\What a waste.\You hear that, Shinso?\You're amazing!\Depending on the results, they'll consider our transfer into the hero course.\Remember that. response:	Even if it didn't work this time, I definitely won't give up.
context: It was the difference in combat experience, huh?\Yeah, it ends up making a big difference.\What a waste.\You hear that, Shinso?\You're amazing!\Depending on the results, they'll consider our transfer into the hero course.\Remember that.\Even if it didn't work this time, I definitely won't give up. response:	I'll get into the hero course, get certified,
context: Yeah, it ends up making a big difference.\What a waste.\You hear that, Shinso?\You're amazing!\Depending on the results, they'll consider our transfer into the hero course.\Remember that.\Even if it didn't work this time, I definitely won't give up.\I'll get into the hero course, get certified, response:	and I'll definitely become a better hero than you guys!
context: What a waste.\You hear that, Shinso?\You're amazing!\Depending on the results, they'll consider our transfer into the hero course.\Remember that.\Even if it didn't work this time, I definitely won't give up.\I'll get into the hero course, get certified,\and I'll definitely become a better hero than you guys! response:	Yeah!
context: You hear that, Shinso?\You're amazing!\Depending on the results, they'll consider our transfer into the hero course.\Remember that.\Even if it didn't work this time, I definitely won't give up.\I'll get into the hero course, get certified,\and I'll definitely become a better hero than you guys!\Yeah! response:	He got me!
context: You're amazing!\Depending on the results, they'll consider our transfer into the hero course.\Remember that.\Even if it didn't work this time, I definitely won't give up.\I'll get into the hero course, get certified,\and I'll definitely become a better hero than you guys!\Yeah!\He got me! response:	Even though the match is over, what's he...?
context: Depending on the results, they'll consider our transfer into the hero course.\Remember that.\Even if it didn't work this time, I definitely won't give up.\I'll get into the hero course, get certified,\and I'll definitely become a better hero than you guys!\Yeah!\He got me!\Even though the match is over, what's he...? response:	People are usually wary when they talk to me, though...
context: Remember that.\Even if it didn't work this time, I definitely won't give up.\I'll get into the hero course, get certified,\and I'll definitely become a better hero than you guys!\Yeah!\He got me!\Even though the match is over, what's he...?\People are usually wary when they talk to me, though... response:	At this rate, someone'll trip you up in no time.
context: Even if it didn't work this time, I definitely won't give up.\I'll get into the hero course, get certified,\and I'll definitely become a better hero than you guys!\Yeah!\He got me!\Even though the match is over, what's he...?\People are usually wary when they talk to me, though...\At this rate, someone'll trip you up in no time. response:	At least...
context: I'll get into the hero course, get certified,\and I'll definitely become a better hero than you guys!\Yeah!\He got me!\Even though the match is over, what's he...?\People are usually wary when they talk to me, though...\At this rate, someone'll trip you up in no time.\At least... response:	Shinso...
context: and I'll definitely become a better hero than you guys!\Yeah!\He got me!\Even though the match is over, what's he...?\People are usually wary when they talk to me, though...\At this rate, someone'll trip you up in no time.\At least...\Shinso... response:	I won't!
context: Yeah!\He got me!\Even though the match is over, what's he...?\People are usually wary when they talk to me, though...\At this rate, someone'll trip you up in no time.\At least...\Shinso...\I won't! response:	Recovery Girl's Temporary Nurse's Office
context: He got me!\Even though the match is over, what's he...?\People are usually wary when they talk to me, though...\At this rate, someone'll trip you up in no time.\At least...\Shinso...\I won't!\Recovery Girl's Temporary Nurse's Office response:	Kiss!
context: Even though the match is over, what's he...?\People are usually wary when they talk to me, though...\At this rate, someone'll trip you up in no time.\At least...\Shinso...\I won't!\Recovery Girl's Temporary Nurse's Office\Kiss! response:	That should do it.
context: People are usually wary when they talk to me, though...\At this rate, someone'll trip you up in no time.\At least...\Shinso...\I won't!\Recovery Girl's Temporary Nurse's Office\Kiss!\That should do it. response:	In the match with Shinso, I couldn't smile at all.
context: At this rate, someone'll trip you up in no time.\At least...\Shinso...\I won't!\Recovery Girl's Temporary Nurse's Office\Kiss!\That should do it.\In the match with Shinso, I couldn't smile at all. response:	Well, his cries hit close to home for you, huh?
context: At least...\Shinso...\I won't!\Recovery Girl's Temporary Nurse's Office\Kiss!\That should do it.\In the match with Shinso, I couldn't smile at all.\Well, his cries hit close to home for you, huh? response:	But that didn't mean that I could lose.
context: Shinso...\I won't!\Recovery Girl's Temporary Nurse's Office\Kiss!\That should do it.\In the match with Shinso, I couldn't smile at all.\Well, his cries hit close to home for you, huh?\But that didn't mean that I could lose. response:	That's what it means to aim for number one, right?
context: I won't!\Recovery Girl's Temporary Nurse's Office\Kiss!\That should do it.\In the match with Shinso, I couldn't smile at all.\Well, his cries hit close to home for you, huh?\But that didn't mean that I could lose.\That's what it means to aim for number one, right? response:	Poor thing.
context: Recovery Girl's Temporary Nurse's Office\Kiss!\That should do it.\In the match with Shinso, I couldn't smile at all.\Well, his cries hit close to home for you, huh?\But that didn't mean that I could lose.\That's what it means to aim for number one, right?\Poor thing. response:	You put some weird pressure on him again, didn't you?
