context: -HALF- response:	Insert
context: Well, if anything, you should thank her.\So I wanna try it!\Thank you, come again!\Is this really gonna be enough?\Its structure has piqued my interest since I saw you eating one in school.\You tear it open here, then split the packaging.\Take the two sides and pull them.\That's so cool! response:	It is?
context: So I wanna try it!\Thank you, come again!\Is this really gonna be enough?\Its structure has piqued my interest since I saw you eating one in school.\You tear it open here, then split the packaging.\Take the two sides and pull them.\That's so cool!\It is? response:	It's good.
context: Thank you, come again!\Is this really gonna be enough?\Its structure has piqued my interest since I saw you eating one in school.\You tear it open here, then split the packaging.\Take the two sides and pull them.\That's so cool!\It is?\It's good. response:	Tooka would be red-hot furious if she saw you now.
context: Is this really gonna be enough?\Its structure has piqued my interest since I saw you eating one in school.\You tear it open here, then split the packaging.\Take the two sides and pull them.\That's so cool!\It is?\It's good.\Tooka would be red-hot furious if she saw you now. response:	Here, have some fried chicken.
context: Its structure has piqued my interest since I saw you eating one in school.\You tear it open here, then split the packaging.\Take the two sides and pull them.\That's so cool!\It is?\It's good.\Tooka would be red-hot furious if she saw you now.\Here, have some fried chicken. response:	Quite a smart taste.
context: You tear it open here, then split the packaging.\Take the two sides and pull them.\That's so cool!\It is?\It's good.\Tooka would be red-hot furious if she saw you now.\Here, have some fried chicken.\Quite a smart taste. response:	How can something taste smart?
context: Take the two sides and pull them.\That's so cool!\It is?\It's good.\Tooka would be red-hot furious if she saw you now.\Here, have some fried chicken.\Quite a smart taste.\How can something taste smart? response:	What about your rice ball?
context: That's so cool!\It is?\It's good.\Tooka would be red-hot furious if she saw you now.\Here, have some fried chicken.\Quite a smart taste.\How can something taste smart?\What about your rice ball? response:	Wanna have a bite?
context: It is?\It's good.\Tooka would be red-hot furious if she saw you now.\Here, have some fried chicken.\Quite a smart taste.\How can something taste smart?\What about your rice ball?\Wanna have a bite? response:	Here.
context: It's good.\Tooka would be red-hot furious if she saw you now.\Here, have some fried chicken.\Quite a smart taste.\How can something taste smart?\What about your rice ball?\Wanna have a bite?\Here. response:	Spicy, isn't it?
context: Tooka would be red-hot furious if she saw you now.\Here, have some fried chicken.\Quite a smart taste.\How can something taste smart?\What about your rice ball?\Wanna have a bite?\Here.\Spicy, isn't it? response:	That's mean!
context: Here, have some fried chicken.\Quite a smart taste.\How can something taste smart?\What about your rice ball?\Wanna have a bite?\Here.\Spicy, isn't it?\That's mean! response:	Sorry, sorry.
context: Quite a smart taste.\How can something taste smart?\What about your rice ball?\Wanna have a bite?\Here.\Spicy, isn't it?\That's mean!\Sorry, sorry. response:	Here, have this to make up for it.
context: How can something taste smart?\What about your rice ball?\Wanna have a bite?\Here.\Spicy, isn't it?\That's mean!\Sorry, sorry.\Here, have this to make up for it. response:	Red means danger!
context: What about your rice ball?\Wanna have a bite?\Here.\Spicy, isn't it?\That's mean!\Sorry, sorry.\Here, have this to make up for it.\Red means danger! response:	Not taking the bait, huh?
context: Wanna have a bite?\Here.\Spicy, isn't it?\That's mean!\Sorry, sorry.\Here, have this to make up for it.\Red means danger!\Not taking the bait, huh? response:	Replenishment complete.
context: Here.\Spicy, isn't it?\That's mean!\Sorry, sorry.\Here, have this to make up for it.\Red means danger!\Not taking the bait, huh?\Replenishment complete. response:	Then let's go home.
context: Spicy, isn't it?\That's mean!\Sorry, sorry.\Here, have this to make up for it.\Red means danger!\Not taking the bait, huh?\Replenishment complete.\Then let's go home. response:	Yuuta!
context: That's mean!\Sorry, sorry.\Here, have this to make up for it.\Red means danger!\Not taking the bait, huh?\Replenishment complete.\Then let's go home.\Yuuta! response:	I don't wanna go home!
context: Sorry, sorry.\Here, have this to make up for it.\Red means danger!\Not taking the bait, huh?\Replenishment complete.\Then let's go home.\Yuuta!\I don't wanna go home! response:	I'll bathe in the moonlight!
context: Here, have this to make up for it.\Red means danger!\Not taking the bait, huh?\Replenishment complete.\Then let's go home.\Yuuta!\I don't wanna go home!\I'll bathe in the moonlight! response:	Hey!
context: Red means danger!\Not taking the bait, huh?\Replenishment complete.\Then let's go home.\Yuuta!\I don't wanna go home!\I'll bathe in the moonlight!\Hey! response:	What do you think? It's night! And we're alone!
context: Not taking the bait, huh?\Replenishment complete.\Then let's go home.\Yuuta!\I don't wanna go home!\I'll bathe in the moonlight!\Hey!\What do you think? It's night! And we're alone! response:	Could the message be I set the stage, now confess to me!?
context: Replenishment complete.\Then let's go home.\Yuuta!\I don't wanna go home!\I'll bathe in the moonlight!\Hey!\What do you think? It's night! And we're alone!\Could the message be I set the stage, now confess to me!? response:	How should I know?
context: Then let's go home.\Yuuta!\I don't wanna go home!\I'll bathe in the moonlight!\Hey!\What do you think? It's night! And we're alone!\Could the message be I set the stage, now confess to me!?\How should I know? response:	You're so cold!
context: Yuuta!\I don't wanna go home!\I'll bathe in the moonlight!\Hey!\What do you think? It's night! And we're alone!\Could the message be I set the stage, now confess to me!?\How should I know?\You're so cold! response:	Did you forget I was the one who talked to you on the day of the entrance ceremony?
context: I don't wanna go home!\I'll bathe in the moonlight!\Hey!\What do you think? It's night! And we're alone!\Could the message be I set the stage, now confess to me!?\How should I know?\You're so cold!\Did you forget I was the one who talked to you on the day of the entrance ceremony? response:	Didn't you say that already?
context: I'll bathe in the moonlight!\Hey!\What do you think? It's night! And we're alone!\Could the message be I set the stage, now confess to me!?\How should I know?\You're so cold!\Did you forget I was the one who talked to you on the day of the entrance ceremony?\Didn't you say that already? response:	I'm hanging up.
context: Hey!\What do you think? It's night! And we're alone!\Could the message be I set the stage, now confess to me!?\How should I know?\You're so cold!\Did you forget I was the one who talked to you on the day of the entrance ceremony?\Didn't you say that already?\I'm hanging up. response:	Wait, please!
context: What do you think? It's night! And we're alone!\Could the message be I set the stage, now confess to me!?\How should I know?\You're so cold!\Did you forget I was the one who talked to you on the day of the entrance ceremony?\Didn't you say that already?\I'm hanging up.\Wait, please! response:	What?
context: Could the message be I set the stage, now confess to me!?\How should I know?\You're so cold!\Did you forget I was the one who talked to you on the day of the entrance ceremony?\Didn't you say that already?\I'm hanging up.\Wait, please!\What? response:	How are things with Takanashi?
context: How should I know?\You're so cold!\Did you forget I was the one who talked to you on the day of the entrance ceremony?\Didn't you say that already?\I'm hanging up.\Wait, please!\What?\How are things with Takanashi? response:	We just had dinner.
context: You're so cold!\Did you forget I was the one who talked to you on the day of the entrance ceremony?\Didn't you say that already?\I'm hanging up.\Wait, please!\What?\How are things with Takanashi?\We just had dinner. response:	She forgot the keys to her place.
context: Did you forget I was the one who talked to you on the day of the entrance ceremony?\Didn't you say that already?\I'm hanging up.\Wait, please!\What?\How are things with Takanashi?\We just had dinner.\She forgot the keys to her place. response:	What? So you're alone with her?
context: Didn't you say that already?\I'm hanging up.\Wait, please!\What?\How are things with Takanashi?\We just had dinner.\She forgot the keys to her place.\What? So you're alone with her? response:	Yeah.
context: I'm hanging up.\Wait, please!\What?\How are things with Takanashi?\We just had dinner.\She forgot the keys to her place.\What? So you're alone with her?\Yeah. response:	I thought it all seemed suspicious, but this is beyond my expectations!
context: Wait, please!\What?\How are things with Takanashi?\We just had dinner.\She forgot the keys to her place.\What? So you're alone with her?\Yeah.\I thought it all seemed suspicious, but this is beyond my expectations! response:	What are you even talking about?
context: What?\How are things with Takanashi?\We just had dinner.\She forgot the keys to her place.\What? So you're alone with her?\Yeah.\I thought it all seemed suspicious, but this is beyond my expectations!\What are you even talking about? response:	Can you really imagine things going that way for us?
context: How are things with Takanashi?\We just had dinner.\She forgot the keys to her place.\What? So you're alone with her?\Yeah.\I thought it all seemed suspicious, but this is beyond my expectations!\What are you even talking about?\Can you really imagine things going that way for us? response:	Why?
context: We just had dinner.\She forgot the keys to her place.\What? So you're alone with her?\Yeah.\I thought it all seemed suspicious, but this is beyond my expectations!\What are you even talking about?\Can you really imagine things going that way for us?\Why? response:	Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!
context: She forgot the keys to her place.\What? So you're alone with her?\Yeah.\I thought it all seemed suspicious, but this is beyond my expectations!\What are you even talking about?\Can you really imagine things going that way for us?\Why?\Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest! response:	But you're high schoolers!
context: What? So you're alone with her?\Yeah.\I thought it all seemed suspicious, but this is beyond my expectations!\What are you even talking about?\Can you really imagine things going that way for us?\Why?\Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!\But you're high schoolers! response:	So?
context: Yeah.\I thought it all seemed suspicious, but this is beyond my expectations!\What are you even talking about?\Can you really imagine things going that way for us?\Why?\Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!\But you're high schoolers!\So? response:	Yuuta!
context: I thought it all seemed suspicious, but this is beyond my expectations!\What are you even talking about?\Can you really imagine things going that way for us?\Why?\Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!\But you're high schoolers!\So?\Yuuta! response:	But...
context: What are you even talking about?\Can you really imagine things going that way for us?\Why?\Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!\But you're high schoolers!\So?\Yuuta!\But... response:	Hello?
context: Can you really imagine things going that way for us?\Why?\Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!\But you're high schoolers!\So?\Yuuta!\But...\Hello? response:	Hey!
context: Why?\Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!\But you're high schoolers!\So?\Yuuta!\But...\Hello?\Hey! response:	Geez.
context: Do you need to ask? It's Rikka! She's eighth-grader syndrome at its finest!\But you're high schoolers!\So?\Yuuta!\But...\Hello?\Hey!\Geez. response:	With Rikka...
context: But you're high schoolers!\So?\Yuuta!\But...\Hello?\Hey!\Geez.\With Rikka... response:	Not a chance!
context: So?\Yuuta!\But...\Hello?\Hey!\Geez.\With Rikka...\Not a chance! response:	She's so deep in her syndrome, does she even understand the concept of love?
context: Yuuta!\But...\Hello?\Hey!\Geez.\With Rikka...\Not a chance!\She's so deep in her syndrome, does she even understand the concept of love? response:	Yuuta...
context: But...\Hello?\Hey!\Geez.\With Rikka...\Not a chance!\She's so deep in her syndrome, does she even understand the concept of love?\Yuuta... response:	Is this the Mjolnir Maul?
context: Hello?\Hey!\Geez.\With Rikka...\Not a chance!\She's so deep in her syndrome, does she even understand the concept of love?\Yuuta...\Is this the Mjolnir Maul? response:	Nope, no way.
context: Hey!\Geez.\With Rikka...\Not a chance!\She's so deep in her syndrome, does she even understand the concept of love?\Yuuta...\Is this the Mjolnir Maul?\Nope, no way. response:	Stop that. You'll stretch it out.
context: Geez.\With Rikka...\Not a chance!\She's so deep in her syndrome, does she even understand the concept of love?\Yuuta...\Is this the Mjolnir Maul?\Nope, no way.\Stop that. You'll stretch it out. response:	Just roll up the sleeves, okay?
context: With Rikka...\Not a chance!\She's so deep in her syndrome, does she even understand the concept of love?\Yuuta...\Is this the Mjolnir Maul?\Nope, no way.\Stop that. You'll stretch it out.\Just roll up the sleeves, okay? response:	You're good at making references, huh?
context: Not a chance!\She's so deep in her syndrome, does she even understand the concept of love?\Yuuta...\Is this the Mjolnir Maul?\Nope, no way.\Stop that. You'll stretch it out.\Just roll up the sleeves, okay?\You're good at making references, huh? response:	Anyway, it's getting late.
context: She's so deep in her syndrome, does she even understand the concept of love?\Yuuta...\Is this the Mjolnir Maul?\Nope, no way.\Stop that. You'll stretch it out.\Just roll up the sleeves, okay?\You're good at making references, huh?\Anyway, it's getting late. response:	You can sleep in this room, so brush your teeth and
context: Yuuta...\Is this the Mjolnir Maul?\Nope, no way.\Stop that. You'll stretch it out.\Just roll up the sleeves, okay?\You're good at making references, huh?\Anyway, it's getting late.\You can sleep in this room, so brush your teeth and response:	It smells of Yuuta.
context: Is this the Mjolnir Maul?\Nope, no way.\Stop that. You'll stretch it out.\Just roll up the sleeves, okay?\You're good at making references, huh?\Anyway, it's getting late.\You can sleep in this room, so brush your teeth and\It smells of Yuuta. response:	Stop that!
context: Nope, no way.\Stop that. You'll stretch it out.\Just roll up the sleeves, okay?\You're good at making references, huh?\Anyway, it's getting late.\You can sleep in this room, so brush your teeth and\It smells of Yuuta.\Stop that! response:	Why?
context: Stop that. You'll stretch it out.\Just roll up the sleeves, okay?\You're good at making references, huh?\Anyway, it's getting late.\You can sleep in this room, so brush your teeth and\It smells of Yuuta.\Stop that!\Why? response:	It smells of you.
context: Just roll up the sleeves, okay?\You're good at making references, huh?\Anyway, it's getting late.\You can sleep in this room, so brush your teeth and\It smells of Yuuta.\Stop that!\Why?\It smells of you. response:	Stop! That's really embarrassing!
context: You're good at making references, huh?\Anyway, it's getting late.\You can sleep in this room, so brush your teeth and\It smells of Yuuta.\Stop that!\Why?\It smells of you.\Stop! That's really embarrassing! response:	I'm turning the light off.
context: Anyway, it's getting late.\You can sleep in this room, so brush your teeth and\It smells of Yuuta.\Stop that!\Why?\It smells of you.\Stop! That's really embarrassing!\I'm turning the light off. response:	The Wicked Eye is even more active at night, so I alread
context: You can sleep in this room, so brush your teeth and\It smells of Yuuta.\Stop that!\Why?\It smells of you.\Stop! That's really embarrassing!\I'm turning the light off.\The Wicked Eye is even more active at night, so I alread response:	Whatever. Get some sleep.
context: It smells of Yuuta.\Stop that!\Why?\It smells of you.\Stop! That's really embarrassing!\I'm turning the light off.\The Wicked Eye is even more active at night, so I alread\Whatever. Get some sleep. response:	Geez, talking about my smell...
context: Stop that!\Why?\It smells of you.\Stop! That's really embarrassing!\I'm turning the light off.\The Wicked Eye is even more active at night, so I alread\Whatever. Get some sleep.\Geez, talking about my smell... response:	Didn't I say to get some sleep?
context: Why?\It smells of you.\Stop! That's really embarrassing!\I'm turning the light off.\The Wicked Eye is even more active at night, so I alread\Whatever. Get some sleep.\Geez, talking about my smell...\Didn't I say to get some sleep? response:	I got butterflies in my stomach.
context: It smells of you.\Stop! That's really embarrassing!\I'm turning the light off.\The Wicked Eye is even more active at night, so I alread\Whatever. Get some sleep.\Geez, talking about my smell...\Didn't I say to get some sleep?\I got butterflies in my stomach. response:	She must be close by. We must be on alert.
context: Stop! That's really embarrassing!\I'm turning the light off.\The Wicked Eye is even more active at night, so I alread\Whatever. Get some sleep.\Geez, talking about my smell...\Didn't I say to get some sleep?\I got butterflies in my stomach.\She must be close by. We must be on alert. response:	Come on, why
context: I'm turning the light off.\The Wicked Eye is even more active at night, so I alread\Whatever. Get some sleep.\Geez, talking about my smell...\Didn't I say to get some sleep?\I got butterflies in my stomach.\She must be close by. We must be on alert.\Come on, why response:	I'm turning it off.
context: The Wicked Eye is even more active at night, so I alread\Whatever. Get some sleep.\Geez, talking about my smell...\Didn't I say to get some sleep?\I got butterflies in my stomach.\She must be close by. We must be on alert.\Come on, why\I'm turning it off. response:	I got butterflies in my stomach.
context: Whatever. Get some sleep.\Geez, talking about my smell...\Didn't I say to get some sleep?\I got butterflies in my stomach.\She must be close by. We must be on alert.\Come on, why\I'm turning it off.\I got butterflies in my stomach. response:	It'll get better if you sleep.
context: Geez, talking about my smell...\Didn't I say to get some sleep?\I got butterflies in my stomach.\She must be close by. We must be on alert.\Come on, why\I'm turning it off.\I got butterflies in my stomach.\It'll get better if you sleep. response:	My heart's racing!
context: Didn't I say to get some sleep?\I got butterflies in my stomach.\She must be close by. We must be on alert.\Come on, why\I'm turning it off.\I got butterflies in my stomach.\It'll get better if you sleep.\My heart's racing! response:	That's the same thing.
context: I got butterflies in my stomach.\She must be close by. We must be on alert.\Come on, why\I'm turning it off.\I got butterflies in my stomach.\It'll get better if you sleep.\My heart's racing!\That's the same thing. response:	I'm excited!
context: She must be close by. We must be on alert.\Come on, why\I'm turning it off.\I got butterflies in my stomach.\It'll get better if you sleep.\My heart's racing!\That's the same thing.\I'm excited! response:	What are you, some theme park commercial?!
context: Come on, why\I'm turning it off.\I got butterflies in my stomach.\It'll get better if you sleep.\My heart's racing!\That's the same thing.\I'm excited!\What are you, some theme park commercial?! response:	I'm explosive!
context: I'm turning it off.\I got butterflies in my stomach.\It'll get better if you sleep.\My heart's racing!\That's the same thing.\I'm excited!\What are you, some theme park commercial?!\I'm explosive! response:	Why?!
context: I got butterflies in my stomach.\It'll get better if you sleep.\My heart's racing!\That's the same thing.\I'm excited!\What are you, some theme park commercial?!\I'm explosive!\Why?! response:	I don't know!
context: It'll get better if you sleep.\My heart's racing!\That's the same thing.\I'm excited!\What are you, some theme park commercial?!\I'm explosive!\Why?!\I don't know! response:	J-Just go to sleep already.
context: My heart's racing!\That's the same thing.\I'm excited!\What are you, some theme park commercial?!\I'm explosive!\Why?!\I don't know!\J-Just go to sleep already. response:	Wait!
context: That's the same thing.\I'm excited!\What are you, some theme park commercial?!\I'm explosive!\Why?!\I don't know!\J-Just go to sleep already.\Wait! response:	Hey, wh
context: I'm excited!\What are you, some theme park commercial?!\I'm explosive!\Why?!\I don't know!\J-Just go to sleep already.\Wait!\Hey, wh response:	Don't go.
context: What are you, some theme park commercial?!\I'm explosive!\Why?!\I don't know!\J-Just go to sleep already.\Wait!\Hey, wh\Don't go. response:	No way! She's...
context: I'm explosive!\Why?!\I don't know!\J-Just go to sleep already.\Wait!\Hey, wh\Don't go.\No way! She's... response:	Yuuta, close your eyes.
context: Why?!\I don't know!\J-Just go to sleep already.\Wait!\Hey, wh\Don't go.\No way! She's...\Yuuta, close your eyes. response:	Just for a moment.
context: I don't know!\J-Just go to sleep already.\Wait!\Hey, wh\Don't go.\No way! She's...\Yuuta, close your eyes.\Just for a moment. response:	Just for a moment, please.
context: J-Just go to sleep already.\Wait!\Hey, wh\Don't go.\No way! She's...\Yuuta, close your eyes.\Just for a moment.\Just for a moment, please. response:	N-No way... Is she... really...
context: Wait!\Hey, wh\Don't go.\No way! She's...\Yuuta, close your eyes.\Just for a moment.\Just for a moment, please.\N-No way... Is she... really... response:	C-Can I... really do this?
context: Hey, wh\Don't go.\No way! She's...\Yuuta, close your eyes.\Just for a moment.\Just for a moment, please.\N-No way... Is she... really...\C-Can I... really do this? response:	No... But...
context: Don't go.\No way! She's...\Yuuta, close your eyes.\Just for a moment.\Just for a moment, please.\N-No way... Is she... really...\C-Can I... really do this?\No... But... response:	What's this?
context: No way! She's...\Yuuta, close your eyes.\Just for a moment.\Just for a moment, please.\N-No way... Is she... really...\C-Can I... really do this?\No... But...\What's this? response:	A fragment of a spell that contains the ultimate power.
context: Yuuta, close your eyes.\Just for a moment.\Just for a moment, please.\N-No way... Is she... really...\C-Can I... really do this?\No... But...\What's this?\A fragment of a spell that contains the ultimate power. response:	Proof of the new contract we formed earlier.
context: Just for a moment.\Just for a moment, please.\N-No way... Is she... really...\C-Can I... really do this?\No... But...\What's this?\A fragment of a spell that contains the ultimate power.\Proof of the new contract we formed earlier. response:	Could you draw it somewhere less noticeable?
context: Just for a moment, please.\N-No way... Is she... really...\C-Can I... really do this?\No... But...\What's this?\A fragment of a spell that contains the ultimate power.\Proof of the new contract we formed earlier.\Could you draw it somewhere less noticeable? response:	This is the most effective location.
context: N-No way... Is she... really...\C-Can I... really do this?\No... But...\What's this?\A fragment of a spell that contains the ultimate power.\Proof of the new contract we formed earlier.\Could you draw it somewhere less noticeable?\This is the most effective location. response:	It will amplify your powers of darkness many times.
context: C-Can I... really do this?\No... But...\What's this?\A fragment of a spell that contains the ultimate power.\Proof of the new contract we formed earlier.\Could you draw it somewhere less noticeable?\This is the most effective location.\It will amplify your powers of darkness many times. response:	As well as the Dark Flames, you can now use the even more powerful Dark Buster.
context: No... But...\What's this?\A fragment of a spell that contains the ultimate power.\Proof of the new contract we formed earlier.\Could you draw it somewhere less noticeable?\This is the most effective location.\It will amplify your powers of darkness many times.\As well as the Dark Flames, you can now use the even more powerful Dark Buster. response:	Get some sleep.
context: What's this?\A fragment of a spell that contains the ultimate power.\Proof of the new contract we formed earlier.\Could you draw it somewhere less noticeable?\This is the most effective location.\It will amplify your powers of darkness many times.\As well as the Dark Flames, you can now use the even more powerful Dark Buster.\Get some sleep. response:	Eighth-grader syndrome will always be eighth-grader syndrome, huh?
context: A fragment of a spell that contains the ultimate power.\Proof of the new contract we formed earlier.\Could you draw it somewhere less noticeable?\This is the most effective location.\It will amplify your powers of darkness many times.\As well as the Dark Flames, you can now use the even more powerful Dark Buster.\Get some sleep.\Eighth-grader syndrome will always be eighth-grader syndrome, huh? response:	Well, this ended quite well... I guess.
context: Proof of the new contract we formed earlier.\Could you draw it somewhere less noticeable?\This is the most effective location.\It will amplify your powers of darkness many times.\As well as the Dark Flames, you can now use the even more powerful Dark Buster.\Get some sleep.\Eighth-grader syndrome will always be eighth-grader syndrome, huh?\Well, this ended quite well... I guess. response:	Whatever.
context: Could you draw it somewhere less noticeable?\This is the most effective location.\It will amplify your powers of darkness many times.\As well as the Dark Flames, you can now use the even more powerful Dark Buster.\Get some sleep.\Eighth-grader syndrome will always be eighth-grader syndrome, huh?\Well, this ended quite well... I guess.\Whatever. response:	My heart's racing!
context: This is the most effective location.\It will amplify your powers of darkness many times.\As well as the Dark Flames, you can now use the even more powerful Dark Buster.\Get some sleep.\Eighth-grader syndrome will always be eighth-grader syndrome, huh?\Well, this ended quite well... I guess.\Whatever.\My heart's racing! response:	This aura...
context: It will amplify your powers of darkness many times.\As well as the Dark Flames, you can now use the even more powerful Dark Buster.\Get some sleep.\Eighth-grader syndrome will always be eighth-grader syndrome, huh?\Well, this ended quite well... I guess.\Whatever.\My heart's racing!\This aura... response:	Who's there?!
context: As well as the Dark Flames, you can now use the even more powerful Dark Buster.\Get some sleep.\Eighth-grader syndrome will always be eighth-grader syndrome, huh?\Well, this ended quite well... I guess.\Whatever.\My heart's racing!\This aura...\Who's there?! response:	Yuuta.
context: Get some sleep.\Eighth-grader syndrome will always be eighth-grader syndrome, huh?\Well, this ended quite well... I guess.\Whatever.\My heart's racing!\This aura...\Who's there?!\Yuuta. response:	Let's look for a
context: Eighth-grader syndrome will always be eighth-grader syndrome, huh?\Well, this ended quite well... I guess.\Whatever.\My heart's racing!\This aura...\Who's there?!\Yuuta.\Let's look for a response:	sparkling daydream...
context: Well, this ended quite well... I guess.\Whatever.\My heart's racing!\This aura...\Who's there?!\Yuuta.\Let's look for a\sparkling daydream... response:	shibaraku mitsumeatte kara
context: Whatever.\My heart's racing!\This aura...\Who's there?!\Yuuta.\Let's look for a\sparkling daydream...\shibaraku mitsumeatte kara response:	shibaraku mitsumeatte kara
context: My heart's racing!\This aura...\Who's there?!\Yuuta.\Let's look for a\sparkling daydream...\shibaraku mitsumeatte kara\shibaraku mitsumeatte kara response:	We looked into each other's eyes for a while
context: This aura...\Who's there?!\Yuuta.\Let's look for a\sparkling daydream...\shibaraku mitsumeatte kara\shibaraku mitsumeatte kara\We looked into each other's eyes for a while response:	We looked into each other's eyes for a while
context: Who's there?!\Yuuta.\Let's look for a\sparkling daydream...\shibaraku mitsumeatte kara\shibaraku mitsumeatte kara\We looked into each other's eyes for a while\We looked into each other's eyes for a while response:	sorasu made ni nani wo kangaeteta no?
context: Yuuta.\Let's look for a\sparkling daydream...\shibaraku mitsumeatte kara\shibaraku mitsumeatte kara\We looked into each other's eyes for a while\We looked into each other's eyes for a while\sorasu made ni nani wo kangaeteta no? response:	What did you think of while it lasted?
context: Let's look for a\sparkling daydream...\shibaraku mitsumeatte kara\shibaraku mitsumeatte kara\We looked into each other's eyes for a while\We looked into each other's eyes for a while\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted? response:	sorasu made ni nani wo kangaeteta no?
context: sparkling daydream...\shibaraku mitsumeatte kara\shibaraku mitsumeatte kara\We looked into each other's eyes for a while\We looked into each other's eyes for a while\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\sorasu made ni nani wo kangaeteta no? response:	What did you think of while it lasted?
context: shibaraku mitsumeatte kara\shibaraku mitsumeatte kara\We looked into each other's eyes for a while\We looked into each other's eyes for a while\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted? response:	ki ni naru
context: shibaraku mitsumeatte kara\We looked into each other's eyes for a while\We looked into each other's eyes for a while\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\ki ni naru response:	I want to know that
context: We looked into each other's eyes for a while\We looked into each other's eyes for a while\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\ki ni naru\I want to know that response:	kuchibiru togaraseta atashi wo mite
context: We looked into each other's eyes for a while\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\ki ni naru\I want to know that\kuchibiru togaraseta atashi wo mite response:	Look at me as I now pout my lips
context: sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\ki ni naru\I want to know that\kuchibiru togaraseta atashi wo mite\Look at me as I now pout my lips response:	dou shita no tte kiite kuru no?
context: What did you think of while it lasted?\sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\ki ni naru\I want to know that\kuchibiru togaraseta atashi wo mite\Look at me as I now pout my lips\dou shita no tte kiite kuru no? response:	Will you ask me what's wrong?
context: sorasu made ni nani wo kangaeteta no?\What did you think of while it lasted?\ki ni naru\I want to know that\kuchibiru togaraseta atashi wo mite\Look at me as I now pout my lips\dou shita no tte kiite kuru no?\Will you ask me what's wrong? response:	matte miru no
context: What did you think of while it lasted?\ki ni naru\I want to know that\kuchibiru togaraseta atashi wo mite\Look at me as I now pout my lips\dou shita no tte kiite kuru no?\Will you ask me what's wrong?\matte miru no response:	I'm waiting
context: ki ni naru\I want to know that\kuchibiru togaraseta atashi wo mite\Look at me as I now pout my lips\dou shita no tte kiite kuru no?\Will you ask me what's wrong?\matte miru no\I'm waiting response:	gomakashita ato no hitorigoto wa
context: I want to know that\kuchibiru togaraseta atashi wo mite\Look at me as I now pout my lips\dou shita no tte kiite kuru no?\Will you ask me what's wrong?\matte miru no\I'm waiting\gomakashita ato no hitorigoto wa response:	I'm embarrassed by what I mutter after
context: kuchibiru togaraseta atashi wo mite\Look at me as I now pout my lips\dou shita no tte kiite kuru no?\Will you ask me what's wrong?\matte miru no\I'm waiting\gomakashita ato no hitorigoto wa\I'm embarrassed by what I mutter after response:	hazukashii kara kikanaide kureru?
context: Look at me as I now pout my lips\dou shita no tte kiite kuru no?\Will you ask me what's wrong?\matte miru no\I'm waiting\gomakashita ato no hitorigoto wa\I'm embarrassed by what I mutter after\hazukashii kara kikanaide kureru? response:	being so evasive, so please don't pay it any attention
context: dou shita no tte kiite kuru no?\Will you ask me what's wrong?\matte miru no\I'm waiting\gomakashita ato no hitorigoto wa\I'm embarrassed by what I mutter after\hazukashii kara kikanaide kureru?\being so evasive, so please don't pay it any attention response:	ato ni hikenai hodo
context: Will you ask me what's wrong?\matte miru no\I'm waiting\gomakashita ato no hitorigoto wa\I'm embarrassed by what I mutter after\hazukashii kara kikanaide kureru?\being so evasive, so please don't pay it any attention\ato ni hikenai hodo response:	Our love is so strong
context: matte miru no\I'm waiting\gomakashita ato no hitorigoto wa\I'm embarrassed by what I mutter after\hazukashii kara kikanaide kureru?\being so evasive, so please don't pay it any attention\ato ni hikenai hodo\Our love is so strong response:	hikareau koi
context: I'm waiting\gomakashita ato no hitorigoto wa\I'm embarrassed by what I mutter after\hazukashii kara kikanaide kureru?\being so evasive, so please don't pay it any attention\ato ni hikenai hodo\Our love is so strong\hikareau koi response:	we can't run away
context: gomakashita ato no hitorigoto wa\I'm embarrassed by what I mutter after\hazukashii kara kikanaide kureru?\being so evasive, so please don't pay it any attention\ato ni hikenai hodo\Our love is so strong\hikareau koi\we can't run away response:	mou hajimatteta
context: I'm embarrassed by what I mutter after\hazukashii kara kikanaide kureru?\being so evasive, so please don't pay it any attention\ato ni hikenai hodo\Our love is so strong\hikareau koi\we can't run away\mou hajimatteta response:	It's already begun
