context: Congratulations on making the final round. response:	I look forward to seeing you do well!
context: Sure, I remember.\But there are still people at Le Wolfe who don't take kindly to following my orders.\When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?\She's just a Regenerative.\Who cares if she sustains a scratch here and there?\Screw you.\Huh! Who knew it had consumed you to this degree?\Dammit, is that a Cat? response:	Cat?
context: But there are still people at Le Wolfe who don't take kindly to following my orders.\When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?\She's just a Regenerative.\Who cares if she sustains a scratch here and there?\Screw you.\Huh! Who knew it had consumed you to this degree?\Dammit, is that a Cat?\Cat? response:	Where?
context: When I'm not by her side, aren't the Cats supposed to be guarding Priscilla?\She's just a Regenerative.\Who cares if she sustains a scratch here and there?\Screw you.\Huh! Who knew it had consumed you to this degree?\Dammit, is that a Cat?\Cat?\Where? response:	Hey, Irene. Who would be the one in trouble if I wasn't around?
context: She's just a Regenerative.\Who cares if she sustains a scratch here and there?\Screw you.\Huh! Who knew it had consumed you to this degree?\Dammit, is that a Cat?\Cat?\Where?\Hey, Irene. Who would be the one in trouble if I wasn't around? response:	This time around, the Cats were simply unable to make a move
context: Who cares if she sustains a scratch here and there?\Screw you.\Huh! Who knew it had consumed you to this degree?\Dammit, is that a Cat?\Cat?\Where?\Hey, Irene. Who would be the one in trouble if I wasn't around?\This time around, the Cats were simply unable to make a move response:	because that punk from Seidoukan butted in.
context: Screw you.\Huh! Who knew it had consumed you to this degree?\Dammit, is that a Cat?\Cat?\Where?\Hey, Irene. Who would be the one in trouble if I wasn't around?\This time around, the Cats were simply unable to make a move\because that punk from Seidoukan butted in. response:	Those guys can't allow themselves to be seen, understand?
context: Huh! Who knew it had consumed you to this degree?\Dammit, is that a Cat?\Cat?\Where?\Hey, Irene. Who would be the one in trouble if I wasn't around?\This time around, the Cats were simply unable to make a move\because that punk from Seidoukan butted in.\Those guys can't allow themselves to be seen, understand? response:	But it's also a fact that she got rescued by that bastard, so now I owe him.
context: Dammit, is that a Cat?\Cat?\Where?\Hey, Irene. Who would be the one in trouble if I wasn't around?\This time around, the Cats were simply unable to make a move\because that punk from Seidoukan butted in.\Those guys can't allow themselves to be seen, understand?\But it's also a fact that she got rescued by that bastard, so now I owe him. response:	So what do you want me to do?
context: Cat?\Where?\Hey, Irene. Who would be the one in trouble if I wasn't around?\This time around, the Cats were simply unable to make a move\because that punk from Seidoukan butted in.\Those guys can't allow themselves to be seen, understand?\But it's also a fact that she got rescued by that bastard, so now I owe him.\So what do you want me to do? response:	I can't fight him like this it's crimping my style.
context: Where?\Hey, Irene. Who would be the one in trouble if I wasn't around?\This time around, the Cats were simply unable to make a move\because that punk from Seidoukan butted in.\Those guys can't allow themselves to be seen, understand?\But it's also a fact that she got rescued by that bastard, so now I owe him.\So what do you want me to do?\I can't fight him like this it's crimping my style. response:	I'm gonna straighten this out, so you stay the hell out of it!
context: Hey, Irene. Who would be the one in trouble if I wasn't around?\This time around, the Cats were simply unable to make a move\because that punk from Seidoukan butted in.\Those guys can't allow themselves to be seen, understand?\But it's also a fact that she got rescued by that bastard, so now I owe him.\So what do you want me to do?\I can't fight him like this it's crimping my style.\I'm gonna straighten this out, so you stay the hell out of it! response:	Do whatever you want.
context: This time around, the Cats were simply unable to make a move\because that punk from Seidoukan butted in.\Those guys can't allow themselves to be seen, understand?\But it's also a fact that she got rescued by that bastard, so now I owe him.\So what do you want me to do?\I can't fight him like this it's crimping my style.\I'm gonna straighten this out, so you stay the hell out of it!\Do whatever you want. response:	Humph...
context: because that punk from Seidoukan butted in.\Those guys can't allow themselves to be seen, understand?\But it's also a fact that she got rescued by that bastard, so now I owe him.\So what do you want me to do?\I can't fight him like this it's crimping my style.\I'm gonna straighten this out, so you stay the hell out of it!\Do whatever you want.\Humph... response:	So terrifying!
context: Those guys can't allow themselves to be seen, understand?\But it's also a fact that she got rescued by that bastard, so now I owe him.\So what do you want me to do?\I can't fight him like this it's crimping my style.\I'm gonna straighten this out, so you stay the hell out of it!\Do whatever you want.\Humph...\So terrifying! response:	Hey, Korona.
context: But it's also a fact that she got rescued by that bastard, so now I owe him.\So what do you want me to do?\I can't fight him like this it's crimping my style.\I'm gonna straighten this out, so you stay the hell out of it!\Do whatever you want.\Humph...\So terrifying!\Hey, Korona. response:	Oh! Y-Yes?
context: So what do you want me to do?\I can't fight him like this it's crimping my style.\I'm gonna straighten this out, so you stay the hell out of it!\Do whatever you want.\Humph...\So terrifying!\Hey, Korona.\Oh! Y-Yes? response:	Do a reading.
context: I can't fight him like this it's crimping my style.\I'm gonna straighten this out, so you stay the hell out of it!\Do whatever you want.\Humph...\So terrifying!\Hey, Korona.\Oh! Y-Yes?\Do a reading. response:	What?
context: I'm gonna straighten this out, so you stay the hell out of it!\Do whatever you want.\Humph...\So terrifying!\Hey, Korona.\Oh! Y-Yes?\Do a reading.\What? response:	All right!
context: Do whatever you want.\Humph...\So terrifying!\Hey, Korona.\Oh! Y-Yes?\Do a reading.\What?\All right! response:	Good news, Chairman! I'm seeing the Urzaiz sisters' victory!
context: Humph...\So terrifying!\Hey, Korona.\Oh! Y-Yes?\Do a reading.\What?\All right!\Good news, Chairman! I'm seeing the Urzaiz sisters' victory! response:	Humph, no surprises there.
context: So terrifying!\Hey, Korona.\Oh! Y-Yes?\Do a reading.\What?\All right!\Good news, Chairman! I'm seeing the Urzaiz sisters' victory!\Humph, no surprises there. response:	Korona, bring one of the vice-chairmen hereI don't care who.
context: Hey, Korona.\Oh! Y-Yes?\Do a reading.\What?\All right!\Good news, Chairman! I'm seeing the Urzaiz sisters' victory!\Humph, no surprises there.\Korona, bring one of the vice-chairmen hereI don't care who. response:	Uh, right.
context: Oh! Y-Yes?\Do a reading.\What?\All right!\Good news, Chairman! I'm seeing the Urzaiz sisters' victory!\Humph, no surprises there.\Korona, bring one of the vice-chairmen hereI don't care who.\Uh, right. response:	Very well!
context: Do a reading.\What?\All right!\Good news, Chairman! I'm seeing the Urzaiz sisters' victory!\Humph, no surprises there.\Korona, bring one of the vice-chairmen hereI don't care who.\Uh, right.\Very well! response:	The results of that reading are absolute...
context: What?\All right!\Good news, Chairman! I'm seeing the Urzaiz sisters' victory!\Humph, no surprises there.\Korona, bring one of the vice-chairmen hereI don't care who.\Uh, right.\Very well!\The results of that reading are absolute... response:	Guess I'll make sure I'm ready.
context: All right!\Good news, Chairman! I'm seeing the Urzaiz sisters' victory!\Humph, no surprises there.\Korona, bring one of the vice-chairmen hereI don't care who.\Uh, right.\Very well!\The results of that reading are absolute...\Guess I'll make sure I'm ready. response:	Connect me to the Seventh Golden Eye.
context: Good news, Chairman! I'm seeing the Urzaiz sisters' victory!\Humph, no surprises there.\Korona, bring one of the vice-chairmen hereI don't care who.\Uh, right.\Very well!\The results of that reading are absolute...\Guess I'll make sure I'm ready.\Connect me to the Seventh Golden Eye. response:	You've been invited to dinner?
context: Humph, no surprises there.\Korona, bring one of the vice-chairmen hereI don't care who.\Uh, right.\Very well!\The results of that reading are absolute...\Guess I'll make sure I'm ready.\Connect me to the Seventh Golden Eye.\You've been invited to dinner? response:	Don't tell me you actually accepted?
context: Korona, bring one of the vice-chairmen hereI don't care who.\Uh, right.\Very well!\The results of that reading are absolute...\Guess I'll make sure I'm ready.\Connect me to the Seventh Golden Eye.\You've been invited to dinner?\Don't tell me you actually accepted? response:	Well, yeah.
context: Uh, right.\Very well!\The results of that reading are absolute...\Guess I'll make sure I'm ready.\Connect me to the Seventh Golden Eye.\You've been invited to dinner?\Don't tell me you actually accepted?\Well, yeah. response:	You do know that Irene and Priscilla are our next opponents, right?
context: Very well!\The results of that reading are absolute...\Guess I'll make sure I'm ready.\Connect me to the Seventh Golden Eye.\You've been invited to dinner?\Don't tell me you actually accepted?\Well, yeah.\You do know that Irene and Priscilla are our next opponents, right? response:	Well, yeah.
context: The results of that reading are absolute...\Guess I'll make sure I'm ready.\Connect me to the Seventh Golden Eye.\You've been invited to dinner?\Don't tell me you actually accepted?\Well, yeah.\You do know that Irene and Priscilla are our next opponents, right?\Well, yeah. response:	But since they said they wanted to thank me...
context: Guess I'll make sure I'm ready.\Connect me to the Seventh Golden Eye.\You've been invited to dinner?\Don't tell me you actually accepted?\Well, yeah.\You do know that Irene and Priscilla are our next opponents, right?\Well, yeah.\But since they said they wanted to thank me... response:	You're hopeless, you know that?
context: Connect me to the Seventh Golden Eye.\You've been invited to dinner?\Don't tell me you actually accepted?\Well, yeah.\You do know that Irene and Priscilla are our next opponents, right?\Well, yeah.\But since they said they wanted to thank me...\You're hopeless, you know that? response:	Oh, wait... If I'm going to hang around with you,
context: You've been invited to dinner?\Don't tell me you actually accepted?\Well, yeah.\You do know that Irene and Priscilla are our next opponents, right?\Well, yeah.\But since they said they wanted to thank me...\You're hopeless, you know that?\Oh, wait... If I'm going to hang around with you, response:	I'll have to get used to this kind of thing.
context: Don't tell me you actually accepted?\Well, yeah.\You do know that Irene and Priscilla are our next opponents, right?\Well, yeah.\But since they said they wanted to thank me...\You're hopeless, you know that?\Oh, wait... If I'm going to hang around with you,\I'll have to get used to this kind of thing. response:	Fine...
context: Well, yeah.\You do know that Irene and Priscilla are our next opponents, right?\Well, yeah.\But since they said they wanted to thank me...\You're hopeless, you know that?\Oh, wait... If I'm going to hang around with you,\I'll have to get used to this kind of thing.\Fine... response:	Then I'll join you at their table!
context: You do know that Irene and Priscilla are our next opponents, right?\Well, yeah.\But since they said they wanted to thank me...\You're hopeless, you know that?\Oh, wait... If I'm going to hang around with you,\I'll have to get used to this kind of thing.\Fine...\Then I'll join you at their table! response:	What?
context: Well, yeah.\But since they said they wanted to thank me...\You're hopeless, you know that?\Oh, wait... If I'm going to hang around with you,\I'll have to get used to this kind of thing.\Fine...\Then I'll join you at their table!\What? response:	You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?
context: But since they said they wanted to thank me...\You're hopeless, you know that?\Oh, wait... If I'm going to hang around with you,\I'll have to get used to this kind of thing.\Fine...\Then I'll join you at their table!\What?\You said they'd invited you to dinner, but why at their apartment, rather than a restaurant? response:	Well, don't ask me...
context: You're hopeless, you know that?\Oh, wait... If I'm going to hang around with you,\I'll have to get used to this kind of thing.\Fine...\Then I'll join you at their table!\What?\You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?\Well, don't ask me... response:	But it sure is a nice place, huh?
context: Oh, wait... If I'm going to hang around with you,\I'll have to get used to this kind of thing.\Fine...\Then I'll join you at their table!\What?\You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?\Well, don't ask me...\But it sure is a nice place, huh? response:	Just where you'd expect a Page One from Le Wolfe to live.
context: I'll have to get used to this kind of thing.\Fine...\Then I'll join you at their table!\What?\You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?\Well, don't ask me...\But it sure is a nice place, huh?\Just where you'd expect a Page One from Le Wolfe to live. response:	Yes?
context: Fine...\Then I'll join you at their table!\What?\You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?\Well, don't ask me...\But it sure is a nice place, huh?\Just where you'd expect a Page One from Le Wolfe to live.\Yes? response:	Uh, it's me, Amagiri.
context: Then I'll join you at their table!\What?\You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?\Well, don't ask me...\But it sure is a nice place, huh?\Just where you'd expect a Page One from Le Wolfe to live.\Yes?\Uh, it's me, Amagiri. response:	Just a moment, please!
context: What?\You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?\Well, don't ask me...\But it sure is a nice place, huh?\Just where you'd expect a Page One from Le Wolfe to live.\Yes?\Uh, it's me, Amagiri.\Just a moment, please! response:	Oh, you're Ms. Riessfeld, right?
context: You said they'd invited you to dinner, but why at their apartment, rather than a restaurant?\Well, don't ask me...\But it sure is a nice place, huh?\Just where you'd expect a Page One from Le Wolfe to live.\Yes?\Uh, it's me, Amagiri.\Just a moment, please!\Oh, you're Ms. Riessfeld, right? response:	I never got a chance to introduce myself the other day.
context: Well, don't ask me...\But it sure is a nice place, huh?\Just where you'd expect a Page One from Le Wolfe to live.\Yes?\Uh, it's me, Amagiri.\Just a moment, please!\Oh, you're Ms. Riessfeld, right?\I never got a chance to introduce myself the other day. response:	Oh, uh, likewise...
context: But it sure is a nice place, huh?\Just where you'd expect a Page One from Le Wolfe to live.\Yes?\Uh, it's me, Amagiri.\Just a moment, please!\Oh, you're Ms. Riessfeld, right?\I never got a chance to introduce myself the other day.\Oh, uh, likewise... response:	All right, no need to be shy... please come in!
context: Just where you'd expect a Page One from Le Wolfe to live.\Yes?\Uh, it's me, Amagiri.\Just a moment, please!\Oh, you're Ms. Riessfeld, right?\I never got a chance to introduce myself the other day.\Oh, uh, likewise...\All right, no need to be shy... please come in! response:	I'll have our meal ready in no time.
context: Yes?\Uh, it's me, Amagiri.\Just a moment, please!\Oh, you're Ms. Riessfeld, right?\I never got a chance to introduce myself the other day.\Oh, uh, likewise...\All right, no need to be shy... please come in!\I'll have our meal ready in no time. response:	Yo.
context: Uh, it's me, Amagiri.\Just a moment, please!\Oh, you're Ms. Riessfeld, right?\I never got a chance to introduce myself the other day.\Oh, uh, likewise...\All right, no need to be shy... please come in!\I'll have our meal ready in no time.\Yo. response:	What a crock, Tyrant Vampire Princess.
context: Just a moment, please!\Oh, you're Ms. Riessfeld, right?\I never got a chance to introduce myself the other day.\Oh, uh, likewise...\All right, no need to be shy... please come in!\I'll have our meal ready in no time.\Yo.\What a crock, Tyrant Vampire Princess. response:	You invite us here and that's your attitude?
context: Oh, you're Ms. Riessfeld, right?\I never got a chance to introduce myself the other day.\Oh, uh, likewise...\All right, no need to be shy... please come in!\I'll have our meal ready in no time.\Yo.\What a crock, Tyrant Vampire Princess.\You invite us here and that's your attitude? response:	I don't remember inviting you, Gluhen Rose.
context: I never got a chance to introduce myself the other day.\Oh, uh, likewise...\All right, no need to be shy... please come in!\I'll have our meal ready in no time.\Yo.\What a crock, Tyrant Vampire Princess.\You invite us here and that's your attitude?\I don't remember inviting you, Gluhen Rose. response:	Humph! As you know, Mr. Nice Guy here happens to be my partner.
context: Oh, uh, likewise...\All right, no need to be shy... please come in!\I'll have our meal ready in no time.\Yo.\What a crock, Tyrant Vampire Princess.\You invite us here and that's your attitude?\I don't remember inviting you, Gluhen Rose.\Humph! As you know, Mr. Nice Guy here happens to be my partner. response:	I'd be in a bind if something were to happen to him.
context: All right, no need to be shy... please come in!\I'll have our meal ready in no time.\Yo.\What a crock, Tyrant Vampire Princess.\You invite us here and that's your attitude?\I don't remember inviting you, Gluhen Rose.\Humph! As you know, Mr. Nice Guy here happens to be my partner.\I'd be in a bind if something were to happen to him. response:	Jeez, what a worrywart you are! Who are you, Amagiri's mom?
context: I'll have our meal ready in no time.\Yo.\What a crock, Tyrant Vampire Princess.\You invite us here and that's your attitude?\I don't remember inviting you, Gluhen Rose.\Humph! As you know, Mr. Nice Guy here happens to be my partner.\I'd be in a bind if something were to happen to him.\Jeez, what a worrywart you are! Who are you, Amagiri's mom? response:	H-His mom? What the hell...
context: Yo.\What a crock, Tyrant Vampire Princess.\You invite us here and that's your attitude?\I don't remember inviting you, Gluhen Rose.\Humph! As you know, Mr. Nice Guy here happens to be my partner.\I'd be in a bind if something were to happen to him.\Jeez, what a worrywart you are! Who are you, Amagiri's mom?\H-His mom? What the hell... response:	Thanks for waiting!
context: What a crock, Tyrant Vampire Princess.\You invite us here and that's your attitude?\I don't remember inviting you, Gluhen Rose.\Humph! As you know, Mr. Nice Guy here happens to be my partner.\I'd be in a bind if something were to happen to him.\Jeez, what a worrywart you are! Who are you, Amagiri's mom?\H-His mom? What the hell...\Thanks for waiting! response:	Here's a chickpea-and-tomato salad!
context: You invite us here and that's your attitude?\I don't remember inviting you, Gluhen Rose.\Humph! As you know, Mr. Nice Guy here happens to be my partner.\I'd be in a bind if something were to happen to him.\Jeez, what a worrywart you are! Who are you, Amagiri's mom?\H-His mom? What the hell...\Thanks for waiting!\Here's a chickpea-and-tomato salad! response:	Wow!
context: I don't remember inviting you, Gluhen Rose.\Humph! As you know, Mr. Nice Guy here happens to be my partner.\I'd be in a bind if something were to happen to him.\Jeez, what a worrywart you are! Who are you, Amagiri's mom?\H-His mom? What the hell...\Thanks for waiting!\Here's a chickpea-and-tomato salad!\Wow! response:	This is it, this is it!
context: Humph! As you know, Mr. Nice Guy here happens to be my partner.\I'd be in a bind if something were to happen to him.\Jeez, what a worrywart you are! Who are you, Amagiri's mom?\H-His mom? What the hell...\Thanks for waiting!\Here's a chickpea-and-tomato salad!\Wow!\This is it, this is it! response:	Sister! You know that's rude!
context: I'd be in a bind if something were to happen to him.\Jeez, what a worrywart you are! Who are you, Amagiri's mom?\H-His mom? What the hell...\Thanks for waiting!\Here's a chickpea-and-tomato salad!\Wow!\This is it, this is it!\Sister! You know that's rude! response:	What's the problem? Just a bite...
context: Jeez, what a worrywart you are! Who are you, Amagiri's mom?\H-His mom? What the hell...\Thanks for waiting!\Here's a chickpea-and-tomato salad!\Wow!\This is it, this is it!\Sister! You know that's rude!\What's the problem? Just a bite... response:	Come on, you guys eat up, too. Priscilla's cooking rules!
context: H-His mom? What the hell...\Thanks for waiting!\Here's a chickpea-and-tomato salad!\Wow!\This is it, this is it!\Sister! You know that's rude!\What's the problem? Just a bite...\Come on, you guys eat up, too. Priscilla's cooking rules! response:	Really, now! Sister!
context: Thanks for waiting!\Here's a chickpea-and-tomato salad!\Wow!\This is it, this is it!\Sister! You know that's rude!\What's the problem? Just a bite...\Come on, you guys eat up, too. Priscilla's cooking rules!\Really, now! Sister! response:	Ah, this is delicious.
context: Here's a chickpea-and-tomato salad!\Wow!\This is it, this is it!\Sister! You know that's rude!\What's the problem? Just a bite...\Come on, you guys eat up, too. Priscilla's cooking rules!\Really, now! Sister!\Ah, this is delicious. response:	Wow! Thank you very much!
context: Wow!\This is it, this is it!\Sister! You know that's rude!\What's the problem? Just a bite...\Come on, you guys eat up, too. Priscilla's cooking rules!\Really, now! Sister!\Ah, this is delicious.\Wow! Thank you very much! response:	Heh, heh! What did I tell you?
context: This is it, this is it!\Sister! You know that's rude!\What's the problem? Just a bite...\Come on, you guys eat up, too. Priscilla's cooking rules!\Really, now! Sister!\Ah, this is delicious.\Wow! Thank you very much!\Heh, heh! What did I tell you? response:	You know, it's not like I was complimenting you.
context: Sister! You know that's rude!\What's the problem? Just a bite...\Come on, you guys eat up, too. Priscilla's cooking rules!\Really, now! Sister!\Ah, this is delicious.\Wow! Thank you very much!\Heh, heh! What did I tell you?\You know, it's not like I was complimenting you. response:	Looks like you've got a comfortable place, huh?
context: What's the problem? Just a bite...\Come on, you guys eat up, too. Priscilla's cooking rules!\Really, now! Sister!\Ah, this is delicious.\Wow! Thank you very much!\Heh, heh! What did I tell you?\You know, it's not like I was complimenting you.\Looks like you've got a comfortable place, huh? response:	Well, yeah, it's pretty convenient. Plus it's close to the casino.
context: Come on, you guys eat up, too. Priscilla's cooking rules!\Really, now! Sister!\Ah, this is delicious.\Wow! Thank you very much!\Heh, heh! What did I tell you?\You know, it's not like I was complimenting you.\Looks like you've got a comfortable place, huh?\Well, yeah, it's pretty convenient. Plus it's close to the casino. response:	Meaning it's conducive to enjoying the nightlife, eh?
context: Really, now! Sister!\Ah, this is delicious.\Wow! Thank you very much!\Heh, heh! What did I tell you?\You know, it's not like I was complimenting you.\Looks like you've got a comfortable place, huh?\Well, yeah, it's pretty convenient. Plus it's close to the casino.\Meaning it's conducive to enjoying the nightlife, eh? response:	It's not like I'm out there playing. I'm out earning money because I need it.
context: Ah, this is delicious.\Wow! Thank you very much!\Heh, heh! What did I tell you?\You know, it's not like I was complimenting you.\Looks like you've got a comfortable place, huh?\Well, yeah, it's pretty convenient. Plus it's close to the casino.\Meaning it's conducive to enjoying the nightlife, eh?\It's not like I'm out there playing. I'm out earning money because I need it. response:	Money?
context: Wow! Thank you very much!\Heh, heh! What did I tell you?\You know, it's not like I was complimenting you.\Looks like you've got a comfortable place, huh?\Well, yeah, it's pretty convenient. Plus it's close to the casino.\Meaning it's conducive to enjoying the nightlife, eh?\It's not like I'm out there playing. I'm out earning money because I need it.\Money? response:	If it's money you want, you can earn it from the Phoenix Festa, can't you?
context: Heh, heh! What did I tell you?\You know, it's not like I was complimenting you.\Looks like you've got a comfortable place, huh?\Well, yeah, it's pretty convenient. Plus it's close to the casino.\Meaning it's conducive to enjoying the nightlife, eh?\It's not like I'm out there playing. I'm out earning money because I need it.\Money?\If it's money you want, you can earn it from the Phoenix Festa, can't you? response:	Um, I'm going to go check on the oven, all right?
context: You know, it's not like I was complimenting you.\Looks like you've got a comfortable place, huh?\Well, yeah, it's pretty convenient. Plus it's close to the casino.\Meaning it's conducive to enjoying the nightlife, eh?\It's not like I'm out there playing. I'm out earning money because I need it.\Money?\If it's money you want, you can earn it from the Phoenix Festa, can't you?\Um, I'm going to go check on the oven, all right? response:	Years ago, I borrowed a vast sum of money from Dirk Eberweine.
context: Looks like you've got a comfortable place, huh?\Well, yeah, it's pretty convenient. Plus it's close to the casino.\Meaning it's conducive to enjoying the nightlife, eh?\It's not like I'm out there playing. I'm out earning money because I need it.\Money?\If it's money you want, you can earn it from the Phoenix Festa, can't you?\Um, I'm going to go check on the oven, all right?\Years ago, I borrowed a vast sum of money from Dirk Eberweine. response:	And I've been paying it off little by little by obeying his every order.
context: Well, yeah, it's pretty convenient. Plus it's close to the casino.\Meaning it's conducive to enjoying the nightlife, eh?\It's not like I'm out there playing. I'm out earning money because I need it.\Money?\If it's money you want, you can earn it from the Phoenix Festa, can't you?\Um, I'm going to go check on the oven, all right?\Years ago, I borrowed a vast sum of money from Dirk Eberweine.\And I've been paying it off little by little by obeying his every order. response:	The Tyrant, eh?
context: Meaning it's conducive to enjoying the nightlife, eh?\It's not like I'm out there playing. I'm out earning money because I need it.\Money?\If it's money you want, you can earn it from the Phoenix Festa, can't you?\Um, I'm going to go check on the oven, all right?\Years ago, I borrowed a vast sum of money from Dirk Eberweine.\And I've been paying it off little by little by obeying his every order.\The Tyrant, eh? response:	The contract I signed at the time restricts my participation in the Festas,
context: It's not like I'm out there playing. I'm out earning money because I need it.\Money?\If it's money you want, you can earn it from the Phoenix Festa, can't you?\Um, I'm going to go check on the oven, all right?\Years ago, I borrowed a vast sum of money from Dirk Eberweine.\And I've been paying it off little by little by obeying his every order.\The Tyrant, eh?\The contract I signed at the time restricts my participation in the Festas, response:	and I can't use the prize money towards paying down my debt.
context: Money?\If it's money you want, you can earn it from the Phoenix Festa, can't you?\Um, I'm going to go check on the oven, all right?\Years ago, I borrowed a vast sum of money from Dirk Eberweine.\And I've been paying it off little by little by obeying his every order.\The Tyrant, eh?\The contract I signed at the time restricts my participation in the Festas,\and I can't use the prize money towards paying down my debt. response:	I'm telling you, he's one vile bastard, that dude.
context: If it's money you want, you can earn it from the Phoenix Festa, can't you?\Um, I'm going to go check on the oven, all right?\Years ago, I borrowed a vast sum of money from Dirk Eberweine.\And I've been paying it off little by little by obeying his every order.\The Tyrant, eh?\The contract I signed at the time restricts my participation in the Festas,\and I can't use the prize money towards paying down my debt.\I'm telling you, he's one vile bastard, that dude. response:	So I take it you have something other than winning in mind?
context: Um, I'm going to go check on the oven, all right?\Years ago, I borrowed a vast sum of money from Dirk Eberweine.\And I've been paying it off little by little by obeying his every order.\The Tyrant, eh?\The contract I signed at the time restricts my participation in the Festas,\and I can't use the prize money towards paying down my debt.\I'm telling you, he's one vile bastard, that dude.\So I take it you have something other than winning in mind? response:	How perceptive. The order I received from Dirk this time around was...
context: Years ago, I borrowed a vast sum of money from Dirk Eberweine.\And I've been paying it off little by little by obeying his every order.\The Tyrant, eh?\The contract I signed at the time restricts my participation in the Festas,\and I can't use the prize money towards paying down my debt.\I'm telling you, he's one vile bastard, that dude.\So I take it you have something other than winning in mind?\How perceptive. The order I received from Dirk this time around was... response:	To destroy you, Ayato Amagiri!
context: And I've been paying it off little by little by obeying his every order.\The Tyrant, eh?\The contract I signed at the time restricts my participation in the Festas,\and I can't use the prize money towards paying down my debt.\I'm telling you, he's one vile bastard, that dude.\So I take it you have something other than winning in mind?\How perceptive. The order I received from Dirk this time around was...\To destroy you, Ayato Amagiri! response:	What the...?
context: The Tyrant, eh?\The contract I signed at the time restricts my participation in the Festas,\and I can't use the prize money towards paying down my debt.\I'm telling you, he's one vile bastard, that dude.\So I take it you have something other than winning in mind?\How perceptive. The order I received from Dirk this time around was...\To destroy you, Ayato Amagiri!\What the...? response:	Why would you tell us that?
context: The contract I signed at the time restricts my participation in the Festas,\and I can't use the prize money towards paying down my debt.\I'm telling you, he's one vile bastard, that dude.\So I take it you have something other than winning in mind?\How perceptive. The order I received from Dirk this time around was...\To destroy you, Ayato Amagiri!\What the...?\Why would you tell us that? response:	I owe you one for saving Priscilla.
context: and I can't use the prize money towards paying down my debt.\I'm telling you, he's one vile bastard, that dude.\So I take it you have something other than winning in mind?\How perceptive. The order I received from Dirk this time around was...\To destroy you, Ayato Amagiri!\What the...?\Why would you tell us that?\I owe you one for saving Priscilla. response:	So sit yourself down, Gluhen Rose. I'm not gonna start anything here.
context: I'm telling you, he's one vile bastard, that dude.\So I take it you have something other than winning in mind?\How perceptive. The order I received from Dirk this time around was...\To destroy you, Ayato Amagiri!\What the...?\Why would you tell us that?\I owe you one for saving Priscilla.\So sit yourself down, Gluhen Rose. I'm not gonna start anything here. response:	Why would he go after Ayato?
context: So I take it you have something other than winning in mind?\How perceptive. The order I received from Dirk this time around was...\To destroy you, Ayato Amagiri!\What the...?\Why would you tell us that?\I owe you one for saving Priscilla.\So sit yourself down, Gluhen Rose. I'm not gonna start anything here.\Why would he go after Ayato? response:	According to Dirk, the Ogre Lux Amagiri uses is a thorn in his side,
context: How perceptive. The order I received from Dirk this time around was...\To destroy you, Ayato Amagiri!\What the...?\Why would you tell us that?\I owe you one for saving Priscilla.\So sit yourself down, Gluhen Rose. I'm not gonna start anything here.\Why would he go after Ayato?\According to Dirk, the Ogre Lux Amagiri uses is a thorn in his side, response:	so he wants to destroy it now while he has the chance.
context: To destroy you, Ayato Amagiri!\What the...?\Why would you tell us that?\I owe you one for saving Priscilla.\So sit yourself down, Gluhen Rose. I'm not gonna start anything here.\Why would he go after Ayato?\According to Dirk, the Ogre Lux Amagiri uses is a thorn in his side,\so he wants to destroy it now while he has the chance. response:	You mean the Ser=Veresta?
context: What the...?\Why would you tell us that?\I owe you one for saving Priscilla.\So sit yourself down, Gluhen Rose. I'm not gonna start anything here.\Why would he go after Ayato?\According to Dirk, the Ogre Lux Amagiri uses is a thorn in his side,\so he wants to destroy it now while he has the chance.\You mean the Ser=Veresta? response:	I admit it's powerful, but why would he go that far?
context: Why would you tell us that?\I owe you one for saving Priscilla.\So sit yourself down, Gluhen Rose. I'm not gonna start anything here.\Why would he go after Ayato?\According to Dirk, the Ogre Lux Amagiri uses is a thorn in his side,\so he wants to destroy it now while he has the chance.\You mean the Ser=Veresta?\I admit it's powerful, but why would he go that far? response:	I don't know what he's got in mind, but from what I've heard him say...
context: I owe you one for saving Priscilla.\So sit yourself down, Gluhen Rose. I'm not gonna start anything here.\Why would he go after Ayato?\According to Dirk, the Ogre Lux Amagiri uses is a thorn in his side,\so he wants to destroy it now while he has the chance.\You mean the Ser=Veresta?\I admit it's powerful, but why would he go that far?\I don't know what he's got in mind, but from what I've heard him say... response:	It seems like he's seen another person wielding that same Ogre Lux.
context: So sit yourself down, Gluhen Rose. I'm not gonna start anything here.\Why would he go after Ayato?\According to Dirk, the Ogre Lux Amagiri uses is a thorn in his side,\so he wants to destroy it now while he has the chance.\You mean the Ser=Veresta?\I admit it's powerful, but why would he go that far?\I don't know what he's got in mind, but from what I've heard him say...\It seems like he's seen another person wielding that same Ogre Lux. response:	The data for a certain female student who once attended this school.
