context: Rule the Court response:	I'm sure you're sick of hearing this,
context: This is a chance to gain momentum.\Don't let it go to waste!\Got it!\Nice receive.\That 16's coming!\Get it back yourself.\Out!\All right! response:	Yes! Here it is!
context: Don't let it go to waste!\Got it!\Nice receive.\That 16's coming!\Get it back yourself.\Out!\All right!\Yes! Here it is! response:	Aoba Johsai Karasuno
context: Got it!\Nice receive.\That 16's coming!\Get it back yourself.\Out!\All right!\Yes! Here it is!\Aoba Johsai Karasuno response:	Yeah! They turned it around!
context: Nice receive.\That 16's coming!\Get it back yourself.\Out!\All right!\Yes! Here it is!\Aoba Johsai Karasuno\Yeah! They turned it around! response:	Keep it up!
context: That 16's coming!\Get it back yourself.\Out!\All right!\Yes! Here it is!\Aoba Johsai Karasuno\Yeah! They turned it around!\Keep it up! response:	Yeah!
context: Get it back yourself.\Out!\All right!\Yes! Here it is!\Aoba Johsai Karasuno\Yeah! They turned it around!\Keep it up!\Yeah! response:	I think that they managed to rile up 16 pretty well.
context: Out!\All right!\Yes! Here it is!\Aoba Johsai Karasuno\Yeah! They turned it around!\Keep it up!\Yeah!\I think that they managed to rile up 16 pretty well. response:	Don't tell me Ryu did that on purpose!
context: All right!\Yes! Here it is!\Aoba Johsai Karasuno\Yeah! They turned it around!\Keep it up!\Yeah!\I think that they managed to rile up 16 pretty well.\Don't tell me Ryu did that on purpose! response:	No, Ryu may have been challenging him, but that wasn't his goal.
context: Yes! Here it is!\Aoba Johsai Karasuno\Yeah! They turned it around!\Keep it up!\Yeah!\I think that they managed to rile up 16 pretty well.\Don't tell me Ryu did that on purpose!\No, Ryu may have been challenging him, but that wasn't his goal. response:	That's just his nature.
context: Aoba Johsai Karasuno\Yeah! They turned it around!\Keep it up!\Yeah!\I think that they managed to rile up 16 pretty well.\Don't tell me Ryu did that on purpose!\No, Ryu may have been challenging him, but that wasn't his goal.\That's just his nature. response:	So it's like Tsukishima was able to take advantage of that nature.
context: Yeah! They turned it around!\Keep it up!\Yeah!\I think that they managed to rile up 16 pretty well.\Don't tell me Ryu did that on purpose!\No, Ryu may have been challenging him, but that wasn't his goal.\That's just his nature.\So it's like Tsukishima was able to take advantage of that nature. response:	Now we see a crack in the apparently infallible Seijoh.
context: Keep it up!\Yeah!\I think that they managed to rile up 16 pretty well.\Don't tell me Ryu did that on purpose!\No, Ryu may have been challenging him, but that wasn't his goal.\That's just his nature.\So it's like Tsukishima was able to take advantage of that nature.\Now we see a crack in the apparently infallible Seijoh. response:	This is our chance to break through!
context: Yeah!\I think that they managed to rile up 16 pretty well.\Don't tell me Ryu did that on purpose!\No, Ryu may have been challenging him, but that wasn't his goal.\That's just his nature.\So it's like Tsukishima was able to take advantage of that nature.\Now we see a crack in the apparently infallible Seijoh.\This is our chance to break through! response:	We're gonna push forward!
context: I think that they managed to rile up 16 pretty well.\Don't tell me Ryu did that on purpose!\No, Ryu may have been challenging him, but that wasn't his goal.\That's just his nature.\So it's like Tsukishima was able to take advantage of that nature.\Now we see a crack in the apparently infallible Seijoh.\This is our chance to break through!\We're gonna push forward! response:	Yeah!
context: Don't tell me Ryu did that on purpose!\No, Ryu may have been challenging him, but that wasn't his goal.\That's just his nature.\So it's like Tsukishima was able to take advantage of that nature.\Now we see a crack in the apparently infallible Seijoh.\This is our chance to break through!\We're gonna push forward!\Yeah! response:	Yeah!
context: No, Ryu may have been challenging him, but that wasn't his goal.\That's just his nature.\So it's like Tsukishima was able to take advantage of that nature.\Now we see a crack in the apparently infallible Seijoh.\This is our chance to break through!\We're gonna push forward!\Yeah!\Yeah! response:	Haikyu!!
context: That's just his nature.\So it's like Tsukishima was able to take advantage of that nature.\Now we see a crack in the apparently infallible Seijoh.\This is our chance to break through!\We're gonna push forward!\Yeah!\Yeah!\Haikyu!! response:	Haikyu!!
context: So it's like Tsukishima was able to take advantage of that nature.\Now we see a crack in the apparently infallible Seijoh.\This is our chance to break through!\We're gonna push forward!\Yeah!\Yeah!\Haikyu!!\Haikyu!! response:	Who's that? A high school kid?
context: Now we see a crack in the apparently infallible Seijoh.\This is our chance to break through!\We're gonna push forward!\Yeah!\Yeah!\Haikyu!!\Haikyu!!\Who's that? A high school kid? response:	Apparently, he just wants to practice.
context: This is our chance to break through!\We're gonna push forward!\Yeah!\Yeah!\Haikyu!!\Haikyu!!\Who's that? A high school kid?\Apparently, he just wants to practice. response:	I saw him in another group on Saturday.
context: We're gonna push forward!\Yeah!\Yeah!\Haikyu!!\Haikyu!!\Who's that? A high school kid?\Apparently, he just wants to practice.\I saw him in another group on Saturday. response:	If he's in high school, doesn't he have club activities?
context: Yeah!\Yeah!\Haikyu!!\Haikyu!!\Who's that? A high school kid?\Apparently, he just wants to practice.\I saw him in another group on Saturday.\If he's in high school, doesn't he have club activities? response:	He's probably the type that doesn't get along with the rest of the club.
context: Yeah!\Haikyu!!\Haikyu!!\Who's that? A high school kid?\Apparently, he just wants to practice.\I saw him in another group on Saturday.\If he's in high school, doesn't he have club activities?\He's probably the type that doesn't get along with the rest of the club. response:	Is he going through his rebellious stage?
context: Haikyu!!\Haikyu!!\Who's that? A high school kid?\Apparently, he just wants to practice.\I saw him in another group on Saturday.\If he's in high school, doesn't he have club activities?\He's probably the type that doesn't get along with the rest of the club.\Is he going through his rebellious stage? response:	I'm surprised he's playing a team sport.
context: Haikyu!!\Who's that? A high school kid?\Apparently, he just wants to practice.\I saw him in another group on Saturday.\If he's in high school, doesn't he have club activities?\He's probably the type that doesn't get along with the rest of the club.\Is he going through his rebellious stage?\I'm surprised he's playing a team sport. response:	I'm sure he's playing because there's something he likes about it.
context: Who's that? A high school kid?\Apparently, he just wants to practice.\I saw him in another group on Saturday.\If he's in high school, doesn't he have club activities?\He's probably the type that doesn't get along with the rest of the club.\Is he going through his rebellious stage?\I'm surprised he's playing a team sport.\I'm sure he's playing because there's something he likes about it. response:	Ah, Kiyoshi-san. Hi.
context: Apparently, he just wants to practice.\I saw him in another group on Saturday.\If he's in high school, doesn't he have club activities?\He's probably the type that doesn't get along with the rest of the club.\Is he going through his rebellious stage?\I'm surprised he's playing a team sport.\I'm sure he's playing because there's something he likes about it.\Ah, Kiyoshi-san. Hi. response:	Otherwise, he wouldn't be practicing here like this.
context: I saw him in another group on Saturday.\If he's in high school, doesn't he have club activities?\He's probably the type that doesn't get along with the rest of the club.\Is he going through his rebellious stage?\I'm surprised he's playing a team sport.\I'm sure he's playing because there's something he likes about it.\Ah, Kiyoshi-san. Hi.\Otherwise, he wouldn't be practicing here like this. response:	Japan! Japan! Japan! Japan!
context: If he's in high school, doesn't he have club activities?\He's probably the type that doesn't get along with the rest of the club.\Is he going through his rebellious stage?\I'm surprised he's playing a team sport.\I'm sure he's playing because there's something he likes about it.\Ah, Kiyoshi-san. Hi.\Otherwise, he wouldn't be practicing here like this.\Japan! Japan! Japan! Japan! response:	W-Well, we always need people, so I think it's okay.
context: He's probably the type that doesn't get along with the rest of the club.\Is he going through his rebellious stage?\I'm surprised he's playing a team sport.\I'm sure he's playing because there's something he likes about it.\Ah, Kiyoshi-san. Hi.\Otherwise, he wouldn't be practicing here like this.\Japan! Japan! Japan! Japan!\W-Well, we always need people, so I think it's okay. response:	Not to mention, he's better than us.
context: Is he going through his rebellious stage?\I'm surprised he's playing a team sport.\I'm sure he's playing because there's something he likes about it.\Ah, Kiyoshi-san. Hi.\Otherwise, he wouldn't be practicing here like this.\Japan! Japan! Japan! Japan!\W-Well, we always need people, so I think it's okay.\Not to mention, he's better than us. response:	Wha?!
context: I'm surprised he's playing a team sport.\I'm sure he's playing because there's something he likes about it.\Ah, Kiyoshi-san. Hi.\Otherwise, he wouldn't be practicing here like this.\Japan! Japan! Japan! Japan!\W-Well, we always need people, so I think it's okay.\Not to mention, he's better than us.\Wha?! response:	I wouldn't lose to him!
context: I'm sure he's playing because there's something he likes about it.\Ah, Kiyoshi-san. Hi.\Otherwise, he wouldn't be practicing here like this.\Japan! Japan! Japan! Japan!\W-Well, we always need people, so I think it's okay.\Not to mention, he's better than us.\Wha?!\I wouldn't lose to him! response:	Aw, you're all mad.
context: Ah, Kiyoshi-san. Hi.\Otherwise, he wouldn't be practicing here like this.\Japan! Japan! Japan! Japan!\W-Well, we always need people, so I think it's okay.\Not to mention, he's better than us.\Wha?!\I wouldn't lose to him!\Aw, you're all mad. response:	Shut up.
context: Otherwise, he wouldn't be practicing here like this.\Japan! Japan! Japan! Japan!\W-Well, we always need people, so I think it's okay.\Not to mention, he's better than us.\Wha?!\I wouldn't lose to him!\Aw, you're all mad.\Shut up. response:	Tsukishima, one more! Nice serve!
context: Japan! Japan! Japan! Japan!\W-Well, we always need people, so I think it's okay.\Not to mention, he's better than us.\Wha?!\I wouldn't lose to him!\Aw, you're all mad.\Shut up.\Tsukishima, one more! Nice serve! response:	Got it!
context: W-Well, we always need people, so I think it's okay.\Not to mention, he's better than us.\Wha?!\I wouldn't lose to him!\Aw, you're all mad.\Shut up.\Tsukishima, one more! Nice serve!\Got it! response:	Mad Dog-chan!
context: Not to mention, he's better than us.\Wha?!\I wouldn't lose to him!\Aw, you're all mad.\Shut up.\Tsukishima, one more! Nice serve!\Got it!\Mad Dog-chan! response:	All right!
context: Wha?!\I wouldn't lose to him!\Aw, you're all mad.\Shut up.\Tsukishima, one more! Nice serve!\Got it!\Mad Dog-chan!\All right! response:	Aoba Johsai Karasuno
context: I wouldn't lose to him!\Aw, you're all mad.\Shut up.\Tsukishima, one more! Nice serve!\Got it!\Mad Dog-chan!\All right!\Aoba Johsai Karasuno response:	The time out didn't help, did it?
context: Aw, you're all mad.\Shut up.\Tsukishima, one more! Nice serve!\Got it!\Mad Dog-chan!\All right!\Aoba Johsai Karasuno\The time out didn't help, did it? response:	I don't think so.
context: Shut up.\Tsukishima, one more! Nice serve!\Got it!\Mad Dog-chan!\All right!\Aoba Johsai Karasuno\The time out didn't help, did it?\I don't think so. response:	Seijoh's got plenty of players, so why don't they switch?
context: Tsukishima, one more! Nice serve!\Got it!\Mad Dog-chan!\All right!\Aoba Johsai Karasuno\The time out didn't help, did it?\I don't think so.\Seijoh's got plenty of players, so why don't they switch? response:	Switch!
context: Got it!\Mad Dog-chan!\All right!\Aoba Johsai Karasuno\The time out didn't help, did it?\I don't think so.\Seijoh's got plenty of players, so why don't they switch?\Switch! response:	Hey.
context: Mad Dog-chan!\All right!\Aoba Johsai Karasuno\The time out didn't help, did it?\I don't think so.\Seijoh's got plenty of players, so why don't they switch?\Switch!\Hey. response:	Go, Iwa-chan. Now.
context: All right!\Aoba Johsai Karasuno\The time out didn't help, did it?\I don't think so.\Seijoh's got plenty of players, so why don't they switch?\Switch!\Hey.\Go, Iwa-chan. Now. response:	Calm down if you want to get back out on the court.
context: Aoba Johsai Karasuno\The time out didn't help, did it?\I don't think so.\Seijoh's got plenty of players, so why don't they switch?\Switch!\Hey.\Go, Iwa-chan. Now.\Calm down if you want to get back out on the court. response:	Hurry up and pull yourself together.
context: The time out didn't help, did it?\I don't think so.\Seijoh's got plenty of players, so why don't they switch?\Switch!\Hey.\Go, Iwa-chan. Now.\Calm down if you want to get back out on the court.\Hurry up and pull yourself together. response:	We don't have anything left after this.
context: I don't think so.\Seijoh's got plenty of players, so why don't they switch?\Switch!\Hey.\Go, Iwa-chan. Now.\Calm down if you want to get back out on the court.\Hurry up and pull yourself together.\We don't have anything left after this. response:	Shut up. Like I care.
context: Seijoh's got plenty of players, so why don't they switch?\Switch!\Hey.\Go, Iwa-chan. Now.\Calm down if you want to get back out on the court.\Hurry up and pull yourself together.\We don't have anything left after this.\Shut up. Like I care. response:	All right!
context: Switch!\Hey.\Go, Iwa-chan. Now.\Calm down if you want to get back out on the court.\Hurry up and pull yourself together.\We don't have anything left after this.\Shut up. Like I care.\All right! response:	Yahaba, don't push him too much.
context: Hey.\Go, Iwa-chan. Now.\Calm down if you want to get back out on the court.\Hurry up and pull yourself together.\We don't have anything left after this.\Shut up. Like I care.\All right!\Yahaba, don't push him too much. response:	Sorry, but no.
context: Go, Iwa-chan. Now.\Calm down if you want to get back out on the court.\Hurry up and pull yourself together.\We don't have anything left after this.\Shut up. Like I care.\All right!\Yahaba, don't push him too much.\Sorry, but no. response:	You let the opponent provoke you,
context: Calm down if you want to get back out on the court.\Hurry up and pull yourself together.\We don't have anything left after this.\Shut up. Like I care.\All right!\Yahaba, don't push him too much.\Sorry, but no.\You let the opponent provoke you, response:	got pissed off, and then fizzled out.
context: Hurry up and pull yourself together.\We don't have anything left after this.\Shut up. Like I care.\All right!\Yahaba, don't push him too much.\Sorry, but no.\You let the opponent provoke you,\got pissed off, and then fizzled out. response:	Talk about lame.
context: We don't have anything left after this.\Shut up. Like I care.\All right!\Yahaba, don't push him too much.\Sorry, but no.\You let the opponent provoke you,\got pissed off, and then fizzled out.\Talk about lame. response:	Ah?
context: Shut up. Like I care.\All right!\Yahaba, don't push him too much.\Sorry, but no.\You let the opponent provoke you,\got pissed off, and then fizzled out.\Talk about lame.\Ah? response:	You had the nerve to come back,
context: All right!\Yahaba, don't push him too much.\Sorry, but no.\You let the opponent provoke you,\got pissed off, and then fizzled out.\Talk about lame.\Ah?\You had the nerve to come back, response:	and then got to go right into a match.
context: Yahaba, don't push him too much.\Sorry, but no.\You let the opponent provoke you,\got pissed off, and then fizzled out.\Talk about lame.\Ah?\You had the nerve to come back,\and then got to go right into a match. response:	Some guys who have a problem with that.
context: Sorry, but no.\You let the opponent provoke you,\got pissed off, and then fizzled out.\Talk about lame.\Ah?\You had the nerve to come back,\and then got to go right into a match.\Some guys who have a problem with that. response:	Like me.
context: You let the opponent provoke you,\got pissed off, and then fizzled out.\Talk about lame.\Ah?\You had the nerve to come back,\and then got to go right into a match.\Some guys who have a problem with that.\Like me. response:	But...
context: got pissed off, and then fizzled out.\Talk about lame.\Ah?\You had the nerve to come back,\and then got to go right into a match.\Some guys who have a problem with that.\Like me.\But... response:	It's not like he caused a problem,
context: Talk about lame.\Ah?\You had the nerve to come back,\and then got to go right into a match.\Some guys who have a problem with that.\Like me.\But...\It's not like he caused a problem, response:	so I guess it doesn't matter as long as we can use him in a match.
context: Ah?\You had the nerve to come back,\and then got to go right into a match.\Some guys who have a problem with that.\Like me.\But...\It's not like he caused a problem,\so I guess it doesn't matter as long as we can use him in a match. response:	Will he be able to keep up at practice?
context: You had the nerve to come back,\and then got to go right into a match.\Some guys who have a problem with that.\Like me.\But...\It's not like he caused a problem,\so I guess it doesn't matter as long as we can use him in a match.\Will he be able to keep up at practice? response:	He'll have blanks to fill in.
context: and then got to go right into a match.\Some guys who have a problem with that.\Like me.\But...\It's not like he caused a problem,\so I guess it doesn't matter as long as we can use him in a match.\Will he be able to keep up at practice?\He'll have blanks to fill in. response:	Including communication.
context: Some guys who have a problem with that.\Like me.\But...\It's not like he caused a problem,\so I guess it doesn't matter as long as we can use him in a match.\Will he be able to keep up at practice?\He'll have blanks to fill in.\Including communication. response:	Well...
context: Like me.\But...\It's not like he caused a problem,\so I guess it doesn't matter as long as we can use him in a match.\Will he be able to keep up at practice?\He'll have blanks to fill in.\Including communication.\Well... response:	Those aren't the moves of someone who hasn't been practicing.
context: But...\It's not like he caused a problem,\so I guess it doesn't matter as long as we can use him in a match.\Will he be able to keep up at practice?\He'll have blanks to fill in.\Including communication.\Well...\Those aren't the moves of someone who hasn't been practicing. response:	I thought he was pretty cold, both to you and to us.
context: It's not like he caused a problem,\so I guess it doesn't matter as long as we can use him in a match.\Will he be able to keep up at practice?\He'll have blanks to fill in.\Including communication.\Well...\Those aren't the moves of someone who hasn't been practicing.\I thought he was pretty cold, both to you and to us. response:	But that's not the problem.
context: so I guess it doesn't matter as long as we can use him in a match.\Will he be able to keep up at practice?\He'll have blanks to fill in.\Including communication.\Well...\Those aren't the moves of someone who hasn't been practicing.\I thought he was pretty cold, both to you and to us.\But that's not the problem. response:	Left!
context: Will he be able to keep up at practice?\He'll have blanks to fill in.\Including communication.\Well...\Those aren't the moves of someone who hasn't been practicing.\I thought he was pretty cold, both to you and to us.\But that's not the problem.\Left! response:	The players we need in order to win are chosen as regulars.
context: He'll have blanks to fill in.\Including communication.\Well...\Those aren't the moves of someone who hasn't been practicing.\I thought he was pretty cold, both to you and to us.\But that's not the problem.\Left!\The players we need in order to win are chosen as regulars. response:	One-touch!
context: Including communication.\Well...\Those aren't the moves of someone who hasn't been practicing.\I thought he was pretty cold, both to you and to us.\But that's not the problem.\Left!\The players we need in order to win are chosen as regulars.\One-touch! response:	Cover! Cover!
context: Well...\Those aren't the moves of someone who hasn't been practicing.\I thought he was pretty cold, both to you and to us.\But that's not the problem.\Left!\The players we need in order to win are chosen as regulars.\One-touch!\Cover! Cover! response:	Got it!
context: Those aren't the moves of someone who hasn't been practicing.\I thought he was pretty cold, both to you and to us.\But that's not the problem.\Left!\The players we need in order to win are chosen as regulars.\One-touch!\Cover! Cover!\Got it! response:	You were chosen...
context: I thought he was pretty cold, both to you and to us.\But that's not the problem.\Left!\The players we need in order to win are chosen as regulars.\One-touch!\Cover! Cover!\Got it!\You were chosen... response:	So do your job right.
context: But that's not the problem.\Left!\The players we need in order to win are chosen as regulars.\One-touch!\Cover! Cover!\Got it!\You were chosen...\So do your job right. response:	I think Yahaba's gonna get bitten.
context: Left!\The players we need in order to win are chosen as regulars.\One-touch!\Cover! Cover!\Got it!\You were chosen...\So do your job right.\I think Yahaba's gonna get bitten. response:	Hope he's okay.
context: The players we need in order to win are chosen as regulars.\One-touch!\Cover! Cover!\Got it!\You were chosen...\So do your job right.\I think Yahaba's gonna get bitten.\Hope he's okay. response:	You go stop him.
context: One-touch!\Cover! Cover!\Got it!\You were chosen...\So do your job right.\I think Yahaba's gonna get bitten.\Hope he's okay.\You go stop him. response:	Nope.
context: Cover! Cover!\Got it!\You were chosen...\So do your job right.\I think Yahaba's gonna get bitten.\Hope he's okay.\You go stop him.\Nope. response:	Well, that's just a front.
context: Got it!\You were chosen...\So do your job right.\I think Yahaba's gonna get bitten.\Hope he's okay.\You go stop him.\Nope.\Well, that's just a front. response:	If you track dirt onto our senpais' stage,
context: You were chosen...\So do your job right.\I think Yahaba's gonna get bitten.\Hope he's okay.\You go stop him.\Nope.\Well, that's just a front.\If you track dirt onto our senpais' stage, response:	I'll never forgive you.
context: So do your job right.\I think Yahaba's gonna get bitten.\Hope he's okay.\You go stop him.\Nope.\Well, that's just a front.\If you track dirt onto our senpais' stage,\I'll never forgive you. response:	You...
context: I think Yahaba's gonna get bitten.\Hope he's okay.\You go stop him.\Nope.\Well, that's just a front.\If you track dirt onto our senpais' stage,\I'll never forgive you.\You... response:	I thought you were more shallow than that.
context: Hope he's okay.\You go stop him.\Nope.\Well, that's just a front.\If you track dirt onto our senpais' stage,\I'll never forgive you.\You...\I thought you were more shallow than that. response:	You're not wrong there.
context: You go stop him.\Nope.\Well, that's just a front.\If you track dirt onto our senpais' stage,\I'll never forgive you.\You...\I thought you were more shallow than that.\You're not wrong there. response:	I may be shallow, but I respect our senpais.
context: Nope.\Well, that's just a front.\If you track dirt onto our senpais' stage,\I'll never forgive you.\You...\I thought you were more shallow than that.\You're not wrong there.\I may be shallow, but I respect our senpais. response:	As long as you're on the court, any point won or lost belongs to the team.
context: Well, that's just a front.\If you track dirt onto our senpais' stage,\I'll never forgive you.\You...\I thought you were more shallow than that.\You're not wrong there.\I may be shallow, but I respect our senpais.\As long as you're on the court, any point won or lost belongs to the team. response:	So come on. Help us out.
context: If you track dirt onto our senpais' stage,\I'll never forgive you.\You...\I thought you were more shallow than that.\You're not wrong there.\I may be shallow, but I respect our senpais.\As long as you're on the court, any point won or lost belongs to the team.\So come on. Help us out. response:	Got it!
context: I'll never forgive you.\You...\I thought you were more shallow than that.\You're not wrong there.\I may be shallow, but I respect our senpais.\As long as you're on the court, any point won or lost belongs to the team.\So come on. Help us out.\Got it! response:	Center!
context: You...\I thought you were more shallow than that.\You're not wrong there.\I may be shallow, but I respect our senpais.\As long as you're on the court, any point won or lost belongs to the team.\So come on. Help us out.\Got it!\Center! response:	Kunimi-chan!
context: I thought you were more shallow than that.\You're not wrong there.\I may be shallow, but I respect our senpais.\As long as you're on the court, any point won or lost belongs to the team.\So come on. Help us out.\Got it!\Center!\Kunimi-chan! response:	Kunimi's attack is... possibly...
context: You're not wrong there.\I may be shallow, but I respect our senpais.\As long as you're on the court, any point won or lost belongs to the team.\So come on. Help us out.\Got it!\Center!\Kunimi-chan!\Kunimi's attack is... possibly... response:	A feint!
context: I may be shallow, but I respect our senpais.\As long as you're on the court, any point won or lost belongs to the team.\So come on. Help us out.\Got it!\Center!\Kunimi-chan!\Kunimi's attack is... possibly...\A feint! response:	Ryu!
context: As long as you're on the court, any point won or lost belongs to the team.\So come on. Help us out.\Got it!\Center!\Kunimi-chan!\Kunimi's attack is... possibly...\A feint!\Ryu! response:	All right!
context: So come on. Help us out.\Got it!\Center!\Kunimi-chan!\Kunimi's attack is... possibly...\A feint!\Ryu!\All right! response:	Aoba Johsai Karasuno
context: Got it!\Center!\Kunimi-chan!\Kunimi's attack is... possibly...\A feint!\Ryu!\All right!\Aoba Johsai Karasuno response:	Nice kill!
context: Center!\Kunimi-chan!\Kunimi's attack is... possibly...\A feint!\Ryu!\All right!\Aoba Johsai Karasuno\Nice kill! response:	Good job reading that, Kageyama.
context: Kunimi-chan!\Kunimi's attack is... possibly...\A feint!\Ryu!\All right!\Aoba Johsai Karasuno\Nice kill!\Good job reading that, Kageyama. response:	Thanks.
context: Kunimi's attack is... possibly...\A feint!\Ryu!\All right!\Aoba Johsai Karasuno\Nice kill!\Good job reading that, Kageyama.\Thanks. response:	Huh? I guess he's back.
context: A feint!\Ryu!\All right!\Aoba Johsai Karasuno\Nice kill!\Good job reading that, Kageyama.\Thanks.\Huh? I guess he's back. response:	So he's coming back...
context: Ryu!\All right!\Aoba Johsai Karasuno\Nice kill!\Good job reading that, Kageyama.\Thanks.\Huh? I guess he's back.\So he's coming back... response:	That was fast.
context: All right!\Aoba Johsai Karasuno\Nice kill!\Good job reading that, Kageyama.\Thanks.\Huh? I guess he's back.\So he's coming back...\That was fast. response:	I'm sure it's a gamble for Seijoh, though.
context: Aoba Johsai Karasuno\Nice kill!\Good job reading that, Kageyama.\Thanks.\Huh? I guess he's back.\So he's coming back...\That was fast.\I'm sure it's a gamble for Seijoh, though. response:	All right!
context: Nice kill!\Good job reading that, Kageyama.\Thanks.\Huh? I guess he's back.\So he's coming back...\That was fast.\I'm sure it's a gamble for Seijoh, though.\All right! response:	Out! Out!
context: Good job reading that, Kageyama.\Thanks.\Huh? I guess he's back.\So he's coming back...\That was fast.\I'm sure it's a gamble for Seijoh, though.\All right!\Out! Out! response:	All right!
context: Thanks.\Huh? I guess he's back.\So he's coming back...\That was fast.\I'm sure it's a gamble for Seijoh, though.\All right!\Out! Out!\All right! response:	D-Don't mind!
context: Huh? I guess he's back.\So he's coming back...\That was fast.\I'm sure it's a gamble for Seijoh, though.\All right!\Out! Out!\All right!\D-Don't mind! response:	Uwamushi Jr High Minamisan Jr High
context: So he's coming back...\That was fast.\I'm sure it's a gamble for Seijoh, though.\All right!\Out! Out!\All right!\D-Don't mind!\Uwamushi Jr High Minamisan Jr High response:	He's not doing well today.
context: That was fast.\I'm sure it's a gamble for Seijoh, though.\All right!\Out! Out!\All right!\D-Don't mind!\Uwamushi Jr High Minamisan Jr High\He's not doing well today. response:	What should we do?
context: I'm sure it's a gamble for Seijoh, though.\All right!\Out! Out!\All right!\D-Don't mind!\Uwamushi Jr High Minamisan Jr High\He's not doing well today.\What should we do? response:	No one's got more power than he does, either...
context: All right!\Out! Out!\All right!\D-Don't mind!\Uwamushi Jr High Minamisan Jr High\He's not doing well today.\What should we do?\No one's got more power than he does, either... response:	But if the situation gets any worse,
context: Out! Out!\All right!\D-Don't mind!\Uwamushi Jr High Minamisan Jr High\He's not doing well today.\What should we do?\No one's got more power than he does, either...\But if the situation gets any worse, response:	he's going to get really annoying.
context: All right!\D-Don't mind!\Uwamushi Jr High Minamisan Jr High\He's not doing well today.\What should we do?\No one's got more power than he does, either...\But if the situation gets any worse,\he's going to get really annoying. response:	Let's see how things go.
context: D-Don't mind!\Uwamushi Jr High Minamisan Jr High\He's not doing well today.\What should we do?\No one's got more power than he does, either...\But if the situation gets any worse,\he's going to get really annoying.\Let's see how things go. response:	Tanaka, nice serve!
context: Uwamushi Jr High Minamisan Jr High\He's not doing well today.\What should we do?\No one's got more power than he does, either...\But if the situation gets any worse,\he's going to get really annoying.\Let's see how things go.\Tanaka, nice serve! response:	Yes.
context: He's not doing well today.\What should we do?\No one's got more power than he does, either...\But if the situation gets any worse,\he's going to get really annoying.\Let's see how things go.\Tanaka, nice serve!\Yes. response:	Nice receive!
context: What should we do?\No one's got more power than he does, either...\But if the situation gets any worse,\he's going to get really annoying.\Let's see how things go.\Tanaka, nice serve!\Yes.\Nice receive! response:	Mad Dog-chan!
context: No one's got more power than he does, either...\But if the situation gets any worse,\he's going to get really annoying.\Let's see how things go.\Tanaka, nice serve!\Yes.\Nice receive!\Mad Dog-chan! response:	Oikawa's a total sadist.
context: But if the situation gets any worse,\he's going to get really annoying.\Let's see how things go.\Tanaka, nice serve!\Yes.\Nice receive!\Mad Dog-chan!\Oikawa's a total sadist. response:	Absolute trust with no words involved...
context: he's going to get really annoying.\Let's see how things go.\Tanaka, nice serve!\Yes.\Nice receive!\Mad Dog-chan!\Oikawa's a total sadist.\Absolute trust with no words involved... response:	It's been a while since you started coming here, Lone Wolf High School Kid.
context: Let's see how things go.\Tanaka, nice serve!\Yes.\Nice receive!\Mad Dog-chan!\Oikawa's a total sadist.\Absolute trust with no words involved...\It's been a while since you started coming here, Lone Wolf High School Kid. response:	I heard you were in Aoba Johsai.
context: Tanaka, nice serve!\Yes.\Nice receive!\Mad Dog-chan!\Oikawa's a total sadist.\Absolute trust with no words involved...\It's been a while since you started coming here, Lone Wolf High School Kid.\I heard you were in Aoba Johsai. response:	That's a pretty strong school.
context: Yes.\Nice receive!\Mad Dog-chan!\Oikawa's a total sadist.\Absolute trust with no words involved...\It's been a while since you started coming here, Lone Wolf High School Kid.\I heard you were in Aoba Johsai.\That's a pretty strong school. response:	I actually couldn't get into that school.
context: Nice receive!\Mad Dog-chan!\Oikawa's a total sadist.\Absolute trust with no words involved...\It's been a while since you started coming here, Lone Wolf High School Kid.\I heard you were in Aoba Johsai.\That's a pretty strong school.\I actually couldn't get into that school. response:	Running away from the team,
context: Mad Dog-chan!\Oikawa's a total sadist.\Absolute trust with no words involved...\It's been a while since you started coming here, Lone Wolf High School Kid.\I heard you were in Aoba Johsai.\That's a pretty strong school.\I actually couldn't get into that school.\Running away from the team, response:	and practicing elsewhere without rest...
context: Oikawa's a total sadist.\Absolute trust with no words involved...\It's been a while since you started coming here, Lone Wolf High School Kid.\I heard you were in Aoba Johsai.\That's a pretty strong school.\I actually couldn't get into that school.\Running away from the team,\and practicing elsewhere without rest... response:	You're sure taking the easy way out.
context: Absolute trust with no words involved...\It's been a while since you started coming here, Lone Wolf High School Kid.\I heard you were in Aoba Johsai.\That's a pretty strong school.\I actually couldn't get into that school.\Running away from the team,\and practicing elsewhere without rest...\You're sure taking the easy way out. response:	What?!
context: It's been a while since you started coming here, Lone Wolf High School Kid.\I heard you were in Aoba Johsai.\That's a pretty strong school.\I actually couldn't get into that school.\Running away from the team,\and practicing elsewhere without rest...\You're sure taking the easy way out.\What?! response:	A team is reliable and also annoying, at times.
context: I heard you were in Aoba Johsai.\That's a pretty strong school.\I actually couldn't get into that school.\Running away from the team,\and practicing elsewhere without rest...\You're sure taking the easy way out.\What?!\A team is reliable and also annoying, at times. response:	They're strong allies, yet cause a lot of stress.
