context: Intro response:	Things got pretty crazy yesterday, didn't they?
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Overlord at Work!
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work! response:	Title
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title response:	The Overlord
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The Overlord response:	The Overlord
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The Overlord\The Overlord response:	and Hero
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The Overlord\The Overlord\and Hero response:	and Hero
context: Overlord at Work!\Overlord at Work!\Overlord at Work!\Title\The Overlord\The Overlord\and Hero\and Hero response:	Have an
context: Overlord at Work!\Overlord at Work!\Title\The Overlord\The Overlord\and Hero\and Hero\Have an response:	Have an
context: Overlord at Work!\Title\The Overlord\The Overlord\and Hero\and Hero\Have an\Have an response:	Unusual Day
context: Title\The Overlord\The Overlord\and Hero\and Hero\Have an\Have an\Unusual Day response:	Unusual Day
context: The Overlord\The Overlord\and Hero\and Hero\Have an\Have an\Unusual Day\Unusual Day response:	Part A
context: The Overlord\and Hero\and Hero\Have an\Have an\Unusual Day\Unusual Day\Part A response:	Hm? Tomorrow?
context: and Hero\and Hero\Have an\Have an\Unusual Day\Unusual Day\Part A\Hm? Tomorrow? response:	Yeah.
context: and Hero\Have an\Have an\Unusual Day\Unusual Day\Part A\Hm? Tomorrow?\Yeah. response:	Wasabi
context: Have an\Have an\Unusual Day\Unusual Day\Part A\Hm? Tomorrow?\Yeah.\Wasabi response:	You're eating too much.
context: Have an\Unusual Day\Unusual Day\Part A\Hm? Tomorrow?\Yeah.\Wasabi\You're eating too much. response:	You haven't fully recovered yet, so don't push yourself.
context: Unusual Day\Unusual Day\Part A\Hm? Tomorrow?\Yeah.\Wasabi\You're eating too much.\You haven't fully recovered yet, so don't push yourself. response:	But,
context: Unusual Day\Part A\Hm? Tomorrow?\Yeah.\Wasabi\You're eating too much.\You haven't fully recovered yet, so don't push yourself.\But, response:	it's going to expire soon,
context: Part A\Hm? Tomorrow?\Yeah.\Wasabi\You're eating too much.\You haven't fully recovered yet, so don't push yourself.\But,\it's going to expire soon, response:	so we need to finish it all off by tomorrow.
context: Hm? Tomorrow?\Yeah.\Wasabi\You're eating too much.\You haven't fully recovered yet, so don't push yourself.\But,\it's going to expire soon,\so we need to finish it all off by tomorrow. response:	Thank you very much for your concern, Milord.
context: Yeah.\Wasabi\You're eating too much.\You haven't fully recovered yet, so don't push yourself.\But,\it's going to expire soon,\so we need to finish it all off by tomorrow.\Thank you very much for your concern, Milord. response:	Wow, it's true.
context: Wasabi\You're eating too much.\You haven't fully recovered yet, so don't push yourself.\But,\it's going to expire soon,\so we need to finish it all off by tomorrow.\Thank you very much for your concern, Milord.\Wow, it's true. response:	It says there's a new haunted house opening in Fushima Park tomorrow
context: You're eating too much.\You haven't fully recovered yet, so don't push yourself.\But,\it's going to expire soon,\so we need to finish it all off by tomorrow.\Thank you very much for your concern, Milord.\Wow, it's true.\It says there's a new haunted house opening in Fushima Park tomorrow response:	and a Great Asian Reptile fair as well.
context: You haven't fully recovered yet, so don't push yourself.\But,\it's going to expire soon,\so we need to finish it all off by tomorrow.\Thank you very much for your concern, Milord.\Wow, it's true.\It says there's a new haunted house opening in Fushima Park tomorrow\and a Great Asian Reptile fair as well. response:	Stop fiddling around with the computer and eat already.
context: But,\it's going to expire soon,\so we need to finish it all off by tomorrow.\Thank you very much for your concern, Milord.\Wow, it's true.\It says there's a new haunted house opening in Fushima Park tomorrow\and a Great Asian Reptile fair as well.\Stop fiddling around with the computer and eat already. response:	I can't clean up otherwise.
context: it's going to expire soon,\so we need to finish it all off by tomorrow.\Thank you very much for your concern, Milord.\Wow, it's true.\It says there's a new haunted house opening in Fushima Park tomorrow\and a Great Asian Reptile fair as well.\Stop fiddling around with the computer and eat already.\I can't clean up otherwise. response:	Whoa!
context: so we need to finish it all off by tomorrow.\Thank you very much for your concern, Milord.\Wow, it's true.\It says there's a new haunted house opening in Fushima Park tomorrow\and a Great Asian Reptile fair as well.\Stop fiddling around with the computer and eat already.\I can't clean up otherwise.\Whoa! response:	300 Species Gathering
context: Thank you very much for your concern, Milord.\Wow, it's true.\It says there's a new haunted house opening in Fushima Park tomorrow\and a Great Asian Reptile fair as well.\Stop fiddling around with the computer and eat already.\I can't clean up otherwise.\Whoa!\300 Species Gathering response:	Great Reptile Fair
context: Wow, it's true.\It says there's a new haunted house opening in Fushima Park tomorrow\and a Great Asian Reptile fair as well.\Stop fiddling around with the computer and eat already.\I can't clean up otherwise.\Whoa!\300 Species Gathering\Great Reptile Fair response:	Great Reptile Fair
context: It says there's a new haunted house opening in Fushima Park tomorrow\and a Great Asian Reptile fair as well.\Stop fiddling around with the computer and eat already.\I can't clean up otherwise.\Whoa!\300 Species Gathering\Great Reptile Fair\Great Reptile Fair response:	It says here that 300 types of reptiles will be gathered there.
context: and a Great Asian Reptile fair as well.\Stop fiddling around with the computer and eat already.\I can't clean up otherwise.\Whoa!\300 Species Gathering\Great Reptile Fair\Great Reptile Fair\It says here that 300 types of reptiles will be gathered there. response:	It's probably gonna draw quite a crowd.
context: Stop fiddling around with the computer and eat already.\I can't clean up otherwise.\Whoa!\300 Species Gathering\Great Reptile Fair\Great Reptile Fair\It says here that 300 types of reptiles will be gathered there.\It's probably gonna draw quite a crowd. response:	Looks like you'll have to work hard tomorrow.
context: I can't clean up otherwise.\Whoa!\300 Species Gathering\Great Reptile Fair\Great Reptile Fair\It says here that 300 types of reptiles will be gathered there.\It's probably gonna draw quite a crowd.\Looks like you'll have to work hard tomorrow. response:	Yeah.
context: Whoa!\300 Species Gathering\Great Reptile Fair\Great Reptile Fair\It says here that 300 types of reptiles will be gathered there.\It's probably gonna draw quite a crowd.\Looks like you'll have to work hard tomorrow.\Yeah. response:	Oh.
context: 300 Species Gathering\Great Reptile Fair\Great Reptile Fair\It says here that 300 types of reptiles will be gathered there.\It's probably gonna draw quite a crowd.\Looks like you'll have to work hard tomorrow.\Yeah.\Oh. response:	Terrifying attraction
context: Great Reptile Fair\Great Reptile Fair\It says here that 300 types of reptiles will be gathered there.\It's probably gonna draw quite a crowd.\Looks like you'll have to work hard tomorrow.\Yeah.\Oh.\Terrifying attraction response:	Haunted House
context: Great Reptile Fair\It says here that 300 types of reptiles will be gathered there.\It's probably gonna draw quite a crowd.\Looks like you'll have to work hard tomorrow.\Yeah.\Oh.\Terrifying attraction\Haunted House response:	Terrifying attraction
context: It says here that 300 types of reptiles will be gathered there.\It's probably gonna draw quite a crowd.\Looks like you'll have to work hard tomorrow.\Yeah.\Oh.\Terrifying attraction\Haunted House\Terrifying attraction response:	Haunted House
context: It's probably gonna draw quite a crowd.\Looks like you'll have to work hard tomorrow.\Yeah.\Oh.\Terrifying attraction\Haunted House\Terrifying attraction\Haunted House response:	The new haunted house is apparently scarier than The Labyrinth of Silence,
context: Looks like you'll have to work hard tomorrow.\Yeah.\Oh.\Terrifying attraction\Haunted House\Terrifying attraction\Haunted House\The new haunted house is apparently scarier than The Labyrinth of Silence, response:	which is considered the best in Japan.
context: Yeah.\Oh.\Terrifying attraction\Haunted House\Terrifying attraction\Haunted House\The new haunted house is apparently scarier than The Labyrinth of Silence,\which is considered the best in Japan. response:	Loads of people are gonna go to that terrifying thing.
context: Oh.\Terrifying attraction\Haunted House\Terrifying attraction\Haunted House\The new haunted house is apparently scarier than The Labyrinth of Silence,\which is considered the best in Japan.\Loads of people are gonna go to that terrifying thing. response:	Doesn't that mean a lot of fear could be gathered at that one place?
context: Terrifying attraction\Haunted House\Terrifying attraction\Haunted House\The new haunted house is apparently scarier than The Labyrinth of Silence,\which is considered the best in Japan.\Loads of people are gonna go to that terrifying thing.\Doesn't that mean a lot of fear could be gathered at that one place? response:	We might be able to harvest some magic.
context: Haunted House\Terrifying attraction\Haunted House\The new haunted house is apparently scarier than The Labyrinth of Silence,\which is considered the best in Japan.\Loads of people are gonna go to that terrifying thing.\Doesn't that mean a lot of fear could be gathered at that one place?\We might be able to harvest some magic. response:	In that case, I shall come along with you tomorrow
context: Terrifying attraction\Haunted House\The new haunted house is apparently scarier than The Labyrinth of Silence,\which is considered the best in Japan.\Loads of people are gonna go to that terrifying thing.\Doesn't that mean a lot of fear could be gathered at that one place?\We might be able to harvest some magic.\In that case, I shall come along with you tomorrow response:	and put my flesh and bones to use for you, Milord.
context: Haunted House\The new haunted house is apparently scarier than The Labyrinth of Silence,\which is considered the best in Japan.\Loads of people are gonna go to that terrifying thing.\Doesn't that mean a lot of fear could be gathered at that one place?\We might be able to harvest some magic.\In that case, I shall come along with you tomorrow\and put my flesh and bones to use for you, Milord. response:	So you're going too, Ashiya?
context: The new haunted house is apparently scarier than The Labyrinth of Silence,\which is considered the best in Japan.\Loads of people are gonna go to that terrifying thing.\Doesn't that mean a lot of fear could be gathered at that one place?\We might be able to harvest some magic.\In that case, I shall come along with you tomorrow\and put my flesh and bones to use for you, Milord.\So you're going too, Ashiya? response:	Yeah. I am.
context: which is considered the best in Japan.\Loads of people are gonna go to that terrifying thing.\Doesn't that mean a lot of fear could be gathered at that one place?\We might be able to harvest some magic.\In that case, I shall come along with you tomorrow\and put my flesh and bones to use for you, Milord.\So you're going too, Ashiya?\Yeah. I am. response:	You sit tight here in Castle Overlord.
context: Loads of people are gonna go to that terrifying thing.\Doesn't that mean a lot of fear could be gathered at that one place?\We might be able to harvest some magic.\In that case, I shall come along with you tomorrow\and put my flesh and bones to use for you, Milord.\So you're going too, Ashiya?\Yeah. I am.\You sit tight here in Castle Overlord. response:	What?
context: Doesn't that mean a lot of fear could be gathered at that one place?\We might be able to harvest some magic.\In that case, I shall come along with you tomorrow\and put my flesh and bones to use for you, Milord.\So you're going too, Ashiya?\Yeah. I am.\You sit tight here in Castle Overlord.\What? response:	Money for food.
context: We might be able to harvest some magic.\In that case, I shall come along with you tomorrow\and put my flesh and bones to use for you, Milord.\So you're going too, Ashiya?\Yeah. I am.\You sit tight here in Castle Overlord.\What?\Money for food. response:	I'm gonna get pizza.
context: In that case, I shall come along with you tomorrow\and put my flesh and bones to use for you, Milord.\So you're going too, Ashiya?\Yeah. I am.\You sit tight here in Castle Overlord.\What?\Money for food.\I'm gonna get pizza. response:	Like hell you are!
context: and put my flesh and bones to use for you, Milord.\So you're going too, Ashiya?\Yeah. I am.\You sit tight here in Castle Overlord.\What?\Money for food.\I'm gonna get pizza.\Like hell you are! response:	Udon's all you'll get!
context: So you're going too, Ashiya?\Yeah. I am.\You sit tight here in Castle Overlord.\What?\Money for food.\I'm gonna get pizza.\Like hell you are!\Udon's all you'll get! response:	You don't have to do anything.
context: Yeah. I am.\You sit tight here in Castle Overlord.\What?\Money for food.\I'm gonna get pizza.\Like hell you are!\Udon's all you'll get!\You don't have to do anything. response:	I'll make it for you before I leave.
context: You sit tight here in Castle Overlord.\What?\Money for food.\I'm gonna get pizza.\Like hell you are!\Udon's all you'll get!\You don't have to do anything.\I'll make it for you before I leave. response:	What? Come on.
context: What?\Money for food.\I'm gonna get pizza.\Like hell you are!\Udon's all you'll get!\You don't have to do anything.\I'll make it for you before I leave.\What? Come on. response:	That udon probably expired already.
context: Money for food.\I'm gonna get pizza.\Like hell you are!\Udon's all you'll get!\You don't have to do anything.\I'll make it for you before I leave.\What? Come on.\That udon probably expired already. response:	Nah, it's still edible.
context: I'm gonna get pizza.\Like hell you are!\Udon's all you'll get!\You don't have to do anything.\I'll make it for you before I leave.\What? Come on.\That udon probably expired already.\Nah, it's still edible. response:	A Spirit of Wastefulness will show up if you don't eat it.
context: Like hell you are!\Udon's all you'll get!\You don't have to do anything.\I'll make it for you before I leave.\What? Come on.\That udon probably expired already.\Nah, it's still edible.\A Spirit of Wastefulness will show up if you don't eat it. response:	Dumbass.
context: Udon's all you'll get!\You don't have to do anything.\I'll make it for you before I leave.\What? Come on.\That udon probably expired already.\Nah, it's still edible.\A Spirit of Wastefulness will show up if you don't eat it.\Dumbass. response:	Damn you!
context: You don't have to do anything.\I'll make it for you before I leave.\What? Come on.\That udon probably expired already.\Nah, it's still edible.\A Spirit of Wastefulness will show up if you don't eat it.\Dumbass.\Damn you! response:	Sorry.
context: I'll make it for you before I leave.\What? Come on.\That udon probably expired already.\Nah, it's still edible.\A Spirit of Wastefulness will show up if you don't eat it.\Dumbass.\Damn you!\Sorry. response:	Just hurry up and eat already.
context: What? Come on.\That udon probably expired already.\Nah, it's still edible.\A Spirit of Wastefulness will show up if you don't eat it.\Dumbass.\Damn you!\Sorry.\Just hurry up and eat already. response:	We need to clean this shit up!
context: That udon probably expired already.\Nah, it's still edible.\A Spirit of Wastefulness will show up if you don't eat it.\Dumbass.\Damn you!\Sorry.\Just hurry up and eat already.\We need to clean this shit up! response:	Chiho
context: Nah, it's still edible.\A Spirit of Wastefulness will show up if you don't eat it.\Dumbass.\Damn you!\Sorry.\Just hurry up and eat already.\We need to clean this shit up!\Chiho response:	Chiho
context: A Spirit of Wastefulness will show up if you don't eat it.\Dumbass.\Damn you!\Sorry.\Just hurry up and eat already.\We need to clean this shit up!\Chiho\Chiho response:	Chiho
context: Dumbass.\Damn you!\Sorry.\Just hurry up and eat already.\We need to clean this shit up!\Chiho\Chiho\Chiho response:	Chiho
context: Damn you!\Sorry.\Just hurry up and eat already.\We need to clean this shit up!\Chiho\Chiho\Chiho\Chiho response:	Chiho
context: Sorry.\Just hurry up and eat already.\We need to clean this shit up!\Chiho\Chiho\Chiho\Chiho\Chiho response:	Chiho
context: Just hurry up and eat already.\We need to clean this shit up!\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho response:	Chiho
context: We need to clean this shit up!\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho response:	Chiho
context: Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho response:	Chiho
context: Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho response:	Chiho
context: Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho response:	Hello?
context: Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Hello? response:	Oh, Chiho?
context: Chiho\Chiho\Chiho\Chiho\Chiho\Chiho\Hello?\Oh, Chiho? response:	Yeah.
context: Chiho\Chiho\Chiho\Chiho\Chiho\Hello?\Oh, Chiho?\Yeah. response:	Yeah.
context: Chiho\Chiho\Chiho\Chiho\Hello?\Oh, Chiho?\Yeah.\Yeah. response:	Huh?
context: Chiho\Chiho\Chiho\Hello?\Oh, Chiho?\Yeah.\Yeah.\Huh? response:	Fushima Park?
context: Chiho\Chiho\Hello?\Oh, Chiho?\Yeah.\Yeah.\Huh?\Fushima Park? response:	Sure.
context: Chiho\Hello?\Oh, Chiho?\Yeah.\Yeah.\Huh?\Fushima Park?\Sure. response:	I'm free tomorrow.
context: Hello?\Oh, Chiho?\Yeah.\Yeah.\Huh?\Fushima Park?\Sure.\I'm free tomorrow. response:	Um, thank you!
context: Oh, Chiho?\Yeah.\Yeah.\Huh?\Fushima Park?\Sure.\I'm free tomorrow.\Um, thank you! response:	I'm so glad you're coming along.
context: Yeah.\Yeah.\Huh?\Fushima Park?\Sure.\I'm free tomorrow.\Um, thank you!\I'm so glad you're coming along. response:	I didn't really want to go alone...
context: Yeah.\Huh?\Fushima Park?\Sure.\I'm free tomorrow.\Um, thank you!\I'm so glad you're coming along.\I didn't really want to go alone... response:	Yeah.
