context: It's been getting pretty hot lately, hasn't it? response:	There, there!
context: They're shiny one-yen coins.\Here they are!\Blood?\A severed hand!\That reminds me... Wasn't there some story about severed-hand ramen a while back?\A glove and ketchup?\Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.\The last one's in the science room. response:	Yui-nee sure is reliable!
context: Here they are!\Blood?\A severed hand!\That reminds me... Wasn't there some story about severed-hand ramen a while back?\A glove and ketchup?\Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.\The last one's in the science room.\Yui-nee sure is reliable! response:	Yep.
context: Blood?\A severed hand!\That reminds me... Wasn't there some story about severed-hand ramen a while back?\A glove and ketchup?\Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.\The last one's in the science room.\Yui-nee sure is reliable!\Yep. response:	Boy, you can lead the way from here on.
context: A severed hand!\That reminds me... Wasn't there some story about severed-hand ramen a while back?\A glove and ketchup?\Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.\The last one's in the science room.\Yui-nee sure is reliable!\Yep.\Boy, you can lead the way from here on. response:	I think I'll just watch you two getting scared out of your wits from behind.
context: That reminds me... Wasn't there some story about severed-hand ramen a while back?\A glove and ketchup?\Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.\The last one's in the science room.\Yui-nee sure is reliable!\Yep.\Boy, you can lead the way from here on.\I think I'll just watch you two getting scared out of your wits from behind. response:	That's not fair, Anego!
context: A glove and ketchup?\Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.\The last one's in the science room.\Yui-nee sure is reliable!\Yep.\Boy, you can lead the way from here on.\I think I'll just watch you two getting scared out of your wits from behind.\That's not fair, Anego! response:	Um...
context: Alright, let's fill it with seaweed and lower it so it touches your neck as you pass.\The last one's in the science room.\Yui-nee sure is reliable!\Yep.\Boy, you can lead the way from here on.\I think I'll just watch you two getting scared out of your wits from behind.\That's not fair, Anego!\Um... response:	Couldn't we go a little slower?
context: The last one's in the science room.\Yui-nee sure is reliable!\Yep.\Boy, you can lead the way from here on.\I think I'll just watch you two getting scared out of your wits from behind.\That's not fair, Anego!\Um...\Couldn't we go a little slower? response:	You were fine just a second ago.
context: Yui-nee sure is reliable!\Yep.\Boy, you can lead the way from here on.\I think I'll just watch you two getting scared out of your wits from behind.\That's not fair, Anego!\Um...\Couldn't we go a little slower?\You were fine just a second ago. response:	Well, when I'm behind Yui-nee, it's like we could even take on the President!
context: Yep.\Boy, you can lead the way from here on.\I think I'll just watch you two getting scared out of your wits from behind.\That's not fair, Anego!\Um...\Couldn't we go a little slower?\You were fine just a second ago.\Well, when I'm behind Yui-nee, it's like we could even take on the President! response:	I get scared like anyone else.
context: Boy, you can lead the way from here on.\I think I'll just watch you two getting scared out of your wits from behind.\That's not fair, Anego!\Um...\Couldn't we go a little slower?\You were fine just a second ago.\Well, when I'm behind Yui-nee, it's like we could even take on the President!\I get scared like anyone else. response:	You look okay, though...
context: I think I'll just watch you two getting scared out of your wits from behind.\That's not fair, Anego!\Um...\Couldn't we go a little slower?\You were fine just a second ago.\Well, when I'm behind Yui-nee, it's like we could even take on the President!\I get scared like anyone else.\You look okay, though... response:	Well, I'm scared too.
context: That's not fair, Anego!\Um...\Couldn't we go a little slower?\You were fine just a second ago.\Well, when I'm behind Yui-nee, it's like we could even take on the President!\I get scared like anyone else.\You look okay, though...\Well, I'm scared too. response:	Yeah, it's scary, right?
context: Um...\Couldn't we go a little slower?\You were fine just a second ago.\Well, when I'm behind Yui-nee, it's like we could even take on the President!\I get scared like anyone else.\You look okay, though...\Well, I'm scared too.\Yeah, it's scary, right? response:	What?!
context: Couldn't we go a little slower?\You were fine just a second ago.\Well, when I'm behind Yui-nee, it's like we could even take on the President!\I get scared like anyone else.\You look okay, though...\Well, I'm scared too.\Yeah, it's scary, right?\What?! response:	I just got the shivers!
context: You were fine just a second ago.\Well, when I'm behind Yui-nee, it's like we could even take on the President!\I get scared like anyone else.\You look okay, though...\Well, I'm scared too.\Yeah, it's scary, right?\What?!\I just got the shivers! response:	Was that just wind?
context: Well, when I'm behind Yui-nee, it's like we could even take on the President!\I get scared like anyone else.\You look okay, though...\Well, I'm scared too.\Yeah, it's scary, right?\What?!\I just got the shivers!\Was that just wind? response:	Really? That gave me a fright...
context: I get scared like anyone else.\You look okay, though...\Well, I'm scared too.\Yeah, it's scary, right?\What?!\I just got the shivers!\Was that just wind?\Really? That gave me a fright... response:	Well...
context: You look okay, though...\Well, I'm scared too.\Yeah, it's scary, right?\What?!\I just got the shivers!\Was that just wind?\Really? That gave me a fright...\Well... response:	I think it'd be better if
context: Well, I'm scared too.\Yeah, it's scary, right?\What?!\I just got the shivers!\Was that just wind?\Really? That gave me a fright...\Well...\I think it'd be better if response:	Huh?
context: Yeah, it's scary, right?\What?!\I just got the shivers!\Was that just wind?\Really? That gave me a fright...\Well...\I think it'd be better if\Huh? response:	Where'd Yui-nee go?
context: What?!\I just got the shivers!\Was that just wind?\Really? That gave me a fright...\Well...\I think it'd be better if\Huh?\Where'd Yui-nee go? response:	L-Let's search...
context: I just got the shivers!\Was that just wind?\Really? That gave me a fright...\Well...\I think it'd be better if\Huh?\Where'd Yui-nee go?\L-Let's search... response:	Be careful!
context: Was that just wind?\Really? That gave me a fright...\Well...\I think it'd be better if\Huh?\Where'd Yui-nee go?\L-Let's search...\Be careful! response:	That was Rin's team!
context: Really? That gave me a fright...\Well...\I think it'd be better if\Huh?\Where'd Yui-nee go?\L-Let's search...\Be careful!\That was Rin's team! response:	It sounded close.
context: Well...\I think it'd be better if\Huh?\Where'd Yui-nee go?\L-Let's search...\Be careful!\That was Rin's team!\It sounded close. response:	Komari-chan! Komari-chan!
context: I think it'd be better if\Huh?\Where'd Yui-nee go?\L-Let's search...\Be careful!\That was Rin's team!\It sounded close.\Komari-chan! Komari-chan! response:	Don't die! Live!
context: Huh?\Where'd Yui-nee go?\L-Let's search...\Be careful!\That was Rin's team!\It sounded close.\Komari-chan! Komari-chan!\Don't die! Live! response:	That's Komarimax for you.
context: Where'd Yui-nee go?\L-Let's search...\Be careful!\That was Rin's team!\It sounded close.\Komari-chan! Komari-chan!\Don't die! Live!\That's Komarimax for you. response:	She's completely out.
context: L-Let's search...\Be careful!\That was Rin's team!\It sounded close.\Komari-chan! Komari-chan!\Don't die! Live!\That's Komarimax for you.\She's completely out. response:	What was that for?!
context: Be careful!\That was Rin's team!\It sounded close.\Komari-chan! Komari-chan!\Don't die! Live!\That's Komarimax for you.\She's completely out.\What was that for?! response:	Wh-What do we do?
context: That was Rin's team!\It sounded close.\Komari-chan! Komari-chan!\Don't die! Live!\That's Komarimax for you.\She's completely out.\What was that for?!\Wh-What do we do? response:	Well, let's see...
context: It sounded close.\Komari-chan! Komari-chan!\Don't die! Live!\That's Komarimax for you.\She's completely out.\What was that for?!\Wh-What do we do?\Well, let's see... response:	Flap.
context: Komari-chan! Komari-chan!\Don't die! Live!\That's Komarimax for you.\She's completely out.\What was that for?!\Wh-What do we do?\Well, let's see...\Flap. response:	Anego!
context: Don't die! Live!\That's Komarimax for you.\She's completely out.\What was that for?!\Wh-What do we do?\Well, let's see...\Flap.\Anego! response:	What are you doing?!
context: That's Komarimax for you.\She's completely out.\What was that for?!\Wh-What do we do?\Well, let's see...\Flap.\Anego!\What are you doing?! response:	It's fine.
context: She's completely out.\What was that for?!\Wh-What do we do?\Well, let's see...\Flap.\Anego!\What are you doing?!\It's fine. response:	We're both girls, and there's plenty to go around.
context: What was that for?!\Wh-What do we do?\Well, let's see...\Flap.\Anego!\What are you doing?!\It's fine.\We're both girls, and there's plenty to go around. response:	That's not the problem here...
context: Wh-What do we do?\Well, let's see...\Flap.\Anego!\What are you doing?!\It's fine.\We're both girls, and there's plenty to go around.\That's not the problem here... response:	Okay, fine.
context: Well, let's see...\Flap.\Anego!\What are you doing?!\It's fine.\We're both girls, and there's plenty to go around.\That's not the problem here...\Okay, fine. response:	Komari-chan!
context: Flap.\Anego!\What are you doing?!\It's fine.\We're both girls, and there's plenty to go around.\That's not the problem here...\Okay, fine.\Komari-chan! response:	She's back!
context: Anego!\What are you doing?!\It's fine.\We're both girls, and there's plenty to go around.\That's not the problem here...\Okay, fine.\Komari-chan!\She's back! response:	That's a sexy way to wake her up.
context: What are you doing?!\It's fine.\We're both girls, and there's plenty to go around.\That's not the problem here...\Okay, fine.\Komari-chan!\She's back!\That's a sexy way to wake her up. response:	You disappeared on us for this?
context: It's fine.\We're both girls, and there's plenty to go around.\That's not the problem here...\Okay, fine.\Komari-chan!\She's back!\That's a sexy way to wake her up.\You disappeared on us for this? response:	I thought it would be more fun to be on the scaring side.
context: We're both girls, and there's plenty to go around.\That's not the problem here...\Okay, fine.\Komari-chan!\She's back!\That's a sexy way to wake her up.\You disappeared on us for this?\I thought it would be more fun to be on the scaring side. response:	How many talismans did you find?
context: That's not the problem here...\Okay, fine.\Komari-chan!\She's back!\That's a sexy way to wake her up.\You disappeared on us for this?\I thought it would be more fun to be on the scaring side.\How many talismans did you find? response:	Three.
context: Okay, fine.\Komari-chan!\She's back!\That's a sexy way to wake her up.\You disappeared on us for this?\I thought it would be more fun to be on the scaring side.\How many talismans did you find?\Three. response:	Wow! That's a lot!
context: Komari-chan!\She's back!\That's a sexy way to wake her up.\You disappeared on us for this?\I thought it would be more fun to be on the scaring side.\How many talismans did you find?\Three.\Wow! That's a lot! response:	Wafu!
context: She's back!\That's a sexy way to wake her up.\You disappeared on us for this?\I thought it would be more fun to be on the scaring side.\How many talismans did you find?\Three.\Wow! That's a lot!\Wafu! response:	Kud!
context: That's a sexy way to wake her up.\You disappeared on us for this?\I thought it would be more fun to be on the scaring side.\How many talismans did you find?\Three.\Wow! That's a lot!\Wafu!\Kud! response:	Wait, you guys!
context: You disappeared on us for this?\I thought it would be more fun to be on the scaring side.\How many talismans did you find?\Three.\Wow! That's a lot!\Wafu!\Kud!\Wait, you guys! response:	Wafu!
context: I thought it would be more fun to be on the scaring side.\How many talismans did you find?\Three.\Wow! That's a lot!\Wafu!\Kud!\Wait, you guys!\Wafu! response:	Just keep go straight!
context: How many talismans did you find?\Three.\Wow! That's a lot!\Wafu!\Kud!\Wait, you guys!\Wafu!\Just keep go straight! response:	Spin, spin, spin...
context: Three.\Wow! That's a lot!\Wafu!\Kud!\Wait, you guys!\Wafu!\Just keep go straight!\Spin, spin, spin... response:	Is she okay?
context: Wow! That's a lot!\Wafu!\Kud!\Wait, you guys!\Wafu!\Just keep go straight!\Spin, spin, spin...\Is she okay? response:	Yeah. My muscles cushioned her fall.
context: Wafu!\Kud!\Wait, you guys!\Wafu!\Just keep go straight!\Spin, spin, spin...\Is she okay?\Yeah. My muscles cushioned her fall. response:	You two stay here.
context: Kud!\Wait, you guys!\Wafu!\Just keep go straight!\Spin, spin, spin...\Is she okay?\Yeah. My muscles cushioned her fall.\You two stay here. response:	Take care of Kud-o.
context: Wait, you guys!\Wafu!\Just keep go straight!\Spin, spin, spin...\Is she okay?\Yeah. My muscles cushioned her fall.\You two stay here.\Take care of Kud-o. response:	You too?
context: Wafu!\Just keep go straight!\Spin, spin, spin...\Is she okay?\Yeah. My muscles cushioned her fall.\You two stay here.\Take care of Kud-o.\You too? response:	Yeah.
context: Just keep go straight!\Spin, spin, spin...\Is she okay?\Yeah. My muscles cushioned her fall.\You two stay here.\Take care of Kud-o.\You too?\Yeah. response:	That feeling. They've been watching us.
context: Spin, spin, spin...\Is she okay?\Yeah. My muscles cushioned her fall.\You two stay here.\Take care of Kud-o.\You too?\Yeah.\That feeling. They've been watching us. response:	Kud. Kud!
context: Is she okay?\Yeah. My muscles cushioned her fall.\You two stay here.\Take care of Kud-o.\You too?\Yeah.\That feeling. They've been watching us.\Kud. Kud! response:	Naoe-san?
context: Yeah. My muscles cushioned her fall.\You two stay here.\Take care of Kud-o.\You too?\Yeah.\That feeling. They've been watching us.\Kud. Kud!\Naoe-san? response:	It's horrible!
context: You two stay here.\Take care of Kud-o.\You too?\Yeah.\That feeling. They've been watching us.\Kud. Kud!\Naoe-san?\It's horrible! response:	What's wrong?
context: Take care of Kud-o.\You too?\Yeah.\That feeling. They've been watching us.\Kud. Kud!\Naoe-san?\It's horrible!\What's wrong? response:	It's not no ghosts, it's yes ghosts! They're here!
context: You too?\Yeah.\That feeling. They've been watching us.\Kud. Kud!\Naoe-san?\It's horrible!\What's wrong?\It's not no ghosts, it's yes ghosts! They're here! response:	Doesn't look like anything's here.
context: Yeah.\That feeling. They've been watching us.\Kud. Kud!\Naoe-san?\It's horrible!\What's wrong?\It's not no ghosts, it's yes ghosts! They're here!\Doesn't look like anything's here. response:	Hey, what now?
context: That feeling. They've been watching us.\Kud. Kud!\Naoe-san?\It's horrible!\What's wrong?\It's not no ghosts, it's yes ghosts! They're here!\Doesn't look like anything's here.\Hey, what now? response:	It won't open.
context: Kud. Kud!\Naoe-san?\It's horrible!\What's wrong?\It's not no ghosts, it's yes ghosts! They're here!\Doesn't look like anything's here.\Hey, what now?\It won't open. response:	Huh?! Yeah, right.
context: Naoe-san?\It's horrible!\What's wrong?\It's not no ghosts, it's yes ghosts! They're here!\Doesn't look like anything's here.\Hey, what now?\It won't open.\Huh?! Yeah, right. response:	What the hell?
context: It's horrible!\What's wrong?\It's not no ghosts, it's yes ghosts! They're here!\Doesn't look like anything's here.\Hey, what now?\It won't open.\Huh?! Yeah, right.\What the hell? response:	Hey, Riki, that you?
context: What's wrong?\It's not no ghosts, it's yes ghosts! They're here!\Doesn't look like anything's here.\Hey, what now?\It won't open.\Huh?! Yeah, right.\What the hell?\Hey, Riki, that you? response:	Yes ghosts?
context: It's not no ghosts, it's yes ghosts! They're here!\Doesn't look like anything's here.\Hey, what now?\It won't open.\Huh?! Yeah, right.\What the hell?\Hey, Riki, that you?\Yes ghosts? response:	I don't know...
context: Doesn't look like anything's here.\Hey, what now?\It won't open.\Huh?! Yeah, right.\What the hell?\Hey, Riki, that you?\Yes ghosts?\I don't know... response:	Masato and Kengo!
context: Hey, what now?\It won't open.\Huh?! Yeah, right.\What the hell?\Hey, Riki, that you?\Yes ghosts?\I don't know...\Masato and Kengo! response:	The number you have dialed is temporarily not available.
context: It won't open.\Huh?! Yeah, right.\What the hell?\Hey, Riki, that you?\Yes ghosts?\I don't know...\Masato and Kengo!\The number you have dialed is temporarily not available. response:	I'm not getting through.
context: Huh?! Yeah, right.\What the hell?\Hey, Riki, that you?\Yes ghosts?\I don't know...\Masato and Kengo!\The number you have dialed is temporarily not available.\I'm not getting through. response:	Naoe-san...
context: What the hell?\Hey, Riki, that you?\Yes ghosts?\I don't know...\Masato and Kengo!\The number you have dialed is temporarily not available.\I'm not getting through.\Naoe-san... response:	Don't worry.
context: Hey, Riki, that you?\Yes ghosts?\I don't know...\Masato and Kengo!\The number you have dialed is temporarily not available.\I'm not getting through.\Naoe-san...\Don't worry. response:	Okay.
context: Yes ghosts?\I don't know...\Masato and Kengo!\The number you have dialed is temporarily not available.\I'm not getting through.\Naoe-san...\Don't worry.\Okay. response:	This isn't something Kyousuke would do.
context: I don't know...\Masato and Kengo!\The number you have dialed is temporarily not available.\I'm not getting through.\Naoe-san...\Don't worry.\Okay.\This isn't something Kyousuke would do. response:	I made sure to hang a few basins in case anyone tried to escape.
context: Masato and Kengo!\The number you have dialed is temporarily not available.\I'm not getting through.\Naoe-san...\Don't worry.\Okay.\This isn't something Kyousuke would do.\I made sure to hang a few basins in case anyone tried to escape. response:	Now this is something you would do.
context: The number you have dialed is temporarily not available.\I'm not getting through.\Naoe-san...\Don't worry.\Okay.\This isn't something Kyousuke would do.\I made sure to hang a few basins in case anyone tried to escape.\Now this is something you would do. response:	Quit it!
context: I'm not getting through.\Naoe-san...\Don't worry.\Okay.\This isn't something Kyousuke would do.\I made sure to hang a few basins in case anyone tried to escape.\Now this is something you would do.\Quit it! response:	Sorry.
context: Naoe-san...\Don't worry.\Okay.\This isn't something Kyousuke would do.\I made sure to hang a few basins in case anyone tried to escape.\Now this is something you would do.\Quit it!\Sorry. response:	Think your muscles can beat mine?
context: Don't worry.\Okay.\This isn't something Kyousuke would do.\I made sure to hang a few basins in case anyone tried to escape.\Now this is something you would do.\Quit it!\Sorry.\Think your muscles can beat mine? response:	Yes ghosts?
context: Okay.\This isn't something Kyousuke would do.\I made sure to hang a few basins in case anyone tried to escape.\Now this is something you would do.\Quit it!\Sorry.\Think your muscles can beat mine?\Yes ghosts? response:	Kud says she senses something.
context: This isn't something Kyousuke would do.\I made sure to hang a few basins in case anyone tried to escape.\Now this is something you would do.\Quit it!\Sorry.\Think your muscles can beat mine?\Yes ghosts?\Kud says she senses something. response:	What's wrong?
context: I made sure to hang a few basins in case anyone tried to escape.\Now this is something you would do.\Quit it!\Sorry.\Think your muscles can beat mine?\Yes ghosts?\Kud says she senses something.\What's wrong? response:	Well...
context: Now this is something you would do.\Quit it!\Sorry.\Think your muscles can beat mine?\Yes ghosts?\Kud says she senses something.\What's wrong?\Well... response:	The test of courage is cancelled.
context: Quit it!\Sorry.\Think your muscles can beat mine?\Yes ghosts?\Kud says she senses something.\What's wrong?\Well...\The test of courage is cancelled. response:	We're going to go ghost busting!
context: Sorry.\Think your muscles can beat mine?\Yes ghosts?\Kud says she senses something.\What's wrong?\Well...\The test of courage is cancelled.\We're going to go ghost busting! response:	Sign: Ghost Busting
context: Think your muscles can beat mine?\Yes ghosts?\Kud says she senses something.\What's wrong?\Well...\The test of courage is cancelled.\We're going to go ghost busting!\Sign: Ghost Busting response:	Ghosts?!
context: Yes ghosts?\Kud says she senses something.\What's wrong?\Well...\The test of courage is cancelled.\We're going to go ghost busting!\Sign: Ghost Busting\Ghosts?! response:	Another offbeat idea.
context: Kud says she senses something.\What's wrong?\Well...\The test of courage is cancelled.\We're going to go ghost busting!\Sign: Ghost Busting\Ghosts?!\Another offbeat idea. response:	It's hard to believe, but we can't just leave them be.
context: What's wrong?\Well...\The test of courage is cancelled.\We're going to go ghost busting!\Sign: Ghost Busting\Ghosts?!\Another offbeat idea.\It's hard to believe, but we can't just leave them be. response:	Riki, help me out here.
context: Well...\The test of courage is cancelled.\We're going to go ghost busting!\Sign: Ghost Busting\Ghosts?!\Another offbeat idea.\It's hard to believe, but we can't just leave them be.\Riki, help me out here. response:	Okay.
context: The test of courage is cancelled.\We're going to go ghost busting!\Sign: Ghost Busting\Ghosts?!\Another offbeat idea.\It's hard to believe, but we can't just leave them be.\Riki, help me out here.\Okay. response:	I'll go too!
context: We're going to go ghost busting!\Sign: Ghost Busting\Ghosts?!\Another offbeat idea.\It's hard to believe, but we can't just leave them be.\Riki, help me out here.\Okay.\I'll go too! response:	Rin?
context: Sign: Ghost Busting\Ghosts?!\Another offbeat idea.\It's hard to believe, but we can't just leave them be.\Riki, help me out here.\Okay.\I'll go too!\Rin? response:	Me too!
context: Ghosts?!\Another offbeat idea.\It's hard to believe, but we can't just leave them be.\Riki, help me out here.\Okay.\I'll go too!\Rin?\Me too! response:	If I'm with Rin-chan, I'll be okay!
context: Another offbeat idea.\It's hard to believe, but we can't just leave them be.\Riki, help me out here.\Okay.\I'll go too!\Rin?\Me too!\If I'm with Rin-chan, I'll be okay! response:	Can we count on you?
context: It's hard to believe, but we can't just leave them be.\Riki, help me out here.\Okay.\I'll go too!\Rin?\Me too!\If I'm with Rin-chan, I'll be okay!\Can we count on you? response:	I can't possibly refuse.
context: Riki, help me out here.\Okay.\I'll go too!\Rin?\Me too!\If I'm with Rin-chan, I'll be okay!\Can we count on you?\I can't possibly refuse. response:	I shall assist ye!
context: Okay.\I'll go too!\Rin?\Me too!\If I'm with Rin-chan, I'll be okay!\Can we count on you?\I can't possibly refuse.\I shall assist ye! response:	Wafu!
context: I'll go too!\Rin?\Me too!\If I'm with Rin-chan, I'll be okay!\Can we count on you?\I can't possibly refuse.\I shall assist ye!\Wafu! response:	Alright!
context: Rin?\Me too!\If I'm with Rin-chan, I'll be okay!\Can we count on you?\I can't possibly refuse.\I shall assist ye!\Wafu!\Alright! response:	Mission, start!
context: Me too!\If I'm with Rin-chan, I'll be okay!\Can we count on you?\I can't possibly refuse.\I shall assist ye!\Wafu!\Alright!\Mission, start! response:	None on the first floor. Over.
context: If I'm with Rin-chan, I'll be okay!\Can we count on you?\I can't possibly refuse.\I shall assist ye!\Wafu!\Alright!\Mission, start!\None on the first floor. Over. response:	Roger. Over.
context: Can we count on you?\I can't possibly refuse.\I shall assist ye!\Wafu!\Alright!\Mission, start!\None on the first floor. Over.\Roger. Over. response:	No response.
context: I can't possibly refuse.\I shall assist ye!\Wafu!\Alright!\Mission, start!\None on the first floor. Over.\Roger. Over.\No response. response:	Second floor!
context: I shall assist ye!\Wafu!\Alright!\Mission, start!\None on the first floor. Over.\Roger. Over.\No response.\Second floor! response:	Let's flank it!
context: Wafu!\Alright!\Mission, start!\None on the first floor. Over.\Roger. Over.\No response.\Second floor!\Let's flank it! response:	Masato!
context: Alright!\Mission, start!\None on the first floor. Over.\Roger. Over.\No response.\Second floor!\Let's flank it!\Masato! response:	Was that it?!
context: Mission, start!\None on the first floor. Over.\Roger. Over.\No response.\Second floor!\Let's flank it!\Masato!\Was that it?! response:	Did we lose it?
context: None on the first floor. Over.\Roger. Over.\No response.\Second floor!\Let's flank it!\Masato!\Was that it?!\Did we lose it? response:	Can we really stop that thing?
context: Roger. Over.\No response.\Second floor!\Let's flank it!\Masato!\Was that it?!\Did we lose it?\Can we really stop that thing? response:	Natsume-san! I've called in some help!
context: No response.\Second floor!\Let's flank it!\Masato!\Was that it?!\Did we lose it?\Can we really stop that thing?\Natsume-san! I've called in some help! response:	A-ha!
context: Second floor!\Let's flank it!\Masato!\Was that it?!\Did we lose it?\Can we really stop that thing?\Natsume-san! I've called in some help!\A-ha! response:	Why me?
context: Let's flank it!\Masato!\Was that it?!\Did we lose it?\Can we really stop that thing?\Natsume-san! I've called in some help!\A-ha!\Why me? response:	Good job!
context: Masato!\Was that it?!\Did we lose it?\Can we really stop that thing?\Natsume-san! I've called in some help!\A-ha!\Why me?\Good job! response:	Wafu!
context: Was that it?!\Did we lose it?\Can we really stop that thing?\Natsume-san! I've called in some help!\A-ha!\Why me?\Good job!\Wafu! response:	Nishizono, how do you catch a ghost?
context: Did we lose it?\Can we really stop that thing?\Natsume-san! I've called in some help!\A-ha!\Why me?\Good job!\Wafu!\Nishizono, how do you catch a ghost? response:	Let sleeping dogs lie.
context: Can we really stop that thing?\Natsume-san! I've called in some help!\A-ha!\Why me?\Good job!\Wafu!\Nishizono, how do you catch a ghost?\Let sleeping dogs lie. response:	We've already invoked its wrath.
context: Natsume-san! I've called in some help!\A-ha!\Why me?\Good job!\Wafu!\Nishizono, how do you catch a ghost?\Let sleeping dogs lie.\We've already invoked its wrath. response:	Do they have any weaknesses?
context: A-ha!\Why me?\Good job!\Wafu!\Nishizono, how do you catch a ghost?\Let sleeping dogs lie.\We've already invoked its wrath.\Do they have any weaknesses? response:	Yes.
context: Why me?\Good job!\Wafu!\Nishizono, how do you catch a ghost?\Let sleeping dogs lie.\We've already invoked its wrath.\Do they have any weaknesses?\Yes. response:	Spirits and the like tend to be weak against powerful energy sources.
context: Good job!\Wafu!\Nishizono, how do you catch a ghost?\Let sleeping dogs lie.\We've already invoked its wrath.\Do they have any weaknesses?\Yes.\Spirits and the like tend to be weak against powerful energy sources. response:	It may try to avoid loud noises and briht lights.
context: Wafu!\Nishizono, how do you catch a ghost?\Let sleeping dogs lie.\We've already invoked its wrath.\Do they have any weaknesses?\Yes.\Spirits and the like tend to be weak against powerful energy sources.\It may try to avoid loud noises and briht lights. response:	This is getting crazy.
context: Nishizono, how do you catch a ghost?\Let sleeping dogs lie.\We've already invoked its wrath.\Do they have any weaknesses?\Yes.\Spirits and the like tend to be weak against powerful energy sources.\It may try to avoid loud noises and briht lights.\This is getting crazy. response:	I'm excited.
context: Let sleeping dogs lie.\We've already invoked its wrath.\Do they have any weaknesses?\Yes.\Spirits and the like tend to be weak against powerful energy sources.\It may try to avoid loud noises and briht lights.\This is getting crazy.\I'm excited. response:	What about you?
context: We've already invoked its wrath.\Do they have any weaknesses?\Yes.\Spirits and the like tend to be weak against powerful energy sources.\It may try to avoid loud noises and briht lights.\This is getting crazy.\I'm excited.\What about you? response:	Let's go!
context: Do they have any weaknesses?\Yes.\Spirits and the like tend to be weak against powerful energy sources.\It may try to avoid loud noises and briht lights.\This is getting crazy.\I'm excited.\What about you?\Let's go! response:	Third floor. No signs of it.
context: Yes.\Spirits and the like tend to be weak against powerful energy sources.\It may try to avoid loud noises and briht lights.\This is getting crazy.\I'm excited.\What about you?\Let's go!\Third floor. No signs of it. response:	Don't let down your guard.
context: Spirits and the like tend to be weak against powerful energy sources.\It may try to avoid loud noises and briht lights.\This is getting crazy.\I'm excited.\What about you?\Let's go!\Third floor. No signs of it.\Don't let down your guard. response:	The cats are scared.
context: It may try to avoid loud noises and briht lights.\This is getting crazy.\I'm excited.\What about you?\Let's go!\Third floor. No signs of it.\Don't let down your guard.\The cats are scared. response:	Be on your toes. It's close by.
context: This is getting crazy.\I'm excited.\What about you?\Let's go!\Third floor. No signs of it.\Don't let down your guard.\The cats are scared.\Be on your toes. It's close by. response:	I'll protect you, Nishizono-san!
context: I'm excited.\What about you?\Let's go!\Third floor. No signs of it.\Don't let down your guard.\The cats are scared.\Be on your toes. It's close by.\I'll protect you, Nishizono-san! response:	There!
context: What about you?\Let's go!\Third floor. No signs of it.\Don't let down your guard.\The cats are scared.\Be on your toes. It's close by.\I'll protect you, Nishizono-san!\There! response:	West stairs!
context: Let's go!\Third floor. No signs of it.\Don't let down your guard.\The cats are scared.\Be on your toes. It's close by.\I'll protect you, Nishizono-san!\There!\West stairs! response:	It's coming this way!
context: Third floor. No signs of it.\Don't let down your guard.\The cats are scared.\Be on your toes. It's close by.\I'll protect you, Nishizono-san!\There!\West stairs!\It's coming this way! response:	Demon begone!
context: Don't let down your guard.\The cats are scared.\Be on your toes. It's close by.\I'll protect you, Nishizono-san!\There!\West stairs!\It's coming this way!\Demon begone! response:	Demon begone!
context: The cats are scared.\Be on your toes. It's close by.\I'll protect you, Nishizono-san!\There!\West stairs!\It's coming this way!\Demon begone!\Demon begone! response:	Begone! Begone! Begone!
context: Be on your toes. It's close by.\I'll protect you, Nishizono-san!\There!\West stairs!\It's coming this way!\Demon begone!\Demon begone!\Begone! Begone! Begone! response:	Rin-kun, Komari-kun.
context: I'll protect you, Nishizono-san!\There!\West stairs!\It's coming this way!\Demon begone!\Demon begone!\Begone! Begone! Begone!\Rin-kun, Komari-kun. response:	Okay!
context: There!\West stairs!\It's coming this way!\Demon begone!\Demon begone!\Begone! Begone! Begone!\Rin-kun, Komari-kun.\Okay! response:	Here it comes, Rin-chan!
context: West stairs!\It's coming this way!\Demon begone!\Demon begone!\Begone! Begone! Begone!\Rin-kun, Komari-kun.\Okay!\Here it comes, Rin-chan! response:	Mister Ogre, over here!
context: It's coming this way!\Demon begone!\Demon begone!\Begone! Begone! Begone!\Rin-kun, Komari-kun.\Okay!\Here it comes, Rin-chan!\Mister Ogre, over here! response:	Komari-chan, don't call it!
context: Demon begone!\Demon begone!\Begone! Begone! Begone!\Rin-kun, Komari-kun.\Okay!\Here it comes, Rin-chan!\Mister Ogre, over here!\Komari-chan, don't call it! response:	Oh, right!
context: Demon begone!\Begone! Begone! Begone!\Rin-kun, Komari-kun.\Okay!\Here it comes, Rin-chan!\Mister Ogre, over here!\Komari-chan, don't call it!\Oh, right! response:	It's heading your way!
context: Begone! Begone! Begone!\Rin-kun, Komari-kun.\Okay!\Here it comes, Rin-chan!\Mister Ogre, over here!\Komari-chan, don't call it!\Oh, right!\It's heading your way! response:	Riki.
