context: I'm gonna go on ahead! response:	Wait a minute! You're forgetting something!
context: We should begin as well.\What should I be doing?\Basically, ask whether or not something strange has been going on lately.\Also, since the ability has been determined as thoughtography,\it might be good to ask about any rumors that involve photographs.\See ya!\Like I have time for this... they're nothing more than lunatics.\There was someone acting suspiciously. response:	I want you to take over his body with your ability, and look through his belongings.
context: What should I be doing?\Basically, ask whether or not something strange has been going on lately.\Also, since the ability has been determined as thoughtography,\it might be good to ask about any rumors that involve photographs.\See ya!\Like I have time for this... they're nothing more than lunatics.\There was someone acting suspiciously.\I want you to take over his body with your ability, and look through his belongings. response:	For what purpose?
context: Basically, ask whether or not something strange has been going on lately.\Also, since the ability has been determined as thoughtography,\it might be good to ask about any rumors that involve photographs.\See ya!\Like I have time for this... they're nothing more than lunatics.\There was someone acting suspiciously.\I want you to take over his body with your ability, and look through his belongings.\For what purpose? response:	To protect the one who has the special ability!
context: Also, since the ability has been determined as thoughtography,\it might be good to ask about any rumors that involve photographs.\See ya!\Like I have time for this... they're nothing more than lunatics.\There was someone acting suspiciously.\I want you to take over his body with your ability, and look through his belongings.\For what purpose?\To protect the one who has the special ability! response:	Dammit, don't make me spend so much time! I lost sight of him!
context: it might be good to ask about any rumors that involve photographs.\See ya!\Like I have time for this... they're nothing more than lunatics.\There was someone acting suspiciously.\I want you to take over his body with your ability, and look through his belongings.\For what purpose?\To protect the one who has the special ability!\Dammit, don't make me spend so much time! I lost sight of him! response:	Found him! That's the guy!
context: See ya!\Like I have time for this... they're nothing more than lunatics.\There was someone acting suspiciously.\I want you to take over his body with your ability, and look through his belongings.\For what purpose?\To protect the one who has the special ability!\Dammit, don't make me spend so much time! I lost sight of him!\Found him! That's the guy! response:	Hurry!
context: Like I have time for this... they're nothing more than lunatics.\There was someone acting suspiciously.\I want you to take over his body with your ability, and look through his belongings.\For what purpose?\To protect the one who has the special ability!\Dammit, don't make me spend so much time! I lost sight of him!\Found him! That's the guy!\Hurry! response:	Dammit, why do I have to do something like this...
context: There was someone acting suspiciously.\I want you to take over his body with your ability, and look through his belongings.\For what purpose?\To protect the one who has the special ability!\Dammit, don't make me spend so much time! I lost sight of him!\Found him! That's the guy!\Hurry!\Dammit, why do I have to do something like this... response:	H-Hold on...
context: I want you to take over his body with your ability, and look through his belongings.\For what purpose?\To protect the one who has the special ability!\Dammit, don't make me spend so much time! I lost sight of him!\Found him! That's the guy!\Hurry!\Dammit, why do I have to do something like this...\H-Hold on... response:	I wonder what this is!
context: For what purpose?\To protect the one who has the special ability!\Dammit, don't make me spend so much time! I lost sight of him!\Found him! That's the guy!\Hurry!\Dammit, why do I have to do something like this...\H-Hold on...\I wonder what this is! response:	Hey, what are you doing?
context: To protect the one who has the special ability!\Dammit, don't make me spend so much time! I lost sight of him!\Found him! That's the guy!\Hurry!\Dammit, why do I have to do something like this...\H-Hold on...\I wonder what this is!\Hey, what are you doing? response:	Photographs of a female student attending this school?
context: Dammit, don't make me spend so much time! I lost sight of him!\Found him! That's the guy!\Hurry!\Dammit, why do I have to do something like this...\H-Hold on...\I wonder what this is!\Hey, what are you doing?\Photographs of a female student attending this school? response:	She's rather pretty.
context: Found him! That's the guy!\Hurry!\Dammit, why do I have to do something like this...\H-Hold on...\I wonder what this is!\Hey, what are you doing?\Photographs of a female student attending this school?\She's rather pretty. response:	Next up... well... a girl in her lingerie.
context: Hurry!\Dammit, why do I have to do something like this...\H-Hold on...\I wonder what this is!\Hey, what are you doing?\Photographs of a female student attending this school?\She's rather pretty.\Next up... well... a girl in her lingerie. response:	So this is thoughtography? You sure use it for something stupid.
context: Dammit, why do I have to do something like this...\H-Hold on...\I wonder what this is!\Hey, what are you doing?\Photographs of a female student attending this school?\She's rather pretty.\Next up... well... a girl in her lingerie.\So this is thoughtography? You sure use it for something stupid. response:	Did you take these pictures?
context: H-Hold on...\I wonder what this is!\Hey, what are you doing?\Photographs of a female student attending this school?\She's rather pretty.\Next up... well... a girl in her lingerie.\So this is thoughtography? You sure use it for something stupid.\Did you take these pictures? response:	N-No, I bought them...
context: I wonder what this is!\Hey, what are you doing?\Photographs of a female student attending this school?\She's rather pretty.\Next up... well... a girl in her lingerie.\So this is thoughtography? You sure use it for something stupid.\Did you take these pictures?\N-No, I bought them... response:	Who did you buy them from?
context: Hey, what are you doing?\Photographs of a female student attending this school?\She's rather pretty.\Next up... well... a girl in her lingerie.\So this is thoughtography? You sure use it for something stupid.\Did you take these pictures?\N-No, I bought them...\Who did you buy them from? response:	I don't intend of leaking any of this to a third party. Please tell me just the truth.
context: Photographs of a female student attending this school?\She's rather pretty.\Next up... well... a girl in her lingerie.\So this is thoughtography? You sure use it for something stupid.\Did you take these pictures?\N-No, I bought them...\Who did you buy them from?\I don't intend of leaking any of this to a third party. Please tell me just the truth. response:	If you don't tell us, I'll tell the girl in this photograph that this was in your possession..
context: She's rather pretty.\Next up... well... a girl in her lingerie.\So this is thoughtography? You sure use it for something stupid.\Did you take these pictures?\N-No, I bought them...\Who did you buy them from?\I don't intend of leaking any of this to a third party. Please tell me just the truth.\If you don't tell us, I'll tell the girl in this photograph that this was in your possession.. response:	Udoh... in class 2-E.
context: Next up... well... a girl in her lingerie.\So this is thoughtography? You sure use it for something stupid.\Did you take these pictures?\N-No, I bought them...\Who did you buy them from?\I don't intend of leaking any of this to a third party. Please tell me just the truth.\If you don't tell us, I'll tell the girl in this photograph that this was in your possession..\Udoh... in class 2-E. response:	Thank you very much.
context: So this is thoughtography? You sure use it for something stupid.\Did you take these pictures?\N-No, I bought them...\Who did you buy them from?\I don't intend of leaking any of this to a third party. Please tell me just the truth.\If you don't tell us, I'll tell the girl in this photograph that this was in your possession..\Udoh... in class 2-E.\Thank you very much. response:	We're going in!
context: Did you take these pictures?\N-No, I bought them...\Who did you buy them from?\I don't intend of leaking any of this to a third party. Please tell me just the truth.\If you don't tell us, I'll tell the girl in this photograph that this was in your possession..\Udoh... in class 2-E.\Thank you very much.\We're going in! response:	We're out to capture Udoh from 2-E!
context: N-No, I bought them...\Who did you buy them from?\I don't intend of leaking any of this to a third party. Please tell me just the truth.\If you don't tell us, I'll tell the girl in this photograph that this was in your possession..\Udoh... in class 2-E.\Thank you very much.\We're going in!\We're out to capture Udoh from 2-E! response:	Okay!
context: Who did you buy them from?\I don't intend of leaking any of this to a third party. Please tell me just the truth.\If you don't tell us, I'll tell the girl in this photograph that this was in your possession..\Udoh... in class 2-E.\Thank you very much.\We're going in!\We're out to capture Udoh from 2-E!\Okay! response:	Has Udoh gone home yet?
context: I don't intend of leaking any of this to a third party. Please tell me just the truth.\If you don't tell us, I'll tell the girl in this photograph that this was in your possession..\Udoh... in class 2-E.\Thank you very much.\We're going in!\We're out to capture Udoh from 2-E!\Okay!\Has Udoh gone home yet? response:	Udoh is...
context: If you don't tell us, I'll tell the girl in this photograph that this was in your possession..\Udoh... in class 2-E.\Thank you very much.\We're going in!\We're out to capture Udoh from 2-E!\Okay!\Has Udoh gone home yet?\Udoh is... response:	Captain, I'm going to excuse myself before you.
context: Udoh... in class 2-E.\Thank you very much.\We're going in!\We're out to capture Udoh from 2-E!\Okay!\Has Udoh gone home yet?\Udoh is...\Captain, I'm going to excuse myself before you. response:	Yeah, good work.
context: Thank you very much.\We're going in!\We're out to capture Udoh from 2-E!\Okay!\Has Udoh gone home yet?\Udoh is...\Captain, I'm going to excuse myself before you.\Yeah, good work. response:	Well, if this isn't a surprise.
context: We're going in!\We're out to capture Udoh from 2-E!\Okay!\Has Udoh gone home yet?\Udoh is...\Captain, I'm going to excuse myself before you.\Yeah, good work.\Well, if this isn't a surprise. response:	Who are you? Where did you come from?
context: We're out to capture Udoh from 2-E!\Okay!\Has Udoh gone home yet?\Udoh is...\Captain, I'm going to excuse myself before you.\Yeah, good work.\Well, if this isn't a surprise.\Who are you? Where did you come from? response:	Who'd have though that the culprit that takes lewd photographs
context: Okay!\Has Udoh gone home yet?\Udoh is...\Captain, I'm going to excuse myself before you.\Yeah, good work.\Well, if this isn't a surprise.\Who are you? Where did you come from?\Who'd have though that the culprit that takes lewd photographs response:	like this with his thoughtography ability, and selling them off...
context: Has Udoh gone home yet?\Udoh is...\Captain, I'm going to excuse myself before you.\Yeah, good work.\Well, if this isn't a surprise.\Who are you? Where did you come from?\Who'd have though that the culprit that takes lewd photographs\like this with his thoughtography ability, and selling them off... response:	Photograph? Thoughtography? I don't know what you're talking about.
context: Udoh is...\Captain, I'm going to excuse myself before you.\Yeah, good work.\Well, if this isn't a surprise.\Who are you? Where did you come from?\Who'd have though that the culprit that takes lewd photographs\like this with his thoughtography ability, and selling them off...\Photograph? Thoughtography? I don't know what you're talking about. response:	One of your customers spilled the beans.
context: Captain, I'm going to excuse myself before you.\Yeah, good work.\Well, if this isn't a surprise.\Who are you? Where did you come from?\Who'd have though that the culprit that takes lewd photographs\like this with his thoughtography ability, and selling them off...\Photograph? Thoughtography? I don't know what you're talking about.\One of your customers spilled the beans. response:	Oh, and we did look through your locker, too.
context: Yeah, good work.\Well, if this isn't a surprise.\Who are you? Where did you come from?\Who'd have though that the culprit that takes lewd photographs\like this with his thoughtography ability, and selling them off...\Photograph? Thoughtography? I don't know what you're talking about.\One of your customers spilled the beans.\Oh, and we did look through your locker, too. response:	A ton of photos came out,
context: Well, if this isn't a surprise.\Who are you? Where did you come from?\Who'd have though that the culprit that takes lewd photographs\like this with his thoughtography ability, and selling them off...\Photograph? Thoughtography? I don't know what you're talking about.\One of your customers spilled the beans.\Oh, and we did look through your locker, too.\A ton of photos came out, response:	so I recorded them all on this video camera as evidence.
context: Who are you? Where did you come from?\Who'd have though that the culprit that takes lewd photographs\like this with his thoughtography ability, and selling them off...\Photograph? Thoughtography? I don't know what you're talking about.\One of your customers spilled the beans.\Oh, and we did look through your locker, too.\A ton of photos came out,\so I recorded them all on this video camera as evidence. response:	I can easily open something like a locker inside a clubhouse.
context: Who'd have though that the culprit that takes lewd photographs\like this with his thoughtography ability, and selling them off...\Photograph? Thoughtography? I don't know what you're talking about.\One of your customers spilled the beans.\Oh, and we did look through your locker, too.\A ton of photos came out,\so I recorded them all on this video camera as evidence.\I can easily open something like a locker inside a clubhouse. response:	Why did you do such a thing?
context: like this with his thoughtography ability, and selling them off...\Photograph? Thoughtography? I don't know what you're talking about.\One of your customers spilled the beans.\Oh, and we did look through your locker, too.\A ton of photos came out,\so I recorded them all on this video camera as evidence.\I can easily open something like a locker inside a clubhouse.\Why did you do such a thing? response:	Of course it's because I can make money with it...
context: Photograph? Thoughtography? I don't know what you're talking about.\One of your customers spilled the beans.\Oh, and we did look through your locker, too.\A ton of photos came out,\so I recorded them all on this video camera as evidence.\I can easily open something like a locker inside a clubhouse.\Why did you do such a thing?\Of course it's because I can make money with it... response:	Is it something involving your family's finances?
context: One of your customers spilled the beans.\Oh, and we did look through your locker, too.\A ton of photos came out,\so I recorded them all on this video camera as evidence.\I can easily open something like a locker inside a clubhouse.\Why did you do such a thing?\Of course it's because I can make money with it...\Is it something involving your family's finances? response:	Your parents wouldn't be happy receiving money made in such a way.
context: Oh, and we did look through your locker, too.\A ton of photos came out,\so I recorded them all on this video camera as evidence.\I can easily open something like a locker inside a clubhouse.\Why did you do such a thing?\Of course it's because I can make money with it...\Is it something involving your family's finances?\Your parents wouldn't be happy receiving money made in such a way. response:	They're sick! There's nothing else I can do!
context: A ton of photos came out,\so I recorded them all on this video camera as evidence.\I can easily open something like a locker inside a clubhouse.\Why did you do such a thing?\Of course it's because I can make money with it...\Is it something involving your family's finances?\Your parents wouldn't be happy receiving money made in such a way.\They're sick! There's nothing else I can do! response:	I projected you in your lingerie here. The image includes your face.
context: so I recorded them all on this video camera as evidence.\I can easily open something like a locker inside a clubhouse.\Why did you do such a thing?\Of course it's because I can make money with it...\Is it something involving your family's finances?\Your parents wouldn't be happy receiving money made in such a way.\They're sick! There's nothing else I can do!\I projected you in your lingerie here. The image includes your face. response:	If you don't want this photo distributed everywhere,
context: I can easily open something like a locker inside a clubhouse.\Why did you do such a thing?\Of course it's because I can make money with it...\Is it something involving your family's finances?\Your parents wouldn't be happy receiving money made in such a way.\They're sick! There's nothing else I can do!\I projected you in your lingerie here. The image includes your face.\If you don't want this photo distributed everywhere, response:	pretend like none of this ever happened!
context: Why did you do such a thing?\Of course it's because I can make money with it...\Is it something involving your family's finances?\Your parents wouldn't be happy receiving money made in such a way.\They're sick! There's nothing else I can do!\I projected you in your lingerie here. The image includes your face.\If you don't want this photo distributed everywhere,\pretend like none of this ever happened! response:	That's all you have to do for a thoughtography? That sure is something!
context: Of course it's because I can make money with it...\Is it something involving your family's finances?\Your parents wouldn't be happy receiving money made in such a way.\They're sick! There's nothing else I can do!\I projected you in your lingerie here. The image includes your face.\If you don't want this photo distributed everywhere,\pretend like none of this ever happened!\That's all you have to do for a thoughtography? That sure is something! response:	But, nobody would ever need something like that.
context: Is it something involving your family's finances?\Your parents wouldn't be happy receiving money made in such a way.\They're sick! There's nothing else I can do!\I projected you in your lingerie here. The image includes your face.\If you don't want this photo distributed everywhere,\pretend like none of this ever happened!\That's all you have to do for a thoughtography? That sure is something!\But, nobody would ever need something like that. response:	No matter who looks at you, you're an attractive one.
context: Your parents wouldn't be happy receiving money made in such a way.\They're sick! There's nothing else I can do!\I projected you in your lingerie here. The image includes your face.\If you don't want this photo distributed everywhere,\pretend like none of this ever happened!\That's all you have to do for a thoughtography? That sure is something!\But, nobody would ever need something like that.\No matter who looks at you, you're an attractive one. response:	Seriously?
context: They're sick! There's nothing else I can do!\I projected you in your lingerie here. The image includes your face.\If you don't want this photo distributed everywhere,\pretend like none of this ever happened!\That's all you have to do for a thoughtography? That sure is something!\But, nobody would ever need something like that.\No matter who looks at you, you're an attractive one.\Seriously? response:	I got a compliment! All right!
context: I projected you in your lingerie here. The image includes your face.\If you don't want this photo distributed everywhere,\pretend like none of this ever happened!\That's all you have to do for a thoughtography? That sure is something!\But, nobody would ever need something like that.\No matter who looks at you, you're an attractive one.\Seriously?\I got a compliment! All right! response:	Yeah, so hurry up and get lost.
context: If you don't want this photo distributed everywhere,\pretend like none of this ever happened!\That's all you have to do for a thoughtography? That sure is something!\But, nobody would ever need something like that.\No matter who looks at you, you're an attractive one.\Seriously?\I got a compliment! All right!\Yeah, so hurry up and get lost. response:	Nice!
context: pretend like none of this ever happened!\That's all you have to do for a thoughtography? That sure is something!\But, nobody would ever need something like that.\No matter who looks at you, you're an attractive one.\Seriously?\I got a compliment! All right!\Yeah, so hurry up and get lost.\Nice! response:	The photo is... gone?
context: That's all you have to do for a thoughtography? That sure is something!\But, nobody would ever need something like that.\No matter who looks at you, you're an attractive one.\Seriously?\I got a compliment! All right!\Yeah, so hurry up and get lost.\Nice!\The photo is... gone? response:	It's right here.
context: But, nobody would ever need something like that.\No matter who looks at you, you're an attractive one.\Seriously?\I got a compliment! All right!\Yeah, so hurry up and get lost.\Nice!\The photo is... gone?\It's right here. response:	How did you
context: No matter who looks at you, you're an attractive one.\Seriously?\I got a compliment! All right!\Yeah, so hurry up and get lost.\Nice!\The photo is... gone?\It's right here.\How did you response:	Sheesh.
context: Seriously?\I got a compliment! All right!\Yeah, so hurry up and get lost.\Nice!\The photo is... gone?\It's right here.\How did you\Sheesh. response:	Checkmate. Just give up.
context: I got a compliment! All right!\Yeah, so hurry up and get lost.\Nice!\The photo is... gone?\It's right here.\How did you\Sheesh.\Checkmate. Just give up. response:	Pretend like none of this ever happened!
context: Yeah, so hurry up and get lost.\Nice!\The photo is... gone?\It's right here.\How did you\Sheesh.\Checkmate. Just give up.\Pretend like none of this ever happened! response:	You're the worst kind of person to point an arrow at someone else.
context: Nice!\The photo is... gone?\It's right here.\How did you\Sheesh.\Checkmate. Just give up.\Pretend like none of this ever happened!\You're the worst kind of person to point an arrow at someone else. response:	So how much martial arts spirit you possess...
context: The photo is... gone?\It's right here.\How did you\Sheesh.\Checkmate. Just give up.\Pretend like none of this ever happened!\You're the worst kind of person to point an arrow at someone else.\So how much martial arts spirit you possess... response:	We really don't plan on tossing you over to the police or anything.
context: It's right here.\How did you\Sheesh.\Checkmate. Just give up.\Pretend like none of this ever happened!\You're the worst kind of person to point an arrow at someone else.\So how much martial arts spirit you possess...\We really don't plan on tossing you over to the police or anything. response:	However, if you keep using those powers, your life will be completely ruined.
context: How did you\Sheesh.\Checkmate. Just give up.\Pretend like none of this ever happened!\You're the worst kind of person to point an arrow at someone else.\So how much martial arts spirit you possess...\We really don't plan on tossing you over to the police or anything.\However, if you keep using those powers, your life will be completely ruined. response:	Do you want to be an experimental sample to be dissected by scientists or something?
context: Sheesh.\Checkmate. Just give up.\Pretend like none of this ever happened!\You're the worst kind of person to point an arrow at someone else.\So how much martial arts spirit you possess...\We really don't plan on tossing you over to the police or anything.\However, if you keep using those powers, your life will be completely ruined.\Do you want to be an experimental sample to be dissected by scientists or something? response:	Dissected!?
context: Checkmate. Just give up.\Pretend like none of this ever happened!\You're the worst kind of person to point an arrow at someone else.\So how much martial arts spirit you possess...\We really don't plan on tossing you over to the police or anything.\However, if you keep using those powers, your life will be completely ruined.\Do you want to be an experimental sample to be dissected by scientists or something?\Dissected!? response:	So this is a warning. Those powers will be gone once your adolescence has passed by.
context: Pretend like none of this ever happened!\You're the worst kind of person to point an arrow at someone else.\So how much martial arts spirit you possess...\We really don't plan on tossing you over to the police or anything.\However, if you keep using those powers, your life will be completely ruined.\Do you want to be an experimental sample to be dissected by scientists or something?\Dissected!?\So this is a warning. Those powers will be gone once your adolescence has passed by. response:	As for money, please earn some by working legitimate part-time jobs.
context: You're the worst kind of person to point an arrow at someone else.\So how much martial arts spirit you possess...\We really don't plan on tossing you over to the police or anything.\However, if you keep using those powers, your life will be completely ruined.\Do you want to be an experimental sample to be dissected by scientists or something?\Dissected!?\So this is a warning. Those powers will be gone once your adolescence has passed by.\As for money, please earn some by working legitimate part-time jobs. response:	We took care of that successfully.
context: So how much martial arts spirit you possess...\We really don't plan on tossing you over to the police or anything.\However, if you keep using those powers, your life will be completely ruined.\Do you want to be an experimental sample to be dissected by scientists or something?\Dissected!?\So this is a warning. Those powers will be gone once your adolescence has passed by.\As for money, please earn some by working legitimate part-time jobs.\We took care of that successfully. response:	Yes.
context: We really don't plan on tossing you over to the police or anything.\However, if you keep using those powers, your life will be completely ruined.\Do you want to be an experimental sample to be dissected by scientists or something?\Dissected!?\So this is a warning. Those powers will be gone once your adolescence has passed by.\As for money, please earn some by working legitimate part-time jobs.\We took care of that successfully.\Yes. response:	Hey, do you guys always do things like this?
context: However, if you keep using those powers, your life will be completely ruined.\Do you want to be an experimental sample to be dissected by scientists or something?\Dissected!?\So this is a warning. Those powers will be gone once your adolescence has passed by.\As for money, please earn some by working legitimate part-time jobs.\We took care of that successfully.\Yes.\Hey, do you guys always do things like this? response:	Yes, so that no one with special abilities end up facing what my big brother has faced.
context: Do you want to be an experimental sample to be dissected by scientists or something?\Dissected!?\So this is a warning. Those powers will be gone once your adolescence has passed by.\As for money, please earn some by working legitimate part-time jobs.\We took care of that successfully.\Yes.\Hey, do you guys always do things like this?\Yes, so that no one with special abilities end up facing what my big brother has faced. response:	Well... so, what actually happened to your big brother after he got caught by the scientist?
context: Dissected!?\So this is a warning. Those powers will be gone once your adolescence has passed by.\As for money, please earn some by working legitimate part-time jobs.\We took care of that successfully.\Yes.\Hey, do you guys always do things like this?\Yes, so that no one with special abilities end up facing what my big brother has faced.\Well... so, what actually happened to your big brother after he got caught by the scientist? response:	It's nothing worth hiding in the end. Would you like to visit tomorrow?
context: So this is a warning. Those powers will be gone once your adolescence has passed by.\As for money, please earn some by working legitimate part-time jobs.\We took care of that successfully.\Yes.\Hey, do you guys always do things like this?\Yes, so that no one with special abilities end up facing what my big brother has faced.\Well... so, what actually happened to your big brother after he got caught by the scientist?\It's nothing worth hiding in the end. Would you like to visit tomorrow? response:	Where?
context: As for money, please earn some by working legitimate part-time jobs.\We took care of that successfully.\Yes.\Hey, do you guys always do things like this?\Yes, so that no one with special abilities end up facing what my big brother has faced.\Well... so, what actually happened to your big brother after he got caught by the scientist?\It's nothing worth hiding in the end. Would you like to visit tomorrow?\Where? response:	To where my big brother is.
context: We took care of that successfully.\Yes.\Hey, do you guys always do things like this?\Yes, so that no one with special abilities end up facing what my big brother has faced.\Well... so, what actually happened to your big brother after he got caught by the scientist?\It's nothing worth hiding in the end. Would you like to visit tomorrow?\Where?\To where my big brother is. response:	Then, let's go.
context: Yes.\Hey, do you guys always do things like this?\Yes, so that no one with special abilities end up facing what my big brother has faced.\Well... so, what actually happened to your big brother after he got caught by the scientist?\It's nothing worth hiding in the end. Would you like to visit tomorrow?\Where?\To where my big brother is.\Then, let's go. response:	Yeah. What about you?
context: Hey, do you guys always do things like this?\Yes, so that no one with special abilities end up facing what my big brother has faced.\Well... so, what actually happened to your big brother after he got caught by the scientist?\It's nothing worth hiding in the end. Would you like to visit tomorrow?\Where?\To where my big brother is.\Then, let's go.\Yeah. What about you? response:	I'll have to pass. Take care.
context: Yes, so that no one with special abilities end up facing what my big brother has faced.\Well... so, what actually happened to your big brother after he got caught by the scientist?\It's nothing worth hiding in the end. Would you like to visit tomorrow?\Where?\To where my big brother is.\Then, let's go.\Yeah. What about you?\I'll have to pass. Take care. response:	You haven't eaten lunch yet, right?
context: Well... so, what actually happened to your big brother after he got caught by the scientist?\It's nothing worth hiding in the end. Would you like to visit tomorrow?\Where?\To where my big brother is.\Then, let's go.\Yeah. What about you?\I'll have to pass. Take care.\You haven't eaten lunch yet, right? response:	Right.
context: It's nothing worth hiding in the end. Would you like to visit tomorrow?\Where?\To where my big brother is.\Then, let's go.\Yeah. What about you?\I'll have to pass. Take care.\You haven't eaten lunch yet, right?\Right. response:	Then, let's buy station-specific lunches at the kiosk!
context: Where?\To where my big brother is.\Then, let's go.\Yeah. What about you?\I'll have to pass. Take care.\You haven't eaten lunch yet, right?\Right.\Then, let's buy station-specific lunches at the kiosk! response:	Beef Tongue Lunch Box
context: To where my big brother is.\Then, let's go.\Yeah. What about you?\I'll have to pass. Take care.\You haven't eaten lunch yet, right?\Right.\Then, let's buy station-specific lunches at the kiosk!\Beef Tongue Lunch Box response:	This one! This one!
context: Then, let's go.\Yeah. What about you?\I'll have to pass. Take care.\You haven't eaten lunch yet, right?\Right.\Then, let's buy station-specific lunches at the kiosk!\Beef Tongue Lunch Box\This one! This one! response:	The beef tongue bento box lunch that warms up when you pull a string!
context: Yeah. What about you?\I'll have to pass. Take care.\You haven't eaten lunch yet, right?\Right.\Then, let's buy station-specific lunches at the kiosk!\Beef Tongue Lunch Box\This one! This one!\The beef tongue bento box lunch that warms up when you pull a string! response:	Isn't this just amazing?
context: I'll have to pass. Take care.\You haven't eaten lunch yet, right?\Right.\Then, let's buy station-specific lunches at the kiosk!\Beef Tongue Lunch Box\This one! This one!\The beef tongue bento box lunch that warms up when you pull a string!\Isn't this just amazing? response:	Yeah, I know about that.
context: You haven't eaten lunch yet, right?\Right.\Then, let's buy station-specific lunches at the kiosk!\Beef Tongue Lunch Box\This one! This one!\The beef tongue bento box lunch that warms up when you pull a string!\Isn't this just amazing?\Yeah, I know about that. response:	I didn't think it would be an express train...
context: Right.\Then, let's buy station-specific lunches at the kiosk!\Beef Tongue Lunch Box\This one! This one!\The beef tongue bento box lunch that warms up when you pull a string!\Isn't this just amazing?\Yeah, I know about that.\I didn't think it would be an express train... response:	How can she eat in a situation like this...
context: Then, let's buy station-specific lunches at the kiosk!\Beef Tongue Lunch Box\This one! This one!\The beef tongue bento box lunch that warms up when you pull a string!\Isn't this just amazing?\Yeah, I know about that.\I didn't think it would be an express train...\How can she eat in a situation like this... response:	It's totally ill-mannered to do so.
context: Beef Tongue Lunch Box\This one! This one!\The beef tongue bento box lunch that warms up when you pull a string!\Isn't this just amazing?\Yeah, I know about that.\I didn't think it would be an express train...\How can she eat in a situation like this...\It's totally ill-mannered to do so. response:	What? You're not going to eat your sandwich?
context: This one! This one!\The beef tongue bento box lunch that warms up when you pull a string!\Isn't this just amazing?\Yeah, I know about that.\I didn't think it would be an express train...\How can she eat in a situation like this...\It's totally ill-mannered to do so.\What? You're not going to eat your sandwich? response:	My big brother was the first to have a special ability.
context: The beef tongue bento box lunch that warms up when you pull a string!\Isn't this just amazing?\Yeah, I know about that.\I didn't think it would be an express train...\How can she eat in a situation like this...\It's totally ill-mannered to do so.\What? You're not going to eat your sandwich?\My big brother was the first to have a special ability. response:	It was back when I passed the middle school entrance exams
context: Isn't this just amazing?\Yeah, I know about that.\I didn't think it would be an express train...\How can she eat in a situation like this...\It's totally ill-mannered to do so.\What? You're not going to eat your sandwich?\My big brother was the first to have a special ability.\It was back when I passed the middle school entrance exams response:	for a magnet school of a national university.
context: Yeah, I know about that.\I didn't think it would be an express train...\How can she eat in a situation like this...\It's totally ill-mannered to do so.\What? You're not going to eat your sandwich?\My big brother was the first to have a special ability.\It was back when I passed the middle school entrance exams\for a magnet school of a national university. response:	I did it! Mom, I did it! I got accepted!
context: I didn't think it would be an express train...\How can she eat in a situation like this...\It's totally ill-mannered to do so.\What? You're not going to eat your sandwich?\My big brother was the first to have a special ability.\It was back when I passed the middle school entrance exams\for a magnet school of a national university.\I did it! Mom, I did it! I got accepted! response:	You really did do your best, Nao! That truly means you'll end up an expert doctor!
context: How can she eat in a situation like this...\It's totally ill-mannered to do so.\What? You're not going to eat your sandwich?\My big brother was the first to have a special ability.\It was back when I passed the middle school entrance exams\for a magnet school of a national university.\I did it! Mom, I did it! I got accepted!\You really did do your best, Nao! That truly means you'll end up an expert doctor! response:	Yup!
context: It's totally ill-mannered to do so.\What? You're not going to eat your sandwich?\My big brother was the first to have a special ability.\It was back when I passed the middle school entrance exams\for a magnet school of a national university.\I did it! Mom, I did it! I got accepted!\You really did do your best, Nao! That truly means you'll end up an expert doctor!\Yup! response:	Big Brother, look at this! I got accepted!
context: What? You're not going to eat your sandwich?\My big brother was the first to have a special ability.\It was back when I passed the middle school entrance exams\for a magnet school of a national university.\I did it! Mom, I did it! I got accepted!\You really did do your best, Nao! That truly means you'll end up an expert doctor!\Yup!\Big Brother, look at this! I got accepted! response:	Seriously? You're so amazing, unlike me!
context: My big brother was the first to have a special ability.\It was back when I passed the middle school entrance exams\for a magnet school of a national university.\I did it! Mom, I did it! I got accepted!\You really did do your best, Nao! That truly means you'll end up an expert doctor!\Yup!\Big Brother, look at this! I got accepted!\Seriously? You're so amazing, unlike me! response:	No, no, you're more amazing than me, Big Brother.
context: It was back when I passed the middle school entrance exams\for a magnet school of a national university.\I did it! Mom, I did it! I got accepted!\You really did do your best, Nao! That truly means you'll end up an expert doctor!\Yup!\Big Brother, look at this! I got accepted!\Seriously? You're so amazing, unlike me!\No, no, you're more amazing than me, Big Brother. response:	I heard that the record companies are taking note of your band!
context: for a magnet school of a national university.\I did it! Mom, I did it! I got accepted!\You really did do your best, Nao! That truly means you'll end up an expert doctor!\Yup!\Big Brother, look at this! I got accepted!\Seriously? You're so amazing, unlike me!\No, no, you're more amazing than me, Big Brother.\I heard that the record companies are taking note of your band! response:	Since we're poor,
context: I did it! Mom, I did it! I got accepted!\You really did do your best, Nao! That truly means you'll end up an expert doctor!\Yup!\Big Brother, look at this! I got accepted!\Seriously? You're so amazing, unlike me!\No, no, you're more amazing than me, Big Brother.\I heard that the record companies are taking note of your band!\Since we're poor, response:	I want to hurry up and debut from a major record label and live on my own.
context: You really did do your best, Nao! That truly means you'll end up an expert doctor!\Yup!\Big Brother, look at this! I got accepted!\Seriously? You're so amazing, unlike me!\No, no, you're more amazing than me, Big Brother.\I heard that the record companies are taking note of your band!\Since we're poor,\I want to hurry up and debut from a major record label and live on my own. response:	Hey, did you listen to the CD I lent you before?
