context: The long age of drifting ended, response:	and humanity found a home in the wide reaches of the galaxy.
context: Quantum Dimensional Fissure Inducers are functional.\Enemy fortress cannon has been completely destroyed.\Excellent!\Superstring construction proceeding at theoretical limits.\Hexelena Fleet, prepare to fire the Dimenstrium!\Machine Caliber Squads, launch!\The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.\It's an impregnable fortress, response:	protected both by the defense platform Blossom Sail and the star's radiation pressure.
context: Enemy fortress cannon has been completely destroyed.\Excellent!\Superstring construction proceeding at theoretical limits.\Hexelena Fleet, prepare to fire the Dimenstrium!\Machine Caliber Squads, launch!\The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.\It's an impregnable fortress,\protected both by the defense platform Blossom Sail and the star's radiation pressure. response:	The star's powerful radiation prohibits approach from the side facing the sun.
context: Excellent!\Superstring construction proceeding at theoretical limits.\Hexelena Fleet, prepare to fire the Dimenstrium!\Machine Caliber Squads, launch!\The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.\It's an impregnable fortress,\protected both by the defense platform Blossom Sail and the star's radiation pressure.\The star's powerful radiation prohibits approach from the side facing the sun. response:	We must attack the nest from the planet's shadow.
context: Superstring construction proceeding at theoretical limits.\Hexelena Fleet, prepare to fire the Dimenstrium!\Machine Caliber Squads, launch!\The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.\It's an impregnable fortress,\protected both by the defense platform Blossom Sail and the star's radiation pressure.\The star's powerful radiation prohibits approach from the side facing the sun.\We must attack the nest from the planet's shadow. response:	Fire the Dimenstrium!
context: Hexelena Fleet, prepare to fire the Dimenstrium!\Machine Caliber Squads, launch!\The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.\It's an impregnable fortress,\protected both by the defense platform Blossom Sail and the star's radiation pressure.\The star's powerful radiation prohibits approach from the side facing the sun.\We must attack the nest from the planet's shadow.\Fire the Dimenstrium! response:	Fire!
context: Machine Caliber Squads, launch!\The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.\It's an impregnable fortress,\protected both by the defense platform Blossom Sail and the star's radiation pressure.\The star's powerful radiation prohibits approach from the side facing the sun.\We must attack the nest from the planet's shadow.\Fire the Dimenstrium!\Fire! response:	We will use our new weapon, the Dimenstrium,
context: The Hideauze nest is on a direct line to the other side of the Hot Jupiter Type planet.\It's an impregnable fortress,\protected both by the defense platform Blossom Sail and the star's radiation pressure.\The star's powerful radiation prohibits approach from the side facing the sun.\We must attack the nest from the planet's shadow.\Fire the Dimenstrium!\Fire!\We will use our new weapon, the Dimenstrium, response:	to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.
context: It's an impregnable fortress,\protected both by the defense platform Blossom Sail and the star's radiation pressure.\The star's powerful radiation prohibits approach from the side facing the sun.\We must attack the nest from the planet's shadow.\Fire the Dimenstrium!\Fire!\We will use our new weapon, the Dimenstrium,\to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow. response:	With the nest fully exposed we can attack it.
context: protected both by the defense platform Blossom Sail and the star's radiation pressure.\The star's powerful radiation prohibits approach from the side facing the sun.\We must attack the nest from the planet's shadow.\Fire the Dimenstrium!\Fire!\We will use our new weapon, the Dimenstrium,\to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.\With the nest fully exposed we can attack it. response:	Our Machine Caliber squads will escort a group
context: The star's powerful radiation prohibits approach from the side facing the sun.\We must attack the nest from the planet's shadow.\Fire the Dimenstrium!\Fire!\We will use our new weapon, the Dimenstrium,\to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.\With the nest fully exposed we can attack it.\Our Machine Caliber squads will escort a group response:	planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,
context: We must attack the nest from the planet's shadow.\Fire the Dimenstrium!\Fire!\We will use our new weapon, the Dimenstrium,\to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.\With the nest fully exposed we can attack it.\Our Machine Caliber squads will escort a group\planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base, response:	and eliminate anything that gets in the way!
context: Fire the Dimenstrium!\Fire!\We will use our new weapon, the Dimenstrium,\to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.\With the nest fully exposed we can attack it.\Our Machine Caliber squads will escort a group\planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,\and eliminate anything that gets in the way! response:	Firing line one, fire!
context: Fire!\We will use our new weapon, the Dimenstrium,\to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.\With the nest fully exposed we can attack it.\Our Machine Caliber squads will escort a group\planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,\and eliminate anything that gets in the way!\Firing line one, fire! response:	Phalanx Squad, focus fire on the enemy front!
context: We will use our new weapon, the Dimenstrium,\to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.\With the nest fully exposed we can attack it.\Our Machine Caliber squads will escort a group\planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,\and eliminate anything that gets in the way!\Firing line one, fire!\Phalanx Squad, focus fire on the enemy front! response:	Multiple Attack Carrier-class enemies have launched from the enemy nest.
context: to destroy the fortress Blossom Sail and its cannon that protects the planet's shadow.\With the nest fully exposed we can attack it.\Our Machine Caliber squads will escort a group\planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,\and eliminate anything that gets in the way!\Firing line one, fire!\Phalanx Squad, focus fire on the enemy front!\Multiple Attack Carrier-class enemies have launched from the enemy nest. response:	More coming.
context: With the nest fully exposed we can attack it.\Our Machine Caliber squads will escort a group\planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,\and eliminate anything that gets in the way!\Firing line one, fire!\Phalanx Squad, focus fire on the enemy front!\Multiple Attack Carrier-class enemies have launched from the enemy nest.\More coming. response:	When was the last time I felt scared?
context: Our Machine Caliber squads will escort a group\planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,\and eliminate anything that gets in the way!\Firing line one, fire!\Phalanx Squad, focus fire on the enemy front!\Multiple Attack Carrier-class enemies have launched from the enemy nest.\More coming.\When was the last time I felt scared? response:	By throwing away everything I didn't need, I've fully become a soldier.
context: planting a Quantum Dimensional Nuclear Bomb, Closer Pass on the base,\and eliminate anything that gets in the way!\Firing line one, fire!\Phalanx Squad, focus fire on the enemy front!\Multiple Attack Carrier-class enemies have launched from the enemy nest.\More coming.\When was the last time I felt scared?\By throwing away everything I didn't need, I've fully become a soldier. response:	Like the victory I am to achieve, everything is perfectly clear.
context: and eliminate anything that gets in the way!\Firing line one, fire!\Phalanx Squad, focus fire on the enemy front!\Multiple Attack Carrier-class enemies have launched from the enemy nest.\More coming.\When was the last time I felt scared?\By throwing away everything I didn't need, I've fully become a soldier.\Like the victory I am to achieve, everything is perfectly clear. response:	My conviction never wavers.
context: Firing line one, fire!\Phalanx Squad, focus fire on the enemy front!\Multiple Attack Carrier-class enemies have launched from the enemy nest.\More coming.\When was the last time I felt scared?\By throwing away everything I didn't need, I've fully become a soldier.\Like the victory I am to achieve, everything is perfectly clear.\My conviction never wavers. response:	What I seek. What is sought from me.
context: Phalanx Squad, focus fire on the enemy front!\Multiple Attack Carrier-class enemies have launched from the enemy nest.\More coming.\When was the last time I felt scared?\By throwing away everything I didn't need, I've fully become a soldier.\Like the victory I am to achieve, everything is perfectly clear.\My conviction never wavers.\What I seek. What is sought from me. response:	Everything is right here.
context: Multiple Attack Carrier-class enemies have launched from the enemy nest.\More coming.\When was the last time I felt scared?\By throwing away everything I didn't need, I've fully become a soldier.\Like the victory I am to achieve, everything is perfectly clear.\My conviction never wavers.\What I seek. What is sought from me.\Everything is right here. response:	Closer Pass deployment squad advancing.
context: More coming.\When was the last time I felt scared?\By throwing away everything I didn't need, I've fully become a soldier.\Like the victory I am to achieve, everything is perfectly clear.\My conviction never wavers.\What I seek. What is sought from me.\Everything is right here.\Closer Pass deployment squad advancing. response:	Plant it on the Hideauze nest!
context: When was the last time I felt scared?\By throwing away everything I didn't need, I've fully become a soldier.\Like the victory I am to achieve, everything is perfectly clear.\My conviction never wavers.\What I seek. What is sought from me.\Everything is right here.\Closer Pass deployment squad advancing.\Plant it on the Hideauze nest! response:	Multicore Cannon Squads, connect to attack position.
context: By throwing away everything I didn't need, I've fully become a soldier.\Like the victory I am to achieve, everything is perfectly clear.\My conviction never wavers.\What I seek. What is sought from me.\Everything is right here.\Closer Pass deployment squad advancing.\Plant it on the Hideauze nest!\Multicore Cannon Squads, connect to attack position. response:	The Blossom Sail is regenerating too quickly!
context: Like the victory I am to achieve, everything is perfectly clear.\My conviction never wavers.\What I seek. What is sought from me.\Everything is right here.\Closer Pass deployment squad advancing.\Plant it on the Hideauze nest!\Multicore Cannon Squads, connect to attack position.\The Blossom Sail is regenerating too quickly! response:	Is the Dimenstrium ready to fire its second shot yet?
context: My conviction never wavers.\What I seek. What is sought from me.\Everything is right here.\Closer Pass deployment squad advancing.\Plant it on the Hideauze nest!\Multicore Cannon Squads, connect to attack position.\The Blossom Sail is regenerating too quickly!\Is the Dimenstrium ready to fire its second shot yet? response:	120 seconds until criticality!
context: What I seek. What is sought from me.\Everything is right here.\Closer Pass deployment squad advancing.\Plant it on the Hideauze nest!\Multicore Cannon Squads, connect to attack position.\The Blossom Sail is regenerating too quickly!\Is the Dimenstrium ready to fire its second shot yet?\120 seconds until criticality! response:	We won't make it!
context: Everything is right here.\Closer Pass deployment squad advancing.\Plant it on the Hideauze nest!\Multicore Cannon Squads, connect to attack position.\The Blossom Sail is regenerating too quickly!\Is the Dimenstrium ready to fire its second shot yet?\120 seconds until criticality!\We won't make it! response:	Impossible!
context: Closer Pass deployment squad advancing.\Plant it on the Hideauze nest!\Multicore Cannon Squads, connect to attack position.\The Blossom Sail is regenerating too quickly!\Is the Dimenstrium ready to fire its second shot yet?\120 seconds until criticality!\We won't make it!\Impossible! response:	Enemy fortress special cannon has struck the main fleet!
context: Plant it on the Hideauze nest!\Multicore Cannon Squads, connect to attack position.\The Blossom Sail is regenerating too quickly!\Is the Dimenstrium ready to fire its second shot yet?\120 seconds until criticality!\We won't make it!\Impossible!\Enemy fortress special cannon has struck the main fleet! response:	Shield Escort Ships have been wiped out by the enemy's dispersal attack.
context: Multicore Cannon Squads, connect to attack position.\The Blossom Sail is regenerating too quickly!\Is the Dimenstrium ready to fire its second shot yet?\120 seconds until criticality!\We won't make it!\Impossible!\Enemy fortress special cannon has struck the main fleet!\Shield Escort Ships have been wiped out by the enemy's dispersal attack. response:	All ships in Hexelena Fleet have been crippled!
context: The Blossom Sail is regenerating too quickly!\Is the Dimenstrium ready to fire its second shot yet?\120 seconds until criticality!\We won't make it!\Impossible!\Enemy fortress special cannon has struck the main fleet!\Shield Escort Ships have been wiped out by the enemy's dispersal attack.\All ships in Hexelena Fleet have been crippled! response:	Dimenstrium formation has been annihilated!
context: Is the Dimenstrium ready to fire its second shot yet?\120 seconds until criticality!\We won't make it!\Impossible!\Enemy fortress special cannon has struck the main fleet!\Shield Escort Ships have been wiped out by the enemy's dispersal attack.\All ships in Hexelena Fleet have been crippled!\Dimenstrium formation has been annihilated! response:	We cannot continue the mission!
context: 120 seconds until criticality!\We won't make it!\Impossible!\Enemy fortress special cannon has struck the main fleet!\Shield Escort Ships have been wiped out by the enemy's dispersal attack.\All ships in Hexelena Fleet have been crippled!\Dimenstrium formation has been annihilated!\We cannot continue the mission! response:	Our escorts have been destroyed!
context: We won't make it!\Impossible!\Enemy fortress special cannon has struck the main fleet!\Shield Escort Ships have been wiped out by the enemy's dispersal attack.\All ships in Hexelena Fleet have been crippled!\Dimenstrium formation has been annihilated!\We cannot continue the mission!\Our escorts have been destroyed! response:	All ships withdraw immediately!
context: Impossible!\Enemy fortress special cannon has struck the main fleet!\Shield Escort Ships have been wiped out by the enemy's dispersal attack.\All ships in Hexelena Fleet have been crippled!\Dimenstrium formation has been annihilated!\We cannot continue the mission!\Our escorts have been destroyed!\All ships withdraw immediately! response:	Even with so many ships, we still can't win?
context: Enemy fortress special cannon has struck the main fleet!\Shield Escort Ships have been wiped out by the enemy's dispersal attack.\All ships in Hexelena Fleet have been crippled!\Dimenstrium formation has been annihilated!\We cannot continue the mission!\Our escorts have been destroyed!\All ships withdraw immediately!\Even with so many ships, we still can't win? response:	Commander Kugel.
context: Shield Escort Ships have been wiped out by the enemy's dispersal attack.\All ships in Hexelena Fleet have been crippled!\Dimenstrium formation has been annihilated!\We cannot continue the mission!\Our escorts have been destroyed!\All ships withdraw immediately!\Even with so many ships, we still can't win?\Commander Kugel. response:	The wormhole stabilizer will cease supplying exotic matter in four minutes.
context: All ships in Hexelena Fleet have been crippled!\Dimenstrium formation has been annihilated!\We cannot continue the mission!\Our escorts have been destroyed!\All ships withdraw immediately!\Even with so many ships, we still can't win?\Commander Kugel.\The wormhole stabilizer will cease supplying exotic matter in four minutes. response:	The Closer Pass deployment squad is to return to the carrier Lamorak immediately.
context: Dimenstrium formation has been annihilated!\We cannot continue the mission!\Our escorts have been destroyed!\All ships withdraw immediately!\Even with so many ships, we still can't win?\Commander Kugel.\The wormhole stabilizer will cease supplying exotic matter in four minutes.\The Closer Pass deployment squad is to return to the carrier Lamorak immediately. response:	You heard her, everyone.
context: We cannot continue the mission!\Our escorts have been destroyed!\All ships withdraw immediately!\Even with so many ships, we still can't win?\Commander Kugel.\The wormhole stabilizer will cease supplying exotic matter in four minutes.\The Closer Pass deployment squad is to return to the carrier Lamorak immediately.\You heard her, everyone. response:	Abandon the Closer Pass and withdraw!
context: Our escorts have been destroyed!\All ships withdraw immediately!\Even with so many ships, we still can't win?\Commander Kugel.\The wormhole stabilizer will cease supplying exotic matter in four minutes.\The Closer Pass deployment squad is to return to the carrier Lamorak immediately.\You heard her, everyone.\Abandon the Closer Pass and withdraw! response:	You'll be left behind!
context: All ships withdraw immediately!\Even with so many ships, we still can't win?\Commander Kugel.\The wormhole stabilizer will cease supplying exotic matter in four minutes.\The Closer Pass deployment squad is to return to the carrier Lamorak immediately.\You heard her, everyone.\Abandon the Closer Pass and withdraw!\You'll be left behind! response:	Okay! Delta Company, everybody get off the Closer Pass.
context: Even with so many ships, we still can't win?\Commander Kugel.\The wormhole stabilizer will cease supplying exotic matter in four minutes.\The Closer Pass deployment squad is to return to the carrier Lamorak immediately.\You heard her, everyone.\Abandon the Closer Pass and withdraw!\You'll be left behind!\Okay! Delta Company, everybody get off the Closer Pass. response:	We'll leave the whole Quantum Dimensional Bomb behind!
context: Commander Kugel.\The wormhole stabilizer will cease supplying exotic matter in four minutes.\The Closer Pass deployment squad is to return to the carrier Lamorak immediately.\You heard her, everyone.\Abandon the Closer Pass and withdraw!\You'll be left behind!\Okay! Delta Company, everybody get off the Closer Pass.\We'll leave the whole Quantum Dimensional Bomb behind! response:	Obey Commander Kugel's orders and withdraw!
context: The wormhole stabilizer will cease supplying exotic matter in four minutes.\The Closer Pass deployment squad is to return to the carrier Lamorak immediately.\You heard her, everyone.\Abandon the Closer Pass and withdraw!\You'll be left behind!\Okay! Delta Company, everybody get off the Closer Pass.\We'll leave the whole Quantum Dimensional Bomb behind!\Obey Commander Kugel's orders and withdraw! response:	Go! Go! Go!
context: The Closer Pass deployment squad is to return to the carrier Lamorak immediately.\You heard her, everyone.\Abandon the Closer Pass and withdraw!\You'll be left behind!\Okay! Delta Company, everybody get off the Closer Pass.\We'll leave the whole Quantum Dimensional Bomb behind!\Obey Commander Kugel's orders and withdraw!\Go! Go! Go! response:	Set the Closer Pass's Quantum Dimensional Bomb to mine mode!
context: You heard her, everyone.\Abandon the Closer Pass and withdraw!\You'll be left behind!\Okay! Delta Company, everybody get off the Closer Pass.\We'll leave the whole Quantum Dimensional Bomb behind!\Obey Commander Kugel's orders and withdraw!\Go! Go! Go!\Set the Closer Pass's Quantum Dimensional Bomb to mine mode! response:	The enemy has surrounded the ones who were too slow to get off of the Closer Pass!
context: Abandon the Closer Pass and withdraw!\You'll be left behind!\Okay! Delta Company, everybody get off the Closer Pass.\We'll leave the whole Quantum Dimensional Bomb behind!\Obey Commander Kugel's orders and withdraw!\Go! Go! Go!\Set the Closer Pass's Quantum Dimensional Bomb to mine mode!\The enemy has surrounded the ones who were too slow to get off of the Closer Pass! response:	Pull out the safety key and get out of there!
context: You'll be left behind!\Okay! Delta Company, everybody get off the Closer Pass.\We'll leave the whole Quantum Dimensional Bomb behind!\Obey Commander Kugel's orders and withdraw!\Go! Go! Go!\Set the Closer Pass's Quantum Dimensional Bomb to mine mode!\The enemy has surrounded the ones who were too slow to get off of the Closer Pass!\Pull out the safety key and get out of there! response:	Are they going to eat the Closer Pass, energy core and all?
context: Okay! Delta Company, everybody get off the Closer Pass.\We'll leave the whole Quantum Dimensional Bomb behind!\Obey Commander Kugel's orders and withdraw!\Go! Go! Go!\Set the Closer Pass's Quantum Dimensional Bomb to mine mode!\The enemy has surrounded the ones who were too slow to get off of the Closer Pass!\Pull out the safety key and get out of there!\Are they going to eat the Closer Pass, energy core and all? response:	Ledo!
context: We'll leave the whole Quantum Dimensional Bomb behind!\Obey Commander Kugel's orders and withdraw!\Go! Go! Go!\Set the Closer Pass's Quantum Dimensional Bomb to mine mode!\The enemy has surrounded the ones who were too slow to get off of the Closer Pass!\Pull out the safety key and get out of there!\Are they going to eat the Closer Pass, energy core and all?\Ledo! response:	I'll take care of this!
context: Obey Commander Kugel's orders and withdraw!\Go! Go! Go!\Set the Closer Pass's Quantum Dimensional Bomb to mine mode!\The enemy has surrounded the ones who were too slow to get off of the Closer Pass!\Pull out the safety key and get out of there!\Are they going to eat the Closer Pass, energy core and all?\Ledo!\I'll take care of this! response:	What?
context: Go! Go! Go!\Set the Closer Pass's Quantum Dimensional Bomb to mine mode!\The enemy has surrounded the ones who were too slow to get off of the Closer Pass!\Pull out the safety key and get out of there!\Are they going to eat the Closer Pass, energy core and all?\Ledo!\I'll take care of this!\What? response:	The enemy's right on top of us! Get the Machine Calibers out of there!
context: Set the Closer Pass's Quantum Dimensional Bomb to mine mode!\The enemy has surrounded the ones who were too slow to get off of the Closer Pass!\Pull out the safety key and get out of there!\Are they going to eat the Closer Pass, energy core and all?\Ledo!\I'll take care of this!\What?\The enemy's right on top of us! Get the Machine Calibers out of there! response:	Okay. Just hold out for 200 seconds.
context: The enemy has surrounded the ones who were too slow to get off of the Closer Pass!\Pull out the safety key and get out of there!\Are they going to eat the Closer Pass, energy core and all?\Ledo!\I'll take care of this!\What?\The enemy's right on top of us! Get the Machine Calibers out of there!\Okay. Just hold out for 200 seconds. response:	Don't do anything stupid.
context: Pull out the safety key and get out of there!\Are they going to eat the Closer Pass, energy core and all?\Ledo!\I'll take care of this!\What?\The enemy's right on top of us! Get the Machine Calibers out of there!\Okay. Just hold out for 200 seconds.\Don't do anything stupid. response:	Understood!
context: Are they going to eat the Closer Pass, energy core and all?\Ledo!\I'll take care of this!\What?\The enemy's right on top of us! Get the Machine Calibers out of there!\Okay. Just hold out for 200 seconds.\Don't do anything stupid.\Understood! response:	I'm ordering you to release all limiters! Maximize!
context: Ledo!\I'll take care of this!\What?\The enemy's right on top of us! Get the Machine Calibers out of there!\Okay. Just hold out for 200 seconds.\Don't do anything stupid.\Understood!\I'm ordering you to release all limiters! Maximize! response:	I don't care if we burn out!
context: I'll take care of this!\What?\The enemy's right on top of us! Get the Machine Calibers out of there!\Okay. Just hold out for 200 seconds.\Don't do anything stupid.\Understood!\I'm ordering you to release all limiters! Maximize!\I don't care if we burn out! response:	Roger!
context: What?\The enemy's right on top of us! Get the Machine Calibers out of there!\Okay. Just hold out for 200 seconds.\Don't do anything stupid.\Understood!\I'm ordering you to release all limiters! Maximize!\I don't care if we burn out!\Roger! response:	Requesting backup!
context: The enemy's right on top of us! Get the Machine Calibers out of there!\Okay. Just hold out for 200 seconds.\Don't do anything stupid.\Understood!\I'm ordering you to release all limiters! Maximize!\I don't care if we burn out!\Roger!\Requesting backup! response:	It's got me and I can't move!
context: Okay. Just hold out for 200 seconds.\Don't do anything stupid.\Understood!\I'm ordering you to release all limiters! Maximize!\I don't care if we burn out!\Roger!\Requesting backup!\It's got me and I can't move! response:	We need help!
context: Don't do anything stupid.\Understood!\I'm ordering you to release all limiters! Maximize!\I don't care if we burn out!\Roger!\Requesting backup!\It's got me and I can't move!\We need help! response:	Roger.
context: Understood!\I'm ordering you to release all limiters! Maximize!\I don't care if we burn out!\Roger!\Requesting backup!\It's got me and I can't move!\We need help!\Roger. response:	Don't give up!
context: I'm ordering you to release all limiters! Maximize!\I don't care if we burn out!\Roger!\Requesting backup!\It's got me and I can't move!\We need help!\Roger.\Don't give up! response:	Hang in there...
context: I don't care if we burn out!\Roger!\Requesting backup!\It's got me and I can't move!\We need help!\Roger.\Don't give up!\Hang in there... response:	Ledo!
context: Roger!\Requesting backup!\It's got me and I can't move!\We need help!\Roger.\Don't give up!\Hang in there...\Ledo! response:	It's time, Ledo! Head back!
context: Requesting backup!\It's got me and I can't move!\We need help!\Roger.\Don't give up!\Hang in there...\Ledo!\It's time, Ledo! Head back! response:	Commander Kugel!
context: It's got me and I can't move!\We need help!\Roger.\Don't give up!\Hang in there...\Ledo!\It's time, Ledo! Head back!\Commander Kugel! response:	But...
context: We need help!\Roger.\Don't give up!\Hang in there...\Ledo!\It's time, Ledo! Head back!\Commander Kugel!\But... response:	They're done for.
context: Roger.\Don't give up!\Hang in there...\Ledo!\It's time, Ledo! Head back!\Commander Kugel!\But...\They're done for. response:	Give it up.
context: Don't give up!\Hang in there...\Ledo!\It's time, Ledo! Head back!\Commander Kugel!\But...\They're done for.\Give it up. response:	Don't waste any more energy.
context: Hang in there...\Ledo!\It's time, Ledo! Head back!\Commander Kugel!\But...\They're done for.\Give it up.\Don't waste any more energy. response:	Requesting backup! Requesting backup!
context: Ledo!\It's time, Ledo! Head back!\Commander Kugel!\But...\They're done for.\Give it up.\Don't waste any more energy.\Requesting backup! Requesting backup! response:	We're completely surrounded!
context: It's time, Ledo! Head back!\Commander Kugel!\But...\They're done for.\Give it up.\Don't waste any more energy.\Requesting backup! Requesting backup!\We're completely surrounded! response:	The enemy is going to devour the quantum energy of the Closer Pass!
context: Commander Kugel!\But...\They're done for.\Give it up.\Don't waste any more energy.\Requesting backup! Requesting backup!\We're completely surrounded!\The enemy is going to devour the quantum energy of the Closer Pass! response:	We're not going to last down here!
context: But...\They're done for.\Give it up.\Don't waste any more energy.\Requesting backup! Requesting backup!\We're completely surrounded!\The enemy is going to devour the quantum energy of the Closer Pass!\We're not going to last down here! response:	Ending Maximize limiter release to preserve unit functionality.
context: They're done for.\Give it up.\Don't waste any more energy.\Requesting backup! Requesting backup!\We're completely surrounded!\The enemy is going to devour the quantum energy of the Closer Pass!\We're not going to last down here!\Ending Maximize limiter release to preserve unit functionality. response:	Avoiding further combat.
context: Give it up.\Don't waste any more energy.\Requesting backup! Requesting backup!\We're completely surrounded!\The enemy is going to devour the quantum energy of the Closer Pass!\We're not going to last down here!\Ending Maximize limiter release to preserve unit functionality.\Avoiding further combat. response:	Maintaining corridor connection.
context: Don't waste any more energy.\Requesting backup! Requesting backup!\We're completely surrounded!\The enemy is going to devour the quantum energy of the Closer Pass!\We're not going to last down here!\Ending Maximize limiter release to preserve unit functionality.\Avoiding further combat.\Maintaining corridor connection. response:	Initiating Telemothy Swing.
context: Requesting backup! Requesting backup!\We're completely surrounded!\The enemy is going to devour the quantum energy of the Closer Pass!\We're not going to last down here!\Ending Maximize limiter release to preserve unit functionality.\Avoiding further combat.\Maintaining corridor connection.\Initiating Telemothy Swing. response:	40 seconds until the Lamorak begins Telemothy Swing.
context: We're completely surrounded!\The enemy is going to devour the quantum energy of the Closer Pass!\We're not going to last down here!\Ending Maximize limiter release to preserve unit functionality.\Avoiding further combat.\Maintaining corridor connection.\Initiating Telemothy Swing.\40 seconds until the Lamorak begins Telemothy Swing. response:	39.
context: The enemy is going to devour the quantum energy of the Closer Pass!\We're not going to last down here!\Ending Maximize limiter release to preserve unit functionality.\Avoiding further combat.\Maintaining corridor connection.\Initiating Telemothy Swing.\40 seconds until the Lamorak begins Telemothy Swing.\39. response:	38.
context: We're not going to last down here!\Ending Maximize limiter release to preserve unit functionality.\Avoiding further combat.\Maintaining corridor connection.\Initiating Telemothy Swing.\40 seconds until the Lamorak begins Telemothy Swing.\39.\38. response:	37.
context: Ending Maximize limiter release to preserve unit functionality.\Avoiding further combat.\Maintaining corridor connection.\Initiating Telemothy Swing.\40 seconds until the Lamorak begins Telemothy Swing.\39.\38.\37. response:	Damn it! We can't bring the Hideauze back with us!
context: Avoiding further combat.\Maintaining corridor connection.\Initiating Telemothy Swing.\40 seconds until the Lamorak begins Telemothy Swing.\39.\38.\37.\Damn it! We can't bring the Hideauze back with us! response:	Ledo!
context: Maintaining corridor connection.\Initiating Telemothy Swing.\40 seconds until the Lamorak begins Telemothy Swing.\39.\38.\37.\Damn it! We can't bring the Hideauze back with us!\Ledo! response:	You land.
context: Initiating Telemothy Swing.\40 seconds until the Lamorak begins Telemothy Swing.\39.\38.\37.\Damn it! We can't bring the Hideauze back with us!\Ledo!\You land. response:	I'll slow them down.
context: 40 seconds until the Lamorak begins Telemothy Swing.\39.\38.\37.\Damn it! We can't bring the Hideauze back with us!\Ledo!\You land.\I'll slow them down. response:	Commander Kugel!
context: 39.\38.\37.\Damn it! We can't bring the Hideauze back with us!\Ledo!\You land.\I'll slow them down.\Commander Kugel! response:	That's a violation of military regulations!
context: 38.\37.\Damn it! We can't bring the Hideauze back with us!\Ledo!\You land.\I'll slow them down.\Commander Kugel!\That's a violation of military regulations! response:	You're still young.
context: 37.\Damn it! We can't bring the Hideauze back with us!\Ledo!\You land.\I'll slow them down.\Commander Kugel!\That's a violation of military regulations!\You're still young. response:	You can kill more enemies than I can.
context: Damn it! We can't bring the Hideauze back with us!\Ledo!\You land.\I'll slow them down.\Commander Kugel!\That's a violation of military regulations!\You're still young.\You can kill more enemies than I can. response:	That's my decision as a soldier.
context: Ledo!\You land.\I'll slow them down.\Commander Kugel!\That's a violation of military regulations!\You're still young.\You can kill more enemies than I can.\That's my decision as a soldier. response:	Glory to the Galactic Alliance of Humankind!
context: You land.\I'll slow them down.\Commander Kugel!\That's a violation of military regulations!\You're still young.\You can kill more enemies than I can.\That's my decision as a soldier.\Glory to the Galactic Alliance of Humankind! response:	See you.
context: I'll slow them down.\Commander Kugel!\That's a violation of military regulations!\You're still young.\You can kill more enemies than I can.\That's my decision as a soldier.\Glory to the Galactic Alliance of Humankind!\See you. response:	Commander!
context: Commander Kugel!\That's a violation of military regulations!\You're still young.\You can kill more enemies than I can.\That's my decision as a soldier.\Glory to the Galactic Alliance of Humankind!\See you.\Commander! response:	Guidance beacon received.
context: That's a violation of military regulations!\You're still young.\You can kill more enemies than I can.\That's my decision as a soldier.\Glory to the Galactic Alliance of Humankind!\See you.\Commander!\Guidance beacon received. response:	Beginning landing sequence.
context: You're still young.\You can kill more enemies than I can.\That's my decision as a soldier.\Glory to the Galactic Alliance of Humankind!\See you.\Commander!\Guidance beacon received.\Beginning landing sequence. response:	Curse the Hideauze...
context: You can kill more enemies than I can.\That's my decision as a soldier.\Glory to the Galactic Alliance of Humankind!\See you.\Commander!\Guidance beacon received.\Beginning landing sequence.\Curse the Hideauze... response:	Sorry!
context: That's my decision as a soldier.\Glory to the Galactic Alliance of Humankind!\See you.\Commander!\Guidance beacon received.\Beginning landing sequence.\Curse the Hideauze...\Sorry! response:	It's huge!
context: Glory to the Galactic Alliance of Humankind!\See you.\Commander!\Guidance beacon received.\Beginning landing sequence.\Curse the Hideauze...\Sorry!\It's huge! response:	Bellows!
context: See you.\Commander!\Guidance beacon received.\Beginning landing sequence.\Curse the Hideauze...\Sorry!\It's huge!\Bellows! response:	Hey, Amy.
