context: Alien...? response:	My duty is to observe Haruhi Suzumiya...
context: If mysterious transfer students can be guaranteed...\I'm gonna take a look!\Literary Club\When I went to the clubroom after school...\I'm amazed you were willing to come back to the clubroom.\I was a bit hesitant...\I get the feeling I heard her say something similar before.\What are you concerned about? response:	It's nothing.
context: I'm gonna take a look!\Literary Club\When I went to the clubroom after school...\I'm amazed you were willing to come back to the clubroom.\I was a bit hesitant...\I get the feeling I heard her say something similar before.\What are you concerned about?\It's nothing. response:	Want to take my place, Nagato?
context: Literary Club\When I went to the clubroom after school...\I'm amazed you were willing to come back to the clubroom.\I was a bit hesitant...\I get the feeling I heard her say something similar before.\What are you concerned about?\It's nothing.\Want to take my place, Nagato? response:	Nagato, have you ever played Othello?
context: When I went to the clubroom after school...\I'm amazed you were willing to come back to the clubroom.\I was a bit hesitant...\I get the feeling I heard her say something similar before.\What are you concerned about?\It's nothing.\Want to take my place, Nagato?\Nagato, have you ever played Othello? response:	Hey! Sorry for the wait!
context: I'm amazed you were willing to come back to the clubroom.\I was a bit hesitant...\I get the feeling I heard her say something similar before.\What are you concerned about?\It's nothing.\Want to take my place, Nagato?\Nagato, have you ever played Othello?\Hey! Sorry for the wait! response:	The immediately useful transfer student who joined class 1-9 today!
context: I was a bit hesitant...\I get the feeling I heard her say something similar before.\What are you concerned about?\It's nothing.\Want to take my place, Nagato?\Nagato, have you ever played Othello?\Hey! Sorry for the wait!\The immediately useful transfer student who joined class 1-9 today! response:	His name is...
context: I get the feeling I heard her say something similar before.\What are you concerned about?\It's nothing.\Want to take my place, Nagato?\Nagato, have you ever played Othello?\Hey! Sorry for the wait!\The immediately useful transfer student who joined class 1-9 today!\His name is... response:	Itsuki Koizumi.
context: What are you concerned about?\It's nothing.\Want to take my place, Nagato?\Nagato, have you ever played Othello?\Hey! Sorry for the wait!\The immediately useful transfer student who joined class 1-9 today!\His name is...\Itsuki Koizumi. response:	It's a pleasure to meet you.
context: It's nothing.\Want to take my place, Nagato?\Nagato, have you ever played Othello?\Hey! Sorry for the wait!\The immediately useful transfer student who joined class 1-9 today!\His name is...\Itsuki Koizumi.\It's a pleasure to meet you. response:	This is the SOS Brigade!
context: Want to take my place, Nagato?\Nagato, have you ever played Othello?\Hey! Sorry for the wait!\The immediately useful transfer student who joined class 1-9 today!\His name is...\Itsuki Koizumi.\It's a pleasure to meet you.\This is the SOS Brigade! response:	I'm the brigade chief, Haruhi Suzumiya.
context: Nagato, have you ever played Othello?\Hey! Sorry for the wait!\The immediately useful transfer student who joined class 1-9 today!\His name is...\Itsuki Koizumi.\It's a pleasure to meet you.\This is the SOS Brigade!\I'm the brigade chief, Haruhi Suzumiya. response:	Those three are members 1, 2, and 3.
context: Hey! Sorry for the wait!\The immediately useful transfer student who joined class 1-9 today!\His name is...\Itsuki Koizumi.\It's a pleasure to meet you.\This is the SOS Brigade!\I'm the brigade chief, Haruhi Suzumiya.\Those three are members 1, 2, and 3. response:	And incidentally, you're the fourth one.
context: The immediately useful transfer student who joined class 1-9 today!\His name is...\Itsuki Koizumi.\It's a pleasure to meet you.\This is the SOS Brigade!\I'm the brigade chief, Haruhi Suzumiya.\Those three are members 1, 2, and 3.\And incidentally, you're the fourth one. response:	Everyone get along now!
context: His name is...\Itsuki Koizumi.\It's a pleasure to meet you.\This is the SOS Brigade!\I'm the brigade chief, Haruhi Suzumiya.\Those three are members 1, 2, and 3.\And incidentally, you're the fourth one.\Everyone get along now! response:	I have no problem with joining, but...
context: Itsuki Koizumi.\It's a pleasure to meet you.\This is the SOS Brigade!\I'm the brigade chief, Haruhi Suzumiya.\Those three are members 1, 2, and 3.\And incidentally, you're the fourth one.\Everyone get along now!\I have no problem with joining, but... response:	I'll tell you just what activities the SOS Brigade engages in.
context: It's a pleasure to meet you.\This is the SOS Brigade!\I'm the brigade chief, Haruhi Suzumiya.\Those three are members 1, 2, and 3.\And incidentally, you're the fourth one.\Everyone get along now!\I have no problem with joining, but...\I'll tell you just what activities the SOS Brigade engages in. response:	That would be!
context: This is the SOS Brigade!\I'm the brigade chief, Haruhi Suzumiya.\Those three are members 1, 2, and 3.\And incidentally, you're the fourth one.\Everyone get along now!\I have no problem with joining, but...\I'll tell you just what activities the SOS Brigade engages in.\That would be! response:	Find aliens, time travelers, and espers...
context: I'm the brigade chief, Haruhi Suzumiya.\Those three are members 1, 2, and 3.\And incidentally, you're the fourth one.\Everyone get along now!\I have no problem with joining, but...\I'll tell you just what activities the SOS Brigade engages in.\That would be!\Find aliens, time travelers, and espers... response:	I could feel the entire world grinding to a halt.
context: Those three are members 1, 2, and 3.\And incidentally, you're the fourth one.\Everyone get along now!\I have no problem with joining, but...\I'll tell you just what activities the SOS Brigade engages in.\That would be!\Find aliens, time travelers, and espers...\I could feel the entire world grinding to a halt. response:	Just kidding!
context: And incidentally, you're the fourth one.\Everyone get along now!\I have no problem with joining, but...\I'll tell you just what activities the SOS Brigade engages in.\That would be!\Find aliens, time travelers, and espers...\I could feel the entire world grinding to a halt.\Just kidding! response:	Although I was reminded of Haruhi's proclamation at the beginning of the year.
context: Everyone get along now!\I have no problem with joining, but...\I'll tell you just what activities the SOS Brigade engages in.\That would be!\Find aliens, time travelers, and espers...\I could feel the entire world grinding to a halt.\Just kidding!\Although I was reminded of Haruhi's proclamation at the beginning of the year. response:	I see.
context: I have no problem with joining, but...\I'll tell you just what activities the SOS Brigade engages in.\That would be!\Find aliens, time travelers, and espers...\I could feel the entire world grinding to a halt.\Just kidding!\Although I was reminded of Haruhi's proclamation at the beginning of the year.\I see. response:	Just as one would expect from Suzumiya-san.
context: I'll tell you just what activities the SOS Brigade engages in.\That would be!\Find aliens, time travelers, and espers...\I could feel the entire world grinding to a halt.\Just kidding!\Although I was reminded of Haruhi's proclamation at the beginning of the year.\I see.\Just as one would expect from Suzumiya-san. response:	What did he just see?
context: That would be!\Find aliens, time travelers, and espers...\I could feel the entire world grinding to a halt.\Just kidding!\Although I was reminded of Haruhi's proclamation at the beginning of the year.\I see.\Just as one would expect from Suzumiya-san.\What did he just see? response:	Very well.
context: Find aliens, time travelers, and espers...\I could feel the entire world grinding to a halt.\Just kidding!\Although I was reminded of Haruhi's proclamation at the beginning of the year.\I see.\Just as one would expect from Suzumiya-san.\What did he just see?\Very well. response:	I shall join.
context: I could feel the entire world grinding to a halt.\Just kidding!\Although I was reminded of Haruhi's proclamation at the beginning of the year.\I see.\Just as one would expect from Suzumiya-san.\What did he just see?\Very well.\I shall join. response:	I hope to have a pleasant experience with everyone.
context: Just kidding!\Although I was reminded of Haruhi's proclamation at the beginning of the year.\I see.\Just as one would expect from Suzumiya-san.\What did he just see?\Very well.\I shall join.\I hope to have a pleasant experience with everyone. response:	Hello? You're going to accept that explanation?
context: Although I was reminded of Haruhi's proclamation at the beginning of the year.\I see.\Just as one would expect from Suzumiya-san.\What did he just see?\Very well.\I shall join.\I hope to have a pleasant experience with everyone.\Hello? You're going to accept that explanation? response:	Were you even listening?
context: I see.\Just as one would expect from Suzumiya-san.\What did he just see?\Very well.\I shall join.\I hope to have a pleasant experience with everyone.\Hello? You're going to accept that explanation?\Were you even listening? response:	I'm Koizumi.
context: Just as one would expect from Suzumiya-san.\What did he just see?\Very well.\I shall join.\I hope to have a pleasant experience with everyone.\Hello? You're going to accept that explanation?\Were you even listening?\I'm Koizumi. response:	As I just transferred here, I'm sure I have much to learn from you...
context: What did he just see?\Very well.\I shall join.\I hope to have a pleasant experience with everyone.\Hello? You're going to accept that explanation?\Were you even listening?\I'm Koizumi.\As I just transferred here, I'm sure I have much to learn from you... response:	I'm...
context: Very well.\I shall join.\I hope to have a pleasant experience with everyone.\Hello? You're going to accept that explanation?\Were you even listening?\I'm Koizumi.\As I just transferred here, I'm sure I have much to learn from you...\I'm... response:	That's Kyon!
context: I shall join.\I hope to have a pleasant experience with everyone.\Hello? You're going to accept that explanation?\Were you even listening?\I'm Koizumi.\As I just transferred here, I'm sure I have much to learn from you...\I'm...\That's Kyon! response:	The cute one over there is Mikuru-chan...
context: I hope to have a pleasant experience with everyone.\Hello? You're going to accept that explanation?\Were you even listening?\I'm Koizumi.\As I just transferred here, I'm sure I have much to learn from you...\I'm...\That's Kyon!\The cute one over there is Mikuru-chan... response:	Are you okay?
context: Hello? You're going to accept that explanation?\Were you even listening?\I'm Koizumi.\As I just transferred here, I'm sure I have much to learn from you...\I'm...\That's Kyon!\The cute one over there is Mikuru-chan...\Are you okay? response:	Great, now we have five members!
context: Were you even listening?\I'm Koizumi.\As I just transferred here, I'm sure I have much to learn from you...\I'm...\That's Kyon!\The cute one over there is Mikuru-chan...\Are you okay?\Great, now we have five members! response:	We're finally a full-fledged club!
context: I'm Koizumi.\As I just transferred here, I'm sure I have much to learn from you...\I'm...\That's Kyon!\The cute one over there is Mikuru-chan...\Are you okay?\Great, now we have five members!\We're finally a full-fledged club! response:	I'm okay.
context: As I just transferred here, I'm sure I have much to learn from you...\I'm...\That's Kyon!\The cute one over there is Mikuru-chan...\Are you okay?\Great, now we have five members!\We're finally a full-fledged club!\I'm okay. response:	It's finally time for the SOS Brigade to unveil itself to the world!
context: I'm...\That's Kyon!\The cute one over there is Mikuru-chan...\Are you okay?\Great, now we have five members!\We're finally a full-fledged club!\I'm okay.\It's finally time for the SOS Brigade to unveil itself to the world! response:	Everyone, let's join together as one and give it our all!
context: That's Kyon!\The cute one over there is Mikuru-chan...\Are you okay?\Great, now we have five members!\We're finally a full-fledged club!\I'm okay.\It's finally time for the SOS Brigade to unveil itself to the world!\Everyone, let's join together as one and give it our all! response:	What do you mean by unveil?
context: The cute one over there is Mikuru-chan...\Are you okay?\Great, now we have five members!\We're finally a full-fledged club!\I'm okay.\It's finally time for the SOS Brigade to unveil itself to the world!\Everyone, let's join together as one and give it our all!\What do you mean by unveil? response:	Speaking of which, Nagato...
context: Are you okay?\Great, now we have five members!\We're finally a full-fledged club!\I'm okay.\It's finally time for the SOS Brigade to unveil itself to the world!\Everyone, let's join together as one and give it our all!\What do you mean by unveil?\Speaking of which, Nagato... response:	Rolling along to after school the next day!
context: Great, now we have five members!\We're finally a full-fledged club!\I'm okay.\It's finally time for the SOS Brigade to unveil itself to the world!\Everyone, let's join together as one and give it our all!\What do you mean by unveil?\Speaking of which, Nagato...\Rolling along to after school the next day! response:	C'mon!
context: We're finally a full-fledged club!\I'm okay.\It's finally time for the SOS Brigade to unveil itself to the world!\Everyone, let's join together as one and give it our all!\What do you mean by unveil?\Speaking of which, Nagato...\Rolling along to after school the next day!\C'mon! response:	Hurry up and take it off!
context: I'm okay.\It's finally time for the SOS Brigade to unveil itself to the world!\Everyone, let's join together as one and give it our all!\What do you mean by unveil?\Speaking of which, Nagato...\Rolling along to after school the next day!\C'mon!\Hurry up and take it off! response:	Sorry!
context: It's finally time for the SOS Brigade to unveil itself to the world!\Everyone, let's join together as one and give it our all!\What do you mean by unveil?\Speaking of which, Nagato...\Rolling along to after school the next day!\C'mon!\Hurry up and take it off!\Sorry! response:	When it comes to turn-ons, you can't forget about maids.
context: Everyone, let's join together as one and give it our all!\What do you mean by unveil?\Speaking of which, Nagato...\Rolling along to after school the next day!\C'mon!\Hurry up and take it off!\Sorry!\When it comes to turn-ons, you can't forget about maids. response:	Every school life story has one.
context: What do you mean by unveil?\Speaking of which, Nagato...\Rolling along to after school the next day!\C'mon!\Hurry up and take it off!\Sorry!\When it comes to turn-ons, you can't forget about maids.\Every school life story has one. response:	Exactly what kind of school life stories do you read...
context: Speaking of which, Nagato...\Rolling along to after school the next day!\C'mon!\Hurry up and take it off!\Sorry!\When it comes to turn-ons, you can't forget about maids.\Every school life story has one.\Exactly what kind of school life stories do you read... response:	Now then...
context: Rolling along to after school the next day!\C'mon!\Hurry up and take it off!\Sorry!\When it comes to turn-ons, you can't forget about maids.\Every school life story has one.\Exactly what kind of school life stories do you read...\Now then... response:	Let's take a picture to remember this by.
context: C'mon!\Hurry up and take it off!\Sorry!\When it comes to turn-ons, you can't forget about maids.\Every school life story has one.\Exactly what kind of school life stories do you read...\Now then...\Let's take a picture to remember this by. response:	No!
context: Hurry up and take it off!\Sorry!\When it comes to turn-ons, you can't forget about maids.\Every school life story has one.\Exactly what kind of school life stories do you read...\Now then...\Let's take a picture to remember this by.\No! response:	Don't take a picture!
context: Sorry!\When it comes to turn-ons, you can't forget about maids.\Every school life story has one.\Exactly what kind of school life stories do you read...\Now then...\Let's take a picture to remember this by.\No!\Don't take a picture! response:	Tilt the chin a bit.
context: When it comes to turn-ons, you can't forget about maids.\Every school life story has one.\Exactly what kind of school life stories do you read...\Now then...\Let's take a picture to remember this by.\No!\Don't take a picture!\Tilt the chin a bit. response:	Clutch the apron.
context: Every school life story has one.\Exactly what kind of school life stories do you read...\Now then...\Let's take a picture to remember this by.\No!\Don't take a picture!\Tilt the chin a bit.\Clutch the apron. response:	Come on. Bigger smile!
context: Exactly what kind of school life stories do you read...\Now then...\Let's take a picture to remember this by.\No!\Don't take a picture!\Tilt the chin a bit.\Clutch the apron.\Come on. Bigger smile! response:	Kyon.
context: Now then...\Let's take a picture to remember this by.\No!\Don't take a picture!\Tilt the chin a bit.\Clutch the apron.\Come on. Bigger smile!\Kyon. response:	Take over as cameraman.
context: Let's take a picture to remember this by.\No!\Don't take a picture!\Tilt the chin a bit.\Clutch the apron.\Come on. Bigger smile!\Kyon.\Take over as cameraman. response:	Mikuru-chan.
context: No!\Don't take a picture!\Tilt the chin a bit.\Clutch the apron.\Come on. Bigger smile!\Kyon.\Take over as cameraman.\Mikuru-chan. response:	Let's make you a little sexier.
context: Don't take a picture!\Tilt the chin a bit.\Clutch the apron.\Come on. Bigger smile!\Kyon.\Take over as cameraman.\Mikuru-chan.\Let's make you a little sexier. response:	No! Wha-What are you...
context: Tilt the chin a bit.\Clutch the apron.\Come on. Bigger smile!\Kyon.\Take over as cameraman.\Mikuru-chan.\Let's make you a little sexier.\No! Wha-What are you... response:	- It's fine! It's fine!
context: Clutch the apron.\Come on. Bigger smile!\Kyon.\Take over as cameraman.\Mikuru-chan.\Let's make you a little sexier.\No! Wha-What are you...\- It's fine! It's fine! response:	How is this fine?
context: Come on. Bigger smile!\Kyon.\Take over as cameraman.\Mikuru-chan.\Let's make you a little sexier.\No! Wha-What are you...\- It's fine! It's fine!\How is this fine? response:	Well.
context: Kyon.\Take over as cameraman.\Mikuru-chan.\Let's make you a little sexier.\No! Wha-What are you...\- It's fine! It's fine!\How is this fine?\Well. response:	I shouldn't be talking when I'm the one pressing the shutter.
context: Take over as cameraman.\Mikuru-chan.\Let's make you a little sexier.\No! Wha-What are you...\- It's fine! It's fine!\How is this fine?\Well.\I shouldn't be talking when I'm the one pressing the shutter. response:	No!
context: Mikuru-chan.\Let's make you a little sexier.\No! Wha-What are you...\- It's fine! It's fine!\How is this fine?\Well.\I shouldn't be talking when I'm the one pressing the shutter.\No! response:	Yuki.
context: Let's make you a little sexier.\No! Wha-What are you...\- It's fine! It's fine!\How is this fine?\Well.\I shouldn't be talking when I'm the one pressing the shutter.\No!\Yuki. response:	Lend me your glasses.
context: No! Wha-What are you...\- It's fine! It's fine!\How is this fine?\Well.\I shouldn't be talking when I'm the one pressing the shutter.\No!\Yuki.\Lend me your glasses. response:	No!
context: - It's fine! It's fine!\How is this fine?\Well.\I shouldn't be talking when I'm the one pressing the shutter.\No!\Yuki.\Lend me your glasses.\No! response:	And glasses on.
context: How is this fine?\Well.\I shouldn't be talking when I'm the one pressing the shutter.\No!\Yuki.\Lend me your glasses.\No!\And glasses on. response:	But what are these pictures going to be used for?
context: Well.\I shouldn't be talking when I'm the one pressing the shutter.\No!\Yuki.\Lend me your glasses.\No!\And glasses on.\But what are these pictures going to be used for? response:	Perfect!
context: I shouldn't be talking when I'm the one pressing the shutter.\No!\Yuki.\Lend me your glasses.\No!\And glasses on.\But what are these pictures going to be used for?\Perfect! response:	A lolita with shapely breasts in a maid outfit wearing glasses!
context: No!\Yuki.\Lend me your glasses.\No!\And glasses on.\But what are these pictures going to be used for?\Perfect!\A lolita with shapely breasts in a maid outfit wearing glasses! response:	It's magnificent!
context: Yuki.\Lend me your glasses.\No!\And glasses on.\But what are these pictures going to be used for?\Perfect!\A lolita with shapely breasts in a maid outfit wearing glasses!\It's magnificent! response:	No!
context: Lend me your glasses.\No!\And glasses on.\But what are these pictures going to be used for?\Perfect!\A lolita with shapely breasts in a maid outfit wearing glasses!\It's magnificent!\No! response:	Mikuru-chan.
context: No!\And glasses on.\But what are these pictures going to be used for?\Perfect!\A lolita with shapely breasts in a maid outfit wearing glasses!\It's magnificent!\No!\Mikuru-chan. response:	From now on wear these clothes when in the clubroom.
context: And glasses on.\But what are these pictures going to be used for?\Perfect!\A lolita with shapely breasts in a maid outfit wearing glasses!\It's magnificent!\No!\Mikuru-chan.\From now on wear these clothes when in the clubroom. response:	You can't be serious...
context: But what are these pictures going to be used for?\Perfect!\A lolita with shapely breasts in a maid outfit wearing glasses!\It's magnificent!\No!\Mikuru-chan.\From now on wear these clothes when in the clubroom.\You can't be serious... response:	What is this?
context: Perfect!\A lolita with shapely breasts in a maid outfit wearing glasses!\It's magnificent!\No!\Mikuru-chan.\From now on wear these clothes when in the clubroom.\You can't be serious...\What is this? response:	Great timing.
context: A lolita with shapely breasts in a maid outfit wearing glasses!\It's magnificent!\No!\Mikuru-chan.\From now on wear these clothes when in the clubroom.\You can't be serious...\What is this?\Great timing. response:	Let's all have fun with Mikuru-chan!
context: It's magnificent!\No!\Mikuru-chan.\From now on wear these clothes when in the clubroom.\You can't be serious...\What is this?\Great timing.\Let's all have fun with Mikuru-chan! response:	- Cut it out already!
context: No!\Mikuru-chan.\From now on wear these clothes when in the clubroom.\You can't be serious...\What is this?\Great timing.\Let's all have fun with Mikuru-chan!\- Cut it out already! response:	I'll pass.
context: Mikuru-chan.\From now on wear these clothes when in the clubroom.\You can't be serious...\What is this?\Great timing.\Let's all have fun with Mikuru-chan!\- Cut it out already!\I'll pass. response:	I'm scared of what will happen afterwards.
context: From now on wear these clothes when in the clubroom.\You can't be serious...\What is this?\Great timing.\Let's all have fun with Mikuru-chan!\- Cut it out already!\I'll pass.\I'm scared of what will happen afterwards. response:	Don't mind me.
context: You can't be serious...\What is this?\Great timing.\Let's all have fun with Mikuru-chan!\- Cut it out already!\I'll pass.\I'm scared of what will happen afterwards.\Don't mind me. response:	Please continue.
context: What is this?\Great timing.\Let's all have fun with Mikuru-chan!\- Cut it out already!\I'll pass.\I'm scared of what will happen afterwards.\Don't mind me.\Please continue. response:	More like come help stop her!
context: Great timing.\Let's all have fun with Mikuru-chan!\- Cut it out already!\I'll pass.\I'm scared of what will happen afterwards.\Don't mind me.\Please continue.\More like come help stop her! response:	That's enough, isn't it?
context: Let's all have fun with Mikuru-chan!\- Cut it out already!\I'll pass.\I'm scared of what will happen afterwards.\Don't mind me.\Please continue.\More like come help stop her!\That's enough, isn't it? response:	Any more of this and you'll be stepping on laws.
context: - Cut it out already!\I'll pass.\I'm scared of what will happen afterwards.\Don't mind me.\Please continue.\More like come help stop her!\That's enough, isn't it?\Any more of this and you'll be stepping on laws. response:	What laws!?
context: I'll pass.\I'm scared of what will happen afterwards.\Don't mind me.\Please continue.\More like come help stop her!\That's enough, isn't it?\Any more of this and you'll be stepping on laws.\What laws!? response:	Oh, well.
context: I'm scared of what will happen afterwards.\Don't mind me.\Please continue.\More like come help stop her!\That's enough, isn't it?\Any more of this and you'll be stepping on laws.\What laws!?\Oh, well. response:	We already took a bunch of pictures.
context: Don't mind me.\Please continue.\More like come help stop her!\That's enough, isn't it?\Any more of this and you'll be stepping on laws.\What laws!?\Oh, well.\We already took a bunch of pictures. response:	Now!
context: Please continue.\More like come help stop her!\That's enough, isn't it?\Any more of this and you'll be stepping on laws.\What laws!?\Oh, well.\We already took a bunch of pictures.\Now! response:	Let's commence the first SOS Brigade meeting!
context: More like come help stop her!\That's enough, isn't it?\Any more of this and you'll be stepping on laws.\What laws!?\Oh, well.\We already took a bunch of pictures.\Now!\Let's commence the first SOS Brigade meeting! response:	We've done a lot to make it this far.
context: That's enough, isn't it?\Any more of this and you'll be stepping on laws.\What laws!?\Oh, well.\We already took a bunch of pictures.\Now!\Let's commence the first SOS Brigade meeting!\We've done a lot to make it this far. response:	We passed out flyers...
context: Any more of this and you'll be stepping on laws.\What laws!?\Oh, well.\We already took a bunch of pictures.\Now!\Let's commence the first SOS Brigade meeting!\We've done a lot to make it this far.\We passed out flyers... response:	The celebrity of the SOS Brigade in this school has skyrocketed.
context: What laws!?\Oh, well.\We already took a bunch of pictures.\Now!\Let's commence the first SOS Brigade meeting!\We've done a lot to make it this far.\We passed out flyers...\The celebrity of the SOS Brigade in this school has skyrocketed. response:	The first stage can be considered a huge success!
context: Oh, well.\We already took a bunch of pictures.\Now!\Let's commence the first SOS Brigade meeting!\We've done a lot to make it this far.\We passed out flyers...\The celebrity of the SOS Brigade in this school has skyrocketed.\The first stage can be considered a huge success! response:	How can you call emotionally scarring Asahina-san a huge success?
context: We already took a bunch of pictures.\Now!\Let's commence the first SOS Brigade meeting!\We've done a lot to make it this far.\We passed out flyers...\The celebrity of the SOS Brigade in this school has skyrocketed.\The first stage can be considered a huge success!\How can you call emotionally scarring Asahina-san a huge success? response:	However...
context: Now!\Let's commence the first SOS Brigade meeting!\We've done a lot to make it this far.\We passed out flyers...\The celebrity of the SOS Brigade in this school has skyrocketed.\The first stage can be considered a huge success!\How can you call emotionally scarring Asahina-san a huge success?\However... response:	That's because nobody has a clue as to what this club does yet.
context: Let's commence the first SOS Brigade meeting!\We've done a lot to make it this far.\We passed out flyers...\The celebrity of the SOS Brigade in this school has skyrocketed.\The first stage can be considered a huge success!\How can you call emotionally scarring Asahina-san a huge success?\However...\That's because nobody has a clue as to what this club does yet. response:	We didn't even find out until yesterday.
context: We've done a lot to make it this far.\We passed out flyers...\The celebrity of the SOS Brigade in this school has skyrocketed.\The first stage can be considered a huge success!\How can you call emotionally scarring Asahina-san a huge success?\However...\That's because nobody has a clue as to what this club does yet.\We didn't even find out until yesterday. response:	Someone once said...
context: We passed out flyers...\The celebrity of the SOS Brigade in this school has skyrocketed.\The first stage can be considered a huge success!\How can you call emotionally scarring Asahina-san a huge success?\However...\That's because nobody has a clue as to what this club does yet.\We didn't even find out until yesterday.\Someone once said... response:	Good things come to those who wait.
context: The celebrity of the SOS Brigade in this school has skyrocketed.\The first stage can be considered a huge success!\How can you call emotionally scarring Asahina-san a huge success?\However...\That's because nobody has a clue as to what this club does yet.\We didn't even find out until yesterday.\Someone once said...\Good things come to those who wait. response:	However, we live in the modern world now!
context: The first stage can be considered a huge success!\How can you call emotionally scarring Asahina-san a huge success?\However...\That's because nobody has a clue as to what this club does yet.\We didn't even find out until yesterday.\Someone once said...\Good things come to those who wait.\However, we live in the modern world now! response:	You have to find the good for yourself...
context: How can you call emotionally scarring Asahina-san a huge success?\However...\That's because nobody has a clue as to what this club does yet.\We didn't even find out until yesterday.\Someone once said...\Good things come to those who wait.\However, we live in the modern world now!\You have to find the good for yourself... response:	That's why we're going to go search!
context: However...\That's because nobody has a clue as to what this club does yet.\We didn't even find out until yesterday.\Someone once said...\Good things come to those who wait.\However, we live in the modern world now!\You have to find the good for yourself...\That's why we're going to go search! response:	For what?
context: That's because nobody has a clue as to what this club does yet.\We didn't even find out until yesterday.\Someone once said...\Good things come to those who wait.\However, we live in the modern world now!\You have to find the good for yourself...\That's why we're going to go search!\For what? response:	The mysteries of this world!
context: We didn't even find out until yesterday.\Someone once said...\Good things come to those who wait.\However, we live in the modern world now!\You have to find the good for yourself...\That's why we're going to go search!\For what?\The mysteries of this world! response:	And so, seeking mysterious phenomena...
context: Someone once said...\Good things come to those who wait.\However, we live in the modern world now!\You have to find the good for yourself...\That's why we're going to go search!\For what?\The mysteries of this world!\And so, seeking mysterious phenomena... response:	Bicycles/ Motorcycles
context: Good things come to those who wait.\However, we live in the modern world now!\You have to find the good for yourself...\That's why we're going to go search!\For what?\The mysteries of this world!\And so, seeking mysterious phenomena...\Bicycles/ Motorcycles response:	No Parking
context: However, we live in the modern world now!\You have to find the good for yourself...\That's why we're going to go search!\For what?\The mysteries of this world!\And so, seeking mysterious phenomena...\Bicycles/ Motorcycles\No Parking response:	Bicycles/ Motor cycles
context: You have to find the good for yourself...\That's why we're going to go search!\For what?\The mysteries of this world!\And so, seeking mysterious phenomena...\Bicycles/ Motorcycles\No Parking\Bicycles/ Motor cycles response:	Bicycles/ Motorcycles
context: That's why we're going to go search!\For what?\The mysteries of this world!\And so, seeking mysterious phenomena...\Bicycles/ Motorcycles\No Parking\Bicycles/ Motor cycles\Bicycles/ Motorcycles response:	No Pa rking
context: For what?\The mysteries of this world!\And so, seeking mysterious phenomena...\Bicycles/ Motorcycles\No Parking\Bicycles/ Motor cycles\Bicycles/ Motorcycles\No Pa rking response:	No Parking
context: The mysteries of this world!\And so, seeking mysterious phenomena...\Bicycles/ Motorcycles\No Parking\Bicycles/ Motor cycles\Bicycles/ Motorcycles\No Pa rking\No Parking response:	Next Saturday.
context: And so, seeking mysterious phenomena...\Bicycles/ Motorcycles\No Parking\Bicycles/ Motor cycles\Bicycles/ Motorcycles\No Pa rking\No Parking\Next Saturday. response:	Meet at 9 AM in front of Kitaguchi station.
context: Bicycles/ Motorcycles\No Parking\Bicycles/ Motor cycles\Bicycles/ Motorcycles\No Pa rking\No Parking\Next Saturday.\Meet at 9 AM in front of Kitaguchi station. response:	If you don't show, heads will roll.
context: No Parking\Bicycles/ Motor cycles\Bicycles/ Motorcycles\No Pa rking\No Parking\Next Saturday.\Meet at 9 AM in front of Kitaguchi station.\If you don't show, heads will roll. response:	Heads roll, huh.
context: Bicycles/ Motor cycles\Bicycles/ Motorcycles\No Pa rking\No Parking\Next Saturday.\Meet at 9 AM in front of Kitaguchi station.\If you don't show, heads will roll.\Heads roll, huh. response:	I really don't want to waste my day off.
context: Bicycles/ Motorcycles\No Pa rking\No Parking\Next Saturday.\Meet at 9 AM in front of Kitaguchi station.\If you don't show, heads will roll.\Heads roll, huh.\I really don't want to waste my day off. response:	Late!
context: No Pa rking\No Parking\Next Saturday.\Meet at 9 AM in front of Kitaguchi station.\If you don't show, heads will roll.\Heads roll, huh.\I really don't want to waste my day off.\Late! response:	Penalty!
context: No Parking\Next Saturday.\Meet at 9 AM in front of Kitaguchi station.\If you don't show, heads will roll.\Heads roll, huh.\I really don't want to waste my day off.\Late!\Penalty! response:	This was Haruhi's plan.
context: Next Saturday.\Meet at 9 AM in front of Kitaguchi station.\If you don't show, heads will roll.\Heads roll, huh.\I really don't want to waste my day off.\Late!\Penalty!\This was Haruhi's plan. response:	Split into two groups and search the city...
context: Meet at 9 AM in front of Kitaguchi station.\If you don't show, heads will roll.\Heads roll, huh.\I really don't want to waste my day off.\Late!\Penalty!\This was Haruhi's plan.\Split into two groups and search the city... response:	If one group finds any mysterious phenomena, contact the other group through cell phone.
context: If you don't show, heads will roll.\Heads roll, huh.\I really don't want to waste my day off.\Late!\Penalty!\This was Haruhi's plan.\Split into two groups and search the city...\If one group finds any mysterious phenomena, contact the other group through cell phone. response:	That is all.
context: Heads roll, huh.\I really don't want to waste my day off.\Late!\Penalty!\This was Haruhi's plan.\Split into two groups and search the city...\If one group finds any mysterious phenomena, contact the other group through cell phone.\That is all. response:	So these are the groups...
context: I really don't want to waste my day off.\Late!\Penalty!\This was Haruhi's plan.\Split into two groups and search the city...\If one group finds any mysterious phenomena, contact the other group through cell phone.\That is all.\So these are the groups... response:	Today might be my lucky day.
context: Late!\Penalty!\This was Haruhi's plan.\Split into two groups and search the city...\If one group finds any mysterious phenomena, contact the other group through cell phone.\That is all.\So these are the groups...\Today might be my lucky day. response:	If I get to go on a date with Asahina-san...
