context: Say, Nana Komatsu. Remember close to our high school graduation, response:	we stood beside each other and looked onto the school grounds
context: If you want to hit someone, hit me!\H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat! response:	He's your man, isn't he? Fight to get him back!
context: H-Hey!\I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back! response:	I don't want him.
context: I was the one who had a crush on him!\I knew he had a girlfriend, and still I could not stop myself!\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him. response:	I don't even wanna see his face.
context: I knew he had a girlfriend, and still I could not stop myself!\Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face. response:	Is that so. So that's what happened.
context: Hachiko!\Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\Is that so. So that's what happened. response:	That's right.
context: Why are you just standing there?! This is your fight!\You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\Is that so. So that's what happened.\That's right. response:	Hey, speaking of the cheating fellow.
context: You do something!\If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\Is that so. So that's what happened.\That's right.\Hey, speaking of the cheating fellow. response:	He's getting closer.
context: If you don't fight, you've accepted defeat!\He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\Is that so. So that's what happened.\That's right.\Hey, speaking of the cheating fellow.\He's getting closer. response:	Oh, he's leaving.
context: He's your man, isn't he? Fight to get him back!\I don't want him.\I don't even wanna see his face.\Is that so. So that's what happened.\That's right.\Hey, speaking of the cheating fellow.\He's getting closer.\Oh, he's leaving. response:	You fool. It's because you tease him too much.
context: I don't want him.\I don't even wanna see his face.\Is that so. So that's what happened.\That's right.\Hey, speaking of the cheating fellow.\He's getting closer.\Oh, he's leaving.\You fool. It's because you tease him too much. response:	Hey, Shoji. Come over here. Let's drink together.
context: I don't even wanna see his face.\Is that so. So that's what happened.\That's right.\Hey, speaking of the cheating fellow.\He's getting closer.\Oh, he's leaving.\You fool. It's because you tease him too much.\Hey, Shoji. Come over here. Let's drink together. response:	I'm home.
context: Is that so. So that's what happened.\That's right.\Hey, speaking of the cheating fellow.\He's getting closer.\Oh, he's leaving.\You fool. It's because you tease him too much.\Hey, Shoji. Come over here. Let's drink together.\I'm home. response:	Hachiko!
context: That's right.\Hey, speaking of the cheating fellow.\He's getting closer.\Oh, he's leaving.\You fool. It's because you tease him too much.\Hey, Shoji. Come over here. Let's drink together.\I'm home.\Hachiko! response:	A live show! A live show!
context: Hey, speaking of the cheating fellow.\He's getting closer.\Oh, he's leaving.\You fool. It's because you tease him too much.\Hey, Shoji. Come over here. Let's drink together.\I'm home.\Hachiko!\A live show! A live show! response:	They had an opening in an upcoming event at Shimokita,
context: He's getting closer.\Oh, he's leaving.\You fool. It's because you tease him too much.\Hey, Shoji. Come over here. Let's drink together.\I'm home.\Hachiko!\A live show! A live show!\They had an opening in an upcoming event at Shimokita, response:	and they're letting us fill that spot and play.
context: Oh, he's leaving.\You fool. It's because you tease him too much.\Hey, Shoji. Come over here. Let's drink together.\I'm home.\Hachiko!\A live show! A live show!\They had an opening in an upcoming event at Shimokita,\and they're letting us fill that spot and play. response:	Huh?
context: You fool. It's because you tease him too much.\Hey, Shoji. Come over here. Let's drink together.\I'm home.\Hachiko!\A live show! A live show!\They had an opening in an upcoming event at Shimokita,\and they're letting us fill that spot and play.\Huh? response:	It's for thirty minutes on May 5th!
context: Hey, Shoji. Come over here. Let's drink together.\I'm home.\Hachiko!\A live show! A live show!\They had an opening in an upcoming event at Shimokita,\and they're letting us fill that spot and play.\Huh?\It's for thirty minutes on May 5th! response:	Yay!
context: I'm home.\Hachiko!\A live show! A live show!\They had an opening in an upcoming event at Shimokita,\and they're letting us fill that spot and play.\Huh?\It's for thirty minutes on May 5th!\Yay! response:	Don't cry, Hachiko! We're gonna party today!
context: Hachiko!\A live show! A live show!\They had an opening in an upcoming event at Shimokita,\and they're letting us fill that spot and play.\Huh?\It's for thirty minutes on May 5th!\Yay!\Don't cry, Hachiko! We're gonna party today! response:	Thank you.
context: A live show! A live show!\They had an opening in an upcoming event at Shimokita,\and they're letting us fill that spot and play.\Huh?\It's for thirty minutes on May 5th!\Yay!\Don't cry, Hachiko! We're gonna party today!\Thank you. response:	I see. And has Nana been able to recover from her problems?
context: They had an opening in an upcoming event at Shimokita,\and they're letting us fill that spot and play.\Huh?\It's for thirty minutes on May 5th!\Yay!\Don't cry, Hachiko! We're gonna party today!\Thank you.\I see. And has Nana been able to recover from her problems? response:	Well, yeah, I guess you could say she recovered, but...
context: and they're letting us fill that spot and play.\Huh?\It's for thirty minutes on May 5th!\Yay!\Don't cry, Hachiko! We're gonna party today!\Thank you.\I see. And has Nana been able to recover from her problems?\Well, yeah, I guess you could say she recovered, but... response:	Huh? Then she's back to feeling depressed again?
context: Huh?\It's for thirty minutes on May 5th!\Yay!\Don't cry, Hachiko! We're gonna party today!\Thank you.\I see. And has Nana been able to recover from her problems?\Well, yeah, I guess you could say she recovered, but...\Huh? Then she's back to feeling depressed again? response:	Oh, no worry of that.
context: It's for thirty minutes on May 5th!\Yay!\Don't cry, Hachiko! We're gonna party today!\Thank you.\I see. And has Nana been able to recover from her problems?\Well, yeah, I guess you could say she recovered, but...\Huh? Then she's back to feeling depressed again?\Oh, no worry of that. response:	She's had many things going on, one after another.
context: Yay!\Don't cry, Hachiko! We're gonna party today!\Thank you.\I see. And has Nana been able to recover from her problems?\Well, yeah, I guess you could say she recovered, but...\Huh? Then she's back to feeling depressed again?\Oh, no worry of that.\She's had many things going on, one after another. response:	And did I mention many things?
context: Don't cry, Hachiko! We're gonna party today!\Thank you.\I see. And has Nana been able to recover from her problems?\Well, yeah, I guess you could say she recovered, but...\Huh? Then she's back to feeling depressed again?\Oh, no worry of that.\She's had many things going on, one after another.\And did I mention many things? response:	Hm?
context: Thank you.\I see. And has Nana been able to recover from her problems?\Well, yeah, I guess you could say she recovered, but...\Huh? Then she's back to feeling depressed again?\Oh, no worry of that.\She's had many things going on, one after another.\And did I mention many things?\Hm? response:	Let him tell you the story, Koichi Sato.
context: I see. And has Nana been able to recover from her problems?\Well, yeah, I guess you could say she recovered, but...\Huh? Then she's back to feeling depressed again?\Oh, no worry of that.\She's had many things going on, one after another.\And did I mention many things?\Hm?\Let him tell you the story, Koichi Sato. response:	Being able to have dinner with the BLAST band members,
context: Well, yeah, I guess you could say she recovered, but...\Huh? Then she's back to feeling depressed again?\Oh, no worry of that.\She's had many things going on, one after another.\And did I mention many things?\Hm?\Let him tell you the story, Koichi Sato.\Being able to have dinner with the BLAST band members, response:	and the chance to talk with Nana... I'm so happy I could die.
context: Huh? Then she's back to feeling depressed again?\Oh, no worry of that.\She's had many things going on, one after another.\And did I mention many things?\Hm?\Let him tell you the story, Koichi Sato.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... I'm so happy I could die. response:	It's like I'm still in some dream.
context: Oh, no worry of that.\She's had many things going on, one after another.\And did I mention many things?\Hm?\Let him tell you the story, Koichi Sato.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... I'm so happy I could die.\It's like I'm still in some dream. response:	You're exaggerating.
context: She's had many things going on, one after another.\And did I mention many things?\Hm?\Let him tell you the story, Koichi Sato.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... I'm so happy I could die.\It's like I'm still in some dream.\You're exaggerating. response:	No, really. I've been a BLAST fan since the very beginning,
context: And did I mention many things?\Hm?\Let him tell you the story, Koichi Sato.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... I'm so happy I could die.\It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning, response:	but nothing like this has ever happened.
context: Hm?\Let him tell you the story, Koichi Sato.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... I'm so happy I could die.\It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened. response:	It really is like a dream to me.
context: Let him tell you the story, Koichi Sato.\Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... I'm so happy I could die.\It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me. response:	I see. When you say since the very beginning, when was that?
context: Being able to have dinner with the BLAST band members,\and the chance to talk with Nana... I'm so happy I could die.\It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that? response:	It was with the first set of members, back when Ren was in the band.
context: and the chance to talk with Nana... I'm so happy I could die.\It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band. response:	So, almost four years ago?
context: It's like I'm still in some dream.\You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago? response:	It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,
context: You're exaggerating.\No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\It was a shock when Ren left BLAST, but don't you think Shin, the new bassist, response:	plays just like Ren does?
context: No, really. I've been a BLAST fan since the very beginning,\but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,\plays just like Ren does? response:	So at the live concert it was like a revival of the BLAST of old times.
context: but nothing like this has ever happened.\It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,\plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times. response:	I was really thrilled.
context: It really is like a dream to me.\I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,\plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled. response:	Name a guitarist you respect.
context: I see. When you say since the very beginning, when was that?\It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,\plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect. response:	Ren Honjo!
context: It was with the first set of members, back when Ren was in the band.\So, almost four years ago?\It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,\plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo! response:	That's the flower of the lotus, isn't it? Why did you choose the lotus?
context: So, almost four years ago?\It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,\plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\That's the flower of the lotus, isn't it? Why did you choose the lotus? response:	Actually, it's the ren.
context: It was a shock when Ren left BLAST, but don't you think Shin, the new bassist,\plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren. response:	No way.
context: plays just like Ren does?\So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\No way. response:	Still that's no reason to come to my place.
context: So at the live concert it was like a revival of the BLAST of old times.\I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\No way.\Still that's no reason to come to my place. response:	Please tell me, Nobu. You know a lot about this, don't you?
context: I was really thrilled.\Name a guitarist you respect.\Ren Honjo!\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\No way.\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you? response:	Ren was BLAST's bassist.
context: Name a guitarist you respect.\Ren Honjo!\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\No way.\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\Ren was BLAST's bassist. response:	He and Nana were lovers and they lived together,
context: Ren Honjo!\That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\No way.\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\Ren was BLAST's bassist.\He and Nana were lovers and they lived together, response:	but two years ago he was offered the chance
context: That's the flower of the lotus, isn't it? Why did you choose the lotus?\Actually, it's the ren.\No way.\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\Ren was BLAST's bassist.\He and Nana were lovers and they lived together,\but two years ago he was offered the chance response:	to become Trapnest's guitarist.
context: Actually, it's the ren.\No way.\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\Ren was BLAST's bassist.\He and Nana were lovers and they lived together,\but two years ago he was offered the chance\to become Trapnest's guitarist. response:	He came to Tokyo alone, and no one's heard from him since.
context: No way.\Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\Ren was BLAST's bassist.\He and Nana were lovers and they lived together,\but two years ago he was offered the chance\to become Trapnest's guitarist.\He came to Tokyo alone, and no one's heard from him since. response:	So I told him everything.
context: Still that's no reason to come to my place.\Please tell me, Nobu. You know a lot about this, don't you?\Ren was BLAST's bassist.\He and Nana were lovers and they lived together,\but two years ago he was offered the chance\to become Trapnest's guitarist.\He came to Tokyo alone, and no one's heard from him since.\So I told him everything. response:	Wait! No one's heard from him since? Then what about him and Nana?
context: Please tell me, Nobu. You know a lot about this, don't you?\Ren was BLAST's bassist.\He and Nana were lovers and they lived together,\but two years ago he was offered the chance\to become Trapnest's guitarist.\He came to Tokyo alone, and no one's heard from him since.\So I told him everything.\Wait! No one's heard from him since? Then what about him and Nana? response:	They had a tearful breakup, right?
context: Ren was BLAST's bassist.\He and Nana were lovers and they lived together,\but two years ago he was offered the chance\to become Trapnest's guitarist.\He came to Tokyo alone, and no one's heard from him since.\So I told him everything.\Wait! No one's heard from him since? Then what about him and Nana?\They had a tearful breakup, right? response:	That's right. And there's nothing left for me to tell you.
context: He and Nana were lovers and they lived together,\but two years ago he was offered the chance\to become Trapnest's guitarist.\He came to Tokyo alone, and no one's heard from him since.\So I told him everything.\Wait! No one's heard from him since? Then what about him and Nana?\They had a tearful breakup, right?\That's right. And there's nothing left for me to tell you. response:	I don't hate Ren and I don't wanna badmouth him,
context: but two years ago he was offered the chance\to become Trapnest's guitarist.\He came to Tokyo alone, and no one's heard from him since.\So I told him everything.\Wait! No one's heard from him since? Then what about him and Nana?\They had a tearful breakup, right?\That's right. And there's nothing left for me to tell you.\I don't hate Ren and I don't wanna badmouth him, response:	but Ren decided to leave BLAST and join Trapnest
context: to become Trapnest's guitarist.\He came to Tokyo alone, and no one's heard from him since.\So I told him everything.\Wait! No one's heard from him since? Then what about him and Nana?\They had a tearful breakup, right?\That's right. And there's nothing left for me to tell you.\I don't hate Ren and I don't wanna badmouth him,\but Ren decided to leave BLAST and join Trapnest response:	without talking it over with Nana or myself.
context: He came to Tokyo alone, and no one's heard from him since.\So I told him everything.\Wait! No one's heard from him since? Then what about him and Nana?\They had a tearful breakup, right?\That's right. And there's nothing left for me to tell you.\I don't hate Ren and I don't wanna badmouth him,\but Ren decided to leave BLAST and join Trapnest\without talking it over with Nana or myself. response:	Only Yasu knew about it.
context: So I told him everything.\Wait! No one's heard from him since? Then what about him and Nana?\They had a tearful breakup, right?\That's right. And there's nothing left for me to tell you.\I don't hate Ren and I don't wanna badmouth him,\but Ren decided to leave BLAST and join Trapnest\without talking it over with Nana or myself.\Only Yasu knew about it. response:	So at that time, I really felt betrayed, and it was a great shock.
context: Wait! No one's heard from him since? Then what about him and Nana?\They had a tearful breakup, right?\That's right. And there's nothing left for me to tell you.\I don't hate Ren and I don't wanna badmouth him,\but Ren decided to leave BLAST and join Trapnest\without talking it over with Nana or myself.\Only Yasu knew about it.\So at that time, I really felt betrayed, and it was a great shock. response:	As a fellow musician, my pride was shot down
context: They had a tearful breakup, right?\That's right. And there's nothing left for me to tell you.\I don't hate Ren and I don't wanna badmouth him,\but Ren decided to leave BLAST and join Trapnest\without talking it over with Nana or myself.\Only Yasu knew about it.\So at that time, I really felt betrayed, and it was a great shock.\As a fellow musician, my pride was shot down response:	and I couldn't shake off this feeling of utter defeat.
context: That's right. And there's nothing left for me to tell you.\I don't hate Ren and I don't wanna badmouth him,\but Ren decided to leave BLAST and join Trapnest\without talking it over with Nana or myself.\Only Yasu knew about it.\So at that time, I really felt betrayed, and it was a great shock.\As a fellow musician, my pride was shot down\and I couldn't shake off this feeling of utter defeat. response:	But both Nana and I acknowledged Ren's talents and we respected that.
context: I don't hate Ren and I don't wanna badmouth him,\but Ren decided to leave BLAST and join Trapnest\without talking it over with Nana or myself.\Only Yasu knew about it.\So at that time, I really felt betrayed, and it was a great shock.\As a fellow musician, my pride was shot down\and I couldn't shake off this feeling of utter defeat.\But both Nana and I acknowledged Ren's talents and we respected that. response:	We could predict that this would be better for Ren's sake,
context: but Ren decided to leave BLAST and join Trapnest\without talking it over with Nana or myself.\Only Yasu knew about it.\So at that time, I really felt betrayed, and it was a great shock.\As a fellow musician, my pride was shot down\and I couldn't shake off this feeling of utter defeat.\But both Nana and I acknowledged Ren's talents and we respected that.\We could predict that this would be better for Ren's sake, response:	and of course, that proved to be true.
context: without talking it over with Nana or myself.\Only Yasu knew about it.\So at that time, I really felt betrayed, and it was a great shock.\As a fellow musician, my pride was shot down\and I couldn't shake off this feeling of utter defeat.\But both Nana and I acknowledged Ren's talents and we respected that.\We could predict that this would be better for Ren's sake,\and of course, that proved to be true. response:	I believe this was the best outcome.
context: Only Yasu knew about it.\So at that time, I really felt betrayed, and it was a great shock.\As a fellow musician, my pride was shot down\and I couldn't shake off this feeling of utter defeat.\But both Nana and I acknowledged Ren's talents and we respected that.\We could predict that this would be better for Ren's sake,\and of course, that proved to be true.\I believe this was the best outcome. response:	But Nana,.,
context: So at that time, I really felt betrayed, and it was a great shock.\As a fellow musician, my pride was shot down\and I couldn't shake off this feeling of utter defeat.\But both Nana and I acknowledged Ren's talents and we respected that.\We could predict that this would be better for Ren's sake,\and of course, that proved to be true.\I believe this was the best outcome.\But Nana,., response:	Back then, she could've gone with him if she desired.
context: As a fellow musician, my pride was shot down\and I couldn't shake off this feeling of utter defeat.\But both Nana and I acknowledged Ren's talents and we respected that.\We could predict that this would be better for Ren's sake,\and of course, that proved to be true.\I believe this was the best outcome.\But Nana,.,\Back then, she could've gone with him if she desired. response:	But rather than choose happiness as a woman,
context: and I couldn't shake off this feeling of utter defeat.\But both Nana and I acknowledged Ren's talents and we respected that.\We could predict that this would be better for Ren's sake,\and of course, that proved to be true.\I believe this was the best outcome.\But Nana,.,\Back then, she could've gone with him if she desired.\But rather than choose happiness as a woman, response:	she chose to protect her pride.
context: But both Nana and I acknowledged Ren's talents and we respected that.\We could predict that this would be better for Ren's sake,\and of course, that proved to be true.\I believe this was the best outcome.\But Nana,.,\Back then, she could've gone with him if she desired.\But rather than choose happiness as a woman,\she chose to protect her pride. response:	I think that's the reason why she's so insistent on
context: We could predict that this would be better for Ren's sake,\and of course, that proved to be true.\I believe this was the best outcome.\But Nana,.,\Back then, she could've gone with him if she desired.\But rather than choose happiness as a woman,\she chose to protect her pride.\I think that's the reason why she's so insistent on response:	succeeding as a musician, no matter what.
context: and of course, that proved to be true.\I believe this was the best outcome.\But Nana,.,\Back then, she could've gone with him if she desired.\But rather than choose happiness as a woman,\she chose to protect her pride.\I think that's the reason why she's so insistent on\succeeding as a musician, no matter what. response:	She has her heart set on someday
context: I believe this was the best outcome.\But Nana,.,\Back then, she could've gone with him if she desired.\But rather than choose happiness as a woman,\she chose to protect her pride.\I think that's the reason why she's so insistent on\succeeding as a musician, no matter what.\She has her heart set on someday response:	reaching the level of success Ren,., Trapnest is enjoying.
context: But Nana,.,\Back then, she could've gone with him if she desired.\But rather than choose happiness as a woman,\she chose to protect her pride.\I think that's the reason why she's so insistent on\succeeding as a musician, no matter what.\She has her heart set on someday\reaching the level of success Ren,., Trapnest is enjoying. response:	From time to time, it pains me to see that about her.
context: Back then, she could've gone with him if she desired.\But rather than choose happiness as a woman,\she chose to protect her pride.\I think that's the reason why she's so insistent on\succeeding as a musician, no matter what.\She has her heart set on someday\reaching the level of success Ren,., Trapnest is enjoying.\From time to time, it pains me to see that about her. response:	Do you still love Ren?
context: But rather than choose happiness as a woman,\she chose to protect her pride.\I think that's the reason why she's so insistent on\succeeding as a musician, no matter what.\She has her heart set on someday\reaching the level of success Ren,., Trapnest is enjoying.\From time to time, it pains me to see that about her.\Do you still love Ren? response:	You knew.
context: she chose to protect her pride.\I think that's the reason why she's so insistent on\succeeding as a musician, no matter what.\She has her heart set on someday\reaching the level of success Ren,., Trapnest is enjoying.\From time to time, it pains me to see that about her.\Do you still love Ren?\You knew. response:	I'm sorry. Acting as if I didn't know. But,.,
context: I think that's the reason why she's so insistent on\succeeding as a musician, no matter what.\She has her heart set on someday\reaching the level of success Ren,., Trapnest is enjoying.\From time to time, it pains me to see that about her.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But,., response:	You brought me here knowing, right?
context: succeeding as a musician, no matter what.\She has her heart set on someday\reaching the level of success Ren,., Trapnest is enjoying.\From time to time, it pains me to see that about her.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But,.,\You brought me here knowing, right? response:	Thank you.
context: She has her heart set on someday\reaching the level of success Ren,., Trapnest is enjoying.\From time to time, it pains me to see that about her.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But,.,\You brought me here knowing, right?\Thank you. response:	Ren...
context: reaching the level of success Ren,., Trapnest is enjoying.\From time to time, it pains me to see that about her.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But,.,\You brought me here knowing, right?\Thank you.\Ren... response:	Hm?
context: From time to time, it pains me to see that about her.\Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But,.,\You brought me here knowing, right?\Thank you.\Ren...\Hm? response:	That thing you said earlier. Is it true?
context: Do you still love Ren?\You knew.\I'm sorry. Acting as if I didn't know. But,.,\You brought me here knowing, right?\Thank you.\Ren...\Hm?\That thing you said earlier. Is it true? response:	Which one?
context: You knew.\I'm sorry. Acting as if I didn't know. But,.,\You brought me here knowing, right?\Thank you.\Ren...\Hm?\That thing you said earlier. Is it true?\Which one? response:	Right now, I'm not about to give up my pride
context: I'm sorry. Acting as if I didn't know. But,.,\You brought me here knowing, right?\Thank you.\Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride response:	so I can't live with you like we used to.
context: You brought me here knowing, right?\Thank you.\Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to. response:	But it would be nice if we could maybe meet like this from time to time.
context: Thank you.\Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time. response:	Hold each other and talk about each other.
context: Ren...\Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other. response:	And one day when we're much older, when I no longer care about
context: Hm?\That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older, when I no longer care about response:	pride and vanity, when I've grown tired of singing...
context: That thing you said earlier. Is it true?\Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older, when I no longer care about\pride and vanity, when I've grown tired of singing... response:	Then can I return to that home too?
context: Which one?\Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older, when I no longer care about\pride and vanity, when I've grown tired of singing...\Then can I return to that home too? response:	So that's pretty much what happened. Huh? Where'd Koichi Sato go?
context: Right now, I'm not about to give up my pride\so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older, when I no longer care about\pride and vanity, when I've grown tired of singing...\Then can I return to that home too?\So that's pretty much what happened. Huh? Where'd Koichi Sato go? response:	He went home a moment ago.
context: so I can't live with you like we used to.\But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older, when I no longer care about\pride and vanity, when I've grown tired of singing...\Then can I return to that home too?\So that's pretty much what happened. Huh? Where'd Koichi Sato go?\He went home a moment ago. response:	Did he pay?
context: But it would be nice if we could maybe meet like this from time to time.\Hold each other and talk about each other.\And one day when we're much older, when I no longer care about\pride and vanity, when I've grown tired of singing...\Then can I return to that home too?\So that's pretty much what happened. Huh? Where'd Koichi Sato go?\He went home a moment ago.\Did he pay? response:	There. He left a Jackson Burger for you.
context: Hold each other and talk about each other.\And one day when we're much older, when I no longer care about\pride and vanity, when I've grown tired of singing...\Then can I return to that home too?\So that's pretty much what happened. Huh? Where'd Koichi Sato go?\He went home a moment ago.\Did he pay?\There. He left a Jackson Burger for you. response:	Barter trade?! But I love his Jackson Burgers!
context: And one day when we're much older, when I no longer care about\pride and vanity, when I've grown tired of singing...\Then can I return to that home too?\So that's pretty much what happened. Huh? Where'd Koichi Sato go?\He went home a moment ago.\Did he pay?\There. He left a Jackson Burger for you.\Barter trade?! But I love his Jackson Burgers! response:	Though that one's already cold.
context: pride and vanity, when I've grown tired of singing...\Then can I return to that home too?\So that's pretty much what happened. Huh? Where'd Koichi Sato go?\He went home a moment ago.\Did he pay?\There. He left a Jackson Burger for you.\Barter trade?! But I love his Jackson Burgers!\Though that one's already cold. response:	What is Ms. Sakagami, age 38, doing here?
context: Then can I return to that home too?\So that's pretty much what happened. Huh? Where'd Koichi Sato go?\He went home a moment ago.\Did he pay?\There. He left a Jackson Burger for you.\Barter trade?! But I love his Jackson Burgers!\Though that one's already cold.\What is Ms. Sakagami, age 38, doing here? response:	Because of her serious fans...
context: So that's pretty much what happened. Huh? Where'd Koichi Sato go?\He went home a moment ago.\Did he pay?\There. He left a Jackson Burger for you.\Barter trade?! But I love his Jackson Burgers!\Though that one's already cold.\What is Ms. Sakagami, age 38, doing here?\Because of her serious fans... response:	who don't exist.
context: He went home a moment ago.\Did he pay?\There. He left a Jackson Burger for you.\Barter trade?! But I love his Jackson Burgers!\Though that one's already cold.\What is Ms. Sakagami, age 38, doing here?\Because of her serious fans...\who don't exist. response:	No they don't.
