context: The Forest of Giant Trees The 57th expedition beyond the walls (2) response:	Signs
context: Armin!\Reiner?\Can you stand?\Or rather, don't forget you can't survive without a horse out here!\Hurry!\Okay!\I saw the signal for an abnormal.\Is that it, with the nice ass? response:	It's not an abnormal. It's a human in a Titan's body.
context: Reiner?\Can you stand?\Or rather, don't forget you can't survive without a horse out here!\Hurry!\Okay!\I saw the signal for an abnormal.\Is that it, with the nice ass?\It's not an abnormal. It's a human in a Titan's body. response:	What?
context: Can you stand?\Or rather, don't forget you can't survive without a horse out here!\Hurry!\Okay!\I saw the signal for an abnormal.\Is that it, with the nice ass?\It's not an abnormal. It's a human in a Titan's body.\What? response:	Wait! We've got to fire the flare!
context: Or rather, don't forget you can't survive without a horse out here!\Hurry!\Okay!\I saw the signal for an abnormal.\Is that it, with the nice ass?\It's not an abnormal. It's a human in a Titan's body.\What?\Wait! We've got to fire the flare! response:	Hurry! I must signal them about the emergency!
context: Hurry!\Okay!\I saw the signal for an abnormal.\Is that it, with the nice ass?\It's not an abnormal. It's a human in a Titan's body.\What?\Wait! We've got to fire the flare!\Hurry! I must signal them about the emergency! response:	Wait.
context: Okay!\I saw the signal for an abnormal.\Is that it, with the nice ass?\It's not an abnormal. It's a human in a Titan's body.\What?\Wait! We've got to fire the flare!\Hurry! I must signal them about the emergency!\Wait. response:	Jean did it.
context: I saw the signal for an abnormal.\Is that it, with the nice ass?\It's not an abnormal. It's a human in a Titan's body.\What?\Wait! We've got to fire the flare!\Hurry! I must signal them about the emergency!\Wait.\Jean did it. response:	From the right wing?
context: Is that it, with the nice ass?\It's not an abnormal. It's a human in a Titan's body.\What?\Wait! We've got to fire the flare!\Hurry! I must signal them about the emergency!\Wait.\Jean did it.\From the right wing? response:	They had so many losses they can't go on?
context: It's not an abnormal. It's a human in a Titan's body.\What?\Wait! We've got to fire the flare!\Hurry! I must signal them about the emergency!\Wait.\Jean did it.\From the right wing?\They had so many losses they can't go on? response:	It seems some of the scouts on the right wing got wiped out.
context: What?\Wait! We've got to fire the flare!\Hurry! I must signal them about the emergency!\Wait.\Jean did it.\From the right wing?\They had so many losses they can't go on?\It seems some of the scouts on the right wing got wiped out. response:	The Titans attacked all at once.
context: Wait! We've got to fire the flare!\Hurry! I must signal them about the emergency!\Wait.\Jean did it.\From the right wing?\They had so many losses they can't go on?\It seems some of the scouts on the right wing got wiped out.\The Titans attacked all at once. response:	I don't know the details, but a bunch of really fast ones popped up.
context: Hurry! I must signal them about the emergency!\Wait.\Jean did it.\From the right wing?\They had so many losses they can't go on?\It seems some of the scouts on the right wing got wiped out.\The Titans attacked all at once.\I don't know the details, but a bunch of really fast ones popped up. response:	They're doing what they can to hold them back,
context: Wait.\Jean did it.\From the right wing?\They had so many losses they can't go on?\It seems some of the scouts on the right wing got wiped out.\The Titans attacked all at once.\I don't know the details, but a bunch of really fast ones popped up.\They're doing what they can to hold them back, response:	but they can't scout anymore.
context: Jean did it.\From the right wing?\They had so many losses they can't go on?\It seems some of the scouts on the right wing got wiped out.\The Titans attacked all at once.\I don't know the details, but a bunch of really fast ones popped up.\They're doing what they can to hold them back,\but they can't scout anymore. response:	There are huge losses. They might've been annihilated!
context: From the right wing?\They had so many losses they can't go on?\It seems some of the scouts on the right wing got wiped out.\The Titans attacked all at once.\I don't know the details, but a bunch of really fast ones popped up.\They're doing what they can to hold them back,\but they can't scout anymore.\There are huge losses. They might've been annihilated! response:	It came from that way too.
context: They had so many losses they can't go on?\It seems some of the scouts on the right wing got wiped out.\The Titans attacked all at once.\I don't know the details, but a bunch of really fast ones popped up.\They're doing what they can to hold them back,\but they can't scout anymore.\There are huge losses. They might've been annihilated!\It came from that way too. response:	Could it be that it led the Titans?
context: It seems some of the scouts on the right wing got wiped out.\The Titans attacked all at once.\I don't know the details, but a bunch of really fast ones popped up.\They're doing what they can to hold them back,\but they can't scout anymore.\There are huge losses. They might've been annihilated!\It came from that way too.\Could it be that it led the Titans? response:	That thing?
context: The Titans attacked all at once.\I don't know the details, but a bunch of really fast ones popped up.\They're doing what they can to hold them back,\but they can't scout anymore.\There are huge losses. They might've been annihilated!\It came from that way too.\Could it be that it led the Titans?\That thing? response:	What's a Titan doing here?
context: I don't know the details, but a bunch of really fast ones popped up.\They're doing what they can to hold them back,\but they can't scout anymore.\There are huge losses. They might've been annihilated!\It came from that way too.\Could it be that it led the Titans?\That thing?\What's a Titan doing here? response:	Is it an abnormal?
context: They're doing what they can to hold them back,\but they can't scout anymore.\There are huge losses. They might've been annihilated!\It came from that way too.\Could it be that it led the Titans?\That thing?\What's a Titan doing here?\Is it an abnormal? response:	No, it's different.
context: but they can't scout anymore.\There are huge losses. They might've been annihilated!\It came from that way too.\Could it be that it led the Titans?\That thing?\What's a Titan doing here?\Is it an abnormal?\No, it's different. response:	It's a human in a Titan's body.
context: There are huge losses. They might've been annihilated!\It came from that way too.\Could it be that it led the Titans?\That thing?\What's a Titan doing here?\Is it an abnormal?\No, it's different.\It's a human in a Titan's body. response:	A human who can do the same as Eren.
context: It came from that way too.\Could it be that it led the Titans?\That thing?\What's a Titan doing here?\Is it an abnormal?\No, it's different.\It's a human in a Titan's body.\A human who can do the same as Eren. response:	What?
context: Could it be that it led the Titans?\That thing?\What's a Titan doing here?\Is it an abnormal?\No, it's different.\It's a human in a Titan's body.\A human who can do the same as Eren.\What? response:	Why do you think so?
context: That thing?\What's a Titan doing here?\Is it an abnormal?\No, it's different.\It's a human in a Titan's body.\A human who can do the same as Eren.\What?\Why do you think so? response:	The Titans only eat humans. That's why they kill us.
context: What's a Titan doing here?\Is it an abnormal?\No, it's different.\It's a human in a Titan's body.\A human who can do the same as Eren.\What?\Why do you think so?\The Titans only eat humans. That's why they kill us. response:	Killing isn't their objective.
context: Is it an abnormal?\No, it's different.\It's a human in a Titan's body.\A human who can do the same as Eren.\What?\Why do you think so?\The Titans only eat humans. That's why they kill us.\Killing isn't their objective. response:	But as soon as its nape was targeted, it caught and smashed the scouts.
context: No, it's different.\It's a human in a Titan's body.\A human who can do the same as Eren.\What?\Why do you think so?\The Titans only eat humans. That's why they kill us.\Killing isn't their objective.\But as soon as its nape was targeted, it caught and smashed the scouts. response:	It didn't kill to eat. It killed to kill.
context: It's a human in a Titan's body.\A human who can do the same as Eren.\What?\Why do you think so?\The Titans only eat humans. That's why they kill us.\Killing isn't their objective.\But as soon as its nape was targeted, it caught and smashed the scouts.\It didn't kill to eat. It killed to kill. response:	It's fundamentally different from other Titans.
context: A human who can do the same as Eren.\What?\Why do you think so?\The Titans only eat humans. That's why they kill us.\Killing isn't their objective.\But as soon as its nape was targeted, it caught and smashed the scouts.\It didn't kill to eat. It killed to kill.\It's fundamentally different from other Titans. response:	When the Colossal and the Armored broke through the Wall,
context: What?\Why do you think so?\The Titans only eat humans. That's why they kill us.\Killing isn't their objective.\But as soon as its nape was targeted, it caught and smashed the scouts.\It didn't kill to eat. It killed to kill.\It's fundamentally different from other Titans.\When the Colossal and the Armored broke through the Wall, response:	it must've been this one that brought the other Titans.
context: Why do you think so?\The Titans only eat humans. That's why they kill us.\Killing isn't their objective.\But as soon as its nape was targeted, it caught and smashed the scouts.\It didn't kill to eat. It killed to kill.\It's fundamentally different from other Titans.\When the Colossal and the Armored broke through the Wall,\it must've been this one that brought the other Titans. response:	They must've worked together to attack mankind!
context: The Titans only eat humans. That's why they kill us.\Killing isn't their objective.\But as soon as its nape was targeted, it caught and smashed the scouts.\It didn't kill to eat. It killed to kill.\It's fundamentally different from other Titans.\When the Colossal and the Armored broke through the Wall,\it must've been this one that brought the other Titans.\They must've worked together to attack mankind! response:	Or maybe not... I think it was looking for someone.
context: Killing isn't their objective.\But as soon as its nape was targeted, it caught and smashed the scouts.\It didn't kill to eat. It killed to kill.\It's fundamentally different from other Titans.\When the Colossal and the Armored broke through the Wall,\it must've been this one that brought the other Titans.\They must've worked together to attack mankind!\Or maybe not... I think it was looking for someone. response:	But then who is it looking for? Maybe Eren?
context: But as soon as its nape was targeted, it caught and smashed the scouts.\It didn't kill to eat. It killed to kill.\It's fundamentally different from other Titans.\When the Colossal and the Armored broke through the Wall,\it must've been this one that brought the other Titans.\They must've worked together to attack mankind!\Or maybe not... I think it was looking for someone.\But then who is it looking for? Maybe Eren? response:	Eren? He's with the Levi team on the right, where it came from.
context: It didn't kill to eat. It killed to kill.\It's fundamentally different from other Titans.\When the Colossal and the Armored broke through the Wall,\it must've been this one that brought the other Titans.\They must've worked together to attack mankind!\Or maybe not... I think it was looking for someone.\But then who is it looking for? Maybe Eren?\Eren? He's with the Levi team on the right, where it came from. response:	The right?
context: It's fundamentally different from other Titans.\When the Colossal and the Armored broke through the Wall,\it must've been this one that brought the other Titans.\They must've worked together to attack mankind!\Or maybe not... I think it was looking for someone.\But then who is it looking for? Maybe Eren?\Eren? He's with the Levi team on the right, where it came from.\The right? response:	On my papers, they were in the left rear.
context: When the Colossal and the Armored broke through the Wall,\it must've been this one that brought the other Titans.\They must've worked together to attack mankind!\Or maybe not... I think it was looking for someone.\But then who is it looking for? Maybe Eren?\Eren? He's with the Levi team on the right, where it came from.\The right?\On my papers, they were in the left rear. response:	My papers showed them in the right front.
context: it must've been this one that brought the other Titans.\They must've worked together to attack mankind!\Or maybe not... I think it was looking for someone.\But then who is it looking for? Maybe Eren?\Eren? He's with the Levi team on the right, where it came from.\The right?\On my papers, they were in the left rear.\My papers showed them in the right front. response:	But there's no way they'd put him there on the frontline.
context: They must've worked together to attack mankind!\Or maybe not... I think it was looking for someone.\But then who is it looking for? Maybe Eren?\Eren? He's with the Levi team on the right, where it came from.\The right?\On my papers, they were in the left rear.\My papers showed them in the right front.\But there's no way they'd put him there on the frontline. response:	Then where is he?
context: Or maybe not... I think it was looking for someone.\But then who is it looking for? Maybe Eren?\Eren? He's with the Levi team on the right, where it came from.\The right?\On my papers, they were in the left rear.\My papers showed them in the right front.\But there's no way they'd put him there on the frontline.\Then where is he? response:	He must be at the safest spot in this formation.
context: But then who is it looking for? Maybe Eren?\Eren? He's with the Levi team on the right, where it came from.\The right?\On my papers, they were in the left rear.\My papers showed them in the right front.\But there's no way they'd put him there on the frontline.\Then where is he?\He must be at the safest spot in this formation. response:	Which means he's in the rear, at the center.
context: Eren? He's with the Levi team on the right, where it came from.\The right?\On my papers, they were in the left rear.\My papers showed them in the right front.\But there's no way they'd put him there on the frontline.\Then where is he?\He must be at the safest spot in this formation.\Which means he's in the rear, at the center. response:	Armin! We've got no time for philosophy.
context: The right?\On my papers, they were in the left rear.\My papers showed them in the right front.\But there's no way they'd put him there on the frontline.\Then where is he?\He must be at the safest spot in this formation.\Which means he's in the rear, at the center.\Armin! We've got no time for philosophy. response:	The flares aren't enough to communicate the details of that Titan.
context: On my papers, they were in the left rear.\My papers showed them in the right front.\But there's no way they'd put him there on the frontline.\Then where is he?\He must be at the safest spot in this formation.\Which means he's in the rear, at the center.\Armin! We've got no time for philosophy.\The flares aren't enough to communicate the details of that Titan. response:	It'll eventually get the commander's troops too,
context: My papers showed them in the right front.\But there's no way they'd put him there on the frontline.\Then where is he?\He must be at the safest spot in this formation.\Which means he's in the rear, at the center.\Armin! We've got no time for philosophy.\The flares aren't enough to communicate the details of that Titan.\It'll eventually get the commander's troops too, response:	and then the formation will fall apart and we'll all die.
context: But there's no way they'd put him there on the frontline.\Then where is he?\He must be at the safest spot in this formation.\Which means he's in the rear, at the center.\Armin! We've got no time for philosophy.\The flares aren't enough to communicate the details of that Titan.\It'll eventually get the commander's troops too,\and then the formation will fall apart and we'll all die. response:	What's your point?
context: Then where is he?\He must be at the safest spot in this formation.\Which means he's in the rear, at the center.\Armin! We've got no time for philosophy.\The flares aren't enough to communicate the details of that Titan.\It'll eventually get the commander's troops too,\and then the formation will fall apart and we'll all die.\What's your point? response:	I mean, from this distance, we might still be able to catch its attention.
context: He must be at the safest spot in this formation.\Which means he's in the rear, at the center.\Armin! We've got no time for philosophy.\The flares aren't enough to communicate the details of that Titan.\It'll eventually get the commander's troops too,\and then the formation will fall apart and we'll all die.\What's your point?\I mean, from this distance, we might still be able to catch its attention. response:	We can buy enough time for their escape.
context: Which means he's in the rear, at the center.\Armin! We've got no time for philosophy.\The flares aren't enough to communicate the details of that Titan.\It'll eventually get the commander's troops too,\and then the formation will fall apart and we'll all die.\What's your point?\I mean, from this distance, we might still be able to catch its attention.\We can buy enough time for their escape. response:	Maybe.
context: Armin! We've got no time for philosophy.\The flares aren't enough to communicate the details of that Titan.\It'll eventually get the commander's troops too,\and then the formation will fall apart and we'll all die.\What's your point?\I mean, from this distance, we might still be able to catch its attention.\We can buy enough time for their escape.\Maybe. response:	Just a chance.
context: The flares aren't enough to communicate the details of that Titan.\It'll eventually get the commander's troops too,\and then the formation will fall apart and we'll all die.\What's your point?\I mean, from this distance, we might still be able to catch its attention.\We can buy enough time for their escape.\Maybe.\Just a chance. response:	It's really intelligent.
context: It'll eventually get the commander's troops too,\and then the formation will fall apart and we'll all die.\What's your point?\I mean, from this distance, we might still be able to catch its attention.\We can buy enough time for their escape.\Maybe.\Just a chance.\It's really intelligent. response:	From its point of view, we're quite literally just vermin.
context: and then the formation will fall apart and we'll all die.\What's your point?\I mean, from this distance, we might still be able to catch its attention.\We can buy enough time for their escape.\Maybe.\Just a chance.\It's really intelligent.\From its point of view, we're quite literally just vermin. response:	It'll just one-sidedly smash us.
context: What's your point?\I mean, from this distance, we might still be able to catch its attention.\We can buy enough time for their escape.\Maybe.\Just a chance.\It's really intelligent.\From its point of view, we're quite literally just vermin.\It'll just one-sidedly smash us. response:	Seriously?
context: I mean, from this distance, we might still be able to catch its attention.\We can buy enough time for their escape.\Maybe.\Just a chance.\It's really intelligent.\From its point of view, we're quite literally just vermin.\It'll just one-sidedly smash us.\Seriously? response:	That ain't good.
context: We can buy enough time for their escape.\Maybe.\Just a chance.\It's really intelligent.\From its point of view, we're quite literally just vermin.\It'll just one-sidedly smash us.\Seriously?\That ain't good. response:	Are you really Jean?
context: Maybe.\Just a chance.\It's really intelligent.\From its point of view, we're quite literally just vermin.\It'll just one-sidedly smash us.\Seriously?\That ain't good.\Are you really Jean? response:	The Jean I know only cares about himself.
context: Just a chance.\It's really intelligent.\From its point of view, we're quite literally just vermin.\It'll just one-sidedly smash us.\Seriously?\That ain't good.\Are you really Jean?\The Jean I know only cares about himself. response:	Bro, that's rude.
context: It's really intelligent.\From its point of view, we're quite literally just vermin.\It'll just one-sidedly smash us.\Seriously?\That ain't good.\Are you really Jean?\The Jean I know only cares about himself.\Bro, that's rude. response:	I just don't want to be disappointed by ashes of people I never knew.
context: From its point of view, we're quite literally just vermin.\It'll just one-sidedly smash us.\Seriously?\That ain't good.\Are you really Jean?\The Jean I know only cares about himself.\Bro, that's rude.\I just don't want to be disappointed by ashes of people I never knew. response:	It's the job we've chosen!
context: It'll just one-sidedly smash us.\Seriously?\That ain't good.\Are you really Jean?\The Jean I know only cares about himself.\Bro, that's rude.\I just don't want to be disappointed by ashes of people I never knew.\It's the job we've chosen! response:	Help me!
context: Seriously?\That ain't good.\Are you really Jean?\The Jean I know only cares about himself.\Bro, that's rude.\I just don't want to be disappointed by ashes of people I never knew.\It's the job we've chosen!\Help me! response:	Put on your hood!
context: That ain't good.\Are you really Jean?\The Jean I know only cares about himself.\Bro, that's rude.\I just don't want to be disappointed by ashes of people I never knew.\It's the job we've chosen!\Help me!\Put on your hood! response:	Pull it down, so it can't see our faces!
context: Are you really Jean?\The Jean I know only cares about himself.\Bro, that's rude.\I just don't want to be disappointed by ashes of people I never knew.\It's the job we've chosen!\Help me!\Put on your hood!\Pull it down, so it can't see our faces! response:	It won't just kill us without knowing who we are!
context: The Jean I know only cares about himself.\Bro, that's rude.\I just don't want to be disappointed by ashes of people I never knew.\It's the job we've chosen!\Help me!\Put on your hood!\Pull it down, so it can't see our faces!\It won't just kill us without knowing who we are! response:	I see! It can't kill someone who might be Eren!
context: Bro, that's rude.\I just don't want to be disappointed by ashes of people I never knew.\It's the job we've chosen!\Help me!\Put on your hood!\Pull it down, so it can't see our faces!\It won't just kill us without knowing who we are!\I see! It can't kill someone who might be Eren! response:	That's reassuring enough.
context: I just don't want to be disappointed by ashes of people I never knew.\It's the job we've chosen!\Help me!\Put on your hood!\Pull it down, so it can't see our faces!\It won't just kill us without knowing who we are!\I see! It can't kill someone who might be Eren!\That's reassuring enough. response:	Let's also hope its eyes aren't very good!
context: It's the job we've chosen!\Help me!\Put on your hood!\Pull it down, so it can't see our faces!\It won't just kill us without knowing who we are!\I see! It can't kill someone who might be Eren!\That's reassuring enough.\Let's also hope its eyes aren't very good! response:	Armin... I thought it was pathetic how you constantly hung around Eren,
context: Help me!\Put on your hood!\Pull it down, so it can't see our faces!\It won't just kill us without knowing who we are!\I see! It can't kill someone who might be Eren!\That's reassuring enough.\Let's also hope its eyes aren't very good!\Armin... I thought it was pathetic how you constantly hung around Eren, response:	but I always knew you had it in you.
context: Put on your hood!\Pull it down, so it can't see our faces!\It won't just kill us without knowing who we are!\I see! It can't kill someone who might be Eren!\That's reassuring enough.\Let's also hope its eyes aren't very good!\Armin... I thought it was pathetic how you constantly hung around Eren,\but I always knew you had it in you. response:	Uh... Thanks.
context: Pull it down, so it can't see our faces!\It won't just kill us without knowing who we are!\I see! It can't kill someone who might be Eren!\That's reassuring enough.\Let's also hope its eyes aren't very good!\Armin... I thought it was pathetic how you constantly hung around Eren,\but I always knew you had it in you.\Uh... Thanks. response:	But that pathetic part was still mean.
context: It won't just kill us without knowing who we are!\I see! It can't kill someone who might be Eren!\That's reassuring enough.\Let's also hope its eyes aren't very good!\Armin... I thought it was pathetic how you constantly hung around Eren,\but I always knew you had it in you.\Uh... Thanks.\But that pathetic part was still mean. response:	It's gotten much slower compared to when it showed up.
context: I see! It can't kill someone who might be Eren!\That's reassuring enough.\Let's also hope its eyes aren't very good!\Armin... I thought it was pathetic how you constantly hung around Eren,\but I always knew you had it in you.\Uh... Thanks.\But that pathetic part was still mean.\It's gotten much slower compared to when it showed up. response:	Is it growing tired?
context: That's reassuring enough.\Let's also hope its eyes aren't very good!\Armin... I thought it was pathetic how you constantly hung around Eren,\but I always knew you had it in you.\Uh... Thanks.\But that pathetic part was still mean.\It's gotten much slower compared to when it showed up.\Is it growing tired? response:	If it started running that fast again, we'd be too late.
context: Let's also hope its eyes aren't very good!\Armin... I thought it was pathetic how you constantly hung around Eren,\but I always knew you had it in you.\Uh... Thanks.\But that pathetic part was still mean.\It's gotten much slower compared to when it showed up.\Is it growing tired?\If it started running that fast again, we'd be too late. response:	We have to get it while we can.
context: Armin... I thought it was pathetic how you constantly hung around Eren,\but I always knew you had it in you.\Uh... Thanks.\But that pathetic part was still mean.\It's gotten much slower compared to when it showed up.\Is it growing tired?\If it started running that fast again, we'd be too late.\We have to get it while we can. response:	We must make our move now.
context: but I always knew you had it in you.\Uh... Thanks.\But that pathetic part was still mean.\It's gotten much slower compared to when it showed up.\Is it growing tired?\If it started running that fast again, we'd be too late.\We have to get it while we can.\We must make our move now. response:	Guys, let's do it like we agreed.
context: Uh... Thanks.\But that pathetic part was still mean.\It's gotten much slower compared to when it showed up.\Is it growing tired?\If it started running that fast again, we'd be too late.\We have to get it while we can.\We must make our move now.\Guys, let's do it like we agreed. response:	Draw its attention as long as possible, so the column can retreat!
context: But that pathetic part was still mean.\It's gotten much slower compared to when it showed up.\Is it growing tired?\If it started running that fast again, we'd be too late.\We have to get it while we can.\We must make our move now.\Guys, let's do it like we agreed.\Draw its attention as long as possible, so the column can retreat! response:	We must keep it here for as long as we can!
context: It's gotten much slower compared to when it showed up.\Is it growing tired?\If it started running that fast again, we'd be too late.\We have to get it while we can.\We must make our move now.\Guys, let's do it like we agreed.\Draw its attention as long as possible, so the column can retreat!\We must keep it here for as long as we can! response:	If we could cut its leg, that would be more than enough.
context: Is it growing tired?\If it started running that fast again, we'd be too late.\We have to get it while we can.\We must make our move now.\Guys, let's do it like we agreed.\Draw its attention as long as possible, so the column can retreat!\We must keep it here for as long as we can!\If we could cut its leg, that would be more than enough. response:	Don't do anything crazy! Don't try to kill it!
context: If it started running that fast again, we'd be too late.\We have to get it while we can.\We must make our move now.\Guys, let's do it like we agreed.\Draw its attention as long as possible, so the column can retreat!\We must keep it here for as long as we can!\If we could cut its leg, that would be more than enough.\Don't do anything crazy! Don't try to kill it! response:	It knows that its weak spot is the nape. It's nothing like the other Titans.
context: We have to get it while we can.\We must make our move now.\Guys, let's do it like we agreed.\Draw its attention as long as possible, so the column can retreat!\We must keep it here for as long as we can!\If we could cut its leg, that would be more than enough.\Don't do anything crazy! Don't try to kill it!\It knows that its weak spot is the nape. It's nothing like the other Titans. response:	It would be impossible to take it down.
context: We must make our move now.\Guys, let's do it like we agreed.\Draw its attention as long as possible, so the column can retreat!\We must keep it here for as long as we can!\If we could cut its leg, that would be more than enough.\Don't do anything crazy! Don't try to kill it!\It knows that its weak spot is the nape. It's nothing like the other Titans.\It would be impossible to take it down. response:	At least, for ordinary humans.
context: Guys, let's do it like we agreed.\Draw its attention as long as possible, so the column can retreat!\We must keep it here for as long as we can!\If we could cut its leg, that would be more than enough.\Don't do anything crazy! Don't try to kill it!\It knows that its weak spot is the nape. It's nothing like the other Titans.\It would be impossible to take it down.\At least, for ordinary humans. response:	But those two might be able to...
context: Draw its attention as long as possible, so the column can retreat!\We must keep it here for as long as we can!\If we could cut its leg, that would be more than enough.\Don't do anything crazy! Don't try to kill it!\It knows that its weak spot is the nape. It's nothing like the other Titans.\It would be impossible to take it down.\At least, for ordinary humans.\But those two might be able to... response:	Armin!
context: We must keep it here for as long as we can!\If we could cut its leg, that would be more than enough.\Don't do anything crazy! Don't try to kill it!\It knows that its weak spot is the nape. It's nothing like the other Titans.\It would be impossible to take it down.\At least, for ordinary humans.\But those two might be able to...\Armin! response:	It's way more agile than the usual ones!
context: If we could cut its leg, that would be more than enough.\Don't do anything crazy! Don't try to kill it!\It knows that its weak spot is the nape. It's nothing like the other Titans.\It would be impossible to take it down.\At least, for ordinary humans.\But those two might be able to...\Armin!\It's way more agile than the usual ones! response:	Crap! I was... I was naive!
context: Don't do anything crazy! Don't try to kill it!\It knows that its weak spot is the nape. It's nothing like the other Titans.\It would be impossible to take it down.\At least, for ordinary humans.\But those two might be able to...\Armin!\It's way more agile than the usual ones!\Crap! I was... I was naive! response:	It's protecting its nape?!
context: It knows that its weak spot is the nape. It's nothing like the other Titans.\It would be impossible to take it down.\At least, for ordinary humans.\But those two might be able to...\Armin!\It's way more agile than the usual ones!\Crap! I was... I was naive!\It's protecting its nape?! response:	Jean!
context: It would be impossible to take it down.\At least, for ordinary humans.\But those two might be able to...\Armin!\It's way more agile than the usual ones!\Crap! I was... I was naive!\It's protecting its nape?!\Jean! response:	Shit! I can't get away now!
context: At least, for ordinary humans.\But those two might be able to...\Armin!\It's way more agile than the usual ones!\Crap! I was... I was naive!\It's protecting its nape?!\Jean!\Shit! I can't get away now! response:	I'm gonna die here! It's gonna grab my wire and kill me!
context: But those two might be able to...\Armin!\It's way more agile than the usual ones!\Crap! I was... I was naive!\It's protecting its nape?!\Jean!\Shit! I can't get away now!\I'm gonna die here! It's gonna grab my wire and kill me! response:	Jean! Avenge my friend who sought to die so soon!
context: Armin!\It's way more agile than the usual ones!\Crap! I was... I was naive!\It's protecting its nape?!\Jean!\Shit! I can't get away now!\I'm gonna die here! It's gonna grab my wire and kill me!\Jean! Avenge my friend who sought to die so soon! response:	Armin?
context: It's way more agile than the usual ones!\Crap! I was... I was naive!\It's protecting its nape?!\Jean!\Shit! I can't get away now!\I'm gonna die here! It's gonna grab my wire and kill me!\Jean! Avenge my friend who sought to die so soon!\Armin? response:	It stopped?
context: Crap! I was... I was naive!\It's protecting its nape?!\Jean!\Shit! I can't get away now!\I'm gonna die here! It's gonna grab my wire and kill me!\Jean! Avenge my friend who sought to die so soon!\Armin?\It stopped? response:	This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!
context: It's protecting its nape?!\Jean!\Shit! I can't get away now!\I'm gonna die here! It's gonna grab my wire and kill me!\Jean! Avenge my friend who sought to die so soon!\Armin?\It stopped?\This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing! response:	What's going on?
context: Jean!\Shit! I can't get away now!\I'm gonna die here! It's gonna grab my wire and kill me!\Jean! Avenge my friend who sought to die so soon!\Armin?\It stopped?\This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!\What's going on? response:	Is he going crazy from the concussion?
context: Shit! I can't get away now!\I'm gonna die here! It's gonna grab my wire and kill me!\Jean! Avenge my friend who sought to die so soon!\Armin?\It stopped?\This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!\What's going on?\Is he going crazy from the concussion? response:	This is the worst possible time for that.
context: I'm gonna die here! It's gonna grab my wire and kill me!\Jean! Avenge my friend who sought to die so soon!\Armin?\It stopped?\This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!\What's going on?\Is he going crazy from the concussion?\This is the worst possible time for that. response:	Reiner?
context: Jean! Avenge my friend who sought to die so soon!\Armin?\It stopped?\This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!\What's going on?\Is he going crazy from the concussion?\This is the worst possible time for that.\Reiner? response:	It trampled my friend to death!
context: Armin?\It stopped?\This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!\What's going on?\Is he going crazy from the concussion?\This is the worst possible time for that.\Reiner?\It trampled my friend to death! response:	I saw his body stuck on its feet!
context: It stopped?\This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!\What's going on?\Is he going crazy from the concussion?\This is the worst possible time for that.\Reiner?\It trampled my friend to death!\I saw his body stuck on its feet! response:	Is he going straight for its nape?
context: This shit killed him! Avenge the guy who literally ended up dying in an instant on the right wing!\What's going on?\Is he going crazy from the concussion?\This is the worst possible time for that.\Reiner?\It trampled my friend to death!\I saw his body stuck on its feet!\Is he going straight for its nape? response:	He can do it! It's distracted by Armin!
context: What's going on?\Is he going crazy from the concussion?\This is the worst possible time for that.\Reiner?\It trampled my friend to death!\I saw his body stuck on its feet!\Is he going straight for its nape?\He can do it! It's distracted by Armin! response:	Come on...
context: Is he going crazy from the concussion?\This is the worst possible time for that.\Reiner?\It trampled my friend to death!\I saw his body stuck on its feet!\Is he going straight for its nape?\He can do it! It's distracted by Armin!\Come on... response:	Come on, Reiner... No...
context: This is the worst possible time for that.\Reiner?\It trampled my friend to death!\I saw his body stuck on its feet!\Is he going straight for its nape?\He can do it! It's distracted by Armin!\Come on...\Come on, Reiner... No... response:	Reiner pulled it off!
context: Reiner?\It trampled my friend to death!\I saw his body stuck on its feet!\Is he going straight for its nape?\He can do it! It's distracted by Armin!\Come on...\Come on, Reiner... No...\Reiner pulled it off! response:	I forgot because Mikasa was around,
context: It trampled my friend to death!\I saw his body stuck on its feet!\Is he going straight for its nape?\He can do it! It's distracted by Armin!\Come on...\Come on, Reiner... No...\Reiner pulled it off!\I forgot because Mikasa was around, response:	but he's reliable and insanely skilled too!
context: I saw his body stuck on its feet!\Is he going straight for its nape?\He can do it! It's distracted by Armin!\Come on...\Come on, Reiner... No...\Reiner pulled it off!\I forgot because Mikasa was around,\but he's reliable and insanely skilled too! response:	That should be enough time!
context: Is he going straight for its nape?\He can do it! It's distracted by Armin!\Come on...\Come on, Reiner... No...\Reiner pulled it off!\I forgot because Mikasa was around,\but he's reliable and insanely skilled too!\That should be enough time! response:	Hurry and get away from it!
context: He can do it! It's distracted by Armin!\Come on...\Come on, Reiner... No...\Reiner pulled it off!\I forgot because Mikasa was around,\but he's reliable and insanely skilled too!\That should be enough time!\Hurry and get away from it! response:	If it's not a man-eater, then it won't chase us!
