context: I'm sorry about the other day. response:	No problem!
context: Want to go on a date?\Pardon?\Brr, it's cold...\Got your exam admission slip?\And your eraser and handkerchief?\Spare pencil?\I'm all set!\I'm going now! response:	Yep. Off you go.
context: Pardon?\Brr, it's cold...\Got your exam admission slip?\And your eraser and handkerchief?\Spare pencil?\I'm all set!\I'm going now!\Yep. Off you go. response:	Sine, cosine, tangent...
context: Brr, it's cold...\Got your exam admission slip?\And your eraser and handkerchief?\Spare pencil?\I'm all set!\I'm going now!\Yep. Off you go.\Sine, cosine, tangent... response:	I'm free for the whole day.
context: Got your exam admission slip?\And your eraser and handkerchief?\Spare pencil?\I'm all set!\I'm going now!\Yep. Off you go.\Sine, cosine, tangent...\I'm free for the whole day. response:	Yui Calling
context: And your eraser and handkerchief?\Spare pencil?\I'm all set!\I'm going now!\Yep. Off you go.\Sine, cosine, tangent...\I'm free for the whole day.\Yui Calling response:	Hikki! Let's have a date!
context: Spare pencil?\I'm all set!\I'm going now!\Yep. Off you go.\Sine, cosine, tangent...\I'm free for the whole day.\Yui Calling\Hikki! Let's have a date! response:	Huh?
context: I'm all set!\I'm going now!\Yep. Off you go.\Sine, cosine, tangent...\I'm free for the whole day.\Yui Calling\Hikki! Let's have a date!\Huh? response:	If you two have plans, I'll head back...
context: I'm going now!\Yep. Off you go.\Sine, cosine, tangent...\I'm free for the whole day.\Yui Calling\Hikki! Let's have a date!\Huh?\If you two have plans, I'll head back... response:	This is fine.
context: Yep. Off you go.\Sine, cosine, tangent...\I'm free for the whole day.\Yui Calling\Hikki! Let's have a date!\Huh?\If you two have plans, I'll head back...\This is fine. response:	I want the three of us to go together.
context: Sine, cosine, tangent...\I'm free for the whole day.\Yui Calling\Hikki! Let's have a date!\Huh?\If you two have plans, I'll head back...\This is fine.\I want the three of us to go together. response:	Kasai Rinkai Park
context: I'm free for the whole day.\Yui Calling\Hikki! Let's have a date!\Huh?\If you two have plans, I'll head back...\This is fine.\I want the three of us to go together.\Kasai Rinkai Park response:	Compare your height with a tuna
context: Yui Calling\Hikki! Let's have a date!\Huh?\If you two have plans, I'll head back...\This is fine.\I want the three of us to go together.\Kasai Rinkai Park\Compare your height with a tuna response:	An aquatic park?
context: Hikki! Let's have a date!\Huh?\If you two have plans, I'll head back...\This is fine.\I want the three of us to go together.\Kasai Rinkai Park\Compare your height with a tuna\An aquatic park? response:	This is where you want to go?
context: Huh?\If you two have plans, I'll head back...\This is fine.\I want the three of us to go together.\Kasai Rinkai Park\Compare your height with a tuna\An aquatic park?\This is where you want to go? response:	Yep! The snow doesn't matter here.
context: If you two have plans, I'll head back...\This is fine.\I want the three of us to go together.\Kasai Rinkai Park\Compare your height with a tuna\An aquatic park?\This is where you want to go?\Yep! The snow doesn't matter here. response:	Wow, sharks!
context: This is fine.\I want the three of us to go together.\Kasai Rinkai Park\Compare your height with a tuna\An aquatic park?\This is where you want to go?\Yep! The snow doesn't matter here.\Wow, sharks! response:	Sharks, indeed...
context: I want the three of us to go together.\Kasai Rinkai Park\Compare your height with a tuna\An aquatic park?\This is where you want to go?\Yep! The snow doesn't matter here.\Wow, sharks!\Sharks, indeed... response:	Yukinon! I'm sorry I didn't tell you, okay?
context: Kasai Rinkai Park\Compare your height with a tuna\An aquatic park?\This is where you want to go?\Yep! The snow doesn't matter here.\Wow, sharks!\Sharks, indeed...\Yukinon! I'm sorry I didn't tell you, okay? response:	Be a little more excited!
context: Compare your height with a tuna\An aquatic park?\This is where you want to go?\Yep! The snow doesn't matter here.\Wow, sharks!\Sharks, indeed...\Yukinon! I'm sorry I didn't tell you, okay?\Be a little more excited! response:	That's easy to say...
context: An aquatic park?\This is where you want to go?\Yep! The snow doesn't matter here.\Wow, sharks!\Sharks, indeed...\Yukinon! I'm sorry I didn't tell you, okay?\Be a little more excited!\That's easy to say... response:	Wow! Hammerhead sharks!
context: This is where you want to go?\Yep! The snow doesn't matter here.\Wow, sharks!\Sharks, indeed...\Yukinon! I'm sorry I didn't tell you, okay?\Be a little more excited!\That's easy to say...\Wow! Hammerhead sharks! response:	Huh? What? We can take pictures?
context: Yep! The snow doesn't matter here.\Wow, sharks!\Sharks, indeed...\Yukinon! I'm sorry I didn't tell you, okay?\Be a little more excited!\That's easy to say...\Wow! Hammerhead sharks!\Huh? What? We can take pictures? response:	See? Even Hikki's having fun.
context: Wow, sharks!\Sharks, indeed...\Yukinon! I'm sorry I didn't tell you, okay?\Be a little more excited!\That's easy to say...\Wow! Hammerhead sharks!\Huh? What? We can take pictures?\See? Even Hikki's having fun. response:	Wh-What?
context: Sharks, indeed...\Yukinon! I'm sorry I didn't tell you, okay?\Be a little more excited!\That's easy to say...\Wow! Hammerhead sharks!\Huh? What? We can take pictures?\See? Even Hikki's having fun.\Wh-What? response:	Nothing. I was just a bit surprised.
context: Yukinon! I'm sorry I didn't tell you, okay?\Be a little more excited!\That's easy to say...\Wow! Hammerhead sharks!\Huh? What? We can take pictures?\See? Even Hikki's having fun.\Wh-What?\Nothing. I was just a bit surprised. response:	I'll take a picture of you with the sharks.
context: Be a little more excited!\That's easy to say...\Wow! Hammerhead sharks!\Huh? What? We can take pictures?\See? Even Hikki's having fun.\Wh-What?\Nothing. I was just a bit surprised.\I'll take a picture of you with the sharks. response:	Really? I'm gonna show this off to Komachi!
context: That's easy to say...\Wow! Hammerhead sharks!\Huh? What? We can take pictures?\See? Even Hikki's having fun.\Wh-What?\Nothing. I was just a bit surprised.\I'll take a picture of you with the sharks.\Really? I'm gonna show this off to Komachi! response:	That's a nurseryfish, it says.
context: Wow! Hammerhead sharks!\Huh? What? We can take pictures?\See? Even Hikki's having fun.\Wh-What?\Nothing. I was just a bit surprised.\I'll take a picture of you with the sharks.\Really? I'm gonna show this off to Komachi!\That's a nurseryfish, it says. response:	They live in muddy rivers,
context: Huh? What? We can take pictures?\See? Even Hikki's having fun.\Wh-What?\Nothing. I was just a bit surprised.\I'll take a picture of you with the sharks.\Really? I'm gonna show this off to Komachi!\That's a nurseryfish, it says.\They live in muddy rivers, response:	where they don't move around too much, apparently.
context: See? Even Hikki's having fun.\Wh-What?\Nothing. I was just a bit surprised.\I'll take a picture of you with the sharks.\Really? I'm gonna show this off to Komachi!\That's a nurseryfish, it says.\They live in muddy rivers,\where they don't move around too much, apparently. response:	Huh...
context: Wh-What?\Nothing. I was just a bit surprised.\I'll take a picture of you with the sharks.\Really? I'm gonna show this off to Komachi!\That's a nurseryfish, it says.\They live in muddy rivers,\where they don't move around too much, apparently.\Huh... response:	If a shrimp passes by, it'll swallow it up in an instant, huh?
context: Nothing. I was just a bit surprised.\I'll take a picture of you with the sharks.\Really? I'm gonna show this off to Komachi!\That's a nurseryfish, it says.\They live in muddy rivers,\where they don't move around too much, apparently.\Huh...\If a shrimp passes by, it'll swallow it up in an instant, huh? response:	That's the ideal way to live.
context: I'll take a picture of you with the sharks.\Really? I'm gonna show this off to Komachi!\That's a nurseryfish, it says.\They live in muddy rivers,\where they don't move around too much, apparently.\Huh...\If a shrimp passes by, it'll swallow it up in an instant, huh?\That's the ideal way to live. response:	You're sympathizing with it?!
context: Really? I'm gonna show this off to Komachi!\That's a nurseryfish, it says.\They live in muddy rivers,\where they don't move around too much, apparently.\Huh...\If a shrimp passes by, it'll swallow it up in an instant, huh?\That's the ideal way to live.\You're sympathizing with it?! response:	Now that you mention it, this fish does remind me of someone...
context: That's a nurseryfish, it says.\They live in muddy rivers,\where they don't move around too much, apparently.\Huh...\If a shrimp passes by, it'll swallow it up in an instant, huh?\That's the ideal way to live.\You're sympathizing with it?!\Now that you mention it, this fish does remind me of someone... response:	Hikifishy-kun.
context: They live in muddy rivers,\where they don't move around too much, apparently.\Huh...\If a shrimp passes by, it'll swallow it up in an instant, huh?\That's the ideal way to live.\You're sympathizing with it?!\Now that you mention it, this fish does remind me of someone...\Hikifishy-kun. response:	It's nothing like me, and that name is nothing like mine, either.
context: where they don't move around too much, apparently.\Huh...\If a shrimp passes by, it'll swallow it up in an instant, huh?\That's the ideal way to live.\You're sympathizing with it?!\Now that you mention it, this fish does remind me of someone...\Hikifishy-kun.\It's nothing like me, and that name is nothing like mine, either. response:	Ugh, it looks creepy!
context: Huh...\If a shrimp passes by, it'll swallow it up in an instant, huh?\That's the ideal way to live.\You're sympathizing with it?!\Now that you mention it, this fish does remind me of someone...\Hikifishy-kun.\It's nothing like me, and that name is nothing like mine, either.\Ugh, it looks creepy! response:	Don't say stuff like that.
context: If a shrimp passes by, it'll swallow it up in an instant, huh?\That's the ideal way to live.\You're sympathizing with it?!\Now that you mention it, this fish does remind me of someone...\Hikifishy-kun.\It's nothing like me, and that name is nothing like mine, either.\Ugh, it looks creepy!\Don't say stuff like that. response:	They're doing their best to survive.
context: That's the ideal way to live.\You're sympathizing with it?!\Now that you mention it, this fish does remind me of someone...\Hikifishy-kun.\It's nothing like me, and that name is nothing like mine, either.\Ugh, it looks creepy!\Don't say stuff like that.\They're doing their best to survive. response:	It is kinda cute, though.
context: You're sympathizing with it?!\Now that you mention it, this fish does remind me of someone...\Hikifishy-kun.\It's nothing like me, and that name is nothing like mine, either.\Ugh, it looks creepy!\Don't say stuff like that.\They're doing their best to survive.\It is kinda cute, though. response:	Whether or not it's cute aside,
context: Now that you mention it, this fish does remind me of someone...\Hikifishy-kun.\It's nothing like me, and that name is nothing like mine, either.\Ugh, it looks creepy!\Don't say stuff like that.\They're doing their best to survive.\It is kinda cute, though.\Whether or not it's cute aside, response:	it has a certain charm.
context: Hikifishy-kun.\It's nothing like me, and that name is nothing like mine, either.\Ugh, it looks creepy!\Don't say stuff like that.\They're doing their best to survive.\It is kinda cute, though.\Whether or not it's cute aside,\it has a certain charm. response:	The fact that you called it creepy means you see nothing cute about it.
context: It's nothing like me, and that name is nothing like mine, either.\Ugh, it looks creepy!\Don't say stuff like that.\They're doing their best to survive.\It is kinda cute, though.\Whether or not it's cute aside,\it has a certain charm.\The fact that you called it creepy means you see nothing cute about it. response:	Wow, inuzame!
context: Ugh, it looks creepy!\Don't say stuff like that.\They're doing their best to survive.\It is kinda cute, though.\Whether or not it's cute aside,\it has a certain charm.\The fact that you called it creepy means you see nothing cute about it.\Wow, inuzame! response:	They look a little like Sable!
context: Don't say stuff like that.\They're doing their best to survive.\It is kinda cute, though.\Whether or not it's cute aside,\it has a certain charm.\The fact that you called it creepy means you see nothing cute about it.\Wow, inuzame!\They look a little like Sable! response:	How?
context: They're doing their best to survive.\It is kinda cute, though.\Whether or not it's cute aside,\it has a certain charm.\The fact that you called it creepy means you see nothing cute about it.\Wow, inuzame!\They look a little like Sable!\How? response:	Nekozame? I don't get it.
context: It is kinda cute, though.\Whether or not it's cute aside,\it has a certain charm.\The fact that you called it creepy means you see nothing cute about it.\Wow, inuzame!\They look a little like Sable!\How?\Nekozame? I don't get it. response:	Since the name means cat shark, it must be catlike in some way...
context: Whether or not it's cute aside,\it has a certain charm.\The fact that you called it creepy means you see nothing cute about it.\Wow, inuzame!\They look a little like Sable!\How?\Nekozame? I don't get it.\Since the name means cat shark, it must be catlike in some way... response:	I see...
context: it has a certain charm.\The fact that you called it creepy means you see nothing cute about it.\Wow, inuzame!\They look a little like Sable!\How?\Nekozame? I don't get it.\Since the name means cat shark, it must be catlike in some way...\I see... response:	You have to react to anything with cat in the name, eh?
context: The fact that you called it creepy means you see nothing cute about it.\Wow, inuzame!\They look a little like Sable!\How?\Nekozame? I don't get it.\Since the name means cat shark, it must be catlike in some way...\I see...\You have to react to anything with cat in the name, eh? response:	She really does love cats like they love Friskies.
context: Wow, inuzame!\They look a little like Sable!\How?\Nekozame? I don't get it.\Since the name means cat shark, it must be catlike in some way...\I see...\You have to react to anything with cat in the name, eh?\She really does love cats like they love Friskies. response:	It does feel a little like a cat's tongue.
context: They look a little like Sable!\How?\Nekozame? I don't get it.\Since the name means cat shark, it must be catlike in some way...\I see...\You have to react to anything with cat in the name, eh?\She really does love cats like they love Friskies.\It does feel a little like a cat's tongue. response:	That's just what shark skin feels like.
context: How?\Nekozame? I don't get it.\Since the name means cat shark, it must be catlike in some way...\I see...\You have to react to anything with cat in the name, eh?\She really does love cats like they love Friskies.\It does feel a little like a cat's tongue.\That's just what shark skin feels like. response:	Oh, there's a ray, too!
context: Nekozame? I don't get it.\Since the name means cat shark, it must be catlike in some way...\I see...\You have to react to anything with cat in the name, eh?\She really does love cats like they love Friskies.\It does feel a little like a cat's tongue.\That's just what shark skin feels like.\Oh, there's a ray, too! response:	Eww! Something was just slimy! It was slimy!
context: Since the name means cat shark, it must be catlike in some way...\I see...\You have to react to anything with cat in the name, eh?\She really does love cats like they love Friskies.\It does feel a little like a cat's tongue.\That's just what shark skin feels like.\Oh, there's a ray, too!\Eww! Something was just slimy! It was slimy! response:	What did you touch? Hikigaya-kun?
context: I see...\You have to react to anything with cat in the name, eh?\She really does love cats like they love Friskies.\It does feel a little like a cat's tongue.\That's just what shark skin feels like.\Oh, there's a ray, too!\Eww! Something was just slimy! It was slimy!\What did you touch? Hikigaya-kun? response:	You should wash your hand quickly.
context: You have to react to anything with cat in the name, eh?\She really does love cats like they love Friskies.\It does feel a little like a cat's tongue.\That's just what shark skin feels like.\Oh, there's a ray, too!\Eww! Something was just slimy! It was slimy!\What did you touch? Hikigaya-kun?\You should wash your hand quickly. response:	Excuse me?
context: She really does love cats like they love Friskies.\It does feel a little like a cat's tongue.\That's just what shark skin feels like.\Oh, there's a ray, too!\Eww! Something was just slimy! It was slimy!\What did you touch? Hikigaya-kun?\You should wash your hand quickly.\Excuse me? response:	Don't treat me like a ray.
context: It does feel a little like a cat's tongue.\That's just what shark skin feels like.\Oh, there's a ray, too!\Eww! Something was just slimy! It was slimy!\What did you touch? Hikigaya-kun?\You should wash your hand quickly.\Excuse me?\Don't treat me like a ray. response:	I'm not covered in mucus.
context: That's just what shark skin feels like.\Oh, there's a ray, too!\Eww! Something was just slimy! It was slimy!\What did you touch? Hikigaya-kun?\You should wash your hand quickly.\Excuse me?\Don't treat me like a ray.\I'm not covered in mucus. response:	Neko... Cat shark... Cat...
context: Oh, there's a ray, too!\Eww! Something was just slimy! It was slimy!\What did you touch? Hikigaya-kun?\You should wash your hand quickly.\Excuse me?\Don't treat me like a ray.\I'm not covered in mucus.\Neko... Cat shark... Cat... response:	Meow... Or is it shaa?
context: Eww! Something was just slimy! It was slimy!\What did you touch? Hikigaya-kun?\You should wash your hand quickly.\Excuse me?\Don't treat me like a ray.\I'm not covered in mucus.\Neko... Cat shark... Cat...\Meow... Or is it shaa? response:	I'm pretty sure sharks don't say shaa.
context: What did you touch? Hikigaya-kun?\You should wash your hand quickly.\Excuse me?\Don't treat me like a ray.\I'm not covered in mucus.\Neko... Cat shark... Cat...\Meow... Or is it shaa?\I'm pretty sure sharks don't say shaa. response:	What? Done already?
context: You should wash your hand quickly.\Excuse me?\Don't treat me like a ray.\I'm not covered in mucus.\Neko... Cat shark... Cat...\Meow... Or is it shaa?\I'm pretty sure sharks don't say shaa.\What? Done already? response:	Yeah. Getting touched too much probably makes them tired.
context: Excuse me?\Don't treat me like a ray.\I'm not covered in mucus.\Neko... Cat shark... Cat...\Meow... Or is it shaa?\I'm pretty sure sharks don't say shaa.\What? Done already?\Yeah. Getting touched too much probably makes them tired. response:	I see. That's just like you.
context: Don't treat me like a ray.\I'm not covered in mucus.\Neko... Cat shark... Cat...\Meow... Or is it shaa?\I'm pretty sure sharks don't say shaa.\What? Done already?\Yeah. Getting touched too much probably makes them tired.\I see. That's just like you. response:	What is just like me, I wonder...
context: I'm not covered in mucus.\Neko... Cat shark... Cat...\Meow... Or is it shaa?\I'm pretty sure sharks don't say shaa.\What? Done already?\Yeah. Getting touched too much probably makes them tired.\I see. That's just like you.\What is just like me, I wonder... response:	I'm not as nice as you think I am, really.
context: Neko... Cat shark... Cat...\Meow... Or is it shaa?\I'm pretty sure sharks don't say shaa.\What? Done already?\Yeah. Getting touched too much probably makes them tired.\I see. That's just like you.\What is just like me, I wonder...\I'm not as nice as you think I am, really. response:	Penguins!
context: Meow... Or is it shaa?\I'm pretty sure sharks don't say shaa.\What? Done already?\Yeah. Getting touched too much probably makes them tired.\I see. That's just like you.\What is just like me, I wonder...\I'm not as nice as you think I am, really.\Penguins! response:	Hikki, Yukinon, let's go!
context: I'm pretty sure sharks don't say shaa.\What? Done already?\Yeah. Getting touched too much probably makes them tired.\I see. That's just like you.\What is just like me, I wonder...\I'm not as nice as you think I am, really.\Penguins!\Hikki, Yukinon, let's go! response:	Oh, God, what are those? They're so cute!
context: What? Done already?\Yeah. Getting touched too much probably makes them tired.\I see. That's just like you.\What is just like me, I wonder...\I'm not as nice as you think I am, really.\Penguins!\Hikki, Yukinon, let's go!\Oh, God, what are those? They're so cute! response:	I've gotta send Komachi a picture.
context: Yeah. Getting touched too much probably makes them tired.\I see. That's just like you.\What is just like me, I wonder...\I'm not as nice as you think I am, really.\Penguins!\Hikki, Yukinon, let's go!\Oh, God, what are those? They're so cute!\I've gotta send Komachi a picture. response:	Wow, look! They're swimming!
context: I see. That's just like you.\What is just like me, I wonder...\I'm not as nice as you think I am, really.\Penguins!\Hikki, Yukinon, let's go!\Oh, God, what are those? They're so cute!\I've gotta send Komachi a picture.\Wow, look! They're swimming! response:	When I see them this way, penguins look like birds.
context: What is just like me, I wonder...\I'm not as nice as you think I am, really.\Penguins!\Hikki, Yukinon, let's go!\Oh, God, what are those? They're so cute!\I've gotta send Komachi a picture.\Wow, look! They're swimming!\When I see them this way, penguins look like birds. response:	Penguins are birds, actually.
context: I'm not as nice as you think I am, really.\Penguins!\Hikki, Yukinon, let's go!\Oh, God, what are those? They're so cute!\I've gotta send Komachi a picture.\Wow, look! They're swimming!\When I see them this way, penguins look like birds.\Penguins are birds, actually. response:	Huh? I-I knew that...
context: Penguins!\Hikki, Yukinon, let's go!\Oh, God, what are those? They're so cute!\I've gotta send Komachi a picture.\Wow, look! They're swimming!\When I see them this way, penguins look like birds.\Penguins are birds, actually.\Huh? I-I knew that... response:	Adult Humboldt Penguin
context: Hikki, Yukinon, let's go!\Oh, God, what are those? They're so cute!\I've gotta send Komachi a picture.\Wow, look! They're swimming!\When I see them this way, penguins look like birds.\Penguins are birds, actually.\Huh? I-I knew that...\Adult Humboldt Penguin response:	There's Something About the Way Those Two Are Acting
context: Oh, God, what are those? They're so cute!\I've gotta send Komachi a picture.\Wow, look! They're swimming!\When I see them this way, penguins look like birds.\Penguins are birds, actually.\Huh? I-I knew that...\Adult Humboldt Penguin\There's Something About the Way Those Two Are Acting response:	Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.
context: I've gotta send Komachi a picture.\Wow, look! They're swimming!\When I see them this way, penguins look like birds.\Penguins are birds, actually.\Huh? I-I knew that...\Adult Humboldt Penguin\There's Something About the Way Those Two Are Acting\Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave. response:	What's up?
context: Wow, look! They're swimming!\When I see them this way, penguins look like birds.\Penguins are birds, actually.\Huh? I-I knew that...\Adult Humboldt Penguin\There's Something About the Way Those Two Are Acting\Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.\What's up? response:	I'll be waiting inside.
context: When I see them this way, penguins look like birds.\Penguins are birds, actually.\Huh? I-I knew that...\Adult Humboldt Penguin\There's Something About the Way Those Two Are Acting\Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.\What's up?\I'll be waiting inside. response:	Where's Yuigahama-san?
context: Penguins are birds, actually.\Huh? I-I knew that...\Adult Humboldt Penguin\There's Something About the Way Those Two Are Acting\Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.\What's up?\I'll be waiting inside.\Where's Yuigahama-san? response:	Taking pictures of the fairy penguins.
context: Huh? I-I knew that...\Adult Humboldt Penguin\There's Something About the Way Those Two Are Acting\Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.\What's up?\I'll be waiting inside.\Where's Yuigahama-san?\Taking pictures of the fairy penguins. response:	Oh.
context: Adult Humboldt Penguin\There's Something About the Way Those Two Are Acting\Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.\What's up?\I'll be waiting inside.\Where's Yuigahama-san?\Taking pictures of the fairy penguins.\Oh. response:	Some of them are moving freely...
context: There's Something About the Way Those Two Are Acting\Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.\What's up?\I'll be waiting inside.\Where's Yuigahama-san?\Taking pictures of the fairy penguins.\Oh.\Some of them are moving freely... response:	Yeah, it's a pretty huge fish.
context: Do you see a pair of penguins standing close to each other? They are a mated pair. Most Humboldt penguins remain with the same mate for life, unless one partner dies. To reaffirm their bonds, two mated birds will groom one another and talk to each other. Try and observe how the mated pairs behave.\What's up?\I'll be waiting inside.\Where's Yuigahama-san?\Taking pictures of the fairy penguins.\Oh.\Some of them are moving freely...\Yeah, it's a pretty huge fish. response:	If it has nowhere to go, it won't find the place where it belongs.
context: What's up?\I'll be waiting inside.\Where's Yuigahama-san?\Taking pictures of the fairy penguins.\Oh.\Some of them are moving freely...\Yeah, it's a pretty huge fish.\If it has nowhere to go, it won't find the place where it belongs. response:	It'll hide, ride the current, follow something else,
context: I'll be waiting inside.\Where's Yuigahama-san?\Taking pictures of the fairy penguins.\Oh.\Some of them are moving freely...\Yeah, it's a pretty huge fish.\If it has nowhere to go, it won't find the place where it belongs.\It'll hide, ride the current, follow something else, response:	and crash into walls it can't see.
context: Where's Yuigahama-san?\Taking pictures of the fairy penguins.\Oh.\Some of them are moving freely...\Yeah, it's a pretty huge fish.\If it has nowhere to go, it won't find the place where it belongs.\It'll hide, ride the current, follow something else,\and crash into walls it can't see. response:	Which fish are you talking about?
context: Taking pictures of the fairy penguins.\Oh.\Some of them are moving freely...\Yeah, it's a pretty huge fish.\If it has nowhere to go, it won't find the place where it belongs.\It'll hide, ride the current, follow something else,\and crash into walls it can't see.\Which fish are you talking about? response:	Me.
context: Oh.\Some of them are moving freely...\Yeah, it's a pretty huge fish.\If it has nowhere to go, it won't find the place where it belongs.\It'll hide, ride the current, follow something else,\and crash into walls it can't see.\Which fish are you talking about?\Me. response:	Hey, guys! Sorry for the wait!
context: Some of them are moving freely...\Yeah, it's a pretty huge fish.\If it has nowhere to go, it won't find the place where it belongs.\It'll hide, ride the current, follow something else,\and crash into walls it can't see.\Which fish are you talking about?\Me.\Hey, guys! Sorry for the wait! response:	They look kinda like fireworks, don't they?
context: Yeah, it's a pretty huge fish.\If it has nowhere to go, it won't find the place where it belongs.\It'll hide, ride the current, follow something else,\and crash into walls it can't see.\Which fish are you talking about?\Me.\Hey, guys! Sorry for the wait!\They look kinda like fireworks, don't they? response:	They do?
context: If it has nowhere to go, it won't find the place where it belongs.\It'll hide, ride the current, follow something else,\and crash into walls it can't see.\Which fish are you talking about?\Me.\Hey, guys! Sorry for the wait!\They look kinda like fireworks, don't they?\They do? response:	You don't see it? Look, like that one.
context: It'll hide, ride the current, follow something else,\and crash into walls it can't see.\Which fish are you talking about?\Me.\Hey, guys! Sorry for the wait!\They look kinda like fireworks, don't they?\They do?\You don't see it? Look, like that one. response:	It's like, fwoom, bang...
context: and crash into walls it can't see.\Which fish are you talking about?\Me.\Hey, guys! Sorry for the wait!\They look kinda like fireworks, don't they?\They do?\You don't see it? Look, like that one.\It's like, fwoom, bang... response:	You're close...
context: Which fish are you talking about?\Me.\Hey, guys! Sorry for the wait!\They look kinda like fireworks, don't they?\They do?\You don't see it? Look, like that one.\It's like, fwoom, bang...\You're close... response:	I'm glad the three of us
context: Me.\Hey, guys! Sorry for the wait!\They look kinda like fireworks, don't they?\They do?\You don't see it? Look, like that one.\It's like, fwoom, bang...\You're close...\I'm glad the three of us response:	saw this together.
context: Hey, guys! Sorry for the wait!\They look kinda like fireworks, don't they?\They do?\You don't see it? Look, like that one.\It's like, fwoom, bang...\You're close...\I'm glad the three of us\saw this together. response:	Goal!
context: They look kinda like fireworks, don't they?\They do?\You don't see it? Look, like that one.\It's like, fwoom, bang...\You're close...\I'm glad the three of us\saw this together.\Goal! response:	Hey, want to go through again?
context: They do?\You don't see it? Look, like that one.\It's like, fwoom, bang...\You're close...\I'm glad the three of us\saw this together.\Goal!\Hey, want to go through again? response:	No.
context: You don't see it? Look, like that one.\It's like, fwoom, bang...\You're close...\I'm glad the three of us\saw this together.\Goal!\Hey, want to go through again?\No. response:	What's the point in seeing the same stuff again?
context: It's like, fwoom, bang...\You're close...\I'm glad the three of us\saw this together.\Goal!\Hey, want to go through again?\No.\What's the point in seeing the same stuff again? response:	H-He's right. I'm a bit tired, anyway.
context: You're close...\I'm glad the three of us\saw this together.\Goal!\Hey, want to go through again?\No.\What's the point in seeing the same stuff again?\H-He's right. I'm a bit tired, anyway. response:	Really? I think it'd be fun.
context: I'm glad the three of us\saw this together.\Goal!\Hey, want to go through again?\No.\What's the point in seeing the same stuff again?\H-He's right. I'm a bit tired, anyway.\Really? I think it'd be fun. response:	And we still have some time...
context: saw this together.\Goal!\Hey, want to go through again?\No.\What's the point in seeing the same stuff again?\H-He's right. I'm a bit tired, anyway.\Really? I think it'd be fun.\And we still have some time... response:	A Ferris wheel disguises its instability
context: Goal!\Hey, want to go through again?\No.\What's the point in seeing the same stuff again?\H-He's right. I'm a bit tired, anyway.\Really? I think it'd be fun.\And we still have some time...\A Ferris wheel disguises its instability response:	as it keeps slowly turning around and around.
context: Hey, want to go through again?\No.\What's the point in seeing the same stuff again?\H-He's right. I'm a bit tired, anyway.\Really? I think it'd be fun.\And we still have some time...\A Ferris wheel disguises its instability\as it keeps slowly turning around and around. response:	It never moves forward,
context: No.\What's the point in seeing the same stuff again?\H-He's right. I'm a bit tired, anyway.\Really? I think it'd be fun.\And we still have some time...\A Ferris wheel disguises its instability\as it keeps slowly turning around and around.\It never moves forward, response:	but just keeps spinning in the same spot forever.
context: What's the point in seeing the same stuff again?\H-He's right. I'm a bit tired, anyway.\Really? I think it'd be fun.\And we still have some time...\A Ferris wheel disguises its instability\as it keeps slowly turning around and around.\It never moves forward,\but just keeps spinning in the same spot forever. response:	But still, eventually...
context: H-He's right. I'm a bit tired, anyway.\Really? I think it'd be fun.\And we still have some time...\A Ferris wheel disguises its instability\as it keeps slowly turning around and around.\It never moves forward,\but just keeps spinning in the same spot forever.\But still, eventually... response:	It's almost over.
context: Really? I think it'd be fun.\And we still have some time...\A Ferris wheel disguises its instability\as it keeps slowly turning around and around.\It never moves forward,\but just keeps spinning in the same spot forever.\But still, eventually...\It's almost over. response:	What should we do now?
context: And we still have some time...\A Ferris wheel disguises its instability\as it keeps slowly turning around and around.\It never moves forward,\but just keeps spinning in the same spot forever.\But still, eventually...\It's almost over.\What should we do now? response:	Aren't we going home?
