context: The Deucalion? Why would they... response:	They had no choice but to make a frontal assault?
context: It will never move again without someone who has been granted activation rights.\What do I do?\It- The Aldnoah drive powered up?\But how?\I really wish they'd give it a rest with those things!\There is an inspection passageway.\It is a detour. It will take us to the Aldnoah chamber.\It is not designed for equipment access, so we will have to response:	abandon our Kataphrakts and proceed on foot.
context: What do I do?\It- The Aldnoah drive powered up?\But how?\I really wish they'd give it a rest with those things!\There is an inspection passageway.\It is a detour. It will take us to the Aldnoah chamber.\It is not designed for equipment access, so we will have to\abandon our Kataphrakts and proceed on foot. response:	Mustang 11!
context: It- The Aldnoah drive powered up?\But how?\I really wish they'd give it a rest with those things!\There is an inspection passageway.\It is a detour. It will take us to the Aldnoah chamber.\It is not designed for equipment access, so we will have to\abandon our Kataphrakts and proceed on foot.\Mustang 11! response:	Roger!
context: But how?\I really wish they'd give it a rest with those things!\There is an inspection passageway.\It is a detour. It will take us to the Aldnoah chamber.\It is not designed for equipment access, so we will have to\abandon our Kataphrakts and proceed on foot.\Mustang 11!\Roger! response:	Let's move!
context: I really wish they'd give it a rest with those things!\There is an inspection passageway.\It is a detour. It will take us to the Aldnoah chamber.\It is not designed for equipment access, so we will have to\abandon our Kataphrakts and proceed on foot.\Mustang 11!\Roger!\Let's move! response:	Yes, ma'am!
context: There is an inspection passageway.\It is a detour. It will take us to the Aldnoah chamber.\It is not designed for equipment access, so we will have to\abandon our Kataphrakts and proceed on foot.\Mustang 11!\Roger!\Let's move!\Yes, ma'am! response:	Inaho?!
context: It is a detour. It will take us to the Aldnoah chamber.\It is not designed for equipment access, so we will have to\abandon our Kataphrakts and proceed on foot.\Mustang 11!\Roger!\Let's move!\Yes, ma'am!\Inaho?! response:	Princess Asseylum.
context: It is not designed for equipment access, so we will have to\abandon our Kataphrakts and proceed on foot.\Mustang 11!\Roger!\Let's move!\Yes, ma'am!\Inaho?!\Princess Asseylum. response:	Your life, if you please.
context: abandon our Kataphrakts and proceed on foot.\Mustang 11!\Roger!\Let's move!\Yes, ma'am!\Inaho?!\Princess Asseylum.\Your life, if you please. response:	Count Saazbaum!
context: Mustang 11!\Roger!\Let's move!\Yes, ma'am!\Inaho?!\Princess Asseylum.\Your life, if you please.\Count Saazbaum! response:	Bastard!
context: Roger!\Let's move!\Yes, ma'am!\Inaho?!\Princess Asseylum.\Your life, if you please.\Count Saazbaum!\Bastard! response:	He has a barrier, too!
context: Let's move!\Yes, ma'am!\Inaho?!\Princess Asseylum.\Your life, if you please.\Count Saazbaum!\Bastard!\He has a barrier, too! response:	Inko, get out of here.
context: Yes, ma'am!\Inaho?!\Princess Asseylum.\Your life, if you please.\Count Saazbaum!\Bastard!\He has a barrier, too!\Inko, get out of here. response:	Inaho!
context: Inaho?!\Princess Asseylum.\Your life, if you please.\Count Saazbaum!\Bastard!\He has a barrier, too!\Inko, get out of here.\Inaho! response:	Hurry.
context: Princess Asseylum.\Your life, if you please.\Count Saazbaum!\Bastard!\He has a barrier, too!\Inko, get out of here.\Inaho!\Hurry. response:	No way, I can't just leave you!
context: Your life, if you please.\Count Saazbaum!\Bastard!\He has a barrier, too!\Inko, get out of here.\Inaho!\Hurry.\No way, I can't just leave you! response:	Don't worry about me, just run!
context: Count Saazbaum!\Bastard!\He has a barrier, too!\Inko, get out of here.\Inaho!\Hurry.\No way, I can't just leave you!\Don't worry about me, just run! response:	Don't be an idiot!
context: Bastard!\He has a barrier, too!\Inko, get out of here.\Inaho!\Hurry.\No way, I can't just leave you!\Don't worry about me, just run!\Don't be an idiot! response:	Dodge it...
context: He has a barrier, too!\Inko, get out of here.\Inaho!\Hurry.\No way, I can't just leave you!\Don't worry about me, just run!\Don't be an idiot!\Dodge it... response:	Mustang 11!
context: Inko, get out of here.\Inaho!\Hurry.\No way, I can't just leave you!\Don't worry about me, just run!\Don't be an idiot!\Dodge it...\Mustang 11! response:	Like I thought, he has to lower the barrier when he launches his arms.
context: Inaho!\Hurry.\No way, I can't just leave you!\Don't worry about me, just run!\Don't be an idiot!\Dodge it...\Mustang 11!\Like I thought, he has to lower the barrier when he launches his arms. response:	It's because the arm thrusters interfere with the barrier.
context: Hurry.\No way, I can't just leave you!\Don't worry about me, just run!\Don't be an idiot!\Dodge it...\Mustang 11!\Like I thought, he has to lower the barrier when he launches his arms.\It's because the arm thrusters interfere with the barrier. response:	Hang on... Did you use me as a decoy?!
context: No way, I can't just leave you!\Don't worry about me, just run!\Don't be an idiot!\Dodge it...\Mustang 11!\Like I thought, he has to lower the barrier when he launches his arms.\It's because the arm thrusters interfere with the barrier.\Hang on... Did you use me as a decoy?! response:	You don't say?
context: Don't worry about me, just run!\Don't be an idiot!\Dodge it...\Mustang 11!\Like I thought, he has to lower the barrier when he launches his arms.\It's because the arm thrusters interfere with the barrier.\Hang on... Did you use me as a decoy?!\You don't say? response:	The barrier needs to have a gap.
context: Don't be an idiot!\Dodge it...\Mustang 11!\Like I thought, he has to lower the barrier when he launches his arms.\It's because the arm thrusters interfere with the barrier.\Hang on... Did you use me as a decoy?!\You don't say?\The barrier needs to have a gap. response:	If you're watching at the instant he raises the field, it's easy to spot.
context: Dodge it...\Mustang 11!\Like I thought, he has to lower the barrier when he launches his arms.\It's because the arm thrusters interfere with the barrier.\Hang on... Did you use me as a decoy?!\You don't say?\The barrier needs to have a gap.\If you're watching at the instant he raises the field, it's easy to spot. response:	The antenna to remote-control the flying arms!
context: Mustang 11!\Like I thought, he has to lower the barrier when he launches his arms.\It's because the arm thrusters interfere with the barrier.\Hang on... Did you use me as a decoy?!\You don't say?\The barrier needs to have a gap.\If you're watching at the instant he raises the field, it's easy to spot.\The antenna to remote-control the flying arms! response:	You try my patience!
context: Like I thought, he has to lower the barrier when he launches his arms.\It's because the arm thrusters interfere with the barrier.\Hang on... Did you use me as a decoy?!\You don't say?\The barrier needs to have a gap.\If you're watching at the instant he raises the field, it's easy to spot.\The antenna to remote-control the flying arms!\You try my patience! response:	Nao, run!
context: It's because the arm thrusters interfere with the barrier.\Hang on... Did you use me as a decoy?!\You don't say?\The barrier needs to have a gap.\If you're watching at the instant he raises the field, it's easy to spot.\The antenna to remote-control the flying arms!\You try my patience!\Nao, run! response:	No, I've been waiting for him to get close.
context: Hang on... Did you use me as a decoy?!\You don't say?\The barrier needs to have a gap.\If you're watching at the instant he raises the field, it's easy to spot.\The antenna to remote-control the flying arms!\You try my patience!\Nao, run!\No, I've been waiting for him to get close. response:	Why, you little...
context: You don't say?\The barrier needs to have a gap.\If you're watching at the instant he raises the field, it's easy to spot.\The antenna to remote-control the flying arms!\You try my patience!\Nao, run!\No, I've been waiting for him to get close.\Why, you little... response:	And they can't raise a barrier along contact surfaces.
context: The barrier needs to have a gap.\If you're watching at the instant he raises the field, it's easy to spot.\The antenna to remote-control the flying arms!\You try my patience!\Nao, run!\No, I've been waiting for him to get close.\Why, you little...\And they can't raise a barrier along contact surfaces. response:	Why, you...
context: If you're watching at the instant he raises the field, it's easy to spot.\The antenna to remote-control the flying arms!\You try my patience!\Nao, run!\No, I've been waiting for him to get close.\Why, you little...\And they can't raise a barrier along contact surfaces.\Why, you... response:	Count Saazbaum?
context: The antenna to remote-control the flying arms!\You try my patience!\Nao, run!\No, I've been waiting for him to get close.\Why, you little...\And they can't raise a barrier along contact surfaces.\Why, you...\Count Saazbaum? response:	I can't hit him!
context: You try my patience!\Nao, run!\No, I've been waiting for him to get close.\Why, you little...\And they can't raise a barrier along contact surfaces.\Why, you...\Count Saazbaum?\I can't hit him! response:	How can it be that fast?!
context: Nao, run!\No, I've been waiting for him to get close.\Why, you little...\And they can't raise a barrier along contact surfaces.\Why, you...\Count Saazbaum?\I can't hit him!\How can it be that fast?! response:	It's like it's anticipating the trajectory of our bullets precisely!
context: No, I've been waiting for him to get close.\Why, you little...\And they can't raise a barrier along contact surfaces.\Why, you...\Count Saazbaum?\I can't hit him!\How can it be that fast?!\It's like it's anticipating the trajectory of our bullets precisely! response:	Princess, hurry!
context: Why, you little...\And they can't raise a barrier along contact surfaces.\Why, you...\Count Saazbaum?\I can't hit him!\How can it be that fast?!\It's like it's anticipating the trajectory of our bullets precisely!\Princess, hurry! response:	Coming!
context: And they can't raise a barrier along contact surfaces.\Why, you...\Count Saazbaum?\I can't hit him!\How can it be that fast?!\It's like it's anticipating the trajectory of our bullets precisely!\Princess, hurry!\Coming! response:	Now you, Inaho!
context: Why, you...\Count Saazbaum?\I can't hit him!\How can it be that fast?!\It's like it's anticipating the trajectory of our bullets precisely!\Princess, hurry!\Coming!\Now you, Inaho! response:	No.
context: Count Saazbaum?\I can't hit him!\How can it be that fast?!\It's like it's anticipating the trajectory of our bullets precisely!\Princess, hurry!\Coming!\Now you, Inaho!\No. response:	You go on ahead. I'll be right behind you.
context: I can't hit him!\How can it be that fast?!\It's like it's anticipating the trajectory of our bullets precisely!\Princess, hurry!\Coming!\Now you, Inaho!\No.\You go on ahead. I'll be right behind you. response:	Lead the way.
context: How can it be that fast?!\It's like it's anticipating the trajectory of our bullets precisely!\Princess, hurry!\Coming!\Now you, Inaho!\No.\You go on ahead. I'll be right behind you.\Lead the way. response:	Of course!
context: It's like it's anticipating the trajectory of our bullets precisely!\Princess, hurry!\Coming!\Now you, Inaho!\No.\You go on ahead. I'll be right behind you.\Lead the way.\Of course! response:	This way!
context: Princess, hurry!\Coming!\Now you, Inaho!\No.\You go on ahead. I'll be right behind you.\Lead the way.\Of course!\This way! response:	Filthy Terran!
context: Coming!\Now you, Inaho!\No.\You go on ahead. I'll be right behind you.\Lead the way.\Of course!\This way!\Filthy Terran! response:	You dare?!
context: Now you, Inaho!\No.\You go on ahead. I'll be right behind you.\Lead the way.\Of course!\This way!\Filthy Terran!\You dare?! response:	Damn you!
context: No.\You go on ahead. I'll be right behind you.\Lead the way.\Of course!\This way!\Filthy Terran!\You dare?!\Damn you! response:	Your kind could never understand...
context: You go on ahead. I'll be right behind you.\Lead the way.\Of course!\This way!\Filthy Terran!\You dare?!\Damn you!\Your kind could never understand... response:	The envy and hatred towards Terrans that had been planted in us
context: Lead the way.\Of course!\This way!\Filthy Terran!\You dare?!\Damn you!\Your kind could never understand...\The envy and hatred towards Terrans that had been planted in us response:	constantly tarnished our souls and robbed us of our ability to live as human beings!
context: Of course!\This way!\Filthy Terran!\You dare?!\Damn you!\Your kind could never understand...\The envy and hatred towards Terrans that had been planted in us\constantly tarnished our souls and robbed us of our ability to live as human beings! response:	You, with your lives of indolence in a land of plenty,
context: This way!\Filthy Terran!\You dare?!\Damn you!\Your kind could never understand...\The envy and hatred towards Terrans that had been planted in us\constantly tarnished our souls and robbed us of our ability to live as human beings!\You, with your lives of indolence in a land of plenty, response:	could never understand how we feel!
context: Filthy Terran!\You dare?!\Damn you!\Your kind could never understand...\The envy and hatred towards Terrans that had been planted in us\constantly tarnished our souls and robbed us of our ability to live as human beings!\You, with your lives of indolence in a land of plenty,\could never understand how we feel! response:	The resentment at having that hatred ingrained in you!
context: You dare?!\Damn you!\Your kind could never understand...\The envy and hatred towards Terrans that had been planted in us\constantly tarnished our souls and robbed us of our ability to live as human beings!\You, with your lives of indolence in a land of plenty,\could never understand how we feel!\The resentment at having that hatred ingrained in you! response:	The sense of futility when you realize what was done!
context: Damn you!\Your kind could never understand...\The envy and hatred towards Terrans that had been planted in us\constantly tarnished our souls and robbed us of our ability to live as human beings!\You, with your lives of indolence in a land of plenty,\could never understand how we feel!\The resentment at having that hatred ingrained in you!\The sense of futility when you realize what was done! response:	The regret of failing to protect the one you love...
context: Your kind could never understand...\The envy and hatred towards Terrans that had been planted in us\constantly tarnished our souls and robbed us of our ability to live as human beings!\You, with your lives of indolence in a land of plenty,\could never understand how we feel!\The resentment at having that hatred ingrained in you!\The sense of futility when you realize what was done!\The regret of failing to protect the one you love... response:	You could never understand!
context: The envy and hatred towards Terrans that had been planted in us\constantly tarnished our souls and robbed us of our ability to live as human beings!\You, with your lives of indolence in a land of plenty,\could never understand how we feel!\The resentment at having that hatred ingrained in you!\The sense of futility when you realize what was done!\The regret of failing to protect the one you love...\You could never understand! response:	Count!
context: constantly tarnished our souls and robbed us of our ability to live as human beings!\You, with your lives of indolence in a land of plenty,\could never understand how we feel!\The resentment at having that hatred ingrained in you!\The sense of futility when you realize what was done!\The regret of failing to protect the one you love...\You could never understand!\Count! response:	Orange!
context: You, with your lives of indolence in a land of plenty,\could never understand how we feel!\The resentment at having that hatred ingrained in you!\The sense of futility when you realize what was done!\The regret of failing to protect the one you love...\You could never understand!\Count!\Orange! response:	Go! We'll hold them off here!
context: could never understand how we feel!\The resentment at having that hatred ingrained in you!\The sense of futility when you realize what was done!\The regret of failing to protect the one you love...\You could never understand!\Count!\Orange!\Go! We'll hold them off here! response:	Hurry!
context: The resentment at having that hatred ingrained in you!\The sense of futility when you realize what was done!\The regret of failing to protect the one you love...\You could never understand!\Count!\Orange!\Go! We'll hold them off here!\Hurry! response:	Optical seeker, down. Routing auxiliary sensor feed to main monitor.
context: The sense of futility when you realize what was done!\The regret of failing to protect the one you love...\You could never understand!\Count!\Orange!\Go! We'll hold them off here!\Hurry!\Optical seeker, down. Routing auxiliary sensor feed to main monitor. response:	Right arm, power cut.
context: The regret of failing to protect the one you love...\You could never understand!\Count!\Orange!\Go! We'll hold them off here!\Hurry!\Optical seeker, down. Routing auxiliary sensor feed to main monitor.\Right arm, power cut. response:	Left arm...
context: You could never understand!\Count!\Orange!\Go! We'll hold them off here!\Hurry!\Optical seeker, down. Routing auxiliary sensor feed to main monitor.\Right arm, power cut.\Left arm... response:	I will defeat all who hate...
context: Count!\Orange!\Go! We'll hold them off here!\Hurry!\Optical seeker, down. Routing auxiliary sensor feed to main monitor.\Right arm, power cut.\Left arm...\I will defeat all who hate... response:	I will break the cycle of hatred...
context: Orange!\Go! We'll hold them off here!\Hurry!\Optical seeker, down. Routing auxiliary sensor feed to main monitor.\Right arm, power cut.\Left arm...\I will defeat all who hate...\I will break the cycle of hatred... response:	In the name of Asseylum Vers Allusia!
context: Go! We'll hold them off here!\Hurry!\Optical seeker, down. Routing auxiliary sensor feed to main monitor.\Right arm, power cut.\Left arm...\I will defeat all who hate...\I will break the cycle of hatred...\In the name of Asseylum Vers Allusia! response:	Count!
context: Hurry!\Optical seeker, down. Routing auxiliary sensor feed to main monitor.\Right arm, power cut.\Left arm...\I will defeat all who hate...\I will break the cycle of hatred...\In the name of Asseylum Vers Allusia!\Count! response:	Sleep!
context: Optical seeker, down. Routing auxiliary sensor feed to main monitor.\Right arm, power cut.\Left arm...\I will defeat all who hate...\I will break the cycle of hatred...\In the name of Asseylum Vers Allusia!\Count!\Sleep! response:	Milord...
context: Right arm, power cut.\Left arm...\I will defeat all who hate...\I will break the cycle of hatred...\In the name of Asseylum Vers Allusia!\Count!\Sleep!\Milord... response:	Inaho...
context: Left arm...\I will defeat all who hate...\I will break the cycle of hatred...\In the name of Asseylum Vers Allusia!\Count!\Sleep!\Milord...\Inaho... response:	Are you all right, Inaho?!
context: I will defeat all who hate...\I will break the cycle of hatred...\In the name of Asseylum Vers Allusia!\Count!\Sleep!\Milord...\Inaho...\Are you all right, Inaho?! response:	Princess Asseylum!
context: I will break the cycle of hatred...\In the name of Asseylum Vers Allusia!\Count!\Sleep!\Milord...\Inaho...\Are you all right, Inaho?!\Princess Asseylum! response:	Seylum?
context: In the name of Asseylum Vers Allusia!\Count!\Sleep!\Milord...\Inaho...\Are you all right, Inaho?!\Princess Asseylum!\Seylum? response:	Inaho! Thank goodness...
context: Count!\Sleep!\Milord...\Inaho...\Are you all right, Inaho?!\Princess Asseylum!\Seylum?\Inaho! Thank goodness... response:	I have shut down the Landing Castle's Aldnoah drive.
context: Sleep!\Milord...\Inaho...\Are you all right, Inaho?!\Princess Asseylum!\Seylum?\Inaho! Thank goodness...\I have shut down the Landing Castle's Aldnoah drive. response:	The operation was a success. Now, we should escape, too.
context: Milord...\Inaho...\Are you all right, Inaho?!\Princess Asseylum!\Seylum?\Inaho! Thank goodness...\I have shut down the Landing Castle's Aldnoah drive.\The operation was a success. Now, we should escape, too. response:	Sorry... I can't see very well. I have blood in my eyes.
context: Inaho...\Are you all right, Inaho?!\Princess Asseylum!\Seylum?\Inaho! Thank goodness...\I have shut down the Landing Castle's Aldnoah drive.\The operation was a success. Now, we should escape, too.\Sorry... I can't see very well. I have blood in my eyes. response:	I am right here, Inaho.
context: Are you all right, Inaho?!\Princess Asseylum!\Seylum?\Inaho! Thank goodness...\I have shut down the Landing Castle's Aldnoah drive.\The operation was a success. Now, we should escape, too.\Sorry... I can't see very well. I have blood in my eyes.\I am right here, Inaho. response:	I am right here.
context: Princess Asseylum!\Seylum?\Inaho! Thank goodness...\I have shut down the Landing Castle's Aldnoah drive.\The operation was a success. Now, we should escape, too.\Sorry... I can't see very well. I have blood in my eyes.\I am right here, Inaho.\I am right here. response:	Count Saazbaum...?
context: Seylum?\Inaho! Thank goodness...\I have shut down the Landing Castle's Aldnoah drive.\The operation was a success. Now, we should escape, too.\Sorry... I can't see very well. I have blood in my eyes.\I am right here, Inaho.\I am right here.\Count Saazbaum...? response:	You saved me, Slaine...
context: Inaho! Thank goodness...\I have shut down the Landing Castle's Aldnoah drive.\The operation was a success. Now, we should escape, too.\Sorry... I can't see very well. I have blood in my eyes.\I am right here, Inaho.\I am right here.\Count Saazbaum...?\You saved me, Slaine... response:	Well done.
context: I have shut down the Landing Castle's Aldnoah drive.\The operation was a success. Now, we should escape, too.\Sorry... I can't see very well. I have blood in my eyes.\I am right here, Inaho.\I am right here.\Count Saazbaum...?\You saved me, Slaine...\Well done. response:	Don't.
context: The operation was a success. Now, we should escape, too.\Sorry... I can't see very well. I have blood in my eyes.\I am right here, Inaho.\I am right here.\Count Saazbaum...?\You saved me, Slaine...\Well done.\Don't. response:	That is far enough. Do not touch Her Highness,
context: Sorry... I can't see very well. I have blood in my eyes.\I am right here, Inaho.\I am right here.\Count Saazbaum...?\You saved me, Slaine...\Well done.\Don't.\That is far enough. Do not touch Her Highness, response:	Bat.
context: I am right here, Inaho.\I am right here.\Count Saazbaum...?\You saved me, Slaine...\Well done.\Don't.\That is far enough. Do not touch Her Highness,\Bat. response:	December, 2014.
context: I am right here.\Count Saazbaum...?\You saved me, Slaine...\Well done.\Don't.\That is far enough. Do not touch Her Highness,\Bat.\December, 2014. response:	Count Saazbaum's Landing Castle,
context: Count Saazbaum...?\You saved me, Slaine...\Well done.\Don't.\That is far enough. Do not touch Her Highness,\Bat.\December, 2014.\Count Saazbaum's Landing Castle, response:	which had attacked United Earth's headquarters, had fallen.
context: You saved me, Slaine...\Well done.\Don't.\That is far enough. Do not touch Her Highness,\Bat.\December, 2014.\Count Saazbaum's Landing Castle,\which had attacked United Earth's headquarters, had fallen. response:	The battle had ended in victory for the United Earth Forces.
context: Well done.\Don't.\That is far enough. Do not touch Her Highness,\Bat.\December, 2014.\Count Saazbaum's Landing Castle,\which had attacked United Earth's headquarters, had fallen.\The battle had ended in victory for the United Earth Forces. response:	There were many casualties on both sides.
context: Don't.\That is far enough. Do not touch Her Highness,\Bat.\December, 2014.\Count Saazbaum's Landing Castle,\which had attacked United Earth's headquarters, had fallen.\The battle had ended in victory for the United Earth Forces.\There were many casualties on both sides. response:	The whereabouts of Princess Royal Asseylum Vers Allusia of Vers
context: That is far enough. Do not touch Her Highness,\Bat.\December, 2014.\Count Saazbaum's Landing Castle,\which had attacked United Earth's headquarters, had fallen.\The battle had ended in victory for the United Earth Forces.\There were many casualties on both sides.\The whereabouts of Princess Royal Asseylum Vers Allusia of Vers response:	are still unknown.
