context: Is it possible to have a happy marriage to a human woman? response:	I certainly don't believe so.
context: Thanks. Anything else?\Actually... my throat would sometimes feel cold.\Like someone put a knife to it.\Your throat?\Does it hurt right now?\No... but when I remembered, I suddenly got scared.\Your voice sounds normal.\It's a little husky. response:	Husky? Nobody's ever said that before.
context: Actually... my throat would sometimes feel cold.\Like someone put a knife to it.\Your throat?\Does it hurt right now?\No... but when I remembered, I suddenly got scared.\Your voice sounds normal.\It's a little husky.\Husky? Nobody's ever said that before. response:	Can you try singing a high note?
context: Like someone put a knife to it.\Your throat?\Does it hurt right now?\No... but when I remembered, I suddenly got scared.\Your voice sounds normal.\It's a little husky.\Husky? Nobody's ever said that before.\Can you try singing a high note? response:	Like you did in choir.
context: Your throat?\Does it hurt right now?\No... but when I remembered, I suddenly got scared.\Your voice sounds normal.\It's a little husky.\Husky? Nobody's ever said that before.\Can you try singing a high note?\Like you did in choir. response:	Wait... Wait a second.
context: Does it hurt right now?\No... but when I remembered, I suddenly got scared.\Your voice sounds normal.\It's a little husky.\Husky? Nobody's ever said that before.\Can you try singing a high note?\Like you did in choir.\Wait... Wait a second. response:	No! How?!
context: No... but when I remembered, I suddenly got scared.\Your voice sounds normal.\It's a little husky.\Husky? Nobody's ever said that before.\Can you try singing a high note?\Like you did in choir.\Wait... Wait a second.\No! How?! response:	I can't sing!
context: Your voice sounds normal.\It's a little husky.\Husky? Nobody's ever said that before.\Can you try singing a high note?\Like you did in choir.\Wait... Wait a second.\No! How?!\I can't sing! response:	Why?!
context: It's a little husky.\Husky? Nobody's ever said that before.\Can you try singing a high note?\Like you did in choir.\Wait... Wait a second.\No! How?!\I can't sing!\Why?! response:	So, she lost function in a specific body part.
context: Husky? Nobody's ever said that before.\Can you try singing a high note?\Like you did in choir.\Wait... Wait a second.\No! How?!\I can't sing!\Why?!\So, she lost function in a specific body part. response:	That's the natural assumption.
context: Can you try singing a high note?\Like you did in choir.\Wait... Wait a second.\No! How?!\I can't sing!\Why?!\So, she lost function in a specific body part.\That's the natural assumption. response:	In her case, she's retained her ability to speak,
context: Like you did in choir.\Wait... Wait a second.\No! How?!\I can't sing!\Why?!\So, she lost function in a specific body part.\That's the natural assumption.\In her case, she's retained her ability to speak, response:	but lost function in a certain vocal range.
context: Wait... Wait a second.\No! How?!\I can't sing!\Why?!\So, she lost function in a specific body part.\That's the natural assumption.\In her case, she's retained her ability to speak,\but lost function in a certain vocal range. response:	Her singing voice was stolen...
context: No! How?!\I can't sing!\Why?!\So, she lost function in a specific body part.\That's the natural assumption.\In her case, she's retained her ability to speak,\but lost function in a certain vocal range.\Her singing voice was stolen... response:	I see. So that's it?
context: I can't sing!\Why?!\So, she lost function in a specific body part.\That's the natural assumption.\In her case, she's retained her ability to speak,\but lost function in a certain vocal range.\Her singing voice was stolen...\I see. So that's it? response:	Did something happen?
context: Why?!\So, she lost function in a specific body part.\That's the natural assumption.\In her case, she's retained her ability to speak,\but lost function in a certain vocal range.\Her singing voice was stolen...\I see. So that's it?\Did something happen? response:	I just got a call. Another victim woke up.
context: So, she lost function in a specific body part.\That's the natural assumption.\In her case, she's retained her ability to speak,\but lost function in a certain vocal range.\Her singing voice was stolen...\I see. So that's it?\Did something happen?\I just got a call. Another victim woke up. response:	But they say her right leg won't move.
context: That's the natural assumption.\In her case, she's retained her ability to speak,\but lost function in a certain vocal range.\Her singing voice was stolen...\I see. So that's it?\Did something happen?\I just got a call. Another victim woke up.\But they say her right leg won't move. response:	She didn't get hurt or anything?
context: In her case, she's retained her ability to speak,\but lost function in a certain vocal range.\Her singing voice was stolen...\I see. So that's it?\Did something happen?\I just got a call. Another victim woke up.\But they say her right leg won't move.\She didn't get hurt or anything? response:	I'm looking into it now,
context: but lost function in a certain vocal range.\Her singing voice was stolen...\I see. So that's it?\Did something happen?\I just got a call. Another victim woke up.\But they say her right leg won't move.\She didn't get hurt or anything?\I'm looking into it now, response:	but there's another problem.
context: Her singing voice was stolen...\I see. So that's it?\Did something happen?\I just got a call. Another victim woke up.\But they say her right leg won't move.\She didn't get hurt or anything?\I'm looking into it now,\but there's another problem. response:	Another problem?
context: I see. So that's it?\Did something happen?\I just got a call. Another victim woke up.\But they say her right leg won't move.\She didn't get hurt or anything?\I'm looking into it now,\but there's another problem.\Another problem? response:	She went missing in Hokkaido.
context: Did something happen?\I just got a call. Another victim woke up.\But they say her right leg won't move.\She didn't get hurt or anything?\I'm looking into it now,\but there's another problem.\Another problem?\She went missing in Hokkaido. response:	I see.
context: I just got a call. Another victim woke up.\But they say her right leg won't move.\She didn't get hurt or anything?\I'm looking into it now,\but there's another problem.\Another problem?\She went missing in Hokkaido.\I see. response:	Either way, we need to look into this more.
context: But they say her right leg won't move.\She didn't get hurt or anything?\I'm looking into it now,\but there's another problem.\Another problem?\She went missing in Hokkaido.\I see.\Either way, we need to look into this more. response:	And work with the police, too.
context: She didn't get hurt or anything?\I'm looking into it now,\but there's another problem.\Another problem?\She went missing in Hokkaido.\I see.\Either way, we need to look into this more.\And work with the police, too. response:	Work with the police, huh?
context: I'm looking into it now,\but there's another problem.\Another problem?\She went missing in Hokkaido.\I see.\Either way, we need to look into this more.\And work with the police, too.\Work with the police, huh? response:	The cops and ward office have different things they can do.
context: but there's another problem.\Another problem?\She went missing in Hokkaido.\I see.\Either way, we need to look into this more.\And work with the police, too.\Work with the police, huh?\The cops and ward office have different things they can do. response:	First, head back here. I want to show you what I've got.
context: Another problem?\She went missing in Hokkaido.\I see.\Either way, we need to look into this more.\And work with the police, too.\Work with the police, huh?\The cops and ward office have different things they can do.\First, head back here. I want to show you what I've got. response:	Roger.
context: She went missing in Hokkaido.\I see.\Either way, we need to look into this more.\And work with the police, too.\Work with the police, huh?\The cops and ward office have different things they can do.\First, head back here. I want to show you what I've got.\Roger. response:	Sakaki-san?
context: I see.\Either way, we need to look into this more.\And work with the police, too.\Work with the police, huh?\The cops and ward office have different things they can do.\First, head back here. I want to show you what I've got.\Roger.\Sakaki-san? response:	Oh, sorry.
context: Either way, we need to look into this more.\And work with the police, too.\Work with the police, huh?\The cops and ward office have different things they can do.\First, head back here. I want to show you what I've got.\Roger.\Sakaki-san?\Oh, sorry. response:	It's the only possibility, huh?
context: And work with the police, too.\Work with the police, huh?\The cops and ward office have different things they can do.\First, head back here. I want to show you what I've got.\Roger.\Sakaki-san?\Oh, sorry.\It's the only possibility, huh? response:	Nee-san...
context: Work with the police, huh?\The cops and ward office have different things they can do.\First, head back here. I want to show you what I've got.\Roger.\Sakaki-san?\Oh, sorry.\It's the only possibility, huh?\Nee-san... response:	July 18th
context: The cops and ward office have different things they can do.\First, head back here. I want to show you what I've got.\Roger.\Sakaki-san?\Oh, sorry.\It's the only possibility, huh?\Nee-san...\July 18th response:	Um, what did you want to talk about?
context: First, head back here. I want to show you what I've got.\Roger.\Sakaki-san?\Oh, sorry.\It's the only possibility, huh?\Nee-san...\July 18th\Um, what did you want to talk about? response:	First, look at this.
context: Roger.\Sakaki-san?\Oh, sorry.\It's the only possibility, huh?\Nee-san...\July 18th\Um, what did you want to talk about?\First, look at this. response:	Unsolved Missing Girls Cases in Tokyo
context: Sakaki-san?\Oh, sorry.\It's the only possibility, huh?\Nee-san...\July 18th\Um, what did you want to talk about?\First, look at this.\Unsolved Missing Girls Cases in Tokyo response:	The part with a red bookmark.
context: Oh, sorry.\It's the only possibility, huh?\Nee-san...\July 18th\Um, what did you want to talk about?\First, look at this.\Unsolved Missing Girls Cases in Tokyo\The part with a red bookmark. response:	This is the girl from yesterday.
context: It's the only possibility, huh?\Nee-san...\July 18th\Um, what did you want to talk about?\First, look at this.\Unsolved Missing Girls Cases in Tokyo\The part with a red bookmark.\This is the girl from yesterday. response:	Name: Shiba Yuko
context: Nee-san...\July 18th\Um, what did you want to talk about?\First, look at this.\Unsolved Missing Girls Cases in Tokyo\The part with a red bookmark.\This is the girl from yesterday.\Name: Shiba Yuko response:	There's a missing persons case I've been following for a long time.
context: July 18th\Um, what did you want to talk about?\First, look at this.\Unsolved Missing Girls Cases in Tokyo\The part with a red bookmark.\This is the girl from yesterday.\Name: Shiba Yuko\There's a missing persons case I've been following for a long time. response:	I think these girls are its victims.
context: Um, what did you want to talk about?\First, look at this.\Unsolved Missing Girls Cases in Tokyo\The part with a red bookmark.\This is the girl from yesterday.\Name: Shiba Yuko\There's a missing persons case I've been following for a long time.\I think these girls are its victims. response:	This many?
context: First, look at this.\Unsolved Missing Girls Cases in Tokyo\The part with a red bookmark.\This is the girl from yesterday.\Name: Shiba Yuko\There's a missing persons case I've been following for a long time.\I think these girls are its victims.\This many? response:	Now, look at the blue bookmark.
context: Unsolved Missing Girls Cases in Tokyo\The part with a red bookmark.\This is the girl from yesterday.\Name: Shiba Yuko\There's a missing persons case I've been following for a long time.\I think these girls are its victims.\This many?\Now, look at the blue bookmark. response:	Sakaki-san, this is...
context: The part with a red bookmark.\This is the girl from yesterday.\Name: Shiba Yuko\There's a missing persons case I've been following for a long time.\I think these girls are its victims.\This many?\Now, look at the blue bookmark.\Sakaki-san, this is... response:	Yes.
context: This is the girl from yesterday.\Name: Shiba Yuko\There's a missing persons case I've been following for a long time.\I think these girls are its victims.\This many?\Now, look at the blue bookmark.\Sakaki-san, this is...\Yes. response:	Name: Sakaki Shiori
context: Name: Shiba Yuko\There's a missing persons case I've been following for a long time.\I think these girls are its victims.\This many?\Now, look at the blue bookmark.\Sakaki-san, this is...\Yes.\Name: Sakaki Shiori response:	She's my older sister.
context: There's a missing persons case I've been following for a long time.\I think these girls are its victims.\This many?\Now, look at the blue bookmark.\Sakaki-san, this is...\Yes.\Name: Sakaki Shiori\She's my older sister. response:	17 years ago, we lost our parents.
context: I think these girls are its victims.\This many?\Now, look at the blue bookmark.\Sakaki-san, this is...\Yes.\Name: Sakaki Shiori\She's my older sister.\17 years ago, we lost our parents. response:	The two of us lived in an orphanage.
context: This many?\Now, look at the blue bookmark.\Sakaki-san, this is...\Yes.\Name: Sakaki Shiori\She's my older sister.\17 years ago, we lost our parents.\The two of us lived in an orphanage. response:	Kyo-chan!
context: Now, look at the blue bookmark.\Sakaki-san, this is...\Yes.\Name: Sakaki Shiori\She's my older sister.\17 years ago, we lost our parents.\The two of us lived in an orphanage.\Kyo-chan! response:	Onee-chan...
context: Sakaki-san, this is...\Yes.\Name: Sakaki Shiori\She's my older sister.\17 years ago, we lost our parents.\The two of us lived in an orphanage.\Kyo-chan!\Onee-chan... response:	You had me so worried!
context: Yes.\Name: Sakaki Shiori\She's my older sister.\17 years ago, we lost our parents.\The two of us lived in an orphanage.\Kyo-chan!\Onee-chan...\You had me so worried! response:	It's not my fault.
context: Name: Sakaki Shiori\She's my older sister.\17 years ago, we lost our parents.\The two of us lived in an orphanage.\Kyo-chan!\Onee-chan...\You had me so worried!\It's not my fault. response:	I know!
context: She's my older sister.\17 years ago, we lost our parents.\The two of us lived in an orphanage.\Kyo-chan!\Onee-chan...\You had me so worried!\It's not my fault.\I know! response:	But you can't get violent.
context: 17 years ago, we lost our parents.\The two of us lived in an orphanage.\Kyo-chan!\Onee-chan...\You had me so worried!\It's not my fault.\I know!\But you can't get violent. response:	If you hit first, it becomes your fault.
context: The two of us lived in an orphanage.\Kyo-chan!\Onee-chan...\You had me so worried!\It's not my fault.\I know!\But you can't get violent.\If you hit first, it becomes your fault. response:	Let's go home. The nuns are worried.
context: Kyo-chan!\Onee-chan...\You had me so worried!\It's not my fault.\I know!\But you can't get violent.\If you hit first, it becomes your fault.\Let's go home. The nuns are worried. response:	Kyo-chan
context: Onee-chan...\You had me so worried!\It's not my fault.\I know!\But you can't get violent.\If you hit first, it becomes your fault.\Let's go home. The nuns are worried.\Kyo-chan response:	Onee-chan!
context: You had me so worried!\It's not my fault.\I know!\But you can't get violent.\If you hit first, it becomes your fault.\Let's go home. The nuns are worried.\Kyo-chan\Onee-chan! response:	Onee... chan...
context: It's not my fault.\I know!\But you can't get violent.\If you hit first, it becomes your fault.\Let's go home. The nuns are worried.\Kyo-chan\Onee-chan!\Onee... chan... response:	She was kidnapped by an Another right in front of me.
context: I know!\But you can't get violent.\If you hit first, it becomes your fault.\Let's go home. The nuns are worried.\Kyo-chan\Onee-chan!\Onee... chan...\She was kidnapped by an Another right in front of me. response:	At the time, I had no idea it was an Another, but...
context: But you can't get violent.\If you hit first, it becomes your fault.\Let's go home. The nuns are worried.\Kyo-chan\Onee-chan!\Onee... chan...\She was kidnapped by an Another right in front of me.\At the time, I had no idea it was an Another, but... response:	That's awful...
context: If you hit first, it becomes your fault.\Let's go home. The nuns are worried.\Kyo-chan\Onee-chan!\Onee... chan...\She was kidnapped by an Another right in front of me.\At the time, I had no idea it was an Another, but...\That's awful... response:	Ever since then, I've been searching for the one who kidnapped her.
context: Let's go home. The nuns are worried.\Kyo-chan\Onee-chan!\Onee... chan...\She was kidnapped by an Another right in front of me.\At the time, I had no idea it was an Another, but...\That's awful...\Ever since then, I've been searching for the one who kidnapped her. response:	Searching? How?
context: Kyo-chan\Onee-chan!\Onee... chan...\She was kidnapped by an Another right in front of me.\At the time, I had no idea it was an Another, but...\That's awful...\Ever since then, I've been searching for the one who kidnapped her.\Searching? How? response:	I went to the police.
context: Onee-chan!\Onee... chan...\She was kidnapped by an Another right in front of me.\At the time, I had no idea it was an Another, but...\That's awful...\Ever since then, I've been searching for the one who kidnapped her.\Searching? How?\I went to the police. response:	But all I learned from that is that the police can't help you with Another-related cases.
context: Onee... chan...\She was kidnapped by an Another right in front of me.\At the time, I had no idea it was an Another, but...\That's awful...\Ever since then, I've been searching for the one who kidnapped her.\Searching? How?\I went to the police.\But all I learned from that is that the police can't help you with Another-related cases. response:	After that, a lot happened. I became a host because I needed the money.
context: She was kidnapped by an Another right in front of me.\At the time, I had no idea it was an Another, but...\That's awful...\Ever since then, I've been searching for the one who kidnapped her.\Searching? How?\I went to the police.\But all I learned from that is that the police can't help you with Another-related cases.\After that, a lot happened. I became a host because I needed the money. response:	That's when Senda-san found me.
context: At the time, I had no idea it was an Another, but...\That's awful...\Ever since then, I've been searching for the one who kidnapped her.\Searching? How?\I went to the police.\But all I learned from that is that the police can't help you with Another-related cases.\After that, a lot happened. I became a host because I needed the money.\That's when Senda-san found me. response:	And that's when I realized that at this Nocturnal Community Relations job,
context: That's awful...\Ever since then, I've been searching for the one who kidnapped her.\Searching? How?\I went to the police.\But all I learned from that is that the police can't help you with Another-related cases.\After that, a lot happened. I became a host because I needed the money.\That's when Senda-san found me.\And that's when I realized that at this Nocturnal Community Relations job, response:	I might be able to find a clue.
context: Ever since then, I've been searching for the one who kidnapped her.\Searching? How?\I went to the police.\But all I learned from that is that the police can't help you with Another-related cases.\After that, a lot happened. I became a host because I needed the money.\That's when Senda-san found me.\And that's when I realized that at this Nocturnal Community Relations job,\I might be able to find a clue. response:	And I suppose I was right.
context: Searching? How?\I went to the police.\But all I learned from that is that the police can't help you with Another-related cases.\After that, a lot happened. I became a host because I needed the money.\That's when Senda-san found me.\And that's when I realized that at this Nocturnal Community Relations job,\I might be able to find a clue.\And I suppose I was right. response:	What do you mean?
context: I went to the police.\But all I learned from that is that the police can't help you with Another-related cases.\After that, a lot happened. I became a host because I needed the money.\That's when Senda-san found me.\And that's when I realized that at this Nocturnal Community Relations job,\I might be able to find a clue.\And I suppose I was right.\What do you mean? response:	The black sand.
context: But all I learned from that is that the police can't help you with Another-related cases.\After that, a lot happened. I became a host because I needed the money.\That's when Senda-san found me.\And that's when I realized that at this Nocturnal Community Relations job,\I might be able to find a clue.\And I suppose I was right.\What do you mean?\The black sand. response:	What she talked about?
context: After that, a lot happened. I became a host because I needed the money.\That's when Senda-san found me.\And that's when I realized that at this Nocturnal Community Relations job,\I might be able to find a clue.\And I suppose I was right.\What do you mean?\The black sand.\What she talked about? response:	That's right.
context: That's when Senda-san found me.\And that's when I realized that at this Nocturnal Community Relations job,\I might be able to find a clue.\And I suppose I was right.\What do you mean?\The black sand.\What she talked about?\That's right. response:	I think that the one who kidnapped the girls we found in Toyama Park,
context: And that's when I realized that at this Nocturnal Community Relations job,\I might be able to find a clue.\And I suppose I was right.\What do you mean?\The black sand.\What she talked about?\That's right.\I think that the one who kidnapped the girls we found in Toyama Park, response:	and the one who kidnapped my sister,
context: I might be able to find a clue.\And I suppose I was right.\What do you mean?\The black sand.\What she talked about?\That's right.\I think that the one who kidnapped the girls we found in Toyama Park,\and the one who kidnapped my sister, response:	are either the same Another, or the same type of Another.
context: And I suppose I was right.\What do you mean?\The black sand.\What she talked about?\That's right.\I think that the one who kidnapped the girls we found in Toyama Park,\and the one who kidnapped my sister,\are either the same Another, or the same type of Another. response:	Remember what Huehuecoyotl said?
context: What do you mean?\The black sand.\What she talked about?\That's right.\I think that the one who kidnapped the girls we found in Toyama Park,\and the one who kidnapped my sister,\are either the same Another, or the same type of Another.\Remember what Huehuecoyotl said? response:	That there was a nasty devil that went around collecting girls.
context: The black sand.\What she talked about?\That's right.\I think that the one who kidnapped the girls we found in Toyama Park,\and the one who kidnapped my sister,\are either the same Another, or the same type of Another.\Remember what Huehuecoyotl said?\That there was a nasty devil that went around collecting girls. response:	You're right...
context: What she talked about?\That's right.\I think that the one who kidnapped the girls we found in Toyama Park,\and the one who kidnapped my sister,\are either the same Another, or the same type of Another.\Remember what Huehuecoyotl said?\That there was a nasty devil that went around collecting girls.\You're right... response:	I want to know for sure.
context: That's right.\I think that the one who kidnapped the girls we found in Toyama Park,\and the one who kidnapped my sister,\are either the same Another, or the same type of Another.\Remember what Huehuecoyotl said?\That there was a nasty devil that went around collecting girls.\You're right...\I want to know for sure. response:	Can you act as a go-between and let me talk to Huehuecoyotl?
context: I think that the one who kidnapped the girls we found in Toyama Park,\and the one who kidnapped my sister,\are either the same Another, or the same type of Another.\Remember what Huehuecoyotl said?\That there was a nasty devil that went around collecting girls.\You're right...\I want to know for sure.\Can you act as a go-between and let me talk to Huehuecoyotl? response:	Please.
context: and the one who kidnapped my sister,\are either the same Another, or the same type of Another.\Remember what Huehuecoyotl said?\That there was a nasty devil that went around collecting girls.\You're right...\I want to know for sure.\Can you act as a go-between and let me talk to Huehuecoyotl?\Please. response:	Yes. The man you were with held a tremendous sense of loss, and that tripped the device.
context: are either the same Another, or the same type of Another.\Remember what Huehuecoyotl said?\That there was a nasty devil that went around collecting girls.\You're right...\I want to know for sure.\Can you act as a go-between and let me talk to Huehuecoyotl?\Please.\Yes. The man you were with held a tremendous sense of loss, and that tripped the device. response:	This was it.
context: Remember what Huehuecoyotl said?\That there was a nasty devil that went around collecting girls.\You're right...\I want to know for sure.\Can you act as a go-between and let me talk to Huehuecoyotl?\Please.\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\This was it. response:	Sakaki-san's sense of loss...
context: That there was a nasty devil that went around collecting girls.\You're right...\I want to know for sure.\Can you act as a go-between and let me talk to Huehuecoyotl?\Please.\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\This was it.\Sakaki-san's sense of loss... response:	When you say talk, do you mean negotiate?
context: You're right...\I want to know for sure.\Can you act as a go-between and let me talk to Huehuecoyotl?\Please.\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\This was it.\Sakaki-san's sense of loss...\When you say talk, do you mean negotiate? response:	You said that human common sense doesn't work on Anothers, right?
context: I want to know for sure.\Can you act as a go-between and let me talk to Huehuecoyotl?\Please.\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\This was it.\Sakaki-san's sense of loss...\When you say talk, do you mean negotiate?\You said that human common sense doesn't work on Anothers, right? response:	You're right to worry.
context: Can you act as a go-between and let me talk to Huehuecoyotl?\Please.\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\This was it.\Sakaki-san's sense of loss...\When you say talk, do you mean negotiate?\You said that human common sense doesn't work on Anothers, right?\You're right to worry. response:	I'm not going to negotiate, though.
context: Please.\Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\This was it.\Sakaki-san's sense of loss...\When you say talk, do you mean negotiate?\You said that human common sense doesn't work on Anothers, right?\You're right to worry.\I'm not going to negotiate, though. response:	But...
context: Yes. The man you were with held a tremendous sense of loss, and that tripped the device.\This was it.\Sakaki-san's sense of loss...\When you say talk, do you mean negotiate?\You said that human common sense doesn't work on Anothers, right?\You're right to worry.\I'm not going to negotiate, though.\But... response:	I'm begging you.
context: This was it.\Sakaki-san's sense of loss...\When you say talk, do you mean negotiate?\You said that human common sense doesn't work on Anothers, right?\You're right to worry.\I'm not going to negotiate, though.\But...\I'm begging you. response:	I won't negotiate. I just want to hear what he has to say.
context: Sakaki-san's sense of loss...\When you say talk, do you mean negotiate?\You said that human common sense doesn't work on Anothers, right?\You're right to worry.\I'm not going to negotiate, though.\But...\I'm begging you.\I won't negotiate. I just want to hear what he has to say. response:	S-Sakaki-san!
context: When you say talk, do you mean negotiate?\You said that human common sense doesn't work on Anothers, right?\You're right to worry.\I'm not going to negotiate, though.\But...\I'm begging you.\I won't negotiate. I just want to hear what he has to say.\S-Sakaki-san! response:	Please.
context: You said that human common sense doesn't work on Anothers, right?\You're right to worry.\I'm not going to negotiate, though.\But...\I'm begging you.\I won't negotiate. I just want to hear what he has to say.\S-Sakaki-san!\Please. response:	Fine.
context: You're right to worry.\I'm not going to negotiate, though.\But...\I'm begging you.\I won't negotiate. I just want to hear what he has to say.\S-Sakaki-san!\Please.\Fine. response:	I'll talk to Kohaku when I get home.
context: I'm not going to negotiate, though.\But...\I'm begging you.\I won't negotiate. I just want to hear what he has to say.\S-Sakaki-san!\Please.\Fine.\I'll talk to Kohaku when I get home. response:	I owe you one, Miyako.
context: But...\I'm begging you.\I won't negotiate. I just want to hear what he has to say.\S-Sakaki-san!\Please.\Fine.\I'll talk to Kohaku when I get home.\I owe you one, Miyako. response:	Also, this is absolutely not work-related.
context: I'm begging you.\I won't negotiate. I just want to hear what he has to say.\S-Sakaki-san!\Please.\Fine.\I'll talk to Kohaku when I get home.\I owe you one, Miyako.\Also, this is absolutely not work-related. response:	So don't tell Theo.
context: I won't negotiate. I just want to hear what he has to say.\S-Sakaki-san!\Please.\Fine.\I'll talk to Kohaku when I get home.\I owe you one, Miyako.\Also, this is absolutely not work-related.\So don't tell Theo. response:	But...
context: S-Sakaki-san!\Please.\Fine.\I'll talk to Kohaku when I get home.\I owe you one, Miyako.\Also, this is absolutely not work-related.\So don't tell Theo.\But... response:	Senda-san's not here, so I don't want to cause extra problems.
context: Please.\Fine.\I'll talk to Kohaku when I get home.\I owe you one, Miyako.\Also, this is absolutely not work-related.\So don't tell Theo.\But...\Senda-san's not here, so I don't want to cause extra problems. response:	When it's time, I'll tell him.
context: Fine.\I'll talk to Kohaku when I get home.\I owe you one, Miyako.\Also, this is absolutely not work-related.\So don't tell Theo.\But...\Senda-san's not here, so I don't want to cause extra problems.\When it's time, I'll tell him. response:	All right.
context: I'll talk to Kohaku when I get home.\I owe you one, Miyako.\Also, this is absolutely not work-related.\So don't tell Theo.\But...\Senda-san's not here, so I don't want to cause extra problems.\When it's time, I'll tell him.\All right. response:	Sakaki-san.
context: I owe you one, Miyako.\Also, this is absolutely not work-related.\So don't tell Theo.\But...\Senda-san's not here, so I don't want to cause extra problems.\When it's time, I'll tell him.\All right.\Sakaki-san. response:	What?
context: Also, this is absolutely not work-related.\So don't tell Theo.\But...\Senda-san's not here, so I don't want to cause extra problems.\When it's time, I'll tell him.\All right.\Sakaki-san.\What? response:	She might be alive.
context: So don't tell Theo.\But...\Senda-san's not here, so I don't want to cause extra problems.\When it's time, I'll tell him.\All right.\Sakaki-san.\What?\She might be alive. response:	What do you mean?
context: But...\Senda-san's not here, so I don't want to cause extra problems.\When it's time, I'll tell him.\All right.\Sakaki-san.\What?\She might be alive.\What do you mean? response:	I was just thinking... that your sister might be safe.
context: Senda-san's not here, so I don't want to cause extra problems.\When it's time, I'll tell him.\All right.\Sakaki-san.\What?\She might be alive.\What do you mean?\I was just thinking... that your sister might be safe. response:	What?
context: When it's time, I'll tell him.\All right.\Sakaki-san.\What?\She might be alive.\What do you mean?\I was just thinking... that your sister might be safe.\What? response:	The girl in the hospital was born in 1965.
context: All right.\Sakaki-san.\What?\She might be alive.\What do you mean?\I was just thinking... that your sister might be safe.\What?\The girl in the hospital was born in 1965. response:	And she came back.
context: Sakaki-san.\What?\She might be alive.\What do you mean?\I was just thinking... that your sister might be safe.\What?\The girl in the hospital was born in 1965.\And she came back. response:	Don't you think she might be alive?
context: What?\She might be alive.\What do you mean?\I was just thinking... that your sister might be safe.\What?\The girl in the hospital was born in 1965.\And she came back.\Don't you think she might be alive? response:	I see...
context: She might be alive.\What do you mean?\I was just thinking... that your sister might be safe.\What?\The girl in the hospital was born in 1965.\And she came back.\Don't you think she might be alive?\I see... response:	Yeah... you're right.
context: What do you mean?\I was just thinking... that your sister might be safe.\What?\The girl in the hospital was born in 1965.\And she came back.\Don't you think she might be alive?\I see...\Yeah... you're right. response:	You're right.
context: I was just thinking... that your sister might be safe.\What?\The girl in the hospital was born in 1965.\And she came back.\Don't you think she might be alive?\I see...\Yeah... you're right.\You're right. response:	Thank you, Miyako.
context: What?\The girl in the hospital was born in 1965.\And she came back.\Don't you think she might be alive?\I see...\Yeah... you're right.\You're right.\Thank you, Miyako. response:	March Chiyoda Another Accident Reports
context: The girl in the hospital was born in 1965.\And she came back.\Don't you think she might be alive?\I see...\Yeah... you're right.\You're right.\Thank you, Miyako.\March Chiyoda Another Accident Reports response:	August Shinjuku Another Accident Reports
context: And she came back.\Don't you think she might be alive?\I see...\Yeah... you're right.\You're right.\Thank you, Miyako.\March Chiyoda Another Accident Reports\August Shinjuku Another Accident Reports response:	July 23rd
context: Don't you think she might be alive?\I see...\Yeah... you're right.\You're right.\Thank you, Miyako.\March Chiyoda Another Accident Reports\August Shinjuku Another Accident Reports\July 23rd response:	I knew it.
context: I see...\Yeah... you're right.\You're right.\Thank you, Miyako.\March Chiyoda Another Accident Reports\August Shinjuku Another Accident Reports\July 23rd\I knew it. response:	Hey, Arata!
context: Yeah... you're right.\You're right.\Thank you, Miyako.\March Chiyoda Another Accident Reports\August Shinjuku Another Accident Reports\July 23rd\I knew it.\Hey, Arata! response:	Yes?
context: You're right.\Thank you, Miyako.\March Chiyoda Another Accident Reports\August Shinjuku Another Accident Reports\July 23rd\I knew it.\Hey, Arata!\Yes? response:	You missed another thing on your paperwork.
context: Thank you, Miyako.\March Chiyoda Another Accident Reports\August Shinjuku Another Accident Reports\July 23rd\I knew it.\Hey, Arata!\Yes?\You missed another thing on your paperwork. response:	You've been screwing up all the time since last week.
context: March Chiyoda Another Accident Reports\August Shinjuku Another Accident Reports\July 23rd\I knew it.\Hey, Arata!\Yes?\You missed another thing on your paperwork.\You've been screwing up all the time since last week. response:	Sorry...
context: August Shinjuku Another Accident Reports\July 23rd\I knew it.\Hey, Arata!\Yes?\You missed another thing on your paperwork.\You've been screwing up all the time since last week.\Sorry... response:	You've been kind of weird lately.
context: July 23rd\I knew it.\Hey, Arata!\Yes?\You missed another thing on your paperwork.\You've been screwing up all the time since last week.\Sorry...\You've been kind of weird lately. response:	Are you not feeling well?
context: I knew it.\Hey, Arata!\Yes?\You missed another thing on your paperwork.\You've been screwing up all the time since last week.\Sorry...\You've been kind of weird lately.\Are you not feeling well? response:	No, that's not it...
context: Hey, Arata!\Yes?\You missed another thing on your paperwork.\You've been screwing up all the time since last week.\Sorry...\You've been kind of weird lately.\Are you not feeling well?\No, that's not it... response:	Want to get some fresh air, Miyako?
context: Yes?\You missed another thing on your paperwork.\You've been screwing up all the time since last week.\Sorry...\You've been kind of weird lately.\Are you not feeling well?\No, that's not it...\Want to get some fresh air, Miyako? response:	Can I take him on patrol?
