context: Once upon a time, there was a man who died. response:	The prince and the raven from the man's story escaped from the story and fought.
context: Yes, because I'm the prince in the story.\I see.\Shall we go? Cat-sensei will be angry at us if we're late.\Okay.\You give me a lot of trouble.\Quack! What are you talking about?! It's your fault!\You can just be late and have Cat-sensei get mad at you!\But wait... response:	Could he have done that on purpose so I could hear what Mytho said?
context: I see.\Shall we go? Cat-sensei will be angry at us if we're late.\Okay.\You give me a lot of trouble.\Quack! What are you talking about?! It's your fault!\You can just be late and have Cat-sensei get mad at you!\But wait...\Could he have done that on purpose so I could hear what Mytho said? response:	Quack! I'm late!
context: Shall we go? Cat-sensei will be angry at us if we're late.\Okay.\You give me a lot of trouble.\Quack! What are you talking about?! It's your fault!\You can just be late and have Cat-sensei get mad at you!\But wait...\Could he have done that on purpose so I could hear what Mytho said?\Quack! I'm late! response:	Looks like Cat-sensei's pretty angry.
context: Okay.\You give me a lot of trouble.\Quack! What are you talking about?! It's your fault!\You can just be late and have Cat-sensei get mad at you!\But wait...\Could he have done that on purpose so I could hear what Mytho said?\Quack! I'm late!\Looks like Cat-sensei's pretty angry. response:	This is great. It's perfect timing. I hope Ahiru comes soon.
context: You give me a lot of trouble.\Quack! What are you talking about?! It's your fault!\You can just be late and have Cat-sensei get mad at you!\But wait...\Could he have done that on purpose so I could hear what Mytho said?\Quack! I'm late!\Looks like Cat-sensei's pretty angry.\This is great. It's perfect timing. I hope Ahiru comes soon. response:	Step softly...
context: Quack! What are you talking about?! It's your fault!\You can just be late and have Cat-sensei get mad at you!\But wait...\Could he have done that on purpose so I could hear what Mytho said?\Quack! I'm late!\Looks like Cat-sensei's pretty angry.\This is great. It's perfect timing. I hope Ahiru comes soon.\Step softly... response:	Ahiru-san.
context: You can just be late and have Cat-sensei get mad at you!\But wait...\Could he have done that on purpose so I could hear what Mytho said?\Quack! I'm late!\Looks like Cat-sensei's pretty angry.\This is great. It's perfect timing. I hope Ahiru comes soon.\Step softly...\Ahiru-san. response:	Uh-oh.
context: But wait...\Could he have done that on purpose so I could hear what Mytho said?\Quack! I'm late!\Looks like Cat-sensei's pretty angry.\This is great. It's perfect timing. I hope Ahiru comes soon.\Step softly...\Ahiru-san.\Uh-oh. response:	That's you, isn't it?
context: Could he have done that on purpose so I could hear what Mytho said?\Quack! I'm late!\Looks like Cat-sensei's pretty angry.\This is great. It's perfect timing. I hope Ahiru comes soon.\Step softly...\Ahiru-san.\Uh-oh.\That's you, isn't it? response:	Yes, sir! I left the dorm at the same time as always,
context: Quack! I'm late!\Looks like Cat-sensei's pretty angry.\This is great. It's perfect timing. I hope Ahiru comes soon.\Step softly...\Ahiru-san.\Uh-oh.\That's you, isn't it?\Yes, sir! I left the dorm at the same time as always, response:	but on my way here, a crocodile and a cow were flying in the sky and...
context: Looks like Cat-sensei's pretty angry.\This is great. It's perfect timing. I hope Ahiru comes soon.\Step softly...\Ahiru-san.\Uh-oh.\That's you, isn't it?\Yes, sir! I left the dorm at the same time as always,\but on my way here, a crocodile and a cow were flying in the sky and... response:	Ahiru-san, you act like you own the place, as usual.
context: This is great. It's perfect timing. I hope Ahiru comes soon.\Step softly...\Ahiru-san.\Uh-oh.\That's you, isn't it?\Yes, sir! I left the dorm at the same time as always,\but on my way here, a crocodile and a cow were flying in the sky and...\Ahiru-san, you act like you own the place, as usual. response:	You're just like the students in the advanced class.
context: Step softly...\Ahiru-san.\Uh-oh.\That's you, isn't it?\Yes, sir! I left the dorm at the same time as always,\but on my way here, a crocodile and a cow were flying in the sky and...\Ahiru-san, you act like you own the place, as usual.\You're just like the students in the advanced class. response:	Oh, no, I don't think I'm that great.
context: Ahiru-san.\Uh-oh.\That's you, isn't it?\Yes, sir! I left the dorm at the same time as always,\but on my way here, a crocodile and a cow were flying in the sky and...\Ahiru-san, you act like you own the place, as usual.\You're just like the students in the advanced class.\Oh, no, I don't think I'm that great. response:	If you keep coming to my class late, I'll have to either drop you to the probationary class again...
context: Uh-oh.\That's you, isn't it?\Yes, sir! I left the dorm at the same time as always,\but on my way here, a crocodile and a cow were flying in the sky and...\Ahiru-san, you act like you own the place, as usual.\You're just like the students in the advanced class.\Oh, no, I don't think I'm that great.\If you keep coming to my class late, I'll have to either drop you to the probationary class again... response:	Or... Or have you marry me!
context: That's you, isn't it?\Yes, sir! I left the dorm at the same time as always,\but on my way here, a crocodile and a cow were flying in the sky and...\Ahiru-san, you act like you own the place, as usual.\You're just like the students in the advanced class.\Oh, no, I don't think I'm that great.\If you keep coming to my class late, I'll have to either drop you to the probationary class again...\Or... Or have you marry me! response:	Meow? Meow, meow?
context: Yes, sir! I left the dorm at the same time as always,\but on my way here, a crocodile and a cow were flying in the sky and...\Ahiru-san, you act like you own the place, as usual.\You're just like the students in the advanced class.\Oh, no, I don't think I'm that great.\If you keep coming to my class late, I'll have to either drop you to the probationary class again...\Or... Or have you marry me!\Meow? Meow, meow? response:	Look how hard she's trying! Please forgive her!
context: but on my way here, a crocodile and a cow were flying in the sky and...\Ahiru-san, you act like you own the place, as usual.\You're just like the students in the advanced class.\Oh, no, I don't think I'm that great.\If you keep coming to my class late, I'll have to either drop you to the probationary class again...\Or... Or have you marry me!\Meow? Meow, meow?\Look how hard she's trying! Please forgive her! response:	The probationary class is one thing, but just don't make her marry you!
context: Ahiru-san, you act like you own the place, as usual.\You're just like the students in the advanced class.\Oh, no, I don't think I'm that great.\If you keep coming to my class late, I'll have to either drop you to the probationary class again...\Or... Or have you marry me!\Meow? Meow, meow?\Look how hard she's trying! Please forgive her!\The probationary class is one thing, but just don't make her marry you! response:	Mytho...
context: You're just like the students in the advanced class.\Oh, no, I don't think I'm that great.\If you keep coming to my class late, I'll have to either drop you to the probationary class again...\Or... Or have you marry me!\Meow? Meow, meow?\Look how hard she's trying! Please forgive her!\The probationary class is one thing, but just don't make her marry you!\Mytho... response:	I'm so glad I got to hear what he had to say.
context: Oh, no, I don't think I'm that great.\If you keep coming to my class late, I'll have to either drop you to the probationary class again...\Or... Or have you marry me!\Meow? Meow, meow?\Look how hard she's trying! Please forgive her!\The probationary class is one thing, but just don't make her marry you!\Mytho...\I'm so glad I got to hear what he had to say. response:	I have to try even harder until I get back all the pieces of Mytho's heart.
context: If you keep coming to my class late, I'll have to either drop you to the probationary class again...\Or... Or have you marry me!\Meow? Meow, meow?\Look how hard she's trying! Please forgive her!\The probationary class is one thing, but just don't make her marry you!\Mytho...\I'm so glad I got to hear what he had to say.\I have to try even harder until I get back all the pieces of Mytho's heart. response:	That's right, Ahiru!
context: Or... Or have you marry me!\Meow? Meow, meow?\Look how hard she's trying! Please forgive her!\The probationary class is one thing, but just don't make her marry you!\Mytho...\I'm so glad I got to hear what he had to say.\I have to try even harder until I get back all the pieces of Mytho's heart.\That's right, Ahiru! response:	I don't know what you're talking about, but you have to try your best!
context: Meow? Meow, meow?\Look how hard she's trying! Please forgive her!\The probationary class is one thing, but just don't make her marry you!\Mytho...\I'm so glad I got to hear what he had to say.\I have to try even harder until I get back all the pieces of Mytho's heart.\That's right, Ahiru!\I don't know what you're talking about, but you have to try your best! response:	Now, you try your best and hardest, and fail spectacularly, okay?
context: Look how hard she's trying! Please forgive her!\The probationary class is one thing, but just don't make her marry you!\Mytho...\I'm so glad I got to hear what he had to say.\I have to try even harder until I get back all the pieces of Mytho's heart.\That's right, Ahiru!\I don't know what you're talking about, but you have to try your best!\Now, you try your best and hardest, and fail spectacularly, okay? response:	What calm days. What peaceful days!
context: The probationary class is one thing, but just don't make her marry you!\Mytho...\I'm so glad I got to hear what he had to say.\I have to try even harder until I get back all the pieces of Mytho's heart.\That's right, Ahiru!\I don't know what you're talking about, but you have to try your best!\Now, you try your best and hardest, and fail spectacularly, okay?\What calm days. What peaceful days! response:	But they won't continue forever, you know.
context: Mytho...\I'm so glad I got to hear what he had to say.\I have to try even harder until I get back all the pieces of Mytho's heart.\That's right, Ahiru!\I don't know what you're talking about, but you have to try your best!\Now, you try your best and hardest, and fail spectacularly, okay?\What calm days. What peaceful days!\But they won't continue forever, you know. response:	That's what's so great about stories.
context: I'm so glad I got to hear what he had to say.\I have to try even harder until I get back all the pieces of Mytho's heart.\That's right, Ahiru!\I don't know what you're talking about, but you have to try your best!\Now, you try your best and hardest, and fail spectacularly, okay?\What calm days. What peaceful days!\But they won't continue forever, you know.\That's what's so great about stories. response:	Listen up, everyone. In ballet, the most important thing is practice.
context: I have to try even harder until I get back all the pieces of Mytho's heart.\That's right, Ahiru!\I don't know what you're talking about, but you have to try your best!\Now, you try your best and hardest, and fail spectacularly, okay?\What calm days. What peaceful days!\But they won't continue forever, you know.\That's what's so great about stories.\Listen up, everyone. In ballet, the most important thing is practice. response:	The second most important thing is practice.
context: That's right, Ahiru!\I don't know what you're talking about, but you have to try your best!\Now, you try your best and hardest, and fail spectacularly, okay?\What calm days. What peaceful days!\But they won't continue forever, you know.\That's what's so great about stories.\Listen up, everyone. In ballet, the most important thing is practice.\The second most important thing is practice. response:	Three, four, and five are practice too.
context: I don't know what you're talking about, but you have to try your best!\Now, you try your best and hardest, and fail spectacularly, okay?\What calm days. What peaceful days!\But they won't continue forever, you know.\That's what's so great about stories.\Listen up, everyone. In ballet, the most important thing is practice.\The second most important thing is practice.\Three, four, and five are practice too. response:	Why exactly do we practice, then?
context: Now, you try your best and hardest, and fail spectacularly, okay?\What calm days. What peaceful days!\But they won't continue forever, you know.\That's what's so great about stories.\Listen up, everyone. In ballet, the most important thing is practice.\The second most important thing is practice.\Three, four, and five are practice too.\Why exactly do we practice, then? response:	We do it to master the basics.
context: What calm days. What peaceful days!\But they won't continue forever, you know.\That's what's so great about stories.\Listen up, everyone. In ballet, the most important thing is practice.\The second most important thing is practice.\Three, four, and five are practice too.\Why exactly do we practice, then?\We do it to master the basics. response:	Today, I'm going to tell you a story.
context: But they won't continue forever, you know.\That's what's so great about stories.\Listen up, everyone. In ballet, the most important thing is practice.\The second most important thing is practice.\Three, four, and five are practice too.\Why exactly do we practice, then?\We do it to master the basics.\Today, I'm going to tell you a story. response:	Listen carefully WITHOUT letting your eyes wander!
context: That's what's so great about stories.\Listen up, everyone. In ballet, the most important thing is practice.\The second most important thing is practice.\Three, four, and five are practice too.\Why exactly do we practice, then?\We do it to master the basics.\Today, I'm going to tell you a story.\Listen carefully WITHOUT letting your eyes wander! response:	Yes, sir! Of course!
context: Listen up, everyone. In ballet, the most important thing is practice.\The second most important thing is practice.\Three, four, and five are practice too.\Why exactly do we practice, then?\We do it to master the basics.\Today, I'm going to tell you a story.\Listen carefully WITHOUT letting your eyes wander!\Yes, sir! Of course! response:	That's right, this was back when I was a student in ballet school...
context: The second most important thing is practice.\Three, four, and five are practice too.\Why exactly do we practice, then?\We do it to master the basics.\Today, I'm going to tell you a story.\Listen carefully WITHOUT letting your eyes wander!\Yes, sir! Of course!\That's right, this was back when I was a student in ballet school... response:	I happened to get the chance to observe Meowzinsky-sensei practicing.
context: Three, four, and five are practice too.\Why exactly do we practice, then?\We do it to master the basics.\Today, I'm going to tell you a story.\Listen carefully WITHOUT letting your eyes wander!\Yes, sir! Of course!\That's right, this was back when I was a student in ballet school...\I happened to get the chance to observe Meowzinsky-sensei practicing. response:	Wow, Meowzinsky-sensei?
context: Why exactly do we practice, then?\We do it to master the basics.\Today, I'm going to tell you a story.\Listen carefully WITHOUT letting your eyes wander!\Yes, sir! Of course!\That's right, this was back when I was a student in ballet school...\I happened to get the chance to observe Meowzinsky-sensei practicing.\Wow, Meowzinsky-sensei? response:	Meowzinsky?
context: We do it to master the basics.\Today, I'm going to tell you a story.\Listen carefully WITHOUT letting your eyes wander!\Yes, sir! Of course!\That's right, this was back when I was a student in ballet school...\I happened to get the chance to observe Meowzinsky-sensei practicing.\Wow, Meowzinsky-sensei?\Meowzinsky? response:	The legendary ballet dancer!
context: Today, I'm going to tell you a story.\Listen carefully WITHOUT letting your eyes wander!\Yes, sir! Of course!\That's right, this was back when I was a student in ballet school...\I happened to get the chance to observe Meowzinsky-sensei practicing.\Wow, Meowzinsky-sensei?\Meowzinsky?\The legendary ballet dancer! response:	You don't know anything, do you?
context: Listen carefully WITHOUT letting your eyes wander!\Yes, sir! Of course!\That's right, this was back when I was a student in ballet school...\I happened to get the chance to observe Meowzinsky-sensei practicing.\Wow, Meowzinsky-sensei?\Meowzinsky?\The legendary ballet dancer!\You don't know anything, do you? response:	It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.
context: Yes, sir! Of course!\That's right, this was back when I was a student in ballet school...\I happened to get the chance to observe Meowzinsky-sensei practicing.\Wow, Meowzinsky-sensei?\Meowzinsky?\The legendary ballet dancer!\You don't know anything, do you?\It was when we ballet students were helping out with a performance of Meowzinsky-sensei's. response:	I was still only a year and three months old, a cheeky youth.
context: That's right, this was back when I was a student in ballet school...\I happened to get the chance to observe Meowzinsky-sensei practicing.\Wow, Meowzinsky-sensei?\Meowzinsky?\The legendary ballet dancer!\You don't know anything, do you?\It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.\I was still only a year and three months old, a cheeky youth. response:	Yes, it was Meowzinsky-sensei himself, the man renowned as a genius
context: I happened to get the chance to observe Meowzinsky-sensei practicing.\Wow, Meowzinsky-sensei?\Meowzinsky?\The legendary ballet dancer!\You don't know anything, do you?\It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.\I was still only a year and three months old, a cheeky youth.\Yes, it was Meowzinsky-sensei himself, the man renowned as a genius response:	for his novel choreography and his jumps that people called miraculous.
context: Wow, Meowzinsky-sensei?\Meowzinsky?\The legendary ballet dancer!\You don't know anything, do you?\It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.\I was still only a year and three months old, a cheeky youth.\Yes, it was Meowzinsky-sensei himself, the man renowned as a genius\for his novel choreography and his jumps that people called miraculous. response:	But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.
context: Meowzinsky?\The legendary ballet dancer!\You don't know anything, do you?\It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.\I was still only a year and three months old, a cheeky youth.\Yes, it was Meowzinsky-sensei himself, the man renowned as a genius\for his novel choreography and his jumps that people called miraculous.\But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again. response:	Before I knew it, I found myself asking him questions.
context: The legendary ballet dancer!\You don't know anything, do you?\It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.\I was still only a year and three months old, a cheeky youth.\Yes, it was Meowzinsky-sensei himself, the man renowned as a genius\for his novel choreography and his jumps that people called miraculous.\But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.\Before I knew it, I found myself asking him questions. response:	I thought a dancer as famous as you would have a more special practice routine, I said.
context: You don't know anything, do you?\It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.\I was still only a year and three months old, a cheeky youth.\Yes, it was Meowzinsky-sensei himself, the man renowned as a genius\for his novel choreography and his jumps that people called miraculous.\But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.\Before I knew it, I found myself asking him questions.\I thought a dancer as famous as you would have a more special practice routine, I said. response:	This is how he answered me...
context: It was when we ballet students were helping out with a performance of Meowzinsky-sensei's.\I was still only a year and three months old, a cheeky youth.\Yes, it was Meowzinsky-sensei himself, the man renowned as a genius\for his novel choreography and his jumps that people called miraculous.\But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.\Before I knew it, I found myself asking him questions.\I thought a dancer as famous as you would have a more special practice routine, I said.\This is how he answered me... response:	Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.
context: I was still only a year and three months old, a cheeky youth.\Yes, it was Meowzinsky-sensei himself, the man renowned as a genius\for his novel choreography and his jumps that people called miraculous.\But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.\Before I knew it, I found myself asking him questions.\I thought a dancer as famous as you would have a more special practice routine, I said.\This is how he answered me...\Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit. response:	These shoes were given to me on that very day by Meowzinsky-sensei.
context: Yes, it was Meowzinsky-sensei himself, the man renowned as a genius\for his novel choreography and his jumps that people called miraculous.\But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.\Before I knew it, I found myself asking him questions.\I thought a dancer as famous as you would have a more special practice routine, I said.\This is how he answered me...\Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.\These shoes were given to me on that very day by Meowzinsky-sensei. response:	And I swore on these shoes that I would dedicate my life to ballet.
context: for his novel choreography and his jumps that people called miraculous.\But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.\Before I knew it, I found myself asking him questions.\I thought a dancer as famous as you would have a more special practice routine, I said.\This is how he answered me...\Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.\These shoes were given to me on that very day by Meowzinsky-sensei.\And I swore on these shoes that I would dedicate my life to ballet. response:	So basically he's saying, Practice the basics diligently.
context: But that day, all Meowzinsky-sensei did was just slowly, very slowly, practice the basics over and over again.\Before I knew it, I found myself asking him questions.\I thought a dancer as famous as you would have a more special practice routine, I said.\This is how he answered me...\Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.\These shoes were given to me on that very day by Meowzinsky-sensei.\And I swore on these shoes that I would dedicate my life to ballet.\So basically he's saying, Practice the basics diligently. response:	But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!
context: Before I knew it, I found myself asking him questions.\I thought a dancer as famous as you would have a more special practice routine, I said.\This is how he answered me...\Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.\These shoes were given to me on that very day by Meowzinsky-sensei.\And I swore on these shoes that I would dedicate my life to ballet.\So basically he's saying, Practice the basics diligently.\But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you! response:	These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.
context: I thought a dancer as famous as you would have a more special practice routine, I said.\This is how he answered me...\Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.\These shoes were given to me on that very day by Meowzinsky-sensei.\And I swore on these shoes that I would dedicate my life to ballet.\So basically he's saying, Practice the basics diligently.\But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!\These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world. response:	I wonder what's wrong with Mytho...
context: This is how he answered me...\Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.\These shoes were given to me on that very day by Meowzinsky-sensei.\And I swore on these shoes that I would dedicate my life to ballet.\So basically he's saying, Practice the basics diligently.\But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!\These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.\I wonder what's wrong with Mytho... response:	What?
context: Someone who hasn't mastered the basics cannot achieve advanced techniques or a noble spirit.\These shoes were given to me on that very day by Meowzinsky-sensei.\And I swore on these shoes that I would dedicate my life to ballet.\So basically he's saying, Practice the basics diligently.\But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!\These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.\I wonder what's wrong with Mytho...\What? response:	Mytho!
context: These shoes were given to me on that very day by Meowzinsky-sensei.\And I swore on these shoes that I would dedicate my life to ballet.\So basically he's saying, Practice the basics diligently.\But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!\These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.\I wonder what's wrong with Mytho...\What?\Mytho! response:	So, you're back.
context: And I swore on these shoes that I would dedicate my life to ballet.\So basically he's saying, Practice the basics diligently.\But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!\These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.\I wonder what's wrong with Mytho...\What?\Mytho!\So, you're back. response:	Fakir...
context: So basically he's saying, Practice the basics diligently.\But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!\These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.\I wonder what's wrong with Mytho...\What?\Mytho!\So, you're back.\Fakir... response:	Where did you go after you disappeared from class so suddenly?
context: But I think some people will never improve no matter how hard they practice the basics, so don't let it get to you!\These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.\I wonder what's wrong with Mytho...\What?\Mytho!\So, you're back.\Fakir...\Where did you go after you disappeared from class so suddenly? response:	I was looking for you.
context: These shoes have suffered a lot of wear and tear, but to me, they are the most beautiful shoes in the world.\I wonder what's wrong with Mytho...\What?\Mytho!\So, you're back.\Fakir...\Where did you go after you disappeared from class so suddenly?\I was looking for you. response:	I wonder what happened. I started to feel sick, and after that...
context: I wonder what's wrong with Mytho...\What?\Mytho!\So, you're back.\Fakir...\Where did you go after you disappeared from class so suddenly?\I was looking for you.\I wonder what happened. I started to feel sick, and after that... response:	You can want to go back to being the prince, but that doesn't make it possible.
context: What?\Mytho!\So, you're back.\Fakir...\Where did you go after you disappeared from class so suddenly?\I was looking for you.\I wonder what happened. I started to feel sick, and after that...\You can want to go back to being the prince, but that doesn't make it possible. response:	Don't try too hard.
context: Mytho!\So, you're back.\Fakir...\Where did you go after you disappeared from class so suddenly?\I was looking for you.\I wonder what happened. I started to feel sick, and after that...\You can want to go back to being the prince, but that doesn't make it possible.\Don't try too hard. response:	And become like you? Is that what you're saying?
context: So, you're back.\Fakir...\Where did you go after you disappeared from class so suddenly?\I was looking for you.\I wonder what happened. I started to feel sick, and after that...\You can want to go back to being the prince, but that doesn't make it possible.\Don't try too hard.\And become like you? Is that what you're saying? response:	What?
context: Fakir...\Where did you go after you disappeared from class so suddenly?\I was looking for you.\I wonder what happened. I started to feel sick, and after that...\You can want to go back to being the prince, but that doesn't make it possible.\Don't try too hard.\And become like you? Is that what you're saying?\What? response:	That's impossible for me.
context: Where did you go after you disappeared from class so suddenly?\I was looking for you.\I wonder what happened. I started to feel sick, and after that...\You can want to go back to being the prince, but that doesn't make it possible.\Don't try too hard.\And become like you? Is that what you're saying?\What?\That's impossible for me. response:	Say, Fakir, I have something to tell you.
context: I was looking for you.\I wonder what happened. I started to feel sick, and after that...\You can want to go back to being the prince, but that doesn't make it possible.\Don't try too hard.\And become like you? Is that what you're saying?\What?\That's impossible for me.\Say, Fakir, I have something to tell you. response:	Will you listen?
context: I wonder what happened. I started to feel sick, and after that...\You can want to go back to being the prince, but that doesn't make it possible.\Don't try too hard.\And become like you? Is that what you're saying?\What?\That's impossible for me.\Say, Fakir, I have something to tell you.\Will you listen? response:	I trust you've firmly engraved Meowzinsky-sensei's words in your minds?
context: You can want to go back to being the prince, but that doesn't make it possible.\Don't try too hard.\And become like you? Is that what you're saying?\What?\That's impossible for me.\Say, Fakir, I have something to tell you.\Will you listen?\I trust you've firmly engraved Meowzinsky-sensei's words in your minds? response:	Even if they diligently practice the basics, people who aren't going to get good will never get good, so...
context: Don't try too hard.\And become like you? Is that what you're saying?\What?\That's impossible for me.\Say, Fakir, I have something to tell you.\Will you listen?\I trust you've firmly engraved Meowzinsky-sensei's words in your minds?\Even if they diligently practice the basics, people who aren't going to get good will never get good, so... response:	Wait, how did that go again?
context: And become like you? Is that what you're saying?\What?\That's impossible for me.\Say, Fakir, I have something to tell you.\Will you listen?\I trust you've firmly engraved Meowzinsky-sensei's words in your minds?\Even if they diligently practice the basics, people who aren't going to get good will never get good, so...\Wait, how did that go again? response:	Anyway, be on time for class tomorrow.
context: What?\That's impossible for me.\Say, Fakir, I have something to tell you.\Will you listen?\I trust you've firmly engraved Meowzinsky-sensei's words in your minds?\Even if they diligently practice the basics, people who aren't going to get good will never get good, so...\Wait, how did that go again?\Anyway, be on time for class tomorrow. response:	Yes, sir!
context: That's impossible for me.\Say, Fakir, I have something to tell you.\Will you listen?\I trust you've firmly engraved Meowzinsky-sensei's words in your minds?\Even if they diligently practice the basics, people who aren't going to get good will never get good, so...\Wait, how did that go again?\Anyway, be on time for class tomorrow.\Yes, sir! response:	But I don't think I can do it.
context: Say, Fakir, I have something to tell you.\Will you listen?\I trust you've firmly engraved Meowzinsky-sensei's words in your minds?\Even if they diligently practice the basics, people who aren't going to get good will never get good, so...\Wait, how did that go again?\Anyway, be on time for class tomorrow.\Yes, sir!\But I don't think I can do it. response:	Well, no need to let it get to you too much.
context: Will you listen?\I trust you've firmly engraved Meowzinsky-sensei's words in your minds?\Even if they diligently practice the basics, people who aren't going to get good will never get good, so...\Wait, how did that go again?\Anyway, be on time for class tomorrow.\Yes, sir!\But I don't think I can do it.\Well, no need to let it get to you too much. response:	That's right! Being late is an essential part of your charm!
context: I trust you've firmly engraved Meowzinsky-sensei's words in your minds?\Even if they diligently practice the basics, people who aren't going to get good will never get good, so...\Wait, how did that go again?\Anyway, be on time for class tomorrow.\Yes, sir!\But I don't think I can do it.\Well, no need to let it get to you too much.\That's right! Being late is an essential part of your charm! response:	Hey, what happened?
context: Even if they diligently practice the basics, people who aren't going to get good will never get good, so...\Wait, how did that go again?\Anyway, be on time for class tomorrow.\Yes, sir!\But I don't think I can do it.\Well, no need to let it get to you too much.\That's right! Being late is an essential part of your charm!\Hey, what happened? response:	What was that?
context: Wait, how did that go again?\Anyway, be on time for class tomorrow.\Yes, sir!\But I don't think I can do it.\Well, no need to let it get to you too much.\That's right! Being late is an essential part of your charm!\Hey, what happened?\What was that? response:	What was that scream just now?
context: Anyway, be on time for class tomorrow.\Yes, sir!\But I don't think I can do it.\Well, no need to let it get to you too much.\That's right! Being late is an essential part of your charm!\Hey, what happened?\What was that?\What was that scream just now? response:	Cat-sensei?
context: Yes, sir!\But I don't think I can do it.\Well, no need to let it get to you too much.\That's right! Being late is an essential part of your charm!\Hey, what happened?\What was that?\What was that scream just now?\Cat-sensei? response:	An incident? Has there been an incident?
context: But I don't think I can do it.\Well, no need to let it get to you too much.\That's right! Being late is an essential part of your charm!\Hey, what happened?\What was that?\What was that scream just now?\Cat-sensei?\An incident? Has there been an incident? response:	Oh, that Ahiru doesn't even disguise her curiosity!
context: Well, no need to let it get to you too much.\That's right! Being late is an essential part of your charm!\Hey, what happened?\What was that?\What was that scream just now?\Cat-sensei?\An incident? Has there been an incident?\Oh, that Ahiru doesn't even disguise her curiosity! response:	It's your fault.
context: That's right! Being late is an essential part of your charm!\Hey, what happened?\What was that?\What was that scream just now?\Cat-sensei?\An incident? Has there been an incident?\Oh, that Ahiru doesn't even disguise her curiosity!\It's your fault. response:	No way!
context: Hey, what happened?\What was that?\What was that scream just now?\Cat-sensei?\An incident? Has there been an incident?\Oh, that Ahiru doesn't even disguise her curiosity!\It's your fault.\No way! response:	Whoa, whoa, whoa...
context: What was that?\What was that scream just now?\Cat-sensei?\An incident? Has there been an incident?\Oh, that Ahiru doesn't even disguise her curiosity!\It's your fault.\No way!\Whoa, whoa, whoa... response:	Qua...
context: What was that scream just now?\Cat-sensei?\An incident? Has there been an incident?\Oh, that Ahiru doesn't even disguise her curiosity!\It's your fault.\No way!\Whoa, whoa, whoa...\Qua... response:	Where are you going, Ahiru?
context: Cat-sensei?\An incident? Has there been an incident?\Oh, that Ahiru doesn't even disguise her curiosity!\It's your fault.\No way!\Whoa, whoa, whoa...\Qua...\Where are you going, Ahiru? response:	Cat-sensei!
context: An incident? Has there been an incident?\Oh, that Ahiru doesn't even disguise her curiosity!\It's your fault.\No way!\Whoa, whoa, whoa...\Qua...\Where are you going, Ahiru?\Cat-sensei! response:	Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it?
context: Oh, that Ahiru doesn't even disguise her curiosity!\It's your fault.\No way!\Whoa, whoa, whoa...\Qua...\Where are you going, Ahiru?\Cat-sensei!\Oh dear, dear, dear, dear! Is it Ahiru's fault? It's Ahiru's fault, isn't it? response:	Meowzinsky's shoes...
