context: Shortly after a month had passed since entering school... response:	But then, as if being dealt the final blow...
context: Let's go back for now.\Asahina-san.\You shouldn't get involved with such a weird group.\Who knows what else she'll do to you.\No.\It's okay.\You're also here, aren't you?\This was probably an inevitability on this time plane. response:	And I'm concerned about why Nagato-san is here.
context: Asahina-san.\You shouldn't get involved with such a weird group.\Who knows what else she'll do to you.\No.\It's okay.\You're also here, aren't you?\This was probably an inevitability on this time plane.\And I'm concerned about why Nagato-san is here. response:	What about it?
context: You shouldn't get involved with such a weird group.\Who knows what else she'll do to you.\No.\It's okay.\You're also here, aren't you?\This was probably an inevitability on this time plane.\And I'm concerned about why Nagato-san is here.\What about it? response:	No.
context: Who knows what else she'll do to you.\No.\It's okay.\You're also here, aren't you?\This was probably an inevitability on this time plane.\And I'm concerned about why Nagato-san is here.\What about it?\No. response:	It's nothing.
context: No.\It's okay.\You're also here, aren't you?\This was probably an inevitability on this time plane.\And I'm concerned about why Nagato-san is here.\What about it?\No.\It's nothing. response:	I may be inexperienced...
context: It's okay.\You're also here, aren't you?\This was probably an inevitability on this time plane.\And I'm concerned about why Nagato-san is here.\What about it?\No.\It's nothing.\I may be inexperienced... response:	Also, if you'd like...
context: You're also here, aren't you?\This was probably an inevitability on this time plane.\And I'm concerned about why Nagato-san is here.\What about it?\No.\It's nothing.\I may be inexperienced...\Also, if you'd like... response:	Well...
context: This was probably an inevitability on this time plane.\And I'm concerned about why Nagato-san is here.\What about it?\No.\It's nothing.\I may be inexperienced...\Also, if you'd like...\Well... response:	File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)
context: And I'm concerned about why Nagato-san is here.\What about it?\No.\It's nothing.\I may be inexperienced...\Also, if you'd like...\Well...\File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H) response:	SO
context: What about it?\No.\It's nothing.\I may be inexperienced...\Also, if you'd like...\Well...\File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)\SO response:	SOS
context: No.\It's nothing.\I may be inexperienced...\Also, if you'd like...\Well...\File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)\SO\SOS response:	SOS B
context: It's nothing.\I may be inexperienced...\Also, if you'd like...\Well...\File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)\SO\SOS\SOS B response:	SOS Br
context: I may be inexperienced...\Also, if you'd like...\Well...\File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)\SO\SOS\SOS B\SOS Br response:	SOS Bri
context: Also, if you'd like...\Well...\File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)\SO\SOS\SOS B\SOS Br\SOS Bri response:	SOS Brig
context: Well...\File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)\SO\SOS\SOS B\SOS Br\SOS Bri\SOS Brig response:	SOS Briga
context: File(F)hhhhEdit(E)hhhhFormat(O)hhhhView(V)hhhhHelp(H)\SO\SOS\SOS B\SOS Br\SOS Bri\SOS Brig\SOS Briga response:	What was next?
context: SO\SOS\SOS B\SOS Br\SOS Bri\SOS Brig\SOS Briga\What was next? response:	SOS Brigad
context: SOS\SOS B\SOS Br\SOS Bri\SOS Brig\SOS Briga\What was next?\SOS Brigad response:	SOS Brigade
context: SOS B\SOS Br\SOS Bri\SOS Brig\SOS Briga\What was next?\SOS Brigad\SOS Brigade response:	SOS Brigade W
context: SOS Br\SOS Bri\SOS Brig\SOS Briga\What was next?\SOS Brigad\SOS Brigade\SOS Brigade W response:	SOS Brigade We
context: SOS Bri\SOS Brig\SOS Briga\What was next?\SOS Brigad\SOS Brigade\SOS Brigade W\SOS Brigade We response:	SOS Brigade Web
context: SOS Brig\SOS Briga\What was next?\SOS Brigad\SOS Brigade\SOS Brigade W\SOS Brigade We\SOS Brigade Web response:	SOS Brigade Webs
context: SOS Briga\What was next?\SOS Brigad\SOS Brigade\SOS Brigade W\SOS Brigade We\SOS Brigade Web\SOS Brigade Webs response:	SOS Brigade Websi
context: What was next?\SOS Brigad\SOS Brigade\SOS Brigade W\SOS Brigade We\SOS Brigade Web\SOS Brigade Webs\SOS Brigade Websi response:	SOS Brigade Websit
context: SOS Brigad\SOS Brigade\SOS Brigade W\SOS Brigade We\SOS Brigade Web\SOS Brigade Webs\SOS Brigade Websi\SOS Brigade Websit response:	SOS Brigade Website
context: SOS Brigade\SOS Brigade W\SOS Brigade We\SOS Brigade Web\SOS Brigade Webs\SOS Brigade Websi\SOS Brigade Websit\SOS Brigade Website response:	SOS Brigade Website L
context: SOS Brigade W\SOS Brigade We\SOS Brigade Web\SOS Brigade Webs\SOS Brigade Websi\SOS Brigade Websit\SOS Brigade Website\SOS Brigade Website L response:	SOS Brigade Website La
context: SOS Brigade We\SOS Brigade Web\SOS Brigade Webs\SOS Brigade Websi\SOS Brigade Websit\SOS Brigade Website\SOS Brigade Website L\SOS Brigade Website La response:	SOS Brigade Website Lau
context: SOS Brigade Web\SOS Brigade Webs\SOS Brigade Websi\SOS Brigade Websit\SOS Brigade Website\SOS Brigade Website L\SOS Brigade Website La\SOS Brigade Website Lau response:	SOS Brigade Website Laun
context: SOS Brigade Webs\SOS Brigade Websi\SOS Brigade Websit\SOS Brigade Website\SOS Brigade Website L\SOS Brigade Website La\SOS Brigade Website Lau\SOS Brigade Website Laun response:	SOS Brigade Website Launc
context: SOS Brigade Websi\SOS Brigade Websit\SOS Brigade Website\SOS Brigade Website L\SOS Brigade Website La\SOS Brigade Website Lau\SOS Brigade Website Laun\SOS Brigade Website Launc response:	SOS Brigade Website Launch
context: SOS Brigade Websit\SOS Brigade Website\SOS Brigade Website L\SOS Brigade Website La\SOS Brigade Website Lau\SOS Brigade Website Laun\SOS Brigade Website Launc\SOS Brigade Website Launch response:	So? Who's going to make it?
context: SOS Brigade Website\SOS Brigade Website L\SOS Brigade Website La\SOS Brigade Website Lau\SOS Brigade Website Laun\SOS Brigade Website Launc\SOS Brigade Website Launch\So? Who's going to make it? response:	That site or whatever.
context: SOS Brigade Website L\SOS Brigade Website La\SOS Brigade Website Lau\SOS Brigade Website Laun\SOS Brigade Website Launc\SOS Brigade Website Launch\So? Who's going to make it?\That site or whatever. response:	You.
context: SOS Brigade Website La\SOS Brigade Website Lau\SOS Brigade Website Laun\SOS Brigade Website Launc\SOS Brigade Website Launch\So? Who's going to make it?\That site or whatever.\You. response:	You've got time, don't you?
context: SOS Brigade Website Lau\SOS Brigade Website Laun\SOS Brigade Website Launc\SOS Brigade Website Launch\So? Who's going to make it?\That site or whatever.\You.\You've got time, don't you? response:	Make it.
context: SOS Brigade Website Laun\SOS Brigade Website Launc\SOS Brigade Website Launch\So? Who's going to make it?\That site or whatever.\You.\You've got time, don't you?\Make it. response:	I have to find more members.
context: SOS Brigade Website Launc\SOS Brigade Website Launch\So? Who's going to make it?\That site or whatever.\You.\You've got time, don't you?\Make it.\I have to find more members. response:	Have it finished in a day or two.
context: SOS Brigade Website Launch\So? Who's going to make it?\That site or whatever.\You.\You've got time, don't you?\Make it.\I have to find more members.\Have it finished in a day or two. response:	We can't participate in any activities until a site's up.
context: So? Who's going to make it?\That site or whatever.\You.\You've got time, don't you?\Make it.\I have to find more members.\Have it finished in a day or two.\We can't participate in any activities until a site's up. response:	Making a website, huh...
context: That site or whatever.\You.\You've got time, don't you?\Make it.\I have to find more members.\Have it finished in a day or two.\We can't participate in any activities until a site's up.\Making a website, huh... response:	And despite all the grumbling, I actually enjoyed making it.
context: You.\You've got time, don't you?\Make it.\I have to find more members.\Have it finished in a day or two.\We can't participate in any activities until a site's up.\Making a website, huh...\And despite all the grumbling, I actually enjoyed making it. response:	The Computer Society had installed most of the necessary programs so it was pretty simple.
context: You've got time, don't you?\Make it.\I have to find more members.\Have it finished in a day or two.\We can't participate in any activities until a site's up.\Making a website, huh...\And despite all the grumbling, I actually enjoyed making it.\The Computer Society had installed most of the necessary programs so it was pretty simple. response:	Not a bad way to kill time during lunch break.
context: Make it.\I have to find more members.\Have it finished in a day or two.\We can't participate in any activities until a site's up.\Making a website, huh...\And despite all the grumbling, I actually enjoyed making it.\The Computer Society had installed most of the necessary programs so it was pretty simple.\Not a bad way to kill time during lunch break. response:	You are the
context: I have to find more members.\Have it finished in a day or two.\We can't participate in any activities until a site's up.\Making a website, huh...\And despite all the grumbling, I actually enjoyed making it.\The Computer Society had installed most of the necessary programs so it was pretty simple.\Not a bad way to kill time during lunch break.\You are the response:	th visitor to this site.
context: Have it finished in a day or two.\We can't participate in any activities until a site's up.\Making a website, huh...\And despite all the grumbling, I actually enjoyed making it.\The Computer Society had installed most of the necessary programs so it was pretty simple.\Not a bad way to kill time during lunch break.\You are the\th visitor to this site. response:	Enter
context: We can't participate in any activities until a site's up.\Making a website, huh...\And despite all the grumbling, I actually enjoyed making it.\The Computer Society had installed most of the necessary programs so it was pretty simple.\Not a bad way to kill time during lunch break.\You are the\th visitor to this site.\Enter response:	Mail us at
context: Making a website, huh...\And despite all the grumbling, I actually enjoyed making it.\The Computer Society had installed most of the necessary programs so it was pretty simple.\Not a bad way to kill time during lunch break.\You are the\th visitor to this site.\Enter\Mail us at response:	This website is best viewed at 1024x768.
context: And despite all the grumbling, I actually enjoyed making it.\The Computer Society had installed most of the necessary programs so it was pretty simple.\Not a bad way to kill time during lunch break.\You are the\th visitor to this site.\Enter\Mail us at\This website is best viewed at 1024x768. response:	Speaking of which, what am I supposed to put on here?
context: The Computer Society had installed most of the necessary programs so it was pretty simple.\Not a bad way to kill time during lunch break.\You are the\th visitor to this site.\Enter\Mail us at\This website is best viewed at 1024x768.\Speaking of which, what am I supposed to put on here? response:	After all, I still have no idea what the SOS Brigade does.
context: Not a bad way to kill time during lunch break.\You are the\th visitor to this site.\Enter\Mail us at\This website is best viewed at 1024x768.\Speaking of which, what am I supposed to put on here?\After all, I still have no idea what the SOS Brigade does. response:	Nagato.
context: You are the\th visitor to this site.\Enter\Mail us at\This website is best viewed at 1024x768.\Speaking of which, what am I supposed to put on here?\After all, I still have no idea what the SOS Brigade does.\Nagato. response:	Do you have anything you want to put on the site?
context: th visitor to this site.\Enter\Mail us at\This website is best viewed at 1024x768.\Speaking of which, what am I supposed to put on here?\After all, I still have no idea what the SOS Brigade does.\Nagato.\Do you have anything you want to put on the site? response:	Nothing.
context: Enter\Mail us at\This website is best viewed at 1024x768.\Speaking of which, what am I supposed to put on here?\After all, I still have no idea what the SOS Brigade does.\Nagato.\Do you have anything you want to put on the site?\Nothing. response:	Not that I care, but...
context: Mail us at\This website is best viewed at 1024x768.\Speaking of which, what am I supposed to put on here?\After all, I still have no idea what the SOS Brigade does.\Nagato.\Do you have anything you want to put on the site?\Nothing.\Not that I care, but... response:	Crap.
context: This website is best viewed at 1024x768.\Speaking of which, what am I supposed to put on here?\After all, I still have no idea what the SOS Brigade does.\Nagato.\Do you have anything you want to put on the site?\Nothing.\Not that I care, but...\Crap. response:	Time for class.
context: Speaking of which, what am I supposed to put on here?\After all, I still have no idea what the SOS Brigade does.\Nagato.\Do you have anything you want to put on the site?\Nothing.\Not that I care, but...\Crap.\Time for class. response:	Here.
context: After all, I still have no idea what the SOS Brigade does.\Nagato.\Do you have anything you want to put on the site?\Nothing.\Not that I care, but...\Crap.\Time for class.\Here. response:	I'll lend you this.
context: Nagato.\Do you have anything you want to put on the site?\Nothing.\Not that I care, but...\Crap.\Time for class.\Here.\I'll lend you this. response:	Dan Simmons
context: Do you have anything you want to put on the site?\Nothing.\Not that I care, but...\Crap.\Time for class.\Here.\I'll lend you this.\Dan Simmons response:	I still have my misgivings...
context: Nothing.\Not that I care, but...\Crap.\Time for class.\Here.\I'll lend you this.\Dan Simmons\I still have my misgivings... response:	Why, indeed...
context: Not that I care, but...\Crap.\Time for class.\Here.\I'll lend you this.\Dan Simmons\I still have my misgivings...\Why, indeed... response:	Is this the power of habit?
context: Crap.\Time for class.\Here.\I'll lend you this.\Dan Simmons\I still have my misgivings...\Why, indeed...\Is this the power of habit? response:	What a riot.
context: Time for class.\Here.\I'll lend you this.\Dan Simmons\I still have my misgivings...\Why, indeed...\Is this the power of habit?\What a riot. response:	'Sup!
context: Here.\I'll lend you this.\Dan Simmons\I still have my misgivings...\Why, indeed...\Is this the power of habit?\What a riot.\'Sup! response:	And yeah. Are these two really that bored?
context: I'll lend you this.\Dan Simmons\I still have my misgivings...\Why, indeed...\Is this the power of habit?\What a riot.\'Sup!\And yeah. Are these two really that bored? response:	Though I guess I'm not one to talk.
context: Dan Simmons\I still have my misgivings...\Why, indeed...\Is this the power of habit?\What a riot.\'Sup!\And yeah. Are these two really that bored?\Though I guess I'm not one to talk. response:	Where's Suzumiya-san?
context: I still have my misgivings...\Why, indeed...\Is this the power of habit?\What a riot.\'Sup!\And yeah. Are these two really that bored?\Though I guess I'm not one to talk.\Where's Suzumiya-san? response:	Beats me.
context: Why, indeed...\Is this the power of habit?\What a riot.\'Sup!\And yeah. Are these two really that bored?\Though I guess I'm not one to talk.\Where's Suzumiya-san?\Beats me. response:	She was already gone during sixth period.
context: Is this the power of habit?\What a riot.\'Sup!\And yeah. Are these two really that bored?\Though I guess I'm not one to talk.\Where's Suzumiya-san?\Beats me.\She was already gone during sixth period. response:	Perhaps she's off extorting more equipment.
context: What a riot.\'Sup!\And yeah. Are these two really that bored?\Though I guess I'm not one to talk.\Where's Suzumiya-san?\Beats me.\She was already gone during sixth period.\Perhaps she's off extorting more equipment. response:	Will I be forced to do something like yesterday again...
context: 'Sup!\And yeah. Are these two really that bored?\Though I guess I'm not one to talk.\Where's Suzumiya-san?\Beats me.\She was already gone during sixth period.\Perhaps she's off extorting more equipment.\Will I be forced to do something like yesterday again... response:	Do not worry.
context: And yeah. Are these two really that bored?\Though I guess I'm not one to talk.\Where's Suzumiya-san?\Beats me.\She was already gone during sixth period.\Perhaps she's off extorting more equipment.\Will I be forced to do something like yesterday again...\Do not worry. response:	Next time, I'll do everything I can to prevent it.
context: Though I guess I'm not one to talk.\Where's Suzumiya-san?\Beats me.\She was already gone during sixth period.\Perhaps she's off extorting more equipment.\Will I be forced to do something like yesterday again...\Do not worry.\Next time, I'll do everything I can to prevent it. response:	Really?
context: Where's Suzumiya-san?\Beats me.\She was already gone during sixth period.\Perhaps she's off extorting more equipment.\Will I be forced to do something like yesterday again...\Do not worry.\Next time, I'll do everything I can to prevent it.\Really? response:	Thank you!
context: Beats me.\She was already gone during sixth period.\Perhaps she's off extorting more equipment.\Will I be forced to do something like yesterday again...\Do not worry.\Next time, I'll do everything I can to prevent it.\Really?\Thank you! response:	I'm counting on you then!
context: She was already gone during sixth period.\Perhaps she's off extorting more equipment.\Will I be forced to do something like yesterday again...\Do not worry.\Next time, I'll do everything I can to prevent it.\Really?\Thank you!\I'm counting on you then! response:	You can count on me.
context: Perhaps she's off extorting more equipment.\Will I be forced to do something like yesterday again...\Do not worry.\Next time, I'll do everything I can to prevent it.\Really?\Thank you!\I'm counting on you then!\You can count on me. response:	Ya-hoo!
context: Will I be forced to do something like yesterday again...\Do not worry.\Next time, I'll do everything I can to prevent it.\Really?\Thank you!\I'm counting on you then!\You can count on me.\Ya-hoo! response:	Yahoo?
context: Do not worry.\Next time, I'll do everything I can to prevent it.\Really?\Thank you!\I'm counting on you then!\You can count on me.\Ya-hoo!\Yahoo? response:	First up is this!
context: Next time, I'll do everything I can to prevent it.\Really?\Thank you!\I'm counting on you then!\You can count on me.\Ya-hoo!\Yahoo?\First up is this! response:	A proclamation of the SOS Brigade creed...
context: Really?\Thank you!\I'm counting on you then!\You can count on me.\Ya-hoo!\Yahoo?\First up is this!\A proclamation of the SOS Brigade creed... response:	And this.
context: Thank you!\I'm counting on you then!\You can count on me.\Ya-hoo!\Yahoo?\First up is this!\A proclamation of the SOS Brigade creed...\And this. response:	Ta-ta-ta-da!
context: I'm counting on you then!\You can count on me.\Ya-hoo!\Yahoo?\First up is this!\A proclamation of the SOS Brigade creed...\And this.\Ta-ta-ta-da! response:	We're going to distribute flyers wearing these.
context: You can count on me.\Ya-hoo!\Yahoo?\First up is this!\A proclamation of the SOS Brigade creed...\And this.\Ta-ta-ta-da!\We're going to distribute flyers wearing these. response:	Where at?
context: Ya-hoo!\Yahoo?\First up is this!\A proclamation of the SOS Brigade creed...\And this.\Ta-ta-ta-da!\We're going to distribute flyers wearing these.\Where at? response:	The front gate.
context: Yahoo?\First up is this!\A proclamation of the SOS Brigade creed...\And this.\Ta-ta-ta-da!\We're going to distribute flyers wearing these.\Where at?\The front gate. response:	There should be plenty of students heading home right now.
context: First up is this!\A proclamation of the SOS Brigade creed...\And this.\Ta-ta-ta-da!\We're going to distribute flyers wearing these.\Where at?\The front gate.\There should be plenty of students heading home right now. response:	So?
context: A proclamation of the SOS Brigade creed...\And this.\Ta-ta-ta-da!\We're going to distribute flyers wearing these.\Where at?\The front gate.\There should be plenty of students heading home right now.\So? response:	What are we wearing?
context: And this.\Ta-ta-ta-da!\We're going to distribute flyers wearing these.\Where at?\The front gate.\There should be plenty of students heading home right now.\So?\What are we wearing? response:	I wasn't talking about you.
context: Ta-ta-ta-da!\We're going to distribute flyers wearing these.\Where at?\The front gate.\There should be plenty of students heading home right now.\So?\What are we wearing?\I wasn't talking about you. response:	Mikuru-chan's the one who's wearing this.
context: We're going to distribute flyers wearing these.\Where at?\The front gate.\There should be plenty of students heading home right now.\So?\What are we wearing?\I wasn't talking about you.\Mikuru-chan's the one who's wearing this. response:	Yes?
context: Where at?\The front gate.\There should be plenty of students heading home right now.\So?\What are we wearing?\I wasn't talking about you.\Mikuru-chan's the one who's wearing this.\Yes? response:	Bunny girl!
context: The front gate.\There should be plenty of students heading home right now.\So?\What are we wearing?\I wasn't talking about you.\Mikuru-chan's the one who's wearing this.\Yes?\Bunny girl! response:	Um... Um...
context: There should be plenty of students heading home right now.\So?\What are we wearing?\I wasn't talking about you.\Mikuru-chan's the one who's wearing this.\Yes?\Bunny girl!\Um... Um... response:	What do you...
context: So?\What are we wearing?\I wasn't talking about you.\Mikuru-chan's the one who's wearing this.\Yes?\Bunny girl!\Um... Um...\What do you... response:	Come on!
context: What are we wearing?\I wasn't talking about you.\Mikuru-chan's the one who's wearing this.\Yes?\Bunny girl!\Um... Um...\What do you...\Come on! response:	Get changed! Get changed!
context: I wasn't talking about you.\Mikuru-chan's the one who's wearing this.\Yes?\Bunny girl!\Um... Um...\What do you...\Come on!\Get changed! Get changed! response:	I don't want to!
context: Mikuru-chan's the one who's wearing this.\Yes?\Bunny girl!\Um... Um...\What do you...\Come on!\Get changed! Get changed!\I don't want to! response:	Shut up!
context: Yes?\Bunny girl!\Um... Um...\What do you...\Come on!\Get changed! Get changed!\I don't want to!\Shut up! response:	Take it off! Take it off!
context: Bunny girl!\Um... Um...\What do you...\Come on!\Get changed! Get changed!\I don't want to!\Shut up!\Take it off! Take it off! response:	No!
context: Um... Um...\What do you...\Come on!\Get changed! Get changed!\I don't want to!\Shut up!\Take it off! Take it off!\No! response:	Hey, Suzumiya!
context: What do you...\Come on!\Get changed! Get changed!\I don't want to!\Shut up!\Take it off! Take it off!\No!\Hey, Suzumiya! response:	What are you doing!?
context: Come on!\Get changed! Get changed!\I don't want to!\Shut up!\Take it off! Take it off!\No!\Hey, Suzumiya!\What are you doing!? response:	No!
context: Get changed! Get changed!\I don't want to!\Shut up!\Take it off! Take it off!\No!\Hey, Suzumiya!\What are you doing!?\No! response:	Don't look!
context: I don't want to!\Shut up!\Take it off! Take it off!\No!\Hey, Suzumiya!\What are you doing!?\No!\Don't look! response:	Come on! Do as I say!
context: Shut up!\Take it off! Take it off!\No!\Hey, Suzumiya!\What are you doing!?\No!\Don't look!\Come on! Do as I say! response:	There!
context: Take it off! Take it off!\No!\Hey, Suzumiya!\What are you doing!?\No!\Don't look!\Come on! Do as I say!\There! response:	Take it all off!
context: No!\Hey, Suzumiya!\What are you doing!?\No!\Don't look!\Come on! Do as I say!\There!\Take it all off! response:	No!
context: Hey, Suzumiya!\What are you doing!?\No!\Don't look!\Come on! Do as I say!\There!\Take it all off!\No! response:	At least let me undress myself...
context: What are you doing!?\No!\Don't look!\Come on! Do as I say!\There!\Take it all off!\No!\At least let me undress myself... response:	N-No!
context: No!\Don't look!\Come on! Do as I say!\There!\Take it all off!\No!\At least let me undress myself...\N-No! response:	Come on in!
context: Don't look!\Come on! Do as I say!\There!\Take it all off!\No!\At least let me undress myself...\N-No!\Come on in! response:	She's like some evil feudal lord.
context: Come on! Do as I say!\There!\Take it all off!\No!\At least let me undress myself...\N-No!\Come on in!\She's like some evil feudal lord. response:	What do you think?
context: There!\Take it all off!\No!\At least let me undress myself...\N-No!\Come on in!\She's like some evil feudal lord.\What do you think? response:	This'll be perfect for attracting attention, right?
context: Take it all off!\No!\At least let me undress myself...\N-No!\Come on in!\She's like some evil feudal lord.\What do you think?\This'll be perfect for attracting attention, right? response:	More like suck in attention...
context: No!\At least let me undress myself...\N-No!\Come on in!\She's like some evil feudal lord.\What do you think?\This'll be perfect for attracting attention, right?\More like suck in attention... response:	What about Nagato?
context: At least let me undress myself...\N-No!\Come on in!\She's like some evil feudal lord.\What do you think?\This'll be perfect for attracting attention, right?\More like suck in attention...\What about Nagato? response:	I could only buy two of them.
context: N-No!\Come on in!\She's like some evil feudal lord.\What do you think?\This'll be perfect for attracting attention, right?\More like suck in attention...\What about Nagato?\I could only buy two of them. response:	I got the full set so it was expensive.
context: Come on in!\She's like some evil feudal lord.\What do you think?\This'll be perfect for attracting attention, right?\More like suck in attention...\What about Nagato?\I could only buy two of them.\I got the full set so it was expensive. response:	Where do they sell this stuff?
context: She's like some evil feudal lord.\What do you think?\This'll be perfect for attracting attention, right?\More like suck in attention...\What about Nagato?\I could only buy two of them.\I got the full set so it was expensive.\Where do they sell this stuff? response:	I ordered it online.
context: What do you think?\This'll be perfect for attracting attention, right?\More like suck in attention...\What about Nagato?\I could only buy two of them.\I got the full set so it was expensive.\Where do they sell this stuff?\I ordered it online. response:	I see.
context: This'll be perfect for attracting attention, right?\More like suck in attention...\What about Nagato?\I could only buy two of them.\I got the full set so it was expensive.\Where do they sell this stuff?\I ordered it online.\I see. response:	I'm off then!
context: More like suck in attention...\What about Nagato?\I could only buy two of them.\I got the full set so it was expensive.\Where do they sell this stuff?\I ordered it online.\I see.\I'm off then! response:	Let's go, Mikuru-chan!
context: What about Nagato?\I could only buy two of them.\I got the full set so it was expensive.\Where do they sell this stuff?\I ordered it online.\I see.\I'm off then!\Let's go, Mikuru-chan! response:	No!
context: I could only buy two of them.\I got the full set so it was expensive.\Where do they sell this stuff?\I ordered it online.\I see.\I'm off then!\Let's go, Mikuru-chan!\No! response:	Let's go!
context: I got the full set so it was expensive.\Where do they sell this stuff?\I ordered it online.\I see.\I'm off then!\Let's go, Mikuru-chan!\No!\Let's go! response:	Sorry.
context: Where do they sell this stuff?\I ordered it online.\I see.\I'm off then!\Let's go, Mikuru-chan!\No!\Let's go!\Sorry. response:	To be honest, I can't get enough of that outfit.
context: I ordered it online.\I see.\I'm off then!\Let's go, Mikuru-chan!\No!\Let's go!\Sorry.\To be honest, I can't get enough of that outfit. response:	My passion is running wild.
context: I see.\I'm off then!\Let's go, Mikuru-chan!\No!\Let's go!\Sorry.\To be honest, I can't get enough of that outfit.\My passion is running wild. response:	Wha
context: I'm off then!\Let's go, Mikuru-chan!\No!\Let's go!\Sorry.\To be honest, I can't get enough of that outfit.\My passion is running wild.\Wha response:	Good grief...
context: Let's go, Mikuru-chan!\No!\Let's go!\Sorry.\To be honest, I can't get enough of that outfit.\My passion is running wild.\Wha\Good grief... response:	I can still feel their body heat.
context: No!\Let's go!\Sorry.\To be honest, I can't get enough of that outfit.\My passion is running wild.\Wha\Good grief...\I can still feel their body heat. response:	It's all warm.
context: Let's go!\Sorry.\To be honest, I can't get enough of that outfit.\My passion is running wild.\Wha\Good grief...\I can still feel their body heat.\It's all warm. response:	A proclamation of the SOS Brigade creed...
context: Sorry.\To be honest, I can't get enough of that outfit.\My passion is running wild.\Wha\Good grief...\I can still feel their body heat.\It's all warm.\A proclamation of the SOS Brigade creed... response:	Our SOS Brigade is looking for mysteries of the world.
context: To be honest, I can't get enough of that outfit.\My passion is running wild.\Wha\Good grief...\I can still feel their body heat.\It's all warm.\A proclamation of the SOS Brigade creed...\Our SOS Brigade is looking for mysteries of the world. response:	People who have experienced something mysterious in the past...
context: My passion is running wild.\Wha\Good grief...\I can still feel their body heat.\It's all warm.\A proclamation of the SOS Brigade creed...\Our SOS Brigade is looking for mysteries of the world.\People who have experienced something mysterious in the past... response:	People who have run into something mysterious recently...
context: Wha\Good grief...\I can still feel their body heat.\It's all warm.\A proclamation of the SOS Brigade creed...\Our SOS Brigade is looking for mysteries of the world.\People who have experienced something mysterious in the past...\People who have run into something mysterious recently... response:	People who plan on a mysterious experience in the near future...
context: Good grief...\I can still feel their body heat.\It's all warm.\A proclamation of the SOS Brigade creed...\Our SOS Brigade is looking for mysteries of the world.\People who have experienced something mysterious in the past...\People who have run into something mysterious recently...\People who plan on a mysterious experience in the near future... response:	If any of the above apply to you, come see us!
context: I can still feel their body heat.\It's all warm.\A proclamation of the SOS Brigade creed...\Our SOS Brigade is looking for mysteries of the world.\People who have experienced something mysterious in the past...\People who have run into something mysterious recently...\People who plan on a mysterious experience in the near future...\If any of the above apply to you, come see us! response:	We will solve your problem on the spot!
context: It's all warm.\A proclamation of the SOS Brigade creed...\Our SOS Brigade is looking for mysteries of the world.\People who have experienced something mysterious in the past...\People who have run into something mysterious recently...\People who plan on a mysterious experience in the near future...\If any of the above apply to you, come see us!\We will solve your problem on the spot! response:	However, a normal mystery will not do.
context: A proclamation of the SOS Brigade creed...\Our SOS Brigade is looking for mysteries of the world.\People who have experienced something mysterious in the past...\People who have run into something mysterious recently...\People who plan on a mysterious experience in the near future...\If any of the above apply to you, come see us!\We will solve your problem on the spot!\However, a normal mystery will not do. response:	It has to be a mystery that wows us!
context: Our SOS Brigade is looking for mysteries of the world.\People who have experienced something mysterious in the past...\People who have run into something mysterious recently...\People who plan on a mysterious experience in the near future...\If any of the above apply to you, come see us!\We will solve your problem on the spot!\However, a normal mystery will not do.\It has to be a mystery that wows us! response:	Make note of that!
context: People who have experienced something mysterious in the past...\People who have run into something mysterious recently...\People who plan on a mysterious experience in the near future...\If any of the above apply to you, come see us!\We will solve your problem on the spot!\However, a normal mystery will not do.\It has to be a mystery that wows us!\Make note of that! response:	I think I'm starting to understand the purpose of this brigade.
context: People who have run into something mysterious recently...\People who plan on a mysterious experience in the near future...\If any of the above apply to you, come see us!\We will solve your problem on the spot!\However, a normal mystery will not do.\It has to be a mystery that wows us!\Make note of that!\I think I'm starting to understand the purpose of this brigade. response:	I'm pissed!
context: People who plan on a mysterious experience in the near future...\If any of the above apply to you, come see us!\We will solve your problem on the spot!\However, a normal mystery will not do.\It has to be a mystery that wows us!\Make note of that!\I think I'm starting to understand the purpose of this brigade.\I'm pissed! response:	What's with those stupid teachers?
context: If any of the above apply to you, come see us!\We will solve your problem on the spot!\However, a normal mystery will not do.\It has to be a mystery that wows us!\Make note of that!\I think I'm starting to understand the purpose of this brigade.\I'm pissed!\What's with those stupid teachers? response:	They're such a pain! A pain!
context: We will solve your problem on the spot!\However, a normal mystery will not do.\It has to be a mystery that wows us!\Make note of that!\I think I'm starting to understand the purpose of this brigade.\I'm pissed!\What's with those stupid teachers?\They're such a pain! A pain! response:	Was there some kind of a problem?
context: However, a normal mystery will not do.\It has to be a mystery that wows us!\Make note of that!\I think I'm starting to understand the purpose of this brigade.\I'm pissed!\What's with those stupid teachers?\They're such a pain! A pain!\Was there some kind of a problem? response:	Way beyond that!
