context: Well, you might think number three's the weirdest one. response:	Oh, enough already.
context: They smell really good.\I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...\I wonder if he really rode a bus carrying this huge bouquet with him...\I wish I could rewrite my past.\If I could, I'd do all I could...\He's got me...\I'm going out for a bit!\Where are you going at this time of night? response:	To the bus stop!
context: I'm sure he picked them all from his garden in a rush and wrapped them in a newspaper without thinking...\I wonder if he really rode a bus carrying this huge bouquet with him...\I wish I could rewrite my past.\If I could, I'd do all I could...\He's got me...\I'm going out for a bit!\Where are you going at this time of night?\To the bus stop! response:	You're not fair!
context: I wonder if he really rode a bus carrying this huge bouquet with him...\I wish I could rewrite my past.\If I could, I'd do all I could...\He's got me...\I'm going out for a bit!\Where are you going at this time of night?\To the bus stop!\You're not fair! response:	You're really not fair at all!
context: I wish I could rewrite my past.\If I could, I'd do all I could...\He's got me...\I'm going out for a bit!\Where are you going at this time of night?\To the bus stop!\You're not fair!\You're really not fair at all! response:	But...
context: If I could, I'd do all I could...\He's got me...\I'm going out for a bit!\Where are you going at this time of night?\To the bus stop!\You're not fair!\You're really not fair at all!\But... response:	But Yano...
context: He's got me...\I'm going out for a bit!\Where are you going at this time of night?\To the bus stop!\You're not fair!\You're really not fair at all!\But...\But Yano... response:	Yano!
context: I'm going out for a bit!\Where are you going at this time of night?\To the bus stop!\You're not fair!\You're really not fair at all!\But...\But Yano...\Yano! response:	I really wanted to tell him off, but...
context: Where are you going at this time of night?\To the bus stop!\You're not fair!\You're really not fair at all!\But...\But Yano...\Yano!\I really wanted to tell him off, but... response:	I love you, you big moron!
context: To the bus stop!\You're not fair!\You're really not fair at all!\But...\But Yano...\Yano!\I really wanted to tell him off, but...\I love you, you big moron! response:	Ah... I'm too soft...
context: You're not fair!\You're really not fair at all!\But...\But Yano...\Yano!\I really wanted to tell him off, but...\I love you, you big moron!\Ah... I'm too soft... response:	I might not've been able to forgive him.
context: You're really not fair at all!\But...\But Yano...\Yano!\I really wanted to tell him off, but...\I love you, you big moron!\Ah... I'm too soft...\I might not've been able to forgive him. response:	But when I see his face, I feel like I don't have any choice.
context: But...\But Yano...\Yano!\I really wanted to tell him off, but...\I love you, you big moron!\Ah... I'm too soft...\I might not've been able to forgive him.\But when I see his face, I feel like I don't have any choice. response:	It's frustrating, but I still want to be beside him.
context: But Yano...\Yano!\I really wanted to tell him off, but...\I love you, you big moron!\Ah... I'm too soft...\I might not've been able to forgive him.\But when I see his face, I feel like I don't have any choice.\It's frustrating, but I still want to be beside him. response:	Like they say, you'll always give in to the other when you're in love...
context: Yano!\I really wanted to tell him off, but...\I love you, you big moron!\Ah... I'm too soft...\I might not've been able to forgive him.\But when I see his face, I feel like I don't have any choice.\It's frustrating, but I still want to be beside him.\Like they say, you'll always give in to the other when you're in love... response:	Yeah.
context: I really wanted to tell him off, but...\I love you, you big moron!\Ah... I'm too soft...\I might not've been able to forgive him.\But when I see his face, I feel like I don't have any choice.\It's frustrating, but I still want to be beside him.\Like they say, you'll always give in to the other when you're in love...\Yeah. response:	Mizu-chin once told me I wouldn't be able to beat someone who's dead.
context: I love you, you big moron!\Ah... I'm too soft...\I might not've been able to forgive him.\But when I see his face, I feel like I don't have any choice.\It's frustrating, but I still want to be beside him.\Like they say, you'll always give in to the other when you're in love...\Yeah.\Mizu-chin once told me I wouldn't be able to beat someone who's dead. response:	But I can't change his past.
context: Ah... I'm too soft...\I might not've been able to forgive him.\But when I see his face, I feel like I don't have any choice.\It's frustrating, but I still want to be beside him.\Like they say, you'll always give in to the other when you're in love...\Yeah.\Mizu-chin once told me I wouldn't be able to beat someone who's dead.\But I can't change his past. response:	So shouldn't I try to make the present as happy as possible?
context: I might not've been able to forgive him.\But when I see his face, I feel like I don't have any choice.\It's frustrating, but I still want to be beside him.\Like they say, you'll always give in to the other when you're in love...\Yeah.\Mizu-chin once told me I wouldn't be able to beat someone who's dead.\But I can't change his past.\So shouldn't I try to make the present as happy as possible? response:	Don't you think so?
context: But when I see his face, I feel like I don't have any choice.\It's frustrating, but I still want to be beside him.\Like they say, you'll always give in to the other when you're in love...\Yeah.\Mizu-chin once told me I wouldn't be able to beat someone who's dead.\But I can't change his past.\So shouldn't I try to make the present as happy as possible?\Don't you think so? response:	Yeah.
context: It's frustrating, but I still want to be beside him.\Like they say, you'll always give in to the other when you're in love...\Yeah.\Mizu-chin once told me I wouldn't be able to beat someone who's dead.\But I can't change his past.\So shouldn't I try to make the present as happy as possible?\Don't you think so?\Yeah. response:	Yano hates Nana-san.
context: Like they say, you'll always give in to the other when you're in love...\Yeah.\Mizu-chin once told me I wouldn't be able to beat someone who's dead.\But I can't change his past.\So shouldn't I try to make the present as happy as possible?\Don't you think so?\Yeah.\Yano hates Nana-san. response:	I don't want to speak badly of the dead...
context: Yeah.\Mizu-chin once told me I wouldn't be able to beat someone who's dead.\But I can't change his past.\So shouldn't I try to make the present as happy as possible?\Don't you think so?\Yeah.\Yano hates Nana-san.\I don't want to speak badly of the dead... response:	But... Nana-san's not fair.
context: Mizu-chin once told me I wouldn't be able to beat someone who's dead.\But I can't change his past.\So shouldn't I try to make the present as happy as possible?\Don't you think so?\Yeah.\Yano hates Nana-san.\I don't want to speak badly of the dead...\But... Nana-san's not fair. response:	That's why I'm going to make Yano happy.
context: But I can't change his past.\So shouldn't I try to make the present as happy as possible?\Don't you think so?\Yeah.\Yano hates Nana-san.\I don't want to speak badly of the dead...\But... Nana-san's not fair.\That's why I'm going to make Yano happy. response:	I must sound pretty dumb, huh?
context: So shouldn't I try to make the present as happy as possible?\Don't you think so?\Yeah.\Yano hates Nana-san.\I don't want to speak badly of the dead...\But... Nana-san's not fair.\That's why I'm going to make Yano happy.\I must sound pretty dumb, huh? response:	No, that's great.
context: Don't you think so?\Yeah.\Yano hates Nana-san.\I don't want to speak badly of the dead...\But... Nana-san's not fair.\That's why I'm going to make Yano happy.\I must sound pretty dumb, huh?\No, that's great. response:	Could I warn you of something, though?
context: Yeah.\Yano hates Nana-san.\I don't want to speak badly of the dead...\But... Nana-san's not fair.\That's why I'm going to make Yano happy.\I must sound pretty dumb, huh?\No, that's great.\Could I warn you of something, though? response:	Yeah.
context: Yano hates Nana-san.\I don't want to speak badly of the dead...\But... Nana-san's not fair.\That's why I'm going to make Yano happy.\I must sound pretty dumb, huh?\No, that's great.\Could I warn you of something, though?\Yeah. response:	If it's just going to be a relationship of hardship and mental agony, you should put an end to it.
context: I don't want to speak badly of the dead...\But... Nana-san's not fair.\That's why I'm going to make Yano happy.\I must sound pretty dumb, huh?\No, that's great.\Could I warn you of something, though?\Yeah.\If it's just going to be a relationship of hardship and mental agony, you should put an end to it. response:	Why...?
context: But... Nana-san's not fair.\That's why I'm going to make Yano happy.\I must sound pretty dumb, huh?\No, that's great.\Could I warn you of something, though?\Yeah.\If it's just going to be a relationship of hardship and mental agony, you should put an end to it.\Why...? response:	We're going to be happy...
context: That's why I'm going to make Yano happy.\I must sound pretty dumb, huh?\No, that's great.\Could I warn you of something, though?\Yeah.\If it's just going to be a relationship of hardship and mental agony, you should put an end to it.\Why...?\We're going to be happy... response:	Where should we go on Sunday?
context: I must sound pretty dumb, huh?\No, that's great.\Could I warn you of something, though?\Yeah.\If it's just going to be a relationship of hardship and mental agony, you should put an end to it.\Why...?\We're going to be happy...\Where should we go on Sunday? response:	Ah, how about the zoo?
context: No, that's great.\Could I warn you of something, though?\Yeah.\If it's just going to be a relationship of hardship and mental agony, you should put an end to it.\Why...?\We're going to be happy...\Where should we go on Sunday?\Ah, how about the zoo? response:	When I suggested the zoo before, you made fun of me!
context: Could I warn you of something, though?\Yeah.\If it's just going to be a relationship of hardship and mental agony, you should put an end to it.\Why...?\We're going to be happy...\Where should we go on Sunday?\Ah, how about the zoo?\When I suggested the zoo before, you made fun of me! response:	Come on. Let's go see the monkeys!
context: Yeah.\If it's just going to be a relationship of hardship and mental agony, you should put an end to it.\Why...?\We're going to be happy...\Where should we go on Sunday?\Ah, how about the zoo?\When I suggested the zoo before, you made fun of me!\Come on. Let's go see the monkeys! response:	I'm not in the mood for monkeys.
context: If it's just going to be a relationship of hardship and mental agony, you should put an end to it.\Why...?\We're going to be happy...\Where should we go on Sunday?\Ah, how about the zoo?\When I suggested the zoo before, you made fun of me!\Come on. Let's go see the monkeys!\I'm not in the mood for monkeys. response:	Then what are you in the mood for?
context: Why...?\We're going to be happy...\Where should we go on Sunday?\Ah, how about the zoo?\When I suggested the zoo before, you made fun of me!\Come on. Let's go see the monkeys!\I'm not in the mood for monkeys.\Then what are you in the mood for? response:	The beach!
context: We're going to be happy...\Where should we go on Sunday?\Ah, how about the zoo?\When I suggested the zoo before, you made fun of me!\Come on. Let's go see the monkeys!\I'm not in the mood for monkeys.\Then what are you in the mood for?\The beach! response:	No?
context: Where should we go on Sunday?\Ah, how about the zoo?\When I suggested the zoo before, you made fun of me!\Come on. Let's go see the monkeys!\I'm not in the mood for monkeys.\Then what are you in the mood for?\The beach!\No? response:	It's not that...
context: Ah, how about the zoo?\When I suggested the zoo before, you made fun of me!\Come on. Let's go see the monkeys!\I'm not in the mood for monkeys.\Then what are you in the mood for?\The beach!\No?\It's not that... response:	Girls really love the beach, huh?
context: When I suggested the zoo before, you made fun of me!\Come on. Let's go see the monkeys!\I'm not in the mood for monkeys.\Then what are you in the mood for?\The beach!\No?\It's not that...\Girls really love the beach, huh? response:	I know of a beach near here that's not like the ones you see in pictures. Is that all right?
context: Come on. Let's go see the monkeys!\I'm not in the mood for monkeys.\Then what are you in the mood for?\The beach!\No?\It's not that...\Girls really love the beach, huh?\I know of a beach near here that's not like the ones you see in pictures. Is that all right? response:	Yeah.
context: I'm not in the mood for monkeys.\Then what are you in the mood for?\The beach!\No?\It's not that...\Girls really love the beach, huh?\I know of a beach near here that's not like the ones you see in pictures. Is that all right?\Yeah. response:	Then let's go to the beach.
context: Then what are you in the mood for?\The beach!\No?\It's not that...\Girls really love the beach, huh?\I know of a beach near here that's not like the ones you see in pictures. Is that all right?\Yeah.\Then let's go to the beach. response:	If people could do things over, I wonder if they...
context: The beach!\No?\It's not that...\Girls really love the beach, huh?\I know of a beach near here that's not like the ones you see in pictures. Is that all right?\Yeah.\Then let's go to the beach.\If people could do things over, I wonder if they... response:	Check out this kelp!
context: No?\It's not that...\Girls really love the beach, huh?\I know of a beach near here that's not like the ones you see in pictures. Is that all right?\Yeah.\Then let's go to the beach.\If people could do things over, I wonder if they...\Check out this kelp! response:	Ah, stop it!
context: It's not that...\Girls really love the beach, huh?\I know of a beach near here that's not like the ones you see in pictures. Is that all right?\Yeah.\Then let's go to the beach.\If people could do things over, I wonder if they...\Check out this kelp!\Ah, stop it! response:	See, see?
context: Girls really love the beach, huh?\I know of a beach near here that's not like the ones you see in pictures. Is that all right?\Yeah.\Then let's go to the beach.\If people could do things over, I wonder if they...\Check out this kelp!\Ah, stop it!\See, see? response:	Would they choose the people they encounter...
context: I know of a beach near here that's not like the ones you see in pictures. Is that all right?\Yeah.\Then let's go to the beach.\If people could do things over, I wonder if they...\Check out this kelp!\Ah, stop it!\See, see?\Would they choose the people they encounter... response:	The sea's shining... it's so pretty.
context: Yeah.\Then let's go to the beach.\If people could do things over, I wonder if they...\Check out this kelp!\Ah, stop it!\See, see?\Would they choose the people they encounter...\The sea's shining... it's so pretty. response:	I'm glad.
context: Then let's go to the beach.\If people could do things over, I wonder if they...\Check out this kelp!\Ah, stop it!\See, see?\Would they choose the people they encounter...\The sea's shining... it's so pretty.\I'm glad. response:	Aren't you glad we came?
context: If people could do things over, I wonder if they...\Check out this kelp!\Ah, stop it!\See, see?\Would they choose the people they encounter...\The sea's shining... it's so pretty.\I'm glad.\Aren't you glad we came? response:	Yes, yes. I'm glad. I'm glad.
context: Check out this kelp!\Ah, stop it!\See, see?\Would they choose the people they encounter...\The sea's shining... it's so pretty.\I'm glad.\Aren't you glad we came?\Yes, yes. I'm glad. I'm glad. response:	Sheesh.
context: Ah, stop it!\See, see?\Would they choose the people they encounter...\The sea's shining... it's so pretty.\I'm glad.\Aren't you glad we came?\Yes, yes. I'm glad. I'm glad.\Sheesh. response:	There's no one around.
context: See, see?\Would they choose the people they encounter...\The sea's shining... it's so pretty.\I'm glad.\Aren't you glad we came?\Yes, yes. I'm glad. I'm glad.\Sheesh.\There's no one around. response:	We could probably do it over there if we used that as a bed.
context: Would they choose the people they encounter...\The sea's shining... it's so pretty.\I'm glad.\Aren't you glad we came?\Yes, yes. I'm glad. I'm glad.\Sheesh.\There's no one around.\We could probably do it over there if we used that as a bed. response:	Ow.
context: The sea's shining... it's so pretty.\I'm glad.\Aren't you glad we came?\Yes, yes. I'm glad. I'm glad.\Sheesh.\There's no one around.\We could probably do it over there if we used that as a bed.\Ow. response:	If they only picked the things that made them happy...
context: I'm glad.\Aren't you glad we came?\Yes, yes. I'm glad. I'm glad.\Sheesh.\There's no one around.\We could probably do it over there if we used that as a bed.\Ow.\If they only picked the things that made them happy... response:	Let's collect seashells!
context: Aren't you glad we came?\Yes, yes. I'm glad. I'm glad.\Sheesh.\There's no one around.\We could probably do it over there if we used that as a bed.\Ow.\If they only picked the things that made them happy...\Let's collect seashells! response:	I brought a jar with me.
context: Yes, yes. I'm glad. I'm glad.\Sheesh.\There's no one around.\We could probably do it over there if we used that as a bed.\Ow.\If they only picked the things that made them happy...\Let's collect seashells!\I brought a jar with me. response:	What about this one?
context: Sheesh.\There's no one around.\We could probably do it over there if we used that as a bed.\Ow.\If they only picked the things that made them happy...\Let's collect seashells!\I brought a jar with me.\What about this one? response:	Only the pretty-looking ones.
context: There's no one around.\We could probably do it over there if we used that as a bed.\Ow.\If they only picked the things that made them happy...\Let's collect seashells!\I brought a jar with me.\What about this one?\Only the pretty-looking ones. response:	See? That one isn't.
context: We could probably do it over there if we used that as a bed.\Ow.\If they only picked the things that made them happy...\Let's collect seashells!\I brought a jar with me.\What about this one?\Only the pretty-looking ones.\See? That one isn't. response:	What are you gonna do after collecting these?
context: Ow.\If they only picked the things that made them happy...\Let's collect seashells!\I brought a jar with me.\What about this one?\Only the pretty-looking ones.\See? That one isn't.\What are you gonna do after collecting these? response:	Make them into a memory.
context: If they only picked the things that made them happy...\Let's collect seashells!\I brought a jar with me.\What about this one?\Only the pretty-looking ones.\See? That one isn't.\What are you gonna do after collecting these?\Make them into a memory. response:	Takahashi, can I say something?
context: Let's collect seashells!\I brought a jar with me.\What about this one?\Only the pretty-looking ones.\See? That one isn't.\What are you gonna do after collecting these?\Make them into a memory.\Takahashi, can I say something? response:	I can see your panties.
context: I brought a jar with me.\What about this one?\Only the pretty-looking ones.\See? That one isn't.\What are you gonna do after collecting these?\Make them into a memory.\Takahashi, can I say something?\I can see your panties. response:	There aren't any cherry petal shells, huh?
context: What about this one?\Only the pretty-looking ones.\See? That one isn't.\What are you gonna do after collecting these?\Make them into a memory.\Takahashi, can I say something?\I can see your panties.\There aren't any cherry petal shells, huh? response:	Cherry petal shells?
context: Only the pretty-looking ones.\See? That one isn't.\What are you gonna do after collecting these?\Make them into a memory.\Takahashi, can I say something?\I can see your panties.\There aren't any cherry petal shells, huh?\Cherry petal shells? response:	You know, the pink ones.
context: See? That one isn't.\What are you gonna do after collecting these?\Make them into a memory.\Takahashi, can I say something?\I can see your panties.\There aren't any cherry petal shells, huh?\Cherry petal shells?\You know, the pink ones. response:	Don't you think we'd have to go a little further south to find nice ones like that?
context: What are you gonna do after collecting these?\Make them into a memory.\Takahashi, can I say something?\I can see your panties.\There aren't any cherry petal shells, huh?\Cherry petal shells?\You know, the pink ones.\Don't you think we'd have to go a little further south to find nice ones like that? response:	Ah, what about this one?
context: Make them into a memory.\Takahashi, can I say something?\I can see your panties.\There aren't any cherry petal shells, huh?\Cherry petal shells?\You know, the pink ones.\Don't you think we'd have to go a little further south to find nice ones like that?\Ah, what about this one? response:	What?
context: Takahashi, can I say something?\I can see your panties.\There aren't any cherry petal shells, huh?\Cherry petal shells?\You know, the pink ones.\Don't you think we'd have to go a little further south to find nice ones like that?\Ah, what about this one?\What? response:	You tickled me.
context: I can see your panties.\There aren't any cherry petal shells, huh?\Cherry petal shells?\You know, the pink ones.\Don't you think we'd have to go a little further south to find nice ones like that?\Ah, what about this one?\What?\You tickled me. response:	How?
context: There aren't any cherry petal shells, huh?\Cherry petal shells?\You know, the pink ones.\Don't you think we'd have to go a little further south to find nice ones like that?\Ah, what about this one?\What?\You tickled me.\How? response:	What do you mean, how?
context: Cherry petal shells?\You know, the pink ones.\Don't you think we'd have to go a little further south to find nice ones like that?\Ah, what about this one?\What?\You tickled me.\How?\What do you mean, how? response:	Takahashi, it's just a sea slater!
context: You know, the pink ones.\Don't you think we'd have to go a little further south to find nice ones like that?\Ah, what about this one?\What?\You tickled me.\How?\What do you mean, how?\Takahashi, it's just a sea slater! response:	No, no!
context: Don't you think we'd have to go a little further south to find nice ones like that?\Ah, what about this one?\What?\You tickled me.\How?\What do you mean, how?\Takahashi, it's just a sea slater!\No, no! response:	No, no, no, no!
context: Ah, what about this one?\What?\You tickled me.\How?\What do you mean, how?\Takahashi, it's just a sea slater!\No, no!\No, no, no, no! response:	It won't bite. Don't wor-
context: What?\You tickled me.\How?\What do you mean, how?\Takahashi, it's just a sea slater!\No, no!\No, no, no, no!\It won't bite. Don't wor- response:	Ah! A bug! Over here, too!
context: You tickled me.\How?\What do you mean, how?\Takahashi, it's just a sea slater!\No, no!\No, no, no, no!\It won't bite. Don't wor-\Ah! A bug! Over here, too! response:	Gross, gross!
context: How?\What do you mean, how?\Takahashi, it's just a sea slater!\No, no!\No, no, no, no!\It won't bite. Don't wor-\Ah! A bug! Over here, too!\Gross, gross! response:	Let's go back! Let's go back!
context: What do you mean, how?\Takahashi, it's just a sea slater!\No, no!\No, no, no, no!\It won't bite. Don't wor-\Ah! A bug! Over here, too!\Gross, gross!\Let's go back! Let's go back! response:	Yano?
context: Takahashi, it's just a sea slater!\No, no!\No, no, no, no!\It won't bite. Don't wor-\Ah! A bug! Over here, too!\Gross, gross!\Let's go back! Let's go back!\Yano? response:	I'm sorry. I made too much of a fuss.
context: No, no!\No, no, no, no!\It won't bite. Don't wor-\Ah! A bug! Over here, too!\Gross, gross!\Let's go back! Let's go back!\Yano?\I'm sorry. I made too much of a fuss. response:	Let's go back.
context: No, no, no, no!\It won't bite. Don't wor-\Ah! A bug! Over here, too!\Gross, gross!\Let's go back! Let's go back!\Yano?\I'm sorry. I made too much of a fuss.\Let's go back. response:	But we just got here.
context: It won't bite. Don't wor-\Ah! A bug! Over here, too!\Gross, gross!\Let's go back! Let's go back!\Yano?\I'm sorry. I made too much of a fuss.\Let's go back.\But we just got here. response:	You hate bugs, don't you?
context: Ah! A bug! Over here, too!\Gross, gross!\Let's go back! Let's go back!\Yano?\I'm sorry. I made too much of a fuss.\Let's go back.\But we just got here.\You hate bugs, don't you? response:	Not really...
context: Gross, gross!\Let's go back! Let's go back!\Yano?\I'm sorry. I made too much of a fuss.\Let's go back.\But we just got here.\You hate bugs, don't you?\Not really... response:	It just surprised me a little...
context: Let's go back! Let's go back!\Yano?\I'm sorry. I made too much of a fuss.\Let's go back.\But we just got here.\You hate bugs, don't you?\Not really...\It just surprised me a little... response:	Who are you... confusing me with?
context: Yano?\I'm sorry. I made too much of a fuss.\Let's go back.\But we just got here.\You hate bugs, don't you?\Not really...\It just surprised me a little...\Who are you... confusing me with? response:	Let's forget about...
context: I'm sorry. I made too much of a fuss.\Let's go back.\But we just got here.\You hate bugs, don't you?\Not really...\It just surprised me a little...\Who are you... confusing me with?\Let's forget about... response:	Nana-san's not fair.
context: Let's go back.\But we just got here.\You hate bugs, don't you?\Not really...\It just surprised me a little...\Who are you... confusing me with?\Let's forget about...\Nana-san's not fair. response:	She lied to you, betrayed you, and left you all alone.
context: But we just got here.\You hate bugs, don't you?\Not really...\It just surprised me a little...\Who are you... confusing me with?\Let's forget about...\Nana-san's not fair.\She lied to you, betrayed you, and left you all alone. response:	It makes sense for you to get angry.
context: You hate bugs, don't you?\Not really...\It just surprised me a little...\Who are you... confusing me with?\Let's forget about...\Nana-san's not fair.\She lied to you, betrayed you, and left you all alone.\It makes sense for you to get angry. response:	You're right to hold a grudge.
context: Not really...\It just surprised me a little...\Who are you... confusing me with?\Let's forget about...\Nana-san's not fair.\She lied to you, betrayed you, and left you all alone.\It makes sense for you to get angry.\You're right to hold a grudge. response:	You must want to complain to her, but you can't.
context: It just surprised me a little...\Who are you... confusing me with?\Let's forget about...\Nana-san's not fair.\She lied to you, betrayed you, and left you all alone.\It makes sense for you to get angry.\You're right to hold a grudge.\You must want to complain to her, but you can't. response:	Because Nana-san's dead! She's no longer here!
context: Who are you... confusing me with?\Let's forget about...\Nana-san's not fair.\She lied to you, betrayed you, and left you all alone.\It makes sense for you to get angry.\You're right to hold a grudge.\You must want to complain to her, but you can't.\Because Nana-san's dead! She's no longer here! response:	Tell me here, now, Yano.
context: Let's forget about...\Nana-san's not fair.\She lied to you, betrayed you, and left you all alone.\It makes sense for you to get angry.\You're right to hold a grudge.\You must want to complain to her, but you can't.\Because Nana-san's dead! She's no longer here!\Tell me here, now, Yano. response:	Tell you what?
context: Nana-san's not fair.\She lied to you, betrayed you, and left you all alone.\It makes sense for you to get angry.\You're right to hold a grudge.\You must want to complain to her, but you can't.\Because Nana-san's dead! She's no longer here!\Tell me here, now, Yano.\Tell you what? response:	Everything you've wanted to say. All about your grudge, or whatever.
context: She lied to you, betrayed you, and left you all alone.\It makes sense for you to get angry.\You're right to hold a grudge.\You must want to complain to her, but you can't.\Because Nana-san's dead! She's no longer here!\Tell me here, now, Yano.\Tell you what?\Everything you've wanted to say. All about your grudge, or whatever. response:	There's nothing like that left.
context: It makes sense for you to get angry.\You're right to hold a grudge.\You must want to complain to her, but you can't.\Because Nana-san's dead! She's no longer here!\Tell me here, now, Yano.\Tell you what?\Everything you've wanted to say. All about your grudge, or whatever.\There's nothing like that left. response:	That can't be true.
context: You're right to hold a grudge.\You must want to complain to her, but you can't.\Because Nana-san's dead! She's no longer here!\Tell me here, now, Yano.\Tell you what?\Everything you've wanted to say. All about your grudge, or whatever.\There's nothing like that left.\That can't be true. response:	There has to be something you've wanted to say to her.
context: You must want to complain to her, but you can't.\Because Nana-san's dead! She's no longer here!\Tell me here, now, Yano.\Tell you what?\Everything you've wanted to say. All about your grudge, or whatever.\There's nothing like that left.\That can't be true.\There has to be something you've wanted to say to her. response:	Oh, shush already. There's nothing.
context: Because Nana-san's dead! She's no longer here!\Tell me here, now, Yano.\Tell you what?\Everything you've wanted to say. All about your grudge, or whatever.\There's nothing like that left.\That can't be true.\There has to be something you've wanted to say to her.\Oh, shush already. There's nothing. response:	It pisses me off.
context: Tell me here, now, Yano.\Tell you what?\Everything you've wanted to say. All about your grudge, or whatever.\There's nothing like that left.\That can't be true.\There has to be something you've wanted to say to her.\Oh, shush already. There's nothing.\It pisses me off. response:	You big idiot.
context: Tell you what?\Everything you've wanted to say. All about your grudge, or whatever.\There's nothing like that left.\That can't be true.\There has to be something you've wanted to say to her.\Oh, shush already. There's nothing.\It pisses me off.\You big idiot. response:	Drop dead.
context: Everything you've wanted to say. All about your grudge, or whatever.\There's nothing like that left.\That can't be true.\There has to be something you've wanted to say to her.\Oh, shush already. There's nothing.\It pisses me off.\You big idiot.\Drop dead. response:	I'll listen to everything you have to say.
context: There's nothing like that left.\That can't be true.\There has to be something you've wanted to say to her.\Oh, shush already. There's nothing.\It pisses me off.\You big idiot.\Drop dead.\I'll listen to everything you have to say. response:	If Nana-san were here, what would you say?
context: That can't be true.\There has to be something you've wanted to say to her.\Oh, shush already. There's nothing.\It pisses me off.\You big idiot.\Drop dead.\I'll listen to everything you have to say.\If Nana-san were here, what would you say? response:	If Nana-san...
context: There has to be something you've wanted to say to her.\Oh, shush already. There's nothing.\It pisses me off.\You big idiot.\Drop dead.\I'll listen to everything you have to say.\If Nana-san were here, what would you say?\If Nana-san... response:	I promise.
context: Oh, shush already. There's nothing.\It pisses me off.\You big idiot.\Drop dead.\I'll listen to everything you have to say.\If Nana-san were here, what would you say?\If Nana-san...\I promise. response:	Hey, you guys are in the same class as Yuri, right?
context: It pisses me off.\You big idiot.\Drop dead.\I'll listen to everything you have to say.\If Nana-san were here, what would you say?\If Nana-san...\I promise.\Hey, you guys are in the same class as Yuri, right? response:	I'm sorry, but could you lend me some cash?
context: You big idiot.\Drop dead.\I'll listen to everything you have to say.\If Nana-san were here, what would you say?\If Nana-san...\I promise.\Hey, you guys are in the same class as Yuri, right?\I'm sorry, but could you lend me some cash? response:	He left without paying.
context: Drop dead.\I'll listen to everything you have to say.\If Nana-san were here, what would you say?\If Nana-san...\I promise.\Hey, you guys are in the same class as Yuri, right?\I'm sorry, but could you lend me some cash?\He left without paying. response:	They call that sort of thing being blind.
context: I'll listen to everything you have to say.\If Nana-san were here, what would you say?\If Nana-san...\I promise.\Hey, you guys are in the same class as Yuri, right?\I'm sorry, but could you lend me some cash?\He left without paying.\They call that sort of thing being blind. response:	You haven't really fallen in love with anyone before.
context: If Nana-san were here, what would you say?\If Nana-san...\I promise.\Hey, you guys are in the same class as Yuri, right?\I'm sorry, but could you lend me some cash?\He left without paying.\They call that sort of thing being blind.\You haven't really fallen in love with anyone before. response:	They call people like you immature know-it-alls.
context: If Nana-san...\I promise.\Hey, you guys are in the same class as Yuri, right?\I'm sorry, but could you lend me some cash?\He left without paying.\They call that sort of thing being blind.\You haven't really fallen in love with anyone before.\They call people like you immature know-it-alls. response:	Hurry and really fall in love.
context: I promise.\Hey, you guys are in the same class as Yuri, right?\I'm sorry, but could you lend me some cash?\He left without paying.\They call that sort of thing being blind.\You haven't really fallen in love with anyone before.\They call people like you immature know-it-alls.\Hurry and really fall in love. response:	Do you still think he's gonna come?
context: Hey, you guys are in the same class as Yuri, right?\I'm sorry, but could you lend me some cash?\He left without paying.\They call that sort of thing being blind.\You haven't really fallen in love with anyone before.\They call people like you immature know-it-alls.\Hurry and really fall in love.\Do you still think he's gonna come? response:	He won't.
context: I'm sorry, but could you lend me some cash?\He left without paying.\They call that sort of thing being blind.\You haven't really fallen in love with anyone before.\They call people like you immature know-it-alls.\Hurry and really fall in love.\Do you still think he's gonna come?\He won't. response:	Then why are you waiting around?
context: He left without paying.\They call that sort of thing being blind.\You haven't really fallen in love with anyone before.\They call people like you immature know-it-alls.\Hurry and really fall in love.\Do you still think he's gonna come?\He won't.\Then why are you waiting around? response:	To gather my rage.
context: They call that sort of thing being blind.\You haven't really fallen in love with anyone before.\They call people like you immature know-it-alls.\Hurry and really fall in love.\Do you still think he's gonna come?\He won't.\Then why are you waiting around?\To gather my rage. response:	That's not a hand warmer. It's a drink.
context: You haven't really fallen in love with anyone before.\They call people like you immature know-it-alls.\Hurry and really fall in love.\Do you still think he's gonna come?\He won't.\Then why are you waiting around?\To gather my rage.\That's not a hand warmer. It's a drink. response:	Hey... what do you think I should do?
context: They call people like you immature know-it-alls.\Hurry and really fall in love.\Do you still think he's gonna come?\He won't.\Then why are you waiting around?\To gather my rage.\That's not a hand warmer. It's a drink.\Hey... what do you think I should do? response:	What? Figure out your own problems yourself.
context: Hurry and really fall in love.\Do you still think he's gonna come?\He won't.\Then why are you waiting around?\To gather my rage.\That's not a hand warmer. It's a drink.\Hey... what do you think I should do?\What? Figure out your own problems yourself. response:	Because I'm a moron, I don't know!
context: Do you still think he's gonna come?\He won't.\Then why are you waiting around?\To gather my rage.\That's not a hand warmer. It's a drink.\Hey... what do you think I should do?\What? Figure out your own problems yourself.\Because I'm a moron, I don't know! response:	I could tell you, but in exchange, you better do as I say.
