context: This being the first civilian Antarctic expedition, response:	some are saying that this brings Antarctica closer to the average person.
context: Worthless\This is the first civilian expedition in three years.\Could you tell us what your goal is this time?\We have several.\Syowa Station has been unmanned since the winter team pulled out,\so restoring it to normal functionality is our primary motivation.\Ow.\Thank you very much! response:	We'll be visiting that same Syowa Station very soon!
context: This is the first civilian expedition in three years.\Could you tell us what your goal is this time?\We have several.\Syowa Station has been unmanned since the winter team pulled out,\so restoring it to normal functionality is our primary motivation.\Ow.\Thank you very much!\We'll be visiting that same Syowa Station very soon! response:	See you then!
context: Could you tell us what your goal is this time?\We have several.\Syowa Station has been unmanned since the winter team pulled out,\so restoring it to normal functionality is our primary motivation.\Ow.\Thank you very much!\We'll be visiting that same Syowa Station very soon!\See you then! response:	Why can't you do what she does?
context: We have several.\Syowa Station has been unmanned since the winter team pulled out,\so restoring it to normal functionality is our primary motivation.\Ow.\Thank you very much!\We'll be visiting that same Syowa Station very soon!\See you then!\Why can't you do what she does? response:	Thank you very much!
context: Syowa Station has been unmanned since the winter team pulled out,\so restoring it to normal functionality is our primary motivation.\Ow.\Thank you very much!\We'll be visiting that same Syowa Station very soon!\See you then!\Why can't you do what she does?\Thank you very much! response:	There's a reason she's a pro!
context: so restoring it to normal functionality is our primary motivation.\Ow.\Thank you very much!\We'll be visiting that same Syowa Station very soon!\See you then!\Why can't you do what she does?\Thank you very much!\There's a reason she's a pro! response:	Well? Do you like the ship?
context: Ow.\Thank you very much!\We'll be visiting that same Syowa Station very soon!\See you then!\Why can't you do what she does?\Thank you very much!\There's a reason she's a pro!\Well? Do you like the ship? response:	Oh, yes! It's so big!
context: Thank you very much!\We'll be visiting that same Syowa Station very soon!\See you then!\Why can't you do what she does?\Thank you very much!\There's a reason she's a pro!\Well? Do you like the ship?\Oh, yes! It's so big! response:	Oh?
context: We'll be visiting that same Syowa Station very soon!\See you then!\Why can't you do what she does?\Thank you very much!\There's a reason she's a pro!\Well? Do you like the ship?\Oh, yes! It's so big!\Oh? response:	I gotta say...
context: See you then!\Why can't you do what she does?\Thank you very much!\There's a reason she's a pro!\Well? Do you like the ship?\Oh, yes! It's so big!\Oh?\I gotta say... response:	I think this ship might be a little too big this time.
context: Why can't you do what she does?\Thank you very much!\There's a reason she's a pro!\Well? Do you like the ship?\Oh, yes! It's so big!\Oh?\I gotta say...\I think this ship might be a little too big this time. response:	Captain.
context: Thank you very much!\There's a reason she's a pro!\Well? Do you like the ship?\Oh, yes! It's so big!\Oh?\I gotta say...\I think this ship might be a little too big this time.\Captain. response:	Have you been to your room yet?
context: There's a reason she's a pro!\Well? Do you like the ship?\Oh, yes! It's so big!\Oh?\I gotta say...\I think this ship might be a little too big this time.\Captain.\Have you been to your room yet? response:	Y-Yes.
context: Well? Do you like the ship?\Oh, yes! It's so big!\Oh?\I gotta say...\I think this ship might be a little too big this time.\Captain.\Have you been to your room yet?\Y-Yes. response:	Take care of it.
context: Oh, yes! It's so big!\Oh?\I gotta say...\I think this ship might be a little too big this time.\Captain.\Have you been to your room yet?\Y-Yes.\Take care of it. response:	That's the same room Takako used.
context: Oh?\I gotta say...\I think this ship might be a little too big this time.\Captain.\Have you been to your room yet?\Y-Yes.\Take care of it.\That's the same room Takako used. response:	Find anything?
context: I gotta say...\I think this ship might be a little too big this time.\Captain.\Have you been to your room yet?\Y-Yes.\Take care of it.\That's the same room Takako used.\Find anything? response:	No. Not even a doodle.
context: I think this ship might be a little too big this time.\Captain.\Have you been to your room yet?\Y-Yes.\Take care of it.\That's the same room Takako used.\Find anything?\No. Not even a doodle. response:	Nothing in here, either...
context: Captain.\Have you been to your room yet?\Y-Yes.\Take care of it.\That's the same room Takako used.\Find anything?\No. Not even a doodle.\Nothing in here, either... response:	I mean, even though it's the same room,
context: Have you been to your room yet?\Y-Yes.\Take care of it.\That's the same room Takako used.\Find anything?\No. Not even a doodle.\Nothing in here, either...\I mean, even though it's the same room, response:	they might have changed all the equipment...
context: Y-Yes.\Take care of it.\That's the same room Takako used.\Find anything?\No. Not even a doodle.\Nothing in here, either...\I mean, even though it's the same room,\they might have changed all the equipment... response:	True...
context: Take care of it.\That's the same room Takako used.\Find anything?\No. Not even a doodle.\Nothing in here, either...\I mean, even though it's the same room,\they might have changed all the equipment...\True... response:	Hey!
context: That's the same room Takako used.\Find anything?\No. Not even a doodle.\Nothing in here, either...\I mean, even though it's the same room,\they might have changed all the equipment...\True...\Hey! response:	Yumiko-san!
context: Find anything?\No. Not even a doodle.\Nothing in here, either...\I mean, even though it's the same room,\they might have changed all the equipment...\True...\Hey!\Yumiko-san! response:	I know you just got here, but do you have a little time to help out?
context: No. Not even a doodle.\Nothing in here, either...\I mean, even though it's the same room,\they might have changed all the equipment...\True...\Hey!\Yumiko-san!\I know you just got here, but do you have a little time to help out? response:	We're so short-handed...
context: Nothing in here, either...\I mean, even though it's the same room,\they might have changed all the equipment...\True...\Hey!\Yumiko-san!\I know you just got here, but do you have a little time to help out?\We're so short-handed... response:	When you're out, turn your card to red
context: I mean, even though it's the same room,\they might have changed all the equipment...\True...\Hey!\Yumiko-san!\I know you just got here, but do you have a little time to help out?\We're so short-handed...\When you're out, turn your card to red response:	Then there's eggs, milk, yogurt...
context: they might have changed all the equipment...\True...\Hey!\Yumiko-san!\I know you just got here, but do you have a little time to help out?\We're so short-handed...\When you're out, turn your card to red\Then there's eggs, milk, yogurt... response:	What about pudding?
context: True...\Hey!\Yumiko-san!\I know you just got here, but do you have a little time to help out?\We're so short-handed...\When you're out, turn your card to red\Then there's eggs, milk, yogurt...\What about pudding? response:	No.
context: Hey!\Yumiko-san!\I know you just got here, but do you have a little time to help out?\We're so short-handed...\When you're out, turn your card to red\Then there's eggs, milk, yogurt...\What about pudding?\No. response:	But eggs and milk... are those provisions for the boat trip?
context: Yumiko-san!\I know you just got here, but do you have a little time to help out?\We're so short-handed...\When you're out, turn your card to red\Then there's eggs, milk, yogurt...\What about pudding?\No.\But eggs and milk... are those provisions for the boat trip? response:	I don't know, but...
context: I know you just got here, but do you have a little time to help out?\We're so short-handed...\When you're out, turn your card to red\Then there's eggs, milk, yogurt...\What about pudding?\No.\But eggs and milk... are those provisions for the boat trip?\I don't know, but... response:	What's wrong?
context: We're so short-handed...\When you're out, turn your card to red\Then there's eggs, milk, yogurt...\What about pudding?\No.\But eggs and milk... are those provisions for the boat trip?\I don't know, but...\What's wrong? response:	Nothing.
context: When you're out, turn your card to red\Then there's eggs, milk, yogurt...\What about pudding?\No.\But eggs and milk... are those provisions for the boat trip?\I don't know, but...\What's wrong?\Nothing. response:	I just find it a little weird they're going shopping now...
context: Then there's eggs, milk, yogurt...\What about pudding?\No.\But eggs and milk... are those provisions for the boat trip?\I don't know, but...\What's wrong?\Nothing.\I just find it a little weird they're going shopping now... response:	Seriously.
context: What about pudding?\No.\But eggs and milk... are those provisions for the boat trip?\I don't know, but...\What's wrong?\Nothing.\I just find it a little weird they're going shopping now...\Seriously. response:	I had this image of them dropping
context: No.\But eggs and milk... are those provisions for the boat trip?\I don't know, but...\What's wrong?\Nothing.\I just find it a little weird they're going shopping now...\Seriously.\I had this image of them dropping response:	this many-ton crate of provisions onto the ship...
context: But eggs and milk... are those provisions for the boat trip?\I don't know, but...\What's wrong?\Nothing.\I just find it a little weird they're going shopping now...\Seriously.\I had this image of them dropping\this many-ton crate of provisions onto the ship... response:	Are you with an expedition?
context: I don't know, but...\What's wrong?\Nothing.\I just find it a little weird they're going shopping now...\Seriously.\I had this image of them dropping\this many-ton crate of provisions onto the ship...\Are you with an expedition? response:	Yes!
context: What's wrong?\Nothing.\I just find it a little weird they're going shopping now...\Seriously.\I had this image of them dropping\this many-ton crate of provisions onto the ship...\Are you with an expedition?\Yes! response:	You're so young.
context: Nothing.\I just find it a little weird they're going shopping now...\Seriously.\I had this image of them dropping\this many-ton crate of provisions onto the ship...\Are you with an expedition?\Yes!\You're so young. response:	To think even girls like you are allowed to head out these days...
context: I just find it a little weird they're going shopping now...\Seriously.\I had this image of them dropping\this many-ton crate of provisions onto the ship...\Are you with an expedition?\Yes!\You're so young.\To think even girls like you are allowed to head out these days... response:	All this?
context: Seriously.\I had this image of them dropping\this many-ton crate of provisions onto the ship...\Are you with an expedition?\Yes!\You're so young.\To think even girls like you are allowed to head out these days...\All this? response:	This isn't that much, actually.
context: I had this image of them dropping\this many-ton crate of provisions onto the ship...\Are you with an expedition?\Yes!\You're so young.\To think even girls like you are allowed to head out these days...\All this?\This isn't that much, actually. response:	The new ship that came by last week had a whole container full.
context: this many-ton crate of provisions onto the ship...\Are you with an expedition?\Yes!\You're so young.\To think even girls like you are allowed to head out these days...\All this?\This isn't that much, actually.\The new ship that came by last week had a whole container full. response:	So heavy!
context: Are you with an expedition?\Yes!\You're so young.\To think even girls like you are allowed to head out these days...\All this?\This isn't that much, actually.\The new ship that came by last week had a whole container full.\So heavy! response:	Learn anything?
context: Yes!\You're so young.\To think even girls like you are allowed to head out these days...\All this?\This isn't that much, actually.\The new ship that came by last week had a whole container full.\So heavy!\Learn anything? response:	There are quite a few...
context: You're so young.\To think even girls like you are allowed to head out these days...\All this?\This isn't that much, actually.\The new ship that came by last week had a whole container full.\So heavy!\Learn anything?\There are quite a few... response:	Not enough funds.
context: To think even girls like you are allowed to head out these days...\All this?\This isn't that much, actually.\The new ship that came by last week had a whole container full.\So heavy!\Learn anything?\There are quite a few...\Not enough funds. response:	Not enough people.
context: All this?\This isn't that much, actually.\The new ship that came by last week had a whole container full.\So heavy!\Learn anything?\There are quite a few...\Not enough funds.\Not enough people. response:	The plan itself is unworkable.
context: This isn't that much, actually.\The new ship that came by last week had a whole container full.\So heavy!\Learn anything?\There are quite a few...\Not enough funds.\Not enough people.\The plan itself is unworkable. response:	There's a new station and expedition ship anyway,
context: The new ship that came by last week had a whole container full.\So heavy!\Learn anything?\There are quite a few...\Not enough funds.\Not enough people.\The plan itself is unworkable.\There's a new station and expedition ship anyway, response:	so doubling up is meaningless.
context: So heavy!\Learn anything?\There are quite a few...\Not enough funds.\Not enough people.\The plan itself is unworkable.\There's a new station and expedition ship anyway,\so doubling up is meaningless. response:	Sounds about right...
context: Learn anything?\There are quite a few...\Not enough funds.\Not enough people.\The plan itself is unworkable.\There's a new station and expedition ship anyway,\so doubling up is meaningless.\Sounds about right... response:	I'm turning it off. I don't have much room on this disposable SIM.
context: There are quite a few...\Not enough funds.\Not enough people.\The plan itself is unworkable.\There's a new station and expedition ship anyway,\so doubling up is meaningless.\Sounds about right...\I'm turning it off. I don't have much room on this disposable SIM. response:	Shirase-chan, do you know anything about it?
context: Not enough funds.\Not enough people.\The plan itself is unworkable.\There's a new station and expedition ship anyway,\so doubling up is meaningless.\Sounds about right...\I'm turning it off. I don't have much room on this disposable SIM.\Shirase-chan, do you know anything about it? response:	I never even thought about that when we were coming here...
context: Not enough people.\The plan itself is unworkable.\There's a new station and expedition ship anyway,\so doubling up is meaningless.\Sounds about right...\I'm turning it off. I don't have much room on this disposable SIM.\Shirase-chan, do you know anything about it?\I never even thought about that when we were coming here... response:	Yeah, guess you wouldn't...
context: The plan itself is unworkable.\There's a new station and expedition ship anyway,\so doubling up is meaningless.\Sounds about right...\I'm turning it off. I don't have much room on this disposable SIM.\Shirase-chan, do you know anything about it?\I never even thought about that when we were coming here...\Yeah, guess you wouldn't... response:	Still...
context: There's a new station and expedition ship anyway,\so doubling up is meaningless.\Sounds about right...\I'm turning it off. I don't have much room on this disposable SIM.\Shirase-chan, do you know anything about it?\I never even thought about that when we were coming here...\Yeah, guess you wouldn't...\Still... response:	I feel like things are a bit strange on board, too.
context: so doubling up is meaningless.\Sounds about right...\I'm turning it off. I don't have much room on this disposable SIM.\Shirase-chan, do you know anything about it?\I never even thought about that when we were coming here...\Yeah, guess you wouldn't...\Still...\I feel like things are a bit strange on board, too. response:	There don't appear to be enough people,
context: Sounds about right...\I'm turning it off. I don't have much room on this disposable SIM.\Shirase-chan, do you know anything about it?\I never even thought about that when we were coming here...\Yeah, guess you wouldn't...\Still...\I feel like things are a bit strange on board, too.\There don't appear to be enough people, response:	and there seem to be a lot of problems, too...
context: I'm turning it off. I don't have much room on this disposable SIM.\Shirase-chan, do you know anything about it?\I never even thought about that when we were coming here...\Yeah, guess you wouldn't...\Still...\I feel like things are a bit strange on board, too.\There don't appear to be enough people,\and there seem to be a lot of problems, too... response:	How did your first errand go?
context: Shirase-chan, do you know anything about it?\I never even thought about that when we were coming here...\Yeah, guess you wouldn't...\Still...\I feel like things are a bit strange on board, too.\There don't appear to be enough people,\and there seem to be a lot of problems, too...\How did your first errand go? response:	Good! This is enough, right?
context: I never even thought about that when we were coming here...\Yeah, guess you wouldn't...\Still...\I feel like things are a bit strange on board, too.\There don't appear to be enough people,\and there seem to be a lot of problems, too...\How did your first errand go?\Good! This is enough, right? response:	Great job, great job.
context: Yeah, guess you wouldn't...\Still...\I feel like things are a bit strange on board, too.\There don't appear to be enough people,\and there seem to be a lot of problems, too...\How did your first errand go?\Good! This is enough, right?\Great job, great job. response:	Well, I'm sure the locals are used to this song and dance.
context: Still...\I feel like things are a bit strange on board, too.\There don't appear to be enough people,\and there seem to be a lot of problems, too...\How did your first errand go?\Good! This is enough, right?\Great job, great job.\Well, I'm sure the locals are used to this song and dance. response:	They did seem to be...
context: I feel like things are a bit strange on board, too.\There don't appear to be enough people,\and there seem to be a lot of problems, too...\How did your first errand go?\Good! This is enough, right?\Great job, great job.\Well, I'm sure the locals are used to this song and dance.\They did seem to be... response:	What's the matter?
context: There don't appear to be enough people,\and there seem to be a lot of problems, too...\How did your first errand go?\Good! This is enough, right?\Great job, great job.\Well, I'm sure the locals are used to this song and dance.\They did seem to be...\What's the matter? response:	Um... could we ask an awkward question?
context: and there seem to be a lot of problems, too...\How did your first errand go?\Good! This is enough, right?\Great job, great job.\Well, I'm sure the locals are used to this song and dance.\They did seem to be...\What's the matter?\Um... could we ask an awkward question? response:	Can we really get to Antarctica?
context: How did your first errand go?\Good! This is enough, right?\Great job, great job.\Well, I'm sure the locals are used to this song and dance.\They did seem to be...\What's the matter?\Um... could we ask an awkward question?\Can we really get to Antarctica? response:	Yes.
context: Good! This is enough, right?\Great job, great job.\Well, I'm sure the locals are used to this song and dance.\They did seem to be...\What's the matter?\Um... could we ask an awkward question?\Can we really get to Antarctica?\Yes. response:	Of course we will!
context: Great job, great job.\Well, I'm sure the locals are used to this song and dance.\They did seem to be...\What's the matter?\Um... could we ask an awkward question?\Can we really get to Antarctica?\Yes.\Of course we will! response:	After all, Antarctica's not going anywhe
context: Well, I'm sure the locals are used to this song and dance.\They did seem to be...\What's the matter?\Um... could we ask an awkward question?\Can we really get to Antarctica?\Yes.\Of course we will!\After all, Antarctica's not going anywhe response:	Please, spare us.
context: They did seem to be...\What's the matter?\Um... could we ask an awkward question?\Can we really get to Antarctica?\Yes.\Of course we will!\After all, Antarctica's not going anywhe\Please, spare us. response:	Well, I don't know where you heard about it,
context: What's the matter?\Um... could we ask an awkward question?\Can we really get to Antarctica?\Yes.\Of course we will!\After all, Antarctica's not going anywhe\Please, spare us.\Well, I don't know where you heard about it, response:	but I understand the nerves.
context: Um... could we ask an awkward question?\Can we really get to Antarctica?\Yes.\Of course we will!\After all, Antarctica's not going anywhe\Please, spare us.\Well, I don't know where you heard about it,\but I understand the nerves. response:	We have so few people and supplies...
context: Can we really get to Antarctica?\Yes.\Of course we will!\After all, Antarctica's not going anywhe\Please, spare us.\Well, I don't know where you heard about it,\but I understand the nerves.\We have so few people and supplies... response:	Since we're civilians, we've had to make lots of cuts.
context: Yes.\Of course we will!\After all, Antarctica's not going anywhe\Please, spare us.\Well, I don't know where you heard about it,\but I understand the nerves.\We have so few people and supplies...\Since we're civilians, we've had to make lots of cuts. response:	So it's true...
context: Of course we will!\After all, Antarctica's not going anywhe\Please, spare us.\Well, I don't know where you heard about it,\but I understand the nerves.\We have so few people and supplies...\Since we're civilians, we've had to make lots of cuts.\So it's true... response:	But...
context: After all, Antarctica's not going anywhe\Please, spare us.\Well, I don't know where you heard about it,\but I understand the nerves.\We have so few people and supplies...\Since we're civilians, we've had to make lots of cuts.\So it's true...\But... response:	as I said before, there's no way we're not going.
context: Please, spare us.\Well, I don't know where you heard about it,\but I understand the nerves.\We have so few people and supplies...\Since we're civilians, we've had to make lots of cuts.\So it's true...\But...\as I said before, there's no way we're not going. response:	We've made all the necessary preparations.
context: Well, I don't know where you heard about it,\but I understand the nerves.\We have so few people and supplies...\Since we're civilians, we've had to make lots of cuts.\So it's true...\But...\as I said before, there's no way we're not going.\We've made all the necessary preparations. response:	And we've taken unprecedented precautions with safety, too.
context: but I understand the nerves.\We have so few people and supplies...\Since we're civilians, we've had to make lots of cuts.\So it's true...\But...\as I said before, there's no way we're not going.\We've made all the necessary preparations.\And we've taken unprecedented precautions with safety, too. response:	And most importantly,
context: We have so few people and supplies...\Since we're civilians, we've had to make lots of cuts.\So it's true...\But...\as I said before, there's no way we're not going.\We've made all the necessary preparations.\And we've taken unprecedented precautions with safety, too.\And most importantly, response:	the people on this ship are determined to go.
context: Since we're civilians, we've had to make lots of cuts.\So it's true...\But...\as I said before, there's no way we're not going.\We've made all the necessary preparations.\And we've taken unprecedented precautions with safety, too.\And most importantly,\the people on this ship are determined to go. response:	Determined...
context: So it's true...\But...\as I said before, there's no way we're not going.\We've made all the necessary preparations.\And we've taken unprecedented precautions with safety, too.\And most importantly,\the people on this ship are determined to go.\Determined... response:	Antarctica is an unforgiving place.
context: But...\as I said before, there's no way we're not going.\We've made all the necessary preparations.\And we've taken unprecedented precautions with safety, too.\And most importantly,\the people on this ship are determined to go.\Determined...\Antarctica is an unforgiving place. response:	Blizzards blow at minus dozens of degrees.
context: as I said before, there's no way we're not going.\We've made all the necessary preparations.\And we've taken unprecedented precautions with safety, too.\And most importantly,\the people on this ship are determined to go.\Determined...\Antarctica is an unforgiving place.\Blizzards blow at minus dozens of degrees. response:	The air is so dry that your lips chap and bleed.
context: We've made all the necessary preparations.\And we've taken unprecedented precautions with safety, too.\And most importantly,\the people on this ship are determined to go.\Determined...\Antarctica is an unforgiving place.\Blizzards blow at minus dozens of degrees.\The air is so dry that your lips chap and bleed. response:	The sunlight is harsh, so if you forget sunblock, you can really get burned.
context: And we've taken unprecedented precautions with safety, too.\And most importantly,\the people on this ship are determined to go.\Determined...\Antarctica is an unforgiving place.\Blizzards blow at minus dozens of degrees.\The air is so dry that your lips chap and bleed.\The sunlight is harsh, so if you forget sunblock, you can really get burned. response:	There's no Internet, and no places to have fun.
context: And most importantly,\the people on this ship are determined to go.\Determined...\Antarctica is an unforgiving place.\Blizzards blow at minus dozens of degrees.\The air is so dry that your lips chap and bleed.\The sunlight is harsh, so if you forget sunblock, you can really get burned.\There's no Internet, and no places to have fun. response:	And yet, we're going.
context: the people on this ship are determined to go.\Determined...\Antarctica is an unforgiving place.\Blizzards blow at minus dozens of degrees.\The air is so dry that your lips chap and bleed.\The sunlight is harsh, so if you forget sunblock, you can really get burned.\There's no Internet, and no places to have fun.\And yet, we're going. response:	Preparing little by little over three years' time...
context: Determined...\Antarctica is an unforgiving place.\Blizzards blow at minus dozens of degrees.\The air is so dry that your lips chap and bleed.\The sunlight is harsh, so if you forget sunblock, you can really get burned.\There's no Internet, and no places to have fun.\And yet, we're going.\Preparing little by little over three years' time... response:	Why are you going?
context: Antarctica is an unforgiving place.\Blizzards blow at minus dozens of degrees.\The air is so dry that your lips chap and bleed.\The sunlight is harsh, so if you forget sunblock, you can really get burned.\There's no Internet, and no places to have fun.\And yet, we're going.\Preparing little by little over three years' time...\Why are you going? response:	Good question.
context: Blizzards blow at minus dozens of degrees.\The air is so dry that your lips chap and bleed.\The sunlight is harsh, so if you forget sunblock, you can really get burned.\There's no Internet, and no places to have fun.\And yet, we're going.\Preparing little by little over three years' time...\Why are you going?\Good question. response:	If I had to put it into words...
context: The air is so dry that your lips chap and bleed.\The sunlight is harsh, so if you forget sunblock, you can really get burned.\There's no Internet, and no places to have fun.\And yet, we're going.\Preparing little by little over three years' time...\Why are you going?\Good question.\If I had to put it into words... response:	This time, it's to see the sky, I suppose.
context: The sunlight is harsh, so if you forget sunblock, you can really get burned.\There's no Internet, and no places to have fun.\And yet, we're going.\Preparing little by little over three years' time...\Why are you going?\Good question.\If I had to put it into words...\This time, it's to see the sky, I suppose. response:	The sky?
context: There's no Internet, and no places to have fun.\And yet, we're going.\Preparing little by little over three years' time...\Why are you going?\Good question.\If I had to put it into words...\This time, it's to see the sky, I suppose.\The sky? response:	Yes...
context: And yet, we're going.\Preparing little by little over three years' time...\Why are you going?\Good question.\If I had to put it into words...\This time, it's to see the sky, I suppose.\The sky?\Yes... response:	The sky.
context: Preparing little by little over three years' time...\Why are you going?\Good question.\If I had to put it into words...\This time, it's to see the sky, I suppose.\The sky?\Yes...\The sky. response:	What do you think?
context: Why are you going?\Good question.\If I had to put it into words...\This time, it's to see the sky, I suppose.\The sky?\Yes...\The sky.\What do you think? response:	I don't know.
context: Good question.\If I had to put it into words...\This time, it's to see the sky, I suppose.\The sky?\Yes...\The sky.\What do you think?\I don't know. response:	She sounded honest, but also like she was hiding something.
context: If I had to put it into words...\This time, it's to see the sky, I suppose.\The sky?\Yes...\The sky.\What do you think?\I don't know.\She sounded honest, but also like she was hiding something. response:	She was absolutely hiding something!
context: This time, it's to see the sky, I suppose.\The sky?\Yes...\The sky.\What do you think?\I don't know.\She sounded honest, but also like she was hiding something.\She was absolutely hiding something! response:	You think so?
context: The sky?\Yes...\The sky.\What do you think?\I don't know.\She sounded honest, but also like she was hiding something.\She was absolutely hiding something!\You think so? response:	She said it herself! They're determined!
context: Yes...\The sky.\What do you think?\I don't know.\She sounded honest, but also like she was hiding something.\She was absolutely hiding something!\You think so?\She said it herself! They're determined! response:	They must have a serious reason!
context: The sky.\What do you think?\I don't know.\She sounded honest, but also like she was hiding something.\She was absolutely hiding something!\You think so?\She said it herself! They're determined!\They must have a serious reason! response:	The sky, huh? I wonder what that meant!
context: What do you think?\I don't know.\She sounded honest, but also like she was hiding something.\She was absolutely hiding something!\You think so?\She said it herself! They're determined!\They must have a serious reason!\The sky, huh? I wonder what that meant! response:	No way to find out, I guess...
context: I don't know.\She sounded honest, but also like she was hiding something.\She was absolutely hiding something!\You think so?\She said it herself! They're determined!\They must have a serious reason!\The sky, huh? I wonder what that meant!\No way to find out, I guess... response:	Yeah. No matter how we try to press it,
context: She sounded honest, but also like she was hiding something.\She was absolutely hiding something!\You think so?\She said it herself! They're determined!\They must have a serious reason!\The sky, huh? I wonder what that meant!\No way to find out, I guess...\Yeah. No matter how we try to press it, response:	when an adult says something like that...
context: She was absolutely hiding something!\You think so?\She said it herself! They're determined!\They must have a serious reason!\The sky, huh? I wonder what that meant!\No way to find out, I guess...\Yeah. No matter how we try to press it,\when an adult says something like that... response:	We must investigate!
context: You think so?\She said it herself! They're determined!\They must have a serious reason!\The sky, huh? I wonder what that meant!\No way to find out, I guess...\Yeah. No matter how we try to press it,\when an adult says something like that...\We must investigate! response:	Which way do we go?
context: She said it herself! They're determined!\They must have a serious reason!\The sky, huh? I wonder what that meant!\No way to find out, I guess...\Yeah. No matter how we try to press it,\when an adult says something like that...\We must investigate!\Which way do we go? response:	Good thing we're all on the same page.
context: They must have a serious reason!\The sky, huh? I wonder what that meant!\No way to find out, I guess...\Yeah. No matter how we try to press it,\when an adult says something like that...\We must investigate!\Which way do we go?\Good thing we're all on the same page. response:	Don't be like that!
context: The sky, huh? I wonder what that meant!\No way to find out, I guess...\Yeah. No matter how we try to press it,\when an adult says something like that...\We must investigate!\Which way do we go?\Good thing we're all on the same page.\Don't be like that! response:	You're the one who told me to go, Yu-kun!
context: No way to find out, I guess...\Yeah. No matter how we try to press it,\when an adult says something like that...\We must investigate!\Which way do we go?\Good thing we're all on the same page.\Don't be like that!\You're the one who told me to go, Yu-kun! response:	Why? Please!
context: Yeah. No matter how we try to press it,\when an adult says something like that...\We must investigate!\Which way do we go?\Good thing we're all on the same page.\Don't be like that!\You're the one who told me to go, Yu-kun!\Why? Please! response:	Yes, I do want to go home!
context: when an adult says something like that...\We must investigate!\Which way do we go?\Good thing we're all on the same page.\Don't be like that!\You're the one who told me to go, Yu-kun!\Why? Please!\Yes, I do want to go home! response:	You know I want to see you, Yu-kun!
context: We must investigate!\Which way do we go?\Good thing we're all on the same page.\Don't be like that!\You're the one who told me to go, Yu-kun!\Why? Please!\Yes, I do want to go home!\You know I want to see you, Yu-kun! response:	I don't even know if this expedition is gonna work out...
context: Which way do we go?\Good thing we're all on the same page.\Don't be like that!\You're the one who told me to go, Yu-kun!\Why? Please!\Yes, I do want to go home!\You know I want to see you, Yu-kun!\I don't even know if this expedition is gonna work out... response:	I'm telling you, I love you!
context: Good thing we're all on the same page.\Don't be like that!\You're the one who told me to go, Yu-kun!\Why? Please!\Yes, I do want to go home!\You know I want to see you, Yu-kun!\I don't even know if this expedition is gonna work out...\I'm telling you, I love you! response:	I've told you I love you so many times!
context: Don't be like that!\You're the one who told me to go, Yu-kun!\Why? Please!\Yes, I do want to go home!\You know I want to see you, Yu-kun!\I don't even know if this expedition is gonna work out...\I'm telling you, I love you!\I've told you I love you so many times! response:	Nobue-san!
context: You're the one who told me to go, Yu-kun!\Why? Please!\Yes, I do want to go home!\You know I want to see you, Yu-kun!\I don't even know if this expedition is gonna work out...\I'm telling you, I love you!\I've told you I love you so many times!\Nobue-san! response:	We're going out for a drink!
context: Why? Please!\Yes, I do want to go home!\You know I want to see you, Yu-kun!\I don't even know if this expedition is gonna work out...\I'm telling you, I love you!\I've told you I love you so many times!\Nobue-san!\We're going out for a drink! response:	Seriously, why does it have to be like that?
context: Yes, I do want to go home!\You know I want to see you, Yu-kun!\I don't even know if this expedition is gonna work out...\I'm telling you, I love you!\I've told you I love you so many times!\Nobue-san!\We're going out for a drink!\Seriously, why does it have to be like that? response:	Okay...
context: You know I want to see you, Yu-kun!\I don't even know if this expedition is gonna work out...\I'm telling you, I love you!\I've told you I love you so many times!\Nobue-san!\We're going out for a drink!\Seriously, why does it have to be like that?\Okay... response:	Is the fact that I love you not enough?
context: I don't even know if this expedition is gonna work out...\I'm telling you, I love you!\I've told you I love you so many times!\Nobue-san!\We're going out for a drink!\Seriously, why does it have to be like that?\Okay...\Is the fact that I love you not enough? response:	That's true, only two days left for short sleeves...
context: I'm telling you, I love you!\I've told you I love you so many times!\Nobue-san!\We're going out for a drink!\Seriously, why does it have to be like that?\Okay...\Is the fact that I love you not enough?\That's true, only two days left for short sleeves... response:	Yeah!
context: I've told you I love you so many times!\Nobue-san!\We're going out for a drink!\Seriously, why does it have to be like that?\Okay...\Is the fact that I love you not enough?\That's true, only two days left for short sleeves...\Yeah! response:	I'll have a Kahlua!
context: Nobue-san!\We're going out for a drink!\Seriously, why does it have to be like that?\Okay...\Is the fact that I love you not enough?\That's true, only two days left for short sleeves...\Yeah!\I'll have a Kahlua! response:	I wonder if they have cocktails...
context: We're going out for a drink!\Seriously, why does it have to be like that?\Okay...\Is the fact that I love you not enough?\That's true, only two days left for short sleeves...\Yeah!\I'll have a Kahlua!\I wonder if they have cocktails... response:	So, what did you want?
context: Seriously, why does it have to be like that?\Okay...\Is the fact that I love you not enough?\That's true, only two days left for short sleeves...\Yeah!\I'll have a Kahlua!\I wonder if they have cocktails...\So, what did you want? response:	Well, I was thinking...
context: Okay...\Is the fact that I love you not enough?\That's true, only two days left for short sleeves...\Yeah!\I'll have a Kahlua!\I wonder if they have cocktails...\So, what did you want?\Well, I was thinking... response:	I think the project itself might not be possible.
