context: Here I am again. response:	Really? Are you sure?
context: I lost.\You were light.\But still a little heavy.\After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.\You should've gone up to 6-c-Gold instead.\The way you did it, the heaviness came out.\Lightness is your creed, right?\If so... response:	That was pathetic.
context: You were light.\But still a little heavy.\After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.\You should've gone up to 6-c-Gold instead.\The way you did it, the heaviness came out.\Lightness is your creed, right?\If so...\That was pathetic. response:	Not only was it a helpless, complete defeat, but my delusions were shattered as well.
context: But still a little heavy.\After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.\You should've gone up to 6-c-Gold instead.\The way you did it, the heaviness came out.\Lightness is your creed, right?\If so...\That was pathetic.\Not only was it a helpless, complete defeat, but my delusions were shattered as well. response:	A full course, huh?
context: After I moved 2-f-Bishop, you defended with 5-b-Gold from the left.\You should've gone up to 6-c-Gold instead.\The way you did it, the heaviness came out.\Lightness is your creed, right?\If so...\That was pathetic.\Not only was it a helpless, complete defeat, but my delusions were shattered as well.\A full course, huh? response:	Don't hesitate.
context: You should've gone up to 6-c-Gold instead.\The way you did it, the heaviness came out.\Lightness is your creed, right?\If so...\That was pathetic.\Not only was it a helpless, complete defeat, but my delusions were shattered as well.\A full course, huh?\Don't hesitate. response:	What's the deal with that heavy manliness?
context: The way you did it, the heaviness came out.\Lightness is your creed, right?\If so...\That was pathetic.\Not only was it a helpless, complete defeat, but my delusions were shattered as well.\A full course, huh?\Don't hesitate.\What's the deal with that heavy manliness? response:	How old is he? 41?
context: Lightness is your creed, right?\If so...\That was pathetic.\Not only was it a helpless, complete defeat, but my delusions were shattered as well.\A full course, huh?\Don't hesitate.\What's the deal with that heavy manliness?\How old is he? 41? response:	Will I be able to project that kind of punch in ten years?
context: If so...\That was pathetic.\Not only was it a helpless, complete defeat, but my delusions were shattered as well.\A full course, huh?\Don't hesitate.\What's the deal with that heavy manliness?\How old is he? 41?\Will I be able to project that kind of punch in ten years? response:	I bet he's popular with the ladies.
context: That was pathetic.\Not only was it a helpless, complete defeat, but my delusions were shattered as well.\A full course, huh?\Don't hesitate.\What's the deal with that heavy manliness?\How old is he? 41?\Will I be able to project that kind of punch in ten years?\I bet he's popular with the ladies. response:	Now I'm getting pissed off.
context: Not only was it a helpless, complete defeat, but my delusions were shattered as well.\A full course, huh?\Don't hesitate.\What's the deal with that heavy manliness?\How old is he? 41?\Will I be able to project that kind of punch in ten years?\I bet he's popular with the ladies.\Now I'm getting pissed off. response:	All right. For the rest of the night...
context: A full course, huh?\Don't hesitate.\What's the deal with that heavy manliness?\How old is he? 41?\Will I be able to project that kind of punch in ten years?\I bet he's popular with the ladies.\Now I'm getting pissed off.\All right. For the rest of the night... response:	Course A. If it goes in, I drink my cares away at the usual hostess pub.
context: Don't hesitate.\What's the deal with that heavy manliness?\How old is he? 41?\Will I be able to project that kind of punch in ten years?\I bet he's popular with the ladies.\Now I'm getting pissed off.\All right. For the rest of the night...\Course A. If it goes in, I drink my cares away at the usual hostess pub. response:	Course B. If I miss, I go home, get under the covers, and sob.
context: What's the deal with that heavy manliness?\How old is he? 41?\Will I be able to project that kind of punch in ten years?\I bet he's popular with the ladies.\Now I'm getting pissed off.\All right. For the rest of the night...\Course A. If it goes in, I drink my cares away at the usual hostess pub.\Course B. If I miss, I go home, get under the covers, and sob. response:	Rustle Rustle Rustle
context: How old is he? 41?\Will I be able to project that kind of punch in ten years?\I bet he's popular with the ladies.\Now I'm getting pissed off.\All right. For the rest of the night...\Course A. If it goes in, I drink my cares away at the usual hostess pub.\Course B. If I miss, I go home, get under the covers, and sob.\Rustle Rustle Rustle response:	Gasp!
context: Will I be able to project that kind of punch in ten years?\I bet he's popular with the ladies.\Now I'm getting pissed off.\All right. For the rest of the night...\Course A. If it goes in, I drink my cares away at the usual hostess pub.\Course B. If I miss, I go home, get under the covers, and sob.\Rustle Rustle Rustle\Gasp! response:	Shiver Shiver Shiver
context: I bet he's popular with the ladies.\Now I'm getting pissed off.\All right. For the rest of the night...\Course A. If it goes in, I drink my cares away at the usual hostess pub.\Course B. If I miss, I go home, get under the covers, and sob.\Rustle Rustle Rustle\Gasp!\Shiver Shiver Shiver response:	Could it be?
context: Now I'm getting pissed off.\All right. For the rest of the night...\Course A. If it goes in, I drink my cares away at the usual hostess pub.\Course B. If I miss, I go home, get under the covers, and sob.\Rustle Rustle Rustle\Gasp!\Shiver Shiver Shiver\Could it be? response:	Perhaps a Course C?
context: All right. For the rest of the night...\Course A. If it goes in, I drink my cares away at the usual hostess pub.\Course B. If I miss, I go home, get under the covers, and sob.\Rustle Rustle Rustle\Gasp!\Shiver Shiver Shiver\Could it be?\Perhaps a Course C? response:	Shrink Shrink
context: Course A. If it goes in, I drink my cares away at the usual hostess pub.\Course B. If I miss, I go home, get under the covers, and sob.\Rustle Rustle Rustle\Gasp!\Shiver Shiver Shiver\Could it be?\Perhaps a Course C?\Shrink Shrink response:	Course C: Bring a stray cat home and take care of it.
context: Course B. If I miss, I go home, get under the covers, and sob.\Rustle Rustle Rustle\Gasp!\Shiver Shiver Shiver\Could it be?\Perhaps a Course C?\Shrink Shrink\Course C: Bring a stray cat home and take care of it. response:	Mew...
context: Rustle Rustle Rustle\Gasp!\Shiver Shiver Shiver\Could it be?\Perhaps a Course C?\Shrink Shrink\Course C: Bring a stray cat home and take care of it.\Mew... response:	What should I do?
context: Gasp!\Shiver Shiver Shiver\Could it be?\Perhaps a Course C?\Shrink Shrink\Course C: Bring a stray cat home and take care of it.\Mew...\What should I do? response:	Okay, already! I get it!
context: Shiver Shiver Shiver\Could it be?\Perhaps a Course C?\Shrink Shrink\Course C: Bring a stray cat home and take care of it.\Mew...\What should I do?\Okay, already! I get it! response:	Okay, okay. Stop crying.
context: Could it be?\Perhaps a Course C?\Shrink Shrink\Course C: Bring a stray cat home and take care of it.\Mew...\What should I do?\Okay, already! I get it!\Okay, okay. Stop crying. response:	We'll start again.
context: Perhaps a Course C?\Shrink Shrink\Course C: Bring a stray cat home and take care of it.\Mew...\What should I do?\Okay, already! I get it!\Okay, okay. Stop crying.\We'll start again. response:	You and me both, from square one.
context: Shrink Shrink\Course C: Bring a stray cat home and take care of it.\Mew...\What should I do?\Okay, already! I get it!\Okay, okay. Stop crying.\We'll start again.\You and me both, from square one. response:	Black River (Part 2)
context: Course C: Bring a stray cat home and take care of it.\Mew...\What should I do?\Okay, already! I get it!\Okay, okay. Stop crying.\We'll start again.\You and me both, from square one.\Black River (Part 2) response:	Hey.
context: Mew...\What should I do?\Okay, already! I get it!\Okay, okay. Stop crying.\We'll start again.\You and me both, from square one.\Black River (Part 2)\Hey. response:	You look well.
context: What should I do?\Okay, already! I get it!\Okay, okay. Stop crying.\We'll start again.\You and me both, from square one.\Black River (Part 2)\Hey.\You look well. response:	Too bad.
context: Okay, already! I get it!\Okay, okay. Stop crying.\We'll start again.\You and me both, from square one.\Black River (Part 2)\Hey.\You look well.\Too bad. response:	I see.
context: Okay, okay. Stop crying.\We'll start again.\You and me both, from square one.\Black River (Part 2)\Hey.\You look well.\Too bad.\I see. response:	If we keep going like this, you and I will go head to head.
context: We'll start again.\You and me both, from square one.\Black River (Part 2)\Hey.\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head. response:	Well, I'm looking forward to that.
context: You and me both, from square one.\Black River (Part 2)\Hey.\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that. response:	It should be a little more interesting than beating you with my bare hands.
context: Black River (Part 2)\Hey.\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands. response:	That's right.
context: Hey.\You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right. response:	I want you to pass on a message to your old man, Kouda.
context: You look well.\Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda. response:	It's about that stalker woman.
context: Too bad.\I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker woman. response:	Tell him to get her off my back.
context: I see.\If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker woman.\Tell him to get her off my back. response:	She's really annoying.
context: If we keep going like this, you and I will go head to head.\Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker woman.\Tell him to get her off my back.\She's really annoying. response:	You know?
context: Well, I'm looking forward to that.\It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker woman.\Tell him to get her off my back.\She's really annoying.\You know? response:	Beyond the Door
context: It should be a little more interesting than beating you with my bare hands.\That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker woman.\Tell him to get her off my back.\She's really annoying.\You know?\Beyond the Door response:	He was provoking me.
context: That's right.\I want you to pass on a message to your old man, Kouda.\It's about that stalker woman.\Tell him to get her off my back.\She's really annoying.\You know?\Beyond the Door\He was provoking me. response:	I know that.
context: I want you to pass on a message to your old man, Kouda.\It's about that stalker woman.\Tell him to get her off my back.\She's really annoying.\You know?\Beyond the Door\He was provoking me.\I know that. response:	But...
context: It's about that stalker woman.\Tell him to get her off my back.\She's really annoying.\You know?\Beyond the Door\He was provoking me.\I know that.\But... response:	I have to do it.
context: Tell him to get her off my back.\She's really annoying.\You know?\Beyond the Door\He was provoking me.\I know that.\But...\I have to do it. response:	First, I have to deal with today.
context: She's really annoying.\You know?\Beyond the Door\He was provoking me.\I know that.\But...\I have to do it.\First, I have to deal with today. response:	Nothing will start unless I win today.
context: You know?\Beyond the Door\He was provoking me.\I know that.\But...\I have to do it.\First, I have to deal with today.\Nothing will start unless I win today. response:	Kai Shimada, 8th dan. Five years in Rank A.
context: Beyond the Door\He was provoking me.\I know that.\But...\I have to do it.\First, I have to deal with today.\Nothing will start unless I win today.\Kai Shimada, 8th dan. Five years in Rank A. response:	I've been looking at a lot of his game records, but it's strange.
context: He was provoking me.\I know that.\But...\I have to do it.\First, I have to deal with today.\Nothing will start unless I win today.\Kai Shimada, 8th dan. Five years in Rank A.\I've been looking at a lot of his game records, but it's strange. response:	I can't find any distinctive features.
context: I know that.\But...\I have to do it.\First, I have to deal with today.\Nothing will start unless I win today.\Kai Shimada, 8th dan. Five years in Rank A.\I've been looking at a lot of his game records, but it's strange.\I can't find any distinctive features. response:	Tactics he's good at, his weaknesses...
context: But...\I have to do it.\First, I have to deal with today.\Nothing will start unless I win today.\Kai Shimada, 8th dan. Five years in Rank A.\I've been looking at a lot of his game records, but it's strange.\I can't find any distinctive features.\Tactics he's good at, his weaknesses... response:	There's nothing I can pinpoint.
context: I have to do it.\First, I have to deal with today.\Nothing will start unless I win today.\Kai Shimada, 8th dan. Five years in Rank A.\I've been looking at a lot of his game records, but it's strange.\I can't find any distinctive features.\Tactics he's good at, his weaknesses...\There's nothing I can pinpoint. response:	I haven't played against him before.
context: First, I have to deal with today.\Nothing will start unless I win today.\Kai Shimada, 8th dan. Five years in Rank A.\I've been looking at a lot of his game records, but it's strange.\I can't find any distinctive features.\Tactics he's good at, his weaknesses...\There's nothing I can pinpoint.\I haven't played against him before. response:	But, wait...
context: Nothing will start unless I win today.\Kai Shimada, 8th dan. Five years in Rank A.\I've been looking at a lot of his game records, but it's strange.\I can't find any distinctive features.\Tactics he's good at, his weaknesses...\There's nothing I can pinpoint.\I haven't played against him before.\But, wait... response:	When I was in grade school, he was a guest speaker
context: Kai Shimada, 8th dan. Five years in Rank A.\I've been looking at a lot of his game records, but it's strange.\I can't find any distinctive features.\Tactics he's good at, his weaknesses...\There's nothing I can pinpoint.\I haven't played against him before.\But, wait...\When I was in grade school, he was a guest speaker response:	at a children's shogi tournament I attended.
context: I've been looking at a lot of his game records, but it's strange.\I can't find any distinctive features.\Tactics he's good at, his weaknesses...\There's nothing I can pinpoint.\I haven't played against him before.\But, wait...\When I was in grade school, he was a guest speaker\at a children's shogi tournament I attended. response:	He was awfully thin and tall, and I remember he spoke quietly.
context: I can't find any distinctive features.\Tactics he's good at, his weaknesses...\There's nothing I can pinpoint.\I haven't played against him before.\But, wait...\When I was in grade school, he was a guest speaker\at a children's shogi tournament I attended.\He was awfully thin and tall, and I remember he spoke quietly. response:	I'd had a winning streak, so I just watched from afar.
context: Tactics he's good at, his weaknesses...\There's nothing I can pinpoint.\I haven't played against him before.\But, wait...\When I was in grade school, he was a guest speaker\at a children's shogi tournament I attended.\He was awfully thin and tall, and I remember he spoke quietly.\I'd had a winning streak, so I just watched from afar. response:	He didn't really make an impression on me.
context: There's nothing I can pinpoint.\I haven't played against him before.\But, wait...\When I was in grade school, he was a guest speaker\at a children's shogi tournament I attended.\He was awfully thin and tall, and I remember he spoke quietly.\I'd had a winning streak, so I just watched from afar.\He didn't really make an impression on me. response:	Instead of playing to win, he's someone who plays not to lose shogi.
context: I haven't played against him before.\But, wait...\When I was in grade school, he was a guest speaker\at a children's shogi tournament I attended.\He was awfully thin and tall, and I remember he spoke quietly.\I'd had a winning streak, so I just watched from afar.\He didn't really make an impression on me.\Instead of playing to win, he's someone who plays not to lose shogi. response:	Matches against people like that are usually drawn-out battles.
context: But, wait...\When I was in grade school, he was a guest speaker\at a children's shogi tournament I attended.\He was awfully thin and tall, and I remember he spoke quietly.\I'd had a winning streak, so I just watched from afar.\He didn't really make an impression on me.\Instead of playing to win, he's someone who plays not to lose shogi.\Matches against people like that are usually drawn-out battles. response:	It's not my favorite.
context: When I was in grade school, he was a guest speaker\at a children's shogi tournament I attended.\He was awfully thin and tall, and I remember he spoke quietly.\I'd had a winning streak, so I just watched from afar.\He didn't really make an impression on me.\Instead of playing to win, he's someone who plays not to lose shogi.\Matches against people like that are usually drawn-out battles.\It's not my favorite. response:	But...
context: at a children's shogi tournament I attended.\He was awfully thin and tall, and I remember he spoke quietly.\I'd had a winning streak, so I just watched from afar.\He didn't really make an impression on me.\Instead of playing to win, he's someone who plays not to lose shogi.\Matches against people like that are usually drawn-out battles.\It's not my favorite.\But... response:	I can't get irritated.
context: He was awfully thin and tall, and I remember he spoke quietly.\I'd had a winning streak, so I just watched from afar.\He didn't really make an impression on me.\Instead of playing to win, he's someone who plays not to lose shogi.\Matches against people like that are usually drawn-out battles.\It's not my favorite.\But...\I can't get irritated. response:	That's where he'll eat me alive.
context: I'd had a winning streak, so I just watched from afar.\He didn't really make an impression on me.\Instead of playing to win, he's someone who plays not to lose shogi.\Matches against people like that are usually drawn-out battles.\It's not my favorite.\But...\I can't get irritated.\That's where he'll eat me alive. response:	Stay calm.
context: He didn't really make an impression on me.\Instead of playing to win, he's someone who plays not to lose shogi.\Matches against people like that are usually drawn-out battles.\It's not my favorite.\But...\I can't get irritated.\That's where he'll eat me alive.\Stay calm. response:	Gotou recently gave it to me.
context: Instead of playing to win, he's someone who plays not to lose shogi.\Matches against people like that are usually drawn-out battles.\It's not my favorite.\But...\I can't get irritated.\That's where he'll eat me alive.\Stay calm.\Gotou recently gave it to me. response:	I can not lose here.
context: Matches against people like that are usually drawn-out battles.\It's not my favorite.\But...\I can't get irritated.\That's where he'll eat me alive.\Stay calm.\Gotou recently gave it to me.\I can not lose here. response:	No matter what.
context: It's not my favorite.\But...\I can't get irritated.\That's where he'll eat me alive.\Stay calm.\Gotou recently gave it to me.\I can not lose here.\No matter what. response:	I went first for this match.
context: But...\I can't get irritated.\That's where he'll eat me alive.\Stay calm.\Gotou recently gave it to me.\I can not lose here.\No matter what.\I went first for this match. response:	It's a Double Fortress.
context: I can't get irritated.\That's where he'll eat me alive.\Stay calm.\Gotou recently gave it to me.\I can not lose here.\No matter what.\I went first for this match.\It's a Double Fortress. response:	It's been standard moves up to now.
context: That's where he'll eat me alive.\Stay calm.\Gotou recently gave it to me.\I can not lose here.\No matter what.\I went first for this match.\It's a Double Fortress.\It's been standard moves up to now. response:	All right, time to start the battle.
context: Stay calm.\Gotou recently gave it to me.\I can not lose here.\No matter what.\I went first for this match.\It's a Double Fortress.\It's been standard moves up to now.\All right, time to start the battle. response:	Here I go.
context: Gotou recently gave it to me.\I can not lose here.\No matter what.\I went first for this match.\It's a Double Fortress.\It's been standard moves up to now.\All right, time to start the battle.\Here I go. response:	5-b-Rook?
context: I can not lose here.\No matter what.\I went first for this match.\It's a Double Fortress.\It's been standard moves up to now.\All right, time to start the battle.\Here I go.\5-b-Rook? response:	Does he intend to block everything?
context: No matter what.\I went first for this match.\It's a Double Fortress.\It's been standard moves up to now.\All right, time to start the battle.\Here I go.\5-b-Rook?\Does he intend to block everything? response:	In that case...
context: I went first for this match.\It's a Double Fortress.\It's been standard moves up to now.\All right, time to start the battle.\Here I go.\5-b-Rook?\Does he intend to block everything?\In that case... response:	He moved his Gold back.
context: It's a Double Fortress.\It's been standard moves up to now.\All right, time to start the battle.\Here I go.\5-b-Rook?\Does he intend to block everything?\In that case...\He moved his Gold back. response:	Does he mean to move the Rook around? Then so will I.
context: It's been standard moves up to now.\All right, time to start the battle.\Here I go.\5-b-Rook?\Does he intend to block everything?\In that case...\He moved his Gold back.\Does he mean to move the Rook around? Then so will I. response:	Somehow...
context: All right, time to start the battle.\Here I go.\5-b-Rook?\Does he intend to block everything?\In that case...\He moved his Gold back.\Does he mean to move the Rook around? Then so will I.\Somehow... response:	At a time like this,
context: Here I go.\5-b-Rook?\Does he intend to block everything?\In that case...\He moved his Gold back.\Does he mean to move the Rook around? Then so will I.\Somehow...\At a time like this, response:	it's a good idea...
context: 5-b-Rook?\Does he intend to block everything?\In that case...\He moved his Gold back.\Does he mean to move the Rook around? Then so will I.\Somehow...\At a time like this,\it's a good idea... response:	to surround the king.
context: Does he intend to block everything?\In that case...\He moved his Gold back.\Does he mean to move the Rook around? Then so will I.\Somehow...\At a time like this,\it's a good idea...\to surround the king. response:	Surround...
context: In that case...\He moved his Gold back.\Does he mean to move the Rook around? Then so will I.\Somehow...\At a time like this,\it's a good idea...\to surround the king.\Surround... response:	Wait a second.
context: He moved his Gold back.\Does he mean to move the Rook around? Then so will I.\Somehow...\At a time like this,\it's a good idea...\to surround the king.\Surround...\Wait a second. response:	Something's wrong.
context: Does he mean to move the Rook around? Then so will I.\Somehow...\At a time like this,\it's a good idea...\to surround the king.\Surround...\Wait a second.\Something's wrong. response:	I was supposed to be attacking.
context: Somehow...\At a time like this,\it's a good idea...\to surround the king.\Surround...\Wait a second.\Something's wrong.\I was supposed to be attacking. response:	And yet...
context: At a time like this,\it's a good idea...\to surround the king.\Surround...\Wait a second.\Something's wrong.\I was supposed to be attacking.\And yet... response:	What is this?
context: it's a good idea...\to surround the king.\Surround...\Wait a second.\Something's wrong.\I was supposed to be attacking.\And yet...\What is this? response:	When did the situation get this bad?
context: to surround the king.\Surround...\Wait a second.\Something's wrong.\I was supposed to be attacking.\And yet...\What is this?\When did the situation get this bad? response:	I didn't... make any mistakes.
context: Surround...\Wait a second.\Something's wrong.\I was supposed to be attacking.\And yet...\What is this?\When did the situation get this bad?\I didn't... make any mistakes. response:	No mistake, and yet...
context: Wait a second.\Something's wrong.\I was supposed to be attacking.\And yet...\What is this?\When did the situation get this bad?\I didn't... make any mistakes.\No mistake, and yet... response:	And yet, what is this?
context: Something's wrong.\I was supposed to be attacking.\And yet...\What is this?\When did the situation get this bad?\I didn't... make any mistakes.\No mistake, and yet...\And yet, what is this? response:	This...
context: I was supposed to be attacking.\And yet...\What is this?\When did the situation get this bad?\I didn't... make any mistakes.\No mistake, and yet...\And yet, what is this?\This... response:	This intensity?
context: And yet...\What is this?\When did the situation get this bad?\I didn't... make any mistakes.\No mistake, and yet...\And yet, what is this?\This...\This intensity? response:	I can't...
context: What is this?\When did the situation get this bad?\I didn't... make any mistakes.\No mistake, and yet...\And yet, what is this?\This...\This intensity?\I can't... response:	Crap!
context: When did the situation get this bad?\I didn't... make any mistakes.\No mistake, and yet...\And yet, what is this?\This...\This intensity?\I can't...\Crap! response:	Gold General
context: I didn't... make any mistakes.\No mistake, and yet...\And yet, what is this?\This...\This intensity?\I can't...\Crap!\Gold General response:	Knight
context: No mistake, and yet...\And yet, what is this?\This...\This intensity?\I can't...\Crap!\Gold General\Knight response:	Geez. You finally look this way.
context: And yet, what is this?\This...\This intensity?\I can't...\Crap!\Gold General\Knight\Geez. You finally look this way. response:	Shogi Hall
context: This...\This intensity?\I can't...\Crap!\Gold General\Knight\Geez. You finally look this way.\Shogi Hall response:	Big Brother!
context: This intensity?\I can't...\Crap!\Gold General\Knight\Geez. You finally look this way.\Shogi Hall\Big Brother! response:	What did you come here for, kiddo?
context: I can't...\Crap!\Gold General\Knight\Geez. You finally look this way.\Shogi Hall\Big Brother!\What did you come here for, kiddo? response:	You don't have a match today.
context: Crap!\Gold General\Knight\Geez. You finally look this way.\Shogi Hall\Big Brother!\What did you come here for, kiddo?\You don't have a match today. response:	Sorry, Big Brother.
context: Gold General\Knight\Geez. You finally look this way.\Shogi Hall\Big Brother!\What did you come here for, kiddo?\You don't have a match today.\Sorry, Big Brother. response:	How's your fever?
context: Knight\Geez. You finally look this way.\Shogi Hall\Big Brother!\What did you come here for, kiddo?\You don't have a match today.\Sorry, Big Brother.\How's your fever? response:	You still have one.
context: Geez. You finally look this way.\Shogi Hall\Big Brother!\What did you come here for, kiddo?\You don't have a match today.\Sorry, Big Brother.\How's your fever?\You still have one. response:	You need to take care. Your promotion is on the line.
context: Shogi Hall\Big Brother!\What did you come here for, kiddo?\You don't have a match today.\Sorry, Big Brother.\How's your fever?\You still have one.\You need to take care. Your promotion is on the line. response:	You promised you wouldn't overdo it, remember? To both your teacher and me.
context: Big Brother!\What did you come here for, kiddo?\You don't have a match today.\Sorry, Big Brother.\How's your fever?\You still have one.\You need to take care. Your promotion is on the line.\You promised you wouldn't overdo it, remember? To both your teacher and me. response:	In exchange, we promised we wouldn't tell anyone.
context: What did you come here for, kiddo?\You don't have a match today.\Sorry, Big Brother.\How's your fever?\You still have one.\You need to take care. Your promotion is on the line.\You promised you wouldn't overdo it, remember? To both your teacher and me.\In exchange, we promised we wouldn't tell anyone. response:	Yes. I'll head home and lie down.
context: You don't have a match today.\Sorry, Big Brother.\How's your fever?\You still have one.\You need to take care. Your promotion is on the line.\You promised you wouldn't overdo it, remember? To both your teacher and me.\In exchange, we promised we wouldn't tell anyone.\Yes. I'll head home and lie down. response:	Sorry.
context: Sorry, Big Brother.\How's your fever?\You still have one.\You need to take care. Your promotion is on the line.\You promised you wouldn't overdo it, remember? To both your teacher and me.\In exchange, we promised we wouldn't tell anyone.\Yes. I'll head home and lie down.\Sorry. response:	Well, me too.
context: How's your fever?\You still have one.\You need to take care. Your promotion is on the line.\You promised you wouldn't overdo it, remember? To both your teacher and me.\In exchange, we promised we wouldn't tell anyone.\Yes. I'll head home and lie down.\Sorry.\Well, me too. response:	Sorry for getting on your case like that.
context: You still have one.\You need to take care. Your promotion is on the line.\You promised you wouldn't overdo it, remember? To both your teacher and me.\In exchange, we promised we wouldn't tell anyone.\Yes. I'll head home and lie down.\Sorry.\Well, me too.\Sorry for getting on your case like that. response:	I was just surprised to see you here.
context: You need to take care. Your promotion is on the line.\You promised you wouldn't overdo it, remember? To both your teacher and me.\In exchange, we promised we wouldn't tell anyone.\Yes. I'll head home and lie down.\Sorry.\Well, me too.\Sorry for getting on your case like that.\I was just surprised to see you here. response:	So why are you here, kiddo?
context: You promised you wouldn't overdo it, remember? To both your teacher and me.\In exchange, we promised we wouldn't tell anyone.\Yes. I'll head home and lie down.\Sorry.\Well, me too.\Sorry for getting on your case like that.\I was just surprised to see you here.\So why are you here, kiddo? response:	Is there something you wanted to tell me?
context: In exchange, we promised we wouldn't tell anyone.\Yes. I'll head home and lie down.\Sorry.\Well, me too.\Sorry for getting on your case like that.\I was just surprised to see you here.\So why are you here, kiddo?\Is there something you wanted to tell me? response:	Yes. Actually, Big Brother...
context: Yes. I'll head home and lie down.\Sorry.\Well, me too.\Sorry for getting on your case like that.\I was just surprised to see you here.\So why are you here, kiddo?\Is there something you wanted to tell me?\Yes. Actually, Big Brother... response:	I want you to...
context: Sorry.\Well, me too.\Sorry for getting on your case like that.\I was just surprised to see you here.\So why are you here, kiddo?\Is there something you wanted to tell me?\Yes. Actually, Big Brother...\I want you to... response:	I want you to split Kiriyama's head in half.
context: Well, me too.\Sorry for getting on your case like that.\I was just surprised to see you here.\So why are you here, kiddo?\Is there something you wanted to tell me?\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half. response:	Dang it, kiddo...
context: Sorry for getting on your case like that.\I was just surprised to see you here.\So why are you here, kiddo?\Is there something you wanted to tell me?\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo... response:	I was wondering what you were going to say.
context: I was just surprised to see you here.\So why are you here, kiddo?\Is there something you wanted to tell me?\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say. response:	Such a troublesome thing...
context: So why are you here, kiddo?\Is there something you wanted to tell me?\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing... response:	Well, then...
context: Is there something you wanted to tell me?\Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Well, then... response:	Let's continue, shall we?
context: Yes. Actually, Big Brother...\I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Well, then...\Let's continue, shall we? response:	Beyond the Door
context: I want you to...\I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Well, then...\Let's continue, shall we?\Beyond the Door response:	Next Episode Preview
context: I want you to split Kiriyama's head in half.\Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Well, then...\Let's continue, shall we?\Beyond the Door\Next Episode Preview response:	Episode 14
context: Dang it, kiddo...\I was wondering what you were going to say.\Such a troublesome thing...\Well, then...\Let's continue, shall we?\Beyond the Door\Next Episode Preview\Episode 14 response:	You can't be eating cold food when you're depressed.
context: I was wondering what you were going to say.\Such a troublesome thing...\Well, then...\Let's continue, shall we?\Beyond the Door\Next Episode Preview\Episode 14\You can't be eating cold food when you're depressed. response:	You'll lose half of your hit points.
context: Such a troublesome thing...\Well, then...\Let's continue, shall we?\Beyond the Door\Next Episode Preview\Episode 14\You can't be eating cold food when you're depressed.\You'll lose half of your hit points. response:	Is that how it is?
context: Well, then...\Let's continue, shall we?\Beyond the Door\Next Episode Preview\Episode 14\You can't be eating cold food when you're depressed.\You'll lose half of your hit points.\Is that how it is? response:	What should I do? I can't understand it anymore.
context: Let's continue, shall we?\Beyond the Door\Next Episode Preview\Episode 14\You can't be eating cold food when you're depressed.\You'll lose half of your hit points.\Is that how it is?\What should I do? I can't understand it anymore. response:	Well, let's try advancing it from here.
context: Beyond the Door\Next Episode Preview\Episode 14\You can't be eating cold food when you're depressed.\You'll lose half of your hit points.\Is that how it is?\What should I do? I can't understand it anymore.\Well, let's try advancing it from here. response:	March Comes in Like a Lion!
context: Next Episode Preview\Episode 14\You can't be eating cold food when you're depressed.\You'll lose half of your hit points.\Is that how it is?\What should I do? I can't understand it anymore.\Well, let's try advancing it from here.\March Comes in Like a Lion! response:	At long last, my Big Brother appears! You'll watch our brotherly love, right?
