context: Coffee Shop Hitotose response:	I'm back.
context: They're all very cute.\No fair, Hinako!\I want to talk about that stuff, too!\Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!\What's the matter, Yua-chan?\The Hitotose Troupe's first performance?\You should have told me sooner.\I'm a member of the troupe, you know! response:	I'm sorry.
context: No fair, Hinako!\I want to talk about that stuff, too!\Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!\What's the matter, Yua-chan?\The Hitotose Troupe's first performance?\You should have told me sooner.\I'm a member of the troupe, you know!\I'm sorry. response:	We actually just decided to do it yesterday.
context: I want to talk about that stuff, too!\Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!\What's the matter, Yua-chan?\The Hitotose Troupe's first performance?\You should have told me sooner.\I'm a member of the troupe, you know!\I'm sorry.\We actually just decided to do it yesterday. response:	Can't we practice in the school's empty classroom?
context: Merchandise for the new mascot comes out today! Some of it is seasonal exclusives, so I'll have to go straight over after school. It's only available during this season, after all!\What's the matter, Yua-chan?\The Hitotose Troupe's first performance?\You should have told me sooner.\I'm a member of the troupe, you know!\I'm sorry.\We actually just decided to do it yesterday.\Can't we practice in the school's empty classroom? response:	If we say it's for a theater assignment, we can get permission.
context: What's the matter, Yua-chan?\The Hitotose Troupe's first performance?\You should have told me sooner.\I'm a member of the troupe, you know!\I'm sorry.\We actually just decided to do it yesterday.\Can't we practice in the school's empty classroom?\If we say it's for a theater assignment, we can get permission. response:	You think it'll be that easy?
context: The Hitotose Troupe's first performance?\You should have told me sooner.\I'm a member of the troupe, you know!\I'm sorry.\We actually just decided to do it yesterday.\Can't we practice in the school's empty classroom?\If we say it's for a theater assignment, we can get permission.\You think it'll be that easy? response:	Just leave it to me!
context: You should have told me sooner.\I'm a member of the troupe, you know!\I'm sorry.\We actually just decided to do it yesterday.\Can't we practice in the school's empty classroom?\If we say it's for a theater assignment, we can get permission.\You think it'll be that easy?\Just leave it to me! response:	The teachers trust me a lot!
context: I'm a member of the troupe, you know!\I'm sorry.\We actually just decided to do it yesterday.\Can't we practice in the school's empty classroom?\If we say it's for a theater assignment, we can get permission.\You think it'll be that easy?\Just leave it to me!\The teachers trust me a lot! response:	Wow!
context: I'm sorry.\We actually just decided to do it yesterday.\Can't we practice in the school's empty classroom?\If we say it's for a theater assignment, we can get permission.\You think it'll be that easy?\Just leave it to me!\The teachers trust me a lot!\Wow! response:	I should've known!
context: We actually just decided to do it yesterday.\Can't we practice in the school's empty classroom?\If we say it's for a theater assignment, we can get permission.\You think it'll be that easy?\Just leave it to me!\The teachers trust me a lot!\Wow!\I should've known! response:	You really do have your act together!
context: Can't we practice in the school's empty classroom?\If we say it's for a theater assignment, we can get permission.\You think it'll be that easy?\Just leave it to me!\The teachers trust me a lot!\Wow!\I should've known!\You really do have your act together! response:	Well, it's more like my stock naturally went up as I kept covering for Hinako...
context: If we say it's for a theater assignment, we can get permission.\You think it'll be that easy?\Just leave it to me!\The teachers trust me a lot!\Wow!\I should've known!\You really do have your act together!\Well, it's more like my stock naturally went up as I kept covering for Hinako... response:	I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...
context: You think it'll be that easy?\Just leave it to me!\The teachers trust me a lot!\Wow!\I should've known!\You really do have your act together!\Well, it's more like my stock naturally went up as I kept covering for Hinako...\I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes... response:	I worked really hard today, so my mom gave me an allowance! Yay!
context: Just leave it to me!\The teachers trust me a lot!\Wow!\I should've known!\You really do have your act together!\Well, it's more like my stock naturally went up as I kept covering for Hinako...\I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...\I worked really hard today, so my mom gave me an allowance! Yay! response:	The cast will be you, me, Kuina, and Chiaki-senpai,
context: The teachers trust me a lot!\Wow!\I should've known!\You really do have your act together!\Well, it's more like my stock naturally went up as I kept covering for Hinako...\I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...\I worked really hard today, so my mom gave me an allowance! Yay!\The cast will be you, me, Kuina, and Chiaki-senpai, response:	and Mayu-senpai is making the props and wardrobe, right?
context: Wow!\I should've known!\You really do have your act together!\Well, it's more like my stock naturally went up as I kept covering for Hinako...\I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...\I worked really hard today, so my mom gave me an allowance! Yay!\The cast will be you, me, Kuina, and Chiaki-senpai,\and Mayu-senpai is making the props and wardrobe, right? response:	Yeah!
context: I should've known!\You really do have your act together!\Well, it's more like my stock naturally went up as I kept covering for Hinako...\I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...\I worked really hard today, so my mom gave me an allowance! Yay!\The cast will be you, me, Kuina, and Chiaki-senpai,\and Mayu-senpai is making the props and wardrobe, right?\Yeah! response:	Maybe I'll take care of the makeup.
context: You really do have your act together!\Well, it's more like my stock naturally went up as I kept covering for Hinako...\I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...\I worked really hard today, so my mom gave me an allowance! Yay!\The cast will be you, me, Kuina, and Chiaki-senpai,\and Mayu-senpai is making the props and wardrobe, right?\Yeah!\Maybe I'll take care of the makeup. response:	And the landlady's going to make flyers.
context: Well, it's more like my stock naturally went up as I kept covering for Hinako...\I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...\I worked really hard today, so my mom gave me an allowance! Yay!\The cast will be you, me, Kuina, and Chiaki-senpai,\and Mayu-senpai is making the props and wardrobe, right?\Yeah!\Maybe I'll take care of the makeup.\And the landlady's going to make flyers. response:	She likes to draw, she says.
context: I've been curious about the cake shop that opened in front of the station, so I'll buy a cake from there. I think I'll buy a cake for Mom, too! I wonder what kind of cake she likes...\I worked really hard today, so my mom gave me an allowance! Yay!\The cast will be you, me, Kuina, and Chiaki-senpai,\and Mayu-senpai is making the props and wardrobe, right?\Yeah!\Maybe I'll take care of the makeup.\And the landlady's going to make flyers.\She likes to draw, she says. response:	Then maybe she'll do our backdrops and scenery, too.
context: I worked really hard today, so my mom gave me an allowance! Yay!\The cast will be you, me, Kuina, and Chiaki-senpai,\and Mayu-senpai is making the props and wardrobe, right?\Yeah!\Maybe I'll take care of the makeup.\And the landlady's going to make flyers.\She likes to draw, she says.\Then maybe she'll do our backdrops and scenery, too. response:	I'm writing the script...
context: The cast will be you, me, Kuina, and Chiaki-senpai,\and Mayu-senpai is making the props and wardrobe, right?\Yeah!\Maybe I'll take care of the makeup.\And the landlady's going to make flyers.\She likes to draw, she says.\Then maybe she'll do our backdrops and scenery, too.\I'm writing the script... response:	And I'll also take care of picking a venue for our after-party.
context: and Mayu-senpai is making the props and wardrobe, right?\Yeah!\Maybe I'll take care of the makeup.\And the landlady's going to make flyers.\She likes to draw, she says.\Then maybe she'll do our backdrops and scenery, too.\I'm writing the script...\And I'll also take care of picking a venue for our after-party. response:	We want a restaurant with good, cheap food, right?
context: Yeah!\Maybe I'll take care of the makeup.\And the landlady's going to make flyers.\She likes to draw, she says.\Then maybe she'll do our backdrops and scenery, too.\I'm writing the script...\And I'll also take care of picking a venue for our after-party.\We want a restaurant with good, cheap food, right? response:	Do you guys prefer Japanese or Western food?
context: Maybe I'll take care of the makeup.\And the landlady's going to make flyers.\She likes to draw, she says.\Then maybe she'll do our backdrops and scenery, too.\I'm writing the script...\And I'll also take care of picking a venue for our after-party.\We want a restaurant with good, cheap food, right?\Do you guys prefer Japanese or Western food? response:	You should put more effort into writing the script than picking a restaurant...
context: And the landlady's going to make flyers.\She likes to draw, she says.\Then maybe she'll do our backdrops and scenery, too.\I'm writing the script...\And I'll also take care of picking a venue for our after-party.\We want a restaurant with good, cheap food, right?\Do you guys prefer Japanese or Western food?\You should put more effort into writing the script than picking a restaurant... response:	I-I think I'd like to play a tree or a statue.
context: She likes to draw, she says.\Then maybe she'll do our backdrops and scenery, too.\I'm writing the script...\And I'll also take care of picking a venue for our after-party.\We want a restaurant with good, cheap food, right?\Do you guys prefer Japanese or Western food?\You should put more effort into writing the script than picking a restaurant...\I-I think I'd like to play a tree or a statue. response:	That way, if I turn into a scarecrow, Mom won't notice.
context: Then maybe she'll do our backdrops and scenery, too.\I'm writing the script...\And I'll also take care of picking a venue for our after-party.\We want a restaurant with good, cheap food, right?\Do you guys prefer Japanese or Western food?\You should put more effort into writing the script than picking a restaurant...\I-I think I'd like to play a tree or a statue.\That way, if I turn into a scarecrow, Mom won't notice. response:	Aren't you the principal?!
context: I'm writing the script...\And I'll also take care of picking a venue for our after-party.\We want a restaurant with good, cheap food, right?\Do you guys prefer Japanese or Western food?\You should put more effort into writing the script than picking a restaurant...\I-I think I'd like to play a tree or a statue.\That way, if I turn into a scarecrow, Mom won't notice.\Aren't you the principal?! response:	So for that reason,
context: And I'll also take care of picking a venue for our after-party.\We want a restaurant with good, cheap food, right?\Do you guys prefer Japanese or Western food?\You should put more effort into writing the script than picking a restaurant...\I-I think I'd like to play a tree or a statue.\That way, if I turn into a scarecrow, Mom won't notice.\Aren't you the principal?!\So for that reason, response:	we'd like to borrow the empty classroom after school.
context: We want a restaurant with good, cheap food, right?\Do you guys prefer Japanese or Western food?\You should put more effort into writing the script than picking a restaurant...\I-I think I'd like to play a tree or a statue.\That way, if I turn into a scarecrow, Mom won't notice.\Aren't you the principal?!\So for that reason,\we'd like to borrow the empty classroom after school. response:	Play practice, huh?
context: Do you guys prefer Japanese or Western food?\You should put more effort into writing the script than picking a restaurant...\I-I think I'd like to play a tree or a statue.\That way, if I turn into a scarecrow, Mom won't notice.\Aren't you the principal?!\So for that reason,\we'd like to borrow the empty classroom after school.\Play practice, huh? response:	This isn't for the theater club?
context: You should put more effort into writing the script than picking a restaurant...\I-I think I'd like to play a tree or a statue.\That way, if I turn into a scarecrow, Mom won't notice.\Aren't you the principal?!\So for that reason,\we'd like to borrow the empty classroom after school.\Play practice, huh?\This isn't for the theater club? response:	No, it's private.
context: I-I think I'd like to play a tree or a statue.\That way, if I turn into a scarecrow, Mom won't notice.\Aren't you the principal?!\So for that reason,\we'd like to borrow the empty classroom after school.\Play practice, huh?\This isn't for the theater club?\No, it's private. response:	All right.
context: That way, if I turn into a scarecrow, Mom won't notice.\Aren't you the principal?!\So for that reason,\we'd like to borrow the empty classroom after school.\Play practice, huh?\This isn't for the theater club?\No, it's private.\All right. response:	I know it's safe to let you use it, Nakajima-san.
context: Aren't you the principal?!\So for that reason,\we'd like to borrow the empty classroom after school.\Play practice, huh?\This isn't for the theater club?\No, it's private.\All right.\I know it's safe to let you use it, Nakajima-san. response:	It really was easy to get permission!
context: So for that reason,\we'd like to borrow the empty classroom after school.\Play practice, huh?\This isn't for the theater club?\No, it's private.\All right.\I know it's safe to let you use it, Nakajima-san.\It really was easy to get permission! response:	That's our Yua-chan!
context: we'd like to borrow the empty classroom after school.\Play practice, huh?\This isn't for the theater club?\No, it's private.\All right.\I know it's safe to let you use it, Nakajima-san.\It really was easy to get permission!\That's our Yua-chan! response:	What did I tell you?
context: Play practice, huh?\This isn't for the theater club?\No, it's private.\All right.\I know it's safe to let you use it, Nakajima-san.\It really was easy to get permission!\That's our Yua-chan!\What did I tell you? response:	Hello?
context: This isn't for the theater club?\No, it's private.\All right.\I know it's safe to let you use it, Nakajima-san.\It really was easy to get permission!\That's our Yua-chan!\What did I tell you?\Hello? response:	It sounds like you're planning something interesting.
context: No, it's private.\All right.\I know it's safe to let you use it, Nakajima-san.\It really was easy to get permission!\That's our Yua-chan!\What did I tell you?\Hello?\It sounds like you're planning something interesting. response:	Ruri-chan!
context: All right.\I know it's safe to let you use it, Nakajima-san.\It really was easy to get permission!\That's our Yua-chan!\What did I tell you?\Hello?\It sounds like you're planning something interesting.\Ruri-chan! response:	Sensei!
context: I know it's safe to let you use it, Nakajima-san.\It really was easy to get permission!\That's our Yua-chan!\What did I tell you?\Hello?\It sounds like you're planning something interesting.\Ruri-chan!\Sensei! response:	I didn't know you had a desk in the faculty office, Ruri-chan.
context: It really was easy to get permission!\That's our Yua-chan!\What did I tell you?\Hello?\It sounds like you're planning something interesting.\Ruri-chan!\Sensei!\I didn't know you had a desk in the faculty office, Ruri-chan. response:	Well, despite my appearance, I am a club advisor.
context: That's our Yua-chan!\What did I tell you?\Hello?\It sounds like you're planning something interesting.\Ruri-chan!\Sensei!\I didn't know you had a desk in the faculty office, Ruri-chan.\Well, despite my appearance, I am a club advisor. response:	Anyway, what is it you're planning to do?
context: What did I tell you?\Hello?\It sounds like you're planning something interesting.\Ruri-chan!\Sensei!\I didn't know you had a desk in the faculty office, Ruri-chan.\Well, despite my appearance, I am a club advisor.\Anyway, what is it you're planning to do? response:	Oh, actually, we'll be putting on a theater performance at Hitotose.
context: Hello?\It sounds like you're planning something interesting.\Ruri-chan!\Sensei!\I didn't know you had a desk in the faculty office, Ruri-chan.\Well, despite my appearance, I am a club advisor.\Anyway, what is it you're planning to do?\Oh, actually, we'll be putting on a theater performance at Hitotose. response:	I see. So that's why you'll be practicing.
context: It sounds like you're planning something interesting.\Ruri-chan!\Sensei!\I didn't know you had a desk in the faculty office, Ruri-chan.\Well, despite my appearance, I am a club advisor.\Anyway, what is it you're planning to do?\Oh, actually, we'll be putting on a theater performance at Hitotose.\I see. So that's why you'll be practicing. response:	That's right.
context: Ruri-chan!\Sensei!\I didn't know you had a desk in the faculty office, Ruri-chan.\Well, despite my appearance, I am a club advisor.\Anyway, what is it you're planning to do?\Oh, actually, we'll be putting on a theater performance at Hitotose.\I see. So that's why you'll be practicing.\That's right. response:	I can't just sit idly by knowing you're practicing theater.
context: Sensei!\I didn't know you had a desk in the faculty office, Ruri-chan.\Well, despite my appearance, I am a club advisor.\Anyway, what is it you're planning to do?\Oh, actually, we'll be putting on a theater performance at Hitotose.\I see. So that's why you'll be practicing.\That's right.\I can't just sit idly by knowing you're practicing theater. response:	Would it be all right if I joined you?
context: I didn't know you had a desk in the faculty office, Ruri-chan.\Well, despite my appearance, I am a club advisor.\Anyway, what is it you're planning to do?\Oh, actually, we'll be putting on a theater performance at Hitotose.\I see. So that's why you'll be practicing.\That's right.\I can't just sit idly by knowing you're practicing theater.\Would it be all right if I joined you? response:	What? You will?
context: Well, despite my appearance, I am a club advisor.\Anyway, what is it you're planning to do?\Oh, actually, we'll be putting on a theater performance at Hitotose.\I see. So that's why you'll be practicing.\That's right.\I can't just sit idly by knowing you're practicing theater.\Would it be all right if I joined you?\What? You will? response:	As the theater club's advisor,
context: Anyway, what is it you're planning to do?\Oh, actually, we'll be putting on a theater performance at Hitotose.\I see. So that's why you'll be practicing.\That's right.\I can't just sit idly by knowing you're practicing theater.\Would it be all right if I joined you?\What? You will?\As the theater club's advisor, response:	it's just part of my job.
context: Oh, actually, we'll be putting on a theater performance at Hitotose.\I see. So that's why you'll be practicing.\That's right.\I can't just sit idly by knowing you're practicing theater.\Would it be all right if I joined you?\What? You will?\As the theater club's advisor,\it's just part of my job. response:	Wow! Thank you!
context: I see. So that's why you'll be practicing.\That's right.\I can't just sit idly by knowing you're practicing theater.\Would it be all right if I joined you?\What? You will?\As the theater club's advisor,\it's just part of my job.\Wow! Thank you! response:	On that note,
context: That's right.\I can't just sit idly by knowing you're practicing theater.\Would it be all right if I joined you?\What? You will?\As the theater club's advisor,\it's just part of my job.\Wow! Thank you!\On that note, response:	let's hold a training camp here at school this weekend!
context: I can't just sit idly by knowing you're practicing theater.\Would it be all right if I joined you?\What? You will?\As the theater club's advisor,\it's just part of my job.\Wow! Thank you!\On that note,\let's hold a training camp here at school this weekend! response:	Huh? Training camp?
context: Would it be all right if I joined you?\What? You will?\As the theater club's advisor,\it's just part of my job.\Wow! Thank you!\On that note,\let's hold a training camp here at school this weekend!\Huh? Training camp? response:	Um, Sensei, a training camp on such short notice?
context: What? You will?\As the theater club's advisor,\it's just part of my job.\Wow! Thank you!\On that note,\let's hold a training camp here at school this weekend!\Huh? Training camp?\Um, Sensei, a training camp on such short notice? response:	I can't wait!
context: As the theater club's advisor,\it's just part of my job.\Wow! Thank you!\On that note,\let's hold a training camp here at school this weekend!\Huh? Training camp?\Um, Sensei, a training camp on such short notice?\I can't wait! response:	I guess you like that sort of event, huh, Ruri-chan?
context: it's just part of my job.\Wow! Thank you!\On that note,\let's hold a training camp here at school this weekend!\Huh? Training camp?\Um, Sensei, a training camp on such short notice?\I can't wait!\I guess you like that sort of event, huh, Ruri-chan? response:	Sorry!
context: Wow! Thank you!\On that note,\let's hold a training camp here at school this weekend!\Huh? Training camp?\Um, Sensei, a training camp on such short notice?\I can't wait!\I guess you like that sort of event, huh, Ruri-chan?\Sorry! response:	Packing my things took longer than I expected!
context: On that note,\let's hold a training camp here at school this weekend!\Huh? Training camp?\Um, Sensei, a training camp on such short notice?\I can't wait!\I guess you like that sort of event, huh, Ruri-chan?\Sorry!\Packing my things took longer than I expected! response:	Wow, you brought a pretty big bag.
context: let's hold a training camp here at school this weekend!\Huh? Training camp?\Um, Sensei, a training camp on such short notice?\I can't wait!\I guess you like that sort of event, huh, Ruri-chan?\Sorry!\Packing my things took longer than I expected!\Wow, you brought a pretty big bag. response:	Yeah.
context: Huh? Training camp?\Um, Sensei, a training camp on such short notice?\I can't wait!\I guess you like that sort of event, huh, Ruri-chan?\Sorry!\Packing my things took longer than I expected!\Wow, you brought a pretty big bag.\Yeah. response:	Let's see... I brought my pajamas,
context: Um, Sensei, a training camp on such short notice?\I can't wait!\I guess you like that sort of event, huh, Ruri-chan?\Sorry!\Packing my things took longer than I expected!\Wow, you brought a pretty big bag.\Yeah.\Let's see... I brought my pajamas, response:	a change of clothes, and...
context: I can't wait!\I guess you like that sort of event, huh, Ruri-chan?\Sorry!\Packing my things took longer than I expected!\Wow, you brought a pretty big bag.\Yeah.\Let's see... I brought my pajamas,\a change of clothes, and... response:	Well, I brought lots of things.
context: I guess you like that sort of event, huh, Ruri-chan?\Sorry!\Packing my things took longer than I expected!\Wow, you brought a pretty big bag.\Yeah.\Let's see... I brought my pajamas,\a change of clothes, and...\Well, I brought lots of things. response:	Kuu-chan and Mayu-chan, you have big bags, too.
context: Sorry!\Packing my things took longer than I expected!\Wow, you brought a pretty big bag.\Yeah.\Let's see... I brought my pajamas,\a change of clothes, and...\Well, I brought lots of things.\Kuu-chan and Mayu-chan, you have big bags, too. response:	Mine is...
context: Packing my things took longer than I expected!\Wow, you brought a pretty big bag.\Yeah.\Let's see... I brought my pajamas,\a change of clothes, and...\Well, I brought lots of things.\Kuu-chan and Mayu-chan, you have big bags, too.\Mine is... response:	Wow! You brought all these as references to write a script?
context: Wow, you brought a pretty big bag.\Yeah.\Let's see... I brought my pajamas,\a change of clothes, and...\Well, I brought lots of things.\Kuu-chan and Mayu-chan, you have big bags, too.\Mine is...\Wow! You brought all these as references to write a script? response:	Huh?
context: Yeah.\Let's see... I brought my pajamas,\a change of clothes, and...\Well, I brought lots of things.\Kuu-chan and Mayu-chan, you have big bags, too.\Mine is...\Wow! You brought all these as references to write a script?\Huh? response:	Oh, right! They're all for reference!
context: Let's see... I brought my pajamas,\a change of clothes, and...\Well, I brought lots of things.\Kuu-chan and Mayu-chan, you have big bags, too.\Mine is...\Wow! You brought all these as references to write a script?\Huh?\Oh, right! They're all for reference! response:	Sh-She plans to eat them all...
context: a change of clothes, and...\Well, I brought lots of things.\Kuu-chan and Mayu-chan, you have big bags, too.\Mine is...\Wow! You brought all these as references to write a script?\Huh?\Oh, right! They're all for reference!\Sh-She plans to eat them all... response:	Hey, look at this!
context: Well, I brought lots of things.\Kuu-chan and Mayu-chan, you have big bags, too.\Mine is...\Wow! You brought all these as references to write a script?\Huh?\Oh, right! They're all for reference!\Sh-She plans to eat them all...\Hey, look at this! response:	I brought my favorite stuffed animal!
context: Kuu-chan and Mayu-chan, you have big bags, too.\Mine is...\Wow! You brought all these as references to write a script?\Huh?\Oh, right! They're all for reference!\Sh-She plans to eat them all...\Hey, look at this!\I brought my favorite stuffed animal! response:	Oh, I did, too!
context: Mine is...\Wow! You brought all these as references to write a script?\Huh?\Oh, right! They're all for reference!\Sh-She plans to eat them all...\Hey, look at this!\I brought my favorite stuffed animal!\Oh, I did, too! response:	This is going to be fun!
context: Wow! You brought all these as references to write a script?\Huh?\Oh, right! They're all for reference!\Sh-She plans to eat them all...\Hey, look at this!\I brought my favorite stuffed animal!\Oh, I did, too!\This is going to be fun! response:	Yeah!
context: Huh?\Oh, right! They're all for reference!\Sh-She plans to eat them all...\Hey, look at this!\I brought my favorite stuffed animal!\Oh, I did, too!\This is going to be fun!\Yeah! response:	This is shaping up to be just a slumber party...
context: Oh, right! They're all for reference!\Sh-She plans to eat them all...\Hey, look at this!\I brought my favorite stuffed animal!\Oh, I did, too!\This is going to be fun!\Yeah!\This is shaping up to be just a slumber party... response:	Jeez, you guys are too hyped up for just an overnight training camp.
context: Sh-She plans to eat them all...\Hey, look at this!\I brought my favorite stuffed animal!\Oh, I did, too!\This is going to be fun!\Yeah!\This is shaping up to be just a slumber party...\Jeez, you guys are too hyped up for just an overnight training camp. response:	All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.
context: Hey, look at this!\I brought my favorite stuffed animal!\Oh, I did, too!\This is going to be fun!\Yeah!\This is shaping up to be just a slumber party...\Jeez, you guys are too hyped up for just an overnight training camp.\All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils. response:	I'd say those are the things we'll need the least.
context: I brought my favorite stuffed animal!\Oh, I did, too!\This is going to be fun!\Yeah!\This is shaping up to be just a slumber party...\Jeez, you guys are too hyped up for just an overnight training camp.\All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.\I'd say those are the things we'll need the least. response:	What do you think is most important to bring, then?
context: Oh, I did, too!\This is going to be fun!\Yeah!\This is shaping up to be just a slumber party...\Jeez, you guys are too hyped up for just an overnight training camp.\All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.\I'd say those are the things we'll need the least.\What do you think is most important to bring, then? response:	Questions like that are common, huh?
context: This is going to be fun!\Yeah!\This is shaping up to be just a slumber party...\Jeez, you guys are too hyped up for just an overnight training camp.\All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.\I'd say those are the things we'll need the least.\What do you think is most important to bring, then?\Questions like that are common, huh? response:	Like, what would you take to a deserted island?
context: Yeah!\This is shaping up to be just a slumber party...\Jeez, you guys are too hyped up for just an overnight training camp.\All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.\I'd say those are the things we'll need the least.\What do you think is most important to bring, then?\Questions like that are common, huh?\Like, what would you take to a deserted island? response:	I'd take a field guide of edible plants.
context: This is shaping up to be just a slumber party...\Jeez, you guys are too hyped up for just an overnight training camp.\All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.\I'd say those are the things we'll need the least.\What do you think is most important to bring, then?\Questions like that are common, huh?\Like, what would you take to a deserted island?\I'd take a field guide of edible plants. response:	It's both useful and edible!
context: Jeez, you guys are too hyped up for just an overnight training camp.\All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.\I'd say those are the things we'll need the least.\What do you think is most important to bring, then?\Questions like that are common, huh?\Like, what would you take to a deserted island?\I'd take a field guide of edible plants.\It's both useful and edible! response:	It won't be useful anymore if you eat it!
context: All you need is the bare minimum: face wash, toner, moisturizer, and aroma oils.\I'd say those are the things we'll need the least.\What do you think is most important to bring, then?\Questions like that are common, huh?\Like, what would you take to a deserted island?\I'd take a field guide of edible plants.\It's both useful and edible!\It won't be useful anymore if you eat it! response:	I'd take a water filter.
context: I'd say those are the things we'll need the least.\What do you think is most important to bring, then?\Questions like that are common, huh?\Like, what would you take to a deserted island?\I'd take a field guide of edible plants.\It's both useful and edible!\It won't be useful anymore if you eat it!\I'd take a water filter. response:	What about you, Hina-chan?
context: What do you think is most important to bring, then?\Questions like that are common, huh?\Like, what would you take to a deserted island?\I'd take a field guide of edible plants.\It's both useful and edible!\It won't be useful anymore if you eat it!\I'd take a water filter.\What about you, Hina-chan? response:	Huh? Well...
context: Questions like that are common, huh?\Like, what would you take to a deserted island?\I'd take a field guide of edible plants.\It's both useful and edible!\It won't be useful anymore if you eat it!\I'd take a water filter.\What about you, Hina-chan?\Huh? Well... response:	Maybe food for all the animals that would come to see me?
context: Like, what would you take to a deserted island?\I'd take a field guide of edible plants.\It's both useful and edible!\It won't be useful anymore if you eat it!\I'd take a water filter.\What about you, Hina-chan?\Huh? Well...\Maybe food for all the animals that would come to see me? response:	Eat up.
context: I'd take a field guide of edible plants.\It's both useful and edible!\It won't be useful anymore if you eat it!\I'd take a water filter.\What about you, Hina-chan?\Huh? Well...\Maybe food for all the animals that would come to see me?\Eat up. response:	Worry about getting food for yourself!
context: It's both useful and edible!\It won't be useful anymore if you eat it!\I'd take a water filter.\What about you, Hina-chan?\Huh? Well...\Maybe food for all the animals that would come to see me?\Eat up.\Worry about getting food for yourself! response:	Oh, here it is!
context: It won't be useful anymore if you eat it!\I'd take a water filter.\What about you, Hina-chan?\Huh? Well...\Maybe food for all the animals that would come to see me?\Eat up.\Worry about getting food for yourself!\Oh, here it is! response:	This classroom is where we'll be training all night!
context: I'd take a water filter.\What about you, Hina-chan?\Huh? Well...\Maybe food for all the animals that would come to see me?\Eat up.\Worry about getting food for yourself!\Oh, here it is!\This classroom is where we'll be training all night! response:	Oh?
context: What about you, Hina-chan?\Huh? Well...\Maybe food for all the animals that would come to see me?\Eat up.\Worry about getting food for yourself!\Oh, here it is!\This classroom is where we'll be training all night!\Oh? response:	Good morning, everyone.
context: Huh? Well...\Maybe food for all the animals that would come to see me?\Eat up.\Worry about getting food for yourself!\Oh, here it is!\This classroom is where we'll be training all night!\Oh?\Good morning, everyone. response:	Ruri-chan, you're already here?
context: Maybe food for all the animals that would come to see me?\Eat up.\Worry about getting food for yourself!\Oh, here it is!\This classroom is where we'll be training all night!\Oh?\Good morning, everyone.\Ruri-chan, you're already here? response:	Sorry to keep you waiting.
context: Eat up.\Worry about getting food for yourself!\Oh, here it is!\This classroom is where we'll be training all night!\Oh?\Good morning, everyone.\Ruri-chan, you're already here?\Sorry to keep you waiting. response:	Don't worry about it.
context: Worry about getting food for yourself!\Oh, here it is!\This classroom is where we'll be training all night!\Oh?\Good morning, everyone.\Ruri-chan, you're already here?\Sorry to keep you waiting.\Don't worry about it. response:	I laid out the futons while I waited.
context: Oh, here it is!\This classroom is where we'll be training all night!\Oh?\Good morning, everyone.\Ruri-chan, you're already here?\Sorry to keep you waiting.\Don't worry about it.\I laid out the futons while I waited. response:	Huh?! Wh-Why?!
context: This classroom is where we'll be training all night!\Oh?\Good morning, everyone.\Ruri-chan, you're already here?\Sorry to keep you waiting.\Don't worry about it.\I laid out the futons while I waited.\Huh?! Wh-Why?! response:	My parents told me the best part of a training camp is the pillow fight.
context: Oh?\Good morning, everyone.\Ruri-chan, you're already here?\Sorry to keep you waiting.\Don't worry about it.\I laid out the futons while I waited.\Huh?! Wh-Why?!\My parents told me the best part of a training camp is the pillow fight. response:	Huh?
context: Good morning, everyone.\Ruri-chan, you're already here?\Sorry to keep you waiting.\Don't worry about it.\I laid out the futons while I waited.\Huh?! Wh-Why?!\My parents told me the best part of a training camp is the pillow fight.\Huh? response:	R-Really?
